A MADAME DE BONNELLE.	À MADAME DE BONELLE.
IVSTINE.	IUSTINE.
O le doux compliment!	Ô le doux compliment!
Ie m’y vais employer, n’en ſoyez point en peine.	Je m'y vais employer, n'en soyez point en peine.
LISTAN.	LISTAN.
Mon cœur, faiſõs vn tour dans la chãbre prochaine, Qu’on nous vienne appeller quand on aura ſeruy.	Mon cœur, faisons un tour dans la chienne prochaine, Qu'on nous vienne appeler quand on aura servi.
à Ph.	à Ph.
Que i’eſtime les fers dont tu m’as aſſeruy!	Que j'estime les fers dont tu m'as asservi!
Que ie fais vanité d’vn ſi doux eſclauage!	Que secret fais vanité d'une si doux esclauage!
PHILISE C’eſt à moy d’en benir la gloire & l’auantage:	PHILISE C'est à moi d'en bénir la gloire et l'avantage:
Commande abſolument, i’obeïray touſiours A qui fait auiourd’huy le bonheur de mes iours.	Commande absolument, j'obéirai tousiours A qui fait aujourd'hui le bonheur de mes jours.
Fin du premier Acte.	Fin du premier Acte.
RANOEE I SCENE PREMIERE.	RANOE I CÈNE PREMIÈRE.
CALLIANTE, FLORIS, CLIMANTE, PARTHENOR, Affranchis, PAGES.	CALLIANTE, FLORIS, CLIMANTE, PARTHENOR, Affranchis, PAGES.
CEEIIIE a Jes affranchis.	CEIIIE a Jes affranchis.
Limante, Parthenor, Pages, que l’on m’aporte C Mon Flambeau chez Liſtan?	Limante, Parthénor, Pages, que l'on m'apporte Ç Mon Lambeau chez Listan?
ie ne veux point d’eſcorte, Ie m’en veux reuenir lors que ie l’auray veu.	On ne veux point d'escorte, Je m'en veux revenir lors que tu l'aurai vu.
PAGE.	PAGE.
bas.	bas.
Nous n'y manquerons pas.	Nous n'y manquerons pas.
Mon cher Maiſtre 2 bien beu.	Mon cher Maître 2 bien bu.
FLORIS.	FLORIS.
Vous n’y voulez donc pas eſtre lõg-temps à table?	Vous n'y voulez donc pas être lõg-temps à table?
CALLIANTE.	CALIANTE.
Que ce diſcours me plaiſt!	Que ce discours me plaît!
que Floris eſt aimable!	que Floris est aimable!
Si peu que tu voudras, i’en ſors preſentement, Clndor nous a traittez aſſez ſuperbement:	Si peu que tu voudras, j'en sors présentement, Clndor nous a traités assez superbement:
Mais ie hay les appreſts auec ceremonie, Et pour cette raiſon i’ay fauſſé compagnie;	Mais quelque hais les apprêts était cérémonie, Et pour cette raison j'ai faussé compagnie;
Et puis ie ne peux viure abſent de tes beaux yeux.	Et puisque ne peux vivre absent de tes beaux yeux.
FLORIS.	FLORIS.
O l’obligeant diſcours!	Ô l'obligeant discours!
CALLIANTE.	CALIANTE.
I'en iure par les Dieux.	J'en jure par les Dieux.
Tu voix bien que i’ay beu:	Tu voix bien que j'ai bu:
mais.	mais.
FLORIS.	FLORIS.
Qu’il eſt agreable!	Qu'il est agréable!
CALLIANTE.	CALIANTE.
C’eſt quand on eſt bien ſaoul que l'on eſt veritabl Ie le ſuis, peu s’en faut, ie ne le puis cacher.	C'est quand on est bien saoul que l'on est véritabl Je le suis, peu s'en faut, Elle ne le puis cacher.
FLORIS.	FLORIS.
Sois cõme tu voudras tu m’es touſiours bien chi	Sois comme tu voudras tu m'es toujours bien chi
CALLIANTE.	CALIANTE.
Embraſſe-moy, mon cœur.	Embrasse-moi, mon cœur.
FLORIS.	FLORIS.
O l'aimable caprice!	Ô l'aimable caprice!
CALLIANTE.	CALIANTE.
Souſtiens-moy ie t’en prie, & ſois ma conductrie I'ay chinqué, ſans mentir, chez Clindor tout le iou Mais pourtant mon yvreſſe eſt vn effet d’amour,	Soutiens-moi ? T'en prie, et sois ma conductrie J'ai chinqué, sans mentir, chez Clindor tout le jou Mais pourtant mon ivresse est un effet d'amour,
FLORIS.	FLORIS.
Ie le croy, Calliante, & ie m’en tiens heureuſe.	Je le crois, Caliante, et Seigneur m'en tiens heureuse.
Mais gardons de tomber.	Mais gardons de tomber.
CALLIANTE.	CALIANTE.
Tu te mocques, railleuſe	Tu te moques, railleuse
FLORIS.	FLORIS.
Nullement, ie prens garde à conduire tes pas;	Nullement, Seigneur prends garde à conduire tes pas;
Sans tomber tous les deux, nous ne tomberons!	Sans tomber tous les deux, nous ne tomberons!
CALLIANTE.	CALIANTE.
Mais où me conduis-tu?	Mais où me conduis-tu?
FLORIS.	FLORIS.
La memoire admirable!	La mémoire admirable!
CALLIANTE.	CALIANTE.
C’eſt bien dit, allons nous mettre à table Il nous ſera grand chere, il le faut confeſſer.	C'est bien dit, allons nous mettre à table Il nous sera grand chère, il le faut confesser.
FLORIS.	FLORIS.
Pour ce iour, cher amy, tu t'en pourrois paſſer,	Pour ce jour, cher ami, tu t'en pourrais passer,
CALLIANTE.	CALIANTE.
Nous y rencontrerons & Iuſtine & Philiſe:	Nous y rencontrerons et Jutine et Philise:
Là nous mediterons quelque gaye entrepriſe, Et nous nous employrons à nous bien diuertir.	Là nous méditerons quelque gaie entreprise, Et nous nous emploierons à nous bien divertir.
FLORIS.	FLORIS.
Allons, me voicy preſte à te ſuiure & partir.	Allons, me voici prête à te suivre et partir.
CALLIANTE.	CALIANTE.
Conduis-moy par la main, i’aurois peine, ie meure, S’il me falloit tout ſeul retrouuer ſa demeure, Tant l’yvreſſe a broüillé mon foible iugement.	Conduis-moi par la main, j'aurais peine, quelque meure, S'il me fallait tout seul retrouver sa demeure, Tant l'ivresse à brouillé mon faible jugement.
FLORIS.	FLORIS.
Ie t'y conduiray bien;	Je t'y conduirai bien;
la main, mon cher Amant.	la main, mon cher Amant.
SCENE II.	SCÈNE II.
STREPHON ſeul.	STREPHON seul.
Ve ievais auiourd'hui medõner au cœur ioye!	Ve ievais aujourd'hui medõner au cœur joie!
Que ie cours d’allegreſſe où mon Maiſtre m’enuoye!	Que quelque cours d'allégresse où mon Maître m'envoie!
Ie m'en vais pres du Port chercher preſentement Quantité de g bier, & des mets largement:	Je m'en vais pres du Port chercher présentement Quantité de g ier, et des mets largement:
Il me faut eſlayer de trouuer la Muſique, C’eſt ce qui me contente, & c’eſt dõt ie me pique:	Il me faut élayer de trouver la Musique, C'est ce qui me contente, et c'est dût donner me pique:
Ie chante volontiers, mais ie bois encor mieux, Et ie prefere au chant vn vin delicieux.	Je chante volontiers, mais ainsi bois encor mieux, Et grands préfère au chant un vin délicieux.
Ha ſi noſtre Vieillard, qui ſeul nous fait la guerre, Auoit deſſus le corps cinq ou ſix pieds de terre;	Ha si notre Vieillard, qui seul nous fait la guerre, A sus le corps cinq ou six pieds de terre;
S’il auoit trauerſé le Palais tenebreux, (reun Qu’il nous feroit beau voir!	S'il avait traversé le Palais ténébreux, (reun Qu'il nous ferait beau voir!
que nous ſerions heuMais peut eſtre eſt-il mort, que ſçait-on, ie l’eſperc La Mer nous a défaits de ſon humeur ſeuere, L’on n’en oit point parler;	que nous serions heuMais peut -être est-il mort, que sçait-on, ie j'esperc La Mer nous a défaits de son humeur sévère, L'on n'en oit point parler;
mais ie m’amuſe icy, Et ce n’eſt pas enfin mon plus preſſant ſoucy.	mais ici m'amuse ici, Et ce n'est pas mon enfin plus pressant souci.
SCENE III.	SCÈNE III.
CALLIANTE, FLORIS, LISTAN PHILISE, IVSTINE, PAGE.	CALLIANTE, FLORIS, LISTAN PHILISE, IUSTINE, PAGE.
r LISTAN.	r LISTAN.
VV ſois le bien venu, cher amy que i’eſtime, I Toy que i’ay fait l’objet d’vne amitié ſas crime, A qui i’ouure mon cœur, & tous mes ſentimens, Prens part, ie te conjure, à nos contentemens, Donnons-nous aux plaiſirs, pendant que la fortun Nous permet de ioüir de ſa faueur commune;	VV sois le bien venu, cher ami que j'estime, I Joi que j'ai fait l'objet d'une amitié sas crime, À qui j'ouvre mon cœur, et tous mes sentiments, Prends part, je te conjure, à nos contentements, Donnons-nous aux plaisirs, pendant que la fortun Nous permet de jet de sa faveur commune;
Eſtouffons la rigueur & le fiel des deſtins Dans les jeux innocens, & parmy les feſtins;	Étouffons la rigueur et le fiel des destins Dans les jeux innocents, et parmi les festins;
N’épargnõs nuls plaiſirs, cependant que mon Pen Eſt abſent, loin de nous, ou mort, comme i’eſpen Ie veux donner le Bal, ie vous veux réjoüir, Paſſons le temps, Floris, veux-tu pas en ioüir.	N'épargnons nuls plaisirs, cependant que mon Pen Est absent, loin de nous, ou mort, comme j'espen Je veux donner le Bal, je vous veux réjouir, Passons le temps, Floris, veux-tu pas en jouir.
FLORIS.	FLORIS.
O le charmant deſſein!	Ô le charmant dessein!
Amy, ie te conuie D’auoir ces ſentimens le reſte de ta vie.	Ami, Seigneur te convie D'avoir ces sentiments le reste de ta vie.
Pour le Bal, ſur ma foy, tu t’en peux diſpenſer, Calliante n’eſt pas en eſtat de danſer, Iu von tomnenv endort	Pour le Bal, sur ma foi, tu t'en peux dispenser, Caliante n'est pas en état de danser, Ju von tomnenu endort
CALLIANTE yure.	CALIANTE ivre.
Ha changez de langage, I'entreprens vn faſcheux & penible voyage, Mon Vaiſſeau part du Port, ie ſuis deſlus les flots, Et ma vie eſt commiſe à l’att des Marelots.	Ha changez de langage, J'entreprends un fâcheux et pénible voyage, Mon Vaisseau part du Port, je suis délus les flots, Et ma vie est commise à l'att des Marelots.
FLORIS.	FLORIS.
Vous vous extrauaguez, mon cœur.	Vous vous extravaguez, mon cœur.
CALLIANTE.	CALIANTE.
Que veux-tu dire?	Que veux-tu dire?
N’es-tu pas comme moy ſur le bord du Nauire?	N'es-tu pas comme moi sur le bord du Navire?
A-t’on pas leué l’anchre, & mis la voile au vent?	A-t-on pas levé l'anchre, et mis la voile au vent?
Voicy la pleine Mer, où i’y ſuis peu ſçauant.	Voici la pleine Mer, où j'y suis peu savant.
PHILISE.	PHILISE.
Eſtrange effet du vin!	Étrange effet du vin!
Dieux quelle fantaiſie!	Dieux quelle fantaisie!
IVSTINE.	IUSTINE.
Non, ce n’eſt point le vin, c’eſt vne freneſie.	Non, ce n'est point le vin, c'est une frénésie.
FLORIS.	FLORIS.
Ne vous exprimez point, vn moment de repos Luy fera bien changer ces fantaſques propos.	Ne vous exprimez point, un moment de repos Lui fera bien changer ces fantasques propos.
Mon cœur, rentre en toy-meſme?	Mon cœur, rentre en toi-même?
CALLIANTE.	CALIANTE.
O Dieux!	Ô Dieux!
vn prompt orage Semble nous menacer de perte & de naufrage;	un prompt orage Semble nous menacer de perte et de naufrage;
C iij Lair eſt tout plein de feux qui font briller la nuit, Vn effroyable iour dont la clarté nous luit;	Ç Cij Air est tout plein de feux qui font briller la nuit, Un effroyable jour dont la clarté nous luit;
L’eau tourne inceſſammẽt ſous levent qui la berce, Ce foudre décoché iuſqu’au centre la perce;	L'eau tourne incessammẽt sous levent qui la berce, Ce foudre décoché jusqu'au centre la perce;
L’air n’eſt plus qu’vu nuage effroyable à mes yeux Qui couure deſormais le bel émail des Cieux.	L'air n'est plus qu'une nuage effroyable à mes yeux Qui couvre désormais le bel émail des Cieux.
FLORIS.	FLORIS.
Reprens tes ſentimens, fidele Calliante.	Reprends tes sentiments, fidèle Caliante.
Nous ſommes chez Liſtan.	Nous sommes chez Listan.
CALLIANTE.	CALIANTE.
Qu'elle eſt extrauagante!	Qu'elle est extravagante!
Hé quoy, ne vois-tu point que c’eſt pour tõ reſpect Que la peur me ſaiſit, que le vent m’eſt ſuſpect?	Hé quoi, ne vois-tu point que c'est pour tendre respect Que la peur me saisit, que le vent m'est suspect?
Si ie n’auois pour but de conſeruer ta teſte, Ie rirois des efforts d’vne fiere tempeſte;	Si ici n'avais pour but de conserver ta tête, Je rirais des efforts d'une fête tempête;
Mais i’ay peur de ta perte, & c’eſt la mõ tourment.	Mais j'ai peur de ta perte, et c'est la mienne tourment.
FLORIS.	FLORIS.
Ie ſuis en ſeureté, ne craignez nullement.	Je suis en sûreté, ne craignez nullement.
CALLIANTE.	CALIANTE.
Plus nous voguons auant, & plus l’onde eſt cruelle, Dieux!	Plus nous voguons avant, et plus l'onde est cruelle, Dieux!
ſous vn poids trop grãd le Nauire chãcelle;	sous un poids trop grands le Navire chancelle;
Si nous n’y donnons ordre, il s’en va ſubmerger.	Si nous n'y donnons ordre, il s'en va submerger.
Sauuons-nous, mes amis, il le faut décharger,	Sauvons-nous, mes amis, il le faut décharger,
Il iette tout ce qui eſt ſur la table.	Il jette tout ce qui est sur la table.
Iettons tous ces paquets, le peril eſt extréme, Et perdõs tous ces biens pour ſuiure ce que i’aime Le vent les conduira dans le plus prochain Port, Et nous appaiſerons la colere du ſort.	Itons tous ces pays, le péril est extrême, Et perds tous ces biens pour suivre ce que j'aime Le vent les conduira dans le plus prochain Port, Et nous apaiserons la colère du sort.
PHILISE.	PHILISE.
Bons Dieux!	Bons Dieux!
que faites-vous?	que faites-vous?
CALLIANTE.	CALIANTE.
I’agis en cet orage,	J'agis en cet orage,
Et pour noſtre ſalut, & pour noſtre aduantage.	Et pour notre salut, et pour notre avantage.
FLORIS.	FLORIS.
Mais vous renuerſez tout.	Mais vous renversez tout.
CALLIANTE.	CALIANTE.
Le Vaiſſeau trop chargé, paiyuoute periroit, s’il n’eſtoit allegé.	Le Vaisseau trop chargé, paiyuoute périrait, s'il n'était allégé.
Aidez-moy ſeulement;	Aidez-moi seulement;
mais la vigueur me laiſſe, Ie manque de puiſſance, & le ſommeil me preſſe.	mais la vigueur me laisse, Je manque de puissance, et le sommeil me presse.
LISTAN.	LISTAN.
Grace aux Dieux, il s’endort, laiſſons-le repoſer.	Grâce aux Dieux, il s'endort, laissons-le reposer.
FLORIS.	FLORIS.
Au moins obligez-moy, Liſtan, de l’excuſer, Pardonnez à ſon vin, mon cœur vous en conjure.	Au moins obligez-moi, Listan, de l'excuser, Pardonnez à son vin, mon cœur vous en conjure.
LISTAN.	LISTAN.
cetuemmmeyliumj muuic vne injure;	cetuemmeyliumj muuic quelque injure;
Il peut, & vous auſſi, diſpoſer librement De ce qui m’appartient, ie dis ſans compliment.	Il peut, et vous aussi, disposer librement De ce qui m'appartient, ie dis sans compliment.
Mais il s’eſt endormy, faiſons quelqu’autre choſe, Et nous diuerciſſons cependant qu’il repoſe.	Mais il s'est endormi, faisons quelqu'autre chose, Et nous divercissons cependant qu'il repose.
FLORIS.	FLORIS.
C’eſt bien dit, ie le veux, ordonnez ſeulement, Nous conclurons apres le diuertiſſement,	C'est bien dit, Seigneur le veux, ordonnez seulement, Nous conclurons après le divertissement,
LISTAN.	LISTAN.
Voicy Strephon qui vient.	Voici Stréphon qui vient.
IVSTINE.	IUSTINE.
O la triſte grimacer Que d’vn ſanglant deſtin ſon aſpect nous menace!	Ô la triste grimacer Que d'un sanglant destin son aspect nous menace!
SCENE IV.	SCÈNE IV.
STREPHON reuenant du Port, LIS.	STREPHON revenant du Port, LIS.
TAN, CALLIANTE endormy, PHILISE, IVSTINE, FLORIS.	TAN, CALLIANTE endormi, PHILISE, IVSTINE, FLORIS.
STREPHON entrant dans la chambre.	STREPHON entrant dans la chambre.
Dieux!	Dieux!
que m’a-t’on dit?	que m'a-t'on dit?
nous ſommes tous O perdus, Mon eſprit eſt trouble, mes ſens ſont confondus, Le Deſtin a iuré noſtre perte aſſeurée.	nous sommes tous Ô perdus, Mon esprit est trouble, mes sens sont confondus, Le Destin a juré notre perte assurée.
Que nos biens ſont gliſſans & de peu de durée!	Que nos biens sont glissants et de peu de durée!
Dieux, pourquoy perdez-voꝰ les eſprits innocens!	Dieux, pourquoi perdez-voù les esprits innocents!
Mais à quoi bõ me plaindre en des maux ſi preſsãs!	Mais à quoi bonne me plaindre en des maux si pressants!
Ha nous ſommes perdus, ie ne vois poinr d’adreſſe Qui no9 puiſſe aſſiſter au malheur qui nous preſſes I’ay veu dedans le Port vn ſi faſcheux eſcueil, Qu’il faut abſolument qu’il ſoit noſtre cercueil.	Ha nous sommes perdus, ie ne vois poinr d'adresse Qui no9 puisse assister au malheur qui nous presses J'ai vu dedans le Port un si fâcheux écueil, Qu'il faut absolument qu'il soit notre cercueil.
Mon Maiſtre eſt de retour, il me faut feire entẽdie.	Mon Maître est de retour, il me faut seyre entendie.
Ha ſi quelqu’vn pour moy vouloit ſe laiſſer pendre, Ie luy deurois beaucoup;	Ha si quelqu'un pour moi voulait se laisser pendre, Je pou deurois beaucoup;
qu’il me feroit plaiſir!	qu'il me ferait plaisir!
O vous, qui tranſportez d’vn auare deſir, Pour quelque petit gain hazardez voſtre vie, Et qui ne craignez pas qu’elle vous ſoit rauie, Si vous voulez pour moy vous laiſſer attacher A l’in ame gibet où l’on me va brancher, Ie vous dõne cẽt ſrãcs, pourueu qu’on voꝰimmole, Et qu’vne prompte mort vous oſte la parole:	Ô vous, qui transportez d'un avare désir, Pour quelque petit g uzardez votre vie, Et qui ne craignez pas qu'elle vous soit ravie, Si vous voulez pour moi vous laisser attacher A l'in âme gibet où l'on me va brancher, Je vous donne comment srangs, pourvu qu'on voꝰimmole, Et qu'une prompte mort vous ôte la parole:
Apres ſi vous pouuez les venir demander, Vous me trouuerez preſt à vous les accorder.	Après si vous pouvez les venir demander, Vous me trouverez prêt à vous les accorder.
LISTAN.	LISTAN.
Que dit cet inſolent?	Que dit cet insolent?
ce par.	ce par.
ſite infame?	site infâme?
ne uiau, touteſt-il preſt?	ne uiau, toutêt-il prêt?
LiſtanSTREPHON.	ListanSTREPHON.
Il faut changer de game,	Il faut changer de game,
LISTAN.	LISTAN.
Que veux-tu dire?	Que veux-tu dire?
STREPHON.	STREPHON.
Helas!	Hélas!
& vous & moy.	et vous et moi.
Queſt-ce?	Quest-ce?
LISTAN.	LISTAN.
STREPHON.	STREPHON.
oonmies perdus, c’eſt tout de bon.	oonmies perdus, c'est tout de bon.
LISTAN.	LISTAN.
Pourquoy?	Pourquoi?
STREPHON.	STREPHON.
Voſtre Pere eſt icy.	Votre Père est ici.
LISTAN.	LISTAN.
Bons Dieux!	Bons Dieux!
quelle impudence.	quelle impudence.
STREPHON.	STREPHON.
Nous ſommes tous perdus, ie l’ay veu d’aſſeurance.	Nous sommes tous perdus, ie l'ai vu d'assurance.
LISTAN.	LISTAN.
Helas!	Hélas!
que m’as-tu dit?	que m'as-tu dit?
STREPHON.	STREPHON.
Oüy ie l’ay veu, c’eſt luy.	Oui ici l'ai vu, c'est lui.
LISTAN.	LISTAN.
Quoy, de tes propres yeux?	Quoi, de tes propres yeux?
STREPHON Quoy donc, des yeux d’autruy?	STREPHON Quoi donc, des yeux d'autrui?
Il s’approche, il s’en vient.	Il s'approche, il s'en vient.
LISTAN.	LISTAN.
Que fais-je, miſerable:	Que fais-je, misérable:
STREPHON.	STREPHON.
Me le demandes-tu?	Me le demandes-tu?
tu bofres, tu tiens table, Tu paſſes bien ton temps.	tu bouffres, tu tiens table, Tu passes bien ton temps.
LISTAN.	LISTAN.
Mais, dis-moy, l’as-tu veu?	Mais, dis-moi, l'as-tu vu?
STREPHON.	STREPHON.
Luy-meſme à ſon abord m’a pris au dépourueu.	Lui-même à son abord m'a pris au dépourvu.
LISTAN.	LISTAN.
Helas!	Hélas!
ie ſuis perdu.	Il suis perdu.
Strephon, ſois moy fidele.	Stréphon, sois moi fidèle.
Que feray-je?	Que ferai-je?
dis-moy.	dis-moi.
STREPHON.	STREPHON.
Mais qui dort ſur ce lit?	Mais qui dort sur ce lit?
I’en ſuis fort en ceruelle.	J'en suis fort en cervelle.
LISTAN.	LISTAN.
Calliante.	Calliante.
STREPHON.	STREPHON.
Floris, Eſueille-lé, mais viſte, ou nous ſommes peris.	Floris, Éveille-lé, mais vite, ou nous sommes péris.
FLORIS.	FLORIS.
Calliante, debout.	Calliante, debout.
O la faſcheuſe hiſtoire!	Ô la fâcheuse histoire!
CALLIANTE.	CALIANTE.
Ie ne dors pas, mõ cœur, que l’on me verſe à boire,	Je ne dors pas, mon cœur, que l'on me verse à boire,
FLORIS.	FLORIS.
Il nous faut bien chanter deſſus vn autre ton.	Il nous faut bien chanter dessus un autre ton.
Le Pere de Liſtan.	Le Père de Listan.
Eſt-il mort?	Est-il mort?
CALLIANTE Dieux faites luy pardon.	CALIANTE Dieux faites lieux pardon.
STREPHON.	STREPHON.
Il reuient, il eſt dans Nicoſie.	Il revient, il est dans Nicosie.
CALLIANTE.	CALIANTE.
Quoy, du fond des Enfers?	Quoi, du fond des Enfers?
STREPHON.	STREPHON.
Hruune de dltes Il eſt en freneſie.	Hruune de dltes Il est en frénésie.
CALLIANTE.	CALIANTE.
Hé bien, faites-lé retourner, S’il vient auec deſſein de nous importuner.	Hé bien, faites-lé retourner, S'il vient avec dessein de nous importuner.
LISTAN.	LISTAN.
Malheureux, que feray-je en ce triſte rencontre?	Malheureux, que ferai-je en ce triste rencontre?
Iray-je au precipice où le ſort me le montre?	Jrai-je au précipice où le sort me le montre?
Pourray-je l’éuiter lors qu’il eſt ſous mes pas?	Pourrai-je l'éviter lors qu'il est sous mes pas?
Et n’ayaut point d’appuy, n’y tomberay-je pas?	Et n'aiaut point d'appui, n'y tomberai-je pas?
Mon eſprit n’y voit point ny d’art, ny de reſources:	Mon esprit n'y voit point ni d'art, ni de ressources:
Alors qu’on meurt de ſoif, doit-on chercher des ſources?	Alors qu'on meurt de soif, doit-on chercher des sources?
Il faut perir, & rien ne me peut conſeiller.	Il faut périr, et rien ne me peut conseiller.
STREPHON.	STREPHON.
Calliante eſt recheu, il le faut reſveiller.	Calliante est rechu, il le faut réveiller.
LISTAN.	LISTAN.
Cher amy, leue-toy, mon Pere eſt au riuage, Le voicy qui s’en vient.	Cher ami, lève-toi, mon Père est au rivage, Le voici qui s'en vient.
CALLIANTE.	CALIANTE.
N’importe, bon courage;	N'importe, bon courage;
S’il fait le moindre bruit, ie le gripe au collet;	S'il fait le moindre bruit, on le gripe au collet;
Donne-moy mon eſpée, ou bien vn piſtolet, Si ie ne t’en défais, dis que ie ſuis vn laſche.	Donne-moi mon épée, ou bien un pistolet, Si tu ne t'en défais, dis que sans suis un lâche.
STREPHON.	STREPHON.
Portez-lé là-dedans, tout ce diſcours me faſche, Il n’eſt bon qu’à nous nuire & nous embaraſſer.	Portez-lé là-dedans, tout ce discours me fâche, Il n'est bon qu'à nous nuire et nous embarrasser.
CALLIANTE.	CALIANTE.
Ma foy, ie n'en puis plus, i’enrage de piſſer;	Ma foi, je n'en puis plus, j'enrage de pisser;
Ie piſſeray par tout, où le Diable m’emporte.	Je pisserai par tout, où le Diable m'emporte.
LISTAN.	LISTAN.
O Dieuxt ie ſuis perdu, mon eſperance eſt morte.	Ô Dieuxt ie suis perdu, mon espérance est morte.
Strephon, que ſerons-nous?	Stréphon, que serons-nous?
STREPHON.	STREPHON.
Ie vous en veux ſortir.	Je vous en veux sortir.
Ne deſeſperez rien,	Ne désespérez rien,
LISTAN.	LISTAN.
Helast le peux-tu bien?	Hélât le peux-tu bien?
STREFHON.	STREFHON.
Ne vous en peinez point.	Ne vous en peinez point.
Pourueu que Periandi N’approche point d’icy, ſi ie luy puis defendre D'entrer dans le logis, ſerez-vous ſatisfait?	Pourvu que Périandi N'approche point d'ici, si ie cy puis défendre D'entrer dans le logis, serez-vous satisfait?
S’il le croit vn cercueil, vn Enfer tout à fait, Auray-je bien ſeruy Liſtan & ſa Maiſtreſſe;	S'il le croit un cercueil, un Enfer tout à fait, Aurai-je bien servi Listan et sa Maîtresse;
LISTAN.	LISTAN.
Tu ſerois libre alors.	Tu serais libre alors.
STREPHON.	STREPHON.
I’en reçoy la promeſſe.	J'en reçois la promesse.
Mais rentrez là-dedans, & fermez les verroux:	Mais rentrez là-dedans, et fermez les verroux:
Voila tout voſtre mal.	Voilà tout votre mal.
LISTAN.	LISTAN.
Mais que deuiendrons-nous?	Mais que deviendrons-nous?
STREPHON.	STREPHON.
O qu’il fait l’empeſché!	Ô qu'il fait l'empêché!
cauſez aucc Philiſe, C’eſt la chere beauté dont voſtre ame eſt épriſe.	causez aucc Philise, C'est la chère beauté dont votre âme est éprise.
FLORIS.	FLORIS.
Et moy Strephon, & moy, car Calliante dort.	Et moi Stréphon, et moi, car Caliante dort.
STREPHON.	STREPHON.
Vous pouuez l’eſveiller, Floris, il n’eſt pas mort.	Vous pouvez l'éveiller, Floris, il n'est pas mort.
Enfin Enfin paſſez le temps, comme ſi Periandre, Roſty ſur vn bucher, eſtoit reduit en cendre.	Enfin Enfin passez le temps, comme si Périandre, Rôti sur un bûcher, était réduit en cendre.
LISTAN.	LISTAN.
Ce diſcours eſt plaiſant, mais la luite en fait peur.	Ce discours est plaisant, mais la luite en fait peur.
STREPHON.	STREPHON.
Ie la vais diſſiper ainſi qu’vne vapeur:	Je la vais dissiper ainsi qu'une vapeur:
Entrez viſte, Floris, & P'hiliſe, & Iuſtine;	Entrez vite, Floris, et P'hilise, et Iustine;
Moy ie vais cependant trauailler à la mine, Afin que mon Vieillard ne s’en puiſſe ſauuer.	Mo ie vais cependant travailler à la mine, Afin que mon Vieillard ne s'en puisse sauver.
Ce ſoir, auant la nuit, ie vous viens retrouuer, Montez ſur le Balcon;	Ce soir, avant la nuit, je vous viens retrouver, Montez sur le Balcon;
ſur tout ie vous conuie De ne faire aueun bruit, il y va de ma vie.	sur tout ie vous convie De ne faire aveun bruit, il y va de ma vie.
Entrez.	Entrez.
PHILISE.	PHILISE.
Cela vaut fait, nous ne branlerons pas.	Cela vaut fait, nous ne branlerons pas.
STREPHON.	STREPHON.
Si iuſques à la porte il auance ſes pas, Soit qu’il frappe, qu’il crie, ou qu’il ſe deſeſpere, Ne luy répondez point;	Si jusques à la porte il avance ses pas, Soit qu'il frappe, qu'il crie, ou qu'il se désespère, Ne lui répondez point;
s’il ſe met en colere, Ie l’appaiſeray bien, laiſſez-moy cet employ.	s'il se met en colère, Je l'apaiserai bien, laissez-moi cet emploi.
LISTAN.	LISTAN.
Dieux!	Dieux!
aſſiſtez les ſeins qu’il ſe donne pour moy,	assistez les seins qu'il se donne pour moi,
STREPHON.	STREPHON.
Donnez-moy voſtre clef, que ie ferme la porte, Ie veux eſtre aſſeuré que perſonne n’en ſorte, Apres ie vous reſpons de tout l’euenement.	Donnez-moi votre clef, que je ferme la porte, Je veux être assuré que personne n'en sorte, Après -même vous réponds de tout l'événement.
LISTAN.	LISTAN.
La voicy, cher Strephon.	La voici, cher Stréphon.
STREPHON.	STREPHON.
Entrez preſentement, Entrez, ne craignez rien, tout va le mieux du mõde Il les ſaut enfermer, mais la ſemure en gronde, Et la clef auec peine y tourne librement.	Entrez présentement, Entrez, ne craignez rien, tout va le mieux du monde Il les saut enfermer, mais la semure en gronde, Et la clef âme peine y tourne librement.
Depuis que le bon homme a fait l’embarquement La maiſon, grace aux Dieux, n’a point eſté fermés Auſſi depuis ce temps elle eſt bien parfumée;	Depuis que le bon homme a fait l'embarquement La maison, grâce aux Dieux, n'a point été fermés Aussi depuis ce temps elle est bien parfumée;
Au lieu d’ail & d’oignon qu’elle ſentoit iadis, C’eſt du nez à preſent le florant Paradis;	Au lieu d'ail et d'oignon qu'elle sentait jadis, C'est du nez à présent le florant Paradis;
L’odeur des mets exquis l’ont ſi bien embaumée Qu’on ſe pourroit nourir de la ſeule fumée.	L'odeur des mets exquis l'ont si bien embaumée Qu'on se pourrait nourir de la seule fumée.
Fermons-la, s’il ſe peut, & taſchons de ſranchir Vn paſſage douteux, mais qui peut m’enrichir.	Fermons-la, s'il se peut, et tâchons de sranchir Un passage douteux, mais qui peut m'enrichir.
I’auray la lib ié, ſi i’en ſauue mon Maiſtre:	J'aurai la lib jé, si j'en sauve mon Maître:
Dieux!	Dieux!
ſi vous eſtes bons, faites-le moy paraiſtr C’en eſt fait, tout va bien, i’ay gagné mon proce Les Dieux m’ont inſpiré, i’en auray bon ſuccés:	si vous êtes bons, faites-le moi paraîtr C'en est fait, tout va bien, j'ai gagné mon proce Les Dieux m'ont inspiré, j'en aurai bon succès:
Ie vais ſi bien fermer.	Je vais si bien fermer.
LE PAGE ſort.	LE PAGE sort.
