A MONSIEVR ANGLVRE ONSIEVR	À MONSIEUR ANGLURE ONSIEUR
Ot vous n’ignorez pas le foible des humains, Qu’honneur en vain ſouuẽt a fait de bons deſſeins, Et ſi dans les combats des mauuaiſes penſces, Sathan ne voyoit point ſes forces repouſſées, Par les Gens cõme vous, & d’honneur & de bien, L’honneur ſeroit bien foible, & ne ſeroit plus rien.	Ot vous n'ignorez pas le faible des humains, Qu'honneur en vain souvent a fait de bons desseins, Et si dans les combats des mauvaises penses, Sathan ne voyait point ses forces repoussées, Par les Gens comme vous, et d'honneur et de bien, L'honneur serait bien faible, et ne serait plus rien.
Dites-luy donc, Monſieur, qu’il me doit mieux condonue,, Et qu’il ne vienne plus autour de ma feneſtre;	Dites-lui donc, Monsieur, qu'il me doit mieux condonue, Et qu'il ne vienne plus autour de ma fenêtre;
Que mon honneur s’offence à l’y voir ſi ſouuent, Et que ie ne ſuis pas vne teſte à l’euent, Que l’honneur m’eſt cent fois plus que ne m’eſt nn vies Qu’il ceſſe, s’il ne veut voir punir ſa folit	Que mon honneur s'offense à l'y voir si souvent, Et que je ne suis pas une tête à l'évent, Que l'honneur m'est cent fois plus que ne m'est n vies Qu'il cesse, s'il ne veut voir punir sa folit
ISABELLE.	ISABELLE.
Ie connois bien l’amour, & i’y ſuis fort ſenſible;	Je connais bien l'amour, et j'y suis fort sensible;
Encore que ſon feu ne me ſoit pas nuiſible, Ma vertu n’eſt point deuë à mon temperament, le la dois toute entiere à mon raiſonnement.	Encore que son feu ne me soit pas nuisible, Ma vertu n'est point due à mon tempérament, le la dois toute entière à mon raisonnement.
LE DOCTEVR.	LE DOCTEUR.
Vous en ſçauez beaucoup pour eſtre vertueuſe.	Vous en savez beaucoup pour être vertueuse.
Baſte, vaille que vaille.	Bâte, vaille que vaille.
ISABELLE.	ISABELLE.
En ame langoureuſe A celuy qui me garde il fait des complimens, Sous qui ſont trop cachez ſes tendres ſentimens;	En âme langoureuse A celui qui me garde il fait des compliments, Sous qui sont trop cachez ses tendres sentiments;
Et le pauure garçon, peu fait au ſtratageſme, Si ie n’auois le ſoin de me garder moy meſme, Tomberoit dans le piege;	Et le pauvre garçon, peu fait au stratagème, Si tu n'avais le soin de me garder moi -même, Tomberait dans le piège;
& mon honneur ſeroit, Sans ma rare ſageſſe, ou le galland voudroit.	et mon honneur serait, Sans ma rare sagesse, ou le gallant voudrait.
LE DOCTEVR.	LE DOCTEUR.
Allez, vous vallez trop, & vous eſtes trop ſage, Vous allez deuenir l’exemple de noſtre âge, Ie le vay gourmander, & luy faire ſçauoir Qu’il doit ainſi que vous, faire bien ſon deuoir.	Allez, vous vallez trop, et vous êtes trop sage, Vous allez devenir l'exemple de notre âge, Je le vais gourmander, et lui faire savoir Qu'il doit ainsi que vous, faire bien son devoir.
Elle ſort.	Elle sort.
Eſt-ce vne illuſion, eſt-ce choſe réelle, Rencontrer dans ce temps vne femme fidelle, Pour moy ie ſuis confus.	Est-ce une illusion, est-ce chose réelle, Rencontrer dans ce temps une femme fidèle, Pour moi -être suis confus.
SCENE VII.	SCÈNE VII.
LEANDRE, LE DOCTEVR, LE DOCTEVR.	LÉANDRE, LE DOCTEUR, LE DOCTEUR.
PErdez vous la raiſos D’aller roder ſans ceſſe autour de la maiſon.	PErdez -vous la raisos D'aller roder sans cesse autour de la maison.
D'vne fẽme d’honneur qui m’en a fait des plaintes, Qui dit qu’à ſon honneur vous dõnez des atteintes.	D'une femme d'honneur qui m'en a fait des plaintes, Qui dit qu'à son honneur vous dõnez des atteintes.
1 1	1 1
LEANDRE.	LÉANDRE.
Moy?	Moi?
ie n’ay point encor aſſez veu de beauté.	Elle n'ai point encor assez vu de beauté.
Pour voir moncher Docteur perir ma liberté, Ie la poſſede encor.	Pour voir moncher Docteur périr ma liberté, Je la possède encor.
LE DODEVR.	LE DODEUR.
Et cette belle Dame A qui ſi finement vous dite voſtre flame, Par de faux complimens adreſſez au vales.	Et cette belle Dame A qui si finement vous dite votre flamme, Par de faux compliments adressez au valez.
11 LEANDRE.	11 LÉANDRE.
1 Que me voulez-vous dire?	1 Que me voulez-vous dire?
LE DOCTEVR.	LE DOCTEUR.
Aprenez mon cadet Qu’il faut eſtre plus ſage, ou bien que voſte vie Dans ſes occaſions ſera bien-toſt finie.	Apprenez mon cadet Qu'il faut être plus sage, ou bien que voste vie Dans ses occasions sera bientôt finie.
LEANDRE.	LÉANDRE.
La maiſon, le valet, & la femme ma foy Sont connus mon cher pere à tout autre qu’à moy	La maison, le valet, et la femme ma foi Sont connus mon cher père à tout autre qu'à moi
LE DOCTEVR.	LE DOCTEUR.
Ah!	Ah!
que vous eſtes fort deſſus la negatiue.	que vous êtes fort dessus la négative.
LEANDRE bas.	LÉANDRE bas.
Mais ne ſeroit-ce point vn bon-heur qui m’arriue, Vne bonne fortune, ah!	Mais ne serait-ce point un bonheur qui m'arry, Ve bonne fortune, ah!
que ie ſuis groſſier, Apprenons ſa maiſon.	que ici suis grossier, Apprenons sa maison.
LE DOCTEVR.	LE DOCTEUR.
Il ne faut plus nier,	Il ne faut plus nier,
LEANDRE.	LÉANDRE.
La maiſon ſeulement ne m’en eſt pas connuë.	La maison seulement ne m'en est pas connue.
LE DOCTEVR.	LE DOCTEUR.
La voilà franc pendart, deſtournez-en la veuë, Ou bien j’iray moy-meſme aduertir ſes parens, A dieu, gouuernez-vous & r’apellez vos ſeus.	La voilà franc pendard, détournez-en la vue, Ou bien j'irai moi-même avertir ses parents, A dieu, gouvernez-vous et rappelez vos zeus.
SCENE VII	SCÈNE VII
L’EANDRE.	L'EANDRE.
Ette femme gardée à toute heure, ſans-ceſſe, our m’apprendre ſes feux à trouué cette adreſſe Ie ne l’ay iamais veuë, & ne la connois pas, Irraur qu'elle ait en moy trouué quelques appas, Et que pour arriuer au bon-heur que i’eſpere, Elle m’inſtruiſe ainſi de ce que ie dois faire;	Ette femme gardée à toute heure, sans-cesse, our m'apprendre ses feux à trouvé cette adresse Je ne l'ai jamais vue, et ne la connais pas, Iraur qu'elle ait en moi trouvé quelques appas, Et que pour arriver au bonheur que j'espère, Elle m'instruise ainsi de ce que ie dois faire;
Proſitons, s’il ſe peut, de cette occaſion,	Prositons, s'il se peut, de cette occasion,
SCENE IX.	SCÈNE IX.
LEANDRE, TRAPOLIN armé à la porte, ISABELLE à la feneſtre.	LÉANDRE, TRAPOLIN armé à la porte, ISABELLE à la fenêtre.
ISABELLE.	ISABELLE.
7Oila le cher obiet qui fait ma paſſion, V Laruze a reüſſi, l’amour eſt vn grand maiſtre.	7Oila le cher objet qui fait ma passion, V Aruze a réussi, l'amour est un grand maître.
LEANDRE.	LÉANDRE.
Sans doute que voila la Dame à la feneſtre, Dieux la rare merueille, amour ie ſuis heureux, Il faut luy témoigner meſme ardeur, meſmes feux, Adreſſons vn diſcours à ce valet pour elle, C’eſt ſi ie l’ay compris le deſir de la belle.	Sans doute que voilà la Dame à la fenêtre, Dieux la rare merveille, amour ie suis heureux, Il faut lui témoigner même ardeur, mêmes feux, Adressons un discours à ce valet pour elle, C'est si tu l'ai compris le désir de la belle.
TRAPOLIN.	TRAPOLIN.
Qui vala, qui vala, qui vala, qui qui qui.	Qui vala, qui vala, qui vala, qui qui qui.
LEANDRE.	LÉANDRE.
Vn homme qui vous aime, & voſtre bon amy, Monbraue ie vous dois, oüy ie vous dois la vie, Sans vous par des voleurs elle m’eſtoit rauie.	Un homme qui vous aime, et votre bon ami, Monbrave personne vous dois, oui toujours vous dois la vie, Sans vous par des voleurs elle m'était ravie.
TRAPOLIN.	TRAPOLIN.
Moy ie vous ay ſeruy?	Moi ici vous ai servi?
Quand ay-ie fait cela?	Quand ai-je fait cela?
LEANDRE.	LÉANDRE.
Tantoſt mon braue Hector quand ie paſſois par là Alexandre, Orondate, Achille.	Tantôt mon brave Hector quand on passais par là Alexandre, Orondate, Achille.
TRAPOLIN.	TRAPOLIN.
Ie me nomme Trapolin, autrement le braue & galand homme?	Je me nomme Trapolin, autrement le brave et galant homme?
Mais quand aurois-ie fait cette belle action, Il eſt vray que mon bras eſt d’execution, Ie frape rudement, ie ſuis inexorable.	Mais quand aurais-je fait cette belle action, Il est vrai que mon bras est d'exécution, Je frappe rudement, je suis inexorable.
LEANDRE.	LÉANDRE.
Lors que vous vous battez vous frapez comme vn Diable.	Lors que vous vous battez -vous frappez comme un Diable.
TRAPOLIN.	TRAPOLIN.
La nuit paſſée encor ie ſongeois fortement Que ie me battois bien, & genereuſement, Peut-eſtre en ce temps-là ie vous ſauuay la vie.	La nuit passée encor ie songeais fortement Que on me battais bien, et généreusement, Peut-être en ce temps-là Princes vous sauvai la vie.
LEANDRE.	LÉANDRE.
Certes ie vous la dois, mon ame en eſt rauie)	Certes ie vous la dois, mon âme en est ravie)
TRAPOLIN.	TRAPOLIN.
Ie l’auois oublié,	Je l'avais oublié,
LEANDRE.	LÉANDRE.
L’on ne ſe ſouuient pas Touſiours des actions, & du cœur & du bras.	L'on ne se souvient pas Toujours des actions, et du cœur et du bras.
C iij	Ç Cijà
TRAPOLIN.	TRAPOLIN.
le commence d'le voir.	le commence d'le voir.
LEANDRE.	LÉANDRE.
I'ay ſuiuy les Eſcoles, Et ie ne ſçay pas mal arranger mes paroles;	J'ai suivi les Écoles, Et grands ne sais pas mal arranger mes paroles;
Souffrez que ie vous faſſe vn petit compliment, Que ie vous veux donner mon braue en payement.	Souffrez que personne vous fasse un petit compliment, Que je vous veux donner mon brave en paiement.
TRAPOLIN.	TRAPOLIN.
Ie ſuis dans les honneurs, me voila dans le luſtre, Il n’eſt que de ſe faire & de ſe rendre illuſtre;	Je suis dans les honneurs, me voilà dans le lustre, Il n'est que de se faire et de se rendre illustre;
Jarlez, ie vous entends.	Jarlez, Seigneur vous entends.
LEANDRE à ſa Dame.	LÉANDRE à sa Dame.
Iracle de nos iours, admirable ſuiet M d’eſtime, treſor de perfections, diuinité viſible, i’éprouue en ce moment que vous voir & deuenir voſtre captif eſt vne meſme choſe:	Jracle de nos jours, admirable sujet M 'estime, trésor de perfections, divinité visible, j'éprouve en ce moment que vous voir et devenir votre captif est une même chose:
que de vous connoiſtre & vous aymer, ſont deux actes inſeparables, & qu’il eſt conſtant qu’on ne peut plus viure que pour vous, quand on s’eſt trouué aſſez heureux pour vous connoiſtre;	que de vous connaître et vous aimer, sont deux actes inséparables, et qu'il est constant qu'on ne peut plus vivre que pour vous, quand on s'est trouvé assez heureux pour vous connaître;
vous m’auez fait vne grace dont ie ul’aduouë̃ indigne;	vous m'avez fait une grâce dont ici ul'avoue indigne;
car i’ay fort bien com" pris que vous me deſirez à voſtre ſeruice, ie vous conſacre ma vie;	car j'ai fort bien com" pris que vous me désirez à votre service, je vous consacre ma vie;
& pour vous faire vn ſerment ſolemnel, ie iure par vousmeſme que tant qu’elle durera, ie ſeray tout voſtre.	et pour vous faire un serment solennel, on jure par vousmesme que tant qu'elle durera, On serai tout votre.
Les Dieux ne doiuent point parler aux mortels, ils ont des façons muettes pour s’expliquer, vſez-en de meſme, vous pouuez d’vn regard m’apprendre s’y vous ſouhaittez que ie continuë à vous ſeruir.	Les Dieux ne doivent point parler aux mortels, ils ont des façons muettes pour s'expliquer, us-en de même, vous pouvez d'un regard m'apprendre s'y vous souhaitez que ainsi continue à vous servir.
Si vous m’aimez, & ſi vous deſirez que ie yous ayme touſiours.	Si vous m'aimez, et si vous désirez que je yous aime toujours.
Elle luy fait ſigne, & luy témoigne qu’elle Taſme.	Elle avait fait signe, et et témoigne qu'elle Tâme.
TRAPOLIN.	TRAPOLIN.
Ah!	Ah!
vous auez eſprit, Trapolin vous le dit, On ne m’a iamais fait vn ſi galand debit, Mais bien qu’en tout icy mon eſprit vous admire, I'y trouue toutefois quelque choſe à redire, Vous remuez les yeux beaucoup plus qu’il ne faut, Pour moy ce compliment eſt de deux pieds trop haut, Il faut ſelon mon ſens que l’on proportionne Les regards à l’obiet, les mots à la perſonne.	Vous avez esprit, Trapolin vous le dit, On ne m'a jamais fait un si galant débit, Mais bien qu'en tout ici mon esprit vous admire, J'y trouve toutefois quelque chose à redire, Vous remuez les yeux beaucoup plus qu'il ne faut, Pour moi ce compliment est de deux pieds trop haut, Il faut selon mon sens que l'on proportionne Les regards à l'objet, les mots à la personne.
LEANDRE.	LÉANDRE.
Hé bien, vne autrefois Monſieur ie le feray, Vous deuez cependant m’en ſçauoir fort bon gré,	Hé bien, quelque autrefois Monsieur ie le ferai, Vous devez cependant m'en savoir fort bon gré,
TRAPOLIN.	TRAPOLIN.
Allez ie ſuis content, & ie vous remercie, Employez-moy touſiours à vous ſauuer la vie;	Allez Seigneur suis content, et ainsi vous remercie, Employez-moi toujours à vous sauver la vie;
On me craint, on m’eſtime, & l’on fait cas de moy, Il n’eſt ma foy rien tel que d’eſtre dans l’employ;	On me craint, on m'estime, et l'on fait cas de moi, Il n'est ma foi rien tel que d'être dans l'emploi;
Mais au combat ie ſuis par trop inexorable, Tréue pour vn moment, allons trinquer en diable,	Mais au combat esprit suis par trop inexorable, Trêve pour un moment, allons trinquer en diable,
SCENE X.	SCÈNE X.
COLINETTE ſeule.	COLINETTE seule.
E ne ſçay ma foy plus comment me ménager, Ces diables de Blondins me font tous enrager, L’vn me prend mes galands, l’autre me prend mes treſſes, homerone mume maux eforce de careſſes, I’aimerois mieux mourir que perdre mon honneur, Ie me ſouuiens du iour que i’en perdis la fleur:	E ne sais ma foi plus comment me ménager, Ces diables de Blondins me font tous enrager, L'un me prend mes galants, l'autre me prend mes tresses, homérone mume maux eorce de caresses, J'aimerais mieux mourir que perdre mon honneur, Je me souviens du jour que j'en perdis la fleur:
Mais en ligne directe, & par le mariage, Ie parus ſi pudique, & ſi ſimple, & ſi ſage, Dame, i’eſtois jolie & i’auois des appas, Ie ſuis encor paſſable, & ie ne déplais pas, Le veuſuage m’ennuye, il faut que ie l’auouë.	Mais en ligne dire, et par le mariage, Je parus si pudique, et si simple, et si sage, Dame, j'étais jolie et j'avais des appas, Je suis encor passable, et ainsi ne déplais pas, Le veusuage m'ennuie, il faut que sans l'avoue.
SCENE XI.	SCÈNE XI.
LEANDRE, COLINETE,	LÉANDRE, COLINETE,
LEANDRE.	LÉANDRE.
HI voicy noſtre fole, il faut que ie m’en I iouë.	HI voici notre sole, il faut que je m'en I Joue.
COLINETE.	COLINETE.
Dieux!	Dieux!
fuyons ces Coquets & leurs friands diſ	fuyons ces Coquets et leurs friands dis
LEANDRE.	LÉANDRE.
Hé bien rare beauté me fuirez-vous touſiours?	Hé bien rare beauté me fuirez-vous toujours?
Peut-on voir ce beau ſein & cette belle gorge.	Peut-on voir ce beau sein et cette belle gorge.
COLINETE.	COLINETE.
Tredame vous ardez plus qu’vne ardente forge, Laiſſez moy, laiſſez moy, que me voulez-vous donc?	Tredame vous ardez plus qu'une ardente forge, Laissez -moi, laissez moi, que me voulez-vous donc?
LEANDRE.	LÉANDRE.
Ie veux toucher ce ſein, cét aimable teton.	Je veux toucher ce sein, cet aimable téton.
COLINETE.	COLINETE.
Diable de ſuborneur, allons tu n’eſt pas ſage;	Diable de suborneur, allons tu n'est pas sage;
On ne peut toucher là que par le mariage:	On ne peut toucher là que par le mariage:
Ieunes filles croyez que tous les caioleurs, Sont tous des incõſtans, des fourbes, des menteurs, On meine à billets doux, & puis à ſerenades, De là vont à viſitte, à Bal, à promenades;	Jeunes filles croyez que tous les caioleurs, Sont tous des incõstans, des fourbes, des menteurs, On mène à billets doux, et puis à sérénades, De là vont à vite, à Bal, promenades;
Et c’eſt là qu’on ſe prend comme glus à monneaux Dedans le trebuchet de nos godelureaux, Auec tout cela ie t’aime mon Leandre.	Et c'est là qu'on se prend comme glus à monneaux Dedans le trébuchet de nos godelureaux, Avec tout cela Ne t'aime mon Léandre.
LEANDRE.	LÉANDRE.
Moy, ie ne t’aime point, va-t'en de faire pendre, Ie n’ay pas le loiſir de ioüer auec toy, l’ay trop affaire ailleurs.	Moi, Seigneur ne t'aime point, va-t'-en de faire pendre, Je n'ai pas le loisir de jouer avec toi, l'ai trop affaire ailleurs.
COLINETE ſeule.	COLINETE seule.
Il eſt ioly ma foy, Va fripon, va pendart, morueux, Iean de Niuelle, Il t’appartient vrayment d’auoir l’ame cruelle, D’auoir de la rigueur & de la cruauté, Sans doute vous verrez qu’il eſtoit degouſté;	Il est joli ma foi, Va fripon, va pendard, morveux, Jean de Nivelle, Il t'appartient vraiment d'avoir l'âme cruelle, D'avoir de la rigueur et de la cruauté, Sans doute vous verrez qu'il était degousté;
Nous ſommes fort mal faite & beaucoup déchirée, Encor vn coup fripon, va chercher ta danrée, Monſieur de criquenique, excroc, & frelampié, Maraut, croquant, fripon, pied gris, pied plat, plat pied, Va ie ne t’aime plus, mon ame eſt enragée, Ie ie feray perir, & ie mourray vengée:	Nous sommes fort mal faite et beaucoup déchirée, Encor un coup fripon, va chercher ta danrée, Monsieur de criquénique, excroc, et frêlampié, Maraud, croquant, fripon, pied gris, pieds plat, plat pied, Vaque ne t'aime plus, mon âme est enragée, Je ie ferai périr, et Seigneur mourrai vengée:
Helas, ie l’aime encor & ie mourray d’ennuy, Allons dans vn deſert pour nous plaindre de luy.	Hélas, Madame l'aime encor et ainsi mourrai d'ennui, Allons dans un désert pour nous plaindre de lui.
SCENE XII.	SCÈNE XII.
LE DOCTEVR.	LE DOCTEUR.
L faut vn peu ſçauoir de cette belle Dame bi Leandre s’obſtine à luy montrer ſa flâme, Ho ho là.	L faut un peu savoir de cette belle Dame by André s'obstine à notre montrer sa flamme, Ho ho là.
SCENE XIII.	SCÈNE XIII.
TRAPOLIN, LE DOCTEVR, ISABELLE.	TRAPOLIN, LE DOCTEUR, ISABELLE.
TRAPOLIN mangeant.	TRAPOLIN mangeant.
JVi vala, redoutez mon couroux, Ah!	JUi vala, redoutez mon courroux, Ah!
venez Reuerend, on ne craint rien de vous.	venez Reverend, on ne craint rien de vous.
LE DOCTEVR.	LE DOCTEUR.
Hé bien noſtre eſtourdy ceſſe-t’il ſa pourſuite?	Hé bien notre étourdi cesse-t-il sa poursuite?
ISABELLE.	ISABELLE.
Il fait pis que iamais, ſans mentir il m’irrite, Vous n’auez pas ſuiuy ma iuſte intention, Ou bien il ne ſuit pas voſtre correction;	Il fait pis que jamais, sans mentir il m'irrite, Vous n'avez pas suivi ma juste intention, Ou bien il ne suit pas votre correction;
Loin de ſe corriger, & deuenir plus ſage.	Loin de se corriger, et devenir plus sage.
Il m’a deſobligé par vn nouuel outrage;	Il m'a desobligé par un nouvel outrage;
Il faut qu’il ait eſté conſulter les Demons, Que d’eux & non de vous il ſuiue les leçons, Il a ſçeu découurir au bois de noſtre porte Vne petite fente, & ſa malice accorte, A mis dans cette fente vn petit billet doux, Qui le trouuant m’a mis dedans vn grand courouxx Mais ce qui m’a ietté dans la derniere rage, C’eſt que i’ay iuſtement trouué dans mon paſſage.	Il faut qu'il ait été consulter les Demons, Que d'eux et non de vous il suive les leçons, Il a su découvrir au bois de notre porte Une petite fente, et sa malice accorte, A mis dans cette fente un petit billet doux, Qui le trouvant m'a mis dedans un grand courrouxx Mais ce qui m'a jeté dans la dernière rage, C'est que j'ai justement trouvé dans mon passage.
Cette bourſe qui tient quatre cens Louïs d’or, La voilà rendez-luy, puis luy dites encore Qu’il ſçait peu ce qu’il fait, que ſãs doute il ignore, Que pour la vertu meſme icy chacun m’honnore, Quę ie ne ſuis pas femme à prendre ſes Loüis, Que les y eux de quelqu’autre en ſeroient ébloüis, Et que s’il reuient plus auprés de cette porte;	Cette bourse qui tient quatre cents Louis d'or, La voilà rendez-lui, puis quelque fin encore Qu'il sait peu ce qu'il fait, que sans doute il ignore, Que pour la vertu même ici chacun m'honore, Quen ie ne suis pas femme à prendre ses Louis, Que les y eux de quelqu'autre en seraient éblouis, Et que s'il revient plus auprès de cette porte;
Il aura ce qu’on doit aux galands de ſa ſorte.	Il aura ce qu'on doit aux galants de sa sorte.
LE DOCTEVR.	LE DOCTEUR.
Allez ie vous promets qu’il n’y reuiendra plus, Ah!	Allez ie -vous promets qu'il n'y reviendra plus, Ah!
le méchant pendart, me voila tout confus.	le méchant pendard, me voilà tout confus.
ISABELLE.	ISABELLE.
Ah!	Ah!
s’il y reuient plus, pour corriger ſa ſlâme, Ie le feray tuer, i’en iure par mon ame.	s'il y revient plus, pour corriger sa slâme, Je le ferai tuer, j'en jure par mon âme.
LE DOCTEVR.	LE DOCTEUR.
Veillez luy pardonner encore pour cette fois!	Veillez Seigneur pardonner encore pour cette fois!
ISABELLE.	ISABELLE.
Comme moy que d’honneur il ſuiue dons les Lois A Dieu,	Comme moi que d'honneur il suive dons les Lois À Dieu,
SCENE XIV.	SCÈNE XIV.
LEANDRE, LE DOCTEVR;	LÉANDRE, LE DOCTEUR;
LE DOCTEVR.	LE DOCTEUR.
y'Ertu, vertu, comme auez vous pû faire, V Pour trouuer vne femme & fidelle & ſincere.	y'Ertu, vertu, comme avez vous pu faire, V Pour trouver une femme et fidèle et sincère.
LEANDRE.	LÉANDRE.
Depuis que ie t’ay veut adorable beauté, Ie ſouffre inceſſamment, ie ſuis inquieté, Et dans l’eſpoir de voir ma flâme couronnée, Vn moment m’eſt vn iour, vn iour m’eſt vne aunée.	Depuis que ici t'ai veut adorable beauté, Je souffre incessamment, Elle suis inquiété, Et dans l'espoir de voir ma flamme couronnée, Un moment m'est un jour, un jour m'est une aunée.
LE DOCTEVR.	LE DOCTEUR.
Hé bien méchant garçon, orgueilleux ſuborneur, Tu n’as pas eſté voir cette femme d’honneur.	Hé bien méchant garçon, orgueilleux suborneur, Tu n'as pas été voir cette femme d'honneur.
LEANDRE.	LÉANDRE.
Quoy, qu’eſt-il arriué?	Quoi, qu'est-il arrivé?
LE DOCTEVR.	LE DOCTEUR.
La fente de la porte;	La fente de la porte;
Tu vas de fente en fente, & la fente t’emporte, D ij Prens bien garde à la fente, & que fente iamais, Ne te porte à porter d’impertinens poulets.	Tu vas de fente en fente, et la fente t'emporte, D aj Ends bien garde à la fente, et que fente jamais, Ne te porte à porter d'impertinens poulets.
LEANDRE.	LÉANDRE.
Pater, expliqué vous.	Pater, expliqué vous.
LE DOCTEVR.	LE DOCTEUR.
Cette Dame eſt venuë Se plaindre encor à moy de ton ardeur connuë, Mais elle t’auertit d’éuiter ſon couroux, Et m’a dit que tu viens de mettre vn billet vn doux Par la fente de l’huis, qu’à peine on peut cõnoiſtre, Certes il faut que tu ſois en amour vn grãd maiſtre, Et que deſſus le ſeüil ſe font trouuer encor, Outre le billet doux quatre cens Louïs d’or;	Cette Dame est venuë Se plaindre encor à moi de ton ardeur connue, Mais elle t'avertit d'éviter son courroux, Et m'a dit que tu viens de mettre un billet un doux Par la fente de l'huis, qu'à peine on peut cõnoistre, Certes il faut que tu sois en amour un grãd maître, Et que dessus le seüil se font trouver encor, Outre le billet doux quatre cents Louïs d'or;
Les voilà qu’elle rend, ſa vertu s’en offence, Ils te feront beſoin pour quelqu’autre deſpence, Enfin elle m’a dit que toutes les vertus, Prennent ſon intereſt ne t’épargneront plus, La vertuchou viendra pour te caſſer la teſte, La vertubleu le nez de meſme qu’à la feſte, La vertu-guienne encor ne tépargnera pas, Et les autres vertus te caſſeront les bras;	Les voilà qu'elle rend, sa vertu s'en offense, Ils te feront besoin pour quelque autre dépense, Enfin elle m'a dit que toutes les vertus, Prennent son intérêt ne t'épargneront plus, La vertuchou viendra pour te casser la tête, La vertubleu le nez de même qu'à la fête, La vertu-guienne encor ne tépargnera pas, Et les autres vertus te casseront les bras;
Enfin, prens garde à toy, ton ame eſt aduertie, Bon aduerty vaut deux, prends donc ſoin de ta vie.	Enfin, prends garde à toi, ton âme est avertie, Bon averti vaut deux, prends donc soin de ta vie.
Le Doctaur ſont.	Le Doctaur sont.
LEANDRE.	LÉANDRE.
Bon aduerty vaux deux en matiere d’amour, Ah!	Bon averti vaux deux en matière d'amour, Ah!
bel Aſtre plus beau que n’eſt l’Aſtre du iour,	bel Être plus beau que n'est l'Astre du jour,
O femme genereuſe, & beauté ſans pareille, Me donner cette bourſe?	Ô femme généreux, et beauté sans pareille, Me donner cette bourse?
amour, qu’elle merueille, Pour me faire vn preſent feindre que ie l’ay fait, Qu'elle eſprit, qu’elle adreſſe, & quel bijarre effet, Suppoſant vn billet, cette Reyne des belles, M’aprend qu’elle ſouhaite auoir de mes nouuelles, La fente de la porte, & le petit endroit, par où ie luy feray tenir quelque billet, En me venant noircir, en me faiſant coupable.	amour, qu'elle merveille, Pour me faire un présent feindre que ie j'ai fait, Qu'elle esprit, qu'elle adresse, et quel bijarre effet, Supposant un billet, cette Reine des belles, M'apprend qu'elle souhaite avoir de mes nouvelles, La fente de la porte, et le petit endroit, par où ie luy ferai tenir quelque billet, En me venant noircir, en me faisant coupable.
Elle m’inſtruit de tout, elle m’eſt fauorable, Voicy des vers tout preſts, allons les y porter, Par ce petit endroit qu’elle m’a ſçeu dicter, Il y faut adiouſter quelque reconnoiſſance, Des quatre cens Louïs, & de ſa bien-veillance.	Elle m'instruit de tout, elle m'est favorable, Voici des vers tout prêts, allons les y porter, Par ce petit endroit qu'elle m'a su dicter, Il y faut ajouter quelque reconnaissance, Des quatre cens Louis, et de sa bienveillance.
Leandre écrit au bas des vers quelque prot de Peje.	Lé crit au bas des vers quelque prot de Péje.
Voila la fente amour ſeconde mon deſſein, Et faits que ce billet tombe en ſa belle main,	Voilà la fente amour seconde mon dessein, Et faits que ce billet tombe en sa belle main,
SCENE XV.	SCÈNE XV.
ISABELLE à la feneſtre.	ISABELLE à la fenêtre.
L a mis le billet, prenons-le pour le lire, IIl a fort bien compris qu’il me deuoit écrire.	L a mis le billet, prenons-le pour le lire, IIl a fort bien compris qu'il me devait écrire.
Elle lit le billet.	Elle lit le billet.
Ie ſuis vn eſclaue ſoubmis Deſſous le ioug de voſtre Empire, Et ie diray s’il m’eſt permis Que pour vous ſeule ie reſpire, Et que iuſqu’aux Enfers Ie porteray vos fers.	Je suis un esclave soumis Dessous le joug de votre Empire, Et ie diray s'il m'est permis Que pour vous seule rien respire, Et que jusqu'aux Enfers Je porterai vos fers.
Ie reçois voſtre preſent, parce que ie paroiſtrois trop vain en le refuſant;	Je reçois votre présent, parce que je paraîtrais trop vain en le refusant;
Mais ſçachez que mon amour s’irrite vn peu de ce que vous luy voulez dõner des liẽs dorez;	Mais sachez que mon amour s'irrite un peu de ce que vous voulez donner dõner des liens dorés;
Si vous auiez ce deſſein, il ne faloit me donner que trois nœuds de vos cheueux, Ie ſuis trop genereux pour en receuoir d’autres, & ie ne reçois' ces quatre cens piſtolles que pour vous plaire, & pour vous faire voir que ie faits tout ce qui vous plaiſt ordonner à voſtre Leandre,	Si vous aviez ce dessein, il ne fallait me donner que trois nœuds de vos cheveux, Je suis trop généreux pour en recevoir d'autres, et ainsi ne reçois ces quatre cens pistoles que pour vous plaire, et pour vous faire voir que sans faits tout ce qui vous plaît ordonner à votre Léandre,
Que ſon ſtile eſt galand, il eſt indiſpenſable De luy rien refuſer, il eſt par trop aimable, Trouuons denc le moyen qu’il vienne en maiſon,	Que son style est galant, il est indispensable De tu rien refuser, il est par trop aimable, Trouvons denc le moyen qu'il vienne en maison,
SCENE XVI.	SCÈNE XVI.
ISABELLE, TRAPOLIN,	ISABELLE, TRAPOLIN,
TRAPOLIN.	TRAPOLIN.
velbillet tenez vous?	velbillet tenez vous?
ISABELLE:	ISABELLE:
Là?	Là?
c'eſt vne Oraiſos Merueilleuſe à calmer vn peu d’inquietude, Pour appaiſer l’aigreur du tourment le plus rude.	c'est une Oraisos Merveilleuse à calmer un peu d'inquiétude, Pour apaiser l'aigreur du tourment le plus rude.
TRAPOLIN.	TRAPOLIN.
Ah!	Ah!
