A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
Que i’auray d’aſe alors que des Lombaards le Roy Ce Lougin aura mis en triſte deſarroy:	Que j'aurai d'aze alors que des Lombaards le Roi Ce Lougin aura mis en triste désarroi:
Ie croy qu’incontinent de l’Empereur la femne S’ouurira par dépit l’eſtomach d’vne lame.	Je crois qu'incontinent de l'Empereur la femne S'ouvrira par dépit l'estomac d'une lame.
Car bien ſouuent la Femme est ſuiette à ce mal Dont haritiere elle est du Monarque infernal Qui ſes deſſeins conduiſt, & qui la fauoriſe En ſes mechancetez, & damnable entrepriſe, Que voyaut ſon orgueil rabaiſſe par quelqu’vn, Elle court à la mort ſon remede commun.	Car bien souvent la Femme est suite à ce mal Dont haritière elle est du Monarque infernal Qui ses desseins conduist, et qui la favorise En ses méchanceté, et damnable entreprise, Que voyaut son orgueil rabaisse par quelqu'être, Elle court à la mort son remède commun.
Roſemonde.	Rosemonde.
O Pere des humans!	Ô Père des humants!
grand Dieu qui ſeul ordonnes Des afures des Rois comme d’autres perſonnes!	grand Dieu qui seul ordonnes Des afures des Rois comme d'autres personnes!
Qui nous fais ſauourer le miel de ta faueur Quand nous n’eſperons plus qu’vn eternel malheur:	Qui nous fais savourer le miel de ta faveur Quand nous n'espérons plus qu'un éternel malheur:
Seul autheur de tout bien, qui pour la race humemne Veux que ce grand ſl inbeau par les Cieux ſe promeins, Ce pere donne iour qui de ſes rayous d’or Nos campagnes iauniſt, & voit mon heur encor.	Seul auteur de tout bien, qui pour la race humemne Veux que ce grand sûl inbeau par les Cieux se promeins, Ce père donne jour qui de ses rayous d'or Nos campagnes jaunît, et voit mon heur encor.
Et ernel tout puiſſant humble ie te rens grace De ce qu’ores ie tiens de grand Reine la place, Femne du Roy Lombard l’indonuable Albouin Qui m’aime & me cherit d’vn amour tout diuin, Apres auoir eſte long temps chez luy ſeruante Comme eſclaue butin des Looides rest mite.	Et ernel tout puissant humble ie te rens grâce De ce qu'ores un tiens de grand Reine la place, Femne du Roy Lombard l'indonvable Albouin Qui m'aime et me chérit d'un amour tout divin, Après avoir été long temps chez avoir servante Comme esclaue butin des Looides rest mite.
Grand Monarque du Ciel, & de tout l’vniuers Que tu es admirable en tes eſſets diuers!	Grand Monarque du Ciel, et de tout l'Hivers Que tu es admirable en tes essets divers!
De file d’vn graud Prince, Eſclaue me ſais veuë, D’eſclaue, ie me voy de Couronne pourueuë.	De file d'un graud Prince, Esclave me sais vue, D'esclaue, quelque me vois de Couronne pourvue.
L’inuincible Albouin que tu as tant cheri, Que fortune, & le ſort tiennent leur ſauori, M'a pour femme choiſie, & par mainte careſſe,	L'invincible Albouin que tu as tant chéri, Que fortune, et le sort tiennent leur savori, M'a pour femme choisie, et par mainte caresse,
Me nomme ſon Amour, ſon Cœur, & ſa Maitreſſe.	Me nomme son Amour, son Cœur, et sa Maîtresse.
Il reuit en moy ſeulle, & bienheure le jout Qu’il ſit captif par moy ſouz les loix de l’Amour, Comme auſii ie beny cette heureuſe iournee Que nous fuſmes liez ſouz le ioug d’Hymenee.	Il révit en moi seulle, et bienheure le jout Qu'il sit captif par moi souz les lois de l'Amour, Comme aussi le beny cette heureuse journée Que nous fûmes liés sous le joug d'Hymène.
Vn grand bien m eſt venu d'vn funereux malheur D'vn exireme deſastre est ſorit mon bon heur.	Un grand bien m' est venu d'un funereux malheur D'un exireme désastre est sotit mon bon heur.
De mon pere la mort me rendit priſonniere Dolente Concubine, & ſeruante ordinaire De ſon meuririer cruel:	De mon père la mort me rendit prisonnière Dolente Concubine, et servante ordinaire De son mûririer cruel:
ô dure aſliction Que malheureuſe estoit lors ma condition.	ô dure asliction Que malheureuse était lors ma condition.
Mais comme toute choſe à ſa ſource retourne, Et comme le malheur bien ſouuent ne ſeiourue En vn lieu ſi long tems, Albeuin veuf estant Pour Epouſe me prit, qu’er il va reſpectant.	Mais comme toute chose à sa source retourne, Et comme le malheur bien souvent ne seiourue En un lieu si long tems, Albeuin veuf étant Pour Épouse me prit, qu'er il va respectant.
Ie ſuis donc auieurd hoy d’Eſclaue mi ſerable Du Monarque Alboüin la femme venerable, Qu’honoroieut les Hongrois, & les Vuiniliens, Ie me voy retournez les honneurs anciens, Et plus grands mille fous, qu’au temps que feu mon pirs, Me tenoit cherement paiſible aues ma Mere.	Je suis donc auieurd hoi d'Esclave mi serable Du Monarque Albouin la femme vénérable, Qu'honoroieut les Hongrais, et les Vuiniliens, Je me vois retournez les honneurs anciens, Et plus grands mille fous, qu'au temps que feu mon pirs, Me tenait chèrement paisible êtes ma Mère.
c’est de ta ſeulle grace, ô grand Dieu tout puiſſint Souz qui cet vniuers touſiours va flechiſſant, Auſſi ie chauteray ta non mourante gloire, Et de tant de bienfaits i’auray touſiours memoire.	c'est de ta seulle grâce, ô grand Dieu tout puissint Souz qui cet univers toujours va fléchissant, Aussi ici chauterai ta non mourante gloire, Et de tant de bienfaits j'aurai toujours mémoire.
Alboüin.	Alboullin.
Hé comment ma mignonne?	Hé comment ma mignonne?
& qui vous meine ici, Que faites vous penſiue & ſolit aire ainſi?	et qui vous mène ici, Que faites vous pensive et solit aire ainsi?
Quel ſuiet vous incite à demeurer ſeulette?	Quel sujet vous incite à demeurer seulette?
Roſemonde.	Rosemonde.
Sire, ie n’ay d’affaire aucunement ſecrette, Et n’y a pas long temps que ie ſuu en ce lieu Admirant à part moy les effeis du grand Dien Qui de poure Princeſſe auiourd’huy me fait eſtre L'Epeuſe d’vn grand Roy dont l’inuincible dextre A tant domté de Rois, & veincu d'ennemis Qu’au raug des Demi-Dieux il merite eſtre mis.	Sire, Seigneur n'ai d'affaire aucunement secrète, Et n'y a pas long temps que ie suivis en ce lieu Admirant à part moi les effeis du grand Dien Qui de pôvre Princesse aujourd'hui me fait être L'Epeuse d'un grand Roi dont l'invincible dextre A tant domté de Rois, et veincu d'ennemis Qu'au raug des Demi-Dieux il mérite été mis.
Alboüin.	Alboullin.
V'ous pouuez vous vanter ò mon ame demie, D'iſtre auiourd huy d’vn Roy l’vnique & vraye anie Qui vous lonore, & priſe, & cherit eucor mieux Que ſon cœir, que ſen ane, & ſa vie & ſes yeux.	V'ous pouvez -vous vanter âme mon âme demie, D'istre aujourd' hui d'un Roi l'vnique et vraie anie Qui vous lonore, et prise, et cherit eucor mieux Que son cœir, que sen ane, et sa vie et ses yeux.
Muis auez vous bien ſçeu comme toute à cette heure I'ay reſolu quiter rette belle demeure?	Muis avez -vous bien su comme toute à cette heure J'ai résolu quit te belle demeure?
Roſemonde.	Rosemonde.
Que dites vous bon Dieu?	Que dites -vous bon Dieu?
Ie n’en ay rien apris.	Je n'en ai rien appris.
Albouin.	Albouin.
Dur l'aduis de Narcez, cela i’ay entrepris, Pour aller conquerir cette riche Campagne Que de ſes eleres eaux le Tybre ondoyaut bagne:	Dur l'avis de Narcez, cela j'ai entrepris, Pour aller conquérir cette riche Campagne Que de ses élères eaux le Tibre ondoyaut bagne:
A ious mes chefi ie vay ce deſſein propoſer Qu'ils executeront ſans rien temporiſer.	À jous mes chefi On vais ce dessein proposer Qu'ils exécuteront sans rien temporiser.
Roſemonde.	Rosemonde.
I’ay crainte de ne voir cette haute entrepriſe, Selon voſtre vouloir à fin heureuſe miſe.	J'ai crainte de ne voir cette haute entreprise, Selon votre vouloir à fin heureuse mise.
Alboüin.	Alboullin.
Alloüin, & ſon ſort peuuent tout ſurmonter.	Alloüin, et son sort peuvent tout surmonter.
Roſemonde.	Rosemonde.
Toutesſois du grand Dieu l'ire il faut redouter.	Toutessais du grand Dieu l'ire il faut redouter.
Alboüin.	Alboullin.
Il conduit mes deſſelns, & luy meſme prend cure De m’adreſſer touſiours quelque bonne auenture.	Il conduit mes desselns, et et Seigneur prend cure De m'adresser toujours quelque bonne aventure.
Ie ne veux toutesfois ſans prendre auis des miens Ii tost m’aller camper aux murs Romuli ens.	Je ne veux toutefois sans prendre avis des miens Ji tost m'aller camper aux murs Romuli ens.
es voici tous enſemble, il faut leur faire entendre, Qe ie veux außi tost pres du Tibre me rendre.	es voici tous ensemble, il faut leur faire entendre, Qe On veux aussi tôt pres du Tibre me rendre.
Ne bougez chere Epouſe.	Ne bougez chère Épouse.
Inuincibles Lombard, Qui tant auez couru de perilleux haz irds, Bien que par ma valeur qui n’est à tous commune Conduite heureuſement d’vne bonne fortune, Mon nom ſoit celebré par mile, & mille lieux, Les Princes ſubiugant les plus audacieux:	Invincibles Lombard, Qui tant avez couru de périlleux has irds, Bien que par ma valeur qui n'est à tous commune Conduite heureusement d'une bonne fortune, Mon nom soit célébré par mile, et mille lieux, Les Princes subiugant les plus audacieux:
Bien que i’aye conquis par ma force guerriere Munt païs, pris d’aſſaut mainte ville frontiere:	Bien que j'aie conquis par ma force guerrière Munt pays, pris d'assaut mainte ville frontière:
Et que mes bataillons en mille, & mille parts Ayent ſouz moy porte les Lombards estendars, Que les barbares Goths ayent eu counoiſſance De ma bruſque valeur, & de vostre puiſſance Lors que Narcez, & moy demeuraſmes veinqueurs Baignant leurs eſcadrous dans le ſang, & les pleurs.	Et que mes bataillons en mille, et mille parts Ayent souz moi porte les Lombards étendards, Que les barbares Goths aient eu counaissance De ma brusque valeur, et de votre puissance Lors que Narcès, et moi demeurâmes veinqueurs Baignant leurs escadrous dans le sang, et les pleurs.
Bien qu’encor le Zepide, & ſon grand Roy Comonſt Ait ven que ma puiſſance est à nulle ſeconde.	Bien qu'encor le Zépide, et son grand Roi Comonst Ait ven que ma puissance est à nulle seconde.
Et que tous mes deſſeins fauoriſés des Cieux Lon ait veu proſperer par ce roud ſpacieux.	Et que tous mes desseins favorisés des Cieux Lon ait vu prospérer par ce roud spacieux.
Si ne laiſſerons nous de touſiours entreprendre Quelque choſe de grand pour immortels ſe rendres Iopoit que pouriamen noſtre los florira Et que le nom Lombard s’immort aliſera, Cardeſi a nos beaux faits excellemment inſignes, Par tous les ſiecles ſont de reuiure aſſez dignes.	Si ne laisserons nous de toujours entreprendre Quelque chose de grand pour immortels se rendrez Jopait que pouriamen notre los florira Et que le nomment Lombard s'immort alisera, Cardesi a nos beaux faits excellemment insignes, Par tous les siècles sont de reuiure assez dignes.
I’Or ſoluſion touteſſois, de me voir Sur toute l’Italie vn abſolu pouüoir.	J'Or solusion toutessois, de me voir Sur toute l'Italie un absolu pouvoir.
Rien ne peut en ceci nous estre diſicile Puis qu’il n’y a danger qui ne nous ſoit facile.	Rien ne peut en ceci nous être disicile Puis qu'il n'y a danger qui ne nous soit facile.
Suis ie moins en valleur que cet Anchiſien Qui iuſqu’au meſme lieu porta le nom Troien?	Suisque moins en valeur que cet Anchisien Qui jusqu'au même lieu porta le nom Troyen?
Ou qu'vn premier Ceſar qui par l’art de la guerre Subiuga belliqueux tout le rond de la terre?	Ou qu'un premier César qui par l'art de la guerre Subiuga belliqueux tout le rond de la terre?
Il ſe fauut haz arder depéchons nous, alons uper la Tomagne aux fertilles ſeillons.	Il se favut has arder depéchons nous, alons uper la Tomagne aux fertilles seillons.
Guerbin.	Guerbin.
’auons nous ſa long tems erré parmi le Monde erchant nouueau pays brigade vagabonde?	'avons nous sa long tems erré parmi le Monde erchant nouveau pays brigade vagabonde?
e vous doit il ſuſice auoir deſſouz vos loix tagnanime rengé de Princes, & de Rus auoriſe iouſiurs de l’aueugle Foctune, efiant les perils de Mars, & de Neptune?	Je vous doit il susice avoir dessouz vos lois tagnanime rengé de Princes, et de Rus avorise jouis de l'aveugle Foctune, éfiant les périls de Mars, et de Neptune?
En meſme lieu touſiours l’heur nes’arreſte pas, Saturne le Reueur luy fait gliſſer le pas:	En même lieu toujours l'heur nes'arrête pas, Saturne le Reueurblé fait glisser le pas:
S’il nous a iuſqu’ici montre ſon doux viſage C’est alors qu’il faut craindre vn fanereux naufrage, Car le vent gracieux de la proſperité Ne ſouſte pas touſiours en vn meſme ceſté.	S'il nous a jusqu'ici montre son doux visage C'est alors qu'il faut craindre un fanéreux naufrage, Car le vent gracieux de la prospérité Ne souste pas toujours en un même ceté.
Comme quand le Soleil chez les Iumeaux ſeiourus, Et que chez le Lion toſt apres il retourne, S’il arrius qu’on voye vn beau iour éclarci Il ſera toſt apres de nuage noirci.	Comme quand le Soleil chez les Jumeaux séjourus, Et que chez le Lion tôt après il retourne, S'il arrius qu'on voie un beau jour éclarci Il sera tôt après de nuage noirci.
De ceſme vous voyez que les chaleurs hallées D’orages, & d’eclers bi en ſouuent ſont troublées.	De cesme vous voyez que les chaleurs hallées D'orages, et d'eclecers by en souvent sont troublées.
Vne vicißitude vne inſtabilité ,Acompagnent touſiours vne fdlicité:	Une viciitude instabilité ,Acompagnent toujours une fdicité:
25 Ainſi de nous ſe rid linconſtante Déeſſe  Qui tantost nous éleue, & tantoſt nous rabaiſſe, , Maus plus ſouuent ceux là qu'au haut ſomnet d'hon Elle a montez maraſtre, éprouuent ſa rigueur.	25 Ainsi de nous se rid linconstante Déesse Qui tantôt nous élève, et tantôt nous rabaisse, , Maus plus souvent ceux -là qu'au haut somnet d'hon Elle a montez marâtre, éprouvent sa rigueur.
neux ", Les renuerſant pluſtoſt au gouſſre de miſere 2 Que celuy qui iamau ne la treuua proſpere.	neux ", Les renversant plutôt au goussre de misère 2 Que celui qui jamau ne la trouva prospère.
„ Puis ce n’eſt moins d’honneur de couſeruer le ſier » Que dialler rechercher l’ilicite moyen » De conquerir auare, vne belle contrée, » Et de cupidité ſon ane auoir outrée.	„ Puis ce n'est moins d'honneur de couserver le sier " Que dialler rechercher l'ilite moyen " De conquérir avare, une belle contrée, " Et de cupidité son ane avoir outrée.
Il vaut denc beaucoup mieux en paix ſe maintenir Dans ce lieu que pouuez tout aiſement tenir, Et vous ygouuerner comne vn ſouuerain Prince, Que d’aller réberger dans quelqu’autre Prouince.	Il vaut denc beaucoup mieux en paix se maintenir Dans ce lieu que pouvez tout aisément tenir, Et vous ygouverner comne un souverain Prince, Que d'aller réberger dans quelqu'autre Province.
Alboüin.	Alboullin.
Ie gouſte vosdiſcours, bien aduiſe Guerbin, Mau pourtant de Riuenne Il faut chaſſet Longin.	Je goûte vosdiscours, bien avise Guerbin, Mau pourtant de Rivenne Il faut chasset Longin.
Guer.	Guer.
Il y a garniſons dedans toutes ces places.	Il y a garnisons dedans toutes ces places.
Pere ee.	Père ce.
Ses places ſe rendront à leurs ſeules menaces.	Ses places se rendront à leurs seules menaces.
Guer.	Guer.
Son mastre l’Empereur à ſon ſecours ſera.	Son montre l'Empereur à son secours sera.
Cœur de Lom.	Cœur de Lom.
Dans ſa forte Biz ance il ſe retirera, Rdoutait la valleur de nosbraues courages Autant que les Bergers les grommeleux orages.	Dans sa forte Biz ance il se retirera, Rdoutait la valeur de nosbraves courages Autant que les Bergers les grommeleux orages.
Guer.	Guer.
En choſe ſi douteuſe il faut bien auiſer.	En chose si douteuse il faut bien aviser.
Alb.	Alb.
Vous voulez le danger, non la gloire peſer.	Vous voulez le danger, non la gloire peser.
Guer.	Guer.
D'vne entreprinſegrande il faut du conſeil prendre.	D'une entreprinsegrande il faut du conseil prendre.
Pered.	Pèred.
Il ne faut en cecitrop longucment atendre.	Il ne faut en ceciitrop longucment atendre.
Guerb.	Guerb.
I'italie peurra de nou faire vne fin.	J'italie peurra de nou faire une fin.
Chœn de Lomb.	Chœn de Lomb.
L'Iaſurbrie deſia nous tenons ſur Iustin.	L'Iasurbrie déjà nous tenons sur Justin.
Guer.	Guer.
Souuent à ſes depens on eſt malheureux ſggé.	Souvent à ses dépens on est malheureux sigé.
Al boüin.	Al boullin.
Mes Lombards ſont vaillans, bien gamis de courtge.	Mes Lombards sont vaillants, bien gamis de courtge.
Gueib.	Gueib.
Il ne fant eſterer qu’vn deſeſtreuxmalbeur, Ei proublez vne fois la paix de l'Empereur.	Il ne fant éterez qu'un desêtreuxmalbeur, Éi provblez une fois la paix de l'Empereur.
Pered.	Pèred.
Nous ſommes eſſeurez aiant ià l’Inſubrie.	Nous sommes essurés ayant jà l'Insubrie.
Guer.	Guer.
Fem mnEy reſt lereſte d’Italie.	Fem nEi rest lerrête d'Italie.
Chœur de Lomb.	Chœur de Lomb.
Il ne faut point auoir autre meilleur conſeil, Que de ſe mettre toſt en fort bon appareil.	Il ne faut point avoir autre meilleur conseil, Que de se mettre tôt en fort bon appareil.
Guerb.	Guerb.
Ie retardement rend plus facile me afaire, Ca l’on penſe à loiſir comme on ladoit parfaire.	Je retardement rend plus facile me afaire, Ca l'on pense à loisir comme on ladait parfaire.
Alboüin.	Alboullin.
» Quand on laiſſe éthaper la chauue ocaſion, y on ne la repnna pu qu'a ja confuſion.	" Quand on laisse éthaper la chauve ocasion, y on ne la répna pu qu'a ja confusion.
Gueib.	Gueib.
On ne laiſſe pourtant auec la preuoiance  De conduire ſouuent à bon port l’eſperance.	On ne laisse pourtant avec la prévoyance De conduire souvent à bon port l'espérance.
Pered.	Pèred.
95 vn Prince genereux ne doit rien ſoupronnez.	95 un Prince généreux ne doit rien soupronnés.
Guerb.	Guerb.
Il ne doit à closyeux dans le peril donuer,	Il ne doit à closïeux dans le péril donuer,
Chœur des Lomb.	Chœur des Lomb.
C’eſt touſiours la foçon d’vn ſage capitaine, De marier l’effet à l’empriſe ſoudaine, , Car tardent trop long tems à l’execution, « On ne rencontre pas à gré locaſion.	C'est toujours la foçon d'un sage capitaine, De marier l'effet à l'emprise soudaine, , Car tardent trop long temps à l'exécution, " On ne rencontre pas à gré locasion.
Gueib.	Gueib.
Il arriue ſouuent par celeſte inſlaence, que l’on ſe voit trompé contre ſon eſperance.	Il arrive souvent par céleste inslaence, que l'on se voit trompé contre son espérance.
Alboüin.	Alboullin.
Le tems n’aporte rien qu’vne dificulté.	Le temps n'apporte rien qu'une disficulté.
Gueib.	Gueib.
» Aa contraire il apporte vne facilué, „ Aux afaires de poix, car on peut donner ordre " Q’il n’arriue iamais ni malheur, ni deſordre.	" Aa contraire il apporte une facilué, „ Aux afaires de poix, car on peut donner ordre " Q'il n'arrive jamais ni malheur, ni désordre.
Pered.	Pèred.
Lu fort que pourroit il arriuer de malheur, En ce ſuiet ou pend pour nous tant de bonheur?	Lu fort que pourrait -il arriver de malheur, En ce sujet ou pend pour nous tant de bonheur?
Guer.	Guer.
Peut eſtre des Lombards la perte irreparable.	Peut être des Lombards la perte irréparable.
Chœur de Lomb.	Chœur de Lomb.
Mais plustoſt vn repos, & gloire perdurable.	Mais plutôt un repos, et gloire perdurable.
Guerb.	Guerb.
„ Vu ſage, & meur conſeil, est beaucoup plus cen" Que le precipité d'vn iugement ſoudain, » Qui ſonuent pour loier n’a que la repentance.	„ Vu sage, et meur conseil, est beaucoup plus cen" Que le précipité d'un jugement soudain, " Qui sonuent pour loyer n'a que la repentance.
Alboüin.	Alboullin.
On ſe pert quelquefois par trop de preuoiance.	On se pert quelquefois par trop de prévoyance.
Gueib.	Gueib.
2, Il faut deliberer tout lentement vn fait, „ Puis tout ſoudainement en venir à l'effet.	2, Il faut délibérer tout lentement un fait, „ Puis tout soudainement en venir à l'effet.
Pered.	Pèred.
», Combien pour retarder vne entrepriſe haute, 9, Arriue-t’il ſouuent d’irreparable faute?	", Combien pour retarder une entreprise haute, 9, Arrive-t-il souvent d'irréparable faute?
Guerb.	Guerb.
En cute ocaſion vn long retardement Aporter vous pourra beaucoup d’au incement.	En cute ocasion un long retardement Aporter vous pourra beaucoup d'au incement.
Chœur de Lomb.	Chœur de Lomb.
» Il n’eſt rien ſi contraire au temps, que le tems meſat	" Il n'est rien si contraire au temps, que le temps mat
Guerb.	Guerb.
