A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
otraton.	otraton.
Vn ieune temeraire M’oſe, l’affection de ma Sainte, ſouſtraire.	Un jeune téméraire M'ose, l'affection de ma Sainte, soustraire.
Ariſtide.	Aristide.
Quel deceptif appuy ſoûtient ſa vanité, De grace dites-moy ſon nom, ſa qualité.	Quel déceptif appui soutient sa vanité, De grâce dites-moi son nom, sa qualité.
Straton.	Straton.
Vn certain Caliſtene homme de nulle eſtime, CheZ elle mon bon droit ſous la faueur opprime, Il eſt ſon patriote & quelque peu parent;	Un certain Calistène homme de nulle estime, CheZ elle mon bon droit sous la faveur opprime, Il est son patriote et quelque peu parent;
Naufrage de mon heur, helas, trop apparent, Obſtacle épouuantable à qui ſe repreſente D’vn ennemy couuert la cautelle nuiſante,	Naufrage de mon heur, hélas, trop apparent, Obstacle épouvantable à qui se représente D'un ennemi couvert la cautelle nuisante,
K 4 Et que cet enchanteur à ſon aiſe ſeduit Limpiteuſe beaute qui, credule, me fuit.	 4 Et que cet enchanteur à son aise séduit Limpiteuse beauté qui, crédule, me fuit.
Ariſtide.	Aristide.
Tout cela n’y fait rien, la volonté du pere Qui ne ſçauroit qu’auoir vôtre alliance chere, Qui tu prenme pranuuiiije (a jeutemeni, Car leurs brigues apres n'importent nullement.	Tout cela n'y fait rien, la volonté du père Qui ne saurait qu'avoir votre alliance chère, Qui tu prenme pranuuiiije (a jeutemeni, Car leurs brigues après n'importent nullement.
Straton.	Straton.
Abordé l’autre iour à vne heure choiſie, Ie luy fis d’aſſez loin ſentir ma ialouſie, Auec l’intention d’vne chaſte amitié, De rendre dedans peu ſa fille ma moitié:	Abordé l'autre jour à une heure choisie, Je lui fis d'assez loin sentir ma jalousie, Avec l'intention d'une chaste amitié, De rendre dedans peu sa fille ma moitié:
Mais la réponce lente & froide outre meſure, Ne me frappa le cœur que d’vn ſiniſtre augure, Ses complimens fardez ne m’agreérent point, Bref, qu’onc ie ne le peus faire venir aù point, Le reſoudre, preßé, à trancher la parole, Et ſa concluſion fort ſuſpecte, fort molle, Me remit à hâter l’affaire lentement, Equitable ſuiet d’vn mécontentement.	Mais la réponse lente et froide outre mesure, Ne me frappa le cœur que d'un sinistre augure, Ses compliments fardez ne m'agreérent point, Bref, qu'onc Seigneur ne le pus faire venir aù point, Le résoudre, pressé, à trancher la parole, Et sa conclusion fort suspecte, fort molle, Me remit à hâter l'affaire lentement' Equitable sujet d'un mécontentement.
Ariſtide.	Aristide.
Bien que tel offre tourne à ſon grand auantage, L’honneur ne permettoit d’en dire dauantage, Vne froide pourſuite appelle vn froid accueil, Iupiter amoureux depoſe ſon orgueil, Vn pere veut ouyr, en demande pareille, Par les ſumißions chatoüiller ſon oreille, Fut-il inferieur, & mille & mille fois, Deût-il, ſimple bouuier, eſtre allié des Roys, Ce mépris donc ôté, que la ſeconde atteinte Au bon-homme découure vn courage ſans feinte, Luy montre que l’amour infiny de pouuoir, Vous met en ſon endroit plus qu’en vôtre deuoir;	Bien que tel offre tourne son grand auantage, honneur ne permettoit en dire dauantage, froide poursuite appelle froid accueil, Iupiter amoureux depose son orgueil, pere veut ouïr, en demande pareille, Par les sumissions chatoüiller son oreille, Fut-il inférieur, et mille et mille fois, Deût-il, simple bouuier, être allié des Roys, Ce mépris donc ôté, que la Bien que Tel bon-homme tourne à son grand avantage, L' montre que amour infiny ne per, Vous met en son endroit plus d'en dire davantage,
Apres ſi l’inſolence oſe leuer la teſte, Si ſa peruerſité dédaigne la requeſte, Pouſſons, à toute bride, vn genereux courous, Qui le rende à même heure, & raiſonnable & dous, Qui la douceur ſterile en ſa premiere amorce, Vne pleine victoire obtienne à viue force;	Après si l'insolence ose lever la tête, Si sa perversité dédaigne la requête, Poussons, à toute bride, un généreux courous, Qui le rende à même heure, et raisonnable et dous, Qui la douceur stérile en sa première amorce, Une pleine victoire obtienne à vive force;
Où la iuſte douceur n’entre auec ſes appas, La force illegitime adonc ie ne tien pas.	Où la juste douceur n'entre avec ses appas, La force illégitime adoncty ne tien pas.
Straton.	Straton.
Ne me parle iamais d’vne amitié contrainte, Qui ſe penſe inſtaller tirannique en la crainte, I’vſeray toutesfois de ce fidelle auis, Et ſans plus inſiſter ſur de ſimples deuis, Le pere mis au chois, nous reduirons à prendre, Celuy qu’il iugera de plus capable gendre, Mais mon rebut demeure à ſes auteurs fatal, Dés l’heure m’éprouuans ennemy capital.	Ne me parle jamais d'une amitié contrainte, Qui se pense installer tyrannique en la crainte, J'userai toutefois de ce fidèle avis, Et sans plus insister sur de simples devis, Le père mis au chois, nous réduirons à prendre, Celui qu'il jugera de plus capable gendre, Mais mon rebut demeure à ses auteurs fatal, Dés l'heure m'éprouvants ennemi capital.
SCENE II.	SCÈNE II.
CALISTENE, ARISTOCLEE,	CALISTENE, ARISTOCLE,
Caliſtene.	Calistene.
YN tourbillon facheux de diuerſes pensées, V En l’eſprit irreſout çà & là balancées, Emporte mon amour, qui ſon deſtin ſuyuant, Doute où le iettera la fureur de ce vant;	IN tourbillon fâcheux de diverses pensées, V En l'esprit irresout çà et là balancées, Emporte mon amour, qui son destin suivant, Doute où le jetera la fureur de ce vant;
Son chaſte objecten tout fauoriſe ma flame, Et nos deux cors ne ſont regis que par vne ame, Et nos deſirs enſemble aſpirent à vn port, Voire preſque deſià s’égayent ſur le bord:	Son chaste objecten tout favorise ma flamme, Et nos deux cors ne sont régis que par une âme, Et nos désirs ensemble aspirent à un port, Voire presque déjà s'égaient sur le bord:
N’estoit que la fortune interpoſe enuieuſe, De ce competiteur à l’ame audacieuſe, Vne actiue pourſuite, vn redoutable effort, Comme en nombre d’amis, en richeſſes plus fort, Comme qui me preſume à ſupplanter, facile, Tenant deſſous ſa main le pouuoir de ſa ville;	N'était que la fortune interpose envieuse, De ce compétiteur à l'âme audacieuse, Une active poursuite, Un redoutable effort, Comme en nombre d'amis, en richesses plus fort, Comme qui me présume à supplanter, facile, Tenant dessous sa main le pouvoir de sa ville;
Du côte de la nimphe, il n’y a que douter, Mais vn pere me donne, auare, à redouter, Ce ſiecle peruerti, qu’au luxe ne regarde, Ma vie en mon amour d’autre part ſe haZarde, L’aſſeurance de l’vn, de l’autre eſt le danger, Ma fortune le cede à ce rogue étranger, Ton épouſe en tes bras honteuſement rauie, Tôt ou tard opprimé, te coûtera la vie.	Du côte de la nymphe, il n'y a que douter, Mais un père me donne, avare, à redouter, Ce siècle perverti, qu'au luxe ne regarde, Ma vie en mon amour d'autre part se hasarde, L'assurance de l'Homme, de l'autre est le danger, Ma fortune le de à ce rogue étranger, Ton épouse en tes bras honteusement ravie, Tôt ou tard opprimé, te coûtera la vie.
Pourquoy cela?	Pourquoi cela?
pourquoy retifquiterois-tu Vn beau pris amoureux iuſqu’icy debatu?	pourquoi retifquitterais-tu Un beau pris amoureux jusqu'ici débattu?
Iupiter de la haut protege l’innocence, Ton corriual ne peut contre telle puiſſance, Sur tes gardes touſiours tu le remets au pis, Quels diſcors à la fin n’a le tems aſſoupis?	Iupiter de la haut prote l'innocence, Ton corrival ne peut contre telle puissance, Sur tes gardes toujours tu le remets au pis, Quels discors à la fin n'a le temps assoupis?
Repren courage donc, pourſuy pourſuy ta pointe, Montre à ton ferme amour vne aſſeurance iointe, Qui ſéure ce mutin d’vn eſpoir mal conçeu:	Repren courage donc, poursui poursui ta pointe, Montre à ton ferme amour une assurance jointe, Qui sèvre ce mutin d'H espoir mal conçu:
Ah voicy ton ſoleil qui te rit, apperçeu, Va t'égayer aux rais de ſa blonde lumiere, pirnconentest jueuseures ſa ſaueun vumlaunere, Ains va de plus en plus te confirmer ſa foy, Suppoſant qu’vn riual t’apporte de l’effroy.	Ah voici ton soleil qui te rit, aperçu, Va t'égayer aux rais de sa blonde lumière, pirnconentest jueuseures sa saveun vumlaunère, Ains va de plus en plus te confirmer sa foi, Supposant qu'un rival t'apporte de l'effroi.
Ariſtoclée.	Aristoclée.
Ma preſence vous ſemble atriſter, importune, Comme preſage pris de mauuaiſe fortune, Comme odieuſe à qui ſe vouloit diſpenſer, Au meilleur entretien d’vn ſerieux penſer;	Ma présence vous semble atrister, importune, Comme présage pris de mauvaise fortune, Comme odieuse à qui se voulait dispenser, Au meilleur entretien d'un sérieux penser;
Neuijamnit Npoint, i impruuente commiſe Se repare, ma veuë en autre tems remiſe, Que telle fantaſie éuaporée en l’air, Vn front ſi nuageux me paroîtra plus clair.	Neujamnit Népoint, y impruente commise Se répare, ma vue en autre temps remise, Que telle fantaisie évaporée en l'air, Un front si nuageux me paraîtra plus clair.
Caliſtene.	Calistene.
Ne dites pas cela bel aſtre que i’adore, Autre aſpect n’adoucit l’ennuy qui me deuore, Autre ne peut raſſoir la crainte qui me tient, Pour laquelle ce corps à peine ſe ſoûtient, Pour laquelle mon ame angoiſſeuſe ſoûpire, Sçachant ce qu'vn riual de n’agueres conſpire:	Ne dites pas cela bel astre que j'adore, Autre aspect n'adoucit l'ennui qui me dévore, Autre ne peut rassoir la crainte qui me tient, Pour laquelle ce corps à peine se soutient, Pour laquelle mon âme angaisseuse soupire, Sachant ce qu'un rival de n'aguère conspire:
Riual dont le party vous eſt auantageux, Voilà chaſte beauté, qui me tuë, ombrageux, Voilà qui, ſolitaire, agite ma pensée, En contraires projets diuerſement poußée, Veuillez donc, pitoyable, a ce pauure c'aptij Prononcer de ſon ſort l’arreſt diffinitif.	Riual dont le parti vous est avantageux, Voilà chaste beauté, qui me tue, ombrageux, Voilà qui, solitaire, agite ma pensée, En contraires projets diversement poussée, Veuillez donc, pitoyable, à ce pauvre c'aptij Prononcer de son sort l'arrêt diffinitif.
Ariſtoclée.	Aristoclée.
Vn pere la deſſus le ſilence m’impoſe, Qui de mes volontez abſoluëment diſpoſe, Qui ne ſonge à rien moins qu’à ce qui vous fail peur, Qu'à paroître aux effects variable où trompeur.	Un père la dessus le silence m'impose, Qui de mes volontés absolument dispose, Qui ne songe à rien moins qu'à ce qui vous fait peur, Qu'à paraître aux effets variable où trompeur.
Straton de vray commence à preſſer ſa pourſuite, Vn vain eſpoir l’attire & l’attache à ma ſuite, Mais ſes diſcours en l’air ſe perdent, ſuperflus, Ses plaintes, ſes ſoûpirs ne m’émeuuent non plus Que ſi mon ame eſtoit de marbre composée, Et ne me trouueront iamais mieux diſposée, Deux ne peuuent auoir même place en mon cœur, Vôtre vnique pourtrait y preſide vaincœur, Et ſi mon geniteur fauorable demeure, Il n’en ſortira point que premier ie ne meure, Il n'en ſortira point parauant le tombeau, Carſans vous icybas ie ne voy rien de beau.	Straton de vrai commence à presser sa poursuite, Votre vain espoir l'attire et l'attache à ma suite, Mais ses discours en l'air se perdent, superflus, Ses plaintes, ses soupirs ne m'émeuuent non plus Que si mon âme était de marbre composée, Et ne me trouveront jamais mieux disposée, Deux ne peuvent avoir même place en mon cœur, Votre unique pourtrait y preside vaincœur, Et si mon géniteur favorable demeure, Il n'en sortira point que premier ie ne meure, Il n'en sortira point paravant le tombeau, Carsants vous icybas ie ne rien de beau.
Caliſtene.	Calistene.
Ab dure exception qui mes maux renouuelle, Qui plus qu’au precedent me remet en ceruelle, Ma fortune trop baſſe auec iuſte raiſon, CheZ ce competiteur n’entre en comparaiſon, Releué de moyens, releué d’origine, Que deſia vôtre épous ma frayeur s’imaginé, L’or penetre par tout, ſon éclat gracieux oſte le iugement aux plus iudicieux, Peruertit, ſuborneur, la meilleure nature, Et du foible innocent creuſe la ſepulture, Et peut bouleuerſer les plus puiſſans Etats;	Ab re exception qui mes maux renouvelle, Qui plus qu'au précédent me remet en cervelle, Ma fortune trop basse auec juste raison, CheZ ce compétiteur n'entre en comparaison, Relevé de moyens, relevé d'origine, Que déjà votre épous ma frayeur s'imaginé, LÉNÉ, penetre par tout, son éclat grâce ôte le jugement aux plus judicieux, Pervertit, suborneur, la meilleure nature, Et du faible innocent creuse la sépulture, Et peut boulèverser les plus puissan Ts;
Ainſi ce concurrent qui le poſſede à tas, Vers vn pere vſera de l’appas de ſes charmes, A me vaincre il n’a point de beſoin d’autres armes, Bien qu’accomply d’ailleurs, ieune, beau, valeureux, Tout s’accorde à l’effet d’vn mariage heureux.	Ainsi ce concurrent qui le possède à tas, Vers un père usera de l'appas de ses charmes, À me vaincre il n'a point de besoin d'autres armes, Bien qu'accompli d'ailleurs, jeune, beau, valeureux, Tout s'accorde à l'effet d'un mariage heureux.
Ariſtoclée.	Aristoclée.
Sa richeſſe pourroit ſe rencontrer égale, Où même ſurpaſſant celles du vieil Tantale, Que ſes pretentions ne reüßiſſent pas, Que mon pere ne moy ne mordrons à l’appas:	Sa richesse pourrait se rencontrer égale, Où même surpassant celles du vieil Tantale, Que ses prétentions ne réussissent pas, Que mon père ne moi ne mordrons à l'appas:
L’égalité nous plaît, l’égalité contente Et borne nos deſirs outre pareille attente, Sa grandeur l’apparie à plus grandes que moy, Qu ne vous manqueray, que ie puiſſe, de foy	L'égalité nous plaît, l'égalité contente Et borne nos désirs outre pareille attente, Sa grandeur l'apparie à plus grandes que moi, Qu' en vous manquerai, que sans puisse, de foi
Caliſtene.	Calistene.
O fauorable oracle, ô promeſſe capable De donner à mes yeux la victoire palpable, Pourueu que ce ſuperbe exilé deſormais, Où reſide mon mieux ne paroiſſe iamais.	Ô favorable oracle, ô promesse capable De donner à mes yeux la victoire palpable, Pourvu que ce superbe exilé désormais, Où reside mon mieux ne paraisse jamais.
Ariſtoclée.	Aristoclée.
Pomomou pueniomuement reprehenſible En ce qu'elle s’étend au delà du poßible.	Pomomou pueniomuement répréhensible En ce qu'elle s'étend au delà du pouvible.
Caliſtene.	Calistene.
Vn honnête congé produira tel effet.	Un honnête congé produira tel effet.
Ariſtoclée.	Aristoclée.
Le moindre à qui l’affront du refus ſera fait, Sans quelque bien-ſeance au tems accommodée, dee peurs que un tenuin a onepame gardée Courir à la vengeance, & faire, dangereux, Voler d’vn deſeſpoir les éclats funereux.	Le moindre à qui l'affront du refus sera fait, Sans quelque bienséance au temps accommodée, dee peurs que un tenvin a onepame gardée Courir à la vengeance, et faire, dangereux, Voler d'un désespoir les éclats funreux.
Caliſtene.	Calistene.
Exclus, n’importe aprez, que l’on me laiſſe faire Ceste dextre viendra trop à bout de l’affaire, Moyennant que l’honneur guide ſes actions, e fansjupennene au uuel nous paßions.	Exclus, n'importe aprez, que l'on me laisse faire Cette dextre viendra trop à bout de l'affaire, Moyennant que l'honneur guide ses actions, é fansjupennene au uel nous passions.
Ariſtoclée.	Aristoclée.
Plûtôt que le ſujet d’vn meurtre ie me viſſe, Viue en ſes gouffres noirs la terre me rauiſſe.	Plutôt que le sujet d'autre meurtre ici me visse, Vive en ses gouffres noirs la terre me ravisse.
Caliſtene.	Calistene.
A ce conte, chetif, même martel touſiours Seruira de torture à mes langoureux iours, Vnconcurrent ſera chaque minute d’heure Introduit dans le Ciel où mon ame demeure, Sous ombre de porter vn têtre ſpecieux, Sous ombre de ſe rendre humble & officieux, Le ruſtre preferé tiendra ma tourterelle Attachée en diſcours, familier auec elle:	À ce conte, chétif, même martel toujours Servira de torture à mes langoureux jours, Venconcurrent sera chaque minute d'heure Introduit dans le Ciel où mon âme demeure, Sous ombre de porter un têtre spécieux, Sous ombre de se rendre humble et officieux, Le rustre préféré tiendra ma tourterelle Attachée en discours, familier avec elle:
Ah qu'vne uicbuuprume fauorifeton, De combien de trépas elle m’eximeroit.	Ah qu'une uicbuuprume favoriféton, De combien de trépas elle m'eximerait.
Ariſtoclée.	Aristoclée.
Le plus expedient, Caliſtene ma vie, Conſiſte à s’obtenir la choſe pourſuyuie, A ne ſe feindre plus vers mon pere, attendant Qu'on aille de courage en cela procedant, Et que l’ame en vn mot s’exprime par la bouche, De quiconque me ccut tompagne de jatouche, Vous y auiſereZ, adieu iuſqu’au reuoir, Seiourner dauantage excede mon pouuoir.	Le plus expédient, Calistene ma vie, Consiste à s'obtenir la chose poursuivie, À ne se feindre plus vers mon père, attendant Qu'on aille de courage en cela procédant, Et que l'âme en un mot s'exprime par la bouche, De quiconque me ccut tompagne de jatouche, Vous y aviserez, adieu jusqu'au reuoir, Séjourner davantage excède mon pouvoir.
Caliſtene.	Calistene.
Adieu belle homicide, adieu, ton doux oracle;	Adieu belle homicide, adieu, ton doux oracle;
Auquel i’obeïray me promet vn miracle, Ains m’adiuge le prix du myrthe glorieux, Qui r’enuoye vn riual la honte ſur les yeux.	Auquel j'obéirai me promet un miracle, Ains m'avive le prix du myrte glorieux, Qui renuoye un rivalu la honte sur les yeux.
ACTE SECOND.	ACTE SECOND.
TEOPHANE, STRATON, CALISTENE, ARISTOCLEE.	TEOPHANE, STRATON, CALISTENE, ARISTOCLE.
SCENE I.	SCÈNE I.
TEOPHANE, STRATON.	TEOPHANE, STRATON.
Teophane.	Teophane.
Onfus d'entendement parmy ces deux extrêmes, Mon recours eſt à vous, ôpuiſſances ſuprêmes, Mon refuge eſt chez vous, protecteurs immortels, De qui iournellement i’enrichy les autels, Qui prîtes le ſoucy de conduire mon âge Iuſqu’au haure fatal, peu s’en faut, ſans naufrage, Celeſtes détourneZ le funeſte accident Qui menace mes iours proches de l’occident, Vne double alliance à ma famille offerte, Du comble de ſon peut crunera japtnt,	Onfus d'entendement parmi ces deux extrêmes, Mon recours est à vous, ôpuissances suprêmes, Mon refuge est chez vous, protecteurs immortels, De qui journellement j'enrichi les autels, Qui prîtes le souci de conduire mon âge Jusqu'au haute fatal, peu s'en faut, sans naufrage, Célestes détournez le funeste accident Qui menace mes jours proche de l'occident, Vaine double alliance à ma famille offerte, Du comble de son peut crunera japt,
Ce ſauorable vent qui s’empoupe trop fort, Me forme dans l’eſprit vn image de mort.	Ce savorable vent qui s'empoupe trop fort, Me forme dans l'esprit un image de mort.
La neceßité veut, neceßité cruelle, Que d’vn couple d’amans, la fureur mutuelle, Se precipite au ſang, vient à s’entr’égorger, Enuelope ma tête en ce commun danger, Si tôt qu'Ariſtoclée, à l’vn d’eux paruenuë, L’autre Ixion deçeu n’embraſſe qu’vne nuë:	La necessité veut, necessité cruelle, Que d'un couple d'amants, la fureur mutuelle, Se precipite au sang, vient à s'entr'égorger, Enveloppe ma tête en ce commun danger, Si tôt qu'Aristoclée, à l'un d'eux parvenue, L'autre Ixion deçeu n'embrasse qu'une nue:
D’interpoſer mon chois n’aigrit que leur courous, N’augmente qu’vn martel frenetique & ialous, N’enflame qu’vn braſier de haine perilleuſe, Que tenoit le reſpect iuſqu’alors, ſommeilleliſe.	D'interposer mon chois n'aigrit que leur courais, N'augmente qu'un martel frénétique et jalous, N'enflamme qu'un brasier de haine périlleuse, Que tenait le respect jusqu'alors, sommeillelise.
Chacun d’eux ſe preuaut, d’auantages exprez, Ceſtuy-cy pour le ſangme touche de plus pre L’autre en l’extraction qui décore ſa race, En richeſſe, en honneurs, en credit le ſurpaſſe.	Chacun d'eux se prévaut, d'avantages exprez, Cestuy-cy pour le sangme touche de plus prédit L’autre en l'extraction qui décore sa race, En richesse, en honneurs, en crédit le surpasse.
Cettuy-cy de ma fille eſt l’ame & le ſoucy, L’autre le meritant preſume l’être außi, D’aſſoir vn iugement deſſur leur preference, Ie n’oſe, & ne voy point qu’il y ait d’apparence.	Certui-cy de ma fille est l'âme et le souci, L'autre le méritant presume l'être aussi, D'assoir un jugement dessur leur préférence, Je n'ose, et ne vois point qu'il y ait d'apparence.
Contraindre Ariſtorlée en ſes affections, Or que l’étranger eût plus de perfections, Qu'à l’vniuers écheu au lot de ſon partage, Il adioûtât celuy du celeſte heritage, Non certes, elle doit ſe choiſir vn épous, Là ſon contentement preferable ſur tous, Oblige mon deuoir de luy lâcher la bride, A faire qu'en ſa cauſe elle même preſide:	Contraindre Aristorlée en ses affections, Or que l'étranger eût plus de perfections, Qu'à l'univers écheu au lot de son partage, Il ajoutât celui du céleste héritage, Non certes, elle doit se choisir un épous, Là son contentement préférable sur tous, Oblige mon devoir de jours lâcher la bride, À faire qu'en sa cause elle -même preside:
Les hôtes boccagers permettent à leurs fans, Ce que nous ne deuons denier aux enfans, La libre électiondu deſir inſpirée, Qui rend vne amitié d’éternelle durée, Qui du premier abord ſe ſcachant aſſortir, Demeure inſuſceptible apres du repentir.	Les hôtes boccagers permettent à leurs fans, Ce que nous ne devons denier aux enfants, La libre électiondu désir inspirée, Qui rend un amitié d'éternelle durée, Qui du premier abord se sachant assortir, Demeure insusceptible après du repentir.
Là ma concluſion derniere ſe termine, Mais apperçoy-ie pas Straton qui s’achemine, C’eſt luy meme, voyons à ne mecontenter, Qui ſans doute nous vient vn gendre preſenter.	Là ma conclusion dernière se termine, Mais aperçois-je pas Straton qui s'achemine, C'est Ah même, voyons à ne mécontenter, Qui sans doute nous vient un gendre présenter.
Straton.	Straton.
tyre.	tire.
Mon cœur qui ne ſçauroit plus ſouffrir ſon marLes plaintes là deſſus, bégues par cy-deuant, Vn vertueux projet murmurerent ſouuent, Qui ne ſe veut plus feindre, & deſſous le ſilence Nourrir de mes douleurs la longue violence, Il eſt tems, il eſt tems que le diſcours à part, Ie tente de mon mieux le ſuprême haZard, Offrant à vos vieux ans vn ſupport qui n’eſtime, Qu'autre y ſoit receuable à tître legitime, Connu de pere en fils, iugez ſi receuoir Vn tel gendre que moy s’eloingne du deuoir, Si ie puis pas tenir vne femme à ſon aiſe, AſſeZ riche touſiours pourueu qu'elle me plaiſe, Ainſi qu’Ariſtoclée, incomparable honneur Des mortelles beauteZ où ſe borne mon heur, Vn vertueux amour vous la demande nuë, Sa pudique vertu me ſuffit obtenuë:	Mon cœur qui ne saurait plus souffrir son marLes plaintes là dessus, bégues par cy-devant, VE vertueux projet murmurèrent souvent, Qui ne se veut plus feindre, et dessous le silence Nourrir de mes douleurs la longue violence, Il est temps, il est tems que le discours à part, Je tente de mon mieux le suprême hasard, Offrant à vos vieux ans un support qui n'estime, Qu'autre y soit recevable à taître légitime, Connu de père en fils, jugez si recevoir Un tel gendre que moi s'elle du deuoir, Si ' es pas tenir me son as, AsseZ riche tousiours pourueu qu'elle me plaise, Ni Aristoclée, incomparable honneur Des m beauteZ se borne m heur, vertueux à vous la demande nuë, Sa pudique vertu me suffit on:
Iouïſſez de vos biens, certain que deſormais Straton rien deſſur eux ne pretendra iamais:	Jouissez de vos biens, certain que désormais Straton rien dessur eux ne prétendra jamais:
Poſſeſſeur de la belle, à l’heure ma fortune – Au contraire, deuient à tous les ſiens commune, Accordez là moy donc ſous telles pactions, Inſtruit de la candeur de mes intentions.	Possesseur de la belle, à l'heure ma fortune Au contraire, devient à tous les siens commune, Accordez là moi donc sous telles pactions, Instruit de la candeur de mes intentions.
Teophane.	Teophane.
Iaçoit que l’offre porte vne pleine fiance, Indigne que mon ſang entre en cette alliance, Indigne que ma fille eſpere onc vnépous, Qui s’oſe nullement parangonner à vous, (re, L’honneur ne m’appartient, ſimple homme populaiQui d’vn purenumoy mon genune ouuuruy faire:	Iaçoit que l'offre porte une pleine fiance, Indigne que mon sang entre en cette alliance, Indigne que ma fille espère onc vnépous, Qui s'ose nullement parangonner à vous, (re, L'honneur ne m'appartient, simple homme populaiQui d'vn furenumoi mon genune ouvrui faire:
Où l’inégalité ſe trouue entierement, Vn mariage heureux reſulte rarement.	Où l'inégalité se trouve entièrement, Un mariage heureux résulte rarement.
Straton.	Straton.
Ma franchiſe dira, de la feinte ennemie, Que chacun m'eſt égalen vôtre preud’homie, Qu'vn ſçeptre à poſſeder ſur moy ne pourroit pas, Ce que la belle peut en ſes chaſtes appas, Luc memne pius que Pmonneur ue mà couche;	Ma franchise dira, de la feinte ennemie, Que chacun m'est égalen votre preud'homie, Qu'un seceptre à posséder sur moi ne pourrait pas, Ce que la belle peut en ses chastes appas, Luc mémne pius que Pémonneur ue couche;
Et pour ne l’adorer il faut être vne ſouche, Faites qu’à cela prez, le vouloir paternel Accouple nos moitiez ſous vn ioug éternel.	Et pour ne l'adorer il faut être une souche, Faites qu'à cela procès, le vouloir paternel Accouple nos moitiés sous un joug éternel.
Teophane.	Teophane.
Ma fille de l’enfance à grand' peine ſortie, Auec le mariage a quelque antipatie,	Ma fille de l'enfance à grand peine sortie, Avec le mariage a quelque antipatie,
L2 L’indiſcrette l’eſtime vne captiuité, Et à qui le peut fuir, vn naufrage éuité, Nature toutesfois effacera, puiſſante, La ſuperſtition de cette ame innocente, Sur tel auis reçeu, donnez vous le plaiſir, De paſſer doucement la ſonde en ſon deſir, Et au cas qu’il ne fut retif à l’hymenée, Ma parole d’hôtage encor vn coup donnée, S’oblige d'accomplir vos vœux a même tems, Qui lors me placeront entre les plus contens.	L2 L'indiscrète l'estime un captiuité, Et à qui le peut fuir, un naufrage évité, Nature toutefois effacera, puissante, La superstition de cette âme innocente, Sur tel avis reçu, donnez vous le plaisir, De passer doucement la sonde en son désir, Et au cas qu'il ne fut rétif à l'hyménée, Ma parole d'hôtage encor coup donnée, S'oblige d'accomplir vos vœux à même temps, Qui lors me placeront entre les plus contents.
Straton.	Straton.
Ma peine s’aprehende infertile, trompée, Chez qui d’ailleurs auroit l’âme preocupée.	Ma peine s'appréhende infertile, trompée, Chez qui d'ailleurs aurait l'âme préoccupée.
Teophane.	Teophane.
Vous ſçauez pius que moy, ies Cieux m’en ſont temoins, Et qu’oncques ie n’ay ſceu, ſur ce ſujet au moins.	Vous savez pius que moi, Cieux m'en sont témoins, Et qu'oncques notre n'ai su, sur ce sujet au moins.
Straton.	Straton.
Ma veuë maintesfois à ſurpris Caliſtene Eafierc oourti fai qui joiaue ma peine.	Ma vue maintesfois à surpris Calistene Eafierc oourti fay qui joie ma peine.
Teophane.	Teophane.
Leur conſanguinité familiere a ce droit, Que de mauuaiſe part vn autre ne prendroit.	Leur consanguinité familière a ce droit, Que de mauvaise part un autre ne prendrait.
Straton.	Straton.
Leur conſanguinité s’vſurpe vne licence, Dont la rumeur vulgaire a trop de connoiſſance.	Leur consanguinité s'usurpe une licence, Dont la rumeur vulgaire a trop de connaissance.
Teophane.	Teophane.
Croyez vous que l'honneur y ſouffre.	Croyez -vous que l'honneur y souffre.
Straton.	Straton.
Nullement, L'amour chez eux commence à germer ſeulement.	Nullement, L'amour chez eux commence à germer seulement.
Teophane.	Teophane.
Premier que le diſcord dauantage s’allume, Ainſi que le permet l’ancienne coûtume, Aprez s’être touchez l’vn à l’autre en la main, Au temple de Iunon nous nous rendrons demain.	Premier que le discord davantage s'allume, Ainsi que le permet l'ancienne coûtume, Aprez s'être touchés l'un à l'autre en la main, Au temple de Junon nous nous rendrons demain.
Où l’affaire en plublic ſe vuidera ſur l’heure, Où mon ſuffrage aquis derechef vous demeure:	Où l'affaire en plublic se videra sur l'heure, Où mon suffrage aquis derechef vous demeure:
Tandis ne laiſſeZ pas de viſiter vn peu Celle de qui la glace augmente vôtre feu.	Tandis ne laissez pas de visiter un peu Celle de qui la glace augmente votre feu.
Straton.	Straton.
I’iray trop volontiers eſclaue me ſoumettre, A plus que le deuoir ne ſemblera permettre:	J'irai trop volontiers esclave me soumettre, A plus que le devoir ne semblera permettre:
Mais où quelque enuieux & lâche ſuborneur, A vn reſſentiment obligeroit l’honneur, Ma dextre tient le frein de ſon outrecuidance, Ma dextre ne ſe plaît qu’à punir l’impudence De ces hommes nouueaux que la terre produit, Qu'vne preſomption temeraire ſeduit.	Mais où quelque envieux et lâche suborneur, A un ressentiment obligerait l'honneur, Ma dextre tient le frein de son outrecuidance, Ma dextre ne se plaît qu'à punir l'impudence De ces hommes nouveaux que la terre produit, Qu'une présomption téméraire séduit.
SCENE II.	SCÈNE II.
TEDPIIAE, DELISTENE,	TÉDPIIAE, DELISTENE,
Teophane.	Teophane.
