Auec Priuilege du Roy.	Avec Privilège du Roi.
MMEACEAILR	MMEACEAILR
GVASTON.	GUASTON.
Eau iour, fils du Soleil, éclos de la lumien Qui dois voir ſous les feus de ma valeus premiere Floter tant d’eſtendars en leurs plis ondoians, Terraſſer ſur le champ tant de corps rouſſoians, Sacrifice agreable au regne Acherontide Inendenepeupie ut ma dtxire nomilide, Que ie te voy contant, que ie me ſens heureus:	Eau jour, fils du Soleil, éclos de la lumien Qui dois voir sous les feus de ma valeus première Floter tant d'étendards en leurs plis ondoyants, Terrasser sur le champ tant de corps roussoyants, Sacrifice agréable au règne Acherontide Inendenepeupie dût ma dûtxire nomilide, Que ie te vo contant, que Seigneur me sens heureus:
Non pour estre ſorti d’un ſang ſigenereus,	Non pour être sorti d'un sang sigénéreus,
Tige illuſtre de FOYS, D’ORLEANS, & de FRANCE, Qui n’a donné ſa loy qu’à la meſme vaillance, Qui n’a fait redouter la fureur de ſes bras, Que des hyperborez iuſques au mont Atlas:	Tige illustre de FOIS, D'ORLEANS, et de FRANCE, Qui n'a donné sa loi qu'à la même vaillance, Qui n'a fait redouter la fureur de ses bras, Que des hyperborez jusques au mont Atlas:
Non pour eſtre neueu du plus grand Roy du monde, Beaufrere à Ferdinand, qui commande ſur l’onde Du Tage au ſablon d’or, & ſur les Pyrenez, D’où mes lauriers ne ſont que pour vn temps bornez, Lauriers dignes de Mars, qui n’euſt iamais le gloire D’immoler ſi ſouuent au temple de victoire:	Non pour être neu du plus grand Roi du monde, Beaufre à Ferdinand, qui commande sur l'onde Du Tage au sablon d'or, et sur les Pyrenez, D'où mes lauriers ne sont que pour un temps bornés, Lauriers dignes de Mars, qui n'eût jamais le gloire D'immoler si souvent au temple de victoire:
GVASTON-DE-FOYX.	GUASTON-DE-FOIX.
29 Mais pour voir deſſous moy creſper tant d’eſtendars, Fils aiſné de la guerre, & des ſanglans hazars:	29 Mais pour voir dessous moi crêper tant d'étendards, Fils aîné de la guerre, et des sanglants hasards:
Pour me voir commander en ma barbe premiere A tant d’hommes vaillans, dontie ſuis la lumiere, L’aſtre, & le beau Soleil, qui flamboie éclatant Sur leurs vœux, ſur leur cœurs, valeureus combatãt.	Pour me voir commander en ma barbe première A tant d'hommes vaillants, dontie suis la lumière, L'astre, et le beau Soleil, qui flamboie éclatant Sur leurs vœux, sur leur cœurs, valureus combattant.
Auant qu'eſtre ſoldat, j’ay paru Capitaine:	Avant qu'être soldat, j'ai paru Capitaine:
I'ay fait trembler le Tibre, & ceſte cour Romain Qui penſoit ébranler l’eſtat d’un ſi grand Roy:	J'ai fait trembler le Tibre, et cette cour Romain Qui pensait ébranler l'état d'un si grand Roi:
I'ay ce braue Baiglon eſclaué ſous ma loy, Non qu’il n’aye fait preuue ez plus chaudes alarmes Main à main combatant, de l’effort de ſes armes.	J'ai ce brave Baiglon esclavé sous ma loi, Non qu'il n'aie fait preuve ez plus chaudes alarmes Main à main combattant, de l'effort de ses armes.
I'ay comme on vit Tarente à ce vaillant Romain, Repris Breſſe perdue, & domté de ma main Les forces de ſainct-Marc, quãd leur ferme aſſurãce Debatit tout vn iour leprix de la vaillance.	J'ai comme on vit Tarente à ce vaillant Romain, Repris Bresse perdue, et dompté de ma main Les forces de saint-Marc, quand leur ferme assurance Débatit tout un jour leprix de la vaillance.
Premier la pique au poin, i’ay forcé leurs rempars Couuert de cous, de ſang, de mile feus épars A leur ſalue premiere, où les pieces beantes Vomirent contre moy tant de bales flambantes.	Premier la pique au poin, j'ai forcé leurs rempars Couvert de cous, de sang, de mile feus épars À leur salue première, où les pièces béantes Vomirent contre moi tant de bales flambantes.
L’armée de la ligue a tremblé ſous mon nom, Se deſtornant de moy, mais leurfiere Iunon, Et le Dieu Thracien qui preſide ez batailles, M’ontfait batre Rauenne, atterrer ſes murailles, Preſt à donner l’aſſaut, non que pour émouuoir Ou leurs Chefsà la honte, ou leurs cœurs au deuoir.	L'armée de la ligue a tremblé sous mon nom, Se destornant de moi, mais leurfiere Junon, Et le Dieu Thracien qui preside ez batailles, M'ontfait battre Raune, atterrer ses murailles, Prêt à donner l'assaut, non que pour émouvoir Ou leurs Chefsà la honte, ou leurs cœurs au devoir.
En fin ils ſont venus combatus de la honte, Plus que de la valeur d’une jeuneſſe prompte:	En fin ils sont venus combattus de la honte, Plus que de la valeur d'une jeunesse prompte:
Car ie m’aſſurebien que ces braues Romains, Ces Rodomonts d’Eſpagne, aprehendent mes maint Bien-plus que la colombe en ſa courſe egarée, Ne craint l’oyſeau voguant ſur la plaine azurée, Que le tremblant nocher les écueils à fleur-d’eau, Les tourbillons de vents:	Car ie m'assurebien que ces braves Romains, Ces Rodomonts d'Espagne, appréhendent mes maint Bien-plus que la colombe en sa course égarée, Ne craint l'oiseau voguant sur la plaine azurée, Que le tremblant nocher les écueils à fleur-d'eau, Les tourbillons de vents:
que le bourgeon nouueau Ne redoute l’aſſaut des gelées dernieres Qui vont perdant l'eſpoir des montres printanieres:	que le bourgeon nouveau Ne redoute l'assaut des gelées dernières Qui vont perdant l'espoir des montres printanières:
C’est tout ce que i’auoy ſi long temps deſiré, Où ma bouillante humeur a touſiours aspiré Et ſi ie n’euſſe encor vſé d’un artifice, Ils fuioyent pour-iamais & me quitoyent la lice:	C'est tout ce que j'avais si long temps désiré, Où ma bouillante humeur a toujours aspiré Et si ici n'eusse encor usé d'un artifice, Ils fuyaient pour toujours et me quitaient la lice:
I’auoy beau les pourſuiure, ils n’en vouloient manger Que preſſez des affrons, & pouſſez, du danger.	J'avais beau les poursuivre, ils n'en voulaient manger Que pressez des affrons, et poussés, du danger.
Qu’ont ils a ſe vanter, à brauer de leur armes?	Qu'ont ils a se vanter, à braver de leur armes?
Ce n’eſt que piperie, ils combatent de charmes, D’embuche, de fineſſe, & toute leur valeur N’eſt qu’à temporiſer, & fleſchir au malheur.	Ce n'est que piperie, ils combattent de charmes, D'embûche, de finesse, et toute leur valeur N'est qu'à temporiser, et fleur au malheur.
taine, C’eſt comme ils ont gaigné ſous leur grand Cape Ce Royaume fatal de l’antique Sereyne, Fatal pour l’auoir eu, & ſi ſouuent conquis, Mais tant de fois perdu que nous l’auons acquis.	taine, C'est comme ils ont gagné sous leur grand Cape Ce Royaume fatal de l'antique Sereyne, Fatal pour l'avoir eu, et si souvent conquis, Mais tant de fois perdu que nous l'avons acquis.
Que n’auoit ce Conſalue vn grand Gaston en teſte, Ie l’euſſe terraſſé comme vn trait de tempeſte, Qui brillante de feux, renuerſa poudroyez Les vaiſſeaus d’un Aiax au retour foudroyez.	Que n'avait ce Consalue un grand Gaston en tête, Je l'eusse terrassé comme un trait de tempête, Qui brillante de feux, renversa poudroyez Les vaisseaus d'un Ajàx au retour foudroyez.
I’euſſe mené batant ces troupes bazanées Mi-mores éperdus, dans leurs mons Pyrenées:	J'eusse mené bâtant ces troupes basanées Mi-mores éperdus, dans leurs mons Pyrénées:
Et fait voir que la France, & mon bras haſardeux, Peuuent brauer leurs cœurs, & triomfer des preux:	Et fait voir que la France, et mon bras hasardeux, Peuvent braver leurs cœurs, et triomfer des preux:
Mais la diuiſion de nos troupes branlantes Fit perdre leur conqueſte à ces ames vaillantes:	Mais la division de nos troupes branlantes Fit perdre leur conquête à ces âmes vaillantes:
Et la peau de renar l’emporta ceſte fois Sur ces cœurs de lyons échangez en François.	Et la peau de renar l'emporta cette fois Sur ces cœurs de lions échangez en Français.
Or i’y ſuis tout à tems, ces chams de la victoire Me feront triompher des palmes de la gloire, Paſſer deſſus le ventre à leurs ſoldats ſanglans, Foudroier l’Italie, & dans Rome tremblans Bloquer ces long-vetus, & rauager ce Iules, Qui penſe m’eſtonner ſous l’ombre de ſes bules.	Or j'y suis tout à temps, ces champs de la victoire Me feront triompher des palmes de la gloire, Passer dessus le ventre à leurs soldats sanglants, Foudroyer l'Italie, et dans Rome tremblants Bloquer ces long-vêtus, et ravager ce Jules, Qui pense m'étonner sous l'ombre de ses bules.
Mais qui ſçait deſdaigner le fer deſſus le dos, La parque aus doigs de sãg, grãd de gloire, & du los, Que ſon ame vaillante a cent fois ſur les armes Acquis par les haſars, par la mor degens darmes:	Mais qui sait dédaigner le fer dessus le dos, La parque aussi doigs de song, grande de gloire, et du los, Que son âme vaillante a cent fois sur les armes Acquis par les hasards, par la mór dégents darmes:
Celuï-là peut brauer inuincible de cœur, Les eſcris, & le plomb, dont vn Iules moqueur Prophane le pouuoir qu’il a du Dieuſupreme, Mais non pour nous tromper, en ſe trõpant ſoi-meſme.	Celuir-là peut braver invincible de cœur, Les écris, et le plomb, dont un Jules moqueur Prophane le pouvoir qu'il a du Dieusupreme, Mais non pour nous tromper, en se trõpant soi-même.
Si les atraperai-ie, & leur ferai ſentir Que ma verge de ferporte le repentir, Fait trembler les Enfers, & ſecond Caducée Clorre leurs yeux ternis, & charmer leurpenſee.	Si les atraperai-je, et leur ferai sentir Que ma verge de ferporte le repentir, Fait trembler les Enfers, et second Caducée Clore leurs yeux ternis, et charmer leurpensee.
C’eſt moy qui ſuis la guerre, & la fureur de Mars, C’eſt moy qui fais trembler les armes, les rempars Et ce qu'a d’inſenſible en ſa plaine commune L’effroiable trident de lécumeus Neptune.	C'est moi qui suis la guerre, et la fureur de Mars, C'est moi qui fais trembler les armes, les rempars Et ce qu'a d'insensible en sa plaine commune L'effroyable trident de lécumeus Neptune.
C’est moy qui ſuis Guaſtõ, ce grãd Duc de Nemou Qui nombre mes lauriers par le nombre des iours Que ieune i’ay veſcu:	C'est moi qui suis Guastõ, ce grand Duc de Nemou Qui nombre mes lauriers par le nombre des jours Que jeune j'ai vécu:
c’eſt moy que l'Italie, Que Naples, la Sicile, & l'Eſpagne aſſaillie Doiuent braue au combat, bien toſt victorieux Voir le ſceptre en la main, & le nom dans les Cieu Ie ſuis comme vn orage, vn torrent de montag Qui flotant, ondoyant, écumant la campagne, Emporte quant-& ſoy les arbres renuerſez Les hommes ébranlez, les monts outrepercez Et ce qu’euſt moins ſujet aus loyx de l’inconſtanu Les termes des Paiens d’inuincible puiſſance.	c'est moi que l'Italie, Que Naples, la Sicile, et l'Espagne assaillie Doivent brave au combat, bien tôt victorieux Voir le sceptre en la main, et le nom dans les Cieu -Je suis comme un or, torrent de montag Qui flotant, ondoyant, écumant la campagne, Emporte quant-et soi les arbres renversés Les hommes ébranlez, les monts outrepercez Et ce qu'eût moins sujet aux lois de l'inconstanu Les termes des Paiens d'invincible puissance.
M’eſt il rien impoßible eſt ant bien-veu du Roy?	M'est il rien imposible est ant bienve du Roi?
Aiant vn cœur d’Achile, & les deſtins pour moy?	Ayant un cœur d'Achille, et les destins pour moi?
Cœur qui ne peut rien voir qui lui ſoit redoutab, Destin qui m’accompare à l’Hercule indomtable, Au Ceſar conquerant, au Macedonien Rengeant deſſous ſes loix l’Empire Perſien.	Cœur qui ne peut rien voir qui lui soit redoutab, Destin qui m'accompare à l'Hercule indomptable, Au César conquérant, au Macedonien Rengeant dessous ses lois l'Empire Persien.
Ces braues caualliers qui des vagues Aulides Pouſſerent leur vaiſſe au ſur les riues Clochides, Auſquels la Simplegade, & les Dragons fumans, Les Dires de Phinée, & les flos écumans Ne peurent empeſcher l’honorable conqueste Qui graua maint trophée és temples de leur teste:	Ces braves cavaliers qui des vagues Aulides Poussèrent leur vaisse au sur les rives Clochides, Ausquels la Simplegade, et les Dragons fumants, Les Dires de Phinée, et les flot écumants Ne peurent empêcher l'honorable conquête Qui grava maint trophée ès temples de leur tête:
Qu’auoiẽt-ils plus que moy pour ſe rẽdre immortels, Enfans de demi Dieux:	Qu'avaient-ils plus que moi pour se rendre immortels, Enfants de demi Dieux:
mes ayeuls furent tels, Grans Princes, grans guerriers, grans & granCapitaines:	mes aïeuls furent tels, Grans Princes, grans guerriers, grans et granCapitaines:
’ils eurent la valeur enprainte dans leurs veines, C’est en quoy ie leur ſemble, & ne penſe pas voir Rien qui puiſſe durer preſſé de mon pouuoir.	U'ils eurent la valeur enprainte dans leurs veines, C'est en quoi -je leur semble, et ne pense pas voir Rien qui puisse durer pressé de mon pouvoir.
Que peut on voir de grand ou mon ame n’aſpire?	Que peut -on voir de grand ou mon âme n'aspire?
Naples ne peut faillir aus feus que ie ſoupire, Et m'eſt deſia promis:	Naples ne peut faillir aus si que sans soupire, Et m'est déjà promis:
pour ces lieus Ætneans Sepulture iadis à l'orgueildes Geans:	pour ces lieus Ætneans Sépulture jadis à l'orgueildes Géants:
Deſ-ia i’en fais eſtat:	Déjà j'en fais état:
& tenant la campagne, 'eſpere voir ſous moy les deſers de l’Eſpagne, Et toutce que mon fer trenchant enſanglanté Pourra voir s’oppoſer à mon cœur indomté.	et tenant la campagne, 'espère voir sous moi les désers de l'Espagne, Et toutce que mon fer trenchant ensanglanté Pourra voir s'opposer à mon cœur indomté.
Aſſez le Roy mon oncle a ſur ſoy de couronne, Il n’a que trop d’honneur, & c’eſt moy qui lui donne Ces trofées de ſang, triomfes plus certains De ceux qui meſpriſoyent ſes ſceptres, & mes mains.	Assez le Roi mon oncle a sur soi de couronne, Il n'a que trop d'honneur, et c'est moi qui lui donne Ces trofées de sang, triomfes plus certains De ceux qui méprisaient ses sceptres, et mes mains.
Genereuſe valeur!	Généreux valeur!
eſt-il rien deſirable, Que ne puiſſe obtenir ceſte fougue admirable De courage, & dardeur?	est-il rien désirable, Que ne puisse obtenir cette fougue admirable De courage, et dardeur?
y-a tilſous les Cieux Rien pareil, rien d’eſgal au cœur victorieux, Ferme rempart des ſiens, terreur de l’aduerſaire, Nouuel Aſtre des nuits où ſon phanal éclaire.	y-a tilsous les Cieux Rien pareil, rien d'égal au cœur victorieux, Ferme rempart des siens, terreur de l'adversaire, Nouvel Astre des nuits où son phanal éclaire.
Heureus fils de Thetis, qui voiant à ton chois Ou la vie plus longue, ou l’honneur du harnois, Et l’immortalité d’vne ſeconde vie, Pour voir ſur ton Apuril la premiere rauie, Sceus preferer l’honneur à la longueur des iours Par armes acquerant la gloire pour touſiours.	Heureus fils de Thétis, qui voyant à ton chois Ou la vie plus longue, ou l'honneur du harnais, Et l'immortalité d'une seconde vie, Pour voir sur ton Apuril la première ravie, Sçus préférer l'honneur à la longueur des jours Par armes acquérant la gloire pour toujours.
De moy, quandie me voy mil' enſeignes flotantes,	De moi, quandie me vois mil' enseignes flotantes,
Quand ie voy deſſous moy tant d’armes éclatant Seconds iours de lumiere au feu de la valeur, Ie ne ſuis plus à moy:	Quand ie cy dessous moi tant d'armes éclatant Seconds jours de lumière au feu de la valeur, Je ne suis plus à moi:
la furie, l’ardeur, L’impetuoſité, l’eſpoir, l’impatience Donnent vent, & maree aux flots de ma vaillar Pouſſé de deux fureurs, animé de deux feux De l’Amour, & de Mars, lié des blons cheueux Du bel œil d’Alençon, ie braue les armées, Sous l’effort de mon bras d’un clein d’œil conſumée Ie gouſpille la mort, meſpriſe les hazards, Et me penſe bagner dans le ſang des ſoldars, Deſirable Ocean d’une ame de victoire, Qui charme le peril des pointes de ſa gloire.	la furie, l'ardeur, L'impétuosité, l'espoir, l'impatience Donnent vent, et mare aux flots de ma vaillar Poussé de deux fureurs, animé de deux feux De l'Amour, et de Mars, lié des blons cheveux Du bel œil d'Alençon, Seigneur brave les armées, Sous l'effort de mon bras d'un clein d'œil consumée Je goutpille la mort, méprise les hasards, Et me pense bagner dans le sang des soldars, Désirable Ocean d'une âme de victoire, Qui charme le péril des pointes de sa gloire.
Quel heur a-ton de vaincre enrichi de laurien Ou perdant la Victoire entre tant de guerriers, S’allerprecipiter teint de ſang, noir de poudre, Peſle-meſle atterré des éclas de lafoudre, De tout vn camp flambant, d'éclairs, & de furen, Animé de la rage, époinçonné d’horreur?	Quel heur a-ton de vaincre enrichi de laurien Ou perdant la Victoire entre tant de guerriers, S'allerprécipiter teint de sang, noir de poudre, Pêle-mêle atterré des éclas de lafoudre, De tout un camp flambant, d'éclairs, et de furen, Animé de la rage, époinçonné d'horreur?
Iamais vn plus beau iour ne luit à mapaupier, Quand armé tout à blanc, & la pique meurtrier Arboree en la main, à la teſte des miens, Dans Breſſe ie donnay ſur les Venitiens, Et que venant aux mains à chaque bout de ruë, C’eſtoient nouueaux combats éclairans à ma veue Mes armes, mon eſcharpe, & mon eſtoc fatul, Changez de couleur blanche à celle du coral, beurſirent remarquer uſurpeurs de prouincé,	Jamais un plus beau jour ne luit à mapaupier, Quand armé tout à blanc, et la pique meurtrier Arboree en la main, à la tête des miens, Dans Bresse avoir donnai sur les Venitiens, Et que venant aux mains à chaque bout de rue, C'étaient nouveaux combats éclairans à ma vue Mes armes, mon écharpe, et mon étoc atul, Changez de couleur blanche à celle du coral, baille urs usurpeurs remarque,
AVASTON DETOYX, Ce que peut le courage, & les armes d’un Prince:	AUASTON DETOIX, Ce que peut le courage, et les armes d'un Prince:
Ie dis Prince François car la France a l’honneur D’eſtre à tout l’Vniuers mirouer de la valeur.	Je dis Prince Français car la France a l'honneur D'être à tout l'Univers mirouer de la valeur.
Courage, m'y voyla ſur ces meſmes briſées, Ie voi bien qu’aujourd’hui les plaines Eliſees Regorgeront de morts, & que le vieil charon Trauaillera pantois ſur les flos d’Acheron, Trofées de ma main qui peut ſeule fatale Repeupler les deſerts de la Cour infernale:	Courage, m'y voilà sur ces mêmes brisées, Je vois bien qu'aujourd'hui les plaines Élisées Regorgeront de morts, et que le vieil charon Travaillera pantois sur les flot d'Acheron, Trofées de ma main qui peut seule fatale Repeupler les déserts de la Cour infernale:
Mes ſoldats ont creance, ils ſont preſomptueux, Inuincibles de cœur, quand ie ſuis auec eus:	Mes soldats ont créance, ils sont présomptueux, Inuincibles de cœur, quand quelque suis avec eus:
L’ennemi me redoute, & ſon Demon moins braue Friſſone pres du mien qui le bat en eſclaue.	L'ennemi me redoute, et son Démon moins brave Frissone pres du mien qui le bat en esclave.
Pour en dire le vray, ie ne le trouue pas Rabatu de l’honneur s’il redoute mes bras:	Pour en dire le vrai, ie ne le trouve pas Rabattu de l'honneur s'il redoute mes bras:
Bras à pointe defer, à trempe rougiſſante, Dignes de l’Aquitaine, où ma vertu naiſſante Ne teſmoigne que trop que la fatalité De monpais natal m’a fait naitre indomté.	Bras à pointe défer, à trempe rougissante, Dignes de l'Aquitaine, où ma vertu naissante Ne témoigne que trop que la fatalité De monpais natal m'a fait naître indomté.
Il faut viure, ou mourir:	Il faut vivre, ou mourir:
ie n’aypoint etofées Mes armes, κy mon cœur, de moins dignes troſées Que ceux d’un Alexandre, & dignes d’vn Guaſton, Qui don ra tributaire auſceptre de Pluton Tant d’ames, tant de morts, & tant d’Ombres errantes, Qu’ily faudra creer de nouueaus Rhadamantes, Et de nouueaus Charons, les vns pouren iuger, Les autres pour ayderà ce vieilpaſſager.	Ce n'aipoint etofées Mes armes, κy mon cœur, de moins dignes trosées Que ceux d'un Alexandre, et dignes d'Un Guaston, Qui don ra tributaire auxusceptre de Pluton Tant d'âmes, tant de morts, et tant d'Ombres errantes, Qu'ily faudra créer de nouveaus Rhadamantes, Et de nouveaus Charons, les uns pouren iuger, Les autres pour aider ce vieilpassager.
Quelque part que ie tourne, & T'œil & le viſage Ie ne voy que des Mars:	Quelque part que ici tourne, et T'œil et le visage Je ne vois que des Mars:
les armes, le courage, Et le deſir des miens me font repreſenter Le combat haſardeus de ce grand Iuppiter Qui renuerſa Briare au fond de Trinacrie, Qui fit glacer d’effroj, d’horreur, & de furie Les Titanes errans, & les Manes ombreus Redoutans ſon tonnerre, & ſes éclas fumeus.	les armes, le courage, Et le désir des miens me font représenter Le combat hâardeus de ce grand Juppiter Qui renversa Briare au fond de Trinacrie, Qui fit glacer d'effroj, d'horreur, et de furie Les Titanes errants, et les Manes ombreus Redoutants son tonnerre, et ses éclas fumeus.
Courage, il faut marcher les pieces tranſportées Ie veux faire auancer mes troupes redoutées:	Courage, il faut marcher les pièces transportées Je veux faire avancer mes troupes redoutées:
L’ennemi bat aus chams, il le faut deuancer, C’eſt à lui d’auoir peur, à moy de l’enfoncer.	L'ennemi bat aux champs, il le faut devancer, C'est à lui d'avoir peur, à moi de l'enfoncer.
Ie veux que ce ſoleil tout brulant de lumiere, Brille ſur le clinquant de ma valeur premiere, Et que mes armes ſoient à leurs yeux, des Soleils, Des Paniques terreurs, des effrois tous pareils A ceus que Perſephone au millieu des batailles, Aux terreurs qu’Enion ſur les flancs des murailles Y ſeme épouuentable, atiſant le diſcort, Et la faute de cœur deuanciers de la mort.	Je veux que ce soleil tout brûlant de lumière, Brille sur le clinquant de ma valeur première, Et que mes armes soient à leurs yeux, des Soleils, Des Paniques terreurs, des effrois tous pareils A ceus que Persephone au millieu des batailles, Aux terreurs qu'Enion sur les flancs des murailles Y seme épouuentable, atisant le discort, Et la faute de cœur devanciers de la mort.
mes L’honeur ſuit les hazars les haſars ſont les charQui doiuent animer le courage, les armes, Et grauer dans le Ciel à la poſterité La gloire, le renom, & l’immortalité.	mes L'honeur suit les hasards les hasards sont les charQui doivent animer le courage, les armes, Et graver dans le Ciel à la postérité La gloire, le renom, et l'immortalité.
Ie feray renommer ces plaines de Rauenne, Moy ſignalé du nom du plus grand Capitaine En l’age que ieſuis, que le mont Apennin, Que l’email de l’Aurore éclairant au matin, Et qu’ayent iamais veu les ondes Atlantides Qui baignent le verger des Nymphes Heſpérides, Mon oncle, mort ou vif, me dira, ie le crois Digne d’eſtre du ſang d’un monarque François:	Je ferai renommer ces plaines de Ravenne, Moi signalé du nom du plus grand Capitaine En l'age que iesuis, que le mont Apennin, Que l'email de l'Aurore éclairant au matin, Et qu'aient jamais vu les ondes Atantides Qui baignent le verger des Nymphes Hespérides, Mon oncle, mort ou vif, me dira, je le crois Digne d'être du sang d'un monarque Français:
Car ie veus ſeul tracer le chemin de victoire Auec ces meſmes pas qui deuancent ma gloire.	Car ici vus seul tracer le chemin de victoire Avec ces mêmes pas qui devancent ma gloire.
Romceseneſsenntmis jont peupour ma valeur, Et moins pour mes ſoldas leurs victimes d’honeur	Romesenessenntmis jont peupour ma valeur, Et moins pour mes soldas leurs victimes d'honneur
CHOEVR DES SOLDAS, FRANÇOIS.	CHOEUR DES SOLDAS, FRANOIS.
iuin foleil de la valeur, DQui portes le ſangpour couleur, Et la victoire pour tes armes, Il n'eſt rienplus égal aux Dieux, Qu’une ame inuincible ez alarmes, N’y qu’un Guaſton victorieux.	juin soleil de la valeur, DQui portes le sangpour couleur, Et la victoire pour tes armes, Il n'est rienplus égal aux Dieux, Qu'une âme invincible ez alarmes, N'y qu'un Guâton victorieux.
La ſeule magnanimité Au champ de l’immortalité Dreſſe ſes enſeignes flotantes, S’acquiert par les armes la Paix, Aſſure les ames tremblantes, Et ne peut fleſchir ſous le faix.	La seule magnanimité Au champ de l'immortalité Dresse ses enseignes flotantes, S'acquiert par les armes la Paix, Assure les âmes tremblantes, Et ne peut fléchir sous le faix.
Vn cœur vaillant porte dans ſoy Les contre-mines de l’effroy, Braue les coups de la fortune:	Un cœur vaillant porte dans soi Les contre-mines de l'effroi, Brave les coups de la fortune:
Il ne ſçait que c’eſt de trembler, Non aux tourmentes de Neptune, Non pour les orages de l’air.	Il ne sait que c'est de trembler, Non aux tourmentes de Neptune, Non pour les orages de l'air.
Dans le plus espais des ſoldars,	Dans le plus épais des soldars,
* Ez abymes ſanglants de Mars, * Ses pointes les moins genereuſes  Ne rebouchent d’aucun effort:	* Es abîmes sanglants de Mars, * Ses pointes les moins généreuses Ne rebouchent d'aucun effort:
Il porte en ſes mains valeureuſes ** La fureur, le ſang, & la mort, Pour ſon Roy, ſon ami, ſon ſang, t Il ſe voit transpercer le flanc Du fil d’vne ſanglante eſpee:	Il porte en ses mains valeureuses * La fureur, le sang, et la mort, Pour son Roi, son ami, son sang, Il se voit transpercer le flanc Du fil d'une sanglante espée:
t Il pert la vie, & la couleur, * Sans que ſon ombre ſoit trempee - D’vne ſeule goute de pleur.	 Il pert la vie, et la couleur, * Sans que son ombre soit trempée - D'une seule goute de pleur.
** De l’Aigle eſt conceu l’Aigle fort, t* Le lyon terreur de la mort, ** Retient l’audace de ſon Pere:	* De l'Aigle est conçu l'Aigle fort, t* Le lyon terreur de la mort, * Retient l'audace de son Père:
Du vaillant naiſt le valeureus, * Et l’Autour n’eut iamais pour mere, ** V ne Colombe au cœur paoureus.	Du vaillant naît le valureus, * Et l'Autour n'eut jamais pour mère, * V ne Colombe au cœur paoureus.
L’inuincible Guaſton de Foyx, Yſſu de ces Princes François, Qui ſont les terreurs d’vne armée, Ne peut eſtre que genereus:	L'invincible Guâton de Foix, Yssu de ces Princes Français, Qui sont les terreurs d'une armée, Ne peut être que généreus:
Fils-ainé de la renommée, Et le vray germe de nos Preux.	Fils-ce de la renommée, Et le vrai germe de nos Preux.
Capitaine auant que ſoldat, C’eſt vn Mars, vn torrent qui bat De ſes armes victorieuſes Ce qu’il voit le plus redouté;	Capitaine avant que soldat, C'est un Mars, un torrent qui bat De ses armes victorieuses Ce qu'il voit le plus redouté;
Et ſes empriſes glorieuſes	Et ses emprises glorieuses
Tiennent de l’immortalité.	Tiennent de l'immortalité.
L’Italie n’a iamais veu Tel Ceſar, qui ſe dit conceu Du Dieu foudroiant de la Thrace:	L'Italie n'a jamais vu Tel César, qui se dit conçu Du Dieu foudroyant de la Thrace:
Il fait trembler tout deſſous ſoy:	Il fait trembler tout dessous soi:
Ses armes ſe font faire place Empraintes de ſang, & d’effroy.	Ses armes se font faire place Empraintes de sang, et d'effroi.
Mais s’il a le cœur genereux:	Mais s'il a le cœur généreux:
Il n’eſt moins actif, moins heureus, Son armee court außi viſte Que les ailes d'vn arc Turquois, Ou que ſur le dos d’Amphitrite On voit les barques de l’Indois.	Il n'est moins actif, moins heureus, Son armée court aussi vite Que les ailes d'un arc Turquois, Ou que sur le dos d'Amphitrite On voit les barques de l'Indais.
Au premier Apuril de ſes ans, Il peut s’eſgaler aus plus grans, Deſia chenu d’experience:	Au premier Apuril de ses ans, Il peut s'égaler aus plus grans, Désia chenu d'expérience:
Ie crains que ce fruit auant-meur Soit en l’hyuer dés ſon enfance, Et qu’il ſe perde en ſa valeur.	Je crains que ce fruit avant-meur Soit en l'hiver dès son enfance, Et qu'il se perde en sa valeur.
ACTE SECOND.	ACTE SECOND.
FABRICE COLONE.	FABRICE COLONE.
Vel demõ, quel orage, & quel Astre de Mars, Mais bien quelle fureur inuincible és hazars, Erre au cœur de Guaſton?	Vel demon, quel orage, et quel Astre de Mars, Mais bien quelle fureur invincible ès hasards, Erre au cœur de Guaston?
ce ieune chef d’armée Qui porte ſa Gorgone au combat animée, Parangon d’vn vray Mars à trauers les Geans, E ij	ce jeune chef d'armée Qui porte sa Gorgone au combat animée, Parangon d'un vrai Mars à travers les Géants, E ajà
Tanſpercez, renuerſez ſur les monts Phlegreans.	Tanspercez, renversez sur les monts Phlégreants.
Paranguon d’un Pelide en la guerre Troyene, Dugrand Ariſtomene, horreur Oebaliene, Ou d’un Gyge à cent bras, qui vray mõſtre d’horreu Monſtrueux fit au ciel ſes monſtres de fureur.	Paranguon d'un Pélide en la guerre Troyène, Dugrand Aristomène, horreur Oebaliene, Ou d'un Gyge à cent bras, qui vrai montre d'horreu Monstrueux fit au ciel ses monstres de fureur.
On n’a rien veu de tel, & l’antiquité meſme N’euſt onc rien de pareil:	On n'a rien vu de tel, et l'antiquité même N'eût onc rien de pareil:
ſa valeur est extreme:	sa valeur est extrême:
Sont pour nous engager la honte ſur le front.	Sont pour nous engager la honte sur le front.
