PREFACE.	PRÉFACE.
MONIAE.	MONIAE.
Il ne l’eſt pas encore, Phœdime, & juſques là je croy que mon deuoir Eſt de l’attendre icy, ſans l’aller receuoir.	Il ne l'est pas encore, Phœdime, et jusque -là je crois que mon devoir Est de l'attendre ici, sans l'aller recevoir.
PHOEDIME.	PHOEDIME.
Mais ce n’eſt point, Madame, vn Amant ordinaire.	Mais ce n'est point, Madame, un Amant ordinaire.
Songez qu’à ce grand Roy promiſe par vn Pere, Vous auez de ſes feux vn gage ſolennel, Qu’il peut quand il voudra, confirmer à l’Autel.	Songez qu'à ce grand Roi promise par un Père, Vous avez de ses feux un gage solennel, Qu'il peut quand il voudra, confirmer à l'Autel.
ciojer moj, momtien tous, renen a la rencontre.	ciojer moj, momtien tous, renen a la rencontre.
MONIME.	MONIME.
Regarde en quel eſtat tu veux que ie me monſtre.	Regarde en quel état tu veux que je me montre.
Voy ce viſage en pleurs, & loin de le chercher, Dy-moy plûtoſt, dy-moy que je m’aille cacher.	Vois ce visage en pleurs, et loin de le chercher, Dis-moi plutôt, dis-moi que je m'aille cacher.
PHOEDIME.	PHOEDIME.
Que dites-vous?	Que dites-vous?
ô dieux!	ô dieux!
MONIME.	MONIME.
Ah retour qui me tuë!	Ah retour qui me tue!
Malheureuſe!	Malheureuse!
Comment paroiſtray-je à ſa veuë, Son diadême au front, & dans le fonds du cœur, Phœdime.	Comment paraîtrai-je à sa vue, Son diadème au front, et dans le fond de cœur, Phœdime.
Tu m’entens, & tu vois ma rougeur.	Tu m'entends, et tu vois ma rougeur.
PHOEDIME.	PHOEDIME.
Ainſi vous retombez dans les meſmes allarmes Qui vous ont dans la Grece arraché tant de larmes?	Ainsi vous retombez dans les mêmes alarmes Qui vous ont dans la Grèce arraché tant de larmes?
Et toûjours Xiphares reuient vous trauerſer?	Et toujours Xiphares revient vous traverser?
MONIME.	MONIME.
Mon malheur tit prus gralia que tu ne peus penſer.	Mon malheur tit prus gralia que tu ne peux penser.
Xiphares ne s’offroit alors à ma memoire, Que tout plein de vertus, que tout brillant de gloire.	Xiphares ne s'offrait alors à ma mémoire, Que tout plein de vertus, que tout brillant de gloire.
Et je ne ſçauois pas que pour moy plein de feux Xiphares des mortels fuſt le plus amoureux.	Et je ne savais pas que pour moi plein de feux Xiphares des mortels fût le plus amoureux.
HOEDIME.	HODIME.
Il vous aime, Madame!	Il vous aime, Madame!
Et ce Heros aimable.	Et ce Héros aimable.
MONIME.	MONIME.
Eſt auſſi malheureux que je ſuis miſerable, Il m’adore Phœdime, & les meſmes douleurs Qui m’affligeoient icy le tourmentoient ailleurs.	Est aussi malheureux que je suis misérable, Il m'adore Phœdime, et les mêmes douleurs Qui m'affligeaient ici le tourmentaient ailleurs.
PHOEDIME.	PHOEDIME.
Sçait-il en ſa faueur juſqu’où va voſtre eſtime?	Sait-il en sa faveur jusqu'où va votre estime?
Sçait-il que vous l'aimez ?	Sait-il que vous l'aimez ?
MONIME.	MONIME.
Il l’ignore Phœdime.	Il l'ignore Phœdime.
Les Dieux m’ont ſecouruë, & mon cœur affermy N’a rien dit ou du moins n’a parlé qu’à demy.	Les Dieux m'ont secourue, et mon cœur affermi N'a rien dit ou du moins n'a parlé qu'à demi.
Helas!	Hélas!
ſi tu ſçauois, pour garder le ſilence, Combien ce triſte cœur s’eſt fait de violence!	si tu sçauois, pour garder le silence, Combien ce triste cœur s'est fait de violence!
Quels aſſauts, quels combats j’ay tantoſt ſoûtenus!	Quels assauts, quels combats j'ai tantôt soutenus!
Phœdime, ſi je puis je ne le verray plus.	Phœdime, si je puis je ne le verrai plus.
Malgré tous les efforts que je pourrois me faire, Ie verrois ſes douleurs, je ne pourrois me taire.	Malgré tous les efforts que je pourrais me faire, Je verrais ses douleurs, je ne pourrais me taire.
Il viendra, malgré moy, m’arracher cet aveu.	Il viendra, malgré moi, m'arracher cet aveu.
Mais n’importe, s’il m’aime il en jouïra peu.	Mais n'importe, s'il m'aime il en jouira pu.
Ie luy vendray ſi cher ce bonheur qu’il ignore, Qu’il vaudroit mieux pour luy qu’il l’ignorât encore.	Je te vendrai si cher ce bonheur qu'il ignore, Qu'il vaudrait mieux pour lui qu'il l'ignorât encore.
PHOEDIME.	PHOEDIME.
On vient.	On vient.
Que faites-vous, Madame?	Que faites-vous, Madame?
MONIME.	MONIME.
Ie ne puis.	Je ne puis.
Ie ne paroiſtray point dans le trouble où je ſuis.	Je ne paraîtrai point dans le trouble où je suis.
SCENE II.	SCÈNE II.
MITHRIDATE, PHARNACE, XIPHARES, ARBATE, Gardes.	MITHRIDATE, PHARNACE, XIPHARES, ARBATE, Gardes.
MITHRIDATE.	MITHRIDATE.
Rinces, quelques raiſons que vous me puiſſiez I dire, Voſtre deuoir icy n’a point dû vous conduire, Ny vous faire quitter en de ſi grands beſoins Vous le Pont, vous Colchos, confiez à vos ſoins.	Rinces, quelques raisons que vous me puissiez I dire, Votre devoir ici n'a point dû vous conduire, Ni vous faire quitter en de si grands besoins Vous le Pont, vous Colchos, confiez à vos soins.
Mais vous auez pour juge vn Pere qui vous aime.	Mais vous avez pour juge un Père qui vous aime.
Vous auez crû des bruits que j’ay ſemez moy-meſme.	Vous avez cru des bruits que j'ai semés moi-même.
Ie vous crois innocens puiſque vous le voulez.	Je vous crois innocents puisque vous le voulez.
Et je rens grace au Ciel qui nous a raſſemblez.	Et je rends grâce au Ciel qui nous a rassemblés.
Tout vaincu que je ſuis, & voiſin du naufrage, Ie medite vn Deſſefii digie de mon courage.	Tout vaincu que je suis, et voisin du naufrage, Je médite un Dessefi digie de mon courage.
Vous en ſerez tantoſt inſtruits plus amplement.	Vous en serez tantôt instruits plus amplement.
Allez, & laiſſez-moy repoſer vn moment.	Allez, et laissez-moi reposer un moment.
SCENE III.	SCÈNE III.
MITHRIDATE, ARBATE,	MITHRIDATE, ARBATE,
MITHRIDATE.	MITHRIDATE.
Nfin apres vn an, tu me reuois, Arbate, ENon plus comme autrefois cet heureux Mithri date, Qui de Rome toûjours balançant le deſtin, Tenois entre-elle & moy l’Vniuers incertain.	Nfin après un an, tu me rêvais, Arbate, ENon plus comme autrefois cet heureux Mithri date, Qui de Rome toujours balançant le destin, Tenais entre-elle et moi l'Univers incertain.
D’vne nuit, qui laiſſoit peu de place au courage.	D'une nuit, qui laissait peu de place au courage.
Mes Soldats preſque nuds dans l’ombre intimidez, Les rangs de toutes parts mal pris, & mal gardez;	Mes Soldats presque nus dans l'ombre intimidés, Les rangs de toutes parts mal pris, et mal gardez;
Le deſordre par tout redoublant les allarmes, Nous-meſmes cõtre nous tournãtnos propres armes Les cris, que les rochers renuoyoient plus affreux Enfin toute l’horreur d’vn combat tenebreux;	Le désordre par tout redoublant les alarmes, Nous-mêmes comptre nous tournãtnos propres armes Les cris, que les rochers renvoyaient plus affreux Enfin toute l'horreur d'un combat ténébreux;
Que pouuoit la valeur dans ce trouble funeſte?	Que pouvait la valeur dans ce trouble funeste?
Les vns ſont morts, la fuite a ſauué tout le reſte, Et je ne doy la vie en ce commun effroy, Qu’au bruit de mon trépas que je laiſſe apres moy.	Les uns sont morts, la fuite a sauvé tout le reste, Et je ne dois la vie en ce commun effroi, Qu'au bruit de mon trépas que je laisse après moi.
Quelque temps inconnu j’ay trauerſé le Phaſe.	Quelque temps inconnu j'ai traversé le Phase.
Et de là penetrant juſqu’au pié du Caucaſe, Bien-toſt dans des vaiſſeaux ſur l’Euxin préparez I’ay rejoint de mon Camp les reſtes ſeparez.	Et de là pénétrant jusqu'au pied du Caucase, Bientôt dans des vaisseaux sur l'Euxin préparés J'ai rejoint de mon Camp les restes séparés.
Voilà par quels malheurs pouſſé dans le Boſphore I’y trouue des malheurs qui m’attendoient encore, Toûjours du meſme amour tu me vois enflammé, Ce cœur nourry de ſang, & de guerre affamé, Malgré le faix des ans & du ſort qui m’opprime Traiſne par tout l’amour qui l’attache à Monime, Et n’a point d’ennemis, qui luy ſoient odieux, Plus que deux Fils ingrats, que je trouue en ces lieux.	Voilà par quels malheurs poussé dans le Bosphore J'y trouve des malheurs qui m'attendaient encore, Toujours du même amour tu me vois enflammé, Ce cœur nourri de sang, et de guerre affamé, Malgré le faix des ans et du sort qui m'opprime Traine par tout l'amour qui l'attache à Monime, Et n'a point d'ennemis, qui lui avait odieux, Plus que deux Fils ingrats, que je trouve en ces lieux.
ARBATE.	ARBATE.
Deux Fils, Seigneur?	Deux Fils, Seigneur?
MITHRIDATE.	MITHRIDATE.
Ecoute.	Écoute.
A trauers ma colere le veux bien diſtinguer Xiphares de ſon Frere.	À travers ma colère le veux bien distinguer Xiphares de son Frère.
le ſçay que de tout temps à mes ordres ſoûmis Ihait autant que moy nos communs ennemis.	le sais que de tout temps à mes ordres soumis Ihait autant que moi nos communs ennemis.
Et j’ay veu ſa valeur à me plaire attachée uſtifier pour luy ma tendreſſe cachée.	Et j'ai vu sa valeur à me plaire attachée ustifier pour nô ma tendresse cachée.
eſçay meſme, je ſçais auec quel deſeſpoir, I tout autre intereſt préferant ſon deuoir, l courut démentir vne Mere infidelle Et tira de ſon crime vne gloire nouuelle.	esçay même, je sais avec quel désespoir, I tout autre intérêt préférant son devoir, l courut démentira mieux Mère infidèle Et tira de son crime rie nouuelle.
Et je ne puis encor, ny n’oſerois penſer Que ce Fils ſi fidelle ait voulu moffenſer.	Et je ne puis encor, ni n'oserais penser Que ce Fils si fidèle ait voulu moffenser.
[dre ?	[dre ?
Mais tous deux en ces lieux que pouuoient-ils attenl’vn & l’autre à la Reine ont-ils oſé prétendre?	Mais tous deux en ces lieux que pouvaient-ils attenl'un et l'autre à la Reine ont-ils osé prétendre?
Iuec qui ſemble-t’elle en ſecret s’accorder?	Juec qui semble-t-elle en secret s'accorder?
Aoy-meſme de quel œil dois-je icy l’aborder?	Aoi-même de quel œil dois-je ici l'aborder?
arſe.	arse.
Quelque deſir qui m’entraiſne auprés d’elle, l me faut de leurs cœurs rendre vn conte fidelle.	Quelque désir qui m'entraîne auprès d'elle, lé me faut de leurs cœurs rendre un conte fidèle.
Qu’eſt-ce qui s’eſt paſſé?	Qu'est-ce qui s'est passé?
Qu’as-tu veû?	Qu'as-tu vu?
Que ſçais-tu?	Que sais-tu?
Jepuis quel temps, pourquoy, commẽt t’es-tu rendu?	Jepuis quel temps, pourquoi, commêt t'es-tu rendu?
ARBATE.	ARBATE.
eigneur, depuis huit jours l’impatient Pharnace borda le premier au pié de cette Place.	eigneur, depuis huit jours l'impatient Pharnace borda le premier au pié de cette Place.
Et de voſtre trépas autoriſant le bruit Dans ces murs auſſi-toſt voulut eſtre introduit.	Et de votre trépas autorisant le bruit Dans ces murs aussitôt voulut être introduit.
Ie ne m’arreſtay point à ce bruit temeraire.	Je ne m'arrêtai point à ce bruit téméraire.
Et je n’écoutois rien, ſi le Prince ſon Frere Bien moins par ſes diſcours, Seigneur, que par ſes pleurs Ne m’euſt en arriuant confirmé vos malheurs.	Et je n'écoutais rien, si le Prince son Frère Bien moins par ses discours, Seigneur, que par ses pleurs Ne m'eût en arrivant confirmé vos malheurs.
MITHRIDATE.	MITHRIDATE.
Enfin que firent-ils?	Enfin que firent-ils?
ARBATE.	ARBATE.
Pharnace entroit à peine Qu’il courut de ſes feux entretenir la Reine, Et s’offrit d’aſſurer par vn hymen prochain Le bandeau qu’elle auoit receû de voſtre main.	Pharnace entrait à peine Qu'il courut de ses feux entretenir la Reine, Et s'offrit d'assurer par un hymen prochain Le bandeau qu'elle avait reçu de votre main.
MITHRIDATE.	MITHRIDATE.
Traiſtre!	Traître!
ſans luy donner le loiſt de repandre Les pleurs que ſon amour auroit dûs à ma cendre!	sans lui donner le loist de répandre Les pleurs que son amour aurait dus à ma cendre!
Et ſon Frere?	Et son Frère?
ARBATE.	ARBATE.
Son Frere, au moins juſqu’à ce jour, Seigneur, dans les denems ll a point marqué d’a mour, Et toûjours auec vous ſon cœur d’intelligence N’a ſemblé reſpirer que guerre & que vengeance.	Son Frère, au moins jusqu'à ce jour, Seigneur, dans les denems ll a point marqué d'à mour, Et toujours auec vous son cœur d'intelligence N'a semblé respirer que guerre et que vengeance.
MITHRIDATE.	MITHRIDATE.
Mais encor quel deſſein le conduiſoit icy?	Mais encor quel dessein le conduisait ici?
ARBATE.	ARBATE.
Seigneur, vous en ſerez toſt ou tard éclaircy.	Seigneur, vous en serez tôt ou tard éclairci.
MITHRIDATE	MITHRIDATE
MITHRIDATE.	MITHRIDATE.
Parle, je te Toruonne, & je veux tout apprendre,	Parle, je te Torvonne, et je veux tout apprendre,
ARBATE.	ARBATE.
Seigneur, juſqu’à ce jour, ce que j’ay pû comprendre, Ce Prince a crû pouuoir apres voſtre trépas Conter cette Prouince au rang de ſes Eſtats.	Seigneur, jusqu'à ce jour, ce que j'ai pu comprendre, Ce Prince a cru pouvoir après votre trépas Conter cette Province au rang de ses États.
Et ſans connoiſtre icy de loix que ſon courage, Il venoit par la force appuyer ſon partage.	Et sans connaître ici de lois que son courage, Il venait par la force appuyer son partage.
MITHRIDATE.	MITHRIDATE.
Ah!	Ah!
c’eſt le moindre prix qu’il ſe doit propoſer, Si le Ciel de mon ſort me laiſſe diſpoſer.	c'est le moindre prix qu'il se doit proposer, Si le Ciel de mon sort me laisse disposer.
Ouy, je reſpire, Arbate, & ma joye eſt extréme.	Oui, je respire, Arbate, et ma joie est extrême.
Ie tremblois, je l’auoüe, & pour vn Fils que j’aime.	Je tremblais, je l'auoüe, et pour un Fils que j'aime.
Et pour moy, qui craignois de perdre vn tel appuy, Et d’auoir à combattre vn Riual tel que luy.	Et pour moi, qui craignais de perdre un tel appui, Et d'avoir à combattre un Rival tel que lui.
Que Pharnace m’offence, il offre à ma colere Vn Riual dés long-temps ſoigneux de me déplaire, Qui toûjours des Romains admirateur ſecret Ne s’eſt jamais contre eux declaré qu’a regret.	Que Pharnace m'offense, il offre à ma colère Un Rival dès longtemps soigneux de me déplaire, Qui toujours des Romains admirateur secret Ne s'est jamais contre eux déclaré qu'a regret.
Et s’il faut que pour luy Monime préuenuë Ait pû porter aiſleurs vne amour qui m'eſt duë;	Et s'il faut que pour ainsi Monime prévenue Ait pu porter aisleurs une amour qui m'est due;
Malheur au criminel qui vient me la rauir, Et qui m’oſe offenſer, & n’oſe me ſeruir.	Malheur au criminel qui vient me la ravir, Et qui m'ose offenser, et n'ose me servir.
L aime t'elle?	L aime t'elle?
ARBATE.	ARBATE.
Seigneur, je voy venir la Reine.	Seigneur, je vois venir la Reine.
MITHRIDATE.	MITHRIDATE.
Dieux, qui voyez icy mon amour & ma haine, Eſpargnez mes malheurs, & daignez empeſcher Que je ne trouue encor ceux que je vais chercher.	Dieux, qui voyez ici mon amour et ma haine, Espargnez mes malheurs, et daignez empêcher Que je ne trouve encor ceux que je vais chercher.
Arbate;	Arbate;
c’eſt aſſez, qu’on me laiſſe auec elle.	c'est assez, qu'on me laisse avec elle.
SCENE IV.	SCÈNE IV.
MTTHRIDATE, MONIME,	MTTHRIDATE, MONIME,
MITHRIDATE, Adame, enfin le Ciel prés de vous me rappelle.	MITHRIDATE, Adame, enfin le Ciel près de vous me rappelle.
MEt ſecõdant du moins mes plus tendresſouhaits Vous rend à mon amour plus belle que jamais.	MEt secondant du moins mes plus tendressouhaits Vous rend à mon amour plus belle que jamais.
Ie ne m’attendois pas que de noſtre hymenée Ie duſſe voir ſi tard arriuer la iournée.	Je ne m'attendais pas que de notre hyménée Je dusse voir si tard arriver la journée.
Ny qu’en vous reuoyant mon ſuneſte retour Marquaſt mon infortune, & non pas mon amour.	Ni qu'en vous revoyant mon suneste retour Marquât mon infortune, et non pas mon amour.
C’eſt pourtant cet amour qui de tant de retraites Ne me laiſſe choiſir que les lieux où vous eſtes, Et les plus grands malheurs pourront me sẽbler doux Si ma preſence icy n’en eſt point vn pour vous.	C'est pourtant cet amour qui de tant de retraites Ne me laisse choisir que les lieux où vous êtes, Et les plus grands malheurs pourront me semer doux Si ma présence ici n'en est point un pour vous.
C’eſt vous en dire aſſez ſi vous voulez m’entendre.	C'est vous en dire assez si vous voulez m'entendre.
Vous deuez à ce jour dés long-temps vous attendre, Et vous portez, Madame, vn gage de ma foy Qui vous dit tous les jours que vous eſtes à moy.	Vous devez à ce jour dès longtemps vous attendre, Et vous portez, Madame, y mage de ma foi Qui vous dit tous les jours que vous êtes à moi.
Allons donc aſſurer cette foy mutuelle, Ma Gloire loin d’icy vous & moy nous appelle, Et ſans perdre vn moment pour ce noble deſſein.	Allons donc assurer cette foi mutuelle, Ma Loire loin d'ici vous et moi nous appelle, Et sans perdre un moment pour ce noble dessein.
Auiourd’huy voſtre Eſpoux, il faut partir demain.	Aujourd'hui votre Époux, il faut partir demain.
MONIME.	MONIME.
Seigneur, vous pouuez tout.	Seigneur, vous pouvez tout.
Ceux par qui je reſpire Vous ont cedé ſur moy leur ſouuerain empire.	Ceux par qui je respire Vous ont cédé sur moi leur souverain empire.
nt quant vous vſerez de ce droit tout-puihant, Ie ne vous repondray qu’en vous obeiſant.	nt quant vous userez de ce droit tout-puihant, Je ne vous répondrai qu'en vous obéisant.
MITHRIDATE.	MITHRIDATE.
Ainſi preſte à ſubir vn ioug qui vous opprime Vous n’allez à l’Autel que comme vne victime:	Ainsi prête à subir un joug qui vous opprime Vous n'allez à l'Autel que comme une victime:
Et moy tyran d’vn cœur qui ſe refuſe au mien Meſme en vous poſſedant ie ne vous deuray rien:	Et moi tyran d'âme cœur qui se refuse au mien Même en vous possédant ie ne vous devrai rien:
Ah Madame!	Ah Madame!
Eſt-ce là dequoy me ſatisfaire?	Est-ce là dequoy me satisfaire?
Faut-il que deſormais renonçant à vous plaire Ie ne pretende plus qu’à vous tyranniſer?	Faut-il que désormais renonçant à vous plaire Je ne prétende plus qu'à vous tyranniser?
Mes malheurs en vn mot me font-ils mépriſer?	Mes malheurs en un mot me font-ils mépriser?
Ah!	Ah!
Pour tenter encor de nouuelles conqueſtes Quand ie ne verrois pas des routes toutés preſtes, Quand le ſort ennemy m’auroit ietté plus bas, Vaincu, perſecuté, ſans ſecours, ſans Eſtats, Errant de mers en mers, & moins Roy que Pirate;	Pour tenter encor de nouvelles conquêtes Quand der ne verrais pas des routes tout prêtes, Quand le sort ennemi m'aurait jeté plus bas, Vaincu, persécuté, sans secours, sans États, Errant de mers en mers, et moins Roi que Pirate;
Conſeruant pour tous biens le nom de Mithridate, Apprenez que ſuiuy d’vn nom ſi glorieux Par tout de l’Vniuers i’attacherois les yeux, Et qu’il n’eſt point de Rois, s’ils ſont dignes de l’eſtre, Qui ſur le thrône aſſis n’enuiaſſent peut-eſtre Au deſſus de leur gloire vn naufrage éleué, Que Rome, & quarante ans ont à peine acheué.	Conservant pour tous biens le nom de Mithridate, Apprenez que suivi d'un nom si glorieux Par tout de l'Univers j'attacherais les yeux, Et qu'il n'est point de Rois, s'ils sont dignes de l'être, Qui sur le trône assis n'envient peut-être Au dessus de leur gloire un naufrage élevé, Que Rome, et quarante ans ont à peine achevé.
Vous meſme d’vn autre œil me verriez-vous, Madame, Si ces Grecs vos Ayeux reuiuoient dans voſtre ame?	Vous -même d'un autre œil me verriez-vous, Madame, Si ces Grecs vos Aïeux revient dans votre âme?
Et puiſqu’il faut enfin que ie ſois voſtre Eſpoux, N’eſtoit-il pas plus noble, & plus digne de vous, De ioindre à ce deuoir voſtre propre ſuffrage, D’oppoſer voſtre eſtime au deſtin qui m’outrage, Et de me raſſurer, en flattant ma douleur, Contre la défiance attachée au malheur ?	Et puisqu'il faut enfin que ainsi sois votre Époux, N'était-il pas plus noble, et plus digne de vous, De joindre à ce devoir votre propre suffrage, D'opposer votre estime au destin qui m'outrage, Et de me rassurer, en flattant ma douleur, Contre la défiance attachée au malheur ?
Hé!	Hé!
quoy?	quoi?
N’auez-vous rien, Madame, à me répõdre?	N'avez-vous rien, Madame, à me répõdre?
Tout mon empreſſement ne ſert qu’à vous cõfondre.	Tout mon empressement ne sert qu'à vous comfondre.
Vous demeurez muette, & loin de me parler, Ie voy malgré vos ſoins vos pleurs preſts à couler.	Vous demeurez muette, et loin de me parler, Je vois malgré vos soins vos pleurs prêts à couler.
MONIME.	MONIME.
Moy, Seigneur?	Moy, Seigneur?
Ie n'ay point de larmes à répandre.	Je n'ai point de larmes à répandre.
I’obey.	J'obéi.
N’eſt-ce pas aſſez me faire entendre?	N'est-ce pas assez me faire entendre?
Et ne ſuffit-il pas.	Et ne suffit-il pas.
MITRIDATE.	MITRIDATE.
Non, ce n’eſt pas aſſez.	Non, ce n'est pas assez.
Ie vous entens icy mieux que vous ne penſez.	Je vous entends ici mieux que vous ne pensez.
Ie voy qu’on m’a dit vray.	Je vois qu'on m'a dit vrai.
Ma iuſte ialouſie Par vos propres diſcours eſt trop bien éclaircie.	Ma juste jalousie Par vos propres discours est trop bien éclaircie.
Ie voy qu’vn Fils perfide épris de vos beautez Vous a parlé d’amour, & que vous l’écoutez.	Je vois qu'un Fils perfide épris de vos beautés Vous a parlé d'amour, et que vous l'écoutez.
Ie vous iette pour luy dans des craintes nouuelles.	Je vous jette pourra mis dans des craintes nouvelles.
Maisſiouira peu de vos pleurs Mdenes , Madame, & deſormais tout eſt ſourd à mes lois, Ou bien vous l’auez veû pour la derniere fois.	Maissiouira peu de vos pleurs Médenes , Madame, et désormais tout est sourd à mes lois, Ou bien vous l'avez vu pour la dernière fois.
Appellez Xipharés.	Appelez Xipharés.
Xipharés.	Xipharés.
MONIME.	MONIME.
Ah que voulez-vous faire?	Ah que voulez-vous faire?
MITHRIDATE.	MITHRIDATE.
Xipharés n’a point trahy ſon Pere.	Xipharés n'a point trahi son Père.
Vous vous preſſez en vain de le deſauoüer, Et ma tendre amitié ne peut que s’en loüer.	Vous vous pressez en vain de le désavouer, Et ma tendre amitié ne peut que s'en laisser.
Ma honte en ſeroit moindre ainſi que voſtre crime, Si ce Fils en effet digne de voſtre eſtime A quelque amour encore auoit pû vous forcer.	Ma honte en serait moindre ainsi que votre crime, Si ce Fils en effet digne de votre estime A quelque amour encore avait pu vous forcer.
Mais qu’vn Traiſtre qui n’eſt hardy qu’à m’offenſer, De qui nulle vertu n’accompagne l’audace, Que Pharnace en vn mot ait pu prendre ma place?	Mais qu'un Traître qui n'est hardi qu'à m'offenser, De qui nulle vertu n'accompagne l'audace, Que Pharnace en un mot ait pu prendre ma place?
Qu’il ſoit aime, Madamie, & que le lois har	Qu'il soit aime, Madamie, et que le lois har
SCENE.	SCÈNE.
V.	V.
MITRHRIDATE, MONTME, XIPHARES.	MITRHRIDATE, MONTME, XIPHARES.
MITHRIDATE.	MITHRIDATE.
J Enez, mon Fils, venez, voſtre Pere eſt trahi.	 Jnez, mon Fils, venez, votre Père est trahi.
V Vn Fils audacieux inſulte à ma ruine, Trauerſe mes deſſeins, m’outrage, m’aſſaſſine, Aime la Reine enfin, luy plaiſt, & me rauit Vn cœur que ſon deuoir à moy ſeul aſſeruit.	V Un Fils audacieux insulte à ma ruine, Traverse mes desseins, m'outrage, m'assassine, Aime la Reine enfin, lui plaît, et me ravit Vn cœur que son devoir à moi seul asservit.
Heureux pourtant, heureux!	Heureux pourtant, heureux!
que dans cette diſgrace Ie ne puiſſe accuſer que la main de Pharnace.	que dans cette disgrâce Je ne puisse accuser que la main de Pharnace.
Qu’vne Mere infidelle, vn Frere audacieux Vous préſentent en vain leur exemple odieux.	Qu'une Mère infidèle, un Frère audacieux Vous présent en vain leur exemple odieux.
Ouy, mon Fils, c’eſt vous ſeul ſur qui ie me repoſe, Vous ſeul qu’aux grands deſſeins que mon cœur ſe propoſe, I’ay choiſy dés long-temps pour digne compagnore L’heritier de mon Sceptre, & ſur tout de mon nom, Pharnace en ce moment, & ma flamme offenſée Ne peuuent pas tous ſeuls occuper ma penſée.	Oui, mon Fils, c'est vous seul sur qui ie me repose, Vous seul qu'aux grands desseins que mon cœur se propose, J'ai choisi dès longtemps pour digne compagnore L'héritier de mon Sceptre, et sur tout de mon nom, Pharnace en ce moment, et ma flamme offensée Ne peuvent pas tous seuls occuper ma pensée.
D’vn voyage important les ſoins & les appreſts, Mes vaiſſeaux qu’à partir il faut tenir tout preſts, Mes ſoldats dont ie veux tenter la complaiſance Dans ce meſme moment demandent ma preſence.	D'un voyage important les soins et les apprêts, Mes vaisseaux qu'à partir il faut tenir tout prêts, Mes soldats dont tu veux tenter la complaisance Dans ce même moment demandent ma présence.
Vous cependant icy veillez pour mon repos.	Vous cependant ici veillez pour mon repos.
D’vn Riual inſolent arreſtez les complots.	D'un Rival insolent arrêtés les complots.
Ne quittez point la Reine, & s’il ſe peut vous-meſme Rendez la moins contraire aux vœux d’vn Roy qui l’aime.	Ne quittez point la Reine, et s'il se peut vous-même Rendez la moins contraire aux vœux d'un Roi qui l'aime.
Détournez-la, mon Fils, d’vn choix iniurieux.	Détournez-la, mon Fils, d'un choix injurieux.
Iuge ſans intereſt vous la conuaincrez mieux.	Juge sans intérêt vous la convaincrez mieux.
En vn mot c’eſt aſſez éprouuer ma foibleſſe.	En un mot c'est assez éprouver ma faiblesse.
Qu’elle ne pouſſe point cette meſme tendreſſe, Que ſçay-ie?	Qu'elle ne pousse point cette même tendresse, Que sais-je?
a des fureurs, dont mon cœur outragé Ne ſe repentiroit qu’apres s’eſtre vangé.	a des fureurs, dont mon cœur outragé Ne se repentirait qu'après s'être vengé.
SCENE VI.	SCÈNE VI.
MONIME, XTPHARES.	MONIME, XTPHARES.
XIPHARES.	XIPHARES.
Ve diray-ie, Madame?	Ve dirai-je, Madame?
Et cõmẽt dois-ie entẽdre Cet ordre, ce diſcours que ie ne puis cõprendre?	Et cõmẽt dois-je entendre Cet ordre, ce discours que je ne puis comprendre?
Seroit-il vray, grands Dieux, que trop aimé de vous Pharnace euſt en effet merité ce courroux?	Serait-il vrai, grands Dieux, que trop aimé de vous Pharnace eût en effet mérité ce courroux?
Pharnace auroit-il part à ce deſordre extreſme?	Pharnace aurait-il part à ce désordre extrême?
MONIME.	MONIME.
Pharnace?	Pharnace?
ô Ciel!	ô Ciel!
l’harnace?	l'harnace?
Ah qu’entens-ie moymeſme ?	Ah qu'entends-je moymesme ?
Ce n’eſt donc pas aſſez que ce funeſte iour A tout ce que i’aimois m’arrache ſans retour, Et que de mon deuoir eſclaue infortunée A d’eternels ennuis ie me voye enchaiſnée.	Ce n'est donc pas assez que ce funeste jour A tout ce que j'aimais m'arrache sans retour, Et que de mon devoir esclaue infortunée À d'éternels ennuis chang me voie enchaînée.
Il faut qu’on ioigne encor l’outrage à mes douleurs.	Il faut qu'on joigne encor l'outrage à mes douleurs.
Le lainnede Mhamace on finpate mnea pleuloi Malgré toute ma haine on veut qu’il m’ait ſceû plaire.	Le lainne Mhamace on finpate mainea pleuloi Malgré toute ma haine on veut qu'il m'ait su plaire.
Ie le pardonne au Roy, qu’aueugle ſa colere, Et qui de mes ſecrets, ne peut-eſtre éclaircy.	Je le pardonne au Roi, qu'aveugle sa colère, Et qui de mes secrets, ne peut-être éclairci.
Mais vous, Seigneur, mais vous me traittez-vous ainſy?	Mais vous, Seigneur, mais vous me traitez-vous ainsi?
XIPHARES.	XIPHARES.
Ah, Madame, excuſez vn Amant qui s’égare, Qui luy-meſme lié par vn deuoir barbare, 122.	Ah, Madame, excusez un Amant qui s'égare, Qui tu-même lième par un devoir barbare, 122.
C iiij Se voit preſt de tout perdre, & n’oſe ſe vanger.	Ç Cijà Se voit prêt de tout perdre, et n'ose se venger.
Mais des fureurs du Roy que puis-ie enfin iuger?	Mais des fureurs du Roi que puis-je enfin juger?
Il ſe plaint qu’à ſes vœux vn autre amour s’oppoſe.	Il se plaint qu'à ses vœux un autre amour s'oppose.
Quel heureux criminel en peut eltre la cauſe?	Quel heureux criminel en peut elletre la cause?
Qui.	Qui.
Pallel.	Pallel.
