A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
ORONTE.	ORONTE.
Mais quel eſt voſtre eſpoir?	Mais quel est votre espoir?
Vous ſçavez que le Roy Eſt maiſtre ſouverain de vous, de voſtre foy.	Vous savez que le Roi Est maître souverain de vous, de votre foi.
Avez-vous oublié la diſgrace d’Arſame?	Avez-vous oublié la disgrâce d'Arsame?
Aſpaſie autrefois refuſée à ſa flâme.	Aspasie autrefois refusée à sa flamme.
DARIUS.	DARIUS.
Ce malheureux Amant dans nos derniers Combats Bleſſé mortellement, & tombant dans mes bras;	Ce malheureux Amant dans nos derniers Combats Blessé mortellement, et tombant dans mes bras;
Darius, me dit-il, reçois avec ma vie Ces ſoûpirs que je donne à l’aimable Aſpaſie.	Darius, me dit-il, reçois avec ma vie Ces soupirs que je donne à l'aimable Aspasie.
Tranſporté de douleur, par un dernier effort, Je preſſe ma victoire, & je vange ſa mort.	Transporté de douleur, par un dernier effort, Je presse ma victoire, et je venge sa mort.
Je reviens, & tout plein de mon impatience, Je revois Aſpaſie, & je romps le ſilence.	Je reviens, et tout plein de mon impatience, Je revois Aspasie, et je romps le silence.
Cet aveu la troubla, mais dans cet entretien Mon trouble eſtoit trop grãd pour bien juger du ſier Mais depuis quelques jours une froideur mortelle.	Cet aveu la troubla, mais dans cet entretien Mon trouble était trop grãd pour bien juger du sier Mais depuis quelques jours une froideur mortelle.
ORONTE.	ORONTE.
Elle craint voſtre amour.	Elle craint votre amour.
Si trop d’ardeur pour elle Contre le choix du Roy revoltoit voſtre cœur, La moderte Arpanſe dimourront de dodieur.	Si trop d'ardeur pour elle Contre le choix du Roy revoltoit votre cœur, La moderte Arpanse dimourront de dodieur.
On croit qu’à Nitocris voſtre foy deſtinée.	On croit qu'à Nitocris votre foi destinée.
DARIUS.	DARIUS.
Le Roy m’impoferoit cette étrange Hymenée!	Le Roi m'imposerait cette étrange Hyménée!
Tiribaze eſt d’un ſang noble, mais odieux, Fier, vaillant;	Tiribaze est d'un sang noble, mais odieux, Fier, vaillant;
mais ſans foy, ſans juſtice, ſans Dieux.	mais sans foi, sans justice, sans Dieux.
Nitocris eſt ſa Fille;	Nitocris est sa Fille;
& ſi le Roy qui m’aime, Gagne par Iflibate;	et si le Roi qui m'aime, Gagne par Iflibate;
de s’ouonant iuyameſme, A promis un Hymen ſi peu digne de moy, Je ſçay bien le moyen de dégager ſafoy.	de s'ouonant iuyamesme, A promis un Hymen si peu digne de moi, Je sais bien le moyen de dégager safoy.
ORONTE.	ORONTE.
Qu’oſez-vous eſpérer, & que m’oſez-vous dire?	Qu'osez-vous espérer, et que m'osez-vous dire?
LARIUS.	LARIUS.
Ne va-t-on pas nommer l’Heritier de l’Empire?	Ne va-t-on pas nommer l'Héritier de l'Empire?
Ignores-tu nos Loix?	Ignores-tu nos Lois?
Le Roy doit accorder Ce que ſon Succeſſeur luy voudra demander.	Le Roi doit accorder Ce que son Successeur ton voudra demander.
ORONTE.	ORONTE.
Mais, Seigneur, ſongez-vous que vous avez un Frere Amant de Nitocris, & chéry de ſon Pere?	Mais, Seigneur, songez-vous que vous avez un Frère Amant de Nitocris, et chéri de son Père?
Vous devez ménager, implorer la faveur D’un Miniſtre infolent jaloux de ſa grandeur.	Vous devez ménager, implorer la faveur D'un Ministre insolent jaloux de sa grandeur.
DARIUS.	DARIUS.
Faudra-t-il m’abaiſfer juſqu’a prier un Traître, Moy l’Heritier du Trône, & le Fils de ſon Maître?	Faudra-t-il m'abaisser jusqu'a prier un Traître, Moi l'Héritier du Trône, et le Fils de son Maître?
Oüy, noble orgueil du ſang, il faut malgré tes Loix, Il faut fléchir, mais c’eſt pour la derniere fois.	Oui, noble orgueil du sang, il faut malgré tes Lois, Il faut fléchir, mais c'est pour la dernière fois.
Allons pour Tiribaze affecter tant de zele.	Allons pour Tiribase affecter tant de zèle.
ORONTE.	ORONTE.
Mais aimant Nitocris, préſumant tout pour elle, S’il preſſe voſtre Hymen, vous devez l’accorder.	Mais aimant Nitocris, présumant tout pour elle, S'il presse votre Hymen, vous devez l'accorder.
DARIUS.	DARIUS.
Il a trop de fierté pour me le demander;	Il a trop de fierté pour me le demander;
pour la Illle de pour ſajimes lohii ma coplaiſance, Luy donnent plus d’orgueil, & plus de confiance.	pour la Illle de pour sajimes lohi ma coplaisance, Lui donnent plus d'orgueil, et plus de confiance.
ORONTE.	ORONTE.
Je ſçay que de ſa Fille aveugle Adorateur, Il croit que ſon mérite a touché voſtre cœur.	Je sais que de sa Fille aveugle Adorateur, Il croit que son mérite a touché votre cœur.
Cependant il ſuſpend le choix de voſtre Pere, Incertain juſqu’icy ſur le choix qu’il doit faire, Toûjours preſt à trahir ou voſtre Frere, ou vous.	Cependant il suspend le choix de votre Père, Incertain jusqu'ici sur le choix qu'il doit faire, Toujours prêt à trahir ou votre Frère, ou vous.
Régnez par ſa faveur, & bravez ſon couroux.	Reinez par sa faveur, et bravez son courroux.
ree perdez point de temps;	ree perdez point de temps;
dans ce momẽt peut-eſtre.	dans ce moment peut-être.
Le Perfide travaille à vous donner un Maître.	Le Perfide travaille à vous donner un Maître.
Forcez voſtre fierté pour conſerver vos droits.	Forcez votre fierté pour conserver vos droits.
DARIUS.	DARIUS.
L’ambition n’eſt rien, j’écoute une autre voix.	L'ambition n'est rien, j'écoute une autre voix.
Le Trône ne vaut pas ce qu’on ſouffre de blâme A prier un Sujet qu’on déteſte dans l’ame;	Le Trône ne vaut pas ce qu'on souffre de blâme A prier un Sujet qu'on déteste dans l'âme;
Mais l’amour qui nous rẽd plus foibles, plus ſoûmis, Deſcend juiqu'a prier nos plus grands Ennemis.	Mais l'amour qui nous rend plus faibles, plus soumis, Descend juiqu'a prier nos plus grands Ennemis.
Je le voy.	Je le vois.
Laiſſe-nous.	Laisse-nous.
SCENE II.	SCÈNE II.
DARIUS, TIRIBAZE.	DARIUS, TIRIBAZE.
DARIUS.	DARIUS.
QUe venez-vous m’aprendre?	QUe venez-vous m'apprendre?
Ce grand choix que le Roy fait ſi longtemps attendre, Le va-t-il faire enſin pour le commun bonheur?	Ce grand choix que le Roi fait si longtemps attendre, Le va-t-il faire ensin pour le commun bonheur?
TIRIBAZE.	TIRIBAZE.
Il brûle de le faire, & malgré tant d’ardeur, Il plaint Ariarathe, & ſon inquiétude Entre deux Fils ſi chers fait ſon incertitude.	Il brûle de le faire, et malgré tant d'ardeur, Il plaint Ariarathe, et son inquiétude Entre deux Fils si chers fait son incertitude.
Ajoûtez à ce triſte & cruel embarras, Le trouble que la Reyne a fait par ſon trépas.	Ajoutez à ce triste et cruel embarras, Le trouble que la Reine a fait par son trépas.
Joignez aux déplaiſirs d’un Epoux & d’un Pere, Le ſanglant ſouvenir de la mort de ſon Frere.	Joignez aux déplaisirs d'un Époux et d'un Père, Le sanglant souvenir de la mort de son Frère.
Depuis l’inſtant fatal qu’en nos derniers Combats Il fit tomber Cyrus ſous l’effort de ſon bras, Troublé par cette mort, dont l’image l’étonne, Al eit prenue tente de cuitter la courome.	Depuis l'instant fatal qu'en nos derniers Combats Il fit tomber Cyrus sous l'effort de son bras, Troublé par cette mort, dont l'image l'étonne, Al it prenue tente de cuiter la courome.
Ainſi le voyant plein de remords, de douleur, Oſeray-je preſſer le choix d’un Succeſſeur?	Ainsi le voyant plein de remords, de douleur, Userai-je presser le choix d'un Successeur?
DARIUS.	DARIUS.
Son triomphe rend-il ſa valeur criminelle?	Son triomphe rend-il sa valeur criminelle?
Se fait-il un forfait de la mort d’un Rebelle?	Se fait-il un forfait de la mort d'un Rebelle?
Le Roy rend par ce coup la paix à ſes Etats;	Le Roi rend par ce coup la paix à ses États;
Et s’il veut s’épargner de nouveaux embarras, Le choix d'un Succeſſeur n'eſt pas moins neceſſaire.	Et s'il veut s'épargner de nouveaux embarras, Le choix d'un Successeur n'est pas moins nécessaire.
Si vous aviez voulu.	Si vous aviez voulu.
mais vous aimez mon Frere, Et ne pouvant ſur luy tourner le choix du Roy, Vous voulez empeſcher qu’il ne tombe ſur moy.	mais vous aimez mon Frère, Et ne pouvant sur lui tourner le choix du Roi, Vous voulez empêcher qu'il ne tombe sur moi.
TIRIBAZE.	TIRIBAZE.
Puis que vous m’y forcez, je veux bien vous le dire.	Puis que vous m'y forcez, je veux bien vous le dire.
On ſçait par quels conſeils je ſauvay cet Empire, Quand voſtre Oncle Cyrus vint attaquer le Roy;	On sais par quels conseils je sauvai cet Empire, Quand vôtre Oncle Cyrus vint attaquer le Roi;
On ſçait quels coups pour luy je détournay ſur moy, Et qu’aux plus grands périls ma vie abandonnée, Par mon ſang prodigué marqua cette journée.	On sçait quels coups pour lui je détournai sur moi, Et qu'aux plus grands périls ma vie abandonnée, Par mon sang prodigué marqua cette journée.
Quand le Roy veut nommer un Succeſſeur, je croy Que ſauvé par mon bras, il peut ſonger à moy.	Quand le Roi veut nommer un Successeur, je crois Que sauvé par mon bras, il peut songer à moi.
Je pourrois me flater de l’eſpoir qu’il me donne.	Je pourrais me flatter de l'espoir qu'il me donne.
Qui m’a ſauvé la vie, a part à la Couronne.	Qui m'a sauvé la vie, a part à la Couronne.
Voila ce qu’il m’a dit, Seigneur, plus d’une fois;	Voilà ce qu'il m'a dit, Seigneur, plus d'une fois;
Mais je laiſſe le Trône au ſeul ſang de nos Roys;	Mais je laisse le Trône au seul sang de nos Rois;
Et l’exemple éclatant de cette déference, Aux plus ambitieux doit impoſer ſilence.	Et l'exemple éclatant de cette déférence, Aux plus ambitieux doit imposer silence.
Je fais plus.	Je fais plus.
Quand je voy plus d’un Frere jaloux Combatre fiérement de l’Empire avec vous, J’obtiens enfin du Roy, Seignenr, qu’entre vos Freres, Qui déchirent l’Etat en des partis contraires, Ariarathe ſeul vous diſpute ce choix.	Quand je vois plus d'un Frère jaloux Combatre fiètrement de l'Empire avec vous, J'obtiens enfin du Roi, Seignenr, qu'entre vos Frères, Qui déchirent l'État en des partis contraires, Ariarathe seul vous dispute ce choix.
Ayant devant le Roy balancé tous vos droits, Quoy que toûjours pour vous un doux panchant l’entraîne, Ainſi que ſa raiſon, ſa tendreſſe incertaine, Semble entre ſes deux Fils n’oſer rien décider, Et me livrer un choix qu’il n’oſe hazarder.	Ayant devant le Roi balancé tous vos droits, Quoi que toujours pour vous un doux penchant l'entraîne, Ainsi que sa raison, sa tendresse incertaine, Semble entre ses deux Fils n'oser rien décider, Et me livrer un choix qu'il n'ose hasarder.
DARIUS.	DARIUS.
Si de voſtre deſtin vous devenez le maître, Au moins faites un Roy qui ſoit digne de l’eſtre.	Si de votre destin vous devenez le maître, Au moins faites un Roi qui soit digne de l'être.
N’attendez rien de bas d’un cœur comme le mien, Un autre pour régner ne ménageroit rien.	N'attendez rien de bas d'un cœur comme le mien, Un autre pour régner ne ménagerait rien.
Nul ne ſçait mieux que moy ce que vaut un Empire.	Nul ne sait mieux que moi ce que vaut un Empire.
Je ne ſuis point ingrat, cela vous doit ſuffire;	Je ne suis point ingrat, cela vous doit suffire;
Mais s’il falloit rougir pour un Trône à gagner, J’aimerois mieux cent fois obeïr que régner.	Mais s'il fallait rougir pour un Trône à gagner, J'aimerais mieux cent fois obéir que régner.
TIRIBAZE.	TIRIBAZE.
J’aime ce noble orgueil, ce genéreux langage.	J'aime ce noble orgueil, ce généreux langage.
Vous eſtes né trop grand pour manquer de courage;	Vous êtes né trop grand pour manquer de courage;
Des Princes comme vous ne ſont jamais ingrats;	Des Princes comme vous ne sont jamais ingrats;
Mais de grands intéreſts que vous n’ignorez pas.	Mais de grands intérêts que vous n'ignorez pas.
Seigneur, n’en parlons plus, je n’ay plus rien à dire;	Seigneur, n'en parlons plus, je n'ai plus rien à dire;
C’eſt à vous de m’entendre, il s’agit de l’Empire.	C'est à vous de m'entendre, il s'agit de l'Empire.
DARIUS.	DARIUS.
Je veux vous le devoir, d’autant plus que je voy Que vous aimez ma gloire, & me traitez en Roy, Moins vous me demandez, & plus je doy vous rendre, Qui donne ainſi le Trône, a droit de tout prétendre;	Je veux vous le devoir, d'autant plus que je vois Que vous aimez ma gloire, et me traitez en Roi, Moins vous me demandez, et plus je dois vous rendre, Qui donne ainsi le Trône, a droit de tout prétendre;
Et mon zele agiſſant ſur l’exemple du Roy, Vous répond apres luy de ce que je tous doy.	Et mon zèle agissant sur l'exemple du Roi, Vous répond après avoir de ce que je tous dois.
Mais voicy Nitocris.	Mais voici Nitocris.
SCENE III.	SCÈNE III.
DARIUS, TIRIBAZE, NITOCRIS.	DARIUS, TIRIBAZE, NITOCRIS.
DARIUS.	DARIUS.
QUe ne puis-je, Madame, Expliquer à vos yeux les tranſports de mon ame!	QUe ne puis-je, Madame, Expliquer à vos yeux les transports de mon âme!
Voſtre Pere m’appreſte un ſort ſi glorieux.	Votre Père m'apprête un sort si glorieux.
Mais je vois un grand trouble éclater dans vos yeux, L’eſpoir qu’il m’a donné pourroit-il vous déplaire?	Mais je vois un grand trouble éclater dans vos yeux, L'espoir qu'il m'a donné pourrait-il vous déplaire?
Laiſſez agir pour moy les ſoins de voſtre Pere.	Laissez agir pour moi les soins de votre Père.
Pour neſtre pas iisfats je n’epargneray fien, Et je mettray ſon ſort auſſi haut que le mien.	Pour nêtre pas jisfats je n'épargnerai sien, Et je mettrai son sort aussi haut que le mien.
SCENE IV.	SCÈNE IV.
TIRIBAZE, NITOCRIS.	TIRIBAZE, NITOCRIS.
NITOCRIS.	NITOCRIS.
Jel ſuccés attend-il, Seigneur, de voſtre zele?	Jel succès attend-il, Seigneur, de votre zèle?
QA ſon Frere, à vous meſme, eſtes-vous infidelle?	QA son Frère, à vous mesme, êtes-vous infidèle?
Vous ſçavez quelle part je prens à ce grand choix, Où deux Princes Rivaux demandent voſtre voix.	Vous savez quelle part je prends à ce grand choix, Où deux Princes Rivaux demandent votre voix.
Mais ce qui plus me geſne, eſt de voir que vousmeſuie vous fenoneez pour eunu la grandeur ſupréme.	Mais ce qui plus me gêne, est de voir que vousmesuie vous fenoneez pour eunu la grandeur suprême.
Quel eſt voſtre deſſein?	Quel est votre dessein?
TIRIBAZE.	TIRIBAZE.
Il ſuffra pour nous Qu’il nomme un de ſes Fils qui ſera ton Epoux.	Il suffra pour nous Qu'il nomme un de ses Fils qui sera ton Époux.
NITOCRIS.	NITOCRIS.
Il ſuffira pour nous!	Il suffira pour nous!
Quel langage eſt le voſtre?	Quel langage est le vôtre?
Vous avez pour régner plus de droit que tout autre.	Vous avez pour régner plus de droit que tout autre.
Ne ſongez qu’à vous ſeul.	Ne songez qu'à vous seul.
Le pouvoir ſouverain Eſt preſque tout entier, Seigneur, dans voſtre main.	Le pouvoir souverain Est presque tout entier, Seigneur, dans votre main.
Du ſuffiage du Roy n’eſtes-vous pas le maître?	Du suffiage du Roi n'êtes-vous pas le maître?
TIRIBAZE.	TIRIBAZE.
Ma Fille, à cet orgueil que tu me fais paroître, Je reconnois mon ſang, & j’aime à voir en toy Une Fille ſi fiere, & ſi digne de moy.	Ma Fille, à cet orgueil que tu me fais paraître, Je reconnais mon sang, et j'aime à voir en toi Une Fille si fière, et si digne de moi.
J’ay du courage aſſez pour prétendre à l’Empire;	J'ai du courage assez pour prétendre à l'Empire;
Mais enfin quelque orgueil que ma faveur m’inſpire, Le Roy me refuſa la Princeſſe Ameſtris.	Mais enfin quelque orgueil que ma faveur m'inspire, Le Roi me refusa la Princesse Amêtris.
Quoy que de grands honneurs effacent ce mépris, Le Roy ſouffrira-t-il qu’une audace inſenſée Juſqu’aux droits de ſon ſang éleve ma penſée?	Quoi que de grands honneurs effacent ce mépris, Le Roi souffrira-t-il qu'une audace insensée Jusqu'aux droits de son sang élève ma pensée?
Le Roy me promet tout, mais la commune voix Eleve Darius au Trône de nos Roys.	Le Roi me promet tout, mais la commune voix Élève Darius au Trône de nos Rois.
Des Perſes inconſtans n’irritons pas la haine, Aſſurons à mon ſang la grandeur ſouveraine;	Des Perses inconstants n'irritons pas la haine, Assurons à mon sang la grandeur souveraine;
Qui toir front coufonné conſole mes vieux ans, Et que je regne en toy pour régner plus longtemps.	Qui toir front couffonné console mes vieux ans, Et que je règne en toi pour régner plus longtemps.
Le Roy pour Darius fortement s’intéreſſe, Mais j’ay ſçeu pour ſon Frere exciter ſa tendreſſe, Et parlant pour tous deux, j’ay ſuſpendu ſa voix, Pour devenir enfin l’Arbitre de ſon choix.	Le Roi pour Darius fortement s'intéresse, Mais j'ai su pour son Frère exciter sa tendresse, Et parlant pour tous deux, j'ai suspendu sa voix, Pour devenir enfin l'Arbitre de son choix.
Non, qu’à le faire ſeul mon orgueil ſe diſpenſe, Mais comme il ſemble enfin m’en dõner la puiſſance, Je remets dans tes mains un droit ſi glorieux.	Non, qu'à le faire seul mon orgueil se dispense, Mais comme il semble enfin m'en donner la puissance, Je remets dans tes mains un droit si glorieux.
Choiſis ſans plus tarder avec tes propres yeux.	Choisis sans plus tarder avec tes propres yeux.
Il faut prendre party, ſans te laiſſer ſurprendre Aux dangereux conſeils de l’Amour foible & tendre.	Il faut prendre parti, sans te laisser surprendre Aux dangereux conseils de l'Amour faible et tendre.
Le jeune Ariarathe a pour toy plus d’ardeur, Mais Darius fait voir par tout plus de grandeur.	Le jeune Ariarathe a pour toi plus d'ardeur, Mais Darius fait voir par tout plus de grandeur.
Il ſemble qu’en naiſſant, & prévenant ſon Frere, Il prit du ſang des Roys l’auguſte caractere, Et que s’eſtant ſaiſy des vertus de ſon rang, N’en a laiſſé que l’ombre aux reſtes de ſon ſang.	Il semble qu'en naissant, et prévenant son Frère, Il prit du sang des Rois l'auguste caractère, Et que s'étant saisi des vertus de son rang, N'en a laissé que l'ombre aux restes de son sang.
Il revient triomphant, & fier de ſa victoire, Il montre moins d’amour, occupé de ſa gloire.	Il revient triomphant, et fier de sa victoire, Il montre moins d'amour, occupé de sa gloire.
L’amour d’Ariarathe eſt digne de pitié;	L'amour d'Ariarathe est digne de pitié;
Mais doit-on écouter l’amour & l’amitié, Quand un grand intéreſt veut qu’on les ſacrifie?	Mais doit-on écouter l'amour et l'amitié, Quand un grand intérêt veut qu'on les sacrifie?
La Fortune nous rit, elle nous juſtifie.	La Fortune nous rit, elle nous justifie.
NITOCRIS.	NITOCRIS.
Vos leçons, voſtre exemple, & vos fiers ſentimens, M’ont appris à braver l’Amour & les Amans.	Vos leçons, votre exemple, et vos fiers sentiments, M'ont appris à braver l'Amour et les Amants.
Vous m’avez inſpiré ces penſers héroïques, Et cette dureté des vertus politiques.	Vous m'avez inspiré ces pensers héroïques, Et cette dureté des vertus politiques.
Si la ſeule grandeur a pour vous des appas, J’ay meſmes yeux que vous, je marche ſur vos pas.	Si la seule grandeur a pour vous des appas, J'ai mêmes yeux que vous, je marche sur vos pas.
Commandez, choiſiſſez, je ſuis toute à mon Pere, Et s’il faut faire un choix, c’eſt à vous à le faire.	Commandez, choisissez, je suis toute à mon Père, Et s'il faut faire un choix, c'est à vous à le faire.
TIRIBAZE.	TIRIBAZE.
Miniſtre ambitieux, je devrois te donner Un Roy foible, & qui fuſt facile à gouverner.	Ministre ambitieux, je devrais te donner Un Roy oible, et qui fût facile à gouverner.
Je deviendrois plus grand, plus fort par ſa foibleſſe;	Je deviendrais plus grand, plus fort par sa faiblesse;
Mais cette Politique eſt dure à ma tendreſſe, Je t’aime;	Mais cette Politique est dure à ma tendresse, Je t'aime;
Darius te fera plus d’honneur.	Darius te fera plus d'honneur.
Va-t-en voir Aſpaſie, & fais avec chaleur Agir pour Darius ſon crédit & ſon zele.	Va-t-en voir Aspasie, et fais avec chaleur Agir pour Darius son crédit et son zèle.
Toute Fille qu’elle eſt, le Roy ſouvent l’appelle Aux ſecrets de l’Empire, aux ſoins de ſa grandeur, Et ſemble entr’elle & moy balancer ſa faveur.	Toute Fille qu'elle est, le Roi souvent l'appelle Aux secrets de l'Empire, aux soins de sa grandeur, Et semble entr'elle et moi balancer sa faveur.
’en murmure en ſecret, mais craignant ſa puiſſance, Nous de vons avec elle agir d’intelligence.	en murmure en secret, mais craignant sa puissance, Nous de vons avec elle agir d'intelligence.
Sur le choix qu’on attend je doy preſſer le Roy.	Sur le choix qu'on attend je dois presser le Roi.
Fier de ſon amitié qui redouble pour moy, Je pourray faire entrer le Sceptre en ma Famille.	Fier de son amitié qui redouble pour moi, Je pourrai faire entrer le Sceptre en ma Famille.
Celuy qu’il va nommer va couronner ma Fille, Ey mon ambition ne pouvant plus monter, N’aura plus rien à craindre, & rien à ſouhaiter.	Celui qu'il va nommer va couronner ma Fille, Ei mon ambition ne pouvant plus monter, N'aura plus rien à craindre, et rien à souhaiter.
SCENEV.	SCENEU.
NITOCRIS, CLEONNE.	NITOCRIS, CLEONE.
NITOCRIS.	NITOCRIS.
L faut abandonner le Prince Ariarathe, LCleome.	L faut abandonner le Prince Ariarathe, LCleome.
CLEONNE.	CLÉONE.
Quelque eſpoir dont Darius vous flate, Le tendre Ariarathe a pour vous tant d’ardeur.	Quelque espoir dont Darius vous flatte, Le tendre Ariarathe a pour vous tant d'ardeur.
NITOCRIS.	NITOCRIS.
C’eſt l’ordre de mon Pere, & celuy de mon cœur;	C'est l'ordre de mon Père, et celui de mon cœur;
Car enfin pour t’ouvrir le fond de ma penſée, Penſes-tu que j’écoute une flâme inſenſée?	Car enfin pour t'ouvrir le fond de ma pensée, Penses-tu que j'écoute une flamme insensée?
Penſes-tu que trop foible, & ſenſible à mon tour, Je trouve plus d’appas, où je voy plus d’amour?	Penses-tu que trop faible, et sensible à mon tour, Je trouve plus d'appas, où je vois plus d'amour?
Où je voy plus d’amour, je voy plus de foibleſſe;	Où je vois plus d'amour, je vois plus de faiblesse;
Je diſtingue le rang, & non pas la tendreſſe, C’eſt au lieu le plus haut & le plus glorieux, C’eſt là, ſans balancer, que j’arreſte mes yeux;	Je distingue le rang, et non pas la tendresse, C'est au lieu le plus haut et le plus glorieux, C'est là, sans balancer, que j'arrête mes yeux;
Et s’il faut plus avant penétrer dans nos ames, Sçais-tu bien ce qui fait nos deſirs & nos flâmes?	Et s'il faut plus avant pénétrer dans nos âmes, Sais-tu bien ce qui fait nos désirs et nos flammes?
L’orgueil fait tout, Cleonne, & pour dire encor plus, La vanité ſouvent fait toutes nos vertus.	L'orgueil fait tout, Cléonne, et pour dire encor plus, La vanité souvent fait toutes nos vertus.
L’Amour n’eſt pas un Dieu tel qu’on l’a voulu faire;	L'Amour n'est pas un Dieu tel qu'on l'a voulu faire;
L’Amour périt bientoſt, ſa flâme eſt paſſagere;	L'Amour périt bientôt, sa flamme est passagère;
Le dépit, la raiſoit, l’age, etemt les ardeurs, Mais la gloire jamais ne meurt dans les grands cœurs.	Le dépit, la raisait, l'age, etemt les ardeurs, Mais la gloire jamais ne meurt dans les grands cœurs.
CLEONNE.	CLÉONE.
Il eſt des cœurs, Madame, à l’amour ſi fidelles, Qu’il y rend quand il veut ſes flâmes immortelles.	Il est des cœurs, Madame, à l'amour si fidèles, Qu'il y rend quand il veut ses flammes immortelles.
NITOCRIS.	NITOCRIS.
Croy ce que tu voudras, je ne te dy plus rien;	Crois ce que tu voudras, je ne te dis plus rien;
Mais enfin les grands cœurs ſont faits cõme le mien.	Mais enfin les grands cœurs sont faits comme le mien.
Ainſi pour Darius, lors que je m’intéreſſe, Darius ne doit point ce choix à ma tendreſſe;	Ainsi pour Darius, lors que je m'intéresse, Darius ne doit point ce choix à ma tendresse;
J’enviſage toûjours ſa prochaine grandeur, Et le plus pres du Trône, eſt plus pres de mon cœur.	J'envisage toujours sa prochaine grandeur, Et le plus près du Trône, est plus près de mon cœur.
CLEONNE.	CLÉONE.
Mais, Madame, apres tout, s’il faut que je m’explique, Vous accommodez-vous d’un Amant politique, Qui n’en veut qu’a l’Empire, en ſoûpirant pour vous?	Mais, Madame, après tout, s'il faut que je m'explique, Vous accommodez-vous d'un Amant politique, Qui n'en veut qu'a l'Empire, en soupirant pour vous?
NITOCRIS.	NITOCRIS.
Dois-je le moins aimer, s’il agit comme nous?	Dois-je le moins aimer, s'il agit comme nous?
J’aime en luy cette ardeur qui court au Diadéme;	J'aime en cela cette ardeur qui court au Diadème;
Il fait tout pour la gloire, & j’enuſe de meſme.	Il fait tout pour la gloire, et j'enuse de même.
CLEONNE.	CLÉONE.
Mais enfin Darius, de l’air dont je le voy, Vous rendre quelques ſoins.	Mais enfin Darius, de l'air dont je le vois, Vous rendre quelques soins.
NITOCRIS.	NITOCRIS.
Hé qui peut mieux que moy Au Trône qui l’attend avec luy prendre place?	Hé qui peut mieux que moi Au Trône qui l'attend avec lui prendre place?
La faveur de mon Pere, & l’éclat de ma Race, Tout ſon eſpoir qu’il prend de noſtre ſeul appuy, Juſtice, honneur, devoir, tout me répond de luy, Et peut-eſtre l’Amour m’en répondra luy-meſme.	La faveur de mon Père, et l'éclat de ma Race, Tout son espoir qu'il prend de notre seul appui, Justice, honneur, devoir, tout me répond de Seigneur, Et peut-être l'Amour m'en répondra lui-même.
Peut-eſtre.	Peut-être.
CLEONNE.	CLÉONE.
NITOCRIS.	NITOCRIS.
Mais pourquoy ne veux-tu pas qu’il m’aime?	Mais pourquoi ne veux-tu pas qu'il m'aime?
Je ſçay qu’avec l’orgueil d’un cœur ambitieux Je prens peu ſoin de plaire, & de charmer les yeux;	Je sais qu'avec l'orgueil d'un cœur ambitieux Je prends peu soin de plaire, et de charmer les yeux;
Que n’ayant rien dans l’ame & de foible & de tendre, On donne peu d’amour, quand on n’en ſçauroit prendre;	Que n'ayant rien dans l'âme et de faible et de tendre, On donne peu d'amour, quand on n'en saurait prendre;
Mais auſſi quelquefois la fierté, les froideurs, Valent bien tous ces ſoins complaiſans & flateurs.	Mais aussi quelquefois la fierté, les froideurs, Valent bien tous ces soins complaisants et flatteurs.
Ce chemin pour charmer, eſt le moins ordinaire;	Ce chemin pour charmer, est le moins ordinaire;
Mais on peut plaire enfin, en négligeant de plaire.	Mais on peut plaire enfin, en négligeant de plaire.
Quoy qu’il en ſoit, je voy le Prince à mes genoux.	Quoi qu'il en soit, je vois le Prince à mes genoux.
Pour s’aſſurer du Trône, il a beſoin de nous, Et ſans examiner s’il aime, ou s’il ſçait feindre, Mon Pere m’en répond, je n’ay plus rien à craindre.	Pour s'assurer du Trône, il a besoin de nous, Et sans examiner s'il aime, ou s'il sait feindre, Mon Père m'en répond, je n'ai plus rien à craindre.
Allons voir Aſpaſie, & ne conteſtons plus, Implorons ſon pouvoir, & ſervons Darius.	Allons voir Aspasie, et ne contestons plus, Implorons son pouvoir, et servons Darius.
Tu murmures en vain, orgueil fier & rebelle, Il faut ſans balancer te contraindre aupres d’elle.	Tu murmures en vain, orgueil fier et rebelle, Il faut sans balancer te contraindre auprès d'elle.
Ne crains rien, de quelque air que nous puiſſiõs agir, Tout ce qui fait régner, ne fait jamais rougir.	Ne crains rien, de quelque air que nous puissions agir, Tout ce qui fait régner, ne fait jamais rougir.
Fin du Premier Acte.	Fin du Premier Acte.
CIE II	CIE II
DDIIDTRCEMIERE.	DDIIDTRCEMIERE.
ASPASIE, BARSINE.	ASPASIE, BARSINE.
IBARSINE.	IBARSINE.
UEL que ſoit le ſujet de voſtre inquiétude, vous ne pouvez ſans honte, & ſans ingratitude, Vous plaindre ny du Sort, ny du Roy, ny des Dieux;	UEL Roi soit le sujet de votre inquiétude, vous ne pouvez sans honte, et sans ingratitude, Vous plaindre ici du Sort, ni du Roi, ni des Dieux;
Ils vous font un deſtin ſi beau, ſi glorieux.	Ils vous font un destin si beau, si glorieux.
IASPASIE.	IASPASIE.
Ma fortune eſt ſans-doute illuſtre, & non commune;	Ma fortune est sans-doute illustre, et non commune;
Mais je ſens des malheurs plus grands que ma fortune.	Mais je sens des malheurs plus grands que ma fortune.
