AISILAVE PASTORALE.	AISILAUE PASTORALE.
ie ſerois bien dupée.	Elle serais bien dupée.
Satyre.	Satire.
Ton, cents non, ven atieſe tes dieux, Et les rayons qui ſortent de vos yeux.	Ton, cents non, ven atièse tes dieux, Et les rayons qui sortent de vos yeux.
Cyane.	Chyane.
Parlez de loin, ie ſuis toute épeurée, Et prés de vous ie ne ſuis aſſeurée.	Parlez de loin, je suis toute épeurée, Et près de vous ici ne suis assurée.
Satyre.	Satire.
Belle, pluſtoſt que de vous faire tort At jouſiruy cemt mine jon ia mori, N’aprehendez nullement mon approche, Iuſques icy i’ay veſcu ſans reproche.	Belle, plutôt que de vous faire tort At jousiruy cène j' on ja mory, N'appréhendez nullement mon approche, Jusques ici j'ai vécu sans reproche.
Cyane.	Chyane.
Mais vous pouuez perdre voſtre bonté Et commettre ore vne meſchanceté.	Mais vous pouvez perdre votre bonté Et commettre ore une méchanceté.
Qatyle.	Qatyle.
Iamais, iamais, ma nature eſt trop bonne.	Jamais, jamais, ma nature est trop bonne.
Cyane.	Chyane.
Trouuez quelqu’vn qui donc vous cautionne,	Trouvez quelqu'un qui donc vous cautionne,
Satyre.	Satire.
Ie le veux bien, la grande affection Que i’ay pour vous ſera ma caution.	Je le veux bien, la grande affection Que j'ai pour vous sera ma caution.
Cyane.	Chyane.
Ie ne la trouue aucunement ſoluable N'ayant que vous qui me ſoit reſponſable,	Je ne la trouve aucunement solvable N'ayant que vous qui me soit responsable,
Satyre.	Satire.
Vous n'en deuez faire difficulté, Chacun me tient pour aimer l'équité,	Vous n'en devez faire difficulté, Chacun me tient pour aimer l'équité,
Cyane.	Chyane.
Ie vous ay dit, ne le trouuez étrange, Que cette hiumeur en vn moment ſe change.	Je vous ai dit, ne le trouvez étrange, Que cette hiumeur en un moment se change.
Satyre.	Satire.
Si ie voulois vous faire déplaiſir Pourrois-ie pas maintenant vous ſaiſir?	Si grands voulais vous faire déplaisir Pourrais-je pas maintenant vous saisir?
Cyane.	Chyane.
Nenny, pouuant enfiler la venelle, Comme ie vay d’vne carriere iſnelle;	Nenni, pouvant enfiler la venelle, Comme ici vais d'une carrière isnelle;
Adieu Satyre, adieu, iuſqu’au reuoir.	Adieu Satire, adieu, jusqu'au revoir.
Satyre.	Satire.
Vous penſez donc ainſi me deceuoir, Ha non ferez, ie ſçay bien la maniere Oinfe paucomnuetomte vne carriere.	Vous pensez donc ainsi me décevoir, Ha non ferez, tu sais bien la manière Oinfe paucomnuetomte une carrière.
A l'aide, à l'aide.	À l'aide, à l'aide.
Cyane.	Chyane.
Satyte.	Satyte.
En vain vous appelez.	En vous vain appelez.
Ie vous auray, ſi toſt vous ne volez Comme vn autour;	Je vous aurai, si tôt vous ne volez Comme un autour;
Ah malheureuſe pierre, Mat à propos in mefay ehoir a lerte, Encor le pis ie me ſuis tors le pied, Et i’ay bien peur d'en eſtre eſtropié, Qu'il me faict mal.	Ah malheureuse pierre, Mat à propos in mefay ehoir à lerte, Encor le pis ie me suis tors le pied, Et j'ai bien peur d'en être estropié, Qu'il me fait mal.
Cyane.	Chyane.
Ha, ha, ie meurs de rire, Debout, debont, releuez-vous Satyre, Là, haut le cul, tenez voilà ma main, Saiſiſez-là.	Ha, ha, Seigneur meurs de rire, Débout, débont, relevez-vous Satire, Là, haut le cul, tenez là ma main, Saisisez-là.
Satyre.	Satire.
Fille au cœur inhumain Vous vous mocquez de ma triſte diſgrace, Que fußiez vous maintenant en ma place,	Fille au cœur inhumain Vous vous moquez de ma triste disgrâce, Que fussiez vous maintenant en ma place,
Cyane.	Chyane.
De ma ſanté c'eſt faire peu de cas, Ie ſçauois bien que vous ne m’aimiez pas.	De ma santé c'est faire peu de cas, Je savais bien que vous ne m'aimiez pas.
Satyre.	Satire.
Ha que ſi fais, vous estes mon idole, Ie meurs d’amour, i’en brûle, i’en affolle.	Ha que si fais, vous êtes mon idole, Je meurs d'amour, j'en brûle, j'en affolle.
Cyane.	Chyane.
pous affollezt an dieux gaignonr le haui, Que ſa fureur ne nous liure vn aſſaut.	pous affollés an dieux gagnonr le haui, Que sa fureur ne nous livre un assaut.
Satyre.	Satire.
Elle s’enfuit la mauuaiſe, & me laiſſe Sans m’aßiſter au tourment qui m’oppreſſe, Plus de rigueur ne ſe pourroit trouuer:	Elle s'enfuit la mauvaise, et me laisse Sans m'assister au tourment qui m'oppresse, Plus de rigueur ne se pourrait trouver:
Or ſus taſchons nous-meſme à nous leuer.	Or sus tâchons nous-même à nous lever.
Que i’ay de peine, ah que ie n’aurois garde De courre apres cette belle fuyarde.	Que j'ai de peine, ah que tu n'aurais garde De courre après cette belle fuyarde.
OBIVMET.	ÔBIVMET.
ARISTENE ET CERAMBE.	ARISTENE ET CERAMBE.
Ariſtene.	Aristène.
Iez-vous-y!	Jez-vous-y!
quelle legereté;	quelle légèreté;
I Oncques accord ne fut mieux arreſté:	I Oncques accord ne fut mieux arrêté:
Ce neanmoins c’eſt de tous la nouuelle Qu’encor vn coup elle m'eſt infidelle, Plus que iamais elle aime ſon bouuier, Par tous moyens taſche à le conuier De renoüer leur premiere concorde, A quoy l’on dit que le ruſtre s’accorde, Dont de dépit ie ſuis tout tranſporté, Moy qui le paſſe en honneur & bonté, Ie permettray, ie creue de colere, Que cette ſotte ainſi me le prefere;	Ce néanmoins c'est de tous la nouvelle Qu'encor un coup elle m'est infidèle, Plus que jamais elle aime son bouvier, Par tous moyens tâche à le convier De renouver leur première concorde, À quoi l'on dit que le rustre s'accorde, Dont de dépit ie suis tout transporté, Moi qui le passe en honneur et bonté, Je permettrai, Madame crève de colère, Que cette sotte ainsi me le préfère;
Non Aristene il ne le faut ſouffrir:	Non Aristène il ne le faut souffrir:
Mais quel Pasteur aperçoy-ie s’offrir Sous cet ormeau?	Mais quel Pasteur aperçois-je s'offrir Sous cet ormeau?
ventre ſi c’eſt mon homme Tout en est dit il faut que ie l’aſſomme De mille coups de ce roide leuier, Arme tres-propre à tuer vn bouuier, Allons tout dous à fin de le ſurprendre, Ha vertu-bleu i’ay pensé me méprendre, Ce n’eſt pas luy, mais vn que i’aime mieux Qu’aucun Berger qui ſoit en tous ces lieux.	ventre si c'est mon homme Tout en est dit -il faut que ie vassomme à mille coups de ce roide lever, Arme très-propre à tuer un bouvier, Allons tout dous à fin de le surprendre, Ha vertu-bleu j'ai pensé me méprendre, Ce n'est pas mieux, mais un que j'aime mieux Qu'aucun Berger qui soit en tous ces lieux.
Abordons-lé, ie penſe qu’il ſommeille, Cerambe, amy debout qu'on ſe réueille.	Abordons-lé, ie pense qu'il sommeille, Cerambe, ami debout qu'on se réveille.
Cerambe.	Cerambe.
Vous m'y prenez, l’ombre de cet ormeau, Et le doux bruit que faict ce clair ruiſſeau, Ioint la chaleur grandement étouffée, M’auoyent ietté dans les bras de Morfée.	Vous m'y prenez, l'ombre de cet ormeau, Et le doux bruit que fait ce clair ruisseau, Joint la chaleur grandement étouffée, M'avaient jeté dans les bras de Morfée.
Ariſtene.	Aristène.
o que jejun l ceronne des mnut, Que le ſommeil vouluſt fermer mes yeux Iuſques à tant qu’vn dépit qui m’outrage Euſt terminé ſa violente rage.	ô que jejun l éronne des ménut, Que le sommeil voulût fermer mes yeux Jusques à tant qu'un dépit qui m'outrage Eut terminé sa violente rage.
Cerambe.	Cerambe.
Que vous eſt-il ſuruenu de nouueau Qui vous agite & trouble le cerueau?	Que vous est-il survenu de nouveau Qui vous agite et trouble le cerveau?
Dites le-moy, ie vous prie, Aristene.	Dites le-moi, votre vous prie, Aristène.
hiiſene.	hiisene.
Ie le veux bien, car c’eſt ce qui m’amene, Quand mon ennuy ie vous ay reuelé, I'en ſuis touſiours grandement conſolé, Ecoutez donc.	Je le veux bien, car c'est ce qui m'amène, Quand mon ennui assez vous ai revelé, J'en suis toujours grandement consolé, Écoutez donc.
Cerambe.	Cerambe.
Diten, ie m'y diſpeſe.	Diten, Seigneur m'y dispese.
Ariſtene.	Aristène.
Dieux que l’amour eſt vne étrange choſe, Si vous n’auiez, estant ieune, éprouué Comment il tient vn courage entraué, Ie n’oſerois, retenu par la honte, Vous reciter comme ore il me ſurmonte, Et le ſubiect, ce d’autant qu’autresfois Les amoureux deuant vous ie gauſſois, Notamment ceux qui d’vn laſche courage Vont deferant vn trop ſeruil hommage A leurs obiects:	Dieux que l'amour est une étrange chose, Si vous n'aviez, étant jeune, éprouvé Comment il tient un courage entravé, Je n'oserais, retenu par la honte, Vous réciter comme ore il me surmonte, Et le sujet, ce d'autant qu'autrefois Les amoureux devant vous pr gaussois, Notamment ceux qui d'un lâche courage Vont déférant un trop servil hommage A leurs objets:
or i'en ſuis chastié, Pourquoy ie viens ſommer voſtre amitié Dume uonnes queiuia mamejuuaire.	or j'en suis châtié, Pourquoi avoir viens sommer votre amitié Dume uonnes queiva mamejuaire.
Cerambe.	Cerambe.
Tres-volontiers, contez moy voſtre affaire.	Très-volontiers, contez -moi votre affaire.
Ariſtene.	Aristène.
Vous auez ſçeu, vous l’ayant recité, Comment amour retient ma liberté Par les attraicts de la belle Ioeſſe, Laquelle außi m’auoit faict la promeſſe De me cherir iuſqu’au dernier moment:	Vous avez su, vous l'ayant recité, Comment amour retient ma liberté Par les attraits de la belle Joesse, Laquelle aussi m'avait fait la promesse De me chérir jusqu'au dernier moment:
Or quelque temps apres mon partement De ce ſeiour, par vn trait d’inconſtance Elle me miſt bien toſt en oubliance, Donnant ſa foy que de long-temps i’auois A Deolis le bouuier mal courtois;	Or quelque temps après mon partement De ce seiour, par un trait d'inconstance Elle me mit bien tôt en oubliance, Donnant sa foi que de longtemps j'avais À Déolis le bouvier mal courtois;
Moy de retour, ie m'en allé vers elle, Mais la trouuant toute froide & rebelle Ie me douté de quelque changement, Que ie luy fis aduoüer franchement:	Moi de retour, je m'en allé vers elle, Mais la trouvant toute froide et rebelle Je me douté de quelque changement, Que te lui fis avouer franchement:
Lors me pleignant de tette déloyale Et de l’humeur qui la rend inégale, Ie fis ſi bien qu’elle ſe repentit, Et derechef à moy ſe conuertu:	Lors me pleignant de tette déloyale Et de l'humeur qui la rend inégale, Je fis si bien qu'elle se repentit, Et derechef à moi se convertu:
Mais ce n’eſtoit rien ſinon qu’vne feinte, Car l’on m’a dit que ſon ame eſt atteints Plus que deuant de ce rustre vilain, Ce qui me cauſe vn furieux dédain, Dont ie n’eſpere auoir de l’alegeance Que par le coup d’vne prompte vengeance.	Mais ce n'était rien sinon qu'une feinte, Car l'on m'a dit que son âme est atteints Plus que devant de ce rustre vilain, Ce qui me cause quelque furieux dédain, Dont pu n'espère avoir de l'allégeance Que par le coup d'une prompte vengeance.
Cerambe.	Cerambe.
Si vous voulez vſer de mon conſeil, Sans vous donner en proye à tant de dueil, De voſtre cœur effacez ſon image, Puis autre-part cherchez vostre auantage.	Si vous voulez user de mon conseil, Sans vous donner en proie à tant de deuil, De votre cœur effacez son image, Puis autre-part cherchez votre avantage.
Ariſtene.	Aristène.
Ie ne ſçaurois, ie l’ay voulu tenter, Mais ce n’eſt rien que ma peine augmenter.	Je ne saurais, Madame l'ai voulu tenter, Mais ce n'est rien que ma peine augmenter.
Cerambe.	Cerambe.
Vous m’étonnez me tenant ce langage, Veu que l’obiect qui ſi fort vous engage N'a rien qui ſoit par deſſus le commun;	Vous m'étonnez me tenant ce langage, Veu que l'objet qui si fort vous engage N'a rien qui soit par -dessus le commun;
Son œil eſt beau, mais elle a le teint brun, Apres cela, horſmis vn peu ſa bouche, Elle n’a rien qui bien viuement touche.	Son œil est beau, mais elle a le teint brun, Après cela, hormis un peu sa bouche, Elle n'a rien qui bien vivement touche.
Ariſtene.	Aristène.
Si la beauté ſe trouuoit toute en grot En vn ſubiect, il n’eſt ſi grand heros Qui la peuſt voir ſans hazarder ſa vie Tant il auroit d’amour l’ame rauie, Pourquoy les dieux ont faict tres-ſagement Qu’on ne la voit iamais entierement, Ains quelques traicts dont la viue lumiere Baſtent pour rendre vne ame priſonniere, Et voilà comme vn attraict ſeulement De la beauté me donne du tourment;	Si la beauté se trouvait toute en grot En un sujet, il n'est si grand héros Qui la put voir sans hasarder sa vie Tant il aurait d'amour l'âme ravie, Pourquoi les dieux ont fait très contentement Qu'on ne la voit jamais entièrement, Ains quelques traits dont la vive lumière Bastent pour rendre une âme prisonnière, Et voilà comme un attrait seulement De la beauté me donne du tourment;
Ioint à cela certaine accouſtumance De nous hanter preſque dés nostre enfance.	Joint à cela certaine accoutumance De nous hanter presque dès notre enfance.
Cerambe.	Cerambe.
Ie vay cedant à cette verité, Mais d’autre part ma curioſité Deſireroit tres-volontiers d’aprendre Comment n’estant encor qu'en l’âge tendre Vous auez ſçeu ſi priuément hanter Celle dont l’œil a peu vous ſurmonter, V eu que diux an nonttinnconije finte Depuis qu’elle est en noſtre compagnie,	Je vais cédant à cette vérité, Mais d'autre part ma curiosité Désirerait très-volontiers d'apprendre Comment n'étant encor qu'en l'âge tendre Vous avez su si privément hanter Celle dont l'œil a pu vous surmonter, V eu que diux an nonttinnconije fin Depuis qu'elle est en notre compagnie,
Ariſtene.	Aristène.
L'on ne contoit que le neufiéme Eſté De mes ſaiſons, lors que ie fus porté Prés du ſeiour qui donna la naiſſance A celle-là dont ie ſens la puiſſance, Et le ſubiet pourquoy i’y fus mené, Ce fut pour estre aux Arts endoctriné Par vn Berger tout plein de ſufiſance, Qui lors faiſoit en ce lieu reſidance:	L'on ne contait que le neuvième Esté De mes saisons, lors que ie fus porté Prés du séjour qui donna la naissance À celle-là dont ie sens la puissance, Et le sujet pourquoi j'y fus mené, Ce fut pour être aux Arts endoctriné Par un Berger tout plein de suffisance, Qui lors faisait en ce lieu résidance:
Or vne fois qu’allant chez ce docteur, Accompagné d’vn mien aimé pasteur, Ie rencontré celle dont l’œil me bleſſe, N'eſtant encor qu’en ſa tendre ieuneſſe:	Or une fois qu'allant chez ce docteur, Accompagné d'une mien aimé pasteur, Je rencontré celle dont l'œil me blesse, N'étant encor qu'en sa tendre jeunesse:
Ie n’eus ſi tost conſideré ſon teint, Son front ſes yeux que ie m’en veis atteint, Sans neanmoins pouuoir ores comprendre Qu’amour vouluſt à cette heure me prendre Tant ie ſentois encore mon enfant:	Je n'eus si tôt considéré son teint, Son front ses yeux que sans m'en veis atteint, Sans néanmoins pouvoir ores comprendre Qu'amour voulût à cette heure me prendre Tant ie sentois encore mon enfant:
Mais toſt apres amour le triomfant, Chaſſa de moy cette mienne innocence, Et m’inſtruiſit en ſa douce ſcience, Car c’eſt ſon propre entre ſes grands effects Qu'en nous vainquant il nous rend plus parfaicts!	Mais tôt après amour le triomfant, Chassa de moi cette mienne innocence, Et m'instruisit en sa douce science, Car c'est son propre entre ses grands effets Qu'en nous vainquant il nous rend plus parfaits!
Doncques ſentant viuement ſa pointure, Il m’inſpira d'en rechercherl acure,	Donc sentant vivement sa pointure, Il m'inspira d'en rechercherl acure,
En me faiſant promptement adreſſer A la beauté qui m’auoit ſçeu bleſſer.	En me faisant promptement adresser À la beauté qui m'avait su blesser.
Laquelle fut à mes vœux fauorable Me promettant vn amour immuable, Comme en pareil ie luy fis le ſerment De la ſeruir iuſqu’au dernier moment, Ce que i’ay fait iuſqu’à l’heure preſente, Dont mon ams est extrêmement contente?	Laquelle fut à mes vœux favorable Me promettant un amour immuable, Comme en pareil que lui fis le serment De la servir jusqu'au dernier moment, Ce que j'ai fait jusqu'à l'heure présente, Dont mon amets est extrêmement contente?
Mais au contraire, elle tout au rebours Met en oubly nos pudiques amours, Laſche action qui fletrira ſa gloire!	Mais au contraire, elle tout au rebours Met en oubli nos pudiques amours, Lâche action qui flétrira sa gloire!
Or pour finir en deux mots cette histoire Sçachez qu’ayant demeuré trente mois En grand plaiſir éloigné de nos bois, Finalement la celeste ordonnance Me fiſt reuoir le lieu de ma naiſſance, Ayant premier vn triſte congé pris De la beauté de qui ie ſuis épris, A qui ie fis vne ferme promeſſe De l’honerer & de l’aimer ſans ceſſe, Luy promettant poußé d’amour feruent, De luy mander des nouuelles ſouuent;	Or pour finir en deux mots cette histoire Sachez qu'ayant demeuré trente mois En grand plaisir éloigné de nos bois, Finalement la céleste ordonnance Me fît revoir le lieu de ma naissance, Ayant premier triste congé pris De la beauté de qui ie suis épris, A qui ie fis une ferme promesse De l'honérer et de l'aimer sans cesse, Lui promettant pouglé d'amour fervent, De lui mander des nouvelles souvent;
Ce que i’ay fait ſans faute, iuſqu’à l'heure Qu'elle eſt venuë icy faire demeure Auec ſon pere, à qui les dieux amis Ont fait échoir du bien en ce païs.	Ce que j'ai fait sans faute, jusqu'à l'heure Qu'elle est venue ici faire demeure Avec son père, à qui les dieux amis Ont fait échoir du bien en ce pays.
Cerambe.	Cerambe.
Pour auoir pris tant de ſolicitude, Vous éprouuez beaucoup d’ingratitude, Certainement cela me fait iuger Qu’elle eſt mal née & d’vn eſprit leger, Oubliez la ſi vous estes bien ſage Et recherchez ailleurs voſtre auantage.	Pour avoir pris tant de solicitude, Vous éprouvez beaucoup d'ingratitude, Certainement cela me fait juger Qu'elle est mal née et d'Un esprit léger, Oubliez la si vous êtes bien sage Et recherchez ailleurs votre avantage.
Ariſtene.	Aristène.
Ie vous croiray, mais ie veux la tenter Encor vn coup, puis apres la quitter, Cela s’entend, ſi de ſon inconſtance Elle ne vient à quelque repentance.	Je vous croirai, mais ainsi veux la tenter Encor un coup, puis après la quitter, Cela s'entend, si de son inconstance Elle ne vient à quelque repentance.
ACTE III.	ACTE III.
DEOLIS, IOESSE, CYANE, BATIRE.	DEOLIS, JOESSE, CYANE, BATIRE.
SCENE L DEOLIS ET IOESSE,	SCÈNE LE DEOLIS ET JOESSE,
6 C9 Ma Deolis.	6 C9 Ma Dolis.
Ourray-ie bien deſormais m’aſſeu rer Que ſon amour puiſſe long temps durer, Veu l’action que n’aguere elle a faicte;	Ourrai-je bien désormais m'asseu r Que son amour puisse long temps durer, Veu l'action que n'aguère elle a faite;
Certainement ie la tiens fort ſuſpecte, Et ne ſçaurois auoir d’autre penſer Que c’eſt vn tour qu’elle me veut braſſer, Quoy qu’elle m’ait expreſsément fait dire Que maintenant ſon ame ne reſpire Que le bon-heur de mon affection, En fin qu’elle eſt à ma deuotion:	Certainement mieux la tiens fort suspecte, Et ne saurais avoir d'autre penser Que c'est un tour qu'elle me veut brasser, Quoi qu'elle m'ait expressément fait dire Que maintenant son âme ne respire Que le bonheur de mon affection, En fin qu'elle est à ma dévotion:
Pour ce ſubiect elle ce viendra rendre Dans peu de temps, où ie m’en vay l’attendre Sous ce gros cheſne, aupres de ce rocher;	Pour ce sujet elle ce viendra rendre Dans peu de temps, où tu m'en vais l'attendre Sous ce gros chaîne, auprès de ce rocher;
Or ie la vois haſtiuement marcher Qui vient icy, faiſons luy froide mine Dißimulant l’amour qui nous domine,	Or ici la vois hâtivement marcher Qui vient ici, faisons tu froide mine Dimulant l'amour qui nous domine,
Ioeſſe.	Joesse.
Ie n'eſperois vn ſi mauuais accueil, Auriez-vons bien encores quelque dueil?	Je n'espérais un si mauvais accueil, Auriez-vons bien encore quelque deuil?
Deolis.	Dolis.
Qui n'en auroit il faudroit que nature M'euſt composé de quelque pierre dure.	Qui n'en aurait il faudrait que nature M'eût composé de quelque pierre dure.
IOCIIC.	JOCIIC.
Qui ſe repent de ſon erreur commis, Merite bien que tout luy ſoit remis.	Qui se repent de son erreur commis, Mérite bien que tout deux soit remis.
Deolis.	Dolis.
Certes c’eſt peu que de la repentance Si l’on n’en fait apres la penitence.	Certes c'est peu que de la repentance Si l'on n'en fait après la pénitence.
Ioeſſe.	Joesse.
Le repentir peut eſire ſi parjait, Que l’offensé du tout il ſatisfait, Teſmoin der Dieux la diuine clemence, Qui du contrit va pardonnant l'offence.	Le repentir peut esire si parjait, Que l'offensé du tout il satisfait, Témoin der Dieux la divine clémence, Qui du contrit va pardonnant l'offense.
Deol s.	Deol s.
Les puiſſants Dieux liſent fort clairement Dans nopert cænt, Efgauent uun Jil ment.	Les puissants Dieux lisent fort clairement Dans nopert cænt, Efgauent ment.
Mais nous chetifs qui n’auons la ſcience De lire ainſi dedans la conſcience, Que ſçauions nous ſi veritablement L’on ſe repent, ou ſi c’eſt faintement.	Mais nous chétifs qui n'avons la science De lire ainsi dedans la conscience, Que savions nous si véritablement L'on se repent, ou si c'est saintement.
Ioeſſe.	Joesse.
Ne croyez-pas en la belle apparence, Aſſeurez-vous deſſus l’experience.	Ne croyez-pas en la belle apparence, Assurez-vous dessus l'expérience.
Deolis.	Dolis.
Tel nous ſera dix fois officieux Pour nous iouër d’vn tour pernicieux, Doncques comment pourra on reconnoiſtre Le bon amy d’auec le meſchant traiſtre?	Tel nous sera dix fois officieux Pour nous jouer d'un tour pernicieux, Doncques comment pourra on reconnaître Le bon ami d'avec le méchant traître?
Ioeſſe.	Joesse.
Il eſt encor beaucoup de gens de bien.	Il est encor beaucoup de gens de bien.
Deolis.	Dolis.
Certainement pour moy ie n’en ſçay rien, Iuſqu’à preſent, il faut que ie le die, Ie n’ay trouué que de la perfidie.	Certainement pour moi je n'en sais rien, Jusqu'à présent, il faut que ie le die, Je n'ai trouvé que de la perfidie.
Ioeſſe.	Joesse.
Vous trouuerez d’oren’auant en moy Vn parangon, d’amour, d’honneur, de foy.	Vous trouverez d'oren'avant en moi Un parangon, d'amour, d'honneur, de foi.
DeoiIs.	DeoiIs.
Ce ſera donc vne grande merueille, Car à changer vous estes nompareille.	Ce sera donc une grande merveille, Car à changer vous êtes nompareille.
Ioeſſe.	Joesse.
Si i’ay commis quelque fois cet erreur, Mon eſprit l’a maintenant en horreur, Pour ce oubliez mon action paßée.	Si j'ai commis quelque fois cet erreur, Mon esprit l'a maintenant en horreur, Pour ce oubliez mon action passée.
Deolis.	Dolis.
Si vous voulez qu’elle ſoit effacée, Promettez-moy de ne careſſer plus Mon coriual, qu’il ſoit du tout exclus,	Si vous voulez qu'elle soit effacée, Promettez-moi de ne caresser plus Mon corjual, qu'il soit du tout exclus,
Cela vaut faict.	Cela vaut fait.
Ioeſſe.	Joesse.
Deolls.	Dolls.
Ie vous ſupplie encore Que s’il reuient deuers vous qu’il adore, Declarez luy qu’il s’aille departant De vous aimer, qu’il vous aille quittant.	Je vous supplie encore Que s'il revient devers vous qu'il adore, Declarez sent qu'il s'aille départant De vous aimer, qu'il vous aille quittant.
Ioeſſe.	Joesse.
Ajez à gré que quelqu’autre luy die, Car te ne ſun certes affez hardie.	Ajez à gré que quelqu'autre femme die, Car te ne sun certes assez hardie.
Deolis.	Dolis.
Que craignez vous?	Que craignez -vous?
Ioeſſe.	Joesse.
Ie crains de le faſcher, Erue me von tustement reprocher Mon peu d’amour & ſon loyal ſeruice.	Je crains de le fâcher, Erve me von tustement reprocher Mon peu d'amour et son loyal service.
Deois.	Deois.
Qui donc pourra nous faire cet office.	Qui donc pourra nous faire cet office.
Ioeſſe.	Joesse.
Ie iugerois qu’il ſeroit bon de vous.	Je jugerais qu'il serait bon de vous.
Deolis.	Dolis.
Non i'il vous plaiſt, ie crains trop ſon courous, Dernierement ie le vis en furie Contre vn Berger de la vendengerie, Lequel, s’il n’euſt couru haſtiuement, Ie croy qu’il l’euſt battu cruellement.	Non j'il vous plaît, je crains trop son courus, Derntièrement ie un vis en furie Contre un Berger de la vendengerie, Lequel, s'il n'eût couru hâtivement, Je crois qu'il l'eût battu cruellement.
Ioeſſe.	Joesse.
Si vous n’auez aſſez de hardieſſe,  qane 77	Si vous n'avez assez de hardiesse, qane 77
Deolis.	Dolis.
Que diroit-on de telle laſcheté, I’aimerois mieux n’auoir onques eſte.	Que dirait-on de telle lâcheté, J'aimerais mieux n'avoir onques este.
Ioeſſe.	Joesse.
Le vain caquet d'vn badaut populaire Ne nous fait mal, comme vn coup ſanguinaire.	Le vain caquet d'un badaut populaire Ne nous fait mal, comme un coup sanguinaire.
Deolis.	Dolis.
L’on dit pourtant qu’il vaudroit mieux mourir, Que ſon renom voir deuant ſoy perir.	L'on dit pourtant qu'il vaudrait mieux mourir, Que son renom voir devant soi périr.
Ioeſſe.	Joesse.
Fol eſt celuy qui là deſſus ſe fonde, Certes il n’eſt que de viure en ce monde, Quand l’on eſt mort l’on ne ſert plus de rien, Et noſtre corps ne ſeni ne mal, ne bien,	Fol est celui qui là dessus se fonde, Certes il n'est que de vivre en ce monde, Quand l'on est mort l'on ne sert plus de rien, Et notre corps ne seni ne mal, ne bien,
3 I'aime les vifs, & non ceux qu’vne lame Encloſt en ſoy, priuez de ſang & d’ame:	3 J'aime les vifs, et non ceux qu'une lame Enclôt en soi, privez de sang et d'âme:
Pour ce ie veux, ſans plus vous hazarder, Que vous ayez le ſoin de vous garder.	Pour ce Prince veux, sans plus vous hasarder, Que vous ayez le soin de vous garder.
Deolis.	Dolis.
Ce bon auis grandement profitable, Faict que ie croy voſtre amour veritable:	Ce bon avis grandement profitable, Fait que personne crois votre amour véritable:
denneusleuei faut vn pen fonger Comme on pourra l’aborder ſans danger.	denneusleuei faut un pen songer Comme on pourra l'aborder sans danger.
Toeſſe.	Toesse.
C'eſt tre-bien dit, mais rien encor ne preſſe.	C'est tre-bien dit, mais rien encor ne presse.
Deolis.	Dolis.
Ie n’auray point le cœur tiré d’oppreſſe, Qu’il ne ſe ſoit tout à fait departy De vous ſeruir, cherchant ailleurs party.	Je n'aurai point le cœur tiré d'oppresse, Qu'il ne se soit tout à fait départi De vous servir, cherchant ailleurs parti.
Ioeſſe.	Joesse.
Inuentez nous quelque tour de ſoupleſſe, Qui face voir voſtre gentille addreſſe, Et cependant chacun aille chez ſey, Car außi bien quelques-vns i’apperçoy, Dont le chemin en ce lieu ſemble tendre:	Inventez nous quelque tour de souplesse, Qui face voir votre gentille adresse, Et cependant chacun aille chez sey, Car aussi bien quelques-Fs j'aperçois, Dont le chemin en ce lieu semble tendre:
Allons-nous-en, ie ne les veux attendre.	Allons-nous-en, ici ne les veux attendre.
Deolis.	Dolis.
Adieu m’amour, ie vous prie humblement A l'auenir de m’aimer cherement.	Adieu m'amour, votre vous prie humblement A l'avenir de m'aimer chèrement.
CENE II.	CÈNE II.
CYANE ET LE SATYRE,	CYANE ET LE SATYRE,
Cyane.	Chyane.
CAnt plus ie vay, plus mon inquietude I Va s’augmentant & deuient du tout rude, Ie ne ſçay plus comment la ſupporter, Ni moins encor le remede tenter, Qui pourroit bien me donner allégeance, Sinon qu’il eſt hors de la bien-ſeance, Ha que l’amour à ſon commencement Me va cauſant vn rigoureux tourment.	CAnt plus rien vay, plus mon inquiétude I Va s'augment et dévient du tout rude, Je ne sais plus comment la supporter, Ni moins encor le remède tenter, Qui pourrait bien me donner allégeance, Sinon qu'il est hors de la bienséance, Ha que l'amour à son commencement Me va ca reux tourment.
Satyre.	Satire.
C'eſt à ce coup que buiſſons ont oreilles, Par la mort-bleu ie viens d’ouyr merueilles, Seroit-ce bien de moy que Cupidon L’échaufferoit de ſon paillard brandon.	C'est à ce coup que buissons ont oreilles, Par la mort-bleu un viens d'ouïr merveilles, Serait-ce bien de moi que Cupidon L'échaufferait de son paillard brandon.
Cyane.	Chyane.
Ie ne ſçay pas quelle en ſera l’iſſuë, Mais ie preuoy (Dieux que ie ſois deçeuë) Que ie ne ſuis ſur le poinct d’amortir Le feu cuiſant qu’amour me fait ſentir, Car le paſteur de qui ie ſuis épriſe Ne connoiſt pas que ie luy ſois acquiſe.	Je ne sais pas quelle en sera l'issue, Mais fort prévoi (Dieux que ie sois déçue) Que ils ne suis sur le point d'amortir Le feu cuisant qu'amour me fait sentir, Car le pasteur de qui tu suis éprise Ne connaît pas que je lui sois acquise.
oatyle.	oatyle.
