1101 A MONSEIGNEVR E MARQVI C 108 DE MONTAVSIER.	1101 À MONSEIGNEUR E MARVI Ç 108 DE MONTAUSIER.
Prodigieux effect de ſon extrauagance!	Prodigieux effet de son extravagance!
MARTIAN.	MARTIAN.
Mais pluſtoſt d’vne vaine & inſigne arrogance, Ha Seigneur c’en eſt trop, puniſſez, vengeZ-vous, Laſchez contre vn ingrat les reſnes au courroux, Et ne differez plus l’arrest de ſon ſupplice.	Mais plutôt d'une vaine et insigne arrogance, Ha Seigneur c'en est trop, punissez, vengeZ-vous, Lâchez contre un ingrat les rênes au courroux, Et ne différez plus l'arrêt de son supplice.
APOLLINAIRE.	APOLLINAIRE.
Puiſque l’aueuglement le traiſne au precipice, Loing de preſſer ſa perte & luy haſter le pas, Nous deuons malgré luy l’arracher au trèpas, Le tirer de la voye en laquelle il s’engage Et guider ſa raiſon dont il n'a plus l’vſage.	Puisque l'aveuglement le traîne au précipice, Loin de presser sa perte et quelque hâter le pas, Nous devons malgré lui 'arracher au trépas, Le tirer de la voie en laquelle il s'engage Et guider sa raison dont il n'a plus l'usage.
MARTIAN.	MARTIAN.
Qu’il meure ou ſocrifie.	Qu'il meure ou socrifie.
MAXIMIAN.	MAXIMIAN.
Ouy i’ay trop pardonné:	Oui j'ai trop pardonné:
Il mourra l’inflexible, il mourra l’obſtiné, Mais dan vn long tourment qui tariſſant ſes veines Par des coups redoublez fera viure ſes peines, Et luy rendra la mort le moindre de ſes maux.	Il mourra l'inflexible, il mourra l'obstiné, Mais dan un long tourment qui tarissant ses veines Par des coups redoublés fera vivre ses peines, Et quelques rendra la mort le moindre de ses maux.
DRIAN.	DRIAN.
Un homme armè de Dieu ne eraint point les trauaux Rien ne peut esbranler ſon ame genereuſe, Son courage eſt plus grand que la mort n'eſt affreuſe, Et toutes vos rigueurs ne ſçauroient paruenir Au comble des douleurs que ie puis ſouſtenir.	Un homme armène de Dieu ne eraint point les travaux Rien ne peut ébranler son âme généreuse, Son courage est plus grand que la mort n'est affreuse, Et toutes vos rigueurs ne sauraient parvenir Au comble des douleurs que sans puis soutenir.
MAXIMIAN.	MAXIMIAN.
Ha Chreſtien ton orgueil te couſtera la vie Placide.	Ha Chrétien ton orgueil te coûtera la vie Placide.
APOLLINAIRE.	APOLLINAIRE.
Helas Seigneur excuſéz ſa manie, Ou puis qu’il voit le iour comme vn objet d’ennuy Ne le puniſſez pas pour vous vanger de luy.	Hélas Seigneur excuséz sa manie, Ou puis qu'il voit le jour comme un objet d'ennui Ne le punissez pas pour vous venger de lui.
MAXIMIAN.	MAXIMIAN.
Moy ſouffrir vn Chreſtien?	Moi souffrir un Chrétien?
qu’vne inſolente ſecte De ſa contagion toute la terre infecte, Et que degenerant de mon auerſion I’abandonne les Dieux à leur diſcretion, Que ie ſois ſoupçonné d’eſtre d’intelligence, Et deuant ſignaler mon nom par ma vengeance, Deuant noyer l’erreur dans des fleuues de ſang Sans reſpect d’amitié, de ſexe, ny de rang;	qu'une insolente secte De sa contagion toute la terre infecte, Et que dégénérant de mon aversion J'abandonne les Dieux à leur discrétion, Que tu sois soupçonné d'être d'intelligence, Et devant signaler mon nom par ma vengeance, Deuant noyer l'erreur dans des fleuves de sang Ans respect d'amitié, de sexe, ni de rang;
Deuaut à la pitié tenir mon ame cloſe:	Devaut à la pitié tenir mon âme close:
Qu'vne laſche tendreſſe à mes deſirs s’oppoſe, Seduiſe ma colere & deſarme ma main;	Qu'une lâche tendresse à mes désirs s'oppose, Séduise ma colère et désarme ma main;
O - ſ-- - –	Ô -ce s-elle - 
MARTIAN	MARTIAN
MARTIAN, O dignes ſentimens d’vn Empereur Romaint Ainſi touſiours le Ciel à vos vœux fauorable Aux plus fiers ennemis vous rendra redoutable, Ainſi vous receurez les tiltres glorieux D'ennemy des Chreſtiens & protecteur des Dieux.	MARTIAN, Ô dignes sentiments d'un Empereur Romaint Ainsi toujours le Ciel à vos vœux favorable Aux plus fiers ennemis vous rendra redoutable, Ainsi vous recevrez les titres glorieux D'ennemi des Chrétiens et protecteur des Dieux.
ADRIAN.	ADRIAN.
Protecteur dites vous?	Protecteur dites -vous?
il eſt donc neceſſaire Qu'vn Empereur mortel ſoit le Dieu tutelaire, De vos diuinitez, & vous offrez l’encens Aueugles malheureux a des Dieux impuiſſans, Vous deffendez des Dieux qui vous deuroient defendre, Et leur faites vn bien qu’ils ne ſçauroient vous rendre, ar la protection qu’ils reçoiuent de vous Nous montre clairement qu’ils ſont moins Dieux que nous, Ceux-là ſeroient des Dieux auſquels l’homme peut nuire, Que le moindre artiſan peut forger & deſtruire, Qui n’ont point d’action & ſans voſtre maintien Se verroient renuerſez par le bras d’vn Chreſtien?	il est donc nécessaire Qu'Hommes Empereur mortel soit le Dieu tutélaire, De vos divinités, et vous offrez l'encens Augles malheureux a des Dieux impuissants, Vous défendez des Dieux qui vous devraient défendre, Et leur faites un bien qu'ils ne sauraient vous rendre, ar la protection qu'ils reçoivent de vous Nous montre clairement qu'ils sont moins Dieux que nous, Ceux-là seraient des Dieux auxquels l'homme peut nuire, Que le moindre artisan peut forger et détruire, Qui n'ont point d'action et sans notre maintien Se verraient renversez par le bras d' Chrestien?
Ha qu’ils ſont eſloignez de l’adorable eſſence Qui tira l’Uniuers du ſein de ſa puiſſance, Qui partage les temps à la nuict & au iour Et conſerue pour nous des abiſmes d’amour.	Ha qu'ils sont éloignez de l'adorable essence Qui tira l'Univers du sein de sa puissance, Qui partage les temps à la nuit et au jour Et conserve pour nous des abîmes d'amour.
C’eſt l’eſtre ſouuerain, l’eſtre incomprehenſible Qui ſçait tout, qui peut tout, dont l’esprit inuiſible Anime tous les corps & d’vn concours eſgal Donne l’eſtre à la pierre & l’ame à l’animal, Rend l’homme raiſonnable & communique aux ames L’amoureuſe chaleur de ſes diuines flâmes.	C'est l'être souuerain, l'être incompréhensible Qui sait tout, qui peut tout, dont l'esprit invisible Anime tous les corps et d'un concours égal Donne l'être à la pierre et l'âme à l'animal, Rend l'homme raisonnable et communique aux âmes L'amoureuse chaleur de ses divines flammes.
O Dieu dans quels tranſpors n’entrent point vos amans Quand vous leur découurez des objets ſi charmans, Quand vous leur preſentez ces attraits efficaces, Et abreuuez leurs cœurs des torrents de vos graces?	Ô Dieu dans quels transpors n'entrent point vos amants Quand vous leur découvrez des objets si charmants, Quand vous leur présentez ces attraits efficaces, Et abreuez leurs cœurs des torrents de vos grâces?
Alors la vie peſe & pour svnir à vous Les plus cruels trépas ſont des liens trop doux, D'ineffables douceurs vne ame poſſedée Vous aime, vous deſire, & n’a plus d’autre idée.	Alors la vie pèse et pour svnir à vous Les plus cruels trépas sont des liens trop doux, D'ineffables douceurs une âme possédée Vous aime, vous désire, et n'a plus d'autre idée.
MAXIMIAN.	MAXIMIAN.
Tu m’en apprendrois plus que ie n’en veux ſçauoir, Ceſſe de diſcourir & penſe à mon pouuoir;	Tu m'en apprendrais plus que je n'en veux savoir, Cesse de discourir et pense à mon pouvoir;
Ie ne t’allegue point les preuues autentiques Qui combattent ta ſecte, & ces Temples antiques Qui pourroient contenir mille diuinitez, Il ſuffit que i’ordonne, & que mes volontez Doiuent ſeruir de regle à tout ce qui reſpire Dans le vaſte circuit qu’embraſſe mon Empire, Obeis donc Chrestien, & ne t'obſtine plus.	Je ne t'allégue point les prévues autentiques Qui combattent ta secte, et cette Temples antiques Qui pourraient contenir mille divinités, Il suffit que j'ordonne, et que mes volontés Doivent servir de règle à tout ce qui respire Dans le vaste circuit qu'embrasse mon Empire, Obeis donc Chrétien, et ne t'obstine plus.
ADRIAN.	ADRIAN.
Seigneur pour m’esbranler vos ſoins ſont ſuperflus Il faut qu'auec la foy ie conſerue la vie Ou que dans les tourmens elle me ſoit rauie.	Seigneur pour m'ébranler vos soins sont superflus Il faut qu'avec la foi toujours conserve la vie Ou que dans les tourments elle me soit ravie.
Commandez l’vn ou l’autre & i’obeis.	Commandez l'un ou l'autre et j'obéis.
MAXIMIAN.	MAXIMIAN.
L’effect Differe trop ſouuent des projets qu’on a faict, Et cette fermeté qui fait ta reſiſtance Peut bien ſe trouuer courte au fort de ta ſouffrance, Purtenus que les douteurs qu'on te fera ſentir:	L'effet Diffère trop souvent des projets qu'on a fait, Et cette fermeté qui fait ta résistance Peut bien se trouver courte au fort de ta souffrance, Purtenus que les douteurs qu'on te fera sentir:
T’arracheront enfin vn triſte repentir, Et que tu ſois contraint dans ces tourmens extremes D'implorer, quoy qu'en vain, les Dieux que tu blaphemes.	T'arracheront enfin un triste repentir, Et que tu sois contraint dans ces tourments extrêmes D'implorer, quoi qu'en vain, les Dieux que tu blaphèmes.
2 ADRIAN.	2 ADRIAN.
Et moy i’attends que Dieu me vienne ſecourir, Que ſa charmante voix m’encourage à mourir, Et que ſouffrant pour luy des peines ſans pareilles Vous vous ſentiez contraint d’en croire les merueilles.	Et moi j'attends que Dieu me vienne secourir, Que sa charmante voix m'encourage à mourir, Et que souffrant pour lui des peines sans pareilles Vous vous sentiez contraint d'en croire les merveilles.
MAXIMIAN.	MAXIMIAN.
I'en verray le ſuccez, Placide approcheZ vous.	J'en verrai le succès, Placide approchez -vous.
	
APOLLINAIRE.	APOLLINAIRE.
Seigneur encor vn coup moderez ce courroux Que voſtre Majeſté.	Seigneur encor un coup modérez ce courroux Que votre Majesté.
MAXIMIAN.	MAXIMIAN.
Ceſſez Apollinaire, Ne m’importunez plus d’vne injuſte priere, Ie l’ay trop ſupporté.	Cessez Apollinaire, Ne m'importunez plus d'une injuste prière, Je l'ai trop supporté.
Placide eſcoutez bien L’ordre que ie vous donne & n’en obmettez rien.	Placide écoutez bien L'ordre que je vous donne et n'en obmettez rien.
Ie veux que tout à l’heure on le meine à la hale, Ou s’il eſt plus de peuple à la place Royale Qu’il y ſoit ſans delay traiſnè par vn bourreau, La qu’il ſoit despoüillé, lié contre vn poteau, Et tellement battu que ſa chair toute ouuerte De gros boüillons de ſang ſoit largement couuerte.	Je veux que tout à l'heure on le mène à la hale, Ou s'il est plus de peuple à la place Royale Qu'il y soit sans délai traîné par un bourreau, La qu'il soit despoüillé, lié contre un poteau, Et tellement battu que sa chair toute ouverte De gros bannons de sang soit largement couverte.
Preſſez-le cependant d’obeir à mes loix, Et ſi ces cruautez pour la premiere fois Ne peuuent ramener ſon ame opiniaſtre, Que quarre nommes purſfans ſe laſſent à le battre Auec de gros baſtons garnis de nœuds preſſez, Qu'on luy briſe les nerfs, & ſi ce n’eſt aſſez De ce nouueau tourment pour guarir ſa folie Qu’on luy batte le ventre auec tant de furie Que ſes boyaux ſortis luy donnent de l’horreur.	Pressez-le cependant d'obéir à mes lois, Et si ces cruautés pour la première fois Ne peuvent ramener son âme opiniâtre, Que quarre nommes pursfants se lassent à le battre Avec de gros bâtons garnis de nœuds pressez, Qu'on lui brise les nerfs, et si ce n'est assez De ce nouveau tourment pour garir sa folie Qu'on lui batte le ventre avec tant de furie Que ses boyaux sortis lui donnent de l'horreur.
C –	Ç Ç
ADRIAN.	ADRIAN.
Ie vous ſuis obligé fauorable Empereur, Du ſoin que vous prenez d’ordonner pour ma gloire Les combats dont i’eſpere vne entiere victoire.	Je vous suis obligé favorable Empereur, Du soin que vous prenez d'ordonner pour ma gloire Les combats dont j'espère une entière victoire.
Vn violent deſir de ſignaler ma foy Me faict voir vos rigueurs bien au deſſous de moy, Et ie meurs de plaiſir lors que ie conſidere Que Dieu pour qui i'endure eſt mon riche ſalaire.	Un violent désir de signaler ma fo Ie fait voir vos rigueurs bien au dessous de moi, Et ie urs de plaisir lors que je considère Que Dieu pour qui j'endure est mon riche salaire.
Seigneur.	Seigneur.
APOLLINAIRE.	APOLLINAIRE.
MAXIMIAN.	MAXIMIAN.
Ha ie ſuis las d’en eſtre importuné;	Ha ieports las d'en être importuné;
Placide executez l’ordre que i’ay donné Ei mt uciire iot de terte inquierude.	Placide exécutez l'ordre que j'ai donné Ejout uciire jot de terte inquierude.
PLACIDE.	PLACIDE.
I’apporteray Seigneur toute la promptitude Qu'on ſçauroit demander en cette occaſion.	J'apporterai Seigneur toute la promptitude Qu'on saurait demander en cette occasion.
APOLLINAIRE.	APOLLINAIRE.
Sors enfin malheureux de ton illuſion Puis qu’il eſt temps encore & rentrant en toy-meſme Crains pour l’amour de nous vn deshonneur extreme, Placide reSi ton propre intereſt ne te peut eſmouuoir.	Sors enfin malheureux de ton illusion Puis qu'il est temps encore et rentrant en toi-même Crains pour l'amour de nous un déshonneur extrême, Placide reS ton propre intérêt ne te peut émouvoir.
menehdrian	mènehdrian
MAXIMIAN.	MAXIMIAN.
I'eſpere que les fouets auront plus de pouuoir, Que n’ont eu nos diſcours, & que les baſtonnades Abbaiſſeront l’orgueil de ſes rodomontades.	J'espère que les fouets auront plus de pouvoir, Que n'ont eu nos discours, et que les bastonnades Abaisseront l'orgueil de ses rodomontades.
1 4 ENAN.	1 4 ENAN.
Son courage & ſa chair auront vn grand procez.	Son courage et sa chair auront un grand procès.
MAXIMIAN.	MAXIMIAN.
Et tous les deux ſans doute vn fort mauuais ſuccez.	Et tous les deux sans doute un fort mauvais succès.
Fin du ſecond Acte.	Fin du second Acte.
TI T 4 ETI.	TY T 4 ETI.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MAXIMIAN, PLACIDE, APOLLINAIRE, MARTIAN.	MAXIMIAN, PLACIDE, APOLLINAIRE, MARTIAN.
PON S PLACIDE.	PON S PLACIDE.
A conſtance, Seigneur, eſtonne tout le monde, Il n'a ſur tout letorps qu’vne playe profonde, Les foüets & les baſtons ont eſpuisé ſon flanc, Mais il nage en la joye auſsi bien qu’en le ſanc, Glorieux de ſouffrir il rit de ſon ſupplice Et laſſe les bourreaux.	À constance, Seigneur, étonne tout le monde, Il n'a sur tout letorps qu'une plaie profonde, Les fouets et les bâtons ont espuisé son flanc, Mais il nage en la joie aussi bien qu'en le sanc, Glorieux de souffrir il rit de son supplice Et lasse les bourreaux.
MAXIMIAN.	MAXIMIAN.
Ha cruelle malice!	Ha cruelle malice!
Ha d’vne ame enragée incroyable fureur?	Ha d'une âme enragée incroyable fureur?
Qu'vn Chreſtien en ſouffrãt ſurmonte vn Empereur, Que toutes les rigueurs cedent à ſon courage Et que tout mon pouuoir ſoit moindre que ſa rage.	Qu'un Chrétien en souffrant surmonte un Empereur, Que toutes les rigueurs cèdent à son courage Et que tout mon pouvoir soit moindre que sa rage.
Ha l’obſtination;	Ha l'obstination;
ha l’endurciſſement Qui fait mon deſespoir & mon eſtonnement!	ha l'endurcissement Qui fait mon désespoir et mon étonnement!
Sa mort ſera pour moy trop tardiue ou trop prompte S’il meurt en me brauant ou s’il vit à ma honte, Et de quelque coſté que ie tourne les yeux Tout combat mes deſſeins & l’hõneur de nos Dieux.	Sa Mort sera pour moi trop tardive ou trop prompte S'il meurt en me bravant ou s'il vit à ma honte, Et de quelque côté que personne tourne les yeux Tout combat mes desseins et l'honneur de nos Dieux.
MARTIAN.	MARTIAN.
Eſtouffez le venin dans le ſang de la beſte, Car l’vnique remede eſt d’abbatre ſa teſte, Außi bien c’eſt en vain qu’on pretend l’esbranler, Deut-il voir ſur vn gril ſes membres petiller, Ou de boüillons de plomb arrouſer ſes bleſſures, Deut-il finir ſa vie entre mille morſures De tigres affameZ & ſouffrir en vn corps Toutes tes cruautez des pius porribles morts, Touſiours inexorable & tyran de ſoy-meſme Il paroiſtra joyeux dans vn tourment extreme, Et vous reconnoiſtréz apres de longs combats Qu'on ne pouuoit trop toſt l’enuoyer au treſpas.	Étouffez le venin dans le sang de la bête, Car l'unique remède est d'abattre sa tête, Aussi bien c'est en vain qu'on prétend l'ébranler, Deut-il voir sur un gril ses membres pétiller, Ou de bouillons de plombs arroser ses blessures, Deut-il finir sa vie entre mille morsures De tigres affamés et souffrir en un corps Toutes tes cruautés des pius porribles morts, Tousiours inexorable et tyran de soi-même Il paraîtra joyeux dans un tourment extrême, Et vous reconnaîtrez apres de longs combats Qu'on ne pen aut senvoyer a trépas.
APOLLINAIRE.	APOLLINAIRE.
Seigneur ſans vous priuer d’vn ſi grand Capitaine I’ay trouué le moyen de vous mettre hors de peine, La force ne peut rien contre vn homme de cœur, 1 –*) mtDans les plus grands aſſauts ſon courage eſt vainqueur, Mais la voluptè ſeule à droict de le corrompre, Il n’eſt point d’eſcadrons qu’elle ne puiſſe rompre, Et quelque fermeté qu’il teſmoigne aujourd’huy Ses attraits enchanteurs viendront à bout de luy.	Seigneur sans vous priver d'Heure si grand Capitaine J'ai trouvé le moyen de vous mettre hors de peine, La force ne peut rien contre un homme de cœur, 1 *) mutDans les plus grands assauts son courage est vainqueur, Mais la voluptè seule à droit de le corrompre, Il n'est point d'escadrons qu'elle ne puisse rompre, Et quelque fermeté qu'il témoigne aujourd'hui Ses attraits enchanteurs viendront à bout de force.
eſt elle qu’on a veu mettre Annibal en fuite, Qui vainquit Marc Antoine auec toute l’Eg ypte, Et qui contre Adrian vſant de trahiſon Dans ſon eſprit charmè verſera ſon poiſon, Qui fera voir vaincu par l’effort des delices Celuy qui ſurmontoit les plus cruels ſupplices.	est elle qu'on a vu mettre Hannibal en fuite, Qui vainquit Marc Antoine avec toute l'Ég ypte, Et qui contre Adrian usant de trahison Dans son esprit charmè versera son poison, Qui fera voir vaincu par l'effort des délices Celui qui surmontait les plus cruels supplices.
MAXIMIAN.	MAXIMIAN.
Tout ce raiſonnement ne me ſatisfait pas Et la plus courte voye eſt celle du trespas, Car le moindre bourreau peut finir à ma veuë Et truuait imponun qui m'actavie & me tuë.	Tout ce raisonnement ne me satisfait pas Et la plus courte voie est celle du trépas, Car le moindre bourreau peut finir à ma vue Et truait impun qui m'actavie et me tue.
APOLLINAIRE.	APOLLINAIRE.
Mais ſa cendre fertile en reproduira cent Et bien loing de finir vn ennuy ſi preſſant Vous allez augmenter les ſujets de vos peines.	Mais sa cendre fertile en reproduira cent Et bien loin de finir un ennui si pressant Vous allez augmenter les sujets de vos peines.
MAXIMIAN.	MAXIMIAN.
Falut-il des humains tarir toutes les veines, Ne faire qu'vn tombeau de ce grand Uniuers, L Et me perdre en perdant tant de peuples diuers, Contre tous les Chreſtiens-t'eſtendray ma colere.	Falut-il des humains tarir toutes les veines, Ne faire qu'elle tombeau de ce grand Univers, L Et me perdre en perdant tant de peuples divers, Contre tous les Chrétiens-t'-étendrai ma colère.
APOLLINAIRE.	APOLLINAIRE.
Ie vous diray Seigneur ce que ie ne puis taire;	Je vous dirai Seigneur ce que ici ne puis taire;
L’esprit comme le corps eſt ſujet au poiſon, Les charmes ſont puiſſans pour troubler la raiſon, Et celle d'Adrian eſt ſans doute affoiblie Par les enchantemens dont ſe ſert Natalie, Celle magicienne aubre Ieſm Chriſt, Et depuis treiz e mois aßiegeant ſon eſprit, Là malheureuſement attiré dans ſa ſecte.	L'esprit comme le corps est sujet au poison, Les charmes sont puissants pour troubler la raison, Et celle d'Adrian est sans doute affaiblie Par les enchantements dont se sert Natalie, Celle magicienne aubre Iesm Christ, Et depuis treiz e ois assiegeant son esprit, Là malheureusement attiré dans sa secte.
MARTIAN, D’vne pure chimere elle vous eſt ſuſpecte, Ie connois Natalie, & m’oſe faire fort Qu’on ne vous a pas fait vn fidele rapport, Mais qu’a peine Adrian aura laißé la teſte Que l’encenſoir aux mains on la trouuera preſte De rendre aux immortels vn culte ſolemnel.	MARTIAN, D'une pure chimère elle vous est suspecte, Je connais Natalie, et m'ose faire fort Qu'on ne vous a pas fait un fidèle rapport, Mais qu'a peine Adrian aura laisse la tête Que l'encensoir aux mains on la trouvera prête De rendre aux immortels un culte solemnel.
MAXIMIAN.	MAXIMIAN.
Placide amenez-moy ce couple criminel Placide fort Qu'vne derniere fois ie leur offre mes graces, Qu'vne derniere fois ie faſſe des menaces Et leur donne le choix de la vie ou la mort.	Placide amenez-moi ce couple criminel Placide fort Qu'une dernière fois que leur offre mes grâces, Qu'une dernière fois ie fasse des menaces Et leur donne le choix de la vie ou la mort.
Miſerable Empereur auec combien d’effort Pourſuis-tu des Chreſtiens l’aſſemblée ſeduite?	Misérable Empereur avec combien d'effort Poursuis-tu des Chrétiens l'assemblée séduite?
Et combien s’en fait-il nonobſtant ta pourſuitte?	Et combien s'en fait-il nonobstant ta poursuite?
Et quãd ceſſerez vous, grands Dieux, de m’outrager, Et vous vanger de moy quand ie veux vous vanger?	Et quand cesserez -vous, grands Dieux, de m'outrager, Et vous venger de moi quand votre veux vous venger?
Doncque cette beauté pour qui Nicomedie Nourriſſoit dans les cœurs vn public incendie, Cette image des Dieux par vn complot fatal A declaré la guerre à ſon original, Et ie me ſens forcé par vn excez de zele D'effacer pour iamais cette image infidelle.	Donc cette beauté pour qui Nicomédie Nourrissait dans les cœurs un public incendie, Cette image des Dieux par un complot fatal A déclaré la guerre à son original, Et tu me sens forcé par un excès de zèle D'effacer pour jamais cette image infidèle.
Au moins ſi tant de ſang que ie verſe en tous lieux Augmentoit mon repos ou le reſpect des Dieux;	Au moins si tant de sang que ici verse en tous lieux Augment mon repos ou le respect des Dieux;
Mais ma deuote ardeur loing de leur eſtre vtile Contre eux & contre nous aigrit toute la ville, Ie prepare aux Chreſtiens vn char pour triompher, Et i’irrite le mal que ie veux eſtouffer.	Mais ma dévote ardeur loin de leur être vutile Contre eux et contre nous aigrit toute la ville, Je prépare aux Chrétiens un char pour triompher, Et j'irrite le mal que sans veux étouffer.
N’importe, Natalie, il faut que ie me venge.	N'importe, Natalie, il faut que personne me venge.
MARTIAN.	MARTIAN.
Seigneur elle a changé ſans renoncer au vhange, Le ſexe la condamne à l’inſtabilité, L’erreur luy déplaira comme la verité, Et pour l’en retirer le temps eſt vn remede Auquel apres l’amour tout autre moyen cede, L’vn & l’autre est puiſſant, mais ce dernier icy Est pour y paruenir vn chemin racourcy, ne vostre emajesté va ſçauoir tout à l'heure Moyennant qu’auec nous perſonne ne demeure, ar il n'est pas beſoin de découurir à tous Les mysteres d'amour.	Seigneur elle a changé sans renoncer au vhge, Le sexe la condamne à l'instabilité, L'erreur ton déplaira comme la vérité, Et pour l'en retirer le temps est un remède Auquel après l'amour tout autre moyen cede, L'un et l'autre est puissant, mais ce dernières ici Est pour y parvenir un chemin racourci, ne votre emjesté va savoir tout à l'heure Moyennant qu'avec nous personne ne demeure, ar il n'est pas besoin de découvrir à tous Les mystères d'amour.
MAXIMIAN.	MAXIMIAN.
Ey pren terirtorcoss Et qu’on nous laiſſe ſeuls.	Ei pren terirtorcoss Et qu'on nous laisse seuls.
SCENEII MAXIMIAN, MARTIAN.	SCENEII MAXIMIAN, MARTIAN.
MARTIAN.	MARTIAN.
Seigneur vous alleZ eſtre Mon plus cher confident außi bien que mon maiſtre, Et ie ne craindray point d'expoſer à vos yeux D’vn cœur tout deſchiré le portrait ennuyeux.	Seigneur vous allez être Mon plus cher confident aussi bien que mon maître, Et personne ne craindrai point d'exposer à vos yeux D'un cœur tout déchiré le portrait ennuyeux.
Au temps que Natalie eſtoit encore fille Et l’objet des ſouspirs de toute cette ville, Parmy tous les amans qui viuoient ſous ſa loy Elle ne fit eſtat que d’Adrian & moy, Son ame entre nous deux longuement balancée Eſtoit tantoſt vers luy tantoſt vers voy poußée, Et dans vne eſperance eſgale à ſon amour dd.	Au temps que Natalie était encore fille Et l'objet des soupirs de toute cette ville, Parmi tous les amants qui vivaient sous sa loi Elle ne fit état que d'Adrian et moi, Son âme entre nous deux longuement balancée Était tantôt vers lu tantôt vers y poussée, Et dans une espérance égale à son amour dd.
	
Vn chacun receuoit des faueurs à ſon tour.	Un chacun recevait des faveurs à son tour.
Mais helas ie la vis tout d’vn coup refroidie, Et quoy que ma pourſuite en deuint plus hardie, Quoy que ma paßion fit vn dernier effort Elle me prononça ma ſentence de mort.	Mais hélas apprendre la vis tout d'une coup refroidie, Et quoi que ma poursuite en devint plus hardie, Quoi que ma passion fit un dernier effort Elle me prononça ma sentence de mort.
I’en appelle à l’amour, mais l’amour la reuere, Et trahit mon bon droit de peur de luy deſplaire.	J'en appelle à l'amour, mais l'amour la ruère, Et trahit mon bon droit de peur de M desplaire.
De ſorte qu'Adrian eſt receu dans ſon lict, Et moy plein de courroux, de honte, & de deſpit D'vn changement ſoudain dont la ſuitte m’eſtonne I'en cherche les motifs, ie reſue, ie ſoupçonne, Et d’vn œil eſpion examinant leurs mœurs Par vn ſoing indiſcret ie nourris mes douleurs.	De sorte qu'Adrian est reçu dans son lit, Et moi plein de courroux, de honte, et de dépit D'un changement soudain dont la suitte m'étonne J'en cherche les motifs, je rêve, ie soupçonne, Et d'un œil espion examinant leurs mœurs Par un soing indiscret ie appris mes douleurs.
La maiſon d’Adrian de Chreſtiens touſiours pleine Me decouuroit aſſez le ſujet de ma peine, Et i’aurois pû iuger dans vne autre ſaiſon Qu’ils s’eſtoient aſſemblez pour quelque trabiſon, Qu’ils auoient conſpiré pour me dreſſer vn piege Et qu’enfin Natalie aimoit par ſortilege:	La maison d'Adrian de Chrétiens toujours pleine Me découvrait assez le sujet de ma peine, Et j'aurais pu juger dans une autre saison Qu'ils s'étaient assemblez pour quelque trabison, Qu'ils avaient conspiré pour me dresser un piège Et qu'enfin Natalie aimait par sortilège:
Mais dans l’eſtonnement ou l’amour m’auoit mis Et duquel pour ce coup ie n'epois plu remis Ie n’apperceuois pas les choſes les plus claires, Et les moindres objets me ſembloient des myſteres.	Mais dans l'étonnement ou l'amour m'avait mis Et duquel pour ce coup ie n'épois plu remis Je n'apperceuois pas les choses les plus claires, Et les moindres objets me semblaient des mystères.
Il n’eſt point de douleur ſi forte que le temps;	Il n'est point de douleur si forte que le temps;
Ce grand conſolateur de tous les meſcontens, Adoucit la rigueur de mon ſort deplorable Et le bon-heur d’autruy me deuint ſupportable.	Ce grand consolateur de tous les mescontens, Adoucit la rigueur de mon sort déplorable Et le bonheur d'autrui me devint supportable.
Déja treize croiſſans ont aſſemblé leurs bouts Depuis que Natalie eſt auec ſon eſpoux, Et ſouz le deſeſpoir ma flamme enſeuelie N’auoit plus pour obiet les yeux de Natalie, Lors que de mon riual la iuſte aduerſité A rallumé mes feux & ma temerité.	Déjà treize croissants ont assemblé leurs bouts Depuis que Natalie est avec son époux, Et souz le désespoir ma flamme ensevelie N'avait plus pour objet les yeux de Natalie, Lors que de mon rival la juste aduersité A rallumé mes feux et ma témérité.
I'attendois qu’il mourroit & que i’aurois ſa femme, Et deſia cét eſpoir auoit flatté mon ame, Deſia tout conſpiroit à mon contentement Lors qu’on m'a menacé d’vn triſte euenement, Et qu'en voſtre preſence on a dreſſé contre elle Vne accuſation dangereuſe & cruelle Qui l’expoſe aux rigueurs d’vn lamentable ſort Si pour l'en garantir l’amour ne fait effort.	J'attendais qu'il mourrait et que j'aurais sa femme, Et déjà cet espoir avait flatté mon âme, Déjà tout conspirait à mon contentement Lors qu'on m'a menacé d'être triste événement, Et qu'en Un présence on a dressé contre elle Âme accusation dangereuse et cruelle Qui l'expose aux rigueurs d'un lamentable sort Si pour l'en garantir l'amour ne fait effort.
Ie ne viens pas Seigneur dans ce danger extreme Demander qu’elle viué à cauſe que ie l’aime Contre tous les Chreſtiens ie ſuis trop irrité Pour faire en ſa faueur cette inciuilité.	Je ne viens pas Seigneur dans ce danger extrême Demander qu'elle vivé à cause que éclair l'aime Contre tous les Chrétiens ie suis trop irrité Pour faire en sa faveur cette incivilité.
Ie demande vn delay c’eſt toute la priere Que Martian vous doit & vous deſire faire;	Je demande un délai c'est toute la prière Que Martian vous doit et vous désire faire;
