A MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISELLE.	À MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISLE.
Eigneur la Grrange.	Eigneur la Grange.
LA GRANGE.	LA GRANGE.
Hé bien?	Hé bien?
DV CROISY.	DU CROISY.
Regardez-moy ſans rirt	Regardez-moi sans rirt
LA GRANGE.	LA GRANGE.
Parlez, ie vous entends.	Parlez, Seigneur vous entends.
Qu’auez-vous à me dir Quoy,	Qu'avez-vous à me dir Quoi,
DVCROISY.	DUCROISY.
De noſtre viſite eſtes-vous ſatisfait?	De notre visite êtes-vous satisfait?
LA GRANGE.	LA GRANGE.
Pas trop à dire vray, mais vous;	Pas trop à dire vrai, mais vous;
DV CROISY.	DU CROISY.
Pas tout à fait:	Pas tout à fait:
LA GRANGE.	LA GRANGE.
I’en ſuis ſcandaliſé, pour moy ie le confeſſe, Vn procedé, ſemblable, & me choque & me bleſſe Deux Pecques de Prouince, ont-elles dites-moy Iamais plus fierement, tenu leur quant à moy, Et de deux hommes iamais, en pareille occurent Ont-ils eſté receus auec plus d’arrogance:	J'en suis scandalisé, pour moi -même le confesse, Un procédé, semblable, et me choque et me blesse Deux Pecques de Province, ont-elles dites-moi Jamais plus fièrement, tenu leur quant à moi, Et de deux hommes jamais, en pareille occurent Ont-ils été reçus auec plus d'arrogance:
Pendant que nous auons demeuré pour les voir A peine elles nous ont prié de nous aſſoir, Ie ſuis encor ſurpris, d’vne choſe pareille, On n’a iamais tant veu ſe parler à l’oreille, Tant ſe frotter les yeux, tant baiſler, tãt mouches Tant s’enquerir de l’heure, &, ſi ſouuent crache Nous ont-elles iamais dit, quatre mots de ſuit Ouy, ou non, ont-ils pas payé noſtre viſite, Et quad nous aurſons merme eſte de vrais gredit Nous auroient-elles pû monſtrer plus de dédain	Pendant que nous avons demeuré pour les voir À peine elles nous ont prié de nous assoir, Je suis encor surpris, d'une chose pareille, On n'a jamais tant vu se parler à l'oreille, Tant se frotter les yeux, tant baisler, toujours mouches Tant s'enquérir de l'heure, et, si souvent crache Nous ont-elles jamais dit, quatre mots de suit Oui, ou non, ont-ils pas payé notre visite, Et quad nous aursons ' elle de vrais gredit Nous auron-elles mer plus me dédain
DV CROISY.	DU CROISY.
A vous ouïr parler, de cét accueil farouche Il ſemble tout du bon, que la choſe vous touch	À vous ouïr parler, de cet accueil farouche Il semble tout du bon, que la chose vous touch
LA GRANGE.	LA GRANGE.
Sans doute elle me touche, & de telle façon Que deuant qu’il ſoit peu, i’en veux tirer raiſor Ie connoiſt ce que c’eſt, l’air Pretieux ſans doute Dans la campagne auſſi, vient de prẽdre ſa route, Et de Paris enfin courant, de part en part Nos donzelles en ont humé leur bonne part;	Sans doute elle me touche, et de telle façon Que devant qu'il soit peu, j'en veux tirer raisor Je connaît ce que c'est, l'air Pretieux sans doute Dans la campagne aussi, vient de prendre sa route, Et de Paris enfin courant, de part en part Nos donzelles en ont humé leur bonne part;
On connoiſt aiſément, en voyant leur perſonne Que c’eſt la verité que ce que i’en ſoubçonne;	On connaît aisément, en voyant leur personne Que c'est la vérité que ce que j'en soubonne;
On y voit certain air Coquet & Pretieux, Et qui n’eſt en vn mot, qu’vn ambigu des deux:	On y voit certain air Coquet et Prétieux, Et qui n'est en un mot, qu'un ambigu des deux:
Pour en eſtre receu, ie vois ce qu’il faut eſtre, Ie voy ce qu’à leurs yeux, il faut enfin paroiſtre, Et ſi vous me croyez, nous leur deuons ioüer Vi tour;	Pour en être reçu, je vois ce qu'il faut être, Je vois ce qu'à leurs yeux, il faut enfin paraître, Et si vous me croyez, nous leur devons jouer Vi tour;
pour feur apprenure à ne ſe plus loüer.	pour seur apprenure à ne se plus louer.
La piece aſſeurément, paroiſtra ſans ſeconde Et leur monſtrera mieux, à connoiſtre leur inonde.	La pièce assurément, paraîtra sans seconde Et leur montrera mieux, à connaître leur inonde.
DV CROISY.	DU CROISY.
Comment;	Comment;
LA GRANGE.	LA GRANGE.
I’ay Maſcarille, vn certain grand Laquais Qui paſſe au ſentiment d’eſprits aſſez mal faits, Pour eſtre vn bel eſprit, car au fiecle ou nous ſommes Il eſt à bon marché, chez la pluſpart des hommes.	J'ai Mascarille, un certain grand Laquais Qui passe au sentiment d'esprits assez mal faits, Pour donne r bel esprit, car au siècle ou nous sommes Il est à bon marché, chez la plupart des hommes.
C’eſt vn extrauagant, qui par ambition Taſche d’eſtre par tout crû de condition, Il ſe picque d’eſprit, de vers, de raillerie, clent lantblen ream, dans la guiantene Fait le maiſtre par tout, dedaigne ſes Egaux Iuſques à les traitter d’ignorans de Brutaux.	C'est un extravagant, qui par ambition Tâche d'être par tout cru de condition, Il se picque d'esprit, de vers, de raillerie, clent lantblen ream, dans la guiantène Fait le maître par tout, dedaigne ses Égaux Jusques à les traiter d'ignorants de Brutaux.
DV CROISY.	DU CROISY.
Hé bien!	Hé bien!
de ce valet que pretendez-vous faire:	de ce valet que prétendez-vous faire:
LA GRANGE.	LA GRANGE.
Mon deſſein n’a iamais eſté de vous le taire Il nous faut.	Mon dessein n'a jamais été de vous le taire Il nous faut.
mais ſortõs, car tout n’iroit pas bien Si Gorgibus, qui vient ſçauoit noſtre entretien.	mais sortons, car tout n'irait pas bien Si Gorgibus, qui vient Savait notre entretien.
SCENE II.	SCÈNE II.
GORGIBVS CROISY LA GRANGE.	GORGIBUS CROISY LA GRANGE.
GORGIBVS.	GORGIBUS.
E bien?	E bien?
vous auez veu ma niepce auec mi TY fſſe Auez-vous reſolu d’entrer dans ma famille, D’vne pareille affaire, encor que dites-vous?	Vous avez vu ma niepce auec mi TY fsse Vez-vous résolu d'entrer dans ma famille, D'une pareille affaire, encor que dites-vous?
LA GRANGE.	LA GRANGE.
Vous le ſçaurez Monſieur, mieux d’elles, que d nous, Tout ce que nous pouuons a prerent vous apprẽdr C’eſt, que nous auons trop de graces à vous rẽdie De toutes vos bontez, de toutes vos faueurs Et que nous demeurons vos humbles ſeruiteurs.	Vous le saurez Monsieur, mieux d'elles, que dès nous, Tout ce que nous pouuons a prèrent vous apprend C'est, que nous avons trop de grâces à vous rèdie De toutes vos bontés, de toutes vos faveurs Et que nous demeurons vos humbles serviteurs.
GORGIBVS.	GORGIBUS.
Oüais?	Ouais?
ils ſont mal contens, que cela veut-il dir Faiſons venir quelqu’vn qui nous en puiſſe in ſtruire.	ils sont mal contents, que cela veut-il dir Faisons venir quelqu'un qui nous en puisse in truire.
Ie veux m’en enquerir, & ſȩauoir promptemen D’où leur pouroit venir ce méoontentement:	Je veux m'en enquérir, et savoir promptemen D'où leur pourrait venir ce méoontentement:
Ces coquines, toûjours me cauſent mille engoiſſ Hola?	Ces coquines, toujours me causent mille engoiss Holà?
SCENE III.	SCÈNE III.
MAROTTE, GORGIBVS.	MAROTTE, GORGIBUS.
MAROTTE.	MAROTTE.
D Laiſt-il Monſieur?	D Laît-il Monsieur?
L CORGIEVS.	 LORGIEUS.
Où ſont donc vos Maiſtreſſes?	Où sont donc vos Maîtresses?
Qu’on les faſſe venir.	Qu'on les fasse venir.
MAROTTE.	MAROTTE.
Dedans leur Cabinet.	Dedans leur Cabinet.
Ie penſe qu’elles ſont	Je pense qu'elles sont
CoRdiv3.	CoRdiv3.
Qu’eſt-ce qu’elles y font?	Qu'est-ce qu'elles y font?
MAROIIE.	MAROIIE.
Pour les leures Monſieur,	Pour les lèvres Monsieur,
GORGIBVS.	GORGIBUS.
Et quoy?	Et quoi?
MAROTTE De la pommade.	MAROTTE De la pommade.
GORGIBVS.	GORGIBUS.
Nous auons tous les iours vne ſemblable aubade.	Nous avons tous les jours une semblable aubade.
Tout cela me déplaiſt, & c’eſt trop pommader, Qu’on les faſſe deſcendre, allez & fans tarder.	Tout cela me déplaît, et c'est trop pommader, Qu'on les fasse descendre, allez et fans tarder.
Ces pendardes enfin, faut que ie le confeſſe.	Ces pendardes enfin, faut que je le confesse.
Me veulent ruiner en pommadant ſans ceſſe.	Me veulent ruiner en pommadant sans cesse.
Mais ie me faſcheray ſi l’on me pouſſe à bout;	Mais mille me fâcherai si l'on me pousse à bout;
Ie ne vois que blãcs-d’œuf, laict virginal par tout.	Je ne vois que blãcs-d'œuf, lait virginal par tout.
Par tout, dans le logis, ie ne vois que paroiſtre Mille brinborions, que ie ne puis connoiſtre:	Par tout, dans le logis, je ne vois que paraître Mille brinborions, que ie ne puis connaître:
Elles ont employé, le lard de dix cochons, Et ie puis aſſeurer que des pieds de moutons Donit ley enaqueiour, elles font la deſpenſe Six valets en auroient plus que leur Ioſance.	Elles ont employé, le lard de dix cochons, Et je puis assurer que des pieds de moutons Donit lei enaquejour, elles font la dépense Six valets en auraient plus que leur Josance.
SCENE IV.	SCÈNE IV.
MAGDELON, CATHOS, GORGIBVS.	MAGDELON, CATHOS, GORGIBUS.
GORGIBVS.	GORGIBUS.
NEla n’eſt par ma foy du tout, ny bien uy beau, Et c’eſt trop deſpenſer, pour graiſſer ſon muſeau Dites?	NÉla n'est par ma foi du tout, ni bien ui beau, Et c'est trop dépenser, pour graisser son museau Dites?
qu’ont ces Meſſieurs, qu’auez-vous pû leur faire?	qu'ont ces Messieurs, qu'avez-vous pu leur faire?
Ils ſortent froidement, & ſe ſemble en colere, Puiſque ie l’auois dit, que ne les traitiez-vous, Comme gens deſtinez, pour eſtre vos eſpoux.	Ils sortent froidement, et se semble en colère, Puisque ie j'avais dit, que ne les traitiez-vous, Comme gens destinez, pour être vos époux.
MAGDELON.	MAGDELON.
Ah!	Ah!
que dites-vous là, quelle eſtime mon pere Pourions-nous toutes deux, & deurions-nous faire, (Quand bien vous nous l’auriez vous meſme com mandé) De ces ſortes de gens de qui le procedé Eſt irregulier.	que dites-vous là, quelle estime mon père Pourions-nous toutes deux, et devrions-nous faire, (Quand bien vous nous l'auriez vous même com mandé) De ces sortes de gens de qui le procédé Est irrégulier.
CATHOS.	CATHOS.
Des filles raiſonnables Ne peuuent accepter des perſonnes ſemblables, Mon oncle, quel moyen de s’en accommoder;	Des filles raisonnables Ne peuvent accepter des personnes semblables, Mon oncle, quel moyen de s'en accommoder;
do ne a an vdo Que trouuez-vous en eux?	do ne a an vdo Que trouvez-vous en eux?
MAGDELON.	MAGDELON.
Qu'olez-vous demander.	Qu'olez-vous demander.
Ils n’ont fait leur debut que par le mariage.	Ils n'ont fait leur début que par le mariage.
GORGIBVS.	GORGIBUS.
Deuoient-ils debutter par le concubinage?	Devaient-ils debutter par le concubinage?
Eſtoit-ce le moyen de gaigner voſtre cœur, Ne deuriez-vous pas eſtimer leur ardeur, Quoy?	Était-ce le moyen de gagner votre cœur, Ne devriez-vous pas estimer leur ardeur, Quoi?
pouuoient-ils tous deux, parler d’vne maniere Qui fuſt plus obligeante, & deuſt plus ſatisfaire, Et ce lien ſacré, qu’ils pretendent tous deux Ne marque-il pas bien, la verru de leurs veux.	pouvaient-ils tous deux, parler d'une manière Qui fût plus obligeante, et dût plus satisfaire, Et ce lien sacré, qu'ils prétendent tous deux Ne marque-il pas bien, la verru de leurs veux.
MAGDELON.	MAGDELON.
Mon pere, ſongez mieux, à tout ce que vous dites, Ces fautes tout de bon, ne ſont pas trop petites;	Mon père, songez mieux, à tout ce que vous dites, Ces fautes tout de bon, ne sont pas trop petites;
Mais faites-vous de grace, inſtruire vne autre fois, Ce que vous auez dit, eſt du dernier Bourgeois, Ie ne vous puis ouïr, & la honte m’accable.	Mais faites-vous de grâce, instruire une autre fois, Ce que vous avez dit, est du dernier Bourgeois, Je ne vous puis ouïr, et la honte m'accable.
Lors que ie vous entends faire vn diſcours ſemblable.	Lors que je vous entends faire un discours semblable.
I'en ſuis encor ſurpriſe & confuſe.	J'en suis encor surprise et confuse.
Bon Dieu!	Bon Dieu!
Pour vous deſabuſer, il vous faudroit vn peu Apprendre ce que c’eſt, que le bel air des choſes.	Pour vous désabuser, il vous faudrait un peu Apprendre ce que c'est, que le bel air des choses.
GORGIBVS.	GORGIBUS.
Quel diſcours eſt-ce là?	Quel discours est-ce là?
quelles metamorphoſes.	quelles métamorphoses.
Ie n’ay que faire icy, ny d’air, ny de chanſon Ce diſcours me déplaiſt, & paroiſt ſans raiſon, Et ie te dis encor, que c’eſt eſtre tres-ſage Que de parler ainſi, puis que le mariage, De chacun aujourd’huy, doit eſtre reueré, Et qu’il n’a rien du tout, que de ſainct & ſacré.	Je n'ai que faire ici, ni d'air, ni de chanson Ce discours me déplaît, et paroist sans raison, Et été te dis encor, que c'est être très usage Que de parler ainsi, puis que le mariage, De chacun aujourd'hui, doit être révéré, Et qu'il n'a rien du tout, que de saint et sacré.
MAGDÉLON.	MAGDLON.
Dieux!	Dieux!
ſi chacun eſtoit de voſtre humeur mõ pere, Que la fin d’vn Roman, ſeroit facile à faire, Que cela ſeroit beau, ſi Cyrus dans l’abord, Sans éprouuer du tout les caprices du ſort, Auoit Mandane, & ſi ſans hazarder ſa vie Aronce, de plein pied, eſpouſoit ſa Clelie.	si chacun était de votre humeur mon père, Que la fin d'un Roman, serait facile à faire, Que cela serait beau, si Cyrus dans l'abord, Sans éprouver du tout les caprices du sort, Avait Mande, et si sans hasarder sa vie Aronce, de plein pied, épousait sa Clélie.
de leu lu lar, Qu’eſt-ce que celle-là me vient icy conter, A la fin ie ſeray bien-toſt las d’eſcouter.	de leu A lar, Qu'est-ce que celle-là me vient ici conter, A la fin toujours serai bientôt las d'écouter.
MAGDELON.	MAGDELON.
Si vous vouliez mon pere, vn moment nous entendre?	Si vous vouliez mon père, un moment nous entendre?
Et ma couſine & moy, nous pourions vous apprendre.	Et ma cousine et moi, nous pourrions vous apprendre.
Que iamais vn hymen ne ſe doit accorder Qu’apres les accidens qui doiuent preceder.	Que jamais un hymen ne se doit accorder Qu'après les accidents qui doivent précéder.
Il faut que dans l’abord, vn amant veritable, Afin qu’à ſa Maiſtreſſe il ſe rende agreable, Exprime adroitement ſes plus cruels tourmens, Il ſçache debiter tous les beaux ſentimens, Et que ſans ſe laſſer, pour pouuoir la ſurprendre Il ſçache bien pouſſer, & le doux & le tendre, Que pour monſtrer combien ſon cœur eſt enchaiſné, Il faſſe tout cela d’vn air paſſionné, Et s’il pretend enfin, auancer ſes affaires, Quȩ ſa procedure ait les formes ordinaires.	Il faut que dans l'abord, un amant véritable, Afin qu'à sa Maîtresse il se rende agréable, Exprime adroitement ses plus cruels tourments, Il sache débiter tous les beaux sentiments, Et que sans se lasser, pour pouvoir la surprendre Il sache bien pousser, et le doux et le tendre, Que pour montrer combien son cœur est enchaîné, Il fasse tout cela d'un air passionné, Et s'il prétend enfin, avancer ses affaires, Qu ' procédure ait les formes ordinaires.
Il doit dedans le temple, ou dedans d’autres lieux Voir l’aymable beauté, qui cauſe tous ſes vœux	Il doit dedans le temple, ou dedans d'autres lieux Voir l'aimable beauté, qui cause tous ses vœux
Ou bien eſtre conduit, fatallement chez elle Par vn des bons amis, ou parent de la belle.	Ou bien être conduit, fatallement chez elle Par un des bons amis, ou parent de la belle.
Il ſort apres cela, tout chagrin tout reſueur, A l’objet de ſes vœux, cache vn temps ſon ardeur, Cependant il luy rend de frequentes viſites, Et puis le plus ſouuent, apres bien des redites, On voit ſur le tapis mettre vne queſtion Qui fait adroitement ſçauoir ſa paſſion, Et qui quoy que la belle, en paroiſſe troublée Exerce les eſprits de toute l’aſſemblée.	Il sort après cela, tout chagrin tout rêveur, À l'objet de ses vœux, cache un temps son ardeur, Cependant il avait rend de fréquentes visites, Et puis le plus souvent, après bien des rédites, On voit sur le tapis mettre une question Qui fait adroitement Savoir sa passion, Et qui quoi que la belle, en paraisse troublée Exerce les esprits de toute l'assemblée.
De declarer ſon feu, le iour arriue enfin, Ce qui ſe fait ſouuent dedans quelque iardin Lors que par vn bonheur, que le hazard ameine La compagnie quitte, ou plus loin ſe promeine, D’abord à cét adueu, ſuccede vn prompt couroux Qui banit quelque tẽps l’amant d’aupres de nous.	De déclarer son feu, le jour arrive enfin, Ce qui se fait souvent dedans quelque jardin Lors que par un bonheur, que le hasard âme La compagnie quitte, ou plus loin se promène, D'abord à cet aveu, succède un prompt courroux Qui banit quelque temps l'amant d'auprès de nous.
Il trouue apres moyen, de raſſurer noſtre ame, De nous accouſtumer, aux diſcours de ſa flame, Et de rirer de nous, cét important aueu Qui nous fait tant de peine, & luy couſte ſi peu.	Il trouve après moyen, de rassurer notre âme, De nous accoutumer, aux discours de sa flamme, Et de rirer de nous, cet important aveu Qui nous fait tant de peine, et lui coûte si peu.
Viennent apres cela toutes les aduantures, Les jaloux deſeſpoirs, les craintes les murmures, Les plaintes ſans ſujet, les cris & les riuaux Qui d’vn parfait amour, ſont les plus cruels maux, Quand par vne ſoudaine, & facheuſe ſaillie Ils viennent trauerſer, vne flame eſtablie.	Viennent après cela toutes les aventures, Les jaloux désespoirs, les craintes les murmures, Les plaintes sans sujet, les cris et les rivaux Qui d'être parfait amour, sont les plus cruels maux, Quand par une soudaine, et fâcheuse saillie Ils viennent traverser, une flamme établie.
On voit venir encor, les perſecutions D'vn pere, qui combat de fortes paſſions, Qui s’obſtine à les vaincre.	On voit venir encor, les persécutions D'un père, qui combat de fortes passions, Qui s'obstine à les vaincre.
On voit la jalouſie, Qui ſur de faux ſoubçons trouble la fantaiſie;	On voit la jalousie, Qui sur de faux soubçons trouble la fantaisie;
On voit enfin les pleurs & les emportemens, Les fureurs d’vn Amant, & les enleuemens, Et tout ce qui s’enſuit.	On voit enfin les pleurs et les emportements, Les fureurs d'un Amant, et les enlèvements, Et tout ce qui s'ensuit.
Dans les belles manieres, C’eſt ainſi que chacun doit traitter ſes affaires, Ce ſont les regles enfin, dont il faut confeſſer Que quiconque eſt galand ne peut ſe diſpenſer;	Dans les belles manières, C'est ainsi que chacun doit traiter ses affaires, Ce sont les règles enfin, dont il faut confesser Que quiconque est galant ne peut se dispenser;
Mais peut-on iamais voir recherche plus brutalle, Parler de but en blanc, d’vnion coniugalle, Venir rendre viſite, & dés le meſme iour, Vouloir paſſer contract, pour mõſtrer leur amour Et prendre iuſtement (ſans voir ce qu’il faut faire) Le Roman par la queuë.	Mais peut-on jamais voir recherche plus brutalle, Parler de but en blanc, d'union conjugalle, Venir rendre visite, et dès le même jour, Vouloir passer contrat, pour montrer leur amour Et prendre justement (sants voir ce qu'il faut faire) Le Roman par la queue.
Encore vn coup mon pere, Vous pouriez bien-toſt voir, ſi vous preniez conſeil, Qu’il n’eſt rien plus marchand qu’vn procedé pareil.	Encore un coup mon père, Vous pourriez bientôt voir, si vous preniez conseil, Qu'il n'est rien plus marchand qu'un procédé pareil.
Pour moy i’ay mal au cœur, & me ſens inquiette De la viſion ſeule, ou le diſcours me iette.	Pour moi j'ai mal au cœur, et me sens inquiette De la vision seule, ou le discours me jette.
GORGIBVS.	GORGIBUS.
Voicy bien du haut ſtile:	Voici bien du haut style:
Hé!	Hé!
que vient celle-cy, Auecque ſon iargon, de me conter icy.	que vient celle-cy, Avec son jargon, de me conter ici.
CATHOS.	CATHOS.
Ah!	Ah!
mon oncle en effet, ie vous diray ſi i'oſe Quelle vient de donner dans le vray de la choſe, Et quel moyen auſſi de reuoir des gens, Qu’à faire leur deuoir, on voit ſi negligeans, Qui n’ont de dire vn mot, pas meſme l’induſtrie, Et qui ſont incongrus dans la galanterie;	mon oncle en effet, je vous dirai si j'ose Quelle vient de donner dans le vrai de la chose, Et quel moyen aussi de revoir des gens, Qu'à faire leur devoir, on voit si negligeans, Qui n'ont de dire un mot, pas même l'industrie, Et qui sont incongrus dans la galanterie;
Pour moy ſans croire icy, follement m’engager Contre qui le voudra, i’oſeray bien gager Que leur eſprit iamais ne fut né pour apprendre Ce que c’eſt que l’amour, & la carte de tendre, Qu’ils ont le iugement tout à fait de trauers, Et que billets galands, petits ſoins, iolis vers, Billets doux, ſont pour eux des terres inconnuës Comme ſi maintenant ils deſcendoient des nuës.	Pour moi sans croire ici, follement m'engager Contre qui le voudra, j'oserai bien gager Que leur esprit jamais ne fut né pour apprendre Ce que c'est que c'amour, et la quarte de tendre, Qu'ils ont le jugement tout à fait de travers, Et que billets galants, petits soins, jolis vers, Billets doux, sont pour eux des terres inconnues Comme si maintenant ils descendaient des nues.
Ie vous puis dire encor, ſans en demeurer là, Que tout leur procedé marque aſſez bien cela,	Je vous puis dire encor, sans en demeurer là, Que tout leur procédé marque assez bien cela,
Et qu’on ne trouue point dans toute leur perſonne Ce ie ne ſçay quel charme, & qui dés l’abord donne Par vn air attirant, & de condition De quantité de gens, fort bonne opinion.	Et qu'on ne trouve point dans toute leur personne Ce Ce j' ai quel charme, et qui dès l'abord donne Par un air attirant, et de condition De quantité de gens, fort bonne opinion.
Vit-on iamais encor, choſe plus merueilleuſe Oſer venir tous deux en viſite amoureuſe Auec des chappeaux de plumes deſarmez;	Vit-on jamais encor, chose plus merveilleuse Oser venir tous deux en visite amoureuse Avec des chapeaux de plumes désarmés;
Ne paroiſtre tous deux nullement enflamez, Auoir auec cela, la iambe toute vnie, La teſte de cheueux, tout à fait dégarnie, Toute irreguliere, & des habits enfin, Qui reſſemblent à ceux de quelque vray gredin, Et ſouffrent de rubans vn extréme indigence.	Ne paraître tous deux nullement enflamés, Avoir avec cela, la jambe toute unie, La tête de cheveux, tout à fait dégarnie, Toute irrégulière, et des habits enfin, Qui ressemblent à ceux de quelque vrai gredin, Et souffrent de rubans extrême indigence.
Ah!	Ah!
mon Dieu, quels Amans, i’en rougis quand i’y penſe, Quelle frugalité d’ajuſtement, bon Dieux!	mon Dieu, quels Amants, j'en rougis quand j'y pense, Quelle frugalité d'ajustement, bon Dieux!
Eſt-ce ainſi que l’on doit venir offrir ces vœux, Que d’indigence en tout, & quelle ſechereſſe De conuerſation, ah!	Est-ce ainsi que l'on doit venir offrir ces vœux, Que d'indigence en tout, et quelle sécheresse De conversation, ah!
tout cela me bleſſe, Touſiours on y languit, on n’y rient point Helas;	tout cela me blesse, Toujours on y languit, on n'y rient point Hélas;
I’ay remarqué deplus encor, que leurs rabats Par l’excez ſurprenant d’vne auarice honteuſe, N’ont iamais eſté faits, par la bonne faiſeuſe;	J'ai remarqué déplus encor, que leurs rabats Par l'excès surprenant d'une avarice honteuse, N'ont jamais été faits, par la bonne faiseuse;
Quil s’en faut demy pied (ie le dis ſans erreur) Que leur chauſſes enfin, n’ayent aſſez de largeur.	Quil s'en faut demi pied (ie le dis sans erreur) Que leur chausses enfin, n'aient assez de largeur.
GORGIBVS.	GORGIBUS.
Voila de grands diſcours que ie ne puis entendre A tout ce baragoüin, qui pourroit rien comprendre, Elles ſont folles.	Voilà de grands discours que je ne puis entendre À tout ce baragoüin, qui pourrait rien comprendre, Elles sont folles.
Vous Cathos & Magdelon, 2 Apprenez auiourd’huy que ie veux tout de bon, Que vous vous prepariez.	Vous Cathos et Magédelon, 2 Apprenez aujourd'hui que personne veux tout de bon, Que vous vous prépariez.
MAGDELON.	MAGDELON.
Hé!	Hé!
de grace, mon pere, De ces eſtranges noms, taſchez de vous deffaire Et ſi vous le pouuez, nommez-nous autrement.	de grâce, mon père, De ces étranges noms, tâchés de vous défaire Et si vous le pouvez, nommez-nous autrement.
GORGIBVS.	GORGIBUS.
O Dieux!	Ô Dieux!
qu’entenge dire?	qu'entenge dire?
eſtranges noms, coiſient * Et ne ſont-ce pas là vos vrais noms de bapteſme	étranges noms, coisient * Et ne sont-ce pas là vos vrais noms de baptême
MAGDELON.	MAGDELON.
Voſtre ſtupidité va iuſques à l’extreſine, Quę vous eſtes vulgaire, auec ces ſentiments, Ah!	Votre stupidité va jusques à l'extresine, Qu' vousces vulgaire, avec ces sentiments, Ah!
pour moy le plus grand des mes eſtonnemen Eſt que vous ayez fait vne fille ſi ſage, Et ſi plaine d’eſprit.	pour moi le plus grand des mes étonnemen Est que vous ayez fait un fille si sage, Et si plaine d'esprit.
Dedans le beau langage, Oüy-t’on iamais nommer?	Dedans le beau langage, Oui-t-on jamais nommer?
Magdelon & Cathos Et n’aduouërez-vous pas, qu’enfin des noms ſi ſou Pouroient par leur rudeſſe affreuſe & ſans ſecõde Décrier le Roman, le plus charmant du monde.	Magédelon et Cathos Et n'avouerez-vous pas, qu'enfin des noms si sou Pouraient par leur rudesse affreuse et sans seconde Décrier le Roman, le plus charmant du monde.
CATHOS.	CATHOS.
Mon oncle, il eſt tres-vray, que ces ſortes de noms Ont vn ie ne ſçay quoy de bas dedans leurs ſons Qui n’a rien d’attirant, qui n’a rien qui ne bleſſe Et pour peu qu’vne oreille, ait de delicateſſe, On voit qu’elle pâtit, tres-furieuſement Entendant prononcer ces mots là ſeulement.	Mon oncle, il est très-vrai, que ces sortes de noms Ont un mains ne sais quoi de bas dedans leurs sons Qui n'a rien d'attirant, qui n'a rien qui ne blesse Et pour peu qu'une oreille, ait dé délicatesse, On voit qu'elle pâtit, très-furieusement Entendant prononcer ces mots là seulement.
D'Aiminte le beau nom celuy de Poiixene, Que ma couſine & moy nous auons pris ſan peine, Ont des attraits en eux, dont vous deuez d’abor Sans aucun contredit eſtre auec moy d’accord.	D'Aiminte le beau nom celui de Poiixène, Que ma cousine et moi nous avons pris san peine, Ont des attraits en eux, dont vous devez d'abor Sans aucun contredit votre esprit moi d'accord.
GORGIBVS.	GORGIBUS.
Eſcoutez toutes deux, il n’eſt qu’vn mot qui ſerue Quand ie dis vne choſe, il faut que l’on l’obſerue	Écoutez toutes deux, il n'est qu'un mot qui serve Quand tu dis une chose, il faut que l'on l'observe
Et ie ne pretends pas tomber iamais d’accord, De ces noms, que ie vois qui vous plaiſent ſi fort;	Et ici ne prétends pas tomber jamais d'accord, De ces noms, que ie vois qui vous plaisent si fort;
Quittez lés;	Quittez lès;
car ie veux que vous gardiez les voſtres :	car grands veux que vous gardiez les vôtres :
Ie ne ſçaurois ſouffrir, que vous en ayez d’autres, Que ceux que vos parains vous ont iadis donnez.	Je ne saurais souffrir, que vous en ayez d'autres, Que ceux que vos parains vous ont jadis donnez.
Pour ces Meſſieurs auſſi, leſquels vous dédaignez:	Pour ces Messieurs aussi, lesquels vous dédaignez:
Ie ſçay quels ſont leurs biens, ie connois leurs familles, Et comme ie ſuis las de tant garder deux filles, Ie veux qu’abſolument vous ſongiez toute deux n feceuoir bien-toſt leur main auec leur vœux.	Je sais quels sont leurs biens, je connais leurs familles, Et comme tu suis las de tant garder deux filles, Je veux qu'absolument vous songiez toute deux n feceuoir bientôt leur main avec leur vœux.
De deux filles la garde, eſt vne rude charge, Et ne peine que trop vn homme de mon aage.	De deux filles la garde, est une rude charge, Et ne peine que trop un homme de mon âge.
CATHOS.	CATHOS.
Ce que ie vous puis dire icy;	Ce que ici vous puis dire ici;
mon oncle helas!	mon oncle hélas!
C’eſt que le mariage eſt pour moy ſans appas, Que ie trouue que c’eſt vne choſe choquante, Et qu’enfin le penſer, ſeulement m’épouuante D’eſtre couché aupres d’vn hõme vrayement nû.	C'est que le mariage est pour moi sans appas, Que je trouve que c'est une chose choquante, Et qu'enfin le penser, seulement m'épouvante D'être couché auprès d'un homme vraiment nu.
MAGDELON.	MAGDELON.
Mon pere, noſtre nom, ſera bien-toſt connû, C’eſt pourquoy vous deuez, nous permettre ſans peine, Qu’auec les beaux eſprits, nous repreniõs haleine.	Mon père, notre nom, sera bientôt connu, C'est pourquoi vous devez, nous permettre sans peine, Qu'avec les beaux esprits, nous reprenions haleine.
Et comme dans Paris, nous venons d’arriuer, vous deuez, s’il vous plaſit, ſious ſaſſſer acheuer De noſtre beau Roman, le tiſſu ſans exemple, Et n’en pas tant preſſer, par vn pouuoir trop ample La concluſion.	Et comme dans Paris, nous venons d'arriver, vous devez, s'il vous plasit, sious sasser achever De notre beau Roman, le tissu sans exemple, Et n'en pas tant presser, par un pouvoir trop ample La conclusion.
GORGIBVS.	GORGIBUS.
