AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
Deputé de ma part, fend le vaſte des airs, Paſſe plus promptement que ne font les eſclairs, Et iure par le ſtix au maiſtre du tonnerre, Que le Dieu des enfers luy declare laguerre, S’il ne voit auiourd’huy dans ſon paſle ſejour, Regner vne beauté digne de ſon amour.	Député de ma part, fend le vaste des airs, Passe plus promptement que ne font les éclairs, Et jure par le stix au maître du tonnerre, Que le Dieu des enfers lui déclare laguerre, S'il ne voit aujourd'hui dans son pâle séjour, Regner une beauté digne de son amour.
Fais pour moy ce ſerment, officieux Mercure,	Fais pour moi ce serment, officieux Mercure,
ble	blé
Et n'aprehende point que Pluton ſe parjure?	Et n'appréhende point que Pluton se parjure?
Ouy, ſice lupiter n’y conſent auiourd’huy, Tout l’enfer mutiné s’armera contre luy:	Oui, siée lupiter n'y consent aujourd'hui, Tout l'enfer mutiné s'armera contrefois:
I’ouuriray les cachots des Royaumes funebres, Ie confondrayle iour auecques les tenebres, Ie ſbranleray la terre en ſes creus fondemens, Ie troubleray par tout l’ordre des élemens, Ie rompray de mes eaux les plus fortes barrieres Ie feray deborder mes fumantes riuieres, Et dans ce prompt cahos ie perdray les mortels, Qui de ce frere iniuſte, adorent les autels.	J'ouvrirai les cachots des Royaumes funèbres, Je confondraile jour avec les ténèbres, Je sbranleray la terre en ses creus fondements, Je troublerai par tout l'ordre des élemens, Je romprai de mes eaux les plus fortes barrières Je ferai déborder mes fumantes rivières, Et dans ce prompt cahos acheray les mortels, Qui de ce frère injuste, adorent les autels.
Il verra le ſuperbe en ce bruſlant naufrage, Que ie ſçay puiſſamment repouſſer vn outrage, Et qu’il eſt dangereux en des tranſports ſi prompts, De refuſer vn Dieu qui commande aux Demons.	Il verra le superbe en ce brûlant naufrage, Que deux sais puissamment repousser un outrage, Et qu'il est dangereux en des transports si prompts, De refuser un Dieu qui commande aux Demons.
Sii ay le pire ſort, ſi l’aueugle fortune, Me traitte encor plus malquelle n’a fait Neptune Puis qu’il peut dans les eaux contenter ſes deſirs, Ie veux parmy les feux nager dans les plaiſirs, Ie feray voir du moins, que lupiter commence A rompre iniuſtement noſtre auguſte alliance, Puis que ie tiens encor mon dépit ſuſpendu, Iuſqu’à ce que par toy l’ingrat m'ait reſpondu, Sii'arme conheuey,uou ieenepros taſmable, Luy, qui m’ayant promis ce qu'amour a d’aimaOſe bien s’en dedire, & ne s’en ſouuient pas, Va, mais reuient bien toſt.	Sii ai le pire sort, si l'aveugle fortune, Me traite encor plus malquelle n'a fait Neptune Puis qu'il peut dans les eaux contenter ses désirs, Je veux parmi les feux nager dans les plaisirs, Je ferai voir du moins, que lupiter commence A rompre injustement nôtre auguste alliance, Puis que ie tiens encor mon dépit suspendu, Jusqu'à ce que par toi l'ingrat m'ait répondu, Si rieurs conheuey,uou Livenepros tasmable, Lui, qui m'ayant promis ce qu'amour a d'aimaïse bien s'en dédire, et ne s'en souvent pas, Va, mais reuient bien tôt.
MERCVRE.	MERCURE.
I'y vole de ce pas.	J'y vole de ce pas.
PLVTO Cependant, compagnons, dans l’attente incertaine, Tenez pour me vanger vos fureurs en haleine, Que l’on ſoit touſiours preſt, & qu’au moindre ſienal, Ie trouue armé d’horreur tout le camp infernal:	PLUTO Cependant, compagnons, dans l'attente incertaine, Tenez pour me venger vos fureurs en haleine, Que l'on soit toujours prêt, et qu'au moindre sien, Je trouve armé d'horreur tout le camp infernal:
Tyſiphone allons voir dans mes affreux abiſmes Ce que nous employons au chaſtiment des crimes, Si la flame & le fer, ſi la peſte & la mort, Sont en eſtat de faire vn prompt & rude effort, Et ſi pour reparer vn affront ſi ſenſible, Je n’ay pas dans l’enfer tout ce quion voit d’horrible.	Tysiphone allons voir dans mes affreux abîmes Ce que nous employons au châtiment des crimes, Si la flamme et le fer, si la peste et la mort, Sont en état de faire un prompt et rude effort, Et si pour réparer un affront si sensible, Je n'ai pas dans l'enfer tout ce qui voit d'horrible.
B iij	 Bijà
SCENE PREMIERE IVPITER, VENVS, le Ciel paraiſt.	SCÈNE PREMIÈRE IVPITER, VENS, le Ciel paraît.
l 8 &98 PITER.	 8 et98 PITER.
V ſçais, belle Venus, par quel eſtroit accord Le deſtin confirma le bon-heur de mon ſort Et qu'entrant ſouuerain dans le plus beau des mondes, Ie promis vne Reine aux demeures profondes, Pluton me fait ſommer de m’en reſouuenir.	V Vît, belle Venus, par quel étroit accord Le destin confirma le bonheur de mon sort Et qu'entrant souverain dans le plus beau des mondes, Je promis hoMme aux demeures profondes, Pluton me fait sommer de m'en résouvenir.
I'ay donné ma parole, il me la faut tenir.	J'ai donné ma parole, il me la faut tenir.
Il eſt temps deſormais qu’en ce troſne de flame L’hymen faſſe eſclater les beautez d’vne femme, Il eſt temps que mon prere ente tripe ſeiour, Gouſte au moins les plaiſirs d’vn legitime amour.	Il est temps désormais qu'en ce trône de flamme L'hymen fasse éclater les beautés d'une femme, Il est temps que mon prégré ente tripe seiour, Goûte au moins les plaisirs d'un légitime amour.
Les perles, le corail, & le iaspe liquide, Font vntroſne royal, ou Neptune preſide, La cent rares beautés, que ce Dieu peut tenter, Au ſſi bien qu'Emphitrite ont ſoin de le flater.	Les perles, le corail, et le jaspe liquide, Font vntrosne royal, ou Neptune préside, La cent rares beautés, que ce Dieu peut tenter, Au ssi bien qu'Emphitrite ont soin de le flatter.
Pluton ſeul aux enfers regne ſans compagnie, Dans des cachos affreux d’où laioye eſt bannie, Ou n’entrerent iamais l’amour ny la clarté, Dont l’horreur eternelle eſt toute la beauté.	Pluton seul aux enfers règne sans compagnie, Dans des cachos affreux d'où laie est bannie, Ou n'entrèrent jamais l'amour ni la clarté, Dont l'horreur éternelle est toute la beauté.
Songeons à luy donnerces douceurs infinies, Qu'vn chaſte hymen départ à deux ames vnies:	Songeons à peine donnerces douceurs infinies, Qu'un chaste hymen départ à deux âmes unies:
Faiſons mentir ſa plainte à force de plaiſirs, Et ne luy laiſſons plus de ſuiets de deſirs,	Faisons mentir sa plainte à force de plaisirs, Et ne lui laissons plus de sujets de désirs,
TENVS.	TENUS.
Diſpoſes de mes ſoins, meſnagez mes careſſes, Et ſi dans ce rencontre il faut d’autres adreſſes, Serués vous de mon fils, il eſt de cet employ, Quoy qu’enfant, quoy que nud, plus capable que moy.	Disposes de mes soins, ménagez mes caresses, Et si dans ce rencontre il faut d'autres adresses, Servez vous de mon fils, il est de cet emploi, Quoi qu'enfant, quoi que nu, plus capable que moi.
PITER.	PITER.
Il y va de ta gloire ainſi que de la ſienne, Que ſon authorité puiſſamment ſe maintienne, Que la terre, & les cieux, les eaux, & les enfers, Sentent également le pouuoir de ſes fers.	Il y va de ta gloire ainsi que de la sienne, Que son autorité puissamment se maintienne, Que la terre, et les cieux, les eaux, et les enfers, Sent également le pouvoir de ses fers.
Va dont trouuer ton fils, choiſy luy dãs ſa trouſſe Vne fleche ſi belle, & ſi forte, & ſi douse, Anime le ſi bien, que de ſon coup fatal, Il en flamme le cœur du Monarque infernal.	Va dont trouver ton fils, choisi main dans sa trousse Vè che si belle, et si forte, et si douze, Anime le si bien, que de son coup fatal, Il en flamme le cœur du Monarque infernal.
Mais ce n'eſt pas aſſés que mon frere ſouſpire, Si tu n’eſtens plus loin t’on amoureux Empire, Si par des traits puiſſans tu ne fais auiourd’huy, Qu'vne rare beauté ſouſpire auſſi pour luy, C’eſt le point important d’vn ſi noble ſeruice.	Mais ce n'est pas assez que mon frère soupire, Si tu n'étends plus loin t'on amoureux Empire, Si par des traits puissants tu ne fais aujourd'hui, Qu'une rare beauté soupire aussi pour lui, C'est le point important d'être si noble service.
ENVS Lapparence, ô grand Dieu que mon ſoin reuſsiſſe, Et qu'vn lieu plein d’horreur ou n’entre point le IOHr.	ENUS Lapparence, ô grand Dieu que mon soin réussisse, Et qu'un lieu plein d'horreur ou n'entre point le JOr.
Donne à quelque beauté des ſentimens d’amour.	Donne à quelque beauté des sentiments d'amour.
PITER.	PITER.
Si ce Dieu des treſors n’a pas aſſés de charmes, Il faut, chere Venus, luy donner ld’autres armes.	Si ce Dieu des trésors n'a pas assez de charmes, Il faut, chère Venus, lui donner l'autres armes.
Tu cognois Proſerpine, & ſçais combien de Dieux, Ont reſſenty les traits qui partent de ſes yeux;	Tu connais Proserpine, et sais combien de Dieux, Ont ressenti les traits qui partent de ses yeux;
Tu ſçais que leur amour iointe à leur artifice Ne la ſurpriſt iamais par la morce du vice:	Tu sais que leur amour jointe à leur artifice Ne la surprît jamais par la moree du vice:
Tu ſçais qu’elle eſt vnique, & que c’eſt vn party, Aux grandeurs de Pluton dignement æſſorty.	Tu sais qu'elle est unique, et que c'est un parti, Aux grandeurs de Pluton dignement æssorty.
C'eſt la rare beaute qu'en faueur d’hymen̈ée, Les deſtins, des long-temps, aux enfers ont donnes Or tandis que ſa Mere exige des mortels,	C'est la rare beauté qu'en faveur d'hyménée, Les destins, des longtemps, aux enfers ont donnes Or tandis que sa Mère exige des mortels,
Les honneurs qu’on doit rendre à ſes fameux Autels, Et qu’elle là cachée en vn lieu de Sicile, Qu'elle crait pour ſa garde vn imprenable aſile Choiſi, pour l’eſblouyr, tes plus viues couleurs.	Les honneurs qu'on doit rendre à ses fameux Autels, Et qu'elle là cachée en un lieu de Sicile, Qu'elle crait pour sa garde un imprenable asile Choisi, pour l'éblouir, tes plus vives couleurs.
Va prés de ce Chaſteau, l’attirer ſur des fleurs, Et la tout à propos ſe trouuera mon frere, Quipar vn heureux rapt acheuera l’affaire.	Va près de ce Château, l'attirer sur des fleurs, Et la tout à propos se trouvera mon frère, Quipar un heureux rapt achèvera l'affaire.
Ceſt tout ce que ie veux, ſonge donc à partir, Et cependant Mercure ira l’en aduertir.	Cest tout ce que ie veux, songe donc à partir, Et cependant Mercure ira l'en avertir.
Mais parce qu’en ma cour tout le monde t’eſpie Qu'à t’on eſprit adroit rarement on ſe fie, Et que par vn mal-heur à ta beauté fatal, Tes plus ſages deſſeins s’expliquent touſiours mal.	Mais parce qu'en ma cour tout le monde t'épie Qu'à t'on esprit adroit rarement on se fie, Et que par un malheur à ta beauté fatal, Tes plus sages desseins s'expliquent toujours mal.
A preſent qu’il s’agit d’enleuer vne fille, Qui ſeule eſt le treſor d’vne auguſte famille, Pour jatre à tes diſcours ajoufier plus de foy, Prens la chaſte Diane, & Pallas auec toy, Feins d’aller ſans deſſein, & fais par t’on addreſſe, Que Pluton auiourd’huy poſſede vne Maiſtreſe.	À présent qu'il s'agit d'enlever une fille, Qui seule est le trésor d'une auguste famille, Pour jatre à tes discours ajoufier plus de foi, Prends la chaste Diane, et Pallas avec toi, Feins d'aller sans dessein, et fais par t'on adresse, Que Pluton aujourd'hui possède une Maîtrese.
ENVS.	ENUS.
Ie ſçay feindre à propos, & diſpoſer mes rets.	Je sais feindre à propos, et disposer mes rets.
PITER.	PITER.
N'attendons pas ſur tout le retour de Cerés.	N'attendons pas sur tout le retour de Cerés.
Quand le coup ſera fait, qu'elle crie, il n’importe, On ne reuoque pas mes arreſts de la ſorte;	Quand le coup sera fait, qu'elle crie, il n'importe, On ne revoque pas mes arrêts de la sorte;
Outre que mon pouuoir eſt aſſés abſolu, Les Parques & Themis l’ont ainſi reſolu.	Outre que mon pouvoir est assez absolu, Les Parques et Themis l'ont ainsi résolu.
Concluons donc, Venus, cette noble auenturé, Deſpeſchons à Pluton le vigilant Mercure, mammprenes tom uenn gurue en feruant ce grand Dieu, De conuenirenſemble & du temps & du lieü.	Concluons donc, Venus, cette noble aventuré, Despêchons à Pluton le vigilant Mercure, mamprenes tom enn gurue en servant ce grand Dieu, De convenirencemble et du temps et du lieü.
SCENE DEVSIESME.	SCÈNE DEUSIESME.
PLVTON, TYSIPHONE, RADAMANTE.	PLUTON, TYSIPHONE, RADAMANTE.
PLVTON.	PLUTON.
L n’en faut plus douter, vn procedé ſi lent, T'Arendu contre nom rupuermnjoient:	 L'en faut plus douter, un procédé si lent, T'Arendu contre nom rupuermnjaient:
Ce long retardement de ſon traiſtre Mercure, Eſt d’vn mauuais ſuccés vn infallible augure, Vous voyés maintenant comme on s’y doit fier, Et comme il eſt honteux à des Dieux de prier.	Ce long retardement de son traître Mercure, Est d'un mauvais succès un infallible augure, Vous voyez maintenant comme on s'y doit fier, Et comme il est honteux à des Dieux de prier.
Ah!	Ah!
ie ne deuois pas d’vne laſche priere, Preſſerce frere ingrat dont l’humeur eſt ſi fiere.	Ce ne devais pas d'une lâche prière, Presserce frère ingrat dont l'humeur est si fière.
Et publier par tout, me plaignant de ſa foy, Que les fils de la terre ont plus de cœur que moy.	Et publier par tout, me plaignant de sa foi, Que les fils de la terre ont plus de cœur que moi.
Quelqu'vn de mes ſuiets deuois auoir l'audace, De blaſmerhautement vne action ſi baſſe:	Quelqu'un de mes sujets devais avoir l'audace, De blâmerhautement une action si basse:
Monreſpect, Radamante, à trop mal ret Et vous ne deuiés pas me conſeiller ainſi.	Monrespect, Radamante, à trop mal ret Et vous ne deviez pas me conseiller ainsi.
D Ceſpuncocoup sepinogoneneuu, e ſi delles, Qu’il faut aller au ciel terminer nos querelles, Pourſuiuons viuement ce combat entrepris, Et ne ſuportons pas plus long-temps vn meſpris, Occupons noblement le ciſeau de la parque.	 Cespuncocoup seinogoneneu, e si délles, Qu'il faut aller au ciel terminer nos querelles, Poursuivons vivement ce combat entrepris, Et ne supportons pas plus longtemps un mépris, Occupons noblement le ciseau de la parque.
IOLIRCME.	JOLICME.
On n’attend que voſtre ordre inuincible Monarque.	On n'attend que votre ordre invincible Monarque.
RADAMANTE.	RADAMANTE.
Souuent le repentir ſuit les conſeils trop prompts,	Souvent le repentir suit les conseils trop prompts,
TYSIPHONE.	TYSIPHONE.
Peut on trop toſt punir de ſemblables affronts, Lors qu'on eſt'offence, l'on doit eſtre ſeuere,	Peut on trop tôt punir de semblables affronts, Lors qu'on est'offense, l'on doit être sévère,
RADAMANTE.	RADAMANTE.
Iouſiours te vonconſeit ouur meun que la colere.	Iousiours te vonconseit ouvr meun que la colère.
Qui conſulte auec crainte entreprend ſeurement.	Qui consulte avec crainte entreprend sûrement.
SIPHONE.	SIPHONE.
Q ui conſulte auec crainte entreprend foiblement, Et fait que ſes Soldats aux plus chaudes alarmes, Auec moins de valeur mettent la main aux armes.	 Quui consulte toujours crainte entreprend faiblement, Et fait que ses Soldats aux plus chaudes alarmes, Avec moins de valeur mettent la main aux armes.
I’ay cent fois inſpiré d’aſſés nobles efforts, I’ay faït cent fois couurir les campagnes de morts, Mais ie ſçay qu’aux combats les bons ſuccés dependent, Du conſeil violent des grands cœurs qui commandent, Non pas de ces poltrons, ces ennemis de Mars, Que la peur fait palir dans les moindres haſars.	J'ai cent fois inspiré d'assez nobles efforts, J'ai faït cent fois couvrir les campagnes de morts, Mais Seigneur sais qu'aux combats les bons succès dépendent, Du conseil violent des grands cœurs qui commandent, Non pas de ces poltrons, ces ennemis de Mars, Que la peur fait pâlir dans les moindres hasars.
Vn grand Dieu doit touſiours, lors que quelqu'vn l’offenſe, Autrement qu’vn mortel en tirer la vengeance, Et ſa iuſte colere où le pouuoir eſtioint, Eſt vn foudre vengeur que l’on n’euite point.	Un grand Dieu doit toujours, lors que quelqu'un l'offense, Autrement qu'un mortel en tirer la vengeance, Et sa juste colère où le pouvoir étioint, Est un foudre vengeur que l'on n'évite point.
Ce laſche Ambaſſadeur à manqué de parole, Il ne faut point de temps à Mercure qui vole, Et depuis ce matin il deuroit eſtre icy.	Ce lâche Ambassadeur à manqué de parole, Il ne faut point de temps à Mercure qui vole, Et depuis ce matin il devrait être ici.
Pourquoy tant differer?	Pourquoi tant différer?
RADAMANTE.	RADAMANTE.
Puiſſant Dieu le voicy, Eetcon uuon qu'amour iuyprepte encor ſes aiſles, Donm cuns esonner prurſeo ſo vo ugreuotes nouuelles.	Puissant Dieu le voici, Éetcon uon qu'amour juiprepte encor ses ailes, Donm Duns onner prurseo so vo ugreuotes nouvelles.
SENE TROISIESME.	SENE -TROISIÈME.
PLVTON,TYSIPHONE, RADAMANTE, MERCVRE.	PLUTON,TYSIPHONE, RADAMANTE, MERCURE.
PLVTON.	PLUTON.
E Monarque du ciels’eſt-il enfin ſouſmis A s’acquiter vers moy de ce qu’il ma promis?	E Monarque du ciels'est-il enfin soumis A s'acquititer vers moi de ce qu'il ma promis?
MERCVRE.	MERCURE.
Ie n’ayrien que d’aimable & degrand à vous dire,	Je n'airien que d'aimable et degrand à vous dire,
PLVTON.	PLUTON.
I'n moment fait languir vn Amant qui deſire,	Yn moment fait languir un Amant qui désire,
C iij	Ç Cijà
MERCVRE.	MERCURE.
Immortel ſouuerain de l’Empire des morts, A qui ſont en partage eſcheus tant de treſors, La fille de Cerés, la belle Proſerpine, Eſt celle que le ciel auiourd’huy vous deſtine, Et Iupiter m'enuoye en cet obſcur ſeiour, Vous offrir de ſa part ce miracle d’amour.	Immortel souverain de l'Empire des morts, À qui sont en partage échus tant de trésors, La fille de Cerrez, la belle Proserpine, Est celle que le ciel aujourd'hui vous destine, Et Jupiter m'envoie en cet obscur seiour, Vous offrir de sa part ce miracle d'amour.
On ne voit point deſclat que le ſien n’esblouiſſe, Mais pour la poſſeder, il faut qu'on la rauiſſe, C’eſt à vous qu’apartient cet effort glorieux, Deſia pour vous ayder Venus quittant les cieux Auec vn ordre expres eſt allée en Sicile, L’attirer ſurles fleurs dont ſe pare cette Iſle:	On ne voit point déclat que le sien n'éblouisse, Mais pour la posséder, il faut qu'on la ravisse, C'est à vous qu'appartient cet effort glorieux, Désia pour vous aider Venus quittant les cieux Avec un ordre exprès est allée en Sicile, L'attirer surles fleurs dont se pare cette Isle:
Ianah que promptementi tray par l'vniuers, Dire aux Diuinités des terres & des mers, Qu'on ne découure point le rapt de Proſerpine, Si l’on ne veut déplaire à la grandeur diuine.	Janah que promptementi trai par l'Hivers, Dire aux Diuinités des terres et des mers, Qu'on ne découvre point le rapt de Proserpine, Si l'on ne veut déplaire à la grandeur divine.
Ie vous laiſſe ô grand Dieu penſer à ce beau choix.	Je vous laisse ô grand Dieu penser à ce beau choix.
PLVTON.	PLUTON.
La joye & la douleur m’ont ſurpris à la fois:	La joie et la douleur m'ont surpris à la fois:
Elle eſt ſage, elle eſt belle, & d’auguſte naiſſance, Ie ne refuſe poini ſa beiefit atttance, Et Iupiter m'oblige en m'offrant ce party, Mon cœur ſecrettement à deſia conſenty, Mais ſi ie vous en croy, mes conſeillers fidelles, Eſt-ce là noblement terminer nos querelles?	Elle est sage, elle est belle, et d'auguste naissance, Je ne refuse poin sa beiefit attance, Et Jupiter m'oblige en m'offrant ce parti, Mon cœur secrètement à déjà consenti, Mais si ie vous en crois, mes conseillers fidèles, Est-ce là noblement terminer nos querelles?
On m’offre vne beauté qui peut tout captiuer, Mais me la donne tons’il la faut enleuer?	On m'offre une beauté qui peut tout captiver, Mais me la donne tons'il la faut enlever?
Apres ma longue attente, vn hymen legitime, Se doit-il accomplir par la faueur d’vn crime?	Après ma longue attente, un hymen légitime, Se doit-il accomplir par la faveur d'un crime?
Puis-ie de ce treſor poſſeder la douceur, Si d’iniuſtes moyens m’en rendent poſſeſſeur?	Puis-je de ce trésor posséder la douceur, Si d'injustes moyens m'en rendent possesseur?
Qui fait ce doux hymen que l’accord de deux ames, Qui me peut conſeiller ces criminelles flames?	Qui fait ce doux hymen que l'accord de deux âmes, Qui me peut conseiller ces criminelles flammes?
Y SIPHONE.	Y SIPHONE.
Que vous peuton icy iuſtement reprocher, Quoy?	Que vous peuton ici justement reprocher, Quoi?
ne ſcait on pas bien qu'vn Dieu ne peut Feasses 9.	ne sait on pas bien qu'Hommes Dieu ne peut Féasses 9.
Baniſſés les froideurs qu'vn vain respect vous donne, Iupiter y conſent, le deſtin vous l’ordonne, E quand il n’auroient pas ce iuſte mouuement, L'amour eſt voſtre excuſe en cetenleuement.	Bannissez les froideurs qu'un vain respect vous donne, Jupiter y consent, le destin vous l'ordonne, E quand il n'auraient pas ce juste mouvement, L'amour est votre excuse en cetenlèvement.
P LVTON, Eſtant ce que ie ſuis, & l’affaire eſtant telle, La douceur ſieroit mieux,	P LUTON, Étant ce que je suis, et l'affaire étant telle, La douceur siérait mieux,
RADAMANTE.	RADAMANTE.
Vne fille ſibelle, Pour qui les Dieux du ciel ſouſpirent vainement, Ne viendra point icy faire choix d’vn Amant:	Une fille sibelle, Pour qui les Dieux du ciel soupirent vainement, Ne viendra point ici faire choix d'H Amant:
Et le ſoin de Cerés la rend ſi peu viſible, Que deſirer la voir c’eſt tenter l’impoſſible, Si vous n’executés ce complot amoureux:	Et le soin de Cerrez la rend si peu visible, Que désirer la voir c'est tenter l'impossible, Si vous n'exécutez ce complot amoureux:
Il ne vous ſuffit pas d’eſtre né genereux, Il ne vous ſuffit pas d’eſtre grand, d’eſtre ſage, D'auoir auec l’enferles treſors en partage, Et pour freres Neptune & le Dieu tout puiſſant;	Il ne vous suffit pas d'être né généreux, Il ne vous suffit pas d'être grand, d'être sage, D'avoir apprendre l'enferles trésors en partage, Et pour frères Neptune et le Dieu tout puissant;
Vous ne l’obtiendrez pas, ſi Cerés n’yconſent.	Vous ne l'obtiendrez pas, si Cerrez n'yconsent.
Mais pouués vous penſer que iamais cette mere, Tenant comme elle fait Proſerpine ſi chere, Pour quoy que ſe puiſſe eſtre, eſloigné de ſes yeux, Ce qu'elle à de plus rare & de plus precieux.	Mais pensez vous penser que jamais cette mère, Tenant comme elle fait Proserpine si chère, Pour quoi que se puisse être, éloigné de ses yeux, Ce qu'elle à de plus rare et de plus précieux.
Enteues ta, grand Dieu, vous eſtes digne d’elle, Voſtre ſceptre eſt plus beau, que la fille n’eſt belle, Les douceurs de l’hymen la pourront r’aſſeurer, Et la choſe eſtant faite, il faudra l’endurer.	Enteues ta, grand Dieu, vous êtes digne d'elle, Votre sceptre est plus beau, que la fille n'est belle, Les douceurs de l'hymen la pourront rassurer, Et la chose étant faite, il faudra l'endurer.
Donnés ce prompt remede aux douleurs de voſtre ame.	Donnez ce prompt remède aux douleurs de votre âme.
LVTON.	LUTON.
Sus eſprits tenés preſt mon chariot de flame,	Sus esprits tenez prêt mon chariot de flamme,
Que	Que
Que l’on m’aille querir aux bords de Phlegeton Alaſtor, & Nictée, Orphnee, auec Ethon:	Que l'on m'aille quérir aux bords de Phlégeton Alâtor, et Nictée, Orphée, avec Éton:
Que Megere en partant les laue & les abreuue, Dans les ondes de feu qui roulent dans ce fleuue, Et qu’ils ſoient à ce char promptement attelés, Cet affaire me preſſe, allés viſte, voles.	Que Megère en partant les laue et les abreuve, Dans les ondes de feu qui roulent dans ce fleuve, Et qu'ils soient à ce char promptement attelés, Cet affaire me presse, assez vite, voles.
Mercure cependant va retrouuer mon frere, Dy luy que ſes bontés eſteignent ma colere, Me permettant deſteindre en mon obſcur ſeiour, Les bruſlantes ardeurs du beau feu de l’amour.	Mercure cependant va retrouver mon frère, Dy lui que ses bontés éteignent ma colère, Me permettant déteindre en mon obscur seiour, Les brûlantes ardeurs du beau feu de l'amour.
Jure luy de ma part vne paix eternelle, Si i'enleue auiourd’hny cette fille immortelle, Dont la rare beauté par d’inuiſibles traits, A deſia dans mon ame imprimé ſes attraits.	Jure Roi de ma part y paix éternelle, Si j'enlève aujourd'hanni cette fille immortelle, Dont la rare beauté par d'invisibles traits, A déjà dans mon âme imprimé ses attraits.
Mais non, reuiens, Mercure, en mon Palais m'aprendre, Ou Venus en cette Iſle à promis de m’attendre, Pour faire heureuſement nos complots reüſſir, On ne peut trop long-temps, ny trop bien s’eſclaircir, Ie ternirois l’eſclat de ma grandeur ſupréme, De manquer ce beau coup, l’entreprenant mo meſme, Et nous ne perdrons point en friuoles propos, Cſt inſtant bien-heureux d’oùdépend monrepos.	Mais non, reviens, Mercure, en mon Palais m'apprendre, Ou Venus en cette Île à promis de m'attendre, Pour faire heureusement nos complots reüssir, On ne peut trop longtemps, Seigneur trop bien s'éclaircir, Je ternirais l'éclat de ma grand suprême, De manquer ce beau coup, l'entreprenant mo même, Et nous ne perdrons point en frivoles propos, Cst instant bienheureux d'oùdépend monrepos.
	
LIUTE III	LIUTE III
SCENE PREMIERE.	SCÈNE PREMIÈRE.
VENVS, PROSERPINE, PALLAS,DIANE.	VENUS, PROSERPINE, PALLAS,DIANE.
VENVS.	VENUS.
Ve ie te treuue heureuſe en vn lieu ſi fertile, Et que le ciel eſt l’aid au regard de cette Iſle.	Ve beau te trouve heureuse en un lieu si fertile, Et que le ciel est l'aid au regard de cette Île.
Aimable Proſerpine vn ſi rare ſeiour, Ià d’ù faire quitter noſtre celeſte Cour;	Aimable Proserpine un si rare séjour, Jà d'ù faire quitter notre céleste Cour;
Et l’on deuoit loger au plus beau lieu du monde, Celle dont la beauté n’euſt iamais de ſeconde.	Et l'on devait loger au plus beau lieu du monde, Celle dont la beauté n'eût jamais de seconde.
PROSERPINE.	PROSERPINE.
Vous me raillés touſiours, me donnant des apas, Que mou teint, mon viſage, & mon eſprit n'ont pas, Mais du moins il eſt vray quecette Iſle ſe pare, De tout ce que la terre euſt iamais de plus rare, Q u'on Trimiempseternet y nn parmy des fleurs, Dont leſmail eſclatant ne ſe voit point ailleurs.	Vous me raillez toujours, me donnant des appas, Que mou teint, mon visage, et mon esprit n'ont pas, Mais du moins il est vrai quecette Isle se pare, De tout ce que la terre eût jamais de plus rare, Q on Trimiempseternet y parmi des fleurs, Dont lesmail éclatant ne se voit point ailleurs.
VENVS.	VENUS.
Siton Iſle eſt feconde en de ſi belles choſes, Si dans ſon large ſein tant de fleurs ſont eſcloſes, Si ſa riche abondance à vaincu les deſirs, N'en don iu pas gouſter tes plus parfaits plaiſirs, Sans paſſer tes beaux iours dans cette humeur auſtere, Captiue en vne tour:	Siton Isle est féconde en de si belles choses, Si dans son large sein tant de fleurs sont écloses, Si sa riche abondance à vaincu les désirs, N'en don ju pas goûter tes plus parfaits plaisirs, Sans passer tes beaux jours dans cette humeur austère, Captère en une tour:
ANOJERIEEE.	ANOJERIEE.
I’obeis à ma mere;	J'obéis à ma mère;
Par ſoncommandement habitant ce chaſteau, Fuſt il remply d’horeur, ie le trouuerois beau:	Par soncommandement habitant ce château, Fût il rempli d'horeur, avait le trouverais beau:
Dans cette obeïſſance ainſi tout m'eſt aimable.	Dans cette obéissance ainsi tout m'est aimable.
ENVS.	ENUS.
De toutes les vertus elle eſt la plus loüable;	De toutes les vertus elle est la plus louable;
L’on ne peut trop donner de reſpect & d’amour, A ceux par qui le ciel nous donne part au iour.	L'on ne peut trop donner de respect et d'amour, À ceux par qui le ciel nous donne part au jour.
Mais crois tu que Cerés veuille icy te deffendre, Les honneſtes plaiſirs qu’vne fille y peut prendre?	Mais crois -tu que Cerrez veuille ici te défendre, Les honnêtes plaisirs qu'une fille y peut prendre?
Qu'vne ſi tendre mere ayt eu la cruauté, De ſouhaiter de toy ce qui perd la beauté?	Qu'une si tendre mère ait eu la cruauté, De souhaiter de toi ce qui perd la beauté?
Pers plus toſt ce chagrin où t’on ame s’emporte, Tu dois, prudente filie, obeyr de la ſorte;	Pers plu tôt ce chagrin où t'on âme s'emporte, Tu dois, prudente filie, obéir de la sorte;
Banny de tes beaux yeux ces petites rougeurs, Dont la chaleur ne vient que de l’eau de tes pleurs.	Banni de tes beaux yeux ces petites rougeurs, Dont la chaleur ne vient que de l'eau de tes pleurs.
PROSERPINE.	PROSERPINE.
Il eſt vray que tantoſt reſuant ſur mon ouurage, I'ay ſenty dans mon cœur vn funeſte preſage, Mais ie ne puis moy-meſme en ſçauoir le ſujet:	Il est vrai que tantôt rêvant sur mon ouvrage, J'ai senti dans mon cœur un este présage, Mais enfin ne puis moi-même en savoir le sujet:
