Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
MUTIAN.	MUTIAN.
J’admire pour un fils l’ardeur qui vous anime:	J'admire pour un fils l'ardeur qui vous anime:
Mais ſongez-vous aſſez juſques où va ce crime, Et que tout l’avenir condamnant ſa fureur Ne l’examinera que pour en prendre horreur?	Mais songez-vous assez jusques où va ce crime, Et que tout l'avenir condamnant sa fureur Ne l'examinera que pour en prendre horreur?
STILICON.	STILICON.
Va, va, ſi l’avenir ne luy fait point de grace, Il en loüera du moins Pinébranlable audace, Et tendra ce qu’il doit aux ſurprenans tranſports, Qui me font voir le crime, & braver les remords Peins-toy mon entrepriſe encor plus effroyable, Une grande ame ſeule en peut eſtre capable;	Va, va, si l'avenir ne lui fait point de grâce, Il en louera du moins Pinébranlable audace, Et tendra ce qu'il doit aux surprenants transports, Qui me font voir le crime, et braver les remords Peins-toi mon entreprise encor plus effroyable, Une grande âme seule en peut être capable;
Plus l’attentât eſt noir, plus ſon indignité Veut du cœur le plus haut l’entiere fermeté, Des plus ſacrez devoirs eſtouffer le murmure C’eſt à les paſſions aſſervir la Nature;	Plus l'attentât est noir, plus son indignité Veut du cœur le plus haut l'entière fermeté, Des plus sacrés devoirs étouffer le murmure C'est à les passions asservir la Nature;
Cet effort ne part point d’un courage abatu, Et pour faire un grand crime il faut de la vertu.	Cet effort ne part point d'un courage abattu, Et pour faire un grand crime il faut de la vertu.
MUTIAN.	MUTIAN.
Ce genre de vertu touche un peu trop voſtre ame.	Ce genre de vertu touche un peu trop Dieux âme.
ILICON.	ILICON.
Enfin tu veux en vain que j’en craigne le blame, La choſe eſt reſoluë, & tout preſt d’éclater, Un lâche repentir ne ſçauroit m’arreſter.	Enfin tu veux en vain que j'en craigne le blâme, La chose est résolue, et tout prêt d'éclater, Un lâche repentir ne saurait m'arrêter.
Il faut ſans balancer que dés cette nuit meſmę La mort d’Honorius couronne un fils que j’aime, Rien ne peut mettre obſtacle au deſſein que j’en fais, Ie puis tout ſur l’armée, on me craint au Pulais, Et j’ay dans l’entrepriſe intereſſé ſans peine (ne, Tout ceux dont le pouvoir l’euſt pû rendre incertaiAinſi pour voir l'effet que je m’en ſuis promis, En ſecret chez Zenon aſſemble nos amis.	Il faut sans balancer que dès cette nuit mesmę Ne mort d'Honorius couronne un fils que j'aime, Rien ne peut mettre obstacle au dessein que j'en fais, Je puis tout sur l'armée, on me craint au Pulais, Et j'ai dans l'entreprise interessé sans peine (ne, Tout ceux dont le pouvoir l'eût pu rendre incertaiAinsi pour voir l'effet que je m'en suis promis, En secret chez Zenon assemble nos amis.
Zenon peut tout pour nous & brûle d’entreprendrs, Dans une heure au plus tard j’aurai ſoin de m’y rẽdre, Et lors, pour le ſuccez d’un ſi hardy deſſein, Nous choiſirons enſemble & le temps & la main.	Zenon peut tout pour nous et brûle d'entreprendrs, Dans une heure au plus tard j'aurai soin de m'y rendre, Et lors, pour le succès d'un si hardi dessein, Nous choisirons ensemble et le temps et la main.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PLACIDIE, LUCILE.	PLACIDIE, LUCILE.
P L.	P L.
AC IDIE.	ÀC IDIE.
Uoy, pour un Trône offert par l’hymen qu’on propoſe Aux ſoins d’Eucherius je devrois quelque choſe, Et luy donnerois droit de pouvoir ſe flater, D’avoir preſté la main à m’y faire monter?	Quoi, pour un Trône offert par l'hymen qu'on propose Aux soins d'Eucherius je devrais quelque chose, Et lui donnerais droit de pouvoir se flatter, D'avoir prêté la main à m'y faire monter?
Non, non, quand ſon conſeil m’aſſeure une Couronne, Je me dois le refus dont la fierté t’étonne, Et tu pretens en vain que je puiſſe aujourd’huy Faire paroiſtre une ame auſſi baſſe que luy.	Non, non, quand son conseil m'assure une Couronne, Je me dois le refus dont la fierté t'étonne, Et tu prétends en vain que je puisse aujourd'hui Faire paraître une âme aussi basse que tu.
LUCILE.	LUCILE.
Quelle baſſeſſe d’ame éclate dans ce zéle Dont l’ardeur toute pure au Trône vous appelle?	Quelle bassesse d'âme éclate dans ce zèle Dont l'ardeur toute pure au Trône vous appelle?
Sans trop d’emportemẽt, qu’y pouvez-vous blâmer?	Sans trop d'emportement, qu'y pouvez-vous blâmer?
LACIDIE.	LACIDIE.
La lâcheté d’un cœur qui feignit de m’aimer, Et qui du plus beau feu s’impoſant la contrainte, En affecta les ſoins ſans en ſentir l’atteinte.	La lâcheté d'un cœur qui feignit de m'aimer, Et qui du plus beau feu s'imposant la contrainte, En affecta les soins sans en sentir l'atteinte.
LUCILE.	LUCILE.
Soupçonner dans le ſien des ſentimens ſi bas, C’eſt en prendre pour luy qu’il ne merite pas, Si-toſt qu’à vos ſouhaits on offre un Diadême Il fait gloire pour vous de ſe trahir ſoy-meſme, D’un hymen qui le perd il va prefler l’adveu, Et dans ce grand effort vous doutez de ſon feu?	Soupçonner dans le sien des sentiments si bas, C'est en prendre pour un qu'il ne mérite pas, Si-tôt qu'à vos souhaits on offre un Diadme Il fait gloire pour vous de se trahir soi-même, D'un hymen qui le perd il va préfler l'aveu, Et dans ce grand effort vous doutez de son feu?
P LACIDIE.	 PACIDIE.
Par un éclat trompeur cet effor:	Par un éclat trompeur cet essor:
t’a charmée, On doit tout immoler à la perſonne aimée, Mais d’un indigne ſort le coup le plus fatal Ne la fait point ceder à l’eſpoir d’un Rival;	t'a charmée, On doit tout immoler à la personne aimée, Mais d'un indigne sort le coup le plus fatal Ne la fait point céder à l'espoir d'un Rival;
Quand il faet que l’Amour juſques-là ſe trahiſſe, La revolte plaiſt mieux qu’un ſi grand ſacrifice, Et quelque âpre revers dont l’on ſoit combatu, C’eſt aimer lâchement qu’avoir tant de vertu.	Quand il faet que l'Amour jusqu-là se trahisse, La révolte plaît mieux qu'un si grand sacrifice, Et quelque âpre revers dont l'on soit combattu, C'est aimer lâchement qu'avoir tant de vertu.
LUCILE.	LUCILE.
Et bien, ſa lâcheté va juſques à l'extrême.	Et bien, sa lâcheté va jusques à l'extrême.
Si vous la haïſſez, qu’importe qu’il vous aime, Et par quel intereſt vous pouvez-vous fâcher Qu’il affecte un amour qui ne vous peut toucher?	Si vous la haïssez, qu'importe qu'il vous aime, Et par quel intérêt vous pouvez-vous fâcher Qu'il affecte un amour qui ne vous peut toucher?
LACID IE.	LACID IE.
Quel intereſt, halas!	Quel intérêt, halas!
LUCILE.	LUCILE.
Voſtre cœur en ſoûpire?	Votre cœur en soupire?
PLACIDIE.	PLACIDIE.
Ce ſoûpir t’en dit plus que je n’en voulois dire, Tu viens de trouver l'art de me le dérober, Cache-toy la foibleſſe où tu me vois tomber, Lucile, & s’il ſe peut, te déguiſant ma peine, Prens un effet d’amour pour des marques de haine.	Ce soupir t'en dit plus que je n'en voulais dire, Tu viens de trouver l'art de me le dérober, Cache-toi la faiblesse où tu me vois tomber, Lucile, et s'il se peut, te déguisant ma peine, Prends un effet d'amour pour des marques de haine.
LUCILE.	LUCILE.
Vous, de l’amour, Madame?	Vous, de l'amour, Madame?
PLACIDIE.	PLACIDIE.
Eſtonne, eſtonne-toy, De ce qu’il faut enfin confier à ta foy;	Étonne, étonne-toi, De ce qu'il faut enfin confier à ta foi;
’aime, & ce feu ſecret qui contraint ma franchiſe L’euſt combatuë en vain s’il ne l’euſt pas ſurpriſc, Il l’a pû d’autant mieux que contre ſon ardeur Mon orgueil me ſembla répondre de mon cœur, Et me fit negliger le ſoin de me défendre D’eſtimer un Sujet indigne d’y pretendre.	’aime, et ce feu secret qui contraint ma franchise L'eût combattue en vain s'il ne l'eût pas surpris, Il l'a pu d'autant mieux que contre son ardeur Mon orgueil me sembla répondre de mon cœur, Et me fit négliger le soin de me défendre D'estimer un Sujet indigne d'y prétendre.
Ainſi d’Eucherius le zéle officieux Cent fois ſur ſa vertu ſçeut arreſter mes yeux, 'en connus tout le prix, j’en goûtay tous les charmes, Je m’en ſentis émeuë, & n’en pris point d’alarmes, De l’éclat de mon ſang la jalouſe fierté Au milieu du peril faiſoit ma ſeureté;	Ainsi d'Eucherius le zèle officieux Cent fois sur sa vertu sut arrêter mes yeux, 'en connus tout le prix, j'en goûtai tous les charmes, Je m'en sentis émue, et n'en pris point d'alarmes, De l'éclat de mon sang la jalouse fierté Au milieu du péril faisait ma sûreté;
Sur un appuy ſi faux mon ame trop credule D’un chagrin inquiet rejetta le ſcrupule, Et ne voulut pas voir que ſous ce piege adroit L’eſtime bien ſouvent va plus loin qu’on ne croit;	Sur un appui si faux mon âme trop crédule D'un chagrin inquiet rejetta le scrupule, Et ne voulut pas voir que sous ce piège adroit L'estime bien souvent va plus loin qu'on ne croit;
B 2 12e 'en fis l’épreuve, helas!	 2 12e 'en fis l'épreuve, hélas!
quand je me crûs capable De rendre cette eſtime un peu moins favorable, Vers un panchant ſi doux tout mon cœur emporté Trouva dans ſa foibleſſe une neceſſité, D’un feu qu’il devoit craindre il eut beau voir l’amorce, Il voulut le combatre, & n’en eu pas la force, Et vit bien que l’Amour qu’il tâchoit d’étouffer, Avant qu’il ſe declare, eſt ſeur de triompher.	quand je me crus capable De rendre cette estime un peu moins favorable, Vers un penchant si doux tout mon cœur emporté Trouva dans sa faiblesse une nécessité, D'un feu qu'il devait craindre il eut beau voir l'amorce, Il voulut le combattre, et n'en eu pas la force, Et vit bien que l'Amour qu'il tâchait d'étouffer, Avant qu'il se déclare, est sûr de triompher.
LUCILE.	LUCILE.
Mais ſi d’Eucherius l’hommage a ſçeu vous plaire, Vous devez à ſes vœux vous rendre moins contraire;	Mais si d'Eucherius l'hommage a su vous plaire, Vous devez à ses vœux vous rendre moins contraire;
Pourquoy fuïr un hymen, qui les peut couronner?	Pourquoi fuir un hymen, qui les peut couronner?
PLACIDIE.	PLACIDIE.
Tu me connois, Lucile, & peux t’en étonner, Ie t’en ay fait l’adveu, j’aime, & pour mon ſupplice De l’erreur de mes ſens mon cœur s’eſt fait complice;	Tu me connais, Lucile, et peux t'en étonner, Je t'en ai fait l'aveu, j'aime, et pour mon supplice De l'erreur de mes sens mon cœur s'est fait complice;
Et na pu remter a ces charmes flateurs Qu’étalent à l’envy de ſi doux impoſteurs;	Et na pu remter à ces charmes flatteurs Qu'étalent à l'envi de si doux imposteurs;
Mais celles de mon rang, de leurs deſirs maiſtreſſes, Sçavent purger l’Amour de ſes moindres foibleſſes, Et dérober ſa flame aux douceurs de l’eſpoir Quand il trahit leur gloire, ou bleſſe leur devoir.	Mais celles de mon rang, de leurs désirs maîtresses, Savent purger l'Amour de ses moindres faiblesses, Et dérober sa flamme aux douceurs de l'espoir Quand il trahit leur gloire, ou blesse leur devoir.
Eucherius me plaiſt;	Eucherius me plaît;
mais ce que je ſuis née Dans un ſi vaſte orgueil pouſſe ma deſtinée, Qu’un Trône ſeul offert à mes brûlants deſirs Me peut faire ſans honte advouer ſes ſoûpirs.	mais ce que je suis née Dans un si vaste orgueil pousse ma destinée, Qu'un Trône seul offert à mes brûlants désirs Me peut faire sans honte adver ses soupirs.
Mais que dis-je?	Mais que dis-je?
ſur luy ſi j’obtins quelque empire, I'ar ſon lâche conſeil il cherche à s’en dédire, Et j’ay crû bien en vain qu’il avoit merité Les dédains où pour luy j’excitois ma fierté.	sur Elle si j'obtins quelque empire, J'ar son lâche conseil il cherche à s'en dédire, Et j'ai cru bien en vain qu'il avait mérité Les dédains où pour lui j'excitais ma fierté.
Ouy, s’il t’en faut montrer l’aveuglement extrême, Je ne l’ay dédaigné que parce que je l’aime, Et qu’un pareil refus balançant ſon deſtin, Luy pouvoit à l’Empire ouvrir quelque chemin.	Oui, s'il t'en faut montrer l'aveuglement extrême, Je ne l'ai dédaigné que parce que je l'aime, Et qu'un pareil refus balançant son destin, Lui pouvait à l'Empire ouvrir quelque chemin.
L’Empereur Gratian pour une moindre cauſe.	L'Empereur Gratian pour une moindre cause.
Daigna le partager avecque Theodoſe, Et ce fameux exemple euſt peu ſeul aujourd’huy Forcer Honorius à faire autant pour luy.	Daigna le partager avec Théodose, Et ce fameux exemple eût pu seul aujourd'hui Forcer Honorius à faire autant pour lui.
Les ſoins qu'eut Stilicon d’élever ſon enfance Meritoyent pour ſon fils cette reconnoiſſance, Et ce n’eſt qu’à ce prix qu’oſant me declarer J’euſſe promis l’adveu qu’on luy fait eſperer;	Les soins qu'eut Stilicomon d'élever son enfance Méritaient pour son fils cette reconnaissance, Et ce n'est qu'à ce prix qu'osant me déclarer J'eusse promis l'adveu promis lui fait espérer;
Mais quand pour Alaric j’apprens qu’il s’intereſſe, Mon cœur ne ſçauroit trop condamner ma baſſeſſe, Et mon orgueil honteux qu’on ait pû l’abuſer.	Mais quand pour Alaric j'apprends qu'il s'intéresse, Mon cœur ne saurait trop condamner ma bassesse, Et mon orgueil honteux qu'on ait pu l'abuser.
Eſcoutez-le, Madame, avant que l’accuſer;	Écoutez-le, Madame, avant que l'accuser;
Le voicy qui paroiſt.	Le voici qui paraît.
SCENE II.	SCÈNE II.
PLACIDIE, EUCHERIUS, LUCILE.	PLACIDIE, EUCHÉRIUS, LUCILE.
PLACIDIE.	PLACIDIE.
I'Apprens avec ſurprise Que l’eſpoir d’Alariepar vous ſe ſavoriſe;	J'Apprends avec surprise Que l'espoir d'Alariepar vous se savorise;
Mais de mes ſentimens c’eſt aſſez mal juger D’avoir crû que ce zele euſt dequoy m’obliger.	Mais de mes sentiments c'est assez mal juger D'avoir cru que ce zèle eût déquoi m'obliger.
Dans le rang que je tiens j’ay l’ame un peu trop vaine Pour vouloir vous devoir la qualité de Reyne, Et forcer mon courage au lâche abaiſſemene D’écouter vos conſeils ſur le choix d’un Amant.	Dans le rang que je tiens j'ai l'âme un peu trop vaine Pour vouloir vous devoir la qualité de Reine, Et forcer mon courage au lâche abaissemène D'écouter vos conseils sur le choix d'un Amant.
EUCHERIUS.	EUCHÉRIUS.
C’eſt donc ce qui manquoit à ma diſgrace extrême, Que quand ce triſte cœur s’immole à ce que j’aime, Cet effort que ma flame en vain a combatu N’euſt que le faux éclat d’une lâche vertu.	C'est donc ce qui manquait à ma disgrâce extrême, Que quand ce triste cœur s'immole à ce que j'aime, Cet effort que ma flamme en vain a combattu N'eût que le faux éclat d'une lâche vertu.
Perſiſtez à mes vœux d’eſtre toûjours contraire, j’ay merité la mort quand je n’ay ſçeu vous plaire, Et je dois croire égal d’en recevoir les coups, Ou d’un hymen funeſte, ou de voſtre couroux.	Persistez à mes vœux d'être toujours contraire, j'ai mérité la mort quand je n'ai su vous plaire, Et je dois croire égal d'en recevoir les coups, Ou d'un hymen funeste, ou de votre courroux.
PLACIDIE.	PLACIDIE.
l’y pourrois conſentir ſans qu’on vous crûſt à plaindre, Qui peut le conſeiller n’a pas lieu de le craindre, Lt s’offre à voir d’un œil pleinement ſatisfai	l'y pourrais consentir sans qu'on vous crût à plaindre, Qui peut le conseiller n'a pas lieu de le craindre, Lt s'offre à voir d'un œil pleinement satisfai
EUCHERIUS.	EUCHÉRIUS.
Dites que voſtre haine enfin trop endurcie Par l’excez d’un beau feu ne peut eſtre adoucie, Et que ſon injuſtice aime à ſe déguiſer Ce qu’aujourd’huy pour vous le mien m’a fait oſer.	Dites que votre haine enfin trop endurcie Par l'excès d'un beau feu ne peut être adoucie, Et que son injustice aime à se déguiser Ce qu'aujourd'hui pour vous le mien m'a fait oser.
J’eſperois que par là nous la verrions s’éteindre, Que n’ayant pû m’aimer vous daigneriez me plaindre, Et que pour vous ſervir preſt à quiter le jour, La pitié m’obtiendroit ce que n’a pû l’amour;	J'espérais que par là nous la verrions s'éteindre, Que n'ayant pu m'aimer vous daigneriez me plaindre, Et que pour vous servir prêt à quit le jour, La pitié m'obtiendrait ce que n'a pu l'amour;
Mais comme le mépris dont ma flame eſt ſuivie A d’eternels malheurs avoient liuré ma vie, Ce que ſur mes deſirs ma vertu fait d'effort, Ne vaut pas qu’un ſoſ̂pir ſoit le prix de ma mort.	Mais comme le mépris dont ma flamme est suivie A d'éternels malheurs avaient livré ma vie, Ce que sur mes désirs ma vertu fait d'effort, Ne vaut pas qu'un sospir soit le prix de ma mort.
PLACIDIE.	PLACIDIE.
Sur quelle eſtrange erreur cette plainte eſt formée!	Sur quelle étrange erreur cette plainte est formée!
A cauſe qu’on me cede on croit m’avoir aimée, Et toute mon eſtime eſt le moins que je doy A l’indigne attentat qu’on veut faire ſur moy.	À cause qu'on me cède on croit m'avoir aimée, Et toute mon estime est le moins que je dois A l'indigne attentat qu'on veut faire sur moi.
EUCHERIUS.	EUCHÉRIUS.
Quoy, vous croyez aſſez l’aigreur qui vous anime, Pour traiter d’attentat un conſeil magnanime, Et m’attacher à vous ſans me conſiderer?	Quoi, vous croyez assez l'aigreur qui vous anime, Pour traiter d'attentat un conseil magnanime, Et m'attacher à vous sans me considérer?
C’eſt démentir l’ardeur que j’ay ſçeu vous jurer;	C'est démentir l'ardeur que j'ai su vous jurer;
Non qu’en un rang égal j’euſſe pû me reſoudre D'attirer ſur mon feu ce dernier coup de foudre;	Non qu'en un rang égal j'eusse pu me résoudre D'attirer sur mon feu ce dernier coup de foudre;
Mais je ſuis ſans murmure un ordre ſi fatal Quand je vous cede au Trône, & non à mon Rival.	Mais je suis sans murmure un ordre si fatal Quand je vous cede au Trône, et non à mon Rival.
Je l’advouëray pourtant;	Je l'avouerai pourtant;
à quoy que je m’apreſte, Le déplaiſir affreux de vous voir ſa conqueſte N’aigrira pas ſi peu la douleur d’un Amant, Qu’à ſa triſte diſgrace il ſurvive un moment, Mais puiſqu’un Sçeptre ſeul peut remplir voſtre attente Je mourray trop heureux de vous laiſſer contente, Et du moins ce ſuccez de vos plus chers deſirs Meſlera quelque joye à mes derniers ſoûpirs:	à quoi que je m'apprête, Le déplaisir affreux de vous voir sa conquête N'aigrira pas si peu la douleur d'un Amant, Qu'à sa triste disgrâce il survive un moment, Mais puisqu'un Sçeptre seul peut remplir votre attente Je mourrai trop heureux de vous laisser contente, Et du moins ce succès de vos plus chers des Mêlera quelque joie à mes derniers soupirs:
LACIDIE.	LACIDIE.
Ta paſſion t’aveugle alors qu’elle me brave, Renonçant à mon cœur tu le fais ton eſclave, Et de ton deſeſpoir ſuivant l’injuſte loy Tu prons droit de donner ce qui n’eſt pas à toy.	Ta passion t'aveugle alors qu'elle me brave, Renonçant à mon cœur tu le fais ton esclave, Et de ton désespoir suivant l'injuste loi Tu prons droit de donner ce qui n'est pas à toi.
Connois, Eucherius, connois mieux ta Princeſſe, Si de l’ambition la noble ardeur me preſſe, Un Trône n’eſt pas tant qu’il me doive coûter La honte du ſecours qui m’y feroit monter.	Connais, Eucherius, connais mieux ta Princesse, Si de l'ambition la noble ardeur me presse, Un Trône n'est pas tant qu'il me doive coûter La honte du secours qui m'y ferait monter.
Qrel zéle injurieux, quelle vertu maligne Brigue pour moy le rang dont ma naiſſance eſt digne, Et te fait hazarder un temeraire effort Pour attirer ſur toy la gloire de mon ſort?	Qurel zèle injurieux, quelle vertu maligne Brigue pour moi le rang dont ma naissance est digne, Et te fait hasarder un téméraire effort Pour attirer sur toi la gloire de mon sort?
Doutes-tu qu’en ſecret mon ſang ne me réponde D’élever mon deſtin à l’Empire du Monde, Et que ſon julte orgueil ne porte mes regards Iuſqu’à pouvoir un jour luy laiſler des Ceſars?	Doutes-tu qu'en secret mon sang ne me réponde D'élever mon destin à l'Empire du Monde, Et que son julte orgueil ne porte mes regards Jusqu'à pouvoir un jour lui laisler des Césars?
Regle mieux tes conſeils, & bornes-en l’audace, Je ne veux rien devoir où je puis faire grace, Et ſi toûjours le Trône échauffe mon deſir, Il eſt des Rois pour moy quand je voudray choiſir.	Règle mieux tes conseils, et bornes-en l'audace, Je ne veux rien devoir où je puis faire grâce, Et si toujours le Trône échauffe mon désir, Il est des Rois pour moi quand je voudrai choisir.
EUCHERIUS.	EUCHÉRIUS.
Je ſçay qu’il n’en eſt point à qui l’Amour n’ordonne De venir à vos pieds abaiſſer leur Couronne, Et du choix d’Alaric ſi j’ay paru jaloux, C’eſt ſans m’eſtre ſlaté de rien faire pour vous.	Je sais qu'il n'en est point à qui l'Amour n'ordonne De venir à vos pieds abaisser leur Couronne, Et du choix d'Alaric si j'ai paru jaloux, C'est sans m'être slaté de rien faire pour vous.
’ay voulu ſeulement par une mort plus prompte D’un hommage odieux vous eſpargner la honte, Et dérober ce cœur qui ſe ſent trop charmer, Au crime glorieux de vous oſer aimer.	ôte voulu seulement par une mort plus prompte D'un hommage odieux vous épargner la honte, Et dérober ce cœur qui se sent trop charmer, Au crime glorieux de vous oser aimer.
Vous en donnez l’arreſt, c’eſt à moy de le ſuivre:	Vous en donnez l'arrêt, c'est à moi de le suivre:
Mais pour ceſſer d’aimer, je dois ceſſer de vivre, Et l’hymen dont l’horreur accable mon amour Eſt le plus ſeur moyen de me priver du jour.	Mais pour cesser d'aimer, je dois cesser de vivre, Et l'hymen dont l'horreur accable mon amour Est le plus sûr moyen de me priver du jour.
LACIDIE.	LACIDIE.
Moy, j’ay ſait quelque effort pour éteindre en ton ame Ce que tes vœux offerts m’y firent voir de flame, Et l’aigreur dont tu crois qu’elle ait dû m’aimer Ne t’auroit pû ſouffrir la liberté d’aimer?	Moi, j'ai sait quelque effort pour éteindre en ton âme Ce que tes vœux offerts m'y firent voir de flamme, Et l'aigreur dont tu crois qu'elle ait dû m'aimer Ne t'aurait pu souffrir la liberté d'aimer?
EUCHERIUS.	EUCHÉRIUS.
Qu’a donc fait ce mépris à mes vœux ſi contraire?	Qu'a donc fait ce mépris à mes vœux si contraire?
PLACIDIE.	PLACIDIE.
Il a dû te deffendre un eſpoir temeraire;	Il a dû te défendre un espoir téméraire;
Mais en vain ton amour en craindroit la rigueur, Il part de ma naiſſance, & non pas de mon cœur, Et la gloire d’aimer ſans voir rien à pretendre, Eſt le plus digne prix qu’un beau feu doive attendre.	Mais en vain ton amour en craindrait la rigueur, Il part de ma naissance, et non pas de mon cœur, Et la gloire d'aimer sans voir rien à prétendre, Est le plus digne prix qu'un beau feu doive attendre.
EUCHERIUS.	EUCHÉRIUS.
Le mien de cette gloire eſt pleinement charmé, Mais, helas!	Le mien de cette gloire est pleinement charmé, Mais, hélas!
aime-t’on ſans vouloir eſtre aimé?	aime-t-on sans vouloir être aimé?
PLACIDIE.	PLACIDIE.
Ne croy pas que jamais l’orgueil du Diadême Relâche une Princeſſe à confeſſer qu’elle aime, Et que ſur ſes deſirs ſon rang puiſſe ſi peu, Qu’il la laiſſe deſcendre à ce honteux adveu;	Ne crois pas que jamais l'orgueil du Diadême Relâche une Princesse à confesser qu'elle aime, Et que sur ses désirs son rang puisse si peu, Qu'il la laisse descendre à ce honteux aveu;
Mais comme d’injuſtice il la rend incapable, Il faut examiner ce qu’on a d’eſtimable, Voir en ſoy ce qu’en eux les vrays Heros ont eu, Se convaincre en ſecret de toute leur vertu, S’en pouvoir applaudir, & ſur un ſi bon ſigne Se répondre du cœur dont l’on ſe trouve digne.	Mais comme d'injustice il la rend incapable, Il faut examiner ce qu'on a d'estimable, Voir en soi ce qu'en eux les vrais Héros ont eu, Se convaincre en secret de toute leur vertu, S'en pouvoir applaudir, et sur un si bon signe Se répondre du cœur dont l'on se trouve digne.
Non qu’enfin ce ne fuſt un bon-heur aſſez vain De meriter ce cœur ſans meriter la main;	Non qu'enfin ce ne fût un bonheur assez vain Dé mériter ce cœur sans mériter la main;
Mais c’eſt toûjours beaucoup à qui n’y peut pretendre, Qu’au ſeul crime du Sort ayant droit de s’en prendre, On ne luy puiſſe au moins dans un malheur ſi grand, Reprocher qu’un deffaut dont il n’eſt pas garand.	Mais c'est toujours beaucoup à qui n'y peut prétendre, Qu'au seul crime du Sort ayant droit de s'en prendre, On ne le puisse au moins dans un malheur si grand, Reprocher qu'un défaut dont il n'est pas garant.
EUCHERIUS.	EUCHÉRIUS.
Ah, ſi par ce deffaut ma paſſion extrême.	Ah, si par ce défaut ma passion extrême.
PLACIDIE.	PLACIDIE.
Adieu, l’Empereur vient;	Adieu, l'Empereur vient;
aime, j’y conſens, aime;	aime, j'y consens, aime;
Mais ſi tu l'y reſous, quoy qu’il faille endurer, Srachant ce que je ſuis, aime fans eſperer.	Mais si tu l'y résous, quoi qu’il faille endurer, Srachant ce que je suis, aime fans espérer.
SCENE III.	SCÈNE III.
HONORIUS, EUCHERIUS, Suite de l’Empereur.	HONORIUS, EUCHÉRIUS, Suite de l'Empereur.
HONORIUS à ſa ſuite.	HONORIUS à sa suite.
U’on s’éloigne de nous.	U’on s'éloigne de nous.
EUCHERIUS.	EUCHÉRIUS.
Seigneur, dans quelle crainte Me jette le chagrin dont voſtre ame eſt atteinte?	Seigneur, dans quelle crainte Me jette le chagrin dont votre âme est atteinte?
Je le voy qui s’explique au trouble de vos yeux.	Je le vois qui s'explique au trouble de vos yeux.
HONORIUS.	HONORIUS.
Trens & ly, ce billet te l’expliquera mieux.	Trends et li, ce billet te l'expliquera mieux.
EUCHERIUS lit.	EUCHÉRIUS lit.
Malgré mille bien-faits une main trop ingrate Vous doit à ſa ſureur cette nuit immoler, De peur qu’avant ce temps l’entrepriſe n’éclate, Devant aem temvinje n’oſe vous parler.	Malgré mille bienfaits une main trop ingrate Vous doit à sa sûreur cette nuit immoler, De peur qu'avant ce temps l'entreprise n'éclate, Devant aem temvinje n'ose vous parler.
o Beauconp dans le Palais favoriſent le Traiſtre, Et ſi vous le voulez connoiſtre, Faites qu’en ſecret & ſans bruit Dans voſtre Cabinet je puiſſe eſtre conduit.	ô Beauconp dans le Palais favorisent le Traître, Et si vous le voulez connaître, Faites qu'en secret et sans bruit Dans votre Cabinet je puisse un conduit.
ZENON.	ZENON.
Que contre vous, Seigneur, une main parricide.	Que contre vous, Seigneur, une main parricide.
Mais vous ſçavez le nom du lâche, du perfide, Et vous aurez appris l’ordre de l’attentat.	Mais vous savez le nom du lâche, du perfide, Et vous aurez appris l'ordre de l'attentat.
HONORIUS.	HONORIUS.
On n’oſe me pailer de peur de faire éclat, Et pour fuir ce peril, c’eſt par l’imperatrice Que ce billet receu m’en a donné l’indice, Avec tant de ſecret qu’on luy peint tout perdu, Si l’on peut décozvrir qu’il m’ait eſté rendu.	On n'ose me pailer de peur de faire éclat, Et pour fuir ce péril, c'est par l'impératrice Que ce billet reçu m'en a donné l'indice, Avec tant de secret qu'on Seigneur peint tout perdu, Si l'on peut décozvrir qu'il m'ait été rendu.
Elle meſme ignorant quel advis on me donne, S’alarme pour l’Eſtat, & non pour ma perſonne, Et du trouble où me jette un coupable projet Le ſeul Eucherius ſçait encor le ſujet.	Elle même ignorant quel avis on me donne, S'alarme pour l'État, et non pour ma personne, Et du trouble où me jette un coupable projet Le seul Eucherius sait encor le sujet.
EUCHERIUS.	EUCHÉRIUS.
Il faut le prévenir, mais un ſi promprorage Par l’effroy du peril fait trembler mon courage, Et mon zéle d’ailleurs l’oſant examiner Dans l’advis de Zenon voit tout à ſoupçonner;	Il faut le prévenir, mais un si promprorage Par l'effroi du péril fait trembler mon courage, Et mon zèle d'ailleurs l'osant examiner Dans l'avis de Zenon voit tout à soupçonner;
Ce dangereux eſprit m’eſt ſuſpect d’artifice, Et vous donnant du crime un imparfait indice, Le ſecret qu’il demande engage à préſumer (mer.	Ce dangereux esprit m'est suspect d'artifice, Et vous donnant du crime un imparfait indice, Le secret qu'il demande engage à présumer (mer.
Qu’il peut convaincre mal ceux qu’il craint de nom	Qu'il peut convaincre mal ceux qu'il craint de nom
HONORIUS.	HONORIUS.
Qui te fait dans Zenon croire tant de baſſeſſe?	Qui te fait dans Zenon croire tant de bassesse?
EUCHERIUS.	EUCHÉRIUS.
Le peu que pour l’Eſtat je ſçay qu’il s’intereſſe;	Le peu que pour l'État je sais qu'il s'intéresse;
