A MONSIEUR DE BVSEROY	À MONSIEUR DE BUSEROY
Quel homme faribond eſt ce dunc que ceg Si toſt que je l’ay veu i’ay trouyé con emQu il fuſt a moy meſme ſ’emblabis Et c’eſt luy qui s’en plaincicy, Il n’a pas plus que moy de raiſon ce me ſu De trouver à redire à mon habillement, Ie puis luy reſſeu bler-alors qu’il me reſlanV ſons-en donc ſemblablement Parfois tel menace qui tremble.	Quel homme faribond est ce dunc que ceg Si tôt que je l'ai vu j'ai troublé con em il fust à moi -même s'emblabis Et c'est beau qui s'en plaincici, Il n'a pas plus que moi de raison ce me su De trouver à redire à mon habillement, Je puis lui resseu blés-alors qu'il me reslanV sons-en donc semblablement Parfois tel menace qui tremble.
Toy qui fais icy le Docteur, Le braye & le gladiateur, Et crois affectant de laudace Me meitre le cœur à la glace.	Toi qui fais ici le Docteur, Le braie et le gladiateur, Et crois affectant de laudace Me mitre le cœur à la glace.
Reponde-moy toy-meſme à tou toit oblige a veuir roder en cetre place?	Réponde-moi toi-même à tou toit oblige a vuir roder en cetre place?
Et pourquoy teſt tu mis fur le corps cet ates	Et pourquoi test tu mis fur le corps cet âtes
TVRLIN.	TURLIN.
An vrayment re me plais -quand, tu fais l’iapide, Ce caracere te convient, l’auois beſoin d’un dos vigoureux & ſoli Trop foible ne me vaudroit rien, Ie laugurois ainu de tavoit veu tinude, Mais i’ay trouvé mon fait & tout ira fort bien.	An vraiment re me plais -quand, tu fais l'iapide, Ce caracère te convient, l'avais besoin d'un dos vigoureux et soli Trop poible ne me vaudrait rien, Je laugurais ainu de tavait vu tinude, Mais j'ai trouvé mon fait et tout ira fort bien.
CRISPIN.	CRISPIN.
Ah ie ſais fracacé, c’eſt un Turc, un Alcide, Il va m’aſſommer comme un chien, Penſant me degager de ſa patte maudite, Ie vieus d'augmeuter ſon couroux Et comme un vray forçat es boureau de comite Va m’aſfaſſiner de cent coups.	Ah ie au fracacé, c'est un Turc, un Alcide, Il va m'assommer comme un chien, Pensant me dégager de sa patte maudite, Je vieus d'augmeuter son courroux Et comme un vrai forçat ès boureau de comité Va m'asfassiner de cent coups.
TVRLIN.	TURLIN.
Tu pronoſtique ra diſgrace, Mais auant que me divertir A te roſſer en cette placc.	Tu pronostique ra disgrâce, Mais avant que me divertir À te rosser en cette placc.
Ie veux à ta demande amplement repartir.	Je veux à ta demande amplement repartir.
Chagiiu mraunuedmtun quitté ma ville, Ie vieus me matier icy.	Chagive mraunuedmtun quitté ma ville, Je vieus me matier ici.
Ie m’appelle Criſpiu & ie loge au ſoucy, Attendant chez Geronte un autre domieile.	Je m'appelle Crispiv et Seigneur loge au souci, Attendant chez Géronte un autre domieile.
Laiſſe m'y le champ libre autrement ſaus mercy CRISPIN Tute nonme!	Laisse m'y le champ libre autrement sa merci CRISPIN Tute nonme!
TVRLIN.	TURLIN.
Criſpin.	Crispin.
CRISPIN.	CRISPIN.
S eſt que tu prends mon nom.	S est que tu prends mon nom.
TVRLIN.	TURLIN.
Ton nom?	Ton nom?
CRISPIN.	CRISPIN.
Mon nom te dis-je Pour te l’aproprier qui te l’auf oit donné?	Mon nom te dis-je Pour te l'approprier qui te l'auf oit donné?
TVRLIN.	TURLIN.
Mon Pere avec ma mere au jour que ie fus né	Mon Père avec ma mère au jour que je fus né
CRISPIN.	CRISPIN.
Mais cela ne ſe peut à moine que duu pra Car ie n’ay iamus eu Cadet ny I* Ie aiſi De Iumeau, moins encorex ſi tu veur rendre, A porter le nom de Criſpin, L’un de nous ne ſe peur d fendre Du ſuruom de fils de putain.	Mais cela ne se peut à moine que du près Car je n'ai jamus eu Cadet apprendre I* Je aisy De Jumeau, moins encorex si tu veur rendre, A porter le nom de Crispin, L'un de nous ne se peur d' endre Du survom de fils de putain.
TVRLIN.	TURLIN.
Ie n’entre point dans ce miſtere Sufit que ie te dis que Criſpin eſt mon nonQue la choſe te plaiſe ou puiſſe te deplans Ie ne veux point de compagios	Je n'entre point dans ce mystère Sufit que Elle te dis que Crispin est mon nonQue la chose te plaise ou puisse te déplans Je ne veux point de compagios
CRISPIN.	CRISPIN.
Mais ſi ce que tu dis tu le crois veritable, Qui penſes-tu donc que ie ſois!	Mais si ce que tu dis tu le crois véritable, Qui penses-tu donc que tu sois!
TVRLIN.	TURLIN.
Vn fantõme anime par l’organe du diable, Vn Laive, un Farfadet, un Sorcier det Va Fagot habillé, plain de paille ou de	Un fantõme anime par l'organe du diable, Un Laive, un Farfadet, un Sorcier dét Va Fagot habillé, plain de paille ou de
CRISPIN.	CRISPIN.
Les belles qualitez que me donne ſa vous.	Les belles qualités que me donne sa vous.
I’enrage de ſouffrir ce menſonge effroyat Mais ſi ie luy reſide il me met aux abois.	J'enrage de souffrir ce mensonge effroyat Mais si ie tu réside il me met aux abois.
Taſchons par douceur & pres D'apaiſer ſon humneur altiere, Que viens-je faire icy, dis donc à ton avis	Tâchons par douceur et pres D'apaiser son humneur altière, Que viens-je faire ici, dis donc à ton avis
TVRLIN.	TURLIN.
Tu viens chercher ton Cimetieie Si tu ne deguerpis de devaut ce logis.	Tu viens chercher ton Cimetie Si tu ne déguerpis de devaut ce logis.
CRISPIN bas.	CRISPIN bas.
Il n'eſt point deraiſon avec ce perſonnage.	Il n'est point déraison avec ce personnage.
TVRLIN.	TURLIN.
Tu le cherche te dis-je, & ie vais de ce pas Teu douner un bon temoignage;	Tu le cherche te dis-je, et ainsi vais de ce pas Teu douner un bon témoignage;
Allous, apreterevous deIl faut icy faire ear nage.	Allous, apreterevous deIl faut ici faire ear nage.
CRISPIN.	CRISPIN.
A ſfomme-ton les gens ſans cauſe & ſans raiſonEn quoy te puis-je faire outrage Eſtant devant cette maiſon, Mes yeux ils portent-ils dommage De plus qu,importe til à toy, Ce n’eſt point l’à ton domicile.	À somme-ton les gens sans cause et sans raisonEn quoi te puis-je faire outrage Étant devant cette maison, Mes yeux ils portent-ils dommage De plus quimporte til à toi, Ce n'est point l'à ton domicile.
latray par tout iey des maiſons devant moy, A moins de ſortir de la ville Si je te diſois que je ſuis Celuy que tu pretent paroiſtre Qu'en Mariage je pourſuis.	latrai par tout uy des maisons devant moi, À moins de sortir de la ville Si je te disais que je suis Celui que tu prêtent paraître Qu'en Mariage je poursuis.
Iulie un bei objet que Geronte a fait naiſtte Que tu ſembleàmesyeux un impoſteur unſtraître Qui fauſſement icy coutre moy te produut Que par une malice enorme Dont j’ignore Iinceution.	Julie un bey objet que Géronte a fait naîtte Que tu sembleàmesyeux un imposteur unstraître Qui faussement ici coutre moi te produut Que par une malice en Dont j'ignore Jincution.
Tu t'empares à tort de mon uom de ma forme Ie pourrois rollerer ton alteration, Mais doux comme un mouton je ſouffre tes caIe noſe dire un mot afin de t’en guerir.	Tu t'empares à tort de mon uom de ma forme Je pourrais rollerer ton altération, Mais doux comme un mouton je souffre tes caIe nose dire un mot afin de t'en guérir.
prices Dans la peur que j’ay de t’aigrir, Et quand j’endure ainſi toutes tes injuſtices Tu me menace encor de me faire perir,	priées Dans la peur que j'ai de t'aigrir, Et quand j'endure ainsi toutes tes injustices Tu me menace encor de me faire périr,
TVRLIN.	TURLIN.
Lapeſte com ne tu dégoiſe, Pour peu qu’on ne te diſe mot Tu fais des diſçours d’une toiſe.	Lapeste com ne tu dégoise, Pour peu qu'on ne te dise mot Tu fais des disçours d'une toise.
C’eſt trop raiſonner pour un ſot Allons tourne moy le derriere Et gaigne au pied par ce chemin.	C'est trop raisonner pour un sot Allons tourne moi le derrière Et gagne au pied par ce chemin.
CHRISPIN.	CHRISPIN.
Pourquoi Si ma preſcuce te venl chacua Tu peux me moutre la crou iere Pour moy je garde le terrain.	Pourquoi Si ma prescuce te venl chacua Tu peux me moutre la crou reux Pour moi je garde le terrain.
TVRLIN.	TURLIN.
Ah je t’en feray bien decamper rout d phes Contre les obſtinez ce bois eſt mon recoun	Ah je t'en ferai bien décamper rout do phes Contre les obstinez ce bois est mon recoun
CRISPIN.	CRISPIN.
Quoy que tufaſſe j’ydemeure, Au meutre, au ;	Quoi que tufasse j'ydemeure, Au meutre, au ;
voleur, au ſeco	voleur, au seco
TVRLIN.	TURLIN.
Il a parbleu raiſon il faut que je déplace.	Il a parbleu raison il faut que je déplace.
De craite d’eſtre reconnu, Mais pour rendie le jeu, commeucé, co Voyens de loin cequi ſe paſſe.	De craite d'être reconnu, Mais pour rendie le jeu, commeucé, co Voyens de loin cequi se passe.
SGENE VI.	SGENE VI.
GERONTE, IVLIE, DORINE CRISPIN, GERONTE.	GÉRONTE, IVLIE, DORINE CRISPIN, GÉRONTE.
Es gens à moy quelqu’un qu’on deſe de icy bas Mon amy qu’avez vous ?	Es gens à moi quelqu'un qu'on dese de ici bas Mon ami qu'avez -vous ?
CRISPIN.	CRISPIN.
Helas, Monſieur, be Ie me trouve ſi fort confus de laventure Qui m’a mis en cette poſtûte, Que ie ne ſçay que ldire.	Hélas, Monsieur, be Je me trouve si fort confus de laventure Qui m'a mis en cette postute, Que enfin ne sais que lédire.
GERONTE Eſt-ce un ſi piteux cas	GÉRONTE Est-ce un si piteux cas
CRISPIN Duy puis qu’on ma roüé les jambes & les but	CRISPIN Dui puis qu'on ma roué les jambes et les but
Qui ?	Qui ?
0 GERONTÉ.	0 GERONTÉ.
CRISPIN.	CRISPIN.
C’eſt Monſieus un homme ou bien unefgt Ouſe d eſtems musn le coypaIl a pourrant de moy la mine & l'encouleure, La taille, laction, le veſtement, lallure, Il eſt comme je ſuis raiſounablement gras, Enfin c’eſt ſi bien ma peinture Qua ux yeux meſme de la narure Il donneroit de lembaras.	C'est Monsieur un homme ou bien unefgt Ouse d' estems musn le coipaIl a pourrant de moi la mine et l'encouleure, La taille, laction, le vêtement, lallure, Il est comme je suis raisounablement gras, Enfin c'est si bien ma peint Qua ux yeux même de la narure Il donnerait de lembaras.
Il eſt de mon pais dit il a mon office, Pretend à la beauté que j’épouſe aujourduy Se nomme comme moy (Criſpin) mais c’eſt malice, ( novice Semble eſtre de meſme age, & mn’eſt pas plus A dire vray je croy qu’il a plus d’artifice, Mais je ſuis plus poltron en Tevenche que luy.	Il est de mon pais dit il a mon office, Pretend à la beauté que j'épouse aujourd ' homme comme moi (Crispin) mais c'est malice, ( novice Semble était de même age, et m'est pas plus A dire vrai je crois qu'il a plus d'artifice, Mais je suis plus poltron en Tevenche que mille.
DORINE Madame c’eſt Turlin, c’eſt le valet d Acaſte:	DORINE Madame c'est Turlin, c'est le valet d' Abcaste:
Qui ſans doute laura battuEt ie gage que c’eſticy le pretendu Que voſtre Pere attend avec que tant de faſte,	Qui sans doute laura battuEt ie gage que c'étici le prétendu Que vôtre Père attend avec que tant de faste,
IVLIE.	IVLIE.
Comme il eſt habillé qu’il eſt ſale & barbu,	Comme il est habillé qu'il est sale et barbu,
DORINE.	DORINE.
Ie croy que voſtre pere avoit les yeux au cu Quand il vous a choſy cet epous encore baſte Si de quelque agrémeut il etoir ſoutenu, Mais mal mis, mal baſti laid, ſot & ſans vertu Si chaque homme eſtoit fait comme ce malotru Ie ſçay bien que je mourrois chaſte.	Je crois que votre père avait les yeux au cv Quand il vous a chosi cet épous encore baste Si de quelque agrémeut il etoir soutenu, Mais mal mis, mal bâti laid, sot et sans vertu Si chaque homme était fait comme ce malotru Je sais bien que je mourrais chaste.
CRISPIN.	CRISPIN.
An beaupere il m’eſt doux.	An beaupère il m'est doux.
GERONTE.	GÉRONTE.
Venez ma Fille icy ſaluer voſtre Epoux, Ne m’entendez-vous pas?	Venez ma Fille ici saluer votre Époux, Ne m'entendez-vous pas?
Approchez vous !	Approchez -vous !
CRISPIN.	CRISPIN.
Quoy c’eſt donc là l objet qui me doit poſte Ie m’en rejouis ſur ma vie, Et veux des aujourd’hui.	Quoi c'est donc là l objet qui me doit poste Je m'en réjouis sur ma vie, Et veux des aujourd'hui.
IVLIE, Dieu m'en veuille gug	IVLIE, Dieu m'en veuille gug
CRISPIN.	CRISPIN.
Par de frequens baiſers contenter ſon ent Eembraſſons nous folete il m'en prend fau	Par de fréquents baisers contenter son ent Embrassons nous folète il m'en prend fau
IVLIE.	IVLIE.
Tout beau, vous vous pourriez Monis commoder De tropd emportement voſtre ardeur eſti	Tout beau, vous vous pourriez Monis commoder De tropd emportement votre ardeur éti
CRISPIN.	CRISPIN.
Bon eſt-ce de ſi pres qu’on y doit regardes Viens, viens.	Bon est-ce de si pres qu'on y doit regardes Viens, viens.
DORINE.	DORINE.
Ahquel brutal	Ahquel brutal
IVLIE.	IVLIE.
Laiſſez-moy ie vous pi	Laissez-moi Madame vous pi
GERONTE.	GÉRONTE.
Doi vient dont ce dedain & qui vous gronder, Vn époux peut-il pas ſa femme mignarder Ta reputation n’en peut eſtre ternie.	Dois vient dont ce dédain et qui vous gronder, Un époux peut-il pas sa femme mignarder Ta réputation n'en peut être ternie.
DCRINE.	DCRINE.
Ouy bien apres leqour de la ceremonie.	Oui bien après leqour de la cérémonie.
Mais c’eſt un peu trop toſt vouloir s’achalan Il n’a pas fait encor ſou Aſne debrider, Il arrive craſſeux comme un marchanp del le pour vous plaire il faut que Madame l’eſſuic Poutt'elle vous venez encor le ſaconder, tous avez taut de peur que cet Oiſeau ne fuye du il faut le divertir de peur qu’il ne s’enfuye i ſemblab le Pourceau venoit me ravauder.	Mais c'est un peu trop tôt vouloir s'achalan Il n'a pas fait encor sou Sne débrider, Il arrive crasseux comme un marchanp dél le pour vous plaire il faut que Madame l'essuic Poutt-elle vous venez encor le saconder, tous avez taut de peur que cet Oiseau ne fuie du il faut le divertir de peur qu'il ne s'enfuie y semblab le Pourceau venait me raver.
He bien:	He bien:
CERONTE.	CERONTE.
– DORINE.	§ DORINE.
Ie l’envoyrois ma fy chercher ſa truye:	Je l'envoyrois ma fi chercher sa truie:
GERONTL.	GERONTL.
Moy ie vous envoyray ſi vous ne vous taiſez;	Moi ? Vous enverai si vous ne vous taisez;
lre ailleurs des brocards dont vous vous eſpu ſez, llez la haut aprendre à vous rendre plus fage ous ſuivez la Madame & vous humaniſez, lar des d, main matin ſans tarder d’avantage de ſerez enſemble epouſez.	lre ailleurs des brocards dont vous vous épu sez, llez la haut apprendre à vous rendre plus sage ous suivez la Madame et vous humanisez, lar des d, main matin sans tarder d'avantage de serez ensemble épousez.
à Criſpin, Ie vous allarmez point de ſonhumeur ſauvage uffit que vous ayez ma parolle pour gagel.	à Crispin, Je vous alarmez point de sonhumeur sauvage uffit que vous ayez ma parole pour gagel.
e rendray ſes deſirs à vos yeux diſpoſez ſais pour y reuſſis avec plus d’avautage, joûtez á mes ſoins quelque amoureux ouvrage Donnez luy ſerenade & vous c'y liſez, les moyeus en ces lieux vous en ſetont aiſez quatre pas dicy dans voſtre voiſinage, Ious avons des Violons ſçavans & fort priſez Qui de leurs inſtrumens font rage, Les Filles aiment ce ramage, ar eux ſouvent leurs cœurs ſe ſonr aprivoiſez a mienne s’y rendra comme une autre ie gage llez donc promptement en faire l'aſſemblage et de vos intereſts, ſur moy vous repoſez.	E rendrai ses désirs à vos yeux disposez sais pour y réussis avec plus d'avantage, joutez mes soins quelque amoureux ouvrage Donnez Seigneur sérénade et vous c'y lisez, les moyeus en ces lieux vous en setont aisé quatre pas dicy dans votre voisinage, Jous avons des Violons savants et fort prisez Qui de leurs instruments font rage, Les Filles aiment ce ramage, ar eux souvent leurs cœurs se sonr aprivoisez à mienne s'y rendra comme une autre ie gage llez donc mme en gage l'assemblage et de vos intérêts, sur mo vous reposez.
TVRLIN caché.	TURLIN caché.
voila tout æatant qu’il eſtoit neceſſaire, Ahons viſte avertir mou maiſtre de cteAfin que promptement ildoune ordre a l'a Et pour tout achever nous revien frous ie	voilà tout æatant qu'il était nécessaire, Ahons vite avertir mou maître de ctefin que promptement ildoune ordre à l'a Et pour tout achever nous revien frousaires
SCENE GERONTE VII.	SCÈNE GÉRONTE VII.
ſeul.	seul.
Et homme à dite vray n’a pas bieu l'ant plaire.	Et homme à dite vrai n'a pas bieu l'ant plaire.
Ce gendre a l'eſprit obſcurcy, Et fair iuſtenſeut le contraire.	Ce gendre à l'esprit obscurci, Et fair iustenseut le contraire.
De tout ce qui peut rendre un objet adouMoy-meſme ſ̀la falu dans mon age tranſeg L’inſtruire à chaudement joüer ſon caractere Ah vrayement ce n'eſt pas ainſi.	De tout ce qui peut rendre un objet adouMoi-même sla fallu dans mon âge tranég L'instruire à chaudement jouer son caractère Ah vraiement ce n'est pas ainsi.
Qu’autre fois ou nous a veu faite.	Qu'autre fois ou nous a vu faite.
Quand nous avions à vaincie un objet ens Les Aubades, le Bal, les Ieux, la bonne Ctes Preſens à la Maiſtr eſſe, aux Serv aute auſiSur les plus iiberaux mon feu mettoit euciss l’ay lieu de dire auſſi que tout m’a reüſſi, Et que fort rarement.	Quand nous avions à vaincie un objet ens Les Aubades, le Bal, les Jeux, la bonne Ctes Press à la Maîtr esse, aux Serv aute ausiSur les plus jiberaux mon feu mettait euciss l'ai lieu de dire aussi que tout m'a réussi, Et que fort rarement.
mais ie perds en paroſt Vn temps que ie devrois employer autre pait	mais ainsi perds en parôt Un temps que je devrais employer autre paît
SCENE VIII.	SCÈNE VIII.
GERONTE, DORINE.	GÉRONTE, DORINE.
Orine ?	Orine ?
GERONTE.	GÉRONTE.
Quoy?	Quoi?
DORINE.	DORINE.
GERONTE.	GÉRONTE.
Courez avant qu’il ſoit plus tan Avertir Mouſieur Prorocole D’apporrer le Contrat qu’il miſt hier à l’eſtarce.	Courez avant qu'il soit plus tan Avertir Mousieur Prorocole D'apporrer le Contrat qu'il mit hier à l'étarce.
DORINE.	DORINE.
Eſt-ce de voſtre Fille avec.	Est-ce de votre Fille avec.
ce Iacuemart.	ce Jacvemart.
Voulez-vous l’angeancer d’une pareille idole?	Voulez-vous l'angeancer d'une pareille idole?
GERONTE.	GÉRONTE.
Taiſez-vous Madame la foie, Allez où ie vous dis & revenez ſoudain, Sous entrons au logis & tâchons par adreſſe D'obliger ma lulie à changer ſon dedain En quellelegere tendreſſe, Comme ie l'ay promis à ce Mouſieur Cuiſpin.	Taisez-vous Madame la foie, Allez où il vous dis et revenez soudain, Sous entrons au logis et tâchons par adresse D'obliger ma lulie à changer son dédain En quellelegere tendresse, Comme après l'ai promis à ce Mousieur Cuispin.
SCENE IX.	SCÈNE IX.
DORINE ſeule.	DORINE seule.
Emde voul quitre paſ qaui vieux roquentin, Vous penſez (moy de hors) engeoler ma Maiſtreſſe, Mais pour nous joüer quelque piece tous avez un peu trop roupille ce matiu.	Emde voul quitre pas qaui vieux roquentin, Vous pensez (moi de hors) engeoler ma Maîtresse, Mais pour nous jouer quelque pièce tous avez un peu trop roupille ce mative.
e vousſuy de trop pres pour vous laiſſer matiere D arriver où vous projetez.	Je voussui de trop près pour vous laisser matière D arriver où vous projetez.
Et vous ſerez dupé de la meſme manere Que beaucoup d’autres lont eſtez.	Et vous serez dupé de la même manère Que beaucoup d'autres lont estez.
ſſoyennant dix Loüis par Acaſte comptez, e Notaire eſt:	soyennant dix Loüis par Acaste comptez, é Notaire est:
à nous & ſa ruſe guertiere En fut de ſemblables traitez Doit ſeconder nos volontez, Comme il eſt deja nuit entiere tnvoyons-le querit par noſtre Valet Pierre, tel e heure on n'a pas toures ſes ſeuretez Du coſté de l’honneur quand on eſt ſaus lumiere it pour luy dire un mot des deſſeins co nplotez llons luy faire ouviir la porte de dernere Car on eſt en duger icid eſ re ceoutez Er ſi l’obſcurite ne ttouble ma viſiere Ie penſe voir quelqu un veur deces coſtes	à nous et sa ruse guertiere En fut de semblables traitez Doit seconder nos volontés, Comme il est déjà nuit entière toyons-le quérit par notre Valet Pierre, tel e eure on n'a pas toures ses sûretés Du côté de l'honneur quand on est sa lumière it pour lui dire un mot des desseins co nplotez llons raisons faire ouviir la porte de derère Car on est en duger ici es ce reoutez Er si l'obscurité ne touble ma visière Je pense voir quelqu un eur décès côtes
SCENE X.	SCÈNE X.
ACASTE avec des Violons & a tres inſtrumens.	ACASTE avec des Violons et à très instruments.
A Meſſieuis mettez voſtre eſtudA fair- Icy de voſtre mieux Touchez quelque Air amoureur Qui ſervez à nos chants de preluas ACASTE chante apres qle les ioſiu mens ont joué.	À Messivis mettez votre étudA fair- Ici de votre mieux Touchés quelque Air amoureur Qui servez à nos chants de prêluas ACASTE chante après qle les iosiu mens ont joué.
CHANSON.	CHANSON.
Eveillez vous doux cbiet de ma flane Pour iuger des effets d’un amour ſans pues Mais nou vous n’avéz pas beſoin de ce rer Et ſi vous partagez les taurmeus de mons Vos yeux ne peuvent pas ſe preſter au ſont Les Violons jouent une ritournelle amti quoy Acaſle & les Muſiciens chanteus.	Éveillez -vous doux cbiet de ma flane Pour juger des effets d'un amour sans pues Mais nouv vous n'avez pas besoin de ce rer Et si vous partagez les taurmus de mons Vos yeux ne peuvent pas se prêter au sont Les Violons jouent une ritournelle amouti quoi Acasle et les Musiciens chanteus.
L’ait le plus pur qu’on reſpire en la vie C’oſt celuy du printemps, Les plus tendxs plaiſirs & lesmoins incouſta Men amour les attend de l'Hymen de julie.	L'ait le plus pur qu'on respire en la vie C'ost celui du printemps, Les plus tendx plaisirs et lesmoins incoûta Men amour les attend de l'Hymen de julie.
Helas pourquoy ne peut onpas, Par uue loy cruelle :	Hélas pourquoi ne peut onpas, Par uve loi cruelle :
Eſte tônjours en ce remps plaln d’appaEt tôujonrs avec elle GERONTE à la feneſtre, Aceque ie pui.	Este tônjours en ce remps plaln d'appà tôujonrs avec elle GÉRONTE à la fenêtre, Aceque personne puy.
io no.	jo nô.
fc.	fc.
.	.
Mon gendre mais pour vous par tropje m'intereſſe Pour obeir aux loix dune oiſive pareſſe Quãd mes ſoins autre part doivẽt eſtre atac'iez I’ay ſi bien travaillé pres de vôtre Maiſtreſſ:	Mon gendre mais pour vous par tropje m'intéresse Pour obéir aux lois dune oisive paresse Quãd mes soins autre part doivent être atac'iez J'ai si bien travaillé pres de votre Maîtress:
Que ſes eſprits effarouchez Vont degenerer en tendreſſe, Mais venez achever mes projets ebauchez, Faites entrer auſſi toute la Simphonig Ie veux voir de pres ces Meſſieurs, Afin que de mon vin nous meſlions les douceuts A celles de leurs Armonie, Dorine allez ouvrir.	Que ses esprits effarouchés Vont dégénérer en tendresse, Mais venez achever mes projets ébauchés, Faites entrer aussi toute la Simphonig Je veux voir de pres ces Messieurs, Afin que de mon vin nous mêlions les doucuts A celles de leurs Armonie, Dorine allez ouvrir.
ACASTE.	ACACSTE.
Ie ſuis bien redevable Monſieur à vos rares bontez Quoy que i’aye attendu de vos civilitez.	Je suis bien redevable Monsieur à vos rares bontés Quoi que j'aie attendu de vos civilités.
Vous paſſer de beaucoup ee qui m’eſtoit croyable, Et iamais rienchez moy ne ſera preferable Au deſir d'honorer vos belles qualitez.	Vous passer de beaucoup ce qui m'était croyable, Et jamais rienchez moi ne sera préférable Au désir d'honorer vos belles qualités.
GFRONTE à la feneſtre à part.	GRONTE à la fenêtre à part.
Oüays mon gendre dit bien dans les obſcuritez El s’en faut bien le jour qu'il toit ſi raiſonnble	Ouiays mon gendre dit bien dans les obscurités Él s'en faut bien le jour qu'il toit si raisonnble
SCENE.	SCÈNE.
XI.	XI.
DORINES ACASTE, TVRLE vilons & Muſicieus	DORINES ACASTE, TURLE vilons et Musicieus
SCENE XI	SCÈNE XI
CRISPINAυεσ vαPισtής, κκε Τνοκ ette-Marine, des Cimbales, un Tam "ν & autres Infirumeus, pour faix a Concert ridicule.	CRISPINAυεσ vαPισtής, Τνοκ ette-Marine, des Cimbales, un Tam " et autres Infirumeus, pour faixNA Concert ridicule,
GRISPIN Allepeſte qu’on à de pcinc.	GRISPIN Allepeste qu'on a de pcinc.
A ſe munir de Violons Lors que l'on veut avoir les boss?	À se munir de Violons Lors que l'on veut avoir les boss?
cours depuis une heure & ma recherche cl le dine, Aucuns n'eſtoient à leure maiſens, a Dance en occupoit en Ville une douzaine.	cours depuis une heure et ma recherche cl le dine, Aucuns n'étaient à lèvre maisens, à Dance en occupait en Ville une douzaine.
Qui faiſoit entor leurs Lecons, aurres pour un regal recordoient des chanſõ Le reſte court la precentainc Avec quelque bons garçôns Enragé de cette av aurure I’ay viſité ies Cabarets Ou de cecy i’ay fait capeure, t donc nous allons voir quels ſeront les effeu llons de preluder metrez vous en poſture, ar ſi vous entonnez comme ie conjecture, e vais çhanter un air quei'ay fait faite expres, apable de charmer noſtre épouſe future.	Qui faisait entor leurs Lecons, aurères pour un régal recordaient des chansomme Le reste court la precentainc Avec quelque bons garçôns Enragé de cette a aurure Day cette ies Cabarets Visité de ceci j'ai fait capure, t donc nous allons voir quels seront les effeu llons de préluder métrez vous en posture, ar si vous entonnez comme tu conjecture, e vais çhanter un air quei're fait faite exprès, apable de charmer quelque épouse future.
Apres le peeluds.	Après le péeluds.
arbleu dans ce debut ie trouve des atrairs, utre qu’aux ſe rieux il fant dc grands appreſu grap rebatu quelqæ fois on s enneye.	arbleu dans ce début ie trouve des atrairs, utre qu'aux se rieux il fant dès grands appresu grap rebattu quelqæ fois on s enneye.
Et dans ce toncert cy mon ame eſt rejoüParce qu’il divertit & n’eſt pas de grands ſts De plus ie n’ay point peur qu’un Cenſeur le e crie.	Et dans ce toncert cy mon âme est rejouée qu'il divertit et n'est pas de grands sts De plus grande n'ai point peur qu'un Censeur le crie.
Si quelqu’un en fait le procez Il maſſure de ſon ſucces Car je ſouhaite qu'on s’en rie.	Si quelqu'un en fait le procès Il massure de son succès Car je souhaite qu'on s'en rie.
Pour eſpreuve chantons, que la viele m’a Et nous ſerons Chorus aprese	Pour épreuve chantons, que la vièle m'a Et nous serons Chorus après
Il chante	Il chante
Ie ſuis roty juſques dans la cervell.	Je suis rôti jusque dans la cervell.
Ie ſuis roty juſques dans les boyar Si vous vouliez roſtir auſſi ma belt Nous rotirions comme deux Aloy	Je suis rôti jusque dans les boyar Si vous vouliez rôtir aussi ma belt Nous rôtirions comme deux Aloi
TVRLIN à la foneſtre.	TURLIN à la fonêtre.
Qui viens en nos plaiſirs maintenant de diſtraire Et frapper de la ſorte?	Qui viens en nos plaisirs maintenant de distraire Et frapper de la sorte?
CRISPIN.	CRISPIN.
Oüays qui diable eſtrcels L’avanture eſt aſſez nouvelle, Ie vois icy mon ombre & n’ay point de de delle Seroit-ce le Lutin de tantoſt que voila?	Ouiays qui diable étrcels L'aventure est assez nouvelle, Je vois ici mon ombre et n'ai point de de delle Serait-ce le Lutin de tantôt que voilà?
Eclaire.	Éclaire.
ſſons-nous en, & frapons de plus !	sons-nous en, et frappons de plus !
GERONTT.	GERONTT.
Quoy l'on redouble ençor, que veut dire cels	Quoi l'on redouble ençor, que veut dire cels
CRISPIN.	CRISPIN.
Jeaupete connoiſſez.	Jeaupète connaissez.
GERONTE.	GÉRONTE.
Aui ?	Avi ?
CRISPIN.	CRISPIN.
Criſpin voſtre gendre.	Crispin votre gendre.
GERONTE.	GÉRONTE.
Mon gendre il eſt ceans, qu'eſt-ce que vous chantez?	Mon gendre il est céans, qu'est-ce que vous chantez?
CRISPIN.	CRISPIN.
Q'un impoſteur ſans doute aura ſçeu vous ſurprendre, Et que par ſes diſcours tous vos ſensenchantez.	QU'un imposteur sans doute aura su vous surprendre, Et que par ses discours tous vos sensenchantez.
Pour moymenne vobs l’onr fait prendre I’avouray qu’on ſi peut meſpreudre Que tous ſes traits aux miens ſont preſque rapportez Mais faites-lé deſcendre, & me le confrontez, Vous verrez une erreur difficile a comprendr	Pour moimenne vobs l'onr fait prendre J'avourai qu'on si peut mépreudre Que tous ses traits aux miens sont presque rapportés Mais faites-lé descendre, et me le confrontés, Vous verrez une erreur difficile a comprendr
GERONTE.	GÉRONTE.
