M IIATERE 196S	M MIATERE 196S
EVX-TY doncques touſiours, agreable Syluie, Loin des plaiſirs d’Amour paſſer ainſi ta vie?	EUX-TY donc toujours, agréable Syluie, Loin des plaisirs d'Amour passer ainsi ta vie?
jour Doncques ne veux tu point voir tes enfants vn Se joüer ſur ton ſein, & te faire la Cour?	jour Donc ne veux tu point voir tes enfants un Se jouer sur ton sein, et te faire la Cour?
Change, change, croy moy, change d’aduis Siluie, Et deſormais renonce à ta premiere vie.	Change, change, crois -moi, change d'avis Sailluie, Et désormais renonce à ta première vie.
Syluie.	Syluie.
Suiue de tels plaiſirs quiconque en a deſir, (Si toutesfois l’Amour nous dõne aucun plaiſir) Moy je ſuiuray Diane, & tandis que les beſtes Jnuiteront Syluie aux foreſts à leurs queſtes, Mon ame eſt ſatisfaite, & mes ſouhaits contens, Ie ne crains point d’auoir faute de paſſe-temps:	Suive de tels plaisirs quiconque en a désir, (Si toutefois l'Amour nous donne aucun plaisir) Moi je suivrai Diane, et tandis que les bêtes Inuiteront Syluie aux forêts à leurs quêtes, Mon âme est satisfaite, et mes souhaits contents, Je ne crains point d'avoir faute de passetemps:
Daphné.	Daphné.
Ha paſſetẽps vrayment, & déplaiſans, & fades, Paſſe-temps ſeulement pour des eſprits malades, Ou qui n’ayant jamais gousté d’autres plaiſirs, A ceux qu’ils ont connus limitent leurs deſirs:	Ha passetẽps vraiment, et déplaisants, et fades, Passe-temps seulement pour des esprits malades, Ou qui n'ayant jamais goûté d'autres plaisirs, À ceux qu'ils ont connus limitent leurs désirs:
C’eſt ainſi que jadis, l’homme encore ſauuage, Prit du gland pour viande, & de l’eau pour breuuage:	C'est ainsi que jadis, l'homme encore sauvage, Prit du gland pour viande, et de l'eau pour breuage:
Mais ſi toſt que Bacchus parût ſur les coſteaux, Et que Ceres fit voir de ſes eſpics nouueaux, Alors le gland & l’eau furent treuuez indignes De tenir plus le rang, ny des bleds, ny des vignes, Et ce qu’on eſtimoit auparauant ſi doux, (nous:	Mais si tôt que Bacchus partout sur les costeaux, Et que Ceres fit voir de ses épics nouveaux, Alors le gland et l'eau furent trouvez indignes De tenir plus le rang, ni des bleds, ni des vignes, Et ce qu'on estimait auparavant si doux, (nous:
Fut deſormais plus propre aux animaux, qu’à Auſſi ſi tu goustois de ce plaiſir extrême, Où noſtre cœur ſe plõge, aimãt ce qui nous aime:	Fut désormais plus propre aux animaux, qu'à Aussi si tu goûtais de ce plaisir extrême, Où notre cœur se ploge, aimait ce qui nous aime:
Si, dis-je, tu pouuois reſſentir quelque jour La moindre des douceurs qu'õ reſſent en Amour, Tu Tu t’écrirois ſoudain, ô folle reſistance.	Si, dis-je, tu pouvais ressentir quelque jour La moindre des douceurs qu'on ressent en Amour, Tu Tu 'écrirais soudain, ô folle résistance.
Que de toy maintenant j’ay grande repentance:	Que de toi maintenant j'ai grande repentance:
O combien d’ãs perdus, cõbien de veuues nuicts, Que j’ay paßé de jours ſeulette en mille ennuis, Qui deuoient estre mis à l’amoureux mystere Qui nous ſemble plus doux, plus on le reïtere:	Ô combien d'As perdus, comme en veues nuits, Que j'ai passé de jours seulette en mille ennuis, Qui devaient être mis à l'amoureux mystère Qui nous semble plus doux, plus on le rejette:
O plaintes, qui venez preſque hors de ſaiſon, Que n’auez-vous pluſteſt eſbranlé ma raiſon:	Ô plaintes, qui venez presque hors de saison, Que n'avez-vous plaîtest ébranlé ma raison:
Change donc proptement, change d’aduis, Syluie, Et deſormais renonce à ta premiere vie.	Change donc proptement, change d'avis, Syluie, Et désormais renonce à ta première vie.
Syluie.	Syluie.
Alors qu'vn repentir m’apprendra ce diſcours, Les fleuues contre-mont rebrouſſeront leur cours.	Alors qu'un repentir m'apprendra ce discours, Les fleuves contre-mont rebrousseront leur cours.
Et Loup, atuaut t'agneau, cramara dans les campagnes, gnes.	Et Loup, atvaut t'agneau, cramara dans les campagnes, gagnes.
L’Ours aymera la mer, le Dauphin les monta	L'Ours aimera la mer, le Dauphin les monta
Daphné.	Daphné.
Je juge ou cette humeur enfin aboutira, Et mon exemple propre aſſeZ te le dira, Sçaches donc qu’autrefois, riche je me ſuis veuë, De toutes les beautez dont tu te vois pourueuë:	Je juge ou cette humeur enfin aboutira, Et mon exemple propre assez te le dira, Saches donc qu'autrefois, riche je me suis vue, De toutes les beautés dont tu te vois pourueuë:
I’auois ainſi que toy le teint fort éclattant, Un poil blond, ſur mon front, alloit ainſi flotiãt, Et ſur ma joüe, alors à la tienne pareille, La blancheur ſe meſloit à la roſe vermeille, Mais ſur tout, comme toy, je faiſoy mes eſbas, De jetter vn Chevreil, ou quelque Cerf à bas, De leur tendre des rets, ou daiguiſer ma fléche, Pour entr'ouurir leur flanc d’vne plus large bréche:	J'avais ainsi que toi le teint fort éclattant, Un poil blond, sur mon front, allait ainsi flotion, Et sur ma joue, alors à la tienne pareille, La blancheur se mêlait à la rose vermeille, Mais sur tout, comme toi, je faisais mes ébas, De jeter un Chevreil, ou quelque Cerf à bas, De leur tendre des rets, ou daiguiser ma flèche, Pour entrouurir leur flanc d'une plus large bréche:
Que ſi lors je voyois quelque amant deſireux, Qui jettaſt deſſus moy ſes regards langoureux, Comme dãs vn forfait, ſurpriſe à l’impourueuë, Je baiſſois à l’instant honteuſement la veuë, La rougeur ſur mon frõt s’épãchoit tout ſoudain, Mais qui venoit auſſi d’orgueil & de dédain, Ie me voulois du mal de luy paroiſtre aymable, Ma grace en luy plaiſant m’estoit des-agreable:	Que si lors je voyais quelque amant désireux, Qui jetât dessus moi ses regards langoureux, Comme dans un forfait, surprise à l'impourueuë, Je baissais à l'instant honteusement la vue, La rougeur sur mon fro épãchoit tout soudain, Mais qui venoit a orgueil et de dédain, Ie me voulois du mal de lui paroistre blé, Ma grace en lui plaisant estoit des-agréable:
Enfin je croyois lors que ce fut me blâmer, Que de treuuer en moy dequoy pouuoir m’aymer:	Enfin je croyais lors que ce fut me blâmer, Que de trouver en moi dequoy pouvoir m'aimer:
Mais qu'eſt-ce que le temps à la fin ne peut faire?	Mais qu'est-ce que le temps à la fin ne peut faire?
Et quel amant fidele à la fin ne peut plaire?	Et quel amant fidèle à la fin ne peut plaire?
Ie fus doncques vaincuë, il le faut confeſſer, Et les armes par qui je me vey terraſſer, Ce furent les ſanglots, les ſouſpirs, la ſouffrance, Les larmes, le reſpect, & la perſeuerance!	Je fus donc vaincue, il le faut confesser, Et les armes par qui je me vei terrasser, Ce furent les sanglots, les soupirs, la souffrance, Les larmes, le respect, et la persévérance!
Lors, l'ombre d'vne nuict me fit apperçeuoir.	Lors, l'ombre d'une nuit me fit apercevoir.
Ce qu'vn longcours de jours ne m’auoit pas fait voir:	Ce qu'un longcours de jours ne m'avait pas fait voir:
Lors je me repentis de mes eſbats friuoles, Et ſouſpirant leur dis ces dernieres paroles;	Lors je me repentis de mes ébats frivoles, Et soupirant leur dis ces dernières paroles;
Ie te quitte, ô Diane, & tes foreſts auſſi, Tes chaſſes deſormais ne ſont plus mon ſoucy, Je te rẽds de bon cœur, & mõ arc, & ma trouſſe:	Je te quitte, ô Diane, et tes forêts aussi, Tes chasses désormais ne sont plus mon souci, Je te rends de bon cœur, et mon arc, et ma trousse:
I'eſpere ainſi qu'vn jour tu deuiẽdras plus douce, Et qu'Aminte à la fin ſe dira ton vainqueur:	J'espère ainsi qu'H jour tu deviendras plus douce, Et qu'Aminte à la fin se dira ton vainqueur:
Qui l'en empeſcheroit?	Qui l'en empêcherait?
eſt-il quelque mocqueur?	est-il quelque moqueur?
Quelque nouuelle amour, ou ton humeur eſtrãge, Ont-elles jamais peu luy conſeiller le change?	Quelque nouvelle amour, ou ton humeur étrange, Ont-elles jamais peu lui conseiller le change?
De nier qu’il ſoit beau, tu ſerois ſans raiſon, Quoy doncques, n'eſt-il pas d’aſſeZ bõne maiſon?	De nier qu'il soit beau, tu serais sans raison, Quoi donc, n'est-il pas d'assez bon maison?
Si tu te peux vanter de Cidippe pour mere, Cidippe dont le Dieu de nos fleuues fut pere:	Si tu te peux vanter de Cidipe pour mère, Cidipe dont le Dieu de nos fleuves fut père:
Aminte conte auſſi dans ſa race des Dieux, Car Syluan eſt ſon pere, & Pan de ſes ayeux:	Aminte compte aussi dans sa race des Dieux, Car Syluan est son père, et Pan de ses aïeux:
Et ſi je te diray, qu’encor que tu ſois belle, (fidelle, Si tu t’en veux remettre à quelque eau bien Tu ne treuueras pas ſur ton teint plus de lis, Que tu n’en vois fleurir ſur celuy de Phillis:	Et si je te dirai, qu'encor que tu sois belle, (fidèle, Si tu t'en veux remettre à quelque eau bien Tu ne trouveras pas sur ton teint plus de lis, Que tu n'en vois fleurir sur celui de Phillis:
Toute fois il prefere à ſa douce careſſe, Le ſeul eſpoir trõpeur de t’auoir pour maiſtreſſe:	Toute fois il préfère à sa douce caresse, Le seul espoir trépeur de t'avoir pour maîtresse:
Or poſons (& cela n’arriuera jamais, Au moins ſi le Ciel veut exaucer mes ſouhaits) Qu'Aminte enfin laße de ſa vaine pourſuitte, Et de perſecuter d’vne ſi longue fuitte, Celle dont à preſent il rejette l'amour, En t’ostant de ſon cœur, l’y reçeut quelque jour:	Or posons (P cela n'arrivera jamais, Au moins si le Ciel veut exaucer mes souhaits) Qu'Aminte enfin lasse de sa vaine poursuite, Et de persécuter d'une si longue fuite, Celle dont à présent il rejet l'amour, En tôtant de son cœur, l'y reçut quelque jour:
Alors que dirois tu?	Alors que dirais -tu?
quel ſeroit ton courage?	quel serait ton courage?
De quels yeux, ou plustoſt auecques quelle rage Le verrois-tu content prés d'vne autre beauté, Se rire en dédaignant ta ſotte cruauté?	De quels yeux, ou plutôt avec quelle rage Le verrais-tu content près d'une autre beauté, Se rire en dédaignant ta sotte cruauté?
S yluie.	S yluie.
Qu'Aminte à ſon plaiſir de ſes amours diſpoſe, Qu'il faſſe de ſoy-meſme ainſi qu’il ſe propoſe.	Qu'Aminte à son plaisir de ses amours dispose, Qu'il fasse de soi-même ainsi qu'il se propose.
Pour moy, ie luy permets, & ne m’importe en rien, A quelle Nymphe il ſoit, pourueu qu’il ne ſoit, mien:	Pour moi, ie luy permets, et ne m'importe en rien, A quelle Nymphe il soit, pourvu qu'il ne soit, mien:
tienne?	tienne?
Mais peut-il estre mien, ſans que mien ie le Et quand il ſeroit mien, ſerois-je pourtãt ſienne?	Mais peut-il être mien, sans que mien on le Et quand il serait mien, serais-je pourrait toujours?
Daphné.	Daphné.
Mais encore dis-moy, d ou vient l'auerſion Que luy porte ton cœur?	Mais encore dis-moi, d' ou vient l'aversion Que lui porte ton cœur?
Syluie.	Syluie.
De ſon affection:	De son affection:
Daphné.	Daphné.
L’Amour cauſe ta haïne?	L'Amour cause ta haïne?
ô mãudite vipere!	ô mandite vipère!
Comment peux-tu ſortir d’vn ſi gracieux pere?	Comment peux-tu sortir d'un si gracieux père?
Mais quand auons-nous veu que d’vn docile Agneau (beau?	Mais quand avons-nous vu que d'un docile Agneau (beau?
Naſquit vne Tigreſſe, ou d’vn Cygne vn CorSonge à ce que tu dis, il n’eſt pas ordinaire Qu'vne choſe icy bas engendré ſon contraire:	Nasquit quelque Tigresse, ou d'un Cygne un CorSonge à ce que tu dis, il n'est pas ordinaire Qu'une chose ici bas engendré son contraire:
Tu me trompes, Syluie, & te trompes auſſi.	Tu me trompes, Syluie, et te trompes aussi.
Syluie.	Syluie.
Mais toy pluſtoſt, Daphné, tu t’abuſes icy:	Mais toi plutôt, Daphné, tu t'abuses ici:
E 1l Car cét amour d’Aminte (amour comme il teſemble) Haiſſant mon honneur à la hayne reſſemble:	E 1l Car cet amour d'Aminte (amour comme il tesemble) Haissant mon honneur à la haine ressemble:
Il eſt vray qu’autrefois ie luy voulus du bien, Mais lors que ſon deſir ſe conformoit au mien.	Il est vrai qu'autrefois ie tu voulus du bien, Mais lors que son désir se conformait au mien.
Daphné.	Daphné.
Vous voulieZ voſtre mat, e cnoifeſſteZ le pire:	Vous vouliez votre mat, est cnoifessteZ le pire:
Et luy tout ce qu’il veut, pour vous il le deſire.	Et deux tout ce qu'il veut, pour vous il le désire.
e.	e.
Parle moy d’autre choſe, ou bié, Daphné, tais toy Pluſtoſt que de tenir tels diſcours deuant moy.	Parle moi d'autre chose, ou bié, Daphné, tais toi Plutôt que de tenir tels discours devant moi.
Daphné.	Daphné.
Ne voila pas touſiours vostre façon de faire, Mais encor ſi quelqu’autre eſſayoit de vous plaire, Luy feriez-vous ſentir tant d’inhumanité?	Ne voilà pas toujours votre façon de faire, Mais encor si quelqu'autre essayait de vous plaire, Lui feriez-vous sentir tant d'inhumanité?
C3 Quiconque entreprendra ſur ma virginité, Doit attendre de moy ſemblable recompenſe, Car il eſt ennemy, non amant, comme onpenſe	C3 Quiconque entreprendra sur ma virginité, Doit attendre de moi semblable récompense, Car il est ennemi, non amant, comme onpense
Daphné.	Daphné.
Tu crois donc les beliets, des brebis, ennemis:	Tu crois donc les beljets, des brebis, ennemis:
Doncques dans le Toreau, la Nature aura mis, Pour la jeune Geniſſe vne hayne immortelle:	Donc dans le Toreau, la Nature aura mis, Pour la jeune Génisse une haine immortelle:
Donc la Tourte fuyra la chaſte Tourterelle:	Donc la Tourte fuira la chaste Tourterelle:
Le Printemps ſe doit donc dire auecque raiſon, De nos inimitieZ la funeste ſaiſon, Luy qui calme à preſent les airs, la terre, & l'õde, Et qui reconcilie enſemble tout le monde:	Le Printemps se doit donc dire auecque raison, De nos inimitiés la funeste saison, Lui qui calme à présent les airs, la terre, et l'onde, Et qui réconcilie ensemble tout le monde:
Et quoy, ne vois-tu point comme tout icy bas Eſt eſpris d’vn amour plein de vie & d’appas?	Et quoi, ne vois-tu point comme tout ici bas Est épris d'un amour plein de vie et d'appas?
Voy comme d’vn baiſer, meſle d’vn doux murmure, Ce Pigeon alentit la flame qu’il endure:	Vois comme d'un baiser, mêle d'H doux murmure, Ce Pigeon alentit la flamme qu'il endure:
Entends ce Roſſignol, dont l’agreable voix Redit inceſſamment, i’aime, i’aime, à ces bois:	Entends ce Rossignol, dont l'agréable voix Redit incessamment, j'aime, j'aime, à ces bois:
Et ſi tu ne le ſçais, la Couleuure elle-meſme, Sãs ire, & ſans venin, court à celuy qu’elle aime:	Et si tu ne le sais, la Couleure elle-même, Sans ire, et sans venin, court à celui qu'elle aime:
L’Amour touche le Tigre, & le Lion auſſi, Et toy plus fiere qu’eux, toy ſeule ſans merçy, Luy refuſeras-tu retraite dans ton ame?	L'Amour touche le Tigre, et le Lion aussi, Et toi plus fière qu'eux, toi seule sans merçi, Lui refuseras-tu retraite dans ton âme?
Mais les arbres encor ſont eſpris de ſa flame:	Mais les arbres encor sont épris de sa flamme:
Les arbres qui priuez de tous les ſentimens, Ont toutesfois pour luy de puiſſans mouuemens:	Les arbres qui privés de tous les sentiments, Ont toutefois pour lui de puissants mouvements:
Ainſi tu pourras voir la vigne qui s’enlaſſe A l’entour des rameaux du Peuplier qu'elle, embraſſe:	Ainsi tu pourras voir la vigne qui s'enlasse A l'entour des rameaux du Peuplier qu'elle, embrasse:
C’eſt ainſi qu'vn Sapin ayme vn autre Sapin:	C'est ainsi qu'un Sapin aime un autre Sapin:
C’eſt ainſi que le Pin careſſe vn autre Pin:	C'est ainsi que le Pin esse un autre Pin:
Ainſi l’Orme ayme l’Orme, & le Hestre, le Hestre:	Ainsi l'Orme aime l'Orme, et le Hêtre, le Hêtre:
Et les Saules entr'eux de l’ardeur font parestre:	Et les Saules entr'eux de l'ardeur font paraître:
Et ce Cheſne que l’âge a ſi fort endurcy, Nourrit dedans ſon tronc quelque amoureux ſoucy:	Et ce Chésne que l'âge a si fort endurci, Nourrit dedans son tronc quelque amoureux souci:
Et ſes muets ſouſpirs te le pourroient apprendre, Si d’vn eſprit d’Amour tu les ſçauois entendre:	Et ses muets soupirs te le pourraient apprendre, Si d'un esprit d'Amour tu les savais entendre:
Veux tu donc eſtre moins qu’vn arbre, en n’aimant pas, Et reſister touſiours à de ſi doux appas?	Veux tu donc être moins qu'un arbre, en n'aimant pas, Et résister toujours à de si doux appas?
Change, change, crois moy, change d’aduis, Syluie, Et deſormais renonce à ta premiere vie.	Change, change, crois -moi, change d'avis, Syluie, Et désormais renonce à ta première vie.
Syluie.	Syluie.
Bien, ie lairray l’amour de mon cœur s’emparer, Alors que j’entendray les arbres ſouſpirer.	Bien, Seigneur lairrai l'amour de mon cœur s'emparer, Alors que j'entendrai les arbres soupirer.
Daphné.	Daphné.
Daphné.	Daphné.
Mes fideles conſeils te ſeruent de risée, Et font que tu me tiens pour femme peu rusée, O fille également ſourde, & ſimple en amour, Mais je t’aſſeure bien, qu’il viendra quelque jour Que tu regretteras de n’en auoir fait conte:	Mes fidèles conseils te servent de risée, Et font que tu me tiens pour femme peu rusée, Ô fille également sourde, et simple en amour, Mais je asseure bien, il viendra quelque jour Que tu regretteras de en auoir fait conte:
Ie ne dis pas alors que la crainte, & la honte, De voir ton front chargé des nuages eſpais, Et des rides que l’age y mettra pour jamais, T’eſloigneront des eaux, où ſouuent tu te mires, Et peut-eſtre où ſouuent maintenãt tu t’admires:	Je ne dis pas alors que la crainte, et la honte, De voir ton front chargé des nuages épais, Et des rides que l'age y mettra pour jamais, T'éloigneront des eaux, où souvent tu te mires, Et peut-être où souvent maintenants tu t'admires:
Car bien qu’il ſoit certain que ce mel t’aduiẽdra, Et que le feu brillant de ces yeux s’esteindra, Un ſoulas toutesfois reste a ceste infortune, Que ſi la perte eſt grande, au moins elle eſt commune:	Car bien qu'il soit certain que ce mel t'aduiẽdra, Et que le feu brillant de ces yeux s'éteindra, Un soûlas toutefois reste à cette infortune, Que si la perte est grande, au moins elle est commune:
Ne te ſouuient-il plus de ce que l’autre jour, Deuant Batte, & Tirſis, grands maistres enamour, Le ſage Elpin contoit à Cloris ſa rebelle, Dont l’œil peut ſur Elpin, ce que ſur cestebelleDeuroit pouuoir Elpin auec ſa douce voix, Si l’Amour obſeruoit l’équité dans ſes loix:	Ne te souvient-il plus de ce que l'autre jour, Dévant Batte, et Tirs, grands maîtres enamour, Le sage Élpin contait à Cloris sa rebelle, Dont l'œil peut sur Élpin, ce que sur cestebelleDeuroit pouvoir Élpin auec sa douce voix, Si l'Amour observoit l'équité dans ses lois:
C’estoit dans ceste grotte, où ſe lit à l’entrée,	C'était dans cette grotte, où se lit à l'entrée,
Voicy le plus ſainct lieu de toute la contrée.	Voici le plus saint lieu de toute la contrée.
Il le contoit ainſi qu’il l’entendit vn jour, Du Berger qui chanta les armes & l’amour:	Il le contait ainsi qu'il l'entendit un jour, Du Berger qui chanta les armes et l'amour:
Que là bas aux Enfers s’ouuroit vne cauerne, La plus noire qui fut au reste de l’Auerne, Qu'vne infecte fumée y rouloit d’Acheron, Et des feux allumeZ aux fourneaux d’enuiron:	Que là bas aux Enfers s'ouvrait une caverne, La plus noire qui fut au reste de l'Auerne, Qu'une infecte fumée y roulait d'Acheron, Et des feux allumez aux fourneaux d'environ:
Que là dans des tourments de larmes éternelles, Celles qu'vn acte ingrat declare criminelles, Eſſayoient vainement d’expier le peché, Dont leur cœur icy haut s’eſt laſchement taché.	Que là dans des tourments de larmes éternelles, Celles qu'un acte ingrat déclare criminelles, Essaient vainement d'expier le péché, Dont leur cœur ici haut s'est lâché taché.
C’eſt en ce lieu maudit que tu dois de bonne heure Te reſoudre, cruelle, a faire ta demeure:	C'est en ce lieu maudit que tu dois de bonne heure Te résoudre, cruelle, a faire ta demeure:
Car c’eſt bien la raiſon que puiſque la pitié, Ne te tira jamais des larmes d’amitié, La fumée irritant tes yeux & ton courage, En arrache a jamais de ces larmes de rage.	Car c'est bien la raison que puisque la pitié, Ne te tira jamais des larmes d'amitié, La fumée irritant tes yeux et ton courage, En arrache à jamais de ces larmes de rage.
Perfiste donc, perſiste en ta premiere erreur, Si ces menaces là ne te font point d’horreur.	Perfite donc, persiste en ta première erreur, Si ces menaces là ne te font point d'horreur.
Syluie.	Syluie.
MMais que fit lors Cloris, & que reſpondit-elle?	MAis que fit lors Cloris, et que répondit-elle?
Daphné.	Daphné.
Tu n’as point de ſoucy d’vne peine immortelle, Et dans tes propres maux, tu restes ſans ennuy, Et tu vas t’enquerant des affaires d’autruy, ataun fȩatnes tontesſois , fiue trop curteuſe, Qu'elle luy reſpondit d’vne œillade amoureuſe.	Tu n'as point de souci d'une peine immortelle, Et dans tes propres maux, tu restes sans ennui, Et tu vas t'enquérant des affaires d'autrui, ataun fatnes tontessais , sive trop curteuse, Qu'elle lui répondit d'une œillade amoureuse.
Syluic.	Syluic.
Comment pût-elle donc luy reſpondre de l'œil?	Comment pût-elle donc deux répondre de l'œil?
Daphné.	Daphné.
Tourné deuers Elpin auec vn doux accueil, Il luy dit d’vn muet, mais aſſez clair langage, Tu poſſedes ſon cœur, que veux-tu dauantage?	Tourné devers Élpin auec un doux accueil, Il tu dit d'un muet, mais assez clair langage, Tu possèdes son cœur, que veux-tu davantage?
Vn langage ſi doux pouuoit ſuffiſamment Seruir de recompenſe a ce fidele amant, S’il eut creu que cét œil eut esté veritable, Autant qu’il eſprouuoit ſon traict inéuitable.	Un langage si doux pouuoit suffisamment Servir de récompense à ce fidèle amant, S'il eut cru que cet œil eut été véritable, Autant qu'il éprouvait son trait inéuitable.
Syluie.	Syluie.
Pourquoy craignoit-il tant de croire de leger, A cẽt œil trop parfait pour estre menſonger;	Pourquoi craignait-il tant de croire de léger, À entends œil trop parfait pour être mensonger;
DaphnéSçais-tu pas ce qu’en dit Tirſis dans cette rage.	DaphnéSçais-tu pas ce qu'en dit Tirsis dans cette rage.
6 Qui le fit par les bois errer comm' vn ſauuage, De ſorte que quiconque, ou fuſt Nymphe ou Paſteur, De ſa triſte folie eſtoit le ſpectateur, Ne pouuoit ſe tenir d’en rire à l’inſtant meſme Qu’il ſe ſentoit pour luy touché d’vn deüil extrême:	6 Qui le fit par les bois errer comme un sauvage, De sorte que quiconque, ou fût Nymphe ou Pasteur, De sa triste folie était le spectateur, Ne pouvait se tenir d'en rire à l'instant Seigneur Qu'il se sentait pour trouver touché d'un deuil extrême:
Il graua ce qu’il fit ſur mille arbres diuers, Dont l’eſcorce croiſſant a fait croistre ſes vers, Et ce qu’il compoſa fut plus digne d’enuie, Que de cette pitié que merit oit ſa vie:	Il grava ce qu'il fit sur mille arbres divers, Dont l'écorce croissant a fait croître ses vers, Et ce qu'il composa fut plus digne d'envie, Que de cette pitié que mérit oit sa vie:
Ainſi m'y promenant à l’ombre, l’autre jour, Ie leu ces quatre vers teſmoins de ſon amour.	Ainsi m'y promenant à l'ombre, l'autre jour, Je lu ces quatre vers témoins de son amour.
Trompeurs miroirs du cœur, lumieres infid ts, Ie ne découure en vous que fraude & trahiſon, Mais quoy, puis je éuiter vos embuſches mortelles, Si l’amour m’en empeſche, & m’oſte la railont	Trompeurs miroirs du cœur, lumières infid toi, Je ne découvre en vous que fraude et trahison, Mais quoi, puis je éviter vos embûches mortelles, Si l'amour m'en empêche, et m'ôte la railont
Syluie.	Syluie.
Ie perds icy le temps en vn diſcours friuole, Et ne me ſouuiens plus que nous auons parole De nous treuuer bien-toſt dans ces ſombres foreſts, Qu'aujourd’huy nous deuons enceindre de nos rets:	Je perds ici le temps en un discours frivole, Et ne me souviens plus que nous avons parole De nous trouver bientôt dans ces sombres forêts, Qu'aujourd'hui nous devons enceindre de nos rets:
Or attends quelque tẽps, ſi tu t’y peux reſoudre, Qu'au bain j’aye eſſuyé, la ſueur, & la poudre, Que j’accueillis hier, à la chaſſe d’vn Daim, Qu'a la fin j’attaignis, & tuay de ma main.	Or attends quelque temps, si tu t'y peux résoudre, Qu'au bain j'aie essuyé, la sueur, et la poudre, Que j'accueillis hier, à la chasse d'un Daim, Qu'a la fin j'attaignis, et tuai de ma main.
Daphné.	Daphné.
Ouy, je te le promets, & ſuis meſme incertaine Si je me dois auſſi baigner à la fontaine:	Oui, je te le promets, et suis même incertaine Si je me dois aussi baigner à la fontaine:
Mais je voudrois deuant aller en ma maiſon, Car le Soleil a peine eſt deſſus l’horiſon, Toy va t’en cependant faire vn tour en la tiêne, En attendant touſiours juſqu'à ce que j'y vienne, Et ſi tu n’as perdu tout a fait ton bon ſens, Reſous-toy de quitter ces plaiſirs languiſſans:	Mais je voudrais devant aller en ma maison, Car le Soleil a peine est dessus l'horizon, Toi va t'en cependant faire un tour en la tiêne, En attendant toujours jusqu'à ce que j'y vienne, Et si tu n'as perdu tout a fait ton bon sens, Résous-toi de quitter ces plaisirs languissants:
Penſe, diſie, vn peu, penſe à ce qui plus t’importe, Que ny chaſſe, ny bain, ny rien de cette ſorte.	Pense, disie, un peu, pense à ce qui plus t'importe, Que ainsi chasse, ni bain, ni rien de cette sorte.
Et ſi tu ne le ſçais, croy ne le ſçauoir point, Et croy ceux que l’eſpreuue inſtruiſit en ce point.	Et si tu ne le sais, crois ne le savoir point, Et crois ceux que l'épreuve instruisit en ce point.
ACTE PREMIER.	ACTE PREMIER.
CENE SECONDE.	CÈNE SECONDE.
AMINTE.	AMINTE.
TIRSIS.	TIRSIS.
AMINTE.	AMINTE.
’Ay veu tous les rochers de pitié mereſpondre, I'ay veu le cours des eaux de mes cris ſe confondre, I'en ay veu ſouſpirer les feüillages eſpais:	Ay vu tous les rochers de pitié mérespondre, J'ai vu le cours des eaux de mes cris se confondre, J'en ai vu soupirer les feuillages épais:
Mais je n’ay jamais veu, ny ne verray jamais, Aucun trait de pitié dans le cœur de ma belle, Ie doute comme il faut enfin que je l’appelle:	Mais je n'ai jamais vu, ni ne verrai jamais, Aucun trait de pitié dans le cœur de ma belle, Je doute comme il faut enfin que je l'appelle:
Ou femme, ou bien du nõ des plus fiers animaux, Fême, non, puis qu'elle eſt inexorable aux maux, Que les choſes ſans ame ont meſme horreur d’entendre.	Ou femme, ou bien du nomme des plus fiers animaux, Fême, non, puis qu'elle est inexorable aux maux, Que les choses sans âme ont même horreur d'entendre.
Tirſis.	Tirsis.
La brebis ſe repaiſt de l’herbe jeune & tendre, Dt Beup de la brebis, mais Amour tu te pais, Tu te pais de nos pleurs, ſans t’en ſaouler jamais.	La brebis se repaît de l'herbe jeune et tendre, D Eup de la brebis, mais Amour tu te pais, Tu te pais de nos pleurs, sans t'en saouler jamais.
Aminte.	Aminte.
Las qu'Amour deſormais eſt bien ſaoul de mes larmes, Sçais-tu l’occaſion des preſentes alarmes?	Las qu'Amour désormais est bien saoul de mes larmes, Sais-tu l'occasion des présentes alarmes?
Jl a ſoif de mon ſang, mais ma cruelle, & luy, Boiront auec les yeux, ce ſang dés aujourd’huy.	Il a soif de mon sang, mais ma cruelle, et Ah, Boiront avec les yeux, ce sang dès aujourd'hui.
Tirſis.	Tirsis.
Aminte que dis-tut reſues-tu:	Aminte que dis-tut rêves-tu:
prenus courage, Peux-tu pas en treuuer vne autre moins ſauuage Si celle cy te fuit?	prenus courage, Peux-tu pas en trouver une autre moins sauvage Si celle cy te fuit?
Aminte.	Aminte.
Vne autre, helas comment?	Une autre, hélas comment?
Or moy meſme ne puis me treuuer ſeulement:	Or moi -même ne puis me trouver seulement:
Helas ſi je me ſuis ainſi perdu moy-meſme, Que ſçaurois-je acquerir qui me plaiſe, & quej’ayme?	Hélas si je me suis ainsi perdu moi-même, Que saurais-je acquérir qui me plaise, et quej'aime?
Tirſis.	Tirsis.
Tirſis.	Tirsis.
Aminte infortuné, ne deſeſperes pas, Car enfin celle-cy gouſtera tes appas, Le long temps nous apprend à moderer la rage, Dont boüillonne le ſang de l’Ours le plus ſauuage.	Aminte infortuné, ne désespères pas, Car enfin celle-cy goûtera tes appas, Le long temps nous apprend à modérer la rage, Dont boüillonne le sang de l'Ours le plus sauvage.
Aminte.	Aminte.
