SUJET GENERAL DES PYGMEES.	SUJET GÉNÉRAL DES PYGMÉS.
Bélus, avant que de s’engager au Combat, vient prendre congé de ſa Princeſſe.	Bélus, avant que de s'engager au Combat, vient prendre congé de sa Princesse.
La retenuë de l’une & l’ardente amour de l’autre font la matiere d’une converſation toute charmante, que le déſeſpoir d’un Amant qui ſe voit rebuté, démentiroit à la fin, ſi la tendreſſe allarmée de Pichonine ne forçoit ſa bouche à déclarer ouvertement ſon amour à ce Prince, à qui cette déclaration manquoit pour s’en croire abſolument aimé.	La retenue de l'une et l'ardente amour de l'autre font la matière d'une conversation toute charmante, que le désespoir d'un Amant qui se voit rebuté, démentirait à la fin, si la tendresse alarmée de Pichonine ne forçait sa bouche à déclarer ouvertement son amour à ce Prince, à qui cette déclaration manquait pour s'en croire absolument aimé.
Bélus reſte dans une joye indicible, & dans des raviſſemens inconcevables:	Bélus reste dans une joie indicible, et dans des ravissements inconcevables:
mais l’abord de ſon Rival, ſa fauſſe bravoure, & ſes railleries groſſieres, l’obligent à ſoûtenir le caractere d’un veritable Heros & d’un Amant qui ſe connoiſt aimable autant qu’il eſt aimé.	mais l'abord de son Rival, sa fausse bravoure, et ses railleries grossières, l'obligent à soutenir le caractère d'un véritable Héros et d'un Amant qui se connaît aimable autant qu'il est aimé.
Le Roy ſurvient & s’étonne de voir ces deux Generaux enſemble éloignez des Armées, dont il leur a donné le commandement.	Le Roi survient et s'étonne de voir ces deux Généraux ensemble éloignez des Armées, dont il leur a donné le commandement.
Bélus s’en juſtifie.	Bélus s'en justifie.
Picolus preſt à faire le meſme, s’arreſte pour faire obſerver Sémiandre qui revient des Cieux, avec des aſſeurances de r’emporter une entiere victoire ſur leurs ennemis, & d’un ſecours extraordinaire que Mars leur doit envoyer à ce ſujet.	Picolus prêt à faire le même, s'arrête pour faire observer Sémiandre qui revient des Cieux, avec des assurances de rapporter une entière victoire sur leurs ennemis, et d'un secours extraordinaire que Mars leur doit envoyer à ce sujet.
On peut s’imaginer combien ces agreables nouvelles cauſent de joye dans l’eſprit du Roy, & combien elles relevent le courage des Princes.	On peut s'imaginer combien ces agréables nouvelles causent de joie dans l'esprit du Roi, et combien elles relèvent le courage des Princes.
Les ſentimens genereux d’une part, & les obligeantes promeſſes de l’autre ne manquent pas;	Les sentiments généreux d'une part, et les obligeantes promesses de l'autre ne manquent pas;
& ce ſont eux qui terminent cét Acte.	et ce sont eux qui terminent cet Acte.
Les Bergers qu’on vient d’entendre chanter, ſans les avoir veûs, paroiſſent aux yeux des Auditeurs, pour leur chanter chanter les paroles ſuivantes, & dancer aprés une Entrée de Balet, qui convient au ſens de ces paroles.	Les Bergers qu'on vient d'entendre chanter, sans les avoir vus, paraissent aux yeux des Auditeurs, pour leur chanter chanter les paroles suivantes, et dancer après une Entrée de Ballet, qui convient au sens de ces paroles.
AIR DES BERGERS, Tout eſt mort dans nôtre vie, Sans l’Amour & ſes douceurs;	AIR DES BERGERS, Tout est mort dans notre vie, Sans l'Amour et ses douceurs;
Il eſt l’ame de nos cœurs, Quand ils ſuivent ſon envie:	Il est l'âme de nos cœurs, Quand ils suivent son envie:
Conſentons tous au trépas Plûtoſt que de n'aimer pas.	Consentons tous au trépas Plutôt que de n'aimer pas.
rin du lecond Acte.	rin du cond Acte.
E Theâtre répreſente, d’un coſté, le camp des Pygmées, & de l’autre des rochers inacceſſibles, avec la Mer en perſpective.	E Théâtre répresente, d'un côté, le camp des Pygmées, et de l'autre des rochers inaccessibles, avec la Mer en perspective.
Timas paroiſt en l’air avec trois de ſes Amis, tous portez par des Gruës, & tous dans le deſſein de délilivrer à jamais la Patrie des ennemis qui la tourmentent.	Timas paraît en l'air avec trois de ses Amis, tous portez par des Grues, et tous dans le dessein de délilivrer à jamais la Patrie des ennemis qui la tourmentent.
Ce Prince qui ne doit pas eſtre ſurpris pour mieux ſurprendre, entendant du bruit, s’en retourne derriere les rochers, d’où il eſtoit ſorty.	Ce Prince qui ne doit pas être surpris pour mieux surprendre, entendant du bruit, s'en retourne derrière les rochers, d'où il était sorti.
Les Pygmées marchent & ſe rangent en bataille.	Les Pygmées marchent et se rangent en bataille.
Le Roy fait un diſcours à ſes Armées, qui ſeul donneroit du courage aux plus timides.	Le Roi fait un discours à ses Armées, qui seul donnerait du courage aux plus timides.
Les Generaux y répondent comme ils doivent.	Les Généraux y répondent comme ils doivent.
Microton donne avis au Roy de l’approche des Gruës, dont le nombre eſt plus grand qu’il n’a jamais eſté.	Microton donne avis au Roi de l'approche des Grues, dont le nombre est plus grand qu'il n'a jamais été.
Les Princes ſe réjoüiſſent d’avoir une ſi belle occaſion de ſignaler leur valeur, & Picolus va ſe mettre à la teſte de ſon Armée.	Les Princes se réjouissent d'avoir une si belle occasion de signaler leur valeur, et Picolus va se mettre à la tête de son Armée.
Bélus prie le Roy de ſe retirer;	Bélus prie le Roi de se retirer;
ce qu’il fait avec des termes fort obligeans.	ce qu'il fait avec des termes fort obligeants.
Ce brave General voyant les Gruës fort avancées, donne les ordres neceſſaires pour le combat, qui ſe fait enſuite avec beaucoup de vigueur au bruit d’une Symphonie, qui donneroit envie de combattre à ceux qui n’y ſongeroient pas.	Ce brave Général voyant les Grues fort avancées, donne les ordres nécessaires pour le combat, qui se fait ensuite avec beaucoup de vigueur au bruit d'une Symphonie, qui donnerait envie de combattre à ceux qui n'y songeraient pas.
Timas, dans le temps que les Gruës ſont toutes aſſemblées, & s’acharnent le plus au carnage, s’éleve en l’air au deſſus d’elles, dans toute l’étenduë de leur Armée, avec tous ceux de ſes amis & de ſes confidens, qu’il a diſpoſez à ſon ex	Timas, dans le temps que les Grues sont toutes assemblées, et s'acharnent le plus au carnage, s'élève en l'air au dessus d'elles, dans toute l'étendue de leur Armée, avec tous ceux de ses amis et de ses confidents, qu'il a disposez à son ex
ACTE TROISIESME.	ACTE -TROISIÈME.
19 pédition:	19 pédition:
ils laiſſent tous tomber des filets qui les enyelopent & les atterrent de telle ſorte, qu’elles ne ſont plus en eſtat ny d’attaquer ny de ſe défendre.	ils laissent tous tomber des filets qui les enyloppent et les atterrent de telle sorte, qu'elles ne sont plus en état ni d'attaquer ni de se défendre.
Bélus s’imagine alors que ce ſecours extraordinaire eſt celuy que Sémiandre a fait eſperer de la part de Mars.	Bélus s'imagine alors que ce secours extraordinaire est celui que Sémiandre a fait espérer de la part de Mars.
Il luy vient à propos pour empeſcher ſes ſoldats de prendre la fuite, & pour leur faire achever la victoire que Timas a commencé d’aſſeurer.	Il luitaît à propos pour empêcher ses soldats de prendre la fuite, et pour leur faire achever la victoire que Timas a commencé d'assurer.
On combat enfin avec une ardeur incroyable.	On combat enfin avec une ardeur incroyable.
Il ne reſte que tres-peu de Gruës qu’on enchaîne.	Il ne reste que très-peu de Grues qu'on enchaîne.
Les Pygmées ſe retirent au ſon des inſtrumens qui joüent des fanfares.	Les Pygmées se retirent au son des instruments qui jouent des fanfares.
Bélus appercevant de loin Timas ſans le reconnoiſtre, & quelquesuns de ſes Amis à ſa ſuite, s’arreſte pour ſçavoir quels ils ſont.	Bélus apercevant de loin Timas sans le reconnaître, et quelquesuns de ses Amis à sa suite, s'arrête pour savoir quels ils sont.
Il eſt fort ſurpris, & fort ravy quand il revoit ce Prince qu’il eſtime infiniment, aprés avoir crû ſi long-temps qu’il eſtoit mort.	Il est fort surpris, et fort ravi quand il revoit ce Prince qu'il estime infiniment, après avoir cru si longtemps qu'il était mort.
Timas luy fait entendre que ce ſecours, dont j’ay parlé cy-devant, eſt l’effet de ſon amour pour la Patrie, & de l’aſſiſtance de ſes amis.	Timas avait fait entendre que ce secours, dont j'ai parlé cy-devant, est l'effet de son amour pour la Patrie, et de l'assistance de ses amis.
Ces deux Princes, aprés quelques complimens reciproques, quittent la Scene pour aller informer le Roy de ce qui s’eſt paſſé.	Ces deux Princes, après quelques compliments reciproques, quittent la Scène pour aller informer le Roi de ce qui s'est passé.
Ormin voulant meriter les bonnes graces de ſa Maîtreſſe, qui n’aime que les gens de cœur, fait ce qu’il peut pour ſe montrer vaillant.	Ormin voulant mériter les bonnes grâces de sa Maîtresse, qui n'aime que les gens de cœur, fait ce qu'il peut pour se montrer vaillant.
Il jure, il peſte, il paroiſt fort en colere, il vomit des injures, il tranche, il pointe, il eſtocade de loin contre les Gruës qui reſtent ſur la pluce.	Il jure, il peste, il paraît fort en colère, il vomit des injures, il tranche, il pointe, il estocade de loin contre les Grues qui restent sur la pluce.
Que luy rerviroit-il de s’en approcher, & de porter ſes coups ſur elles, puis qu’elles ne les ſentiroient pas?	Que quelque reruirait-il de s'en approcher, et de porter ses coups sur elles, puis qu'elles ne les sentiraient pas?
Ce ſeroit peine perduë.	Ce serait peine perdue.
Juſques-là jamais homme n’a paru ſi brave;	Jusqu'là jamais homme n'a paru si brave;
mais jamais homme auſſi n’a paru ſi lâche, qu’au moment qu’il entend des ſoldats qui viennent pour enlever les corps des Pygmées & des Ennemis qui ſont demeurez dans le Combat, & qu’on parle d’aſſommer & d’achever ce qui conſerveroit encore quelque reſte de vie.	mais jamais homme aussi n'a paru si lâche, qu'au moment qu'il entend des soldats qui viennent pour enlever les corps des Pygmées et des Ennemis qui sont demeurez dans le Combat, et qu'on parle d'assommer et d'achever ce qui conserverait encore quelque reste de vie.
Sa prudence luy conſeille de faire ſemblant d’avoir perdu le jour, pour ne le pas perdre en effet:	Sa prudence homme conseille de faire semblant d'avoir perdu le jour, pour ne le pas perdre en effet:
il donne aveuglement les mains à cét avis ſalutaire.	il donne aveuglément les mains à cet avis salutaire.
Comme il voit dans la ſuite, qu’on le plaint de ſa diſgrace, & qu’on ne ſonge point à luy faire aucun mal, mais ſeulement à l’emporter avec les autres corps morts;	Comme il voit dans la suite, qu'on le plaint de sa disgrâce, et qu'on ne songe point à lui faire aucun mal, mais seulement à l'emporter avec les autres corps morts;
il ſe reſſuſcite luy-meſme, & finit cét Acte par quantité de plaiſanteries fort divertiſſantes.	il se ressuscite lui-même, et finit cet Acte par quantité de plaisanteries fort divertissantes.
Des ſoldats armez dançent, en réjoüiſſance de la Bataille gagnée ſur les Gruës, & forment une Entrée de Balet toute de Jeux & de Plaiſirs.	Des soldats armés dançent, en réjouissance de la Bataille gagnée sur les Grues, et forment une Entrée de Ballet toute de Jeux et de Plaisirs.
Le cliquetis de leurs Armes, les acclamatioſis pupnques, ie bruit des imerumens, toutes ces choſes enſemble font un mélange pour les yeux & pour les oreilles, qui n’a rien que de fort charmant.	Le cliquetis de leurs Armes, les acclamatiosis pupnques, était bruit des imeruments, toutes ces choses ensemble font un mélange pour les yeux et pour les oreilles, qui n'a rien que de fort charmant.
L’on chante les paroles ſuivantes en faveur de la Victoire.	L'on chante les paroles suivantes en faveur de la Victoire.
CHANT DE VICTOIRE.	CHANT DE VICTOIRE.
Victoire, Victoire, Victoire.	Victoire, Victoire, Victoire.
Banniſſons de nôtre mémoire Les chagrins & les maux ſouffers:	Bannissons de notre mémoire Les chagrins et les maux soufferts:
Victoire, Victoire, Victoire.	Victoire, Victoire, Victoire.
Ne ſongeons qu'a chanter la gloire Des Heros qui briſent nos fers:	Ne songeons qu'a chanter la gloire Des Héros qui brisent nos fers:
Victoire, Victoire, Victoire.	Victoire, Victoire, Victoire.
Ne penſons, malgré l’humeur noire, Qu'a joüir des plaiſirs offers:	Ne pensons, malgré l'humeur noire, Qu'a jouir des plaisirs offerts:
Victoire, Victoire, Victoire.	Victoire, Victoire, Victoire.
Fin du troiſiéme Acte.	Fin du troisième Acte.
ACTE QVATRIESME.	ACTE QUATRIÈME.
triomphe des Vainqueurs.	triomphe des Vainqueurs.
Le Roy, que la Victoire aſſeure ſur ſon Trône, en meſme temps qu’elle établit pour jamais le repos & la liberté de ſes Peuples, exprime la joye qu’il en reſſent.	Le Roi, que la Victoire assure sur son Trône, en même temps qu'elle établit pour jamais le repos et la liberté de ses Peuples, exprime la joie qu'il en ressent.
Pichonine au contraire, ſe plonge dans une profonde triſteſſe, ſe voyant prés de paſſer dans les bras d’un Prince pour qui elle n’a que du mépris & de l’ayerſion.	Pichonine au contraire, se plonge dans une profonde tristesse, se voyant près de passer dans les bras d'un Prince pour qui elle n'a que du mépris et de l'aiersion.
C’eſt Picolus, à qui l’on attribuë la victoire, & qui, ſuivant la parole expreſſe du Roy, que le Vainqueur ſera l’époux de ſa cadette, la doit infailliblement épouſer.	C'est Picolus, à qui l'on attribue la victoire, et qui, suivant la parole expresse du Roi, que le Vainqueur sera l'époux de sa cadette, la doit infailliblement épouser.
La repugnance, les larmes, les prieres, les violens tranſports de cette Princeſſe ne peuvent vaincre la fermeté de ſon pere, & le faire conſentir à violer ſa parole.	La répugnance, les larmes, les prières, les violents transports de cette Princesse ne peuvent vaincre la fermeté de son père, et le faire consentir à violer sa parole.
Microton ſaiſi de douleur vient informer le Roy de la mort d’un des Generaux.	Microton saisi de douleur vient informer le Roi de la mort d'un des Généraux.
Pichonine ſouhaiteroit que ce fût Picolus;	Pichonine souhaiterait que ce fût Picolus;
mais Microton ne ſçait abſolument qui des deux a perdu la vie, & toutefois donne lieu de croire que c’eſt Bélus, plûtoſt que ſon Rival.	mais Microton ne sait absolument qui des deux a perdu la vie, et toutefois donne lieu de croire que c'est Blus, plutôt que son Rival.
Le coup eſt trop accablant pour la Princeſſe;	Le coup est trop accablant pour la Princesse;
elle y ſuccombe auſſi dans le moment, & ſe pâme entre les bras de Francine.	elle y succombe aussi dans le moment, et se pâme entre les bras de Francine.
Le Roy donne ordre à ſon confident d’aller chercher du ſecours.	Le Roi donne ordre à son confident d'aller chercher du secours.
Parvulie ſurvient & ſe montre fort ſurpriſe de trouver ſa ſœur en cét eſtat.	Parvulie survient et se montre fort surprise de trouver sa sœur en cet état.
Elle en apprend la cauſe de ſon Pere.	Elle en apprend la cause de son Père.
Tous deux, & Francine de ſon 22 coſté, font ce qu’ils peuvent pour la faire revenir de ſa pâmoiſon.	Tous deux, et Francine de son 22 côté, font ce qu'ils peuvent pour la faire revenir de sa pâmoison.
Le nom de Bélus, qu’elle entend prononcer, fait luy ſeul plus que tout le reſte.	Le nom de Bélus, qu'elle entend prononcer, fait lui seul plus que tout le reste.
Ce qui oblige le Roy de luy faire accroire que ce Prince eſt vivant, & qu’elle le doit bien-toſt voir, ſuppoſant qu’un courier, dans le temps qu’elle eſtoit évanoüie, eſt venu luy en apporter la nouvelle aſſeurée.	Ce qui oblige le Roi de lui faire accroire que ce Prince est vivant, et qu'elle le doit bientôt voir, supposant qu'un courier, dans le temps qu'elle était évanoüie, est venue luy en apporter la nouvelle assurée.
Cette fauſſeté veritable luy épargne la moitié de ſes déplaiſirs.	Cette fausseté véritable même épargne la moitié de ses déplaisirs.
Elle reſte toûjours en proye aux autres, que luy cauſe l’affreuſe penſée d’épouſer l’objet de ſa haine.	Elle reste toujours en proie aux autres, que lui cause l'affreuse pensée d'épouser l'objet de sa haine.
Un ſoldat annonce l’arrivée du Vainqueur.	Un soldat annonce l'arrivée du Vainqueur.
Pichonine ſe retire auſſi-toſt, ne pouvant ſouffrir la veuë de ce Prince odieux, ny meſme qu’on en parle en ſa préſence.	Pichonine se retire aussitôt, ne pouvant souffrir la vue de ce Prince odieux, notre même qu'on en parle en sa présence.
Un moment encore l’euſt fait ſortir de ſon erreur & de ſes chagrins pour entrer dans une joye inconcevable;	Un moment encore l'eût fait sortir de son erreur et de ses chagrins pour entrer dans une joie inconcevable;
elle euſt veû ſon cher Bélus, contre l’attente de toute la Cour;	elle eût vu son cher Bélus, contre l'attente de toute la Cour;
elle euſt appris que Picolus avoit uſurpé la qualité de Vainqueur qui appartenoit à ſon Rival, qu’il auroit aſſaſſiné ſans ce ſoldat à qui il avoit confié ſon deſſein, & qui avoit feint de le vouloir exécuter pour en empeſcher la cruelle exécution;	elle eût appris que Picolus avait usurpé la qualité de Vainqueur qui appartenait à son Rival, qu'il aurait assassiné sans ce soldat à qui il avait confié son dessein, et qui avait feint de le vouloir exécuter pour en empêcher la cruelle exécution;
& pour ſurcroiſt de contentement elle euſt appris la mort de ce perfide.	et pour surcroît de contentement elle eût appris la mort de ce perfide.
Parvulie a eſté mieux inſpirée, de demeurer auprés ſon Pere;	Parvulie a été mieux inspirée, de demeurer auprès son Père;
elle revoit ſon aimable Timas, qu’elle croyoit dans le tombeau.	elle revoit son aimable Timas, qu'elle croyait dans le tombeau.
Toutes ſes eſperances revivent, & ſes déplaiſirs meurent pour jamais.	Toutes ses espérances revivent, et ses déplaisirs meurent pour jamais.
Ces Princes ſont receus du Roy comme ils le meritent.	Ces Princes sont reçus du Roi comme ils le méritent.
Timas luy rend compte de ce qu’il a fait pendant ſon abſence, & luy explique par quel moyen il a ſecouru ſes Armées, & contribué à la Victoire qu’on a remportée ſur le Gruës:	Timas y rend compte de ce qu'il a fait pendant son absence, et même explique par quel moyen il a secouru ses Armées, et contribué à la Victoire qu'on a remportée sur le Grues:
auſſi le Roy veut qu’il triomphe conjointement avec Bélus, mais d’une autre maniere, & luy accorde la main de Parvulie.	aussi le Roi veut qu'il triomphe conjointement avec Bélus, mais d'une autre manière, et quelque accorde la main de Parvulie.
dont il a tout le cœur.	dont il a tout le cœur.
Ceux qui liront ou verront repreſenter la Piece auront la ſatisfaction de remarquer quantité de jeux de Theâtre, de ſurpriſes & d’entretiens touchans qui ſont renfermez, non ſeulement dans cét Acte;	Ceux qui liront ou verront représenter la Pièce auront la satisfaction de remarquer quantité de jeux de Théâtre, de surprises et d'entretiens touchants qui sont renfermés, non seulement dans cet Acte;
mais encore dans tous les autres, & dont je ne parle point icy pour abreger ce Diſcours, autant qu’il m’eſt poſſible.	mais encore dans tous les autres, et dont je ne parle point ici pour abréger ce Discours, autant qu'il m'est possible.
Ormin qui n’a que ſa Francine en teſte, & qui la cherche par tout, la rencontre fort empreſſée d’aller trouver le Roy.	Ormin qui n'a que sa Francine en tête, et qui la cherche par tout, la rencontre fort empressée d'aller trouver le Roi.
Il ne peut jouïr qu’un moment de ſon entretien, encore eſt-il forcé;	Il ne peut jouir qu'un moment de son entretien, encore est-il forcé;
ce moment toutefois qu’il paſſe avec elle, en fera paſſer de fort agreables à l’auditeur.	ce moment toutefois qu'il passe avec elle, en fera passer de fort agréables à l'auditeur.
Le Triomphe de Bélus, par terre, & de Timas en l’air, ſur des Gruës, ſe fait avec toute la pompe & toute la magnificence qui luy conviennent.	Le Triomphe de Bélus, par terre, et de Timas en l'air, sur des Grues, se fait avec toute la pompe et toute la magnificence qui avait conviennent.
Le ſpectacle en eſt d’autant plus curieux qu'ir ert rare & partieuner à ce Peuple.	Le spectacle en est d'autant plus curieux qu'ir ert rare et partieuner à ce Peuple.
Pluſieurs gens de qualité prevenans les réjoüiſſances publiques, dancent une Entrée de Balet tres-galante, aprés qu’un d’eux a chanté ce qui ſuit.	Plusieurs gens de qualité prévenants les réjouissances publiques, dancent une Entrée de Ballet très-galante, après qu'un d'eux a chanté ce qui suit.
CHANSON D'UNE PERSONNE DE ( VALITE’.	CHANSON D'UNE PERSONNE DE ( VALITE.
L’Amour a pour nous Des peines cruelles;	L'Amour a pour nous Des peines cruelles;
L’amour a pour nous Des plaiſirs bien doux:	L'amour a pour nous Des plaisirs bien doux:
Les Ames rebelles Souffrent ſes rigueurs;	Les Âmes rebelles Souffrent ses rigueurs;
Les Amans fidelles Goûtent ſes douceurs.	Les Amants fidèles Goûtent ses douceurs.
Fin du quatriéme Acte.	Fin du quatrième Acte.
ACIL CINVIESME.	ÀCIL CINVIESME.
V’EST dans un Palais beaucoup plus magnifique que le premier, enrichy de colomnes de lapis, de plumes d’oyſeaux de differentes couleurs, & autres choſes précieuſes, que ſe paſſe le dernier Acte.	V'EST dans un Palais beaucoup plus magnifique que le premier, enrichi de colomnes de lapis, de plumes d'oiseaux de différentes couleurs, et autres choses précieuses, que se passe le dernier Acte.
Sémiandre fait entendre au Roy, que ſon voyage aux Cieux eſt purement ſuppoſé, & que c’eſt une ruſe qu’il a pratiquée pour r’affermir le courage des Peuples, que les incidens fâcheux arrivez au Sacrifice avoient extrémement ébranlez;	Sémiandre fait entendre au Roi, que son voyage aux Cieux est purement supposé, et que c'est une ruse qu'il a pratiquée pour r'affermir le courage des Peuples, que les incidents fâcheux arrivez au Sacrifice avaient extrêmement ébranlez;
& pourtant que ſa machine luy a ſervy pour aller trouver Timas, avec qui il a toûjours eû commerce pendant ſon abſence, afin de le preſſer de s’approcher au plûtoſt, pour mettre au jour l’illuſtre entrepriſe dont le ſuccés eſt ſi favorable à la Patrie.	et pourtant que sa machine avoir a servi pour aller trouver Timas, avec qui il a toujours eû commerce pendant son absence, afin de le presser de s'approcher au plutôt, pour mettre au jour l'illustre entreprise dont le succès est si favorable à la Patrie.
Le Roy luy en ſçait bon gré, & commande à Microton de faire venir Pichonine.	Le Roi lui en sait bon gré, et commande à Microton de faire venir Pichonine.
Sémiandre s’entretient avec luy de la joye qu’il croit que cette Princeſſe doit reſſentir de ſon mariage avec Bélus, la croyant informée de la verité touchant le vainqueur & de la mort de Picolus:	Sémiandre s'entretient avec lui de la joie qu'il croit que cette Princesse doit ressentir de son mariage avec Bélus, la croyant informée de la vérité touchant le vainqueur et de la mort de Picolus:
mais il apprend que l’erreur de cette Princeſſe dure encore, & que le Roy l’y entretient exprés, pour la punir d’avoir eſté rebelle à ſes volontez, au ſujet de Picolus, qu’il luy parloit d’épouſer, dans le temps que luy-meſme le croyoit autheur de la victoire.	mais il apprend que l'erreur de cette Princesse dure encore, et que le Roi l'y entretient exprès, pour la punir d'avoir été rebelle à ses volontés, au sujet de Picolus, qu'il lui parlait d'épouser, dans le temps que lui-même le croyait auteur de la victoire.
Elle arrive avec Microton qui la conduit.	Elle arrive avec Microton qui la conduit.
Son pere la preſſe de préparer ſa main pour la donner au vainqueur;	Son père la presse de préparer sa main pour la donner au vainqueur;
elle y réſiſte autant qu’elle peut.	elle y résiste autant qu'elle peut.
Enfin, aprés avoir inutilement tenté les prieres 2 & les pleurs, elle luy préſente un poignard, & le conjure de le luy plonger dans le fein.	Enfin, après avoir inutilement tenté les prières 2 et les pleurs, elle lui prèsente un poignard, et le conjure de le vôtre plonger dans le sein.
Bélus ſe trouve à propos pour la déſarmer.	Bélus se trouve à propos pour la désarmer.
Ce n’eſt pas l’obliger dans le déſeſpoir où elle eſt, elle le fait bien connoître par les inſtances qu’elle fait à ce Prince de luy ravir le iour, ou de la délivrer d’un hymenée qui luy paroiſt plus terrible & plus cruel que la Mort.	Ce n'est pas l'obliger dans le désespoir où elle est, elle le fait bien connaître par les instances qu'elle fait à ce Prince de lui ravir le jour, ou de la délivrer d'un hyménée qui tu paraît plus terrible et plus cruel que la Mort.
Il eſt aiſé de penſer qu’il n’a point d’oreilles pour ces outrageantes prieres;	Il est aisé de penser qu'il n'a point d'oreilles pour ces outrageantes prières;
car comme il croit ſa maîtreſſe déſabuſée des faux bruits que Picolus avoit fait courre, & perſuadée de la verité, ainſi que toute la Cour, il s’applique toute la répugnance & toute l’averſion qu’elIe montre pour ce mariage, auquel il aſpire avec tant d’empreſſement, & ne peut conſentir à ſe trahir luy-meſme, en donnant les mains à la perfidie apparente qu’elle ſemble oppoſer à ſon ardeur fidele.	car comme il croit sa maîtresse désabusée des faux bruits que Picolus avait fait courre, et persuadée de la vérité, ainsi que toute la Cour, il s'applique toute la répugnance et toute l'aversion qu'élIe montre pour ce mariage, auquel il aspire avec tant d'empressement, et ne peut consentir à se trahir toujours-même, en donnant les mains à la perfidie apparente qu'elle semble opposer à son ardeur fidèle.
Pichonine prend ſon refus pour un ſenſible outrage, & le traite avec tout le mépris & toute l’indignation qu’elle croit luy devoir.	Pichonine prend son refus pour un sensible outrage, et le traite avec tout le mépris et toute l'indignation qu'elle croit lui devoir.
Il ne ſort point pour cela du reſpect;	Il ne sort point pour cela du respect;
il ſe plaint ſeulement de ce qu’elle n’a point eſté préſente au triomphe;	il se plaint seulement de ce qu'elle n'a point été présente au triomphe;
& en attribuë la cauſe au peu de cas qu’elle fait de ſa perſonne & de ſes feux.	et en attribue la cause au peu de cas qu'elle fait de sa personne et de ses feux.
Cette plainte l’oblige à luy faire valoir ce procedé comme une inſigne marque de ſon amour extrême;	Cette plainte l'oblige à lui faire valoir ce procédé comme une insigne marque de son amour extrême;
n’ayant pû, dit-elle, prendre plaiſir à voir ſon rival ( c’eſt Picolus dont elle entend parler) parmy les acclamations publiques, inſulter à leurs feux & dérober ſa gloire;	n'ayant pu, dit-elle, prendre plaisir à voir son rival ( c'est Polus dont elle entend parler) parmi les acclamations publiques, insulter à leurs feux et dérober sa gloire;
ny s’imaginer qu’il ait merité les honneurs qu’il a receus, & les lauriers dont on l’a couronné.	Ne s'imaginer qu'il ait mérité les honneurs qu'il a reçus, et les lauriers dont on l'a couronné.
Timas préſent à cét entretien, qui n’eſt point informé de l’erreur de cette Princeſſe, & qui vient de triompher avec Bélus, ſe fait une ſanglante injure de ce diſcours piquãt;	Timas présent à cet entretien, qui n'est point informé de l'erreur de cette Princesse, et qui vient de triompher avec Blus, se fait une sanglante injure de ce discours piquant;
il la traite auſſi, ſur tout, au ſujet de ce mot de rival, d’une maniere qu’on auroit peine à luy pardõner, ſi la préſence deParvulie ne l’excuſoit en quelque façon.	il la traite aussi, sur tout, au sujet de ce mot de rival, d'une manière qu'on aurait peine à nous pardonne, si la présence déParvulie ne l'excusait en quelque façon.
Pichonine en paroiſt toute ſurpriſe, d’autant plus qu’elle ne penſe point à ce Prince;	Pichonine en paraît toute surprise, d'autant plus qu'elle ne pense point à ce Prince;
& comme elle veut éclaircir toutes choſes, ſa ſœur l’entreprend & la pouſſe aſſez pour vanger ſon amour & ſes charmes qu’elle croit avoir eſté cruellement outragez.	et comme elle veut éclaircir toutes choses, sa sœur l'entreprend et la pousse assez pour venger son amour et ses charmes qu'elle croit avoir esté cruellement outragez.
Le Roy pouvoit épargner tous ces déplaiſirs à Pichonine;	Le Roi pouvait épargner tous ces déplaisirs à Pichonine;
mais il y ſemble prendre plaiſir.	mais il y semble prendre plaisir.
Elle en fait ceſſer une partie par la déclaration qu’elle fait, que ce qu’elle a dit juſqu’icy de déſobligeant, ne regarde ny ſa ſœur ny Timas, mais ſeulement Picolus;	Elle en fait cesser une partie par la déclaration qu'elle fait, que ce qu'elle a dit jusqu'ici de désobligeant, ne regarde ni sa sœur avait Timas, mais seulement Picolus;
& ſon pere la délivre de tous les autres en luy apprenant la mort de ce Prince, dont le nom ſeul luy a cauſé tant de maux & d’alarmes;	et son père la délivre de tous les autres en lui apprenant la mort de ce Prince, dont le nom seul lui a causé tant de maux et d'alarmes;
luy aſſûrant encore Bélus pour ſon époux.	Je assurant encore Bélus pour son époux.
Les tendres éclairciſſemens, les douces eſperances, la joye & les plaiſirs prennent la place des troubles, des chagrins, des larmes & des peines qui ont regné juſqu’à preſent.	Les tendres éclaircissements, les douces espérances, la joie et les plaisirs prennent la place des troubles, des chagrins, des larmes et des peines qui ont régné jusqu'à présent.
Le Roy ne veut plus entendre parler déſormais que de réjoüiſſance.	Le Roi ne veut plus entendre parler désormais que de réjoüissance.
Francine ſecondant ſes intentions, invite chacun à les ſuivre par ces paroles qu’elle chante.	Francine secondant ses intentions, invite chacun à les suivre par ces paroles qu'elle chante.
CHANSON DE FRANCINE.	CHANSON DE FRANCINE.
JoüiſſeZ, joüiſſez des charmes de la vie, Tandis qu’ils flatent vos deſirs;	JoüisseZ, jouissez des charmes de la vie, Tandis qu'ils flattent vos désirs;
Il n’eſt plus temps de goûter les plaiſirs, Lors qu'on en a paſſé l’envie:	Il n'est plus temps de goûter les plaisirs, Lors qu'on en a passé l'envie:
