Iouxte la copie Imgrlede	Jette la copie Imgrède
I’en ſuis rauy.	J'en suis ravi.
CLITANDRE	CLITANDRE
Mr.	Mr.
DE SOTENVILLE Et i'ay eu vn ayeul Bertrand de Sotenuille, qui fut ſi conſideré en ſon temps, que d’auoir permiſſion de vendre tout ſon bien pour le voyage d’outre-mer.	DE SOTENVILLE Et j'ai eu un aïeul Bertrand de Sotenville, qui fut si considéré en son temps, que d'avoir permission de vendre tout son bien pour le voyage d'outre-mer.
CLITANDRE.	CLITANDRE.
Ie le veux croire.	Je le veux croire.
Mr DE SOTENVILLE Il m’a eſté rapporté, Monſieur, que vous aïmez & pourſuiuez vne ieune perſenne, qui eſt ma fille i our laquelle ie m’intereſſe, & pour l’homme que vous voyez, qui a l’honneur d’eſtre mon gendre.	Mr DE SOTENVILLE Il m'a été rapporté, Monsieur, que vous aïmez et poursuivez une jeune persenne, qui est ma fille y our laquelle me m'intéresse, et pour l'homme que vous voyez, qui a l'honneur d'être mon gendre.
Qui moy?	Qui moi?
a namlanin ddas	a namlanin ddas
Mr EE SOTENVILLE Ouy & ie ſuis bien-aiſe de vous parler pour tirer de vous s’il vous plaiſt vn éclairciſſ ment de cette afdada CLITANDRE	Mr CE SOTENVILLE Oui et votre suis bien-aise de vous parler pour tirer de vous s'il vous plaît un éclairciss ment de cette afdada CLITANDRE
Voila vne étrange mediſance!	Voilà quelque étrange médisance!
Qui vous a dit cela RiomeMir	Qui vous a dit cela RiomeMir
Mr DE SOTENVILLE Quelqu’un qui croit le bien ſçauoir.	Mr DE SOTENVILLE Quelqu'un qui croit le bien savoir.
CLITANDRE Ce quelqu'un-là en a menty ie ſuis honneſte homme:	CLITANDRE Ce quelqu'un-là en a menti tu suis honnête homme:
Me croyez-vous capable Monſieur, d'vne actionauſſi lâche que celle-là?	Me croyez-vous capable Monsieur, d'une actionaussi lâche que celle-là?
moy aimer vne ieune & belne pertonneqrurhomurgiſtre la fille de Monſieur le Baron de Sotenuille?	moi aimer une jeune et belune pertonneqrurhomurgistre la fille de Monsieur le Baron de Sotenville?
ie vous reuere trop pour cela & ſuis trop voſtre ſeruiteur:	Ne vous révère trop pour cela et suis trop votre serviteur:
Quiconque vous l’a dit eſt vn ſot	Quiconque vous l'a dit est un sot
Mr DE SOTENVILLE Allons, mon gendre	Mr DE SOTENVILLE Allons, mon gendre
10y1 G DANDIN Qlerulvune C’eſt vn coquin & vn maraut.	10y GO DANDIN Qlerulune C'est un coquin et un maraud.
Mr DE SOTENVILLE Répondez.	Mr DE SOTENVILLE Répondez.
G DANDIN Rtopandenſvous-meſme.	G GANDIN Rtopandensvous-même.
CLITANDRE Si ie ſçauois qui ce peut eſtre ie luy donnerois en voſtre preſence de l’épée dans le ventre.	CLITANDRE Si a sçauois qui ce peut être ici ici donnerais en votre présence de l'épée dans le ventre.
Mr DE SOTENVILLE.	Mr DE SOTENVILLE.
Soûtenez done la choſe.	Soutenez done la chose.
G.	G.
DANDIN Elle eſt toute ſoutenue cela eſt vray.	DANDIN Elle est toute soutenue cela est vrai.
CLITANDRE Eſt-ce voſtre gendre.	CLITANDRE Est-ce votre gendre.
Monſieur qui.	Monsieur qui.
Mr DE SOTENVILLE Ouy, c’eſt luy-meſme qui s’en eſt plaint à moy	Mr DE SOTENVILLE Oui, c'est lui-même qui s'en est plaint à moi
CLITANDRE Certes il peut remercier l’auantage qu’il a de vous appartenir & ſans cela ie luy apprendrois bien à temir de pareils ducours d’vnt perionne comme moy.	CLITANDRE Certes il peut remercier l'avantage qu'il a de vous appartenir et sans cela ie lui apprendrais bien à témir de pareils ducours d'unt perionne comme moi.
SCENE VI.	SCÈNE VI.
Mr & Me DE BOTENVILLE ANOUETJVE CLITANDRE, GEORGE DANDIN, CLAVD NE	Mr et Me DE BOTENVILLE ANOUETUE CLITANDRE, GEORGE DANDIN, CLAUD NE
Me DE SOTENI LE Our ce qui eſt de c la la palauſie eſt vne érrange Tchoſell'amsine icomo ſi le pour éclaitcir l'aſtaieen preſence de tout le men te	Me DE SOTENI LE Our ce qui est de ç la la palausie est une érrange Tosell'amsine icomo si le pour éclaitcir l'astaieen présence de tout le men te
CLITANURE Eſt ce donc vous;	CLITANURE Est -ce donc vous;
Madams qu'auez di.	Madams qu'avez di.
à voſtre ma y que ie ſuis amoureux de sous?	à votre ma y que personne suis amoureux de sous?
ANGELIQVE Moy' & comment luy aurois je dit?	ANGELIQUE Moi' et comment lui aurais je dit?
eſt-ce que cela eſt?	est-ce que cela est?
le voudrois bien le voir vrayement que vous foſſiez amoureux de moy Ioüez-vous-y ie vous en prie vous trouuerez à qui parler.	le voudrais bien le voir vraiment que vous fossiez amoureux de moi Iugez-vous-y toujours vous en prie vous trouverez à qui parler.
C’eſt vne choſe que ie vous conſeille de faire ayez recours pour voir à tous les détours des Amans:	C'est assez chose que ici vous conseille de faire ayez recours pour voir à tous les détours des Amants:
Eſſayez vn peu par plaiſir à m’enuoyer des Ambaſſades à m’écrire ſeeretement de petits billets doux, à é ier les momens que mon mary n’y ſera pas, ou le temos que ie ſortiray, pour me parler de voſtre amour:	Essayez un peu par plaisir à m'envoyer des Ambassades à m'écrire secrètement de petits billets doux, à é jer les moments que mon mari n'y sera pas, ou le temps que mille sortirai, pour me parler de votre amour:
Vous n’auez qu’à y venir je vous promets que vous fiien receu comme il faut.	Vous n'avez qu'à y venir je vous promets que vous fiè receu comme il faut.
CLITANDRE Hé la, ia, madame tout doucement:	CLITANDRE Hé la, ja, madame tout doucement:
il n’eſt pas neceſſaire de me faire tant de leçons, & de vous tant ſcandaliſer qui vous dit que ie ſonge à vous aimer?	il n'est pas nécessaire de me faire tant de leçons, et de vous tant scandaliser qui vous dit que ie pas à vous aimer?
ANGELIQVE Que ſçay-je moy ce qu’on me vient conter icy?	ANGELIQUE Que sais-je moi ce qu'on me vient conter ici?
CEITANDRE On dira ce que l'on vouura Mais vous iģauez ſi ie vous ay parlé d’amour lors que ie vous ay rehcõtrée.	CEITANDRE On dira ce que l'on voudra Mais vous iģauez si ie vous ai parlé d'amour lors que je vous ai rehcõtrée.
ANGELIQYE Vous n’auïez qu'à le faire, vous auriez eſté bien	ANGELIQYE Vous n'avouez qu'à le faire, vous auriez été bien
venu.	venu.
CLITANDRE Ie vous aſſeure qu’auec moy vous n’auez rien à craindre:	CLITANDRE -Je vous assure qu'avec moi vous n'avez rien à craindre:
Que ie ne ſuis point homme à donner du chagrin aux belles, & que ie vous reſpecte trop, & vous & Meſſieurs vos parens, pour auoir la penſée d’eſtre amoureux de vous.	Que personne ne suis point homme à donner du chagrin aux belles, et que je vous respecte trop, et vous et Messieurs vos parents, pour avoir la pensée d'être amoureux de vous.
Me DE SOTENVILLE duu dren, voun re voyez.	Me DE SOTENVILLE du ren, voun re voyez.
Mr DE SOTENVILLE Vous voila ſatisfait, mon gendre, que dites-vous a celar G DANDIN	Mr DE SOTENVILLE Vous voilà satisfait, mon gendre, que dites-vous a celar G ANDIN
Ie dis que ce ſont là des contes à dormir debout;	Je dis que ce sont là des contes à dormir debout;
Que ie ſçay bien ce que ie ſçay, & que tantoſt puis qu’il faut parler, elle a receu une ambaſſade de ſa part ANGELIQVE Moy, i’ay receu une ambaſſade?	Que ie sais bien ce que ici sais, et que tantôt puis qu'il faut parler, elle a reçu une ambassade de sa part ANGELIQUE Moi, j'ai reçu une ambassade?
CLITANDRE I’ay enuoye une ambaſſade t	CLITANDRE J'ai envoie une ambassade t
Claudine.	Claudine.
ANGELIQVE CLITANDRE Eſt il vray?	ANGELIQUE CLITANDRE Est il vrai?
CLAVDINE Par ma foy, voila une étrange fauſſeté.	CLAUDINE Par ma foi, voilà une étrange fausseté.
G.	G.
DANDIN Taiſez-vous, carogne que vous eſtes, ie ſçay de vos nouuelles, & c’eſt vous qui tantoſt auez intro	DANDIN Taisez-vous, carogne que vous êtes, Elle sais de vos nouvelles, et c'est vous qui tantôt avez intro
duit le Courier.	duit le Courier.
CLAVDINE Qui moy?	CLAUDINE Qui moi?
11 G DANDIN Ouy vous, ne faites pas tant la ſucrée.	11 G ANDIN Oui vous, ne faites pas tant la sucrée.
CLAVDINE Helas!	CLAUDINE Hélas!
que le monde aujourd'hui eſt rempli de ii eiancete, de manir ſoubçonner ainſi, moy qui ſuis l’innocence meſme	que le monde aujourd'hui est rempli de ji eiancète, de manir soubonner ainsi, moi qui suis l'innocence même
G DANDIN Taiſez-vous, bonne piece Vous faites la ſournoiſe mais ie vous connois il y a long-temps, & vous	G GANDIN Taisez-vous, bonne pièce Vous faites la sournoise mais ie vous connais il y a longtemps, et vous
eſtes vne deſſalée.	êtes une dessalée.
CLAVDINE Madame, eſt-ce que.	CLAUDINE Madame, est-ce que.
,	,
G.	G.
DANDIN Taiſez-vous vons dis le vous vourriez bien porter la folle enchere de tous les autres:	DANDIN Taisez-vous vons dis le vous vourriez bien porter la folle enchère de tous les autres:
& vous n’auez posnt de pere Gentilhomme.	et vous n'avez posnt de père Gentilhomme.
ANGELIQVE C’eſt vne impoſtare ſi grande, & qui me touche ſi fort au cœur que ie ne puis pas méme auoir la force d'y fepoune eei’eſt bien horrible d’eſtre accuſée par vn mare lars qu’on ne luy fait rien qui ne ſoit à faire:	ANGELIQUE C'est une impostare si grande, et qui me touche si fort au cœur que je ne puis pas même avoir la force d'y fepoune eei’ est bien horrible d'être accusée par un ma lars qu'on ne me fait rien qui ne soit à faire:
Helas!	Hélas!
ſi ie ſuis blâmable de quelque choſe, c’eſt d’en vſer trop bien auec luy.	si ici suis blâmable de quelque chose, c'est d'en user trop bien auec luy.
CLAVDINE Aſſeurément.	CLAUDINE Assurément.
ANGELIQVE Tout mon malheur eſt de le trop conſi lerer, & pluſt au Cu que ie fuſſe capable de ſouffrir comme il dit, les palanterles de quelqu’vn, le ne refois pas lant a plaidre.	ANGELIQUE Tout mon malheur est de le trop consi dérer, et plût au Cu que sans fusse capable de souffrir comme il dit, les palanterles de quelqu'un, le ne refois pas lant a plaidre.
nuieu, ie me retire & ie ne puis plus endurer qu’on m’outrage de cette ſorte.	nuiv, Seigneur me retire et ainsi ne puis plus endurer qu'on m'outrage de cette sorte.
M DE SOTENVILLE Allez vous ne meritez pas l’honneſte femme qu’on	M ME SOTENVILLE Allez -vous ne méritez pas l'honnête femme qu'on
vous a donnée.	vous a donnée.
CLAVDINE Par ma foy, il meriteroit qu’on luy fiſt dire vray, & ſi i'eſtois en ſa place, ie n’y marchanderois pass Ouy, Monſieur, vous deuez, pour le punir, faire.	CLAUDINE Par ma foi, il mériterait qu'on lui fît dire vrai, et si j'étais en sa place, notre n'y marchanderais pass Ui, Monsieur, vous devez, pour le punir, faire.
l’amour à ma maiſtreſſe:	l'amour à ma maîtresse:
Pouſſez c’eſt moy qui vous le dis ce ſera fort bien employé & ie m’offre à vous y ſeruir puiſqu’il m’en a deja taxée	Poussez c'est moi qui vous le dis ce sera fort bien employé et tu m'offre à vous y servir puisqu'il m'en a déjà taxée
Mr DE SOTENVILLE Vous meritez, mon gendte qu’on vous diſe ces choſes-là, & voſtre procedé met tout le monde con	Mr DE SOTENVILLE Vous méritez, mon gendte qu'on vous dise ces choses-là, et votre procédé met tout le monde con
tre vous.	tre -vous.
Me DE SOTENVILLE Allez ſongez à mieux traiter vne Demoiſelle bien née.	Me DE SOTENVILLE Allez songez à mieux traiter une Demoiselle bien née.
& prenez garde delormais à ne pius faire de pareilles beueues.	et prenez garde délormais à ne pius faire de pareilles buvez.
G DANDIN I'enrage de bon cœur d’auoir tort, lors que i'ay	G GANDIN J'enrage de bon cœur d'avoir tort, lors que j'ai
raiſon CLITANDRE Monſieur vous voyez comme j’ay eſté fauſſement accuie:	raison CLITANDRE Monsieur vous voyez comme j'ai été faussement accuie:
Vous entes homme qui icauez le maximes du point d’honneur & ie vous demande raiſon de l’affront qui m'a eſté fait	Vous entes homme qui icavez le maximes du point d'honneur et je vous demande raison de l'affront qui m'a été fait
Mr DE SOTENVILLE Cela eſt juſte, & c'eſt l'ordre des procedez:	Mr DE SOTENVILLE Cela est juste, et c'est l'ordre des procédez:
Allons, mon gendre, faites ſatisfaction à Monſi ur.	Allons, mon gendre, faites satisfaction à Monsieur.
O llinto le.	Ô llinto le.
Comment fatisfaction?	Comment satisfaction?
Mr DE SOTENVILLE Ouy cela ſe doit dans les regles pour l’auoir à tort	Mr DE SOTENVILLE Oui cela se doit dans les règles pour l'avoir à tort
accuſé.	accusé.
G DANDIN C'eſt vne choſe moy dont ie ne demeure pas d’accord de l’auoir à tort accuſé, & ie ſçay bien ce que ien peme.	G GANDIN C'est une chose moi dont je ne demeure pas d'accord de l'avoir à tort accusé, et ici sais bien ce que yen peme.
Mr DE LOTENVILLE Il n’importe:	Mr DE LOTENVILLE Il n'importe:
Quelque penſée qui vous puiſſe reſter il a nié c’eſt ſatisfaire les perſonnes & l'on na nul droit de ſe plaindre de tout homme qui ſe dédit,	Quelque pensée qui vous puisse rester il a nié c'est satisfaire les personnes et l'on na nul droit de se plaindre de tout homme qui se dédit,
G.	G.
DANDIN Si bien done que ſi ie le trouuois couché auec ma femme, il en ſeroit quitte pour ſe dédire.	DANDIN Si bien done que si personne le trouvais couché auec ma femme, il en serait quitte pour se dédire.
Mr DE SOTENVILLE Point de raiſonnement, Faites luy les excuſes que ie vous dis	Mr DE SOTENVILLE Point de raisonnement, Faites lieux les excuses que quand vous dis
G.	G.
DANDIN Moy, ie luy feray encore des excuſes apres.	DANDIN Moi, ie lui ferai encore des excuses après.
Mr DE SOTENVILLE Allons vous dis-je.	Mr DE SOTENVILLE Allons vous dis-je.
Il u’y a rien à balancer & vous n’auez que faire d’auoir peur d’en trop faire, puiſque c’eſt moy qui vous conduis	Il nu'y a rien à balancer et vous n'avez que faire d'avoir peur d'en trop faire, puisque c'est moi qui vous conduis
Ie ne ſçaurois.	Je ne saurais.
G.	G.
DANDIN	DANDIN
Mr DE SOTENVILLE Corbieu mon penort ne m’echauffez pas la bile, ie me mettrois auec luy contre vous:	Mr DE SOTENVILLE Corbieu mon pénort ne m'échauffez pas la bile, Seigneur me mettrais auectaît contre vous:
Allons laiſſezvous gouuerner par moy.	Allons laissezvous gouverner par moi.
G DANDIN liu, George Dandin !	G GANDIN liv, George Dandin !
Mr DE SOTENVILLE Voſtre bonnet à la main le premier, Monſieur eſt Gentiſnomme & vous Le renes pass	Mr DE SOTENVILLE Votre bonnet à la main le premier, Monsieur est Gentisnomme et vous Le renes pass
G DANDIN I'enrage.	G GANDIN J'enrage.
Mr DE SOTENVILLE Répetez apres moy Monſieur.	Mr DE SOTENVILLE Répétez après mo Monsieur.
G DANDIN MAMHI Mr DE SOTENVILLE Il voit que ſon gendre fait difficultè de luy obeyr.	G GANDIN MAMHI Mr DE SOTENVILLE Il voit que son gendre fait difficultète de Seigneur obéir.
le vous demanue parden lin.	le vous demanue parden lin.
G DANDIN Ie vous demande pardon.	G GANDIN Je vous demande pardon.
Mr DE SOTENVILLE Des mauuaiſes penſées que i’ay euës de vous.	Mr DE SOTENVILLE Des mauvaises pensées que j'ai eues de vous.
G.	G.
DANDIN Des mauuaiſes penſées que i’ay tües de vous,	DANDIN Des mauvaises pensées que j'ai tue de vous,
Mr DE SOTENVILLE C’eſt que ie n’auois pas l’honneur de vous connoiſtre.	Mr DE SOTENVILLE C'est que tu n'avais pas l'honneur de vous connaître.
G DANDIN C'eſt que ie n’auois pas l’honneur de vous connoiſtre.	G GANDIN C'est que je n'avais pas l'honneur de vous connaître.
Me DE SOTENVILLE Et ie vous prie de croire	Me DE SOTENVILLE Et je vous prie de croire
CICILE DANDIN.	CICILE DANDIN.
Et ie vous prie de croire:	Et ici vous prie de croire:
Mur DASOIENVILIE Que ie ſuis voſtre ſeruiteur	Mur DASOIENVILIE Que tu suis votre serviteur
G DANDIN Voulez vous que ie ſois ſeruiteur d’vn homme qui me veut fair?	G GANDIN Voulez -vous que je sois serviteur d'un homme qui me veut fair?
Cocu?	Cocu?
Mr DE SOTENVILLE 1e le menate entore.	Mr DE SOTENVILLE 1e le menate entore.
Ah!	Ah!
CLITANDRE Il ſuffit, Monſieur.	CLITANDRE Il suffit, Monsieur.
Mr DE SOTENVILLE Non ie veux qu’il acheue, & que tout aille dans les formes.	Mr DE SOTENVILLE Non ie veux qu'il achève, et que tout aille dans les formes.
Que ie ſuis voſtre ſeruiteur.	Que ie suis votre serviteur.
G.	G.
DANDIN Que ie ſuis voſtre ſeruiteur	DANDIN Que tu suis votre serviteur
CLITANDRE Monſeur, ie fuis le voſtre de tout mon cœur & ie ne ſonge plus à ce qui s’eſt paſſé Pour vous Monſieur Le vous donne le bonjour, & ſuis faſché du petit chaigrin que vous auez eu	CLITANDRE Monsieur, on fuis le vôtre de tout mon cœur et ie ne songe plus à ce qui s'est passé Pour vous Monsieur Le vous donne le bonjour, et suis fâché du petit chaigrin que vous avez eu
Dn Corhatleni.	Dn Corhatleni.
Ie vous baiſe les mains & quand il vous plaira, ie vous donneray le diuertiſſement de courre vn liévre.	Je vous baise les mains et quand il vous plaira, je vous donnerai le divertissement de courre un lièvre.
CLITANDRE C’eſt trop de grace que vous me faites.	CLITANDRE C'est trop de grâce que vous me faites.
Mr DE SOTENVILLE Voila mon gendre comme il faut pouſſer les choſes Adieu.	Mr DE SOTENVILLE Voila mon gendre comme il faut pousser les choses Adieu.
Sçachez que vous eſtes entré dans vne famille qui vous donnera de l’appui, & ne ſouffrira point que l’on vous faſſe aucun affront.	Sachez que vous êtes entré dans une famille qui vous donnera de l'appui, et ne souffrira point que l'on vous fasse aucun affront.
GEORGE DANDIN.	GEORGE DANDIN.
H que ie vous l’auez vouln vous l’auez vouAlu George Dandin vous l’auez voulu cela vous ſied fort bien & vous voila ajuſté comme il faut.	H que je vous l'avez vouln vous l'avez vouAlu George Dandin vous l'avez voulu cela vous sied fort bien et vous voilà ajusté comme il faut.
vous auez juſtement ce que vous meritez Allons, il s’agit ſeulement de deſabuſer le pere & la mere, & ie pourray trouuer peut-eſtre quelque moyen dey reüſſir.	Vous avez justement ce que vous méritez Allons, il s'agit seulement de désabuser le père et la mère, et ie pourrai trouver peut-être quelque moyen de réussir.
AETETA SCENE PREMIERE, CLAVDINE LVBIN,	AETETA SCÈNE PREMIÈRE, CLAUDINE LUBIN,
CLAVDINE Oy i’ay bien deuiné qu’il falloit que cela vinſt V de toy & que tu l’euſſis dit à quelqu’vn qui I'ait rapporté à noſtre Maiſtre.	CLAUDINE Oi j'ai bien deviné qu'il fallait que cela vinst V de toi et que tu l'eussis dit à quelqu'un qui J'ait rapporté à notre Maître.
LVBIN Par ma foy ie n’en ay touché qu’vn petit mot en paſſant à va himme afin qu’il ne dit point qu’il m’auoit vû fortir, & il faut que les gens en ce païs icy ſoienc de grands babillards	LUBIN Par ma foi ici n'en ai touché qu'un petit mot en passant à va himme afin qu'il ne dit point qu'il m'avait vu sortir, et il faut que les gens en ce pays ici soyenc de grands babillards
CLAVDINE Vrayment ce Mouſitur le Viconte à bien choiſi ſon monde que de te prendre pour ſon Ambaſſadeur & il s’eſt allé ſeruir là d’vn homme bien chanceux.	CLAUDINE Vraiment ce Mousitur le Vicomte à bien choisi son monde que de te prendre pour son Ambassadeur et il s'est allé servir là d'un homme bien chanceux.
LVBIN Va vne autre fois ie ſeray plus nn, & le plenairy mieux garde à moy:	LUBIN Va une autre fois ie serai plus nn, et le plenairi mieux garde à moi:
CLAVDINE Ouy, ouy, nIera temps.	CLAUDINE Oui, oui, nIera temps.
LVBIN.	LUBIN.
Ne parlons plus de cela, eſcoute;	Ne parlons plus de cela, écoute;
CLAVDINE Que veux tu que i’eſcoute?	CLAUDINE Que veux tu que j'écoute?
LVBIN Tourne vn peu ton viſage deuers moy?	LUBIN Tourne un peu ton visage devers moi?
garde:	garde:
CLAVDINE le m’en fejouts;	CLAUDINE le m'en fejouts;
LVEIN Conment eſt-ce que tu fais pour eſtre ſi iolie?	LUEIN Conment est-ce que tu fais pour être si jolie?
CLAVDINE Ie fais comme font les autres.	CLAUDINE Je fais comme font les autres.
LVBIN.	LUBIN.
Vois-tu, il ne faut point tant de beurre pour faire vn quarteron Si tu veux tu ſeras ma femme, ie ſeray ton mary & nous ſerons tous deux mary & femme.	Vois-tu, il ne faut point tant de beurre pour faire un quarteron Si tu veux tu seras ma femme, ie était ton mari et nous serons tous deux mari et femme.
CLAVDINE Ta ſerois peut-eſtre jaloux comme noſtre Maiſtre:	CLAUDINE -Ta serais peut-être jaloux comme notre Maître:
IVBIN	IUBIN
Point.	Point.
CLAVDINE Pour moy ie hays les liraris roupçomena, dren veux un qui ne s’épouuante de rien, vn ſi plein de conſiance, & ſi ſeur de ma chaſteté qu’il me viſt ſans inquietude au milieu de trente hommes:	CLAUDINE Pour moi -même hais les liris roupçomena, dren veux un qui ne s'épouvante de rien, un si plein de constance, et si sûr de ma chasteté qu'il me vit sans inquiétude au milieu de trente hommes:
LVBIN Hé bien, ie ſeray tout comme cela:	LUBIN Hé bien, votre serai tout comme cela:
CLAVDINE C’eſt la plus ſotre choſe du monde que de ſe deffier d’vne femme & de la tourmenter.	CLAUDINE C'est la plus sotre chose du monde que de se défier d'une femme et de la tourmenter.
La verité de l’affaire eſt qu’on n'y gagne rien de bon, cela nous fait ſonger à mal, & ce ſont ſouuent les maris qui auec leurs vacarmes ſe font eux meſmes ce qu’ils ſont:	La vérité de l'affaire est qu'on n'y gagne rien de bon, cela nous fait songer à mal, et ce sont souvent les maris qui avec leurs vacarmes se font eux -mêmes ce qu'ils sont:
LVBIN	LUBIN
Hé bien, ie te donneray la liberté de faire tout ce	Hé bien, Seigneur te donnerai la liberté de faire tout ce
qu’il te plaira:	qu'il te plaira:
CLAVDINE Voila comme il faut faire pour n’eſtre point trompé.	CLAUDINE Voilà comme il faut faire pour n'être point trompé.
Lors qu’vn mary ſe met à noſtre diſcretion nous ne prenons de liberté que ce qu’il nous en faut & il en eſt comme auec ceux qui nous ouurent leur bource & nous diſent, prenez Nous en vſons honneſtement, & nous nous contentons de la raiſon.	Lors qu'un mari se met à notre discrétion nous ne prenons de liberté que ce qu'il nous en faut et il en est comme avec ceux qui nous ouvrent leur bourse et nous disent, prenez Nous en usons honnêtement, et nous nous contentons de la raison.
Mais ceux qui nous chicanent nous nous efforçons de les	Mais ceux qui nous chicanent nous nous efforçons de les
LVBIN Va.	LUBIN Va.
Ie ſeray de ceux qui ouurent leur bource, & tu n’as qu’à te marier auec moy,	Je serai de ceux qui ouvrent leur bource, et tu n'as qu'à te marier avec moi,
CLAVDINE Hé bien bien nous verrons.	CLAUDINE Hé bien bien nous verrons.
LVBIN.	LUBIN.
uſen done Iey, clauume:	usen donce Jei, claume:
Que veux-tu?	Que veux-tu?
Viemte dis-je.	Viemte dis-je.
CLAVDINE EVBIN CLAVDINE Ah!	CLAUDINE EUBIN CLAUDINE Ah!
doucement.	doucement.
Ie n’aime pas les patineure.	Je n'aime pas les patinure.
LVBIN Eh vn petit brin d’amitié	LUBIN Eh un petit brin d'amitié
CLAVDINE Laiſſe moy là, te dis-je, ie n’entends pas raillerie;	CLAUDINE Laisse -moi là, te dis-je, tu n'entends pas raillerie;
Ciaudme Ahy!	Ciaudme Ahi!
LVRIN.	LURIN.
CLAVDINE LVBIN	CLAUDINE LUBIN
Ah!	Ah!
que tu es rude à pauures gens.	que tu es rude à pauvres gens.
Fy, que cela eſt mal honneſté de refuſer les perſonnes N’as-tu poms de fante den e cene ce ue ne vouloir pas qu’on te carr.	Fi, que cela est mal honnesté de refuser les personnes N'as-tu poms de santé den e cène ce ue ne vouloir pas qu'on te carr.
ſſe?	sse?
Eh là.	Eh là.
Tu t’émancipes rrop:	Tu t'émancipes rop:
LVBIN Qole ce queeula te euuneronde me laiſſer vn peu faire?	LUBIN Qole ce queeula te euuneronde me laisser un peu faire?
CLAVDINE	CLAUDINE
CLAVDINE Ie te donneray ſur le nez LVBIN Oh la farouche La ſauuag Fl poüa la vilaine qui eſt cruelle.	CLAUDINE Je te donnerai sur le nez LUBIN Oh la farouche La sauvag Fl poua la vilaine qui est cruelle.
CLAVDINE	CLAUDINE
Ii faut que tu te donnes pacience.	Ji faut que tu te donnes pacience.
LVBIN Vn petit baiſer ſeulement en rabattant ſur noſtre	LUBIN Un petit baiser seulement en rabattant sur notre
mariage CLAVDINE Ie ſuis voſtre Seruante:	mariage CLAUDINE Je suis votre Servante:
LVBIN Claudine, ie t'en prie ſur l’et-tant moins.	LUBIN Claudine, je t'en prie sur l'et-tant moins.
CLAVDINE En que nenni l’y al deha effe attrapée.	CLAUDINE En que nenni l'y al deha esse attrapée.
Adieu.	Adieu.
Va-t’en, & dis à Monſieur le Vicomte que i'aurai ſoin de rendre ſon billet.	Va-t-en, et dis à Monsieur le Vicomte que j'aurai soin de rendre son billet.
Adieu beauté rude aſniere.	Adieu beauté rude ânière.
LVB.	LUB.
N	N
CLAVDINE Le mot eſt amoureux.	CLAUDINE Le mot est amoureux.
LVBIN Adieu rocher, caillou, pierre de taille, & tout ee qu’il y a de plus dut au monde.	LUBIN Adieu rocher, caillou, pierre de taille, et tout ce qu'il y a de plus dut au monde.
CLAVDINE Ie vais remettre aux mains de ma Maiſtreſſe.	CLAUDINE Je vais remettre aux mains de ma Maîtresse.
Mais la voici auec fon Mari, eſloignons-nous, & attendons qu’elle ſoir ſeule.	Mais la voici apprendre son Mari, éloignons-nous, et attendons qu'elle soir seule.
SCENE	SCÈNE
SCENE II.	SCÈNE II.
GEORGE DANDIN, ANGELIQVE, CLITANDRE	GEORGE DANDIN, ANGELIQUE, CLITANDRE
GEORGE DANDIN (On non on ne s’abuſe pas auee tant de facilité, N&lie ne ſuis que trop certain que le raport que l’on m’a fait eſt veritable:	GEORGE DANDIN (On non on ne s'abuse pas avée tant de facilité, Netlie ne suis que trop certain que le rapport que l'on m'a fait est véritable:
l’ay de meilleurs yeux qu’on ne penſe, & voſtre galimathias ne m’a point tantoſt ébloüy:	l'ai de meilleurs yeux qu'on ne pense, et votre galimathias ne m'a point tantôt ébloui:
CLITANDRE Ah la voila Mais le mary eſt auec elle.	CLITANDRE Ah la voilà Mais le mari est avec elle.
G.	G.
DANDIN.	DANDIN.
Au trauers de toutes vos grimaces, i’ay veu la verité de ce que l’on m’a dit, & le peu de reſpect que vous auez pour le nœud qui nous ioint.	Au travers de toutes vos grimaces, j'ai vu la vérité de ce que l'on m'a dit, et le peu de respect que vous avez pour le nœud qui nous joint.
Mon Dieu, laiſſez là voſtre reuerence ce n’eſt pas de ces ſortes de reſpect dont ie vous parle, & vous n’auez que faire de vous mocquer:	Mon Dieu, laissez là votre révérence ce n'est pas de ces sortes de respect dont ie vous parle, et vous n'avez que faire de vous moquer:
ANGELIQVE Moy, me motquer?	ANGELIQUE Moi, me motquer?
en aucune façon:	en aucune façon:
G.	G.
DANDIN.	DANDIN.
Ie ſçay voſtre penſée, & connois.	Je sais votre pensée, et connais.
Encore?	Encore?
ah ne raillons point dauantage:	ah ne raillons point davantage:
ie n’ignore pas qu’â cauſe de voſtre nobleſſe vous me tenez fort au deſſous de rous;	Ce n'ignore pas qu'ât cause de votre noblesse vous me tenez fort au dessous de rous;
d ie reſpect que ie vous veux dire ne regarde point ma perſonne.	 dune respect que je vous veux dire ne regarde point ma personne.
I’entens parler de celuy que vous deuez à des nœuus aun venerabies que le lent ceux du mariage.	J'entends parler de celui que vous devez à des nœuus aun venabies que le lent ceux du mariage.
Il ne faut point leuer les épaules, & ie ne dis point de ſottiſes.	Il ne faut point lever les épaules, et ie ne dis point de sottises.
ANGELIQVE Qui ſonge à leuer les épaules?	ANGELIQUE Qui songe à lever les épaules?
G.	G.
DANDIN.	DANDIN.
Mon Dieu, nous voyons clair!	Mon Dieu, nous voyons clair!
