Avec Permiſſion.	Avec Permission.
Elle-même Pyrrha me l’a tantôt conté, Il n'eſt rien plus veritable.	Elle-même Pyrrha me l'a tantôt conté, Il n'est rien plus véritable.
LYSIDAS.	LYSIDAS.
Ce n’eſt point un petit matois Qui n’a pas de hauteur plus d’un quart de coudée, Dont la taille eſt mal-faite, & la mine ridée, Qui n’a ny preſtance, ny voix, Et qui tantôt au ſortit de ce bois Lame de rage poſſedée Tenoit entre ſes bras deux filles à la fois.	Ce n'est point un petit matois Qui n'a pas de hauteur plus d'un quart de coudée, Dont la taille est mal-faite, et la mine ridée, Qui n'arés prestance, ni voix, Et qui tantôt au sortit de ce bois Lame de rage possédée Tenait entre ses bras deux filles à la fois.
TYRSIS.	TYRSIS.
Les appurences ront petites Que l’Amour ſoit ce que vous dites:	Les appurences ront petites Que l'Amour soit ce que vous dites:
Car te n'en point ainn que l'on depeint et Dieu.	Car te n'en point ainût que l'on dépeint et Dieu.
LYSIDAS.	LYSIDAS.
Quel Dieu;	Quel Dieu;
TYRSIS.	TYRSIS.
Le Dieu qui fait qu’on aime, Et que du haut du Ciel eſt deſcendu luy même Pour paſſer avec nous les fête en ce lieu.	Le Dieu qui fait qu'on aime, Et que du haut du Ciel est descendu deux même Pour passer avec nous les fête en ce lieu.
LYSIDAS.	LYSIDAS.
Peſte quel Dieu pour moy, parbleu j’en ay dans Mais encor comme eſt il baſty.	Peste quel Dieu pour moi, parbleu j'en ai dans Mais encor comme est il bâti.
I l'aiſle, Quel eſt ſon air, ſon port, ſa taille, ſon modele, Et que vient-il faire icy?	I l'aile, Quel est son air, son port, sa taille, son modèle, Et que vient-il faire ici?
TYRSIS.	TYRSIS.
Ma foy ſi vous voulez en ſçavoir davantage, C’eſt à d’autres qu’a moy qu’il le faut demander.	Ma foi si vous voulez en savoir davantage, C'est à d'autres qu'a moi qu'il le faut demander.
LYSIDAS Je veux être pendu ſi ce n’eſt le viſage Que par mes crys tantôt je n’ay pû retarder C iij Qui me fait faire ce meſſage.	LYSIDAS Je veux être pendu si ce n'est le visage Que par mes cris tantôt je n'ai pu retarder Ç iij Qui me fait faire ce message.
Il pretendoit chez moy paſſer pour un eſprit, Et chez d’autres bergers en changeant de langa Il eſt allé d’un Dieu joüer le perſonnage, Mais ſi j’ay dans ces dieux encor quelque credit On lâchera ſur luy tous les chiens du village, Et ſonnant le tocſin dans tout le voifinage, On fera deſerter ce ſceletat maudit Comment venir icy ſuborner nos bergeres, Et nous venit porter malheut :	Il prétendait chez moi passer pour un esprit, Et chez d'autres bergers en changeant de langa Il est allé d'un Dieu jouer le personnage, Mais si j'ai dans ces dieux encor quelque crédit On lâchera sur lui tous les chiens du village, Et sonnant le tocsin dans tout le voisinage, On fera déserter ce scletat maudit Comment venir ici suborner nos bergères, Et nous venit porter malheut :
Ah je vas montrer quil eſt de nõtre honneur De le chalier de nos rorieres.	Ah je vas montrer quil est de notre honneur De le chalier de nos rorières.
ACIETI.	ÀCIETI.
SCENE I.	SCÈNE I.
LAMOUR MOMUS.	LAMOUR MOMUS.
L’AMOUR E bien:	L'AMOUR E bien:
en quel etat as-tu mis les affaires, IIEt dans le temps qu’ailleurs j’étois embaraſſé A faite aimer & bergers & bergeres Comment tout s’eſt-il paſſé?	en quel état as-tu mis les affaires, JIEt dans le temps qu'ailleurs j'étais embarrassé A faite aimer et bergers et bergères Comment tout s'est-il passé?
MOMUS.	MOMUS.
Pai ima foy le inie da da ſoude, Et touché que j’étois de l’ardeur de vos feux, Rien ne s’en eſt fallu que je n’en aye mis deux, L’une brune & l’autre blonde En état de me rendre heureux.	Pai ima foi le inie da da soude, Et touché que j'étais de l'ardeur de vos feux, Rien ne s'en est fallu que je n'en aie mis deux, L'une brune et l'autre blonde En état de me rendre heureux.
L’AMOUR.	L'AMOUR.
Ah, Momus, c’eſt pouſſer trop loin la raillerie:	Ah, Momus, c'est pousser trop loin la raillerie:
Ta malice à la fin pourroit nous faire tort.	Ta malice à la fin pourrait nous faire tort.
Il n’étoit pas beſoin de ſe nommer d’abord, Et ce n’eſt qu’à la fin de la ceremonie Qu’ii faſſoit de ta bouche éclaircir notre Iort.	Il n'était pas besoin de se nommer d'abord, Et ce n'est qu'à la fin de la cérémonie Qu'y sassait de ta bouche éclaircir notre Iort.
MOMUS.	MOMUS.
Vos leçons il eſt vray ſont toutes merveilleuſes:	Vos leçons il est vrai sont toutes merveilleuses:
On ne peut rien oüyr de plus ſpirituel.	On ne peut rien ouïr de plus spirituel.
Mais je ne ſçais pourtant quand mon plaiſir eſt tel ’en trouve quelquefois d’un peu deffectueuſes.	Mais je ne sais pourtant quand mon plaisir est tel 'en trouve quelquefois d'un peu défectueuses.
Car à vous voir parler ainſi Il ſemble que voulez dire Que quand on part des Cieux, & qu’on deſcend icy, Ce ne doit point être pour rire, Et que c’eſt Seulement pour avoir du Soucy.	Car à vous voir parler ainsi Il semble que voulez dire Que quand on part des Cieux, et qu'on descend ici, Ce ne doit point être pour rire, Et que c'est Seulement pour avoir du Souci.
j’approuve bien vôtre maxime, Et trouve comme vous qu’il faut ſouvent pâtir, Mais je n’eſtime pas pour cela faire un crime, Lors que j en ay le lieu de me bien divertir.	j'approuve bien votre maxime, Et trouve comme vous qu'il faut souvent pâtir, Mais je n'estime pas pour cela faire un crime, Lors que j ' ai le lieu de me bien divertir.
L’AMOUR.	L'AMOUR.
Mais encor qu’as tu fait?	Mais encor qu'as tu fait?
MOMUS.	MOMUS.
De deux jeunes bergeres Toutes deux friſques & legeres L’une diſoit mon Dieu depuis un jour ma ſœur, Ie ne ſçais ce que jay dans le fond de mon cœur, Mais plus je m’examine & me ſonde moy-même, Plus je m’imagine que j’aime.	De deux jeunes bergères Toutes deux frisques et légères L'une disait mon Dieu depuis un jour ma sœur, Je ne sais ce que jay dans le fond de mon cœur, Mais plus je m'examine et me de moi-même, Plus je m'imagine que j'aime.
L’autre lui répondoit:	L'autre lui répondait:
en verité ma Sœur Nous avons donc même malheur, Car dont je ſuis toute étonnée, Sur tout depuis une journée, Je m’imagine aimer auſſi, Choſe dont j’ay bien du ſoucy.	en vérité ma Sœur Nous avons donc même malheur, Car dont je suis toute étonnée, Sur tout depuis une journée, Je m'imagine aimer aussi, Chose dont j'ai bien du souci.
A ces mots bravement je m’avançay vers elles C iiij	À ces mots bravement je m'avançai vers elles Ç iiij
Ne vous chagrinez point les belles, Leur dis je, il eſt aisé de vous bien contenter.	Ne vous chagrinez point les belles, Leur dis -je, il est aisé de vous bien contenter.
jugez ſi j’étois prêt à leur en bien conter:	jugez si j'étais prêt à leur en bien conter:
Ie me ſentois d’humeut à pouſſer la fleurette.	Je me sentais d'humut à pousser la fleurette.
Et comme j’étois prêt à coucher ſur l’herbette Celle qui me ſembloit mieux faite, Arrive un grand Berger qui criant comme trois.	Et comme j'étais prêt à coucher sur l'herbette Celle qui me semblait mieux faite, Arrive un grand Berger qui criant comme trois.
Dans le temps que je l’a baiſois Eut fait le Diable à quatre avec ſa Houlette, Si d’un Dieu comme vous je n’avois eu les droits ’avois bien du penchant à me faire de fête De faire un peu de peur à ce maître Berger, Et luy mettre martel en tête En prenanr le party de ne point déloger:	Dans le temps que je l'a baisois Eut fait le Diable à quatre avec sa Houlette, Si d'un Dieu comme vous je n'avais eu les droits 'avais bien du penchant à me faire de fête De faire un peu de peur à ce maître Berger, Et ainsi mettre martel en tête En prenanri le parti de ne point déloger:
Mais la crainte de vous déplaire Moongea de me retirer.	Mais la crainte de vous déplaire Moongea de me retirer.
Voyez ſi j'ay rien fait que ce que j’ay dû faire, Et ſi vous avez lieu contre moy de jurer.	Voyez si j'ai rien fait que ce que j'ai dû faire, Et si vous avez lieu contre moi de jurer.
L’AMOUR.	L'AMOUR.
Non, Momus, je n’ay point coutie toy de rancune, Et loin de voir à dire à tout ce que tu veux.	Non, Momus, je n'ai point coutie toi de rancune, Et loin de voir à dire à tout ce que tu veux.
Je voudrois que Momus heureux Eut oſé profiter de ſa bonne fortune.	Je voudrais que Momus heureux Eut osé profiter de sa bonne fortune.
MOMUS, Oh ne voux inquierez pas, Puiſqu’il plaît de la ſorte à vôtre Seigneurie, Je n’auray point l’humeur de ces Berge.	MOMUS, Oh ne voux inquierrez pas, Puisqu'il plaît de la sorte à votre Seigneurie, Je n'aurai point l'humeur de ces Berge.
s Soldats ne cherchent que les combats, Et pour vous obliger je feray quelque amie.	 Soldats ne cherchent que les combats, Et pour vous obliger je ferai quelque amie.
L’AMOUR.	L'AMOUR.
Je ne ſuis point fâché que tu prennes ce ſoin, Quand tu feras quelque conquête Tu ne troubleras point la fête Mais que je ſois exempt gen etle le temoin.	Je ne suis point fâché que tu prennes ce soin, Quand tu feras quelque conquête Tu ne troubleras point la fête Mais que je sois exempt gen et le témoin.
Ody dea:	Odi dea:
de vôtre miniſtere Croyez qu’on ſe paſſera bien, Je ferai fort bien mon affaite, Vous ne m’y ſervirez de rien.	de votre ministère Croyez qu'on se passera bien, Je ferai fort bien mon affaite, Vous ne m'y servirez de rien.
SCENE II.	SCÈNE II.
MOMUSPYRRHAMIRTILLE.	MOMUSPYRHAMIRTILLE.
YRRHA.	YRHA.
On je ne connois plus ny le ſort niles Dieux, IN Je ne ſuis plus du Ciel l’oracle & l’interprete, Où je dois trouvet en ces lieux Sous l’habit d’un berger armé d’une houlette Un Dieu des plus puiſſants & des plus glorieux D’annoncer l’avenir je renonce à l’uſage, Et quoy qu’il m’ait acquis de reputation Si je ne trouve pas l'amour dans ce boccage, le n’en fais plus profeſſion.	On je ne connais plus ni le sort niles Dieux, IN Je ne suis plus du Ciel l'oracle et l'interprète, Où je dois trouvet en ces lieux Sous l'habit d'un berger armé d'une houlette Un Dieu des plus puissants et des plus glorieux D'annoncer l'avenir je renonce à l'usage, Et quoi qu’il m'ait acquis de réputation Si je ne trouve pas l'amour dans ce boccage, le n'en fais plus profession.
Mais quel eſt ce Berger que nous voyons, Myrtille, Ne ſeroit ce iamais le Dieu que je veux voir?	Mais quel est ce Berger que nous voyons, Myrtille, Ne serait ce jamais le Dieu que je veux voir?
Il nous le faut un peu ſçavoir, La choſe n’eſt pas difficile.	Il nous le faut un peu savoir, La chose n'est pas difficile.
Oh il a quelque choſe au deſſus du Berger, Myrtille, maintenant je ne fais plus de doute Que ie Dieu qui nous écoute Ne ſoit le même Dieu que nous venons chercher.	Oh il a quelque chose au dessus du Berger, Myrtille, maintenant je ne fais plus de doute Que ie Dieu qui nous écoute Ne soit le même Dieu que nous venons chercher.
Abordons-le, Myrtille & ſçachons de ſa bouche Quel Sacrifice il veut qu’on offre à ſes Autels.	Abordons-le, Myrtille et sachons de sa bouche Quel Sacrifice il veut qu'on offre à ses Autels.
C'eſt moy cõme tu ſçais que regarde & que touche De tendreles honneuts qu’on doit aux Immortels.	C'est moi cõme tu sais que regarde et que touche De tendreles honnuts qu'on doit aux Immortels.
Grand Dieu n’étes.	Grand Dieu n'êtes.
vous pas la puiſſance ſupréme Qu’adorent les humains ſous le nom de l’Amour, Vous qui faites que chacun aime.	vous pas la puissance suprême Qu'adorent les humains sous le nom de l'Amour, Vous qui faites que chacun aime.
Juſtement.	Justement.
MOMUS.	MOMUS.
PYRRHA.	PYRHA.
Qu’un Berger offença l’autre jour Par une effronterie extréme,	Qu'un Berger offensa l'autre jour Par une effronterie extrême,
MOMUS.	MOMUS.
[me:	[me:
Et quoy donc:	Et quoi donc:
Juſtement, il eſt vray c’eſt moy-mêComment ne me connois-tu pas?	Justement, il est vrai c'est moi-mêComment ne me connais-tu pas?
N’eſt-ce pas le Berger?	N'est-ce pas le Berger?
PYRRHA.	PYRHA.
Le Berger Lyſidas.	Le Berger Lysidas.
MOMUS.	MOMUS.
Iuſtement.	Justement.
L’impudent m’osa dire un Blaſphême.	L'impudent m'osa dire un Blasphême.
Mais il verta bientôt ce que peſe mon bras,	Mais il verta bientôt ce que pèse mon bras,
PYRRHA.	PYRHA.
Qu'eſt le Dieu que j’ay vu, Seigneur, qui prend la MOMUS.	Qu'est le Dieu que j'ai vu, Seigneur, qui prend la MOMUS.
[ fuite.	[ fuite.
Ce n’eſt rien, ce n’eſt rien:	Ce n'est rien, ce n'est rien:
c’eſt des gens de ma ſuise.	c'est des gens de ma suise.
PYRRHA.	PYRHA.
Il eſt aîlé je crois?	Il est aîlé je crois?
MOMUS.	MOMUS.
C’eſt pour aller plus vîte.	C'est pour aller plus vite.
PYRRHA.	PYRHA.
Ah Dieux!	Ah Dieux!
qu’il eſt bienfait, que ſes yeux ont de feu, Que tous ſes traits ſont fins & qu’il a de metite, Si vous ne m’aviez dit qu’il eſt de vôtre ſuite Je l’aurois pris pour un Dieu.	qu'il est bienfait, que ses yeux ont de feu, Que tous ses traits sont fins et qu'il a de métite, Si vous ne m'aviez dit qu'il est de votre suite Je l'aurais pris pour un Dieu.
MOMUS.	MOMUS.
A voir les ſentimens que vous faites patoître Vous ſeriez d’humeur pteſque à luy faire la cour, Mais ſi pour ce mataut vous avez tant d’amour que dites-vous de ſon Maûtre	À voir les sentiments que vous faites patoître Vous seriez d'humeur ptesque à lui faire la cour, Mais si pour ce mataut vous avez tant d'amour que dites-vous de son Maûtre
MOMUS.	MOMUS.
»Te ſuis-je pas bien-fait, n’ay-je pas bonne mine, Et ſi je ſuis un peu petit, N’ay-je pas l’air fott noble & la taille bien fine?	»Te suis-je pas bienfait, n'ai-je pas bonne mine, Et si je suis un peu petit, N'ai-je pas l'air fott noble et la taille bien fine?
TIRRHA.	TIRHA.
Tout-à fait.	Tout-à fait.
MQMel C’eſt ce qui ſemble.	MÊQuel C'est ce qui semble.
PYKRHA.	PYRHA.
C’eſt ce qui me paroît auſſi.	C'est ce qui me paraît aussi.
MOMUS.	MOMUS.
Oh ça:	Oh ça:
mais où ſont donc vos Bergers, qu'on s’aſFaites les tous venir icy.	mais où sont donc vos Bergers, qu'on s'asFaites les tous venir ici.
ſemble,	semble,
PYRRHA.	PYRHA.
Seigneur, j’en vois pluſieurs des plus proches villaA qui vôtre preſence imprime du ter ſerpect i ges Qu’ils tranſiſſent à vôtre aſpect, Et n’oſent à vos pieds apporter leurs hommages.	Seigneur, j'en vois plusieurs des plus proches villa qui votre présence imprime du ter serpect y gez J'ils transissent à votre aspect, Et n'osent à vos pieds apporter leurs hommages.
MOMOS.	MOMOS.
Faites les avancer:	Faites les avancer:
qu’ils n’ayent aucune peut.	qu'ils n'aient aucune peut.
SCENE III.	SCÈNE III.
MOMUS, ORONTE, PYRRA, DAPHNIS, DAVE, CORIDON, TYRSIS, CLITANDRE, AMARILLE, MYRTILLE, ZELIDE, CLEANTES, PHILIS, CLIMENE,	MOMUS, ORONTE, PYRA, DAPHNIS, DAVE, CORIDON, TYRSIS, CLITANDRE, AMARILLLE, MYRTILLE, ZÉ, CLEANTES, PHILIS, CLIMENE,
MOMUS.	MOMUS.
le, Ieu vous gard, Dieu vous gard, jeuneſſe paſtoraNe ſoiez point honteux de m’offrir vôtre cœur;	le, Jeu vous gard, Dieu vous gard, jeunesse pastoraNe soyez point honteux de m'offrir votre cœur;
Votre ruſticité me tient lieu de regale.	Votre rusticité me tient lieu de régale.
die cien.	die cien.
ORONTE.	ORONTE.
Dieu des plaiſirs comme ayant eu l'honneur ZO D’être vôtre grand prêtre, & vôtre Immolateur Qui vous ay ſans reptoche en comptant le geniſſes Offert plus de cent veaux jadis en ſacrifice.	Dieu des plaisirs comme ayant eu l'honneur ZO D'être vôtre grand prêtre, et votre Imolateur Qui vous ai sans réptoche en comptant le génisses Offert plus de cent veaux jadis en sacrifice.
je viens, Seigneur, au nom de ces jeunes Bergers Taus comme vous voyez frais, diſpos & legers.	je viens, Seigneur, au nom de ces jeunes Bergers Taus comme vous voyez frais, dispos et légers.
Vous priet pour eux tous d’être toûjours le même, De les faite nager juſqu’au col dans la crême.	Vous priét pour eux tous d'être toujours le même, De les faite nager jusqu'au col dans la crème.
De leur donner de l'herbe & des grains à foiſon, Vendange copieuſe, & fertile toiſon:	De leur donner de l'herbe et des grains à foison, Vendange copieuse, et fertile toison:
De ne faire jamais avotter leurs femelles, De leut donner toûjours brebis fortes & belles, Cheuvres à corne haute, Oyes à long duvet, Vaches à lon gue eſchine, & porcs à court jaret.	De ne faire jamais avotter leurs femelles, De lut donner toujours brebis fortes et belles, Cheuvres à corne haute, Oyez à long duvet, Vaches à lon gué échine, et porcs à court jaret.
Force coqs, rorce offons, torce œufs, force volaille, Cerfs de peu d’encolûte, & bœufs de longue taille.	Force coqs, rorce osons, torce œufs, force volaille, Cerfs de peu d'encolute, et bœufs de longue taille.
Abondance doiguons, de choux, & de naveaux.	Abondance doiguons, de choux, et de naveaux.
MOMUS.	MOMUS.
Eſt-ce bientôt fait?	Est-ce bientôt fait?
CRONIEO D’ails, de raves, de poreaux, De cheruis, de panets, d’anys, de pimprenelle, De baume, de perſil, de cerfeüil, de ſurelle.	CRONIEO D'ails, de raves, de poreaux, De chervis, de panets, d'anis, de pimprenelle, De baume, de persil, de cerfuil, de furelle.
MOMUS.	MOMUS.
A chevez achevez Monſieut l’Immolateur	À chevez achevez Monsieut l'Imolateur
ORONTE.	ORONTE.
Seigneur comme autrefois ayant eu cét honneur, e vous dis donc encore, où plutôt je vous prie De daigner m’accorder cette ceremonie, leux.	Seigneur comme autrefois ayant eu cet honneur, je vous dis donc encore, où plutôt je vous prie De daigner m'accorder cette cérémonie, leux.
Ce n’eſt pas pour moy dea;	Ce n'est pas pour moi dea;
Ce n’eſt rien que pour Dieu me garde à mon âge helas d’être am oureux, C’e ſt C’eſt de ne ſouffrir pas que jemais leurs Bergeres Leur donnent le cnagin de deveun legeres.	Ce n'est rien que pour Dieu me garde à mon âge hélas d'être am oureux, C'e st C'est de ne souffrir pas que jemais leurs Bergères Leur donnent le cnagin de deveun gères.
MOMUS.	MOMUS.
Eſt-ce tout?	Est-ce tout?
1	1
ORONTE.	ORONTE.
Oüy Seigneur	Oui Seigneur
MOMUS.	MOMUS.
dinaa d lera lalto Et vous que voulez vous de moy, jeunes Bergeres.	dina d lera lalto Et vous que voulez -vous de moi, jeunes Bergères.
MYRTILLE.	MYRTILLE.
Nous vous venons S eigneur faire quelques prieres Dont vôtre cœur ſera peut-être ſatisfait.	Nous vous venons S eigneur faire quelques prières Dont votre cœur sera peut-être satisfait.
Nous venons vons prier qu’au temps de cette fête, Qu'à celebrer icy tout le peuple s’apprête, Vous ne permettez pas qu’aucun de ces Bergers Soient à leur ordinaire inconſtans & legers, Ny qu’ils aillent au gré de l’ardeur de leurs Princes, Au lieu de nous aimer ravager des Provinces.	Nous venons vons prier qu'au temps de cette fête, Qu'à célébrer ici tout le peuple s'apprête, Vous ne permettez pas qu'aucun de ces Bergers Soient à leur ordinaire inconstants et légers, Ni qu'ils aillent au gré de l'ardeur de leurs Princes, Au lieu de nous aimer ravager des Provinces.
C’eſt une cruauté qu’ils nous font tous les ans A peine ſe ſont-ils déclarez nos Amans Qu’au mépris de leur foy, de voꝰ, & de nos charmes C’eſt de trahir nos feux, & de courir aux armes.	C'est une cruauté qu'ils nous font tous les ans À peine se sont-ils déclarés nos Amants Qu'au mépris de leur foi, de voù, et de nos charmes C'est de trahir nos feux, et de courir aux armes.
Ils ne nous tiennent rien de ce qu’ils ont promis:	Ils ne nous tiennent rien de ce qu'ils ont promis:
Chez eux la perfidie eſt un crime permis, Le parjure chez eux devient du bel uſage, La foy de leurs ſermens n’a rien qui les engage.	Chez eux la perfidie est un crime permis, Le parjure chez eux devient du bel usage, La foi de leurs serments n'a rien qui les engage.
Grand Dieu nous vous prions de leur guerir le cœur De cette violente & ridicule ardeur, Et de leut redonner pour nous & pour nos charmes Ce penchant déreglé qu’ils n’ont que pour les arMOMUS.	Grand Dieu nous vous prions de leur guérir le cœur De cette violente et ridicule ardeur, Et de lut redonner pour nous et pour nos charmes Ce penchant déréglé qu'ils n'ont que pour les arMOMUS.
mes	mes
Oh c’eſt ce que je prétens bieu.	Oh c'est ce que je prétends bieu.
Je m’attens bien de mettre oidre à cette ſottiſe, Et lorſqu’ainſi je m’humaniſe,	Je m'attends bien de mettre oidre à cette sottise, Et lorsqu'ainsi je m'humanise,
22 Vous pouvez bien juger que ce n’eſt pas pour rien Dans le Ciel Criſt alin j’ay bien d’autres affaires, Mais je veux ſur ce point contenter les Beigeres.	22 Vous pouvez bien juger que ce n'est pas pour rien Dans le Ciel Crist alin j'ai bien d'autres affaires, Mais je veux sur ce point contenter les Beigères.
Dites-moy des Paſteurs qui cherchent les combats Entr’autres n’eſt-il point un certain Lyfidas.	Dites-moi des Pasteurs qui cherchent les combats Entr'autres n'est-il point un certain Lyfidas.
DAVE.	DAVE.
Oüy, Seigneur, il n’a pû ſouffrir vôtre preſence, Et du moment qu’il vous a vû, Le femods de la comcience A fait qu’il a diſparu.	Oui, Seigneur, il n'a pu souffrir votre présence, Et du moment qu'il vous a vu, Le femods de la comcience A fait qu'il a disparu.
MOMUS.	MOMUS.
Le perfide a bien fait, car je ſuis en colere De ſon infame procedé:	Le perfide a bien fait, car je suis en colère De son infâme procédé:
Et dans le noir couroux dont je ſuis obſedé, e l'autons teuun eu poumere.	Et dans le noir courroux dont je suis obsédé, eu l'autons teuun eu poumère.
Mais quelle eſt la Bergere à qui cet impoſteur A voulu témoigner ſon indigne tendreſſe.	Mais quelle est la Bergère à qui cet imposteur A voulu témoigner son indigne tendresse.
PHILIS.	PHILIS.
Amarille avancez:	Amarille avancez:
vous la voyez, Seigneur:	vous la voyez, Seigneur:
MOMUS.	MOMUS.
De l'ingrat Lyſidas vous étes la Maîtreſſe.	De l'ingrat Lysidas vous êtes la Maîtresse.
AMARILLE.	AMARILLE.
Il m’a dit quelquefois qu’il lm’aimoit.	Il m'a dit quelquefois qu'il l'aimait.
MOMUS.	MOMUS.
Le menteur.	Le menteur.
Suffit.	Suffit.
J’ay quelque choſe importante à vous dire, Que l’on nous laiſſe ſeuls:	J'ai quelque chose importante à vous dire, Que l'on nous laisse seuls:
qu’un chacun ſe retire, Cependant que l'on s’aime & que l'on n’aille pas Préferer à mes feux ni guerre, ni combats.	qu'un chacun se retire, Cependant que l'on s'aime et que l'on n'aille pas Préférer à mes feux ni guerre, ni combats.
SCENE IV.	SCÈNE IV.
MOMUS, AMARILLE.	MOMUS, AMARILLE.
MOMUS.	MOMUS.
H ça confeſſez-moy la verité Bergere, ) Vous ſçavez qu’il eſt dangereux.	H Ha confessez-moi la vérité Bergère, ) Vous savez qu'il est dangereux.
De cacher ce qu’on penſe au plus puiſſãt des Dieux.	De cacher ce qu'on pense au plus puissant des Dieux.
Aimez-vous Lyſidas d’une amitié ſincere Là parlez librement?	Aimez-vous Lysidas d'une amitié sincère Là parlez librement?
AMARILLE.	AMARILLE.
Puiſque c’eſt vous, Seigneur, Qui donnez de Pamaur, & qui fanterquob aime:	Puisque c'est vous, Seigneur, Qui donnez de Pamaur, et qui fanterquob aime:
Vous pouvez bien ſçavoir auſſi bien que moy-même Si je ſens pour luy quelque ardeur.	Vous pouvez bien sçavoir aussi bien que moi-même Si je sens pour lui quelque ardeur.
MOMUS.	MOMUS.
Ciel que l’on a de peine à des Gens de Village.	Ciel que l'on a de peine à des Gens de Village.
ce neit paerla parler, voes ne répondez pas.	ce neit pérla parler, vœux ne répondez pas.
je vous demande aimez-vous Lyſidas, Le trouvez-vous joly là, bienfait, de bon âge, Ou ſi vous ne l’aimez pas?	je vous demande aimez-vous Lysidas, Le trouvez-vous joli là, bienfait, de bon âge, Ou si vous ne l'aimez pas?
AMARILLE.	AMARILLE.
Je le trouve joly, bienfait, & de bon âge?	Je le trouve joli, bienfait, et de bon âge?
Mais je crois n’en devoir pas dire davantage.	Mais je crois n'en devoir pas dire davantage.
Pour le reſte Seigneur vous le devez ſçavoir.	Pour le reste Seigneur vous le devez sçavoir.
MOMUS.	MOMUS.
Oh oüy oüy:	Oh oui oui:
s’en eſt plus que je n’en voulois voir:	s'en est plus que je n'en voulais voir:
Mais nous ſerions mieux à l’ombrage, Je crois que j’apperçois certain Haître icy prez:	Mais nous serions mieux à l'ombrage, Je crois que j'aperçois certain Haître ici près:
Je ne l’ay fait planter en ce lieu même exprez Qu’afin qu’il m’offre ſon feüillage,	Je ne l'ai fait planter en ce lieu même exprez Qu'afin qu'il m'offre son feuillage,
AMARILLE.	AMARILLE.
Mais, Seigneur, ſi je vais avec vous ſous ce Haître, Et que vous m’honoriez d’un trop long entretien, Nos Bergers ne diroient-ils rien, Si le même deſein les y faiſoit paretre.	Mais, Seigneur, si je vais avec vous sous ce Haître, Et que vous m'honoriez d'un trop long entretien, Nos Bergers ne diraient-ils rien, Si le même desein les y faisait paretre.
4.	4.
0	0
a di.	a di.
Non non:	Non non:
que ditoicnt-ils	que ditoicnt-ils
AMARILLE.	AMARILLE.
Que ſçais-je moy peut être Que voudriez m’en conter.	Que sais-je moi peut être Que voudriez m'en conter.
MOMUS.	MOMUS.
Non non:	Non non:
de cette erreur n’allez point vous flatter.	de cette erreur n'allez point vous flatter.
Il n’y viendra pour tout que le maraut, le traiſtre Leffronté, le Pendart, l’Inſolent Lyſidas.	Il n'y viendra pour tout que le maraut, le traître Leffronté, le Pendard, l'Insolent Lysidas.
AMARILLE.	AMARILLE.
Ereuſez moy, Seigneur, mon Dieu je ny vais pas.	Ereusez -moi, Seigneur, mon Dieu je sens vais pas.
An que de compliments & de ceremonie Quoy!	An que de compliments et de cérémonie Quoi!
vous ne voulez pas que je vous y marie:	vous ne voulez pas que je vous y marie:
Si vous ne voulez pas il n’en eſt jamais rien.	Si vous ne voulez pas il n'en est jamais rien.
APl MARiDLu Vous me pardonnerez, Seigneur, je le veux bien	APPl MARiDLu Vous me pardonnerez, Seigneur, je le veux bien
MOMUS.	MOMUS.
Aſſons donc vite.	Assons donc vite.
AMRILLE.	AMRILLE.
Hé bien malgré vôtre colere Vous daignerez, Seigneur me donner Lyſidas.	Hé bien malgré votre colère Vous daignerez, Seigneur me donner Lysidas.
in e MdO ds Oüy pourvû, s’y prenant de la belle maniere Qu’il vienne m’adorer, & ne m’inſulte pas Et que vous me faſſiez un recit veritable Là dites-moy pour luy ce que vous reſſentez.	in é DOs Oui Oüy pourvu, s'y prenant de la belle manière Qu'il vienne m'adorer, et ne m'insulte pas Et que vous me fassiez un récit véritable Là dites-moi pour lui un que vous ressentez.
AMARILLE.	AMARILLE.
Seigneur vous avez bien des curioſitez.	Seigneur vous avez bien des curiosités.
MOMUS.	MOMUS.
Oüy j’ayme à m’informer dequoy je rens capable vn cœur qui ſuit mes volontez.	Oui j'aime à m'informer dequoy je rends capable un cœur qui suit mes volontés.
AMARILLE.	AMARILLE.
oüy, Seigueur s’il vous faut dire mes veritez, Lyſidas me paroît aimable, Quand je le vointouo mes tene ront hattez De cer taine ardeur agteable.	oui, Seigueur s'il vous faut dire mes vérités, Lysidas me paraît aimable, Quand je le vointouo mes téne ront hattez De cer taine ardeur agable.
dOMO9.	dOMO9.
Ne ſentez vous jamais pour moy rien de ſemblable	Ne sentez -vous jamais pour moi rien de semblable
AMARILLE.	AMARILLE.
Vous ſçavez bien, Seigneur, ce que je ſens pour Tvous.	Vous Savez bien, Seigneur, ce que je sens pour Tvous.
MOMUS.	MOMUS.
drule vluy, je le igdis Maisi ie lera doux D’apprendre quelle ardeur vous touche, Et d’en être informé par vôtre propre bouche.	drule veului, je le igdis Maisi où lera doux D'apprendre quelle ardeur vous touche, Et d'en être informé par votre propre bouche.
AMARILLE.	AMARILLE.
