MADAME,	MADAME,
il faut que le Poëte ſe ſerue d’vne de ces ſortes de peſionnes pour exciter la pitie & l’horreur, & atteindre à la fin que ſe propoſe la Tragedie.	il faut que le Poète se serve d'une de ces sortes de pesionnes pour exciter la pitié et l'horreur, et atteindre à la fin que se propose la Tragédie.
Deſia, pour ce qui eſt de voir vn homme de bien qui paſſe de la felicité dans l’infortune, il me ſemble que ce changement ne doit pas toucher les ames, de la maniere que nous deſirons.	Déjà, pour ce qui est de voir un homme de bien qui passe de la félicité dans l'infortune, il me semble que ce changement ne doit pas toucher les âmes, de la manière que nous désirons.
D’autant que la pitié & la terreur eſtãt enuoyées dans l’eſprit des hommes par les choſes qu’ils voyent arriuer aux autres.	D'autant que la pitié et la terreur étant envoyées dans l'esprit des hommes par les choses qu'ils voient arriver aux autres.
& qu’ils apprehendent qui ne leur arriuent auſſi, il n’y a pas d’apparence que la calamité d’vn homme de bien excite ces troubles dans les ames, ny que perſonne apprehende le meſme mal-heur à cauſe de ſa probité, qui pour recompenſe a d’ordinaire le bon-heur de la vie, & c’eſt la raiſon du Philoſophe dans les liures de la Rhetorique.	et qu'ils appréhendent qui ne leur arrivent aussi, il n'y a pas d'apparence que la calamité d' Homme de bien excite ces troubles dans les âmes, ni que personne appréhende le même malheur à cause de sa probité, qui pour récompense a d'ordinaire le bonheur de la vie, et c'est la raison du Philosophe dans les livres de la Rhétorique.
D'ailleurs, la mauuaiſe fortune d’vn meſchant eſt pour le moins auſſi peu vtile, & ne ſouſleue pas plus de troubles que celle d’vn homme de bien.	D'ailleurs, la mauvaise fortune d'un méchant est pour le moins aussi peu utile, et ne soulève pas plus de troubles que celle d'un homme de bien.
D’autant qu’elle ſemble venir de la vangeance diuine, & que ſa felicité qui paroiſt touſiours iniuſte, exclud la pitié.	D'autant qu'elle semble venir de la vengeance divine, et que sa félicité qui paraît toujours injuste, exclud la pitié.
Perſonne n’a de commiſeration du mal-heur d’vn meſchant, parce qu’on le croit digne de ce chaſtiment, & quonn’apprenende pas la meme mert pour ioy, d’autant que chacun a de bons ſentimens de ſa probité, & qu’à dire vray la plus grande partie des hommes eſt mediocrement bonne.	Personne n'a de commisération du malheur d'un méchant, parce qu'on le croit digne de ce châtiment, et quonn'apprenende pas la me rt pour joi, d'autant que chacun a de bons sentiments de sa probité, et qu'à -dire vrai la plus grande partie des hommes est médiocrement bonne.
Il reſte ſeulement à conſiderer ce troiſieſme homme, qui n’a rien de trop criminel, ny rien de trop vertueux.	Il reste seulement à considérer ce troisième homme, qui n'a rien de trop criminel, toujours rien de trop vertueux.
Qui ſeul eſt propre pour émouuoir les droubies où aſpirent les Dramatiques, & que le Philoſophe definit dans le troiſieſme des Morales, Celuy qui peſchant par imprudence ne merite pas le nom d’homme de bien, parce qu’il en a tranſgreſſé le deuoir;	Qui seul est propre pour émouvoir les droubies où aspirent les Dramatiques, et que le Philosophe définit dans le troisième des Morales, Celui qui pêchant par imprudence ne mérite pas le nom d'homme de bien, parce qu'il en a transgressé le devoir;
qui ne doit pas auſſi eſtre nommé meſchant, d’autant qu’il peſche inconſiderément & ſans preélection, comme l’on parle dans les Eſcholes.	qui ne doit pas aussi être nommé méchant, d'autant qu'il pêche inconsidérément et sans preélection, comme l'on parle dans les Écholes.
C’eſt de ceſte ſorte que ſont ceux qui ont abandonné leur iugement à la violence de quelque paſſion, qui n’en peuuent plus eſtre les maiſtres, qui ſe laiſſent emporter à ce torrent;	C'est de cette sorte que sont ceux qui ont abandonné leur jugement à la violence de quelque passion, qui n'en peuvent plus être les maîtres, qui se laissent emporter à ce torrent;
& comme les yeux malades ſont de mauuais iuges des couleurs, ces efprits aueuglez de nuagez & priuez de toutes leurs lumieres, n’agiflans plus que par la force de la paſſion, trouuent iuſte ce qu’elle leur dicte, & ſont ſans doute à plaindre lors qu’ils s’imaginent fairo des actes heroïques en commettant des crimes eſpouuentables.	et comme les yeux malades sont de mauvais juges des couleurs, ces esprits aveuglez de nuagés et privés de toutes leurs lumières, n'agiflants plus que par la force de la passion, trouvent jus ce qu'elle leur dicte, et sont sans doute à plaindre lors qu'ils s'imaginent fairo des actes héroïques en commettant des crimes espouuentables.
Le Tyran de Monſieur de Scudery, a parfaitement le caractere de ces derniers;	Le Tyran de Monsieur de Scudery, a parfaitement le caractère de ces derniers;
la confeſſion qu’il fait en la Scene troiſieſme du troiſieſme Acte, le fait allez von, de montie que l'Amour eſt la cauſe de tant de funeſtes accidens.	la confession qu'il fait en la Scène troisième du troisième Acte, le fait allez von, de montie que l'Amour est la cause de tant de funestes accidents.
D’abordil deſcouure ainſi qu’il aime Polyxene ſa belle ſœur,	D'abordil découvre ainsi qu'il aime Polyxène sa belle sœur,
–-Il eſt vray, i’adore Polyxene, Ie ne veux plus cacher que i’en ſuis enflammé:	-Il est vrai, j'adore Polixène, Je ne veux plus cacher que j'en suis enflammé:
Sa palſion en ſuite luy dicte quil a railon de l'aimer.	Sa palsion en sion ensuite quil a railon de l'aimer.
Cét obiect eſt trop beax pour n’eſtre pas aimé:	Cet objet est trop beax pour n'être pas aimé:
I'ay des yeux, elle eſt belle autant qu’il eſt poßible, Ses regards ont destraits, & mon cœur eſt ſeuſible.	J'ai des yeux, elle est belle autant qu'il est possible, Ses regards ont détraits, et mon cœur est seuible.
Peut-on ne l’aimer point?	Peut-on ne l'aimer point?
en voyant ſes appas?	en voyant ses appas?
Et apres cela il conclud qu’il ſeroit deſraiſonnable s’il n’auoit pas ceſte paſſion.	Et après cela il conclud qu'il serait déraisonnable s'il n'avait pas cette passion.
Il faudroit s’eſtonner ſi ie ne l’aimois pas.	Il faudrait s'étonner si ici ne l'aimais pas.
De ſorte qu’il ne faut pas s’eſtonner auſſi, s’il n’eſt rien qu’il ne propoſe de faire pour conquerir ceſte beauté, & s’il continuë ainſi, Qi'elle aille en me fuyant iuſqu'au bout de la terre, Plus viſte qu’vn torrent i’y porteray la guerre.	De sorte qu'il ne faut pas s'étonner aussi, s'il n'est rien qu'il ne propose de faire pour conquérir cette beauté, et s'il continue ainsi, Qi'elle aille en me fuyant jusqu'au bout de la terre, Plus vite qu’ ne torrent j'y porterai la guerre.
Ie la ſuiuray par tout, & les bois & les mers, Et les plaines de ſable, &c.	Je la suivrai par tout, et les bois et les mers, Et les plaines de sable, etc.
Il oſte encore dauantage le maſque, & témoigne ſon aueuglement entier, ſe voyant contredit, par le Sage Pharnabaſe qui auoit eu le ſoin de l’eſleuer, & qui i’appelloit à la vertu cét eſprit poſſedé par la paſſion.	Il est encore davantage le masque, et témoigne son aveuglement entier, se voyant contredit, par le Sage Pharnabase qui avait eu le soin de l'élever, et qui j'appelait à la vertu cet esprit possédé par la passion.
Voicy comme il luy parle apres la priſe d’Amaſie,	Voici comme il lui parle après la prise d'Amasie,
Si ie trouue ma Reine apres ceſte victoire, Pius tauray de teſmains & plust auray de gloire, Et ie voudrois pouuoir par cent combats diuers, La mener en triomphe aux yeux de l’Vniuers, Ie tiens ma flimme iuſte autant qu'elle eſt plaiſante.	Si grande trouve ma Reine après cette victoire, Pius taurai de témains et plaît aurai de gloire, Et ie voudrais pouvoir par cent combats diuers, La mener en triomphe aux yeux de l'Univers, Je tiens ma flamme juste autant qu'elle est plaisante.
Si nous voulons en ſuitte conſiderer la Sentence mortelle qu’il donne contre cette belle Maiſtreſſe, & qu’en meſme temps nous iettions la veuë ſur les ſentimens que ſuggere vne amour ſi violente & ſi meſpriſée, nous trouuerons que partout Tyridate a eu pour conduite vne paſſion démeſurée, qu’il a failly inconſiderément & ſans preélection, comme nous auons dit auparauant, & que la ratton morte ou anoupſe, n'à point eu de part à ſes crimes.	Si nous voulons en suite considérer la Sentence mortelle qu'il donne contre cette belle Maîtresse, et qu'en même temps nous jettions la vue sur les sentiments que sugère une amour si violente et si méprisée, nous trouverons que partout Tyrate a eu pour conduite une passion démesurée, qu'il a failly inconsidérément et sans preélection, comme nous avons dit auparavant, et que la ratton morte ou anoupse, n'à point eu de part à ses crimes.
Ie ne m’eſtonne donc plus, ſi ce Poëme a eu tant d’admirateurs, & ſi tout le monde eſt ſorty de ſa repreſentation, l’Ame eſmeuë & les yeux en larmes;	Je ne m'étonne donc plus, si ce Poème a eu tant d'admirateurs, et si tout le monde est sorti de sa représentation, l'Ame émue et les yeux en larmes;
puiſque ce Tyran qui en eſt la baze & le persõnage auquel tous les incidens ſe raportent, a toutes les qualitez neceſſaires, & pour la crainte, & pour la pitié.	puisque ce Tyran qui en est la base et le persournage auquel tous les incidents se rapportent, a toutes les qualités nécessaires, et pour la crainte, et pour la pitié.
Qu’il n’eſt ny trop vertueux ny trop meſchant;	Qu'il n'est apprendre trop vertueux Seigneur trop méchant;
parce qu’en faiſant de mauuaſſes actlons, Il le ſeut rorce de lesfaire, par vne violence ſuperieure.	parce qu'en faisant de mauvasses alons, Il le ut rorce de lesfaire, par une violence supérieure.
Que ce n’eſt point à cauſe de ſa meſchanceté que ſon mal-heur luy atriue, d’autant qu’il penſe auoir raiſon d’aimer Polyxene, & auſſi de la perdre.	Que ce n'est point à cause de sa méchanceté que son malheur lui atrive, d'autant qu'il pense avoir raison d'aimer Polyxène, et aussi de la perdre.
Et qu’enfin pour augmenter dauantage la commiſeration & l’horreur, & pouſſer ces paſſions iuſqu’à leurs dernieres limites, à l’inſtant qu’il voit deux Rois, & deux Reines enchainées au pied de ſon Troſne, il en eſt renuerſé;	Et qu'enfin pour augmenter davantage la commisération et l'horreur, et pousser ces passions jusqu'à leurs dernières limites, à l'instant qu'il voit deux Rois, et deux Reines enchaînées au pied de son Trône, il en est renversé;
dépoüillé de la Pourpre;	dépouillé de la Pourpre;
contraint de porter les meſmes fers qu’il auoit fait ſouffrir aux autres;	contraint de porter les mêmes fers qu'il avait fait souffrir aux autres;
& de paſſer d’vn bon-heur extréme, à vne calamité déplorable	et de passer d'un bonheur extrême, à une calamité déplorable
Mais comme il eſt neceſſaite que les intereits de quantité de perſonnes ſe meſlent enſemble, pour produire tous ces troubles, & qu’vn ſeul homme n’en eſt pas capable, il faut neceſſairement auſſi, que ces perſonnes ſoient, ou ennemies ou indifferentes, ou conioinctes par l’amitié, & par le ſang, pour les exciter.	Mais comme il est nécessaite que les inteits de quantité de personnes se mêlent ensemble, pour produire tous ces troubles, et qu'un seul homme n'en est pas capable, il faut nécessairement aussi, que ces personnes soient, ou ennemies ou indifférentes, ou conjointes par l'amitié, et par le sang, pour les exciter.
Mais çertes le deſir de nou;	Mais çertes le désir de nou;
vanger & de nuire à nos ennemis, eſtant nay euec nous, l’exccution en paroiſſant plus douce dans nos eſprits que le miel, comme dit Homere, & les cauſes que les hommes ont de ſe haïr, ſembant ordinairement odieuſes à tout le monde, le moyen que la vangeance que l’on veut prendre de ſes ennemis, puiſſe toucher les Spectateurs, qui la iugent tres-equitable?	venger et de nuire à nos ennemis, étant nay écec nous, l'excution en paraissant plus douce dans nos esprits que le miel, comme dit Homère, et les causes que les hommes ont de se haïr, sembant ordinairement odieuses à tout le monde, le moyen que la vengeance que l'on veut prendre de ses ennemis, puisse toucher les Spectateurs, qui la jugent très -équitable?
Quiis ayent de la terfeur des iiar-feurs dont ils deteſtent la cauſe;	Quiis aient de la terfeur des jiar-feurs dont ils détestent la cause;
& qu’ils voyent auec pitié, des infortunes qu’ils ſouhaittent eux meſmes à leurs ennemis?	et qu'ils voient a pitié, des infortunes qu'ils souhaitent eux mêmes à leurs ennemis?
Il en eſt ainſi des actions funeſtes qui ſe paſſent parmy les perſonnes indifférentes, qui ſont dans vn Elfat neutre;	Il en est ainsi des actions funestes qui se passent parmi les personnes indifférentes, qui sont dans un Élfat neutre;
qui n’aiment ny ne haïſſent;	qui n'aiment rien ne haïssent;
qui ne peunent ſouſleuer les paſſions, & qui agiſſent ſans elles:	qui ne peunent soulever les passions, et qui agissent sans elles:
& enfin, deſquelles les mal-heurs ne laiſſent point de triſteſſe dans les ames, ſi ce n’eſt celle que l’on eſt obligé de donner à l’humanité affligée.	et enfin, desquelles les malheurs ne laissent point de tristesse dans les âmes, si ce n'est celle que l'on est obligé de donner à l'humanité affligée.
Il n’y a donc que les Tyridates, les Ormenes, les Tigranes, les Polyxe.	Il n'y a donc que les Tyridates, les Ormènes, les Tigranes, les Polyxe.
nes, les Oroſmanes, qui puiſſent eſpouuanter nos Ames & les attendrir:	nés, les Orômanes, qui puissent épouvanter nos Âmes et les attendrir:
c’eſt à dire, il n’y a que les Maris, les Femmes, les Beaux-peres, les Beaux-freres, les Belles-œurs qui nous puiſſent toucher auec violence:	c'est -à -dire, il n'y a que les Maris, les Femmes, les Beaux-pères, les Beaux-frères, les Belles-œurs qui nous puissent toucher avec violence:
il n’y a que ceux que le fang de Pauntle loig ient;	il n'y a que ceux que le sang de Pauntle lois jent;
done les mal-heurs nous donnent de la terreur & de la pitié.	donce les malheurs nous donnent de la terreur et de la pitié.
Ils l’ont fait certes dans le Poëme de Monſieur de Scudery;	Ils l'ont fait certes dans le Poème de Monsieur de Scuderi;
les mal-heurs qu’il expoſe ſur ſa Scene, ont touché les plus grandes Ames de l'Vniuers, auſſi bien que les plus vulguaires;	les malheurs qu'il expose sur sa Scène, ont touché les plus grandes Âmes de l'Univers, aussi bien que les plus vulguaires;
& pas vn des Spectateurs ne s’en eſt retourné, qu’il n’aiſt beaucoup profité, dans ceſte moderation des paſſions, que la Tragedie ſe propoſe.	et pas un des Spectateurs ne s'en est retourné, qu'il n'ait beaucoup profité, dans cette modération des passions, que la Tragédie se propose.
Enfin de tous les moyens qu’Ariſtote enſeigne pour exciter la commiſeration & l’horreur, celuy qu’il choiſit, & qui eſt lors que l’on a commis vn crime, & qu’apres on vient à le reconnoiſtre, n’a pas eſté obmis dans ceſte excellente Tragedie.	Enfin de tous les moyens qu'Aristote enseigne pour exciter la commisération et l'horreur, celui qu'il choisit, et qui est lors que l'on a commis un crime, et qu'après on vient à le reconnaître, n'a pas été obmis dans cette excellente Tragédie.
Dés que Tyridate condamne ſes parens à la mort, il eſt criminel, quoy que ſa paſſion face ſon crime, & que comme nous auons dit, elle l’excuſe en quelque ſorte.	Dès que Tiridate condamne ses parents à la mort, il est criminel, quoi que sa passion face son crime, et que comme nous avons dit, elle l'excuse en quelque sorte.
C’eſt ce qu’il dit apres qu’il a reconnu ſa faute;	C'est ce qu'il dit après qu'il a reconnu sa faute;
c’eſt ce remors qui l’afflige & qui le tuë;	c'est ce remors qui l'afflige et qui le tue;
& qui luy fait enfin ſouhaitter la mort, parce qu’il ſe ctoit indigne de viure, ce qui fait bien voir, par ce deſir de mourir, qu’il n’y a rien de feint, ny d’artificieux dans ſon repentir.	et qui avait fait enfin souhaiter la mort, parce qu'il se ctait indigne de vivre, ce qui fait bien voir, par ce désir de mourir, qu'il n'y a rien de feint, ni d'artificieux dans son repentir.
Voicy comme il vient à ſe reconnoiſtre,	Voici comme il vient à se reconnaître,
Le bandeau m’eſt tombé, i'apperçoy mon erreur, Mon crime s’offre à moy, i’en friſſonne d’horreur.	Le bandeau m'est tombé, j'aperçois mon erreur, Mon crime s'offre à moi, j'en frissonne d'horreur.
Voicy comme il prie Ormene de ſe vanger.	Voici comme il prie Ormène de se venger.
Non, non, ne m’aime plus, l’honneurte le deffend, Fais donner à ce cœur le trepas qu’il atteud, Vange toy punis moy, &c.	Non, non, ne m'aime plus, l'honneurte le défend, Fais donner à ce cœur le trépas qu'il atteud, Venge toi punis moi, etc,
Voicy comme il en coniureles Princes qu’il auoit perſecutez.	Voici comme il en conjureles Princes qu'il avait persécutez.
Vous Princes outragez auec tant d’inſolence, Preſtez, preſtez la main à ſon iuſte courroux, N’eſpargnez point mon ſang, vangez la, vangez vous, Ieſuis vn ennemy qu’il faut qu’on aprehende,	Vous Princes outragez avec tant d'insolence, Prêtez, prêtez la main à son juste courroux, N'épargnez point mon sang, vengez la, vengez -vous, Jésuis un ennemi qu'il faut qu'on appréhende,
Et emincomme nieur demande la inort.	Et emincomme nieur demande la inort.
Ma mort vous peut ſauuer, & ie vous la demande.	Ma mort vous peut sauver, et un vous la demande.
Ceit uans ces vers que iiiſt l'enenamnement ou l'intrigue, que l’on pourtoic appeller auec les Latins, Connexion, & c’eſt auſſi là que commence le deſnoüement ou la ſolution de la Fable.	Ceit ans ces vers que jiist l'enenamnement ou l'intrigue, que l'on pourtoic appeler avec les Latins, Connexion, et c'est aussi là que commence le dénouement ou la solution de la Fable.
Ces deux parties qui contiennent toute l’action Tragique, ſont oppoſées entierement;	Ces deux parties qui contiennent toute l'action Tragique, sont opposées entièrement;
& veulent eſtre traictées d’vne maniere toute diuerſe:	et veulent être traitées d'une manière toute diverse:
la premiere ne comprend pas ſeulement les choſes qui ſont propres à la Fable, naii encore cenles queron pent en choigner;	la première ne comprend pas seulement les choses qui sont propres à la Fable, néi encore cenles quéron pent en choigner;
comme les Epiſodes, les deſcriptions, & ce que l’on adiouſte, ou pour accroiſtre, ou pour embellir l’ouurage:	comme les Episodes, les Étions, et ce que l'on ajoute, ou pour accroître, ou pour embellir l'ouvrage:
& generalement tout ce que le Poëte ameine de dehors, pour en orner ſon Poëme, au lieu que l’autre partie bannit toutes ces beautez eſtrangeres, s’attache ſeulement au ſujet, & ne ſouffre rien de ſuperflu.	et généralement tout ce que le Poète âme de hors, pour en orner son Poème, au lieu que l'autre partie bannit toutes ces beautés étrangères, s'attache seulement au sujet, et ne souffre rien de superflu.
Outre le grand nombre d’ornemens que le Genie & la Science de Monſieur de Scudety, dia liis auce prouigante dans toute la Tragedie, les Epiſodes doiuent faire vne partie de nos loüanges, & de ſa reputation:	Outre le grand nombre d'ornements que le Génie et la Science de Monsieur de Scudeti, dia liis auce provigante dans toute la Tragédie, les Épisodes doivent faire une partie de nos loüanges, et de sa réputation:
il les a trauaillez auec ſoin;	il les a travaillez avec soin;
il ne s’y eſt pas permis la moindre licence;	il ne s'y est pas permis la moindre licence;
il les a diuerſifiez pour le plaiſir du Spectacle, ce pour li grace de la Scene;	il les a diversifiez pour le plaisir du Spectacle, ce pour li grâce de la Scène;
tantoſt il y charme ſes Auditeurs par des Tableaux miraculeux, & qui partent d’vne excellente main;	tantôt il y charme ses Auditeurs par des Tableaux miraculeux, et qui partent d'une excellente main;
tel eſt celuy du quatrieſme Acte, où il deſcrit vne ville forcée, & abandonnée au feu & au pillage.	tel est celui du quatrième Acte, où il décrit une ville forcée, et abandonnée au feu et au pillage.
Tantoſt il touche l’Ame des Spectateurs par la veuë des peuples eſclaues;	Tantôt il touche l'Âme des Spectateurs par la vue des peuples esclaues;
tantoſt il ſe ſert de Pharnabaſe, pour enſeignerla vertu auec plus de ſoccez & de plaiſir, que l’on ne fait dans les Eſcoles & dans les chaiſes des Academies.	tantôt il se sert de Pharnabase, pour enseignerlà vertu avec plus de socès et de plaisir, que l'on ne fait dans les Écoles et dans les chaises des Academies.
Ces Epiſodes ſont pris du ſujet & de la Fable, ils ne ſont pas inutiles;	Ces Épisodes sont pris du sujet et de la Fable, ils ne sont pas inutiles;
& ce qui en eſt le principal artifice, ils taſchent d’auancer l’action, qui neantmoins n’a rien de precipité pour cela, & n’arriue à ſa fin qu’apres auoir eu teute reſtenque que demande la conttieutionde la fable.	et ce qui en est le principal artifice, ils tâchent d'avancer l'action, qui néanmoins n'a rien de précipité pour cela, et n'arrive à sa fin qu'après avoir eu tute restenque que demande la contieutionde la fable.
En effet, le miſerable eſtat des Citoyens d’Amaſie, ne touche pas Tyridate;	En effet, le misérable état des Citoyens d'Amasie, ne touche pas Tyridate;
les leçons de ſon Gouuerneur ne le retirent pas de ſon vice;	les leçons de son Gouverneur ne le retirent pas de son vice;
& Ormene ne ſe laiſſe pas ſi fort emporter à la deſcription de la perte de ſon païs, qu’elle ſe reſolue, & qu’elle conſente à la mort de ſon Tyran;	et Ormène ne se laisse pas si fort emporter à la description de la perte de son pays, qu'elle se résolue, et qu'elle consente à la mort de son Tyran;
qui ſont les choſes où le Poëte a conduit ſi adroictement ſes Epiſodes, & la fin qu’il leur auoit propoſée.	qui sont les choses où le Poète a conduit si adroitement ses Episodes, et la fin qu'il leur avait proposée.
Il n’y a rien de tout cecy dans le deſnoüement;	Il n'y a rien de tout ceci dans le dénouement;
en cela d’autant plus regulier, que ſa nature ne fouffre pas tous ces ornemens.	en cela d'autant plus régulier, que sa nature ne souffre pas tous ces ornements.
Il n’y a rien qui ne ſoit de l’action;	Il n'y a rien qui ne soit de l'action;
rien qui ne regarde la Fable;	rien qui ne regarde la Fable;
rien que l’on en puiſſe, ou que l'on en doiue oſter;	rien que l'on en puisse, ou que l'on en doive ôter;
rien enfin qui vienne de dehors, ou qui ne treuue pas vne place abſolument neceſſaire.	rien enfin qui vienne de hors, ou qui ne trouve pas quelque place absolument nécessaire.
Il ne nous reſte plus rien à conſiderer de ceſte Fable, que la fin qui en eſt heureuſe:	Il ne nous reste plus rien à considérer de cette Fable, que la fin qui en est heureuse:
cette iſſuë tranquille de tant detroubles, & d’incidens mal-heureux, cette concluſion paiſible de la plus part des Poëmes Tragiques de noſtre Theatre, & qui ſemble tenir quelque choſe de la fin de la Comedie;	cette issue tranquille de tant detroubles, et d'incidents malheureux, cette conclusion paisible de la plus part des Poèmes Tragiques de notre Théâtre, et qui semble tenir quelque chose de la fin de la Comédie;
afait trouuer le nom de Tragi Comedie à nos Poëtes.	afait trouver le nom de Tragi Comédie à nos Poètes.
Quelques vns d’entr’eux ſe ſont perſuadez, que ſi la concluſion d’vn ouurage de cette nature, n’eſtoit point enſanglantée, il ne pouuoit pas s’appeller Tragique:	Quelques uns d'entr'eux se sont persuadez, que si la conclusion d'un ouvrage de cette nature, n'était point ensanglantée, il ne pouvait pas s'appeler Tragique:
à cauſe de celajiis ont aille deux choſes toutes contraires;	à cause de celajis ont aille deux choses toutes contraires;
ils ont fait vn monſtre de deux natures excellentes, ils ont oublié les premiers preceptes de leur Maiſtre;	ils ont fait un monstre de deux natures excellentes, ils ont oublié les premiers préceptes de leur Maître;
Ariſtote qui met l’iffuë heureuſe parmy le deſnombrement des fins de la Tragedie, ne nous donne pas lieu d’eſtre de leur opinion:	Aristote qui met l'issue heureuse parmi le dénombrement des fins de la Tragédie, ne nous donne pas lieu d'être de leur opinion:
les exemples d’Alceſte, des deux Iphigenles, d’Io, & d'’rieſene, aident ee confirment la noſtre:	les exemples d'Alceste, des deux Iphigenles, d'Io, et d'Aries, aident ce confirment la vôtre:
& quoy que la pluſpart des Tragedies verſent du ſang ſur la Scene, & s’acheuent par quelque mort, il ne faut pas pour cela conclure que la fin de tous ces Poëmes doiue eſtre funeſte:	et quoi que la plupart des Tragédies versent du sang sur la Scène, et s'achèvent par quelque mort, il ne faut pas pour cela conclure que la fin de tous ces Poèmes doive être funeste:
mais ſur tout il faut bien s’empeſcher d’y meſler rien de Comique.	mais sur tout il faut bien s'empêcher d'y mêler rien de Comique.
Et de vray, quelle apparence que les Acteurs ayent vn pied dans le cothurne, & l’autre dans l’eſcarpin?	Et de vrai, quelle apparence que les Acteurs aient un pied dans le cothurne, et l'autre dans l'escarpin?
que leurs habillemens ſoient vne Cimarre & vne robe ſimple my-parties?	que leurs habillements soient une Cimarre et notre robe simple mi-parties?
comment peut-on faire compaſtir enſemble les commandemens des Rois, les meurtres, les deſeſpoirs, les morts violentes, les banniſſemens, les parricides, les inceſtes, les incendies, les batailles, les piaintes, les pieuts, les gehiſlemens, & les funerailles, qui ſont les choſes que contient la Tragedie?	comment peut-on faire compatir ensemble les commandements des Rois, les meurtres, les désespoirs, les morts violentes, les bannissements, les parricides, les incestes, les incendies, les batailles, les piètes, les pieuts, les géhislements, et les funérailles, qui sont les choses que contient la Tragédie?
auec les ieux, les feſtins, les nopces, l'auarice des vieillards, les fourbes, & l’yurognerie des Eſclaues, & des Paraſites de la Comedie?	auec les yeux, les festins, les noces, l'avarice des vieillards, les fourbes, et l'yurognerie des Esclaues, et des Parasites de la Comédie?
& qui pourroit raiſonnablement s’imaginer qu’en meſme temps on veüille exciter la commiſeration & l’horreur, la volupté & le plaiſir?	et qui pourrait raisonnablement s'imaginer qu'en même temps on veuille exciter la commisération et l'horreur, la volupté et le plaisir?
faire pleurer & rire les Spectateurs, calmer leurs Ames en les remuant auec violence, qui ſont les diuerſes fins, que deux Poëmes ſi differens ſe propoſent?	faire pleurer et rire les Spectateurs, calmer leurs Âmes en les remuant a violence, qui sont les diverses fins, que deux Poèmes si différents se proposent?
C’eſt pour ces raiſons qui ſont & valables, & conuainquantes, que dans tout ce Diſcours nous auons appellé l’Amour Tyrannique vne Tragedie:	C'est pour ces raisons qui sont et valables, et convainquantes, que dans tout ce Discours nous avons appelé l'Amour Tyrannique une Tragédie:
mais de plus, parce que c’eneit vne li parfaite, & ſi acheuée, qu’on peut dire tresveritablement qu’il ne luy manque rien de tout ce que le Philoſophe ſouhaitte, & de tout ce que les plus ſeueres Critiques recherchent dans ces ouurages.	mais de plus, parce que c'enchit une li parfaite, et si achevée, qu'on peut dire trêveritablement qu'il ne le manque rien de tout ce que le Philosophe souhaite, et de tout ce que les plus sévères Critiques recherchent dans ces ouvrages.
Qu'on ne m’oppoſe point en ce lieu l’Amphitruon de Plaute, que nous auons deſia cenſuré;	Qu'on ne m'oppose point en ce lieu l'Amphitruon de Plaute, que nous avons déjà censuré;
preſque dans tous ſes Poëmes cét Autheur peche contre les regles Comiques;	presque dans tous ses Poèmes cet Auteur pèche contre les règles Comiques;
Menechme a tant d’amour qu’il en paroiſt furieux;	Menechme a tant d'amour qu'il en paraît furieux;
qui eſt vne paſſion de la Tragedie:	qui est une passion de la Tragédie:
dans vne autre Comedie, Aleſimacchus vient ſur la Scene pour ſe tuer;	dans une autre Comédie, Alesimacchus vient sur la Scène pour se tuer;
ce qu’on ne peut excuſer dans ces Poëmes:	ce qu'on ne peut excuser dans ces Poèmes:
& l’authorité d’vn homme duquel Horace a dit,	et l'autorité d'une homme duquel Horace a dit,
Quam non adſtricto percurrat pulpita Soece.	Quam non adstricto percurrat pulpita Socèce.
ne doit pas faire peclier contte les legies que le plus ſage des Philoſophesa eſtablies.	ne doit pas faire peclier contte les légies que le plus sage des Philosophes établies.
Il faut dire la meſme choſe parmy les Grecs, du Cyclope d’Euripide, que Iules Scaliger exclud du nombre des veritables Tragedies, parce qu’il y a des choſes trop demques.	Il faut dire la même chose parmi les Grecs, du Cyclope d'Euripide, que Jules Scaliger exclut du nombre des véritables Tragédies, parce qu'il y a des choses trop demques.
ce de tiay, qui pourrort lupporter dans vn Poëme ſerieux, ce que ce Cyclope dit de Bacchus?	ce de tiai, qui pourrort lupporter dans un Poème sérieux, ce que ce Cyclope dit de Bacchus?
lors que par vne froide rencontre, il demande, comme ce peut faire, qu’vn Dieu habite dans vne bouteille?	lors que par une froide rencontre, il demande, comme ce peut faire, qu'un Dieu habite dans une bouteille?
Monteur de beuuery lgauoit donc bien que lon merueilleux Poëme eſtoit tout Tragique;	Monteur de bueri lgauoit donc bien que lon merveilleux Poème était tout Tragique;
& toutefois il luy a donné le titre de Tragi-comedie, afin de faire voir qu’il ne s’eſloigne pas de la couſtume receuë;	et toutefois il lui a donné le titre de Tragi-comédie, afin de faire voir qu'il ne s'éloigne pas de la coutume reçue;
& qu’il aime mieux s’accommoder à l’vſage que de s’attacher auec trop de ſcrupule, à la ſouueraine raiſon.	et qu'il aime mieux s'accommoder à l'usage que de s'attacher avec trop de scrupule, à la souveraine raison.
Iuſques icy nous auons traicté de la Fable, que le Philoſophe trouue la plus excellente partie de la Tragedie;	Jusqu' ici nous avons traité de la Fable, que le Philosophe trouve la plus excellente partie de la Tragédie;
