LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
Valerie.	Valerie.
Leur credit pres du voſtre eſtoit vne vapeur,	Leur crédit pres du vôtre était une vapeur,
Volomnie.	Volomnie.
lntu ertunt emuraſſoit cetuy de la patrie,	Intu ertt emurassait celui de la patrie,
Valerie.	Valerie.
Et qui refuſeroit vne mere qui prie?	Et qui refuserait une mère qui prie?
Volomnie.	Volomnie.
Penſez que ſon pouuoir dépend de l’eſtranger:	Pensez que son pouvoir dépend de l'étranger:
Valerie.	Valerie.
Le Volſque n'eſt icy qu'afin de le venger.	Le Volsque n'est ici qu'afin de le venger.
Volomnie.	Volomnie.
7322 Le Volſque qui diſpute auecque nous de l’Empire, Noſtre ennemy mortel plus haut certe reſpire, Il ne déploye point pour vn particulier Sa puiſſance totalle en ce peup le guerrier.	7322 Le Volsque qui dispute auecque nous de l'Empire, Notre ennemi mortel plus haut certe respire, Il ne déploie point pour un particulier Sa puissance totalle en ce peup le guerrier.
Valerie.	Valerie.
I’aymerois mieux nous voir tout au coûp refuſees, Qu'en excuſes ainſi, ſans excuſes amuſees, » La fortune ſouuent apporte le bon-heur, » Se muniſſant d’eſpoir, & non point de malheur.	J'aimerais mieux nous voir tout au coup refusées, Qu'en excuses ainsi, sans excuses amusées, " La fortune souvent apporte le bonheur, " Se munissant d'espoir, et non point de malheur.
Volomnie.	Volomnie.
Ie periſſe pluſtoſt que refuſer ingrate, Au païs affligé ma priere Auocate, --	Je périsse plutôt que refuser ingrate, Au pays affligé ma prière Avocate, --
L ii Ie refuſe ſans plus, craintiue du refus, Craintine à bon ſujet, ſi iamais ie le fus, Parfait a ma requeſte, éconduite & receuë, Ou la fin d’vne guerre, ou ſa douteuſe iſſuë.	 Li -Je refuse sans plus, craintive du refus, Craintine à bon sujet, si jamais ie le fus, Parfait à ma requête, éconduite et reçue, Ou la fin d'une guerre, ou sa douteuse issue.
O pitoyables Dieux!	Ô pitoyables Dieux!
auteurs des bons deſſeins, Tant juſtes, tant clemens, tous puiſſans, & tous ſaincts, Accompagnez ma voix d’vn charme qui penetre Le roc de ſon courage, & penetrant j'impetre, I'impetre le pardon des torts qu'on luy a faits, Conjoint à la faueur d’vne agreable paix.	auteurs des bons desseins, Tant justes, tant cléments, tous puissans, et tous saints, Accompagnés ma voix d'un charme qui pénètre Le oc de son courage, et pénétrant j'impète, J'impetre le pardon des torts qu'on lui a faits, Conjoint à la faveur d'une agréable paix.
Allons, ma chere Bru, viens d’vn baiſer modeſte Appaiſer de ce Mars la rancune funeſte, Et toy ſon doux eſpoir, ſon germe genereux Oblige dés le bers ton pais malheureux.	Allons, ma chère Bru, viens d' baiser modeste Apaiser de ce Mars la rancune funeste, Et toi son doux espoir, son germe généreux Oblige dès le bers ton pais malheureux.
CENE IIII.	CÈNE IIII.
CORIOLAN, LE CONSEIL.	CORIOLAN, LE CONSEIL.
VOLOMNIE, TROVPE des Dames.	VOLOMNIE, TROUPE des Dames.
Coriolan.	Coriolan.
Eigneurs Volſques, honneur de vostre S Republique, Dignes d’eſtre adiouſtez à la troupe Olimpique, Le Conſeil nous appelle en ce ſiege important, A la perte de l’vn des deux partis baſtant, Des Romains, ou de nous, l’vn obſtiné de prendre Un monde enclos de murs;	Eigneurs Volsques, honneur de votre S Épublique, Dignes d'être ajoutés à la troupe Olimpique, Le Conseil nous appelle en ce siège important, A la perte de l'un des deux partis bâtant, Des Romains, ou de nous, l'un obstiné de prendre Un monde enclos de murs;
l’autre de ſe defendre, Doute qui ne ſe peut bien reſoudre au certain, Sçauoir l’éuenement, ſi ce n'eſt du deſtin;	l'autre de se défendre, Doute qui ne se peut bien résoudre au certain, Savoir l'événement, si ce n'est du destin;
Quant à ce qui concernevne apparẽce humaine Sa priſe ne nous doit balancer incertaine, D'ouuerte & viue force, ou du temps ménagers Auec moins de haZards, de perte & de dãgers, Moins prodigues de ſang, & plus meurs de Faut que l’ennemy prenne vn joug en patience, Conuiendra qu'il ſe rende à compoſition, Malgré ſa reſiſtance & ſon ambition, Pretendre le forcer veu la grandeur du nombre, I'eſtime que ce ſoit lutter contre ſon ombre, Se reculer du but au lieu de s’approcher, Pour conſeruer vn bien que l’on priſe ſi cher, Garder ſa liberté, ſa fortune, et ſa race:	Quant à ce qui concerne apparence humaine Sa prise ne nous doit balancer incertaine, D'ouverte et vive force, ou du temps ménagers Avec moins de hasards, de perte et de dansgers, Moins prodigues de sang, et plus mûrs de Faut que l'ennemi prenne un joug en patience, Conviendra qu'il se rende à composition, Malgré sa résistance et son ambition, Pretendre le forcer vu la grandeur du nombre, J'estime que ce soit luter contre son ombre, Se reculer du but au lieu de s'approcher, Pour conserver v bien que on prise si cher, Guer sa libert, sa fortune, et sa race:
Il n'eſt rien d’impoſſible, il n'eſt rien qu'on ne face, Iuſqu'au dernier ſouſpir on combat hardiment, Meſme alors que le corps ne manque d’aliment, Que le ſang vigoureux boüillonne dans les veines, Et que d’eſprit encor elles ſont toutes pleines, Loing d’auoir à dompter des hommes affamez, Des vaincus impuiſſans en leurs murs enfermez, Parmy les corps plaintifs des enfans & des femmes, Des monceaux charongneux delaiſſez de leurs Parmy l’air peſtilent, la frayeur des aſſaults, TalõneZ de la Parque, opprimeZ des trauaux:	Il n'est rien d'impossible, il n'est rien qu'on ne face, Jusqu'au dernier soupir on combat hardiment, Même alors que le corps ne manque d'aliment, Que le sang vigoureux bouillonne dans les veines, Et que d'esprit encor elles sont toutes pleines, Loing d'avoir à dompter des hommes affamés, Des vaincus impuissants en leurs murs enfermés, Parmi les corps plaintifs des enfants et des femmes, Des monceaux charongneux délaissez de leurs Parmi l'air pestent, la frayeur des assaults, TalõneZ de la Parque, Dame des aux:
Pour moy, c'eſt mon auis, ie trouue que ce ſiege En longueur les accable autant qu’il nous allege, Sauf l’oppoſition des meilleures raiſons Permiſes à chacun en ce que nous faiſons, Ainſi que le Printemps ne fait vne hirondelle, Tous les esprits ne ſont captifs d’vne ceruelle:	Pour moi, c'est mon avis, Seigneur trouve que ce siège En longueur les accable autant qu'il nous allege, Sauf l'opposition des meilleures raisons Permises à chacun en ce que nous faisons, Ainsi que le Printemps ne fait une hirondelle, Tous les esprits ne sont captifs d'une cervelle:
Et comme le cheual plus adextre, ſouuent Ne laiſſe de chopper, on ſe va deceuant.	Et comme le cheval plus adextré, souvent Ne laisse de chopper, on se va décevant.
Humaine infirmite!	Humaine infirmité!
Mais, ô Bonté Diuine!	Mais, ô Bonté Divine!
Quelle troupe vers nous de Dames s’achemine?	Quelle troupe vers nous de Dames s'achemine?
Ie reconnoy ma Mere, &t ma Femme, ſus donc Arme toy de conſtance inflexible, ſi onc Contr'elle de conſtance Ha!	Je reconnais ma Mère, ett ma Femme, sus donc Arme toi de constance inflexible, si onc Contr'elle de constance Ha!
l’amitié plus forte Que tout autre reſpect me ſurmonte et m'emporte;	l'amitié plus forte Que tout autre respect me surmonte et m'emporte;
Ie les voy larmoyant, O pudique moitié!	Je les vois larmoyant, Ô pudique moitié!
Ne me prouoque plus par tes pleurs à pirié, Conforte toy d’eſpoir, & vous auſſi ma mere,	Ne me provoque plus par tes pleurs à pirié, Conforte toi d'espoir, et vous aussi ma mère,
Qui vous amene içy maintenant, dites moys Volomnie.	Qui vous amène ici maintenant, dites -mois Volomnie.
Le motif, mon enfant, de ma triſte venuë Se lit aſſez empreint en ma facechenuë;	Le motif, mon enfant, de ma triste venue Se lit assez empreint en ma facechenue;
Coupable tu le ſçais, Helas!	Coupable tu le sais, Hélas!
Helas!	Hélas!
ie vien Pour faire reſulter du mal vn plus grand bien, De la guerre vne paix moyennãt qu’il te plaiſe Temperer de raiſons ta cholereuſe braiſe, Qu'il te plaiſe oublier l’outrage injurieux, Uers ta valeur commis d'vn peuple furieux, Commis d’vn peuple ingrat, d’vne Commune ignare Enuers ſon bienfacteur, ſon aſile, & ſon phare.	Les vien Pour faire résulter du mal un plus grand bien, De la guerre R paix moyennant qu'il te plaise Tempérer de raisons ta colèreuse braise, Qu'il te plaise oublier l'outrage injurieux, Uers ta valeur commis d'un peuple furieux, Commis d'un peuple ingrat, d'une Commune ignare Envers son bienfacteur, son asile, et son phare.
Ores il ſe repent, il te crie mercy, Oreſ il émouueroit le cœur plus endurcy, De ſes calamitez, de ſes lugubres plaintes, Ores tu tiens vengé ſes murailles enceintes, Tu luy peux comme vn pere aprés l’auoir puny, L'oubliance impetrer des Uolſques revny, Tu le peux, & le dois, pieux & magnanime;	Ores il se repent, il te crie merci, Ores il émouueroit le cœur plus endurci, De ses calamités, de ses lugubres plaintes, Ores tu tiens vengé ses murailles enceintes, Tu sans peux comme un père après l'avoir puni, L'oubliance impétrer des Uolsques réuni, Tu le peux, et le dois, pieux et magnanime;
Afin de t'acquerir vne gloire ſublime, Afin de meriter de ces deux nations, Equitable cenſeur de nos diſſenſions,	Afin de t'acquérir une gloire sublime, Afin de mériter de ces deux nations, Équitable censeur de nos dissensions,
Ie ne te voudrois pas conſeiller (mal-apriſe) De trahir ceux qui t'ont leur puiſſance commiNon plus que de vouloir ton pays ruiner, Tu dois fidel à l’vn, à l’autre pardonner, De deux extremiteZ moyennant vn remede Au regard des vertus la clemence precede.	Je ne te voudrais pas conseiller (mal-aprise) De trahir ceux qui t'ont leur puissance commiNon plus que de vouloir ton pays ruiner, Tu dois fidel à l'un, à l'autre pardonner, De deux extrémité moyennant un remède Au regard des vertus la clémence précède.
Hé!	Hé!
combien penſes tu que le ſort plus cruel Afflige nos cerueaux d’vn ſoin continuel, Trauaille plus ta mere, & ta femme dolente, Si ce mortel braſier de diſcord ne s’allente, Si (ce que les bons Dieux empeſchent d’auenir) Ma priere ne peut qu'vne honte obtenir?	combien penses -tu que le sort plus cruel Afflige nos cerveaux d'un soin continuel, Travaille plus ta Mère, et ta femme dolente, Si ce mortel brasier de discord ne s'allente, Si (ce que les bons Dieux empêchent d'avenir) Ma prière ne peut qu'une honte obtenir?
Deſirer qu'à ton camp arriue la victoire, Que le païs erige vn trophée à ta gloire;	Désirer qu'à ton camp arrive la victoire, Que le pays erige un trophée à ta gloire;
C'eſt vne impieté, c'eſt vne trahiſon, Souhaiter le contraire Helas!	C'est assez impiété, c'est un trahison, Souhaiter le contraire Hélas!
quelle raiſon?	quelle raison?
Tu es mon ſang, ma chair, mes os, ma geniture, Que j'affecte le plus par deuoir de nature, Aujfe vefpomonté d'appointer, n'ay-je pas Reſolu d’allonger juſque-là mon trépas, Sur mon corps trépaßé tu paſſeras en armes, Conduiſant à l’aſſaut la fleur de tes genſd’arMon fils ne te reſoûs à tant d’impieté, Par ce ſein qui ta bouche a petite allaité, Par ces yeux éplorez de larmes continuës, Par les douleurs que i’ay mortelle ſouſtenuës, En te mettant au jour par le chaſte lien D'vn amour conjugal, & par ceſt enfant tien, Exauce ie te prie, exauce ma requeſte, Et promets garantir nostre peureuſe teſte.	Tu es mon sang, ma chair, mes os, ma géniture, Que j'affecte le plus par devoir de nature, Aujfe vefomonté d'appointer, n'ai-je pas Résolu d'allonger jusqu'là mon trépas, Sur mon corps trépassé tu passeras en armes, Conduisant à l'assaut la fleur de tes gensd'arMon fils ne te resoûs à tant d'impiété, Par ce sein qui ta bouche a petite allaité, Par ces yeux éploré de larmes continues, Par les douleurs que j'ai mortelle soustenuës, En te mettant au jour par le te lien D' amour conjugal, et par es enfant tien, En le te prie, exauce ma requête, Et promets li nôtre peureuse teste.
Tu ne me répons mot, tu pallis du remors, Ton cœur ſouffre agité de merueilleux effors;	Tu ne me réponds mot, tu pallis du remors, Ton cœur souffre agité de merveilleux efforts;
Hé!	Hé!
mon fils.	mon fils.
Ah!	Ah!
mon fils de grace conſidere, Qu'il ne faut pas toûjours ceder à ſa colere, Ce que i'ay fait pour toy:	mon fils de grâce considère, Qu'il ne faut pas toujours ç sa colère, Ce que j'ai fait pour toi:
Venez & l’embraſſons;	Venez et l'embrassons;
Di prt nous ceondun, a ſes pieus irefpaſſons, Que ſa rigueur enſemble implacable nous tuë, Que ſur nous ſa vengeance entiere s'effectuë.	Dis prét nous ceondun, a ses pieus irefassons, Que sa rigueur ensemble implacable nous tue, Que sur nous sa vengeance entière s'effectue.
Coriolan.	Coriolan.
Ah!	Ah!
Mere, Qu'as-tu fait pour ſauuer ton païs, Ma vie & mon honneur, cruelle tu trahis, Pour luy tu as vaincu vne victoire heureuſe, Mais à ton ſang dompté fatale, & funereuſe, SuiueZ-moy, ie vous veux en ſecret conferer, e nunt, & comment te camp ie feray retirer.	Mère, Qu'as-tu fait pour sauver ton pays, Ma vie et mon honneur, cruelle tu trahis, Pour lu tu as vaincu une victoire heureuse, Mais à ton sang dompté fatale, et funéreuse, Suivez-moi, je vous veux en secret conférer, eu nunt, et comment te camp ie ferai retirer.
Volomnie.	Volomnie.
O parole pieuſe & du Ciel inſpirée!	Ô parole pieuse et du Ciel inspirée!
Tu nous es ſecourable autant qu'ineſperée.	Tu nous es secourable autant qu'inespérée.
Le Conſeil Uaincu d’affection ce murmure à l’écart Ne nous preſage rien de meilleur qu'vn depart, Que de leuer moqueZ le ſiege d'vne ville A l’extréme reduite, & peu s en faut ſeruille, Uille qui n’auoit plus d’eſpoir de ſe ſauuer Comme nous deſormais ue pouuoir captiuer, Souffrir qu'vn eſtranger nous trahiſſe en la ſorte:	Le Conseil Uaincu d'affection ce murmure à l'écart Ne nous présage rien de meilleur qu'un départ, Que de lever mouvez le siège d'une ville A l'extrême réduite, et peu si en faut serville, Uille qui n'avait plus d'espoir de se sauver Comme nous désormais ue ouvoir captiver, Souffrir qu'un étranger nous trahisse en la sorte:
Avren quireiſeroit ta contraune ſi jonte.	Avren quireiserait ta compraune si jonte.
Il y a plus en luy de pieté beaucoup, Que de mauuais vouloir executant ce coup.	Il y a plus en amour de piété beaucoup, Que de mauvais vouloir exécutant ce coup.
Coriolan.	Coriolan.
Ma Mere, tenez-vous de la choſe aſſeurée, Bien que vous la jurant ma perte eſt conjurée, Retournez deliurer ces ingrats de ſouçy, Puis qu'a voſtre depart l’auez remis ainſi.	Ma Mère, tenez-vous de la chose assurée, Bien que vous la jurant ma perte est conjurée, Retournez délivrer ces ingrats de souçi, Puis qu'a votre départ l'avez remis ainsi.
Volomnie.	Volomnie.
Ils ne croiroiẽt (mõ fils) d’vn autre la nouuelle, Mon ſejour en ton camp les tiendroit en ceruelle.	Ils ne croiraient (mon don) d'un autre la nouvelle, Mon séjour en ton camp les tiendrait en cervelle.
Iupiter protecteur te conſerue, attendant Que nous te reuerrons, te garde d'accident.	Jupiter protecteur te conserve, attendant Que nous te réverrons, te garde d'accident.
Coriolan.	Coriolan.
Le l'eſpereZ pluſtoſt qu’en l’Herebique ſalle, Adieu ma Mere, Adieu ma Compagne loyalle.	Le l'espérez plutôt qu'en l'Hérbique salle, Adieu ma Mère, Adieu ma Compagne loyalle.
Volomnie.	Volomnie.
Helas!	Hélas!
de ce ſoupçon tu me naures le cœur, O Dieux!	de ce soupçon tu me naures le cœur, Ô Dieux!
Grands Dieux du Ciel!	Grands Dieux du Ciel!
faites qu’il ſoit mocqueur.	faites qu'il soit moqueur.
ACTE V.	ACTE V.
CORIOLAN,, PAGE.	CORIOLAN, PAGE.
SCENE I.	SCÈNE I.
lLacé, pâle, tremblant d’vne craints inconnuë,	lLacé, pâle, tremblant d'une craints inconnue,
Ma reſiſtance est vaine, & ma conſtance eſt nuë, Cent preſages mortels m'enuironnent les yeux Fermez toute la nuict aux ſomnes gracieux, De spectres agiteZ, de larualles figures, Degemißemens longs, effroyables augures;	Ma résistance est vaine, et ma constance est nue, Cent presages mortels m'environnent les yeux Fermés toute la nuit aux somnes gracieux, De spectres agitez, de laruales figures, Degemissemens longs, effroyables augures;
Tantoſt d’vn peuple émeu ie ſentois le couſteau Mes entrailles percer, imployable bourreau;	Tantôt d'un peuple ému assez sentais le coûteau Mes entrailles percer, imployable bourreau;
Maintenant il ſembloit en mon ame égarée, Conjointe au nombre espoix d’vne troupe aërée Pour neant reclamer la peine de Charon, Luy offrir le paſſage & paſſer l’Acheron, Sur ce bord negliger errante & forcenée, Comme celles qui ont forcé leur deſtinée, Un cry de ces oyſeaux prophetes de malheurs, Traiſné juſques au jour augmentoit mes douleurs, Et le iour paroiſſant, Phœbus comme malade Semble me décocher vne ſiniſtre œillade, La terre ſous mes pieds mugit à chaque pas	Maintenant il semblait en mon âme égarée, Conjointe au nombre époix d'une troupe aërée Pour néant réclamer la peine de Charon, Lui offrir le passage et passer l'Acheron, Sur ce bord négliger errante et forcenée, Comme celles qui ont forcé leur destinée, Un cri de ces oiseaux prophètes de malheurs, Traîné jusques au jour augment mes douleurs, Et le jour paraissant, Phœbus comme malade Semble me décocher une sinistre œillade, La terre sous mes pieds mugit à chaque pas
e.	e.
Les Seigneurs du Conſeil vous mandent aſjuntele&	Les Seigneurs du Conseil vous mandent asjunteleet
Coriolan.	Coriolan.
Raſſerene, coüard, ores tes ſens troublez, Ua trouuer reſolu ton ſalut, ou ta perte, Certes touſouuuumtos immortet netouuerte.	Rasserne, coüard, ores tes sens troublés, Ua trouver résolu ton salut, ou ta perte, Certes tousouuuumtos immortet netouuerte.
SCENE II.	SCÈNE II.
AMFIDIE, CORIOLAN CONSEIL, LE CHOEVR des Volſques.	AMFIDIE, CORIOLAN CONSEIL, LE CHOEUR des Volsques.
Amfidie.	Amfidie.
E prens les Cieux témoins de la lampe du T jour, Qu'à l’endroit du païs vn charitable amour, Mon honneur outragé, qui ſembleroit complice De ceſt incomparable, & traiſtre malefice, M’induiſent malgré moy d’accuſer ce meſchant	E prends les Cieux témoins de la lampe du T our, Qu'à l'endroit du pays un charitable amour, Mon honneur outragé, qui semblerait complice De cette incomparable, et traître maléfice, M'induisent malgré moi d'accuser ce méchant
Sans Sans ouïr ſes raiſons, ſans aucune pitié, Que n’attenteroit-il d’oreſnauant de faire?	Sans Sans ouïr ses raisons, sans aucune pitié, Que n'attenterait-il d'oresnavant de faire?
Nous liurer pieds & poings liez à l’aduerſaire, Tout ce que j'en ay dit, Ha!	Nous livrer pieds et poings liés à l'adversaire, Tout ce que j'en ai dit, Ha!
le voicy venir, A peine de fureur me puis-je contenir.	le voici venir, À peine de fureur me puis-je contenir.
Le Conſeil.	Le Conseil.
Eſcoutons informé qu’il aura de defenſe.	Écoutons informé qu'il aura de défense.
Contre l’objection d’vne ſi grande offenſe.	Contre l'objection d'une si grande offense.
Amfidie.	Amfidie.
Noſtre Communauté te fait commandement, De dépoſer ta charge en ſes mains prõptement, Afin du tort, ou droit maintenãt rendre conte De choſe dont pour toy le Ciel rougit de honte, D'excés pendant icelle infinis perpetreZ, Nos deſſeins, nos labeurs par tõ moyẽ fruſtrez Regarde (obeïſſant) doncques de te demettre D'vn pouuoir abſolu, qui ne veut point de traiſtre.	Notre Communauté te fait commandement, De déposer ta charge en ses mains promptement, Afin du tort, ou droit maintenãt rendre conte De chose dont pour toi le Ciel rougit de honte, D'excès pendant icelle infinis perpetés, Nos desseins, nos labeurs par tendre frustrez Regarde (obéissant) doncques de te démettre D'un pouvoir absolu, qui ne veut point de traître.
Apres il conuiendra me respondre accuſe, D'vn pouuoir dont tu as lourdement abuſé.	Après il conviendra me répondre accuse, D'un pouuoir dont tu as lourdement abusé.
Coriolan.	Coriolan.
Comme de gué de tous i’ay la charge acceptée, Ie la rendray m'eſtant du gré de tous oſtée.	Comme de gué de tous j'ai la charge acceptée, Je la rendrai m'étant du gré de tous ôtée.
Ie ne differe point de dire hautement, Tout ce qui s'eſt paßé ſous mon gouuernement, En rendre conte à vous, & à ceux de la ville.	Je ne diffère point de dire hautement, Tout ce qui s'est passé sous mon gouvernement, En rendre conte à vous, et à ceux de la ville.
Qui ſçauent su ieur jui domageavit et vtille,	Qui bravent su jeur jui dommageavit et vtille,
Amfidie.	Amfidie.
Homme double de cœur, ingrat cent & cent fois, Inuenteur de ruines, & refractaire aux loix, Qui t’a meu d’arreſter le cours de nos trofées?	Homme double de cœur, ingrat cent et cent fois, Inventeur de ruines, et réfractaire aux lois, Qui t'a meu d'arrêter le cours de nos trofées?
De nous entretenir des guerres étouffées?	De nous entretenir des guerres étouffées?
Qui la premiere fois te permit d’accorder Une tréue aux Romains, ſans nous le demander?	Qui la première fois te permit d'accorder Une trêve aux Romains, sans nous le demander?
Leuant le ſiege alors que de crainte eſperduë Leur ville s’en alloit en peu de iours renduë.	Levant le siège alors que de crainte éperdue Leur ville s'en allait en peu de jours rendue.
Pourquoy depuis as-tu de pouuoir abſolu, Auec eux vne paix honteuſe reſolu?	Pourquoi depuis as-tu de pouvoir absolu, Avec eux une paix honteuse résolu?
Noſtre ſiege leuë, abuſant d’vne armée Capable de courber deſſous la Renommée L'vniuers effroyé, non pas vne Cité;	Notre siège leve, abusant d'une armée Capable de courber dessous la Renommée L'Hivers effroyé, non pas une Cité;
Dy nous traiſtre, qui t’a de ce faire incité?	Dis nous traître, qui t'a de ce faire incité?
Si c’eſt recognoiſſant l’hõneur que nous te fiſmes Quand vne telle flotte en tes mains nous te miſQue moy-meſme portay la parole pour toy, Dep fuieguns forgen des rujes, respons moyz	Si c'est reconnaissant l'honneur que nous te fîmes Quand une telle flotte en tes mains nous te misQue moi-même portai la parole pour toi, Dep fuieguns forgen des rujujes, répons moyés
Coriolan, Vous plaiſe mes raiſons ouïr en patience;	Coriolan, Vous plaise mes raisons ouïr en patience;
Il ne ſe trouuera de certaine ſcience, Que i'aye rien mépris, que de déloyaute Reprochable ie ſois vers la Communauté.	Il ne se trouvera de certaine science, Que j'aie rien mépris, que de déloyaute Reprochable M sois vers la Communauté.
Rome au commencemẽt de la guerre entrepriſe, Prẽdre onc ie n'esperay, ny vous qu'elle fût priſe, Noſtre but n’y tendoit, nous n’auions volonté, Leur puiſſance affoiblie, & leur orgueil dompté, Sinon de retirer vos places determer, Pactions auec eux de ma part conuenuës, d vomejje erecentee auant que retoupers	Rome au commencement de la guerre entreprise, Prendre onctions ie Sinon de, retirer vos qu'elle Notre prise, Notre but n'y tendait, nous n'avions volonté, Leur puissance affaiblie, et leur orgueil dompté, Sinon de retirer vos places détermer, Pactions seulement eux de ma part convenues, d vomejje erecentee avant que retoupers
Amfidie.	Amfidie.
Iu as donc la voulu nos victoires borner?	Ju as donc la voulu nos victoires borner?
Coriolan.	Coriolan.
I’ay douté le hazard des armes fournallieres.	J'ai douté le hasard des armes fournalières.
Amfidie.	Amfidie.
Quel hazard en des murs leurs forces priſonnieres?	Quel hasard en des murs leurs forces prisonnières?
Coriolan.	Coriolan.
L'extréme deſespoir d’vn ennemy vaillant, A produit de grands maux au vainqueur inſolent.	L'extrême désespoir d'un ennemi vaillant, A produit de grands maux au vainqueur insolent.
Amfidie.	Amfidie.
La trahiſon d’vn chef eſtrãger plus à craindre, Aux credules ſouuent apporte dequoy plaindre.	La trahison d'Hommes chef étranger plus à craindre, Aux crédules souvent apporte dequoy plaindre.
Coriolan.	Coriolan.
Ueulent les Dieux benius, que vous n’ayez jaMlab Dequoyvous plaindre plus que d’vne telle paix.	Ueulent les Dieux bénius, que vous n'ayez jaMlab Dequoyvous plaindre plus que d'une telle paix.
Amfidie.	Amfidie.
Nas tu (ſollicité de prieres de femmes) A noſtre armée enjoint vne retraite infame?	Nas tu (sollicité de prières de femmes) A notre armée enjoint une retraite infâme?
Coriolan.	Coriolan.
Las!	Las!
ie ne ſçache aucũ de vous qui n'euſt fléchy, El par lapidle de jon aenon gautiy.	Je ne sache aucun de vous qui n'eût fléchi, Él par lapidèle de jon aenon gauti.
Amfidie.	Amfidie.
Uous voyez qu’il confeſſe à plain ſa perfidie.	Uous voyez qu'il confesse à plain sa perfidie.
Le Chœur.	Le Chœur.
Le traiſtre n'a que trop noſtre teſte eſtourdie Dinutiles diſcours, trop merité la mort, Que nous luy donnerons ſur le champ d’vn accord.	Le traître n'a que trop nôtre te étourdie Dinutiles discours, trop mérité la mort, Que nous lui donnerons sur le champ d'un accord.
Coriolan.	Coriolan.
Au ſecours mes amis, à l’aide, on m’homicide.	Au secours mes amis, à l'aide, on m'homicide.
Le Chœur.	Le Chœur.
Trebuche déloyal au fleuue Acherontide, Ua tranir de Timon tes Manes ſi tu peux.	Trebuche déloyal au fleuve Acherontide, Ua trir de Timon tes Manes si tu peux.
Coriolan.	Coriolan.
Arreſtez Citoyens, où auëZ-vous les yeux?	Arrêtez Citoyens, où auez-vous les yeux?
Le Chœur.	Le Chœur.
Te voila guerdonné d’vn merité ſalaire, Et qui voudra t’enſuiure effroyable exẽplaire?	Te voilà guerdonné d'une mérité salaire, Et qui voudra t'ensuivre effroyable exemplaire?
Amfidie.	Amfidie.
Le peuple n'a rien fait, iuſtement mutiné, Qu'executer du Ciel vn Arreſt destiné, Ne ſe voulant Tyran depoſer de l’Office, Il l’y deuoit contraindre auec ce ſacrifice, Loüez-le donc de l’acte, au lieu de le blâmer, Au lieu de le cuider de propos reprimer.	Le peuple n'a rien fait, justement mutiné, Qu'exécuter du Ciel un Arrêt destiné, Ne se voulant Tyran déposer de l'Office, Il l'y devait contraindre avec ce sacrifice, Louez-le donc de l'acte, au lieu de le blâmer, Au lieu de le cuider de propos réprimer.
Le Colllen La forme de iustice à loiſir obſeruée, Tous ſa punition euſſent lors approuuée.	Le Colllen La forme de justice à loisir observée, Tous sa punition eussent lors approuvée.
Amfidie.	Amfidie.
Au contraire, on luy euſt permis en ce loiſir D'attenter quelque fraude en ſon meſchant deEſquiuer du ſupplice, & ſes armes tournées, Nous faire deſister nos pourſuites trainées;	Au contraire, on lui eût permis en ce loisir D'attenter quelque fraude en son méchant deEsquiuer du supplice, et ses armes tournées, Nous faire désister nos poursuites trainées;
Il n'eſt que d’appliquer au chancre commencé, Le cautere premier quit jou pius auance.	Il n'est que d'appliquer au chancre commencé, Le cautère premier quit jou pius avance.
Le Conſeil.	Le Conseil.
Que ſert le repentir en vne choſe faite?	Que sert le repentir en une chose faite?
Mais pour rendre ſa faute encore plus ſuspecte, o roontont emcenuoinionoruote ne fon corps, Des vertus qu'il auoit, non des vices recors.	Mais pour rendre sa faute encore plus suspecte, ô roontont emcenuoinionoruote ne son corps, Des vertus qu'il avait, non des vices recors.
Amfidie.	Amfidie.
I'approuue volontiers ceſt auis magnanime, L'injure aux trépaſſeZ eſt vn enorme crime.	J'approuve volontiers cet avis magnanime, L'injure aux trépassez est un énorme crime.
SCEMMIII OLOMNIE, MESSAGER	SCEMIII OLOMNIE, MESSAGER
Tu auras mieux aymé à la Parque courir, Ouure les yeux aux pleurs, & la bouche à la plainte, Ie ne puis, ie ne puis d’espoir me raſſeurer, Ie ne puis rien de bon pour mon fils augurer;	Tu auras mieux aimé à la Parque courir, Ouvre les yeux aux pleurs, et la bouche à la plainte, Je ne puis, une ne puis d'espoir me rassurer, Je ne puis rien de bon pour mon fils augurer;
Déuelopé d’vn banc, vn gouffre le menace.	Développé d'ins banc, un gouffre le menace.
Sujet ainſi qu’il fut à vne populace, Sujet à rendre compte à vn peuple eſtraner, En quoy plus perilleux ie préuoy ſon danger, De ce qui c’eſt obmis en ſa charge paßée, D'vne paix à quoy l’a ma priere forcée, Aux Volſques dommageable, aux Uolſques qui pouuoient Mieux vſer contre nous des armes qu’ils auoient, Nous preſcrire aſſiegeZ, & faillis de courage, Telles loix qu'vn vainqueur donne à ſon auantage:	Sujet ainsi qu'il fut à une populace, Sujet à rendre compte à un peuple étraner, En quoi plus périlleux On prévois son danger, De ce qui c'est obmis en sa charge passée, D'une paix à quoi l'a ma prière forcée, Aux Volsques dommageable, aux Uolsques qui pouvaient Mieux vuser contre nous des armes qu'ils avaient, Nous prescrire assez, et faillis de courage, Telles lois qu'un vainqueur donne à son avantage:
Helas!	Hélas!
