ARGVMENT.	ARGUMENT.
Moy qui ſuis ſans amour, ie ne ſens point de peine, M’abandonnant ſans choix où le plaiſir me traine.	Moi qui suis sans amour, ie ne sens point de peine, M'abandonnant sans choix où le plaisir me traîne.
DAPHNIDE.	DAPHNIDE.
Quoy?	Quoi?
vous eſtes tout ſeul à reſueren ces lieux?	vous êtes tout seul à resueren ces lieux?
DAPHNIS.	DAPHNIS.
Cen'eſt pas pour pleurer l’abſence de vos yeux.	Cen'est pas pour pleurer l'absence de vos yeux.
DORIS.	DORIS.
Daphnis vous offenſez ce bel œil trop aymable.	Daphnis vous offensez ce bel œil trop aimable.
DIN Tout m'eſt indifferent, la laide & l’agreable.	DIN Tout m'est indifférent, la laide et l'agréable.
AMINIOR.	AMINIOR.
N'eſt-il point de beauté qui vous puiſſe toucher?	N'est-il point de beauté qui vous puisse toucher?
DAPHNIS.	DAPHNIS.
Duumte trouueroit auſſi dur qu'vn rocher,	Duumte trouverait aussi dur qu'un rocher,
DORIS.	DORIS.
Qaoy couns me meſprijeZ.	Qaï couns me mesprijeZ.
regeerues eede grace.	regeerves eede grâce.
DAPHNIS.	DAPHNIS.
Pour vous certes ie ſuis plus froid que de la glace.	Pour vous certes Princes suis plus froid que de la glace.
DAPHNIDE.	DAPHNIDE.
Et moy n’auray-ie pas vn traitement plus doux?	Et moi n'aurai-je pas un traitement plus doux?
d lra lrin eo Si ie pouuois aymer ie penſerois à vous;	 dra lrin eo Si On pouuois aimer ie penserais à vous;
AMVNTOR Doris, à ceſte fois Daphnis vous veut deſplaire.	AMVNTOR Doris, à cette fois Daphnis vous veut déplaire.
DAPHNIS.	DAPHNIS.
Dunu uop d’eſprit pour s’en mettre en colere.	Dunu op d'esprit pour s'en mettre en colère.
DORIS.	DORIS.
Regardez comme il veut eſuiter mon courroux!	Regardez comme il veut éviter mon courroux!
DAPHNIS.	DAPHNIS.
Mon ame toutesfois ne ſouffre point pour vous.	Mon âme toutefois ne souffre point pour vous.
DAPHNIDE.	DAPHNIDE.
C’eſt moy pour qui Daphnis tant ſeulement ſe pique.	C'est moi pour qui Daphnis tant se se pique.
DAPHNIS.	DAPHNIS.
Tant que vous le croirez vous ſerez heretique.	Tant que vous le croirez -vous serez hérétique.
AMYNTOR.	AMYNTOR.
Ce mot tient du meſpris comme de vanité	Ce mot tient du mépris comme de vanité
EATANTO.	EATANTO.
Ie la trouue pourtant pleine de majeſté.	Je la trouve pourtant pleine de majesté.
DORIS.	DORIS.
Berger c'eſt à ce coup vous declarer pourelle.	Berger c'est à ce coup vous déclarer pourelle.
DAPHNIDE.	DAPHNIDE.
Daphnis aſſeurement que vous me trouuez belle.	Daphnis assurément que vous me trouvez belle.
DAPHNIS.	DAPHNIS.
Vous pourriez en cela Daphnide vous tromper, Il faut bien des attraits pour me pouuoir piper, Il faut autant d’appas dans les yeux d’vne fille, Qu'vn moiſſonneur fait choir d’eſpics ſous la faucille.	Vous pourriez en cela Daphnide vous tromper, Il faut bien des attraits pour me pouvoir piper, Il faut autant d'appas dans les yeux d'une fille, Qu'vn moissonneur fait choir d'épics sous la faucille.
Mais quoy!	Mais quoi!
c'eſt trop long temps arreſter en vn lieu, Il eſt deſormais temps que ie vous diſe adieu.	c'est trop long temps arrêter en un lieu, Il est désormais temps que je vous dise adieu.
SCENE II.	SCÈNE II.
DAPHNIDE, AMYNTOR, DORIS.	DAPHNIDE, AMYNTOR, DORIS.
DAPHNIDE.	DAPHNIDE.
ORIS n’oſant parler plus d’amour que de Q crainte, Amyntor viens ouyr le ſubjet de ſa plainte, Elle ſe plaint de ce, que ton cœur en tous lieux Paroiſt auſſi changeant que la face des Cieux, Que tu ne ſçaurois voir la moindre du village Sans la perſuader d’vn affecté langage, Et d’vn front adoucy, par des mots amoureux, Te dire ſon captif en baiſant ſes cheueux, La flatter des douceurs que tu ne dois qu'à elle, Conſtante cheriſſant ton eſprit infidelle.	ORIS n'osant parler plus d'amour que de Q crainte, Amintor viens ouïr le sujet de sa plainte, Elle se plaint de ce, que ton cœur en tous lieux Paroist aussi changeant que la face des Cieux, Que tu ne saurais voir la moindre du village Sans la persuader d'un affecté langage, Et d'un front adouci, par des mots amoureux, Te dire son captif en baisant ses cheveux, La flatter des douceurs que tu ne dois qu'à elle, Constante chérissant ton esprit infidèle.
Certes beau ſuffiſant, en ce manque de foy Tu ne merite pas qu’on prenne ſoing de toy:	Certes beau suffisant, en ce manque de foi Tu ne mérite pas qu'on prenne soin de toi:
Voyez!	Voyez!
il en rougit, & ſa face abbatuë Semble me reprocher que ta plainte le tuë, O petit orgueilleux regarde ce beau teint, L’amour qu’elle a pour toy touſiours dãs ſon courage, Sur vn throſne de feu paroiſt en ſon viſage, Garde-toy de mentir à ſa diuinité, Conjoignant l'atheïſme à l’infidelité:	il en rougit, et sa face abattue Semble me reprocher que ta plainte le tue, Ô petit orgueilleux regarde ce beau teint, L'amour qu'elle a pour toi toujours dans son courage, Sur un trône de feu paraît en son visage, Garde-toi de mentir à sa divinité, Conjoignant l'athéisme à l'infidélité:
Parle;	Parle;
tu ne dis mot!	tu ne dis mot!
AMYNTOR.	AMYNTOR.
vn mouuement contraire Me force de parler, & m’enjoint de me taire, M’accuſer de feintiſe & d’vn amour mouuant Ainſi que les roſeaux aux ſecouſſes du vent, Ha!	un mouvement contraire Me force de parler, et m'enjoint de me taire, M'accuser de feintise et d'H amour mouvant Ainsi que les roseaux aux secousses du vent, Ha!
c’eſt trop me preſſer adorable Daphnide, Ton diſcours eloquent rend ma langue timide.	c'est trop me presser adorable Daphnide, Ton discours éloquent rend ma langue timide.
DAPHNIDE.	DAPHNIDE.
Le galand me cajole, & loing de s'excuſer, Sans doute il voudroit bien de bon cœur me baiſer.	Le galant me cajole, et loin de s'excuser, Sans doute il voudrait bien de bon cœur me baiser.
AMYNTOR.	AMYNTOR.
M’auertir de ma perte & rire de mon dueil, C’eſt me cacher le port & me monſtrer l’eſcueil Où doit perir la nef de mon ame amoureuſe, Qui depuis ſi long temps ſe croy oit eſtre heureuſe, Voguant en aſſeurance à la mer cy des flots, Les faueurs de Doris eſtans ſes Matelots;	M'avertir de ma perte et rire de mon deuil, C'est de mâcher le port et me montrer l'écueil Où doit périr la nef de mon âme amoureuse, Qui depuis si long temps se croy ait avoir heureuse, Voguant en assurance à la mer cy des flots, Les faveurs de Doris étant ses Matelots;
Ses ſouſpirs, ſes doux vents qui rempliſſoiẽt ſes voiles;	Ses soupirs, ses doux vents qui remplissaient ses voiles;
Son amour le nocher, & ſes yeux ſes eſtoilles:	Son amour le nocher, et ses yeux ses étoilles:
Maintenant ce ſoupçon mon bon heur finiſſant, Me panit en coulpable & ie ſuis innocent;	Maintenant ce soupçon mon bon heur finissant, Me panit en coulpable et ton suis innocent;
Doris ſi la pitié de ma peine te touche, Oy les vœux de mon cœur s'exprimans par ma bouche.	Doris si la pitié de ma peine te touche, Oi les vœux de mon cœur s'exprimants par ma bouche.
Que le Ciel ſoit touſiours contraire à mes deſirs, Que ton inimitié ruïne mes plaiſirs, Si tu ne fais mourir ma ioye & ma colere, Si tes beaux yeux ne ſont tout ce qui me peut plaire:	Que le Ciel soit toujours contraire à mes désirs, Que ton inimitié ruine mes plaisirs, Si tu ne fais mourir ma joie et ma colère, Si tes beaux yeux ne sont tout ce qui me peut plaire:
Que ſi ia ialouſe a reſoiu ma perie, A tes yeux de ma main ma poitrine entr'ouuerte Te fait vn ſacrifice en faiſant deſloger Ceſt eſprit innocent que tu crois ſi leger.	Que si ja jalouse a résoive ma périe, À tes yeux de ma main ma poitrine entr'ouverte Te fait un sacrifice en faisant déloger Cest esprit innocent que tu crois si léger.
DORIS.	DORIS.
Pardonne moy mon cœur, pardonne moy ma vie, Ie te croyois bleſſe des beaux yeux de Syluie, Redoutant mes defauts bien plus que ſa beauté, Ie n’oſois m’aſſeurer de ta fidelité:	Pardonne moi mon cœur, pardonne moi ma vie, Je te croyais blesse des beaux yeux de Syluie, Redoutant mes défauts bien plus que sa beauté, Je n'osais m'assurer de ta fidélité:
Mais puis qu'encores vn coup ta foy me perſuade, Je me trouue guerie,	Mais puis qu'encores un coup ta foi me persuade, Je me trouve guérie,
AMYNTOR.	AMYNTOR.
& moy ie ſuis malade.	et moi et moi malade.
Les graces de Syluie ont ſeduit ma raiſon.	Les grâces de Syluie ont séduit ma raison.
Me leres Mon ame que dis-tu?	Me lères Mon âme que dis-tu?
AMYNTOR.	AMYNTOR.
que la comparaiſon De Syluie à Doris eſt du tout imparfaite, Proche de ton viſage elle paroiſt mal faite, Et que c’eſt m'offenſer que d’en parler ainſi.	que la comparaison De Syluie à Doris est du tout imparfaite, Proche de ton visage elle paraît mal faite, Et que c'est m'offenser que d'en parler ainsi.
DÓRIS.	DRIS.
Par ce reſſentiment mon eſprit adoucy, Reçoy ce doux baiſer qu’à ta bouche i'imprime, Qui ſuns doute obtiendra le pardon de mon crime.	Par ce ressentiment mon esprit adouci, Reçois ce doux baiser qu'à ta bouche j'imprime, Qui suns doute obtiendra le pardon de mon crime.
Voy mes yeux languiſſans ſur les tiens attuchez, Tu croiras mes ſoupçons des aymables pechez, Li que les monnemem d'on pen de latonſie, Monſtrent bien que l’amour eſt dans la fahtaiſie, Et mes regards touſiours meſlez auec les tiens, D’vn langage d’amour te diſent que i’en tiens.	Vois mes yeux languissants sur les tiens attuchés, Tu croiras mes soupçons des aimables péchés, Li que les monneme d'on pen de latonsie, Monstrent bien que l'amour est dans la fahaitaisie, Et mes regards toujours mêlés avec les tiens, D langage 'amour te disent que j'en tiens.
DAPHNIDE.	DAPHNIDE.
Vrayement petit muguet ton orgueil eſt bien ayſe, Qu'au lieu de te punir ma compagne te baiſe, Et que pour mieux ſerrer tes liens & ſes nœuds, Pour vn baiſer permis elle t'en donne deux, Si ton mal heur t’auoit enlacé de mes chaiſnes, Des meſpris continus allongeroient tes peines,	Vraiment petit muguet ton orgueil est bien aise, Qu'au lieu de te punir ma compagne te baise, Et que pour mieux serrer tes liens et ses nœuds, Pour un baiser permis elle t'en donne deux, Si ton mal heur t'avait enlacé de mes chaînes, Des mépris continus allongeraient tes peines,
Ie te ferois ſentir.	Je te ferais sentir.
Les aduantures	Les aventures
AMYNTOR.	AMYNTOR.
Daphnide c’eſt aſſez, Que pour m'en garentir vous m’en adüertiſſez, Riuons beut Durh yμRonsauns nos cabanes, Nos feux ſont offenſez par ces diſcours profanes.	Daphnide c'est assez, Que pour m'en garantir vous m'en avertissez, Rivons but Durh yμRonsauns nos cabanes, Nos feux sont offensez par ces discours profanes.
DORIS.	DORIS.
Allons ma chere ſœur, ton gentil entretien A rendu ſon braſier au ſſi grand que le mien.	Allons ma chère sœur, ton gentil entretien A rendu son brasier au ssi grand que le mien.
DAPHNIDE.	DAPHNIDE.
Pourte tieute te croy, apaent au ſien ie proteſté,	Pourte tieute te crois, apaent au sien ici protesté,
DRIS.	DRIS.
Que ſon amour eſt grand s'il ne m’en doit de reſte,	Que son amour est grand s'il ne m'en doit de reste,
Iuſtement, DAPHNIDE.	Justement, DAPHNIDE.
AMYNTOR.	AMYNTOR.
bouffonne que dis tu?	bouffonne que dis -tu?
DAPHNID.	DAPHNID.
E.	E.
Que tu reçois le prix ſans auoir combatu.	Que tu reçois le prix sans avoir combattu.
SCENE III.	SCÈNE III.
DIOMEDE, SERES.	DIOMEDE, SEREZ.
DIOMEDE.	DIOMEDE.
E temps nous fait meurir, l'honneur nous fait Ereuiure, Nous ſommes doncmortels, bien-heureux de le ſuiure:	E temps nous fait mûrir, l'honneur nous fait Erevivre, Nous sommes doncmortels, bienheureux de le suivre:
I'entends I'entends l’honneur acquis ſous le fais du harnois, Dans vn iuſte combat pour le maintien des Lois, Autourd’huy que la Grece en beaux eſprits ſeconde Paſſe dans l’Vniuers pour la gloire du monde.	J'entends J'entends l'honneur acquis sous le fais du harnais, Dans un juste combat pour le maintien des Lois, Autourd'hui que la Grèce en beaux esprits seconde Passe dans l'Univers pour la gloire du monde.
1 Sans le Romant d’Homere, vn languiſſant tombeau Tiendroit le corps d’Achylle & ce qu’ilfit de beau.	1 Sans le Romant d'Homère, un languissant tombeau Tiendrait le corps d'Achylle et ce qu'ilfit de beau.
Priam dans le regret de voir perdre ſa ville, Conſiderant Hector creut ſon malheur vtile, Pere d’vn tel guerrieril creut malgré le ſort, D'vn tel embraſement ſuruiure apres ſa mort;	Priam dans le regret de voir perdre sa ville, Considérant Hector crut son malheur utile, Père d'un tel guerrier creut malgré le sort, D'un tel embrasement suruiure après sa mort;
Ceſte raiſon me fait hagarder à la guerre, Mon fils qui ne ſçait rien que labourer la terre:	Cette raison me fait hagarder à la guerre, Mon fils qui ne sait rien que labourer la terre:
Mais il eſt bien adroit, robuſte de ſon corps, Et qui peut ſupporter des biens rudes efforts, Les plꝰ grãds n’õt pas mieux des muſcles & des veines, 11 pruo uonbuis oua roubanbres des pemnes, Qu'en dites-vous ma femme?	Mais il est bien adroit, robuste de son corps, Et qui peut supporter des biens rudes efforts, Les pl grãds n'õt pas mieux des muscles et des veines, 11 pruo vobuis oua roubanbres des pemnes, Qu'en dites-vous ma femme?
& ne trouuez-vous pas Loüable le deſſein d’affranchir du treſpas, Par voſtre fils nos noms?	et ne trouvez-vous pas Louable le dessein d'affranchir du trépas, Par votre fils nos noms?
SERES.	SEREZ.
dans le meſtier des armes, Pour vn pere qui rit, mille verſent des larmes, Et de tant de Soldats qui ſuiuent ces ſentiers, Plus frequents les tombeaux y ſont que les lauriers.	dans le métier des armes, Pour un père qui rit, mille versent des larmes, Et de tant de Soldats qui suivent ces sentiers, Plus fréquents les tombeaux y sont que les lauriers.
Nous n’auons qu’vn ſeul fils dont l’aymable ieuneſſe, Tient nos corps en vigueur qu’affoiblit la vieilleſſe, Pipé du vain eſelat d’vnfantaſque deſſein, Imprudent oſtez-vous ceſte eſpine du ſein!	Nous n'avons qu'un seul fils dont l'aimable jeunesse, Tient nos corps en vigueur qu'affaiblit la vieillesse, Pipé du vain eselat d'unfantasque dessein, Imprudent ôtés-vous cette épine du sein!
Parmy le doux repos où le Ciel nous fait viure, N’enuiez à Thyrſis le moyen de vous ſuiure, PenfeZqueiuuonjens conſiſte à diuertir, Dans ce mortel ſeiour l’effect du repentir.	Parmi le doux repos où le Ciel nous fait vivre, N'enviez à Thyrs le moyen de vous suivre, PenfeZqueiuuonjens consiste à divertir, Dans ce mortel séjour l'effet du repentir.
DOMEDL.	DOMEDL.
Vous me cõptez les maux que la peur vous imprime,	Vous me comptez les maux que la peur vous imprime,
Et vous loüez le ſort qui n'eſt vn moindre crime.	Et vous louez le sort qui n'est un moindre crime.
DIOMEDE.	DIOMEDE.
Et ueperaatstu uereu ue fermoindres couleurs.	Et ueperaatstu uereu ue fermoindres couleurs.
Le ſerpent eſt ſouuent catne deſſous les fleurs.	Le serpent est souvent catne dessous les fleurs.
DIOMEDE.	DIOMEDE.
Qui ne veut s’hazarder vit au monde ſans gloire.	Qui ne veut s'hasarder vit au monde sans gloire.
S Qui vit content du ſien emporte la victoire.	S Qui vit content du sien emporte la victoire.
DIOMEDE.	DIOMEDE.
La pauureté touſiours ſe loge dans les bois.	La pauvreté toujours se loge dans les bois.
ES.	ES.
Et l’orgueil ne part point de la ſuite des Roys.	Et l'orgueil ne part point de la suite des Rois.
DIOMEDE.	DIOMEDE.
Quel bien peut-on auoir deſſous vn toict de chaume?	Quel bien peut-on avoir dessous un toit de chaume?
3 Mais quel repos auſſi ſous le faix d’vn heaume.	3 Mais quel repos aussi sous le faix d'un heaume.
DIOMEDE.	DIOMEDE.
De quel contentement iouyt vn Laboureur?	De quel contentement jouit un Laboureur?
3.	3.
Quel plaiſir peutauoir vn pyrate, vn voleur.	Quel plaisir peutavoir un pirate, un voleur.
DIOMEDE.	DIOMEDE.
Nommes-tu de ce nom vn conducteur d’armée?	Nommes-tu de ce nom un conducteur d'armée?
ERES.	ÈRES.
Ouy:	Oui:
car du bien d’autruy ſa force eſt animée;	car du bien d'autrui sa force est animée;
DIOMESS.	DIOMÊS.
Les Roys ont des raiſons que noſtre ſens combat.	Les Rois ont des raisons que notre sens combat.
SERES.	SEREZ.
Qui vous auroit appris les maximes d'Eſtat?	Qui vous aurait appris les maximes d'État?
Vous qui depuis cent ans viuez dans ces montagnes Conduiſant les troupeaux par ces vertes campagnes?	Vous qui depuis cent ans vivez dans ces montagnes Conduisant les troupeaux par ces vertes campagnes?
DIOMEDE.	DIOMEDE.
Cela n’empeſche pas que mon großier eſprit, N'ait leu des grands Heros les geſtes par eſcrit.	Cela n'empêche pas que mon grossier esprit, N'ait lu des grands Héros les gestes par écrit.
Ceſſons de diſputer!	Cessons de disputer!
ſus retenez ces larmes?	sus retenez ces larmes?
Et me faites venir mon fils auec ſes armes?	Et me faites venir mon fils a ses armes?
ERES.	ÈRES.
Et bien puis qu’il le faut ie m’en vay le querir.	Et bien puis qu'il le faut ainsi m'en vais le quérir.
DIOMEDE.	DIOMEDE.
Il n’en eſt pas beſoin, ie l'apperçoy venir.	Il n'en est pas besoin, ie l'aperçois venir.
SCENE IIII.	SCÈNE IIII.
2 THYRSIS, DIOMEDE, SERES.	2 THHYRSIS, DOMEDE, SEREZ.
HYRSIS.	HYRSIS.
E ne me cognois plus en ce braue equipage, ISuis-je biez ce Thyrſis ſi fait au labourage, Qui n’agueres mettoit la force de ſes ſens A mener dans les bois ſes troupeaux innocens, Adroit à bien choiſir les meilleurs paſturages, Des vallons, des coſtaux, des prez & des boccages:	E ne me connais plus en ce brave équipage, ISuis-je biez ce Thyrsis meilleurs fait au labourage, Qui n'aguères mettait la force de ses sens A mener dans les bois ses troupeaux innocents, Adroit à bien choisir les meilleurs pâturages, Des valons, des costaux, des prés et des bocages:
Ouy, ie te ſuis fans uouit, & n'ayſuui que changer En habit de Soldat, mon habit de Berger.	Oui, Seigneur te suis fans ouit, et n'aysuvi que changer En habit de Soldat, mon habit de Berger.
DIOMEDE.	DIOMEDE.
Il me plaiſt de te voir en ce braue equipage, L’eſpoir d’vn bon ſuccez m'enfle tout le courage, Couuert de cét harnois tu plais fort à mes yeux, Ainſi tous mes deſſeins fauoriſent les Dieux;	Il me plaît de te voir en ce brave équipage, L'espoir d'être bon succès m'enfle tout le courage, Couvert de cet harnais tu plais fort à mes yeux, Ainsi tous mes desseins favorisent les Dieux;
Ces armes ont accreu l’air de ta bonne grace, Tu me ſembles mieux fait deſſous ceſte cuiraſſe:	Ces armes ont accreu l'air de ta bonne grâce, Tu me sembles mieux fait dessous cette cuirasse:
Sois ſoigneux du deuoir d’vn valeureux guerrier, Meſpriſe les threſors, combats pour le laurier:	Sois soigneux du devoir d'autre valeureux guerrier, Mesprise les trésors, combats pour le laurier:
Reuere les Soldats, blanchis deſſous les armes, Sois touſiours le premier à courir aux alarmes:	Revère les Soldats, blanchis dessous les armes, Sois toujours le premier à courir aux alarmes:
Fuy ces effeminez amateurs du repos, Ne polluë ta bouche en des ſa les propos.	Fui ces efféminez amateurs du repos, Ne pollue ta bouche en des sa les propos.
Dans la ſuite des Grands la complaiſance eſt bonne.	Dans la suite des Grands la complaisance est bonne.
Ne ſouffre point d’affronts & n’en fais à perſonne.	Ne souffre point d'affronts et n'en fais à personne.
Courtois & courageux fay toy voir en tous lieux.	Courtois et courageux fais toi voir en tous lieux.
Sans ſuperſtition ſois bien religieux, Conſerue en ton eſprit ces diuines paroles, La fortune s’enfuit bien loing des ames moles.	Sans superstition sois bien religieux, Conserve en ton esprit ces divines paroles, La fortune s'enfuit bien loing des âmes modèles.
Il faut aux accidens teſmoigner ſa vertu, Et ſe voir pluſtoſt mort que ſe voir abatu.	Il faut aux accidents témoigner sa vertu, Et se voir plutôt mort que se voir abattu.
Ne te ſouaiens iamais de ta vie paſſee, Sanny ce ſouuenir bien loing de ta penſée, Penſe que de Berger tu te peux annoblir, Et acquerir vn nom qui ne ſe peut vieillir;	Ne te souaiens jamais de ta vie passe, Sanni ce souvenir bien loin de ta pensée, Pense que de Berger tu te peux annoblir, Et acquérir ainsi nom qui ne se peut vieillir;
Muny de ces leçons pourſuy ton aduanture, Touſiours à ton ſecours ſoit l’Autheur de nature, Et reçoy cet argent qu'il ie jaut conferuer, Pour de quelque malheur au beſoin te ſauuer.	Muni de ces leçons poursui ton aventure, Tousiours à ton secours soit l'Auteur de nature, Et reçois cet argent qu'il était jaut conserver, Pour de quelque malheur au besoin te sauver.
HYRSIS.	HYRSIS.
Mon pere ie ne crains la cheute du tonnerre, E uique cojert obuloir me deſtine à la guerre, Ie retiendray touſiours dedans mon ſouuenir, Les diſcours qu’il vous plaiſt auiourd’huy me tenir.	Mon père ici ne crains la chute du tonnerre, E Evique cojert obuloir me destine à la guerre, Je retiendrai toujours dedans mon souvenir, Les discours qu'il vous plaît aujourd'hui me tenir.
TRES.	TRÈS.
Mon fils dans les combats n’hazarde point ta vie, Modere de l’honneur l’inſatiable enuie, Et pour l’amour de moy qui te cheris ſifort, Croy que c’eſt eſtre heureux que d’eſlogner la mort, Reuien pour me pleurer du moment que la Parque Me fera de Charon paſſer la triſte barque, Et que mes yeux eſteints acheueront leur cours, Adieu ie n’en puis plus,	Mon fils dans les combats n'hasarde point ta vie, Mode de l'honneur l'insatiable envie, Et pour l'amour de moi qui te chéris sifort, Crois que c'est chang heureux que d'élogner la mort, Revien pour me pleurer du moment que la Parque Me fera de Charon passer la triste barque, Et que mes yeux éteints achèveront leur cours, Adieu Madame n'en puis plus,
HYRSIS.	HYRSIS.
pitoyable diſcours.	pitoyable discours.
DIOMEDE.	DIOMEDE.
C'eſt trop s’entretenir, à quoy bon tant de larmes?	C'est trop s'entretenir, à quoi bon tant de larmes?
Il eſtoit deſtiné à la ſuitte des armes.	Il était destiné à la suitte des armes.
Laiſſons l’aller au camp du grand Roy des Gaulois, Mieux vaut fuiure la Cour que les prez & les bois:	Laissons l'aller au camp du grand Roi des Gaulois, Mieux vaut suivre la Cour que les prés et les bois:
Adieu mon cher enfant, nouueau Soldat de guerre Ne te ſers plus du fer à labourer la terre.	Adieu mon cher enfant, nouveau Soldat de guerre Ne te sers plus du fer à labourer la terre.
TRES.	TRÈS.
Adieu donc mon cherfils,	Adieu donc mon cherfils,
CENE V.	CÈNE V.
THYRSIS.	THYRSIS.
Arbitre des humains, Eſtends pourmon ſecours tes ſecourables mains:	Arbitre des humains, Étends pourmon secours tes secourables mains:
Car delaiſé de ceux qui m'ont donné la vie, De ſeruir tes Autels c’eſt ma plus douce enuie, Affermy mes eſprits au milieu des dangers, Fay que ie ſois la gloire & l’honneur des Bergers.	Car délaisé de ceux qui m'ont donné la vie, De servir tes Autels c'est ma plus douce envie, Affermi mes esprits au milieu des dangers, Fais que tu sois la gloire et l'honneur des Bergers.
Grand Prince des combats ſous lequel ie m'embarque, De tes plus Fauoris fay moy porter la marque;	Grand Prince des combats sous lequel Seigneur m'embarque, De tes plus Favoris fais moi porter la marque;
Et toy petit Amour eſpoir de mes ennuis, Sous lequel i’ay paße tant d’agreables nuits, Rameine promptement ceſte vnique merueille Qui rauit par les yeux & charme par l’oreille, Qu'elle vienne bien toſt enchanter tous ces bois, Auſſi bien que mes ſens des accens de ſa voix, Et que d’vn doux regard elle mette en mon ame Tout ce que ton brandon a d’ardeur & de flame:	Et toi petit Amour espoir de mes ennuis, Sous lequel j'ai passée tant d'agréables nuits, Ramène promptement cette unique merveille Qui ravit par les yeux et charme par l'oreille, Qu'elle vienne bien tôt enchanter tous ces bois, Aussi bien que mes sens des accents de sa voix, Et que d'un doux regard elle mette en mon âme Tout ce que ton brandon a d'ardeur et de flamme:
Comme apres les broüillards qui cachent à nos yeux Par d’eſpaiſſes vapeurs le grand flambeau des Cieux;	Comme après les brouillards qui cachent à nos yeux Par d'épaisses vapeurs le grand flambeau des Cieux;
Comme à vn Pelerin que la nuict abandonne Aux tremblantes frayeurs que l’obſcurité donne, Et comme apres l’Hyuer le Printemps reſiouyt, De meſme elle me plaiſt quand ſon bel œil me luit.	Comme à un Pélérin que la nuit abandonne Aux tremblantes frayeurs que l'obscurité donne, Et comme après l'Hiver le Printemps réjouit, De même elle me plaît quand son bel œil me luit.
Mui quey:	Mui quei:
elle me fait bien longuement attendre.	elle me fait bien longuement attendre.
Ha!	Ha!
la voicy venir:	la voici venir:
5 YLVIE.	5 YLVIE.
ie te voulois ſurprendre, Il me tardoit autant qu’à toy de m’y trouuer:	Je te voulais surprendre, Il me tardait autant qu'à toi de m'y trouver:
Mais ie n’ay ſceu pluſtoſt en ces lieux arriuer, Ie ne pouuois ſi bien compoſer mon viſage, Que d’vn ſi grand deſſein il ne fit voir l’image, Mes parens trop ſoigneux de mes contentemens, L’ont preſque découuert à voirmes mouuemens, M’ont enquiſe cent fois pourquoy i'eſtois eſmeüë?	Mais ici n'ai su plustost en ces lieux arriver, Je ne pouvais si bien composer mon visage, Que d'un si grand dessein il ne fit voir l'image, Mes parents trop soigneux de mes contentements, L'ont presque découvert à voirmes mouvements, M'ont enquise cent fois pourquoi j'étais esmeüë?
Que la cauſe ſans plus leur eſtoit incogneuë, Que leur affection me traitoit doucement, Qu’ils ne pouuoient ſçauoir d’où venoit mon tourmẽt, Que leur ayſe prenoit de mon ayſe naiſſance:	Que la cause sans plus leur était inconnue, Que leur affection me traitait doucement, Qu'ils ne pouvaient sçauoir d'où venait mon tourment, Que leur aise prenait de mon aise naissance:
Ie ne me puis tenir de rire quand i’y penſe, Ils me diſoient, mon cœur, qu’auez vous ce matin?	Je ne me puis tenir de rire quand j'y pense, Ils me disaient, mon cœur, qu'avez -vous ce matin?
Quel accident nouueau trouble voſtre deſtin?	Quel accident nouveau trouble votre destin?
Et que demandez vous?	Et que demandez -vous?
que vous faut-il encore?	que vous faut-il encore?
Seulement du repos:	Seulement du repos:
car pluſtoſt que l’Aurore, Ay-ie dit, ce matin i’ay ſorty de mon lict;	car plutôt que l'Aurore, Ai-je dit, ce matin j'ai sorti de mon lit;
Voylà le ſeul ſujet dont mon teint ſe paſlit;	Voilà le seul sujet dont mon teint se pâlit;
Lors auec des reſpects ils m’ont quitté la place, Et moy de leurs honneurs accroiſſant mon audace, Feignant de repoſer i’ay quitté le logis, 3 En te le racontant, mon Berger ie rougis, Non pas d’aucun regret de laiſſer le village:	Lors que des respects ils m'ont quitté la place, Et moi de leurs honneurs accroissant mon audace, Feignant de reposer j'ai quitté le logis, 3 En te le racontant, mon Berger un rougis, Non pas d'aucun regret de laisser le village:
Mais bien de ne pouuoir t’obliger d’auantage.	Mais bien de ne pouvoir t'obliger d'avantage.
s Ha!	s' a!
que ces mots puiſſans effacent mes ennuis, Certes ie ne ſçay plus en quel eſtat ie ſuis:	que ces mots puissants effacent mes ennuis, Certesrit ne sais plus en quel état toujours suis:
Car i’auois fait deſſein d’habiter ſolitaire Ces rochers de ſerpents & des ours le repaire, Ou de percer ce cœur d’vn fer iniurieux, Qui ne le fut iamais que d’vn trait de tes yeux:	Car j'avais fait dessein d'habiter solitaire Ces rochers de serpents et des ours le repaire, Ou de percer ce cœur d'un fer injurieux, Qui ne le fut jamais que d'un trait de tes yeux:
