A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
Voſtre mere d’accord de cette tromperie Qui remplaçoit ce fils à ſa garde commis, En faveur des preſens le ſecret fut promis.	Votre mère d'accord de cette tromperie Qui remplaçait ce fils à sa garde commis, En faveur des présents le secret fut promis.
Albert ne l’a point ſceu de nous;	Albert ne l'a point su de nous;
& pour ſa femme, L’ayant plus de douze ans conſervé dans ſon ame, Comme le mal fut prompt dont on la vit mourir, Son trépas impreveu ne put rien decouvrir.	et pour sa femme, L'ayant plus de douze ans conservé dans son âme, Comme le mal fut prompt dont on la vit mourir, Son trépas imprévu ne put rien découvrir.
Mais, cependant, je voy qu’il garde intelligence Avec celle de qui vous tenez la naiſſance.	Mais, cependant, je vois qu'il garde intelligence Avec celle de qui vous tenez la naissance.
J’ay ſceu, qu’en ſecret meſme, il luy faiſoit du bien;	J'ai su, qu'en secret même, il lui faisait du bien;
Et peut-eſtre cela ne ſe fait pas pour rien.	Et peut-être cela ne se fait pas pour rien.
D’autrepart, il vous veut porter au mariage;	D'autrepart, il vous veut porter au mariage;
Et comme il le pretend, c’eſt un mauvais langage:	Et comme il le prétend, c'est un mauvais langage:
Je ne ſçay s’il ſçauroit la ſuppoſition Sans le déguiſement;	Je ne sais s'il saurait la supposition Sans le déguisement;
mais la digreſſion Tout inſenſiblement pourroit trop loin s’étendre:	mais la digression Tout insensiblement pourrait trop loin s'étendre:
Revenons au ſecret que je bruſle d’apprendre.	Revenons au secret que je brûle d'apprendre.
ASCAGNE.	ÀSCAGNE.
Sçachez donc que l’amour ne ſçait point s’abuſer;	Sachez donc que l'amour ne sait point s'abuser;
Que mon ſexe à ſes yeux n’a peu ſe déguiſer, Et que ſes traits ſubtils, ſous l’habit que je porte, Ont ſceu trouver le cœur d’une fille peu forte:	Que mon sexe à ses yeux n'a pu se déguiser, Et que ses traits subtils, sous l'habit que je porte, Ont su trouver le cœur d'une fille peu forte:
J’ayme enfin.	J'aime enfin.
FROSINE.	FROSINE.
Vous aymez?	Vous aimez?
ASCAGNE.	ÀSCAGNE.
Froſine, doucement;	Frosine, doucement;
N’entrez pas tout à fait dedans l’étonnement:	N'entrez pas tout à fait dedans l'étonnement:
Il n’eſt pas temps encore:	Il n'est pas temps encore:
& ce cœur qui ſoupire A bien pour vous ſurprendre autre choſe à vous dire.	et ce cœur qui soupire À bien pour vous surprendre autre chose à vous dire.
Et quoy?	Et quoi?
FROSINE.	FROSINE.
ASCA	ASCA
ASCAGNE.	ÀSCAGNE.
J aynie vaicie.	Y ainie vaicie.
FROSINE.	FROSINE.
Ha!	Ha!
vous aviez raiſon, L’objet de voſtre amour, luy dont à la maiſon Voſtre impoſture enleve un puiſſant heritage, Et qui de voſtre ſexe ayant le moindre ombrage, Venelt incontnant ce cien laj letouiner j C’eſt encore un plus grand ſujet de s’étonner.	vous aviez raison, L'objet de votre amour, lui dont à la maison Votre imposture enlève un puissant héritage, Et qui de votre sexe ayant le moindre ombrage, Venelt incontnant ce cien la letouiner j 'est encore un plus grand sujet de s'étonner.
ASCAGNE.	ÀSCAGNE.
J’ay dequoy toutefois ſurprendre plus voſtre ame:	J'ai dequoy toutefois surprendre plus votre âme:
Je ſuis ſa femme.	Je suis sa femme.
FROSINE.	FROSINE.
O!	Ô!
Dieux!	Dieux!
ſa femme!	sa femme!
ASCAGNE.	ÀSCAGNE.
Oui, ſa femme.	Oui, sa femme.
FROSINE.	FROSINE.
Ha!	Ha!
certes celuy-la l’emporte, & vient about De toute ma raiſon.	certes celui-la l'emporte, et vient about De toute ma raison.
ASCAGNE.	ÀSCAGNE.
Ce n’eſt pas encor tout.	Ce n'est pas encor tout.
Ellcole:	Éllcole:
FROSINE.	FROSINE.
ASCAGNE.	ÀSCAGNE.
Je la ſuis, diſ-je, ſans qu’il le penſe, Ny qu’il ait de mon ſort la moindre connoiſſance.	Je la suis, dis-je, sans qu'il le pense, Ni qu'il ait de mon sort la moindre connaissance.
ROSINE.	ROSINE.
Ho!	Ho!
pouſſez;	poussez;
je le quitte, & ne raiſonne plus, Tant mes ſens coup ſur coup ſe treuvent confondus.	je le quitte, et ne raisonne plus, Tant mes sens coup sur coup se trouvent confondus.
A ces Enigmes là je ne puis rien comprendre.	À ces Enigmes là je ne puis rien comprendre.
ASCAGNE.	ÀSCAGNE.
Je vais vous l’expliquer, ſi vous voulez m’entendre.	Je vais vous l'expliquer, si vous voulez m'entendre.
Valere dans les fers de ma ſœur arreſté Me ſembloit un amant digne d’eſtre écouté;	Valère dans les fers de ma sœur arrêté Me semblait un amant digne d'être écouté;
Et je ne pouvois voir qu’on rebutaſt ſa flame, Sans qu’un peu d’intereſt touchât pour luy moname.	Et je ne pouvais voir qu'on rebutât sa flamme, Sans qu'un peu d'intérêt touchât pour lui moname.
Je voulois que Lucile aymaſt ſon entretien, Je blâmois ſes rigueurs, & les blâmay ſi bien, Que moy meſme j’entray, ſans pouvoir m’en deffendre, 1  Dans tous les ſentimens qu’elle ne pouvoit prendre.	Je voulais que Lucile aimât son entretien, Je blâmais ses rigueurs, et les blâmai si bien, Que moi -même j'entrai, sans pouvoir m'en défendre, 1 Dans tous les sentiments qu'elle ne pouvait prendre.
C’eſtoit en luy parlant moy qu’il perſuadoit, Je me laiſſois gagner aux ſoupirs qu’il perdoit, Et ſes veux rejettez de l’objet qui l’enflame Eſtoient, comme vainqueurs, receus dedans mon ame.	C'était en lui parlant moi qu'il persuadait, Je me laissais gagner aux soupirs qu'il perdait, Et ses veux rejettez de l'objet qui l'enflamme Étaient, comme vainqueurs, reçus dedans mon âme.
Ainſi mon cœur, Froſine, un peu trop foible, helas!	Ainsi mon cœur, Frôine, un peu trop faible, hélas!
Se rendit à des ſoins qu’on ne luy rendoit pas, Par un coup refleſchy receut une bleſſure, Et paya pour un autre avec beaucoup d’uſure.	Se rendit à des soins qu'on ne lui rendait pas, Par un coup réfleschi reçut une blessure, Et paya pour un autre avec beaucoup d'usure.
Enfin, ma chere, enfin, l’amour que j’eus pour luy Se voulut expliquer, mais ſous le nom d’autruy :	Enfin, ma chère, enfin, l'amour que j'eus pour tu Se voulut expliquer, mais sous le nom d'autrui :
Dans ma bouche, une nuit, cet amant trop aymable Crut rencontrer Lucile à ſes vœux favorable, Et je ſceus ménager ſi bien cét entretien, Que du déguiſement il ne reconnut rien.	Dans ma bouche, une nuit, cet amant trop aimable Crut rencontrer Lucile à ses vœux favorable, Et je sus ménager si bien cet entretien, Que du déguisement il ne reconnut rien.
Sous ce voile trompeur qui flatoit ſa penſée, Je luy dis que pour luy mon ame eſtoit bleſſée;	Sous ce voile trompeur qui flattait sa pensée, Je lui ens que pour lu mon âme était blessée;
Mais que, voyant mon pere en d’autres ſentimens, Je devois une feinte à ſes commandemens;	Mais que, voyant mon père en d'autres sentiments, Je devais une feinte à ses commandements;
Qu’ainſi de noſtre amour nous ferions un miſtere, Dont la nuit ſeulement ſeroit depoſitaire, Et qu’entre nous de jour, de peur de rien gâter, Tout entretien ſecret ſe devoit éviter;	Qu'ainsi de notre amour nous ferions un mystère, Dont la nuit seulement serait dépositaire, Et qu'entre nous de jour, de peur de rien gâter, Tout entretien secret se devait éviter;
Qu’il me verroit alors la meſme indifference, Qu’avant que nous euſſions aucune intelligence, Et que de ſon coſté, de meſme que du mien, Geſte, parole, écrit, ne m’en dit jamais rien.	Qu'il me verrait alors la même indifférence, Qu'avant que nous eussions aucune intelligence, Et que de son côté, de même que du mien, Geste, parole, écrit, ne m'en dit jamais rien.
Enfin, ſans m’arreſter ſur toute l’induſtrie Dont j’ay conduit le fil de cette tromperie, J’ay pouſſe juſqu’au bout un projet ſi hardy, Et me ſuis aſſuré l’Epoux que je vous dy.	Enfin, sans m'arrêter sur toute l'industrie Dont j'ai conduit le fil de cette tromperie, J'ai pousse jusqu'au bout un projet si hardi, Et me suis assuré l'Époux que je vous dis.
FROSINE.	FROSINE.
Peſte!	Peste!
les grans talens que voſtre eſprit poſſede!	les grans talents que votre esprit possède!
Diroit-on qu’elle y touche, avec ſa mine froide?	Dirait-on qu'elle y touche, avec sa mine froide?
Cependant, vous avez eſté bien viſte icy :	Cependant, vous avez été bien vite ici :
Car je veux que la choſe ait d’abord reüſſi, Ne jugez vous pas bien, à regarder l’iſſuë, Qu'elle ne peut long-temps éviter d’eſtre ſceuë?	Car je veux que la chose ait d'abord réussi, Ne jugez vous pas bien, à regarder l'issue, Qu'elle ne peut longtemps éviter d'être sue?
ASCAGNE.	ÀSCAGNE.
Quand l’amour eſt bien fort, rien ne peut l’arreſter;	Quand l'amour est bien fort, rien ne peut l'arrêter;
Ses projets ſeulement vont à ſe contenter, Et, pourveu qu’il arrive au but qu’il ſe propoſe, Il croit que tout le reſte apres eſt peu de choſe.	Ses projets seulement vont à se contenter, Et, pourvu qu'il arrive au but qu'il se propose, Il croit que tout le reste après est peu de chose.
Mais, enfin, aujourduy je me découvre à vous, Afin que vos conſeils.	Mais, enfin, aujourdui je me découvre à vous, Afin que vos conseils.
Mais voicy cét Epoux.	Mais voici cet Époux.
SCENE II.	SCÈNE II.
VALERE, ASCAGNE, FROSINE.	VALÈRE, ASCAGNE, FROSINE.
VALERE.	VALÈRE.
I vous eſtes tous deux en quelque conference, POù je vous faſſe tort de meſler ma preſence, Je ille lethelay.	I vous êtes tous deux en quelque conférence, POù je vous fasse tort de mêler ma présence, Je ille lethelai.
14	14
ASCAGNE.	ÀSCAGNE.
Non, non;	Non, non;
vous pouvez bien, Puiſque vous le faiſien, rompré noſtre entretien.	vous pouvez bien, Puisque vous le faisien, rompré notre entretien.
Moy?	Moi?
VALERE.	VALÈRE.
ASCAGNE.	ÀSCAGNE.
Vous meſme.	Vous -même.
VALERE.	VALÈRE.
Et comment?	Et comment?
ASCAGNE.	ÀSCAGNE.
Je diſois que Valere Auroit, ſi j’eſtois fille, un peu trop ſceu me plaire;	Je disais que Valère Aurait, si j'étais fille, un peu trop su me plaire;
Et que, ſi je faiſois tous les veux de ſon cœur,	Et que, si je faisais tous les veux de son cœur,
F je ne taidelols gucle a laſle lon bon-neur	F je ne taidels gucle à lasle lon bon-neur
VALERE.	VALÈRE.
Ces proteſtations ne coutent pas grand choſe, Alors qu’à leur effet un pareil ſi s’oppoſe:	Ces protestations ne coûtent pas grand chose, Alors qu'à leur effet un pareil si s'oppose:
Mais vous ſeriez bienthe, pemuee, enement Alloit mettre à l’épreuve un ſi doux compliment.	Mais vous seriez bienthe, pemuée, enement Allait mettre à l'épreuve un si doux compliment.
ASCAGNE.	ÀSCAGNE.
Point du tout;	Point du tout;
je vous dy que regnant dans voſtre ame Je voudrois de bon cœur couronner voſtre flame.	je vous dis que régnant dans votre âme Je voudrais de bon cœur couronner votre flamme.
VALERE.	VALÈRE.
Et ſi c’eſtoit quelqu’une, où par voſtre ſecours y ouo pumien enle uille au bon neur de mes jours.	Et si c'était quelqu'une, où par votre secours y ouo pumien enle ouville au bon neur de mes jours.
ASCAGNE.	ÀSCAGNE.
Je pourrois allez maſ repondre à voitre attente.	Je pourrais allez mas répondre à montre attente.
ALERE.	ALÈRE.
Cette confeſſion n’eſt pas fort obligeante.	Cette confession n'est pas fort obligeante.
ASCAGNE.	ÀSCAGNE.
Hé!	Hé!
quoy!	quoi!
vous voudriez, Valere, injuſtement, Qu’eſtant fille, & mon cœur vous aymant tendreMheut, Je m’allaſſe engager avec une promeſſe De lervir vos ardeurs pour quelqu’autre maiſtreſſe.	vous voudriez, Valère, injustement, Qu'étant fille, et mon cœur vous aimant tendreMheut, Je m'allasse engager avec une promesse De lervir vos ardeurs pour quelque autre maîtresse.
Un ſi penible effort pour moy m’eſt interdit.	Un si pénible effort pour moi m'est interdit.
VALERE.	VALÈRE.
ſudie cela llentane puos	sudie cela lentane puos
ASCAGNE.	ÀSCAGNE.
Ce que je vous ay dit, Je l’ay dit comme ſille, & vous le devez prendre Tout de meſme.	Ce que je vous ai dit, Je l'ai dit comme sille, et vous le devez prendre Tout de même.
VA LERE.	VA LERE.
Ainſi donc il ne faut rien pretendre, Aſcagne, à des bontez que vous auriez pour nous, A moins que le Ciel faſſe un grand miracle en vous.	Ainsi donc il ne faut rien prétendre, Ascagne, à des bontés que vous auriez pour nous, A moins que le Ciel fasse un grand miracle en vous.
Bref, ſi vous n’eſtes fille, adieu voſtre tendreſſe;	Bref, si vous n'êtes fille, adieu votre tendresse;
Il ne vous reſte rien qui pour nouss interelle?	Il ne vous reste rien qui pour nous interelle?
ASCA	ASCA
ASCAGNE.	ÀSCAGNE.
J’ay l’eſprit delicat plus qu’on ne peut penſer, Et le moindre ſcrupule a dequoy m’offenſer Quand il s’agit d’aymer;	J'ai l'esprit délicat plus qu'on ne peut penser, Et le moindre scrupule a dequoy m'offenser Quand il s'agit d'aimer;
enfin je ſuis ſincere;	enfin je suis sincère;
Je ne m’engage point à vous ſervir, Valere, Si vous ne m’aſſurez au moins abſolument, Que vous gardez pour moy le meſme ſentiment;	Je ne m'engage point à vous servir, Valère, Si vous ne m'assurez au moins absolument, Que vous gardez pour moi le même sentiment;
Que pareille chaleur d’amitié vous tranſporte, El que, nly eltois nne, une naine pius lolte N’outrageroit point celle où je vivrois pour vous.	Que pareille chaleur d'amitié vous transporte, Él que, nli éltois nne, une naine pius lolte N'outragerait point celle où je vivrais pour vous.
VALERE.	VALÈRE.
Je n’avois jamais veu ce ſcrupule jaloux;	Je n'avais jamais vu ce scrupule jaloux;
Mais tout nouveau qu’il eſt, ce mouvement m’oblige, Et je vous fais ley tout raveu qu’il exige.	Mais tout nouveau qu'il est, ce mouvement m'oblige, Et je vous fais lei tout raveu qu'il exige.
Mals lans fard ?	Mals lans fard ?
ASCAGNE.	ÀSCAGNE.
VALERE.	VALÈRE.
Oui, ſans fard.	Oui, sans fard.
ASCAGNE.	ÀSCAGNE.
Il eſt vray deſormais;	Il est vrai désormais;
vos litelcis icront les iniens, je vous promets.	vos litelis icront les iniens, je vous promets.
VALERE.	VALÈRE.
J’ay bien toſt à vous dire un important miſtere, Où l’effet de ces mots me ſera neceſſaire.	J'ai bien tôt à vous dire un important mystère, Où l'effet de ces mots me sera nécessaire.
ASCAGNE.	ÀSCAGNE.
Et j’ay quelque ſecret de meſme à vous ouvrir, Où voſtre cœur pour moy ſe pourra découvrir.	Et j'ai quelque secret de même à vous ouvrir, Où votre cœur pour moi se pourra découvrir.
ALERE.	ALÈRE.
He.	He.
de quelle façon cela pourroit-neite?	de quelle façon cela pourrait-nite?
ASCAGNE.	ÀSCAGNE.
C’eſt que j’ay de l’amour qui n’oſeroit paroiſtre, Et vous pourriés avoir ſur l’objet de mes vœux Un empire à pouvoir rendre mon ſort heureux.	C'est que j'ai de l'amour qui n'oserait paraître, Et vous pourriez avoir sur l'objet de mes vœux Un empire à pouvoir rendre mon sort heureux.
VALERE.	VALÈRE.
Expliquez vous, Aſcagne, & croyez par avance 2T Rie Qe vomde nounen celuijon eit en ma puiſſance.	Expliquez -vous, Ascagne, et croyez par avance 2T Rie Qe vomde nouven celuijon eit en ma puissance.
ASCAGNE.	ÀSCAGNE.
Vous promettez icy plus que vous ne croyez.	Vous promettez ici plus que vous ne croyez.
A LERE.	À LERE.
Non, non;	Non, non;
dites l’objet pour qui vous m’employez.	dites l'objet pour qui vous m'employez.
ASCAGNEanmnen pus enoortempo, mlaib e ent dne perſonne Qui vous touche de prés.	ÀSCAGNEanmnen pus enoortempo, mlaib e ent ne personne Qui vous touche de près.
A LERE.	À LERE.
voitre diſcous m’etonne;	voitre discous m'étonne;
Pleuſt à Dieu que ma ſœur.	Plût à Dieu que ma sœur.
ASCAGNE.	ÀSCAGNE.
Ce n’eſt pas la ſaiſon.	Ce n'est pas la saison.
euutera lanm dajes	Avutera lanm dajàjà
ALERE.	ALÈRE.
Et pourquoy?	Et pourquoi?
ASCAGNE.	ÀSCAGNE.
Pour raiſon.	Pour raison.
Vous ſçaurez mon ſecret;	Vous saurez mon secret;
quand je ſçauray le voſtre.	quand je saurai le vôtre.
ALERE.	ALÈRE.
jujociom pour celu derareu de quelque autre.	jujoutom pour celu derareu de quelque autre.
CAGNE.	CAGNE.
Ayez-le donc;	Ayez-le donc;
& lors nous expliquant nos vœux, Nous verrons qui tiendra mieux parole des deux.	et lors nous expliquant nos vœux, Nous verrons qui tiendra mieux parole des deux.
VALERE.	VALÈRE.
Adieu;	Adieu;
j’en ſuis content.	j'en suis content.
ASCAGNE.	ÀSCAGNE.
Et moy content, Valere.	Et moi content, Valère.
TROSINE.	TROSINE.
Il eroit trouver en vous l'aſſiſtance d’un frere.	Il erait trouver en vous l'assistance d'un frère.
SCENE III.	SCÈNE III.
FROSINE, ASCAGNE, MARINETTE, LUCILE.	FROSINE, ASCAGNE, MARINETTE, LUCILE.
LECILE.	LECILE.
’En eſt fait;	’En est fait;
c’eſt ainſi que je me puis vanger:	c'est ainsi que je me puis venger:
Et, ſi cette action a dequoy l’affliger, C’eſt toute la douceur que mon cœur s’y propoſe.	Et, si cette action a dequoy l'affliger, C'est toute la douceur que mon cœur s'y propose.
Mon frere, vous voyez une metamorphoſe.	Mon frère, vous voyez une métamorphose.
Je veux cherir Valere apres tant de fierté, Et mes veux maintenant tournent de ſon coſté.	Je veux chérir Valère après tant de fierté, Et mes veux maintenant tournent de son côté.
ASCAGNE.	ÀSCAGNE.
quę ducorvous ?	quit ducorvous ?
nia lœur;	nia lœur;
commen:	commen:
courir au change!	courir au change!
11 1* 14 iel uu (Pct.	11 1* 14 jel u (Puit.
Cette inégalité me ſemble trop étrange.	Cette inégalité me semble trop étrange.
L'u CILE.	L'u CILE.
La voſtre me ſurprend avec plus de ſujet:	La vôtre me surprend avec plus de sujet:
De vos ſoins autrefois Valere eſtoit l'objet;	De vos soins autrefois Valère était l'objet;
puleuday veu pour ſay m aceuler de caplice, D’aveugle cruauté, d'orgueil, & d’injuſtice, Et, quand je veux l’aimer mon deſſein vous déplaiſt, Et je vous voy parler contre ſon intereſt.	puleudai vu pour sa dis aceuler de capplice, D'aveugle cruauté, d'orgueil, et d'injustice, Et, quand je veux l'aimer mon dessein vous déplaît, Et je vous vois parler contre son intérêt.
4 ASCAGNE.	4 ASCAGNE.
Je le quitte, ma ſœur, pour embraſſer le voſtre:	Je le quitte, ma sœur, pour embrasser le vôtre:
Je ſçay qu’il eſt rangé deſſous les loix d’un autre, Et ce ſeroit un trait honteux à vos appas, Si vous le r’apeliez & qu’il ne revint pas.	Je sais qu'il est rangé dessous les lois d'un autre, Et ce serait un trait honteux à vos appas, Si vous le rappeliez et qu'il ne revint pas.
141	141
EUCIVE.	EUCIVE.
Si ce n’eſt que cela, j’auray ſoin de ma gloire;	Si ce n'est que cela, j'aurai soin de ma gloire;
Et je ſçay pour ſon cœur tout ce que j’en doy croire:	Et je sais pour son cœur tout ce que j'en dois croire:
Il s’explique à mes yeux intelligiblement.	Il s'explique à mes yeux intelligiblement.
Ainſi, découvrez luy, ſans peur, mon ſentiment:	Ainsi, découvrez jours, sans peur, mon sentiment:
Ou, ſi vous refuſez de le faire, ma bouche Luy va faire ſçavoir que ſon ardeur me touche.	Ou, si vous refusez de le faire, ma bouche Lui va faire savoir que son ardeur me touche.
B5.	B5.
Quoy!	Quoi!
Quoj:	Quoj:
Mlonnele;	Mlonnele;
aces mots vous fertez iterdit !	aces mots vous fertez iterdit !
ASCAGNE.	ÀSCAGNE.
Ha!	Ha!
ma ſœur, ſi ſur vous je puis avoir credit, Si vous eſtes ſenſible aux prieres d’un frere, Quittez un tel deſſein, & n’oſtez point Valere Aux vœux d’un jeune objet dont l’intereſt m’eſt cher, Et qui ſur ma parole a droit de vous toucher.	ma sœur, si sur vous je puis avoir crédit, Si vous êtes sensible aux prières d'un frère, Quittez un tel dessein, et n'ôtez point Valère Aux vœux d'un jeune objet dont l'intérêt m'est cher, Et qui sur ma parole a droit de vous toucher.
La pauvre infortunée ayme avec violence;	La pauvre infortunée aime avec violence;
A moy ſeul de ſes feux elle fait confidence, Et je voy dans ſon cœur de tendres mouvemens A dompter la fierté des plus durs ſentimens.	À moi seul de ses feux elle fait confidence, Et je vois dans son cœur de tendres mouvements A dompter la fierté des plus durs sentiments.
Oui, vous auriez pitié de l’eſtat de ſon ame, Connoiſſant de quel coup vous menacez ſa flame, Et je reſſens ſi bien la douleur qu’elle aura, Que je ſuis aſſuré, ma ſœur, qu’elle en mourra.	Oui, vous auriez pitié de l'état de son âme, Connaissant de quel coup vous menacez sa flamme, Et je ressens si bien la douleur qu'elle aura, Que je suis assuré, ma sœur, qu'elle en mourra.
Si vous luy derobez l’amant qui peut luy plaire.	Si vous me dérobez l'amant qui peut deux plaire.
Eraſte eſt un party qui doit vous ſatisfaire;	Eraste est un parti qui doit vous satisfaire;
Et des feux mutuels.	Et des feux mutuels.
LUCILE.	LUCILE.
Mon neſe, c’eit ailez:	Mon née, c'éit ailé:
Je ne ſçay point pour qui vous vous intereſſez;	Je ne sais point pour qui vous vous intéressez;
Mais de grace, ceſſons ce diſcours, je vous prie, Et me laiſſez un peu dans quelque réverie.	Mais de grâce, cessons ce discours, je vous prie, Et me laissez un peu dans quelque rêverie.
ASCAGNE.	ÀSCAGNE.
Allez, cruelle ſœur, vous me deſeſperez, Si vous effectuez vos deſſeins declarez.	Allez, cruelle sœur, vous me désespérez, Si vous effectuez vos desseins déclarez.
CENE IV.	CÈNE IV.
MARINETTE, LUCILE.	MARINETTTE, LUCILE.
MARINETTE.	MARINETTTE.
LAreſolution, Madame, eſt aſſez prompte.	LAresolution, Madame, est assez prompte.
L u	 Lu
LUCILE.	LUCILE.
Un cœur ne peze rien alors que l’on l’affronte;	Un cœur ne pète rien alors que l'on l'affronte;
Il court à ſa vengeance, & ſaiſit promptement Tout ce qu’il croit ſervir à ſon reſſentiment.	Il court à sa vengeance, et saisit promptement Tout ce qu'il croit servir à son ressentiment.
Le traiſtre!	Le traître!
faire voir cette inſolence extréme!	faire voir cette insolence extrême!
MARINETTE.	MARINETTTE.
Vous m’en voyez encor toute hors de moy-meſme:	Vous m'en voyez encor toute hors de moi-même:
Et, quoy que là deſſus je rumine ſans fin, L’aventure me paſſe & j’y pers mon Latin.	Et, quoi que là dessus je rumine sans fin, L'aventure me passe et j'y pers mon Latin.
Car enfin, aux tranſpoits d’une bonne nouvelle, Jamais cœur ne s’ouvrit d’une façon plus belle:	Car enfin, aux transpoits d'une bonne nouvelle, Jamais cœur ne s'ouvrit d'une façon plus belle:
De l’écrit obligeant le ſien tout tranſporté Ne me donnoit pas moins que de la deïté;	De l'écrit obligeant le sien tout transporté Ne me donnait pas moins que de la deïté;
Et cependant jamais, à cét autre meſſage, Pme ne lut haltlee aveeque rant a outrage.	Et cependant jamais, à cet autre message, Pme ne lut haltlee avèque rant a outrage.
Je ne ſçay, pour cauſer de ſi grands changemens, Ce qui s’eſt pû paſſer entre ces courts momens.	Je ne sais, pour causer de si grands changements, Ce qui s'est pu passer entre ces courts momens.
LUCILE.	LUCILE.
Rien ne s’eſt pû paſſer dont il faille eſtre en peine, Puiſque rien ne le doit deffendre de ma haine.	Rien ne s'est pu passer dont il faille être en peine, Puisque rien ne le doit défendre de ma haine.
Quoj a tu vouurois enerener nors de la lacileté La ſecrette raiſon de cette indignité!	Quoj à tu vourais enérener nors de la lacileté La secrète raison de cette indignité!
Cét écrit mal-heureux dont mon ame s’accuſe Peut-il à ſon tranſport ſouffrir la moindre excuſe?	Cet écrit malheureux dont mon âme s'accuse Peut-il à son transport souffrir la moindre excuse?
MARINETTE.	MARINETTTE.
En effet;	En effet;
je comprends que vous avez raiſon, Et que cette querelle eſt pure trahiſon.	je comprends que vous avez raison, Et que cette querelle est pure trahison.
Nous en tenons, Madame;	Nous en tenons, Madame;
& puis prétons l’oreille Aux bons chiens de pendars qui nous chantent merveille, Qui pour nous acrocher feignent tant de langueur;	et puis prêtons l'oreille Aux bons chiens de pendards qui nous chantent merveille, Qui pour nous acrocher feignent tant de langueur;
Laiſſons à leurs beaux mots fondre noſtre rigueur, Rendons nous à leurs vœux, trop foibles que nous ſommes.	Laissons à leurs beaux mots fondre notre rigueur, Rendons nous à leurs vœux, trop faibles que nous sommes.
Foin de noſtre ſotiſe, & peſte ſoit des hommes.	Foin de notre sottise, et peste soit des hommes.
LUCILE.	LUCILE.
Hé bien, bien;	Hé bien, bien;
qu’il s’en vante, & rie à nos dépens;	qu'il s'en vante, et rie à nos dépens;
Il n’aura pas ſujet d’en triompher long-temps;	Il n'aura pas sujet d'en triompher longtemps;
Et je luy feray voir qu’en une ame bien faite Le mépris ſuit de pres la faveur qu’on rejette.	Et je lui ferai voir qu'en une âme bien faite Le mépris suit de pres la faveur qu'on rejette.
MARINETTE.	MARINETTTE.
Au moins, en pareil cas, eſt-ce un bon-heur bien doux, Quand on ſçait qu’on n’a point d’avantage ſur vous.	Au moins, en pareil cas, est-ce un bonheur bien doux, Quand on sait qu'on n'a point d'avantage sur vous.
Marinette eut bon nez, quoy qu’on en puiſſe dire, De ne permettre rien un ſoir qu’on vouloit rire.	Marinette eut bon nez, quoi qu’on en puisse dire, De ne permettre rien un soir qu'on voulait rire.
Quelque autre, ſous eſpoir de matrimonion, Auroit ouvert l’oreille à la tentation;	Quelque autre, sous espoir de matrimonion, Aurait ouvert l'oreille à la tentation;
Mais moy, neſcio vos.	Mais moi, nescio vos.
LUCILE.	LUCILE.
Que tu dis de folies!	Que tu dis de folies!
Et choiſis mal ton temps pour de telles ſaillies!	Et choisis mal ton temps pour de telles saillies!
Enfin je ſuis touchée au cœur ſenſiblement;	Enfin je suis touchée au cœur sensiblement;
Et, ſi jamais celuy de ce perfide amant Par un coup de bon-heur, dont j’aurois tort, je penſe, De vouloir à preſent concevoir l’eſperance, (Car le Ciel a trop pris plaiſir à m’affliger, Pour me donner celuy de me pouvoir vanger) Quand, dis-je, par un ſort à mes deſirs propice, Il reviendroit m’offrir ſa vie en ſacrifice, Deteſter à mes pieds l’action d’aujourduy, Je te deffens ſur tout de me parler pour luy.	Et, si jamais celui de ce perfide amant Par un coup de bonheur, dont j'aurais tort, je pense, De vouloir à présent concevoir l'espérance, (Car le Ciel a trop pris plaisir à m'affliger, Pour me donner celui de me pouvoir venger) Quand, dis-je, par un sort à mes désirs propice, Il reviendrait m'offrir sa vie en sacrifice, Detester à mes pieds l'action d'aujourduy' Je te défens sur tout de me parler pour lui.
Au contraire, je veux que ton zele s’exprime A iſie uien metre aux yeux la grandeur de lon crime, Et meſme, ſi mon cœur eſtoit pour luy tenté De deſcendre jamais à quelque lâcheté, Que ton affection me ſoit alors ſevere, Et tienne comme il faut la main à ma colere.	Au contraire, je veux que ton zele exprime A isie uien metre aux yeux la grandeur de lon crime, Et même, si mon cœur estoit pour lui tenté De descendre jamais quelque lâcheté, Que ton A me soitalors sévère, Je veux que ton faut la s' à ma colère.
MARINETTE.	MARINETTTE.
Vrayment, n’ayez point peur, & laiſſez faire à nous;	Vraiment, n'ayez point peur, et laissez faire à nous;
’ay pour le moins autant de colere que vous;	'ai pour le moins autant de colère que vous;
Et je ſerois pluſtoſt fille toute ma vie, Que mon gros traitre auſſi me redonnaſt envie.	Et je serais plutôt fille toute ma vie, Que mon gros traître aussi me redonnât envie.
S’il vient.	S'il vient.
SCENE V.	SCÈNE V.
nuiilinmd, HOdInHs ALBERT.	nuiilinmd, HOdInHs ALBERT.
ALBERT.	ALBERT.
REntrez, Lucile, & me faites venir.	REntrez, Lucile, et me faites venir.
Le precepteur, je veux un peu l’entretenir, Et m’informer de luy qui me gouverne Aſcagne, s’il ſçait point quel ennuy depuis peu l’acompagne.	Le précepteur, je veux un peu l'entretenir, Et m'informer de même qui me gouverne Ascagne, s'il sait point quel ennui depuis peu l'acompagne.
Il continue ſeul.	Il continue seul.
