FAVTES SVRVENVES EN L’IMESSION.	FAUTES SURVENVES EN L'IMESION.
C’eſt ce, que toutefois Bajaſet me denie, Et ce, que hautement il nomme calomnie.	C'est ce, que toutefois Bajaset me dénie, Et ce, que hautement il nomme calomnie.
Il dit plus, que Selin employe tous ſes ſoins A le faire perir, qu’il en a pour teſmoins, Ceux meſmes, qui deuoient ſeruir à ſa ruïne, Et qui par vn effet de la bonté Diuine, Afin de le ſauuer luy vinrent découurir, Qu’on les auoit chargés de le faire mourir;	Il dit plus, que Selin emploie tous ses soins A le faire périr, qu'il en a pour témoins, Ceux -mêmes, qui devaient servir à sa ruine, Et qui par un effet de la bonté Divine, Afin de le sauver lui vinrent découvrir, Qu'on les avait chargés de le faire mourir;
Bajaſet ce matin me tenant ce langage, Sur Selin peu s’en faut remportoit l’aduantage, I'eſtois preſt à le croire, & ie n’attendois plus, Que d’entendre parler ſes teſmoins là deſſus, Quand on m'a fait ſçauoir, ô fâcheuſe nouuelle, ue le faux Muſtapha, ce traiſtre, ce rebelle, L’auoit de ſa reuolte en mourant accuſé, Et que ſans luy iamais il n’auroit rien oſé.	Bajaset ce matin me tenant ce langage, Sur Selin peu s'en faut remportait l'avantage, J'étais prêt à le croire, et avoir n'attendais plus, Que d'entendre parler ses témoins là dessus, Quand on m'a fait savoir, ô fâcheuse nouvelle, ue le faux Mustapha, ce traître, ce rebelle, auoit de sa reuolte en mourant accusé, Et que sans lui iamais il auroit rien osé.
Ce diſcours vous ſurprend, mais il eſt veritable, De ſa rebellion Bajaſet eſt coupable, Pertaue m'en aſſeure, & meſme cét eſcrit	Ce discours vous surprend, mais il est véritable, De sa rébellion Bajaset est coupable, Pertave m'en assure, et même cet écrit
Vous pourra confirmer, ce que ie vous ay dit.	Vous pourra confirmer, ce que je vous ai dit.
le vous laiſſe à juger des troubles de mon ame, A l’inſtant, que i’ay ſçeu cette action infame, A l’inſtant, que i’ay ſçeu qu’vn Prince de monſang Par cette laſcheté deshonnoroit ſon rang;	le vous laisse à juger des troubles de mon âme, À l'instant, que j'ai su cette action infâme, A l'instant, que j'ai su qu'un Prince de monsang Par cette lâcheté déshonorait son rang;
Ie me plaignois ſouuent, qu’il haïſſoit ſon frere Helas!	Je me plaignais souvent, qu'il haïssait son frère Hélas!
c’eſtoit bien moins, que s’en prendre à ſon pere, Et pour executer ſes coupables projess, Armer inſolemment contre moy mes ſubjets.	c'était bien moins, que s'en prendre à son père, Et pour exécuter ses coupables projess, Armer insolemment contre moi mes sujets.
Mais quel eſtoit ſon but, & que penſoit-il faire, Ce fils denaturé cét esprit temeraire?	Mais quel était son but, et que pensait-il faire, Ce fils denaturé cet esprit téméraire?
Quoy vouloit-il reigner croyoit-il, que mes iours Pour ſon ambition euſſent vn trop long cours?	Quoi voulait-il réigner croyait-il, que mes jours Pour son ambition eussent un trop long cours?
Et que pretendoit-il auec cét artifice;	Et que prétendait-il apprendre cet artifice;
Ce deſſein quel qui fut, auoit peu de Justice;	Ce dessein quel qui fût, avait peu de Justice;
Et meſme il ne pourroit, qu’auec difficulté S’emparer de mon Throſne, ou m’oſter la clarté.	Et même il ne pourrait, qu'avec difficulté S'emparer de mon Thrône, ou m'ôter la clarté.
Mon Sceptre aprés ma mort appartient à ſon frere, Si c’eſt là ſon eſpoir, c’eſt en vain qu’il eſpere;	Mon Sceptre après ma mort appartient à son frère, Si c'est là son espoir, c'est en vain qu'il espère;
Pour moy, ie ne crains rien de ſes mauuais deſſeins, Ie le tiens le perfide, il eſt entre mes mains, Ie puis, ſi ie le veux le priuer de la vie;	Pour moi, Seigneur ne crains rien de ses mauvais desseins, Je le tiens le perfide, il est entre mes mains, Je puis, si belle le veux le priver de la vie;
Mais ie n’ay point voulu, qu'elle luy fut rauie Sans auoir ſur ſon crime eſcouté vos aduis, Les ſeuls que ie veux prendre, & qui ſeront ſuiuis;	Mais ici n'ai point voulu, qu'elle lui fut ravie Sans avoir sur son crime écouté vos avis, Les seuls que deux veux prendre, et qui seront suivis;
Faites moy donc ſçauoir, ce qu’il faut que ie faſſe, du de ders le panies eu cien tuyjaule grace.	Faites -moi donc Savoir, ce qu'il faut que sans fasse, du de ders le paniez eu cien tuijaule grâce.
LE MVFTY.	LE MUFTI.
Puiſque tu veux Seigneur ſçauoir mon ſentiment, Ie ſuis preſt d’obeyr à ton commandement, Et te vais declarer ce que le Ciel m’inſpire, Ce qu’à fait Bajaſet pour toy, pour ton Empire, Sa vertu ſans égalle, & ſa haute valeur, A parler librement ont cauſé ſon malheur.	Puisque tu veux Seigneur savoir mon sentiment, Je suis prêt d'obéir à ton commandement, Et te vais déclarer ce que le Ciel m'inspire, Ce qu'a fait Bajasjet pour toi, pour ton Empire, Sa vertu sans égale, et sa haute valeur, A parler librement ont causé son malheur.
On n’a pû voir Seigneur, qu’auec des yeux d’enuie, Les belles actions d’vne ſi belle vie, Et ie diré deplus encor s’il m'est permis, ue ſa ſeule vertu luy fait des ennemis.	On n'a pu voir Seigneur, qu'avec des yeux d'envie, Les belles actions d'une si belle vie, Et ie diré déplus encor s'il m'est permis, ue sa seule vertu était fait des ennemis.
Mais quittons vn diſcours, qui peut-eſtre t’irrite;	Mais quittons un discours, qui peut-être t'irrite;
Ie dis donc ſeulement Seigneur, que ſon merite Le doit mettre à couuert des trais de ta rigueur, Et qu’il n’eſt criminel, que d’auoir trop de cœur, Pouuoit-il ſuporter les mespris de ſon frere ?	Je dis donc seulement Seigneur, que son mérite Le doit mettre à couvert des trais de ta rigueur, Et qu'il n'est criminel, que d'avoir trop de cœur, Pouvait-il supporter les mépris de son frère ?
Ce Prince de tout temps à ſon bon heur contraire, Le traitoit en vaſſal, & taſchoit ſourdement, De ſe rendre le Maiſtre en ſon gouuernement.	Ce Prince de tout temps à son bon heur contraire, Le traitait en vassal, et tâchait sourdement, De se rendre le Maître en son gouvernement.
Bajaſet, qu’on traitoit auec tant d’injuſtice Veut ſe fortifier contre cét artifice, Recherche les moyens de conſeruer ſon bien, Et ſe met en estat de n’apprehender rien;	Bajaset, qu'on traitait avec tant d'injustice Veut se fortifier contre cet artifice, Recherche les moyens de conserver son bien, Et se met en état de n'appréhender rien;
Et comme il est aymé de toute ſa Prouince.	Et comme il est aimé de toute sa Province.
Elle prend außi-toſt l’intereſt de ſon Prince, Luy fournit de l’argent, & dans deux mois de temps, Elle luy met ſur pied vingt mille combattans.	Elle prend aussitôt l'intérêt de son Prince, Lui fournit de l'argent, et dans deux mois de temps, Elle avait met sur pied vingt mille combattants.
Son frere, qui ſe void ainſi dans l’impuiſſance, D’acheuer ſes deſſeins ſelon ſon esperance, Dans ſon gouuernement fait leuer des Soldas, Mais ſon projet encor ne luy reüßit pas, Huict mille combattans compoſent ſon Armée;	Son frère, qui se voit ainsi dans l'impuissance, D'achever ses desseins selon son espérance, Dans son gouvernement fait lever des Soldas, Mais son projet encor ne lui réussit pas, Huit mille combattants composent son Armée;
Lors contre Bajaſet ſa hayne est rallumée, Et par vn mouuement indigne d’vn grand cœur, Il ſe laiſſe emporter à toute ſa fureur.	Lors contre Bajaset sa haine est rallumée, Et par un mouvement indigne d'un grand cœur, Il se laisse emporter à toute sa fureur.
Seigneur tu ſçais le reſte, & de Bajaſet meſme, Iuſques, où la porté cette fureur extreſme, Tu ſçais le noir deſſein, qu’il auoit projetté, Et qui graces aux Cieux n’eſt point executé.	Seigneur tu sais le reste, et de Bajaset même, Jusques, où la porté cette fureur extrême, Tu sais le noir dessein, qu'il avait projetté, Et qui grâces aux Cieux n'est point exécuté.
Aprés cette action, ſi Selin n'eſt coupable, Ie le confeſſeray, Bajaſet eſt blâmable, Il fait à ſon aiſné la guerre injuſtement, Enfin ſon procedé merite chaſtiment.	Après cette action, si Selin n'est coupable, Je le confesserai, Bajaset est blâmable, Il fait à son aîné la guerre injustement, Enfin son procédé mérite châtiment.
S’il eſt permis außi de conſeruer ſa vie, Contre les ennemis dont elle eſt pourſuiuie, On ne peut accuſer le Prince Bajaſet, Puis que ſe conſeruer eſt tout ce qu’il a fait.	S'il est permis aussi de conserver sa vie, Contre les ennemis dont elle est poursuivie, On ne peut accuser le Prince Bajaset, Puis que se conserver est tout ce qu'il a fait.
Nous n’auons rien Selgneut de fetner, que la vie, Vouloir ſe l’aſſeurer, c’eſt vne juſte enuie, Ce treſor precieux, dont on fait tant de cas,	Nous n'avons rien Selgnut de féter, que la vie, Vouloir se l'assurer, c'est une juste envie, Ce trésor précieux, dont on fait tant de cas,
A lors qu’il eſt perdu, ne ſe recouure pas;	À lors qu'il est perdu, ne se recouvre pas;
Comme c’eſt vn bon-heur, a qui tout autre cede, Si l’on veut en priuer celuy qui le poſſede, Il peut ſans iniuſtice en cette extremité, N'eſpargner pas celuy, dont il eſt mal traité;	Comme c'est un bonheur, a qui tout autre cède, Si l'on veut en priver celui qui le possède, Il peut sans injustice en cette extrémité, N'épargner pas celui, dont il est mal traité;
Bajaſet, dont l’esprit à peu de violence, N’a pas voulu porter iuſque là ſa vengeance, Toûjours Maiſtre abſolu de ſon reſſentiment, Jl a fait eſclater ſon pouuoir ſeulement, Et toûjours a fait voir en Prince magnanime, Que dans tous ſes deſſeins il n’entre point de crime.	Bajaset, dont l'esprit à peu de violence, N'a pas voulu porter jusque là sa vengeance, Toûjours Maistre absolu de son ressentiment, Il a fait éclater son pouvoir seulement, Et toujours a fait voir en Prince magnanime, Que dans tous ses desseins il n'entre point de crime.
Selin taſche à le perdre, on luy vient decouurir, A de lâches moyens le voit-on recourir, Pour mettre en ſeureté, ſa vie, & ſa fortune?	Selin tâche à le perdre, on lui vient découvrir, A de lâches moyens le voit-on recourir, Pour mettre en sûreté, sa vie, et sa fortune?
Si ce Prince n’euſt eu, qu’vn vertu commune, Il euſt cedé bien-toſt au violent tranſport, S u’excite dans les cœurs la crainte de la mort, Et voulant preuenir tout accident ſiniſtre, Il euſt de ſa fureur treuué plus d’vn Miniſtre;	Si ce Prince n'eût eu, qu'un vertu commune, Il eût cédé bientôt au violent transport, S u'excite dans les cœurs la crainte de la mort, Et voulant prévenir tout accident sinistre, Il eût de sa fureur trouvé plus d'un Ministre;
Mais il s’est comporté plus genereuſement, Außi void on agir les grands cœurs autrement.	Mais il s'est comporté plus généreusement, Aussi void on agir les grands cœurs autrement.
Il a toûjours hãy ces hommes mercenaires, Qui ſe portent à tout, par l’eſpoir des ſalaires, Qui lâches, & cruels du ſang des Souuerains Oſent meſme ſoüiller leurs ſacrileges mains, Et loing de s'en ſeruir on ſçait bien, quel ſuplice	Il a toujours hanti ces hommes mercenaires, Qui se portent à tout, par l'espoir des salaires, Qui lâches, et cruels du sang des Souverains Osent même soüiller leurs sacrilèges mains, Et loin de s'en servir on sait bien, quel suplice
A ces cœurs inhumains ordonne ſa Iuſtice.	À ces cœurs inhumains ordonne sa Justice.
Enfin chacun Seigneur ſçait, qu’il ne s’en ſert point, Et que s’il a manqué, ce n’eſt pas en ce point.	Enfin chacun Seigneur sait, qu'il ne s'en sert point, Et que s'il a manqué, ce n'est pas en ce point.
Mais il eſt accuſe d’vne action plus noire;	Mais il est accuse d'une action plus noire;
Helas!	Hélas!
que d’enuieux s’attaquent à ſa gloire, On dit, qu’en expirant Mustapha l’impoſteur De ſa rebellion l’a declaré l’autheur;	que d'envieux s'attaquent à sa gloire, On dit, qu'en expirant Mustapha l'imposteur De sa rébellion l'a déclaré l'auteur;
Certes ſes ennemis ont beaucoup d’impudence, Où leurs foibles espris manquent bien de prudence, Quoy ne iugent-ils pas, qu'vn traiſtre vn impoſteur Ne ſçauroit pres de toy paſſer, que pour menteur, Qui ſe diſoit ton fils auec tant d’inſolence, Quoy que l’on fut certain de ſa baſſe naiſſance, Croyant par vn menſonge éuiter le trespas, Sans doute en ce rencontre a dit ce qui n'eſt pas;	Certes ses ennemis ont beaucoup d'impudence, Où leurs faibles épris manquent bien de prudence, Quoi ne jugent-ils pas, qu'un traître un imposteur Ne saurait pres de toi passer, que pour menteur, Qui se disait ton fils avec tant d'insolence, Quoi que l'on fut certain de sa basse naissance, Croyant par un mensonge éviter le trépas, Sans doute en ce rencontre a dit ce qui n'est pas;
Il a crù, qu’on voudroit en ſçauoir d’auantage;	Il a crù, qu'on voudrait en savoir davantage;
Et celuy qui ſe void preſt de faire n’aufrage Dans l’extreme deſir, qu’il a de ſe ſauuer, S’attache fortement à ce qu’il peut trouuer, Et n’examine pas dans ſa crainte exce ßiue, Si ſon flottant Aſile ira juſque à la riue.	Et celui qui se voit prêt de faire n'aufrage Dans l'extrême désir, qu'il a de se sauver, S'attache fortement à ce qu'il peut trouver, Et n'examine pas dans sa crainte exce ssiue, Si son flottant Asile ira jusque à la rive.
Ainſi ce malheureux ſe voyant en danger, Du crime, qui le perd tâche à ſe deſcharger, En couure Bajaſet, & bleſſe ainſi ſa gloire, Et ſi Selin ſe fut offert à ſa memoire, Afin de gagner temps en cette occaſion,	Ainsi ce malheureux se voyant en danger, Du crime, qui le perd tâche à se décharger, En couvre Bajaset, et blesse ainsi sa gloire, Et si Selin se fut offert à sa mémoire, Afin de gagner temps en cette occasion,
Il l’auroit accuſé de ſa rebellion.	Il l'aurait accusé de sa rébellion.
Quoy Seigneur, le hazard ſera t’il donc capable, De te faire traiter Bajaſet en coupable, On cherchoit vn grand nom, afin de s’en couurir, Si le ſien s’eſt treuué, quoy doit-il en mourir?	Quoy Seigneur, le hasard sera -t-il donc capable, De te faire traiter Bajaset en coupable, On cherchait un grand nom, afin de s'en couvrir, Si le sien s'est trouvé, quoi doit-il en mourir?
Au fourbe connu tel donneras tu creance, Un criminel peut-il accuſer l’innocence, Et peut-il teſmoigner contre ton propre fils, Luy qui fut le plus grand de tous tes ennemis.	Au fourbe connu tel donneras tu créance, Un criminel peut-il accuser l'innocence, Et peut-il témoigner contre ton propre fils, Lui qui fut le plus grand de tous tes ennemis.
Mais ſi cette raiſon n'eſtoit pas aſſez forte, Conſidere Seigneur, le respect qu’il te porte, De tes commandemens il ſe fait vne Loy, Ta hauteſſe l’appelle, il ſe rend prés de toy, Craint-il de hazarder ſes gens par ſon abſence.	Mais si cette raison n'était pas assez forte, Considère Seigneur, le respect qu'il te porte, De tes commandements il se fait une Loi, Ta hautesse l'appelle, il se rend près de toi, Craint-il de hasarder ses gens par son absence.
Void on, qu’il les prefere à ſon obeyſſance, Ses plus chers intereſts ont-ils eü le pouuoir De luy faire oublier, quel estoit ſon deuoir?	Void on, qu'il les préfère à son obéissance, Ses plus chers intérêts ont-ils eu le pouvoir De lui faire oublier, quel était son devoir?
Void on, qu’vn criminel à ſes Iuges ſe montre, Tant qu’il a le pouuoir d’éuiter leur rencontre?	Void on, qu'un criminel à ses Juges se montre, Tant qu'il a le pouvoir d'éviter leur rencontre?
Non, non il ne l’eſt point, & l’on l’accuſe à tort Ne condamne donc pas Bajaſet à la mort, Ne le crois point autheur d’vne infame cabale, Ny l’ennemy juré de ta Maiſon Royale.	Non, non il ne l'est point, et l'on l'accuse à tort Ne condamne donc pas Bajaset à la mort, Ne le crois point auteur d'une infâme cabale, Ny l'ennemi juré de ta Maison Royale.
ACHOMAT.	ACHOMAT.
Seigneur, ce qu’on t’a dit du Prince Bajaſet,	Seigneur, ce qu'on t'a dit du Prince Bajaset,
D’vne hayne cachée est peut-eſtre l’effet, Peut-eſtre, qu’on en veut à ſa vie, à ſa gloire, Mais ce n'est qu'vn peut-estre, & qu'on peut ne pas croire, Et puis qu’il m’eſt permis de parler franchement, Je ne contraindray point icy mon ſentiment.	D'une haine cachée est peut-être l'effet, Peut-être, qu'on en veut à sa vie, à sa gloire, Mais ce n'est qu'un peut-être, et qu'on peut ne pas croire, Et puis qu'il m'est permis de parler franchement, Je ne contraindrai point ici mon sentiment.
De deux crimes tres-grands, on dit qu’il eſt coupable;	De deux crimes très-grands, on dit qu'il est coupable;
L’vn & l’autre Seigneur eſt plus que vray ſemblable.	L'un et l'autre Seigneur est plus que vrai semblable.
N'a t’il pas attaqué Selin ouuertement, N'a-t'il pas deſolé tout ſon gouuernement?	N'a -t-il pas attaqué Selin ouuertement, N'a-t'-il pas désolé tout son gouvernement?
Combien auons nous veù par ſes guerres ciuiles De carnages affreux aux Champs, & dans les Villes?	Combien avons nous vuù par ses guerres civiles De carnages affreux aux Champs, et dans les Villes?
Combien de tes ſubjets maſſacrés par ſes mains, Qui vouloient faire obſtacle au cours de ſes deſſeins?	Combien de tes sujets massacrés par ses mains, Qui voulaient faire obstacle au cours de ses desseins?
Par ſon ambition les Uilles ſont bruſlées, Leurs Habitans ſont morts, les Prouinces pillées, Et tous és lieux enfin où ſes gens ont eſté;	Par son ambition les Uilles sont brûlées, Leurs Habitants sont morts, les Provinces pillées, Et tous ès lieux enfin où ses gens ont été;
Sont de ſanglans pourtraicts de la calamité;	Sont de sanglants pourtraits de la calamité;
Mais n’a t’il pas encor commis de plus grands crimes, Combien s’est ſa fureur immolé de victimes, Combien a-t'elle fait d’injuſtes ennemis, Quand il a fait combattre vn pere contre vn fils, Inſpirant à ce fils pour combattre ſon pere Les ſentimens qu’il a de hayne pour ſon frere.	Mais n'a -t-il pas encor commis de plus grands crimes, Combien s'est sa fureur immolé de victimes, Combien a-t'-elle fait d'injustes ennemis, Quand il a fait combattre un père contre un fils, Inspirant à ce fils pour combattre son père Les sentiments qu'il a de haine pour son frère.
Selon mon ſentiment cette ſeule action, A merité Seigneur vne punition.	Selon mon sentiment cette seule action, À mérité Seigneur punition.
Quoy porter la nature ainſi contre elle meſme, Contraindre de haïr les perſonnes qu’on ayme, O!	Quoi porter la nature ainsi contre elle -même, Contraindre de haïr les personnes qu'on aime, Ô!
Ciel qu’elle injustice, & qu’elle impieté, D'impoſer hautement cette nece ßité.	Ciel qu'elle injustice, et qu'elle impiété, D'imposer hautement cette néi ssité.
Il l’a fait cependant, perſonne ne l’ignore, Et ie pourois bien dire à ta hauteſſe encore, Que d’auoir mis aux mains parens contre parens, C’eſt vn chemin ouuert à des crimes plus grans, Que quand on void ſouuent des crimes de la ſorte, On en a moins d’horreur, qu’aiſement on s’y porte, Et qu’ainſi Bajaſet pourroit eſtre accuſé, Quand il a fait oſer d’auoir luy meſme oſé, Et d’auoir attenté ſur les iours de ſon frere;	Il l'a fait cependant, personne ne l'ignore, Et a pourois bien dire à ta hautesse encore, Que d'avoir mis aux mains parents contre parens, C'est un chemin ouvert à des crimes plus grans, Que quand on voit souvent des crimes de la sorte, On en a moins d'horreur, qu'on y porte, Et qu'ainsi Bajaset pourrait être accusé, Quand il a fait oser d'avoir avoir été osé, Et d'avoir attenté sur les jours de son frère;
Cette action eſt elle à ſon humeur contraire?	Cette action est elle à son humeur contraire?
Quiconque le connoiſt ſçait que l’ambition Fut toûjours de ſon cœur la ſeule paßion, Et que tout ce qui rend cette paßion vaine, Fut & ſera toûjours vn objet de ſa hayne.	Quiconque le connaît ait que l'ambition Fut toujours de son cœur la seule passion, Et que tout ce qui rend cette passion vaine, Fut et sera toujours un objet de sa haine.
Ce que ie dis Seigneur, on ne peut le nier, Et ie n'ay pas deſſein de le calomnier.	Ce que ie dis Seigneur, on ne peut le nier, Et ici n'ai pas dessein de le calomnier.
Ses moindres actions, ſes parolles, ſes gestes En ſont à tout moment des preuues manifeſtes, Et plus encor Seigneur, ce qu’il ne peut cacher Et qu’à iamais Selin luy pourra reprocher;	Ses moindres actions, ses paroles, ses gestes En sont à tout moment des preuves manifestes, Et plus encor Seigneur, ce qu'il ne peut cacher Et qu'à jamais Selin lui pourra reprocher;
Vouloir pouſſer à bout l’heritier de l’Empire Son frere, ſon aiſné, qu'elle action est pire,	Vouloir pousser à bout l'héritier de l'Empire Son frère, son aisné, qu'elle action est pire,
Et peut à tes ſubjets imprimer plus d’horreur, A moins que dethroner noſtre auguſte Empereur?	Et peut à tes sujets imprimer plus d'horreur, A moins que dethroner notre auguste Empereur?
Et ſans doute qu’vn iour il ſe pourra deffaire De tout ce qui l’empeſche, & d’vn frere & d’vn pere, Si tu ne te reſous d’agir comme tu doïs, Et ſoumettre ſa teſte à la rigueur des Loix.	Et sans doute qu'un jour il se pourra défaire De tout ce qui l'empêche, et d'un frère et d'un père, Si tu ne te résous d'agir comme tu doïs, Et soumettre sa tête à la rigueur des Lois.
Peut-eſtre ce diſcours me perdra, mais n’importe Vn fidelle ſubjet doit parler de la ſorte, Achomat a toûjours regardé le preſent, Il n’a point pour le crime vn eſprit complaiſant, Quand il ſeroit certain, que Bajaſet luy méme Poſſederoit vn iour ta puiſſance ſupréme, Quand il ſeroit certain, que l’on le puniroit De la méme façon Achomat parleroit;	Peut-être ce discours me perdra, mais n'importe Un fidèle sujet doit parler de la sorte, Achomat a toujours regardé le présent, Il n'a point pour le crime un esprit complaisant, Quand il serait certain, que Bajast lui -même Posséderait un jour ta puissance suprême, Quand il serait certain, que l'on le punirait De la même façon Achomat parlerait;
Mais on t’aſſeure encor qu’il ſeruoit vn rebelle Quoy que cette action ſoit lâche & criminelle, Et que le ſeul penſer en ſoit méme odieux, Dequoy n’eſt pas capable vn homme ambitieux Et pourueu qu'à ſon gré, ſon deſſein reuſiſſe, Du ebid on repugner a faire vne injustice?	Mais on t'assure encor qu'il servait un rebelle Quoi que cette action soit lâche et criminelle, Et que le seul penser en soit même odieux, Dequoy n'est pas capable un homme ambitieux Et pourvu qu'à son gré, son dessein réussisse, Du ébid on répugner à faire une injustice?
l a de grands deſſeins que chacun ne ſçait pas;	 à de grands desseins que chacun ne sait pas;
Sans doute qu'il en veut Seigneur à tes Eſtas, Et qu’à lors que l’on croit qu’il n’en veut qu’à ſonfrere, Il t’âche à s’emparer du Thrône de ſon pere;	Sans doute qu'il en veut Seigneur à tes Estas, Et qu'à lors que l'on croit qu'il n'en veut qu'à sonfrere, Il t'âche à s'emparer du Thrône de son père;
On en void le deſſein aſſez bien concerté, D'vn coſté Mustapha, luy d’vn autre coſté,	On en voit le dessein assez bien concerté, D'un côté Mustapha, lui d'un autre côté,
L’vn au cœur de l’Eſtat, l’autre ſur les frontieres, Et dans leurs intereſts des Prouinces entieres;	L'un au cœur de l'État, l'autre sur les frontières, Et dans leurs intérêts des Provinces entières;
AAinſi tu peux juger par ce commancement, Que l’on n’accuſe pas Bajaſet fauſſement:	AInsi tu peux juger par ce commancement, Que l'on n'accuse pas Bajasjet faussement:
Mais conſidere encor de plus prés cette affaire, Il tâche à perdre vn frere, & fait reuiure vn frere, Selin eſt vn obstacle à ſa pretention, Il le veut immoler à ſon ambition, Et craignant de manquer ce deſſein detestable, Vn infame impoſteur à Muſtapha ſemblable, Se dit comme ce Prince aiſné de Soliman, Legitime heritier de l’Empire Ottoman.	Mais considère encor de plus prés cette affaire, Il tâche à perdre un frère, et fait revire un frère, Selin est un obstacle à sa prétention, Il le veut immoler à son ambition, Et craignant de manquer ce dessein détestable, Un infâme imposteur à Mustapha semblable, Se dit comme ce Prince aîné de Soliman, Légitime héritier de l'Empire Ottoman.
Ainſi de tous costez la fortune conſpire A porter Bajaſet au Throſne qu’il deſire;	Ainsi de tous côtés la fortune conspire A porter Bajaset au Trône qu'il désire;
Alors que Muſtapha ſemble l’en reculer, C’eſt en ce meſme temps, que l’on l’y voit voler;	Alors que Mustapha semble l'en reculer, C'est en ce même temps, que l'on l'y voit voler;
Car ce n’eſt que pour luy que le traistre trauaille, Et ſi ce malheureux euſt gaigné la Bataille, Et qu’il eüt pû ſe joindre auecque Bajaſet, Selin eſtoit perdu, Seigneur s’en estoit fait, Et peut-eſtre qu’aprés ce crime espouuantable Bajaſet d’vn plus noir auroit eſté coupable.	Car ce n'est que pour avoir que le traître travaille, Et si ce malheureux eût gagné la Bataille, Et qu'il eut pu se joindre auecque Bajaset, Selin estoit perdu, Seigneur en estoit fait, Et peut-être aprés ce crime espouuantable Bajaset plus noir auroit esté coupable.
Aprés celà Seigneur, ie ne diré plus rien, Bajaſet eſt coupable, & tu le cognois bien, Ainſi tu ne ſçaurois l’exempter du ſupplice, Si tu n'és reſolu de bleſſer ta Juſtice.	Après cela , Seigneur, ie ne diré plus rien, Bajaset est coupable, et tu le connais bien, Ainsi tu ne saurais l'exempter du supplice, Si tu n'ez résolu de blesser ta Justice.
SOLIMAN, Lequel de ces aduis dois-je croire aujourd’huy?	SOLIMAN, Lequel de ces avis dois-je croire aujourd'hui?
L’vn deffend Bajaſet, & l’autre eſt contre luy, L'vn luy donne la vie, & l'autre veut qu’il meure, De vos opinions laquelle eſt la meilleure?	L'un défend Bajaset, et l'autre est contre deux, L'un homme donne la vie, et l'autre veut qu'il meure, De vos opinions laquelle est la meilleure?
LE MVFTY.	LE MUFTI.
Pour bien faire Seigneur ne nous crois point tous deux, Laiſſe là nos conſeils, tu n’as pas beſoing d’eux, L’ame de Soliman n’a que trop de lumiere Pour ſe porter ſans nous à ce qu’elle doit faire, C’eſt de toy ſeulement que tu dois prendre aduis, Puiſqu’il s’agit de perdre, ou de ſauuer ton fils.	Pour bien faire Seigneur ne nous crois point tous deux, Laisse là nos conseils, tu n'as pas besoin d'eux, L'âme de Soliman n'a que trop de lumière Pour se porter sans nous à ce qu'elle doit faire, C'est de toi seulement que tu dois prendre avis, Puisqu'il s'agit de perdre, ou de sauver ton fils.
SOLIMAN.	SOLIMAN.
Ie croiré ce conſeil dans ce deſordre extreſme, Ie veux ſur ce ſubjet me conſulter moy meſme, Et mes ſeuls ſentimens ſont ceux que ie ſuiuré.	Je croiré ce conseil dans ce désordre extrême, Je veux sur ce sujet me consulter moi -même, Et mes seuls sentiments sont ceux que sans suivré.
LE MVFTY.	LE MUFTI.
C’eſt le meilleur moyen, & le plus aſſeuré, Pour finir de ton cœur, le trouble, & la triſteſſe.	C'est le meilleur moyen, et le plus assuré, Pour finir de ton cœur, le trouble, et la tristesse.
A CHOMAT.	À CHÔMÂT.
Vouloir t’en rapporter Seigneur, à tahauteſſe, C’eſt te mettre en hazard d’agir injuſtement, Bajaſet en ton cœur parlera hautement, Et le ſang.	Vouloir t'en rapporter Seigneur, à tahautesse, C'est te mettre en hasard d'agir injustement, Bajaset en ton cœur parlera hautement, Et le sang.
OLIMAN.	OLIMAN.
Quoy qu’il die Achomat, il n’importe L'Amour d’vn pere eſt fort, la Iuſtice eſt plus forte, Et n’aprehendés pas qu’il me ſurpreine ainſi, Gardés bien mon ſecret, & me laiſſés icy.	Quoi qu'il die Achomat, il n'importe L'Amour d'un père est fort, la Justice est plus forte, Et n'appréhendez pas qu'il me surpreine ainsi, Gardez bien mon secret, et me laissez ici.
Hé bien quel ſentiment mon cœur voulés-vous prendre ?	Hé bien quel sentiment mon cœur voulez-vous prendre ?
On accuſe mon fils, allés-vous le deffendre, Où ſuiuant contre luy le conſeil d’Atuimat, L’allés-vous immoler au repos de l’Estat, Vous ne respondés rien;	On accuse mon fils, assez-vous le défendre, Où suivant contre cela le conseil d'Atuimat, L'allés-vous immoler au repos de l'État, Vous ne répondez rien;
il faut pourtant reſoudre, Vous n'oſés condamner, & ne pouuez abſoudre;	il faut pourtant résoudre, Vous n'osez condamner, et ne pouuez absoudre;
Vous deués aprés tout choiſir, & promptement.	Vous devez après tout choisir, et promptement.
SCENE II.	SCÈNE II.
SOLIMAN, BAIASET.	SOLIMAN, BAIASET.
Seigneur, BAIASET.	Seigneur, BAIASET.
SOLIMAN.	SOLIMAN.
Que voulés-vous.	Que voulez-vous.
BATASET.	BATASET.
Te parler vn moment Brit juire connaiſtre, enfin mon innocence;	Te parler un moment Brit juire connaître, enfin mon innocence;
Par ces teſmoins.	Par ces témoins.
SOLIMAN.	SOLIMAN.
Demain, ils auront audiance, I'ay trop pour les oüir de ſoucis dans l’esprit;	Demain, ils auront audience, J'ai trop pour les ouïrir de soucis dans l'esprit;
SCENE III.	SCÈNE III.
