A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
Certes parmy les fleurs de noſtre ſolitude, I’ay touſiours cette eſpine & cette inquietude, Qui pour voſtre reſpect me va ſolicitant De mettre noſtre amour dans vn troſne eſclatant;	Certes parmi les fleurs de notre solitude, J'ai toujours cette épine et cette inquiétude, Qui pour votre respect me va solicitant De mettre notre amour dans un trône éclatant;
De là vient que deſia ma fortunt prejente;	De là vient que déjà ma fortunt préjente;
Depuis deux ou trois iours me ſemble moins plaiſante, Et que n'eſtans icy qu’hoſtes & paſſagers, Ie me laſſe d’y viure auecque des Bergers:	Depuis deux ou trois jours me semble moins plaisante, Et que n'étant ici qu'hôtes et passagers, Je me lasse d'y vivre avec des Bergers:
Ce ſoin qui par le Sceptre au depart me conuie, Trouble inſenſiblement le repos de ma vie, Et me rend ce ſejour moins beau qu'auparauant Par l’objet d’vn plus cher qui m'attire en Leuant;	Ce soin qui par le Sceptre au part me convie, Trouble insensiblement le repos de ma vie, Et me rend ce séjour moins beau qu'auparavant Par l'objet d'un plus cher qui m'attire en Lèvant;
10 En Cathay mieux qu'en France on treuue des fontaines, On treuue des rochers, des montagnes, des plaines, Des fleurs, des promenoirs, des coſtaux, des valons, Et des prez bien plus verds que ceux que nous foulons;	10 En Cathai mieux qu'en France on trouve des fontaines, On reuve des rochers, des montagnes, des plaines, Des fleurs, des promenoirs, des costaux, des valons, Et des prés bien plus verds que ceux que nous foulons;
L’hyuer qui tous les ans les couure iey de glace, La d’vn ſimple brouïllas à peine les efface;	L'hiver qui tous les ans les couvre 1 de glace, La d'un simple brouilas à peine les efface;
Là regne vn air ſi bon, ſi calme, ſi benin, Et dans ſa pureté ſi contraire au venin, Que ce nomodieux, & de pourpre & de peſte, S’y connoist außi peu que ſon effet funeſte;	Là règne un air si bon, si calme, si bénin, Et dans sa pureté si contraire au venin, Que ce nomodieux, et de pourpre et de peste, S'y connaît aussi peu que son effet funeste;
On y mange en tout temps toutes ſortes de fruits Sur la foy du Soleil dont le feu les a cuits:	On y mange en tout temps toutes sortes de fruits Sur la foi du Soleil dont le feu les a cuits:
Les eaux pareillement s’yboiuent ſans meſlange, Et les eaux qu’on y boit, & les fruicts qu’on y mange, Que par le ſeul excez ne font iamais de mal Au plus foible estomach du plus foible animal;	Les eaux pareillement s'yboivent sans mélange, Et les eaux qu'on y boit, et les fruits qu'on y mange, Que par le seul excès ne font jamais de mal Au plus faible estomac , Que plus faible animal;
Ainſi preſque touſiours le nombre des années, Comme par vn ſommeil y clost nos destinées.	Ainsi presque toujours le nombre des années, Comme par un sommeil y clôt nos destinées.
MEDOR.	MÉDOR.
Ie tiens ce beau climat plus heureux mille fois Pource qu’il eſt ſoumis à l’honneur de vos loix, Qu'à cauſe que le ciel par d’inſignes carreſſes L’a fait le cher objet de toutes ſes largeſſes:	Je tiens ce beau climat plus heureux mille fois Pource qu'il est soumis à l'honneur de vos lois, Qu'à cause que le ciel par d'insignes carresses L'a fait le cher objet de toutes ses largesses:
Mais attendant le temps que la faueur des Dieux Nous permette de viure en ces aymables lieux, Iouiſſons des plaiſirs que ceux-cy nous fourniſſens Dans les ſacrez liens qui nos ames vniſſent, Et pap to cuomdunuum ne ſçay le deſtour, Faiſons noſtre retraite auec l’Aſtre duiour.	Mais attendant le temps que la faveur des Dieux Nous permette de vivre en ces aimables lieux, Jouissons des plaisirs que ceux-cy nous fournissents Dans les sacrés liens qui nos âmes unissent, Et pap to cuomdunuum ne sais le détour, Faisons toujours retraite avec l'Astre duiour.
Fin du premier Acte.	Fin du premier Acte.
LECIE TE SCENE PREMIERE.	LECIE -TE SCÈNE PREMIÈRE.
ANGELIQVE, MEDOR.	ANGELIQUE, MEDOR.
72 ANGELIQVE.	72 ANGELIQUE.
NFIN comme noſtre hoſte en dépeint le viſage, La couleur des cheueux, la hauteur du corſage, Et la fente de l’œil d’audace eſtincelant, Il faut que ce guerrier ſoit le Comte Roland:	NAFIN comme notre hôte en dépeint le visage, La couleur des cheveux, la hauteur du corsage, Et la fente de l'œil d'audace étincelant, Il faut que ce guerrier soit le Comte Roland:
Mais d’ailleurs deux raiſons m'empeſchent de le croire;	Mais d'ailleurs deux raisons m'empêchent de le croire;
Ses armes (ce dit-il) qui ſont de couleur noire, Et l’extréme beſoin que ſon Prince a de luy En l’eſtat malheureux qu’il ſe trouue auiourd’huy:	Ses armes (ce dit-il) qui sont de couleur noire, Et l'extrême besoin que son Prince a de gloire En l'état malheureux qu'il se trouve aujourd'hui:
Car quand ce Paladin, contre toute apparence, Auroit perdu le ſoin du ſalut de la France, Et des murs attaquez dont il eſt gouuerneur, Il auroit conſerue celuy de ſon honneur;	Car quand ce Paladin, contre toute apparence, Aurait perdu le soin du salut de la France, Et des murs attaquez dont il est gouverneur, Il aurait conserve celui de son honneur;
C iij	Ç Cijà
al NOLAND PVMRVA, La gloire de Roland trop auant engagée A la protection de ſa Ville aßiegée, Ne luy permettroit pas d’abandonner ſon Roy, Son ſang & ſes autels pour courir apres moy:	al NOLAND PUMRVA, La gloire de Roland trop avant engagée A la protection de sa Ville assiegée, Ne lui permettrait pas d'abandonner son Roi, Son sang et ses autels pour courir après moi:
Si bien que mon eſprit qui flotte dans la doute, Ne peut encor tenir qu'vne incertaine route:	Si bien que mon esprit qui flotte dans la doute, Ne peut encor tenir qu'une incertaine route:
Mais que ce ſoit Renaud, Roland ou Sacripant, Il porte dans le ſein ce noir & froid ſerpent Qui glace vn cœur ialoux dont il s’eſt rendu maiſtre Pour y faire mourir l’amour qui l’a fait naiſtre;	Mais que ce soit Renaud, Roland ou Sacripant, Il porte dans le sein ce noir et froid serpent Qui glace un cœur jaloux dont il s'est rendu maître Pour y faire mourir l'amour qui l'a fait naître;
Ainſi vous cueillez ſeul vn fruict d’autant plus doux Que pour vous le donner ie le deſrobe à tous:	Ainsi vous cueillez seul un fruit d'autant plus doux Que pour vous le donner ie le dérobe à tous:
Ainſi dans noſtre hymen vous gouſtez des delices Qui ſont à vos riuaux des ſujets de ſupplices, Et le bruit des faueurs dont ie vous ay comblé, De celuy dont ie parle a le repos troublé:	Ainsi dans notre hymen vous goûtez des délices Qui sont à vos rivaux des sujets de supplices, Et le bruit des faveurs dont ie vous ai comblé, De celui dont quelques parle a le repos troublé:
D’où viẽt que ie craindrois d’vne amoureuſe crainte, Qenta iuſte aouieur aun fonumt eſt atfeinte, Il ne vomiſt ſur vous qui marchez deſarmé Tout le fiel du deſpit dont il est enflamé, Paſſant dans le tranſport qui ſuit la ialouſie Les bornes de l’honneur & de la courtoiſie.	D'où vient que ainsi craindrais d'une amoureuse crainte, Qenta juste aouieur àun fonumt est atfeinte, Il ne vomît sur vous qui marchez désarmé Tout le fiel du dépit dont il est enflamé, Passant dans le transport qui suit la jalousie Les bornes de l'honneur et de la courtoisie.
MEDOR.	MÉDOR.
Madame, aſſeureZ-vous qu’aupres de vos beautez, Vos Amans les plus fiers & les plus redoutez N'auront pas le pouuoir ny poßible l’enuie, Ou d’eſtonner mon ame, ou de nuire à ma vie, Aßiſté d’vn regard de vos yeux amoureux, Ny Roland, ny Regnaud, ny de plus dangereux, Fuſſent-ils preſeruez par la force des charmes, N’auront point de valeur qui ne cede à mes armes;	Madame, assurez-vous qu'auprès de vos beautés, Vos Amans les plus fiers et les plus redoutez N'auront pas le pouvoir ni passible l'envie, Ou d'étonner mon âme, ou de nuire à ma vie, Assisté d'un regard de vos yeux amoureux, Ny Roland, ni Regnaud, ni de plus dangereux, Fussent-ils préservez par la force des charmes, N'auront point de valeur qui ne cède à mes armes;
S’il vous ſouuenoit bien que vous m'aülz treuué En l’eſtat d’vn ſoldat par le ſang eſpreuué, Auriez-vous bien encore apres ce teſmoignage L’iniurieuſe peur qu'vn riual ne m'outrage?	S'il vous souvenait bien que vous m'aülz treuué Bien d'état d'un soldat par le sang espreuué, Auriez-vous bien encore après ce témoignage L'injurieuse peur qu'un rival ne m'outrage?
Non, non, comme l'Amour, i'ayle cœur en bon lieu, An ououimuifamanuapamnon juindamy- Dieu M’inſpirent vne audace à nulle autre ſeconde, Qui me fait meſpriſer tous les dangers du monde.	Non, non, comme l'Amour, j'aile cœur en bon lieu, An ououimuifamanuapamnon juindami- Dieu M'inspirent une audace à nulle autre seconde, Qui me fait mépriser tous les dangers du monde.
ANGELIQVE.	ANGELIQUE.
Medor, ſi voſtre cœur qui m'eſt aſſezconnu S’offenſe du diſcours que ie vous ay tenu, Qu'il excuſe l’amour comme vn enfant timide Qui peut faire vn faux pas quand la crainte le guide.	Medor, si votre cœur qui m'est assezconnu S'offense du discours que ie vous ai tenu, Qu'il excuse l'amour comme un enfant timide Qui peut faire un faux pas quand la crainte le guide.
MEDOR.	MÉDOR.
Ma Reyne, à cette offence & cette crainte prés.	Ma Reine, à cette offense et cette crainte près.
Allons ſous cette grotte & ces ombrages frais Ouïr des Roßignols la muſique innocente Qu'eſchauffe à ſon retour la lumiere naiſſante, Et grauer ſur la roche & ſur les arbres verds Des deuiſés d’amour, des chifres & des vers, Afin que les paſſans liſent noſtre aduanture, Et ſur l’eſcorce tendre, & ſur la pierre dure-.	Allons sous cette grotte et ces ombrages frais Ouïr des Rognignols la musique innocente Qu'échauffe à son retour la lumière naissante, Et graver sur la roche et sur les arbres verts Des devisés d'amour, des chifres et des vers, Afin que les passants lisent notre aventure, Et sur l'écorce tendre, et sur la pierre dure-.
T --- Mais d’vn pas diligent ie retourne au hameau.	T -- Mais d'Hommes pas diligent ton retourne au hameau.
Pourquoy?	Pourquoi?
ANGELIQVE.	ANGELIQUE.
MEDOR.	MÉDOR.
It n'ay fur muy ity potnçon ny couſteau, En venant mon eſtuy m'est tombé de la poche.	It n'ai fur mui iti potnon ici coûteau, En venant mon étui m'est tombé de la poche.
ANGELIQVE.	ANGELIQUE.
Courez, ie vous attends au pied de cette roche.	Courez, Seigneur vous attends au pied de cette roche.
MEDOR.	MÉDOR.
Mais puis-ie vous laiſſer en ce bord eſcarté?	Mais puis-je vous laisser en ce bord écarté?
ANGELIQVE.	ANGELIQUE.
Oüy, Medor, cét anneau me tient en ſeureté, Mis du doigt à la bouche, il me rend inuiſible, Et destourne de moy tout accident nuiſible.	Oui, Médor, cet anneau me tient en sûreté, Mis du doigt à la bouche, il me rend invisible, Et détourne de moi tout accident nuisible.
Soit donc, MEDON	Soit donc, MEDON
ANGELIQVE.	ANGELIQUE.
Souuenez-vous que ie languis d’amour, Et pour cette raiſon haſtez voſtre retour.	Souvenez-vous que ici languis d'amour, Et pour cette raison hâtez votre retour.
MEDOR.	MÉDOR.
Cette raiſon d’amour auec vous m’eſt commune, Prés de vous tout me plaiſt ſans difference aucune, Et loing de voſtre aſpect les momens les plus courts Me ſemblent außi longs que les plus triſtes iours.	Cette raison d'amour avec vous m'est commune, Près de vous tout me plaît sans différence aucune, Et loin de votre aspect les moments les plus courts Me semblent aussi longs que les plus tristes jours.
Adieu:	Adieu:
mais qu'vn baiſer de la bouche & de l’ame Iuſques à mon retour entretienne ma flame.	mais qu'un baiser de la bouche et de l'âme Jusques à mon retour entretienne ma flamme.
O bouche qui baiſez auec tant de pudeur!	Ô bouche qui baisez avec tant de pudeur!
Bouche où la violette exhale ſon odeur, Bouche qui faites honte à l’incarnat des roſes, qu'on penſe en vons baiſant ad agreables choſes;	Bouche où la violette exhale son odeur, Bouche qui faites honte à l'incarnat des roses, qu'on pense en vons baisant ad agréables choses;
Encore vn, & ie meurs,	Encore un, et Seigneur meurs,
ANGELIQVE.	ANGELIQUE.
Suffit pour le depart, Il faut que le retour en ayt außi ſa part;	Suffit pour le départ, Il faut que le retour en ait aussi sa part;
Et ie vous garde encor, ſi vous ne tardez gueres, Quelques autres baiſers qui ne ſont pas vulgaires.	Et petit vous garde encor, si vous ne tardez guère, Quelques autres baisers qui ne sont pas vulgaires.
MEDOR.	MÉDOR.
O Dieux!	Ô Dieux!
puïſque le prix eſt ſelon mon deſir, Que ie tarderay peu,	puisque le prix est selon mon désir, Que Que tarderai peu,
ANGELIQVE.	ANGELIQUE.
Vous me ferez plaiſir:	Vous me ferez plaisir:
Qu'il va legerement, qu’il court de bonne grace, Et que tout luy ſied bien, quelque choſe qu’il faſſe?	Qu'il va légèrement, qu'il court de bonne grâce, Et que tout notre sied bien, quelque chose qu'il fasse?
Mais i'apperçois venir à trauers ce buiſſon Vne ieune beauté d’excellente façon, Elle prend le ſentier qui couppe à la fontaine;	Mais j'aperçois venir à travers ce buisson Vaine jeune beauté d'excellente façon, Elle prend le sentier qui couppe à la fontaine;
Apprenons, s'il ſe peut, le ſujet qui l’ameine.	Apprenons, s'il se peut, le sujet qui l'amène.
LEITRT ISABELLE, ANGELIQVE.	LEITRT ISABELLE, ANGELIQUE.
ISABELLE voyant Angelique.	ISABELLE voyant Angélique.
ci Dtou queue mrnomopreſquaices lieux, Mer.	cy Dou queue mrnomopresquaices lieux, Mer.
Pour me charmer en terre & l’eſprit & la veuë?	Pour me charmer en terre et l'esprit et la vue?
ANGELIQVE.	ANGELIQUE.
Ie voy que les attraits dont le Ciel m'a pourueuë La ſurprennent d’abord, & moy de mon coſté Ie ne puis m'empeſcher d’admirer ſa beauté;	Je vois que les attraits dont le Ciel m'a pourvue La surprennent d'abord, et moi de mon côté -Je ne puis m'empêcher d'admirer sa beauté;
Et pourueu que l’eſprit au viſage reſponde, Certes i’ayrencontré la merueille du monde.	Et pourvu que l'esprit au visage réponde, Certes j'airencontré la merveille du monde.
L’eſpreuue s’en peut faire auec vn compliment.	L'épreuve s'en peut faire avec un compliment.
s'abor-Le ſort ou le Soleil m’oblige infiniment, dent.	s'abor-Le sort ou le Soleil m'oblige infiniment, dent.
En ce que ſon ardeur vous doit auoir portée A prendre comme moy cette route eſcartée;	En ce que son ardeur vous doit avoir portée À prendre comme moi cette route écartée;
Vous pour mettre à couuert voſtre extréme blãcheur, Et moy pour le plaiſir de la ſeule fraiſcheur, N’ayant point de beautez qui ne ſoient bien à preuue De l’air & du Soleil des lieux où ie me treuue.	Vous pour mettre à couvert votre extrême blãcheur, Et moi pour le plaisir de la seule fraîcheur, N'ayant point de beautés qui ne soient bien à preuve De l'air et du Soleil des lieux où je me trouve.
ISABE LLE.	ISABE LLE.
Madame, vos beautez n’ayant rien de mortel.	Madame, vos beautés n'ayant rien de mortel.
Ie penſe qu’en effet leur priuilege eſt tel, Que tout ce qu'icy bas fait la guerre aux plus belles Leur porte du reſpect, ou ne peut rien ſur elles:	Je pense qu'en effet leur privilège est tel, Que tout ce qu'ici bas fait la guerre aux plus belles Leur porte du respect, ou ne peut rien sur elles:
Quant a moy, mon eſprit außi foible que nu, Sans la religion dont il eſt ſouſtenu, Tomboit dans ce penſer außi faux que prophane, Que cous epten entoy a veſerpurejous Diane.	Quant à moi, mon esprit aussi faible que nu, Sans la religion dont il est soutenu, Tombait dans ce penser aussi faux que prophane, Que cous épten entais a veserpurejous Diane.
Mais pour ne ſortir pas des termes de ma loy, Ie croy voir vnbel Ange alors que ie vous voy.	Mais pour ne sortir pas des termes de ma loi, Je crois voir unbel Ange alors que ie vous vois.
ANGELIQVE.	ANGELIQUE.
C’eſt dire en m’obligeant que vous eſtes Chreſtienne, Et que voſtre creance eſt contraire à la mienne;	C'est dire en m'obligeant que vous êtes Chrétienne, Et que votre créance est contraire à la mienne;
Sur tout, ſi vous croyez (ce que ie ne croy pas) Qu'on void briller en moy de celeſtes appas, N'ayant de mes defauts que trop de connoiſſance Pour eſloigner de moy cette fauſſe creance:	Sur tout, si vous croyez (ce que je ne crois pas) Qu'on voit briller en moi de célestes appas, N'ayant de mes défauts que trop de connaissance Pour éloigner de moi cette fausse créance:
Mais briſons, s’il vous plaiſt, cét obligeant diſcours, De qui ma modeſtié apprehende le cours, Et me dites pluſtoſt quel deſtin vous ameine Aux bords de cette claire & coulante fontaine;	Mais brisons, s'il vous plaît, cet obligeant discours, De qui ma modestié appréhende le cours, Et me dites plutôt quel destin vous âme Aux bords de cette claire et coulante fontaine;
Apres, à la pareille, auant partir d’icy Vous ſçaureZ le ſujet qui m'y conduit außi.	Après, à la pareille, avant partir d'ici Vous saurez le sujet qui m'y conduit aussi.
ISABELLE.	ISABELLE.
Ie ne ſuis en ce lieu par autre deſtinée D Que celle que d’abord vous auez deuinée;	Je ne suis en ce lieu par autre destinée D Que celle que d'abord vous avez devinée;
I’y ſuis pour éuiter les ardeurs du Soleil, Pendant qu'vn Cheualier en vertu nompareil Cherche nos deux cheuaux auec beaucoup de peine Qui ſe ſont enfoncez dans la foreſt prochaine Pour fuiure one tumeni qui paiſſoit icy pres, Tandis que nous prenions le repos & le frais.	J'y suis pour éviter les ardeurs du Soleil, Pendant qu'un Chevalier en vertu nompareil Cherche nos deux chevaux était beaucoup de peine Qui se sont enfoncés dans la forêt prochaine Pour suivre one tumeni qui paissait ici pres, Tandis que nous prenions le repos et le frais.
ANGELIQVL.	ANGELIQUL.
C’eſt peut-eſtre Roland?	C'est peut-être Roland?
ISABELLE.	ISABELLE.
Ce n’eſt pas luy, Madame, Mais vn qui le cherit à l’eſgal de ſon ame, Puiſque ce Cheualier qui m'ayme pius que ſoy, Par ſa rare valeur iouït encor de moy;	Ce n'est pas homme, Madame, Mais un qui le chérit à l'égal de son âme, Puisque ce Chevalier qui m'aime pius que soi, Par sa rare valeur jouit encor de moi;
Le genereux Zerbin (c’eſt ainſi qu’on l’appelle) Doit au bras de Roland le ſalut d’Iſabelle.	Le généreux Zerbin (c'est ainsi qu'on l'appelle) Doit au bras de Roland le salut d'Isabelle.
ANGELIQVE.	ANGELIQUE.
Pour montrer que vos noms m’eſtoient deſia connus, Tuproien que te tieu d’où vous eſtes venus;	Pour montrer que vos noms m'étaient déjà connus, Tuproyen que te tieu d'où vous êtes venus;
Voſtre ſang eſt royal,	Votre sang est royal,
ISABELLE.	ISABELLE.
Nous auons cette gloire, Au moins iuſqu’à preſent on nous l’a fait accroire;	Nous avons cette gloire, Au moins jusqu'à présent on nous l'a fait accroire;
L'Eſcoſſe ou noſtre hymen me promet tant de bien, Obeït à ſon pere, & la Galice au mien.	L'Écosse ou notre hymen me promet tant de bien, Obéit à son père, et la Galice au mien.
Mais ſi vous ne trouueZ ma franchiſe importune, Paues-moyuon ſçauoir queute eſt coſtre fortune?	Mais si vous ne trouvez ma franchise importune, Paves-moiuon sçauoir queute est cotre fortune?
ANGELIQVE.	ANGELIQUE.
Moy qui crois que les Dieux ayment que les humains Eſtallent les bienfaits qu’ils ont eus de leurs mains, Et que le plus heureux ne l’eſt pas bien encore, Ny ſes plaiſirs parfaits alors qu'on les ignore.	Moi qui crois que les Dieux aiment que les humains Étalent les bienfaits qu'ils ont eus de leurs mains, Et que le plus heureux ne l'est pas bien encore, Ni ses plaisirs parfaits alors qu'on les ignore.
Ie vais vous raconter d’autant plus librement Ma fortune, ma gloire, & mon contentement.	Je vais vous raconter d'autant plus librement Ma fortune, ma gloire, et mon contentement.
Sçachez, donc, tres-aymable & diſcret te eſtrangere, Que ſous ces veſtemens de Nymphe & de Bergere Ie cueille en ce deſert des plaiſirs innocens, Qui ne ſont bien connus que des cœurs ioüiſſans;	Sachez, donc, très-aimable et discret te étrangère, Que sous ces vêtements de Nymphe et de Bergère Je cueille en ce désert des plaisirs innocents, Qui ne sont bien connus que des cœurs ioüissans;
Le vïſage que i'ayme a les beautez d’vn Ange, Et mon affection eſt d’autant plus eſtrange, Qu'eſtant fille de Roy, i’ay choiſi pour Amant Vn ſimple auanturier des troupes d’Agramant;	Le vaisage que j'aime a les beautés d'un Ange, Et mon affection est d'autant plus étrange, Qu'étant fille de Roi, j'ai choisi pour Amant Un simple aventurier des troupes d'Agramant;
Moy qui ſans me flater, ou ſans faire la vaine, Ay peu ſur quatre Roys regner en Souueraine:	Moi qui sans me flatter, ou sans faire la vaine, Ai peu sur quatre Rois régner en Souveraine:
Mais l’amour qui ſe rit de l’inegalité Des biens de la fortune, & de la qualité, Me fait touſiours paroiſtre en l’ardeur qui me brule Ce reſpect außi vain que foible & ridicule;	Mais l'amour qui se rit de l'ingalité Des biens de la fortune, et de la qualité, Me fait toujours paraître en l'ardeur qui me brule Ce respect aussi vain que faible et ridicule;
Ce qui me plaiſt m'egale, & l’objet duplaiſir Attire ſeulement mon amoureux deſir:	Ce qui me plaît m'égale, et l'objet duplaisir Attire seulement mon amoureux désir:
D iij	 Dijà
Enfinſuïuant l’eſprit du Dieu qui me commande, I’ayme pour eſtre heureuſe, & non pour eſtre grande.	Enfinsuïuant l'esprit du Dieu qui me commande, J'aime pour être heureuse, et non pour être grande.
Ie ſçay bien que mon nom, quãd vous l’aurez appris, Vous fera condamner le deſſein que i’ay pris;	Je sais bien que mon nom, quand vous l'aurez appris, Vous fera condamner le dessein que j'ai pris;
Et que tout l’Vniuers apprenant mon hiſtoire, Dira que mon amour a fait tort à ma gloire, Que ie ſuis vne ingrate, & ſans cœur & ſans foy, D’auoir fait vn Amant ſi peu digne de moy, Au meſpris des trauaux de tant de braues hommes, Les plus grands de la terre & du ſiecle où nous ſommes;	Et que tout l'Univers apprenant mon histoire, Dira que mon amour a fait tort à ma gloire, Que ie suis une ingrate, et sans cœur et sans foi, D'avoir fait Amant si peu digne de moi, Au pris des travaux de tant de braves hommes, Les plus grands de la terre et du siècle où nous sommes;
Chacun me blaſmera, mais dés qu’on aura veu La grace &' la beauté dont mon ange eſt pourueu Sur tant, quand pour ſa gloire on aura connoiſſance Du ſujet dont ma flame a tiré ſa naiſſance, Les plus rudes cenſeurs des amoureux appas, S’ils n’approuuent mon choix, ne le blaſmeront pas:	Chacun me blâmera, mais dès qu'on aura vu La grâce et la beauté dont mon ange est pourvu Sur tant, quand pour sa gloire on aura connaissance Du sujet dont ma flamme a tiré sa naissance, Les plus rudes censeurs des amoureux appas, S'ils n'approuvent mon choix, ne le blâmeront pas:
Mais le voicy qui vient en diligence extrême.	Mais le voici qui vient en diligence extrême.
ISABELLE.	ISABELLE.
Ei, coſtre ener Amants	Éi, cotre en Amants
ANGELIQVE.	ANGELIQUE.
Ouy, Madame, luy-meſme, Qui vous fera mieux voir, eſtani pius pres d'Icy, Le ſujet de ma faute, & ſon excuſe außi.	Oui, Madame, lui-même, Qui vous fera mieux voir, étani pius pres d'Ici, Le sujet de ma faute, et son excuse aussi.
MEDOR reuenu.	MÉDOR revenu.
D'où vient cette inconnuë es charmante merueille?	D'où vient cette inconnue es charmante merveille?
M---	M-ce
ANGELIQVE.	ANGELIQUE.
Enfin ne dites plus que ie ſuis ſans pareille, Vous voyez maintenant vn ſoleil de beauté, Aupres de qui la mienne eſt vn feu ſans clarté.	Enfin ne dites plus que Dieu suis sans pareille, Vous voyez maintenant un soleil de beauté, Auprès de qui la mienne est un feu sans clarté.
MEDOR.	MÉDOR.
nejt orap que Avluuume eje pur jauement belle, Mais i’ay des yeux pour vous, que ie n’ay pas pour elle:	néjt orap que Avlume éje pur jauement belle, Mais j'ai des yeux pour vous, que ie ay pas pour elle.
ANGELIQVE.	ANGELIQUE.
Il faut donc les punir, ou les traitter du moins De iuges corrompus & de mauuais teſmoins, Condamnant auec eux l’amour qui les pratique, Pour rendre en ma faueur ce iugement inique.	Il faut donc les punir, ou les traiter du moins De juges corrompus et de mauvais témoins, Condamnant app eux l'amour qui les pratique, Pour rendre en ma faveur ce jugement inique.
TSADELLE.	TSADELLE.
Ie declare pour moy qu’il s’en eſt acquitté A la rigueur des loix que preſcrit l’equité, Et que mon propre adueu confirme ſa ſentence.	Je déclare pour moi qu'il s'en est acquitté A la rigueur des lois que prescrit l'équité, Et que mon propre aveu confirme sa sentence.
ANGELIQVE.	ANGELIQUE.
I'ordonne toutesfois que pour ſa penitence De l’auoir prononcée vn peu trop librement, Il conte ſa fortune en trois mots ſeulement, Et que pour ma deſcharge il vous faſſe conneſtre Noſtre communbonheur, & ce qui l'a fait naiſtre.	J'ordonne toutefois que pour sa pénitence De l'avoir prononcée un peu trop librement, Il conte sa fortune en trois mots seulement, Et que pour ma décharge il vous fasse connestre Notre communbonheur, et ce qui l'a fait naître.
ISABELLE.	ISABELLE.
I'apprendray volontiers de ſi belles amours	J'apprendrai volontiers de si belles amours
MEDOR.	MÉDOR.
Et moy la honte au front ie commence vn diſcours Où neceſſairement il faut que ie me louë Par vne vanité que mon cœur deſaduouë;	Et moi la honte au front ici commence un discours Où nécessairement il faut que personne me loue Par une vanité que mon cœur désavoue;
Entre mille Heros que la mort moiſſonna En ce dernier combat que Charles nous donna, Le vaillant Dardinelà ſa vingtieſme année En digne fils d’Almont finit ſa deſtinée, Ie ne vous diray pas les merueilles qu’il fit, Le nombre ny le nom de ceux qu’il deſconfit;	Entre mille Héros que la mort moissonna En ce dernier combat que Charles nous donna, Le vaillant Dardinelà sa vingtième année En digne fils d'Almont finit sa destinée, Je ne vous dirai pas les merveilles qu'il fit, Le nombre ici le nom de ceux qu'il déconfit;
C’eſt aſſez, ſi ie dis qu'il ne perdit la vie Qu'apres l’auoir luy-meſme à cent autres rauie, Le ſoin de retirer le corps deſanimé D'vn maiſtre que i’aymois, & dont ie fus aymé, Fit que ſans vanité i'entrepris vn ouurage Qui pouuoit eſtonner le plus hardy courage;	C'est assez, si ici dis qu'il ne perdit la vie Qu'après l'avoir avoir-même à cent autres ravie, Le soin de retirer le corps désanimé D'être maître que j'aimais, et dont tu fus aimé, Fit que sans vanité j'entrepris un ouvrage Qui pouvait étonner le plus hardi courage;
Aßiſté d’vn fidelle & genereux amy, I'entre ſans eſtre veu dans le camp endormy, Où prés des feux eſteints repoſoit ſur la terre Le Chreſtien haraßé des trauaux de la guerre;	Assisté d'un fidèle et généreux ami, J'entre sans être vu dans le camp endormi, Où près des feux éteints reposait sur la terre Le Chrétien harassé des travaux de la guerre;
La plus de cent eſprits pouſſez dans les Enfers, Sont aux manes du Prince en ſacrifice offerts;	La plus de cent esprits poussés dans les Enfers, Sont aux mânes du Prince en sacrifice offerts;
Cela fait, nous paſſons dans la plaine effroyable, Où nous cherchons long-temps cétobjet pitoyable	Cela fait, nous passons dans la plaine effroyable, Où nous cherchons longtemps cétobjet pitoyable
Entre mille monceaux de morts & de bleſſez Parmy des flots de ſang peſle-meſle entaſſez, Outre l’empeſchement du deſordre & du nombre, Vn nuage oppoſé qui rendoit la nuict ſombre, Eut rendu iuſqu'au iour inutiles & vains Le trauail de nos yeux, & celuy de nos mains Nous eſtions hors d’eſpoir de iamais reconeſtre Le corps froid & ſanglant de noſtre ieune maiſtre, Quand nous l’aperceuons à la prompte clarté.	Entre mille monceaux de morts et de blessés Parmi des flots de sang pèle-mêle entassés, Outre l'empêchement du désordre et du nombre, Un nuage opposé qui rendait la nuit sombre, Eut rendu jusqu'au jour inutiles et vains Le travail de nos yeux, et celui de nos mains Nous étions hors d'espoir de jamais reconêtre Le corps froid et sanglant de notre jeune maître, Quand nous l'aperçuons à la prompte clarté.
Qui deſcendit ſur luy du nuage eſcarté:	Qui descendit sur leurs du nuage écarté:
Car ſoit miracte pur, ou ſoit pure fortune, Le Ciel heureuſement nous deſcouurit la Lune.	Car soit miracte pur, ou soit pure fortune, Le Ciel heureusement nous découvrit la Lune.
Apres auoir ſur luy faït parler nos douleurs, Et laué ſon viſage & les noſtres de pleurs, Nous partageons le poids de cette charge aymée, Afin de l’emporter où campoit noſtre armée:	Après avoir sur autre faït parler nos douleurs, Et lavé son visage et les nôtres de pleurs, Nous partageons le poids de cette charge aimée, Afin de l'emporter où campait notre armée:
Mais comme nous marchons ſans repos & ſans bruit, (O Dieux!	Mais comme nous marchons sans repos et sans bruit, (O Dieux!
