A PHILISTE	À PHILISTE
bref il ſembloit que ie voulois perdre à toutes les heures du iour ce que ie ne ſçaurois perdre qu'vne ſeule fois, & ie faiſois auſſi peu d’eſtat de ma vie que ſi elle euſtieſté à vn autre.	bref il semblait que ainsi voulais perdre à toutes les heures du jour ce que personne ne saurais perdre qu'une seule fois, et et faisois aussi peu d'état de ma vie que si elle eustiesté à un autre.
Et certes quand ie conſidere que la guerre s’eſt contentee d’vne partie de mon viſage, ie crois auoir eſté fauorablement traicté, & auoir gaigné tout ce qui m’eſt demeuré de reſte:	Et certes quand grande considère que la guerre s'est contente d'une partie de mon visage, je crois avoir été favorablement traité, et avoir gagné tout ce qui m'est demeuré de reste:
& veritablement à voir comme ie me portois franchement dans les occaſions, & ſans meſme perdre le loiſir d’endoſſer ma cuiraſſe, on euſt facllement creu que i’auois intelligence auec nos ennemis, ou que i’allois ſeulement combattre contre leurs femmes.	et véritablement à voir comme on me portais franchement dans les occasions, et sans même perdre le loisir d'endosser ma cuirasse, on eût facllement cru que j'avais intelligence auec nos ennemis, ou que j'allais seulement combattre contre leurs femmes.
Mais maintenant queie reçois à toutes heures des plaiſirs tres-parfaits & tres-innocens en la douce conuerſation de ma Maiſtreſſe & que ie reconnois ſainement qu’en la perte de ma vie vne grande partie de la vertu de noſtre ſiecle feroit naufrage, ie crorois eſtre traiſtre au puplic, & ennemy de 4 – moy-meſme, ſi ie quittois tout cela de bon cœur, & ſi i’en priuois tout le monde pour vn peu de bruict de vaine gloire.	Mais maintenant queie reçois à toutes heures des plaisirs très-parfaits et très-innocens en la douce conversation de ma Maîtresse et que je reconnais sainement qu'en la perte de ma vie une grande partie de la vertu de notre siècle ferait naufrage, tu crorais être traître au puplic, et ennemi de 4 e mme, si ici quittais tout cela de bon cœur, et si j'en privais tout le monde pour un peu de bruit de vaine gloire.
De ſorte que ceſte paſſion que i’auois autrefois ſi ardãte pour la guerre & pour les combats, m’eſt bien paſſee, & ie ſens à preſent en mon eſprit & en mon courage vne auſſi grande paix qu’en cette partie de l’air qui eſt au deſſus des vents & de l’orage:	De sorte que cette passion que j'avais autrefois si ardsante pour la guerre et pour les combats, m'est bien passée, et et ainsi à présent en mon esprit et en mon courage une aussi grande paix qu'en cette partie de l'air qui est au dessus des vents et de l'orage:
& ie ne veux plus deſormais agir puiſſamment ny faire des coups d’Eſtat qu’auec ma Maiſtreſſe:	et petit ne veux plus désormais agir puissamment ni faire des coups d'État qu'avec ma Maîtresse:
auſſi m’a-elle commandé de luy rendre compte iuſqu’à vne goutte de mon ſang, & de n’aller plus à la guerre que quand l’on chargera les mouſquets de poudre de chi	aussi m'a-elle commandé de Seigneur rendre compte jusqu'à une goutte de mon sang, et de n'aller plus à la guerre que quand l'on chargera les mousquets de poudre de chi
ALCANDRE.	ÀLCANDRE.
C’eſt donc tout de bon, à ce que ie voy, que vous voulez laiſſer la guerre aux Turcs & aux Roy de Perſe, & changer cette profeſſion, & le temps mal heureux auquel les peres ſuccedent à leurs enfans pour cette douce paix qui cultiue les deſerts, & qui rend meſmes les pierres fertilles, & que d’inuincible que vous eſtiez n’agueres, & Roy de vous meſme, vous voulez maintenant vous ſouſmettre au pouuoir d’vne autre perſonne.	C'est donc tout de bon, à ce que je vois, que vous voulez laisser la guerre aux Turcs et aux Roi de Perse, et changer cette profession, et le temps mal heureux auquel les pères succèdent à leurs enfants pour cette douce paix qui cultiue les déserts, et qui rend mêmes les pierres fertilles, et que d'invincible que vous étiez naguères, et Et de vous -même, vous voulez maintenant vous sousmettre au pouvoir d'une autre personne.
Mais comment ce pourra cela faire qu’vn homme à qui dernierement ſes jartieres & ſes aiguillettes peſoient, & qui a bien de la peine à obeyr aux commandemens de Dieu & aux Edicts du Roy, ſe puiſſe maintenant obliger à de nouuelles loix, & ſe faire vne troiſieſme ſeruitude.	Mais comment ce pourra cela faire qu'un homme à qui dernièrement ses jarretières et ses aiguillettes pesaient, et qui a bien de la peine à obéir aux commandements de Dieu et aux Édits du Roi, se puisse maintenant obliger à de nouvelles lois, et se faire une troisième servitude.
LE PALADIN.	LE PALADIN.
Croirois tu que ie fuſſe aſſez fort pour reſiſter aux charmes de cette beauté & à ces baiſers chauds & humides, capables d’effacer de l’eſprit d’vn Prince d’Italie la memoire d’vne iniure receuë, & au plus fort du combat de faire tomber les armes des mains de Monſieur du Mayne.	Croirais tu que je fusse assez fort pour résister aux charmes de cette beauté et à ces baisers chauds et humides, capables d'effacer de l'esprit d'un Prince d'Italie la mémoire d'une injure reçue, et au plus fort du combat de faire tomber les armes des mains de Monsieur du Maine.
Au reſte tu vois bien que nous ſommes en vne ſaiſon où tout fait l’amour, ſans excepter les lyons, les tygres, & les Philoſophes, & les Sages meimnes aymeroient s’ils auoient veu Clorinde.	Au reste tu vois bien que nous sommes en une saison où tout fait l'amour, sans excepter les lions, les tigres, et les Philosophes, et les Sages meimnes aimeraient s'ils avaient vu Clorinde.
111	111
ALCANDRE.	ÀLCANDRE.
Il eſt vray que Dieu a fait les ſots & les Philoſophes, d’vne meſme matie	Il est vrai que Dieu a fait les sots et les Philosophes, d'une même matie
re.	re.
LE PALADIN.	LE PALADIN.
Que veux tu inferer par là?	Que veux tu inférer par là?
ALCANDRE.	ÀLCANDRE.
Que les Philoſophes, pour ne leur eſtre pas tout à fait ſemblables, ne doiuent point auoir de paſſions comme eux, ou pour le moins ils les doiuent gouuerner comme des beſtes apriuoiſees.	Que les Philosophes, pour ne leur être pas tout à fait semblables, ne doivent point avoir de passions comme eux, ou pour le moins ils les doivent gouverner comme des bêtes apprivoise.
6	6
LE PALADIN.	LE PALADIN.
Ouy:	Oui:
Mais à ton compte qui voudroit oſter toutes les paſſions & les ſentimens qui nous ſont naturels, penſant faire vn Sage-il ne ſeroit que ſa ſtatuë.	Mais à ton compte qui voudrait ôter toutes les passions et les sentiments qui nous sont naturels, pensant faire un Sage-il ne serait que sa statue.
5	5
ALCANDRE.	ÀLCANDRE.
Ie voy bien que que le ſort en eſt iet.	Je vois bien que que le sort en est jet.
té paſſons outre, N’y a-til par moyen que ie ſçache le nom & l’extraction de cette belle, à la gloire de laquelle il ne manquoit rien plus que d’auoir yn ſeruiteur pareil à vous?	té passons outre, N'y a-til par moyen que deux sache le nom et l'extraction de cette belle, à la gloire de laquelle il ne manquait rien plus que d'avoir in serviteur pareil à vous?
LE PALADIN.	LE PALADIN.
quoy, tu ne cognoiſtrois pas encores cette Clorinde, dont le merite eſt autant releué par deſſus le reſte des autres filles, que le Soleil & les Aſtres, le ſont au deſſus de nous, veritablement ce ſeroit n’eſtre pas plus de ce monde que ceux qui viuoient parauant le feu Roy, ou ceux qui viendront apres celuy-cy.	quoi, tu ne connaîtrais pas encore cette Clorinde, dont le mérite est autant relevé par -dessus le reste des autres filles, que le Soleil et les Astres, le sont au dessus de nous, véritablement ce serait n'être pas plus de ce monde que ceux qui vivaient paravant le feu Roi, ou ceux qui viendront après celui-cy.
ALCANDRE.	ÀLCANDRE.
lluininol.	lluininol.
Baſte que ie ſois de ce ſiecle ou de l’autre:	Bâte que je sois de ce siècle ou de l'autre:
mais tant y a que ie n’ay pas l’honneur de la cognoiſtre, quoy que ie ſois ſi curieux pour les belles que ſi i’en ſçauois vne parfaitte à cent lieuës d’icy, i’y ferois vn pelerinage expres pour la voir, joint que les filles de ce pays n’ont plus de beauté que ce qu’il en faut pour n’eſtre pas laides, & toutesfois elles ſont d’ordinaire ſiſçauantes qu’elles n’apprennent rien de nouueau la nuict de leurs nopçes;	mais tant y a que cela n'ai pas l'honneur de la connaître, quoi que ie sois si curieux pour les belles que si j'en savais une parfaite à cent lieues d'ici, j'y ferais un pèlerinage exprès pour la voir, joint que les filles de ce pays n'ont plus de beauté que ce qu'il en faut pour n'être pas laides, et toutefois elles sont d'ordinaire sisçauantes qu'elles n'apprennent rien de nouveau la nuit de leurs nopçes;
& de deux deux cens qui ſe diſent vierges, ie ne penſe pas qu’il y en ait vne qui die la verité, ſi elle n’a recouuert ſon pucelage.	et et de deux cens qui se disent vierges, je ne pense pas qu'il y en ait une qui die la vérité, si elle n'a recouvert son pucelage.
En ſomme que par tout elles font des ma heirs, auſſi bien que la guerredafeure ee la pauuretes	En somme que par tout elles font des ma héirs, aussi bien que la guerredafeure ce la pauvretés
LE PALADIN.	LE PALADIN.
Il eſt vray ce que tu dis cher Alcandre, mais il n’eſt pas ainſi de ma maiſtreſſe, il faut donc que tu ſçaches que cette Clorinde naquit des vertus & uon pas des pechez de ſa mere elle he fiſt pas comme celles que tu veux dire, qui à la premiere fois qu’elles ſortent de la maiſon, trouuent à dire en reuenant leur gans & leur pucelage, ie puis iurer qu’elle vit auſſi purement que ſi elle n’auoit point de corps, & que de ſa vie elle n’entra aux lieux qui ne ſe peuuent point nommer honneſtement:	Il est vrai ce que tu dis cher Alcandre, mais il n'est pas ainsi de ma maîtresse, il faut donc que tu saches que cette Clorinde naquit des vertus et ouvon pas des péchés de sa mère elle hé fît pas comme celles que tu veux dire, qui à la première fois qu'elles sortent de la maison, trouvent à dire en revenant leur gans et leur pucelage, je puis jurer qu'elle vit aussi purement que si elle n'avait point de corps, et que de sa vie elle n'entra aux lieux qui ne se peuvent point nommer honnêtement:
qu’au contraire ſa conuerſation eſt ſi chaſte & ſi honneſte qu’il ſeroit plus ayſé de s’enyuret dans vne fontaine que de prendre des plaiſirs illicites dans ſa maiſon où pour eſtre bien receu il faut ſe purifier à la porte:	qu'au contraire sa conversation est si chaste et si honnête qu'il serait plus aisé de s'enivret dans une fontaine que de prendre des plaisirs illicites dans sa maison où pour être bien reçu il faut se purifier à la porte:
Toutes fois il eſt permis d’y auoir de douces tentations & ſortant hors de là d’aller chercher ailleurs de plus ſolides contentemens, il faut aduoüer que la premiere fois que ie vis tant de beauté de corps & d’eſprit tout enſemble, ie ne la pris ny pour vn homme ny pour vne femme, imagine toy donc vne fille, pour qui les peintres viennẽt de quatre iournees eſtudier en ſa chambre les traicts de ſon viſage.	Toute fois il est permis d'y avoir de douces tentations et sortant hors de là d'aller chercher ailleurs de plus solides contentements, il faut avouer que la première fois que sans vis tant de beauté de corps et d'esprit tout ensemble, ieans la pris ni pour un homme ni pour une femme, imagine toi donc une fille, pour qui les peintres viennent de quatre journées étudier en sa chambre les traits de son visage.
Auſſi ce dieu qui fait les Mores, & qui bruſle continuellement la Libie, n’a pas le pouuoir de noircir la neige de ſon teint, puiſque d’ordinaire elle marche à couuert entre le Ciel & la terre, & ne trauerſeroit pas vne ruë ſans monter en caroſſe & pour entretenir la delicateſſe de ce teinct, & cet en bon point ſi recommandable, elle ne vit que d’oiſeaux engraiſſez de ſuccre, & de viande qu’on appelle gelee:	Aussi ce dieu qui fait les Mores, et qui brûle continuellement la Libie, n'a pas le pouvoir de noircir la neige de son teint, puisque d'ordinaire elle marche à couvert entre le Ciel et la terre, et ne traverserait pas une rue sans monter en carrosse et pour entretenir la délicatesse de ce teinct, et cet en bon point si recommandable, elle ne vit que d'oiseaux engraissez de sucre, et de viande qu'on appelle gelée:
n’a garde de reſſembler à ces premiers Conſuls de Rome, dont les paroles ſentoieni les aulx & la chair creuë, encores moins de cheminer des mains comme ils faiſoient, qu’au contraire elle a les pieds ſi mignons & ſi delicats qu’il ſemble qu’ellę aye porté continuellement des gands d’Eſpagne au lieu de ſoulliers de maroquin & qu’elle n’aye iamais maene que fur les tumppes ce lur les anemônes.	n'a garde de ressembler à ces premiers Consuls de Rome, dont les paroles sentoyeni les aulx et la chair crue, encore moins de cheminer des mains comme ils faisaient, qu'au contraire elle a les pieds si mignons et si délicats qu'il semble qu'ellę aie porté continuellement des gands d'Espagne au lieu de soulliers de maroquin et qu'elle n'aie jamais maene que fur les tupes ce lur les anemnes.
ALCAMDRE.	ÀLCAMDRE.
Si Monſieur ſon pere nourrit tou.	Si Monsieur son père nourrit tou.
tes ſes filles à ce prix là, i’l ny en a point en ſa maiſon qu’il ne luy couitait dauantage dentretem que ne fait l’Elephant à ſon maiſtre.	tes ses filles à ce prix là, j'larmes en a point en sa maison qu'il neeste couitait davantage dentrem que ne fait l'Élephant à son maître.
LE PALADIN.	LE PALADIN.
Ce n’eſt pas tout, elle a les cheueux ſi beaux que ſi elle eſtoit tombẽe dans la riuiere, ie ferois conſcience de la ſauuer par cet endroict crainte de les luy arracher.	Ce n'est pas tout, elle a les cheveux si beaux que si elle était tombe dans la rivière, tu ferais conscience de la sauver par cet endrait crainte de les lui arracher.
Au temps des plus grandes chaleurs elle porte vn eluentail capable de laſſer les mains de quatre valets:	Au temps des plus grandes chaleurs elle porte un éluentail capable de lasser les mains de quatre valets:
& quand elle s’en veut ſeruir elle en excite vn vent qui feroit faire des naufrages en pleine mer:	et quand elle s'en veut servir elle en excite un vent qui ferait faire des naufrages en pleine mer:
elle a des accouſtremens de couleur de feu & de roſes, & chauge tous les iours de chemiſes qui ne ſont pas noires, Au reſte, elle ſe fait ſuiure par des lacquais qui ont le viſage tout au contraire des Mores, & entre autres, elle a vn Nain qui eſt ſi petit que ie pourrois iurer en conſcience, que depuis qu’il eſt au monde il n’a creu que par le hout des cheueux.	elle a des accouttrements de couleur de feu et de roses, et chauge tous les jours de chemises qui ne sont pas noires, Au reste, elle se fait suivre par des laçais qui ont le visage tout au contraire des Mores, et entre autres, elle a un Nain qui est si petit que tu pourrais jurer en conscience, que depuis qu'il est au monde il n'a cru que par le hout des cheveux.
Mais ie te veux bien aduertir d’vne choſe, c’eſt, que quand tu verras ma Maiſtreſſe, & que tu la compareras auec la mauuaiſe mine de ſon pere, ie ne doute pas qu’il ne te ſomble auſſi bien qu’à moy, que cette diuine fille s’eſt faite toute ſeule:	Mais ie te veux bien avertir d'une chose, c'est, que quand tu verras ma Maîtresse, et que tu la compareras ion la mauvaise mine de son père, ie ne doute pas qu'il ne te somble aussi bien qu'à moi, que cette divine fille s'est faite toute seule:
bref, c’eſt auiourd’huy l’vnique ſouhait de tout le monde, & perſonne ne demande plus rien à Dieu que Clorinde.	bref, c'est aujourd'hui l'unique souhait de tout le monde, et personne ne demande plus rien à Dieu que Clorinde.
Conſidere donc apres tout cela, ſi ie n’ay pas toutes les raiſons du monde de faire eſtat d’vne perſonne de cette	Considère donc après tout cela, si je n'ai pas toutes les raisons du monde de faire état d'une personne de cette
ALCANDRE.	ÀLCANDRE.
Ie veux croire qu’elle eſt belle, puis que tu le dis;	Je veux croire qu'elle est belle, puis que tu le dis;
mais attends vn peu elle ne le ſera plus, le temps qui ruine les Empires & met des bornes à toutes choſes, la traitera comme le reſte de ces beaux ouurages:	mais attends un peu elle ne le sera plus, le temps qui ruine les Empires et met des bornes à toutes choses, la traitera comme le reste de ces beaux ouvrages:
il viendra vne ſaiſon où tu auras plus d’horreur de ſon viſage que les coulpables n’en ont de leurs Iuges:	il viendra une saison où tu auras plus d'horreur de son visage que les coulpables n'en ont de leurs Juges:
ſon front s’eſtendra iuſques au haut de ſa teſte, les ioües luy tomberont ſous le menton, & ſes yeux de ce temps-là ſeront de la couleur de ſes leures d’a cette heure.	son front s'étendra jusques au haut de sa tête, les joues beau tomberont sous le menton, et ses yeux de ce temps-là seront de la couleur de ses lèvres d'a cette heure.
Ie voudrois bien pour l’amour de vous ne parler pas ſi veritablement, neant moins puis que iuſques icy i’ay quitté la complaiſance, il faut que i’acheue de vous porter cette mauuaiſe nouuelle.	Je voudrais bien pour l'amour de vous ne parler pas si véritablement, néant moins puis que jusques ici j'ai quitté la complaisance, il faut que j'achève de vous porter cette mauvaise nouvelle.
LE PALADIN.	LE PALADIN.
Quand tout ce que tu dis arriueroit, au moins me reſtera-t’il ceſte conſolation, que cette beauté qui donne de l’amour aux Capucins & aux Philoſophes (i’entens celle de l’eſprit) ne s’en ira point auec ſa ieuneſſe.	Quand tout ce que tu dis arriverait, au moins me restera-t-il cette consolation, que cette beauté qui donne de l'amour aux Capucins et aux Philosophes (j'entends celle de l'esprit) ne s'en ira point avec sa jeunesse.
ALCANDRE.	ÀLCANDRE.
Ouy:	Oui:
Mais peut eſtre qu’auec tous ces beaux traicts de viſage, au partir de là ce n’eſt qu’vn grand palais des.	Mais peut -être qu'avec tous ces beaux traits de visage, au partir de là ce n'est qu'un grand palais des.
habité, ou quelque beſte agreable à qui il ne manque que la parole.	habité, ou quelque bête agréable à qui il ne manque que la parole.
LE PALADIN.	LE PALADIN.
Alcandre, ie t’aprens de bonne heure qu’en cette meſme perſonne tu trouueras ton maiſtre & ta maiſtreſſe:	Alcandre, Madame t'apprends de bonne heure qu'en cette même personne tu trouveras ton maître et ta maîtresse:
elle parle comme euſſent faict les Veſtales ſi elles fuſſent nees en France, & ſes paroles ne reſſemblent pas ſeulement au mer dont les plus iimples Bergers ſe repaiſſent, voire meſme elles paſſent en bonté & en douceur l’Ambre & le ſucre, qui ſont auiourd’huy les delices de nos Princes.	elle parle comme eussent fait les Vestales si elles fussent ne de France, et ses paroles ne ressemblent pas seulement au mer dont les plus jimples Bergers se repaissent, voire même elles passent en bonté et en douceur l'Ambre et le sucre, qui sont aujourd'hui les délices de nos Princes.
Mais n’eſt-ce pas elle meſme que ie voy;	Mais n'est-ce pas elle pas que ie cy,
Dieux comme elle me prend au deſpourueu.	Dieux comme elle me prend au dépourvu.
Ie n’auois pas encores eſtudié la harangue que ie luy voulois faire, & ces choſes pourtant ne ſe doiuent pas faire à la haſte.	Je n'avais pas encore étudié la harangue que ie lui voulais faire, et ces choses pourtant ne se doivent pas faire à la hâte.
Deuant des perſonnes de cetre ſorte, on ne doit rien laiſſer partir de ſon eſprit & de ſa bouche, qu’apres s’eſtre long-temps conſulté ſoy-meſme, ne plus ne moins qu’il falloit eſtre commis vn an deuant que d’auoir entree aux feſtins des Sibariſtes.	Devant des personnes de cetre sorte, on ne doit rien laisser partir de son esprit et de sa bouche, qu'après s'être longtemps consulté soi-même, ne plus ne moins qu'il fallait avoir commis un an devant que d'avoir entrée aux festins des Sibaristes.
Si faut-il pourtant l’aborder quoy qu’il en arriue, & i’eſpere que ie diray quelque choſe de grand ſi le courage ne me manque du coſté d’où il me doit venir.	Si faut-il pourtant l'aborder quoi qu'il en arrive, et j'espère que ie dirai quelque chose de grand si le courage ne me manque du côté d'où il me doit venir.
ABAME, Quand ie ne ſerois Nl pas né comme ie fuis voſtre tres-humble ſeruiteur, ie croirois cõmettre vne grande offence contre le Ciel de ne me vouloir pas ſouſmettre à vne perſonne comme vous qui luy eſt ſi chere:	ÀBAME, Quand ie ne serais Nl pas né comme ici fuis eze zé-humble serviteur, toujours croirais cõmettre quelque grande offense contre le Ciel de ne me vouloir pas sousmettre à une personne comme vous qui lui est si chère:
l’authorité des Roys n’a garde d’eſtre ſi ſouueraine comme celle que vous exercez ſur les cœurs;	l'autorité des Rois n'a garde d'être si souveraine comme celle que vous exercez sur les cœurs;
& quoy qu’il y aye peu de maiſtres au monde qu’il faille preferer à la liberté, ſi faudroit-il pourtant eſtre aueugle pour vous eſtre rebelle, voſtre ſeule beauté merite d’eſtre ſuiuie de quãtité de ſeruiteurs, & de faire la foule par tout où elle paſſe.	et quoi qu’il y aie peu de maîtres au monde qu'il faille préférer à la liberté, si faudrait-il pourtant être aveugle pour vous être rebelle, votre seule beauté mérite d'être suivie de quãtité de serviteurs, et de faire la foule par tout où elle passe.
Pour moy dés l’heure que ie vous eu veuë, vous gaignaſtes ſi abſolument mon eſprit & mon affection que depuis ce temps ie vous regarday touſiours comme vne perſonne extraordinaire;	Pour moi dès l'heure que je vous eu veuë, vous gagnâtes si absolument mon esprit et mon affection que depuis ce temps ie vous regardai toujours comme une personne extraordinaire;
dés l’heure vous me fiſtes haïr le ſetour de Rome, de Paris, & de toutes les meilleures villes où vous ne habitez, voire meſme i’appellay le Duc de Veniſe malheureux de ce qu’il eſt condamné à ne ſortir iamais du lieu où il eſt, & par conſequent à ne voir iamais ce que ie voyois:	dés l'heure vous me fîtes haïr le setour de Rome, de Paris, et de toutes les meilleures villes où vous ne habitez, voire même j'appelai le Duc de Venise malheureux de ce qu'il est condamné à ne sortir jamais du lieu où il est, et par conséquent à ne voir jamais ce que je voyais:
& ſans mentir pour en refaire vne pareille à vous, il ſeroit beſoin que toute la nature trauaillat, & que Dieu l’apprit aux hommes longtemps auant que la faire naiſtre:	et sans mentir pour en refaire une pareille à vous, il serait besoin que toute la nature travaillât, et que Dieu l'apprit aux hommes longtemps avant que la faire naître:
car apres auoir attentiuement conſideré les mouuemẽs des Aſtres qui ſont ſi iuſtes, l’ordre des ſaiſons qui eſt ſi reglé, les beautez de la nature qui ſont ſi diuerſes, ie trouue à la fin qu’il n’y a choſe au monde où Dieu ſe monſtre ſi admirable qu’en la condurte de voſtre vie & de vos actions;	car après avoir attentivement considéré les mouvements des Astres qui sont si justes, l'ordre des saisons qui est si réglé, les beautés de la nature qui sont si diverses, venir trouve à la fin qu'il n'y a chose au monde où Dieu se montre si admirable qu'en la condurte de votre vie et de vos actions;
& il eſt certain qu’il ne fiſt iamais plus de miracles aux lieux qu’il a conſacrez luy-meſme à ſa gloire & à la pieté publique, & qu’il a particulierement choiſis pour y monſtrer ſa puiſſance, qu’il en fait en voſtre perſonne.	et il est certain qu'il ne fît jamais plus de miracles aux lieux qu'il a consacrez avoir-même à sa gloire et à la piété publique, et qu'il a particulièrement choisis pour y montrer sa puissance, qu'il en fait en votre personne.
Si vous deſiriez que la mer fuſt tranquille aux plus mauuais iours de l’hyuer, & qu’il y euſt deux Autonnes ſur la terre, l’ordre de la nature ſe chãgeroit pour l’amour de vous;	Si vous désiriez que la mer fût tranquille aux plus mauvais jours de l'hiver, et qu'il y eût deux Autonnes sur la terre, l'ordre de la nature se changerait pour l'amour de vous;
& il n’y a rien que vous ne puiſſiez obtenir du Ciel, qui eſt preſt d’exauſer meſmes ſes prieres que vous ne luy auez pas faites.	et il n'y a rien que vous ne puissiez obtenir du Ciel, qui est prêt d'exauser mêmes ses prières que vous ne lui avez pas faites.
Dieu vueille que vous en faſſiez autant, belle Clorinde, de celles que ie vous faits, & de celles que ie ne vous ay pas encores faictes:	Dieu veuille que vous en fassiez autant, belle Clorinde, de celles que je vous faits, et de celles que personne ne vous ai pas encore faites:
& s’il eſt vray qu’il n’y ait point de difference entre les ſeruices que l’on vous rend & les bonnes œuures qui ſe font pour l’amour de Dieu, ne croyez pas, chere Maiſtreſſe, que ce ſoit ſeulement par forme de complimens, ou que ie parle le langage de la Cour, quand ie vous diray que ie veux eſtre voſtre ſeruiteur, & qu’à l’aduenir ie ne veux plus vous regarder que comme ma derniere & ſupreſme felicité.	et s'il est vrai qu'il n'y ait point de différence entre les services que l'on vous rend et les bonnes œuvres qui se font pour l'amour de Dieu, ne croyez pas, chère Maîtresse, que ce soit seulement par forme de compliments, ou que je parle le langage de la Cour, quand ie vous dirai que de veux être vôtre serviteur, et qu'à l'avenir Seigneur ne veux plus vous regarder que comme ma dernière et suprême félicité.
CLORINDE.	CLORINDE.
Monſieur, la bonne opinion que vous auez de moy fait plus de la moictié de mon merite, & vous reſſemblez aux Poëtes Epiques, qui ſur vn  peu de ve rité iettent les fondemens de tout ce qu’ils diſent d’incroyable:	Monsieur, la bonne opinion que vous avez de moi fait plus de la moictié de mon mérite, et vous ressemblez aux Poètes Épiques, qui sur un peu de ve rité jettent les fondements de tout ce qu'ils disent d'incroyable:
Au reſte ie ne ſçay ce que vous voulez dire de parler de moy comme de la faueur, ou de la predeſtination & d’eſtre ſi prodigue de vos complimens & de vos loüanges, qu’il y en auroit aſſez pour me faire prendre pour vn autre que ie ne ſuis, & m’oſter à iamais la parole, voire me faire fuyr iuſques aux Indes s’il m’y falloit reſpondre noſtre langue eſtant trop pauure pour me preſter dequoy vous payer:	Au reste ie ne sais ce que vous voulez dire de parler de moi comme de la faveur, ou de la prédestination et d'être si prodigue de vos compliments et de vos langes, qu'il y en aurait assez pour me faire prendre pour un autre que je ne suis, et m'ôter à jamais la parole, voire me faire fuir iusques aux Indes s'il m'y fallait répondre notre langue étant trop pauvre pour me prêter dequoy vous payer:
& i’ay grand peur que ie vous deuré toute ma vie le bien que vous me faites, & que ce ſera de mon cœur ſeulement que ie ſeray auſſi liberale que vous.	et j'ai grand peur que je vous devré toute ma vie le bien que vous me faites, et que ce sera de mon cœur seulement que tu serai aussi libérale que vous.
Mais vous eſtes ſi genereux que vous vous contentez ie m’aſſeure à ceſte recognoiſſance ſecrette, & aymerez en moy vne bonté toute nuë, qui me tiendra lieu de ſes autres vertus plus fines & plus ſubtilles que i’ay peu appren dre au pays où les chappeaux ne ſont pas faicts pour la teſte, & ou l’on deuient boſſu à force de faire des reuerences;	Mais vous êtes si généreux que vous vous contentez avoir m'assure à cette reconnaissance secrète, et aimerez en moi une bonté toute nue, qui me tiendra lieu de ses autres vertus plus fines et plus subtilles que j'ai pu appren dre au pays où les chapeaux ne sont pas faits pour la tête, et et l'on devient bossu à force de faire des révérences;
que ſçauriez-vous deſirer d’auantage d’vne fille de ma ſorte?	que Sauriez-vous désirer d'avantage d'une fille de ma sorte?
LE PALADIN.	LE PALADIN.
Pourueu que ie puiſſe apprendre de la bouche de ma Clorinde qu’elle m’aime, ou qu’elle ſouffre que ie la ſerue.	Pourvu que je puisse apprendre de la bouche de ma Clorinde qu'elle m'aime, ou qu'elle souffre que je la serve.
ie ne veux point d’autres felicitez ny vne ſeconde fortune.	Ne ne veux point d'autres félicités ni on seconde fortune.
Au reſte, ie ne crois pas que vous me ſceuſſiez refuſer de l’affection, puis que c’eſt aucunement la meriter que d’eſtre comme ie ſuis paſsionnement voſtre ſeruiteur.	Au reste, Seigneur ne crois pas que vous me sussiez refuser de l'affection, puis que c'est aucunement la mériter que d'être comme personne suis passionnément votre serviteur.
CLORINDE.	CLORINDE.
Monſieur, vous ſçauez tres bien trouuer l’endroict par ou ie confeſſe que ie ſuis foible & pour m’obliger à me rendre:	Monsieur, vous savez très bien trouver l'endroit par ou ie confesse que je suis faible et pour m'obliger à me rendre:
voſtre courage n’a rien laiſſé à dire à voſtre eloquence, puiſque vous employez de la ſorte toutes vos muſes à me demander mon amitié, & que vous dites l’auoir deſia payee de la voſtre, ie ne la puis retenir à ce compte que comme le bien d’autruy.	votre courage n'a rien laissé à dire à votre éloquence, puisque vous employez de la sorte toutes vos muses à me demander mon amitié, et que vous dites l'avoir déjà paye de la vôtre, je ne la puis retenir à ce compte que comme le bien d'autrui.
Mais apres tout cela que ſçay-ie ſi vous ne changerez pas d’humeur.	Mais après tout cela que sais-je si vous ne changerez pas d'humeur.
Les hommes auiourd’huy ſont ſi inconſtans que c’eſt merueille.	Les hommes aujourd'hui sont si inconstants que c'est merveille.
Au reſte, c’eſt vn poinct decidé en Theologie que cent faux ſerments d’vn amoureux ne font pas la moitié d’vn peché mortel, & que ce n’eſt que le Dieu des Poëtes qu’ils offencent par leur pariu re.	Au reste, c'est un point decidé en Thologie que cent faux serments d'un amoureux ne font pas la moitié d' peché mortel, et que ce n'est que le Dieu des Poètes qu'ils offensent par leur par jet.
ne ſorte que i’ay bien de la peine à m’y fier tout à fait.	ne sorte que j'ai bien de la peine à m'y fier tout à fait.
LE PALADIN.	LE PALADIN.
Madamoiſelle il faudroit que Dieu me fiſt vne nouuelle volonté, & qu’il changeaſt toutes mes inclinations pour m’empeſcher de vous aymer, & ie vous ſupplie de ne faire pas moins d’eſtat de la parole que ie vous donne coniine ces lettres patentes & des edicts, & croire que l’en iuis auſſi ialoux que ſçauroient eſtre les Princes de la Cour.	Madamaiselle il faudrait que Dieu me fît une nouvelle volonté, et qu'il changeast toutes mes inclinations pour m'empêcher de vous aimer, et Seigneur vous supplie de ne faire pas moins d'état de la parole que ie vous donne conjine ces lettres patentes et des édits, et croire que l'en juis aussi jaloux que sauraient été les Princes de la Cour.
CLORINDE.	CLORINDE.
