ALANCuENERe	ALANCuENERée
i’eſtois vn peu a part baiſſant la veuë de honte, & hauſſant les eſpaules en me mocquãt, & en ſouffrant beaucoup de leur honneſtetez fort à contre-temps.	j'étais un peu a part baissant la vue de honte, et haussant les épaules en me moquant, et en souffrant beaucoup de leur honnêteté fort contretemps.
à la fin voyant que cela tiroit de longue, & que les viandes ſe gaſtoient, ie fis ſigne à Clitiphon qu’il ſe laiſſaſt vaincre, il deffera cela à mon impatience, & paſſant le premier ne ſe peuſt empeſcher de dire encore, Monſieur, i’ayme mieux eſtre ſot qu’importun, puis qu’il vous plaiſt que ie faille, ie merite que vous me le pardonniez, ie paſſay auſſi à la faueur de ſes complimens, & d’abord que ie fus dans la chambre, ie quittay mon manteau, & me fis donner à lauer aupres du buffet pour euiter la ceremonie, & par la, les obliger à n’en point faire, ce qui me reüſſit, Clitiphon laua auec les femmes ceſte Maiſtreſſe luy donnoit touſiours dans la veüe, & comme nous fuſmes à table, il ne ſe pouuoit tenir de la regarder auec vne paſſiõ ſi apparente, qu’il eſtoit aiſe à tout le monde de s’en aperceuoir, & que la fille & luy en rougirent deux ou trois fois, pour moy ie ne m’amuſois qu’à manger de bon appetit, & diſois à noſtre Hoſte en paſſant quelque mot de ſa bõne chere:	à la fin voyant que cela tirait de longue, et que les viandes se gâtaient, Elle fis signe à Clitiphon qu'il se laissât vaincre, il défera cela à mon impatience, et passant le premier ne se pût empêcher de dire encore, Monsieur, j'aime mieux être sot qu'importun, puis qu'il vous plaît que ie faille, ie merite que vous me le pardonniez, Seigneur passai aussi à la faveur de ses compliments, et d'abord que tu fus dans la chambre, une quittay m manteau, et me fis donner a va auprès du buffet pour éviter tai mon, et ma la, les obliger nen point faire, ce au me reüssit, Et laua me les fîmes ceste Maistresse lui donnoit tousiours à la veüe, et comme au près table, il ne du bout tenir de la regarder auec se passiõ si apparente, il et aise a tout le monde de sen a, et que la fille et lui en rougirent deux ou trois fois, pour moi le ne amusois ô manger de bon à, et disois a nôtre J' en fait quelque mot de sa bõne chère,
car tout y eſtoit delicat, & fort bien appreſté.	car tout y était délicat, et fort bien apprêté.
Lors qu’en des repas on a la liberté de parler de la chere qu’on fait, on ſe traicte ce me ſemble auec plus de plaiſir, & les tables des grands Seigneurs ſont odieuſes, en ce qu’on paſſe preſque le repas ſans dire mot, leurs ordinaires qui pourroient paſſer pour feſtins, ſi on auoit la licẽce de les gouſter, ſont touſiours affamez pour moy à cauſe de la cerimonie:	Lors qu'en des repas on a la liberté de parler de la chère qu'on fait, on se traite ce me semble avec plus de plaisir, et les tables des grands Seigneurs sont odieuses, en ce qu'on passe presque le repas sans dire mot, leurs ordinaires qui pourraient passer pour festins, si on avait la licence de les goûter, sont toujours affamés pour moi à cause de la cerimonie:
car i’y trouue de ſi grãdes contraintes, & tant de degouſts, qu’au ſortir de la table, il me ſemble que ie viens de diſner dans ces Chaſteaux enchãtez, où les viandes n’eſtoient qu’illuſion, par où la foibleſſe de la veuë trompe les dents & l’eſtomach.	car j'y trouve de si grandes contraintes, et tant de goûts, qu'au sortir de la table, il me semble que sans viens de dîner dans ces Châteaux enchantés, où les viandes n'étaient qu'illusion, par où la faiblesse de la vue trompe les dents et l'estomac.
Autrefois la bonne chere a eſté le plaiſir des honneſtes gẽs, Homere introduit mangeurs & grands beuueurs, & la raiſon y eſt naturelle, Car vne compoſition robuſte comme elle diſſipe beaucoup d’eſprits, elle a beſoin de beaucoup d’alimens pour la reparer, pour moy ſi peu d’apetit que ma ſanté me donne, ie l’employe aſſez ſenſiblement, & ſuis bien aiſe qu’on ne me preſſe point au repas.	Autrefois la bonne chère a été le plaisir des honnêtes gendres, Homère introduit mangeurs et grands buveurs, et la raison y est naturelle, Carfin composition robuste comme elle dissipe beaucoup d'esprits, elle a besoin de beaucoup d'aliments pour la réparer, pour moi si peu d'apétit que ma santé me donne, votre l'emploie assez sensiblement, et suis bien aise qu'on ne me presse point au repas.
Ce Magiſtrat me fit ceſte complaiſance, car comme Clitiphon s’amuſe à reſuer ſur le viſage de ceſte nouuelle Maiſtreſ ſe, l’Hoſte & moy parmy les deuis & les ragouſts.	Ce Magistrat me fit cette complaisance, car comme Clitiphon s'amuse à rêver sur le visage de cette nouvelle Maîtres se, l'Hôte et moi parmi les devis et les ragoûts.
Nous fuſmes à table iuſqu’à trois heures apres midy.	Nous fûmes à table jusqu'à trois heures après midi.
De là, il nous falut retirer à noſtre logis, ce que nous fiſmes vn peu plutoſt ſans doubte que noſtre Amoureux n’euſt voulu.	De là, il nous fallut retirer à notre logis, ce que nous fîmes un peu plutôt sans doute que notre Amoureux n'eût voulu.
CHAPITRE VI.	CHAPITRE VI.
’Eſtois en vne grande impatience de ſçauoir à quoy en eſtoit la conference de nos beuueurs, & auſſi toſt que ie fus dans l’Hoſtelerie, i’entray dans la ſalle où nous auions deſ-jeuné, pour voir s’ils eſtoient encore à la deſbauche.	Çà Étais en une grande impatience de savoir à quoi en était la conférence de nos buveurs, et aussi tôt que deux fus dans l'Hôtelerie, j'entrai dans la salle où nous avions déjeuné, pour voir s'ils étaient encore à la débauche.
Mais ie les trouuay l’vn endormy le nez ſur ſon aſſiette, l’autre renuerſé ſur le banc, Sydias couché tout plat ſur les carreaux, la moitié des eſcuelles à terre, preſque vn muid de vin ou vomy ou renuerſé, vne muſique de ronflemens vne odeur de Tobac, des chandelles allumées comme deuant des morts, bref tout m’aparoiſſoit d’vn viſage ſi eſtranger, que ſi ie ne me fuſſe retiré de là, ie m’allois imaginer de n’eſtre plus en France, tant cela tenoit des cerameſſes du Pays-bas:	Mais ici les trouvai l'vn endormi le nez sur son assiette, l'autre renversé sur le banc, Sydias couché tout plat sur les carreaux, la moitié des écuelles à terre, presque un muid de vin ou vomi ou renversé, une musique de ronflements une odeur de Tobac, des chandelles allumées comme devant des morts, bref tout m'apparaissait d'un visage si étranger, que si ie ne me fusse retiré de là, une m'allais imaginer de n'être plus en France, tant de tenoit des ceresses du Pays-bas:
i’allois pour faire rire Clitiphon de ce ſpectacle, car d’abord que nous fuſmes de retour de chez le Magiſtrat, il s’eſtoit enfermé dans vne chambre, où ie vins à heurter aſſez fort, auant qu’il voulut reſpondre, à la fin me recognoiſſant à la voix il m’ouurit la porte, & plia, comme i’entrois, vn papier, qu’il mit à la deſrobée dans ſa pochette:	j'allais pour faire rire Clitiphon de ce spectacle, car d'abord que nous fûmes de retour de chez le Magistrat, il s'était enfermé dans une chambre, où ainsi vins à heurter assez fort, avant qu'il voulut répondre, à la fin me reconnaissant à la voix il m'ouvrit la porte, et plia, comme j'entrais, un papier, qu'il mit à la dérobée dans sa pochette:
mais non pas ſi finement que ie n’y prinſe garde, ſans luy faire pourtant cognoiſtre que ie l’auois aperçeu:	mais non pas si finement que ici n'y prinse garde, sans lui faire pourtant connaître que où l'avais aperçu:
car ie ſuis homme de peu de curioſité, & laiſſe touſiours mes amis dans leur ſecret, d’autant que ie ne crois pas qu’aucune amitié puiſſe iamais adiuſter vne confidence au point de n’auoir quelque choſe de reſerué, les gens de bien qui viennent à s’aymer parfaictement, ne ſe doiuent rien cacher de ce qui leur importe, & dont le ſecret peut donner de la ialouſie à ſon amy:	car tu suis homme de peu de curiosité, et laisse toujours mes amis dans leur secret, d'autant que sans ne crois pas qu'aucune amitié puisse jamais ajuster une confidence au point de n'avoir quelque chose de réservé, les gens de bien qui viennent à s'aimer parfaitement, ne se doivent rien cacher de ce qui leur importe, et dont le secret peut donner de la jalousie à son ami:
mais il ne laiſſe pas de ſe trouuer bien ſouuent des choſes particulieres, que le reſpect & la conſideration de l’amitié ne veut pas que l’on cõmunique, ie ne m’offenceray iamais que mon amy dãs ſes affaires domeſtiques, ne me faſſe point ſon confident, il peut ouurir & fermer toute ſorte de let70 tres deuant moy, ſans que ie l’eſpie ſeulement d’vn regard:	mais il ne laisse pas de se trouver bien souvent des choses particulières, que le respect et la considération de l'amitié ne veut pas que l'on communique, je ne m'offenserai jamais que mon ami dans ses affaires domestiques, ne me fasse point son confident, il peut ouvrir et fermer toute sorte de let70 très devant moi, sans que ie j'épie seulement d'un regard:
mais s’il auoit vn deſſein ou de mariage, ou de voyage, ſans me le faire ſçauoir, ie ne croirois plus eſtre en ſes bonnes graces, & luy rendrois la pareille de ſes deffiances.	mais s'il avait un dessein ou de mariage, ou de voyage, sans me le faire savoir, ieans croirais plus être en ses bonnes grâces, et lui rendrais la pareille de ses défiances.
L’affaire de Clitiphon n’eſtoit point de ceſt importance la, ie me doubtois bien à plus pres que ce pouuoit eſtre, voyant dans ſon viſage qu’il eſtoit en peine de ſa feinte, ſoit qu’il ſe ſentit rougir, ou qu’il euſt aperceu que ie l’auois deſcouuert, ſi bien qu’il ne me le fit pas long:	L'affaire de Clitiphon n'était point de cet importance la, toujours me doubtais bien à plus pres que ce pouvait être, voyant dans son visage qu'il était en peine de sa feinte, soit qu'il se sentit rougir, ou qu'il eût aperçu que sans l'avais découvert, si bien qu'il ne me le fit pas long:
car apres m’auoir dit la premiere fois qu’il eſtoit là à faire vn calcul de quelques petites deſpences pour venir à certains comptes qu’il alla controuuer, il vid que ie fis ſemblant de croire trop facilement pour en croire rien du tout, & me diſpoſant à luy donner le loiſirde faire ſes ſuputations, i’alois ſortir qu’il me pria d’arreſter pour me dire au vray ce qui l’amuſoit là, à condition que ie ne m’en mocquerois point, ce que luy ayant promis, il tire de ſa pochette quelques moitiez de vers & de proſes, d’où il vouloit r’aſſembler vn preſent pour ceſte Maiſtreſſe.	car après m'avoir dit la première fois qu'il était là à faire un calcul de quelques petites dépences pour venir à certains comptes qu'il alla controuver, il vit que sans fis semblant de croire trop facilement pour en croire rien du tout, et me disposant à lui parler le loisirde faire ses supations, j'alois sortir qu'il me pria d'arrêter pour me dire au vrai ce qui l'amusait là, à condition que je ne m'en mocquerois point, ce que lui ayant promis, il tire de sa pochette quelques moitiés de vers et de proses, d'où il voulait rassembler un présent pour ceste Maîtresse.
Eſt-il bien vray, luy dis-ie, que vous ſoyez pris?	Est-il bien vrai, lui dis-je, que vous soyez pris?
ſeriez vous ſi fol que d’eſtre Amoureux?	seriez -vous si fol que d'être Amoureux?
ie ne le ſuis pas, dit-il, au point qu’il paroiſt peut eſtre à ma contenance:	Ne ne le suis pas, dit-il, au point qu'il paraît peut être à ma contenance:
mais à la verité ceſte fantaiſie me paſſe fort agreablement dans l’eſprit, & ceſte reſuerie commence à me deſrober le gouſt des obiects que ie trouuois auparauant les plus aimables, ie ne ſçaurois me ſouuenir d’elle 72 OEVVRES qu’auec vn peu d’émotiõ, & pour ſi peu de temps que ie l’ay veuë, i’ay toute ceſte idée ſi bien imprimée dans le cœur, qu’il n’y a point de traict ſi caché dans ſon viſage.	mais à la vérité cette fantaisie me passe fort agréablement dans l'esprit, et cette rêverie commence à me dérober le goût des objets que je trouvais auparavant les plus aimables, tu ne saurais me souvenir d'elle 72 OEUVRES qu'avec un peu d'émotion, et pour si peu de temps que je l'ai vue, j'ai toute cette idée si bien imprimée dans le cœur, qu'il n'y a point de trait si caché dans son visage.
ou de mouuemens ſi diuers en ſes regards, qui ne ſoient preſens à mon imagination, ceſte taille, ceſte parole, ce rire, ceſte façon de cheminer, ie le vois mieux que ie ne faiſois tantoſt:	ou de mouvements si divers en ses regards, qui ne soient prés à mon imagination, cette taille, cette parole, ce rire, cette façon de cheminer, je le vois mieux que je ne faisais tantôt:
car mes yeux l’ont mis bien fidelement dans mon ame, & mon ame la remet inceſſamment deuant mes yeux.	car mes yeux l'ont mis bien fidèlement dans mon âme, et mon âme la remet incessamment devant mes yeux.
Ceux qui ſe ſont imaginez d’auoir parlé à des diuinitez corporelles, ſongeoient ſans doubte à leur Maiſtreſſe, car on ne voit en abſence rien ſi clairement que cela.	Ceux qui se sont imaginez d'avoir parlé à des divinités corporelles, songeaient sans doute à leur Maîtresse, car on ne voit en absence rien si clairement que cela.
A ce petit diſcours qu’il me pouſſa precipitement, & qu’il monſtroit pien partir du profond du cœur, il me ſembla voir vn homme qui commence à s’eſtendre, & baille du premier accez de ſa fiebure, & iugeay bien qu’a la fin il faudroit que ceſte maladie print ſon cours, ie ne laiſſay pas de luy repreſenter que c’eſtoit la le commencement d’vn deſſein qui engage les hommes aux affaires les plus importantes de la vie, & qu’on ſe deuoit dõner le loyſir d’examiner vn peu ceſte entreprinſe, tout ce qui nous ſurprent pour nous engager, ne ſe porte que bien rarement a noſtre aduantage.	À ce petit discours qu'il me poussa précipitement, et qu'il montrait pien partir du profond du cœur, il me sembla voir un homme qui commence à s'étendre, et baille du premier accès de sa fiebure, et jugeai bien qu'a la fin il faudrait que cette maladie prîner un cours, Madame ne laissai pas de jours représenter que c'était la le commencement d'un dessein qui engage les hommes aux affaires les plus importantes de la vie, et qu'on se devait donner le loisir d'examiner un peu cette entreprinse, tout ce qui nous surpren pour nousder, ne se porte que bien rarement à nous aduantageil
Ceſte aduanture luy diſ-je ſi inopinée, n’eſt peut eſtre pas de voſtre bon genie, voyez que deſia vous commencez à vous en treuuer mal, la melancholie vous ſaiſit, les ſouſpirs vous eſchappent, vous ne magez plus qu’auec degouſt, vous n’auez plus vn ſommeil qu’interrompu ny des sõges qu’auec des vapeurs mal digerées, qui ne vous repreſentent que precipices, & que viſions d’eſpouuentemens:	Cette aventure même dis-je si inopinée, n'est peut -être pas de votre bon génie, voyez que déjà vous commencez à vous en trouver mal, la mélancolie vous saisit, les soupirs vous échappent, vous ne magez plus qu'avec degrés, vous n'avez plus un sommeil qu'interrompu ici des somme qu'avec des vapeurs mal digérées, qui ne vous représentent que précipices, et que visions d'espouuentemens:
ne laiſſez pas gaigner le mal plus auant, coupez luy la racine tandis qu’elle eſt encore foible, auſſi bien poſſible trauaillerez vous à ceſte recherche inutilement:	ne laissez pas gagner le mal plus avant, coupez Ah la racine tandis qu'elle est encore faible, aussi bien possible travaillerez -vous à cette recherche inutilement:
ce ſera, peut eſtre, quelque eſprit capricieux, ſur qui voꝰ ne pourrez poſer aucũ fondemẽt de voſtre pourſuite, ou quelque humeur deffiante que vo?	ce sera, peut -être, quelque esprit capricieux, sur qui voù ne pourrez poser aucun fondement de votre poursuite, ou quelque humeur défiante que vo?
ne pourrez iamais aſſeurer de la verité de voſtre affection, ou quelque naturel delicat & ſuperbe, à qui ny la vertu, ny la paſſion ne ſçauroit iamais rendre agreable, & qui ne ſe trouuant honoré que de ſoy meſme, ſe deſoblige de l’amitie & du reſpect qu’on luy veut rendre.	ne pourrez jamais assurer de la vérité de votre affection, ou quelque naturel délicat et superbe, à qui seule la vertu, ni la passion ne saurait jamais rendre agréable, et qui ne se trouvant honoré que de soi même, se désoblige de l'amitié et du respect qu'on lu veut rendre.
Peut eſtre comme à ſa mine elle eſt aſſez froide, & ſemble auoir du iugement, elle ſouffrira bien que vous la ſeruiez, & ne ſe faiſant au fonds que rire de voſtre mal, vous laiſſera vieillir ſans recompenſe.	Peut été comme à sa mine elle est assez froide, et semble avoir du jugement, elle souffrira bien que vous la serviez, et ne se faisant au fonds que rire de votre mal, vous laissera vieillir sans récompense.
Mon amy vous courez danger de tous ces inconueniens là.	Mon ami vous courez danger de tous ces inconvéniens -là.
Au reſte ie ne ſuis pas ſi peu complaiſant à la paſſion de mes amis, que ſi i’auois la liberté de demeurer en ceſte Ville, ie ne fuſſe bien ayſe de vous y tenir compagnie:	Au reste ie ne suis pas si peu complaisant à la passion de mes amis, que si j'avais la liberté de demeurer en cette Ville, ils ne fusse bien aise de vous y tenir compagnie:
car ie voy que cecy s’en va rompre voſtre voyage, & que vous n’eſtes pas preſt à partir d’icy demain.	car personne vois que ceci s'en va rompre votre voyage, et que vous n'êtes pas prêt à partir d'ici demain.
La commençant à me reſpondre par vn ſerment, il me proteſte qu’il ſeroit à Tours ſi toſt que moy, & que dans trois iours il prendroit la poſte pour me rateindre, qu’il me ſupplioit de luy donner ce temps-là, & de pardonner ceſte neceſſité à la foibleſſe de ſon eſprit, qui s’eſtoit veritablement laiſſé prendre, & ne ſe ſentoit pas capable de ſe deliurer ſi promptement Cependant puis que vous me donnez vne ſorte de congé en ceſte deſbauche, plutoſt comme vne approbation à ce diuertiſſement de mon ame, acheuez ie vous ſupplie l’obligation que ie vous ay de m’approuuer en ma freneſie, & pour la faire mieux reüſſir, puis que les vers ne vous couſtent rien, & que tout le monde, & moy particulierement les eſtiment tant, donnez moy vn Quatrain de voſtre façon qui luy touche quelque choſe de mon affection, & de ſa beauté:	La commençant à me répondre par un serment, il me proteste qu'il serait à Tours si tôt que moi, et que dans trois jours il prendrait la poste pour me rateindre, qu'il me suppliait de lui donner ce temps-là, et de pardonner cette nécessité à la faiblesse de son esprit, qui s'était véritablement laissé prendre, et ne se sentait pas capable de se deliurer si promptement Cependant puis que vous me donnez une sorte de congé en cette débauche, et comme à ce divertissement de mon âme, ache ie vous supplie obligation que ie vous ay se mapprouuer en ma de, et mo la faire me reüssir, a che les vers ne vous coûtent rien, et à tout le monde, et et ne vous aimé tant, donnez moi Et de pô façon ur lui touche quelque chose de mon a, et de sa j':
Et comment, luy dis-ie, voudriez vous emprunter les habits d’vn autre pour vous parer deuant voſtre Maiſtreſſe, & vous farder le viſage pour luy plaire.	Et comment, Seigneur dis-je, voudriez vous emprunter les habits d'un autre pour vous parer devant votre Maîtresse, et vous farder le visage pour quelque plaire.
Cela eſt encore plus eſtrange d’auoir des imaginations empruntées pour luy diſcourir, & ſachez, ie vous prie que les penſées d’vn autre ne ſe rapportẽt iamais ſi biẽ à nos ſentimens, & qu’il faut eſtre Amoureux pourdes ſçauoir dire.	Cela est encore plus étrange d'avoir des imaginations empruntées pour lui discourir, et sachez, je vous prie que les pensées d'un autre ne se rapportẽt jamais si bien à nos sentiments, et qu'il faut être Amoureux pourdes savoir dire.
Pour exprimer voſtre fantaiſie, il faudroit que voſtre Maiſtreſſe me ble:	Pour exprimer votre fantaisie, il faudrait que votre Maîtresse me blé:
Les pl9 excellens traicts de la Poeſie ſont à bien peindre vne naïfueté:	Les pl9 excellents traits de la Poésie sont à bien peindre une naïfueté:
Vous ferez mieux cela auec vn ſouſpir que ie ne ſcaurois auec tout l’artifice.	Vous ferez mieux cela avec un soupir que je ne saurais apprenant tout l'artifice.
Le plus nõchalament que vous luy pourrez eſcrire, & auec plus de deſordre luy perſuadera mieux que vous auez l'eſprit diuerty, Et que l’amour ne vous laiſſe pas la liberté du diſcours, ſi bien qu’autant de fautes que vous ferez, ſeront autant de marques de voſtre paſſion, & des ſubiets de vous faire aymer.	Le plus nomchalament que vous Seigneur pourrez écrire, et avec plus de désordre même persuadera mieux que vous avez l'esprit diverti, Et que l'amour ne vous laisse pas la liberté du discours, si bien qu'autant de fautes que vous ferez, seront autant de marques de votre passion, et des sujets de vous faire aimer.
Voila, ce me dit-il, le plus honneſte refus que ie pouuois eſperer de vous, donnez moy pour le moins ce ramas de vos dernieres Poëſies qu’on n’a point encores veuës, afin que i’en tire ſi ie puis quelque choſe à mon ſubiet, ce que ie fis facilement, & commençay à prendre reſolution de luy laiſſer faire l’amour, & de partir le lendemain auecques Sydias.	Voilà, ce me dit-il, le plus honnête refus que je pouvais espérer de vous, donnez moi pour le moins ce ramas de vos dernières Poèsies qu'on n'a point encore vues, afin que j'en tire si je puis quelque chose à mon sujet, ce que promis facilement, et commençai à prendre résolution de votre laisser faire l'amour, et de partir le lendemain avec Sydias.
LEVR X2 VR SON RETOVR DV LANGVEDOC.	LEUR X2 VR SON RETOUR DU LANGUEDOC.
EVNE & victorieux Monarque Dõt les exploicts ſi glorieux Ont dõné de l’Enuie aux Dieux Et de la frayeur à la Parque;	EUNE et victorieux Monarque Dõt les exploits si glorieux Ont donné de l'Enuie aux Dieux Et de la frayeur à la Parque;
Qu'attendez vous plus des Deſtins?	Qu'attendez -vous plus des Destins?
C’eſt aſſés puny de mutins, C’eſt aſſés deſmoli de Villes, Nous ſçauons bien que deſormais La fureur des guerres ciuiles Ne nous ſçauroit oſter la paix.	C'est assez puni de mutins, C'est assez démoli de Villes, Nous sçauons bien que désormais La fureur des guerres civiles Ne nous saurait ôter la paix.
Laiſſez-là ces terres Eſtranges Où vous faites tant de deſerts, Boiſſet prepare des concerts,	Laissez-là ces terres Étranges Où vous faites tant de déserts, Boisset prépare des concerts,
Et moy des vers à vos loüanges:	Et moi des vers à vos louanges:
Paris ne fut iamais ſi beau, Les ſources de Fontainebleau, Rompant leurs petits flots de verre Contre les murs de leur rampars Ne murmurent que de la guerre Qui les priue de vos regards.	Paris ne fut jamais si beau, Les sources de Fontainebleau, Rompant leurs petits flots de verre Contre les murs de leur remparts Ne murmurent que de la guerre Qui les prive de vos regards.
Dans les allegreſſes publiques, Meſme en celebrant vos vertus Nos viſages ſont abatus, Et nos ames Melancholiques, Vos exploits qu’on nous fait oüir Ne peuuent ſans nous reſiouir, Vous donner de la renommée, Et ne peuuent ſans nous faſcher Expoſer au ſort de l’armèe Vn Roy que nous auons ſi cher.	Dans les allégresses publiques, Même en célébrant vos vertus Nos visages sont abattus, Et nos âmes Mélancoliques, Vos exploits qu'on nous fait ouïr Ne peuvent sans nous réjouir, Vous donner de la renommée, Et ne peuvent sans nous fâcher Exposer au sort de l'armée Un Roi que nous avons si cher.
Dans ce ſanglant mestier des armes Où vos bras ſont trop exercez.	Dans ce sanglant métier des armes Où vos bras sont trop exercés.
D’autant de ſang que vous verſez.	D'autant de sang que vous versez.
Le peuple verſe icy de larmes, Le Demon ennemy du iour, Noye les Aſtres de la Cour Dans l’horreur de ſes fleuues ſombres, Partage voſtre Eſtat aux morts, Baſtit l’Empire de ſes ombres De la ruine de nos corps.	Le peuple verse ici de larmes, Le Démon ennemi du jour, Noie les Astres de la Cour Dans l'horreur de ses fleuves sombres, Partage votre État aux morts, Bâtit l'Empire de ses ombres De la ruine de nos corps.
Si les fureurs eſtoient hardies A ce point que leur cruauté Attaqua voſtre majeſté, De leurs funeſtes maladies, Quelle ſi ſecourable main Peut fournir le ſecours humain, Ou quell' aßiſtance diuine, Vous pourroir ſi ſoudain guerir, Que la peur de noſtre ruine Ne nous euſt pluſtoſt fait mourir.	Si les fureurs étaient hardies A ce point que leur cruauté Attaqua votre majesté, De leurs funestes maladies, Quelle si secourable main Peut fournir le secours humain, Ou quell' assistance divine, Vous pourroir si soudain guérir, Que la peur de notre ruine Ne nous eût plutôt fait mourir.
Reuenez au ſein de la France, C’eſt où les Aſtres les plus doux Encore pour l’amour de vous Adouciront leur influence, Tous les plus gracieux climats, Quiſans gresles & ſans frimats, Peuuent accomplir leur année, Dans leur plus fauorable iour, N’ont rien d’eſgal à la iournée De voſtre bien-heureux retourVoſtre Demon tenant la guerre Reduite à ſa deuotion, Laiſſe gronder l’Ambition Des plus vaillans Roys de la terre, On n’en voit point du temps paſſé, De qui le renom effacé	Revenez au sein de la France, C'est où les Astres les plus doux Encore pour l'amour de vous Adouciront leur influence, Tous les plus gracieux climats, Quisant grêles et sans frimats, Peuvent accomplir leur favorable, Dans leur plus favorable jour, N'ont rien d'égal à la journée De votre bienheureux retourUotre Démon tenant la guerre Réduite à sa dévotion, Laisse gronder l'Ambition Des plus vaillants Rois de la terre, On n'en voit point du temps passé, De qui le renom effacé
Je vous rende vn muet homma;	Je vous rende un muet homma;
Et le marbre deuant vos Lys Eſt honteux de ſeruir d’Image A leurs exploits enſeuelis.	Et le marbre devant vos Lys Est honteux de servir d'Image À leurs exploits ensevelis.
e	Je
dAne ll.	dAne lêl.
OVVERAIN qui regis l’influence des vers, Außi bien que tu fais mouuoir tout l’Vniuers, MAme de nos eſprits qui dans noſtre naiſſance Inſpiras vn rayon de ta diuine eſſence.	OUVERAIN qui régis l'influence des vers, Aussi bien que tu fais mouvoir tout l'Univers, MAme de nos esprits qui dans notre naissance Inspiras un rayon de ta divine essence.
leurs?	leurs?
Pourquoy ne m’as tu fait les ſentimens meilPourquoy tes beaux treſors ſont-ils coulez ailleurs?	Pourquoi ne m'as tu fait les sentiments meilPourquoi tes beaux trésors sont-ils coulez ailleurs?
nombre, Ie voy de toutes parts des eſcriuains ſans Dont la grandeur a mis mon petit nom à l’ombre.	nombre, Je vois de toutes parts des écrivains sans Dont la grandeur a mis mon petit nom à l'ombre.
Ie n’ay qu’vn pauure fonds d’vn mediocre eſprit, Où ie vay cultiuer ce que le Ciel m’apprit, Des triſtes ſons rimeurs, d’vn ſtyle qui ſe treine, Eſpuiſant tous les iours ma languißãte veine,	Je n'ai qu'un pauvre fonds d'Han médiocre esprit, Où ie vais cultiver ce que le Ciel m'apprit, Des tristes sons rimeurs, d'un style qui se traîne, Espuisant tous les jours ma languivante veine,
Si i’auois la vigueur de ces fameux Latine Ou l'eſprit de celuy qui força les Deſtins, Qui vit à ces chanſons les Parques deſanmées, Et de tous les damnez, les tortures charmées Quand pour l’amour de luy le Prince des Enfers, Laiſſa viure Euridice, & la tira des fers, Ou ſi c’eſt trop d’auoir ces merueilleux genies, (nies Qu’à noſtre ſiecle infame à bon droit tu deIe me contenterois d’eſgaler en mon art La douceur de Malherbe ou l’ardeur de Ronſart, Et mille autres encore, à qui ie fais hommage, Et de qui ie ne ſuis que l’õbre & que l’image.	Si j'avais la vigueur de ces fameux Latine Ou l'esprit de celui qui força les Destins, Qui vit à ces chansons les Parques desanmées, Et de tous les damnés, les tortures charmées Quand pour l'amour de lui le Prince des Enfers, Laissa vivre Euridice, et la tyra des fers, Ou si c'est trop d'avoir ces merveilleux génies, (nies Qu'à notre siècle infâme à bon droit tu deIe me contenterais d'égaler en mon art La douceur de Malherbe ou l'ardeur de Ronsard, Était mille autres encore, à qui ie fais propre, Et de qui ie ne suis l' auõbre et que limage'
Ie donnerois ma plume à ces ſoins violans, A peindre ces ſanglots & ces deſirs bruſlans, Que depuis peu de iours quelque demõ allume Dans mon sang où l’Amour se plaiſt & me consume.	Je donnerais ma plume à ces soins violents, A peindre ces sanglots et ces désirs brûlants, Que depuis peu de jours quelque démon allume Dans mon sang où l'Amour se plaît et me consume.
Si mes vers retenoient encore la ferueur Qui les fit autrefois naistre pour la Faueur, Et tant d’escrits perdus que pour chante leur flame, Mille de mes amis m’ont arraché de l’ame.	Si mes vers retenaient encore la ferveur Qui les fit autrefois naître pour la Faveur, Et tant d'écrits perdus que pour chante leur flamme, Mille de mes amis m'ont arraché de l'âme.
O Cloris qui te sŗais ſi bien faire adorert Qui l’Ame par les yeux m'as peu ſi biẽ tirer, Beauté que deſormais ie nõmeray mõ Ange, Ie les conſacrerois ſans doubte à ta loüange.	Ô Cloris qui te sais si bien faire adorert Qui l'Âme par les yeux m'as peu si bien tirer, Beauté que désormais sensible nommerai mon Ange, Je les consacrerais sans doute à ta louange.
I’ay ſi peur que ma Muſe ait perdu ces appas, A flater vainement ceux que ie n’aime pas, Que ma plus belle ardeur auiourd’huy ſe retire, M’eſtant ſi neceſſaire à ce nouueau martire, Et qu’au meilleur beſoin mes esprits finißãs, Ne me fourniſſent plus que des vers languiſſans, Mon esprit espuiſé dãs des trauaux funeſtes N'aura pour ton ſubiect rien gardé que des reſtes.	J'ai si peur que ma Muse ait perdu ces appas, A flatter vainement ceux que sans n'aime pas, Que ma plus belle ardeur aujourd'hui se retire, M'étant si nécessaire à ce nouveau martyre, Et qu'au meilleur besoin mes esprits finis, Ne me sent plus que des vers languissants, Mon esprit épuisé dans des travaux funestes N'aura pour ton sujet rien gardé que des restes.
