A PARIS,	À PARIS,
MERCVRE.	MERCURE.
Tu te dis Soſie.	Tu te dis Sosie.
SOSIE.	SOSIE.
Ouy, quelque conte friuoſe.	Oui, quelque conte frivose.
MERCVRE, cnojje rompo noitte cleuc, & repreat ma pârole.	MERCURE, cnojà rompo noitte cleuc, et repreat ma pâtrole.
SOSIE.	SOSIE.
N’importe, je ne puis m’aueantir pout toy, Et ſouffrir vn diſcours, ſi loin de l’apparence, Eſtre ce que ie ſuis, eſt-il en ta puiſſance?	N'importe, je ne puis m’avantir pout toi, Et souffrir un discours, si loin de l'apparence, Être ce que je suis, est-il en ta puissance?
Et puis-je ceſſer d’eſtre moy?	Et puis-je cesser d'être moi?
S’auiſa-t’on jamais d’vne choſe pateille?	S'avisa-t-on jamais d'une chose pateille?
Et peut-on dementir cent indices preſſans l̀ Réue-je?	Et peut-on démentir cent indices pressants l Ue-je?
eſt-ce que ie ſommeille, Ay je l’eſprit troublé par des tranſports puiſ ſans ?	est-ce que ici sommeille, Ai je l'esprit troublé par des transports puis sans ?
Ne ſens-je pas bien que ie veille?	Ne sens-je pas bien que ici veille?
Ne ſuis-je pas dans mon bon ſens?	Ne suis-je pas dans mon bon sens?
Mon Maiſtre, Amphitryon, ne m’a t’il pas commis, A venir en ces lieux, vers Alemene ſa femme?	Mon Maître, Amphitryon, ne m'a -t-il pas commis, À venir en ces lieux, vers Alémène sa femme?
Ne luy dois-je pasfaire en luy vantant ſa flame, Vn recit de ſes faits contre nos Ennemis?	Ne lui dois-je pasfaire en peine vantant sa flamme, Un récit de ses faits contre nos Ennemis?
Ne ſuis-je pas du port arriué tout à l’heure?	Ne suis-je pas du port arrivé tout à l'heure?
Ne tiens-je pas vne lanterne en main?	Ne tiens-je pas une lanterne en main?
Ne te trouue-je pas deuant noſtre demeure?	Ne te trouve-je pas devant notre demeure?
Ne t’y parle-je pas d’vn Eſprit tout humain Ne te tiens-tu pas fort de ma poltronerie, Pour m’empeſcher d’entrer chez-nous?	Ne t'y parle-je pas d'un Esprit tout humain Ne te tiens-tu pas fort de ma poltronerie, Pour m'empêcher d'entrer chez-nous?
N’as-tu pas ſur mon dos extreé ta furie?	N'as-tu pas sur mon dos extré ta furie?
Ne m'as-ta point roué de coups?	Ne m'as-ta point roué de coups?
Ah!	Ah!
tout cela n’eſt que trop veritable.	tout cela n'est que trop véritable.
Ceſſe donc d’inſulter au ſort d’vn Miſerable, Et fallle à mon deuoil s acquiter de les loins.	Cesse donc d'insulter au sort d'un Misérable, Et fallle à mon dévoil s acquiter de les loins.
MERCVRE.	MERCURE.
Arreſte, ou ſur ton dos le moindre pas attire, Vn aſſommant éclat de mon juſte couroux;	Arrête, ou sur ton dos le moindre pas attire, Un assommant éclat de mon juste courroux;
Tout ce que tu viens de dire, Eſt à moy, hormis les coups.	Tout ce que tu viens de dire, Est à moi, hormis les coups.
C’eſt moy qu’Amphitryon députe vers Alcmene, Et qui du port Perſique atriue de ce pas, Moy qui viens annoncer la valeur de ſon bras, Que nous fait remporter vne victoire pleine, Et de nos Ennemis a mis le Chef à bas.	C'est moi qu'Amphitryon députe vers Alcène, Et qui du port Persique atrive de ce pas, Moi qui viens annoncer la valeur de son bras, Que nous fait remporter une victoire pleine, Et de nos Ennemis a mis le Chef à bas.
C’eſt moy qui ſuis Soſie, enfin de certitude;	C'est moi qui suis Sosie, enfin de certitude;
Fils de Daue honneſte Berger;	Fils de Dave honnête Berger;
Ftere d’Arpage, mort en Païs Eſtranger;	Frère d'Arpage, mort en Pays Étranger;
Mary de Cleanthis la Prude, Dont l’humeur me fait enrager, Qui dans Thebe ay receu mille coups d’étriuiere, Sans en auoit jamais dit rien :	Mari de Cléanthis la Prude, Dont l'humeur me fait enrager, Qui dans Thebe ai reçu mille coups d'étrivière, Sans en avait jamais dit rien :
Et jadis en public fus marqué par derriere, Pour eſtre trop homme de bien.	Et jadis en public fus marqué par derrière, Pour être trop homme de bien.
SOSIE.	SOSIE.
Il a raiſon.	Il a raison.
A moins d’eſtre Soſic, On ne peut pas ſçauoir tout ce qu’il dit.	À moins d'être Sosic, On ne peut pas savoir tout ce qu'il dit.
Et dans l’étonncment, dont mon ame eſt ſaiſie, Ie commence, à mon tour, à le croire vn petit, En effet, maintenant que ie le conſidere, le voy qu’il a de moy, taille, mine, action;	Et dans l'étonncment, dont mon âme est saisie, Je commence, à mon tour, à le croire un petit, En effet, maintenant que je le considère, le vois qu'il a de moi, taille, mine, action;
Faiſons-luy quelque queſtion, Afin d’éclaircir ce myſtere.	Faisons-lui quelque question, Afin d'éclaircir ce mystère.
Parmy tout le Butin fait ſur nos Ennemie, Qu’eſt-ce qu’Amphitryon obtient pour ſon pattage?	Parmi tout le Butin fait sur nos Ennemie, Qu'est-ce qu'Amphitryon obtient pour son pattage?
MERCVRE.	MERCURE.
Cinq fort gros diamans, en nœud proprement Dont leur Chef ſe paroit comme d’vn tare Ouuragc.	Cinq fort gros diamants, en nœud proprement Dont leur Chef se parait comme d'un tare Ouvragc.
SOSIE.	SOSIE.
A qui deſtine-t’il vn ſi riche Preſent?	À qui destine-t-il un si riche Prent?
MERCVREI A ſa femme, & ſur elle il le veut voir paroître.	MERCUREY À sa femme, et sur elle il le veut voir paraître.
SDSIE.	SDSIE.
Mais où, pour l’apporter eſt-il mis à preſent?	Mais où, pour l'apporter est-il mis à présent?
MERCVRE.	MERCURE.
Dans vn coffret, ſeellé des Armes de mon Maiſtre.	Dans un coffret, sellé des Armes de mon Maître.
SOSIE.	SOSIE.
Il ne ment pas d’vn mot, à châque repartie, Et de moy ie commence à douter tout de bon.	Il ne mens pas d'H mot, à chaque répartie, Et de moi ici commence à douter tout de bon.
Prés de moy, par la force, il eſt déja Soſie:	Près de moi, par la force, il est déjà Sosie:
Il pourroit bien encor l’eſtre par la taiſon.	Il pourrait bien encor l'être par la taison.
pourtant, quand je me tâte, & que ie me rappelle, Il me ſemble que je ſuis moy.	pourtant, quand je me tâte, et que personne me rappelle, Il me semble que je suis moi.
Où puis-je rencontrer quelque clarté fidelle, Pour démeler ce que ie voy?	Où puis-je rencontrer quelque clarté fidèle, Pour démeler ce que ici vois?
Ce que i’ay fait tout ſeul, & que n’a veu perſoune, A moins d’eſtre moy-meſme, on ne le peut ſçauoir.	Ce que j'ai fait tout seul, et que n'a vu persoune, A moins d'être moi-même, on ne le peut sçauoir.
Par cette queſtion, il faut que je l’étonne;	Par cette question, il faut que je l'étonne;
e ent dequoy le contondre, & nous allons le voir.	eu ent dequoy le contondre, et nous allons le voir.
Lors qu’on eſtoit aux mains, que fis-tu dans nos Tentes, Où tu courus ſeul te fourrer !	Lors qu'on était aux mains, que fis-tu dans nos Tentes, Où tu courus seul te fourrer !
MERCVRE.	MERCURE.
D’vn jambon.	D'un jambon.
SOSIE.	SOSIE.
L y vollae.	L y volàe.
MERCVRE.	MERCURE.
Que j’allay déterrer, Ie couppay brauement deux Tranches ſueculentes, Dont ie ſçeus fort bien me bourrer Et joignant à cela d’vn vin que l’on ménage, Et dont auant le goût, les yeux ſe contentoient, Ie pris vn peu de courage Pour nos gens qui ſe battoient.	Que j'allai déterrer, Je couppai bravement deux Tranches sueculentes, Dont ie us fort bien me bourrer Et joignant à cela d'un vin que l'on menage, Et dont avant le goût, les yeux se contentaient, Je pris un peu de courage Pour nos gens qui se battaient.
SOSIE.	SOSIE.
Cette preuue ſans pareille, En ſa faueur conclut bien;	Cette preuve sans pareille, En sa faveur conclut bien;
Et l’on n’y peut dire rien, S’il n’eſtoit dans la Bouteille.	Et l'on n'y peut dire rien, S'il n'était dans la Bouteille.
Ie ne ſçaurois nier aux preuues qu’on m’expoſe, que tu le lois Soſie, & j’y doune ma voix, Mais ſi tu l’es, dy-moy qui tu veux que ie ſois;	Je ne saurais nier aux prévues qu'on m'expose, que tu le lois Sosie, et j'y doune ma voix, Mais si tu l'es, dis-moi qui tu veux que sans sois;
Car encor faut-il bien que je ſois quelque choſe.	Car encor faut-il bien que je sois quelque chose.
MERCVRE.	MERCURE.
Quand ie ne ſeray plus Soſie, Sois-le, j’en demeute d’accord, Mais tant que je le ſuis ie te garautis mort, Si tu prens cette fantaiſie.	Quand ici ne serai plus Sosie, Sois-le, j'en demute d'accord, Mais tant que je le suis ie te garautis mort, Si tu prends cette fantaisie.
SOSIE.	SOSIE.
Tout cét embarras met mon Eſprit ſur les dents;	Tout cet embarras met mon Esprit sur les dents;
Et la raiſon à ce qu’on void s’oppoſe.	Et la raison à ce qu'on voit s'oppose.
Mais il faut terminer enfin par quelque choſe.	Mais il faut terminer enfin par quelque chose.
Et le plus court pour moy c’eſt d’entrer la dedans.	Et le plus court pour moi c'est d'entrer la dedans,
MERCVRE.	MERCURE.
Ah!	Ah!
tu prens donc, Pendart, goût à la BaſtoTade,	tu prends donc, Pendard, goût à la BâtoTade,
OSIE.	OSIE.
Ah!	Ah!
qu’eſt-cecy Grands Dieux!	qu'est-ceci Grands Dieux!
Il frape vn ton plus fort;	Il frappe un ton plus fort;
Et mon dos pour vn mois en doit eſtre malade.	Et mon dos pour un mois en doit être malade.
Laiſſons ce Diable d’homme, & retournons au POIC.	Laissons ce Diable d'homme, et retournons au POIC.
O juſte Ciel!	Ô juste Ciel!
j’ay fait vne belle Ambaffade,	j'ai fait une belle Ambaffade,
MERCVRE.	MERCURE.
Enfin, je l’ay fait fuyr;	Enfin, je l'ai fait fuir;
& ſous ce traitement.	et sous ce traitement.
De beaucoup d’actions, il a receu la peine;	De beaucoup d'actions, il a reçu la peine;
Mais je voy rupiter, que lort erunement Reconduit l’Amoureuſe Alcmene.	Mais je vois rupiter, que lort erunement Reconduit l'Amoureuse Alcène.
SCENE III.	SCÈNE III.
21DVG IVPITER, ALCMENE, CLEANTHIS, MERCVRE.	21DUG IVPITER, ALCMENE, CLEANTHIS, MERCURE.
VPITER.	VPITER.
Effendez, chere Alemene, aux flambeaux D d’aprocher, 6 Ils m’offrent des plaiſirs, en m’offrant voſtre veüe, Mais ils pourroient iey découurir ma venue, Qu’il eſt à propos de cacher.	Effendez, chère Alémène, aux flambeaux D 'approcher, 6 Ils m'offrent des plaisirs, en m'offrant votre vue, Mais ils pourraient ici découvrir ma venue, Qu'il est à propos de cacher.
Mon amour, que geſnoient tous les ſoins éclatans, Où me tenoit lié la gloire de nos armes, Au deuoir de ma charge, a volé les inſtans, Qu’il vient de donner à vos charmes.	Mon amour, que gênaient tous les soins éclatants, Où me tenait lié la gloire de nos armes, Au devoir de ma charge, a volé les instants, Qu'il vient de donner à vos charmes.
Ce vol, qu’à vos beautez mon Cœur a conſacré, Poutroit eſtre blâmé dans la bouche publique;	Ce vol, qu'à vos beautés mon Cœur a consacré, Poutrait être blâmé dans la bouche publique;
Et j’en veux, pour témoin vnique, Celle qui peut m’en ſçauoir gté.	Et j'en veux, pour témoin unique, Celle qui peut m'en savoir gté.
ALCMENE.	ÀLCMENE.
Ie prens, Amphitryon, grande part à la gloire, Que répandent ſur vous vos illuſtres exploicts;	Je prends, Amphitryon, grande part à la gloire, Que répandent sur vous vos illustres exploits;
Et l’éclat de voſtre victoire Sçait toucher de mon cœur les ſenſibles endroits;	Et l'éclat de votre victoire Sait toucher de mon cœur les sensibles endroits;
Mais quand je voy que cét honneur fatal Eloigne de moy ce que j’ayme, Ie ne puis m’empeſcher dans ma tendreſſe ex.	Mais quand je vois que cet honneur fatal Éloigne de moi ce que j'aime, Je ne puis m'empêcher dans ma tendresse ex.
tréme, De luy vouloir vn peu de mal, Et d’oppoſer mes vœux à cét ordre ſuprême, Qui des Thebains vous fait le general.	trême, De beau vouloir un peu de mal, Et d'opposer mes vœux à cet ordre suprême, Qui des Thébains vous fait le général.
C’eſt vne douce choſe, apres vne victoire, Que la gloire, où l’on voit ce qu’on aime éleué;	C'est une douce chose, après une victoire, Que la gloire, où l'on voit ce qu'on aime élevé;
Mais parmy les perils meſlez à cette gloire, Vn triſte coup, Helas!	Mais parmi les périls mêlés à cette gloire, Un triste coup, Hélas!
eſt bien-toſt arriué:	est bientôt arrivé:
De combien de frayeurs a-t-on l’Ame bleſſée, Au moindre choc dont on entend parler?	De combien de frayeurs a-t-on l'Âme blessée, Au moindre choc dont on entend parler?
Voit-on, dans les horreurs d’vne telle penſée, Par où jamais ſe conſoler Du coup, dont on eſt menacée?	Voit-on, dans les horreurs d'une telle pensée, Par où jamais se consoler Du coup, dont on est menacée?
Et de quelque Laurier qu’on couronne vn vainqueur;	Et de quelque Laurier qu'on couronne un vainqueur;
Quelque part que l’on ait à cét honneur ſupreme, ſ cœur, Vaut-il ce qu’il en coûte aux tendreſſes d’vn Qui peut, à tout moment, trembler pour ce qu’il aime?	Quelque part que l'on ait à cet honneur suprême, s cœur, Vaut-il ce qu'il en coûte aux tendresses d'un Qui peut, à tout moment, trembler pour ce qu'il aime?
IVPITER.	IUPITER.
Ie ne voy rien en vous, dont mon feu ne s’augmente, Tout y marque à mes yeux vn cœur bien enſ amé, Et c’eſt, je vous l’auoüe vne choſe charmante, De ttouuer tant d’amour dans vn objet aimé;	Je ne vois rien en vous, dont mon feu ne s'augmente, Tout y marque à mes yeux un cœur bien ens amé, Et c'est, je vous l'auoüe une chose charmante, De touver tant d'amour dans un objet aimé;
Mais, ſi je l’oſe dire, vn ſcrupule me geſne, Aux tendres ſenti més que vous me faites voir;	Mais, si je l'ose dire, un scrupule me gêne, Aux tendres senti après que vous me faites voir;
Et pour les bien goûter, mon amour, chere Alcmene, Voudroit n’y voir entrer, rien de voſtre deuoir:	Et pour les bien goûter, mon amour, chère Alcmène, Voudrait n'y voir entrer, rien de votre devoir:
Qu’à voſtre ſeule ardeur, qu’à ma ſeule perſonne, Ie dune nes raueurs que je reçois de vous;	Qu'à votre seule ardeur, qu'à ma seule personne, Je dune nés raveurs que je reçois de vous;
Et que la qualité que j’ay de voſtre Epoux, Ne fut point ce qui me les donne.	Et que la qualité que j'ai de votre Époux, Ne fut point ce qui me les donne.
ALCMENE.	ÀLCMENE.
C’eſt de ce nom pourtant, que l’ardeur qui me brûle, Tient le droit de paroiſtre au jour, Et je ne comprens rien à ce nouueau ſcrupule, Dont s’embarraſſe voſtre amour.	C'est de ce nom pourtant, que l'ardeur qui me brûle, Tient le droit de paraître au jour, Et je ne comprends rien à ce nouveau scrupule, Dont s'embarrasse votre amour.
IPITER.	IPITER.
Ah!	Ah!
ce que j’ay pour vous d’ardeur, & de tendreſſe, Paſſe auſſi celle d’vn Epoux;	ce que j'ai pour vous d'ardeur, et de tendresse, Passe aussi celle d'un Époux;
Et vous ne ſçauez pas, dans des momens ſi doux, Quelle en eſt la delicateſſe.	Et vous ne savez pas, dans des moments si doux, Quelle en est la délicatesse.
Vous ne conceuez point qu’vn cœur bien amoureux, Sur cent petits égards s’attache auec étude;	Vous ne concevez point qu'a cœur bien amoureux, Sur cent petits égards s'attache avec étude;
Et ſe fait vne inquietude, De la maniere d’eſtre heureux.	Et se fait une inquiétude, De la manière d'être heureux.
En moy, belle, & charmante Alcmenes Vous voyez vn mary, vous voyez vn amant;	En moi, belle, et charmante Alcenes Vous voyez un mari, vous voyez un amant;
Mais l’amant ſeul me touche, à parler franchement, Et je ſens prés de vous, que le mary le geſne;	Mais l'amant seul me touche, à parler franchement, Et je sens près de vous, que le mari le gêne;
Cet Amant, de vos vœux, jaloux au dernier point, Souhaitte qu’à luy ſeul voſtre Cœur s’abandonne, Et ſa paſſion ne veut point, De ce que le mary luy donne.	Cet Amant, de vos vœux, jaloux au dernier point, Souhaite qu'à lui seul seul Cœur s'abandonne, Et sa passion ne veut point, De ce que le mar y Rome.
Il veut de pure ſource, obtenir vos ardeurs, Et ne veut rien tenir des nœuds de l’Hymenée:	Il veut de pure source, obtenir vos ardeurs, Et ne veut rien tenir des nœuds de l'Hyménée:
Rien d’vn fâcheux deuoir, qui fait agir les cœurs, Et par qui, tous les jours, des plus cheres faueurs, La douceur eſt empoiſonnée.	Rien d'un fâcheux devoir, qui fait agir les cœurs, Et par qui, tous les jours, des plus chères faveurs, La douceur est empoisonnée.
Dans le ſcrupule enfin, dont il eſt combattu, Il veut, pour ſatisfaire à ſa delicateſſe, Que touo le leparien daueute puraſeſſe;	Dans le scrupule enfin, dont il est combattu, Il veut, pour satisfaire à sa délicatesse, Que touo le parien daveute purasesse;
Que le mary ne ſoit que pour voſtre vertu, Et que de voſtre cœur, de bonté reueſtu, L’Amant ait tout l’amour & toute la tendreſſe.	Que le mari ne soit que pour votre vertu, Et que de votre cœur, de bonté revêtu, L'Amant ait tout l'amour et toute la tendresse.
ALCMENE.	ÀLCMENE.
Amphitryon, en verité, Vous vous moquez, de tenir ce langage:	Amphitryon, en vérité, Vous vous moquez, de tenir ce langage:
Et j’aurois peur qu’õ ne vous crût pas ſage, Si de quelqu’vn vous eſtiez écouté.	Et j'aurais peur qu'on ne vous crût pas sage, Si de quelqu'un vous étiez écouté.
PITER.	PITER.
Ce diſcours eſt plus raiſonnable, Alemene, que vous ne penſez:	Ce discours est plus raisonnable, Alémène, que vous ne pensez:
Mais vn plus long ſéjour me rendroit trop coupable, Et du tetour au port, les momens ſont preſſez, Adieu, de mon deuoit l’étrange Barbarie, Pour vn temps, m’arrache de vous, Mais belle Alemene, au moins, quand vous verrez l’Epous, Songez à l’Amant je vous prie.	Mais un plus long séjour me rendrait trop coupable, Et du tour au port, les moments sont pressez, Adieu, de mon devait l'étrange Barbarie, Pour un temps, m'arrache de vous, Mais belle Allemène, au moins, quand vous verrez l'Épous, Songez à l'Amant je vous prie.
ALCMENE.	ÀLCMENE.
Ie ne lepare pornt ce qu'vinent les Dieux, Et l’Epoux, & l’Amant, me ſont fort precieux.	Je ne lépare pornt ce qu'vinent les Dieux, Et l'Époux, et l'Amant, me sont fort précieux.
CLEANTHIS.	CLÉANTHIS.
O Ciel!	Ô Ciel!
que d’aimables careſſes D’vn Epoux ardement chefy !	que d'aimables caresses D'un Époux ardement chefi !
Et que mon traiſtre de mary Eſt loin de toutes ces tendreſſes!	Et que mon traître de mari Est loin de toutes ces tendresses!
MERCVRE.	MERCURE.
La Nuit, qu’il me faut auertir, N’a plus qu’à plier tous ſes voiles;	La Nuit, qu'il me faut avertir, N'a plus qu'à plier tous ses voiles;
Et pour effacer les Etoiles, Le Soleil, de ſon lit, peut maintenant ſortir:	Et pour effacer les Étoiles, Le Soleil, de son lit, peut maintenant sortir:
SCENE IV.	SCÈNE IV.
CLEANTHIS, MERCVRE.	CLEANTHIS, MERCURE.
Mercure veut s’en aller.	Mercure veut s'en aller.
CLEANTHIS.	CLÉANTHIS.
Voy?	Vois?
c’eſt ainſi que l’on me quitte?	c'est ainsi que l'on me quitte?
MERCVRE.	MERCURE.
Et comment donc?	Et comment donc?
ne veux-tu pas, Que de mon deuoir je m’acquite?	ne veux-tu pas, Que de mon devoir je m'acquite?
Et que d’Amphitryon j’aille ſuiure les pas?	Et que d'Amphitryon j'aille suivre les pas?
CLEANTHIS	CLÉANTHIS
CLEANTHIS.	CLÉANTHIS.
Mais auec cette bruſquerie, Fraiſtre, de moy te leparer.	Mais avec cette brusquerie, Fraître, de moi te léparer.
MERCVRE.	MERCURE.
Le beau ſujet de fâcherie!	Le beau sujet de fâcherie!
Nous auons tant de temps enſemble à demeurer.	Nous avons tant de temps ensemble à demeurer.
CLEANTHIS.	CLÉANTHIS.
Mais quoy!	Mais quoi!
partir ainſi d’vne façon brutale, bans me dire vn leul mot de douceut pour regale?	partir ainsi d'une façon brutale, bans me dire un leul mot de doucut pour régale?
MERCVRE.	MERCURE.
Diantre, où veux-tu que mon eſprit T’aille chercher des fariboles?	Diantre, où veux-tu que mon esprit T'aille chercher des fariboles?
gumit ans uc Marrage epunent lex paroles ;	gumit ans us Marrage épunent lex paroles ;
Et depuis vn long temps, nous nous ſommés tout dit.	Et depuis un long temps, nous nous sommès tout dit.
CLEANTHIS.	CLÉANTHIS.
Regarde, traiſtre, Amphitryon.	Regarde, traître, Amphitryon.
Voy combien pour Alcmene, il étale de flame, Et rougis la-deſſus, du peu de paſſion, Que tu témoignes pour ta femme.	Vois combien pour Alcmène, il étale de flamme, Et rougis la-dessus, du peu de passion, Que tu témoignes pour ta femme.
MERCVRE.	MERCURE.
Hé, mon Dieu, Cleanthis, ils ſont encor Amans.	Hé, mon Dieu, Cléanthis, ils sont encor Amants.
Il eſt certain âge où tout paſſe, Et ce qui leur ſied bien dans leurs cemmancemens, En nous, vieux mariez, auroit mauuaiſe grace.	Il est certain âge où tout passe, Et ce qui leur sied bien dans leurs cemmancemens, En nous, vieux mariez, aurait mauvaise grâce.
Il nuus fartort bt au voir, attathés face à face, A pouſſer les beaux ſentimens!	Il nuus fartort bt au voir, attathés face à face, A pousser les beaux sentiments!
CLEANTHIS.	CLÉANTHIS.
Quoy!	Quoi!
ſuis-je hots d’eſtat, perfide d’eſperer, Qu'vn cœur auprez de moy ſcupire.	suis-je hots d'état, perfide d'espérer, Qu'un cœur auprez de moi scupire.
MERCVRE.	MERCURE.
Non, je n’ay garde de le dire;	Non, je n'ai garde de le dire;
Mais je ſuis trop barbon, pour oſer ſoûpirer;	Mais je suis trop barbon, pour oser soupirer;
Et je lerois creuer de Ire.	Et je lerais crèver de Ire.
CLEANTHIS.	CLÉANTHIS.
Meritois-tu, pendart, cet inſigne bon-heur, De te voir, pour Epouſe, vne femme d’hont, neur?	Méritais-tu, pendard, cet insigne bonheur, De te voir, pour Épouse, une femme d'hont, neur?
MERCVRE.	MERCURE.
Mon Dieu, tu n’es que trop honneſte, Ce grand bon-heur ne me vaut rien;	Mon Dieu, tu n'es que trop honnête, Ce grand bonheur ne me vaut rien;
Ne ſois point ſi femme de bien, Et me romps vn peu moins la teſte.	Ne sois point si femme de bien, Et me romps un peu moins la tête.
CLEANTHIS.	CLÉANTHIS.
Comment!	Comment!
de trop bien viure, on te voit me blãmer ?	de trop bien vivre, on te voit me blammer ?
MERCVRE.	MERCURE.
La douceur d’vne femme eſt tout ce qui me charme, Et ta vertu fait vn vacarme, Qui ne ceſſe de m’aſſommer.	La douceur d'une femme est tout ce qui me charme, Et ta vertu fait un vacarme, Qui ne cesse de m'assommer.
CLEANTHIS.	CLÉANTHIS.
Il te faudroit de cœurs pleins de fauſſes tendreſſes, De ces femmes aux beaux & louables talens, Qui ſçauent accabler leurs maris de cateſ ſes, Pour leur faire aualer l’vſage des galans.	Il te faudrait de cœurs pleins de fausses tendresses, De ces femmes aux beaux et louables talents, Qui savent accabler leurs maris de cates ses, Pour leur faire avaler l'usage des galants.
an E l e v n de Ma foy veux-tu que je te diſe?	an E l' est né de Ma foi veux-tu que je te dise?
Vn mal d’opinon ne touche que les ſots, Et je prendrois pour ma deuiſe, Moins d’honneur, & plus de repos.	Un mal d'opinon ne touche que les sots, Et je prendrais pour ma devise, Moins d'honneur, et plus de repos.
CLEANTHIS.	CLÉANTHIS.
Comment!	Comment!
tu ſouffrirois, ſans nulle repug nance, Quua j’aymaſſe vn galant auee toute licenee.	tu souffrirais, sans nulle répug ance, Qu 'aimasse un galant auee toute lycène.
MERCVRE.	MERCURE.
Oüy, ſi je n’eſtois plus de-tes cris rebattu, Et qu’on te vit changer d’humeur & de methode.	Oui, si je n'étais plus detes cris rebattu, Et qu'on te vit changer d'humeur et de méthode.
l’ayme mieux vn vice commode, Qu’vne fatigante vertu.	l'aime mieux un vice commode, Qu'une fatigante vertu.
nuieu;	nuivu;
cſeanthis, ma chere ame, Il me faut ſuiure Amphitryon.	céanthis, ma chère âme, Il me faut suivre Amphitryon.
CLEANTHIS.	CLÉANTHIS.
Pourquoy, pour punir cét infame, Mon cœur n’a-t-il aſſez de reſolution?	Pourquoi, pour punir cet infâme, Mon cœur n'a-t-il assez de résolution?
Ah;	Ah;
que dans cette cecunon.	que dans cette cecunon.
l’enrage d’eſtre honneſte femme!	l'enrage d'être honnête femme!
Fin du premier Acte.	Fin du premier Acte.
MCIE II	MCIE II
SCENE IREMIENE.	SCÈNE IREMIENE.
2 L CMR01 M1 AMPHITRYON, SOSIE.	2 L MR01 M1 AMPHITRYON, SOSIE.
AMPHITRYON.	AMPHITRYON.
Ien-ça, bourreau, vien-ça.	Jen-ça, bourreau, viens-ça.
Sçais-tu, Maiſtre Fripon, Qu’à te faire aſſommer, ton diſcours peut ſuffire ?	Sais-tu, Maître Fripon, Qu'à te faire assommer, ton discours peut suffire ?
Et que pour te traitter comme je le deſire, Mon courroux n’att end qu’vn baſton ?	Et que pour te traiter comme je le désire, Mon courroux n'att end qu'un bâton ?
D ij	D ij
SOSIE.	SOSIE.
Si vous le prenez ſur ce ton, Monſieur, je n’ay plus rien à dire;	Si vous le prenez sur ce ton, Monsieur, je n'ai plus rien à dire;
Et vous aurez toujours raiſon.	Et vous aurez toujours raison.
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
tu veux me donner pour des veritez, trarrere 5 Des contes que je vois d’extrauagance outrez?	tu veux me donner pour des vérités, trarre 5 Des contes que je vois d'extravagance outrez?
SOSIE.	SOSIE.
Non je ſuis le vaſet, & vous eſtés le maiſtre;	Non je suis le vaset, et vous êtes le maître;
Il n’en ſera, Monſieur, que ce que vous vou	Il n'en sera, Monsieur, que ce que vous vou
AMPHITRYOZ.	AMPHITRYOZ.
drez.	drez.
Cà, je veux étouffer le courroux qui m’enflame, Et, tout du long, t’oüir ſur ta commiſſion.	Çà, je veux étouffer le courroux qui m'enflamme, Et, tout du long, t'oüir sur ta commission.
Il faut, auant que voïr ma femme, Que je débroüille icy cette confuſion, Rappelle tous tes ſens;	Il faut, avant que voïr ma femme, Que je débrouille ici cette confusion, Rappelle tous tes sens;
r’entre bien dans ton ame, Et répons mot pour mot, à chaque queſtion.	rentre bien dans ton âme, Et réponds mot pour mot, à chaque question.
SOSIE.	SOSIE.
Mais de peur d’incongruité, Ditez-moy, de grace, a l’auance, De quel air il vous plait que cecy ſoit traitté.	Mais de peur d'incongruité, Ditez-moi, de grâce, à l'avance, De quel air il vous plaît que ceci soit traité.
Parleray-je, Monſteur, ſelon ma conſcience;	Parlerai-je, Monsieur, selon ma conscience;
Où comme auprez des grands on le voit vſité?	Où comme auprez des grands on le voit usité?
Faut-il dire la verité;	Faut-il dire la vérité;
Où bien vſer de complaiſance?	Où bien user de complaisance?
AMPHITRYON.	AMPHITRYON.
Non, je ne te vettx oonger, Qu’à me tendre de tout vn conte fore ſincere;	Non, je ne te vettx oonger, Qu'à me tendre de tout un compte fore sincère;
OSIE.	OSIE.
Bon, c’eſt aſſez, laiſſez-moy faire:	Bon, c'est assez, laissez-moi faire:
Vous n’auez qu'a ni mnterioger.	Vous n'avez qu'a ni méntérioger.
AMPHITRYON.	AMPHITRYON.
Sur l’ordre que tantoſt, je t’auois ſçeu preſcrire?	Sur l'ordre que tantôt, je t'avais su prescrire?
SOSIE.	SOSIE.
Ie ſuis party, les Cieux, d’vn noir creſpe voilez, Peſtant fort contre vous dans ce fâcheux martyre, Et maudiſſant vingt fois l’ordre dont vous parlez.	Je suis parti, les Cieux, d'un noir crêpe voilez, Pétant fort contre vous dans ce fâcheux martyre, Et maudissant vingt fois l'ordre dont vous parlez.
AMIIIINPON.	AMIIINPON.
Comment, Coquin?	Comment, Coquin?
SOSIE.	SOSIE.
Monſieur vous n’auez rien qu’à dire.	Monsieur vous n'avez rien qu'à dire.
Ie mentiray, ſi vous voulez.	Je mentirai, si vous voulez.
AMPHITRYON.	AMPHITRYON.
Voila comme emmurcumondre pour nous du zele.	Voilà comme emmurcumondre pour nous du zèle.
Paſſons.	Passons.
Sur les chemins, que t’eſt-il arriué?	Sur les chemins, que t'est-il arrivé?
SOSIE.	SOSIE.
D’auoir frayeur mortelle, Au moindre objet que j’ay trouué.	D'avoir frayeur mortelle, Au moindre objet que j'ai trouvé.
