des Aydes.	des Aides.
PHILINTE.	PHILINTE.
C’est à quoy ton conſeil me ſera fort vtile, – - - Songe de ton coſté ie ſongeray du mien, Außi bien ces diſcours ne nous ſeruent de rien, Caliante à promis d’eſtre de la partie, Tenant dans ſes beaux yeux t’on ame aſſubjetie, Elle t’obligera de ſuiure nos mal-heurs:	est quoi ton conseil me sera fort vtile, - - Songe de ton costé ie songerai du mien, Aussi bien ces discours ne nous servent de rien, Caliante promis être de la partie, Tenant dans ses beaux yeux C'est à quoi, Ton çobligera me sera fort mal-heurs,
Voy tu comme elle vient & m'apporte des fleurs.	Vois -tu comme elle vient et m'apporte des fleurs.
CALIANTE.	CALIANTE.
I'apporte icy des fleurs fort rares & nouuelles.	J'apporte ici des fleurs fort rares et nouvelles.
LYCASTE.	LYCASTE.
Voſtre teinct Caliante, en a bien de plus belles.	Votre teinct Caliante, en a bien de plus belles.
PHILINTE.	PHILINTE.
Vous le iugez ainſi parce que vous l’aimez.	Vous le jugez ainsi parce que vous l'aimez.
CALIANTE.	CALIANTE.
Mais Lycaſte ie croy qu'ainſi voüs me blaſmez:	Mais Lycaste ici crois qu'ainsi us me blâmez:
Car ſi mon teint produit des fleurs comme vn parterre, Vous croyez que ma face eſt couuerte de terre:	Car si mon teint produit des fleurs comme un parterre, Vous croyez que ma face est couverte de terre:
Mais Anaxãdre vient qui rompt noſtre entretien.	Mais Anaxendre vient qui rompt notre entretien.
LYCASTE.	LYCASTE.
Croyez que ſans cela ie vous respondrois bien;	Croyez que sans cela je vous répondrais bien;
Vous poſſedez mon cœur, il'eſt ſouz voſtre Empire Vous pouuez voir dedans, ce que ie voulois dire:	Vous possédez mon cœur, il'est souz votre Empire Vous pouvez voir dedans, ce que ie voulois dire:
Cependant mon deuoir fait que ie fuis tenu d'umen txmpereur qu'Anacanart et venu,	Cependant mon devoir fait que ici fuis tenu d'en telmpereur qu'Anacanard et venu,
ANAXANDRE parlant à PHILINTE, qui tient vn bouquet.	ANAXANDRE parlant à PHILINTE, qui tient un bouquet.
Madame dans ces fleurs vous pouuez voir dépeintes, Les paßions d’amour dont ie ſens les atteintes.	Madame dans ces fleurs vous pouvez voir dépeintes, Les passions d'amour dont ie sens les atteintes.
PHILINTE.	PHILINTE.
Monſieur, l'eſclat des fleurs dure bien peu de iours, Ainſi vous comparez ces fleurs à vos amours.	Monsieur, l'éclat des fleurs dure bien peu de jours, Ainsi vous comparez ces fleurs à vos amours.
ANAXANDRE, Au contraire, en ce verd ie voy mon esperance, Au rouge vos rigueurs, au iaune iouïſſance,	ANAXANDRE, Au contraire, en ce verd ie vois mon espérance, Au rouge vos rigueurs, au jaune jouissance,
PHILINTE.	PHILINTE.
Si vos amours eſtoient en bouquet façonnez, En tout cas bien ſouuent ils toucheroient mon nez.	Si vos amours étaient en bouquet façonnés, En tout cas bien souvent ils toucheraient mon nez.
ANAXANDRE.	ANAXANDRE.
Mais pluſtoſt voſtre cœur, car dans trois iours i'eſpere QaJueituy pai cette humeur ſi ſeuere.	Mais plutôt votre cœur, car dans trois jours j'espère QaJueituy pai cette humeur si sévère.
PHILINTE.	PHILINTE.
Pour lire dans mon cœur il le faudroit ouurir, Et vous ne le ſçauriez ſans me faire mourir.	Pour lire dans mon cœur il le faudrait ouvrir, Et vous ne le sauriez sans me faire mourir.
C–-	CEL-
ANAXANDRE.	ANAXANDRE.
La puiſſance d’amour ſurpaſſe la nature;	La puissance d'amour surpasse la nature;
Il entre dans les cœurs ſans y faire ouuerture.	Il entre dans les cœurs sans y faire ouverture.
PHILINTE.	PHILINTE.
On offence les Dieux leur pouuoir imitant, Quand vous ſerez vn Dieu vous en ferez autant,	On offense les Dieux leur pouvoir imitant, Quand vous serez un Dieu vous en ferez autant,
ANAXANDRE.	ANAXANDRE.
d encamorlu ee fen quetesumes conſomme, Vn Dieu ſeruiroit moins que ne feroit vn homme.	d encamorlu ce sen quetesumes consomme, Un Dieu servirait moins que ne ferait un homme.
PHILINTE.	PHILINTE.
Laiſſons les Dieux au Ciel, & ſans ce ſeruir d’eux, Il ne faut que de l’eau pour amortir des feux.	Laissons les Dieux au Ciel, et sans ce servir d'eux, Il ne faut que de l'eau pour amortir des feux.
ANAXANDRE.	ANAXANDRE.
I’ay pourtant esprouué que les larmes ſont vaines, Pour empeſcher l’ardeur des amoureuſes peines.	J'ai pourtant éprouvé que les larmes sont vaines, Pour empêcher l'ardeur des amoureuses peines.
PPHILINTE.	PPHILINTE.
Il faut que voſtre amour vous donne vn repentir, Puis que l’eau de vos pleurs a voulu l’amortir.	Il faut que votre amour vous donne un repentir, Puis que l'eau de vos pleurs a voulu l'amortir.
ANAXANDRE.	ANAXANDRE.
Me pourriez-vous blaſmer, ſi quelque fois mõ ame S’efforce d’adoucir le tourment qui l’enflame?	Me pourriez-vous blâmer, si quelque fois mon âme S'efforce d'adoucir le tourment qui l'enflamme?
PHILINTE.	PHILINTE.
Si l'an our n'eſt qu'vn feu qui bruſle nuict & ioun tameriiſſant ee ſeu tous ntanez puis damour.	Si l'an our n'est qu'un feu qui brûle nuit et joun tameriissant ce seu tous néanez puis damour.
ANAXANDRE.	ANAXANDRE.
C’eſt que ce feu d’amour dans nostre mariage Sera moins violent pour durer dauantage.	C'est que ce feu d'amour dans notre mariage Sera moins violent pour durer davantage.
PHILINTE.	PHILINTE.
Mais ainſi voſtre amour aura moins de vigueur.	Mais ainsi votre amour aura moins de vigueur.
ANAXANDRE.	ANAXANDRE.
Mais ainſi mon aamour aura plus de bon-heur,  apiuammajaauaren poſjeue.	Mais ainsi mon aamour aura plus de bonheur, apiuammajaauaren posjève.
Eſcoutez donc ma voix & haſtez mon remede.	Écoutez donc ma voix et hâtez mon remède.
PHILINTE.	PHILINTE.
Ie vous eſcoute bien puis que ie vous respons,	Je vous écoute bien puis que sans vous répons,
CALIANTE.	CALIANTE.
Madame, ces diſcours me ſemblent vn peu longs, Lors que vous parlez tant, cela vous est contraire Et vous fait mal porter.	Madame, ces discours me semblent un peu longs, Lors que vous parlez tant, cela vous est contraire Et vous fait mal porter.
PHILINTE.	PHILINTE.
Ie parle pour complaire, Mais pourtant ie n’ay fait icy que mon deuoir, Monſieur, ie me retire;	Je parle pour complaire, Mais pourtant ici n'ai fait ici que mon devoir, Monsieur, ie me retire;
adieu iuſqu’au reuoir.	adieu jusqu'au revoir.
ANAXANDRE.	ANAXANDRE.
apres que PHILINTE s'eſt retirée.	après que PHILINTE s'est retirée.
En fin ie ſuis contrainct, il faut que ie l’aduouë, De croire que de moy la cruelle ſe ioüe, Et pour tromper l’espoir que i’ay de l’espouſer, Ie croy quelle me veut tout a fait refuſer.	En fin tu suis contraint, il faut que je l'avoue, De croire que de moi la cruelle se joue, Et pour tromper l'espoir que j'ai de l'épouser, Je crois quelle me veut tout a fait refuser.
LYSIMAN.	LYSIMAN.
Ne vous eſtonnez pas de cette humeur reueſche:	Ne vous étonnez pas de cette humeur revêche:
Car de ſon pucelage elle fait la dépeſche, Et en congediant vn bien ſi precieux.	Car de son pucelage elle fait la dépêche, Et en congédiant un bien si précieux.
Il luy faut quelque temps à faire les adieux.	Il a faut quelque temps à faire les adieux.
Les filles bien ſouuent contre-font les faſchées, Et dans vn corps ouuert ont des ames cachées, Leur face n'eſt iamis d’accord auec leur cœur:	Les filles bien souvent contrefont les fâchées, Et dans un corps ouvert ont des âmes cachées, Leur face n'est jamis d'accord avec leur cœur:
Vous verrez dans trois iours ſi ie ſuis vn menteur.	Vous verrez dans trois jours si tu suis un menteur.
Les rideaux ayant mis ce beau Soleil a l’ombre, Lors elle gouſtera des delices ſans nombre:	Les rideaux ayant mis ce beau Soleil a l'ombre, Lors elle goûtera des délices sans nombre:
Enunam par fes paiſers ue praiſant inter eſt D’vn morceau dont le nom ſeulement luy deplaiſt:	Enunam par fes paisers ue praisant inter est D'un morceau dont le nom seulement deux déplaît:
Mais ie ne ſongeois pas que l’Empereur arriue.	Mais ici ne songeais pas que l'Empereur arrive.
L’EMPEREVR.	L'EMPEREUR.
Anaxandre, d’où vient cette humeur ſi penſiue, Puis que vous cognoiſſez que tout ſuit vos deſirs.	Anaxandre, d'où vient cette humeur si pensive, Puis que vous connaissez que tout suit vos désirs.
ANAXANDRE.	ANAXANDRE.
Sire, dans mon espoir i'ay trop de deplaiſirs;	Sire, dans mon espoir j'ai trop de déplaisirs;
Si viens d’entretenir la cruelle Princeſſe:	Si viens d'entretenir la cruelle Princesse:
– 1-Ie ne ſçay ſi ie dois la nommer ma maiſtreſſe:	§ 1-Ie ne sais si ici dois la nommer ma maîtresse:
Car touſiours d’vn propos qui paroiſt de ſdaigneux, Elle ſemble improuuer les offres de mes vœux, Cependant ie croyois quelle fuſt dispoſée A prendre dans trois iours les marques d’espouſee, Mais ſuiuant le conſeil d’vne femme quelle a En me tournant le dos elle m’a laiſſe la.	Car toujours d'un propos qui paraît de sédaigneux, Elle semble improuver les offres de mes vœux, Cependant Je croyais quelle fût disposée A prendre dans trois jours les marques d'épouse, Mais suivant le conseil d'une femme quelle à En me tournant le dos elle m'a laisse la.
LEMIERETI Il faut ſçauoir ſon nom.	LEMIÈRETI Il faut sçauoir son nom.
ANAXANDRE.	ANAXANDRE.
Sire, c'eſt Caliante.	Sire, c'est Caliante.
De la belle Philinte vnique confidente.	De la belle Philinte unique confidente.
L’EMPEREVR.	L'EMPEREUR.
Comment, que ie ſouffriſſe auecimpunité Qu'elle ait osé ſe prendre à mon authorité, Et ſans conſiderer que ma parolle eſt ſaincte Ayt detourné de vous l’amitié de Philinte?	Comment, que mon souffrisse avecimpunité Qu'elle ait osé se prendre à mon autorité, Et sans considérer que ma parole est sainte Ayt detourné de vous l'amitié de Philinte?
Cela ne ſera pas, ie m'estois bien douté  pelqu'vn abuſoit de ſa facilité, Peut-estre en ſon deſſein vainement obſtinée, Elle porte ma fille à quelque autre hymenée, Mais i'ay contre ce mal vn remede parfait,	Cela ne sera pas, Madame m'étais bien douté pelqu'un abusait de sa facilité, Peut-être en son dessein vainement obstinée, Elle porte ma fille à quelque autre hyménée, Mais j'ai contre ce mal un remède parfait,
Il faut õſter la cauſe afin d’oſter l’effect, Viens Lycaſte, tu fais l’amour à Caliante, Il faut que d’vn ſeul coup trois hommes ie contante:	Il faut usiter la cause afin d'ôter l'effet, Viens Lycaste, tu fais l'amour à Caliante, Il faut que d'un seul coup trois hommes ie contante:
Ie la veux auiourd’huy ſoubmettre à ton pouuoir.	Je la veux aujourd'hui sousmettre à ton pouvoir.
Quand le depart du iour nous amene le ſoir, Ie ne manque point d’eſtre en ces belles allées, Où mille raretez ſont du bruit reculées:	Quand le départ du jour nous amène le soir, Je ne manque point d'être en ces belles allées, Où mille raretés sont du bruit reculées:
Car l’ardeur du Soleil qui tout le iour nous nuiſt, Fait que nous cherchons là le Soleil de la nuict:	Car l'ardeur du Soleil qui tout le jour nous nuist, Fait que nous cherchons là le Soleil de la nuit:
Touſiours en meſme temps Philinte s’y prômene Pour prendre le plaiſir que la fraiſcheur amene:	Toujours en même temps Philinte s'y prômene Pour prendre le plaisir que la fraîcheur amène:
Caliante la ſuit, & ſouuent à l’eſcart Elles cherchent dequoy ſe contenter à part Dans ce lieu Spatieux qu'vn grand mur enuirõne:	Caliante la suit, et souvent à l'écart Elles cherchent dequoy se contenter à part Dans ce lieu Spatieux qu'un grand mur enuirõne:
Tu ſçais bien que l’accez n’eſt permis à perſonne, Si ce n'eſt quand quelqu'vn m’y vient entretenir:	Tu sais bien que l'accès n'est permis à personne, Si ce n'est quand quelqu'vn m'y vient entretenir:
Mais ce ſoir à deſſein ie t’y feray venir.	Mais ce soir à dessein ie t'y ferai venir.
Remarque vn cabinet tout lambrißé d’ombrage, Du costé d’où le Nil nous monſtrant ſon riuage, Va tous les champs voiſins de ſon onde abbreuuant, TEREET	Remarque un cabinet tout lambrissé d'ombrage, Du côté d'où le Nil nous montrant son rivage, Va tous les champs voisins de son onde abreuant, TERCET
Vne porte y paroiſt qu’on ouure peu ſouuent:	Une porte y paraît qu'on ouve peu souuent:
C’eſt par là qu’il te faut enleuer Caliante, Et cette occaſion pour t’on bien ſe preſente:	C'est par là qu'il te faut enlever Caliante, Et cette occasion pour t'on bien se présente:
Car outre qu'elle eſt riche, außi tu peux penſer Comme ie ſeray preſt à te recompenſer.	Car outre qu'elle est riche, aussi tu peux penser Comme tu serai prêt à te récompenser.
Quand tu l’aborderas, taſche de luy dépeindre B Toutes les paßions qu'en amour on peut feindre, Ouure ton artifice afin de déguiſer:	Quand tu l'aborderas, tâche de lui dépeindre B Toutes les passions qu'en amour on peut feindre, Ouvre ton artifice afin de déguiser:
Car faiſant des diſcours qui puiſſent l’amuſer, Comme inſenſiblement tu pourras faire en ſorte Que tu la meneras aupres de cette porte:	Car faisant des discours qui puissent l'amuser, Comme insensiblement tu pourras faire en sorte Que tu la mèneras auprès de cette porte:
Lors ſelon ton deſſein la ſaiſiſſant au corps, Il ſera bien aisé de la mettre dehors.	Lors selon ton dessein la saisissant au corps, Il sera bien aisé de la mettre dehors.
Moy ie veux à ſa voix, de colere animee Tr Jun paſfeur de mpore jerniee, Laiſſe moy faire au reſte, & prẽds ſoin ſeulement De ioindre ta prudence à mon commandement.	Mo ie était à sa voix, de colère animée Tr Un passeur de mpore jernée, Laisse moi faire au reste, et prends soin seulement De joindre ta prudence à mon commandement.
LYCASTE.	LYCASTE.
Sire, vous cognoiſtrez par mon obeiſſance, Dans m'a fidelité beaucoup de diligence.	Sire, vous connaîtrez par mon obéissance, Dans m'a fidélité beaucoup de diligence.
L'EMPEREVR.	L'EMPEREUR.
Allons, retirons nous en quelque lieu moins chaud, Toy, va de ton coſte preparer ce qu’il faut.	Allons, retirons nous en quelque lieu moins chaud, Toi, va de ton côte préparer ce qu'il faut.
LYCASTE ſeul.	LYCASTE seul.
Ie voy que le bon-heur auiourd'huy fauoriſe La reſolution que Philinte auoit priſe, On verra cette nuict ſon deſſein reüßi, Car ie veux l’emmener, & Caliante außi:	Je vois que le bonheur aujourd'hui favorise La résolution que Philinte avait prise, On verra cette nuit son dessein réussi, Carque veux l'emmener, et Caliante aussi:
L’occaſion iamais n'en peut-eſtre plus belle, Ie m'en vais luy porter cetté bonne nouuelle.	L'occasion jamais n'en peut-être plus belle, Je m'en vaisblé porter cetté bonne nouvelle.
{C--	„C-
ACTE SECOND.	ACTE SECOND.
SCENE I.	SCÈNE I.
LEON deuenu Berger ſouz le nom d’ISMIN.	LEN devenu Berger souz le nom d'ISMIN.
PHILENE Villageois.	PHILENE Villageois.
ISMIN.	ISMIN.
L ſemble que l’amour me donnant des appas IMette tout ſon plaiſir à ne m'en faire pas.	L semble que l'amour me donnant des appas JUette tout son plaisir à ne m'en faire pas.
I’ay ſeruy pres d’vn an Philinte trop cruelle, Qui voyant mon amour ſans que i'en viſſe en elle, Me força d’aduouer en fin qu'à mes despens Sa rigueur amenoit la perte de mon temps;	J'ai servi pres d’ vn an Philinte trop cruelle, Qui voyant mon amour sans que j'en visse en elle, Me força d'avouer en fin qu'à mes dépens Sa rigueur amenait la perte de mon temps;
Si ce n'est que Philinte à ma peine obſtinée Faiſant que chaque iour me ſembirmrurtumée, Malgre ſa cruauté m’obligeaſt en vn point, C’eſt qu'allongeant mon temps ie ne le perdois point T–	Si ce n'est que Philinte à ma peine obstinée Faisant que chaque jour me sembirmrurtumée, Malgre sa cruauté m'obligeast en un point, C'est qu'allongeant mon tempsois ne le perdais point TENDRE
Alors le deſespoir ietta dedans mon ame Vn ſi fort desplaiſir du mespris de ma flamme, Que ie me reſolus à l’instant de changer Mon vestement de Prince en celuy de berger, Croyant diminuer cette peine infinie, N'eſtant plus estimé le Prince d’Armenie, Mon peuple qui ne ſçait en quel endroit ie ſuis, Du ſoupçon de ma mort a formé mille ennuis.	Alors le désespoir jeta dedans mon âme Un si fort déplaisir du mépris de ma flamme, Que ie me résolus à l'instant de changer Mon vêtement de Prince en celui de berger, Croyant diminuer cette peine infinie, N'étant plus estimé le Prince d'Arménie, Mon peuple qui ne sait en quel endroit je suis, Du soupçon de ma mort a formé mille ennuis.
Mais le plaiſir des champs fait naiſtre en moy l'enuie D’y gouster plus long-temps vne ſi douce vie, Et croy que me voyant preſque exempt de ſouçy, I’ay commencé de viure en abordant icy.	Mais le plaisir des champs fait naître en moi l'envie D'y goûter plus longtemps une si douce vie, Et crois que me voyant presque exempt de souçi, J'ai commencé de vivre en abordant ici.
L’orgueil qui dans la Cour va touſiours à plain voile, Ne prend point de plaiſir ſouz nos habits de toile:	L'orgueil qui dans la Cour va toujours à plain voile, Ne prend point de plaisir souz nos habits de toile:
Dans la ſeule vertu nous cherchons nos honneurs, Toute nostre ſcience est dans nos bonnes meurs:	Dans la seule vertu nous cherchons nos honneurs, Toute notre science est dans nos bonnes mûrs:
Si le temps quelquefois aux foudres ſe dispoſe, Nos vœux vont dans le Ciel y plaider noſtre cauſe, Quãd l’ardeur eſt trop grãde, alors chacun de nous Attache ſes penſers au ſalut de ſes choux, d -- 9 --- –A	Si le temps quelquefois aux foudres se dispose, Nos vœux vont dans le Ciel y plaider notre cause, Quand l'ardeur est trop grande, alors chacun de nous Attache ses pensers au salut de ses choux, d -' 9 --EMP
Noſtre –7--	Notre 7-
Noſtre ſimplicité nous exempte du blaſme D’eſloigner nos diſcours des ſentimens de l’ame, Et toute autre inconstance icy nous meſpriſons, Que la neceßité de celle des ſaiſons:	Notre simplicité nous exempte du blâme D'éloigner nos discours des sentiments de l'âme, Et toute autre inconstance ici nous méprisons, Que la necessité de celle des saisons:
Nous gardons l’âge d’or, & laiſſons l’or aux villes, Ce metal eſt trop lourd pour nos esprits tranquilles, Nous en auons aux champs ſeulement la couleur, Alors que quelque fruict nous monſtre qu'il eſt meur:	Nous gardons l'âge d'or, et laissons l'or aux villes, Ce métal est trop lourd pour nos esprits tranquilles, Nous en avons aux champs seulement la couleur, Alors que quelque fruit nous montre qu'il est meur:
Nous fermons nos maiſons à l’ornement des marbres, Si nos deſirs vont haut, c'eſt pour monter aux arbres.	Nous fermons nos maisons à l'ornement des marbres, Si nos désirs vont haut, c'est pour monter aux arbres.
I’ay pourtant recogneu depuis deux ou trois mois Qu'Amour eſt vn oiſeau qui perche dans ces bois, Mais pluſtõſt qui ſe loge aux yeux de Charixene, D'où mon apie reçoit vne nouuelle chaiſne:	J'ai pourtant reconnu depuis deux ou trois mois Qu'Amour est un oiseau qui perche dans ces bois, Mais plustõst qui se loge aux yeux de Charixène, D'où mon apie reçoit une nouvelle chaîne:
Car ſa grace me iette en vne paßion A qui rien n’est égal que ſa perfection, Mais parce qu'on me prend pour vn berger eſtrãge, Que quelqu'autre demeure obligeroit au change:	Car sa grâce me jette en une passion À qui rien n'est égal que sa perfection, Mais parce qu'on me prend pour un berger étrange, Que quelqu'autre demeure obligerait au change:
Cette ſeule raiſon fait qu'elle a rejetté L’hommage que mon cœur faiſoit à ſa beauté, – 9 7r --- - – Le Soleil en tenant ſa route couſtumiere N’a donné que trois fois au monde ſa lumiere, Depuis que Charixene en espouſant Syluain M'a voulu teſmoigner que mon deſir eſt vain, Voila le ſeul ſubiect qui dans ces bois m’oblige D’aduoüer le tourment dont mon ame s’afflige, Ie deguiſe pourtant vn peu dans mon amour, Et me ſouuient touſiours comme on fait à la Cour, Ioinct que l’õ aime aux chãps d’vne plaiſante ſorte, Sans prendre aucun des maux que l’amour nous apporte.	Cette seule raison fait qu'elle a rejetté hommage que mon cœur faisoit sa beauté, 9 -- - Le Soleil en tenant sa route coustumiere a donné que trois fois au monde sa lumière, Depuis que Charixene en épousant Syluain M'a voulu témoigner que mon désir est vain, Voila le seul subiect qui dans ces bois oblige aduoüer le tourment dont mon âme afflige, Ie deguise pourtant peu dans mon amour, Et Cette seule rais comme on fait qu' elle a, Rejet té L'hommage que mon çœur faisait à, Sa prendre au té maux que 7amour nous apporte.
Si toſt que la rigueur d’vne fille nous nuiſt, – Nous allons autre part, fuyant ce punous fuit.	Si tôt que la rigueur d'une fille nous nuist, Nous allons autre part, fuyant ce punous fuit.
PHILÆN E.	PHILLN E.
arriuant.	arrivant.
Dergeesle pons ſur prenas tonfionna en re ſuerie,	Dergeesle pons sur prenas tonfionna en re suerie,
ISMIN.	ISMIN.
C'eſt que dans le cerueau, i'ay quelqe faſcherie.	C'est que dans le cerveau, j'ai quelque fâcherie.
PHILENE.	PHILENE.
Ainſi quand i'ay trop beu i’ay du mal au cerueau.	Ainsi quand j'ai trop bu j'ai du mal au cerveau.
–	
I’SMIN.	J'SMIN.
Cela n’aduiendroit pas ſi vous beuuiez de l’eau.	Cela n'aduiendroit pas si vous buviez de l'eau.
PHLLENE.	PHLLENE.
Ie ne me mets iamais de l’eſcot d’vne beſte:	Je ne me mets jamais de l'écot d'une bête:
V ---------------.	V -est-.
3 --- Mais vos amours vous font plus de mal à la qque?	3 -- Mais vos amours vous font plus de mal à la qque?
–  2 24	 2 24
ISMIN.	ISMIN.
Außi toſt que d’aimer nous auons le deſir, Ol nous auons du mal nous y prenons plaiſir.	Aussi tost que d'aimer nous avons le désir, Ol nous avons du mal nous y prenons plaisir.
PHILENE.	PHILENE.
A prõpos dictes moy, ce qu'amein crrappelle?	À prompos dictes -moi, ce qu'âmein crappelle?
Eſt-ce chair ou poiſſon?	Est-ce chair ou poisson?
eſt-ce maſle ou femelle?	est-ce mâle ou femelle?
ISMIN.	ISMIN.
Peyy touſtours entendu des bergers les plus vieux Qu'il a le corps petit, & qu’il vole en tous lieux.	Pei toustours entendu des bergers les plus vieux Qu'il a le corps petit, et qu'il vole en tous lieux.
PHILENE.	PHILENE.
S’il tomboit dans le vin deſtiné pour ma bouche, Ie pourrois l’aualler en guiſe d’vne mouche.	S'il tombait dans le vin destiné pour ma bouche, Je pourrais l'avaller en guise d'une mouche.
Ranena D'autres, diſent qu'amour eſt vne paßion Qui n'a point d’autre obiect que la poſſeßion.	Rana D'autres, disent qu'amour est une passion Qui n'a point d'autre objet que la passion.
PHILENE.	PHILENE.
Ie ſuis donc amoureux:	Je suis donc amoureux:
car touſiours ie fais gloire D’auoir la paßion, cela s'entend de boire.	car toujours ie fais gloire D'avoir la passion, cela s'entend de boire.
ISMIN.	ISMIN.
Le ventre eſt voſtre Dieu, mais celuy que ie ſers -- - -  ----- -- Rrevomnt jonponnois qu'au vont de t'pntuers,	Le ventre est vôtre Dieu, mais celui que je sers -elle- -elle est --à -- Révomnt jonponnais qu'au vont de t'ntuers,
PHYLENE.	PHYLENE.
Vous meſpriſez Baccus, le prenant pour vn autre?	Vous méprisez Baccus, le prenant pour un autre?
Car c'est vn Dieu plus grand & plus gros que le voſtre.	Car c'est un Dieu plus grand et plus gros que le vôtre.
E	E
ISMIN.	ISMIN.
C’eſt qu'Amour eſt ſubtil, & que Baccus eſtgras, Et l’vn tire de l’arc, l’autre n’en tire pas.	C'est qu'Amour est subtil, et que Baccus estgras, Et l'un tire de l'a, autre n'en tire pas.
PHILENE.	PHILENE.
Pour donner viuement dans l’amoureuſe breche, Quand il tire de l’arc nous y mettons la fleche.	Pour donner vivement dans l'amoureuse brèche, Quand il tire de l'arc nous y mettons la flèche.
ISMIN.	ISMIN.
Vous faites de l'Amour vn diſcours tout nouueaus Sçauez-vous bien pourquoy l’on luy donne vn bandeau?	Vous faites de l'Amour un discours tout nouveaus Savez-vous bien pourquoi l'on lui donne un bandeau?
Dram ai	Dram ai
PHILENE.	PHILENE.
Du bandeau de l'Amour la raiſon eſt bien grãde, Quand on eſt amoureux, c'eſt qu’il faut que l'on bande.	Du bandeau de l'Amour la raison est bien grande, Quand on est amoureux, c'est qu'il faut que l'on bande.
ISMIN.	ISMIN.
Ce diſcours est plaiſant, bien qu’il ſoit vn peu lourd:	Ce discours est plaisant, bien qu'il soit un peu lourd:
Mais n’auez-vous plus rien à dire de l'Amour?	Mais n'avez-vous plus rien à dire de l'Amour?
	
PHILENE.	PHILENE.
Ie dis que deſormais ſa fleche ſera bonne al perter, nontes tanis, mais pinſoſt vne tonné.	Je dis que désormais sa flèche sera bonne al perter, nontes tanis, mais pinsôt une tonné.
ISMIN.	ISMIN.
Vous ne voudriez ſans doute eſtre au nombre des Dieux, Qu'à cauſe du nectar qu’ils boiuent dans les Cieux ------ 1-	Vous ne voudriez sans doute être au nombre des Dieux, Qu'à cause du nectar qu'ils boivent dans les Cieux -- 1-
PHILENE.	PHILENE.
Ie ſuis plus cõtent qu’eux, quand mon goſier ie laue:	Je suis plus cõtent qu'eux, quand mon gosier Elle laue:
Les Dieux pour boire frais nont point au Ciel de caue.	Les Dieux pour boire frais nont point au Ciel de cave.
ISMIN.	ISMIN.
Quand vous parlez du Ciel cela paſſe vos ſens.	Quand vous parlez du Ciel cela passe vos sens.
	
PHILENE.	PHILENE.
Mais non pas le plaiſir qu'à boire ie reſſens.	Mais non pas le plaisir qu'à boire vertu ressens.
11	11
ISMIN.	ISMIN.
Ce plaiſir vous a fait la face colorée.	Ce plaisir vous a fait la face colorée.
PHILENE.	PHILENE.
C'eſt que de ma maiſtreſſe elle a pris laliurée.	C'est que de ma maîtresse elle a pris laliurée.
ISMIN.	ISMIN.
Vous ne blaſmez donc plus la puiſſance d'Amour?	Vous ne blâmez donc plus la puissance d'Amour?
PHILENE.	PHILENE.
Ie cheris ma maiſtreſſe & lanuict & le iour.	Je chéris ma maîtresse et lanuit et le jour.
C iiij	Ç Cijà
ISMIN.	ISMIN.
ne rena ſp̧auoit ſon nomt, voſtre tntereſt me touche,	ne rena sp̧auoit son nomt, votre tnterest me touche,
HILENE.	HILENE.
Elle à le cul beaucoup plus large que la bouche, Elle n’a point de dents, & ſans beaucoup d’efforts, Me monſtre quand ie veux ce qu’elle a dans le corps:	Elle à le cul beaucoup plus large que la bouche, Elle n'a point de dents, et sans beaucoup d'efforts, Me montre quand je veux ce qu'elle a dans le corps:
Encore qu'elle vueille eſtre touſiours bouchée, I’euite ſon approche alors qu’elle eſt couchée, Son col eſt vn peu long, & ſon ventre est bien grãd, Que que fois en penſant la prendre elle me prend, L'excez de ſon amour rend ma face vermeille.	Encore qu'elle veuille même toujours bouchée, J'évite son approche alors qu'elle est couchée, Son col est un peu long, et son ventre est bien grande, Que que fois en pensant la prendre elle me prend, L'excès de son amour rend ma face vermeille.
ISMIN.	ISMIN.
Mais enfin dites moy ſon nom.	Mais enfin dites -moi son nom.
PHILENE.	PHILENE.
C’eſt la bouteille	C'est la bouteille
ISMIN.	ISMIN.
Ie me ſuis bien douté vers la fin du diſcours, Que ſa bouteille eſtoit l’obiect de vos amours.	Je me suis bien douté vers la fin du discours, Que sa bouteille était l'object de vos amours.
PHILENE.	PHILENE.
Dés la pointe du iour ie charme la broüée, A boire ie n'oy point l’eſguillette noüee, Charixene voudroit que ſon mary Syluain L’embraſſaſt außi fort comme ie boy du vin;	Dès la pointe du jour ie charme la broüée, À boire tu n'ois point l'éguillette nue, Charixène voudrait que son mari Syluain L'embrassât aussi fort comme il boy du vin;
Ie ſçay de bonne part que la belle s’offenſe De ſe voir expoſee à ſa froide impuiſſance;	Je sais de bonne part que la belle s'offense De se voir exposée à sa froide impuissance;
I’auois pourtant promis que ie n'en dirois rien, Mais vous eſtés diſcret, car ie le cognois bien.	J'avais pourtant promis que ici n'en dirais rien, Mais vous êtes discret, car ie le connais bien.
A force de parler i’ay la langue ſi ſeiche Qu'vn ſoldat au beſoin s’en ſeruiroit de méche;	À force de parler j'ai la langue si seiche Qu'un soldat au besoin s'en servirait de mèche;
Pour empeſcher cela ie m’en vais l’abreuuer Mapim tacerin maqueiepen uimie, Adieu berger.	Pour empêcher cela ie m'en vais l'abreuver Mapim tacerin maqueiepen uimie, Adieu berger.
ISMIN.	ISMIN.
