LES ACTEVRS.	LES ACTEURS.
Il ſemble, (s’il te faut parler d’vne ame ouuerte) Que rachetant ſa Sœur, il achepta ſa perte, Et que Conſtant inople eſt vn ſeiour fatal, Où tout bienſe corrapt & degenere en mali Si l’étude autrefois l’a mis en quelque eſtime, Il s’emble n’eſtre plus qu’vn corps que rien n’anime, Et ſon oyfiueté ſemble le mettre au rang Des obiets dépourueus, & de vie & de ſang.	Il semble, (s'il te faut parler d'une âme ouverte) Que rachetant sa Sœur, il acheta sa perte, Et que Constant inople est un séjour fatal, Où tout biense corrapt et degenere en mali Si l'étude autrefois l'a mis en quelque estime, Il s'emble n'être plus qu'un corps que rien n'anime, Et son oisiveté semble le mettre au rang Des objets dépourvus, et de vie et de sang.
Il ne ſçauroit treuuer pour ſon inquietude, Dans ſa bizearre humeur aſſez de ſolitude, Et l’Egliſe autrefois le premier de ſes ſoins, Eſt auiourd’huy le lieu qu’il frequente le moins.	Il ne saurait trouver pour son inquiétude, Dans sa bize humeur assez de solitude, Et l'Église autrefois le premier de ses soins, Est aujourd'hui le lieu qu'il fréquente le moins.
ERGASTE.	ÉRGASTE.
Le prouerbe eſt certain, & l’épreuue conſtante, Que l’on ſçait qui l’on est, en ſçachãt qui l’on hãte;	Le proverbe est certain, et l'épreuve constante, Que l'on sait qui l'on est, en sçachãt qui l'on hôte;
Et vous plaindre de luy, n’est que luy reprocher, Qu’auecques les boiteux on apprend à clocher.	Et vous plaindre de vertu, n'est que lui reprocher, Qu'avec les boiteux on apprend à clocher.
Nous venens de Turquie, & dans cette contrée, Des plus religieux l’Egliſe eſt ingnorée;	Nous venends de Turquie, et dans cette contrée, Des plus religieux l'Église est ingnorée;
C’est vnclimat de maux dépourueu de tous hiens, (Car les Turcs, comme on ſçait, ſont fort mauuais Chreſtiens) Les Liures en ce lieu n’entrent point en commerce, En aucun art illuſtre, aucun d’eux ne s’exerce, Et l’ony tient, quiconque est autre qu’ignorant, Pour Catalamechis, qui ſont gens de neant.	C'est vnclimat de maux dépourvu de tous hiens, (Car les Turcs, comme on sait, sont fort mauvais Chrétiens) Les Livres en ce lieu n'entrent point en commerce, En aucun art illustre, aucun d'eux ne s'exerce, Et l'on tient, quiconque est autre qu'ignorant, Pour Catalmechis, qui sont gens de néant.
ANSELME.	ANSELME.
Plus ialoux de ſa Sœur qu’on n’eſt d’vne Maiſtreſſe, Iamais il ne la quitte, ils ſe parlent ſans ceſſe, Me raillent, ſe font ſigne, & ſe mocquants de moy, Ne s’apperçoiuent pas, que ie m’en apperçoy	Plus jaloux de sa Sœur qu'on n'est d'une Maîtresse, Jamais il ne la quitte, ils se parlent sans cesse, Me raillent, se font signe, et se moquant de moi, Ne s'apperçoiuent pas, que Un m'en aperçois
ERGASTE.	ÉRGASTE.
Là chacun à gauſſer librement ſe diſpenſe, La raillerie eſt libre & n’est point vne offences Et ſi ie m’en ſouuiens, on appelle en ces lieux, Vrchec, ou gens d’eſprit, ceux qui raillent le mieux,	Là chacun à gausser librement se dispense, La raillerie est libre et n'est point une offenses Et si jus m'en souviens, on appelle en ces lieux, Vrchec, ou gens d'esprit, ceux qui raillent le mieux,
ANSELME.	ANSELME.
Ils en vſent pour Nole auec trop de licence, Et quoy que leur amour ait beaucoup d’innocence, Ione puis approuuer ces baiſers aßidus, D’vne ardeur mutuelle, & donnez & rendus, Ces diſcours à l’oreille, & ces tendres carreſſes, Plus dignes paſſe-tẽps, d'Amants & de Maiſtreſſe.	Ils en usent pour Nole avec trop de licence, Et quoi que leur amour ait beaucoup d'innocence, Ione puis approuver ces baisers assidus, D'une ardeur mutuelle, et donnez et rendus, Ces discours à l'oreille, et ces tendres carresses, Plus dignes passe-tends, d'Amants et de Maîtresse.
Qu’il ne ſont en effet, d’vn Frere & d’vne Sœur.	Qu'il ne sont en effet, d'un Frère et d'une Sœur.
ERGASTE.	ÉRGASTE.
Se peuuent-ils cherir auec trop de douceur?	Se peuvent-ils chérir avec trop de douceur?
Et proches comme ils ſont, peut-on ſans iniuſtice Iterdire à leur ſang de faire ſon office?	Et proches comme ils sont, peut-on sans injustice Iterdire à leur sang de faire son office?
ANSELMÉ.	ANSELM.
Ie crains que cet oſſice excede leur deuoir, Ie n’en puis mal iuger;	Je crains que cet ossice excède leur devoir, Je n'en puis mal juger;
mais il faut tout preuoir.	mais il faut tout prévoir.
ERGASTE.	ÉRGASTE.
La Loy de Mahomet, par vne charge expreſſe, Enioint ces ſentimens d’amour & de tendreſſe.	La Loi de Mahomet, par une charge expresse, Enioint ces sentiments d'amour et de tendresse.
Que le ſang iuſtiſie & ſemble authoriſer, Mais le temps les pourra de-Mahometiſer;	Que le sang iustisie et semble autoriser, Mais le temps les pourra deMahométiser;
Ils appellent Tubalch, cette ardeur fraternelle, Ou Boram, qui veut dire, intime & naturelle.	Ils appellent Tubalch, cette ardeur fraternelle, Ou Boram, qui veut dire, intime et naturelle.
ANSELME.	ANSELME.
S’il m’eſt enſin permis de ne te point mentir, Et ſi d’vne bonne œuure on ſe peut repentir, De leurs déportemens, mon ame inquietée.	S'il m'est ensin permis de ne te point mentir, Et si d'une bonne œuvre on se peut repentir, De leurs déportements, mon âme inquiétée.
Conçoit quelque regret de l’auoir racheptée;	Conçoit quelque regret de l'avoir racheptée;
Puis qu’en la recouurant ie perdis mon repos.	Puis qu'en la recouvrant ici perdis mon repos.
Que ce ſoin importun trauerſe à tous propos.	Que ce soin importun traverse à tous propos.
ERGASTE.	ÉRGASTE.
L’vſage de Turquie enfin les iuſtiſie;	L'usage de Turquie enfin les justisie;
La Loy Turque;	La Loi Turque;
ANSELME.	ANSELME.
Et toy traiſtre, auecques ta Turquie, Auecques ta Loy Turque, auec ton Mahomet, Tu veux authoriſer cet vſage indiſcret, Et ſous vn voile Turc me chargeant d’infamie, M’affronter à la Turque, & couurir leur folie;	Et toi traître, avec ta Turquie, Avecques ta Loi Turque, avec ton Mahomet, Tu veux autoriser cet usage indiscret, Et sous un voile Turc me chargeant d'infamie, M'affronter à la Turque, et couvrir leur folie;
Mais le ſoin que tu prends de les iuſtifier, Me les rend plus ſuſpect, & m’en fait défier;	Mais le soin que tu prends de les justifier, Me les rend plus suspect, et m'en fait défier;
I'entẽds ſi chez les Tures ils ſuiuoiẽt leur methode Que parmy les Chreſtiens ils viuent à leur mode.	J'entends si chez les Tures ils suivaient leur méthode Que parmi les Chrétiens ils vivent à leur mode.
ERGASTE.	ÉRGASTE.
La fille ayant atteint l’âge de la raiſon, Eſt vn meuble importun dedans vne maiſiu, Et dont aux plus ſoigneux la garde eſt incertaine, Vn mariage enfin, vous tireroit de peine, Et borneroit vos ſoins en terminant ſes vœux.	La fille ayant atteint l'âge de la raison, Est un meuble importun dedans quelque maisiv, Et dont aux plus soigneux la garde est incertaine, Un mariage enfin, vous tirerait de peine, Et bornerait vos soins en terminant ses vœux.
ANSELME.	ANSELME.
Tu n’en propoſes qu’vn, & i'en ay conclu deux;	Tu n'en proposes qu'un, et j'en ai conclu deux;
Tu connois Eroxene?	Tu connais Eroxène?
ERGASTE.	ÉRGASTE.
Oüy, laniepce d’Orgye?	Oui, laniepce d'Orgye?
ANSELME.	ANSELME.
Elle meſme, eſt-ce vn choix indigne de Lelie?	Elle même, est-ce un choix indigne de Lélie?
ERGASTE.	ÉRGASTE.
S’il obtient par vos ſoins ce fauorable choix, Vous luy donnez ta vie vne ſeconde fois;	S'il obtient par vos soins ce favorable choix, Vous lui donnez ta vie seconde fois;
Puis qu’il aime Eroxene à l’égal de ſon ame, Et que ſon ſeul reſpect luy fait cacher ſa flâme.	Puis qu'il aime Eroxène à l'égal de son âme, Et que son seul respect avait fait cacher sa flamme.
ANSELME.	ANSELME.
Ie rends graces au Ciel, qu’vne fois pour ſon bien, Son choix touſiours contraire ait rencontré le mien;	Je rends grâces au Ciel, qu'une fois pour son bien, Son choix toujours contraire ait rencontré le mien;
Mais outre cet Hymen, i’ay d’Aurelie encore, Arreſté l’alliançe auecques Polydore.	Mais outre cet Hymen, j'ai d'Aurelie encore, Arrêté l'alliançe après Polydore.
ERGASTE.	ÉRGASTE.
Pour Lelie, Eroxene eſt tout l’heur qu’il pretend, Mais pour ſa Sœur.	Pour Lélie, Eroxène est tout l'heur qu'il prétend, Mais pour sa Sœur.
ANSELME.	ANSELME.
Et bien?	Et bien?
EGRASTE.	ÉGRASTE.
Ne vous baſlez pastant.	Ne vous baslez pâtant.
ANSELME.	ANSELME.
Pourquoy' veux-tu que l’âge au logis la conſomme?	Pourquoy' veux-tu que l'âge au logis la consomme?
ERGASTE.	ÉRGASTE.
Ne la mariez point, ou luy donnez vn homme.	Ne la mariez point, ou lui donnez un homme.
ANSELME.	ANSELME.
Et qu’est donc Polydore?	Et qu'est donc Polydore?
ERGASTE.	ÉRGASTE.
Il n'eft plus, autant vaut.	Il n'est plus, autant vaut.
ANSELME.	ANSELME.
Comment?	Comment?
en ſa ſanté ſçais-tu quelque deſaut?	en sa santé sais-tu quelque désaut?
ERGASTE.	ÉRGASTE.
Non, mais il eſt trop ieune, attendez qu’il ait l'âge, Et puiſſe ſatisfaire aux deuoirs du menage;	Non, mais il est trop jeune, attendez qu'il ait l'âge, Et puisse satisfaire aux devoirs du menage;
O que de ſes pareils, le feu doit eſtre ardant!	Ô que de ses pareils, le feu doit être ardant!
ANSELME.	ANSELME.
Il n’a pas cinquante ans.	Il n'a pas cinquante ans.
ERGASTE.	ÉRGASTE.
Et de plus, pas vne dent, Il n'eft dans la Nature, homme quine le iuge, Du ſiecle de Saturne, ou du temps du Deluge;	Et de plus, pas une dent, Il n'est dans la Nature, homme quine le juge, Du siècle de Saturne, ou du temps du Deluge;
Des trois pieds dõt il marche, il en a deux goutteux, Et reſſemble en marchant à ces aſnes boiteux, Qui preſque à châque pas trébuchent de foibleſſe, Et qu’il faut ſoûtenir ou releuer ſans ceſſe.	Des trois pieds donner il marche, il en a deux goutteux, Et ressemble en marchant à ces ânes boiteux, Qui presque à châque pas trêbuchent de faiblesse, Et qu'il faut soutenir ou relever sans cesse.
ANSELME.	ANSELME.
Il eſt riche, & le bien a de puiſſants appas;	Il est riche, et le bien a de puissants appas;
ERGASTE.	ÉRGASTE.
Tabrice ment donc bien car il ne le dit pas;	Tabrice ment donc bien car il ne le dit pas;
Quel Fabrice?	Quel Fabrice?
ANSESME.	ANSÊME.
ERGASTE.	ÉRGASTE.
Vn valet qu’il chaſſa pour vnvetrę Qu’il rainçoit par malheur &, qui tomba par terr	Un valet qu'il chassa pour vnvetrę Qu'il rainait par malheur et, qui tomba par terr
ANSELME.	ANSELME.
Et que t’en a-t’il dit?	Et que t'en a-t-il dit?
ERGASTE.	ÉRGASTE.
Que bien loin de l’enſter, Il vidoit ſa finance à force de ſouffler, Et que penſant l’accroiſtre auec de la fumée, En fumée, au contraire, il l’auoit conſommées Qu’au reste on vit chez luy de mets ſi delicats, Qu'on meurt touſious de faim à la fin du repas;	Que bien loin de l'enster, Il vitait sa finance à force de souffler, Et que pensant l'accroître avec de la fumée, En fumée, au contraire, il l'avait consommées Qu'au reste on vit chez lui de mets si délicats, Qu'on meurt toujours de faim à la fin du repas;
Baste, encor pour auoir la fortune contraire.	Bâte, encor pour avoir la fortune contraire.
A bien d'honneſtes gens elle n’est pas proſpere;	À bien d'honnêtes gens elle n'est pas prospère;
Mais ſon eſprit mordant, enuieux & ialoux, Ne pardonne à perſonne, & ſe prend iuſqu’avous;	Mais son esprit mordant, envieux et jaloux, Ne pardonne à personne, et se prend jusqu'avou;
Déchriffrant voſtre vie auec d’autres critiques, Par tous les carrefours il en fait des croniques:	Déchriffrant votre vie avec d'autres critiques, Par tous les carrefours il en fait des croniques:
Et ne ſe plaiſt à rien tant qu’à vous éplucher;	Et ne se plaît à rien tant qu'à vous éplucher;
Mais en vous diſant tout, ie vous pourrois faſcher,	Mais en vous disant tout, ie votre pourrais fâcher,
ANSELME.	ANSELME.
Acheue ie le veux.	Achève Seigneur le veux.
ERGASTE.	ÉRGASTE.
I'ay bonte de le dire;	J'ai bonté de le dire;
ANSELME.	ANSELME.
Si ce qu’il dit est faux, ie n'en ſeray paspire.	Si ce qu'il dit est faux, je n'en serai paspire.
ERGASTÉ.	ÉRGASTÉ.
Il vous veuti mputer certaine infirmité, Par qui de tous les nez le vostre est éuité;	Il vous veuti mputer certaine infirmité, Par qui de tous les nez le vôtre est évité;
Et dit, qu'vn vieil poury, dont le corps vous demanst, Vous oblige ſans ceſſe, à quelque geste étrange.	Et dit, qu'un vieil pouri, dont le corps vous demandant, Vous oblige sans cesse, à quelque geste étrange.
ANSELME.	ANSELME.
Le ſot, ment par ſa gorge.	Le sot, ment par sa gorge.
ERGASTE.	ÉRGASTE.
Et dit le bien ſçauoir De gens, qui tous les iours ont l’honneur de vous voir, Meſme de vos amis.	Et dit le bien savoir De gens, qui tous les jours ont l'honneur de vous voir, Même de vos amis.
ANSELME.	ANSELME.
Il ment par les oreilles,	Il ment par les oreilles,
ERGASTE.	ÉRGASTE.
De plus, qu’ayant le nez delicat à merueilles, Il le ſçait par luy meſme.	De plus, qu'ayant le nez délicat à merveilles, Il le sait par lui même.
ANSELME.	ANSELME.
Il ment par l'odorats	Il ment par l'odorats
ERGASTE.	ÉRGASTE.
Et que le vostre estant, & ſi court & ſi plat, Cette incommodité qui vous eſt naturelle, Eſt facille à iuger.	Et que le vôtre étant, et si court et si plat, Cette incommodité qui vous est naturelle, Est facille à juger.
ANSELME.	ANSELME.
Il ment par la ceruelle.	Il ment par la cervelle.
ERGASTE.	ÉRGASTE.
Quoy qu’il n’ait pas raiſon, car ie ſçay bien qu’il ment, L’accéz qu’il achezvous, le fait croire ayſément.	Quo qu’il n'ait pas raison, car a sçay bien qu'il ment, L'accéz qu'il achezvous, le fait croire aisément.
ANSELME.	ANSELME.
Mais comment l'en bannir, ma parole me lie, Ioint qu’il s’offre ſans dot, d'épouſer Aurelie.	Mais comment l'en bannir, ma parole me lie, Joint qu'il s'offre sans dot, d'épouser Aurelie.
ERGASTE.	ÉRGASTE.
Eſpargnez ſa vertu, bien plutost que ſa dot;	Épargnez sa vertu, bien plutôt que sa dot;
Car toute ſemme enfin, n’en peut faire qu’vn ſot, Et tout pere puiſſant, qui pouruoit mal ſa fille, Rend pour le moins ſuſpect l’honneur de ſa famille Mais Eraste qui l’aymne, & ſans comparaiſon, Plus ſortable de biens, & dâge, & de maiſon, Preßé d’vn feu ſecret, inceßamment aſpire, Sans l’ozer declarer, au ioug de ſon empire, Vous fera la meſme offre, & la prendra ſans dot, Il s’enhardit hyer de m’en toucher vn mot.	Car toute semme enfin, n'en peut faire qu'un sot, Et tout père puissant, qui pourvoit mal sa fille, Rend pour le moins suspect l'honneur de sa famille Mais Eraste qui l'aimne, et sans comparaison, Plus sortable de biens, et dâge, et de maison, Pressé d'un feu secret, incemment aspire, Sans l'ozer déclarer, au joug de son empire, Vous fera la même re, et la prendra sans dot, Il s'enhardit hier de m'en toucher un mot.
Eraste.	Eraste.
ANSELME.	ANSELME.
ERGASTE.	ÉRGASTE.
Oüy, fils d'Orcbas, grand amy de Lelis	Oui, fils d'Orcbas, grand ami de Lelis
ANSELME.	ANSELME.
Il témoigne ſans dot, vouloir bien Aurelie.	Il témoigne sans dot, vouloir bien Aurelie.
ERGASTE.	ÉRGASTE.
Non ſans dot ſeulement, mais ſans habits encor, Et la croit toute nuë, vn ſi riche treſor Que.	Non sans dot seulement, mais sans habits encor, Et la croit toute nue, un si riche trésor Que.
ANSELME.	ANSELME.
Fay le moy parler, & concluons l’aſfaire, Pour l’autre il peut ailleurs, ſe pouruoir d’vn beau pere.	Fais le moi parler, et concluons l'asfaire, Pour l'autre il peut ailleurs, se pourvoir d'un beau père.
I'ay du reſpect pour luy, comme il en a pour moy En me calomniant, il dégage ma foy, Et recherchant ma fille, il m’a deu mieux cõnoiſtre.	J'ai du respect pour lui, comme il en a pour moi En me calomniant, il dégage ma foi, Et recherchant ma fille, il m'a du mieux cõnoistre.
ERGASTE.	ÉRGASTE.
Vous vous engendriez mal;	Vous vous engendriez mal;
c’eſt vnfou.	c'est unffou.
ANSELME.	ANSELME.
C’eſt vn traiſtre,	C'est un traître,
T ERGASTE.	 TRGASTE.
ANSELME.	ANSELME.
Vn archi-fourbe.	Un archi-fourbe.
ERGASTE.	ÉRGASTE.
Vn calomniateur.	Un calomniateur.
Vn médiſant- ANSELME.	Un médisant- ANSELME.
ERGASTE.	ÉRGASTE.
Vn laſche.	Un lâche.
ANSELME.	ANSELME.
Vn gueux.	Un gueux.
ERGASTE.	ÉRGASTE.
Vn imposteur.	Un imposteur.
Vninfame.	Uninfâme.
ANSELME.	ANSELME.
ERGASTE.	ÉRGASTE.
Vn ſaquin.	Un saquin.
ANSELME.	ANSELME.
Vn reste de Galere;	Un reste de Galère;
Mais inſenſiblement ta m'as mis encolere, 111 3 Et ſi dans cette humeur ie l’auois rencontré.	Mais insensiblement ta m'as mis encolère, 111 3 Et si dans cette humeur ici l'avais rencontré.
Ie ſerois homme encor à le voir ſur le pré.	Je serais homme encor à le voir sur le pré.
ERGASTE.	ÉRGASTE.
L’age vous en diſpence, & luy n'est pas ſi traiſtre, Si peut-eſtre il n’y va, pour faucher ou pour paiſtre.	L'age vous en dispense, et ainsi n'est pas si traître, Si peut-être il n'y va, pour faucher ou pour paître.
ANSELME, s’en allant.	ANSELME, s'en allant.
Fay moy venir Eraste;	Fais -moi venir Éraste;
adieu.	adieu.
ERGASTE.	ÉRGASTE.
Quel doux ébat?	Quel doux ébat?
O la bonne balourde, & le plaiſant ſoldat?	Ô la bonne balourde, et le plaisant soldat?
SCENE III.	SCÈNE III.
EROXENE, LIDIE.	EROXENE, LYDIE.
EROXENE.	EROXENE.
&A rends ce bon office au feu qui me cõſomme, & Il me promet beancoup, mais Lydie, il est homme, C’eſt à dire d'vn ſexe, où l’on fait vanité, D’oubly, de perfidie, & d’infidelité;	ETA rends ce bon office au feu qui me conssomme, et Il me promet beancoup, mais Lydie, il est homme, C'est à dire d'un sexe, où l'on fait vanité, D'oubli, de perfidie, et d'infidélité;
Et s’il me fait le tort, dont mon ſoupçon l’accuſe, Aurelie a des yeux qui portent ſon excuſe.	Et s'il me fait le tort, dont mon soupçon l'accuse, Aurie a des yeux qui portent son excuse.
LYDIE.	LYDIE.
Ie l’iray biẽ chercher, mais qu’apprendray-ie enfin Apres tous les ſermens qu’il m’a faits cematin, Quel abord luy feray-ie?	Je l'irai by chercher, mais qu'apprendrai-je enfin Après tous les serments qu'il m'a faits cèratin, Quel abord lui ferai-je?
& que luy dois-ie dire?	et que beau dois-je dire?
EROXENE.	EROXENE.
Confeſſe luy ma crainte, & dy luy mon martyre, Que l’accés qu’vn amy luy denne en ſa maiſon, Me le rend en vn mot, ſuſpect de trahiſon, Mais non ne touche rien de cet ialoux ombrage C’eſt a ſa vanité donner trop d’auantage;	Confesse même ma crainte, et dy luy mon martyre, Que l'accès qu'un ami pr denne en sa maison, Me le rend en un mot, suspect de trahison, Mais non ne touche rien de cet jaloux ombrage C'est à sa vanité donner trop d'avantage;
Dy luy que puis qu’il m’ayme, & qu’il ſçait qu’aux Amants, Vne heure ſans ſe voir, eſt vn an de tourments, Il m’afſlige auiourd'huy d’vne trop longue abſence, Non, il me voudroit voir auec trop de licence;	 lui que puis il aime, et il sçait aux Amants, heure sans se voir, est an Dis tourments, Autre que puys qu' il m' aime, Non, qu' il sait qu' au trop de Amants,
Dy luy que dans le doute ou me tient ſa ſanté, Mais puis que tu l’as veu, puis-ie en auoir douté?	Dis lui que dans le doute ou me tient sa santé, Mais puis que tu l'as vu, puis-je en avoir douté?
Flattant trop vn Amant, vne Amante inexperte, Par ſes ſoins ſuperſlus en hazarde la perte;	Flattant trop un Amant, une Amante inexperte, Par ses soins supersus en hasarde la perte;
Va Lydie;	Va Lydie;
& dy luy, ce que pour mon repos, Tu crois de plus ſeant & de plus à propos;	et et lui, ce que pour mon repos, Tu crois de plus séant et de plus à propos;
Va, rends moy l’eſperance, ou fay que i’y renonce, Ne dy rien ſi tu veux, mais i’attends ſa réponce.	Va, rends moi l'espérance, ou fay que j'y renonce, Ne dis rien si tu veux, mais j'attends sa réponse.
LYDIE Que me répondra-i’il, ſi ie ne luy dis rien?	LYDIE Que me répondra-j'il, si ici ne te dis rien?
EROXENE.	EROXENE.
Le ſilence par fois eſt vn docte entretien;	Le silence par fois est un docte entretien;
Et le voir de ma part, ſans luy pouuoir rien dire, C’eſt luy faire ſur moy connoiſtre ſon empire, C’eſt d’vn ſtyle eloquent & digne de ſes vœux, Expliquer mes ſoupçons, mes ſoûpirs, & mes feux;	Et le voir de ma part, sans lui pouvoir rien dire, C'est lui faire sur moi connaître son empire, C'est d'un style éloquent et digne de ses vœux, Expliquer mes soupçons, mes soupirs, et mes feux;
O ſexe malheureux, & chetij que le noſtre;	Ô sexe malheureux, et chétij que le nôtre;
Où l’amour ſe trouuant naturel comme àl autre, Son pouuoir redoutable, & ſes ſuccez douteux,	Où l'amour se trouvant naturel comme àl autre, Son pouvoir redoutable, et ses succès douteux,
59 L’adueun'en eſt pas libre, & s’en treuue honteux, Où l’on permet d’aymer, non d’auoüer qu’on ayme;	59 L'aveun'en est pas libre, et s'en trouve honteux, Où l'on permet d'aimer, non d'avouer qu'on aime;
Où la pudeur trauaille, autant que l’amour meſme.	Où la pudeur travaille, autant que l'amour même.
LYDIE Si voſtre oncle arriuant m’appelloit par hazard.	LYDIE Si votre oncle arrivant m'appelait par hasard.
EROXENE.	EROXENE.
Va, toûiours vne Amante a quelque excuſe à part;	Va, toujours une Amante a quelque excuse à part;
Comme vn vieillard touiours, a l’humeur ſoupçonneuſe) Tu ſeras chez l’Orfevre, ou bien chez l’Empezenſe?	Comme un vieillard toujours, à l'humeur soupçonneuse) Tu seras chez l'Orfevre, ou bien chez l'Empezense?
Ie ſçauray l’abuſer, mais preſſe ton retour, Si tu me veux encor voir reſpirer le iour.	Je saurai l'abuser, mais presse ton retour, Si tu me veux encor voir respirer le jour.
SCENE IV.	SCÈNE IV.
LYDIE, ſeule.	LYDIE, seule.
SNuincible vainqueur, des cœurs les plus reO belles Amour, que ton pouuoir démonte de ceruelles?	SNvincible vainqueur, des cœurs les plus reO belles Amour, que ton pouvoir démonte de cervelles?
Et que noſtre raiſon ſuit de prez le repos;	Et que notre raison suit de près le repos;
Mais ie ne pouuois pas ſortir plus à propos.	Mais ici ne pouvais pas sortir plus à propos.
SCENE V ERASTE, LYDIE.	SCÈNE V ERASTE, LYDIE.
ERASIE.	ERASIE.
H rdie oblige moy d'aſſeurer Etoxene.	H Hidie oblige moi d'assurer Etoxène.
De quoy?	De quoi?
LYDIE.	LYDIE.
ERASTE.	ERASTE.
Que ie trauaille à vous tirer de peine;	Que était travaille à vous tirer de peine;
Qu'vn prompt euenement luy prouuera ma foy, Et que malgré le ſort.	Qu'un prompt événement eût prouvera ma foi, Et que malgré le sort.
Mais va retire-toy.	Mais va retire-toi.
Aduiſant Anſelme qui ſort,	Aduisant Anselme qui sort,
LYDIE.	LYDIE.
Quel caprice vous fait me chaſſer de la ſorte?	Quel caprice vous fait me chasser de la sorte?
ERASTE.	ERASTE.
Ne t’en informe point, vn ſuiet qui m’importe;	Ne t'en informe point, un sujet qui m'importe;
Ne me ſuy point te dis-ie, adieu.	Ne me suis point te dis-je, adieu.
LYDIE.	LYDIE.
De lafaçon!	De lafaçon!
ERASTE.	ERASTE.
Abordons-le, commençons noſtre roole:	Abordons-le, commençons notre roole:
SCENE VI.	SCÈNE VI.
ANSELME, ERASTE, LYDIE,	ANSELME, ERASTE, LYDIE,
LYDIE.	LYDIE.
’Auoir pû luy tirer, ny dire vne parole,  Meſoyr, me rebuiter, & me quitter ainſi;	Ç'Avoir pu lui tirer, ni dire une parole, Mesoyr, me rebuiter, et me quitter ainsi;
Ma Maiſtreſſe a raiſon de s’en mettre en ſoucy.	Ma Maîtresse a raison de s'en mettre en souci.
Anſelme Anſelme vient à licy, Quelque trame ſe braſſe, Ne nous élaignons poïnt ſçachons ce qui ſe paſſe.	Anselme Anselme vient à lici, Quelque trame se brasse, Ne nous élaignons poïnt secachons ce qui se passe.
ANSELME.	ANSELME.
Venez, mon cher Eraſte, ou plûtost mon cher fils, ( Puis que par voſtre amour ce nõ vous eſt acquis;	Venez, mon cher Eraste, ou plutôt mon cher fils, ( Puis que par votre amour ce nôtre vous est acquis;
Vous auez pû ſçauoir, d Ergaſte ou de Lelie, A quel poinct ie tiens cher le bon-heur d’Aurelie.	Vous avez pu savoir, d' Hrgaste ou de Lélie, À quel point toujours tiens cher le bonheur d'Aurelie.
ERASTE.	ERASTE.
Ie croy pareillement qu’ils vous auront appris A quel prix ie tiendray cette faueur ſans prix.	Je crois pareillement qu'ils vous auront appris À quel prix tu tiendrai cette faveur sans prix.
ANSELME.	ANSELME.
Le témoignage exprés qu’ils viennét de m’en rẽdre, Fait que ie vous ſaluë en qualité de gendre, Et vous offre chez moy toute l’authorité Que vous y pouuez prendre en cette qualité.	Le témoignage exprès qu'ils viennet de m'en rendre, Fait que ie vous salue en qualité de gendre, Et vous offre chez moi toute l'autorité Que vous y pouvez prendre en cette qualité.
LYDIE.	LYDIE.
Qu'entends-ie, ô iuſte Ciel!	Qu'entends-je, ô juste Ciel!
ANSELME.	ANSELME.
Ils vous ont dit encore, Qu'à quelque ſi haut poinct que ce bõ-heur m’honore, Ie ne puis autrement encor l’auantager, Mes biens apres ma mort ſe pourront partager;	Ils vous ont dit encore, Qu'à quelque si haut point que ce bon-heur m'honore, Je ne puis autrement encor l'avantager, Mes biens après ma mort se pourront partager;
Mais comme i’en ay peu, ſa dot ſera petite.	Mais comme j'en ai peu, sa dot sera petite.
ERASTE.	ERASTE.
Ne comptez vous pour rien ſa grace & ſon merite?	Ne comptez -vous pour rien sa grâce et son mérite?
Ces rares qualitez, ces precieux treſors, Dont le Ciel enrichit ſon eſprit & ſou corps En ſoy ſeule elle apporte vne richeſſe extréme, Et ie ne pretends d’elle autre dot, qu’elle-meſme,	Ces rares qualités, ces précieux trésors, Dont le Ciel enrichit son esprit et sou corps En soi seule elle apporte une richesse extrême, Et sans ne prétends d'elle autre dot, qu'elle-même,
LYDIE.	LYDIE.
Et puis aſſeurons-nous en la ſoy d’vn Amant;	Et puis assurons-nous en la soi d'Honneur Amant;
Mais ie penſe veiller, & dors aſſeurément.	Mais ici pense veiller, et dors assurément.
ANSELME.	ANSELME.
Ie croy, puis que ſans fard il faut ouurir nos Ainta, Qu’il ne vous reſte rien de vos premieres flâmes;	Je crois, puis que sans fard il faut ouvrir nos Ainta, Qu'il ne vous reste rien de vos premières flammes;
Qu’Eroxene en vn mot n’a plus l’authorité, Qu’on m'a dit qu’elle auoit ſur voſtre liberté;	Qu'Eroxène en un mot n'a plus l'autorité, Qu'on m'a dit qu'elle avait sur votre liberté;
Quelque nouuelle amour, dont le feu nous conſume, Noſtre premier braſier aiſement ſe r’allume, Pour peu que ſous ſa cendre il reſte de chaleur, Et ce mal ne produit que hayne & que mal-heur.	Quelque nouvelle amour, dont le feu nous consume, Notre premier brasier aisément se rallume, Pour peu que sous sa cendre il reste de chaleur, Et ce mal ne produit que haine et que malheur.
ERASTE.	ERASTE.
I'ay pour me diuertir d’vne bumeur ſotte & vaine, Pris plaiſir, il eſt vray, d’abuſer Eroxene;	J'ai pour me divertir d'une bumeur sotte et vaine, Pris plaisir, il est vrai, d'abuser Eroxène;
Mais ſi iamais l’amour n’eſtoit victorieux, Par de plus dignes traits, que par ceux de ſes yeux, Ce Monarque abſolu ſur tout ce qui reſpire.	Mais si jamais l'amour n'était victorieux, Par de plus dignes traits, que par ceux de ses yeux, Ce Monarque absolu sur tout ce qui respire.
