Au Lecteur, ſur l’Argument de la Tragedie.	Au Lecteur, sur l'Argument de la Tragédie.
He qu’ont-ils ſait en ſin ſinon de ſuir grand errel Vous auez qui plus eſt monſtré ſouuentes ſois De quel cœur de quel fer s’animent vos François Lors qu’vn baibare ſerf, dans la Gaule Celtique En vain taſchoit ourdir quelque ouurage bellique	He qu'ont-ils sait en sin on de suir grand errel Vous avez qui plus est montré souventes sois De quel cœur de quel fer s'animent vos Français Lors qu'un baibare serf, dans la Gaule Celtique En vain tâchait ourdir quelque ouvrage bellique
Le Roy.	Le Roi.
Mais pendant l'ennemy bruſte de toutes pars Nos villes, nos chaſteaux, & ſaiſit nos rempars.	Mais pendant l'ennemi brûte de toutes pars Nos villes, nos châteaux, et saisit nos rempars.
Le Ouc d’alençon.	Le Ouc d'alençon.
Vous pouuez aſſoupir leur Plutoniques ſlammes Et border l’acbecon de leurs timides aues.	Vous pouvez assoupir leur Plutoniques slammes Et border l'acbon de leurs timides avez.
Le Roy.	Le Roi.
Ils couurent tous les iours la terre de ſoldars,	Ils couvrent tous les jours la terre de soldars,
Le Duc d’Alençon.	Le Duc d'Alençon.
Hé bien faites voler en l’air vos eſtendars.	Hé bien faites voler en l'air vos étendards.
Le Roy.	Le Roi.
Il a ſurpris nos murs ſans les pouuoir deffendre,	Il a surpris nos murs sans les pouvoir défendre,
Le Duc d’Alençon.	Le Duc d'Alençon.
Par le glaiue acere il nous les faut reprendre,	Par le glaiue acère il nous les faut reprendre,
Le Roy.	Le Roi.
Pendant c’eſt ruyner mon pruple & le ſouler.	Pendant c'est ruiner mon pruple et le soûler.
Le Duc d’Alençon.	Le Duc d'Alençon.
Il faut ſendre la terre aſin de moiſſoaner.	Il faut sendre la terre asin de moissoaner.
Le Roy.	Le Roi.
Mais c’eſt comme ie voy vne perte communt.	Mais c'est comme je vois une perte communt.
Le Duc d’Alençon.	Le Duc d'Alençon.
Pour ſortuner nos iours, i ſaut quelque fortune.	Pour sortuner nos jours, j' saut quelque fortune.
Le Roy.	Le Roi.
N’auons-nous le moyen de le batre autrement.	N'avons-nous le moyen de le battre autrement.
Le Duc d’Alençon.	Le Duc d'Alençon.
On vapar ce chemin beaucoup plus ſeurement.	On vapar ce chemin beaucoup plus sûrement.
Le Roy.	Le Roi.
He bien qu’on ſace armer quelque troupes legeres Pour abatre l’effort des bandes eſtrangeres, Preuoyez a celà ie iure de rechef Par l’arbre Scythien qui couronne mon chef, Jl ne ſe vantera de ſon Angloiſe audace.	He bien qu'on sace armer quelque troupes légères Pour abattre l'effort des bandes étrangères, Prévoyez à celà je jure de rêches Par l'arbre Scythien qui couronne mon chef, Il ne se vantera de son Angloise audace.
Le Duc d’Alençon.	Le Duc d'Alençon.
Sire, i’auray le ſoin que tout cela ſe face.	Sire, j'aurai le soin que tout cela se face.
LE CHOEVR.	LE CHOEUR.
Ncontinent que dans nos cœurs, IS’embraſent les viues ardeurs D'vne ambition folle:	Nontinent que dans nos cœurs, IS embrasent les vives ardeurs D'une ambition folle:
Soudain noſtre eſprit allumé Comme vn viſle eſcler enſlammé Par tout le monde volle.	Soudain notre esprit allumé Comme un visle écler enslammé Par tout le monde volle.
Soudain l’oyſeau Y berien Quittant le ventre Tytien Becquette nos entrailles:	Soudain l'oiseau Y bérien Quittant le ventre Tytien Becquette nos entrailles:
Le bras meurtrier, le fer, le feu, La rage, le courroux émeu Sanglante nos batailles.	Le bras meurtrier, le fer, le feu, La rage, le courroux ému Sanglante nos batailles.
Tyſiphon auecque ſes ſœurs Brandiſt les flambeaux puniſſeurs, Tout rougiſt de carnage:	Tysiphon apprendre ses sœurs Brandist les flambeaux punisseurs, Tout rougît de carnage:
Et lon ne voit rien cy bas Parmy les aſſauts, les combats.	Et lon ne voit rien cy bas Parmi les assauts, les combats.
Que des parques l’image.	Que des parques l'image.
Heureux cil qui dans ce bois Empoulle ſes mains, & ſes doigts Au coup d’vne coignee.	Heureux cil qui dans ce bois Empoulle ses mains, et ses doigts Au coup d'une coigne.
Qui ſe contente d’vn ruiſſeauD'vn petit champ:	Qui se contente d'un ruisseauD'un petit champ:
d’vn arbriſſeau?	d'une arbrisseau?
Venu du fruit d’vne annee.	Venu du fruit d'une année.
Et dont l’eſprit paſsionné, Pour les grandeurs n’eſt adonné Aux perles Indiennes:	Et dont l'esprit passionné, Pour les grandeurs n'est adonné Aux perles Indiennes:
N’aux ſablons Pactoliens:	N'aux sablons Pactoliens:
N’aux appareils Idiens:	N'aux appareils Idiens:
Moins aux honneurs Romaines.	Moins aux honneurs Romaines.
ACTE II.	ACTE II.
La Pucelle.	La Pucelle.
Le Baſtard d’Orleans.	Le Bât d'Orleans.
La Pucelle.	La Pucelle.
’Eſt aſſez habité parmy les ſtoids ombrages:	Est assez habité parmi les stoids ombrages:
C'aſſez aſſez dormy dans les antres ſauuages:	C'assez assez dormi dans les antres sauvages:
C’eſt aſſez enlace les printanieres fleurs:	C'est assez enlace les printanières fleurs:
Couru deſſus les prezeſmaillez de couleurs, Eſcoute les amours des troupes ſoreſtieres:	Couru dessus les prezesmaillez de couleurs, Écoute les amours des troupes sorestieres:
Or des m’gnards oyſeaux les complaintes legeres;	Or des m'gnards oiseaux les complaintes légères;
Senty le doux gaſoüil des argentines eaux:	Senti le doux gasoüil des argentines eaux:
Et dans les bois muets retire mes troupeaux, Or ſus il faut quiter les belles oreades	Et dans les bois muets retire mes troupeaux, Or sus il faut quit les belles oréades
Let Vimphes, le plaiſir de ces ondes iaſardes:	Let Vimphes, le plaisir de ces ondes jasardes:
Le carquois de Diane & ſon arc, & ſes dards Et toute me ſacrer à l’homicide Mars, Sauter dgns les combais veſtue de pouſſiere, Accabler l’ennemy de ma dextre guerriere:	Le carquois de Diane et son arc, et ses dards Et toute me sacrer à l'homicide Mars, Sauter dgns les combais vêtue de poussière, Accabler l'ennemi de ma dextre guerrière:
Peindre le ſer de ſang, declorre les conduits:	Peindre le ser de sang, déclorre les conduits:
Chaſſer la peſte loin, pour guarir mon pays.	Chasser la peste loin, pour garir mon pays.
He quoy?	He quoi?
que me ſeruoit en ma tendre ieuneſſe Pour tromper le repos, voler d’vne viſteſſe Ore deſſus la plainc or' en haut m’accrocher Pour attaindre en grimpant ſur le haut d’vn rochert Or esbranſler en vain de mes bras les grans cheſnes?	que me servait en ma tendre jeunesse Pour tromper le repos, voler d'une vitesse Ore -dessus la plainc or' en haut m'accrocher Pour attaindre en grimpant sur le haut d'un rochert Or ébranler en vain de mes bras les grands chaînes?
Rompre vn baſton pointu?	Rompre un bâton pointu?
ſi apres tant de peines, Tant d’exercices vains, tant de mal combatu:	si après tant de peines, Tant d'exercices vains, tant de mal combattu:
Je ne donnois en fin preuue de ma vertu?	Je ne donnais en fin prévue de ma vertu?
Ce caſque martial preſſant ma cheuelure Ne conuient il pas mieux qu’vne riche coiſſures Ce harnois endoſſe œuure vulcanien N’eſt-il pas plus plaiſant que du froid Serien Les robes peintes d’or, ou de Tyr empourprees?	Ce casque martial pressant ma chevelure Ne convient il pas mieux qu'une riche coissures Ce harnais endosse œuvre vulcanien N'est-il pas plus plaisant que du froid Serien Les robes peintes d'or, ou de Tyr empourpre?
Ou les ronds diamans des indiques contrees?	Ou les ronds diamants des indiques contrées?
Ce glaiue furieux qui pend à mon coſte Ces gréſues, ce boucler des Calibdes porté:	Ce glaiue furieux qui pend à mon côte Ces grèsues, ce boucler des Calibdes porté:
Ne m’ornent-ils pas mieux qu'vne molle quenoüilles Qu’vn fuſeau tour noyant?	Ne m'ornent-ils pas mieux qu'une molle quenoüilles Qu'un fuseau tour noyant?
qu’vne riche depouille Des troupeaux porte-lainct ou d’vn fragile ozier De rameaux abatus pour en faire vn pannier?	qu'une riche dépouille Des troupeaux porte-laint ou d'Un fragile zier De rameaux abattus pour en faire un pannier?
Ou qu’une eſguile en main au logis de mon pere Et ce ruſtique habit d’vne ſimple bergert?	Ou qu'une éguile en main au logis de mon père Et ce rustique habit d'une simple bergert?
Maintenant ie me plais d’œillader ſeulement L’iuoirine ſplendeur de ce mien veſtement:	Maintenant ie me plais d'œillader seulement L'ivoirine splendeur de ce mien vêtement:
Et cacher au deſſous d’vne face amoureuſe Vn courage indomte vne ame genereuſe?	Et cacher au dessous d'une face amoureuse Un courage indomte une âme généreuse?
Depuis que le ſoumeil ſous les pied d’vn ormeax Me voila les deux yeux, aßiſe pres de l'eau Et les ſonges ailez coulans dedans mon ame Echauſſerent mon cœur d’une diuine ſlame Puis comme meſſager du tout-puiſſant Jupin Me dirent en tels mots le but de mon deſtin:	Depuis que le soumeil sous les pied d' ormeax Me voilà les deux yeux, aussi pres de l'eau Et les songes ailé coulants dedans mon âme Échaussèrent mon cœur d'une divine slamme Puis comme messager du tout-puissant Jupin Me dirent en tels mots le but de mon destin:
Fille le ſeul ſoucy de la chaſte I'ucine Quite, quiie les bois arme, arme ta poitrine, Venge l’iniure ſaite à ton propre pays Et chaſſe par le ſer les douleurs, les ennuis Qui comblent maintenant les ſubiets de ton Prince Arme-toy pour l’aider, & ſa triſte prouince.	Fille le seul souci de la chaste J'ucine Quite, qui les bois arme, arme ta poitrine, Venge l'injure saiste à ton propre pays Et chasse par le ser les douleurs, les ennuis Qui comblent maintenant les sujets de ton Prince Arme-toi pour l'aider, et sa triste province.
Deſlors ie n’eu deſir ſinon de manier, En ma legere main, & le ſer & l’acier, Rriſer la ſance au poin, reſpirer ſous les arpes, Fendre le Ciel de dards, vaincre entre les gẽdarmti Porter la parque aux vns, & d’vn maſle tourage Semer les champs de corps, de teſtes & de targer Il ſaut doreſnauant donc chanter les batailles Et peiadre l’eſtomach du ſang de leurs entrailles Il ſaut ſuyure Ennon pourquoy ne puu-ie pus Fille comme ie ſuis m’endureir aux combats?	Deslors raison n'eu désir sinon de manier, En ma légère main, et le ser et l'acier, Rriser la sance au point, respirer sous les arpes, Fendre le Ciel de dards, vaincre entre les gẽdarmti Porter la parque aux uns, et d'un mâle tourage Semer les champs de corps, de têtes et de targer Il saut doresnauant donc chanter les batailles Et peiadre l'estomach du sang de leurs entrailles Il saut ure Ennon pourquoi ne puvie pus De pus Fille suisommendureir aux combats?
Les eſcus enlimez, les mains Amazonides Fendirent par le ſer les ondes Thermontides, Et courant au ſctours du Troy-naſligé Chaſſerent iuſqu’ou pui l’exercite etranger, Du Gregeois iuhumain & là Pantbaſiee voſmit la bache au poing vne ame enſanglantee.	Les écus enlimez, les mains Amazonides Fendirent par le ser les ondes Thermontides, Et courant au sctours du Trois-nasgligé Chassèrent jusqu'ou puyqu'exercite étranger, Du Grègeais juhumain et là Pantbasie vosmit la bache au poing une âme ensanglante.
Les hommes penſent-ils qu’ils ayent ſeulement Leb as le cœur, le ſer pour choguer viuement, Et que nous ne deuons pour nos belles deſpouilles Qe manier chez nous les fuſeaux & quenouilles?	Les hommes pensent-ils qu'ils aient seulement Léb as le cœur, le ser pour choguer vivement, Et que nous ne devons pour nos belles dépouilles Qe manier chez nous les fuseaux et quenouilles?
Ga dec noſtre maiſon, & pour tous nos malheurs Lire les braues faits d’i gendarmes vainqueurs?	Ga déc nôtre maison, et pour tous nos malheurs Lire les braves faits d'y gendarmes vainqueurs?
Non, nõ, il faut dreſſer quelque beureuſe cυ̃queſit, L'armeure nous couuient auſſi bien ſur la teſte Que la leur, & nos yeux, & nos pieds, & nos bras, Auſſi bien que les leur cerchent les ſeux de Mars.	Non, non, il faut dresser quelque beureuse cυ̃quesit, L'armeure nous couvient aussi bien sur la tête Que la leur, et nos yeux, et nos pieds, et nos bras, Aussi bien que les leur cerchent les seux de Mars.
Celles qui aiment mieux vne iaue vermeille, Fa beau cheſ rayé d’ot, vn œil plein de merueile, Vn front juoirine, vn long col albaſtrin, Vn ſein chargé d’œillets, de roſes & de thin, Qu’elles viueat à part ſans honneur & ſans gloire, Et non pas comme nous remplies de victoire.	Celles qui aiment mieux une jave vermeille, Fa beau chez rayé d'ot, un œil plein de merveile, Un front juoirine, un long col albastrin, Un sein chargé d'œillets, de roses et de thin, Qu'elles vivéat à part sans honneur et sans gloire, Et non pas comme nous remplies de victoire.
Puis douc que le renom à cent æles porté En faueur des guerriers ſend l’air de tout coſte, Et s’ouurant à la ſois cent bouches écumeuſes Etiait ie, somi uys des ſemmes belliqueuſes.	Puis douc que le renom à cent æles porté En faveur des guerriers send l'air de tout côte, Et s'ouvrant à la sois cent bouches écumeuses Éiaitaires, somi ès des semmes belliqueuses.
Qu’aiteus-ie plus long temps par vn fait glorieux De pouſſer auſſi bien ma teſle daus les Cieux?	Qu'aiteus-je plus long temps par un fait glorieux De pousser aussi bien ma télé daus les Cieux?
De cercher combatant parmy les morts la Parque, Et faire que Charon me traine en meſme barque, Et mon ame, & ma vielhé, que ſonge-ie tant?	De cercher combattant parmi les morts la Parque, Et faire que Charon me traîne en même barque, Et mon âme, et ma vielhé, que songe-je tant?
Empourprons, empourprons ce coutelas de ſang!	Empourprons, empourprons ce coutelas de sang!
Si le deſtin le veut:	Si le destin le veut:
ſi l’heur reuient en France Pourſuyuons coup ſur coup, ayons bonne eſperance.	si l'heur revient en France Poursuivons coup sur coup, ayons bonne espérance.
Le Baſtard d’Orl.	Le Bât d'Orl.
Madame d’où renaiſt ceſte diuine ardeur Qui vous bruſle à la ſois, & la main & le cœur?	Madame d'où renaît cette divine ardeur Qui vous brûle à la sois, et la main et le cœur?
Quel eſpoir vous nourriſt qui vous fait entreprẽdre Quels ſonges vains mẽteurs de nous vouloir deſédre Et chaſſer l’ennemy par vos Scytiques dards Dluſtoſt que par l’eſſay de vingt mille ſoldars?	Quel espoir vous nourrît qui vous fait entreprendre Quels songes vains mẽteurs de nous vouloir desédre Et chasser l'ennemi par vos Scytiques dards Dlustost que par l'essai de vingt mille soldars?
Les Paſieurs Mæucans & ceux de l’Arcardie Entre mille troupeaux ſillent leur longue vie:	Les Pasieurs Mæucans et ceux de l'Arcardie Entre mille troupeaux sillent leur longue vie:
Or ioüent ſur la plaine, or pour tous leurs ébats Contre les animaux exercent leurs combats, Et contre l’ennemy qui la foreſt enſerre Saus aller plus auant oſent uener la guerre.	Or jouent sur la plaine, or pour tous leurs ébats Contre les animaux exercent leurs combats, Et contre l'ennemi qui la forêt enserre Saus aller plus avant osent uener la guerre.
Madame, ce n'eſt pas chaſſer dedans les bois, Qu'auoir le glaiue en main quãd deux epeſſes ti Choquent diu & menu en ſorme de cyelopes:	Madame, ce n'est pas chasser dedans les bois, Qu'avoir le glaiue en main quand deux épesses ty Choquent diu et menu en sorme de celoppes:
Que l’air eſt plein de ſeux, de menglemens de vois Qu’on entẽd rien de lout qu’vn cliquot de harnois Que les champs ſont ſomz de bras, de piedi, de teſt Pied contre pied fichez & creſte contre creſte Que les cheuaux poudreux courent deſſus les corps Que les écus froiſſez ſont pendus ſur les morts;	Que l'air est plein de seux, de menglements de vois Qu'on entend rien de lout qu'un cliquot de harnais Que les champs sont soms de bras, de piedi, de test Pied contre pieds fichés et creste contre creste Que les chevaux poudreux courent dessus les corps Que les écus froissez sont pendus sur les morts;
Aduiſez à loiſir, car les ſoibles bergeres N’out pas ainſi que nous les mains roides & ſieres	Aduisez à loisir, car les soibles bergères N'out pas ainsi que nous les mains roides et sières
La Pucelle.	La Pucelle.
Mouſeigneur, ie ſçay bien que ma vie & mes au vous ſont deſeſperer de ce que ie pretens:	Mouseigneur, ie sais bien que ma vie et mes au vous sont désespérer de ce que ici prétends:
Lheur eſt commun à tous, & la bonne ſortune Au debile außi bien qu’aux nerueux eſt communes Mon bras ſe plaiſt autant à la trempe du ſer Que celuy-là d’Achile a porter le boucher:	Lheur est commun à tous, et la bonne sortune Au débile aussi bien qu'aux nerveux est communes Mon bras se plaît autant à la trempe du ser Que celui-là d'Achille a porter le boucher:
Mon œil a regarder les cruelles armées Cie ctluy de Iupin des voûtes etoillees.	Mon œil a regarder les cruelles armées Cie ctlui de Jupin des voûtes étoilées.
Et à pied de courir aux troiques aſſauts:	Et à pied de courir aux troiques assauts:
Que ceux là de Thetis a courir ſur leseaux.	Que ceux -là de Thétis a courir sur leseaux.
Le Baſtard d’Orleans.	Le Bât d'Orleans.
Peut eſtre que vos yeux (deux flameches mortelles Que ce poil, que ce front, que ſes leures iumelles, Que ce lait peint de lis, & que voſtre beauté Pourroit vaincre & tuer autant de leur coſte Que l’eſpee de l’autre:	Peut être que vos yeux (deux flammèches mortelles Que ce poil, que ce front, que ses leur jumelles, Que ce lait peint de lis, et que votre beauté Pourrait vaincre et tuer autant de leur côte Que l'épée de l'autre:
ainſi Venus armee Domta le triſte Mars ſous la freſche ramee, Iunon ſon ſier mary, le fort Tyeuthien Deianire l’honneur du vaillant Pellien Briſeis la captiue ainſi l’Egytienne Uais quoy' lon ne combat de tets traîts, de teli ſeux, Le ſuyard Cyprien ne ſe trouue en tels ieux:	ainsi Venus armée Domta le triste Mars sous la fraîche ramée, Junon son si maris, le fort Tyeuthien Dianire l'honneur du vaillant Pellien Brise la captive ainsi l'Égytienne Uais qu' on ne combat de tets traîts, de teli se, Li suyard Cyprien ne se trouve en tels jeux:
Ny l’art marqueté d'oz, ny la chaſte Latonne, Vy le carquois pendu ſur l’epaule ne tonne.	Ni l'art marqueté d'oz, ni la chaste Latonne, Vi le carquois pendu sur l'épaule ne tonne.
Là Pucelle.	Là Pucelle.
Non, non, ie n’ay les yeux pour ſeruir d’ameçons A ſes fils dAphrodite, execrables poiſſons:	Non, non, Madame n'ai les yeux pour servir d'ameçons À ses fils dAphrodite, exécrables poissons:
Mes ans ſont dediez à la Tritonienne, Qui de ſa dextre abat la race Paphienne.	Mes ans sont dédiez à la Tritonienne, Qui de sa dextre abat la race Paphienne.
Le plaiſir amouredx qu’on peut auoir de moy Le ſont cruels aſſaux (épouuantable éfroy) La mort deuant les yeux, les playes incurables, Les cris, les pleurs, les maux des pauures miſerables.	Le plaisir amouredx qu'on peut avoir de moi Le sont cruels assaux (épouuantable éfroi) La mort devant les yeux, les plaies incurables, Les cris, les pleurs, les maux des pauvres misérables.
Le Baſtard d’Orleans Eſpint aoouamattaustr ſous le faix D’vne robe d’Aymant les troupes des Aaglois?	Le Bât d'Orleans Épint aovamattaustr sous le faix D'une robe d'Aimant les troupes des Alois?
Vous promettre deſia dans la main la victoire Et grauer voſtre nom ſur les ondes de Loire.	Vous promettre déjà dans la main la victoire Et graver votre nom sur les ondes de Loire.
La Pucelle.	La Pucelle.
La terre ne produit tant de fruiti amaſſez En Euripide, & pas tant de grains entaſſez L’Epire tant de feux ſur les yoches cauees Le Danube tant d’eaux dedans ſon ſein gelees Que i’eſpere tramer à ce peuple de maux, De labeurs, de ſoupirs, de penibles trauaux:	La terre ne produit tant de fruiti amassez En Euripide, et pas tant de grains entassés L'Epire tant de feux sur les yoches cave Lieux Danube tant d'eaux dedans son sein gelées Que j'espère tramer à ce peuple de maux, De labeurs, de soupirs, de pénibles travaux:
Pourquoy ne peux-ie pas punir leur fiere audace Puis que cil qui voit tout, crie que ie le ſace?	Pourquoi ne peux-je pas punir leur fière audace Puis que cil qui voit tout, crie que après le sace?
Le Baſtard dOrleans.	Le Bât dOrléans.
Mais encor quel demõ, quel heur, quel ſonge vain Par la porte yuoirine eſt venu ſi ſoudain, Qui inſpire vos ſens qui vous donne courage D'ourdir en combatant quelque heroique ouurage?	Mais encor quel démon, quel heur, quel songe vain Par la porte yvoirine est venu si soudain, Qui inspire vos sens qui vous donne courage D'ourdir en combattant quelque héroïque ouvrage?
La Pucelle.	La Pucelle.
ce Demon eſt l’autheur des hommet& des Dieux Qui tourne en vn momẽt la grand voûte des cl Qui d’vu clin de ſon œil ſait trembloter la terre Et tout ce que Pluton daus ſes maiſous enſerre:	ce Démon est l'auteur des hommetet des Dieux Qui tourne en un moment la grand voûte des cl Qui d' un de son ait trembloter la terre Et tout ce que Pluton daus ses mais enserre:
Ces ſonges cy portez par le Silenien.	Ces songes cy portez par le Silien.
Aiuſi que ie dormois ſous l’arbre d’Elien, Ce ſont ces maud mens c’eſt ſa volonté ſain tec Qui doit eſtre touſiours dans not ames empreinlę	Ajus que venir dormais sous l'arbre d'Élien, Ce sont ces maud mens c'est sa volonté sain tec Qui doit être toujours dans not âmes empreinlę
Le Batard d’Orleans.	Le Batard d'Orleans.
Mais ne voyons-nous pas les ſonges incertains?	Mais ne voyons-nous pas les songes incertains?
La Pucelle.	La Pucelle.
Les vrais ſont quelqueſois enuoyez aux bumains	Les vrais sont quelquesois envoyés aux bumains
Le Baſtard d’Orleans.	Le Bât d'Orleans.
Croyez-vous que le voſtre ainſi ſoit veritable?	Croyez-vous que le vôtre ainsi soit véritable?
La Pucelle.	La Pucelle.
Ie le croy, & d’autant m’eſt-il recommandable.	Je le crois, et d'autant m'est-il recommandable.
Le Baſtard d’Orleans.	Le Bât d'Orleans.
Quelle preue auez-vous de cette verite?	Quelle preue avez-vous de cette vérité?
La Pucelle.	La Pucelle.
Mon Prince, mon pays dans Carybde ietté?	Mon Prince, mon pays dans Caribde jeté?
Le Baſtard d’Orleans.	Le Bât d'Orleans.
Pourquoy voſtre pays?	Pourquoi votre pays?
que vous ſert voſtre Princes	que vous sert votre Princes
La Pucelle.	La Pucelle.
Les Dieux ne veulent pas perdre encor ſa prouince.	Les Dieux ne veulent pas perdre encor sa province.
Le Baſtard d’Orleans.	Le Bât d'Orleans.
Comment vous vantez vous de la pouuoir garder?	Comment vous vantez -vous de la pouvoir garder?
La Pucelle.	La Pucelle.
c’eſt à luy, il luy plaiſt de me le commander.	c'est à Seigneur, il lui plaît de me le commander.
Le Baſtard d’Orleans.	Le Bât d'Orleans.
re?	re?
Pourquoy pluſtoſt à voꝰ qu’à quelque main guerrie	Pourquoi plutôt à voù qu'à quelque main guerrie
La Pucelle.	La Pucelle.
Il monſtre par cela ſa celeſte lumiere Et fait voir que le loz de l’éfroyable Mars, Les breches, les aſſauts pend entre ſes ſaints brass Que ce n’eſt pas le fer des Noriques eſpees, L'eſa L’Eſeu double ſept ſois, les armes Achilees Qui dominent aux coups:	Il montre par cela sa céleste lumière Et fait voir que le loz de l'éfroyable Mars, Les breches, les assauts pend entre ses saints brass Que ce n'est pas le fer des Noriques épées, L'esa L'Eseu double sept sois, les armes Achilères Qui dominent aux coups:
c’eſt ſa ſeule bonté Qui nous liure en nos mains noſtre ennemy domté.	c'est sa seule bonté Qui nous livre en nos mains notre ennemi domté.
Il fait le plus ſouuent que la dextre imbecile Renuerſe des plus forts le pouuoir inutile.	Il fait le plus souvent que la dextre imbécile Renverse des plus forts le pouvoir inutile.
nimpe ipratine as tourage diuin Anatita en taman le geaut Paleſtin, Luy fit vomir du corps vne ame enſanglantee De ſon propre couſteau ſur la playe empourpree.	nimpe ipratine as tourage divin Anatita en taman le geaut Palestin, Lui fit vomir du corps une âme ensanglantée De son propre coûteau sur la plaie empourpre.
Le Batard d’Orleans.	Le Batard d'Orleans.
Mais peut-eſtre que l’heur eſteindra vos beaux anx	Mais peut-être que l'heur éteindra vos beaux anx
La Pucelle.	La Pucelle.
Mais, c’eſt-il toutesſais qui les fait ſloriſſans.	Mais, c'est-il toutessais qui les fait slorissants.
Le Baſtard d’Orleans.	Le Bât d'Orleans.
N’eſi-ce pas luy außti qui donne les Tropbees?	N'est-ce pas mieux aussi qui donne les Tropebes?
La Pucelle.	La Pucelle.
C’eſt, c’eſt l'Altitonnant conducteur des armees,	C'est, c'est l'Altitonnant conducteur des armées,
Le Baſtard d’Orleans.	Le Bât d'Orleans.
Ie le veux:	Je le veux:
mais pendant il y a dvu bon heur.	mais pendant il y a dvu bon heur.
La Pucelle.	La Pucelle.
L’homme eſt touſiours vaincu, maü Dieu eſt le vain	L'homme est toujours vaincu, mau Dieu est le vain
Le Baſtard d’Orleans.	Le Bât d'Orleans.
queur.	queur.
Craignez-vous pas l’horreur des cruelles batailles?	Craignez-vous pas l'horreur des cruelles batailles?
La Pucelle.	La Pucelle.
Non, ny meſme l’eſſet de mille ſunerailles, Ny les ſleuues de Stix, ny l’œil des ennemis, Pourueu que par ma mort i’inſpire mes pays, Trois quatre ſois heureux ceux qui pour la patrie Ont eſtaint ſous l’a nois les flammes de leur vie.	Non, ni Seigneur l'esset de mille sunérailles, Ni les sleuves de Stix, ni l'œil des ennemis, Pourvu que par ma mort j'inspire mes pays, Trois quatre sois heureux ceux qui pour la patrie Ont estaint sous l'a nois les flammes de leur vie.
Oraiſon de la Pucelle.	Oraison de la Pucelle.
O Dieu ſaint conducteur des Getiques combais Qui d’vn clin de ton œil ſouuent darde pabas, Faits trembler à la ſois & le (iel & la terre Qui eſtrains dans ta main le ſoudre & le tonnerre,	Ô Dieu saint conducteur des Gétiques combais Qui d'un clin de ton œil souvent darde pabas, Faits trembler à la sois et le (iel et la terre Qui étrains dans ta main le soudre et le tonnerre,
26 Qui peux tout à la ſois renuerſer, & changer Elongne loin de nous tout malheur & danger:	26 Qui peux tout à la sois renverser, et changer Élongne loin de nous tout malheur et danger:
Doune que ce tranchant entourne de ma dextre Arme mon Roy Chreſtien de courõne & de ſceptre!	Doune que ce tranchant entourne de ma dextre Arme mon Roi Chrétien de couronne et de sceptre!
Qu’il abate l’orgueil d’vn cheſ audacieux, Qu’il pouſſe tou ſaint nom iuſque dedans les cieux;	Qu'il abatte l'orgueil d'Hô chez audacieux, Qu'il pousse tou saint nom jusque dedans les cieux;
Qu’il liure mon pais d’vne cruelle peſte Qu’il tourne tout peril contre ſa ſiere t’eſle, Iadis tu inſpiras vne Bethuliene Pour dompter les efforts d’vn vaillant capitaine Vn paſteur d’vn geant, va fort Machabean D’vn peuple meſpriſant le ſaint nom leſſean.	Qu'il livre mon pais d'une cruelle peste Qu'il tourne tout péril contre sa sienne t'esle, Jadis tu inspiras une Béthuliene Pour dompter les efforts d'un vaillant capitaine Vîn pasteur d'un géant, va fort Machabean D'un peuple méprisant le saint nom lessean.
Inſpire moy Monarque, & permets que la ract Ne paſtiſſe touſiours deuant la rouge face D’vn Auglois mutiné, ſaus toy ou ne peut rien Ny l’Alcide cruel uy le ſang Thetien Ne nous poutront ſauuer, domine donc ioy Pere doux & benin pour chaſſer tout ſoucy Pouc te mieux reuerer:	Inspire moi Monarque, et permets que la ract Ne pâtisse toujours devant la rouge face D'Hel Avglais mutiné, sa toi ou ne peut rien Ni l'Alcide cruel ui le sang Thétien Ne nous poutront sauver, domine donc joi Père doux et bénin pour chasser tout soucy Pouc te mieux révérer:
ta ſeruante imbecile?	ta servante imbécile?
Arme ſa, retirant da col, le ioug ſeruile.	Arme sa, retirant da col, le joug servile.
LE CHOEVR.	LE CHOEUR.
NEluy qui d'vne ame loyalle &Inuoque les Dieux immortels, Et d’vne dextre liberalle Parfume leurs ſacrez autels:	NElui qui d'une âme loyalle eTInuoque les Dieux immortels, Et d'une dextre libérale Parfume leurs sacrés autels:
Ne craint ny Mars eſtant horrible, Ny les diſcors, ny les fureurs, Ny les yeux d’vn tiran terrible, Ny meſmes les fatales ſœurs:	Ne craint ici Mars étant horrible, Ni les discors, ni les fureurs, Ni les yeux d'un tyran terrible, Ni mêmes les fatales sœurs:
Ny les ondes Deucaliennes Ny l’audace des ſerpens pieds, Ny les femmes Vulcaniennes	Ni les ondes Deucaliennes Ni l'audace des serpens pieds, Ni les femmes Vulcaniennes
Ny tous les malheurs deſliez:	Ni tous les malheurs déliés:
Ny les autres Roys de l’Aſie, Ny le fen d’vn Siturnien Si les cieux roulent ſur ſa vie Encore ne craindra il rien.	Ni les autres Rois de l'Asie, Ni le sen d'Han Niturnien Si les cieux roulent sur sa vie Encore ne craindra il rien.
Car iamais les Dieux n’abandonnent Le iuſte en ſon aduerſité:	Car jamais les Dieux n'abandonnent Le juste en son aduersité:
