CLIMENE.	CLIMENE.
Außi voila pourquoy ce qui eſt du poßible Ne ſe meſle iamais dans le concupiſcible, Autrement il faudroit que la perfection Se rencõtraſt touſiours dedans l’impreßion [ fode Du plus bas hemiſphere, & qu’vne eau bien proTroublaſt mal à propos l’harmonie du monde, Cela ne ſe peut pas.	Aussi voilà pourquoi ce qui est du pouvible Ne se mêle jamais dans le concupiscible, Autrement il faudrait que la perfection Se rencõtrast toujours dedans l'impression [ sode Du plus bas hémisphère, et qu'une eau bien proTroublât mal à propos l'harmonie du monde, Cela ne se peut pas.
Mais voyez qu’vn amant Inſpiré de l’amour parle patiemment, Ie ſuis ſimple Berger ſans aucune ſcience, Et qui n’en eus iamais la moindre conoiſſance:	Mais voyez qu'un amant Inspiré de l'amour parle patiemment, Je suis simple Berger sans aucune science, Et qui n'en eus jamais la moindre conaissance:
Toutesfois eloquent ie dis ce que ie veus, Car ce n’eſt pas d’auoir appris vn mot ou deus De deus ſçauãs Bergers qui ſont dans ce village, C iiij Il faut donc confeſſer que i’ay cet auantage Iprit De l’Amour ſeulement, qui grand maiſtre m’apCe que ie viens de dire & m'a poly l’eſprit.	Toutefois éloquent femme dis ce que je veux, Car ce n'est pas d'avoir appris un mot ou dus De dus savants Bergers qui sont dans ce village, Ç iiij Il faut donc confesser que j'ai cet avantage Iprit De l'Amour seulement, qui grand maître m'apCe que Ne viens de dire et m'a poli l'esprit.
C'eſt luy qui peut monstrer ſans aller aux eſchoA s'exprimer ainſi par de belles paroles, [les Mais pour ne perdre temps il me faut retourner, A mon premier deſſein, & le bien ordonner, Car ces filets tendus autour de cette place Comnie le poiſſon vient donner dedans la naſſe, Climene qui ſouuent ſe promene en ce lieu e tenura fans douteeneuit tuſteme fit au milieu, Ie m'en vais me cacher attendant qu’elle vienne, Afin que la prenant elle demeure mienne.	C'est même qui peut montrer sans aller aux échoA s'exprimer ainsi par de belles paroles, [les Mais pour ne perdre temps il me faut retourner, À mon premier dessein, et le bien ordonner, Car ces filets tendus autour de cette place Comnie le poisson vient donner dedans la nasse, Climène qui souvent se promène en ce lieu é penura fans douteeneuit tusteme fit au milieu, Je m'en vais me cacher attendant qu'elle vienne, Afin que la prenant elle demeure mienne.
SCENE III.	SCÈNE III.
ALCIDOR.	ÀLCIDOR.
LES DEVX ECHOS.	LES DEUX ÉCHOS.
CLIMENE.	CLIMENE.
ALCIDOR.	ÀLCIDOR.
Alheureus Alcidor quelle noire triſteſſe NI A pũ violenter l'humeur de ta icuneſſe?	Alheureus Alcidor quelle noire tristesse NI A ponc violenter l'humeur de ta icunesse?
Ne te ſouuient il plus quand libre & ſans amour Tu changeois tes deſirs tant de fois en vn iour, Quand couché quelque fois dãs le girõ des Dames Tu feignois courtiſan de bruſler en leurs flames:	Ne te souvient il plus quand libre et sans amour Tu changeois tes désirs tant de fois en un jour, Quand couché quelque fois dans le girons des Dames Tu feignais courtisan de brûler en leurs flammes:
Mais n’ayant point de cœurpour le rendreſubiet Tu n’aimois iamais rien que le dernier objet, Sãs auoir aucun malont oyoit touſiours plaindre, Et loing de la douleur tu ſçauois bien en feindre, Où as tu eſgaré cette riche vertu?	Mais n'ayant point de cœurpour le rendresubiet Tu n'aimais jamais rien que le dernier objet, Sans avoir aucun malont oyait toujours plaindre, Et loin de la douleur tu savais bien en feindre, Où as tu égaré cette riche vertu?
Pourquoy d’vn meſme tour trompeur n’abuſes tu L’eſprit de ta Climene, espandãt tant de larmes Qu’en fin elle ſe prẽne au milieu de tes charmes?	Pourquoi d'un même tour trompeur n'abuses tu L'esprit de ta Climène, espandãt tant de larmes Qu'en fin elle se prendre au milieu de tes charmes?
Hal que ce coup ſeroit admirable en ce point De feindre d’auoir mal & de n'en auoir point, Mais helas!	Hal que ce coup serait admirable en ce point De feindre d'avoir mal et de n'en avoir point, Mais hélas!
c'en eſt fait, ie ſuis dans l’eſclauage Des chaines de l’Amour, ie ſens en mon couragé, Aus despens de ma gloire & de ma liberté, Combien eſt criminelle vne infidelité, L’Amour pour m’en punir a fait que ie reiette Lesceptre d’vn grãd Roy pour prẽdre cettehouletEt me fait endurer en aimãt deus beaus yeusſte, Vn tourment qui ſeroit inſuportable aus Dieus.	c'en est fait, je suis dans l'esclavage Des chaines de l'Amour, Elle sens en mon couragé, Aus dépens de ma gloire et de ma liberté, Combien est criminelle infidélité, L'Amour pour m'en punir a fait que sans ré Lesceptre d'vn grande Grande pour prendre cettehouletEtE me fait endurer en aimaus deus beaus yeuste, Un tourment qui serait insupportable aux Dieus.
1.	1.
ECHO.	ECHO.
ô Dieus.	ô Dieus.
Qui me parle en ce lieu?	Qui me parle en ce lieu?
dis ſi tu es vne ombre, Ou quelque ſaincteté de cette foreſt ſombre, Lequel des demy Dieus ſe promene auec moy?	dis si tu es une ombre, Ou quelque sainteté de cette forêt sombre, Lequel des demi Dieus se promène avec moi?
1.	1.
ECHO.	ECHO.
N’es-tu point cette Echo qui conſtante en ſa foy, Se piaint ue fon Nartifſe, & qui Nymphe fidelle, Repete les regrets de ſa douleur cruelle?	N'es-tu point cette Écho qui constante en sa foi, Se piaint ue son Nartifse, et qui Nymphe fidèle, Répète les regrets de sa douleur cruelle?
L.	L.
ECHO.	ECHO.
elle.	elle.
Gemis donc & me laiſſe auecques mon ſoucy, Außi bien n’as tu rien pour me redire icy.	Gémis donc et me laisse avec mon souci, Aussi bien n'as tu rien pour me redire ici.
LECHO.	LECHO.
Ces antres n'ôt pas plꝰ de fleurs que de miracles, Si tu veus maintenant me rendre tes oracles Dis moy quel eſt l’obiet qui me met au tombeau.	Ces antres n'ôt pas pleurs de fleurs que de miracles, Si tu veux maintenant me rendre tes oracles Dis moi quel est l'objet qui me met au tombeau.
L.	L.
ECHO.	ECHO.
beau.	beau.
Beau ouy ſi le Soleil en vid iamais de beau.	Beau oui si le Soleil en vit jamais de beau.
Quel remede faut il aus peines que i'endure?	Quel remède faut -il aux peines que j'endure?
LECHO.	LECHO.
Ie dure & ſi ma peineeſt infiniment dure, dure.	Je dure et si ma peineest infiniment dure, dure.
Qui fleſchira ſon ame à plaindre ma douleur?	Qui fléchira son âme à plaindre ma douleur?
L.	L.
ECHO.	ECHO.
l'heur.	l'heur.
Elle aura donc en fin pitié de mon malheur, Toutesfois ſa rigueur fait que ie deſeſpere,	Elle aura donc en fin pitié de mon malheur, Toutefois sa rigueur fait que personne désespère,
LECHO.	LECHO.
Ouy ie veus eſperer la fin de ma miſere, eſpere.	Oui ici veus espérer la fin de ma misère, espérer.
Et qu'elle aura pitié du tourment qui me point.	Et qu'elle aura pitié du tourment qui me point.
IL.	IL.
ECHO.	ECHO.
point.	point.
Point, comment?	Point, comment?
qu'eſt cecy?	qu'est ceci?
quelle trauerſe ioint L’ombre de mon repos?	quelle traverse joint L'ombre de mon repos?
Et quelle vois eſtrange Fait que tout mon plaiſir en la crainte ſe change?	Et quelle vois étrange Fait que tout mon plaisir en la crainte se change?
Et mon meilleur eſpoir m’oste cruellement.	Et mon meilleur espoir m'ôte cruellement.
L.	L.
ECHO.	ECHO.
elle ment.	elle ment.
Quelles illuſions rengregent mon tourment?	Quelles illusions rengrégent mon tourment?
l'aymerois mieus ſouffrir vn plus cruel martyre Que ces angoiſſes là qui font que ie ſoupire.	l'aimerais mieus souffrir un plus cruel martyre Que ces angoisses là qui font que Ne soupire.
De llos.	De llos.
Ie viuray donc en fin auec ce reconfort, pirc.	Je vivrai donc en fin avec ce réconfort, pirc.
Eſperant du repos dans le ſoin qui me mord.	Espérant du repos dans le soin qui me mord.
II.	II.
ECHO.	ECHO.
mort.	mort.
Quels contraires eſprits contrepeſent ma vie?	Quels contraires esprits contrepesent ma vie?
Et qui deliurera ma pauure ame aſſeruie?	Et qui délivrera ma pauvre âme asservie?
I.	I.
ECHO.	ECHO.
vie.	vie.
Changeray-ie en viuant ſes cruelles humeurs?	Changerai-je en vivant ses cruelles humeurs?
IL.	IL.
ECHO.	ECHO.
meurs.	meurs.
Que ie meure, voicy des eſtranges erreurs, L’vn me preſche la mort, & vn autre perſiſte A dire à mon eſprit qu’il faut que ie ſubſiſte, Etrende mon amour fidellement ſitiui.	Que mille meure, voici des étranges erreurs, L'un me prêche la mort, et un autre persiste A dire à mon esprit qu'il faut que sans subsiste, Etrende mon amour fidèlement sitivi.
L.	L.
ECHO.	ECHO.
Ie ne puis que penſer, mon eſprit eſt raui, vi.	Je ne puis que penser, mon esprit est ravi, vi.
Et ie ne ſçay lequel pour le mieus ie dois ſuiure, Ou ſi ie dois mourir, ou bien ſi ie dois viure:	Et ici ne sais lequel pour le mieus Dieux dois suivre, Ou si tu dois mourir, ou bien si ieclais vivre:
CLIMENE.	CLIMENE.
Ie vous y prens Berger, que faites vous icy, A diſcourir tout ſeul & à vous plaindre ainſi?	Je vous y prends Berger, que faites vous ici, A discourir tout seul et à vous plaindre ainsi?
ALCIDOR.	ÀLCIDOR.
M’appellez vous tout ſeul, mõ aimable Climene, Pour me voir en ces lieux où libre ie promene Dans l’eſpace eſtendu de mes conceptions Les penſers releuez de mes affections?	M'appelez -vous tout seul, momme aimable Climène, Pour me voir en ces lieux où libre quelque propène Dans l'espace étendu de mes conceptions Les pensers relevez de mes affections?
De puis que par vos yeux mon ame fut bleſſee, Climene a demeuré touſiours dans ma penſee.	De puis que par vos yeux mon âme fut blessée, Climène a demeuré toujours dans ma pensée.
Mon eſprit la poſſede, & ne pourroit ſouffrir De s’en voir ſeparer au moins ſans en mourir, Ie me plaignois à vous dans cette ſolitude, Deet quu mesueſtis poſere namcar eſt trop rude En meſpriſant les vœus de ma fidelité.	Mon esprit la possède, et ne pourrait souffrir De s'en voir séparer au moins sans en mourir, Je me plaignais à vous dans cette solitude, Devet quu mesuestis posère namcar est trop rude En méprisant les vœus de ma fidélité.
CLIMENE.	CLIMENE.
C’eſt dire que ie ſuis plaine de cruauté.	C'est dire que je suis plaine de cruauté.
ALCIDOR.	ÀLCIDOR.
Iteſt vray, que n'efeaut ames maus ſecourable, On ne vous peut donner vn nomplus cõuenable.	Itest vrai, que n'efaut âmes maus secourable, On ne vous peut donner un nomplus cõuenable.
CLIMENE.	CLIMENE.
Quoy!	Quoi!
pour n’eſtre cruelle il ſe faut engager A guarir le tourment d’vnamoureux Berger?	pour n'être cruelle il se faut engager A garir le tourment d'uneamoureux Berger?
ALCIDOR.	ÀLCIDOR.
On ne le peut nier.	On ne le peut nier.
CLIMENE.	CLIMENE.
Ainſi donc ie dois rendre.	Ainsi donc Madame dois rendre.
Les ſouhaits accomplis du fidelle Silandre, Cter jorene romoumolejomeure à l'aimer, Il pourroit de ce nom iuſtement me nommer.	Les souhaits accomplis du fidèle Silandre, Cter jorène romoumolejomure à l'aimer, Il pourrait de ce nom justement me nommer.
ALCIDOR.	ÀLCIDOR.
Vous m’oſteriez l’eſpoir de ma perſeuerance.	Vous m'ôteriez l'espoir de ma persévérance.
CLIMENE.	CLIMENE.
ouanureperurmtuuepauuue faconſtance?	ouanureperurmtuuepauuue fassonstance?
ALCIDOR.	ÀLCIDOR.
Pourriez vous oublier mes ſeruices rendus?	Pourriez -vous oublier mes services rendus?
CLIMENE.	CLIMENE.
Ceus de voſtre riual faut il qu’ils ſoient perdus?	Ceus de votre rival faut -il qu'ils soient perdus?
ALCIDOR.	ÀLCIDOR.
Seute vous me pontez domnerte qui m'allege.	Seute vous me pontez domnerte qui m'allège.
CLIMENE.	CLIMENE.
I'aybien deſſus Silandre vn meſme priuilege, Et moy ſeule ie puis tous ſes tourments guarir.	J'aibien dessus Silandre un même privilège, Et moi seule grande puis tous ses tourments garir.
ALCIDOR.	ÀLCIDOR.
En le voulant ſauuer me ferez vous perir?	En le voulant sauver me ferez vous périr?
CLIMENE.	CLIMENE.
Viuez en paix Berger, ſi l’amour a puiſſance De me mettre iamais ſous ſon obeiſſance, Et que ſoyez conſtant, ie vous promets qu’vn iour Ierecompenſeray voſtre amour par amour.	Vivez en paix Berger, si l'amour a puissance De me mettre jamais sous son obéissance, Et que soyez constant, je vous promets qu'un jour Ierecompenseray votre amour par amour.
LIRIDAS.	LIRIDAS.
Climene demeurez, on ne s’en peut deſdire.	Climène demeurez, on ne s'en peut dédire.
Sont les fileis d'Amont qui moſtent de martyre, Et vous donnent à moy.	Sont les file d'Amont qui môtent de martyre, Et vous donnent à moi.
ALCIDOR.	ÀLCIDOR.
Va t’en pauure incensé.	Va t'en pauvre incensé.
LIRIDAS Comment ie n’aurois rien de ce que i’ay chaßé, Accordons nous pluſtoſt ſans nous mettre en cholere, Elle peut à nous deus aisément ſatisfaire.	LIRIDAS Comment était n'aurais rien de ce que j'ai chassé, Accordons nous plutôt sans nous mettre en colère, Elle peut à nous dus aisément satisfaire.
A1OAHTROISIESME.	A1OAHTROISIESME.
SCENE I.	SCÈNE I.
CALIANTE.	CALIANTE.
CLORIFEE.	CLORIFE.
CALIANTE.	CALIANTE.
’AureZ vous point pitié d’vn languiſſant  fmerle Contre voſtre rigueur?	AureZ vous point pitié languissant fmerle Contre votre rigueur?
CLORIFEE.	CLORIFE.
Laiſſez moy ie vous prie.	Laissez -moi , vous prie.
CALIANTE.	CALIANTE.
Prenez compaßion d’vn malheureus amant Qui meurt & qui ne peut viure qu’en vo?	Prenez compassion d'une malheureus amant Qui meurt et qui ne peut vivre qu'en vo?
aimãt:	aimant:
Mon ame qui ſe plaint de la longue duree Des peines qu’elle ſent ſemeurt deſeſperée, Et ne pouuant ſouffrir l’excez de ſes douleurs, S’eſcoule par mes yeus enfigure de pleurs.	Mon âme qui se plaint de la longue dure Des peines qu'elle sent semeurt désespérée, Et ne pouvant souffrir l'excès de ses douleurs, S'écoule par mes yeus enfigure de pleurs.
CLORIFEE.	CLORIFE.
Ilarmes?	Ilarmes?
Pourquoy ne noyez vous voſtre amour dans vos	Pourquoi ne noyez vous votre amour dans vos
CALIANTE.	CALIANTE.
Mes larmes ne ſont pas d’aſſez puiſſantes armes Pour combatre le feu qui cauſe mon tourment, Et lequel ne craint point ce trop foible element, Au contraire mes pleurs d’vne eſtrange nature Ne fõt que l’allumer, plus i’en verſe, & plꝰ dure La flame que ie ſens comme ces feus qu’on fait, Dont l’eau n’empeſche point le merueilleus effet.	Mes larmes ne sont pas d'assez puissantes armes Pour combattre le feu qui cause mon tourment, Et lequel ne craint point ce trop faible élément, Au contraire mes pleurs d'une étrange nature Ne fût que l'allumer, plus j'en verse, et ç dure La flamme que je sens comme ces feus qu'on fait, Dont l'eau n'empêche point le merveilleus effet.
CLORIFEE.	CLORIFE.
Bruſlez, ne bruſlez pas, le mal qui vous tourmẽte Ne me ſera iamais que choſe indifferente.	Bruslez, ne brûlez pas, le mal qui vous tourmentte Ne me sera jamais que chose indifférente.
CALIANTE.	CALIANTE.
Puiſque vous perſiſtez à m'vſer de rigueur, Que vous ne vouleZ pas me tirer de langueur, Afin que deſormais mes ordinaires plaintes Ne puiſſent plus faſcher vos oreilles cõtraintes, Auecques ce poignard banniſſeZ de ce corps Mon ame languiſſante, & la chaſſez dehors, Et que la mort au moins ſeule eſtant à mon ayde, Ce qui fait mal à tous me ſerue de remede, Que i’aye cet honneur de mourir par vos mains.	Puisque vous persistez à m'user de rigueur, Que vous ne voulez pas me tirer de langueur, Afin que désormais mes ordinaires plaintes Ne puissent plus fâcher vos oreilles craintes, Avecques ce poignard bannissez de ce corps Mon âme languissante, et la chassez dehors, Et que la mort au moins seule étant à mon aide, Ce qui fait mal à tous me serve de remède, Que j'aie cet honneur de mourir par vos mains.
Pourquoy blemiſſeZ vous beaus ſoleils inhumains?	Pourquoi blémissez -vous beaus soleils inhumains?
En ce dernier moment faites moy cette grace Et qu’icy deuant vous doucement ie treſpaſſe:	En ce dernier moment faites -moi cette grâce Et qu'ici devant vous doucement un trépasse:
Percen ceneſiomuen j& fastumque deus coups Vous deliurent de moy medeliurant de vous.	Percen cenesiomuen jet fastumque dût coups Vous délivrent de moi medeliurant de vous.
CLORIFEE.	CLORIFE.
Que ma main par ce fer vous priue de la vie?	Que ma main par ce fer vous prive de la vie?
Que l’on die iamais que ie vous l’ay rauie!	Que l'on die jamais que je vous l'ai ravie!
Que ce bras homicide en vous ouurant le flanc Face à tiedes bouillons eſcouler voſtre ſang!	Que ce bras homicide en vous ouvrant le flanc Ace à tièdes bouillons écouler votre sang!
Peut on s’imaginer que ſans eſtre offencee Vn ſi cruel deſir m'entre dans la penſee?	Peut on s'imaginer que sans avoir offenseée Un si cruel désir m'entre dans la pensée?
Eſperez de guarir vn peu plus doucement, LeueZ vous Caliante.	Espérez de garir un peu plus doucement, LeueZ -vous Caliante.
CALIANTE.	CALIANTE.
Ha deplorable amant?	Ha déplorable amant?
Pourquoy refuſeZ vous de m'eſtre charitable, Puiſque ma douleur eſtautrement incurable?	Pourquoi refusez -vous de m'être charitable, Puisque ma douleur estautrement incurable?
Vous deſireZ ma mort, & vous ne vouleZ pas Me donner toutefois ce bien-heureux treſpas:	Vous désirez ma mort, et vous ne voulez pas Me donner toutefois ce bienheureux trépas:
Mais que ſuiuant plutoſt ma paßion extreſme Ie ſois contre mon gré le bourreau de moy meſme, Sus donc ma chere main monſtre à cette beauté Que tout cecy n'eſt point vndeſſein inuenté Pour l’induire à finir ma longue maladie, Ou bien comme l’on feint en quelque Comedie, Fais luy voir en cerchant la fin de tes trauaus Ce deſſein veritable außi bien que tes maus Tais tuy puin qu'ente pententore ce ſeruice, Immole luy ma vie en plaiſant ſacrifice.	Mais que suivant plutôt ma passion extrême Je sois contre mon gré le bourreau de moi -même, Sus donc ma chère main montre à cette beauté Que tout ceci n'est point vndessein inventé Pour l'induire à finir ma longue maladie, Ou bien comme l'on feint en quelque Comédie, Fais y voir en cerchant la fin de tes travaus Ce dessein véritable aussi bien que tes maît Tais tui puin qu'est pententore ce service, Immole avait ma vie en plaisant sacrifice.
CLORIFEE.	CLORIFE.
Coment auriez vous bien ce deſſein malheureus?	Coment auriez -vous bien ce dessein malheureus?
CALIANTE.	CALIANTE.
Appeuez vom matpeur ce qui red bienheureus?	Apevez vom matpeur ce qui red bienheureus?
CLORIFEE.	CLORIFE.
Appellez vous bonheur vne fureur extreſme?	Apelez -vous bonheur une fureur extrême?
SADIANTE.	SADIANTE.
Appellez vous fureur qu’on ſe ſauue ſoy meſme?	Apelez -vous fureur qu'on se sauve soi -même?
CLORIFEE.	CLORIFE.
Appellez vous ſauuer qu’on ſe face mourir?	Apelez -vous sauver qu'on se face mourir?
CALIANTE.	CALIANTE.
Appellez vous mourir qu'on ſe ſçache guerir?	Apelez -vous mourir qu'on se sache guérir?
CLORIFEE.	CLORIFE.
Appellez vous guerir de ſeparer voſtre ame D’auecques voſtre corps, haillez moy cettelame, Ie ne ſouffriray point qu’vn ſi cruel effort Par voſtre propre main aduance voſtre mort, Si Silandre ne veut oublier ſa Climene, Et ſi mon cœur vn iour peut meſpriſer ſa haine, Changeant d’affection ie receuray vos vœus Foui iui tuità la fin content & bien heureus, Reconoiſſant ainſi voſtre perſeuerance.	Apelez -vous guérir de séparer votre âme D'avec votre corps, haillez moi cettelamme, Je ne souffrirai point qu'un si cruel effort Par vôtre propre main avance votre mort, Si Silandre ne veut oublier sa Climène, Et si mon cœur un jour peut mépriser sa haine, Changeant d'affection ici recevrai vos vœus Foui ju tuità la fin content et bien heureus, Reconoissant ainsi votre persévérance.
CALIANTE.	CALIANTE.
Ie viuray Clorifee, auec cette eſperance, Attendant voſtre grace, ou qu’vn pareil deſſein Me perſuade encor à me fendre le ſein.	Je vivrai Clorife, avec cette espérance, Attendant votre grâce, ou qu'un pareil dessein Me persuade encor à me fendre le sein.
SCENE II.	SCÈNE II.
LE MAGICIEN.	LE MAGICIEN.
Ans les ſainctes horreurs del'eternelle nuit DDe ces ſombres foreſts, loing des gens & du bruit Qui pourroit me troubler, i’entretiens ſolitaire Vne troupe deſprits pour compagne ordinaire:	Ans les sainte horreurs dél'éternelle nuit DDe ces sombres forêts, loin des gens et du bruit Qui pourrait me troubler, j'entretiens solitaire Une troupe desprits pour compagne ordinaire:
Si bien que ie commande enfermez dãs mes fers, Le ciel, le feu, l’air, l’eau, la terre, & les enfers.	Si bien que femme commande enfermés dans mes fers, Le ciel, le feu, l'air, l'eau, l' eau, et les enfers.
Les CIEVS m’obeißãs conoißẽt ma puißãce, La nuict vient dans le iour, alors que le Soleil Couure pour m’obeir ſon viſage de dueil, [mes Et toy ſa chaſte ſœur tu ſçais bien que mes charPour tout ce qui me plaiſt sõt d’infaillibles armes.	Les CIEUS m'obéisse conoissẽt ma passion, La nuit vient dans le jour, alors que le Soleil Couvre pour m'obéir son visage de deuil, [mes Et toi sa chaste sœur tu sçais bien que mes charPour tout ce qui me plaît sõt s'infaillibles armes.
Le FRVVIolenté par mes enchantemens	Le FRVVIolenté par mes enchantements
D i	D y
Va troubler furieus les autres Elemens, Et ſans iamais manquer à ce que ie demande, Fuit ce que ie defend, fait ce que ie commande.	Va troubler furieus les autres Éléments, Et sans jamais manquer à ce que ie demande, Fuit ce que enfin défend, fait ce que je commande.
Dans L’AIRon reconoiſt mon pouuoir abſolu, Car i’y fais außi toſt ce que i'ay reſolu, Tantoſt quand il me plaiſt vne pluye ſeconde Deſtrempe heureuſement la ſurface du monde, Et de ſes graces eaus qui tombent à longs flus, Fertilize les champs de ceus que i’aime plus:	Dans L'AIRon reconoist mon pouvoir absolu, Car j'y fais aussi tôt ce que j'ai résolu, Tantôt quand il me plaît une pluie seconde Dêtrempe heureusement la surface du monde, Et de ses grâces eaus qui tombent à longs flus, Fertilsize les champs de ç que 'aime plutôt:
La Greſle quelquefois ſans faucille moiſſonne De la blonde Ceres la plus riche couronne.	La Grêle quelquefois sans faucille moissonne De la blonde Ceres la plus riche couronne.
La neige en autre lieu d’vn nouueau changemẽt Se balançant en l’air tombe tout doucement Pour reueſtir le dos d’vne frilleuſe plaine Des floccons pareſſeus de ſa tremblante laine, Quãd ie veus vn Comete aßẽblépar mes mains, De ſon horrible a ſpect eſtonne les humains.	La neige en autre lieu d'Han née changement Se balançant en l'air tombe tout doucement Pour revêtir le dos d'une frilleuse plaine Des floccons paresseus de sa tremblante laine, Quand Se vus un Cométue assẽblépar mes mains, De son horrible a spect étonne les humains.
Ailleurs vn peu plus bas vne chaude fumée Dans let moitte eſpeſſeur d’vne nue enfermée, Faſchée de ſe voir ceinte de ſa froideur Par Antiperiſtaze amaſſe ſon ardeur, Et heurtant ſa cloiſſon à frequentes ſecouſſes, Traiſne vn ſourd meuglemẽt, fait des murmures mouſſes, Puis ſe rendurciſſant violente à grands coups Sa muraille flottante, & tombant deſſus vous Selon mon bon plaiſir, cette flame maligne Poudroye vn eſpy neur, deſracine vne vigne, Et ſans ſe departir de tout ce que ie veus Celuy qui me veut mal eſt bien toſt malheureus.	Ailleurs un peu plus bas t chaude fumée Dans let moitte épesseur d'une nue enfermée, Fâchée de se voir ceinte de sa froideur Par Antipéristaze amasse son ardeur, Et heurtant sa cloisson à fréquentes secousses, Traine un sourd euglement, fait des murmures mousses, Puis se rendurcissant violente à grands coups Sa muraille flottante, et tombant dessus vous Selon mon bon plaisir, cette flamme maligne Poudroie un épi au, déracine vigne, Des cracse mentir de tout ce que tu veux Bientôt ce que tu le partir de tout malheureus.
Les paſſages peſans que comme en vne dance La MERtire à cet' heure, à cet' heure elle aduãNe peuuent receuoir en leur cours ſi diuers, [ce, Pour regles de leur bal, que le ſon de mes vers.	Les passages pans que comme en une dance La MERtyre à cet heure, à cet heure elle aduãNe peuvent recevoir en leur cours si divers, [ce, Pour règles de leur bal, que le son de mes vers.
Les fleuues plus puiſſans violans leur riuage, Pour ſuiure mes deſirs ſe font par toutpaſſage.	Les fleuves plus puissants violents leur rivage, Pour suivre mes désirs se font par toutpassage.
Et confus çà & là ſans limite & ſans rang, Font d’vne raze plaine vn malheureus eſtang, Entrainẽt orgueilleus dans leurs ondes ſuperbes Le vin dãs les tõneaus & le bled dãs les gerbes.	Et confus çà et là sans limite et sans rang, Font d'une rase plaine un malheureus étang, Entrainence orgueilleus dans leurs ondes superbes Le vin dans les rendre les bled ans les gerbes.
La TERRE m’obeit, & iamais ne produit Contre ma volonté, ny fleurette, ny fruit, Les arbres declinans l’ordre de la Nature Se couurent dans l’eſté de neige & de froidure, Ou bien lors qu'en Ianuier vn rigoureus hiuer De feuilles & de fruits eſt venu les priuer, De celuy qui me plaiſt la branche fructueuſe, Soupire ſous le poids d’vne moiſſon heureuſe, R’enfermant autrepart quelques vents dépiteZ La terre s’entr ouurant loge pluſieurs citeZ En ſon ventre effroyable, & plõge ſous les ondes L’incertain baſtiment des Iſles plus fecondes.	La TERRE m'obéit, et jamais ne produit Contre ma volonté, votre fleurette, Seigneur fruit, Les arbres déclinants l'ordre de la Nature Se couvrent dans l'été de neige et de froidure, Ou bien lors qu'en Janvier un rigoureus hiver Un feuilles et de fruits est venu les priver, De celui qui me plaît la branche fructueuse, Soupire sous le poids d'vne moisson heureuse, Renfermant autrepart quelques vents dépiteZ La terre s'entres ouvrent loge plusieurs cite En son ventre effroyable, et plõge urs ce ondes incertain bâtiment des Isles sous les.
PLVTON à ma parole eſt de crainte ſurpris, Et pour me contenter delegue ſes eſprits, Que ie fais chaſtier d’vn horrible ſupplice Lors qu’ils ne veulent pas me rendre du ſeruice, Si bien que ie commande enfermez dans mes fers Le ciel, le feu, l’air, l’eau, la terre, & les enfers.	PLUTON à ma parole est de crainte surpris, Et pour me contenter délègue ses esprits, Que ie fais châtier d'un horrible supplice Lors qu'ils ne veulent pas me rendre du service, Si bien que je commande enfermés dans mes fers Le ciel, le feu, l'air, l'eau, la terre, et les enfers.
SCENE III.	SCÈNE III.
SILANDRE.	SILANDRE.
LE MAGICIEN.	LE MAGICIEN.
SILANDRE.	SILANDRE.
Nfin puiſque l’Amour ſe rid de ma triſteſſe, LEt m’oſte tout eſpoir de flechirmamaiſtreſſe, Si le Ciel ne veut pas changer mon mauuais ſort Que puis-ie de ſormais que recercher la mort?	Nfin puisque l'Amour se rid de ma tristesse, LEt m'ôte tout espoir de flechirmamaistresse, Si le Ciel ne veut pas changer mon mauvais sort Que puis-je de sormais que recercher la mort?
Quelremede ay-ie plus qui puiſſe plus propice Mes ſupplices finir que ce dernier ſupplice?	Quelremède ai-je plus qui puisse plus propice Mes supplices finir que ce dernier supplice?
Mais mon cœurme conſeille auãt que de mourir, D'eſſayer ſi l’enfer me pourra ſecourir, vn vieillard qui n’ayãt pour maiſon bien dreſſee Qu'vne grotte qu’il a dedans ce bois creuſee, Auec deus ou trois mots qu’il murmure tout bas, Donne comme il luy plaiſt la vie ou le treſpas.	Mais mon cœurme conseille avant que de mourir, D'essayer si l'enfer me pourra secourir, un vieillard qui n'ayant pour maison bien dresse Qu'une grotte qu'il a dedans ce bois crée, Avec deus ou trois mots qu'il murmure tout bas, Donne comme il lui avait la vie ou le trépas.
Peut eſtre la vertu de ſa noire ſcience Reduira ma rebelle en mon obeiſſance, Et fera qu’inuoquant vne troupe d’eſprits, Climene ſera priſe ainſi que te ſuis pris.	Peut être la vertu de sa noire science Réduira ma rebelle en mon obéissance, Et fera qu'invoquant une troupe d'esprits, Climène sera prise ainsi que te suis pris.
Voicy le lieu ſecret qu’il achoiſi pour viure, Ha le voila qui reſue, il porte quelque liure, Il a ſa verge en main.	Voici le lieu secret qu'il achaisi pour vivre, Ha le voilà qui rêve, il porte quelque livre, Il a sa verge en main.
Quel port maiectueus?	Quel port maiectueus?
Comme vn bonet de nuit luy couure les cheueus, Il confond quelques mots, auant qu’il ſe retire Ie m’en vais l’appeller.	Comme un bonet de nuit lui couvre les cheus, Il confond quelques mots, avant qu'il se retire Je m'en vais l'appeler.
