A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
,Si la Nimphe par fois en paroiſt moins raute, Elle fuit ſeulement aſin d’eſtre ſuiuie.	,Si la Nymphe par fois en paraît moins raute, Elle fuit seulement asin d'être suivie.
qn dappo, Elle en face le choix, ie n'en iurerois pas.	qn dapo, Elle en face le choix, Elle n'en jurerais pas.
PALEMON.	PALÉMON.
Les vœux que ie t'ay faits, loin de tout artifice, Te demandent, Melite, vn fauorable office.	Les vœux que Seigneur t'ai faits, loin de tout artifice, Te demandent, Melite, un favorable office.
Quel?	Quel?
MELITE.	MELITE.
PIABE MEn3 Si de ſes douleurs tu le veux conſoler, Que par ton aßiſtance il luy puiſſe parler.	PIABE MEn3 Si de ses douleurs tu le veux consoler, Que par ton assistance il lui puisse parler.
MELITE.	MELITE.
Quel moyen?	Quel moyen?
Il faut donc que ce ſoit par ſurpriſe,	Il faut donc que ce soit par surprise,
Autrement?	Autrement?
PALEMON.	PALÉMON.
MELITE.	MELITE.
Point.	Point.
Atten.	Atten.
le Ciel nous fauoriſe.	le Ciel nous favorise.
Tout à l’heure elle doit me trouuer en ce lieu.	Tout à l'heure elle doit me trouver en ce lieu.
Eſt-il loin?	Est-il loin?
PALEMON.	PALÉMON.
Non pas fort.	Non pas fort.
MELITE.	MELITE.
Fay qu'il s'auance.	Fais qu'il s'avance.
PALEMON.	PALÉMON.
A Dieu.	À Dieu.
ACTE	ACTE
ACTE SECOND, SCENE DEVXIESME.	ACTE SECOND, SCÈNE DEUXIÈME.
AMARAIOAIE, AMLEMIES DAMON,	AMARAIOAIE, AMLEMIES DAMON,
AMARANTHE.	AMARANTHÉE.
En blaſme point ma foy, n’en ſois point of1 v.	En blâme point ma foi, n'en sois point of1 v.
fensée:	sensée:
Ie venois à deſſein de t'ouurir ma pensée, Mais quoy, voicy Damon qui me ſuit pas à pas.	Je venais à dessein de t'ouvrir ma pensée, Mais quoi, voici Damon qui me suit pas à pas.
Ilte cherche ſans doute.	Ilte cherche sans doute.
MELITE.	MELITE.
O qu’il ne me tient pas.	Ô qu'il ne me tient pas.
AMARANTHE.	AMARANTHÉE.
Non, non, ce Myrthe & moy, nous te tiendrons cachée.	Non, non, ce Myrtehe et moi, nous te tiendrons cachée.
Vien, donne moy la main.	Viens, donne -moi la main.
Que tu fais l’empeſchée,	Que tu fais l'empêchée,
MELITE.	MELITE.
Aupres d’vn tel Soleil ſeray-ie moins au iour?	Auprès d'un tel Soleil serai-je moins au jour?
Et pourray-ie oppoſer les Myrthes à l'Amour?	Et pourrai-je opposer les Myrthes à l'Amour?
AMARANTHE.	AMARANTHÉE.
Dusupprvent partiop, iu ſuiuras ceſte routé,	Dusupprivent partiop, ju suivras cette routé,
MELITE.	MELITE.
Le voicy, ie Penrens.	Le voici, Seigneur Penrents.
AMARANTHE.	AMARANTHÉE.
Ne parle plus eſcoute.	Ne parle plus écoute.
Qui t'ameine Damon?	Qui t'amène Damon?
DAMON.	DAMON.
Que tes pieds ſont legers!	Que tes pieds sont légers!
Et qu’ils donnent de peine à ces pauures Bergers!	Et qu'ils donnent de peine à ces pauvres Bergers!
Ie fuy l’oyſiueté qui m'eſt inſupportable.	Je fuis l'oisiveté qui m'est insupportable.
Ie vay du lict au Temple, & du Tẽple à la table.	Je vais du lit au Temple, et du Temple à la table.
Men nemempetnian queuaconpue repos.	Men nempetnian queuaconpue repos.
Le ſilence m'endort, außi font les propos.	Le silence m'endort, aussi font les propos.
AMARANTHE.	AMARANTHÉE.
Nous cherchõs meſme choſe, ou ie ſuis bien trõpée.	Nous cherchons même chose, ou tu suis bien trõpée.
DAMON.	DAMON.
Tu ſçais bien de quels ſoins mon ame eſt occupée, Mais ſerions nous toucheZ d’vn ſemblable ſoucy?	Tu sais bien de quels soins mon âme est occupée, Mais serions nous touchez d'un semblable souci?
Ie cherche mes amours.	Je cherche mes amours.
AMARANTHE.	AMARANTHÉE.
Et ie les cherche außi.	Et ici les cherche aussi.
Tes Amours?	Tes Amours?
DAMON.	DAMON.
A MARANTHE.	À MARANTHÉE.
Tes amours;	Tes amours;
quis appeuent Melite,	quis appeuent Mélite,
DAMON.	DAMON.
O Dieux!	Ô Dieux!
quand ie ſuis mort, ce nom me reſſuſcite,	quand ici suis mort, ce nom me ressuscite,
AMARANTHE.	AMARANTHÉE.
I Meurs tu ſouuent Damon?	I Meurs tu souvent Damon?
DAMON.	DAMON.
Quand ie ne la voy point.	Quand ici ne la vois point.
Quand ſon eſloignement à ſa rigueur eſt joint:	Quand son éloignement à sa rigueur est joint:
equamseceMoit, Ie ſuis comme vn rocher, ſourd, muët, inſenſible,	equamseceMoit, Je suis comme un rocher, sourd, muet, insensible,
AMARANTHE.	AMARANTHÉE.
,C'eſt vrayment eſtre mort, que de ne ſentir rien.	,C'est vraiment été mort, que de ne sentir rien.
Siie te reſſemblois, i'en aurois plus de bien.	Siie te ressemblais, j'en aurais plus de bien.
DAMON.	DAMON.
Aymant comme tu fais la Bergere que i’ayme, Mereſſembles tu pas comme vn autre moymeſme?	Aimant comme tu fais la Bergère que j'aime, Meressembles tu pas comme un autre moymesme?
AMARANTHE.	AMARANTHÉE.
Ie croy me voir, ſans doute, alors que ie te voy.	Je crois me voir, sans doute, alors que ie te .
Melite ſera priſe en te prenant pour moy.	Mélite sera prise en te prenant pour moi.
F ii Source gallica.	 Fi Source gallica.
bnffr1B ance Un s’y trõpe aisément, rien ne l’en peut deſendre.	bannffr1B ance Un s'y trépe aisément, rien ne l'en peut désendre.
DAMON.	DAMON.
Ie ne ſuis pas ſi laid qu'on me veut fatre entendre.	Je ne suis pas si laid qu'on me veut fatre entendre.
Ie panchay l’autre iour mon viſage fur l’eau;	Je penchai l'autre jour mon visage fur l'eau;
Et comme en vn miroir, ou comme en vn tableau, Dans le ſeinde Thetis, i'appercen mon image.	Et comme en un miroir, ou comme en un tableau, Dans le seinde Thétis, j'apercen mon image.
AMARANTHE.	AMARANTHÉE.
Les Nymphes à l’inſtant luy rendirent hommage.	Les Nymphes à l'instant Seigneur rendirent hommage.
DAMOR.	DAMOR.
Non, mais ie prins plaiſir a me conſiderer, den ay point dt ſuont de me deſejptrer.	Non, mais Seigneur prins plaisir à me considérer, den ai point dt suont de me desejptrer.
Et ie me trompe fort, ou ie ſuis agreable.	Et petit me trompe fort, ou ainsi suis agréable.
AMARANTHE.	AMARANTHÉE.
Ieteiure, Damon, 1a n’as point de ſemblable.	Ieteiure, Damon, 1a n'as point de semblable.
Iaeie*vnbon eſprit n'eſt las de t'eſcouter.	Iaeie*vnbon esprit n'est las de t'écouter.
Apres ton entretien ie ne puis rien gouſter:	Après ton entretien ici ne puis rien goûter:
Et c’eſt bien à regret, qu’il faut que ie m'en priue.	Et c'est bien à regret, qu'il faut que . m'en prive.
Mais tu ſçauras qu'vn Cerf de grandeur exceßiue A meſprise deux fois nos efforts & nos dards:	Mais tu sauras qu' Cerf de grandeur excessiue A méprise deux fois nos efforts et nos dards:
Qu'auiourd huy les Bergers viendront de toutes parts:	Qu'aujourd' hui les Bergers viendront de toutes parts:
Que chacun d’eux ſans doute aſpire à la victoire;	Que chacun d'eux sans doute aspire à la victoire;
Et les Nymphes außi pretendent à la gloire.	Et les Nymphes aussi prétendent à la gloire.
Ie veux prendre, Damon, pour la derniere fois, A l’honneur de Diane, & l’arc, & le carquois.	Je veux prendre, Damon, pour la dernière fois, A l'honneur de Diane, et l'arc, et le carquois.
Si tu veux contenter Amaranthe, & Melite, Retourne fur tes pas, & va prendre l’eſlite De tant de traits diuers que Daphnis m’adonnez:	Si tu veux contenter Amaranthe, et Mélite, Retourne fur tes pas, et va prendre l'élite De tant de traits divers que Daphnis m'adonnés:
Va choiſir les nteilleurs, & les mieux empenneZ Et (ſi tu les cognois) les plus ineuitables.	Va choisir les néilleurs, et les mieux empennés Et (si tu les connais) les plus inévitables.
2	2
DAMON.	DAMON.
En fin les plus aigus, & les plus redoutables, Lts pinsſonis, nspimsaroits, & tes piux aiſjeulres Qui pour toucher vn cœur furent iamais tireZ.	En fin les plus aigus, et les plus redoutables, Lts pinssonis, nspimsaraits, et tes piux ajeulres Qui pour toucher un cœur furent jamais tirés.
AMARANTHE.	AMARANTHÉE.
Fay comme tu l’entends, Damon, ie ten ſupplie.	Fais comme tu l'entends, Damon, je ten supplie.
Và donc,	Và donc,
DAMON.	DAMON.
Ta volonté ſera toſt accomplie.	Ta volonté sera tôt accomplie.
Mais, Amaranthe, vn mot à ce cœur endurcy.	Mais, Amaranthe, un mot à ce cœur endurci.
AMARANTHE.	AMARANTHÉE.
Ie n'y manqueray pas, n’en ſois point en ſoucy.	Je n'y manquerai pas, n'en sois point en souci.
F iij	 Fij
ACTE SECOND.	ACTE SECOND.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
22Mie De lsſ ME) lvlsd No.	22Mie De l' ME) lulsd No.
AMARANTHE.	AMARANTHÉE.
’Ay la main toute en feu, tu me l’as tant baisée, I Que tes ardens baiſers me l’ont toute émbrasée.	Çà-lui la main toute en feu, tu me l'as tant baisée, I Que tes ardents baisers me l'ont toute émbrasée.
Vien Melite, il eſt temps.	Viens Mélite, il est temps.
Dieux!	Dieux!
qu'eſt-ce que ie voy?	qu'est-ce que ie cy?
Inſolent, temeraire, effronté, laiſſe moy.	Insolent, téméraire, effronté, laisse -moi.
Qui t'a donné l’audace?	Qui t'a donné l'audace?
ALEXIS.	ALEXIS.
Au moms uaug aem entendre	Au moments aug aem entendre
AMARANTHE.	AMARANTHÉE.
Inſense malheureux, à quoy veux-tu pretendre?	Insense malheureux, à quoi veux-tu prétendre?
ALEXIS.	ALEXIS.
Ie pretends à ſmir ma vie, & ma langueur.	Je prétends à smir ma vie, et ma langueur.
AMARANTHE.	AMARANTHÉE.
Non, ie te donneray de ce dard dans le cœur.	Non, Seigneur te donnerai de ce dard dans le cœur.
ALEXIS.	ALEXIS.
Domeypuiomuſſemseumoſteras de peine?	Domeypuiomussemseumosteras de peine?
AMARANTHE.	AMARANTHÉE.
L dlxnpome:	LÈS dlxpome:
aiſſcr:	aisscr:
ALEXIS.	ALEXIS.
Ie te laiſſe inhumaine.	Je te laisse inhumaine.
Eſcoute au moins celuy que tu ne dois plus voir.	Écoute au moins celui que tu ne dois plus voir.
Vn adieu pour iamais ne te peut eſmouuoir?	Un adieu pour jamais ne te peut esmouuoir?
Mondeſeſpou paumtoy jumumommailpreVa, laiſſe moy mourir.	Mondesespou paumtoi jumumommailpreUa, laisse -moi mourir.
AMARANTHE.	AMARANTHÉE.
Qu'eſt-ce que tu veux dire?	Qu'est-ce que tu veux dire?
ALEXIS.	ALEXIS.
Ie te veux dire helas, le plus malheureux ſort, Qui iamais ait conduit vn amant à la mort.	Je te veux dire hélas, le plus malheureux sort, Qui jamais ait conduit un amant à la mort.
Ie meurs, belle Amaranthe, & l'ingrate que j'aime Veut defendre la plainte à ma douleur extreme.	Je meurs, belle Amaranthe, et l'ingrate que j'aime Veut défendre la plainte à ma douleur extrême.
AMARANTHE.	AMARANTHÉE.
Quelle eſt donc cette ingrate?	Quelle est donc cette ingrate?
ALEXIS.	ALEXIS.
Au defaut de ma voix, Mes yeux & mes ſouspirs, te l’ont dit mille fois.	Au défaut de ma voix, Mes yeux et mes soupirs, te l'ont dit mille fois.
LAMARANTIIE	LAMARANTIIE
Qu'vne imure amoureuſe a l’abord ne t’effenſe;	Qu'une imure amoureuse a l'abord ne t'effense;
Et ſcache que mes vœux trouuent leur recompenſe En la permißion de parler ſeulement, Auant que de finir ma vie & mon tourment.	Et sache que mes vœux trouvent leur récompense En la permission de parler seulement, Avant que de finir ma vie et mon tourment.
Si ie dy mes douleurs, ce n'eſt pas que i'eſpere De flechir ta rigueur, ou que ie delibere De te perſuader, ny de te diuertir De l’agreable choix ou tu vas conſentir.	Si ici dis mes douleurs, ce n'est pas que j'espère De fléchir ta rigueur, ou que venir délibère De te persuader, ni de te divertir De l'agréable choix ou tu vas consentir.
Ie voy qu’a mes deſſeins la Fortune s'eppoſe, Comme tombé des Cieux, i'ignore toute choſe.	Je vois qu'a mes desseins la Fortune s'éppose, Comme tombé des Cieux, j'ignore toute chose.
Ie trouue eſgalement tous peuples eſtrangers.	Je trouve également tous peuples étrangers.
Ie ne ſçay ſi ie ſors des Rois ou des Bergers.	Je ne sais si ici sors des Rois ou des Bergers.
Seule ie te reſpecte, & iamais l’eſperance N’acausé mon amour, ny ma perſeuerance.	Seule ie te respecte, et jamais l'espérance N'acausé mon amour, ni ma persévérance.
Mais bienl’aſtre puiſſant qui te fait adorer, Et la neceßite d’aymer ſans eſperer.	Mais bienl'astre puissant qui te fait adorer, Et la nécessite d'aimer sans espérer.
Puis donc qu'à tes deſirs ie ne ſuis point contraire, Tum'appelles à tort inſolent, temeraire;	Puis donc qu'à tes désirs ie ne suis point contraire, Tum'appelles à tort insolent, téméraire;
Si ce n'eſt vn effet de mes temeriteZ, Que de mettre Amaranthe au rang des DeiteZ.	Si ce n'est un effet de mes témérité, Que de mettre Amaranthe au rang des DeiteZ.
Et priué de luy rendre vn plus digne ſeruice, De vouloir auiourd huy luy faire vn ſacrifice	Et privé de Rome rendre un plus digne service, De vouloir aujourd' hui même faire un sacrifice
Que la Que la Terre & les Cieux doiuent rendre immortel, Et dont ie ſuis moymeſme & l’offrãde, & l’Autel.	Que la Que la Terre et les Cieux doivent rendre immortel, Et dont quelque suis moymesme et l'offramède, et l'Autel.
Ie doibs mourir pour toy, la cauſe eſt legitime;	Je dois mourir pour toi, la cause est légitime;
Et ie veux de mon ſang, amoureuſe victime, Pour t'exempter de peine, & pour te conſeruer, Expier tons tes maux qui poutroient arriuer.	Et grande veux de mon sang, amoureuse victime, Pour t'exempter de peine, et pour te conserver, Expier tons tes maux qui poutraient arriver.
AMARANTHE.	AMARANTHÉE.
Qui t'oblige à tenir ce funeſte langage?	Qui t'oblige à tenir ce funeste langage?
,Eſt-ce donc vn effet d’vngenereux couragé, D’eſtre ſans reſiſtance à l'effort des malheurs, Et d’implorer la mort aux vulgaires douleurs?	,Est-ce donc un effet d'vngenereux couragé, D'être sans résistance à l'effort des malheurs, Et d'implorer la mort aux vulgaires douleurs?
Surquoy peux-tu fonder ces plaintes inſensées?	Surquoy peux-tu fonder ces plaintes insensées?
Scais-tu bien mes deſſeins?	Sais-tu bien mes desseins?
lis-tu dans mes pensées?	lis-tu dans mes pensées?
As-tu par mes regards, ou par mes actions, Recogneu quelque obiet de mes affections?	As-tu par mes regards, ou par mes actions, Recgnu quelque objet de mes affections?
Es-tude ces amans qui me portent enuie?	Es-tude ces amants qui me portent envie?
Qui veulent mal-gré moy que ie ſois aſſeruie.	Qui veulent malgré moi que je sois asservie.
Et viens-tu de ſi loin, combler mal à propos Le nombre des Bergers qui troublent mon repos?	Et viens-tu de si loin, combler mal à propos Le nombre des Bergers qui troublent mon repos?
Quel Oracle t'apprend qu’il faut que ie responde Comme il plaiſt à l’erreur qui deçoit tout le monde?	Quel Oracle t'apprend qu'il faut que ie réponde Comme il plaît à l'erreur qui deçoit tout le monde?
Et non pas au deſſein de les eſgaler tous, Et de n’auoir iamais ny d’amant, ny d’espoux.	Et non pas au dessein de les égaler tous, Et de n'avoir jamais été d'amant, ni eépoux.
De leurs vaines langueurs ie ne ſuis point touchée.	De leurs vaines langueurs ie ne suis point touchée.
Veux-tu ſçauoir les ſoins dont i’ay l’ame empeſchee:	Veux-tu savoir les soins dont j'ai l'âme empêchée:
C’eſt de fuyr l’Amour, & ſes iniuſtes loix, Et de ſuiitre touſiours la Deeſſe des bois.	C'est de fuir l'Amour, et ses injustes lois, Et de suitre toujours la Deesse des bois.
ALEXIS.	ALEXIS.
Tu disputes en vaincontre vne loy ſupreme:	Tu disputes en vaincontre une loi suprême:
Tu trauailles en vain les autres, & toy-meſme.	Tu travailles en vain les autres, et toi-même.
Ceneaſcomsimcertauis quun on piuvde comen, Ne font que prolonger ma plainte, & madouleur.	Cèneascomsimcertavis quun on pive compen, Ne font que prolonger ma plainte, et madouleur.
AMARANTHE.	AMARANTHÉE.
C’eſt moy qui me doibs plaindre, & qui ſouffre l'iniure Que me fait, sãs relaſche, vne ombre, vne peinture, Vne beauté mortelle, & dont les charmes vains A mongrãd deſplaiſir, plaiſent trop aux humains.	C'est moi qui me doibs plaindre, et qui souffre l'injure Que me fait, sans relâche, une ombre, une peinture, beauté mortelle, et dont les charmes vains A mongrãd déplaisir, plaisent trop aux humains.
ponededlmipum ep mmuum eMremt.	ponededlmipum ép mémuum eRemt,
Ie hay plus que la mort ce qui fait que l’on m'aime.	Je hais plus que la mort ce qui fait que l'on m'aime.
Ie m'eſtonne du monde, & du ſort inegal, Qui met aurang des biens ce qui fait tant de mal	Je m'étonne du monde, et du sort inégal, Qui met aurang des biens ce qui fait tant de mal
Il ne ſuffit donc pas qu vne bande importune De malheureux Bergers affligent ma fortune?	Il ne suffit donc pas qu grande bande importune De malheureux Bergers affligent ma fortune?
Les Bergeres außi m'en blaſment en tous lieux, Autant que ſi mon cœur conſentoit à mes yeux.	Les Bergères aussi m'en blâment en tous lieux, Autant que si mon cœur consentait à mes yeux.
Elles paſſent en vain la fleur de leurs annees, Ie deſtruy leurs deſſeins, ie romps leurs Hymenées, Ie retiens leurs amans:	Elles passent en vain la fleur de leurs années, Je détrui leurs desseins, Seigneur romps leurs Hyménées, Je retiens leurs amants:
Mais comment puis-ie, belas!	Mais comment puis-je, bêlas!
Leur rauir mal-gré moy ceux que ie n'ayme pas?	Leur ravir mal-gré moi ceux que je n'aime pas?
Parmy tãt d’ennemis, & d’autheurs de mes peines, Qui t'ameine;	Parmi tant d'ennemis, et d'auteurs de mes peines, Qui t'amène;
Alexis, de ces riues lointaines, A la mercy des vents et des ondes porte, Pour conſpirer comme eux contre ma liberte?	Alexis, de ces rives lointaines, À la merci des vents et des ondes porte, Pour conspirer comme eux contre ma liberté?
ALEXIS.	ALEXIS.
Ce n'eſtoit pas le but des errours vagabondes Qui m'ont fait ſi long tẽps voguer deſſus les ondes:	Ce n'était pas le but des errours vagabondes Qui m'ont fait si long temps voguer dessus les ondes:
Alors qu’vn coup du Ciel, d’vn violent effort, Perdant tous mes amis, me vintrendre à ton port.	Alors qu'un coup du Ciel, d'un violent effort, Perdant tous mes amis, me vintrendre à ton port.
I'ay couru iuſqu icyde riuage en riuage, Franc de tout autre joug, indocile, & ſauuage.	J'ai couru jusqu' icide rivage en rivage, Franc de tout autre joug, indocile, et sauvage.
I'ay veu, ſans m'eſmouuoir, tous les climats diuers, Et ie pouuois, ſans toy, meſpriſer l’vniuers.	J'ai vu, sans m'émouvoir, tous les climats divers, Et ie pouuois, sans toi, mépriser l'univers.
Mais, ô rare beauté!	Mais, ô rare beauté!
dont toute ame eſt charmée, Des hommes & des Dieux eſgalement aymée:	dont toute âme est charmée, Des hommes et des Dieux également aimée:
I’ay ſenty, des l’inſtant que i’ay veu tes appas, L'ineuttable trait qui cauſe mon treſpas.	J'ai senti, des l'instant que j'ai vu tes appas, L'ineutable trait qui cause mon trépas.
Dy moy (ſi tu le ſçais) par quelle deſtinée, Ma vie à ton amour fut-elle abandonnée?	Dis -moi (si tu le sais) par quelle destinée, Ma vie à ton amour fut-elle abandonnée?
Pourquoy tout moite encor, & me ſauuant de, eaux, Me ſentis-ie allumerde tes diuins flambeaux?	Pourquoi tout moi encor, et me sauvant de, eaux, Me sentis-je allumerde tes divins flambeaux?
MMARARIILA Vne aueugle Fortune à fait ceſte auenture.	MMARARIILA Une aveugle Fortune à fait cette aventure.
ALEXIS.	ALEXIS.
Et l’Amour, & la Mort, aueugles de nature, V urront bien aſſeZ dair pour ſinir mon tourment, Et me conduire en fin tout droit au monument.	Et l'Amour, et la Mort, aveugles de nature, V urront bien assez dair pour sinir mon tourment, Et me conduire en fin tout droit au monument.
AMARANTHE.	AMARANTHÉE.
4 Qu’vn Amant dißimule, ou que le mal le touche, L’Amour luy met touſiours mille morts en la bouche.	4 Qu'un Amant dissimule, ou que le mal le touche, L'Amour toujours met toujours mille morts en la bouche.
Mais ſi tu crois l’Homneur qui parle beaucoup mieux, Il i’ordonne de viure, & de craindre les Dieux.	Mais si tu crois l'Homneur qui parle beaucoup mieux, Il j'ordonne de vivre, et de craindre les Dieux.
ALEXIS.	ALEXIS.
I'adore ton conſeil comme vne prophetie;	J'adore ton conseil comme une prophétie;
Pour viure juſqu'au temps que mon ame eſclaircie Pourra voir de ton choix honorer quelqu’amour, Qui va borner ma vie a la moitié d’vn iour.	Pour vivre jusqu'au temps que mon âme éclaircie Pourra voir de ton choix honorer quelqu'amour, Qui va borner ma vie à la moitié d'un jour.
I'eſgale aux Dieux celuy que ton cœur fauoriſe.	J'égale aux Dieux celui que ton cœur favorise.
O que ſi ta conqueſte au moins eſtoit promiſe A quelque digne exploict d’adreſſe, ou de valeur!	Ô que si ta conquête au moins était promise A quelque digne exploit d'adresse, ou de valeur!
Mon amour eſt ſi grand qu’il vaincroit mon malheur.	Mon amour est si grand qu'il vaincrait mon malheur.
Alors mon esperance auroit quelque reſſource.	Alors mon espérance aurait quelque ressource.
Tes yeux m'animeroyent, i'attaindrois à la courſe Les Syluains, & le Cerf que du plus viſte Archer Les traicts les plus legers ne peuuent approcher.	Tes yeux m'animeraient, j'attaindrais à la course Les Syluains, et le Cerf que du plus vite Archer Les traits les plus légers ne peuvent approcher.
AMARANTHE.	AMARANTHÉE.
Le feu de ton amour s'en va tout en fumée.	Le feu de ton amour s'en va tout en fumée,
Quoy?	Quoi?
la perte, ou le gain d’vne perſonne aymée.	la perte, ou le gain d'une personne aimée.
Se peut aux loix du Sort librement expoſer?	Se peut aux lois du Sort librement exposer?
Ton courage, Alexis, te pourroit abuſer.	Ton courage, Alexis, te pourrait abuser.
Le ſucces d’vne chaſſe eſt plein d’incertitude.	Le succès d'une chasse est plein d'incertitude.
Pour moy ie fuy l’amour comme vne ſeruitude.	Pour moi votre fuis l'amour comme une servitude.
Mais ie ne ferois pas ceſteiniure à ma foy.	Mais ici ne ferais pas cetteinjure à ma foi.
Si ie deuois aymer, i’aymerois mieux que toy.	Si ici devais aimer, j'aimerais mieux que toi.
ALEXIS.	ALEXIS.
Ie n'ay point les vertus, ny l’adreſſe en partage, Qui deſſus la Fortune ont vn grand auantage.	Je n'ai point les vertus, ni l'adresse en partage, Qui dessus la Fortune ont un grand avantage.
Mais ie dy, qu’inſpiré d’vn rayon de tes yeux, Tobtiendrois la faueur de la Terre, & des Cieux.	Mais était dis, qu'inspiré d'un rayon de tes yeux, Tobtiendrais la faveur de la Terre, et des Cieux.
AMARANTHE.	AMARANTHÉE.
Ie retourne, Alexis, ames premieres plaintes;	Je retourne, Alexis, âmes premières plaintes;
Et laiſſant là ces morts veritables, ou feintes, Ie t’ordonne de viure, & d’vn meſme ſoucy, De ne m'empeſcher point que ie ne viue außi.	Et laissant là ces morts véritables, ou feintes, Je t'ordonne de vivre, et d'un même soucy, De ne m'empêcher point que je ne vive aussi.
Fay le tout pour ta gloire, & fuy l’heure aßignée, Ou de mes importuns l’eſperance eſt bornée.	Fais le tout pour ta gloire, et fui l'heure assignée, Ou de mes importuns l'espérance est bornée.
Croy moy, n'imite point ce qu’ils ont proposé.	Crois -moi, n'imite point ce qu'ils ont proposé.
Si tu n'es pris, au moins ne ſois point refusé.	Si tu n'es pris, au moins ne sois point refusé.
C'eſt la derniere loy que ie te recommande.	C'est la dernière loi que ie te recommande.
Ne te preſente point, ne ſois point de leur bande.	Ne te présente point, ne sois point de leur bande.
Adieu.	Adieu.
Tous ces reſpects t'acquerront plus de bien Qui n'arien obtenu, qu’il n'espere plus rien.	Tous ces respects t'acquerront plus de bien Qui n'arien obtenu, qu'il n'espère plus rien.
ACTE SECOND.	ACTE SECOND.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
ALEXIS, ORONTE.	ALEXIS, ORONTE.
ALEXIS.	ALEXIS.
Lle veut que te viue, & mon ame rebelle LA l'inſtant m'abandonne, & s'enfuit auec elle.	Lle veut que te vive, et mon âme rebelle LA l'instant m'abandonne, et s'enfuit avec elle.
Elle veut que ie viue, & ſes propres appas Contre ſa volonté, me donnent le trespas.	Elle veut que personne vive, et ses propres appas Contre sa volonté, me donnent le trépas.
O contraires eſfeisa vne veauit ſegrame:	Ô contraires esfeisa une veauit ségrame:
Son depart me deffendce qu'elle me commande.	Son départ me défende qu'elle me commande.
O merueiſle d’Amourl	Ô merveisle d'Amourl
ORONTE.	ORONTE.
Dieux:	Dieux:
qu'eſt-ce que i'entens?	qu'est-ce que j'entends?
ALEXIS.	ALEXIS.
Pourray-ie donc mourir, & viure en meſme temps?	Pourrai-je donc mourir, et vivre en même temps?
ORONTE.	ORONTE.
nicmejoeajuromemyo pauuſte ensoame.	nicmejoeajuromemyo paute ensoame.
ALEXIS.	ALEXIS.
Euen ignort pius madomeur, ny ma flame.	Euen ignort pius madomeur, ni ma flamme.
ORONTE.	ORONTE.
La crainte me ſaiſit;	La crainte me saisit;
ie perds tout à la fois Le ſens, & la raiſon, la couleur, & la voix.	Ne perds tout à la fois Le sens, et la raison, la couleur, et la voix.
A Ou tendent ſes deſſeins?	A Ou tendent ses desseins?
ORONTE.	ORONTE.
Ie ſuis toute confuſe.	Je suis toute confuse.
ALEXIS.	ALEXIS.
Que m'en puis-ie promettre?	Que m'en puis-je promettre?
ORONTE.	ORONTE.
Et ma palleur m'accuſe.	Et ma palleur m'accuse.
ALEXIS.	ALEXIS.
Amomi, ciherilmoni, taji saa ſt comſer.	Amomi, cihérilmoni, tajà sa st comser.
ORONTE.	ORONTE.
Courage Oronte, il ayme, l'n on faut plus doutex.	Courage Oronte, il aime, l'n on faut plus doutex.
ALEXIS.	ALEXIS.
Tu ne reſpons iamais, & n’entends qu'a ma perte.	Tu ne réponds jamais, et n'entends qu'a ma perte.
Il faut parler.	Il faut parler.
ORONTE.	ORONTE.
AIEXIS	AIEXIS
ALEXIS.	ALEXIS.
OLbebseco	OLbebseco
ORONTE.	ORONTE.
Me voila deſcouuerte.	Me voilà découverte.
Qui cherche ſon bon heur,	Qui cherche son bon heur,
ALEXIS.	ALEXIS.
M’auroit elle entendu?	M'aurait elle entendu?
ORONTE.	ORONTE.
Et quitrouue Alexis, il n’a plus rien perdu, Quels aimables ſoucis, ou quelle inquietude Te fait à tous propos chercher la ſolitude?	Et quitrouve Alexis, il n'a plus rien perdu, Quels aimables soucis, ou quelle inquiétude Te fait à tous propos chercher la solitude?
Ne veux-tu pour teſmoins de ton contentement, Ou de ton deſplaiſir, que les bois ſeulement?	Ne veux-tu pour témoins de ton contentement, Ou de ton déplaisir, que les bois seulement?
ALEXIS, ,C’eſt l’heur d’vn malheureux que de ſe pouuoit taire;	ALEXIS, C'est l'heur d'un malheureux que de se pouvait taire;
, Pneue tantr ſapeme, e a’elre jouiane;	, Pnève tantr sapeme, elle a elre jouiane;
S’il ne veut d’auanture expoſer au meſpris, ,Celuy qui sãs fortune, eſt ſans gloire, & ſans pris.	S'il ne veut d'aventure exposer au mépris, CElui qui sons fortune, est sans gloire, et sans pris.
ORONTE.	ORONTE.
Alexis eſt orne de qualiteZ ſi rares, Qu'il peut comme il luy faiſt, flechir les plus barbares.	Alexis est orne de qualitZ si rares, Qu'il peut comme il lui fait, fléchir les plus barbares.
ALEXIS.	ALEXIS.
mampiurt piuſioſe lumort, que la fatie,	mampiurt piusiose lumort, que la fatie,
ORONTE.	ORONTE.
Il touche tous les caurs d'enuie, ou d amitié,	Il touche tous les caurs d'envie, ou d amitié,
ALEXIS.	ALEXIS.
,La mauuaiſe fortune eſt exempte d’enuie,	ÇA mauvaise fortune est exempte d'envie,
ORONTE.	ORONTE.
