LRAREE C2 DEGVISE TRAGI-COMEDIE.	LRARE C2 DÉGUISÉ -THRAGI-COMÉDIE.
Nous campons ſur le bord, en attendant le jour, Que peu d’heures apres nous viſmes de retour.	Nous campons sur le bord, en attendant le jour, Que peu d'heures après nous vîmes de retour.
Lors mon pere eut deſſein d’vſer de la victoire, Et de pouſſer plus loing, & ſes gens, & ſa gloire:	Lors mon père eut dessein d'user de la victoire, Et de pousser plus loin, et ses gens, et sa gloire:
Mais l’amour que i’auois, n’y pouuant conſentir, Il ſe remit en mer, & ie le fis partir.	Mais l'amour que j'avais, n'y pouvant consentir, Il se remit en mer, et et le fis partir.
Or pendant le voyage, il n'eſt obeiſſance, Honneur, debuoir, respect, ſeruice, ou complaiſance, Que ce braue captif ne reçeuſt de ma part:	Or pendant le voyage, il n'est obéissance, Honneur, débuoir, respect, service, ou complaisance, Que ce brave captif ne reçût de ma part:
Ie pleignis ſa valeur, i’accuſay le hazard;	Je pleinis sa valeur, j'accusai le hasard;
Ie luy fis meſme voir ſa liberté certaine, Pour chaſſer le dépit de cette ame hautaine;	Je lui fis même voir sa liberté certaine, Pour chasser le dépit de cette âme hautaine;
Mais inutilement ie ſemay ces propos;	Mais inutilement homme semai ces propos;
Et rien que le treſpas ne le mit en repos:	Et rien que le trépas ne le mit en repos:
Il mourut en dix iours contre toute apparence;	Il mourut en dix jours contre toute apparence;
Et mourut auec luy toute mon esperance;	Et mourut avec beau toute mon espérance;
Iugeant que Roſemonde, eſpouſe de ce mort, R'allumeroit touſiours le flambeau du diſcord;	Jugeant que Rosemonde, épouse de ce mort, R'allumerait toujours le flambeau du discord;
Et qu’apres ce malheur, l’adorable Argenie, Auroit ſans me connoiſtre, vne haine infinie.	Et qu'après ce malheur, l'adorable Argénie, Aurait sans me connaître, une haine infinie.
Lors l’eſprit agité de violents tranſports, Ie pourſuiuy ma route, & renuoyay ce corps, Auec tout l’appareil, & les pompes funebres, Que la couſtume donne aux perſonnes celebres, I'esperay que le temps me pourroit ſecourir, Mon amour eſtoit né, ie crus le voir mourir.	Lors l'esprit agité de violents transports, Je pourrai ma route, et renvoyai ce corps, Avec tout l'appareil, et les pompes funèbres, Que la coutume donne aux personnes célèbres, J'espérai que le temps me pourrait secourir, Mon amour était né, ie crus le voir mourir.
Mais certes ce penſer fut bien peu raiſonnable;	Mais certes ce penser fut bien peu raisonnable;
Ce deſſein contre vn Dieu, ne m'eſt pas pardonnable;	Ce dessein contre un Dieu, ne m'est pas pardonnable;
Et parmy le regret, dont ie ſuis tourmenté, Mon ſupplice eſt fort grand, mais ie l’ay merité.	Et parmi le regret, dont tu suis tourmenté, Mon supplice est fort grand, mais ie l'ai mérité.
En fin que vous diray-ie?	En fin que vous dirai-je?
vne ab ſence importune, M’a faict reſoudre encor de tenter la fortune;	une ab sence importune, M'a fait résoudre encor de tenter la fortune;
Et cét cil plain d’attraits qui cauſa mon ennuy, Tout ainſi qu’vn aymant, m'attire aupres de luy, Reſolu de perir, ou de vaincre l’orage.	Et cet cil plain d'attraits qui causa mon ennui, Tout ainsi qu'un aimant, m'attire auprès de mieux, Résolu de périr, ou de vaincre l'orage.
LISANDRE.	LISANDRE.
p ons poi ueuum Patermt, eſte vou voſtre courage;	 pétons poi levuum Patermt, este vou reux courage;
Et ſi ie crains pour vous, ce n'eſtpas ſans raiſon;	Et si ici crains pour vous, ce n'estpas sans raison;
Entamorr de te Roy, rona tren da porjon.	Entamorr de te Roi, rona tren da porjon.
CLEARQVE.	CLÉARQUE.
Le ciel qui voit mon cœur, ſçait bien mon innocence,	Le ciel qui voit mon cœur, sais bien mon innocence,
LISANDRE.	LISANDRE.
Mais ſa veufue n'eſt point dans ceſte connoiſſance.	Mais sa veuve n'est point dans cette connaissance.
Elle promet ſa fille à qui la vengera.	Elle promet sa fille à qui la vengera.
Comme le prix d’vn chef qu’on luy preſenteras Et meſme à cematin, ſon vœu ſe renouuelle, Au funeſte tombeau d’vnmary, qu’elle appelle Pour eſtre le teſmoin d’vn ſi iuſte deſir, Et poun oou ſon amonr, voyam ſon deſpiaiir.	Comme le prix d' chef qu'on lui présenteras Et même à cématin, son vœu se renouvelle, Au funeste tombeau d'vnmary, qu'elle appelle Pour être le témoin d'vn si juste désir, Et poun oou son amon, voyam son dépiaiir.
CLEARQVE.	CLÉARQUE.
Allons-y, cher Liſandre, & quoy qu’il en aduienne, Fais que ta volonté laiſſe regner la mienne, econſea en qeplalte, llen jent ſapaiſus, ;	Allons-y, cher Lisandre, et quoi qu'il en advienne, Fais que ta volonté laisse régner la mienne, econsea en qéplalte, llen jent sapaisus, ;
Conduis moy dans ce temple, & ne raiſonne plus.	Conduis -moi dans ce temple, et ne raisonne plus.
LISANDRE.	LISANDRE.
Monſeigneur, reglez mieux ceſte ardeur qui vous preſſe:	Monseigneur, réglez mieux cette ardeur qui vous presse:
CLEARQVE.	CLÉARQUE.
Clearque bien heureux, tu vas voir ta maiſtreſſe:	Clarque bien heureux, tu vas voir ta maîtresse:
Souuiens toy que l’honneur, eſt parmy le danger, Et qu'vn noble deſſein ne ſe doit pas changer.	Souviens toi que l'honneur, est parmi le danger, Et qu'un noble dessein ne se doit pas changer.
SCENE SECONDE.	SCÈNE SECONDE.
AROBNIE INIETJE.	AROBNIE INIETE.
ARGENIE.	ARGENIE.
Ve ce vœu me deſplaiſt!	Ve ce vœu me déplaît!
que ce iour m’importune!	que ce jour m'importune!
Et que i’ay bien ſubject d’accuſer la fortune!	Et que j'ai bien sujet d'accuser la fortune!
.	.
Qui veut que mon Himen ſe face en vn tombeau, Et que la Parque ſeule y porte le flambeau.	Qui veut que mon Hymen se face en un tombeau, Et que la Parque seule y porte le flambeau.
Qu'vn homme tout ſanglant ſoit maiſtre d’Argenie Pour vn preſent tragique;	Qu'un homme tout sanglant soit maître d'Argénie Pour un présent tragique;
Oquelle tyrannie!	Oquelle tyrannie!
Chere Ombre de mon pere, helas!	Chère Ombre de mon père, hélas!
appaiſe toy;	apaise toi;
Que tonire s'eſteigne, ou s’eſtende ſur moy:	Que tonire s'éteigne, ou s'étende sur moi:
Ie ſuis cauſe du mal, ma perte eſt legitime, Souffre pourton repos, que ie ſois ta victime;	Je suis cause du mal, ma perte est légitime, Souffre pourton repos, que toujours sois ta victime;
22 Mon ſang eſt außipur, que tu me l’as donné;	22 Mon sang est aussipur, que tu me l'as donné;
C’eſt tout ce que demande vn cœur abandonné:	C'est tout ce que demande un cœur abandonné:
Au chagrin le plus noir dont l’ame poſſedee, Forme pour ſon ſupplice vne faſcheuſe idee.	Au chagrin le plus noir dont l'âme possédée, Forme pour son supplice une fâcheuse idée.
PHILISE.	PHILISE.
Madame, reſiſtez à l’extreme douleur:	Madame, résistez à l'extrême douleur:
Peut-eſtre ſans raiſon vous craignez ce malheur;	Peut-être sans raison vous craignez ce malheur;
La Reine peut auoir vne inutile enuie;	La Reine peut avoir une inutile envie;
Clearque a des ſubjects, pour deffendre ſa vie;	Clarque a des sujets, pour défendre sa vie;
La teſte d’vn grand Prince eſt vn threſor gardé, Qu'onn'a pas aisément, comme on l’a commandé:	La tête d'un grand Prince est un trésor gardé, Qu'onn'a pas aisément, comme on l'a commandé:
Pau unel aprentera cela ſsgle da Qui loing d’auoir le throſne, aura la ſepulture.	Pau unel apprentera cela sâgle da Qui loing d'avoir le trône, aura la sépulture.
ARGENIE.	ARGENIE.
Face le iuſte Ciel, Philiſe mon ſoucy, Que tout audacieux, puiſſe finir ainſi.	Face le juste Ciel, Philise mon souci, Que tout audacieux, puisse finir ainsi.
Que ces laſches amans de l’or d’vne Couronne, Qui veulent mon Eſtat, & non pas ma perſonne, Tombent deſſous le bras de ce ieune guerrier, Et que ſon front eſchappe à l’abry du laurier.	Que ces lâches amants de l'or d'une Couronne, Qui veulent mon État, et non pas ma personne, Tombent dessous le bras de ce jeune guerrier, Et que son front échappe à l'abri du laurier.
Ce ſont les vœux ardans, qu'en madouleur amere, I’oppoſe iuſtement, à celuy de ma mere;	Ce sont les vœux ardans, qu'en madouleur âme, J'oppose justement, à celui de ma mère;
Afin que le ſalut d’vn Prince genereux, Puiſſe arreſter le cours de mon ſort malheureux;	Afin que le salut d'une Prince généreux, Puisse arrêter le cours de mon sort malheureux;
Et qu’apres tant de maux, la fortune laſſée, Eſgale monrepos à ma peine paſſée, Et puis que de l’Himen tout espoir m’eſt oſté, Que ie puiſſe mourir, & viure enliberté.	Et qu'après tant de maux, la fortune lassée, Égale monrepos à ma peine passée, Et puis que de l'Hymen tout espoir m'est ôté, Que ie puisse mourir, et vivre enliberté.
B iij	 Bijà
SCENE TROISIESME.	SCÈNE -TROISIÈME.
ARMILE, ARGENIE, PHILISE.	ARMILE, ARGENIE, PHILISE.
ARMILE.	ARMILE.
Leſt temps de ſortir, la Reine eſt deſcenduë;	Lest temps de sortir, la Reine est descendue;
R Au bas de l’eſcalier vous eſtes attendué:	R Au bas de l'escalier vous êtes attendué:
ARGENIE M’a-t'elle demandée?	ARGENIE M'a-t'-elle demandée?
ARMILE.	ARMILE.
Ouy Madame, deux fois:	Oui Madame, deux fois:
ARGENIE.	ARGENIE.
Il me faut obeïr à ces iniuſtes loix;	Il me faut obéir à ces injustes lois;
Forcer mes ſentimens, en eſtouffer la plainte, Et m'impoſer le ioug d’vne rude contrainte.	Forcer mes sentiments, en étouffer la plainte, Et m'imposer le joug d'une rude contrainte.
Allons;	Allons;
puis que ce mal ne ſe peut euiter, Il nous y faut reſoudre, & le bien ſupporter.	puis que ce mal ne se peut éviter, Il nous y faut résoudre, et le bien supporter.
.	.
	
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
THEOPIME, ARCHANE.	THÉPIME, ARCHANE.
S THEOTIME.	 THEOTIME.
Ouffleà ce feu ſacré, fais que la flame en ſorte, te rePoisr monſtrer qu'auiourd’huy la haine n’eſt pas morte;	Ouffleà ce feu sacré, fais que la flamme en sorte, te rePoisr montrer qu'aujourd'hui la haine n'est pas morte;
Et qu’elle flambe au cœur, par vn deſir mortel, Ainſique fera l’autre, à ce funeſte Autel.	Et qu'elle flambe au cœur, par un désir mortel, Ainsique fera l'autre, à ce funeste Autel.
Les branches de Cyprez ſont-elles preparées?	Les branches de Cyprez sont-elles préparées?
D’auec celles de l’If les as tu ſeparées?	D'avec celles de l'If les as tu séparées?
As tu de la reſine?	As tu de la résine?
as tu deux flambeaux noirs, Pour euoquer vne Ombre aux infernaux manoirs?	as tu deux flambeaux noirs, Pour évoquer ici Ombre aux infernaux manoirs?
ARCHANE.	ARCHANE.
Tout ce qu’il faut eſt preſt, au moins ie le preſume:	Tout ce qu'il faut est prêt, au moins belle le présume:
THEOTIME.	THÉTIME.
I’entens deſia du bruit, la Reine vient, allume:	J'entends déjà du bruit, la Reine vient, allume:
Ne ſois veu qu’à genoux, les bras hauts, les yeuxbas:	Ne sois vu qu'à genoux, les bras hauts, les yeuxbas:
Et quand j'inuoqueray ne me regarde pas.	Et quand j'invoquerai ne me regarde pas.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
LISANDRE, CLEARQVE, FLORESTOR, THEOTIME, ARCHANE,	LISANDRE, CLÉARQUE, FLORÉTOR, THÉTIME, ARCHANE,
LISANDRE.	LISANDRE.
Couurez vous d’vn pilier:	Couvrez -vous d'un pilier:
CLEARQVE.	CLÉARQUE.
ô fortuné Clearque, mjmuupapuuuuuuune ſi belle Parque!	ô fortuné Cléparque, mjmuupapuuuuuuune si belle Parque!
Si l’eſprit d’Argenie authoriſe ces vœux, Ie mourray ſans regret, s’il luy plaiſt, ie le yeux.	Si l'esprit d'Argénie autorise ces vœux, Je mourrai sans regret, s'il avait plaît, notre le yeux.
ROSEMONDE.	ROSEMONDE.
On Pere, commencez voſtre ceremonie:	On Père, commencez votre cérémonie:
AABOTIME.	AABOTIME.
Que chacun ſe proſterne:	Que chacun se prosterne:
ROSEMONDE.	ROSEMONDE.
à genoux, Argenie.	à genoux, Argénie.
THROTIME.	THROTIME.
Deeſſe impitoyable, eſcoute à cette fois, e qu'vn cœur en furié exprime par ma voix:	Deesse impitoyable, écoute à cette fois, eu qu'un cœur en furié exprime par ma voix:
Ll C Fauoriſe ſes vœux, deuien ſon allegeance, netiς Diuinité ſanglante, implacable Vengeance;	Ll Ç Élise ses vœux, devien son allégeance, netiς Divinité sanglante, implacable Vengeance;
La Reine s’humilie au pied de ton autel;	La Reine s'humilie au pied de ton autel;
Ne voy ſon ennemy que d’vn regard mortel;	Ne vois son ennemi que d'une regard mortel;
Que ce glaiue flambant, luy dérobe la vie;	Que ce glaiue flambant, Seigneur dérobe la vie;
Satisfaicts en ce iour vne ſi iuſte enuie;	Satisfaits en ce jour une si juste envie;
Eſchauffe vne fureur, que guidela raiſon;	Échauffe une fureur, que guidela raison;
Et puny parle fer vn crime de poiſon.	Et puni parle fer un crime de poison.
Et toy, ſors de l’enfer, Ombre illuſtre, & Royalle;	Et toi, sors de l'enfer, Ombre illustre, et Royalle;
tomben Viens voirſi Roſemonde eſt conſtante, & loyalle;	tomben Viens voirsi Rosemonde est constante, et loyalle;
Remarque ſa douleur, & ſon amour parfaict, Eſcoute ſes ſouſpirs, & le vœu qu'elle faict.	Remarque sa douleur, et son amour parfait, Escoute ses soupirs, et le vœu qu'elle fait.
ROSEMONDE.	ROSEMONDE.
prendie Ie fais vœu ſolemnel, que l’Infante Argenie, Sous le ioug de l’Himen ne ſera point vnie, Qu’auec le ſeulamant qui me preſentera La teſte de Clearque, & que luy ſeul l’aura.	prendie Je fais vœu solennel, que l'Infante Argénie, Sous le joug de l'Hymen ne sera point unie, Qu'avec le seulamant qui me présentera La tête de Cléarque, et que lui seul l'aura.
Sue ſi ie manque au vœu que ie fais à ceſte heure, Fay chere Ombre à l’inſtant que Roſemonde meure;	Sue si ici manque au vœu que je fais à cette heure, Fais chère Ombre à l'instant que Rosemonde meure;
Et luy viens reprocher qu'elle aimallaſchement, Infidelle a la Couche, ainſi qu’au Monument.	Et Elle viens reprocher qu'elle aimallâchement, Infidèle à la Couche, ainsi qu'au Monument.
THEOTIME.	THÉTIME.
I Ceſte ceremonie eſt enfin terminée,.	I Cette cérémonie est enfin terminée,.
Qu'on doit renouueller à châque bout d’année:	Qu'on doit renouveler à châque bout d'année:
Que voſtre Maieſté ſe leue, s’il luy plaiſt.	Que votre Majesté se lève, s'il lui plaît.
ROSEMONDE.	ROSEMONDE.
Elle augmente mon feu, toute froide qu’elle eſt, eſte cendre cherie;	Elle augmente mon feu, toute froide qu'elle est, este cendre chérie;
& que ie n’abandonne, Quanct tes ſentimem que la miſeſſe donne.	et que ici n'abandonne, Quanct tes sentimem que la misesse donne.
LISANDRE.	LISANDRE.
Ha!	Ha!
changez de deſſein, retirez vous d’icy:	changez de dessein, retirez vous d'ici:
CLEARQVE.	CLÉARQUE.
Le ſort en eſt ietté, le Ciel le veut ainſi.	Le sort en est jeté, le Ciel le veut ainsi.
Il faut que ie periſſe, ou que mon aſſeurance, Mon amour, ma fineſſe, & ma perſeuerance, Meſurent mon bon-heur à mon affection, Et que Clearque viue, ou meure en Ixion.	Il faut que personne périsse, ou que mon assurance, Mon amour, ma finesse, et ma persévérance, Mesurent mon bonheur à mon affection, Et que Cléarque vive, ou meure en Ixion.
Cét Aſtre des beautez augmente mon courage;	Cet Astre des beautés augmente mon courage;
I’ayredoublé ma force en voyant ſon viſage;	J'airedoublé ma force en voyant son visage;
Et quel que ſoit le mal que i’en puiſſe encourir, Il n'est rien que ie n’oſe, afin de l’acquerir:	Et quel que soit le mal que j'en puisse encourir, Il n'est rien que je n'ose, afin de l'acquérir:
Vngrand, & haut deſſein que quelque Dieu m'inſpire, Me promet vn bon heur, qui vaut mieux qu'vn Empire E pule I’auray( ſi vous m’aidez) la fin de mes trauaux.	Ungrand, et haut dessein que quelque Dieu m'inspire, Me promet un bon heur, qui vaut mieux qu'vn Empire E peule J'aura( si vous jour) la fin de mes travaux.
cuyet.	cuyet.
Toy, garde dans le bourg, argent, armes, cheuaux, Ne t'en eſloigne point durant mes reſueries;	Toi, garde dans le bourg, argent, armes, chevaux, Ne t'en éloigne point durant mes rêveries;
Donne moy ſeulement toutes mes pierreries.	Donne -moi seulement toutes mes pierreries.
LISANDRE.	LISANDRE.
& Tua Muuuanpeseeldor:	et Tua Muuuanpeseeldor:
CLEARQVE.	CLÉARQUE.
Le Soleil, qui luy ſeul faict les perles, & l'or.	Le Soleil, qui avait seul fait les perles, et l'or.
LE EAEEVII DEGVISÉ.	LE EAEVII DÉGUISÉ.
ACTE SECOND.	ACTE SECOND.
ARGENIE, PHILISE, MELANIRE, KVTILE, CLEARQVE, LISANDRE.	ARGENIE, PHILISE, MELANIRE, UTILE, CLEARQUE, LISANDRE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ARGENIE, PHILISE,	ARGENIE, PHILISE,
ARGENIE.	ARGENIE.
El parut autrefois au milieu de la pleine & Cét illuſtre Berger qui fut rauir Helene:	Él parut autrefois au milieu de la pleine et Cet illustre Berger qui fut ravir Hélène:
Souz ce ruſtique lebit, ſa mine me ſurprend, Etie voy dan ſes yeux quelque choſe de grand.	Souz ce rustique lébit, sa mine me surprend, Etie vois dan ses yeux quelque chose de grand.
N’as tu point remarqué ſon port, & ſon adreſſe, Et comme ſondiſcours ſeroit honte à la Grece?	N'as tu point remarqué son port, et son adresse, Et comme sondiscours serait honte à la Grèce?
Poly, reſpectueux, ciuil, & complaiſant:	Poli, respectueux, civil, et complaisant:
O que ie fais de cas d’vnſi riche preſent!	Ô que ici fais de cas d'une riche présent!
Il efface les fleurs qu’ilarrouſe au parterre:	Il efface les fleurs qu'ilarrouse au parterre:
Et le deſtin m'oblige en me faiſant la guerre.	Et le destin m'oblige en me faisant la guerre.
Ce rare iardinier que nous auons treuué, Eſtbien digne apres tout, d’vn ſort plus eſleué,	Ce rare jardinier que nous avons trouvé, Étbien digne après tout, d'un sort plus élevé,
PHILISE.	PHILISE.
Madame, il eſt certain que iamais l’Italie N’a faict voir en ſes bords vne ame ſi polie:	Madame, il est certain que jamais l'Italie N'a fait voir en ses bords une âme si polie:
Et de corps, & d’eſprit, cét homme eſtſicharmant, Qu’on voit en ſa perſonne vn berger de Romant, Vn prodige, vn miracle, vneffort de nature, Que ne peut imiter la voix, ny la peinture:	Et de corps, et d'esprit, cet homme estsicharmant, Qu'on voit en sa personne un berger de Romant, Un prodige, un miracle, uneffort de nature, Que ne peut imiter la voix, ni la peinture:
Et certes il paroiſt à mes yeux esbahis, Außi loing de ſon ſort, qu’il l’eſt de ſon pays.	Et certes il paraît à mes yeux ébahis, Aussi loin de son sort, qu'il l'est de son pays.
Et qui pourroit aimer la vertu toute nue, Ne la deuroit chercher qu'ou vous l’auez connüe:	Et qui pourrait aimer la vertu toute nue, Ne la devrait chercher qu'ou vous l'avez connue:
Et ſi le ſiecle auare eſtimoit comme il faut, Uujortinoumoupemou le mettre aſſezhaut.	Et si le siècle avare estimait comme il faut, Uujortinoumoupemou le mettre assezhaut.
ARGENIE.	ARGENIE.
Que le peuple à ſon gré ſoit brutal, ſoit auare;	Que le peuple à son gré soit brutal, soit avare;
Qu’il n'ait point d’yeux pour voir vnuerite ſi rare;	Qu'il n'ait point d'yeux pour voir vnuerite si rare;
Qu'il ne l’eſtime pas, manque de iugement;	Qu'il ne l'estime pas, manque de jugement;
Mais n'ayons point de part à ſon aueuglement;	Mais n'ayons point de part à son aveuglement;
Cheriſſons la vertu:	Chérissons la vertu:
par tout elle est aimable;	par tout elle est aimable;
Et qui la ſçait priſer ne peut eſtre blaſmable.	Et qui la sait priser ne peut être blâmable.
Sans elle, la grandeur eſt digne de meſpris, Elle eſt l’vnique obiect de tous les bons eſprits;	Sans elle, la grandeur est digne de mépris, Elle est l'unique objet de tous les bons esprits;
Et quelque bas que ſoit le ſort de Policandre, L’eſlime eſt vn tribut que chacun luy doit rendre;	Et quelque bas que soit le sort de Policandre, L'élime est un tribut que chacun lui doit rendre;
Puis qu'on treuue en ſes yeux, & dans ſon entretien, La beauté de mon ſexe, & les vertus du ſien.	Puis qu'on trouve en ses yeux, et dans son entretien, La beauté de mon sexe, et les vertus du sien.
Mais le Soleil s’abaiſſe, & finit ſa carriere;	Mais le Soleil s'abaisse, et finit sa carrière;
Allons voir au iardin ces reſtes de lumiere;	Allons voir au jardin ces restes de lumière;
Et pour auoir le temps d’y reſuer librement, Voyons premier la Reine à ſon appartement.	Et pour avoir le temps d'y rêver librement, Voyons premier la Reine à son appartement.
SCENE SECONDE.	SCÈNE SECONDE.
CLEACEUSSANDRE.	CLEACEUSSANDRE.
CLEARQVE.	CLÉARQUE.
N fin l’euenement a ſuiuy mon preſage:	N fin lévénement a suivi mon présage:
La fortune me rit, & me faict bon viſage:	La fortune me rit, et me fait bon visage:
Tout va bien, cher Liſandre;	Tout va bien, cher Lisandre;
& le Ciel appaiſé, Fauoriſant mes vœux m’a rendu tout aisé:	et le Ciel apaisé, Favorisant mes vœux m'a rendu tout aisé:
I'ay faict prendre l’amorçe à l’auare Rutile.	J'ai fait prendre l'amorçe à l'avare Rutile.
LISANDRE.	LISANDRE.
Que l’ame d’vn amant eſt adroite, & ſubtile!	Que l'âme d'un amant est adroite, et subtile!
CLEARQVE.	CLÉARQUE.
Et ie voy maintenant ces beaux aſtres des cœurs, Ces Rois imperieux, ces ſuperbes vainqueurs, Ces Soleils eſclatans, qui ſçauent l’art de plaire, Effacer chaque jour l’autre qui nous eſclaire:	Et petit voy maintenant ces beaux astres des cœurs, Ces Rois impérieux, ces superbes vainqueurs, Ces Soleils éclatants, qui savent l'art de plaire, Effacer chaque jour l'autre qui nous éclaire:
Et meſme i’ay l’honneur de me faire eſcouter:	Et même j'ai l'honneur de me faire écouter:
Apres vn bien ſi grand, que puis-ie redouter?	Après un bien si grand, que puis-je redouter?
I'en I'en ſuis veu, ie l’ay veüe, ha douceur infinie!	J'en J'en suis vu, une l'ai vue, ha douceur infinie!
Or voy l’heur d’vn amant, qui peut voir Argenie?	Or vois l'heur d'Hannant, qui peut voir Argénie?
LISANDRE.	LISANDRE.
Cnantommnn qneytaie a enee destt,	Cnantommnant qneytaie a enée destt,
CLEARQVE.	CLÉARQUE.
Par le deſſein hardy que i’en auois conçeu, Voyant ce iardinier ſurle ſeuïl de la porte, Außi toſt ie m'aduance, & l’aiſe me tranſporte, Il me rend monſalut;	Par le dessein hardi que j'en avais conçu, Voyant ce jardinier surle seuïl de la porte, Aussi tôt ie m'avance, et l'aise me transporte, Il me rend monsalut;
ie le tire à quartier, Et ie luy fay ſçauoir que ie ſuis dumeſtier;	ie Le tire à quartier, Et ie luy fais sçauoir que tu suis dumétier;
Mais que i’enmets encor vn plus haut en pratique, Et que par les ſecrets qu’enſeigne l’art magique, I’arſçeu qu'ence iardin vn threſor eſt cache:	Mais que j'enmets encor un plus haut en pratique, Et que par les secrets qu'enseigne l'art magique, J'arsçeu qu'ence jardin un trésor est cache:
Lors voyant que ſon cœur eſtoit deſia touché, Des plus antiques Rois ie luy fais vne hiſtoire;	Lors voyant que son cœur était déjà touché, Des plus antiques Rois ietaît était toujours histoire;
I'en r'appelle les nomstracez en ma memoire;	J'en rappelle les nomstracés en ma mémoire;
Diſant qu’vn de ce nombre a couuert en ces lieux, Vn threſor qu'vn demon a faict voir à mes yeux;	Disant qu'un de ce nombre a couvert en ces lieux, Un trésor qu'un démon a fait voir à mes yeux;
Et ques il me permet d’acheuer les miſteres.	Et ques il me permet d'achever les misères.
D’inuoquer les Eſprits, traçer des caracteres, Au milieu du ſilence, aumilieu de la nuict:	D'invoquer les Esprits, traçer des caractères, Au milieu du silence, aumilieu de la nuit:
Que de cette faueur, il cueillera le fruict:	Que de cette faveur, il cueillera le fruit:
26 LE TRTNCE Et qu’il partagera tant d’excellentes choſes, Que le ſein de la terre en ſoy retient encloſes.	26 LE -THRTNCE Et qu'il partagera tant d'excellentes choses, Que le sein de la terre en soi retient encloses.
Mais que pour arriuer au but de mon deſir, Il faut qu'il me reçoiue, & me donne loiſir.	Mais que pour arriver au but de mon désir, Il faut qu'il me reçoive, et me donne loisir.
Son eſprit esbloüy, cede & manque de force;	Son esprit ébloui, cède et manque de force;
Il mord à l’ameçon, il engloutit l’amorce;	Il mord à l'ameçon, il engloutit l'amorce;
Et l’eſpoir du butin, l’oblige à m’accorder, Ce qu’inutilement ie penſois demander.	Et l'espoir du butin, l'oblige à m'accorder, Ce qu'inutilement un pensais demander.
I'entre, & dés qu’il eſt nuict, ie mets la main aux armes:	J'entre, et dès qu'il est nuit, Elle mets la main aux armes:
Et feignant qu’il eſt temps de commencer mes charmes, Ie vay ſeul au iardin, aux lieux plus eſcartez I''enterre les ioyaux que moy meſme ay portez:	Et feignant qu'il est temps de commencer mes charmes, Je vais seul au jardin, aux lieux plus écartés J''enterre les joyaux que moi -même ai portés:
Et puis pour gaigner temps comme ie le deſire, Peu à peu deuant luy, ma main les en retire;	Et puis pour gagner temps comme tu le désire, Peu à peu devant lui, ma main les en retire;
Feignant que le demon qui respond à ma voix, M'adit qu'on ne ſçauroit auoir tout à la fois.	Feignant que le démon qui répond à ma voix, M'adit qu'on ne saurait avoir tout à la fois.
Ainſi mon heur commence, ainſi ma douleur ceſEt ie voy chaque iour promener la Princeſſe, Qui me parle ſouuent, que ie puis adorer:	Ainsi mon heur commence, ainsi ma douleur cesEt ie vois chaque jour promener la Princesse, Qui me parle souvent, que sans puis adorer:
Iuge ſi mon esprit a rien à deſirer, S'ileſt digne d’enuie, ou ſi l’on le doit plaindre.	Juge si mon esprit a rien à désirer, S'ilest digne d'envie, ou si l'on le doit plaindre.
LISANDRE.	LISANDRE.
Plus la fortune eſleue, & plus elle eſt à craindre.	Plus la fortune élève, et plus elle est à craindre.
Les biens qu'elle nous faict, ſont des biens apparens;	Les biens qu'elle nous fait, sont des biens apparents;
Le principe & la ſin en ſont fort differens:	Le principe et la sin en sont fort différents:
La volage ſe rit, l’inconſtante ſe ioüe;	La volage se rit, l'inconstante se joue;
Et noſtre heur ne dépend que d’vn branſle de roüe:	Et notre heur ne dépend que d'un branle de roue:
Si bien que c’eſt à nous (corr igeant ſon deffaut) D'vſer de ſes faueurs, & dutemps comme il faut:	Si bien que c'est à nous (corr igeant son défaut) D'user de ses faveurs, et dutemps comme il faut:
Et de ne perdrepas ces heures precieuſes, Où tout ſe rend facile aux ames genereuſes;	Et de ne perdrepas ces heures précieuses, Où tout se rend facile aux âmes généreuses;
ellat quonne tehou poblt, yjamrit, negiicer.	élat quonne tehou poblt, yjamrit, négiicer.
Reſpectez la fortune, afin de l’obliger.	Respectez la fortune, afin de l'obliger.
CLEARQVE.	CLÉARQUE.
I’appreuue ton conſeil, außi bien que ton zele:	J'apreuve ton conseil, aussi bien que ton zèle:
Adieu, ſeparons-nous, mon deſſein me r'appelle, Afin de me ſeruir de ces vers amoureux:	Adieu, séparons-nous, mon dessein me rappelle, Afin de me servir de ces vers amoureux:
LISANDRE.	LISANDRE.
Deſſein außi hardy, comme il eſt dangereux.	Dessein aussi hardi, comme il est dangereux.
SCENE TROISTESME.	SCÈNE -THROISTESME.
1148 MELANIRE.	1148 MELANIRE.
Ve fais-tubeau Sorcier?	Ve fais-tubeau Sorcier?
à quoy ſonge ton ame.	à quoi songe ton âme.
Qu'elle ne connoiſt point que la mienne eſt enſtame:	Qu'elle ne connaît point que la mienne est enstame:
Eſtrange aueuglement de ce bel œil vainqueur, Qui penetre laterre, & ne voit point au cœurl:	Étrange aveuglement de ce bel œil vainqueur, Qui pénètre laterre, et ne voit point au cœurl:
Tu cherches des threſors, & ton ame en poſſede;	Tu cherches des trésors, et ton âme en possède;
L’Orient eſt pompeux, mais il faut qu’il te cede:	L'Orient est pompeux, mais il faut qu'il te cède:
