A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
Rome, quoy qu’il en ſoit, ne ſera point ſuiette Que mes derniers ſouſpirs n’aſſeurent ma de faite.	Rome, quoi qu'il en soit, ne sera point suite Que mes derniers soupirs n'assurent ma de faite.
CVRIACE.	CURICE.
Helas, c’eſt bien icy que ie dois eſtre plaint!	Hélas, c'est bien ici que je dois être plaint!
Ce que veut mon pays, mon amitié le craint.	Ce que veut mon pays, mon amitié le craint.
Dures extremités, de voir Albe aſſernie Où ſa victoire au prix d’vne ſi chere vie, Et que l’vnique bien où tendent ſes deſits S’achepte ſeulement par vos derniers ſouſpirs?	Dures extrémités, de voir Albe assernie Où sa victoire au prix d'une si chère vie, Et que l'unique bien où tendent ses désits S'achepte seulement par vos derniers soupirs?
Quels veux puiſie former, & quel bonheur attendre?	Quels veux puisie former, et quel bonheur attendre?
dre, De tous les deux coſtés i’ay des pleurs à reſpanDe tous les deux coſtés mes defirs ſont trahis.	dre, De tous les deux côtés j'ai des pleurs à respanDe tous les deux côtés mes désirs sont trahis.
pays!	pays!
HORACE.	HORACE.
Quoy!	Quoi!
vous me pleureriez mourant pour mon Pour vn cœur genereux ce treſpas à des charmes, La gloire qui le ſuit ne ſouffre point de larmes, Et ie le receurois beniſſant mon ſort	vous me pleureriez mourant pour mon Pour un cœur généreux ce trépas à des charmes, La gloire qui le suit ne souffre point de larmes, Et tu le recevrais bénissant mon sort
Si Rome & tout l’Eſtat perdoient moins à ma mort.	Si Rome et tout l'État perdaient moins à ma mort.
C	Ç
CVRIACE.	CURICE.
A vos amis pourtant permettez de le craindre, Dans vn ſi beau treſpas ils ſont les ſeuls à plaindre, La gloire en eſt pour vous, & la perte pour eux:	À vos amis pourtant permettez de le craindre, Dans un si beau trépas ils sont les seuls à plaindre, La gloire en est pour vous, et la perte pour eux:
Il vous fait immortel & les rend malheureux, On perd tout quand on perd vn amy ſi fidelle, Mais Prauiaii m apporte icy quelque nouuelle, Albe de trois guerriers à t’elle fait le choix?	Il vous fait immortel et les rend malheureux, On perd tout quand on perd un ami si fidèle, Mais Praviai m apporte ici quelque nouvelle, Albe de trois guerriers à t'elle fait le choix?
SCENE II.	SCÈNE II.
HORACE, CVRIACE, FLAVIAN.	HORACE, CURIACE, FLAVIAN.
FLAVIAN.	FLAVIAN.
IE viens pour vous l’apprendre.	JE viens pour vous l'apprendre.
CVRIACE.	CURICE.
Et bien qui ſont les trois?	Et bien qui sont les trois?
FLAVIAN.	FLAVIAN.
Vos deux freres & vous.	Vos deux frères et vous.
CVRIACE.	CURICE.
Qui?	Qui?
FLAVIAN.	FLAVIAN.
oes ce vos deux freres.	oes ce vos deux frères.
Mais pourquoy ce front triſte & ſes regards ſeveres, Ce choix vous deſplaiſt-il?	Mais pourquoi ce front triste et ses regards sévères, Ce choix vous déplaît-il?
CVRIACE.	CURICE.
Non, mais il me ſurprend, le mi ertimois trop peu pour vn honneur ſi grand.	Non, mais il me surprend, le mi ertimais trop peu pour un honneur si grand.
FLAVIAN.	FLAVIAN.
Diray-ie au Dictateur qui deuers vous m’enuoye Que vous le receuez auec ſi peu de ioye?	Dirai-je au Dictateur qui devers vous m'envoie Que vous le recevez toujours si peu de joie?
tour.	tour.
Ce morne & froid accueil me ſurprend à mon	Ce morne et froid accueil me surprend à mon
CVRIACE.	CURICE.
Dy luy que l’amitié, l’alliance & l’amour Ne pourront empeſcher que les trois Curiaces Ne ſeruent leur pays contre les trois Horaces.	Dis lui que l'amitié, l'alliance et l'amour Ne pourront empêcher que les trois Curiaces Ne servent leur pays contre les trois Horaces.
FLA	FLA
FLAVIAN.	FLAVIAN.
mots!	mots!
concte eux dis, cert uraueoup me dire en peude	conte eux dis, cert uraveoup me dire en peude
VRIACE.	VRICE.
Porte luy ma reſponle & nous laiſſe en repos.	Porte nô ma réponle et nous laisse en repos.
CENE III.	CÈNE III.
CVRTACE, HORACE.	CURTACE, HORACE.
CVRIACE.	CURICE.
Ve deſormais le Ciel, les Enfers, & la terre 2Vniſſent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons & le ſont Preparent contre nous vn general effort, Ie mets à faire pis en l’eſtat où nous ſommes, Le ſort, & les Demons, & les Dieux & les hommes, Ce qu’ils ont de cruel.	Ve désormais le Ciel, les Enfers, et la terre 2Unissent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons et le sont Préparent contre nous un général effort, Je mets à faire pis en l'état où nous sommes, Le sort, et les Demons, et les Dieux et les hommes, Ce qu'ils ont de cruel.
& d’horribile & d’affreux, L’eſt bien moins que l’honneur qu’on nous fait à tous deux.	et d'horribile et d'affreux, L'est bien moins que l'honneur qu'on nous fait à tous deux.
HORACE.	HORACE.
Le ſort qui de l’honneur nous ouure la barriere, Offre à noſtre conſtance vne illuſtre matiere, Il eſpuiſe ſa force à fermer vn malheur.	Le sort qui de l'honneur nous ouvre la barrière, Offre à notre constance une illustre matière, Il épuise sa force à fermer un malheur.
Pour mieux ſe meſurer auec noſtre valeur, Comme il ne nous prend pas pour des ames communes, Hors de l’ordre commun il nous fait des fortunes.	Pour mieux se mesurer auec jours valeur, Comme il ne nous prend pas pour des âmes communes, Hors de l'ordre commun il nous fait des fortunes.
Combatre vn ennemy pour le ſalut de tous, Et contre vn incognu s’expoſer ſeul aux coups, D’vne ſimple vertu c’eſt l’effet ordinaire, Mille deſia l’ont fait mille pourroient le faire, Mourir pour le pays eſt vn ſi digne ſort Qu’on brigueroit en foule vne ſi belle mort.	Combatre un ennemi pour le salut de tous, Et contre un inconnu s'exposer seul aux coups, D'une simple vertu c'est l'effet ordinaire, Mille déjà l'ont fait mille pourraient le faire, Mourir pour le pays est un si digne sort Qu'on briguerait en foule une si belle mort.
Mais vouloir au public immoler ce qu’on ayme, S’attachet au combat contre vn autre ſoy-meſme, Attaquer vn party qui prend pour defenſeur Le frere d’vne femme, & l’amant d’vne ſœur, Et rompant tous ces nœuds s’armer pour la patrie Contre vn ſang qu’on voudroit rachepter de ſa vie, Vne telle vertu n’appartenoit qu’à nous, L’ſclat de ſon grand nom luy fait peu de ialoux, Et peu d’hommes au cœur l’ont aſſés imprimée Pour oſer aſpirer à tant de renommée.	Mais vouloir au public immoler ce qu'on aime, S'attachet au combat contre un autre soi-même, Attaquer un parti qui prend pour défenseur Le frère d'une femme, et l'amant d'une sœur, Et rompant tous ces nœuds s'armer pour la patrie Contre un sang qu'on voudrait rachepter de sa vie, telle vertu appartenoit nous, sclat de son grand nom lui fait peu de ialoux, Et peu hommes au cœur ont assés imprimée Pour oser aspirer tant de renommée.
CVRIACE.	CURICE.
Il eſt vray que nos noms ne ſçauroient plus perir, L’occaſion eſt belle, il nous la faut cherir, Nous ſerons les miroirs d’vne vertu bien rare:	Il est vrai que nos noms ne sauraient plus périr, L'occasion est belle, il nous la faut chérir, Nous serons les miroirs d'une vertu bien rare:
Mais voſtre fermeté tient vn peu du barbare, Peu, meſme des grands cœur, tireroient vanité D’aller par ce chemin à l’immortalité, A quelque prix qu’on mette vne telle fumée, L’obſcurité vaut mieux que tant de renommée.	Mais votre fermeté tient un peu du barbare, Peu, même des grands cœur, tireraient vanité D'aller par ce chemin à l'immortalité, À quelque prix qu'on mette une telle fumée, L'obscurité vaut mieux que tant de renommée.
Pour moy ie l’oſe dire, & vous l’auez peu voir, Ie n’ay point conſulté pour ſuiure mon deuoir, Noſtre longue amitié, l’amour, ny l’alliance N’ont peu mettre vn moment mon eſprit en balance, Et puiſque par ce choix Albe monſtre en effet Qu’elle m’eſtime autant que Rome vous a fait, Ie croy faire pour elle autant, que vous pour Rome, I’ay le cœur auſſi bon, mais en fin ie ſuis homme.	Pour moi quelquefois l'ose dire, et vous l'avez pu voir, Je n'ai point consulté pour suiure mon devoir, Notre longue amitié, l'amour, ni l'alliance N'ont pu mettre un moment mon esprit en balance, Mais puisque par ce choix Albe montre en effet Qu'elle m'estime autant que Rome vous a fait, Je crois faire pour elle autant, que vous pour Rome, J'ai le cœur aussi bon, mais en fin ie suis me.
Ie voy que voſtre honneur giſt à verſer mon ſang, Que tout le mien conſiſte à vous percer le flanc, Preſt d’eſpouſer la ſœur qu’il faut tuer le frere, Et que pour mon pays i’ay le ſort ſi contraire;	Je vois que votre honneur gît à verser mon sang, Que tout le mien consiste à vous percer le flanc, Prêt d'épouser la sœur qu'il faut trouver le frère, Et que pour mon pays j'ai le sort si contraire;
Encor qu’à mon deuoir ie coure ſans terreur, Mon cœur s’en effarouche, & i’en fremis d’horreur, (vie, I’ay pitié de moy-meſme, & iette vn œil d’enSur ceux dont noſtre guerre a conſommé la vie, Sans ſouhait toute fois de pouuoir reculer, Ce triſte & fier honneur m’eſmeut ſans m’ébranſler, (m’oſte, I'ayme ce qu’il me donne, & ie plains ce qu’il Et ſi Rome demande vne vertu plus haute.	Encor qu'à mon devoir ie coure sans terreur, Mon cœur s'en effarouche, et j'en frémis d'horreur, (vie, J'ai pitié de moi-même, et jette un œil d'enSur ceux dont notre guerre a consommé la vie, Sans souhait toute fois de pouvoir reculer, Ce triste et fier honneur m'émeut sans m'ébranler, (m'ôte, J'aime ce qu'il me donne, et et pleins ce qu'il Est si Rome demande une vertu plus haute.
Ie rends graces aux Dieux de n’eſtre pas Romain Pour conſeruer encor quelque choſe d’humain.	Je rends grâces aux Dieux de n'être pas Romain Pour conserver encor quelque chose d'humain.
HORACE.	HORACE.
Si vous n’eſtes Romain, ſoyés digne de l’eſtre, Et ſi vous m’eſgales faites le mieux paroiſtre.	Si vous n'êtes Romain, soyez digne de l'être, Et si vous m'égales faites le mieux paraître.
La ſolide vertu dont ie fais vanité N’admet point de foibleſſe auec ſa fermeté, Et c’eſt mal de l’honneur entrer dans la carriere Que dés le premier pas regarder en arriere.	La solide vertu dont votre fais vanité N'admet point de faiblesse avec sa fermeté, Et c'est mal de l'honneur entrer dans la carrière Que dès le premier pas regarder en arrière.
Noſtre malheur eſt grand, il eſt au plus haut point Ie l’enviſage entier, mais ie n’en fremis point.	Notre malheur est grand, il est au plus haut point Je l'envisage entier, mais toujours n'en frémis point.
Contre qui que ce ſoit que mon pays m’employe I’accepte aueuglement cette gloire auec ioye, Celle de receuoir de tels commandements Doit eſtouffer en nous tous autres ſentiments, Qui prés de le ſeruir conſidere autre choſe A faire ce qu’il doit laſchement ſe diſpoſe, Ce droit ſaint & ſacré rompt tout autre lien, Rome a choiſi mon bras, ie n’examine rien, Auec vne aſlegreſſe auiſi pleiſle & ſiſicere Que i’eſpouſay la ſœur, ie combatray le frere.	Contre qui que ce soit que mon pays m'emploie J'accepte aveuglement cette gloire avec joie, Celle de recevoir de tels commandements Doit étouffer en nous tous autres sentiments, Qui près de le servir considère autre chose A faire ce qu'il doit lâchement se dispose, Ce droit saint et sacré rompt tout autre lien, Rome a choisi mon bras, pleins n'examine rien, A legresse auisi pleisle et sisicere Que j'épousai la sœur, je combatrai le frère.
Et pour trancher en fin ces diſcours ſuperflus Albe vous a nommé, ie ne vous cognois plus.	Et pour trancher en fin ces discours superflus Albe vous a nommé, toujours ne vous connais plus.
e vl l lla E Ie vous cognois encor, & c’eſt ce qui me tue;	Je vl a Éta E Je vous connais encor, et c'est ce qui me tue;
Mais ceſte aſpre vertu ne m’eſtoit pas connuê, Comme noſtre malheur elle eſt au plus haut point, Souffrés que ie l’admire, & ne l’imite point.	Mais cette âpre vertu ne m'était pas connuêmes, Comme notre malheur elle est au plus haut point, Souffrés que ie padmire, et ne l'imite point.
HORACE.	HORACE.
te, Non, non, n’embraſles pas de vertu par contrainEt puiſq;	te, Non, non, n'embrasles pas de vertu par contrainEt puisque;
vous trouuez plus de charme à la plainte;	vous trouvez plus de charme à la plainte;
En toute liberté gouſtés vn bien ſi doux, voicr Voicy venir ma ſœur pour ſe plaindre auec vous.	En toute liberté goûtez un bien si doux, voicr Voici venir ma sœur pour se plaindre auec vous.
Ie voy reuoir la voſtre, & reſoudre ſon ame A ſe reſſouuenir qu’elle eſt touſiours ma femme.	Je vois revoir la vôtre, et résoudre son âme À se ressouvenir qu'elle est toujours ma femme.
A vous aymer encor ſi ie meurs pas vos mains.	À vous aimer encor si ici meurs pas vos mains.
Et prédre en ſon malheur des ſentimens Romains.	Et prédre en son malheur des sentiments Romains.
8 HORACE.	8 HORACE.
Vez vous ſceu l’eſtat qu’on fait de Curiace, AMa ſœur?	Vez -vous su l'état qu'on fait de Curiace, AMa sœur?
CAMILLE.	CAMILLE.
HORACE.	HORACE.
ſœur, Armez vous de conſtance, & monſtrés vous ma Et ſi par mon treſpas il retourne vainqueur, Ne le receuez point en meurtrier d’vn frere (faire.	sœur, Armez -vous de constance, et montrez -vous ma Et si par mon trépas il retourne vainqueur, Ne le recevez point en meurtrier d'âme frère (faire.
Mais en homme d’honneur qui fait ce qu’il doit Qui ſert bien ſon pays & ſçait monſtrer à tous Par ſa haute vertu qu’il eſt digne de vous;	Mais en homme d'honneur qui fait ce qu'il doit Qui sert bien son pays et sait montrer à tous Par sa haute vertu qu'il est digne de vous;
Comme fi ie viuois acheuez l’Hymenée.	Comme fi Princes vivais achevez l'Hyménée.
Mais ſi ce fer auſſi tranche ſa deſtinée Faites à ma victoire vn pareil traitement, Ne me reprochez point la mort de voſtre amant, Vos larmes vont couler, & voſtre cœur ſe preſſe, Conſommés auec luy toute ceſte foibleſſe, Querellez Cſer & terre, & maudiſſez le ſort, Mais apres le combat ne penſez plus au mort.	Mais si ce fer aussi tranche sa destinée Faites à ma victoire un pareil traitement, Ne me reprochez point la mort de votre amant, Vos larmes vont couler, et votre cœur se presse, Consommès mille mille toute cette faiblesse, Querellez Cser et terre, et maudissez le sort, Mais après le combat ne pensez plus au mort.
Ie ne vous laiſſeray qu’vn momẽt auec elle, (pellePuis nous irons enſemble où l’honneur nous ap	Je ne vous laisserai qu'Hommes moment quelque elle, (pellePuis nous irons ensemble où l'honneur nous ap
SCENE V.	SCÈNE V.
CAMILLE, CVRIACE.	CAMILLE, CURIACE.
CAMILLE.	CAMILLE.
Ras.	Ras.
tu ma chere ame, & ce funeſte honneur Te plait-il au deſpens de tout noſtre bonheur?	tu ma chère âme, et ce funeste honneur Te plaît-il au dépens de tout notre bonheur?
CVRIACE.	CURICE.
Helas, ie voy trop bien qu’il faut, quoy que ie face.	Hélas, Seigneur vois trop bien qu'il faut, quoi que sans face.
Mourir, ou de douleur, ou de la main d’Horace, Ie vay comme au ſupplice à cét illuſtre employ, Ie maudis mille fois l’eſtat qu’on fait de moy, Ie hay cette valeur qui facit qu’Albe m’eſtime, Ma flamme au deſeſpoir paſſe iuſques au crime, Elle le prend aun Dioun juanuidie quereller, Ie vous plains, ie me plains, mais il y faut aller.	Mourir, ou de douleur, ou de la main d'Horace, Je vais comme au supplice à cet illustre emploi, Je maudis mille fois l'état qu'on fait de moi, Je haï cette valeur qui facit qu'Albe m'estime, Ma flamme au désespoir passe jusques au crime, Elle le prend aun Dioun juanuidie que, Ie que plains, je vous plains, mais il y faut aller.
CAMILLE.	CAMILLE.
Non, ie te cognoy mieux, tu veux que ie te prie, Et qu’ainſi mon pouuoir t’excuſe à ta parrie.	Non, Seigneur te connais mieux, tu veux que ie te prie, Et qu'ainsi mon pouvoir t'excuse à ta parrie.
Tu n’es que trop fameux par tes autres exploits, Albe a receu par eux tout ce que tu luy dois, Autre n’a mieux que toy ſouſtenu cette guerre, Autre dé plus de morts n'a couueit cetteterre, Tõ nõ ne peut plus croiſtre, il ne luy manque rien, Souffre qu’vn autre icy puiſſe ennoblir le ſien.	Tu n'es que trop fameux par tes autres exploits, Albe a reçu par eux tout ce que tu lui dois, Te n'a mieux que toi soutenu cette guerre, Autre de plus de morts n'a couvit cetterre, Tõ Tendre ne peut plus croître, il ne le manque rien, Souffre qu'un autre ici puisse ennoblir le sien.
CVRIACE.	CURICE.
teſte	tête
Que ie ſouffre à mes yeux qu’on ceigne vne autre Des lauriers immortels que la gloire m’appreſte, Ou que tout mon pays reproche à ma vertu Qu’il auroit triomphé ſi i’auois combatu, Et que par mon amour ma valeur endormie Couronne tant d’exploits d’vne telle infamie?	Que était souffre à mes yeux qu'on ceigne une autre Des lauriers immortels que la gloire m'apprête, Ou que tout mon pays reproche à ma vertu Qu'il aurait triomphé si j'avais combattu, Et que par mon amour ma valeur endormie Couronne tant d'exploits d'une telle infamie?
V Non, Albe, apres l’honneur que i’ay receu de toy Tu ne ſuccomberas ny vaincras que par moy;	V Non, Albe, après l'honneur que j'ai reçu de toi Tu ne succomberas ni vaincras que par moi;
te, Tu m’as cõmis ton ſort, ie t’en rendray bon conEt vidiay lalls lepoenle, our fiiiruy lune cronte.	te, Tu m'as commis ton sort, je t'en rendrai bon conEt vidiay lalls lepole, our fiirri lune crompte.
CAMILLE.	CAMILLE.
Quoy!	Quoi!
tu me veux pas voir qu’ainſi tu me trahis!	tu me veux pas voir qu'ainsi tu me trahis!
CVRIACE.	CURICE.
Auant que d’eſtre à vous ie ſuis à mon pays.	Avant que d'être à vous je suis à mon pays.
CAMILLE.	CAMILLE.
Mais te priuer pour luy toy-meſme d’vn beau frere Ta ſœur de ſon mary!	Mais te priver pour lui toi-même d'H beau frère Ta sœur de son mari!
CVRIACE.	CURICE.
Telle eſt noſtre miſere, Le choix d’Albe & de Rome oſte toute douceur Aux noms iadis ſi doux de beau frere & de ſœur.	Telle est notre misère, Le choix d'Albe et de Rome ôte toute douceur Aux noms jadis si doux de beau frère et de sœur.
CAMILLE.	CAMILLE.
Viendras-tu point encor me preſenter ſa teſte, Et demander ma main pour prix de ta conqueſte?	Viendras-tu point encor me présenter sa tête, Et demander ma main pour prix de ta conquête?
CVRIACE.	CURICE.
Il n’y faut plus penſer, en l’eſtat où ie ſuis:	Il n'y faut plus penser, en l'état où tu suis:
Vous aymer ians eipoir c’eſt tout ce que ie puis.	Vous aimer jants éjpoir c'est tout ce que je puis.
Vous pleurés, ma chere ame,	Vous pleurez, ma chère âme,
CAMILLE.	CAMILLE.
Il faut bien que ie pleure, Mon inſenſible amant ordonne que ie meure, Et lors que monſtre Hymen allume ſon flambeau, Il r’eſtemt de la mam pour m’ouurir le tombeau, Ce cœur impitoyable à ma perte s’obſtine, Et dit qu’il m’ayme encor alors qu’il m’aſſaſſine.	Il faut bien que Seigneur pleure, Mon insensible amant ordonne que A meure, Et lors que montre Hymen allume son flambeau, Il restemt de la mam pour m'ouvrir le tombeau, Ce cœur impitoyable à ma perte s'obstine, Et dit qu'il m'aime encor alors qu'il m'assassine.
CVRIACE.	CURICE.
cours,	cours,
Que les pleurs d’vne amante ont de puiſſants diſEt qu’vn bel œil eſt fort auec vn tel ſecours!	Que les pleurs d'une amante ont de puissants disait qu'un bel œil est fort avec un tel secours!
Que mon cœur s’attendrit à cette triſte veuë!	Que mon cœur s'attendrit à cette triste vue!
Ma conſtance contra elle à regret s’euertuë.	Ma constance contra elle à regret s'évertue.
N’attaqués plus ma gloire auecque vos douleurs, Et laiſſés moy ſauuer ma vertu de vos pleurs;	N'attaquez plus ma gloire avec vos douleurs, Et laissés moi sauver ma vertu de vos pleurs;
Ie ſens qu’elle chancelle, & defend mal la place, Plus ie ſuis voſtre amant, moins ie ſuis Curiace, Foible d’auoir deſia combatu l’amitié Vaincroit-elle à la fois l’amour & la pitié?	Je sens qu'elle chancelle, et défend mal la place, Plus je suis votre amant, moins ie suis Curiace, Foible d'avoir déjà combattu l'amitié Vaincroit-elle à la fois l'amour et la pitié?
Allés, ne m’aymés plus ne verſez plus de larmes, Où i’oppoſe l’offenſe à de ſi fortes armes, Ie me defendray mieux contre voſtre couroux, Et pour le meriter, ie n’ay plus d’yeux pour vous, Vangez vous d’vn ingrat, puniſſez vn volage, (ge?	Allez, ne m'aimez plus ne versez plus de larmes, Où j'oppose l'offense à de si fortes armes, Je me défendrai mieux contre votre courroux, Et pour le mériter, Seigneur n'ai plus d'yeux pour vous, Vengez vous d'un ingrat, punissez un volage, (ge?
Vous ne vous monſtrez point ſenſible à cet outraIe n’ay plus d’yeux pour vous, vous en auez pour moy !	Vous ne vous montrez point sensible à cet outraIe n'ai plus d'yeux pour vous, vous en avez pour moi !
B 2 ER En faut-il plus encor?	 2 ER En faut-il plus encor?
ie renonce à ma foy, Rigoureuſe vertu dont ie ſuis la victime, Ne peux tu reſiſter ſans le lecouis d’vnermme?	Les renonce à ma foi, Rigoureuse vertu dont je suis la victime, Ne peux tu résister sans le couis d'unermme?
CAMILLE.	CAMILLE.
Ne fay point d’autre crime, & i’attaſte les Dieux Qu’au lieu de t’en hair, ie t’en aymeray mieux, Ouy, ie te cheriray tout ingrat & perfide, Et ceſſe d’aſpirer au nom de fratricide.	Ne fais point d'autre crime, et j'attaste les Dieux Qu'au lieu de t'en haïr, quelque t'en aimerai mieux, Oui, ainsi te chérirai tout ingrat et perfide, Et cesse d'aspirer au nom de fratricide.
main?	main?
Pourquoy ſuis je Romaine, on que n’es tu RoIe te preparerois des lauriers de ma main, Ie t’encouragerois au lieu de te diſtraire, Et ie te traiterois comme i’ay fait mon frere.	Pourquoi suis je Romaine, on que n'es tu RoIe te préparerais des lauriers de ma main, Je t'encouragerais au lieu de te distraire, Et quelque te traiterais comme j'ai fait mon frère.
Helas !	Hélas !
i’eſtois aueugle en mes vœux auiourd’huy Ferruy fuit contre toy quand i’en ay fait pour luy, Il revient, quel malheur!	j'étais aveugle en mes vœux aujourd'hui Ferrui fuit contre toi quand j'en ai fait pour lui, Il revient, quel malheur!
ſi l’amour de ſa femme Ne peut non plus ſur luy que le mien ſur ton ame.	si l'amour de sa femme Ne peut non plus sur Rome que le mien sur ton âme.
DCENE VI.	DCENE VI.
HORACE, CVRIACE, SABINE, CAMILLE.	HORACE, CURIACE, SABINE, CAMILLE.
CVRIACE.	CURICE.
Ieux!	Jeux!
Sabine le ſuit!	Sabine le suit!
Pour eſbranler mon cœut DEſt ce peu de Canma?	Pour ébranler mon cœur DEst ce peu de Canma?
y loignenvous ma ſœur?	y loignenvous ma sœur?
Et laiſſant à ſes pleurs vaincre ce grand courage L’amenez vous icy chercher meſme aduantage?	Et laissant à ses pleurs vaincre ce grand courage L'amenez vous ici chercher même avantage?
SABINE.	SABINE.
Non, non, mon frere, non, ie ne viens en ce lieu Que pour vous embraſſer, & pour vous dire Adieu, (che, Voſtre ſang eſt trop bon, n’en craignés rien de laſRien dont la fermeté de ces grands cœurs ſe faſche;	Non, non, mon frère, non, je ne viens en ce lieu Que pour vous embrasser, et pour vous dire Adieu, (che, Votre sang est trop bon, n'en craignez rien de lasRien dont la fermeté de ces grands cœurs se fâche;
Si ce malheur illuſtre eſbranloit l’vn de vous Ie le deſaduoüerois pout frere ou pour eſpous.	Si ce malheur illustre ébranlait l'op de vous Je le désavouerais pout frère ou pour épous.
Pourray ie toutefois vous faire vne priere Digne d’vn tel elpomsce uigne d’vn tel frere?	Pourra ie toutefois vous faire une prière Digne d'un tel épomsce uigne d'un tel frère?
TRAGEDIE.	TRAGÉDIE.
Ie veux d’vn coup ſi noble oſter l’impieté;	Je veux d'un coup si noble ôter l'impiété;
A l’honneur qui l’attend rendre ſa pureté, 23 La mettre en ſon eſclat ſans meſlange de crimes, En fin ie vous veux faite ennemis legitimes, Du ſaint nœud qui vous ioint ie ſuis le ſeul lien, Quand ie ne ſeray plus, vous ne vous ſerez rien, Briſez voſtre alliance & rompez en la chaiſne, Et puiſque voſtre honneur veut des effets de haine Acheptés par ma mort le droit de vous hair, Albe le veut & Rome, il faut leur obeyr, (vange, Qu’vn de vous deux me tuë, & que l’autre me Alors voſtre combat n’aura plus rien d’eſtrange, Et du moins l’vn des deux ſera iuſte aggreſſeur;	À l'honneur qui l'attend rendre sa pureté, 23 La mettre en son éclat sans mélange de crimes, En fin encore vous veux faite ennemis légitimes, Du saint nœud qui vous joint tu suis le seul lien, Quand Je ne serai plus, vous ne vous serez rien, Brisez votre alliance et rompez en la chaîne, Et puisque votre honneur veut des effets de haine Acheptés par ma mort le droit de vous haïr, Albe le veut et Rome, il faut leur obéir, (vange, Qu'un de vous deux me tue, et que l'autre me Alors votre combat n'aura plus rien d'étrange, Et du moins l'un des deux sera iuste aggresseur;
Ou pour vanger ſa femme, vn pour vanger ſa ſœur.	Ou pour venger sa femme, un pour venger sa sœur.
Mais quoy!	Mais quoi!
vous ſoüilleriez vne gloire ſi belle, Si vous vous animiez par quelque autre querelle, Voſtre zele au pays vous deſend de tels ſoins, Vous feriés peu pour luy ſi vous en faiſiez moins, Il luy faut, & ſans haine, immoler vn beau frere:	vous soüilleriez une gloire si belle, Si vous vous animiez par quelque autre querelle, Votre zèle au pays vous désend de tels soins, Vous feriez peu pour un si vous en faisiez moins, Il lui faut, et sans haine, immoler un beau frère:
Ne differés donc plus ce que vous deués faire, Commencés par ſa ſœur à reſpandre ſon ſang, Commencés par ſa femme à luy percer le flanc.	Ne différez donc plus ce que vous devez faire, Commencez par sa sœur à répandre son sang, Commencez par sa femme à notre percer le flanc.
Commencés par Sabine à faire de vos vies Vn digne ſacrifice à vos cheres patries, Vous eſtes ennemis en ce combat fameux (deux, Vous d’Albe, vous de Rome, & moy de toutes Quoy?	Commencez par Sabine à faire de vos vies Un digne sacrifice à vos chères patries, Vous êtes ennemis en ce combat fameux (deux, Vous d'Albe, vous de Rome, et moi de toutes Quoi?
me reſeruez vous à voir vne victoire, Où pour haut appareil d’vne pompeuſe gloire Ie verray les lauriers d’vn frere ou d’vn mary Fumer encor d’vn ſang que i’auray tant chery:	me réservez -vous à voir une victoire, Où pour haut appareil d'une pompeuse gloire Je verrai les lauriers d'un frère ou d'un mari Fumer encor d'un sang que j'aurai tant chéri:
Pourray-je entre vos deux regler alors mon ame?	Pourrai-je entre vos deux régler alors mon âme?
Satisfaire au deuoir & de ſœur & de femme?	Satisfaire au devoir et de sœur et de femme?
Embraſſer le vainqueur en pleurant le vaincu?	Embrasser le vainqueur en pleurant le vaincu?
Non, non, auant ce coup Sabine aura veſcu, Ma mort le preuiendra de qui que ie l’obtienne, Le refus de vos mains y condamne la mienne, Sus donc qui vous retient?	Non, non, avant ce coup Sabine aura vécu, Ma mort le préviendra de qui que sans l'obtienne, Le refus de vos mains y condamne la mienne, Sus donc qui vous retient?
Allés, cœurs inhumains, I’auray trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milisu n’arreſte vos eſpées, Et malgté vos refus il faudroit que leurs coups Se faſſent iour icy pour aller iuſqu’à vous.	Allez, cœurs inhumains, J'aurai trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milisu n'arrête vos épées, Et malgé vos refus il faudrait que leurs coups Se fassent jour ici pour aller jusqu'à vous.
O ma femme!	Ô ma femme!
AORMCE.	ÀORMCE.
EVRIACE O ma ſœur !	EURICE Ô ma sœur !
CAMILLE.	CAMILLE.
Courage ils s’amolliſſent	Courage ils s'amollissent
SABINE.	SABINE.
Vous pouſſez de ſouſpirs, vos viſages palliſſent!	Vous poussez de soupirs, vos visages pâlissent!
Quelle peur vous ramtaont ce la ces grands cœurs, Ces heros qu’Albe & Rome ont pris pour defenſeurs?	Quelle peur vous rambtaont ce la ces grands cœurs, Ces héros qu'Albe et Rome ont pris pour défends?
HORACE.	HORACE.
Femme, que t’ay ie fait, & quelle eſt mon offenſe, Qui t’oblige à chercher vne telle vengeance?	Femme, que t'a ie ici, et quelle est mon offense, Qui t'oblige à chercher une telle vengeance?
Que t’a fait mon honneur, femme, & pourquoy viens-tu Auec toute ta force attaquer ma vertu?	Que t'a fait mon honneur, femme, et pourquoi viens-tu Auec toute ta force attaquer ma vertu?
