MONSIEVR	MONSIEUR
Ie ne te diray rien auſſi, deuſſay-je l’eſtre.	Je ne te dirai rien aussi, dussai-je l'être.
RAGOIIN.	RAGOIN.
Si tu ne me dis point pourquoy tu viens paraiſtre, Ie ne te diray point pourquoy ie viens auſſi.	Si tu ne me dis point pourquoi tu viens paraître, Je ne te dirai point pourquoi toujours viens aussi.
GVILLOT.	GUILOT.
Mais qui commencera le prenfer en cecy.	Mais qui commencera le prenfer en ceci.
RAGOTIN.	RAGOTIN.
Afin que nul de nous n’ait aucun aduantage, miireibre nodo dirono quene eit hoſtre meſſagé.	Afin que nul de nous n'ait aucun avantage, miireibre nodo dirono quène eit hotre messagé.
GVILLOT.	GUILOT.
le le veux bien, parſons tous les deux a la fois.	le le veux bien, parsons tous les deux a la fois.
RAGOTIN.	RAGOTIN.
Nous nous eſtourdirions auecque nos deux voix.	Nous nous étourdirions auecque nos deux voix.
GVILLOT.	GUILOT.
Apprens moy ton ſecret, cher amy, camarade.	Apprends moi ton secret, cher ami, camarade.
RAGOTIN.	RAGOTIN.
le ie veux bien, ie viens pour faire vne Ambaſſade, Auec vn billet doux.	le ie veux bien, Seigneur viens pour faire un Ambassade, Avec un billet doux.
GVILLOT.	GUILOT.
Tu n’as pas mal parlé;	Tu n'as pas mal parlé;
Celuy que i’ay, ie croy, n’eſt ny doux ny ſalé, Il eſt aſſairoimne a vhe fort boltie forte	Celui que j'ai, je crois, n'est ni doux ni salé, Il est assairmne a vhe fort boltie forte
RAGOTIN.	RAGOTIN.
Mais ne içauray-je point à qui ta mai le porte?	Mais ne içauray-je point à qui ta mai le porte?
GVILLOT.	GUILOT.
11.	11.
Oüy, quand nous aurons fait nouuelles pactions.	Oui, quand nous aurons fait noyelles pactions.
3 RAGOTIN.	3 RAGOTIN.
Quoy, faut-il faire encore d’autres conditions?	Quoi, faut-il faire encore d'autres conditions?
Dis le moy, ie te prie, & bannis toute crainte.	Dis le moi, Madame te prie, et bannis toute crainte.
GVILLOT.	GUILOT.
Il eſt pour Polixene.	Il est pour Polixène.
RAGOTIN.	RAGOTIN.
Et le mien pour Aminte, Ton Maiſtre a chez le mien le ſuiet de ſes feux, Et le mien chez le tien la cauſe de ſes vœux!	Et le mien pour Aminte, Ton Maître à chez le mien le sujet de ses feux, Et le mien chez le tien la cause de ses vœux!
GVILLOT.	GUILOT.
La Mie à Poncalpe adec da bonde graces A ſceu gagner le çœur au fils de Boniface.	La Mie à Poncalpe adec da bonde grâces A su gagner le çœur au fils de Boniface.
RAGOTIN.	RAGOTIN.
Celle de Boniface auec ſon air tentant, Au fils de Policarpe en a fait tout autant.	Celle de Boniface avec son air tentant, Au fils de Policarpe en a fait tout autant.
GVILLOT.	GUILOT.
On s’en va donc bientoſt de nos deux maiſonnéees, Si ie ne ſuis trompé, faire deux Himenées.	On s'en va donc bientôt de nos deux maisonnée, Si tu ne suis trompé, faire deux Hyménées.
A vj	À vi
RAGOTIN.	RAGOTIN.
oulis douce;	oulis douce;
& nous reronis les pitis neureux valets.	et nous reronis les pitis neureux valets.
GVILLOT.	GUILOT.
Oüy, car nous nous voyons déja porte-poulets.	Oui, car nous nous voyons déjà porte-poulets.
N’eſt-ce point eſtre auſſi Poſtillons de Siluie?	N'est-ce point être aussi Postillons de Silvie?
RAGOTIN.	RAGOTIN.
Qu’y ferions-nous?	Qu'y ferions-nous?
ce ſont commerces de la vie.	ce sont commerces de la vie.
GVILLOT.	GUILOT.
Mrais, ion chef compagnol, dis-ioy, te prairoit-il, Que l'on te fiſt paſſer pour vn poiſſon d’Auril?	Mrais, ion chef compagnol, dis-ioi, te prairait-il, Que l'on te fît passer pour un poisson d'Ouril?
RAGOTIN.	RAGOTIN.
Souuent ſans regarder Auril, May ny Decembre, On nous fait Maquignons de haquenée en chambre;	Souvent sans regarder Auril, Ma ny Décembre, On nous fait Maquignons de haquenée en chambre;
Mais nous ſommes icy des Meſſagers d’honneur.	Mais nous sommes ici des Messagers d'honneur.
GVILLOT.	GUILOT.
Oüy bien, quant à preſent, mais parfois ſeruiteur, Nous portons des poulets à certaines Donzelles, Leſquelles ont bien l’air de n’eſtre pas pucelles:	Oui bien, quant à présent, mais parfois serviteur, Nous portons des poulets à certaines Donzelles, Lesquelles ont bien l'air de n'être pas pucelles:
Mais c’eſt galanterie, & tout cela n’eſt rien, Celles où nous allons ce ſont filles de bien, Qui ſe gouuernent.	Mais c'est galanterie, et tout cela n'est rien, Celles où nous allons ce sont filles de bien, Qui se gouvernent.
Ie n’en dis pas dauantage, Suffit, qu’elles n’ont rien en elle que de ſage.	Je n'en dis pas davantage, Suffit, qu'elles n'ont rien en elle que de sage.
RAGOTIN.	RAGOTIN.
Camarade en ce point, ie ne dis oüy, ny non.	Camarade en ce point, Seigneur ne dis oui, ni non.
Celle qu’on croit bien ſage, eſt bien ſouuent guenon, Et celle que l’on croit de meſine concubine, Souuent eſt braue femme, & nous trompe à la mine.	Celle qu'on croit bien sage, est bien souvent guenon, Et celle que l'on croit de mes concubine, Souvent est brave femme, et nous trompe à la mine.
Mais cher amy Guillot, i’aime vn certain obiet, Dont le mettrois au reu le doigt.	Mais cher ami Guillot, j'aime un certain objet, Dont le mettrais au réu le doigt.
GVILLOT.	GUILOT.
Il brûleroit.	Il brûlerait.
Toy-meſme, tu me viens de dire, que ces gueuſes En apparence ſont toutes des affronteuſes.	Toi-même, tu me viens de dire, que ces gueuses En apparence sont toutes des affronteuses.
RAGOTIN.	RAGOTIN.
Celle que ie cheris n’anne au monde que moy, Ie t’en répons, Guillot.	Celle que je chéris n'anne au monde que moi, Je t'en réponds, Guillot.
GVILLOT.	GUILOT.
C’eſt bien répondre à toy.	C'est bien répondre à toi.
On ſe croit bien ſouuent Maiſtre d’vne friponne, Laquelle cependant n’eſt qu’à qui plus luy donne;	On se croit bien souvent Maître d'une friponne, Laquelle cependant n'est qu'à qui plus deux donne;
Mais quoy?	Mais quoi?
puis qu’il ſe faut marier vne fois, Faiſons-le, c’eſt à faire à s’en mordre les doigts.	puis qu'il se faut marier une fois, Faisons-le, c'est à faire à s'en mordre les doigts.
Tu ſçais que nos obiets doiuent icy ſe rendre, D’vne aigrette de bœuf, tâchons à nous deffendre.	Tu sais que nos objets doivent ici se rendre, D'une aigrette de bœuf, tâchons à nous défendre.
RAGOTIN.	RAGOTIN.
Tous coups vailent, Guillot, c’eſt à faire à celaNous ne ſerons pas ſeuls auec ces armes-là.	Tous coups vailent, Guillot, c'est à faire à celaNous ne serons pas seuls avec ces armes-là.
GVILLOT.	GUILOT.
Il eſt vray qu’elles ſont communes dans ce mondes Moy qui te parle, i’aime vne certaine blonde, Qui me porte bien l’air de m’en faire tâter, Quelque precaution que i’y puiſſe apporter;	Il est vrai qu'elles sont communes dans ce mondes Moi qui te parle, j'aime un certaine blonde, Qui me porte bien l'air de m'en faire tâter, Quelque précaution que j'y puisse apporter;
Mais ſongeant aux obiets qui cauſent nos ſeruages, Songeons en meſme temps à faire nos meſſages.	Mais songeant aux objets qui causent nos servages, Songeons en même temps à faire nos messages.
Bon, voicy iuſtement celles que nous cherchons, diberdons les, Ragot.	Bon, voici justement celles que nous cherchons, diberdons les, Ragot.
RAGOTIN.	RAGOTIN.
le le veux, approchons.	le le veux, approchons.
SCENE VIII.	SCÈNE VIII.
GVILLOT, RAGOTIN, BEATRIX, LISETTE.	GUILOT, RAGOTIN, BEATRIX, LISETTE.
GVILLOT.	GUILOT.
Eruiteur, Beatrix.	Eruiteur, Beatrix.
RAGOTIN.	RAGOTIN.
Ah!	Ah!
ton valet, Liſette.	ton valet, Lisette.
de des celtui foarces seta	de des celui foarces seta
GVILLOT.	GUILOT.
Moy, certaine pouſette, Pour donner à l’obiet, dont mon Maiſtre eſt charmé.	Moi, certaine pouste, Pour donner à l'objet, dont mon Maître est charmé.
RAGOTIN.	RAGOTIN.
Et le mien pour celuy dont mon Maiſtre eſt aimé, Et tu peux bien penſer que c’eſt pour ta Maiſtreſſe.	Et le mien pour celui dont mon Maître est aimé, Et tu peux bien penser que c'est pour ta Maîtresse.
GVILLOT.	GUILOT.
C'’ent à la denne aum, que ce buret s’adreſſe, Enfin, nos Maiſtres ſont diablement amoureux.	C'ent à la denne aum, que ce buret s'adresse, Enfin, nos Maîtres sont diablement amoureux.
RAGOTIN.	RAGOTIN.
Et tu voy deux valets qui le ſont autant qu’eux.	Et tu vois deux valets qui le sont autant qu'eux.
LISETTE.	LISETTE.
Qui te charme, Ragot?	Qui te charme, Ragot?
RAGOTIN.	RAGOTIN.
Ah!	Ah!
petite friande, Ragot te peut-il voir à moins qu’il ne ſe rende?	petite friande, Ragot te peut-il voir à moins qu'il ne se rende?
Ie ſens mon pectorat tellement enflámé, Que ſi tu ne l’eſteins, me voila conſommé:	Je sens mon pectorat tellement enflammé, Que si tu ne l'éteins, me voilà consommé:
Tes yeux m’ont allumé d’vne ſi forte flâme, Que dans l’enfer d’amour, ie ſens brûler mon ame?	Tes yeux m'ont allumé d'une si forte flamme, Que dans l'enfer d'amour, quelque sens brûler mon âme?
Oüy, c’eſt l’enfer d’amour, de ne poſſeder pas, Celle pour qui ie fais tous les iours mille helas, Et n’écoute non plus ce que ie luy veux dire, Que ſi ce n’eſtoit rien qu’vn homme qui ſoûpire.	Oui, c'est l'enfer d'amour, de ne posséder pas, Celle pour qui ie fais tous les jours mille hélas, Et n'écoute non plus ce que ie Un veux dire, Que si ce n'était rien qu'un homme qui soupire.
Vn Ragot peut-il bien prés de toy ſoûpirer, Sans que tous ſes ſoûpirs te puiſſent penetrer?	Un Ragot peut-il bien près de toi soupirer, Sans que tous ses soupirs te puissent pénètre?
omeu ne ce rendu pau a mon tore doprorable, Ie te crois vn obiet du tout impenetrable.	omeu ne ce rendu pau a mon tore doprorable, Je te crois un objet du tout impénétrable.
LISETIE.	LISETIE.
Ragotin, ie n’ay pas pour toy le cœur ſi dur, Pour ne te pas aimer, ton amour eſt trop pur.	Ragotin, Seigneur n'ai pas pour toi le cœur si dur, Pour ne te pas aimer, ton amour est trop pur.
BEATRIX.	BEATRIX.
Et toy, quel eſt l’obiet pour qui ton cœur ſoûpire?	Et toi, quel est l'objet pour qui ton cœur soupire?
GVILLOT.	GUILOT.
C’eſt toy, ma Beatrix, puie qu’il te le faut dire;	C'est toi, ma Beatrix, puie qu'il te le faut dire;
Ie ſuis dans vn eſtat à ne te celer pas, Que i’en tiens rudement pour tes frians appas:	Je suis dans un état à ne te celer pas, Que j'en tiens rudement pour tes friants appas:
Oüy, quand on apperçoit tous les charmes enſemble, La plus ferme franchiſe en ce moment là tremble;	Oui, quand on aperçoit tous les charmes ensemble, La plus ferme franchise en ce moment là tremble;
Si bien que dans le temps que ie me ſens brûler, Ma franchiſe auſſi-toſt commence de trembler;	Si bien que dans le temps que ici me sens brûler, Ma franchise aussitôt commence de trembler;
Le froid & le chaut font vne antiperiſtaze, Qui cauſe en ma perſonne vn incommode extaze, Par où ie ſens former vn tumulte en mon corps, Qui tempeſte, rauage, & fait de tels efforts, Qu’il rompt & briſe tout iuſques à mes membranes, La ſuffocation offuſque mes organes, Et mon ame & mon corps par tranſpiration, Veulent.	Le froid et le chaut font une antipéristaze, Qui cause en ma personne un incommode extaze, Par où tu sens former un tumulte en mon corps, Qui tempête, ravage, et fait de tels efforts, Qu'il rompt et brise tout jusques à mes membranes, La suffocation offusque mes organes, Et mon âme et mon corps par transpiration, Veulent.
enfin, ie t’aime auecque paſſion.	enfin, Seigneur t'aime auecque passion.
BEATRIX.	BEATRIX.
Que ton amour te fait dire de belles choſes!	Que ton amour te fait dire de belles choses!
GVILLOT Ce ſont les grands effets que produiſent ces cauſes;	GUILOT Ce sont les grands effets que produisent ces causes;
Ie laiſſe aux eſprits bas à parler baſitintne;	Je laisse aux esprits bas à parler basitintène;
Pour moy, ie fais l’amout ſcientifiquement.	Pour moi, je fais l'amout scientifiquement.
DLAIRIA.	DLAIRIA.
Moy qui n’ay point d’eſprit, quelle réponce y faire	Moi qui n'ai point d'esprit, quelle réponse y faire
GVILLOT.	GUILOT.
Ie t’en infuſeray de la bonne maniere.	Je t'en infuserai de la bonne manière.
BEATRIX.	BEATRIX.
Tu n’es qu’vn babillart, va, ne me dis plus mot.	Tu n'es qu'vn babillart, va, ne me dis plus mot.
RAGOT.	RAGOT.
Petite Dulcinée, aimeras-tu Ragot?	Petite Dulcinée, aimeras-tu Ragot?
au ne me réponds rien, dis donc?	au ne me réponds rien, dis donc?
LISETTE.	LISETTE.
Helas!	Hélas!
RAGOT.	RAGOT.
Acheue.	Achève.
LISETTE.	LISETTE.
Ie crains bien de t’aimer, adieu	Je crains bien de t'aimer, adieu
RAGOT.	RAGOT.
Le cœur me creue.	Le cœur me crève.
LLOT.	LLOT.
Et toy m’aimeras-tu, Beatrix mon ſoucy?	Et toi m'aimeras-tu, Beatrix mon souci?
BEATRIX.	BEATRIX.
Peut-eſtre, adieu Guillot.	Peut-être, adieu Guillot.
GVILLOT.	GUILOT.
Le cœur me ereue auſſi.	Le cœur me élève aussi.
Fin du premier Acte.	Fin du premier Acte.
ACTETI SCENE PREMIERE.	ACTETI SCÈNE PREMIÈRE.
POLIXENE, AMINTE, EBITTRIX, LISETTE, ſortant chacune de leur maiſon.	POLIXENE, AMINTE, EBITTRIX, LISETTE, sortant chacune de leur maison.
POLIXENE.	POLIXENE.
OVR vous aller trouuer, ie ſortois de chez nous.	OUR vous aller trouver, Seigneur sortais de chez nous.
AMINTE.	AMINTE.
Et pour vous voir auſi ie m’en allois chez vous, Que vouliez vous de moy?	Et pour vous voir ausi ie m'en allais chez vous, Que vouliez -vous de moi?
POLIXENE.	POLIXENE.
Vous faire confidence.	Vous faire confidence.
AMINTE.	AMINTE.
Mon deſſein eſtoit tel, parlez en aſſurance, Vous ſçauez que ie ſuis vn eſprit fort diſcret.	Mon dessein était tel, parlez en assurance, Vous savez que tu suis un esprit fort discret.
POLIXENE.	POLIXENE.
Ie voudrois bien auoir pû cacher mon ſecret;	Je voudrais bien avoir pu cacher mon secret;
mlais ſeſas!	mlais sesas!
l’aurois beau ne le vouloir pas dire, On le connoiſt aſſez lors que mon cœur ſoûpire;	l'aurais beau ne le vouloir pas dire, On le connaît assez lors que mon cœur soupire;
Et quand vous me voyez mettre vn ſoûpir au iour, Vous pouuez bien iuger qu’il ne vient que d’amour.	Et quand vous me voyez mettre un soupir au jour, Vous pouvez bien juger qu'il ne vient que d'amour.
AMINTE.	AMINTE.
Quel Amant, Polixene, a l’honneur de vous plaire?	Quel Amant, Polixène, à l'honneur de vous plaire?
POLIXENE.	POLIXENE.
Ie vous le dirois bieni, mais.	Je vous le dirais bieni, mais.
AMINTE.	AMINTE.
Dites.	Dites.
POLIXENE.	POLIXENE.
Voſtre frère.	Votre frère.
AMINTE.	AMINTE.
Mon frere!	Mon frère!
quel bonheur!	quel bonheur!
incomparable bien, De voir que voſtre ſort ſe trouue égal au mien !	incomparable bien, De voir que votre sort se trouve égal au mien !
Polixene, iugez quelle ioye eſt la foitre, Mon frere eſt voſtre Amant, & i’aime auſſi le vôtre.	Polixène, jugez quelle joie est la faitre, Mon frère est toujours Amant, et j'aime aussi le vôtre.
POLIXENE.	POLIXENE.
Quoy, vous aimez mon frere?	Quoi, vous aimez mon frère?
Aminte, quel plaiſir!	Aminte, quel plaisir!
AMINTE.	AMINTE.
Ouis tenielere, lait mon vinque dciſf.	Ouis tenielere, lait mon vinque disf.
POLIXENE.	POLIXENE.
Le voſtre fait auſſi toute mon eſperance.	Le vôtre fait aussi toute mon espérance.
AMINIE.	AMINIE.
Heureuſes, ſi l'on peut faire cette alliance.	Heureuses, si l'on peut faire cette alliance.
Mauro le croy, que le voy venn mon nere iey.	Mauro le crois, que le vois venn mon nere lli.
POLIXENE.	POLIXENE.
C’eſt luy-meſme, & le mien auec luy vient auſſi.	C'est notre-même, et le mien auec luy vient aussi.
SCENE II.	SCÈNE II.
POLIXENE, AMINTE, CLIDAMANT, LVCIDOR, BEAT RIX, LISETTE, RAGOTIN.	POLIXENE, AMINTE, CLIDAMANT, LUCIDOR, BÉAT RIX, LISETTE, RAGOTIN.
7 CLIDAMANT.	7 CLIDAMANT.
„ ma ſœur eſt à vous, & ſans doutr mon O pere.	„ ma sœur est à vous, et sans doutr mon Ô ère.
LVCIDOR.	LUCIDOR.
Que le vais eſtre neureux s'n ne i'eit point cõtraire.	Que le vais être neureux s'n ne j'éit point commtraire.
CLIDAMANT.	CLIDAMANT.
Ie tiendray ſeurement voſtre amour à bonheur;	Je tiendrai sûrement vôtre amour à bonheur;
Mais puis-ie Lucidor, eſperer voſtre ſœur?	Mais puis-je Lucidor, espérer votre sœur?
ifiſi ie poſſedois cette aimable perſonne, Ie ſerois plus content,	jisi ie possédais cette aimable personne, Je serais plus content,
LVCIDOR.	LUCIDOR.
De moy, le vous la donne, Et mon pere, ie croy.	De moi, le vous la donne, Et mon père, on crois.
RAGOTIN.	RAGOTIN.
Ce fait eſt terminé.	Ce fait est terminé.
, Vous auez bon marché, c’eſt vn marché donné.	, Vous avez bon marché, c'est un marché donné.
POLIXENE.	POLIXENE.
Mon frere, ſçauez-vous ſi ie veux qu'on me donne?	Mon frère, Savez-vous si tu veux qu'on me donne?
CLIDAMANT.	CLIDAMANT.
Ne vous offencez pas, adorable perſonne, Si l’on vous donne à moy, ceſſez voſtre courroux;	Ne vous offensez pas, adorable personne, Si l'on vous donne à moi, cessez votre courroux;
Ce n’eſt pas d’auiourd’huy que l’on me dõne à vous, Puis qu’il eſt aſſuré que noſtre deſtinée, A déja dans le Ciel conclu noſtre Himenée.	Ce n'est pas d'aujourd'hui que l'on me donne à vous, Puis qu'il est assuré que notre destinée, A déjà dans le Ciel conclu quelque Hyménée.
LVCIDOR.	LUCIDOR.
Vous fâchez-vous auſſi, que l’on vous donne à moy?	Vous fâchez-vous aussi, que l'on vous donne à moi?
AMINTE.	AMINTE.
Si i’oſe deuant-vous, dire ce que i’en croy, I'auoüeray Lucidor, que ie ne ſçaurois taire, Qu’on ne peut ſe fâcher contre ce qui ſçait plaire.	Si j'ose devant-vous, dire ce que j'en crois, J'auoüeray Lucidor, que Ne ne saurais taire, Qu'on ne peut se fâcher contre ce qui sait plaire.
EVCIDOR.	EUCIDOR.
Peut-on voir vn bonheur.	Peut-on voir un bonheur.
RAGOTIN.	RAGOTIN.
A quoy bon tant précher, Et puis qu’elle veut bien rire ſans ſe fâcher?	À quoi bon tant prêcher, Et puis qu'elle veut bien rire sans se fâcher?
LVCIDOR.	LUCIDOR.
Tay-toy, double faquin.	Tais-toi, double faquin.
CLIDAMANT à POLIXENE.	CLIDAMANT à POLIXENE.
Que faut-il que i’eſpere?	Que faut-il que j'espère?
POLIXENE.	POLIXENE.
Clidamant, vous pouuez là-deſſus voir mon pere, L’honneur que ie reçoy me ſemble eſtre ſi doux, Que ſi i’eſtois à moy, ie ſerois toute à vous.	Clidamant, vous pouvez là-dessus voir mon père, L'honneur que mon reçois me semble être si doux, Que si j'étais à moi, je serais toute à vous.
CL’IDAMANT.	CL'IDAMANT.
O diſcours obligeant!	Ô discours obligeant!
LVCIDOR.	LUCIDOR.
Et vous, aimable Aminte, Aapprouuerrvous le leu dont inon ame eſt atteinte?	Et vous, aimable Aminte, Aapprouverrvous le lu dont inon âme est atteinte?
Puis-je eſperer qu’vn iour.	Puis-je espérer qu'un jour.
AMINTE.	AMINTE.
Toyez hlon pere auiſi.	Toyez hlon père avisi.
Mais i’entends quelque bruit, retirons-nous d’icy.	Mais j'entends quelque bruit, retirons-nous d'ici.
SCENE III.	SCÈNE III.
LVCIDOR s’en allant, dit à Clidamanty Enez-vous?	LUCIDOR s'en allant, dit à Clidamanti Enez-vous?
CLIDAMANT à Lucidor.	CLIDAMANT à Lucidor.
Ie vous ſuis.	Je vous suis.
Apres à Beatrix en l’arreſtant.	Après à Beatrix en l'arrêtant.
Fais prés de ta Maiſtreſſe Beatrix, que ie puiſle obtenir ſa tendreſſe.	Fais près de ta Maîtresse Beatrix, que je puisle obtenir sa tendresse.
BEATRIX.	BEATRIX.
On vous aime, Monſieur.	On vous aime, Monsieur.
SCENE IV CLIDAMANT, BEATRIX, GVILLOT.	SCÈNE IV CLIDAMANT, BEATRIX, GUILOT.
OrIe Da A puſſunt detant eixx.	OrIe Da A pûtsunt detant eixx.
Ie le ſçay bien, bon ſoir.	Je le sais bien, bon soir.
CLIDAMANT.	CLIDAMANT.
Que veut dire ce ſot?	Que veut dire ce sot?
GVILLOT repaſſant encor.	GUILOT repassant encor.
Adieu iuſqu’au reuof.	Adieu jusqu'au revof.
BEATRIX.	BEATRIX.
Le bien, nl eu t'en vas, Dieu re veume conduire.	Le bien, nl eu t'en vas, Dieu re vume conduire.
CLIDAMANT.	CLIDAMANT.
Parſez, Monſieur Guillot, dites, eſt-ce pour rire?	Parsez, Monsieur Guillot, dites, est-ce pour rire?
GVILLOT.	GUILOT.
Moy, pour rire?	Moi, pour rire?
n’enny;	n'enni;
tres-humble ſeruiteur.	très-humble serviteur.
Sors donc.	Sors donc.
CLIDAMANT à Guillot.	CLIDAMANT à Guillot.
Il tire ſa bourſe.	Il tire sa bourse.
TIeſis Beatrix.	TIesis Beatrix.
GVILLOT.	GUILOT.
Elle vend ſon honneur, Il n’eſt rien plus certain.	Elle vend son honneur, Il n'est rien plus certain.
Amirdneiat sen uitant.	Amirdneiat sen uitant.
I'employray mon adreſſe, A vous rendre ſeruice aupres de ma Maiſtreſſe.	J'emploierai mon adresse, À vous rendre service auprès de ma Maîtresse.
GVILLO T reuenant tout effaré.	GUILO T revenant tout effaré.
Au voleur!	Au voleur!
arreſtez.	arrêtez.
Dis donc.	Dis donc.
CLIDAMANT.	CLIDAMANT.
Qui te rend ſi ſurpris,	Qui te rend si surpris,
GVILLOT.	GUILOT.
Rien, auez-vous fait auec Beatrix?	Rien, avez-vous fait avec Beatrix?
CLIDAMANT.	CLIDAMANT.
Oüy, traiſtre, i’ay tout fait ce que i’y voulois faire, Pourquoy?	Oui, traître, j'ai tout fait ce que j'y voulais faire, Pourquoi?
GVILLOT.	GUILOT.
Ie ſortirois de peur de vous diſtraire.	Je sortirais de peur de vous distraire.
CLIDAMANT.	CLIDAMANT.
Et par quelle raiſon?	Et par quelle raison?
GVILLOT.	GUILOT.
Si chacun ſe méloit De faire ſa beſongne, ainſi qu’il le deuroit, Les Vaches bien ſouuent en ſeroient mieux gardées.	Si chacun se mêlait De faire sa besongne, ainsi qu'il le devrait, Les Vaches bien souvent en seraient mieux gardées.
CLIDAMANT.	CLIDAMANT.
Dou te rimient maraut, ces fantaſques idées?	Dou te rimient maraud, ces fantasques idées?
Me feras-tu touſiours des contes d’animal?	Me feras-tu toujours des contes d'animal?
Ie ne te dis rien, mais.	Je ne te dis rien, mais.
GVILLOT.	GUILOT.
Mais chacun ſent ſon mal;	Mais chacun sent son mal;
Monſieur, contentez-vous de voir voſtre Maiſtreſſe.	Monsieur, contentez-vous de voir votre Maîtresse.
Et ne muguetez point celle que ie careſſe:	Et ne muguetez point celle que ici caresse:
A ce que ie puis voir, vous trouuez tout fort bon, Et Dame, & Demoiſelle, & Suiuante, & Soüillon, Vous mettez tout en œuure;	À ce que ici puis voir, vous trouvez tout fort bon, Et Dame, et Demoiselle, et Suivante, et Souillon, Vous mettez tout en œuvre;
ah!	ah!
la peſte, quel drolle, Auecques ſes douceurs comme il les affriolle.	la peste, quel drolle, Avecques ses douceurs comme il les affriolle.
En leur diſant mon cœur, tu n’as rien que de beau, Il vous les fait venir donner dans le panneau;	En leur disant mon cœur, tu n'as rien que de beau, Il vous les fait venir donner dans le panneau;
Mais ces beaux mots n’eſtant que des billeueſées, Ces pauures filles, ſont des filles abuſées.	Mais ces beaux mots n'étant que des billeuesées, Ces pauvres filles, sont des filles abusées.
Mõ Maiſtre, s’il vous plaiſt, renguainez vos douceurs, Ne vous en ſeruez plus, ſi ce n’eſt pour nos ſœurs, &i l’on m’a fait cocu, pour mon malheur, en herbe Il n’eſt pas de beſoin que le ſois en gerbe.	 Maitre, s'il vous plaît, renguainez vos douceurs, Ne vous en servez plus, si ce n'est pour nos sœurs, eti l'on m'a fait cocu, pour mon malheur, en herbe Il n'est pas de besoin que le sois en gerbe.
CLIDAMANT.	CLIDAMANT.
– Pour la voir auec moy, tu te faches, Guillot?	 Ne la voir avec moi, tu te faches, Guillot?
GVILLOT.	GUILOT.
Ie ne trouue pas bon que vous me faſſiez ſot.	Je ne trouve pas bon que vous me fassiez sot.
CLIDAMANT.	CLIDAMANT.
clolsrtu qu'ele loit line a falre vne totme.	clolsrtu qu'elle loit line a falre une totme.
GVILLOT.	GUILOT.
Ie ne ſçay, vous ſçauez ſi bien comme on courtiſe, Que malheureuſement pour me faire enrager, Vous pourriez la reduire à l’heure du Berger;	Je ne sais, vous savez si bien comme on courtise, Que malheureusement pour me faire enrager, Vous pourriez la réduire à l'heure du Berger;
Puis ie ſerois gaſté, cela n’eſt rien qui vaille, Par ce qu’en me gaſtant, vous gaſteriez ſa taille, Et ſi i’allois apres me charger de ſa peau, Ce ſeroit épouſer, & la Vache & le Veau.	Puissi serais gâté, cela n'est rien qui vaille, Par ce qu'en me gâtant, vous gâteriez sa taille, Et si j'allais après me charger de sa peau, Ce serait épouser, et la Vache et le Veau.
Non, ſi vous luy parlez, i’ay conclu dans mon ame, Qu’elle n’aura iamais l’honneur d’eſtre ma femme.	Non, si vous lui -même, j'ai conclu dans mon âme, Qu'elle n'aura jamais l'honneur d'être ma femme.
CLIDAMANT.	CLIDAMANT.
Daeir tonrque ihon arnour fano du corerda cen, Quand ie luy parleray, ce ſera pour ton bien, Et rien que pour toy ſeul.	Daéir tonrque hon arnour fano du corerda cen, Quand ie était parlerai, ce sera pour ton bien, Et rien que pour toi seul.
GVILLOT.	GUILOT.
Et qu’il ne vous déplaiſe, Vous vous embrazeriez ainſi qu’vne fournaiſe, Lors que vous la verriez;	Et qu'il ne vous déplaise, Vous vous embraseriez ainsi qu'une fournaise, Lors que vous la verriez;
fy de voſtre entretien, Fille qui vous verra, ne vaudra iamais rien Vous ſçauez tellement comme l’on les attrappe, Qu’il eſt bien mal-aiſé qu’aucune vous échappe:	fi de votre entretien, Fille qui vous verra, ne vaudra jamais rien Vous savez tellement comme l'on les attrape, Qu'il est bien malaisé qu'aucune vous échappe:
Deſlors que vous prenez voſtre ton doucereux, Vous les amadoüez, vous embalés des mieux, Et comme l’ennemy-iuré du mariage, Vous n’auez d’autre but qu’au ſeul concubinage, Et ſçauez ſi bien l’art de les perſuader, Que vous leur en donnez bien ſouuent à garder.	Délors que vous prenez votre ton doucereux, Vous les amadoüez, vous embalezez des mieux, Et comme l'ennemi-juré du mariage, Vous n'avez d'autre but qu'au seul concubinage, Et savez si bien l'art de les persuader, Que vous leur en donnez bien souvent à garder.
D’abord qu’il ſe rencontre aupres d’vne mignonne, Il la couue des yeux, le drolle la mitonne, Quand il voit à peu pres qu’il a trouué ſon fait, Mon galand ſans façon plante là ſon piquet, Et ne démord iamais d’aupres de la donzelle, Que de ſon cher honneur il n’ait la cuiſſe ou l’aiſle.	D'abord qu'il se rencontre auprès d'une mignonne, Il la couve des yeux, le drolle la mitonne, Quand il voit à peu pres qu'il a trouvé son fait, Mon galant sans façon plante là son piquet, Et ne démord jamais d'auprès de la donzelle, Que de son cher honneur il n'ait la cuisse ou l'elle.
Et ſi-toſt qu’il a fait de l’honneur de Cloris,	Et sitôt qu'il a fait de l'honneur de Cloris,
24 LES BARBONS Aux autres, me diteii, Guiliot, ceux-la tont pris,	24 LES BARBONS Aux autres, me ditei, Guiliot, ceux-la tont pris,
CLIDAMANT.	CLIDAMANT.
