ADONIS TRAGEDIE FRANCOYSE DE GABRIEL LE BRETON Niuernois, Seigneur de la Fon.	ADONIS TRAGÉDIE FRANÇOISE DE GABRIEL LE BRETON Nivernais, Seigneur de la Fon.
Etout cela qui boit les eaux du froit Strimon, E qui tient d'Erimant la plus proſonde roche Inez, tonnez, hurlez, accompaignez mon ceche Tuut bouillant de couroux.	Etout cela qui boit les eaux du froit Strimon, E qui tient d'Erimant la plus prosonde roche Inés, tonnés, hurlez, accompagnez mon cèche Tuût bouillant de courroux.
Auſi-tost qu’vn oyſean Pay, i’yray trouuer ce braue damoiſeau, Ee preudray de ſon ſang l’honneur de mon trothee.	Aussitôt qu'un oisean Pay, j'irai trouver ce brave damoiseau, Ée preudray de son sang l'honneur de mon trothée.
Ionme on voit quelques fois vne greſle Niphee laadroyer, dißiper les ſapius & buiſſens Ileſpoir iauniſſant des prochaiues moiſſoνs.	Ionme on voit quelques fois grêle Nyphée laadroyer, dissiper les sapius et buissens Ilespoir jaunissant des prochaiues moissoces.
auiiſle laboureur ſe rompant le viſage muire ſon eſtomach fait vn ſecond Orage, Acomme vne tigreſſe au Caſpien rocher Dant perdu ſes fans ne ceſſe de chercher luu legere beauconp que ſon macy Zephire.	auiisle laboureur se rompant le visage muire son estomacach fait second Orage, Acomme une tigresse au Caspien rocher Dant perdu ses fans ne cesse de chercher luu légère beaucon que son macy Zéphire.
fin prená le volleur, & ſoudain le deſclure Imille & mille parts, non aatremens auſai veux enragement contenter mon ſeucy.	fin prenait le volleur, et soudain le déclure Imille et mille parts, non aatremens auzay veux enragement contenter mon seuci.
en ne m’empeſchera que brulent ie ne volle I le negeux Caucas, ſur les glaces du Pole, Abiſnes d’enſer, au monde ſans couleur.	en ne m'empêchera que brûlent ie ne volle I lé geux Caucas, sur les glaces du Pole, Abînes d'enser, au monde sans couleur.
Et ſi le noir Iupin I'oppoſe àma deuleur, Sa femme, ſa maiſon, ſes trougueallesportieres, Ses vrnes & fureurs ne demourront entieres Ie fractaſſera iout.	Et si le noir Jupin J'oppose àma dévuleur, Sa femme, sa maison, ses trougueallesportieres, Ses vrnes et fureurs ne demourront entières Je fractassera jout.
DIANE.	DIANE.
Hé Mars mal conſoté.	Hé Mars mal consoté.
Il vaudroit beaucoup mieux dedans ton æil ſile Receuoir le ſommeil qu'eſchauffer les tenebres Deſanglots importuns & deplaintes fanebres.	Il vaudrait beaucoup mieux dedans ton æil síle Récevoir le sommeil qu'échauffer les ténèbres Desanglots importuns et déplaintes fanèbres.
Ainſi voit onen van le thoreau moins puiſſane Se cather és ſablons loin du pré verdiſſont, Et cedant au vainqueur ſon amante cornue Eſionner de ſes cris le deſert & la nue.	Ainsi voit on van le thoreau moins puissane Se cather ès sablons loin du pré verdissont, Et cédant au vainqueur son amante cornue Esionner de ses cris le désert et la nue.
MARS.	MARS.
O parques, ê fuſeaux, ó deftin maltiſſs, O chaos enfermé dont mon mal eſt iſſa.	Ô parques, êtes fuseaux, 5 destin maltisss, Ô chaos enfermé dont mon mal est issa.
Lai helas quel conſeil?	Lai hélas quel conseil?
que maintenant le dome Or qu’onme ſaict en tort ſi lajehement eaora.	que maintenant le dôme Or qu'onme sait en tort si lajehément eaora.
Que ie preſſe le lit & le mol trane ſam Sans rien eſfectuer de mon prem er deſſain?	Que était presse le lit et le mol trane sam Sans rien éfectuer de mon prem er dessain?
T nautre iouyra de ant ceste auit ſombre Du ſolide plaſir & ie n’auray que l'ombre Que i'endurece oeι) Ie ſeroninſencé De langus ſuc la pl ime aνα εἰς tαυr bleße C’eſtaſſame aux Peſſon decaudec deſſoasterre Εt ακx ουn, caετne qoι di Ous ioae geim Aune ſarg.	 Tautre jouira de ant cette avit sombre Du solide plas et été n'aurai que l'ombre Que j'endure oe) Je seroninsencé De langus suc la pl âme a longue tαυr blesse C'estassame aux Pesson décaudec dessoasterre , caετne ioae geim Aune sarg.
aime brot totpe le renpan.	aime brot totpe le renpan.
DIANE.	DIANE.
Mettom pour qu quetenpste.	Mettom pour qu' quetenpste.
beποα ειιιες	beποα été
Et ſi ta le permets que ton ame ſe plonge Partrop legerement en ce courroux amer, Srau-tu pas que Venus eſt ſille de la mer Pariure, variable, inconstante incertaine, Qu ſe tourne ſouuent à la premiere halaine.	Et si ta le permets que ton âme se plonge Partrop légèrement en ce courroux amer, Srav-tu pas que Venus est sille de la mer Pariure, variable, inconstante incertaine, Qu ' une souvent à la première halaine.
Donques tu deſirois estre ſeul fauocy.	Donc tu désirais être seul favoci.
Vient-sà qui fut premier d’Ecycine cheri?	Vient-à qui fut premier d'Écicine chéri?
Ne fiſſe pas Vulcan qui le foudremartelle, Anquel elle promiſt vne ſoy mutuelle, Et que iamais ſon cœur n’aymeroit changement, Toutesſois nous voyons conme fidellement Hle a depuis ce iour ſa promeße gardee.	Ne fisse pas Vulcan qui le foudremartelle, Anquel elle promît une soi mutuelle, Et que jamais son cœur n'aimerait changement, Toutessais nous voyons commè fidellement Hle a depuis ce jour sa promée gardée.
omtueien mapanmi pigtonsgdides Ltantres Idiens és foreſts, ſur le mont.	omptueien mapanmi pigtonsgides Ltantres Idiens ès forêts, sur le mont.
Oi à ſes appetus l’impudente ſemont Anchiſe le bouuier, maintenant elle eurage Apres ſon Adouis qui la tient en ſeruage.	Oui à ses appétus l'impudente semont Anchise le bouvier, maintenant elle eurage Après son Adouis qui la tient en servage.
Et toy meſme qui fais ainſi le faſpiſant Iu ſiais bienſi le for de Iemmos est peſant:	Et toi même qui fais ainsi le faspisant Ju siais biensi le for de Iemmos est pesant:
Vue ſalle putain imite la fortune Se monſtrant ſoniliere & tan oſt importune Ele chaſje les vus les auir' elle reçoit Et les mieux accomplis volage elle decoit Iamais l’enfant aiſlé ne ſe ſaoule de larmes Nyle braue ſoldas de ſanglantes alarmes, Ies abeilles de fleurs & la ſemme touſiouri Deſire pratiquer de nouuelles amours.	Vue salle putain imite la fortune Se montrant sonilière et tan ost importune Éle chas les vus les avir elle reçoit Et les mieux accomplis volage elle déçoit Jamais l'enfant aisé ne se saoule de larmes Nyle brave soldas de sanglantes alarmes, Jés abeilles de fleurs et la semme toujours Desire pratiquer de nouvelles amours.
Aiſi fauça Iadis Heleine Therapnee A l’Atride mineur ſa parolle donnee.	Ai sauda Jadis Hèleine Therapnee A l'Atride mineur sa parole donne.
De la vindrent außti mille & mille combars Ia Troyenne cite ſuſt renuerſee à b.	De la vindrent aussi mille et mille combars Ia Troyenne cite sût renversée à b.
us Hector meſme teiguit ſa poulciere natalle brefde là proceda la ruine totale De l'empire aſien taut ce mortel brandon.	us Hector mesme teiguit sa poulciere natalle brefde là proceda la ruine totale De l'empire asien taut ce mortel brandon.
Enfarcine les mors do vioil Iaomeden Or l’humain iugement merite quelque exeuſe Mau ie ue ſeay pourquoy ceſte fureus t’abaſe Ni le Roy Stigien, ni le diυncουτταr, Ni monfrere Phœbus à l’ombre d’vn laurier.	Enfarcine les mors do vioil Jaoméden Or l'humain jugement mérite quelque exeuse Mau ie se pourrai pourquoi cette fureus t'abase Ni le Roi Stigien, ni le diυncουτταr, Ni monfrere Phœbus à l'ombre d'vn laurier.
MARS.	MARS.
Iupiter encela nous ſert de porte enſeigne, A qui de meſines dards la poitrine encor ſeigue	Jupiter encela nous sert de porte enseigne, À qui de mesines dards la poitrine encor seigue
DIANE.	DIANE.
Iupiter en celanous menſtre euidemmeent Qu’estant mal aduerti ſon pouuoir il démeut!	Jupiter en canous menstre évidemmeent Qu'étant mal averti son pouvoir il démeut!
Pere pardonne moy, n’est-ce pas villenie Que tu plames au ciel vne troppe inſinie D’adulteres flambeaux, afin qu’il ſoit pole Comme le monde bas de ce feu dißtolu.	Père pardonne moi, n'est-ce pas villénie Que tu plames au ciel troppe insinie D'adultères flambeaux, afin qu'il soit pôle Comme le monde bas de ce feu disstolu.
Icymalgré Iunon l’ourſe Menalienne Là prend ſur l’Ocean flamme Oebdienne Des freres inuoquezt:	Icimalgré Junon l'ourse Ménalienne Là prend sur l'Océan flamme Oebdienne Des frères invoquezt:
& là reluit encor Le thoreau qui rauit la fille d’Agenor.	et là reluit encor Lé thoreau qui ravit la fille d'Agénor.
O pure chasteté, ô vertu ſans macule, Et-ce doncq' en ce point que chacun te reculle, Mais face Iupiter an ciel ce qu’il voudra Ce pendant que l’obſeur des bous m’apartiendra I'efpere de punir griefuement ceſte peste.	Ô pure chasteté, ô vertu sans macule, Et-ce donc en ce point que chacun te reculle, Mais face Jupiter an ciel ce qu'il voudra Ce pendant que l'obseur des bous m'appartiendra J'efère de punir griefuement cette peste.
MARS.	MARS.
O Race Iahoyde, ôlumiere celeste, Sœur du grand Apollon, & l'œil des palles nuicti, Tu me veux ſoulager en mes trisles ennuils.	Ô Race Iahoide, ôlumiere céleste, Sœur du grand Apollon, et l'œil des palles nuicti, Tu me veux soulager en mes trisles ennuils.
Humble ie te ſapply montaignere pacelle Par le laune carquois pendant à ton aiſſelle.	Humble assez te sappli montagne pacelle Par le laune carquois pendant à ton aisselle.
Par tes fermes garrots, par ta virginité Denne moy qu'Adonis ordement enſanté, Et ſallement nourry tombe mort ſur le ſable, Aeton eſprouua ton courroux implacable Calidon s’en repend.	Par tes fermes garrots, par ta virginité Denne moi qu'Adonis ordement ensanté, Et sallement nourri tombe mort sur le sable, Aéton éprouva ton courroux implacable Calidon s'en repend.
Niobe le ſentit & pour ſa fauce langue en roc ſe conuertit.	Niobe le sentit et pour sa fauce langue en roc se convertit.
DIANE.	DIANE.
Graliue arme- puiſſant tareques te m’inuite Dimaisr lemguon ſelon ſon demerise.	Gralive arme- puissant tareques te m'inuite Dimaisr léguon selon son demerise.
ACTE TROISIESME.	ACTE -TROISIÈME.
MONTAN.	MONTAN.
SILVIN, ADONIS, VENVS.	SILVIN, ADONIS, VENUS.
CVPIDON.	CUPIDON.
sſez & trop long temps ſor lenagse Aclec De Pallas veille nuit l'hiſtoire rechĺius Garde ſes uoirs luboux & paliſſan	ssez et trop long temps sor lénagse Aclec De Pallas veille nuit l'histoire rechius Garde ses uoirs luboux et palissan
rameaux, Dele ne vante plus tes eſclairans iumeaux:	rameaux, Dele ne vante plus tes éclairants jumeaux:
Et ſous l’ardeur du vin ô Menades rougies, Pardonnez à Bacchus & quitiez ſes Orgies:	Et sous l'ardeur du vin ô Ménades rougies, Pardonnez à Bacchus et quitiés ses Orgies:
Le peuple Cyprien à chanter mieux apris Honore à meilleur droit l’eſcumiere Cypris Mere de l’vniuers Ayne-ris, Cyteride, Deeſſe de beauté qui iamais ne ſe ride, Qui gouuerne la terre & le ciel radieux, Ia ſaincte volupté des hommes & des Dieux, Alme donne-plaiſir la nourrice fecende De tout cela qui nage és aluſmes de l’onde Qui gronde ſus l’obſeur des boſcages ramez Et couppe l’air hautain d’auirons emplumez Icy le mol Lephire auec ſes aiſlerettes Arroſe de Nectar les ioyeuſes fleurettes Inuitant au ſerain leurs doux Bigarremens Vous diriez que ce ſont perles ou diamans Eſmeraudes, rubis, Agates, & iacinthes Tant ſe vent embaſine les a viuement peintes, Iey le laboureur ſans beſche manier, Des dons de Triptoleme enrichit ſon grenier.	Le peuple Cychien à chanter mieux appris Honore à meilleur droit l'escumiere Cypris Mère de l'univers Aitris, Cystéride, Déesesse de beauté qui jamais ne se ride, Qui gouverne la terre et le ciel radieux, Ia sainte volupté des hommes et des Dieux, Alâme donne-plaisir la nourrice fecende De tout cela qui nage é lus ès aonde Qui me sus obseur de boscages ramez Et couppe l' on dauirons emplumez le mol Lephire auec ses y Arrose de a les ioyeuses fleurettes Inuitant au serain eur doux Es Vous diriez que ce sont perles ou diamans Mes, rubis, a, et iacinthes Tant se vent embasine les a viuement et, y le laboureur sans bêche manier, Des dons de Triptoleme enrichit son grenier.
Sans coutre, ny ratheau, & ſans getter ſemence Il poſſede gaillard le vray cor d'abondance Parmi le champ fleuri ſouz les vers Aubeſpins Gambadent fà & là lei cheureaux & lapins, Les Biches & les Cerſs, à lateſte ſuperbe, Se voyant raieunis folaſtrent deſſus l’herbe.	Sans coutre, ni ratheau, et sans getter semence Il possède gaillard le vrai cor d'abondance Parmi le champ fleuris sous les vers Aubespins Gambadent fà et là le cheureaux et lapins, Les Biches et les Cerss, à lateste superbe, Se voyant rajeunis folâtrent dessus l'herbe.
Iy d’amour laſcif gaſeuillent les ruiſſeaux Io ſont, bras à bras collez les arbriſieaux Et en tous mois de l’an, leurs branches maquerelles, Souſtiennent les baiſers des volantes femelles Tarins & roßignol, linotes, ou pinfons, Iauint rummiagepana nmaureuſes chanſons.	Iy d'amour lascif gaseuillent les ruisseaux Joù sont, bras à bras collés les arbrisieaux Et en tous mois de l'an, leurs branches maquerelles, Soutiennent les baisers des volantes femelles Tarins et roqignol, linotes, ou pinsons, Javint rummiagepana naureuses chansons.
Cela fait que du cœur tout ſoucy ie m’arrache.	Cela fait que du cœur tout souci même m'arrache.
S1L.	S1L.
Auverger plusherbu, la couleuure ſe cadhe.	Auverger plusherbu, la couleuure se cadhe.
MONTAN.	MONTAN.
Me plaindray-ie du mal qu’ore ie ne ſens point?	Me plaindrai-je du mal qu'ore ie ne sens point?
SIL.	SIL.
Il u'eſttemps de douloir, que la douleur nous point.	Il u'ests de douloir, que la douleur nous point.
MONTAN.	MONTAN.
Feleſ qui ſans peril du peril ſe lamente.	Feles qui sans péril du péril se lamente.
S1L.	S1L.
Pœyo leperileſegeſte egvente.	Pœyo lepérileségeste égente.
MONT.	MONT.
Voire mauil faadroit yiure touſieurs en pens	Voire mavil faadrait yivre toujours en pens
S1L.	S1L.
Ia crainte nous deſſent contre le ſort trompeur.	Ia crainte nous dessent contre le sort trompeur.
MONT.	MONT.
Rienne peut contre nous ſa puiſſance diuerſe.	Rienne peut contre nous sa puissance diverse.
611.	611.
Des pallais ſourciller æ les couppeaux il renvoie.	Des pallais sourciller æ les couppeaux il renvoie.
MONT.	MONT.
Ia caſe du pasteur ne le redoutte pas.	Ia case du pasteur ne le redoute pas.
SIL.	SIL.
Dupasteur & de Royil tallonne lespas.	Dupâteur et de Royil tallonne lespas.
MONT.	MONT.
Qi tombe de plus haut plus de peine il endere.	Qi tombe de plus haut plus de peine il endère.
11L.	11L.
Chacon eſgalloment trouue ſa peine dure.	Chacon égalloment trouve sa peine dure.
MONT.	MONT.
Ιεααιιιεεετε πειιιεέςβετεſtιmεst ven	Ιεααιιιεεετε πειιιεέςβετεstιmεst ven
S1E.	S1E.
Narci en est ieſmoin & lechaſſor corne.	Narci en est imoin et léchassor corne.
MONT.	MONT.
La deité nous ayme & tiont le ſort enbride.	La déité nous aime et tiont le sort enbride.
S11.	S111.
Ibausne peut garder le yaillans Eacide.	Ibausne peut garder le yaillants Éacide.
MONT.	MONT.
Qui priuera Venus de ſon gentil Adon?	Qui privera Venus de son gentil Adon?
511.	511.
Qelque piteux haſard que moim?	Qelque piteux hasard que moim?
uous ettendon.	uous ettendon.
MONT.	MONT.
Iuſiours nous ſorpronnons quand plus aiſes noui ſommes, Ceſt vn vice commun à la race des hommes.	Jusjours nous sorpronnons quand plus aises nouvi sommes, Cest un vice commun à la race des hommes.
811.	811.
Comme ſouuentesſois vu naure eſtranger pr le ſlots Adrians vole promps & leger, Ie ciel meſme ſe rit, la mer est ioute calme De ſes trauaox paſſez il emporte la palme, Pole ne ſe monslre à ſes væux diſcordant, I iriton, ſont pour loy, Neptuææ & ſon trident,	Comme souventessais vu naure étranger près le slots Afriants vole promps et léger, Je ciel même se rit, la mer est joute calme De ses travaox passez il emporte la palme, Pol ne se monslère à ses væux discordant, I iriton, sont pour loi, Neptuæ et son trident,
Etteus aflres benins, luy ſemblent ſaire eſcerue Tandis en vn clin d'œil vient la tempeſte forte.	Etteus afflres bénins, lui semblent zaïre escerue Tandis en un clin d'œil vient la tempête forte.
Meſlee de frimats, de ſeux, & de glacons, Qui pert le mannier en diuerſes facons, Elle rauiſt aux yeux le iour & les eſtoilles, Elle caſſe la hune, elle briſe les voilles, Ie nauire en morceaux vegue de toutes pars, Adoncques les rochers hideuſement eſpars:	Mêlée de frimats, de seux, et de glaçons, Qui pert le mannier en diverses façons, Elle ravit aux yeux le jour et les étoilles, Elle casse la hune, elle brise les voilles, Je navire en morceaux végue de toutes pars, Adoncques les rochers hideusement épars:
Ou morts, ou demy morts blanchiſſent ſur l'arens Tel eſt l’eſtat douteuxde ceſte vie humaine, Qui vient & s’en reua comme vn ſlot agité.	Ou morts, ou demi morts blanchissent sur l'arts Tel est l'état douteuxde cette vie humaine, Qui vient et s'en reva comme un sot agité.
Nul ne ſe doit fier à la ſelicité, S’il voit qu’a bonne ſin ſes aſſaires procedent:	Nul ne se doit fier à la selicité, S'il voit qu'a bonne sin ses assaires procèdent:
Car miſere & plaiſir l’vn à l’autre ſuccedent:	Car misère et plaisir l'Hommes à l'autre succèdent:
Ie mal eſt plus certain, & ne ſaut qu’vn monqu, Pour changer not plaiſirs en penible ieurment, Or bien que tous les dieux ſe facent recognoſſre Propices enuers nous, qui s’oſeroit promettre Vn demain aſſeuré meſme ſouuent la nuict Apres le iour heureux dommageable nous ſait.	Je mal est plus certain, et ne saut qu'un monqu, Pour changer not plaisirs en pénible jeurment, Ô bien que tous les dieux se facent reconnossre Propices envers nous, qui s'oserait promettre Un demain asseuré même souvent la nuit Apres le jour heureux dommageable nous sait.
Ie doubte de ma part Ie tremble ie friſſonne, N’as-tu pas emendu comme la voix ſelom De nos cluens aboyans ceſte nuit retentoit, Quand le Cirinien ſon ardeur alentoit.	Je doute de ma part Je tremble on frissonne, N'as-tu pas emendu comme la voix selom De nos cluments aboyants cette nuit retentait, Quand le Cirinien son ardeur alentait.
Ne voys tu le ſoleil à la face plombee, Conduire ce mAin ſa charetté courbee:	Ne vois tu le soleil à la face plombée, Conduire ce mAin sa chareté courbe:
Au ventre pluuieux des nuaux obſcurcis?	Au ventre pluvieux des nuaux obscurcis?
Sommes nous aucuglez, ſommes nous endurcu?	Sommes nous aucuglez, sommes nous endurcu?
Voulons nous perſistant en ce vouloir proſane Ericine ſeruir, & meſpriſer Diane?	Voulons nous persistant en ce vouloir prosane Ericine servir, et mépriser Diane?
Nos dogues eſperdus, nos rets entrebreuillez, Nos corps, & nos eſpicux terniſſent enreullez Que veut dire cela?	Nos dogues éperdus, nos rets entrebreuillez, Nos corps, et nos épicux ternissent enreullez Que veut dire cela?
ne ſont-ce pas les marquei, Pour iugerle deſſain des menaſſantes Parqrest Vn vigneron cegnoit le pere bromien, Tunautonnier meüillé le mol Saturnien, Iy Pallas ny Ceres ne ſe veulent trompees Du ruſtre qui les aime & les vierges Napees.	ne sont-ce pas les marquei, Pour jugerle dessain des menaçantes Parqrêt V vigneron cegnait le père bromien, Tunautonnier meüillé le mol Saturnien, Ii Pallasrit Ceres ne se veulent trompes Du rustre qui les aime et les vierges Napes.
haſſeurs nous oublions nous & noſtie devoir.	hasseurs nous oublions nous et nostie devoir.
ADONIS.	ADONIS.
Haſtez vous mes amis.	Hâtez -vous mes amis.
Il nous ſaut receuoir Pluſirs en nos labeurs.	Il nous saut recevoir Plusirs en nos labeurs.
Grimpez ſur ces mõtagnes.	Grimpez sur ces montagnes.
Deſcendez aux Vallons, courez par ces campagnes Pauironnez ſoudain las bois Idaliens.	Descendez aux Vallons, courez par ces campagnes Pavironnés soudain las bois Idaliens.
mn porte ſur ſon dos les rets & les liens, auire d’vn fort eſpicu la dextre ſe muniſſe, mnacun joibanigem inte uu tataite Li ſera moins hardy ſon are debandera.	mn porte sur son dos les rets et les liens, avire d'un fort espicu la dextre se munisse, mnacun joibanigem inte u tataite Li sera moins hardi son are débandera.
Ade vaine frayeur la beſte eſtancera.	Ade vaine frayeur la bête étancera.
Erceluy de qui l’ame à gros bouillons eſcume, aſſaudra corps à corps le Lion quand il fume, Imié de deſpit:	Ercelui de qui l'âme à gros bouillons écume, assaudra corps à corps le Lion quand il fume, Imié de dépit:
Sus baſtez vous enfans Di que le iour nouueau de ſes rais eſchaiſſans, Tace les odeurs qu’vne iambe ſauuage mprime ſautelant parmy le gay fleurage:	Sus bâtez vous enfants Di que le jour nouveau de ses rais eschaissans, Tace les odeurs qu'une jambe sauvage mprime sautelant parmi le gai fleurage:
1z l’occaſion ear la trace ſe pert, Abaſant le naſeau du limier plus expert Deſſez moy ces leurons & d’houlcines aiguës, Lonenez en chemin leurs voltes ambiguës Ifn de les induire à ceſt œuure entrepris rompez leur ieune groin au ſang du lieure pris.	1z l'occasion épar la trace se pert, Abasant le naseau du limier plus expert Des moi ces leurons et d'houlcines aigues, Lonenez en chemin leurs voltes ambigues Ifnf de les induire à cette œuvre entrepris rompez leur jeune groin au sang du lièvre pris.
Pel murmure quel vent furieux ſe deiborde, Pi tellement eſmeut la ciuille diſcorde, Ei cheſnesheriſſez, & les fait esbranler?	Pel murmure quel vent furieux se déiborde, Pi tellement émut la civille discorde, Ei chesnesherissez, et les fait ébranler?
Rel orage mutin eſcarmouche dans l’air.	Rel orage mutin escarmouche dans l'air.
Prout-ce point hel as quelque mauuais indice?	Prout-ce point hél as quelque mauvais indice?
Pous veulez ô Dieux qu’a ce coup ie periſſe O moins que mon treſpas ne ſoit tant abbregé O dieux permettez moy que ie prenne congí, De l’œil ambroſien, de la bouche ſuccree, De la diue à qui i’ay mon ame conſacres, Si ie ſuis preuenu des ſiniſtres destins, O couſtaux, ô taillis, ô fleuues argentins, Dites en ma faueur, aux graces immortelles Que mort ſouz le cercueil i’auray memoire d'ellt Mourir?	Pous veulez ô Dieux qu'a ce coup ie promisse Ô moins que mon trépas ne soit tant abrégé Ô dieux permettez moi que sans prenne congoût, De l'œil ambrosien, de la bouche succre, De la dive à qui j'ai mon âme consacres, Si tu suis prévenu des sinistres destins, Ô coustaux, taillis, ô fleuves argents, Dites en ma faveur, aux grâces immortelles Que mort souz le cercueil j'aurai mémoire d'ellt Mourir?
helas!	hélas!
pourquoy ay-ie ſediieux Prouoquétant ſoit peu la vengeance desciur, En moy l’ambuion n’exerce ſon cmpire Iabandonne la court de mon pere Qynire Abhorrans des palais, les enragez.	pourquoi ai-je sédiieux Prouoquétant soit peu la vengeance desciur, En moi l'ambuion n'exerce son cmpire Jabandonne la court de mon père Qinire Abhorrants des palais, les enragez.
Demous, Ie ficquente les bois, les rochers, & les monti, Il eſt vray que Cypris commande à ma ieneſé.	Demous, Je ficquente les bois, les rochers, et les monty, Il est vrai que Cypris commande à ma ienes.
He!	He!
dieu qui n’aymeroit vne telle deeſſe.	dieu qui n'aimerait une telle déesse.
Mais on n’attend que moy, Maisl’a rωn reſm E les chiens accouplez m’appellent mainines	Mais on n'attend que moi, Maisl'a ramn rém È les chiens accouplez m'appellent mainines
CVPIDON.	CUPIDON.
O ledos, s lateste, é main appeſantie dupiter au ſecours, ma mere me chaſtie,	Ô ledos, s lateste, é main appesantie dupiter au secours, ma mère me châtie,
TENVS.	TENUS.
Fapois bomefin!	Fapais bomefin!
SVTIDON.	SUTIDON.
Heluie vousſeppli.	Héluie vousseppli.
Eapetit impudent.	Eapétit impudent.
VINVS.	VINUS.
EVFIDON.	EUFIDON.
Metez teus eneubly.	Métez tu eneubli.
VENVS.	VENUS.
Peste, rage, malheur, du haut & bus repaire.	Peste, rage, malheur, du haut et bus repaire.
CVPIDON.	CUPIDON.
Ie vous requiers pardon à deux genoux mamere.	Je vous requiers pardon à deux genoux mamère.
VENVS.	VENUS.
La tiran deſloyal ma tropſimple bonté, Eſt cauſe je le vois de ton impieté.	La tyran déloyal ma tropsimple bonté, Est cause je le vois de ton impiété.
Tun'es point mon enfant, ie n’ay point ſouuenaueu D'auoir iamais conceu tel, horrible ſemence.	Tun'es point mon enfant, je n'ai point souvenaveu D'avoir jamais conçu tel, horrible semence.
lleſſer ainſi ta mere & la traiter ainſi?	llesser ainsi ta mère et la traiter ainsi?
Iua te ſis iamais, c’eſt le cahos noircy, Iurongnes le filet des fatales quenouilles.	Jua te sis jamais, c'est le cahos noirci, Jurongnès le filet des fatales quenouilles.
A pillerles citez, iu ſaccages, in brouilles, A conuertis en ſang les vagues de la mer, Anſi qu’vn ſeu gregeoistu peux l’onde allumer, Ia n'entend que ſouſpirs quelque part ou tu volles Da meſchant vouloir deſſous belles parolles, u paaures animaux piequez de tafureur lempliſſont en bramant leur çauerned horreur, mui ſ’vniuer, ſe plaint on m’appelle, on m'inuoque, tpour te pardonner on dit que ie me mocque.	À piller citez, ju saccages, in brouilles, A convertis en sang les vagues de la mer, Ansi qu'un seu grègeaistu peux l'onde allumer, Ia n'entend que soupirs quelque part ou tu volles Da méchant vouloir dessous belles paroles, paaures animaux piequez de tafureur lemplissont en bramant leur çauerned horreur, vniuer, se plaint on appelle, on m'invoque, tpour te pardonner on dit que ie me mocque.
a ſolle que ie ſaus, ſolle ſuu-ie vrayment le voir tamauuaistié croiſtre ſi longucment.	a solle que ie saus, solle suais-je vraiment le voir tamauaistié croître si longucment.
Ienſant a mesſait à bon droit on eſtime uulpableiles parens.	Jensant à messait à bon droit on estime uulpableiles parents.
Car à eux eſt le crime 2 Qu'ils peuuent corriger.	Car à eux est le crime 2 Qu'ils peuvent corriger.
Voyez ce faux garpon Voyez comment il ſçait faindre ſa paſtion!	Voyez ce faux garpon Voyez comment il sait feindre sa pastion!
Sçait iltirer de l’eau d’vne tuile ſeichee.	Sait -iltirer de l'eau d'une tuile seichée.
Que maudit ſoit le iour que ie ſus acçouchee D'vn veninſi farde:	Que maudit soit le jour que je sus acçouchee D'un veninsi farde:
va t’en poiſoninſect:	va -t-en poisoninsect:
Neme croiſe les bras, va i’en d’icy, c’eſt ſaict.	Neme croisse les bras, va j'en d'ici, c'est sait.
Retiretoydicy, de peur que ta ſacelle, Par ſa contagion encor ne m’enſorcelle.	Retiretoidici, de peur que ta sacelle, Par sa contagion encor ne m'ensorcelle.
CVPIDON.	CUPIDON.
Quil chemin eſt meilleur, où prendray-ie mue A qui d’oreſnauant auray-je men recouri?	Quil chemin est meilleur, où prendrai-je mue À qui d'oresnavant aurai-je men recouri?
Qui plus me pignera ma cheuelure rouſſe, Qui derera mes traits, qui fourbira ma trouſſe!	Qui plus me pignera ma chevelure rousse, Qui déréra mes traits, qui fourbira ma trousse!
Tu dois bien Cupidon tes plumes arracher.	Tu dois bien Cupidon tes plumes arracher.
Que feray-ie pauuret, ou m’iray-ie cacher.	Que ferai-je pauvret, ou m'irai-je cacher.
Ia raiſon me deffaut, Mes ſens ſont du tout me Ià le pere tonuant ſe ſouuient de ſes cornes.	Ia raison me défaut, Mes sens sont du tout me Ià le père tonvant se souvient de ses cornes.
Si ie retourne au ciel ie m’en repentiray, Et demes ennemis la ſable ie ſeray, Ie n’oſerois ſonder les campagnes humides Où mon traict violent perce les Nereides:	Si grande retourne au ciel ie m'en repentirai, Et dèmes ennemis la sable était serai, Je n'oserais sonder les campagnes humides Où mon traict violent perce les Nérides:
Là Phouques, & Dauphins en ma flamerotil Ianguiſſent au giron de la froide Thetis.	Là Phouques, et Dauphins en ma flammerotil Janguissent au giron de la froide Thétis.
De Buiſſon en Buiſſonie tray nerois ma peine Auecques les moigneaux.	De Buisson en Buissonie trai nerais ma peine Avecques les moigneaux.
Mais quoy la tamt plaine D’amoureuſe piié, les herbes & les fleuri, Le chant des oyſelets ſouſpire mes chaleurs.	Mais quoi la tamt plaine D'amoureuse piié, les herbes et les fleuri, Le chant des oiselets soupire mes chaleurs.
Ce groſtier element coutre moy ſe deſpute.	Ce grôtier élément coutre moi se députe.
L’air m’eſt iniurieux, l’onde m’eſt interdite.	L'air m'est injurieux, l'onde m'est interdite.
Terre creueton ſein des hommes le tombeau Precipitant dedans mon corps & mon flambe qieupy les auevale pentes	Terre crueton sein des hommes le tombeau Précipitant dedans mon corps et mon flambe qieupi les avevale pentes
