SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
Enfin ma triſte humeur ſe laſſant de veiller, Appeſantit mes ſens, & me fait ſommeiller:	Enfin ma triste humeur se lassant de veiller, Appesantit mes sens, et me fait sommeiller:
A peine vn doux repos ſe couloit dans mes veines Qu’helas ce meſme object renouuelle mes peines!	À peine vn doux repos se coulait dans mes veines Qu'hélas ce même object renouvelle mes peines!
Il m’a ſemblé d’abord qu’errant proche des flots Ie montois vn eſcueil funeſte aux matelots, Qui s’auançant dans l’onde en montre l’eſtendus, Eſcueil, endroit fatal, où ie m'eſtois renduë, Quand Melindor ſortant de ma douce priſon le mn M’abandonna mourante & changea d’Oriſon.	Il m'a semblé d'abord qu'errant proche des flots Je montais un écueil funeste aux matelots, Qui s'avançant dans l'onde en montre l'étendus, Écueil, endroit fatal, où Se m'étais rendue, Quand Melindor sortant de ma douce prison le m 'abandonna mourante et changea d'Orison.
De là tendant les yeux i’apperçoy le tonnerre, ſeaux Qui d’vn bruit eſclattant faiſoit trembler la terre;	De là tendant les yeux j'aperçois le tonnerre, seaux Qui d'un bruit éclatant faisait trembler la terre;
iſe, iicauet embrajedexefoluntougeſſans, Qui perçoiẽt l’ombre morne & les flots mugiſſans;	ize, jicauet embrajedexefoluntougessants, Qui perçaient l'ombre morne et les flots mugissants;
Les vagues s’eſleuer en montagnes affreuſes, Puis abaiſſer leur courſe en cauernes ſi creuſes, que de leurs mouuemens les combats furieux	Les vagues s'élever en montagnes affreuses, Puis abaisser leur course en cavernes si creuses, que de leurs mouvements les combats furieux
De meſme onde arrouſoiẽt les Enfers & les Cieux Et parmy la tourmente außi toſt ie remarque Melindor s’affligeant au deſſus d’vne barque, Tout triſte & deſolé m’apparoiſt mon Amant, De ces meſmes diſcours Neptune reclamant:	De même onde arrosaient les Enfers et les Cieux Et parmi la tourmente aussi tôt quelque remarque Melindor s'affligeant au dessus d'une barque, Tout triste et désolé m'apparaît mon Amant, De ces mêmes discours Neptune reclamant:
O puiſſant pieu de l’onde, ô ſouuerain Neptune, Qui, tenant cét Empire y conduis la fortune, Toy dont le grãd Trident d’vn pouuoir merueilleur Peut à l’inſtant calmer tant de flots orgueilleux, nonne vn peu de ſilence, appaiſe la tempeſte, Et du profond de l’onde eſcoute ma requeſte.	Ô puissant pieu de l'onde, ô souverain Neptune, Qui, tenant cet Empire y conduis la fortune, Toi dont le grand Trident d'un pouvoir merveilleur Peut à l'instant calmer tant de flots orgueilleux, nonne un peu de silence, apaise la tempête, Et du profond de l'onde écoute ma requête.
nieu des flots mariniers, l’eſpoir qui me conduit N’eſt point ſur les threſors que l’Orient produit;	nieu des flots mariniers, l'espoir qui me conduit N'est point sur les trésors que l'Orient produit;
I’auois pour ſeul object m'éloignant du riuage Vne aimable Bergere au Printemps de ſon âge, nont la faſcheuſe abſence & le doux ſouuenir M’ont deffendu d’attẽdre vn temps calme à venir.	J'avais pour seul object m'éloignant du rivage Une aimable Bergère au Printemps de son âge, nont la fâcheuse absence et le doux souvenir M'ont défendu d'attendre un temps calme à venir.
Que ſi iamais d’amour la chere freneſie D’vn ſujet merueilleux toucha ta fantaiſie, pieu, permets qu'aujourd’huy i'euite le treſpas, Pour voir auant mourir ſes glorieux appas.	Que si jamais d'amour la chère frénésie D'vn sujet merveilleux toucha ta fantaisie, pieu, permets qu'aujourd'hui j'évite le trépas, Pour voir avant mourir ses glorieux appas.
Mais helas!	Mais hélas!
ſi ton cœur demeure impitoyable, S’il me faut rendre l’ame en ton onde effroyable,	si ton cœur demeure impitoyable, S'il me faut rendre l'âme en ton onde effroyable,
* le arque verq Ima ant Tortune Ie vous conjure, ô vents, pouſſez-moy dãs ces bords, Cydippe d’auanture ayant trouué mon corps Eſpanchera des pleurs me voyant ſi fidelle, Que meſme apres la mort ie retourne vers elle.	* le arque verq Ima ant Tortune Je vous conjure, ô vents, poussez-moi dans ces bords, Cydipe d'aventure ayant trouvé mon corps Épanchera des pleurs me voyant si fidèle, Que Seigneur après la mort quelque retourne vers elle.
Lors me ſemble auoir veu l’Ocean applani;	Lors me semble avoir vu l'Océan applani;
Par de ſi doux accens l’orage s’eſt banni;	Par de si doux accends l'orage s'est banni;
Les vents qui murmuroient d’vne courſe incertaine Font ceſſer pour l’ouïr le bruit de leur haleine;	Les vents qui murmuraient d'une course incertaine Font cesser pour l'ouïr le bruit de leur haleine;
vileus.	vileus.
La foudre & les eſclairs brillans de toutes parts C ge Adoucis par ſa plainte ont retenu leurs dards;	La foudre et les éclairs brillants de toutes parts CY gé Doucis par sa plainte ont retenu leurs dards;
Tous les Chœurs aßẽblez des Nymphes Nereïdes Sortoient comme à l’enui de leurs antres humides;	Tous les Chœurs assurés des Nymphes Nereïdes Sortaient comme à l'envi de leurs antres humides;
Et meſmes les eſcueils auparauant couuerts S’eſleuoient deſſus l’onde animez par ces vers.	Et mêmes les écueils auparavant couverts S'élevaient dessus l'onde animés par ces vers.
onág.	ong.
, Si bien que mon Berger, qu’vn doux Zephyre apſoueni proche, i" M’aperçoit & m’aborde au pãchant d’vne roche;	, Si bien que mon Berger, qu'un doux Zéphyre apsoueni proche, y" M'aperçoit et m'aborde au penchant d'une roche;
Me diſant ma Cydippe vn perfide élement S’offenſoit que mon cœur t’aimaſt fidellement:	Me disant ma Cydipe un perfide élément S'offensait que mon cœur t'aimât fidèlement:
Ses Dieux meſmes ialoux de l’amoureuſe flame, Que ta grace diuine allume dans mon ame, Eſſayans de l’eſteindre aſſembloient leur effort, Mais tes puiſſans regards m'ont conduit en ce port:	Ses Dieux mêmes jaloux de l'amoureuse flamme, Que ta grâce divine allume dans mon âme, Essayant de l'éteindre assemblaient leur effort, Mais tes puissants regards m'ont conduit en ce port:
Car tes yeux dont l’Amour ſes merueilles augmẽte Bien mieux que le Soleil ont calmé la tourmente.	Car tes yeux dont l'Amour ses merveilles augmẽte Bien mieux que le Soleil ont calmé la tourmente.
Or luy voulant reſpondre vn ſubit changement Arreſte mon diſcours, trouble mon iugement:	Or Seigneur voulant répondre un subit changement Arrête mon discours, trouble mon jugement:
I’ay veu tomber des Cieux le Soleil morne & ſombre, Tomber à longs rayons des eſtoiles ſans nombre, La nuict d’vn voile obſcur a noircy l’Vniuers, I’ay perdu mes brebis deſſus nos couſtaux verds, Par l’eſclat murmurant d’vn furieux orage, qui rompoit le ſilence & dißipoit l’ombrage.	J'ai vu tomber des Cieux le Soleil morne et sombre, Tomber à longs rayons des étoiles sans nombre, La nuit d'un voile obscur a noirci l'Univers, J'ai perdu mes brebis dessus nos coûtaux verts, Par l'éclatlivrant d'un furieux orage, qui rompait le silence et disipait l'ombrage.
Mes ſens auoient receu tant de confuſion, que perdant de frayeur ma triſte viſion Ie cherche mon Amant, ie cours à la feneſtre, Où l’Aurore vermeille eſtoit proche de naiſtre:	Mes sens avaient reçu tant de confusion, que perdant de frayeur ma triste vision Je cherche mon Amant, ie cours à la fenêtre, Où l'Aurore vermeille était proche de naître:
Là regardant le Ciel de feux eſtincelant, De regrets ſuperflus ie l’allois appellant.	Là regardant le Ciel de feux étincelant, De regrets superflus ie rallois apelant.
Tandis qu'en ma raiſon mon ſonge ſe figure, Vn oiſeau tenebreux, de malheureux augure, Fait vn cry ſur ma teſte en regrets finiſſant, Et redonne la geſne à mon cœur languiſſant.	Tandis qu'en ma raison mon songe se figure, Un oiseau ténébreux, de malheureux augure, Fait un cri sur ma tête en regrets finissant, Et redonne la gêne à mon cœur languissant.
C’eſt la viue douleur dont l’ennuy me tranſporte, qui peut faire du trouble en l’ame la plus forte.	C'est la vive douleur dont l'ennui me transporte, qui peut faire du trouble en l'âme la plus forte.
TASIONNEE.	TASIONE.
Dieux!	Dieux!
quel eſclat d’honneur, Berger ambicieux, – T’efface dans l’esprit nos champs delicieux?	quel éclat d'honneur, Berger ambicieux, efface dans esprit nos champs délicieux?
Ne veux-tu plus gouſter la douceur bocagere?	Ne veux-tu plus goûter la douceur bocagère?
As-tu mis en oubly l’amour de ta Bergere?	As-tu mis en oubli l'amour de ta Bergère?
Reuiens au doux ſejour des bois & des vergers, Adonis & Pâris furent ſimples Bergers, Pour garder les trouppeaux le beau-fils de Latone Voulut quitter les Cieux, & l’honneur de ſon thrône.	Reviens au doux séjour des bois et des vergers, Adonis et Pâtris furent simples Bergers, Pour garder les troupeaux le beau-fils de Latone Voulut quitter les Cieux, et l'honneur de son trône.
Mais quand ta voix mourante en me diſant Adieu Me conjura cent fois d’abandonner ce lieu, Ce fut ma faute, helas!	Mais quand ta voix mourante en me disant Adieu Me conjura cent fois d'abandonner ce lieu, Ce fut ma faute, hélas!
ie deuois pour te ſuiure Sortir de nos foreſts, ou ne deuois plus viure.	Je devais pour te suivre Sortir de nos forêts, ou ne devais plus vivre.
eneſtre, yu bruit de ton trespas les faſcheuſes douleurs uilte Ne m'eußẽt point cauſé des ſouspirs & des pleurs, Le ſommeil triſte & morne, où ma lãgueur ſe plõge, Ne ſeroit plus troublé des phantoſmes du ſonge;	enêtre, y bruit de ton trépas les fâcheuses douleurs uilte Ne m'eussent point causé des soupirs et des pleurs, Le sommeil triste et morne, où ma langueur se plõge, Ne serait plus troublé des phantômes du songe;
Et ceux que mes regrets ne ſçauroient émouuoir t N’auroient pas aujourd’huy cét injuſte pouuoir ant, ne me venir contraindre, humeur trop inhumaine!	Et ceux que mes regrets ne sauraient émouvoir t 'auraient pas aujourd'hui cet injuste pouvoir ant, ne me venir contraindre, humeur trop inhumaine!
Ant.	Ant.
D'espouſer Palemon, cet object de ma haine.	D'épouser Palemon, cet object de ma haine.
Mais parmi tant d’ennuis qui trauerſent mon ſort, Sent Le Ciel doux de pitié me laiſſe vn reconfort	Mais parmi tant d'ennuis qui traversent mon sort, Sent Le Ciel doux de pitié me laisse un réconfort
nt niuers & e Dans l’aimable entretien de la belle Cythere, Nymphe aux yeux des Bergers, & ſi belle & ſi chere.	nt niuers et e Dans l'aimable entretien de la belle Cythère, Nymphe aux yeux des Bergers, et si belle et si chère.
Ie m'enuay la conduire en nos vallons ſecrets, Sur nos couſtaux fleuris, à l’ombre des foreſts, Au lieu le plus commode à perdre mes triſteſſes Dans le plaiſir charmant de ſes douces careſſes.	Je m'envai la conduire en nos vallons secrets, Sur nos coûtaux fleuris, à l'ombre des forêts, Au lieu le plus commode à perdre mes tristesses Dans le plaisir charmant de ses douces caresses.
CHOEVR.	CHOEUR.
’Où vient que ce Printemps qui peint tant de couleurs Nous cauſe plus d’amours qu’il ne produit de fleurs, Et qu'on oit plus ſouuẽt quelque Amãt qui ſouſpire Que le bruit du Zephyre?	L'Où vient que ce Printemps qui peint tant de couleurs Nous cause plus d'amours qu'il ne produit de fleurs, Et qu'on oit plus souvent quelque Amand qui soupire Que le bruit du Zéphyre?
Les Tygres, les Lyons, de leurs cœurs rigoureux Oſtent la cruauté pour ſe rendre amoureux, Et ce bois s'eſt paré de verdure agreable Pour eſtre plus aimable.	Les Tigres, les Lyons, de leurs cœurs rigoureux Ostent la cruauté pour se rendre amoureux, Et ce bois s'est paré de verdure agréable Pour estre plus aimable.
O qu'Amour par ſon charme eſt le plus grand des Dieux!	Ô qu'Amour par son charme est le plus grand des Dieux!
Il eſtend ſon pouuoir en l’Empire des Cieux;	Il étend son pouvoir en l'Empire des Cieux;
Et le Tyran d’Enfer rend meſme obeïſſance	Et le Tyran d'Enfer rend même obéissance
A ſa douce puiſſance.	À sa douce puissance.
Quand Diane dans l’ombre eſlance ſes regards, Elle iette en chaſſant de moins rigoureux dards Aux trouppes d’animaux pleins de rage & de flames, Que l’Amour dans nos ames.	Quand Diane dans l'ombre élance ses regards, Elle jette en chassant de moins rigoureux dards Aux troupes d'animaux pleins de rage et de flammes, Que l'Amour dans nos âmes.
De ces dards la muſette, animant ſes doux ſons, Paſſe autant les accords des plus doctes chanſons, ue paſſe vn Roßignol qui vole en des boccages Ceux qu'on apprend en cages.	De ces dards la musette, animant ses doux sons, Passe autant les accords des plus doctes chansons, ue passe un Rognol qui vole en des bocages Ceux qu'on apprend en cages.
Dans les ſiecles futurs ceux qui voudront auoir Des effects amoureux le merueilleux ſçauoir, Les verront dans ces bois des beaux traicts qu'Amour porte, Grauez en rare ſorte.	Dans les siècles futurs ceux qui voudront avoir Des effets amoureux le merveilleux savoir, Les verront dans ces bois des beaux traits qu'Amour porte, Gravez en rare sorte.
ACTE SECOND.	ACTE SECOND.
SCENE I.	SCÈNE I.
CYDIPPE.	CYDIPE.
CYTHERE.	CYTHÉRE.
IVI CYDIPPE.	IVI CYDIPE.
A Cythere aujourd’huy de ſi fermes liens Mes ſouhaits ont vny tes plaiſirs & les miens, Que ſi tu n'eſtois plus, ie n’aurois plus d’enuie D’allonger d’vn moment la courſe de ma vie.	À Cynthère aujourd'hui de si fermes liens Mes souhaits ont uni tes plaisirs et les miens, Que si tu n'étais plus, je n'aurais plus d'envie D'allonger d'un moment la course de ma vie.
Cund tu n'as point connu mon bon-heur plus conſtant, Moins durable qu’vn ſonge il s’enfuit à l’inſtant;	Cund tu n'as point connu mon bonheur plus constant, Moins durable qu'un songe il s'enfuit à l'instant;
Que ie treuue d’appas en noſtre intelligence!	Que quelque trouve d'appas en notre intelligence!
Helas!	Hélas!
i’ay tout perdu ſinon ta confidence.	j'ai tout perdu sinon ta confidence.
Si mon Amant dans l’onde a vaincu le danger, Il ſouſpire, & languit ſur vn bord eſtranger, Et me laiſſe incertaine en quelle part du monde La fortune conduit ſa courſe vagabonde.	Si mon Amant dans l'onde a vaincu le danger, Il soupire, et languit sur un bord étranger, Et me laisse incertaine en quelle part du monde La fortune conduit sa course vagabonde.
Et pour comble d’ennuis vn malheureux demon Pouſſe tous mes parens à choiſir Palemon, Pour en croiſtre aujourd’huy le bien de leur famille, Se voulans enrichir du malheur d’vne fille:	Et pour comble d'ennuis un malheureux démon Pousse tous mes parents à choisir Palemon, Pour en croître aujourd'hui le bien de leur famille, Se voulant enrichir du malheur d'une fille:
Deſia les conuiez font retentir leurs voix, Et le vilage dance aux accords des haut-bois.	Déjà les conviés font retentir leurs voix, Et le vilage dance aux accords des haut-bois.
De ce malheur panchant la faſcheuſe nouuelle Me va perçant le cœur d’vne atteinte mortelle:	De ce malheur penchant la fâcheuse nouvelle Me va perçant le cœur d'une atteinte mortelle:
I'yray dans le tombeau pluſtoſt qu'y conſentir, Si nul autre moyen ne m'en peut garentir.	J'irai dans le tombeau plutôt qu'y consentir, Si nul autre moyen ne m'en peut garantir.
CTTHERE.	CTTHÉRE.
Cydippe les regrets que mon deſtin m'enuoye Ne peuuent donner place aux doux moments de ioye, Mon ame eſt touſiours triſte & ſans nul reconfort Depuis vn accident qui me tourmente fort.	Chydippe les regrets que mon destin m'envoie Ne peuvent donner place aux doux moments de joie, Mon âme est toujours triste et sans nul réconfort Depuis un accident qui me tourmente fort.
CYDIPPE.	CYDIPE.
Ne m'aimes-tu donc plus?	Ne m'aimes-tu donc plus?
me l’as-tu voulu taire?	me l'as-tu voulu taire?
Que ton humeur deuient penſiue & ſolitaire.	Que ton humeur devient pensive et solitaire.
C iij	Ç Cijà
CYTHERE.	CYTHÉRE.
Ma Cydippe à ce coup t’en veux-ie entretenir, Combien que ce diſcours bleſſe mon ſouuenir.	Ma Cydipe à ce coup t'en veux-je entretenir, Combien que ce discours blesse mon souvenir.
Tu connoiſſois Cloris, nos foreſts l’ont connuë, Cloris de façon douce & d’humeur retenuë, (lis, Ieune Nymphe aux yeux bleus, & d’appas embelDont la fin fut contraire aux mœurs d’Amaryllis.	Tu connaissais Cloris, nos forêts l'ont connue, Cloris de façon douce et d'humeur retenue, (lis, Jeune Nymphe aux yeux bleus, et d'appas embeldont la fin fut contraire aux mœurs d'Amaryllis.
Vn matin i'emmenay cette aimable compagne Pres de l’onde marine au pied d’vne montagne.	Un matin j'emmenai cette aimable compagne Pres de l'onde marine au pied d'une montagne.
Au murmure des flots elle & moy diſcourant Nous voyons vn Berger paſle, triſte & mourant, Berger nommé Daphnis, merueilleux a la dance, Parent de Lucilys, mais parent d’alliance.	Au murmure des flots elle et moi discourant Nous voyons un Berger pâle, triste et mourant, Berger nommé Daphnis, merveilleux a la dance, Parent de Lucilys, mais parent d'alliance.
Cét Amant enchanté des charmes de Cloris Surpaſſoit bien d’attraits les heureux fauoris, Qui ſouuẽt dans ſon cœur auoiẽt bien trouué place, Mais touſiours pour naphnis elle eut l’ame de glace, Soit qu’il vint d’auenture, ou qu’il ſuiuiſt nos pas Cturmtujrer à Cloris ſon rigoureux treſpas:	Cet Amant enchanté des charmes de Cloris Surpassait bien d'attraits les heureux favoris, Qui souvent dans son cœur avaient bien trouvé place, Mais toujours pour naphnis elle eut l'âme de glace, Soit qu'il vint d'aventure, ou qu'il suivît nos pas Cturmtujrer à Cloris son rigoureux trépas:
Quand il nous apperceut il s’afflige & s’eſcrie;	Quand il nous aperçut il s'afflige et s'écrie;
Nymphe ne t'enfuis plus, demeure ie te prie, Cloris ſourde à ma voix comme ce dur eſcueil, Donne à Daphnis mourant vn fauorable accueil.	Nymphe ne t'enfuis plus, demeure On te prie, Cloris sourde à ma voix comme ce dur écueil, Donne à Daphnis mourant un favorable accueil.
35	35
Pour toute recompenſe, helas!	Pour toute récompense, hélas!
ie te reclame De voir eſteindre icy ma lumiere & ma flame.	Ne te réclame De voir éteindre ici ma lumière et ma flamme.
Mais object merueilleux que i’ay tant deſiré, Puis qu'en mourant d’vn Dieu ie me ſens inspiré, Sçache ingratte Cloris, cauſe de mon ſupplice, Et toy ieune beauté, Cythere ſa complice, Ie perce le futur, comme l’œil le criſtal, Vos amours finiront par vn malheur fatal.	Mais object merveilleux que j'ai tant désiré, Puis qu'en mourant d'un Dieu ie me sens inspiré, Sache ingrate Cloris, cause de mon supplice, Et toi jeune beauté, Cythère sa complice, Je perce le futur, comme l'œil le cristal, Vos amours finiront par un malheur fatal.
Ainſi voulant ceder à ſa flame obſtinee, Il finit dans les flots ſa dure deſtinee.	Ainsi voulant céder à sa flamme obstinée, Il finit dans les flots sa dure destinée.
Or combien de Cloris le triſte euenement Rend tous mes ſens cõfus d’vn ſombre eſtonnemẽt, Preſqu'à peine les nuicts depuis cette infortune Receurent la clarté d’vne ſeconde Lune, qu’vn ſoir à ſes rayons au poinct du iour couché, Ramenant ſes brebis elle eut le cœur touche nes charmes de Thyrſis, qui conduiſant la belle D’vne pareille ardeur bruſla pour l’amour d’elle.	Or combien de Cloris le triste événement Rend tous mes sens confus d'un sombre étonnement, Presqu'à peine les nuits depuis cette infortune Récevrent la clarté d'une seconde Lune, qu'un soir à ses rayons au point du jour couché, Ramenant ses brebis elle eut le cœur touche nés charmes de Thyrs, qui conduisant la belle D'une pareille ardeur brûla pour l'amour d'elle.
Les antres, les valons, & les ſombres foreſts Souuent de leurs plaiſirs furent témoins ſecrets:	Les antres, les valons, et les sombres forêts Souvent de leurs plaisirs furent témoins secrets:
Mais on veit les douceurs de peu longue duree:	Mais on vit les douceurs de peu longue dure:
Car ce Thyrſis fuyant l’ardeur démeſuree, Proche de ſa Bergere, au profond d’vn valon,	Car ce Thyrs fuyant l'ardeur démesuree, Proche de sa Bergère, au profond d'un vallon,
Vn ſerpent qu’il foula luy perça le talon 2 D’vn venin ſi mortel que la force des charmes, Ny les herbes des monts, ny les vœux, ny les larmes, Dont la belle amoureuſe inuoqua tous les Dieux, Ne luy peurent ſauuer deuant ſes triſtes yeux.	Un serpent qu'il foula Seigneur perça le talon 2 D'un venin si mortel que la force des charmes, Ni les herbes des monts, ni les vœux, ni Se larmes, Dont la belle amoureuse invoqua tous les Dieux, Ne lui peurent sauver devant ses tristes yeux.
Cette Nymphe en ſa perte eut l’ame inconſolable, Iamais cœur n’a languy d’vne douleur ſemblable:	Cette Nymphe en sa perte eut l'âme inconsolable, Jamais cœur n'a langui d'une douleur semblable:
La clarté de l’Aurore, & du Soleil Couchant, La voyoit lamenter le viſage penchant Deſſus l’endroit funeſte où ce Berger repoſe, Telle que dans l’orage on remarque vne roſe;	La clarté de l'Aurore, et du Soleil Couchant, La voyait lamenter le visage penchant Dessus l'endroit funeste où ce Berger repose, Telle que dans l'orage on remarque une rose;
Et le ſoir quand les Cieux eſtoient tous obſcurcis Sur l’adieu lamentable aux ombres de Thyrcis, Denteiſeex peuse rercerotent ent fouret ſeconde, Iuſqu’alors que cinq fois la Lune eut paru ronde, Que de pleurs, de regrets, d'ennuis ſe conſommant Elle entra dans la tombe aupres de ſon Amant.	Et le soir quand les Cieux étaient tous obscurcis Sur l'adieu lamentable aux ombres de Tircis, Denteiseex peuse rercerotent ent fouret seconde, Jusqu'alors que cinq fois la Lune eut paru ronde, Que de pleurs, de regrets, d'ennuis se consommant Elle entra dans la tombe auprès de son Amant.
CYDIPPE.	CYDIPE.
Qu'on trouue peu d’amours de pareille conſtance.	Qu'on trouve peu d'amours de pareille constance.
CYTHERE.	CYTHÉRE.
Abandonner le monde eſt de grande importance:	Abandonner le monde est de grande importance:
Mais d’vn tel accident mes iours ſont menaceZ Cyaippe ce penfer rend ionx mes ſens glacez.	Mais d'autre tel accident mes jours sont menacés Cyaipe ce penser rend ion mes sens glacés.
CYDIPPE.	CYDIPE.
Aimes-tu Lucylis d’vne ardeur ſi durable?	Aimes-tu Lucilis d'une ardeur si durable?
CTTHERE.	CTTHÉRE.
ejovrlnaum qne montaur trcune feut agreable, Que la peur diuertit d’en faire aucun ſemblant.	ejovrlnaum qne montaur trcune feut agréable, Que la peur divertit d'en faire aucun semblant.
CYDIPPE.	CYDIPE.
Vn cœur eſt bien glacé qui touſiours va tremblant:	Un cœur est bien glacé qui toujours va tremblant:
Mais depuis trois moiſſons quelle exceßsiue crainte A tenu deuant luy ton viſage en contrainte?	Mais depuis trois moissons quelle excesssiue crainte A tenu devant lui ton visage en contrainte?
CYTHERE.	CYTHÉRE.
La haine dont mon pere eſt diuiſé du ſien M’a ſouuent deffendu ſon aimable entretien:	La haine dont mon père est divisé du sien M'a souvent défendu son aimable entretien:
Puis d’vn ſecond Berger faiſant vn ſi grand conte Peut-eſtre encore vn coup i'euſſe rougi de honte, Témoignant de l’amour aux appas d’vn Berger, Qui comme Melindor ſe fuſt monſtre leger.	Puis d'un second Berger faisant un si grand compte Peut-être encore un coup j'eusse rougi de honte, Témoignant de l'amour aux appas d'un Berger, Qui comme Melindor se fût montre léger.
CYDIPPE.	CYDIPE.
Melindor en ſon cœur t’aime & t’eſtime encore, Mais il eſt inconſtant.	Melindor en son cœur t'aime et t'estime encore, Mais il est inconstant.
CTTHERE.	CTTHÉRE.
Depuis deux ans paſſez.	Depuis deux ans passez.
CYDIPPE.	CYDIPE.
Melibe deuant toy M’a blaſmé d’inconſtance vne ſi pure foy.	Mélibe devant toi M'a blâmé d'inconstance une si pure foi.
CTTHERE.	CTTHÉRE.
Melibe à tort s’en plaint:	Mélibe à tort s'en plaint:
car quãd par Hymenee Dans la maiſon d’Amynte elle fut emmenee, La nuict de leurs baiſers & de leurs doux plaiſirs, Lors qu'Amynte eut perdu ſes violens deſirs, L’heure de leur ſommeil plus qu'à demy paſſee Pres du mary s’endort la femme bien laſſee Des tongs tranaux au tour, ou pluſtoſt de la nuit.	car quant par Hymene , Dans la maison d'Aminte elle fut emmène, La nuit de leurs baisers et de leurs doux plaisirs, Lors qu'Aminte eut perdu ses violents désirs, L'heure de leur sommeil plus qu'à demi passe-moie du mari s'endort la femme bien lassée Des tongs tranaux au tour, ou plutôt de la nuit.
CYDIPPE.	CYDIPE.
Cela n’importe, ailleurs ton ſujet te conduit.	Cela n'importe, ailleurs ton sujet te conduit.
CYTHERE.	CYTHÉRE.
Or Melibe s’endort, mais las!	Or Mélibe s'endort, mais las!
Amynte veille, Que la belle en ſongeãt baiſe & flatte à merueille, L’appellant Melindor d’accent flatteur & doux, Nom deſia bien ſuſpect à ce mary ialoux, Qui d’vn ſoupçon faſcheux s’eſtant rompu la teſte Raconta l’auanture aux Bergers de ſa feſte, Qui ſi toſt que l’Aurore eut ouuert le matin S’eſtoient rendus chez luy pour en ſçauoir la fin.	Amynte veille, Que la belle en songeante baise et flatte à merveille, L'appelant Melindor d'accent flatteur et doux, Nom déjà bien suspect à ce mari jaloux, Qui d'un soupçon fâcheux s'étant rompu la tête Raconta l'aventure aux Bergers de sa fête, Qui si tôt que l'Aurore eut ouvert le matin S'étaient rendus chez Seigneur pour en savoir la fin.
Lui-meſme en ſouſpirãt demãde au grãd Terpãdre, In e	Lui-même en soupirant demamède au grand Terpendre, In e
Terpandre qu'Apollon a fait gloire d’apprendre, Si le Dieu du ſommeil luy mettoit l’ame en peur D’vn ſonge veritable, ou d’vn ſonge trompeur.	Terpandre qu'Apollon a fait gloire d'apprendre, Si le Dieu du sommeil lui mettait l'âme en peur D'un songe véritable, ou d'un songe trompeur.
I’ay veu, luy dit Terpãdre, en ces chãſons diuines, Qui parlent de Pâris, des belles voix marines, Du Berger Polypheme, & des troupeaux ſacrez, Des troupeaux du Soleil qui furent maſſacrez, Que les ſonges legers quittent leur maiſon morne Par la porte d’yuoire, ou par celle de corne, Que la corne eſt ouuerte aux ſonges ſans defaux, Imi Mais que l’yuoire eſpand les ſonges vains & faux:	J'ai vu, Seigneur dit Terpãdre,aux ces champsons divines, Qui parlent de Pâtris, des belles voix marines, Du Berger Polypheme, et des troupeaux sacrés, Des troupeaux du Soleil qui furent massacrez, Que les songes légers quittent leur maison morne Par la porte d'yvoire, ou par celle de corne, Que la corne est ouverte aux songes sans défauts, Imi Mais que l'yvoire épand les songes vains et faux:
Or Amynte auiourd’huy, ſi tu veux eſtre ſage, D’vn ſonge ſi faſcheux n'apprẽds point le paſſage.	Or Amynte aujourd'hui, si tu veux être sage, D'un songe si fâcheux n'apprends point le passage.
Sans reſpondre à Terpandre, Amynte ſoupçonna nte vel Quelque ſonge cornu, dont la peur l’eſtonna memaDy vn doute ſi iatoux, qu'i deſſendit des l'heure du A l’Amant deſolé ſa femme & ſa demeure.	Sans répondre à Terpandre, Aminte soupçonna nue l Quelque songe cornu, dont la peur l'étonna mémaDi un doute si jatoux, qu'y dessendit des l'heure du A l'Amant désolé sa femme et sa demeure.
Par force Melindor laiſſa donc la beauté, Qui l’accuſe aujourd’huy d’aimer la nouueauté.	Par force Melindor laissa donc la beauté, Qui l'accuse aujourd'hui d'aimer la nouveauté.
CYDIPPE.	CYDIPE.
Luy-meſme t’a conté l’amour de ſon enfance.	Lui-même t'a compté l'amour de son enfance.
CYTHERE.	CYTHÉRE.
Ie connois Melindor du iour de ma naiſſance;	Je connais Melindor du jour de ma naissance;
Tantoſt par ſes chanſons, tantoſt par ſes diſcours I’ay ſceu tous ſes deſirs iuſques à vos amours:	Tantôt par ses chansons, tantôt par ses discours J'ai su tous ses désirs jusques à vos amours:
Apprends-m'en le ſujet, ta Cythere demande A ſa douce compagne vne faueur ſi grande, Ecy tomorage eſpais tons deſſentt de tardeur Comme d’vn antre obſcur la fraiſche profondeur.	Apprends-m'en le sujet, ta Cythère demande A sa douce compagne une faveur si grande, Eci tomorage épais tons dessentt de tardeur Comme d'un antre obscur la fraîche profondeur.
CYDIPPE.	CYDIPE.
L'ombre au ſon du Zephir nous ſemble delectable:	L'ombre au son du Zéphir nous semble délectable:
Mais nos brebis de faim gemiſſent dans l’eſtable.	Mais nos brebis de faim gémissent dans l'étable.
CYTHERE.	CYTHÉRE.
A peine le Soleil donne aux creux des vallons.	À peine le Soleil donne aux creux des vallons.
CYDIPPE.	CYDIPE.
Au moins faiſons donc viſte, & puis nous en allons.	Au moins faisons donc vite, et puis nous en allons.
