PREFACE.	PRÉFACE.
Aux ordres du fen Roy ceſſe de faire injure.	Aux ordres du sen Roi cesse de faire injure.
Epouſe Thomiris, ou crains pour ton parjure.	Épouse Thomiris, ou crains pour ton parjure.
Mais la proſperité te tend ſouid à ma voix.	Mais la prospérité te tend souid à ma voix.
Un Tyran couronné ne connoît plus de loix.	Un Tyran couronné ne connaît plus de lois.
Tu veux par mon hymen combler tes injuſtices, Tu n’as plus de raiſon que pour ſlater tes vices.	Tu veux par mon hymen combler tes injustices, Tu n'as plus de raison que pour slater tes vices.
Tu te-crois revêtu d’un pouvoir qui peut tout;	Tu te-crois revêtu d'un pouvoir qui peut tout;
Voyons ce qu’il deſtine à qui te pouſſe à bout.	Voyons ce qu'il destine à qui te pousse à bout.
D’une odieuſe main inſtruite dans le crime, Va toy-même à l’Autel immoler la victime;	D'une odieuse main instruite dans le crime, Va toi-même à l'Autel immoler la victime;
Et pour braver un cœur fermea te refuſer, Aux yeux de la Deeſſe oſe, viens m’épouſer, Je vais t’attendre.	Et pour braver un cœur fermea te refuser, Aux yeux de la Déesse ose, viens m'épouser, Je vais t'attendre.
THOAS.	THOAS.
Hé bien, je vous ſuis, ma vangeance.	Hé bien, je vous suis, ma vengeance.
SCENE IV.	SCÈNE IV.
THIUAS, IPEIGENIE, ANTENOR, HIDASPE, TAXIS, CYANE.	THIUAS, IPEIGENIE, ANTENOR, HIDASPE, TAXIS, CYANE.
TAXIS.	TAXIS.
E Sarmate, Seigneur, vous demande audiance, Et de cette entreveuë il preſſe le moment.	 Sarmate, Seigneur, vous demande audience, Et de cette entrevue il presse le moment.
THOAS.	THOAS.
Ie vais l’entendte, & plein de mon reſſentiment, Je reviens à l’Autel, ſans que rien m’épouvante, Immoler la v.	Je vais l'entendte, et plein de mon ressentiment, Je reviens à l'Autel, sans que rien m'épouvante, Immoler la v.
ctime, & d’une main langlante, Vous épouſer malgré vôtre audace, & vos Dieux.	ctime, et d'une main langlante, Vous épouser malgré votre audace, et vos Dieux.
Mais pour vous déteſter, & vous eſtre odieux.	Mais pour vous détester, et vous être odieux.
Vous le voulez, cruelle, attendez-moy.	Vous le voulez, cruelle, attendez-moi.
SEENE V.	SENE V.
IPHIGENIE, CYANE.	IPHIGENIE, CYANE.
CYANE.	CYANE.
MAdams.	MAdams.
Quel eſt l’affreux deſſcin où s’emporte ſon ame!	Quel est l'affreux desscin où s'emporte son âme!
Que ſeroit-ce, grands Dieux!	Que serait-ce, grands Dieux!
s’il venoit à ſçavoir Quule prouige nen que pour le décevoir:	s'il venait à savoir Quule provige nen que pour le décevoir:
Que ce n’eſt qu’un menſonge inventé par vousmême.	Que ce n'est qu'un mensonge inventé par vousmême.
Quę ne permettra-t-il à ſa colere extrême?	Quę ne permettra-t-il à sa colère extrême?
Affermy dans ſes feux par cette fauſſeté, Je crois déja le voir furieux, irtité, Potter ſur vôtre teſte.	Affermi dans ses feux par cette fausseté, Je crois déjà le voir furieux, irtité, Potter sur votre tête.
IPHIGENIE.	IPHIGENIE.
Il n’oſeroit Cyane.	Il n'oserait Cyane.
Conſacrée aux Autels, Preſtreſſe de Diane, Quelque audace qu’il eût ce frein l’arreſtetoit.	Consacrée aux Autels, Prêtresse de Diane, Quelque audace qu'il eût ce frein l'arrestetoit.
Il a beau menacer Cyane, il n’oſeroit.	Il a beau menacer Cyane, il n'oserait.
Toy qui d’Iphigenie as penetré la feinte, Qui connois de mon cœur, & le trouble, & la crainte.	Toi qui d'Iphigénie as pénétré la feinte, Qui connais de mon cœur, et le trouble, et la crainte.
Diane, montre à tous, te declarant pour moy, Que le ſang de ton pere eſt protegé partoy.	Diane, montre à tous, te déclarant pour moi, Que le sang de ton père est protegé partoy.
Si ma fierté ſe porte à des démaiches vaines, C’eſt l’orgueil de ce ſang qui coule dãs mes veires.	Si ma fierté se porte à des démaiches vaines, C'est l'orgueil de ce sang qui coule dans mes veires.
VoudroisVoudrois-tu qu’un Tyran ſoüillaſt ſa pureté, Et poutrois-je deſcendte à cette indignité.	VoudraisVoudrais-tu qu'un Tyran saint sa pureté, Et poutrais-je descendte à cette indignité.
Pomdomne aune;	Pomdomne aune;
Seeite ya la pieute eſtiine, Que la pitié m’a fait prendre pour ta victime.	Seeite ya la piète étiine, Que la pitié m'a fait prendre pour ta victime.
L’appuy de l’innocence eſt l’ouvrage des Cieux:	L'appui de l'innocence est l'ouvrage des Cieux:
Et c’eſt une vertu que d’imiter les Dieux.	Et c'est une vertu que d'imiter les Dieux.
CYANE.	CYANE.
Mais quand vous renoncez au devoir de Preſtreſſe, N’apprehendez-vout point d’irriter la Deeſſe.	Mais quand vous renoncez au devoir de Prêtresse, N'appréhendez-vout point d'irriter la Déesse.
Le ſang de tous les Grecs à la vangeance eſt dû.	Le sang de tous les Grecs à la vengeance est dû.
Juſqu’icy, ſans fremir, vous l’avez répandu.	Jusqu'ici, sans frémir, vous l'avez répandu.
Une ſainte ferveur animoit ce beau zele.	Une sainte ferveur animait ce beau zèle.
D’où vient pour ce Grec ſeul que vôtre main chancele?	D'où vient pour ce Grec seul que votre main chancelé?
IPHIGENIE.	IPHIGENIE.
Me le demandes-tu?	Me le demandes-tu?
tes yeux furent témoins Du déplorable état qui l’offrit à mes ſoins:	tes yeux furent témoins Du déplorable état qui l'offrit à mes soins:
Quitte de mes devoirs, j’allois ſur le rivage Soúpirer mes malheurs, pleurer mon eſclavage.	Quitte de mes devoirs, j'allais sur le rivage Soúpirer mes malheurs, pleurer mon esclavage.
Les vents impetueux obſcureiſſoient les airs, Troubloieut les Elemens, faiſoient mugir les Mers:	Les vents impétueux obscureissaient les airs, Troublaient les Éléments, faisaient mugir les Mers:
Quand ſur des mats briſez la vague épouvantatable 2 Jetta ce malheureux étendu ſur le ſable:	Quand sur des mats brisés la vague épouvantatable 2 Jetta ce malheureux étendu sur le sable:
La pitié m’inſpira de conſerver ſes jours:	La pitié m'inspira de conserver ses jours:
Dans nos empteſſemens il trouva du ſecouts.	Dans nos emptessements il trouva du secouts.
N’aurois-je pris le ſoin de le rendre à la vie, Qu’afin que par moy-même elle luy fût ravie.	N'aurais-je pris le soin de le rendre à la vie, Qu'afin que par moi-même elle lui fût ravie.
Noñ, ſi je me portois à cet excés d’horreur, Diane en puniroit la barbare fureur.	Noñ, si je me portais à cet excès d'horreur, Diane en punirait la barbare fureur.
CYANE.	CYANE.
Et ſongez-vous pour qui vôtre ame s'intereſſe?	Et songez-vous pour qui votre âme s'intéresse?
Pout qui vous offenſez Thoas, & la Deeſſe.	Pout qui vous offensez Thoas, et la Déesse.
Ce Grec, dont la pitié vous fait prendre l’appuy, Répond-il aux bontez que vous avez pour luy?	Ce Grec, dont la pitié vous fait prendre l'appui, Répond-il aux bontés que vous avez pour lui?
Veus a-t-il dit quel ſang l’a tranſmis à la vie?	Vous a-t-il dit quel sang l'a transmis à la vie?
Lorſque de le ſçavoir vous témoignez l’envie, Le viſage interdit, les yeux pleins d’embarras:	Lorsque de le savoir vous témoignez l'envie, Le visage interdit, les yeux pleins d'embarras:
Il ſoûpire, Madame, & ne vous répond pas.	Il soupire, Madame, et ne vous répond pas.
IPHIGENIE.	IPHIGENIE.
D’un ſang illuſtre, & grand voila le caractere, Et c’eſt ce même orgueil qui me force à me taire.	D'un sang illustre, et grand voilà le caractère, Et c'est ce même orgueil qui me force à me taire.
Tu ſçais, quand de Calchas l’Oracle rigoureux, Eût prononcé la fin de mes jours malheureux, Et qu’aux feux du bucher par Diane enlevée, A ſervir ſes Autels je me vis reſervée, Que l'horreur de me voir chez les Scythes cruels!	Tu sais, quand de Calchas l'Oracle rigoureux, Eût prononcé la fin de mes jours malheureux, Et qu'aux feux du bûcher par Diane enlevée, A servir ses Autels je me vis réservée, Que l'horreur de me voir chez les Scythes cruels!
Rougir, cremper mes mains dans le ſang des mortels, M'a fait enſevelir le nom d'Iphigenie.	Rougir, crémper mes mains dans le sang des mortels, M'a fait ensevelir le nom d'Iphigénie.
Je:	Je:
n’ay conté qu’à toy les malheurs de ma vic.	n'ai conté qu'à toi les malheurs de ma vic.
Madame.	Madame.
CYANE.	CYANE.
IPHIGENIE.	IPHIGENIE.
De ce nom le fier reſſentiment, Déteſte cet indigne, & lâche abaiſſement.	De ce nom le fier ressentiment, Dêteste cet indigne, et lâche abaissement.
Il yeut briſer un joug dont ſa gloire eſt flêtrie.	Il yeut briser un joug dont sa gloire est flamtrie.
Je brûle de revoir la Grece, ma patrie, D’admirer, d’adorer couyert de tant d’exploits, Ce grand-Agamemnon Chef des Grecs, Roy des Rois:	Je brûle de revoir la Grèce, ma patrie, D'admirer, d'adorer couiert de tant d'exploits, Ce grand-Agamemnon Chef des Grecs, Roi des Rois:
D'entendre, dd'embraſſer-Clitemneſtre ma mere, Les Princeſſes mes ſœurs, Oreſte mon cher frere.	D'entendre, d'embrasser-Clitemnêtre ma mère, Les Princesses mes sœurs, Oreste mon cher frère.
Quels tranſports à me voir ne ſentiroient-ils pas?	Quels transports à me voir ne sentiraient-ils pas?
Mon pere, qui long-temps a pleuré mon trépas, Retrouvera ſa joye à l’aſpect d’une fille, Qui n’a point démenty ſon auguſte famille.	Mon père, qui longtemps a pleuré mon trépas, Retrouvera sa joie à l'aspect d'une fille, Qui n'a point démenti son auguste famille.
Pour eet heureux moment, qui fait tous mes ſouhaits:	Pour cet heureux moment, qui fait tous mes souhaits:
Ce Gtee ment iportant;	Ce Glée ment iportant;
de paus eher que jamais;	de paus eher que jamais;
Je vais le délivrer, le charger d’une lettre, Qu’aux mains d’Agamemnon il jure de remettre.	Je vais le délivrer, le charger d'une lettre, Qu'aux mains d'Agamemnon il jure de remettre.
Quand mon pere ſçaura.	Quand mon père sçaura.
N E.	N E.
Madame, y penſez-vout?	Madame, y pensez-vout?
Comment le dérober à Thoas en courroux?	Comment le dérober à Thoas en courroux?
Quand même à vôtre femte il donneroit croyanPenſez-vous d’un Tyran tromper la prévoyance?	Quand même à votre femte il donnerait croyanPensez-vous d'un Tyran tromper la prévoyance?
Quel vaiſſeau recerra l’Etranger ſur ſon bord?	Quel vaisseau recerra l'Étranger sur son bord?
Sans l’ordre de Thoas, on ne ſort point du port.	Sans l'ordre de Thoas, on ne sort point du port.
IPHIGENIE.	IPHIGENIE.
Cyane, il partira de l’aveu du Barbare;	Chyane, il partira de l'aveu du Barbare;
Il ne ſçait pas le coup que ma main luy prépare.	Il ne sait pas le coup que ma main avait prépare.
Des volontez du Ciel incertain, & troublé, Le peuple, autour du Temple, eſt encor aſſemblé.	Des volontés du Ciel incertain, et troublé, Le peuple, autour du Temple, est encor assemblé.
Je vais le ſoûlever contre le Tyran même:	Je vais le soulever contre le Tyran même:
Viens me voir, empruntant une audace ſupréme, Confondre, épouvanter le ſuperbe Thoas, Diane, en ce deſſein ne m’abandonne pas.	Viens me voir, empruntant une audace suprême, Confondre, épouvanter le superbe Thoas, Diane, en ce dessein ne m'abandonne pas.
Fin du premier Acte.	Fin du premier Acte.
A'ij	Ajjà
ACTE II.	ACTE II.
TERE.	TERE.
THOMIRIS, ANTHENOR;	THOMIRIS, ANTHENOR;
ERINE.	ÉRINE.
THOMIRIS.	THOMIRIS.
NTHENOR, vous ſçavez mes malheurs, mon injure, Thoas eſt un impie, un perfide, ur parjure, Qui retient vôtre bras quand il faut le punir;	NTHENOR, vous savez mes malheurs, mon injure, Thoas est un impie, un perfide, ur parjure, Qui retient votre bras quand il faut le punir;
Mon pere n’eſt-il plus dans vôtre ſouvenir?	Mon père n'est-il plus dans votre souvenir?
Ingrat, à ſes bienfaits perdez-vous la memoire ?	Ingrat, à ses bienfaits perdez-vous la mémoire ?
De ce que vous devez à ſa fille, à ſa gloire?	De ce que vous devez à sa fille, à sa gloire?
Au point où le Tyran ſe plaît à l’outrager, Thomiris n’attendoit que vous pour ſe vanger.	Au point où le Tyran se plaît à l'outrager, Thomiris n'attendait que vous pour se venger.
Vous eſtes de retour, vous voyez ma diſgrace, Et quand il faut agir vôtre cœur eſt de glace.	Vous êtes de retour, vous voyez ma disgrâce, Et quand il faut agir votre cœur est de glace.
ANTHENOR.	ANTHENOR.
Je ſçay ce que je dois, Madame, à vos malheurs:	Je sais ce que je dois, Madame, à vos malheurs:
Eſtimé du feu Roy, comblé de ſes faveurs, Je n’ay pas oublié qu’à ſon heute derniere, Il attacha ſur moy ſa confiance entiere;	Estimé du feu Roi, comblé de ses faveurs, Je n'ai pas oublié qu'à son heute dernière, Il attacha sur moi sa confiance entière;
qu'éblouy du ſerment par Thoas atteſté, Il n’en prii pour garant que ma fidelité.	qu'ébloui du serment par Thoas attesté, Il n'en pri pour garant que ma fidélité.
Il mourut.	Il mourut.
Si depuis, contre ſa foy donnée, Thoas, de vôtre hymen, differoit la journée:	Si depuis, contre sa foi donnée, Thoas, de votre hymen, différait la journée:
J’imputois ces delais, Madame;	J'imputais ces délais, Madame;
à ſon grand cœur, Qui pour vous affermir ſur le Trône en Vainqueur, Voulois que vous deuſſiez à ſa propre victoire, La paix de vos Etats, l’abondance, & la gloire.	à son grand cœur, Qui pour vous affermir sur le Trône en Vainqueur, Voulais que vous dussiez à sa propre victoire, La paix de vos États, l'abondance, et la gloire.
L’Oracle d’Apollon qui menaçoit ſes jours, Dè vos proſperirez vint traverſer le cours.	L'Oracle d'Apollon qui menaçait ses jours, Dées vos prospérirez vint traverser le cours.
Pour bannir de ces lieux la crainte, & la triſteſſe, A ſes ordres preſſans je partis pour la Grece.	Pour bannir de ces lieux la crainte, et la tristesse, À ses ordres pressants je partis pour la Grèce.
Jugez de ma douleur, Madame, à mon retour, Lorſque j’apprens qu’épris-d’un malheureux amour, Thoas, ſans reſpecter les Dieux;	Jugez de ma douleur, Madame, à mon retour, Lorsque j'apprends qu'épris-d’un malheureux amour, Thoas, sans respecter les Dieux;
ny fa promeſſe;	Ne fa promesse;
Veut d’une main impie épouſer la Preſtreſſe, Et l’élever au Trône au mépris de vos droits, A ce triſte recit interdit, & ſans voix.	Veut d'une main impie épouser la Prêtresse, Et l'élever au Trône au mépris de vos droits, À ce triste récit interdit, et sans voix.
THOMIRIS.	THOMIRIS.
Il faut d'autres efforts pour laver mon offence.	Il faut d'autres efforts pour laver mon offense.
C’eſt la mort du Tyran qu’éxige ma vangeance.	C'est la mort du Tyran qu'éxige ma vengeance.
La Preſtreſſe aujourd’huy le verroit ſon époux.	La Prêtresse aujourd'hui le verrait son époux.
Prevenons.	Prévenons.
ANT HENOB.	ANT HENOB.
Suſpendez un moment ce courroux:	Suspendez un moment ce courroux:
Tout ſemble s’oppoſer au ſort qui vous menace.	Tout semble s'opposer au sort qui vous menace.
Tout ſemble préſager qu’il va changer de face:	Tout semble présager qu'il va changer de face:
Ce Grec dont le trépas eſt encore incertain, De quelque heureux retour flate vôtre deſtin.	Ce Grec dont le trépas est encore incertain, De quelque heureux retour flatte votre destin.
J’allois, pour détourner le malheur qui vous preſſe, Au picd de ſes Autels implorer la Deeſſe.	J'allais, pour détourner le malheur qui vous presse, Au picd de ses Tels implorer la Déesse.
Son Temple étoit fermé, j’ay vû de toutes parts Le peuple pour entrer s’offrir à mes regards:	Son Temple était fermé, j'ai vu de toutes parts Le peuple pour entrer s'offrir à mes regards:
, B3	, B3
Lors qu’avec un grand bruit la porte s’eſt ouverte.	Lors qu'avec un grand bruit la porte s'est ouverte.
Auſſi-toſt la Preſtreſſe à nos yeux s’eſt offerte.	Aussitôt la Prêtresse à nos yeux s'est offerte.
Paſle, ſans appareil, ſes voiles déchirez;	Pâle, sans appareil, ses voiles déchirés;
Les cheveux heriſſez, les regards égarez:	Les cheveux hérissez, les regards égarés:
Elle a fait voir à tous par ſon maintien farouche, Que la Deeſſe alloit s’expliquer par ſa bouche.	Elle a fait voir à tous par son maintien farouche, Que la Deesse allait s'expliquer par sa bouche.
A ſon aſpect, tremblant, interdit, conſterné, Tout ce peuple à genoux eſt tombé proſterné:	À son aspect, tremblant, interdit, consterné, Tout ce peuple à genoux est tombé prosterné:
Une ſainte terreur qu’imprimoit ſa preſence,.	Une sainte terreur qu'imprimait sa présence,.
A ſur les aſſiſtans répandu le ſilence.	A sur les assistants répandu le silence.
Scythes, a-t-elle dit, tremblez tous;	Scythes, a-t-elle dit, tremblés tous;
fremiſſez- Des maux dont en ce jour vous eſtes menacez:	frémissez- Des maux dont en ce jour vous êtes menacés:
:	:
Diane de ce Grec protege l’infortune:	Diane de ce Grec protege l'infortune:
Elle ménage un ſang qu’a conſervé Neptunc.	Elle ménage un sang qu'a conservé Neptunc.
Attache voſtre ſort au ſalut de ſes jours.	Attache votre sort au salut de ses jours.
Vous deffend par me voix d’en abreger le cours:	Vous défend par me voix d'en abréger le cours:
Marquez-luy vos reſpects par voſtre obeiſſance:	Marquez-lui vos respects par votre obéissance:
Imitez ſon exemple, ou craignez ſa vangeance.	Imitez son exemple, ou craignez sa vengeance.
A ces mots, pour jurer, de maintenir ſes loix, Tout ce peuple aſſemblé n’a formé qu’une voix.	À ces mots, pour jurer, de maintenir ses lois, Tout ce peuple assemblé n'a formé qu'une voix.
Surpris d’un tel ſpectacle, & preſſé par mon zele, yaj couru enez le Roy porter cette nouvelle.	Surpris d'un tel spectacle, et pressé par mon zèle, yaj couru enez le Roi porter cette nouvelle.
Je l’ay trouvé ſortant d’avec l’Ambaſſadeur;	Je l'ai trouvé sortant d'avec l'Ambassadeur;
Mon recit ſur ſon front a porté la terreur;	Mon récit sur son front a porté la terreur;
Aprés s’eſtre affranchy du trouble de ſon ame, le l’ay vû s’empreſſer à vous parler, Madame.	Après s'être affranchi du trouble de son âme, le l'ai vu s'empresser à vous parler, Madame.
Il va venir.	Il va venir.
Les Dieux l’ont peut-eſtre touché:	Les Dieux l'ont peut-être touché:
Peut-eſtre à ſon devoir deſormais attaché, Qu’il vous raporte un Sceptre.	Peut-être à son devoir désormais attaché, Qu'il vous rapporte un Sceptre.
THOMIRIS.	THOMIRIS.
Aprés ſa perfidie, Aprés l'impunité de ſon audace impie, Vous eroyez qu’aux remords il ſe laiſſe ébranler aEt qu’il n’ait fait.	Après sa perfidie, Après l'impunité de son audace impie, Vous eroyez qu'aux remords il se laisse ébranler aEt qu'il n'ait fait.
ce pas qu’afin de reculer, Nòn, non, plus de pitié quand ſa mort eſt jurée.	ce pas qu'afin de reculer, Notre, non, plus de pitié quand sa mort est jurée.
Des plus grands de l’Etat la foy m’eſt aſſurée.	Des plus grands de l'État la foi m'est assurée.
Par la voix de euis Cheis,les Scythes mécontenta.	Par la voix de évis Cheis,les Scythes mécontenta.
Excitent ma vangeauce, en preſlent les inſtans.	Excitent ma venge, en présent les instans.
L'Ambaſſadeur Sarmate eſt dé l’intelligence.	L'Ambassadeur Sarmate est de l'intelligence.
Tous contre le Tyran vont.	Tous contre le Tyran vont.
AlTHEROR.	AlTHÉROR.
Madame, il s’avance:	Madame, il s'avance:
SCENE II.	SCÈNE II.
THOAS,THOMIRIS,ANTHENOR,, ERINE, HIDASPE.	THOAS,THOMIRIS,ANTHENOR, ÉRINE, HIDASPE.
THOAS.	THOAS.
TE ne viens point, Madame;	TE ne viens point, Madame;
orné de vains diſcours, D’une frivole excuſe emprunter les détours;	orné de vains discours, D'une frivole excuse emprunter les détours;
A regner avec moy vous eſtes deſtihée, Je dois m’unir à vous par un ſaint hymenée:	À régner avec moi vous êtes destihée, Je dois m'unir à vous par un saint hyménée:
Mais ce ſeroit vous faite un preſent odieux, Que l’hommage d’un Roy brûlant pour d’autres yeux:	Mais ce serait vous faite un présent odieux, Que l'hommage d'un Roi brûlant pour d'autres yeux:
Toutefois les tranſports d’un aveugle caprice, N’ont jamais.	Toutefois les transports d'un aveugle caprice, N'ont jamais.
de mon cœur écarté la juſtice:	de mon cœur écarté la justice:
Je me ſouvieus toujours qu’un Trône vous eſt dûrPar de plus dignes mains il vous ſera rendu.	Je me souvieus toujours qu'un Trône vous est dûrPar de plus dignes mains il vous sera rendu.
Charmé de vos vertus, le vaillant Merodate, Vous offre, avec ſa foy, l’Empire du Sarmate3 Avide, impatient de m’acquiter vers vous, J’ay reçù ſa demaude;	Charmé de vos vertus, le vaillant Mérodate, Vous offre, avec sa foi, l'Empire du Sarmate3 Avide, impatient de m'acquitter vers vous, J'ai reçù sa demaude;
il ſera vôtre epoux.	il sera votre époux.
THOMIRIS.	THOMIRIS.
Aux ordres de mon pere eſt-co ainſi que vôtre ame.	Aux ordres de mon père est-co ainsi que votre âme.
THOAS.	THOAS.
Il:	Il:
regnoit?	régnait?
A ſa voix tout fléchiſſoit, Madame:	À sa voix tout fléchissait, Madame:
J’obéïſſois.	J'obéissais.
Son Sceptre a paſſé ſous mes loix.	Son Sceptre a passé sous mes lois.
Je regne.	Je règne.
Obéïſſez pour la derniere fois.	Obéissez pour la dernière fois.
T.	T.
HOMIRIS.	HOMIRIS.
Vous regnez!	Vous régnez!
ſans nul titre, & de race communo, A-qui le devez-vous, Seigneur?	sans nul titre, et de race communo, A-qui le devez-vous, Seigneur?
THOAS.	THOAS.
A la fortune.	À la fortune.
Deſtiné pour remplir le Trone où je me vois, Au feu Roy vôtre pere elle impola ſon choix.	Destiné pour remplir le Trone où je me vois, Au feu Roi votre père elle impolà son choix.
c'eſt d’elle, & non de luy, que je tiens ma Couronne.	c'est d'elle, et non de Seigneur, que je tiens ma Couronne.
Arbitre des Etats qu'elle ôte, ou qu'elle donne:	Arbitre des États qu'elle ôte, ou qu'elle donne:
Efle éleve & détruit l’ouvrage de ſes mains, Par une intelligence inconnuë aux humains.	Éle élève et détruit l'ouvrage de ses mains, Par une intelligence inconnue aux humains.
T.	T.
HOMIRIS.	HOMIRIS.
Quoy!	Quoi!
loin de reſpecter les manes de mon pere.	loin de respecter les mânes de mon père.
THOAS.	THOAS.
Je vous eſtime encor, Madame, & vous revere.	Je vous estime encor, Madame, et vous révère.
N’allez point, rapellant d’inutiles clartez;	N'allez point, rappelant d'inutiles clartés;
.	.
Soûlever mon dépit, irriter mes bontez.	Soulever mon dépit, irriter mes bontés.
J’ay dit.	J'ai dit.
De Merodate acceptez l'hymenéeA ſes Ambaſſadeurs ma parole eſt donnée;	De Mérodate acceptez l'hymenéeA ses Ambassadeurs ma parole est donnée;
Son Sceptre vous attend.	Son Sceptre vous attend.
Allez le recevoir.	Allez le recevoir.
Tout eſt preſt:	Tout est prêt:
l’heure eſt priſes;	l'heure est prises;
& vous partezece ſoir.	et vous partezèce soir.
THOMIRIS.	THOMIRIS.
Perfide, car enfin je ne puis plus me taïre;	Perfide, car enfin je ne puis plus me taïre;
Tu veux par trop d’endroits meriter ma colere;	Tu veux par trop d'endroits mériter ma colère;
Et je me ſeus forcée à perdre malgré moy, Ce reſte de reſpect qur je gardois pour so D’où te vient tant d’orgueil, & par quelle puiſſance;	Et je me zeus forcée à perdre malgré moi, Ce reste de respect qur je gardais pour so D'où te vient tant d'orgueil, et par quelle puissance;
De promettre ta Reine, as-tu pris la licence?	De promettre ta Reine, as-tu pris la licence?
Merodate m’épouſe, & va me couronner;	Mérodate m'épouse, et va me couronner;
Mais quelle dot, Tyran, penſes-tu me donner?	Mais quelle dot, Tyran, penses-tu me donner?
Souveraine en naiſſant des lieux où je reſpire;	Souveraine en naissant des lieux où je respire;
J’irois ſous d’autres Cieux-mandier un Empire:	J'irais sous d'autres Cieux-mandier un Empire:
Et ma fuite approuvant tes lâches attentats, Te laiſſeroit paiſible occuper mes Etats.	Et ma fuite approuvant tes lâches attentats, Te laisserait paisible occuper mes États.
Non, ne préſume pas, quelque eſpoir qui te flatte:	Non, ne présume pas, quelque espoir qui te flatte:
Que je coure ſi loin pour trouver-un Sarmate.	Que je coure si loin pour trouver-un Sarmate.
s’il me veut obrenir, qu’il vienne me chercher:	s'il me veut obrenir, qu'il vienne me chercher:
Que d’un joug tyrannique il vienne m’arracher, Je le reçois alors, ma main eſt toute preſte, Pour qu’avec la ſienne il m’apporte ta teſte:	Que d'un joug tyrannique il vienne m'arracher, Je le reçois alors, ma main est toute prête, Pour qu'avec la sienne il m'apporte ta tête:
Voila.	Voilà.
par quels efforts il me pent meriter, Et ce n’eſt qu’à ce prix que je puis l’accepter:	par quels efforts il me pè mériter, Et ce n'est qu'à ce prix que je puis l'accepter:
Adieu.	Adieu.
SCENE III.	SCÈNE III.
THOAS, ANTHENOR, HIDASPE.	THOAS, ANTHÉNOR, HIDASPE.
THOAS à- Hidaſpe.	THOAS à- Hidaspe.
F'Aites venir ce Grec.	S'Êtes venir ce Grec.
ANTHENOR.	ANTHENOR.
Quelle ſurpriſe?	Quelle surprise?
Avez-vous pû, Seigneur, former cette entrepriſe?	Avez-vous pu, Seigneur, former cette entreprise?
Songez-veus bien à qui vous livrez Thomſric?	Songez-vus bien à qui vous livrez Thomsric?
Au Sarmate, au plus grand de tous vos ennemis:	Au Sarmate, au plus grand de tous vos ennemis:
Nætpetez de ces nœnas qu'une guerre immortelle:	Nætpetez de ces nœnas qu'une guerre immortelle:
Supetbe, armé des droits qu’elle porte avec elle;	Supète, armé des droits qu'elle porte avec elle;
Il joindra toſt ou tard voſtre Sceptre, & le ſien.	Il joindra tôt ou tard votre Sceptre, et le sien.
Vous le voyez, Scigneur, jamais.	Vous le voyez, Scigneur, jamais.
T’HOAS.	T'HOAS.
Je ne vois rien.	Je ne vois rien.
Dans les divers tranſports dont mon trouble m’anime;	Dans les divers transports dont mon trouble m'anime;
Quand j’entends que les Dieux protegent ma victime, Quand je vois que mon peuple interdit, effrayé, S’oppoſc à ma fureur, me tient le bras lié, Examiner ce Grec, éprouver la Preſtreſſe, Penetrer la pitié qui pour luy s’intereſſé;	Quand j'entends que les Dieux protègent ma victime, Quand je vois que mon peuple interdit, effrayé, S'opposc à ma fureur, me tient le bras lié, Examiner ce Grec, éprouver la Prêtresse, Pénétrer la pitié qui pour lui s'interessé;
Eclaitcir des ſoupçons dont mon cœur eſt frapée Voila l’unique ſoin dont je ſuis occupé.	Eclaitcir des soupçons dont mon cœur est frappée Voilà l'unique soin dont je suis occupé.
ANTHENOR.	ANTHENOR.
Prenez-garde, Seigneut, les ſuprêmes Puiſſancez Ne ſont pas à l’abry dés celeſtes vangeances:	Prenez-garde, Seigneut, les suprêmes Puissancez Ne sont pas à l'abri dès célestes vengeances:
Les Dieux tendent ſouvent un piege à nôtre orgueil;	Les Dieux tendent souvent un piège à notre orgueil;
L'hymen de la Preſtreſſe eſt peut-eſtre l’écueil ,Où pour faire échoüer vôtre ame chancelante.	L'hymen de la Prêtresse est peut-être l'écueil ,Où pour faire échouer votre âme chancelante.
a.	a.
CENE IV.	CÈNE IV.
THOAS, ANTHENOR, HIDASPE.	THOAS, ANTHÉNOR, HIDASPE.
THOAS.	THOAS.
Uoy!	Uoi!
ſans ce Grec Hidaſpe à mes yeux ſe preſente!	sans ce Grec Hidaspe à mes yeux se présente!
Qui l’arreſte?	Qui l'arrête?
Oſe-t-il méconnoiſtre ma veix?	Ose-t-il méconnaître ma veix?
Eſt-ce que la Preſtreſſe eſt rebelle à mes loix?	Est-ce que la Prêtresse est rebelle à mes lois?
Ne le verray-je pas?	Ne le verrai-je pas?
HIDASPE.	HIDASPE.
Seigneur, on vous l’ameine:	Seigneur, on vous l'amène:
Mais je ne l'ay du Peuple obtenu qu’avec peine:	Mais je ne l'ai du Peuple obtenu qu'avec peine:
Inſpiré par Diane à s’en faire l’appuy, Son zele, contretous, ſe déclare pour luy;	Inspiré par Diane à s'en faire l'appui, Son zèle, contretous, se déclare pour lui;
A me l’abandonner il marquoit ſa contrainte.	À me l'abandonner il marquait sa contrainte.
Par les Dieux atteſtez j’ay diſſipé ſa crainte, JJ’ay promis ſon retour.	Par les Dieux attestez j'ai dissipé sa crainte, JOur promis son retour.
1 HOAS.	1 HOAS.
Qu’il vienne.	Qu'il vienne.
