Couvertures supérieure et inférieure on couleus	Couvertures supérieure et inférieure on coulus
Toutesfois les autres pays ne laiſſent pas de contribuer à remplir.	Toutefois les autres pays ne laissent pas de contribuer à remplir.
Paris d’excellens eſprits, & d’ayder à la Normandie à former l’Accademie des Polys, & l’Anjou qui n’eſt pas ſitué au delà du Cercle polaire entre des Montagnes de neige & des riuieres de glace, ny dans les deſers & ſur lès ſables bruſlants de l’Arabie, n’eſt pas ſous vn plus mauuais Ciel que les autres, & ne reſſemble pas à ces Iſles, qui ne ſont habitées que de Magots de Monſtres & de Barbares.	Paris d'excellen ts, et d'aider à la Normandie à former l'Accadémie des Polis, et l'Anjou qui n'est pas situé au delà du Cercle polaire entre des Montagnes de neige et des rivières de glace, ni dans les désers et sur l' sables brûlants de l'Arabie, n'est pas sous un plus mauvais Ciel que les autres, et ne ressemble pas à ces Isles, qui ne sont habitées que de Magots de Monstres et de Barbares.
Ie puis parler de ſa gloirɇ ſans ouurir les tombęaux de ſes anciens Comtes qui ont tant conqueſté de Royaumes, & ſans fueilleter nos vielles Annales:	Je puis parler de sa gloir sans ouvrir les tombaux de ses anciens Comtes qui ont tant conquesté de Royaumes, et sans fueilleter nos vielles Annales:
Il n’eſt point neceſſaire de parler des prętieux reſtes des Amphitheatres, & des belles traces qu’on y reconnoiſt encore de Ceſar & des Romains;	Il n'est point nécessaire de parler des prétieux restes des Amphithéatres, et des belles traces qu'on y reconnaît encore de César et des Romains;
Il ſera plis à propos de faire voir comme cette Prouinee n’a pas eſté plus ſterile en bons eſprits què les autres,& que la France n’aura point de honte de la çonter entre ſes plus belles parties.	Il sera plis à propos de faire voir comme cette Prouinee n'a pas été plus stérile en bons esprits qu' aura autresnt que la France n'aura point de honte de la çonter entre ses plus belles parties.
Ie ne m’amuſeray pourtant pas comme font quelques-vns à conter nõs Autheurs depuis Virgille, qui AV LECIEVR.	Je ne m'amuserai pourtant pas comme font quelques-6s à conter notre Ruteurs depuis Virgille, qui AU LECIEUR.
autrefois les Alpes & qui s’alerent habituer dans !	autrefois les Alpes et qui s'alèrent habituer dans !
’ Italie;	J' Italie;
le me contenteray de commencer par RONSARD qui a frayé le chemin du Parnaſſe aux François, que nous tenons encore en qualité de noſtre Prince, & à qui pas vn des noſtres n’a pû rauir la Couronue.	le me contenterai de commencer par RONSARD qui a frayé le chemin du Parnasse aux Français, que nous tenons encore en qualité de notre Prince, et à qui pas un des nôtres n'a pu ravir la Couronue.
Ce grand homme a eſté ſuiuy des BriLLAYS qui ont parfaictement bien cultiué ce champ que le premier leur auoit defriché;	Ce grand homme a été suivi des BriLAYS qui ont parfaitement bien cultivé ce champ que le premier leur avait défriché;
& pour les ſclences BODIN auroit eſté ſuffiſant de rendre ſon pays remarquable, quand AI.	et pour les sclences BODIN aurait été suffisant de rendre son pays remarquable, quand AI.
RAVLT LE LOVER & pluſieurs autres n’auroient point depuis contribué à la gloire de leur patrie.	RAULT LE LOUER et plusieurs autres n'auraient point depuis contribué à la gloire de leur patrie.
Mais ſi quelques-vns croiẽt qu’elles brille moins à presẽt, & qu’elle eſt deuenuë obſcure en noſtre âge;	Mais si quelques-mêmes croient qu'elles brille moins à présent, et qu'elle est devenue obscure en notre âge;
qu’ils ſongent que c’eſt elle qui a faict naiſtre ces BAVTRVS dont les entretions ſont ſi agreables à leurs Majeſtez, qui ſont l’admiration des Seigneurs & des Princes, & les delices de toute la Cour;	qu'ils songent que c'est elle qui a fait naître ces BAUTRUS dont les entretions sont si agréables à leurs Majectés, qui sont l'admiration des Seigneurs et des Princes, et les délices de toute la Cour;
& qu’ilt apprennent que la ville d’Angers cache encore des hommes rares de ce nom, qui n’en ſont pas moins parfaits pour n’eſtre pas veux de tout le Monde, non plus que l’or & les pierreries né?	et qu'ilt apprennent que la ville d'Angers cache encore des hommes rares de ce nom, qui n'en sont pas moins parfaits pour n'être pas veux de tout le Monde, non plus que l'or et les pierreries né?
perdent rien de leur prix pour eſtre enfermées dans le ſein de la terre.	perdent rien de leur prix pour être enfermées dans le sein de la terre.
Au reſte pour la Poeſie dont i’ay particulierement deſſein de parler, toute la France n’admireelle pas auiourd’huy Monſieur de RACAN ce grand Genie, qui ſans aſtre éclairé des lumieres des Grecs ny des Romains, voit auſſi nettement les choſes que ces Anciens les ont veuës:	Au reste pour la Poésie dont j'ai particulièrement dessein de parler, toute la France n'admireelle pas aujourd'hui Monsieur de RACAN ce grand Génie, qui sans astre éclairé des lumières des Grecs ni des Ainsi, voit aussi nettement les choses que ces Anciens les ont vues:
& nous auons encore parmy nous vn Cauallier qui ne le cederoit peut-eſtre à pas vn de noſtre ſiecle s’il faiſoit vn peu plus de cas des carreſſes de ſa Muſe;	et nous avons encore parmi nous un Cavaillier qui ne le céderait peut-être à pas un de notre siècle s’il faisait un peu plus de cas des carresses de sa Muse;
& qui a mis vn des plus beaux piliers à ce Templé que les Muſes baſtiſſent à la gloire de cét homme extraordinaire, & de ce grand Miniſtré qui a touſiours les yeux ouuers ſur l’Europe, & que tous les AV LECIEVR.	et qui a mis un des plus beaux piliers à ce Templé que les Muses bâtissent à la gloire de cet homme extraordinaire, et de ce grand Ministré qui a toujours les yeux ouvers sur l'Europe, et que tous les AU LECIEUR.
qui ſe nourrit & qui croiſt par la couſtume qui faict mourir toutes les autres.	qui se nourrit et qui croît par la coutume qui fait mourir toutes les autres.
Toutes ces conſiderations-là me font eſperer que les Muſes ne ſe deplairont pas ſur les bords de Loire que Ronſard leur auoit fait treuuer ſi agreables, & qu’on parlera encore comme on faiſoit autrefois des MVSES ANGEVINES;	Toutes ces considérations-là me font espérer que les Muses ne se déplairont pas sur les bords de Loire que Ronsard leur avait fait trouver si agréables, et qu'on parlera encore comme on faisait autrefois des MUSES ANGEVINES;
Il n’y a point peut-eſtre de ville en France qui ait vne ieuneſſe ſi polie & ſi bien faicte que la noſtre:	Il n'y a point peut-être de ville en France qui ait ici jeunesse si polie et si bien faite que la nôtre:
Ils ont quaſi tous l’eſprit vif & naturellement propre aux belles lettres, & puis qu’il y en a vne douzaine bien haut au deſſus de moy Angers donneroit incontinent de l’ombrage à la Normandie, s’ils pouuoient prendre la couſtume d’aimer moins les Promenades & les Ieux de Paume que leurs Cabinets.	Ils ont quasi tous l'esprit vif et naturellement propre aux belles lettres, et puis qu'il y en a une douzaine bien haut au dessus de moi Angers donnerait incontinent de l'ombrage à la Normandie, s'ils pouvaient prendre la coutume d'aimer moins les Promenades et les Jeux de Paume que leurs Cabinets.
Comme ces Meſſieurs meritent infiniment, ie leur doy rendre publiquement ce teſinoignage de l’eſtime que ie fais de leur merite, & comme ie ne me flatte point d’vne reputation vniuerſelle, c’eſt d’eux particulierement que i’en ſouhaicte.	Comme ces Messieurs méritent infiniment, je leur dois rendre publiquement ce téminoignage de l'estime que je fais de leur mérite, et comme personne ne me flatte point d'une réputation universelle, c'est d'eux particulièrement que j'en souhaite.
Nous ne baiſons pas vne Maiſtreſſe & nos enfans d’vne meſme ſorte, pour celles-là les carreſſes ſemblent extremement languiſſantes ſi elles ne vont iuſques à l’excés:	Nous ne baisons pas une Maîtresse et nos enfants d'une même sorte, pour celles-là les carresses semblent extrêmement languissantes si elles ne vont jusques à l'excès:
mais pour ceuxcy cõme nos ardeurs ſont plus ſainctes, elles ne laiſſeut pas de ſe teſmoigner encore qu’elles ſoient moderées, il ne faut pas qu'elles aillent iuſques aux ſaillies & aux inſolences de l’Amour, & l’on iuge ordinairement qu’il y à plus d’amitié au dedans quand il en paroiſt moins au dehors:	mais pour ceuxcy cõme nos ardeurs sont plus sainte, elles ne laisseut pas de se témoigner encore qu'elles soient modérées, il ne faut pas qu'elles aillent jusqu' aux saillies et aux insolences de l'Amour, et l'on juge ordinairement qu'il y à plus d'amitié au dedans quand il en paraît moins au dehors:
Ainſi ie ne laiſſe pas d’aymer parfaictement Hippolyte pour ne luy perſuader pas qu’il ſoit connu dans ces Regions eſloignées, où parmy des Peuples entiers on ne treuue pas quelques fois vn homme qui ſçache lire;	Ainsi ie ne laisse pas d'aimer parfaitement Hippolyte pour ne te persuader pas qu'il soit connu dans ces Regions éloignées, où parmi des Peuples entiers on ne trouve pas quelques fois un homme qui sache lire;
& qu’ayant oublié le Grec & le Latin pour apprendre le Erançois, il puiſſe voyager ſiloing & cont er ſes aduantures à tant de Nations comMEA faiſoie, quand il parloit encore ces premieres AV LECTEVR Langues.	et qu'ayant oublié le Grec et le Latin pour apprendre le Erançois, il puisse voyager siloin et cont er ses aventures à tant de Nations comMEA faisoie, quand il parlait encore ces premières AU LECTEUR Langues.
Et aprés tout que m’importe-il qu’on me louë on des lieux d’où les plus grands applaudiſſemens ne ſçauroient venir iuſques à mes oreilles, i’aymerois bien mieux ces loüanges dans des bouches qui ſont toujours à l’entour de moy & qui ne ſçauroient ſeulement murmuter en ma faueur que ie ne l’entende.	Et après tout que m'importe-il qu'on me loue on des lieux d'où les plus grands applaudissements ne sauraient venir jusques à mes oreilles, j'aimerais bien mieux ces louvanges dans des bouches qui sont toujours à l'entour de moi et qui ne sauraient seulement murmuter en ma faveur que je ne l'entende.
Et certes c’eſt encore vne grande choſe que ie deſire quand ie ſouhaite l’approbation de mon pays, ſoit que ceux qui ſont auprés de nous d’ordinaire decouurent des deffaux que les autres n’apperçoiuent pas ne faiſant que nous entreuoir;	Et certes c'est encore une grande chose que je désire quand quelque souhaite l'approbation de mon pays, soit que ceux qui sont auprès de nous d'ordinaire découvrent des défauts que les autres n'aperçoivent pas ne faisant que nous entrevoir;
ſoit qu’il ſemble que nous reprochions à ceux qui ne ſont pas comme nous leur pareſſe ou leuf impuiſſance?	soit qu'il semble que nous reprochions à ceux qui ne sont pas comme nous leur paresse ou leuf impuissance?
ſoit enfin qu’ils nous ayent veu naiſtre tous nuds & ſans ces nouueaux ornemens & cette gloire qui nous enuironne;	soit enfin qu'ils nous aient vu naître tous nus et sans ces nouueaux ornements et cette gloire qui nous environne;
Ils ne peuuent s’accouſtumer à vne eſtime qu’ils n’ont pas euë de nous auparauant & à des honneuts qu’ils n’ont pas appris de nous rendre.	Ils ne peuvent s'accoutumer à une estime qu'ils n'ont pas eue de nous auparavant et à des honnuts qu'ils n'ont pas appris de nous rendre.
On dreſſa bien à Naples vne Statuë au Caualier Marin:	On dressa bien à Naples une Statue au Cavalier Marin:
mais encore ce ne fut que long-temps aprés qu’il fut paſsé dans la France, & comme il n’eſtoit plus en eſtat de ioüir de cette recompenſe de ſes merites.	mais encore ce ne fut que longtemps après qu'il fut passé dans la France, et comme il n'était plus en état de jouir de cette récompense de ses mérites.
Auſſi ie ne puis aſſez m’eſtonner quand ie penſe à ces Egyptiens qui baſtiſſoient des Autels aux Crocodiles qui naiſſent dans leur Nil, & qu’ils voyoient ordinairement ſur leurs Riuages;	Aussi ici ne puis assez m'étonner quand on pense à ces Égyptiens qui bâtissaient des Autels aux Crocodiles qui naissent dans leur Nil, et qu'ils voyaient ordinairement sur leurs Rivages;
& ie treuue bien moins étrange que ceux des Indes aprés auoir eſté vaincus par les Portugais,allaſſent faire les meſmes compliments, & rendre aux Cheuaux les meſmes honneurs qu’ils auoient auparauant rendus à leurs Maiſtres.	et beau trouve bien moins étrange que ceux des Indes après avoir été vaincus par les Portugais,allassent faire les mêmes compliments, et rendre aux Chevaux les mêmes honneurs qu'ils avaient auparavant rendus à leurs Maîtres.
Quoy qu’il en ſoit, ie ne veux point qu'on ſorce des Couſtumes ſi anciennes & ſi generalles pour moy;	Quoi qu'il en soit, je ne veux point qu'on sorce des Coutumes si anciennes et si généralles pour moi;
& ſi on ne trouue rien de loüable dans cette Tragedie, ie me contenteray qu’onen taiſe les deffaux ſans qu’on ſe faſſe la violence de mentir pour mon fitoreſt e Que ſi on y treuue quelques beautez AV LEGIETR.	et si on ne trouve rien de louable dans cette Tragédie, tu me contenterai qu'on taise les défauts sans qu'on se fasse la violence de mentir pour mon fitorêt e Que si on y trouve quelques beautés AU LEGIETR.
ie les prie ſeulement de ne les difigurer point?	ici les prie seulement de ne les diigurer point?
Ila n’auront pas de l’honneur d’abatre vn homme qui ne s’éleue pas inſolemment audeſſus des autres, & s’ils combattent contre vn ennemy ſi foible, & qui ne fait point de reſiſtance, leur victoire n’en ſera pas ſi glorieuſe.	Ila n'auront pas de l'honneur d'abattre un homme qui ne s'éleue pas insolemment audessus des autres, et s'ils combattent contre un ennemi si faible, et qui ne fait point de résistance, leur victoire n'en sera pas si glorieuse.
Il y a des Renommées qui prenuent l’eſſort pardeſſus des Prouinces & des Royaumes quelque effort qu’on employe pour les faire tomber, comme la flamme treuue touſiours des paſſages par où elle s’eſſance vers le Ciel, quelques obſtacles qu'on oppoſe à ſon mouuement:	Il y a des Renommées qui prenvent l'essort pardessus des Provinces et des Royaumes quelque effort qu'on emploie pour les faire tomber, comme la flamme trouve toujours des passages par où elle s'essance vers le Ciel, quelques obstacles qu'on oppose à son mouvement:
on a beau crier aprés, & remplir l’air de parolles iniurieuſes, elles vollent touſiours, & ne ſont non plus atreſtées que le ſont ces oyſeaux qui paſſent en troupe ſi haut au deſſus de nos teſtes, par les cris que les enfans élancent d’ordinaire vers eux iuſques à ce qu’ils s’échappent inſenſiblement à leur vęuë.	on a beau crier après, et remplir l'air de paroles injurieuses, elles vollent toujours, et ne sont non plus atrestées que le sont ces oiseaux qui passent en troupe si haut au dessus de nos têtes, par les cris que les enfants élancent d'ordinaire vers eux jusques à ce qu'ils s'échappent insensiblement à leur vue.
Il n’y a point de digues qui puiſſent arreſter le cours d’vne grande riuiere, mais on peut couper chemin à vn petit ruiſſeau auec vne chauſſée de ſable;	Il n'y a point de digues qui puissent arrêter le cours d'une grande rivière, mais on peut couper chemin à un petit ruisseau toujours une chaussée de sable;
& vne reputation qui a des demarches ſi foibles & ſi lentes comme la mienne peut-eſtre aiſément retenuë ſans qu’on luy oppoſe des barrieres.	et une réputation qui a des démarches si faibles et si lentes comme la mienne peut-être aisément retenue sans qu'on nous oppose des barrières.
En tout cas cette Piece ne m’a pas couſté tant de veilles & tant de meditations que ie regrette le temps que i’y ay employé ſi elle ne me donne des Couronnes, &, ſi mon trauail manque de tecompenſe, la perte de quinze iours ne me ſera pas fort conſiderable.	En tout cas cette Pièce ne m'a pas coûté tant de veilles et tant de méditations que ie regrette le temps que j'y ai employé si elle ne me donne des Couronnes, et, si mon travail manque de tecompense, la perte de quinze jours ne me sera pas fort considérable.
Il y en aura ſans doute qui me blaſmeront d’auoir acheué en deux ſepmaines vn ouurage où Seneque meſme à peut-eſtre employé la moitié d’yne année;	Il y en aura sans doute qui me blâmeront d'avoir achevé en deux sépaines un ouvrage où Sénèque même à peut-être employé la moitié d'yne année;
mais ie m’esbloüis d’ordinaire la veuë quand ie l’arreſte trop ſur vn melme obiect;	mais ici m'éblouis d'ordinaire la vue quand Elle l'arrête trop sur un melme objet;
& des imaginations Poetiques il en eſt bien, ſouuent comme des fleches qui vont plus droit au but plus elles vont viſte.	et des imaginations Poétiques il en est bien, souvent comme des flèches qui vont plus droit au but plus elles vont viste.
pour cheminer lentement on ne laiſſe pas de faire de faux pas;	pour cheminer lentement on ne laisse pas de faire de faux pas;
on n'en dit pas quelquesfois de plus belles choſes pour approfondir trop vne matiere;	on n'en dit pas quelquefois de plus belles choses pour approfondir trop une matière;
& quand on creuſe vne mine trop auant on n’y treuue plus que du ſouffre, de la terre qui ſe prepare, & quelques ruiſſeaux dont les minetaux ont alteré le gouſt & la couleur:	et quand on creuse une mine trop avant on n'y trouve plus que du souffre, de la terre qui se prépare, et quelques ruisseaux dont les minetaux ont altéré le goût et la couleur:
Il n’eſt pas touſiours des belles penſées comme des perles & du coral qu’on ne treuue que dans le fond de la Mer;	Il n'est pas toujours des belles pensées comme des perles et du coral qu'on ne trouve que dans le fond de la Mer;
& pour moy ſi ie r’amaſſe que du ſable & de petits caillous au lieu de pierres pretieuſes, ie ne les vais point chercher aux Coſtes du Leuant, & ie ne les prens que ſur nos Riuages.	et pour moi si grands ramasse que du sable et de petits caillous au lieu de pierres prétieuses, toujours ne les vais point chercher aux Côtes du Levant, et Seigneur ne les prends que sur nos Rivages.
Ie donneray auant que de finit cét aduertiſſemnent aux Critiques, qu’ils prennent bien garde à ſeparer les vers de Seneque d’auec que les miens, & s’ils veulent rire de ce que Phedre ou Hippolyte diront qu’ils ſongent à ne le faire pas quand ce ne ſera pas moy qui les feray diſcourir.	Je donnerai avant que de finit cet avertissemnent aux Critiques, qu'ils prennent bien garde à séparer les vers de Sénèque d'avec que les miens, et s'ils veulent rire de ce que Phèdre ou Hippolyte diront qu'ils songent à ne le faire pas quand ce ne sera pas moi qui les ferai discourir.
à l’Impreßion:	à l'Impression:
Pag.	Pag.
12.	12.
vers 1t.	vers 1t.
de liſez des BV pag.	de lisez des BU pag.
36.	36.
vers 5.	vers 5.
gouſterez liſez gouſterlez pag.	goûterez lisez goûterlez pag.
17.	17.
vets 13.	vêts 13.
en liſez & pag.	en lisez et pag.
18.	18.
vers 2.	vers 2.
tu le peins liſez tu ne le peins pag.	tu le peins lisez -tu ne le peins pag.
25.	25.
vers 9.	vers 9.
de ſa femme liſez de ſa fille pag.	de sa femme lisez de sa fille pag.
66.	66.
vers 19.	vers 19.
antidode liſez antidote	antidode lisez antidote
D.	D.
D.	D.
DE LA PINELIERE, in Hippolytum.	DE LA PINELIÈRE, in Hypolytum.
EPIGRAMMA TIppolytum Caſtæ cultorem ſæua Dianæ 1I Damnatum falſo crimine Parca tulit.	EPIGRAMMA TIpolyntum Castæ cultoremæ sæua Dianæ 1I Damnatum falso crimine Parca tulit.
Virginis at precibus motus Chironis Alumnus In lucem mira reddidit arte virum.	Virginis at précibus motus Chironis Alumnus In ucem mira redidit arte virum.
Non tamen æternum vita gaudere recepta Artis Appollineæ ſedula cura dedit.	Non tamen æternum vita gaudere recepta Artis Apollineæ sédula cura dedit.
Heu faxit;	Heu faxit;
ſed fata negant, domus atra Plutonis Sie ſane exiguo tempore inanis erit.	zed fata négant, domus atra Plutonis Sie zane exiguo tempore inanis erit.
Quoddea nouenis Pinelieri chare Camœnis Quod Phæbo genitus non potuere, potes:	Quoddea nouvenis Pinelieri chare Camœnis Quod Phæbo génitus non potuère, potes:
Scilicet Hippolitum terris ſupreſſe perennem Quamuis fata negent, en tua Muſa facit.	Scilicet Hypolitum terris supresse pérennem Quamuis fata négent, en tua Musa facit.
Incaſſum irati metuens tamen arma Tonantis, Debita nam faciet laurea fulment iners.	Incassum irati metuens tamen arma Tonantis, Débita nam faciet la fulment iners.
Poſuit.	Posuit.
Iai, de la ATVTERE, C .	Jai, de la ATUTERE, Ç .
.	.
.	.
.	.
4 ---	4 --
A MONSIEVR DE LA PINELIERE.	À MONSIEUR DE LA PINELIÈRE.
L BEE	LE BEE
Eune & puiſſant Genie, à qui tout rend homQll:	Éune et puissant Génie, à qui tout rend homQll:
magés Quinous fais vn modelle en faiſant vn onurage,  Me.	magez Quinous fais un modèle en faisant un ouvrage, Me.
IiianJeje semaenzarvrmme, Mentre nous Fippolyte & te fais adorer, Qu'il n’aprehende point qu'vn peuple le profane,	JianJeje semaenzarvrême, Mentre nous Fipolyte et te fais adorer, Qu'il n'appréhende point qu'un peuple le profane,
Et que toute la Cour luy ſoit vne DIANE:	Et que toute la Cour soit soit une DIANE:
Perinets que toue le monde obſerue ſes appas, Et ſes rares heautez que tout œil ne voit pas, muiaigne pomt les Temples qu'on luy dreſſe, Et que pour t'élecer Hippolyte s’abaiſſe, Ilt a deſia fait naiſtre vn renom immorteh .	Perinets que toue le monde observe ses appas, Et ses rares hâtez que tout œil ne voit pas, muiagne pompt les Temples qu'on lui se, Et que pour t'élecer Hippolyte s'abaisse, Ilt a déjà fait naître un ren immorteh .
12 24	12 24
Et deſia du Theatre il i’eſt fait vn Autel, Il nous a tous rauis, & ta Muſe ſuperbe Nous a fait iuſtemént craindre vn ſecond Malherbe, Seneque s’y voyant s’eſt luy meſme admiré, Et ne s’eſt pas connu ſe voyant ſiparé, Ne faits pas plus long temps ce tort à ton merite, Et reçoy de l’Encens en donnant Hippolite, Fais rougir tout enſemble & ſuer nos Auteurs, Et que les adorez ſoient tes adorateurs, Cependant continuë en ces rares merueilles, Qu'vntragique ſuject occupe encor tes veilles, Maintenant que le peuple en gouſte l’entretien Et qu'on voit de retour le Cothurne Ancien, Maintenant qu’au plus graue on promet la couronne, Que la Scene gemit & que la Muſe tonne, Qu'à ce bel Hippolyte vn ſemblable ſoit ioint Et donne des pareils à ce qui n'en a point, Glorieux d’eſtre au front de cette Tragédie;	Et déjà du Théâtre il j'est fait un Autel, Il nous a tous ravis, et ta Muse superbe Nous a fait iustemént craindre second Malherbe, Sénèque s'y voyant s'est lui mieux admiré, Et ne s'est pas connu se voyant siparé, Ne faits pas plus long temps ce tort à ton mérite, Et reçois de l'Encens en donnant Hipolite, Fais rougir tout ensemble et sucer nos Auteurs, Et que les adorés soient tes adorateurs, Cependant continue en ces rares mer, Qu'vntragique suject occupe encor tes veilles, Maintenant que le peuple en goûte entretien Et 'on voit de retour le Cothurne Ancien, Maintenant au plus graue on promet la couronne, Que la Scene gemit et que la Muse tonne, Qu' ce bel Hippolyte semblable soit y Et donne des pareils ce qui n'en a point, Le être au front de cette Tragédie;
Laiſſe moy partager l’honneur qu’on te dédie:	Laisse -moi partager l'honneur qu'on te dédie:
A Que mes vers prés destiens ſoient leus par nos -i S -.	A Que mes vers prés détiens soient lus par nos -y -.
p	p
2 Et que ton Nom tout ſeul en eterniſe deux;	2 Et que ton Nom tout seul en éternise deux;
Qu'vne Muſe eneruée auprés d’vne robuſte, Que la poſterité ſoit muette pour moy.	Qu'une Muse eneruée auprès d'une robuste, Que la postérité soit muette pour moi.
9	9
De BENSSERADE.	De BENSERADE.
2	2
POVR L'HIPPOLYTE DE Monſieur de la Pineliere.	POUR L'HIPPOLYTE DE Monsieur de la Pinelière.
Hedre, ſi ton Chaſſeur auoit autant de charmes Qu'en donne à ſon viſage vnſi docte pinceau, Ia paßion fut iuſte & merite des larmes Pour plaindre le malheur qui le met au tombeau.	Hedre, si ton Chasseur avait autant de charmes Qu'en donne à son visage unsi te pinceau, Ja passion fut juste et mérite des larmes Pour plaindre le malheur qui le met au tombeau.
Et ſi tu parus lors auec autant de grace Qu'en ces vers éclattans qui te rendent le iour;	Et si tu parus lors lorsque autant de grâce Qu'en ces vers éclattans qui te rendent le jour;
Eſtime qui voudra ſon courage de glace, Sa froideur fut vncrime & non pas ton amour.	Estime qui voudra son courage de glace, Sa froideur fut vncrime et non pas ton amour.
Außi, quoy qu’on ait dit du courroux de Theſée, Sa mort n'eſt pas l’effect de ſon reſſentiment, Mais les Dieux l’ent puny pour t’auoir meſpriſee Etfait de ſon trespas vn iuſte chaſtiment.	Aussi, quoi qu'on ait dit du courroux de Thesée, Sa mort n'est pas l'effet de son ressentiment, Mais les Dieux l'ent puni pour t'avoir méprisée Était de son trépas un juste châtiment.
CORNEILLE.	CORNEILLE.
L.	L.
POVR L’HIPPOLY TE DE Monſieur de la Pineliere.	POUR L'HIPOLY TE DE Monsieur de la Pinelière.
EPIGRAMME.	ÉPIGRAMME.
Heſce, ce n’eſt pas ton ſang	Hésce, ce n'est pas ton sang
Qui rend glorieux HIPOLYTE, Ny qui met en vn ſi haut rang Et ſes vertus & ſon merite.	Qui rend glorieux HIPOLYTE, Ni qui met en un si haut rang Et ses vertus et son mérite.
Ce n'eſt pas außi cét effort {92In iss Plutoſt qu'vn infame adultere, Mais c’eſt le iudicieux chois	Ce n'est pas aussi cet effort {92In infâme Plutost qu'un infâme adultère, Mais c'est le judicieux chois
Qu'il a fait de la l'INELIERE Pour ſe faire voir aux François.	Qu'il a fait de la l'INELIERE Pour se faire voir aux Français.
Parleſieur de BVYS.	Parlesieur de BUIS.
.	.
A SON CHER AMY, MONSIEVR de la Pincliere, Sur ſon Hippolyte.	À SON CHER AMY, MONSIEUR de la Pinclière, Sur son Hippolyte.
EPIGRAMME.	ÉPIGRAMME.
E Chaſte & Beau Chaſſeur dont tu peins l’aduenture, Dont i’ayme l’innocence, & dont ie plains la mort, Gouſta reſuſcité par vn plus heureux ſort Les douceurs de la vie aprés la ſepulture.	 Chaste et Beau Chasseur dont tu peins l'aventure, Dont j'aime l'innocence, et dont M plains la mort, Goûta ressuscité par un plus heureux sort Les douceurs de la vie après la sépulture.
Mais celuy qui fit voir ce miracle charmant Le tirant du tombeau fut mis au monument Par le Maiſtre des Dieux qui luy portoit enuie;	Mais celui qui fit voir ce miracle charmant Le tirant du tombeau fut mis au monument Par le Maître des Dieux qui lui portait envie;
Et toy parle pouuoir de ces vers plains d’appas Encore vne autre fois le ſauuant du trépas Tu te rends immortel en luy donnant la vie.	Et toi parle pouvoir de ces vers plains d'appas Encore une autre fois le sauvant du trépas Tu te rends immortel en était donnant la vie.
.	.
	
De MONTEREVL.	De MONTEREUL.
A MONSIEVR DE LA Pineliere, ſur ſon Hippolyte.	À MONSIEUR DE LA Pinelière, sur son Hippolyte.
Oy qui nous fais reuiure Hippolyte außi beau Qu'alors qu’il abhoroit & Venus & ſes flames;	Oi qui nous fais revivre Hippolyte aussi beau Qu'alors qu'il abhorait et Venus et ses flammes;
Que tu l’obliges peu le tirant du tombeau, Tu luy vais ſuſciter l’amour de mille Dames.	Que tu l'obliges peu le tirant du tombeau, Tu On vais susciter l'amour de mille Dames.
D’ALIBRAY.	D'ALIBRAY.
VENVS, fait le Prologue.	VENUS, fait le Prologue.
THESE’E.	THÉSE'E.
Roy d’Athehes.	Roi d'Athéhes.
1111151ly bido nonme de Thelée.	1111151li bido nonme de Thelée.
AIIE RO MEED, IMde TMeNCC.	AIIE RO MED, IMde TMeNCCC.
LYCRATE, Courtiſan de Theſée.	LYCRATE, Courtisan de Thesée.
ATHYS, Lieutenant des chaſſes d’Hip	ATHIS, Lieutenant des chasses d'Hyp
La Scene eſt à Athenes.	La Scène est à Athènes.
IIXTEONTTE TRAGEDIE	IIXTEONTTE -TRAGÉDIE
OY ſans qui l’auare trépas Feroit va grand deſert du Monde, Et ſans qui l’on ne verroit pas La nâture meſme feconde;	OY sans qui l'avare trépas Ferait va grand désert du Monde, Et sans qui l'on ne verrait pas La nature même féconde;
Moy qui par des combats ſecrets Abaiſſe ſous mon joug les plus ſuperbes teſtes, Souffriray-ie qu'en ces foreſts Les fléches d’vn chaſſeur arreſtent mes cõqueſtes;	Moi qui par des combats secrets Abaisse sous mon joug les plus superbes têtes, Souffrirai-je qu'en ces forêts Les flèches d'un chasseur arrêtent mes cõquestes;
VENVS, en l’air dans vn Charriot attelé de Cignes.	VENUS, en l'air dans un Charriot attelé de Cignes.
2 TITIODPIE Sans moy ces-vaſtes 'eſtendués Qui ioignent la terre & les Cieux Pour hoſtes n'auroient que dés nues Et des tourbillons furieux;	2 TITIODPIE Sans moi ces-vastes 'estendués Qui ioignent la terre et les Cieux Pour hôtes n'auroient que dés nues Et des tourbillons furieux;
Mes feux dans les plaines ſalées 4 Font naiſtre des ſujets au grand maiſtre des eaux:	Mes feux dans les plaines salées 4 Font naître des sujets au grand maître des eaux:
Et mes traits iuſques aux valéés (peaux, Võt vaincre les vainqueurs de leurs foibles trouQuand deſſus les flots aſurez L’aube en naiſſant me vit éclorre, Ses rayons de honté égareZ Moururent ſur la riue More;	Et mes traits jusques aux valéés (peaux, Võt vaincre les vainqueurs de leurs faibles troubluand dessus les flots azurés L'aube en naissant me vit éclorre, Ses rayons de honté égarés Moururent sur la rive More;
Et Thetys lors que ſon amant En ſortant de ſon lit monta ſur l’Hemiſphere, Eut jalouſe;	Et Thétis lors que son amant En sortant de son lit monta sur l'Hémisphère, Eut jalouse;
