A MADEMOISELLE	À MADEMOISELLE
Luy montrer ce portraicti hà quel eſt mon martyret Lie rathe per mumae len ce l cette toy Dont Thimante touſiours m’a teſpondu pour toy.	Lui montrer ce portraicti hà quel est mon martyret Lie rathe per mumae len ce l cette toi Dont Thymante toujours m'a tépondu pour toi.
Oüy, c’eſt par tes conſeils que mon ame ſeduite De ma fidelle amour luy laiſſa la conduite;	Oui, c'est par tes conseils que mon âme séduite De ma fidèle amour lui laissa la conduite;
Rien de toy, rien de moy ne la ſçauroit toucher, Elle raille de tout, mais allons la chercher.	Rien de toi, rien de moi ne la saurait toucher, Elle raille de tout, mais allons la chercher.
ISMENE, reueuant auec Diane.	ISMENE, rêvant Seigneur Diane.
Ie ne voy plus perſonne, & ie te puis tout dire, Quelque maiſtreſſe enfin pour Therſandre ſoûpire, Oüy quelqu’vne en ces lieux moins cruelle que toy Accepte ſon ſeruice, & reſpond à ſa foy;	Je ne vois plus personne, et ie te puis tout dire, Quelque maîtresse enfin pour Thersandre soupire, Oui quelqu'une en ces lieux moins cruelle que toi Accepte son service, et répond à sa foi;
Ce portraist que tu vois, & qu’il a receu d’elle, De leurs ſeux mutuels eſt vn teſmoin fidelle.	Ce portraît que tu vois, et qu'il a reçu d'elle, De leurs seux mutuels est un témoin fidèle.
que vois-je?	que vois-je?
e dea de dr	 dea de dr
vuiuocon.	vuiuocon.
Ce portraiſt dont Therſandre eſt ſi vain.	Ce portraît dont Thersandre est si vain.
DIANE.	DIANE.
cleagenot en eut vn pareil de ma maln, Qui te la pû donnet?	cléagenot en eut un pareil de ma maln, Qui te la pu donnet?
Iſmene.	Ismene.
ISMENE.	ISMENE.
C'eſt luy-meſme.	C'est autre-même.
DIANE.	DIANE.
O Dieux!	Ô Dieux!
que le du lu Ptoncibarcieentrême.	que le du lu Ptoncibarcieentrême.
ISMENE.	ISMENE.
C'eſt luy, te dit-je encor.	C'est lui, te dit-je encor.
DIANE.	DIANE.
Ce diſcours eſt ſans foy.	Ce discours est sans foi.
2 Stse lds te le vois tous les lours, tu le vois comme mey.	2 Sts te le vois tous les lours, tu le vois comme me.
DIANE.	DIANE.
En ces obſcurltez ie ne puls rien comprendre.	En ces obscurtés ie ne puls rien comprendre.
ISMENE.	ISMENE.
Il t’ayme, & tu le fuis.	Il t'aime, et tu le fuis.
DIANE.	DIANE.
te ne lais que cuetſandre,	te ne lais que cuetsandre,
ISMENE.	ISMENE.
Et bien n’accuſe plus que toy de ces ennuys, C’eſt ce Cleagenor qui t’ayme, & que tu ſuis.	Et bien n'accuse plus que toi de ces ennuis, Çest ce Cleagenor qui t'aime, et que tu suis.
DIANE.	DIANE.
Cleagenor, Iſmene, hà cela ne peut eſtre, routton-je auon euc deux mois taus ie couoiſtte;	Cléagénor, Ismene, hà cela ne peut être, routon-je avon euc deux mois taus Seigneur couoiste;
Car c’eſt depuis ce temps qu’il demeure en ces lieux.	Car c'est depuis ce temps qu'il demeure en ces lieux.
ISMENE.	ISMENE.
Ta douleut t'auoit mis ce bandeau ſur les yeux.	Ta douleut t'avait mis ce bandeau sur les yeux.
Ccoy que depuis ſept ans que tu vis ce riuage, Le temps qui change tout, change bien vn viſage:	Ccois que depuis sept ans que tu vis ce rivage, Le temps qui change tout, change bien un visage:
Le voicy ce Therſandre, examine le bien, Cependant qu’auec luy i’auray quelque entretlen;	Le voici ce Thersandre, examine le bien, Cependant qu'avec lui j'aurai quelque entreten;
Feins d’entrer dans ce bois, & ſur tout ne te monſtre Qu'alors que ie t’auray meſuagé ſa rencontre.	Feins d'entrer dans ce bois, et sur tout ne te montre Qu'alors que ie t’aurai mesuagé sa rencontre.
DIANE, entrans dans le bois.	DIANE, entrants dans le bois.
Heureux gage d’amour.	Heureux gage d'amour.
SCEND PII.	SCEND PII.
THERSANDRE.	THÉRSANDRE.
THIMANTE.	THIMANTE.
ISMENE.	ISMENE.
DIANE.	DIANE.
THERSANDRE, à Thimante.	THÉRSANDRE, à Thymante.
Tu vois ce qu'elle a fait, Dans les mains de Diane elle a mis ce portraict,	Tu vois ce qu'elle a fait, Dans les mains de Diane elle a mis ce portrait,
THIMANTE.	THIMANTE.
Elle entre dans ce bois.	Elle entre dans ce bois.
ISMENE.	ISMENE.
e nertauure vn mot;	Je nertauvre un mot;
THERSANDRE.	THÉRSANDRE.
Perſide Acheue icy ton crime, & ſois mon homicide, Frape, frape ce cœur qui u’eſpere plus rien, Mais par quel intereſt as-tu trahy le mlen:	Perside Achève ici ton crime, et sois mon homicide, Frappe, frappe ce cœur qui u'espère plus rien, Mais par quel intérêt as-tu trahi le mlen:
ISMENE.	ISMENE.
Et de quoy te pleins-tu?	Et de quoi te pleins-tu?
THERSANDRE.	THÉRSANDRE.
Quelle groſſiere feinte!	Quelle grossière feinte!
Oſę:	Os:
tu demander encor quel eſt ma plainte?	tu demander encor quel est ma plainte?
DIANE, bas, Ie regardant d’où elle eſt cachée.	DIANE, bas, Je regardant d'où elle est cachée.
Il a le meſme port.	Il a le même port.
ISMENE.	ISMENE.
Donne moy le loiſic.	Donne -moi le loisic.
THERSANDRE.	THÉRSANDRE.
Et quoy de feindre encor, & mentir à plaiſir, Te ſuis-je point encor obligé de la vie.	Et quoi de feindre encor, et mentir à plaisir, Te suis-je point encor obligé de la vie.
ISMENE.	ISMENE.
Que l’amour ayſément degenere en folie.	Que l'amour aisément dégénère en folie.
THIMANTE, Therſandte eſcoute la,	THIMANTE, Thersandte écoute la,
THERSANDRE.	THÉRSANDRE.
:	:
.	.
* Qu'eſt-ce qu’elle dira.	* Qu'est-ce qu'elle dira.
ISMENE.	ISMENE.
Et blen que ton amout aille comme il pourre.	Et blen que ton amout aille comme il pourre.
THER.	THÉR.
THERSANDRE.	THÉRSANDRE.
Patles donc, que veux.	Patles donc, que veux.
tu?	tu?
ISMENE.	ISMENE.
Moy, ie n’ay rien à dire.	Moi, Seigneur n'ai rien à dire.
THIMANTE.	THIMANTE.
Tu luy voulois parler.	Tu autre voulais parler.
ISMENE.	ISMENE.
c'eſt que ie voulois rice.	c'est que tu voulais rice.
«8 PaaBde 160.	«8 PaBède 160.
Patle luy le te prie.	Patle -lui le te prie.
THERSANDRE.	THÉRSANDRE.
Iſmene, au nom des Dieux.	Ismene, au nom des Dieux.
ISMENE.	ISMENE.
Ie me fais à mon tour auſſi tenir à deux.	Je me fais à mon tour aussi tenir à deux.
THERSANDRE.	THÉRSANDRE.
Ie t'eſcoute, dis-moy, que me veux-tu?	Je t'écoute, dis-moi, que me veux-tu?
ISMENE.	ISMENE.
Te dire Ou vn Riual a cauſé ton mal, & ton martyre.	Te dire Ou un Rival a causé ton mal, et ton martyre.
THERSANDRE.	THÉRSANDRE.
Vn riual, à ce nom ie ſuis tout animé.	Un rival, à ce nom ie suis tout animé.
ISMENE.	ISMENE.
oüy, Therſandre, vn riual, mais vn riual aymé.	oui, Thersandre, Un rival, mais un rival aimé.
THERSANDRE.	THÉRSANDRE.
Armé, quoy de Diane?	Armé, quoi de Diane?
ISMENE.	ISMENE.
Et de plus de toy-meſtie.	Et de plus de toi-métie.
THERSANDRE.	THÉRSANDRE.
Ie le hay cét amy, ſi ma maiſtreſſe l’ayme, at quel qu’ilſoit ema Ten veux mouris vengé,	Je le hais cet ami, si ma maîtresse l'aime, at quel qu'ilsait ema Ten veux mouris vengé,
DIANE, bas.	DIANE, bas.
Si c’eſt Cleagenor!	Si c'est Cléagénor!
ô Dieux qu’il eſt changé:	ô Dieux qu'il est changé:
THERSANDRE.	THÉRSANDRE.
Où donc eſt ce riual?	Où donc est ce rival?
ISMENE.	ISMENE.
Auecques toy Therſandre, Au prix de tout ton ſang tu le voudrois deffendre, Tu ne le quitte point.	Avec toi Thersandre, Au prix de tout ton sang tu le voudrais défendre, Tu ne le quitte point.
THERSANDRE, à Thimante.	THÉRSANDRE, à Thymante.
Sans rien diſſimuler Nes-tu point ce rlual, dont elle veut parler, Ie te croy mon amy, ne feins tu point de l’eſtre, N’es-tu point ce cruël, ce perfide, ce traiſtre.	Sans rien dissimuler Nes-tu point ce rual, dont elle veut parler, Je te crois mon ami, ne feins tu point de l'être, N'es-tu point ce cruël, ce perfide, ce traître.
THIMANTE.	THIMANTE.
ſiiuenelepom Ioy.	siiuenelepom Ioi.
THERSANDRE.	THÉRSANDRE.
Que veux-tu dire encor.	Que veux-tu dire encor.
RSMENE.	RSMENE.
Therſandre a pour riual.	Thersandre a pour rival.
THERSANDRE.	THÉRSANDRE.
Parle?	Parle?
ISMENE.	ISMENE.
Cleagenor.	Cléagénor.
THERSANDRE.	THÉRSANDRE.
Cleagenor, Iſmene, hà!	Cléagénor, Ismene, hà!
ma joye eſt extrême, oüy, i'ayme ce riual autant comme moy-meſme, Et s’il peut eſtre aymé de l’object que ie ſers, cuatenuo pemunavcuvistay taufeſs.	ma joie est extrême, oui, j'aime ce rival autant comme moi-même, Et s'il peut être aimé de l'object que je sers, cuatenuo pemunavcuvistay tauffess.
ISMENE.	ISMENE.
Và, tu n’as rien perdu, ton heur va faire enuie, Diane s’eſt rendud au portraitt de Celie.	Và, tu n'as rien perdu, ton heur va faire envie, Diane s'est rendud au portrait de Célie.
DIANE, bas.	DIANE, bas.
Qui l'auroit peu connoiſtre à ſes traits effacez, Adols ldoi dinout enum ie tesareuuee s Abordons les, cedons à mon impatience,	Qui l'aurait peu connaître à ses traits effacés, Adols lois dinout enum Ah tesareuuee s Abordons les, cédons à mon impatience,
THERSANDRE, à Iſmene.	THÉRSANDRE, à Ismene.
Non, ie ne te croy point, mais Dlane s’auance.	Non, Seigneur ne te crois point, mais Dlane s'avance.
Voy ſi ſes yeux n’ont pas la meſme cruautéTouſiours le meſme orgueil, & la meſme fiertt́.	Vois si ses yeux n'ont pas la même cruautéTousiours le même orgueil, et la même fiertt.
DIANE.	DIANE.
Iſmeuc, ie te cherche, & le te viens inſtrulre,	Ismeuc, Seigneur te cherche, et le te viens instrulre,
ISMENE.	ISMENE.
Et quoy Celio,ui ta quo que choſe à me dire.	Et quoi Celio, ta quo que chose à me dire.
celle s.	celle s.
THERSANDRE.	THÉRSANDRE.
ISMENE, oüy celie:	ISMENE, oui celie:
THERSANDRE.	THÉRSANDRE.
Helas!	Hélas!
c’eſt mon erteur, C'eſt ſon port &ſes yeux, mais ce n’eſt pas ſon cœur.	c'est mon erteur, C'est son port etses yeux, mais ce n'est pas son cœur.
ISMENE.	ISMENE.
c'eſt elle tu la vois, oüy Therſandre;	c'est elle tu la vois, oui Thersandre;
c’eſt elle.	c'est elle.
THERSANDRE.	THÉRSANDRE.
quor:	quor:
du ſein des tombeaux en eſt il qu’on rapelle.	du sein des tombeaux en est il qu'on rappelle.
It ce Dieu qui preſide à l’eternel ſommeil, 2ua dal llamaaoca lae dasaariss	It ce Dieu qui préside à l'éternel sommeil, 2ua dal lamlaoca lae dasaariss
DIANE, à Therſandre.	DIANE, à Thersandre.
Et bien, quoy qu’à ta ſoy tu trouue cét obſtacle, L’amour ne te peut il faire croire vn miracle;	Et bien, quoi qu'à ta soi tu trouve cet obstacle, L'amour ne te peut il faire croire un miracle;
Cleagenor me voit, & ne me connoiſt pas:	Cléagénor me voit, et ne me connaît pas:
Mon portraict eſt il faux?	Mon portrait est -il faux?
n'ay-ie plus mes appas?	n'ai-je plus mes appas?
Voy ſi c’eſt ta Celie;	Vois si c'est ta Celie;
au moins ſi ce n’eſt elle, Ce n’eſt pius ia beaute qui veſtoit ſi cruelle, Cleagenor.	au moins si ce n'est elle, Ce n'est pius ja beauté qui vestoit si cruelle, Cléagénor.
a das do se ses Me Celie;	a das do se ses Me Célie;
DIANE.	DIANE.
Eſt il poſſible, & Dleux, Que le ceuoye icy ce que i’ayme le mieux.	Est il possible, et Dleux, Que le ceuoye ici ce que j'aime le mieux.
THERSANDRE.	THÉRSANDRE.
didvuove Nue Muvdosec.	didvuove Nue Muvdosec.
ISMENE.	ISMENE.
Prenez bien garde à vous, on peut mourir de joye.	Prenez bien garde à vous, on peut mourir de joie.
Qula M asles et.	Qula M âles et.
suy cét exemple, Iſmene, accorde en ce moment A mon impatience vn baiſer ſeulement:	suiv cet exemple, Ismene, accorde en ce moment À mon impatience un baiser seulement:
Voy que Diaue cularceue a cuolatouche.	Vois que Diave cularcue a cuolatouche.
ISMENE.	ISMENE.
Quay, Tobjedte teſeilſe?	Quais, Tobjedte teseilse?
& Texemple te touche Tu ne veus qu’vn baiſet?	et Texemple te touche Tu ne veux qu'He baiset?
THIMANTE.	THIMANTE.
le ſeray ſatisfait.	le serai satisfait.
ISMENE.	ISMENE.
Donne moy donc des Vers, ou du moins vn bouquet.	Donne -moi donc des Vers, ou du moins un bouquet.
THIMANTE.	THIMANTE.
novvaur poudeuy nuen doute poue siſmene.	novvaur poudeui nuen doute poue sismène.
ISMENE.	ISMENE.
lete le donneray, ne t’en mets point en peine.	Lète le donnerai, ne t'en mets point en peine.
THIMANTE.	THIMANTE.
Voudrois-tu reculer encor ce qui m’eſt deu.	Voudrais-tu reculer encor ce qui m'est dev.
ISMENE.	ISMENE.
Il en ſera meilleur s’il eſt bien attendu.	Il en sera meilleur s'il est bien attendu.
XMERSANUNE.	XMERSANUNE.
En peu de mots voila toute mon auantute.	En peu de mots voilà toute mon aventute.
DIANE.	DIANE.
Debiee miat neuis cauetovuey tait la peinture, Tu vois comme en ces lieux pour pleurer librement I’ay feint de plaindre vn frete, en pleurant mou amaſt.	Débie miat neuis cauetovuey taît la peinture, Tu vois comme en ces lieux pour pleurer librement J'ai feint de plaindre un frère, en pleurant mou amast.
THERSANDRE.	THÉRSANDRE.
Quelle felicité!	Quelle félicité!
THIMANTE.	THIMANTE.
Faites qu'elle vous dure, Et redoutez du ſort le caprice, & l'injure.	Faites qu'elle vous dure, Et redoutez du sort le caprice, et l'injure.
THERSANDRE.	THÉRSANDRE.
Auons nous quelque choſe encor à redouter?	Avons nous quelque chose encor à redouter?
Le ſort n’eſt il point las dé nous perſecuter.	Le sort n'est il point las de nous persécuter.
THIMANTE.	THIMANTE.
L'amour eſt vn enfant, il le faut blen condulte, Diane a des amans, Therſandre ils peuuent cuite, Philinte a l’eſprit fourbe, & nous connoiſſons tous, Et qu’il ayme Diane, & qu’il en eſt jaloux:	L'amour est un enfant, il le faut blen conduite, Diane a des amants, Thersandre ils peuvent cuite, Philinte à l'esprit fourbe, et nous connaissons toujours, Et qu'il aime Diane, et qu'il en est jaloux:
iij.	jij.
3 Craignez de cs riual vn traict de perſidie, Il gouuerne à ſon gré l’eſprit de Feli:	3 Craignez de cs rival un trait de persidie, Il gouverne à son gré l'esprit de Féli:
ie, Et vous voyant ſeruit d’obſtacle à ſon amoue, A vouunccau duuddmoemtoden prompt retout.	On, Et vous voyant servit d'obstacle à son amoue, À vouunccau duuddmoemtoden prompt retout.
THERSANDRE.	THÉRSANDRE.
quis dmynepvouspouupeapcuve de nuite, Sur l’eſprit de la Nymphe a elle moins d’empite.	quis dmynepvouspouupeapcuve de nuite, Sur l'esprit de la Nymphe a elle moins d'empite.
ISMENE.	ISMENE.
Mais ſi la Nymphe t’ayme;	Mais si la Nymphe t'aime;
ouy ie l'ay remarqué, Et tantoſt à demy ſon cœur s’eſt expliqué, Quand au retour des jeux ſon aueu lesitime Aibesuile vule utoux evauieu ene teſtime;	oui grande l'ai remarqué, Et tantôt à demi son cœur s'est expliqué, Quand au retour des jeux son aveu lesime Aibuile vule utile évauieu en testime;
Mais d’vne eſtime enfin que l’amour ſuit de pres En termes fort precis, & qu’elle a dit es pres.	Mais d'une estime enfin que l'amour suit de pres En termes fort précis, et qu'elle a dit ès pres.
THIMANTE.	THIMANTE.
Son diſcours en effet reulent à ma memolre:	Son discours en effet répulent à ma mémolre:
THERSANDRE.	THÉRSANDRE.
O Dieux!	Ô Dieux!
que dites vous?	que dites -vous?
DIANE.	DIANE.
Ie commence à le croire;	Je commence à le croire;
Ie m'en ſouuiens auſſi, i'en dois tout redouter, Et c’eſt là le ſeul mal qu’il nous faut éuiter.	Je m'en souviens aussi, j'en dois tout redouter, Et c'est là le seul mal qu'il nous faut éviter.
ISMENE.	ISMENE.
Contre vos intereſts elle pourroit tout faire, Et ton reffus enfin armeroit ſa colere:	Contre vos intérêts elle pourrait tout faire, Et ton reffus enfin armerait sa colère:
Sçais-tu ce qu’elle peut, d’vn clin d’œil, de deux mots, Elle peut appaiſer & mutiner les ſlots, Euoquer des tombeaux des corps en pourriture, Faire parler leur cendre, & marcher leur ſigure;	Sais-tu ce qu'elle peut, d'un clin d'œil, de deux mots, Elle peut apaiser et mutiner les slots, Évoquer des tombeaux des corps en pourriture, Faire parler leur cendre, et marcher leur sigure;
Ce ſont là ces ſectets que iunais qu ir rebun A ſa poſterité Zoroaſtre enſeigna:	Ce sont là ces sectets que junais qu ir rebun À sa postérité Zoraître enseigna:
Elle en eſt deſcenduë, & pour ſe ſati;	Elle en est descendue, et pour se satî;
faite elte letosesetuss son dle ala cotetce	faite elle letosesetuss son dle ala cotetce
THERSANDRE.	THÉRSANDRE.
Ie ſçay qu’à la magie elle eſtend ſon ſçauoir, Oüy, ie crains ſon amour auec tant de pouuoir, Ie me rends à ce coup, dites que faut il faite?	Je sais qu'à la magie elle étend son Savoir, Oui, je crains son amour auec tant de pouvoir, Je me rends à ce coup, dites que faut -il faite?
THIMANTE.	THIMANTE.
Vous cacher ſous les noms, & de ſuur, & de ſreres.	Vous cacher sous les noms, et de suur, et de sreres.
cependant qu’en ces ſeux lout ce déguiſement.	cependant qu'en ces seux lout ce déguisement.
Nous ſemetons le bruit de cét éuenement.	Nous semetons le bruit de cet événement.
TBNVANDRE.	TBNVANDRE.
I'approuue cét aduis,	J'approuve cet avis,
DIANE.	DIANE.
Il importe à ma vie:	Il importe à ma vie:
ISMENE.	ISMENE.
Io vais pour commencer mentir à Parthenie	Jo vais pour commencer mentir à Parthénie
SCENE IV.	SCÈNE IV.
RARTHENIE.	RARTHENIE.
ISMENE.	ISMENE.
DIANE.	DIANE.
THERSANDRE, THIMANTE.	THÉRSANDRE, THIMANTE.
PARTHENIE.	PARTHENIE.
Smene, ie voudrois te parler vn moment.	Smène, Seigneur voudrais te parler un moment.
ISMENE.	ISMENE.
uuand vous aurez-pris part à leur contentement;	Juand vous aurez-pris part à leur contentement;
Liane deſormais n’a plus de plainte à faire, Et le Ciei à permis qu’elle ait trouué ſonfrere, pciceratauteuueigces qte tont reconnut.	Liane désormais n'a plus de plainte à faire, Et le Cievis à permis qu'elle ait trouvé sonfrere, pcicératauteuveigces qte tont reconnut.
PARTHENIE.	PARTHENIE.
D’vn tel éuenement mon eſprit eſt confus, Quoy Thedandre ſon frete:	D'un tel événement mon esprit est confus, Quoi Thédandre son frète:
DIANE.	DIANE.
oüy, Nymphe, c’eſt luy-meſme, Luy pout quima doaſcas luiqu iey iut cxtcême, Les Dieux ont à la fin eſcouté mes ſouſpirs.	oui, Nymphe, c'est lui-même, Lui pout quima doascas luiqu ê t cxtcême, Les Dieux ont à la fin écouté mes soupirs.
THERSANDRE.	THÉRSANDRE.
Oüy, Madame, les Dieux ont comblé nos deſits.	Oui, Madame, les Dieux ont comblé nos désits.
PARTHENIE.	PARTHENIE.
Ten ay beaucoup de joye, & mon ame eſt rauié De ce bon-neut qui lait le bien de hoſtre vle:	Ten ai beaucoup de joie, et mon âme est ravié De ce bon-neut qui lait le bien de hotre veule:
Diane à ſon loiſir me fera tout ſçauoir, Mais aduertiſſez en la Nymphe, & l’allez voir.	Diane à son loisir me fera tout savoir, Mais avertissez en la Nymphe, et l'allez voir.
THERSANDRE.	THÉRSANDRE.
Nous deuons cét aduis à noſtre Souueraine.	Nous devons cet avis à notre Souveraine.
PARTHENIE, Ie pourray cependant entretenir Iſmene, Ahimante ton auant nenicra poine jalour.	PARTHENIE, Je pourrai cependant entretenir Ismene, Ahimante ton avant nénicra poine jalour.
THIMANTE.	THIMANTE.
Qu'vn tiers n'y vienne point, ie ne crains rient de vous.	Qu'un tiers n'y vienne point, Seigneur ne crains rient de vous.
PARTHENIE.	PARTHENIE.
Iſmene, ie ne ſçay, ſi ie te le dois dite, Helas!	Ismene, Seigneur ne sais, si ieuse le dois dite, Hélas!
ISMENE.	ISMENE.
Ie le ſçay bien, puiſque le cœur ſouſpire, Quand on veut dire i’ayme, & qu’on ne l’oſe pas, Le cœur à point nolame pous louime muende:	Je le sais bien, puisque le cœur soupire, Quand on veut dire j'aime, et qu'on ne l'ose pas, Le cœur à point nolame pous louime mendu:
Nay je pas deuint?	Nais -je pas devint?
PARTHENIE.	PARTHENIE.
Ie le conſeſſt, Iſmene, Deuine donc auſſi l’object qui fait ma peine, Quie ſe ne parle point, eſpargne moy ce ſoin.	Je le consésst, Ismene, Deune donc aussi l'object qui fait ma peine, Quie se ne parle point, épargne moi ce soin.
ISMENE.	ISMENE.
Ie ne puis, vn ſouſpit ne porte pas ſi loin;	Je ne puis, un soupit ne porte pas si loin;
V bus ajiuer,miai le rene eit pour moy lettre cloſe, Si vous ne m’expliquez ce ſouſpir par ſa cauſe.	V bus ajuer,miai le rene eit pour moi lettre close, Si vous ne m'expliquez ce soupir par sa cause.
oüy, i’ayme.	oui, j'aime.
FETMENIE.	FETMENIE.
ISMENE.	ISMENE.
Mais qui.	Mais qui.
PARTHENIE.	PARTHENIE.
C’eſt.	C'est.
ISMENE.	ISMENE.
Acheuez,	Achevez,
PARTHENIE.	PARTHENIE.
clidamant,	clidamant,
ISMENE.	ISMENE.
Voila bien des façons pour nommer vn amnant, Hà!	Voilà bien des façons pour nommer un amnant, Hà!
que vous auez-peur que voſtre levce y touche, Il vous le faut tirer mot à mot de la bouchez.	que vous avez-peur que votre levée y touche, Il vous le faut tirer mot à mot de la bouchez.
Vous n’auez qu’vn amant, vrayement c’eſt bien deuoy Si vous en auiez donc des liſtes comme moy, Qu’à toute heure du iour, & ie nõme, & ie compte,.	Vous n'avez qu'Heure amant, vraiment c'est bien devoi Si vous en aviez donc des listes comme moi, Qu'à toute heure du jour, et un nomme, et quelque compte,.
Il vous féroit beau voir auecques voſtre honte, L’amour eſt vn beau fruit, mais il le faut cueillir, Et la honte le laiſſe, & tomher, & vieillir.	Il vous féroit beau voir avec votre honte, L'amour est un beau fruit, mais il le faut cueillir, Et la honte le laisse, et tomher, et vieillir.
Mais apres tour enfin que dira Felicie, Qui pretend qu’à Thyrſis ſa niepce ſe mario.	Mais après tour enfin que dira Félicie, Qui prétend qu'à Tirsis sa niepce se mario.
PARTHENIE.	PARTHENIE.
Ie le hay ce Thyrſis, & ſuis au deſeſpoir si la Nymphe m’oblige à ſuiure mon deuoir, Ie le ſuiurois pourtant ſans en eſtre alarmée, Si i'aymois (lidamant ſans que i'enfuſſe aymée:	Je le hais ce Thyrsis, et suis au désespoir si la Nymphe m'oblige à suivre mon devoir, Je le suivrais pourtant sans en être alarmée, Si j'aimais (lidamant sans que j'enfusse aimée:
Car enfin ie ſuis fiere où m’engage l’honneur, Pour cela ie voudrois auoir ſondé ſon cœur, Er ſuiuant la penſée où ie verrois ſon ame Ie prendrois de l’amour, ou i’eſteindrois ma flame.	Car enfin ie suis fière où m'engage l'honneur, Pour cela ie voudrais avoir sondé son cœur, Er suivant la pensée où tu verrais son âme Je prendrais de l'amour, ou j'éteindrais ma flamme.
ISMENE.	ISMENE.
Que ne luy parlez vous, il n’eſt rien plus ayſé,	Que ne notre parlez -vous, il n'est rien plus aisé,
PARTHENIE.	PARTHENIE.
Iſmene, ton eſprit eſt'encor peu ruſé, ort'uiois lay parier n'a peu de lumiere, S'il ne me connoiſſoit atteinte la premiere;	Ismene, ton esprit est'encor peu rusé, > étais lai parier n'a peu de lumière, S'il ne me connaissait atteinte la première;
Et ie me commettrois à donner cét aueu.	Et ici me commettrais à donner cet aveu.
ISMENE.	ISMENE.
Vous luy pouuez efcrire:	Vous avait pouuez écrire:
PARTHENIE.	PARTHENIE.
Encor tout auſſi peu Ce melme poiſſt d’honneur n’oſe me le permettre, Ne connoiſtroit il pas mon amour par ma lettre, Et de ma honte enfin ne ſeroit il pas vain, S’il en pouuoit auoir cette marque en la main	Encor tout aussi peu Ce melme poist d'honneur n'ose me le permettre, Ne connaîtrait il pas mon amour par ma lettre, Et de ma honte enfin ne serait -il pas vain, S'il en pouvait avoir cette marque en la main
ISMENE.	ISMENE.
Qu’il Ie deuine donc, s’il ſçait l’Aſtrologie.	Qu'il Ie devine donc, s'il sait l'Astrologie.
PARTHENIE.	PARTHENIE.
Ne traitte point ainſi mon feu de raillerie.	Ne traite point ainsi mon feu de raillerie.
ISMENE.	ISMENE.
Il faut que ie vous ſerue en voſtre paſſion, Ie vient de m’auiſer de cette inuention, teluy veus ſeule eſcrire, & par vne amour feinte D’vn mal qu’il n’a pas fait, luy faiſant voir l’atteinte, si toſt qu’il ſora nuict l'inuiter de venir d Ecenlo du latuin pour Ten emcetenn,	Il faut que je vous serve en votre passion, Je vient de m'aviser de cette invention, telui veux seule écrire, et par une amour feinte D'un mal qu'il n'a pas fait, Seigneur faisant voir l'atteinte, si tôt qu'il sora nuit l'inviter de venir d' Enlo du latuin pour Ten emcetenn,
PARTHENIE.	PARTHENIE.
En mon abſence ainſi tu verras ce qu’il penſe,	En mon absence ainsi tu verras ce qu'il pense,
ISMENE.	ISMENE.
Cette affaire vous touche, & veut voſtre preſence, Vous luy parlerez bas, & dans ces doux momens Vous verrez beaucoup mieux quels ſont ſes ſentimens, Et vous peurrez ainſi pour decouurir s’il ayme, Vous meſme ſous mon nom luy parler de vouemeſme.	Cette affaire vous touche, et veut votre présence, Vous lui parlerez bas, et dans ces doux moments Vous verrez beaucoup mieux quels sont ses sentiments, Et vous peurrez ainsi pour découvrir s'il aime, Vous -même sous mon nom nom parler de vouemême.
PARTHENIE.	PARTHENIE.
Et tu ſeras preſente?	Et tu seras présente?
ASMERE.	ASMERE.
oüy, ie feray ſi bien qi’il croira me parler dedans cét entretien.	oui, Seigneur ferai si bien qi'il croira me parler dedans cet entretien.
PARTHENIE.	PARTHENIE.
Mais comment à I'écho luy pouuons nous rien dice, car ſi toſt qu’il eſt nuict la Nymphe ſe retire;	Mais comment à J'écho lui pouuons nous rien dice, car si tôt qu'il est nuit la Nymphe se retire;
it tu ſçais bien qu’alors nous n’y ſçaurions aller, uelle eſt donc ton adreſſe, & comment luy parler?	Çit tu sais bien qu'alors nous n'y saurions aller, uelle est donc ton adresse, et comment lui parler?
ISMENE.	ISMENE.
e luy pouuons nous pas parler de la terraſſe, ui reſpond au iardin & ſur la meſme place, ous ſçauez qu’à toute heure & ſort commodément, 'ous y pouuez entrer de voſtre appartement, tc’eſt ſut cela meſme & ſut ces conjonctures, our mon inuention que i’ay pris mes meſures.	 lui pouvons nous pas parler de la terrasse, ui répond au jardin et sur la même place, ous sçauez qu'à toute heure et sort commodément, ' ous y pouvez entrer de votre appartement, t'est sut cela même et sut ces conjonctures, our mon invention que j'ai pris mes ures.
PARTHENIE.	PARTHENIE.
l auume ton ciprie, neic mnauisrielue,	 Lume ton ciprie, ne mnauisrielue,
ISMENE.	ISMENE.
I'en yeux eſcrire icy le billet à vos yeux, En voicy le papier,	J'en yeux écrire ici le billet à vos yeux, En voici le papier,
PARTHENIE.	PARTHENIE.
Quoy ce ſont tes tablettes?	Quoi ce sont tes tablettes?
ISMENE.	ISMENE.
Elles ſçauent parler des paſſions diſcrettes.	Elles Savent parler des passions discrettes.
Ie m’en vais employer mon ſtile le plus doux,	Je m'en vais employer mon style le plus doux,
PARTHENIE.	PARTHENIE.
Sur tout, marque luy bien l'heure & le rendez.	Sur tout, marque Seigneur bien l'heure et le rendez.
vous, Ha:	vous, Ha:
