Avmndremire o	Avmndremire ô
Je ne trouverien lá qui ſoit á vôtre gloire, Et pour vous dire vray, je ne ſçay plus qu’en croire.	Je ne trouverien l' en soit vôtre gloire, Et pour vous dire vrai, je ne sais plus qu'en croire.
Quiconque a bon deſſein, ne veut point ſe cacher:	Quiconque a bon dessein, ne veut point se cacher:
Et ce n’eſt point par lá que l’on peut m’attacher.	Et ce n'est point par lá que l'on peut m'attacher.
On peut facillement tromper une perſonne, Qui ne s’attendra pas au coup que l’on luy donne:	On peut facillement tromper une personne, Qui ne s'attendra pas au coup que l'on lui donne:
Qui ne ſe doute point du piege qu’on luy tent, Peut ſe liurer luy méme, au peril, qu’il l’attent:	Qui ne se doute point du piège qu'on lui tent, Peut se livrer lui méme, au péril, au il qu'attent:
Si je vous ſers icy pour donner de l’ombrage, Ie ne me trouve point propre à ce perſonnage, Je vous en avertis, & m’ayant ſçeu çharmer, Je ne puis faire rien pour vous, que vous aimer.	Si je vous sers ici pour donner de l'ombrage, Je ne me trouve point propre à ce personnage, Je vous en avertis, et m'ayant su çharmer, Je ne puis faire rien pour vous, que vous aimer.
LA TRINCESSE PORCIE.	LA TRINCESSE PORCIE.
Voila des jugemens, qui ſont bien temeraires!	Voilà des jugements, qui sont bien téméraires!
Des ſentimens pareils vous ſont ils ordinaires:	Des sentiments pareils vous sont ils ordinaires:
DOM CARLOS.	DOM CARLOS.
voy de l’ápparence :	vois de l'ápparence :
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Et ne ſçavez vous pas, Que l’apparence trompe avec ſes faux appas;	Et ne savez -vous pas, Que l'apparence trompe avec ses faux appas;
Mais rendez moy juſtice, & loyez l'anonnable:	Mais rendez moi justice, et loyez l'anonnable:
Je ne vous ay rien dit qui ne ſoit veritable, C’eſt de quoy vous pouvez vous aſſeurer icy:	Je ne vous ai rien dit qui ne soit véritable, C'est de quoi vous pouvez vous assurer ici:
Mais je demande en vous la méme choſe auſſi.	Mais je demande en vous la même chose aussi.
DOM CARLOS.	DOM CARLOS.
Il eſt juſte & cedant aux loix, que vous me faites, Je dois auſſi vous voir, & ſça voir qui vous eſtes:	Il est juste et cédant aux lois, que vous me faites, Je dois aussi vous voir, et sa voir qui vous êtes:
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Vous le ſçaurez bien toſt :	Vous le saurez bien tôt :
cepandant eſperez:	cepandant espérez:
Vous trouverez en moy ce que vous deſirez:	Vous trouverez en moi ce que vous désirez:
Je ſuis de qualité, on me croit aſſez belle, Vous ſçavez ſi je ſuis un peu Spiritüelle, Vous eſtes ſuffiſant pour en ſça voir juger, Et j’ay du bien aſſez pour pouvoir engager.	Je suis de qualité, on me croit assez belle, Vous savez si je suis un peu Spirituelle, Vous êtes suffisant pour en sa voir juger, Et j'ai du bien assez pour pouvoir engager.
Adieu.	Adieu.
SCENE HUITREME DOM CARLOS GUSMAN.	SCÈNE HUITREME DOM CARLOS GUSMAN.
DOM CARLOS.	DOM CARLOS.
Que ſans la voir je la trouve adorable Je ſuis ſurpris, Guſman, d’un procedé ſemblable Que croire!	Que sans la voir je la trouve adorable Je suis surpris, Gusman, d'un procédé semblable Que croire!
que juger!	que juger!
ſi c’eſt pour me tromper, Quel profit croiroit elle en pouvoir attrapper.	si c'est pour me tromper, Quel profit croirait -elle en pouvoir attraper.
GUSMAN.	GUSMAN.
Icy la Courtiſane eſt aſſez affammée, Fort âpre ál’etranger, tache d’en eſtré aimée, Grande fripponne, belle, & cherche a l’engager, Je vous l’ay deſia dit, de plus on court danger, De rencontrer la mort, lors que moins on y penſe:	Ici la Courtisane est assez affammée, Fort âpre ál’étranger, tache d'en estré aimée, Grande friponne, belle, et cherche à l'engager, Je vous l'ai déjà dit, de plus on court danger, De rencontrer la mort, lors que moins on y pense:
On tüe, & ſans ſonger ſi l’on eſt en deffenſe:	On tue, et sans songer si l'on est en défense:
D'aobort, en nomeite nomme, on jette un homme á bas Et ce ſeroit un jeu, qui ne me plairoit pas:	D'aobort, en noméite nomme, on jette un homme bas Et ce seroit un jeu, qui ne me plairoit pas:
En vous diſant bon ſoir on vous oſte la vie, Et de mourir ainſi, je n’aurois nulle enuie.	En vous disant bon soir on vous ôte la vie, Et de mourir ainsi, je n'aurais nulle envie.
DOM CARLOS Mais Naples eſt rempli de gens de qualité:	DOM CARLOS Mais Naples est rempli de gens de qualité:
Les Dames s’y font voir en grande quantité:	Les Dames s'y font voir en grande quantité:
Elle a du bien, dit elle, elle a de la nobleſſe!	Elle a du bien, dit elle, elle a de la noblesse!
Non je ne puis aſſez admirer ſon adreſſe.	Non je ne puis assez admirer son adresse.
GUSMAN.	GUSMAN.
Vous vous eſtes pourtant expliqué clairement, Et vous ne pouviez pas luy repondre autrement:	Vous vous êtes pourtant expliqué clairement, Et vous ne pouviez pas un répondre autrement:
Mais monſieur, ſa beauté me gaſte la ceruelle:	Mais monsieur, sa beauté me gâte la cervelle:
Entre nous s’il eſt vray, que ne ſe montre t’elle, Quelle raiſon l’oblige a vous cacher ſon nez!	Entre nous s'il est vrai, que ne se montre t'elle, Quelle raison l'oblige a vous cacher son nez!
Je voy bien qu’elle en tient, comme vous en tenez:	Je vois bien qu'elle en tient, comme vous en tenez:
mui juy bien de la peine a croire ſa naiſſance:	mui jui bien de la peine a croire sa naissance:
Et j’ay peur la deſſous de quelque manigance.	Et j'ai peur la dessous de quelque manigance.
DOM CARLOS.	DOM CARLOS.
jamais je ne me vis en un paren eſtat;	jamais je ne me vis en un paren état;
Sa perſonne du moins fait voir un grand éclat-.	Sa personne du moins fait voir un grand éclat-.
GUSMAN.	GUSMAN.
Pourquoy vous chagriner pour elle de la ſorte?	Pourquoi vous chagriner pour elle de la sorte?
Si vous la trouvez belle, he bien que vous importe, Aimez la, n’eſt ce pas vôtre but, dites moy:	Si vous la trouvez belle, hé bien que vous importe, Aimez la, n'est ce pas votre but, dites -moi:
Sinon, laiſſez la lá ſans luy dire pourquoy:	Sinon, laissez la lá sans lui dire pourquoi:
Si tout vous charme en elle, il faut vuider d’affaire, Lorſque vous la verrez, découvrez le miſtere:	Si tout vous charme en elle, il faut vider d'affaire, Lorsque vous la verrez, découvrez le mystère:
Preſſez la de vous dire & ſon rang;	Pressez la de vous dire et son rang;
& ſon nom:	et son nom:
Si vous voyez apres, qu’elle change de ton, Ou qu’elle cherche encor a payer de remiſe, Ne la revoyez plus, elle ſera bien priſe.	Si vous voyez après, qu'elle change de ton, Ou qu'elle cherche encor a payer de remise, Ne la revoyez plus, elle sera bien prise.
DOM CARLOS.	DOM CARLOS.
Cela ſeroit fort bien, ſi je ne l’aimois pas:	Cela serait fort bien, si je ne l'aimais pas:
Mais, Gusman, je me ſens charmé de ſes appas!	Mais, Gusman, je me sens charmé de ses appas!
s’il eſt vray qu’elle m’aime, & que je puiſſe apprendre La declaration qu’elle me fait attendre, Ne joüiray je pas d’un bonheur ſans pareil?	s'il est vrai qu'elle m'aime, et que je puisse apprendre La déclaration qu'elle me fait attendre, Ne jouirai je pas d'un bonheur sans pareil?
Duy maisGUSMAN.	Dui maisGUSMAN.
DOM CARLOS Sortons:	DOM CARLOS Sortons:
la nuit me donnera conſeil.	la nuit me donnera conseil.
Fin du premier Acte.	Fin du premier Acte.
ACTE SECONL SCENE PREMIERE.	ACTE SECONL SCÈNE PREMIÈRE.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
BEATRIX.	BEATRIX.
demaſquées	demasquées
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
DEatrix ſçais tu bien á quoy je me prepare?	DÉatrix sais tu bien quoi je me prepare?
140 Pour découvrir mon cœur :	140 Pour découvrir mon cœur :
l’invention eſt rare, La piece en eſt nouvelle, & l’on ne vit jamais, Que l’on traitaſt l’amour de méme que je fais.	l'invention est rare, La pièce en est nouvelle, et l'on ne vit jamais, Que l'on traitât l'amour de même que je fais.
Dom Carlos me plait fort, ſon merite me charme.	Dom Carlos me plaît fort, son mérite me charme.
Je ne decouvre rien qui de ſa part m’allarme, Il m’aime ſans me voir:	Je ne découvre rien qui de sa part m'alarme, Il m'aime sans me voir:
mais ce n’eſt pas aſſez.	mais ce n'est pas assez.
’exige encor de luy des ſoins plus empreſſés.	exige encor de deux des soins plus empressés.
Je prétens qu’il s’efforce a me vouloir connoitre, Qu’il me cherche par tout, & quoy qu’il en puiſſe eſtre Il ne rougiſſe pas de confeſſer ſans fart, Qu’il ne me connoit point, & qu’il m’aime au hazart:	Je prétends qu'il s'efforce a me vouloir connaître, Qu'il me cherche par tout, et quoi qu'il en puisse être Il ne rougisse pas de confesser sans fart, Qu'il ne me connaît point, et qu'il m'aime au hasard:
S’il m’aime, comme il dit, la preuve en ſera claire.	S'il m'aime, comme il dit, la preuve en sera claire.
Un veritable amour ne ſe peut jamais taire.	Un véritable amour ne se peut jamais taire.
J’auray des eſpions, qui me feront ſçavoir, S’il eſt vray qu’il ſouhaite ardamment de me voir, ol ion amour farſeite, i tiouuera lans ceſſe, Les moyens de venir me montrer ſa tendreſſe:	J'aurai des espions, qui me feront savoir, S'il est vrai qu'il souhaite ardamment de me voir, ol ion amour farseite, y tiouuera lans cesse, Les moyens de venir me montrer sa tendresse:
La voulut il cacher, je la decouuriray, Et juſques dans ſon cœur, Beatrix, ie, liray.	La voulut il cacher, je la découvrirai, Et jusque dans son cœur, Beatrix, toujours, lirai.
BEATRIX.	BEATRIX.
Je ne vous croyois pas en amour ſi ſçavante!	Je ne vous croyais pas en amour si savante!
Vous feriez des leçons à la plus eloquente!	Vous feriez des leçons à la plus éloquente!
Vous m’avez bien trompée, & je ne penſois pas, Que vous aviez le cœur de pouſſer un helas.	Vous m'avez bien trompée, et je ne pensais pas, Que vous aviez le cœur de pousser un hélas.
Mais laiſſez faire á moy, je joüeray d’artifice.	Mais laissez faire > moi, je jouerai d'artifice.
Vótre choix eſt fort bon, pour veu pu’ilreüſſiſſe.	Votre choix est fort bon, pour vu pu'ilreussisse.
Si l’on a du reſpect icy pour votre nom, On admire a la cour Dom Carlos d’arragon:	Si l'on a du respect ici pour votre nom, On admire a la cour Dom Carlos d'arragon:
Tout ie monde l’eſtime, on connoit ſa naiſſance:	Tout homme monde l'estime, on connaît sa naissance:
Comme du vice Roy vous avez l’alliance, Qu’il vous aime, je crois qu’il ſeroit á propos, Que touchant ce ſujet, vous luy diſſiez deux mots.	Comme du vice Roi vous avez l'alliance, Qu'il vous aime, je crois qu'il seroit a propos, Que touchant ce sujet, vous lui dissiez deux mots.
Comme de Dom Carlos vous pourriez voir la flame, Le Vice-Roy ſçauroit auſſi ſonder ſon ame:	Comme de Dom Carlos vous pourriez voir la flamme, Le Vice-Roi sçauroit aussi son son âme:
Puis quand il vous voira, je ſçay que vos appas, Et vótre qualité ne luy deplairont pas.	Puis quand il vous voira, je sais que vos appas, Et vótre qualité ne porte déplairont pas.
Oú pourroit il trouver un parti plus ſortable;	Où pourrait -il trouver un parti plus sortable;
Puiſque ſans vous connoitre il vous ttouve adorable, Qu’il vous a declaré, qu’il eſtoit votre amant, Je tiens l’affaire faite, aimez le ſeulement.	Puisque sans vous connaître il vous touve adorable, Qu'il vous a déclaré, qu'il était votre amant, Je tiens l'affaire faite, aimez le seulement.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Ouy, mais ie veux encor éprouver ſa conſtance.	Oui, mais grands veux encor éprouver sa constance.
Je pretens l’enlever en un lieu d’aſſûrance, Et ſans luy declarer qui je ſuis, je pretens, Qu’il me voye, & m’entende, & c’eſt oú je l’attens:	Je prétends l'enlever en un lieu d'assurance, Et sans lui déclarer qui je suis, je prétends, Qu'il me voie, et m'entende, et c'est oú je l'attends:
Lá je luy feray voir une ardeur, qui l’engage, Et ſi ſon cœur, enfin, peut me reſter pour gage, Ecciiiane ionamoui pour l’objet inconu:	Lo je je ferai voir une ardeur, qui l'engage, Et si son cœur, enfin, peut me rester pour gage, Ecciiiane ionamoui pour l'objet inconu:
Le reſte, Beatrix, ſera bientoſt connu.	Le reste, Beatrix, sera bientôt connu.
Ne dis point qui je ſuis, & luy rens cette lettre.	Ne dis point qui je suis, et deux rends cette lettre.
BEATRIX Je ſçauray ſes ſecrets, & juroue pur promettre, que je decouvriray ce qu’il a ſur le cœur, u l’ecoutant parler de la chambre á ma ſœur, eſt logé tout proche, & mes plaiſanteries, lont fait de ſon valet voir les fripponneries:	BEATRIX Je saurai ses secrets, et juroue pur promettre, que je découvrirai ce qu'il a sur le cœur, écoutant parler de la chambre ma sœur, est logé tout proche, et mes plaisanteries, lont fait de son valet voir les fripponneries:
Par lá je puis ſça voir juſqu’à ce qu’il écrit:	Par lá je puis sa voir jusqu'à ce qu'il écrit:
L'eſt pourquoy vous n’avez qu’á vous guerir l’eſprit.	L'est pourquoi vous n'avez qu'elle vous guérir l'esprit.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Ias donc porter ma lettre, & découvre s’il m’aime.	Jas donc porter ma lettre, et découvre s'il m'aime.
attendray ton retour.	attendrai ton retour.
Ne la rens qu’á luy mème, 'aſche a tout decouvrir juſques au moindre point:	Ne la rends qu'a luy même, 'âche à tout découvrir jusques au moindre point:
lets ton maſque ſur tout, & ne te montre point.	lets ton masque sur tout, et ne te montre point.
SCENI SECONDE BEATRIX SEULE.	SCENI SECONDE BEATRIX SEULE.
E n’y manqueray pas.	E n'y manquerai pas.
pour n’eſtre que ſuivante, le demesle aſſez bien une affaire galante, uand je m’en veux mesler ie n’en ſors pas top mal.	pour n'être que suivante, le démêle assez bien une affaire galante, uand je en veux mêler ie en sors pas top mal.
On dit que Dom Carlos eſt beaucoup liberal, laime ma maitreſſe, & ma fortune eſt faite, ije puis achever le tour que je proiette.	On dit que Dom Carlos est beaucoup libéral, laime ma maîtresse, et ma fortune est faite, ije puis achever le tour que je proite.
Dutre que ſon valet me plait extremement:	Dutre que son valet me plaît extrêmement:
lon intereſt eſt joint à cet evenement, l’argent eſt un doux charme!	lon intérêt est joint à cet événement, l'argent est un doux charme!
& la deſſus j’augure, Qu’il eſt bon de ſçavoir conduire une aventure.	et la dessus j'augure, Qu'il est bon de savoir conduire une aventure.
Lorſque l’on eſt maitreſſe en ce ſçavant métier, On a le cœur des gens, mais on l’a tout entier:	Lorsque l'on est maîtresse en ce Savant métier, On a le cœur des gens, mais on l'a tout entier:
es galans ſont á nous, nous ſommes leur reſſource, it pour nous le prouver ils nous ouvrent leur bource?	ès galants sont > nous, nous sommes leur ressource, it pour nous le prouver ils nous ouvrent leur bource?
cette preuve ſuffit pour ne pouvoir douter, lue c’eſt á bon deſſein qu’ils veulent en conter.	cette preuve suffit pour ne pouvoir douter, lue c'est âme bon dessein qu'ils veulent en conter.
l'eſt pourquoy je pretens ſça voir par cette adreſſe, Si Dom Carlos ſçaura diſtinguer ma maitreſſe, Si c’eſt galanterie, ou veritable amour, Et c’eſt ce que je veux découvrir en ce jour.	l'est pourquoi je prétends sa voir par cette adresse, Si Dom Carlos sçaura distinguer ma maîtresse, Si c'est galanterie, ou véritable amour, Et c'est ce que je veux découvrir en ce jour.
Mais j’apperçoy Guſman:	Mais j'aperçois Gusman:
pour jouer d’artifice, Et me cacher de luy;	pour jouer d'artifice, Et me cacher de parler;
iloumaique m’eſt propice,	iloumaique m'est propice,
DCENE ARCOIDAEIAU GUSMAN.	DCENE ARCOIDAEIAU GUSMAN.
BEATRIX.	BEATRIX.
GUSMAN.	GUSMAN.
U me cherchois ſans doute, Inviſible animal:	V me cherchais sans doute, Invisible animal:
Y Quand tu te ferois voir, croirois tu faire mal:	Y Quand tu te ferais voir, croirais -tu faire mal:
J'en tiens un peu pour toy, mais ſans voir ta figure, Quoy qua mes yeux tu lon u'une nene encolure:	J'en tiens un peu pour toi, mais sans voir ta figure, Quoi qua mes yeux tu lon u'une néné encolure:
Si je ne conſidere, á mongré, ton minois, Tu pouras te reſoudre a reconter deux fois.	Si je ne considère, 5 mongré, ton minais, Tu pour te résoudre a reconter deux fois.
BEATRIX.	BEATRIX.
O le plaiſant Magot pour pretendre a me plaire!	Ô le plaisant Magot pour prétendre à me plaire!
Plus de cent amoureux, à qui je ſuis contraire, Et qui fourtienemene nie preientent leurs vœux, Si je les regardois, ſe tiendroient bien heureux:	Plus de cent amoureux, à qui je suis contraire, Et qui fourtienemene nie préientent leurs vœux, Si je les regardais, se tiendraient bien heureux:
Et tu m’oſes offrir ton viſage fantaſque;	Et tu m'oses offrir ton visage fantasque;
Sur la condition de te parler ſans maſque.	Sur la condition de te parler sans masque.
GUSMAN.	GUSMAN.
Et bien vas laiſſons la cette condition, Lt pout le faire voir qu’elle eſt ma paſſion, Aimons nous but á but;	Et bien vas laissons la cette condition, Lut pout le faire voir qu'elle est ma passion, Aimons nous but but;
pourvûque ſans fineſſe Tume diſe tout franc le nom de ta maiſtreſſe, Sa qualité, ſon bien, & ce qu’elle a d’appas, Je t’espouſe demain, veux tu?	pourvuque sans finesse Tume dise tout franc le nom de ta maîtresse, Sa qualité, son bien, et ce qu'elle a d'appas, Je t'épouse demain, veux tu?
ne veux tu pas?	ne veux tu pas?
BEATRIX Ne te preſſe point tant:	BEATRIX Ne te presse point tant:
lorſque l’on va ſi viſte, n pourroit arriver un peu trop toſt au giſte:	lorsque l'on va si vite, n pourrait arriver un peu trop tôt au gîte:
eux qui me font l’honneur de m’aimer comme toy, nt plus reſpectüeux, & ne font point de loy.	eux qui me font l'honneur de m'aimer comme toi, naît plus respectüeux, et ne font point de loi.
tu pretens m’aimer, écoute, je ſuis fiere.	tu prétends m'aimer, écoute, je suis fière.
n n’acquiert rien de moy, ſi ce n’eſt par prieres de coudeconrauajemon comnoi puo uiis ii voulut comme toy ſe montrer importun.	 n'acquiert rien de moi, si ce n'est par prières de coudeconravajémon comnai pu uivis ji voulut comme toi se montrer importun.
GUSMAN.	GUSMAN.
t’aime bien pourtant, & ſi dans ma pauvre ame, ine diſtingue pas les forces de ma flamme, tu ne vois combien je ſuis gaſté pour toy:	t'aime bien pourtant, et si dans ma pauvre âme, ine distingue pas les forces de ma flamme, tu ne vois combien je suis gâté pour toi:
faimorejuutune auennomeuye clendeue moy, ez maſqué, doux objet, beauté plus que parfaite, ontre toy ſeulement, & ma fortune eſt faite:	faimorejuune avennomeuie clendeue moi, Z masqué, doux objet, beauté plus que parfaite, ontre toi seulement, et ma fortune est faite:
LG BEATRIX.	LG BEATRIX.
iut ce que tu dis lá ne ſçauroit m’animer, des transports plus grands tu dois t’accouſtumer:	jusqu' au que tu dis lá ne saurait m'animer, des transports plus grands tu dois t'accoutumer:
n’eſt rien que cela.	n'est rien que cela.
2	2
GUSMAN.	GUSMAN.
Tu veux uone que je meure?	Tu veux one que je meure?
BEATRIX.	BEATRIX.
devrois te tüer devant moy tout a l’heure:	devrais te tuer devant moi tout à l'heure:
la me prouveroit ſi tu m’aimes ou non.	la me prouverait si tu m'aimes ou non.
GHSMAN.	GHÊMAN.
e t'en reviendroit il, Inviſible guenon?	Je t'en reviendrait -il, Invisible guenon?
ne ſuis pas ſi ſot de mourir de la ſortes ſi je meurs pour toy que le diable m’emporte.	ne suis pas si sot de mourir de la sortes si je meurs pour toi que le diable m'emporte.
BEATRIX.	BEATRIX.
fleurette eſt mignone!	fleurette est mignone!
& je me doutois bien, e je pourois par lá terminer l’entretienangeons donc de diſeours.	et je me doutais bien, je pourrais par lá terminer l'entretiengeons donc de diseours.
Si tune fais paroitre, Maintenant, á mes yeux, les ſecrets de ton maitre, Ce que pour ma maitreſſe il peut ſentir d’amour, Ta mort eſt aſſûrée avant la fin du jour.	Si tune fais paroitre, Maintenant, mes yeux, les secrets de ton maître, Ce que pour ma Si ilune fais pamour, Ma mort est assûrée avant a fin du jour,
GUSMAN.	GUSMAN.
gue ne puiſſance as tu qui ſoit ſi ſinguliere, Pour m’envoyer ce ſoir coucher au cimetiere?	gué ne puissance as tu qui soit si singulière, Pour m'envoyer ce soir coucher au cimetière?
7 BEATRIX.	7 BEATRIX.
Ma maitreſſe içait tout, juiqu’aux prus grands malhet Et comme elle, je lis juſques au fons des cœurs.	Ma maîtresse içait tout, juiqu'aux prus grands malhet Et comme elle, je lis jusqu' au fons des cœurs.
GUSMAN.	GUSMAN.
S’il eſt vray que tu ſois ſi fertille en adreſſe, Tu ſçay bien ſi mon maitre adore ta maitreſſe.	S'il est vrai que tu sois si fertille en adresse, Tu sais bien si mon maître adore ta maîtresse.
BEATRIX.	BEATRIX.
Je ne l’ignore pas, Et pour te faire voir, Que les plus grands ſecrets ſont tous en mon pou voi N’as tu pas pris tantoſt trois ducats à ton maiſtre?	Je ne l'ignore pas, Et pour te faire voir, Que les plus grands secrets sont tous en mon pou ore N'as tu pas pris tantôt trois ducats à ton maître?
Ne les as tu pas fait auſſi toſt diſparoiſtre?	Ne les as tu pas fait aussi tôt disparaître?
Le coin de ta paillace ou tu cache cet or,	Le coin de ta paillace ou tu cache cet or,
GUSMAN.	GUSMAN.
Je voudrois volontiers te faire une priere	Je voudrais volontiers te faire une prière
Parle.	Parle.
BEATRIX.	BEATRIX.
GUSMAN.	GUSMAN.
Je veux ſçavoir ſi tu n’es point ſorci Ce que tu viens de dire eſt ſi fort ſurprenant, Lejo iray jamais veu rien de plus étonnant.	Je veux sais si tu n'es point sorci Ce que tu viens de dire est si fort surprenant, Lejo irai jamais vu rien de plus étonnant.
Lorſque j’ay fait cela, j’eſtois ſeul dans la chambre, Et tu me fais trembler de peur en chaque membre.	Lorsque j'ai fait cela, j'étais seul dans la chambre, Et tu me fais trembler de peur en chaque membre.
Si mon maitre le ſçait, je ſuis pris pour un ſot, Et je ne pretens pas te mentir d’un ſeul mot:	Si mon maître le sais, je suis pris pour un sot, Et je ne prétends pas te mentir d'un seul mot:
ſſſi bien je vois trop par mon experience, e je ne puis douter, que tu ſçais ta ſcience.	senssi bien je vois trop par mon expérience, je ne puis douter, que tu sais ta science.
vais tout decouvrir:	vais tout découvrir:
mais promets moy donc bien uchant les trois ducats, que tu ne diras rien	mais promets moi donc bien uchant les trois ducats, que tu ne diras rien
ens toy ſeur de cela.	ens toi sûr de cela.
BEATRIX.	BEATRIX.
GUSMAN.	GUSMAN.
Tu ſcais bienque mon maitre udroit voir ta maitreſſe, & la voudroit connoitre:	Tu sais bienque mon maître udroit voir ta maîtresse, et la voudrait connaître:
utes fois qu'T l’adore.	utes fois qu'T l’adore.
& s’il eſtoit certain la conidicion, eu igais que dés demain eroit ſon mary, tant ſon ardeur extreme, fait extravaguer pour voir celle qu’il aime.	et s'il était certain la conidicion, eu igais que dès demain erait son mari, tant son ardeur extrême, fait extravaguer pour voir celle qu'il aime.
BEATRIX.	BEATRIX.
31d iy je ſçais tout cela:	31d y je sais tout cela:
mais prens bien garde a toy?	mais prends bien garde a toi?
tu peux declarer ce que tu ſçais de moy:	tu peux déclarer ce que tu sais de moi:
is certain, auſſi toſt, que tu perdras la vie.	is certain, aussi tôt, que tu perdras la vie.
nges y.	néges y.
LER IO'IDEEISU	LER JO'IDEISU
GUSMAN.	GUSMAN.
Par ma foy je n’en ay point d’envio,	Par ma foi je n'en ai point d'envio,
BEATRIX à part.	BEATRIX à part.
on maiſtre vient:	on maître vient:
Adieu, je me cache un moment, iin de découvrir qu’el eſt ſon ſentiment.	Adieu, je me cache un moment, jin de découvrir qu'el est son sentiment.
SCENE QUATRIEME BEATRIX Cacheé.	SCÈNE QUATRIÈME BEATRIX Cacheé.
DOM CARLOS.	DOM CARLOS.
DOM FERNAND.	DOM FERNAND.
GUSMAN.	GUSMAN.
OI DOM FERNAND.	OI DOM FERNAND.
Om Carlos prenez part au bonheur de ma flame.	Om Carlos prenez part au bonheur de ma flamme.
Comme deux vrais amis doivent avoir méme ame:	Comme deux vrais amis doivent avoir même âme:
Je ne veux rien cacher à vos yeux deſormais:	Je ne veux rien cacher à vos yeux désormais:
Enfin ie ſuis heureux, ſi l’on le fut iamais:	Enfin ici suis heureux, si l'on le fut jamais:
J’épouſeray demain Leonor ſans remiſe, Et ces ſubtilités, que l’amour authoriſe, Ces declarations qu’on cache avec tant d’art, Ces ſoubçons mal fondés n’ont plus chez nous de p Que vous diray ie enfin, mon bonheur eſt extreme:	J'épouserai demain Leonor sans remise, Et ces subtilités, que l'amour autorise, Ces déclarations qu'on cache avec tant d'art, Ces soubçons mal fondez n'ont plus chez nous de Que vous dirai assez enfin, mon bonheur est extrême:
Puisque je ſuis aimé du moins autant que i’aime, Lt que uemam ihyinen anuine ion namueau, Pour mettre entre mes mains ce qu’il a de plus beau	Puisque je suis aimé du moins autant que j'aime, Lt que uemam ihinen anuine ion namueau, Pour mettre entre mes mains ce qu'il a de plus beau
DOM CARLOS.	DOM CARLOS.
Leonor, il eſt vray, me paroit adorable:	Leonor, il est vrai, me parait adorable:
Et ſi mon Inviſible eſtoit autant aimable:	Et si mon Invisible était autant aimable:
Que ne ferois je point pour decouvrir mon feu;	Que ne ferais je point pour découvrir mon feu;
Que ne ferois je point pour auoir ſon aveu?	Que ne ferais -je point pour avoir son aveu?
Je l’aime, examinez iuſqu’ou va ma foibleſſe;	Je l'aime, examinez jusqu'ou va ma faiblesse;
La raiſon, de mon cœur ceſſe d’eſtre maiſtreſſe, Ce n’eſt plus que l’amour qui me donne la loy, Et je ne puis ſçavoir de qui je la reçoy!	La raison, de mon cœur cesse d'être maîtresse, Ce n'est plus que l'amour qui me donne la loi, Et je ne puis savoir de qui je la reçois!
Deaute qui vous cuclez, eapuquez vous de grace:	Deaute qui vous cuclez, eapuquez -vous de grâce:
Declarez moy du moins ce qu’il faut que je faſſe?	Déclarez -moi du moins ce qu'il faut que je fasse?
Quel eſt donc le ſuiet, qui vous fait m'enflammer, Si vous ne voulez pas vous montrer, & m’aimer.	Quel est donc le sujet, qui vous fait m'enflammer, Si vous ne voulez pas vous montrer, et m'aimer.
BEATRIX.	BEATRIX.
à part.	à part.
C’en eſt fait, il eſt pris, je n’en fais aucun doute, Et ma maitreſſe & luy ſuivent la méme route.	C'en est fait, il est pris, je n'en fais aucun doute, Et ma maîtresse et et suivent la même route.
DOM CARLOS.	DOM CARLOS.
Mais n’admirez vous pas la rigueur de mon ſort!	Mais n'admirez -vous pas la rigueur de mon sort!
1 .	1 .
GUSMAN.	GUSMAN.
.	.
70 Eh Monſieur, croyez moy, ne crez point n fort, accuſez point le ſort de vôtre amour extreme:	70 Eh Monsieur, croyez moi, ne crez point n fort, accusez point le sort de votre amour extrême:
iisque vous n’en devez accuſer que vous méme:	jisque vous n'en devez accuser que vous -même:
ne vous verrois pas au trouble ou je vous voy, vous n’aviez point tant cauſé dans le tournoy.	ne vous verrais pas au trouble ou je vous vois, vous n'aviez point tant causé dans le tournoi.
ais je vous gueriray, ſi vous me voulez croire.	ais -je vous guérirai, si vous me voulez croire.
otre inviſible lit par cœur dans le grimoire:	outre invisible lit par cœur dans le grimoire:
i dſt qu’elle eſt lorciere, & la luivante auſſi :	y dût qu'elle est lorcière, et la luivante aussi :
ſi je viens d’en eſtre amplement eclairci.	si je viens d'en être amplement éclairci.
DOM FERNAND.	DOM FERNAND.
ais ſur quoy fondes tu ee que tu viens de dire:	ais sur quoi fondes tu ce que tu viens de dire:
GUSMAN.	GUSMAN.
4 and je vous le diray, vous n’enferez que rire:	4 and je vous le dirai, vous n'enferez que rire:
mſe blenimnodiemovme, & ne vous dire rien	mse blenimnodiemovme, et ne vous dire rien
moy tout, DOM CARLOS.	moi tout, DOM CARLOS.
GUSMAN.	GUSMAN.
Quelque fot, il y va trop du mien, peits j’allois faire une belle ſottiſe, deja je pouſſois une belle entrepriſe,	Quelque sot, il y va trop du mien, pits j'allais faire une belle sottise, déjà je poussais une belle entreprise,
DOM CARLOS.	DOM CARLOS.
