De Voſtre Majeſté,	De Votre Majesté,
ARGANT.	ARGANT.
Que c'en ſoit le ſujet, ie ne l’eſtime pas, Vous n'auez, que tropbienfiguré ſes appas!	Que c'en soit le sujet, je ne l'estime pas, Vous n'avez, que tropbienfiguré ses appas!
LYSANOR entre, & donnant vn billet à Paris, luy dit.	LYSANOR entre, et donnant un billet à Paris, tu dit.
Ce mot s’adreſſe à vous, & le Roy vous commande De ne point differer l’affaire qu'il vous mande.	Ce mot s'adresse à vous, et le Roi vous commande De ne point différer l'affaire qu'il vous mande.
ARIS.	ARIS.
Cieſanoiauu juiſfemnemene, de tu reception, Qu'il faut faire à l'obiect de ſon affection.	Ciesanoiavu juisfemnement, de tu réception, Qu'il faut faire à l'objet de son affection.
Il ouure le billet, & lit,	Il ouvre le billet, et lit,
Contenu du billet.	Contenu du billet.
Paris, reconduiſez la Reine en ſes païs, Les Rois ſans s’expliquer doiuenteſtre obeïs.	Paris, reconduisez la Reine en ses pays, Les Rois sans s'expliquer doiuentestre obéis.
Il continuë.	Il continue.
Ha Dieux!	Ha Dieux!
quelle inconſtance à la ſienne eſt pareille?	quelle inconstance à la sienne est pareille?
Ie doute ſi ie lis, ie doute ſi ie veille, En cét eſtonnement la force me defaut;	Je doute si ici lis, ie doute si On veille, En cet étonnement la force me défaut;
Mais voyez Lyſanor ſi i'ay leu comme il faut.	Mais voyez Lysanor si j'ai lu comme il faut.
LYSANOR lit le billet.	LYSANOR lit le billet.
PARIS continuë.	PARIS continue.
Ha Ciel!	Ha Ciel!
il eſt tropvray, mes doutes ſont friuoies Et ie vous faits en vain repeter ces paroles.	il est tropvrai, mes doutes sont frivoies Et ici vous faits en vain répéter ces paroles.
Abusé, quel mal-heur à ton bien diuerty, Connois-tu la priſon dont ton cœur eſt ſorty?	Abusé, quel malheur à ton bien diverti, Connais-tu la prison dont ton cœur est sorti?
Voy, Monarque inconſtant, ceſte rare merueille, Ton œil en iugerabien mieux que ton oreille, Si tu n’es ébloüy par ſes moindres attraits, Si tu ne ſens ton cœur percé de mille traits, Si tu luy peux nier ny tes vœux ny ton ame, Si tu peux l’oublier, ſi tu n’és tout de flame, Si nous ne te voyons reſſerrer tes liens, Si les larmes aux yeux tu n'adores les ſiens, Ie verray ſans regret ton humeur refroidie, Mon eſprit ſatis fait loüera ta perfidie.	Vois, Monarque inconstant, cette rare merveille, Ton œil en jugerabien mieux que ton oreille, Si tu n'es ébloui par ses moindres attraits, Si tu ne sens ton cœur percé de mille traits, Si tu donner peux nier Seigneur tes vœux ni ton âme, Si tu peux l'oublier, si tu n'avez tout de flamme, Si nous ne te voyons resserrer tes liens, Si les larmes aux yeux tu n'adores les siens, Je verrai sans regret ton humeur refroidie, Mon esprit satî fait loüera ' perfidie.
LISANOR.	LISANOR.
Si vous me permettez de parler librement, Poßible ſerons nous d’vn meſme ſentiment:	Si vous me permettez de parler librement, Possible serons nous d'un même sentiment:
Auex tous it meur eſure eſui te foueſfton unec peine, Que vous parlaßiez tant des beautez de la Reine, Ie croy qu’il a iugé, voyant voſtre action, Que vous en diſcouriez par inclination.	Avecx tous it eur esure esui te fouéfton unec peine, Que vous parlassiez tant des beautés de la Reine, Je crois qu'il a jugé, voyant votre action, Que vous en discouriez par inclination.
IS.	IS.
Il eſt vray;	Il est vrai;
ie pouuois moderer ces loüanges:	Le pouvais modérer ces langes:
Mais peut-on dire trop, quand on parle des Anges?	Mais peut-on dire trop, quand on parle des Anges?
Donc ie n’auray pour prix d’auoir fait mon deuoir uefuſauuſpromaque ie vais receuoir?	Donc ici n'aurai pour prix d'avoir fait mon devoir uefusauuspromaque ie vais recevoir?
Mais il faut obeïr:	Mais il faut obéir:
Ha Dieux!	Ha Dieux!
en cette peine, cate De quel œil faudra-t’il que i'aborde la Reine.	en cette peine, cate De quel œil faudra-t-il que j'aborde la Reine.
Aue dirter.	Ave dirter.
Puiſque de trop loüer ce mal eſt prouenu, Monſieur, i'ay bien deſſein d’eſtre plus retenú, Et ceux poſſederont des merites estranges, Qui ſe pourront vanter d’auoir de mes loüanges.	Puisque de trop louer ce mal est provenu, Monsieur, j'ai bien dessein d'être plus retenú, Et ceux posséderont des mérites étranges, Qui se pourront vanter d'avoir de mes langes.
GENE III.	GENE III.
LE ROY, TIMANDRE, ALCANDRE, LYSANOR.	LE ROY, TIMANDRE, ALCANDRE, LYSANOR.
LE ROY, embraſſant Timandre.	LE ROY, embrassant Timandre.
Est ta ſœur, cher Timandre!	Est ta sœur, cher Timandre!
agreable diſcours!	agréable discours!
Quel Astre est plus heureux que celuy at ines toms :	Quel Astre est plus heureux que celui at es toms :
1 Mais ſois plus fauorable à l’ardeur qui me preſſe, Amene dans ces lieux ceste belle maistreſſe.	1 Mais sois plus favorable à l'ardeur qui me presse, Amène dans ces lieux cette belle maîtresse.
Ie iure par le Ciel que cét obiect vainqueur, Gouuernera mon Sceptre außi bien que mon cœur	Je jure par le Ciel que cet objet vainqueur, Gouvernera mon Sceptre aussi bien que mon cœur
TIMANDRE.	TIMANDRE.
Sire, nous cherirons d’vne amour eternelle La chaste intention que vous aueZ pour elle, Et ce point ſeul nous manque en vn bon-heur ſi doux, Qu'elle a trop peu d’attraits pour vn ſi digne Eſpoux.	Sire, nous chérirons d'une amour éternelle La chaste intention que vous avez pour elle, Et ce point seul nous manque en un bonheur si doux, Qu'elle a trop peu d'attraits pour un si digne Époux.
LE ROY.	LE ROY.
Ie ſçay mieux estimer cét obiect adorable, A qui iamais le Ciel n'en fit vn comparable.	Je sais mieux estimer cet objet adorable, À qui jamais le Ciel n'en fit un comparable.
ALCANDRE, Tout bas.	ÀLCANDRE, Tout bas.
Dieux!	Dieux!
comment puis-ie ouir ce faſcheux entretien?	comment puis-je ouï ce fâcheux entretien?
Où i'entens mon riual ſe promettre mon bien.	Où j'entends mon rival se promettre mon bien.
LE ROY.	LE ROY.
Où brille maintenant cét astre de ma vie?	Où brille maintenant cet astre de ma vie?
Allons-y, cher Timandre, oblige mon enuie.	Allons-y, cher Timandre, oblige mon envie.
Mais non, va le premier luy preſenter mes vœux, Et diſpoſer ſon cœur à l’Hymen que ie veux.	Mais non, va le premier avait présenter mes vœux, Et disposer son cœur à l'Hymen que ie veux.
TIMANDRE.	TIMANDRE.
T'y vay:	T'y vay:
Mais vous ſçaueZ quel ſerment vous enSire, ſouueneZ vous qu'elle est, & Noble, & ſage.	Mais vous savez quel serment vous enSire, souvenez -vous qu'elle est, et Noble, et sage.
Ils s’en vont.	Ils s'en vont.
ALGANDRE demeure ſeul.	ÀLGANDRE demeure seul.
Quel mal-heur est égal aux rigueurs de mon ſort, Qui m'a faict aßister à l’Arrest de ma mort?	Quel malheur est égal aux rigueurs de mon sort, Qui m'a fait aussi à l'Arrest de ma mort?
RompreZ vous iustes Dieux le beau nœud qui nous AueZvous reſolu de m'oster Roſelie?	Romprez -vous justes Dieux le beau nœud qui nous AueZvous résolu de m'ôter Roselie?
LaiſſereZ vous ſans prix mes chastes paßions?	Laissez -vous sans prix mes chastes passions?
Ne peut-on diuertir vos reſolutions?	Ne peut-on divertir vos résolutions?
Mourray-ie deſormais d’vne mort eternelle?	Mourrai-je désormais d'une mort éternelle?
Car c’est mourir touſiours que de viure ſans elle;	Car c'est mourir toujours que de vivre sans elle;
Va porter, Dieu des cœurs, ton bandeau ſur ſes jeme, Pour la rendre inſenſible aux pompes de ces lieux.	Va porter, Dieu des cœurs, ton bandeau sur ses jeme, Pour la rendre insensible aux pompes de ces lieux.
SENVE TV LA REINE, FLORINEE, & autres Seruiteurs.	SENVE TU LA REINE, FLORINE, et autres Serviteurs.
M A LA REHE.	M À LA REHÉ.
Aris tarde baiucoup;	Aris tarde baiucoup;
ie bruſle Florinee, De voir à quel eſpoux le Ciel m'a destinee?	Ne brûle Florine, De voir à quel époux le Ciel m'a destine?
FLORINEE.	FLORINE.
Madame le voicy;	Madame le voici;
ſoyez plus en repos:	soyez plus en repos:
Certes vous n'en pouuiez parler plus à propos.	Certes vous n'en pouviez parler plus à propos.
C 1 Madame, commandez qu'elle me ſoit rauie;	Ç 1 Madame, commandez qu'elle me soit ravie;
Ie viens offrir ce corps au treſpas merité Par quiconque deſplaiſt à voſtre Maieſté;	Je viens offrir ce corps au trépas mérité Par quiconque déplaît à votre Majesté;
Ie ſuis digne de mort, l’ayant deſobligee, Et ie mourray content ſi vous eſtes vangee.	Je suis digne de mort, l'ayant désobligée, Et tu mourrai content si vous êtes venge.
LA REINE.	LA REINE.
Si tu m'as pû faſcher c'eſt par ces longs diſcours;	Si tu m'as pu fâcher c'est par ces longs discours;
Acheüe, quel mal-heur trauerſe nos amours.	Acheve, quel malheur traverse nos amours.
ARIS.	ARIS.
Que la constance eſt rare au ſeiour où nous ſommes, Et qu'elle arreſte peu dans les esprits des hommes:	Que la constance est rare au séjour où nous sommes, Et qu'elle arrête peu dans les esprits des hommes:
Qu'on treuue de folie aux cerueaux les plus ſeins, Et qu’il faut peu de choſe à changer leurs deſſeins;	Qu'on trouve de folie aux cerveaux les plus seins, Et qu'il faut peu de chose à changer leurs desseins;
Qu'vn muable deſtin tient leur ame aſſeruie, Et que le vent eſt ſtable au prix de leur enuie	Qu'un muable destin tient leur âme asservie, Et que le vent est stable au prix de leur envie
LA REINE.	LA REINE.
Ie ſçay d’où te prouient cette admiration;	Je sais d'où te provient cette admiration;
Le Roy s'est repenty de ſon election.	Le Roi s'est repenti de son élection.
PARIS.	PARIS.
Que ſes legeretez n'ont vn autre miniſtre?	Que ses légèreté n'ont un autre ministre?
Pourquoy m’a-t’il choſy pour ce corbeau ſinistre?	Pourquoi m'a-t-il chosi pour ce corbeau sinistre?
Mais c'est faire languir vostre eſprit trop long temps, Et ie differe trop le treſpas que i'attends.	Mais c'est faire languir votre esprit trop long temps, Et grands diffère trop le trépas que j'attends.
Le Roy veut que Paris vous remene en vos terres;	Le Roi veut que Paris vous remène en vos terres;
A ce mot:	À ce mot:
iuſtes Dieux!	justes Dieux!
où ſont tous vos tonnerres?	où sont tous vos tonnerres?
Son eſprit est changé, vostre eſpoir est deçeu Par le moindre ſujet qu'on ait iamais conçeu;	Son esprit est chargé, votre espoir est déçu Par le moindre sujet qu'on ait jamais conçu;
I'ay trop bien exprimé les traicts de ce viſage, Et pleignant vn Soleil, i'ay causé de l’ombrage;	J'ai trop bien exprimé les traits de ce visage, Et pleignant un Soleil, j'ai causé de l'ombrage;
Il a creu que faiſant tant dadmiration, Ie luy parlois de vous par inclination.	Il a cru que faisant tant dadmiration, Je lui parlais de vous par inclination.
LA REINE.	LA REINE.
Leuez vous;	Levez -vous;
c’eſt aſſez, vous m’auez, obligee, De m’apprendre vn affront dont ie mourray vangee, Mieux vaut cognoistre tost ces eſprits inconſtans, Que quand l’Hymen nous ioint, & qu’il n'en est plus temps;	c'est assez, vous m'avez, oblige, De m'apprendre un affront dont ie mourrai venge, Mieux vaut connaître tôt ces esprits inconstants, Que quand l'Hymen nous joint, et qu'il n'en est plus temps;
Au reste, ſi de vous ceste humeur luy procede Il faut que ſon merite à vos merites cede;	Au reste, si de vous cette humeur te procède Il faut que son mérite à vos mérites cède;
Et vos perfections ſont plus dignes de moy:	Et vos perfections sont plus dignes de moi:
Car on n'est point ialoux d’vn moins parfait que ſoy:	Car on n'est point jaloux d'un moins parfait que soi:
Rendre les ſoupçons vrais, c'est le propre des femmes.	Rendre les soupçons vrais, c'est le propre des femmes.
Paris, il faut qu'Hymen conioigne nos deux anses, Mes deſſeins valent faits außi toſt que conçeus;	Paris, il faut qu'Hymen conjoigne nos deux anses, Mes desseins valent faits aussi tôt que conçus;
Partons, il ne faut point mediter là deſſus.	Partons, il ne faut point méditer là -dessus.
Elle entre.	Elle entre.
ARGANT.	ARGANT.
O Dieux!	Ô Dieux!
l’heureux effect d’auoir loüé la Reine, La reſolution que i'auois faite eſt vaine.	l'heureux effet d'avoir loué la Reine, La résolution que j'avais faite est vaine.
Monſieur, ie loüeray tout, & feray des ialoux, Lam que par te moyen ie ſou Roycomme vous.	Monsieur, Seigneur louerai tout, et ferai des jaloux, Lam que par te moyen apprenez sou Roycomme vous.
PARIS eſtonné.	PARIS étonné.
Icy le ſort Paris eſpreuue ta conſtance, Pourras-tu contre vn Sceptre vſer de reſiſtance?	Ici le sort Paris épreuve ta constance, Pourras-tu contre un Sceptre user de résistance?
Icy deux Deitez ſe preſentent à toy, L'vne te rend heureux, & l’autre te fait Roy;	Ici deux Deitez se présent à toi, L'une te rend heureux, et l'autre te fait Roi;
Roſelie & la Reine ont des appas extremes, L'vne offre des plaiſirs, l’autre des Diademes;	Roselie et la Reine ont des appas extrêmes, L'une offre des plaisirs, l'autre des Diademes;
C’eſt à toy de nommer ou Venus, ou Iunon:	C'est à toi de nommer ou Venus, ou Junon:
Mais imites celuy dont tu portes le nom;	Mais imites celui dont tu portes le nom;
e Sreuulojpls jaumls a quix I'incline en ta faueur, ton merite me lie, L'eſpoir de t'acquerir me fait tout dédaigner, Ie prefere tes fers à l’honneur de regner.	Es Sreuulojpls jaumêls à quix J'incline en ta faveur, ton mérite me lie, L'espoir de t'acquérir me fait tout dédaigner, Je préfère tes fers à l'honneur de régner.
AR GANT.	AR GANT.
Dieux!	Dieux!
qu'vn Astre inſenſé regit ſa destinee, Le plaiſant Dom Quichot auec ſa Dulcinee, Ie croy qu'on le gauſſoit, luy parlant d’eſtre Roy, Fut-il iamais Sancho plus mal-heureux que moy?	qu'un Astre insensé régit sa destinée, Le plaisant Dom Quichot homme sa Dulcinée, Je crois qu'on le gaussait, lui parlant d'être Roi, Fut-il jamais Sancho plus malheureux que moi?
ACTE TROISIESME SCENE PREMIERE.	ACTE -TROISIÈME SCÈNE PREMIÈRE.
LE ROY, ROSELIE, ALCANDRE.	LE ROY, ROSELIE, ALCANDRE.
LE ROY.	LE ROY.
E me fay point languir, prononce ma ſentence, Dois-ie eſperer le prix, ou bien la repentance, Ne m'aſſaßine plus de ces froids complimens, Et ne me parle point contre tes ſentimens.	E me fais point languir, prononce ma sentence, Dois-je espérer le prix, ou bien la repentance, Ne m'assassine plus de ces froids compliments, Et ne me parle point contre tes sentiments.
Ton cœur eſt à l’amour comme le mien ſenſible.	Ton cœur est à l'amour comme le mien sensible.
Et puis qu'il en eſt digne il en eſt ſuſceptible;	Et puis qu'il en est digne il en est susceptible;
Nature en nous formant trauaille auec deſſein, Et ſeule aux paßions nous diſpoſe le ſein;	Nature en nous formant travaille avec dessein, Et seule aux passions nous dispose le sein;
Ce qui doit eſtre aimé, ſon ſoing le rend aimable;	Ce qui doit être aimé, son soing le rend aimable;
Ce que l’on doit hair, il eſt deſagreable;	Ce que l'on doit haïr, il est désagréable;
Elle met en la voix, aux yeux, au port, au pas, L'ordonnancé d'aimer, ou bien de n'aimer pas, Et touſiours elle rend cett’ouuriere ſupreſme Suſceptible d’amour ce qu'elle veut qu'on aime;	Elle met en la voix, aux yeux, au port, au pas, L'ordonnancé d'aimer, ou bien de n'aimer pas, Et toujours elle rend cett’ouvrière suprême Susceptible d'amour ce qu'elle veut qu'on aime;
Ces difformes obiects qu'elle fait par meſpris, Ne peuuent iamais prendre, & ne ſont iamais pris;	Ces difformes objets qu'elle fait par mépris, Ne peuvent jamais prendre, et ne sont jamais pris;
A leur groſsiere humeur leurs ames obeyſſent Ils ſuiuent leur iuſtice, on les hait, ils hayſſent, Sans treuuer toutefois leur destin rigoureux:	À leur grossière humeur leurs âmes obéissent Ils suivent leur justice, on les hait, ils haïssent, Sans trouver toutefois leur destin rigoureux:
Car la loy de l’amour n'eſt pas faite pour eux.	Car la loi de l'amour n'est pas faite pour eux.
Les belles paſsions ſont pour les belles ames, Eles peunen donner, & receuoir des flammes, Et ſeule de ce rang tu veux faire eſtimer, Que tu nous peux contraindre à l’amour ſans aimer.	Les belles passions sont pour les belles âmes, Éles peunen donner, et recevoir des flammes, Et seule de ce rang tu veux faire estimer, Que tu nous peux contraindre à l'amour sans aimer.
ROSELIE.	ROSELIE.
v nouurier peut manquer, & formant vne choſe, Il n'obtient pas touſiours la fin qu’il ſe propoſe;	vom nouvrier peut manquer, et formant une chose, Il n'obtient pas toujours la fin qu'il se propose;
Nature quelquefois peut deſigner en vain, Et l’on a veu ſortir des monstres de ſa main.	Nature quelquefois peut désigner en vain, Et l'on a vu sortir des monstres de sa main.
ALCANDRE.	ÀLCANDRE.
Diuin obiect d’amour!	Divin objet d'amour!
esprit plus qu'adorable!	esprit plus qu'adorable!
Que priué de tes vœux ie viurois miſerable?	Que privé de tes vœux ici vivrais misérable?
LE ROY.	LE ROY.
Apres t'auoir fait naiſtre, elle a beau mediter, Elle ne ſçauroit plus ſoy-meſme s'imiter.	Après t'avoir fait naître, elle a beau méditer, Elle ne saurait plus soi-même s'imiter.
ROSELIE	ROSELIE
ROSELIE.	ROSELIE.
Sire, à ces complimens ie demeure muette, Tous les miroirs ſont faux, ou ie ſuis moins parfaite.	Sire, à ces compliments était demeure muette, Tous les miroirs sont faux, ou ainsi suis moins parfaite.
ALCANDRE.	ÀLCANDRE.
Qu'vn honneſte reſpect à ſa froideur eſt ioint?	Qu'un honnête respect à sa froideur est joint?
Adorable beauté, qui ne t'aimeroit point?	Adorable beauté, qui ne t'aimerait point?
Voy dans ce cœur ardant les charmes de ta grace, Et ne t'aſſeure point au rapport d’vne glace;	Vois dans ce cœur ardant les charmes de ta grâce, Et ne t'assure point au rapport d'une glace;
Car cene ſiue yeou jes mumnares ornemens, Elle ſe doit mirer aux cœurs de ſes amans;	Car cène siue yeou jes mumnares ornements, Elle se doit mirer aux cœurs de ses amants;
Et les voyant bruſler d’vne ardeurexceßiue, Croire qu'elle ne cede à nul obiect qui viue.	Et les voyant brûler d'une ardeurexcessiue, Croire qu'elle ne cède à nul objet qui vive.
OSELIE.	OSELIE.
Mais comme les miroirs, ils peuuent eſtre faux, Et ſouz de beaux crayons nous monſtrer nos deffaux;	Mais comme les miroirs, ils peuvent être faux, Et souz de beaux crayons nous montrer nos défauts;
Tel dira bien ſouuent qu'vn bel œil le conſume, Qui n'eut iamais d’amour, & flatte par couſtume.	Tel dira bien souvent qu'autre bel œil le consume, Qui n'eut jamais d'amour, et flatte par coutume.
ALCANDRE.	ÀLCANDRE.
Agreable combat, que tu m’es important!	Agréable combat, que tu m'es important!
Ciel!	Ciel!
qu’ay-ie merité, que tu m'aßiſtes tant?	qu'ai-je mérité, que tu m'aussi tant?
LE ROY.	LE ROY.
Sans rechercher, mon cœur, ces repliques friuoles, Tu me peux repartir auecques deux paroles;	Sans rechercher, mon cœur, ces repliques frivoles, Tu me peux répartir avec deux paroles;
Dy, l’amour m'a bleſsee, & ſes traits me ſont doux:	Dis, l'amour m'a blessée, et ses traits me sont doux:
Mais ils me ſont venus d’vn autre obiect que vous;	Mais ils me sont venus d'une autre objet que vous;
Dy que tu n'aime pas d’vne façon commune, Et que tu ne veux rien donner à la fortune;	Dis que tu n'aime pas d'une façon commune, Et que tu ne veux rien donner à la fortune;
Qu'il te faut meriter afin de t’acquerir;	Qu'il te faut mériter afin de t'acquérir;
Que tu veux qu'on te bleſſe auant que de guerir.	Que tu veux qu'on te blesse avant que de guérir.
Bannis de tes diſcours cette friuole crainte, I’abhorreray vn bien qui vient de la contrainte, Te parlant du braſier que tu reſſens ſi peu, Ce n'est pas en vn fort que ie porte le feu;	Bannis de tes discours cette frivole crainte, J'abhorrerai un bien qui vient de la contrainte, Te parlant du brasier que tu ressens si peu, Ce n'est pas en un fort que tu porte le feu;
Ie n'ay pas reſolu d’embraſer vne ville, On n’agit pas ainſi dans l’eſprit d’vne fille;	Je n'ai pas résolu d'embraser une ville, On n'agit pas ainsi dans l'esprit d'une fille;
Pour la bruſler d’vn feu ſi plaiſant & ſi beau, Ejuin qu'elle y conſente, & tienne le flambeau:	Pour la brûler d'être feu si plaisant et si beau, Ejuin qu'elle y consente, et tienne le flambeau:
Mais ie prolonge trop vn diſcours qui te geſne;	Mais ici prolonge trop un discours qui te gêne;
Adieu, ſonge à ſerrer ou deſnoüer ma chaiſne, Eſtime, cependant, que tous mes fœux ſont ſaincts, Et que c’eſt à l’Hymen que tendent mes deſſeins.	Adieu, songe à serrer ou dénouer ma chaîne, Estime, cependant, que tous mes fœux sont saints, Et que c'est à l'Hymen que tendent mes desseins.
Il s’en va.	Il s'en va.
ALCANDRE à Roſelie.	ÀLCANDRE à Roselie.
Voila vous aſſaillir de ſes plus fortes armes, Vous propoſant l’Hymen, vn Sceptre a bien des charmes:	Voilà vous assaillir de ses plus fortes armes, Vous proposant l'Hymen, un Sceptre a bien des charmes:
Uoila bien dequoy mettre vn esprit en ſoucy, L’amour eſt bien puiſſant, mais la fortune außi;	Uoilà bien dequoy mettre un esprit en souci, L'amour est bien puissant, mais la fortune aussi;
Mon frere a reconnu le naturel des femmes;	Mon frère a reconnu le naturel des femmes;
Il ſçait par quel moyen on peut toucher leurs ames Aruuutine, ceſe ut uucoup que u eſpouſer vn Roy, Et que de voir vn monde obeïr à ſa loy.	Il sçait par quel moyen on peut toucher leurs âmes Aruvutine, cese ut lucoup que jouer un Roi, Et que de voir un monde obéir à sa loi.
OSELIE.	OSELIE.
Ne preſiday-ie plus à voſtre ame aſſeruie, Dieux!	Ne présidai-je plus à votre âme asservie, Dieux!
par quel accident, Eſtes vous deuenu, chere ame de ma vie, De ſonriual ſon confident?	par quel accident, Êtes vous devenu, chère âme de ma vie, De sonrival son confident?
ALGANDRE.	ÀLGANDRE.
Et par quel accident l'eſclat qui l’enuironne, Ne peut-il vous toucher, Si l’amour vous peut faire haïr vne Couronne, Il eſt vn dangereux archer.	Et par quel accident l'éclat qui l'environne, Ne peut-il vous toucher, Si l'amour vous peut faire haïr une Couronne, Il est un dangereux archer.
ROSELIE.	ROSELIE.
Ha!	Ha!
ne me laiſſez point en cette crainte extréme Ne ſongeons point au Roy;	ne me laissez point en cette crainte extrême Ne songeons point au Roi;
Le deſſein qui vous fait parler contre vous meſme Me feroit armer contre moy;	Le dessein qui vous fait parler contre vous -même Me ferait armer contre moi;
ALCANDRE.	ÀLCANDRE.
Il a pris vostre cœur, il y met ſon image, La mienne en doit ſortir, Et ie vous l’aime mieux conſeiller par courage, Qaeeques nomte ytonjemir.	Il a pris votre cœur, il y met son image, La mienne en doit sortir, Et je vous l'aime mieux conseiller par courage, Qaeques nomte ytonjémir.
ROSELIE.	ROSELIE.
Ha Dieux!	Ha Dieux!
I'entens ces mots de la bouche d’Alcandre, Il ſoupçonne ma foy;	J'entends ces mots de la bouche d'Alcandre, Il soupçonne ma foi;
Cruel, donne ce fer, ma main te veut apprendre, Si mon cœur aime rien que toy.	Cruel, donne ce fer, ma main te veut apprendre, Si mon cœur aime rien que toi.
ALGANDRE.	ÀLGANDRE.
Que cette feinte, ô Dieux!	Que cette feinte, ô Dieux!
rend mon ame contente, Et m'oste de ſoucy;	rend mon âme contente, Et m'ôte de souci;
Ie t’aime, ie t’adore, & ſi tu vis conſtante, Croy que ie vy constant außi.	Je t'aime, Seigneur t'adore, et si tu vis constante, Crois que de mi constant aussi.
Il continuë.	Il continue.
Les aimables ſouſpirs, les agreables larmes!	Les aimables soupirs, les agréables larmes!
Que i’aime à t’affliger, que i’y trouue de charmes, Alors que ie t'eſpreuue en vn ſi digne point, Tu me faſcherois bien de ne te faſcher point.	Que j'aime à t'affliger, que j'y trouve de charmes, Alors que ie t'espreuue en si digne point, Tu me fascherois bien de ne te fâcher point.
ROSELIE.	ROSELIE.
Si mes iours durent trop, ſi tu veux m’oſter l’ame;	Si mes jours durent trop, si tu veux m'ôter l'âme;
Cruel, ſoupçonne moy d’auoir changé de flame, Pour plaire à ton deſir, ce bras me ſuffira, Il punira ton crime, & me iuſtifiera.	Cruel, soupçonne moi d'avoir changé de flamme, Pour plaire à ton désir, ce bras me suffira, Il punira ton crime, et me justifiera.
ALCANDRE.	ÀLCANDRE.
Lumopunp mion cœur, ie tevreyſrfidelle, Qu'on ne peut l'eſtre plus, que tu n'es pas plus belle,	Lumopun myon cœur, après tevreysrfidèle, Qu'on ne peut l'être plus, que tu n'es pas plus belle,
ROSELIE.	ROSELIE.
Me voyant ſi rebelle aux paſsions du Roy, Tu peux bien là deſſus t’aſſeurer de ma foy.	Me voyant si rebelle aux passions du Roi, Tu peux bien là -dessus t'assurer de ma foi.
ALCANDRE.	ÀLCANDRE.
Si ie voyois, mon cœur, reuiure ſur la terre, Les maiſtreſſes du Dieu qui lance le tonnerre, Et faire à tout le monde adorer leurs appas, Leurs charmes les plus doux ne me toucheroient pas.	Si grande voyais, mon cœur, revivre sur la terre, Les maîtresses du Dieu qui lance le tonnerre, Et faire à tout le monde adorer leurs appas, Leurs charmes les plus doux ne me toucheraient pas.
Quoy que le ſort m'offrist ſur la terre ou ſur l’onde, Ie prefere tes yeux à l’Empire du monde.	Quoi que le sort m'offrît sur la terre ou sur l'onde, Je préfère tes yeux à l'Empire du monde.
Ne cedons point, mon ame, à ces fauſſes clartez, Noſtre flame est reelle, & ce ſont vaniteZ;	Ne cédons point, mon âme, à ces fausses clartés, Notre flamme est réelle, et ce sont vanités;
Ce qui n'est pas encore, vn instant le peut faire, Il nous peut eſleuer au Throſne de mon frere;	Ce qui n'est pas encore, un instant le peut faire, Il nous peut élever au Trône de mon frère;
L’or peut ceindre nos fronts ſuiuant l’ordre des ans:	L'or peut ceindre nos fronts suivant l'ordre des ans:
Mais ne jounumion ponn uue furueunx ſi peſans, Pourueu qu’à mon ardeur ta paßion reſponde, Ie ſuis Roy, ie ſuis Dieu, ie ſuis maistre du monde.	Mais ne jounumion ponn ue fureunx si pesants, Pourvu qu'à mon ardeur ta passion réponde, Je suis Roi, plein suis Dieu, ie suis maître du monde.
ROSELIE.	ROSELIE.
S’il te ſouuient touſiours des vœux que tu me fais, Croy que nos paßions auront de beaux effects,	S'il te souvient toujours des vœux que tu me fais, Crois que nos passions auront de beaux effets,
E ii Pourueu que ton ardeur à la mienne reſponde, Ie ſuis Reine, Deeſſe, & maiſtreſſe du monde.	E ji Pourvu que ton ardeur à la mienne réponde, Je suis Reine, Déesse, et maîtresse du monde.
9 CENE II.	9 CÈNE II.
En Dalmatie.	En Dalmatie.
ARTEMISE Reinc.	ARTEMISE Reinc.
PARIS, Seruiteurs.	PARIS, Serviteurs.
LA REINE.	LA REINE.
Epuis nostre depart de ce bord estranDe ce bord où preſide vn eſprit ſi leger, Nous auons veu dix fois ſur le riuage More, Et rougir & paſlir le beau teint de l'Aurore;	Epuis notre départ de ce bord étranDe ce bord où preside un esprit si léger, Nous avons vu dix fois sur le rivage More, Et rougir et pâlir le beau teint de l'Aurore;
Et mon front ſeulement eſt peint d’vne couleur Qui ne s’effacera qu'auecques ma douleur;	Et mon front seulement est peint d'une couleur Qui ne s'effacera qu'avec ma douleur;
Que n'ay-ie deſia faict en l’ardeur qui m'enflame, A ce perfide Roy vomir le ſang & l’ame;	Que n'ai-je déjà fait en l'ardeur qui m'enflamme, À ce perfide Roi vomir le sang et l'âme;
Ma main, ma propre main luy percera le flanc;	Ma main, ma propre main lui percera le flanc;
Ie mangeray ſon cœur, & ie boiray ſon ſang.	Je mangerai son cœur, et ainsi boirai son sang.
Et lors que des païs de ce laſche Monarque, I'auray fait vndeſert, ſans nom & ſans remarque, Quand on aura paué tous les chemins de corps, Qu'on nommera ces lieux la prouince des morts, Mes bras ſeront laſſez, ma douleur ſoulagee, I’auray puny le traiſtre, & ie ſeray vangee.	Et lors que des pays de ce lâche Monarque, J'aurai fait vndesert, sans nom et sans remarque, Quand on aura pavé tous les chemins de corps, Qu'on nommera ces lieux la province des morts, Mes bras seront lassez, ma douleur soulagée, J'aurai puni le traître, et ici serai venge.
