LES AGTEVRS.	LES AGTEURS.
ne ſe voyoient iamais Que pour dogmatifer, ou pour donti des Dois.	ne se voyaient jamais Que pour dogmatiser, ou pour donti des Dois.
Allez, ſçacheZ en bref ce qu’il a dedans l’Ame, S’il veut ſe marier, s’il veut prendre vne femme.	Allez, Sachez en bref ce qu'il a dedans l'Âme, S'il veut se marier, s'il veut prendre une femme.
LA MERE.	LA MERE.
Et vous de voſtre part ſçachez, bien promptement, Si la fille le veut, ſi le pere conſent.	Et vous de votre part sçachez, bien promptement, Si la fille le veut, si le père consent.
4097 40 tanos vy	4097 40 tanos vi
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
OY LA MERE, CLAIR, & LE PERE.	OY LA MERE, CLAIR, et LE PERE.
LA MERE.	LA MERE.
Laiſe au Grand Dieu du Ciel exauçer ma priere, 1 I Et que mon fils vnique obeïſſe à ſa mere.	Laise au Grand Dieu du Ciel exauçer ma prière, 1 I Et que mon fils unique obéisse à sa mère.
C’est voſtre pere (Clair) qui menugye vers vous, Uous dire qu’il pretend pour nous contenter tous, Que ſoyeZ marie, que voſtre mariage, Faſſe reuiure en vous l’ancien parentage De noſtre grand' Maiſon, & que de vos enfans, Nos antiques Heros en eux ſoient renaiſſans:	C'est votre père (Clair) qui menugie vers vous, Uous dire qu'il prétend pour nous contenter tous, Que soyeZ marie, que votre mariage, Fasse reuiure en vous l'ancien parentage De notre grand' Maison, et que de vos enfants, Nos antiques Héros en eux soient renaissants:
L Il a choiſi pour vous vne tres-ſage fille, Qui a beaucoup de biens, tres-helle & tres-gentille.	 Il a choisi pour vous une très-gage fille, Qui a beaucoup de biens, très-helle et très -gentille.
CLAIR.	CLAIR.
Jl importe bien peu que ie ſois marié, Que j’aye de grands biens, que ie ſois allié Du Prince plus puiſsant de toute l'Angleterre:	Il importe bien peu que votre sois marié, Que j'aie de grands biens, que Elle sois allié Du Prince plus puissant de toute l'Angleterre:
Tout cela n’eſt que vent, que poußiere, que terre:	Tout cela n'est que vent, que poussiere, que terre:
Ce qui eſt icy bas, n’eſt que fumée, n’eſt rien, Dieu ſeul, Dieu Tout-Puiſſant est le ſouuerain bien.	Ce qui est ici bas, n'est que fumée, n'est rien, Dieu seul, Dieu Tout-Puissant est le souverain bien.
D’Hercule, & des Ceſars, & du Grand Alexandre, Les corps ſont conſumeZ & reduits tous en cendre, Jl ne nous reſte d’eux qu’vn ſimple ſouuenir, Et à leurs fols esprits, vn triſte repentir De n’auoir ſeruy Dieu, leurs ames criminelles Souffrent dans les Enfers des peines éternelles:	D'Hercule, et des Césars, et du Grand Alexandre, Les corps sont consumez et réduits tous en cendre, Jl ne nous reste d'eux qu'un simple souvenir, Et à leurs fols esprits, un triste repentir De n'avoir servi Dieu, leurs âmes criminelles Souffrent dans les Enfers des peines éternelles:
Nous naiſſons pour mourir dans vn petit moment, Qu'il nous faut employer à ſeruir ſeulement Le Grand Dieu Eternel.	Nous naissons pour mourir dans un petit moment, Qu'il nous faut employer à servir seulement Le Grand Dieu Éternel.
Le Diable nous abuſe, Le ſiecle eſt vn trompeur, qui touſiours nous amuſe De mille vanitez pour nous faire perir, Et dedans le peché nous faire tous mourir.	Le Diable nous abuse, Le siècle est un trompeur, qui toujours nous amuse De mille vanités pour nous faire périr, Et dedans le péché nous faire tous mourir.
O!	Ô!
que j'eſtime heureux ces bons Anacorettes, Qui à l'eſcart du Monde en de pauurès retraites, Paſſent leur douce vie exempts de tous deſirs Des grandeurs de la Terre, & de ſes faux plaiſirs:	que j'estime heureux ces bons Anacorettes, Qui à l'écart du Monde en de pauvres retraites, Passent leur douce vie exempts de tous désirs Des grandeurs de la Terre, et de ses faux plaisirs:
Pour acquerir le Ciel, les jeuſnes, les prieres, Sont leurs doux paſſe-temps ſont leurs ſeuls entretiens, Leurs delices, leurs jeux, leurs grandeurs, tous leurs biens.	Pour acquérir le Ciel, les jeunes, les prières, Sont leurs doux passetemps sont leurs seuls entretiens, Leurs délices, leurs jeux, leurs grandeurs, tous leurs biens.
Pleuſt à Dieu que le Ciel m’euſt versé tant de graces, D’abandonner le Monde & d’enſuiure leurs traces, Qui le ferol content, que le feroi neurena D’ainſi paſſer mes ans, & de viure auec eux.	Plût à Dieu que le Ciel m'eût versé tant de grâces, D'abandonner le Monde et d'ensuivre leurs traces, Qui le ferol content, que le ferai neurena D'ainsi passer mes ans, et de vivre avec eux.
LA MERE.	LA MERE.
Il ſemble à vos diſcours que vous ayeZ enuie, De quitter vos parens pour paſſer vostre vie Dedans quelque deſert, & priué de vos biens, Refuſer de Iunon les plus charmans liens.	Il semble à vos discours que vous aimez envie, De quitter vos parents pour passer votre vie Dedans quelque désert, et privé de vos biens, Refuser de Junon les plus charmants liens.
Quitez, mon fils, quiteZ cette vie ſolitaire, Il ne faut pas qu’vn Grand ſoit dans le Monastere;	Quitez, mon fils, quitez cette vie solitaire, Il ne faut pas qu'un Grand soit dans le Monastere;
Les Princes & les Roys ſont nez dans leur Pays, Pour deffendre le Peuple, & estre les apuys De toute leur Prouince;	Les Princes et les Rois sont nés dans leur Pays, Pour défendre le Peuple, et être les apuys De toute leur Province;
Il faut que le vulgaire S’enferme à vn Cloiſtre, & faſſe ſa priere Four & nuit pour le Prince, & pour tous les Seigneurs Qui conſeruent leurs biens, qui ſont leurs protecteurs.	Il faut que le vulgaire S'enferme à un Cloître, et fasse sa prière Four et nuit pour le Prince, et pour tous les Seigneurs Qui conservent leurs biens, qui sont leurs protecteurs.
Vous estes jeune Prince, il faut que la Pâtrie Sçache que voſtre cœur, voſtre bras, voſtre vie, Sont pour la proteger, non pas comme vn coüart Se mettre hors des coups & tirer à l’écart;	Vous êtes jeune Prince, il faut que la Pâtrie Sçache que votre cœur, votre bras, votre vie, Sont pour la protéger, non pas comme un couart Se mettre hors des coups et tirer à l'écart;
Et pour perpetuer à jamais la memoire De vos hauts faicts guerriers, de toute voſtre gloire, Il faut vous marier, afin que vos enfans Soient außi genereux, & ſoient außi vaillans	Et pour perpétuer à jamais la mémoire De vos hauts faits guerriers, de toute votre gloire, Il faut vous marier, afin que vos enfants Soient aussi généreux, et soient aussi vaillants
Que vous aurez eſté.	Que vous aurez été.
PenſeZ-vous que le Prince, Qui par les Loix de Dieu gouuerne ſa Prouince, Ne gaigne pas le Ciel, ne ſoit außi heureux Que vos bons Capucins, que vos Religieux.	PenseZ-vous que le Prince, Qui par les Lois de Dieu gouverne sa Province, Ne gagne pas le Ciel, ne soit aussi heureux Que vos bons Capucins, que vos Religieux.
Le Diable en tous endroits, & par toute la Terre Ataque les humains, & leur liure la guerre:	Le Diable en tous endroits, et par toute la Terre Ataque les humains, et leur livre la guerre:
Jl faut luy reſiſter, & d’vn cœur genereux Contre tous ſes aſſauts eſtre victorieux.	Il faut Seigneur résister, et d'un cœur généreux Contre tous ses assauts être victorieux.
Quantité de nos Roys, & des Grands Roys de France, Parmy tous leurs grandeurs, & dedans l’abondance, Des voluptez du ſiecle, ont eſté tres-pieux, Et par leurs bonnes mœurs ſont Saints dedans les Cieux:	Quantité de nos Rois, et des Grands Rois de France, Parmi tous leurs grandeurs, et dedans l'abondance, Des voluptés du siècle, ont été très-pieux, Et par leurs bonnes mœurs sont Saints dedans les Cieux:
De toutes dignitez, de tous lieux de tous âges, Se ſont ſanctifiez dans leurs ſaints Mariages.	De toutes dignités, de tous lieux de tous âges, Se sont sanctifiés dans leurs saints Mariages.
Ne croyez-donc, mon fils, que pour gagner les Cieux, Il faille abſolument eſtre Religieux;	Ne croyez-donc, mon fils, que pour gagner les Cieux, Il faille absolument être Religieux;
Voſtre pere pretend, & moy je le deſire 8 Que tout preſentement vous ayez à me dire, Si voulez le party que nous uuons trouué, Qui eſt de vos amis, & de tous aprouue:	Votre père prétend, et moi je le désire 8 Que tout présentement vous ayez à me dire, Si voulez le parti que nous uons trouvé, Qui est de vos amis, et de tous apouve:
Le pere eſt ſi content, la fille eſt ſi rauie.	Le père est si content, la fille est si ravie.
De paſſer auec vous vne ſi douce vie, Qu'il ne nous reſte plus pour l’accompliſſement Que voſtre volonté, & le conſentement.	De passer avec vous une si douce vie, Qu'il ne nous reste plus pour l'accomplissement Que vôtre volonté, et le consentement.
CLAIR.	CLAIR.
Ie n’ay plus de raiſons pour respondre à ma mere;	Je n'ai plus de raisons pour répondre à ma mère;
Il faut abſolument obeïr à ſon pere.	Il faut absolument obéir à son père.
Et faire ce qu’il veut, quand ſon commandement Ne va contre les loix du Grand Dieu Tout-Puiſſant.	Et faire ce qu'il veut, quand son commandement Ne va contre les lois du Grand Dieu Tout-Puissant.
Dieu joignit dans Edenpar vn ſainct mariage Nos deux premiers parens, & benit leur lignage;	Dieu joignit dans Édenpar un saint mariage Nos deux premiers parents, et bénit leur lignage;
Poul te que joanautez jy confens, ie le veux:	Poul te que joanautés ji consens, Elle le veux:
I'eſpouſe celle-là que deſirez tous deux.	J'épouse celle-là que désirez tous deux.
LA MERE, parlant au Pere.	LA MERE, parlant au Père.
Apres pluſieurs diſcours, apres vn long langage Mon fils conſent, & veut faire le mariage.	Après plusieurs discours, après un long langage Mon fils consent, et veut faire le mariage.
LE PERE.	LE PERE.
C’eſt aſſeZ qu’il le veut, je vay preſentement Du pere & de la fille auoir le ſentiment.	C'est assez qu'il le veut, je vais présentement Du père et de la fille avoir le sentiment.
SCEERSIMESME.	SCERSIMESME.
LE PERE de Clair, & LE PERE de la Fille.	LE PERE de Clair, et LE PERE de la Fille.
Epuis que l’Angleterre a eſté Monarchie;	Epuis que l'Angleterre a été Monarchie;
LEl que nos vaillants Roys par genereuſe enuie	LEl que nos vaillants Rois par généreuse envie
D’agrandir leur Pays, ont pris l’arme en la main, Pour faire que l’Europe euſt vn ſeul Souuerain, Vos ayeuls et les miens ſouuent dans les alarmes, Se ſont tant ſignalez par la valeur des armes, Qu’ils ont touſiours joüy des grandes digniteZ Non donnez par faueur, mais par eux meritez;	D'agrandir leur Pays, ont pris l'arme en la main, Pour faire que l'Europe eût un seul Souverain, Vos aïeuls et les miens souvent dans les alarmes, Se sont tant signalés par la valeur des armes, Qu'ils ont toujours joüy des grandes dignité Non donnez par faveur, mais par eux mérités;
Et pour ſe maintenir en bonne intelligence, Ont fait de temps en temps touſiours quelque alliance, Par cette inuention, par ce nœud Gordien, L’on maintient les Maiſons, l’on conſerue le bien:	Et pour se maintenir en bonne intelligence, Ont fait de temps en temps toujours quelque alliance, Par cette invention, par ce nœud Gordien, L'on maintient les Maisons, l'on conserve le bien:
C’eſt ce qui a causé que les choſes proſperes Les ont accompagneZ.	C'est ce qui a causé que les choses prospères Les ont accompagnés.
Faiſons comme nos peres, Vous auez vne fille, & je poſſede vn fils, Vniques, ſans flater, les plus beaux du Pays;	Faisons comme nos pères, Vous avez un fille, et je possède un fils, Uniques, sans flatter, les plus beaux du Pays;
Il faut les joindre enſemble, afin que leur lignée Nous faſſe vous & moy par ce ſaint Hymenée, Renaiſtre en leurs enfans, & que malgré le ſort, Nous reuiuions en eux, meſme apres noſtre mort,	Il faut les joindre ensemble, afin que leur lignée Nous fasse vous et moi par ce saint Hyménée, Renaître en leurs enfants, et que malgré le sort, Nous reuiuions en eux, même après notre mort,
LE PERE de la Fille.	LE PERE de la Fille.
Depuis vn bien long-temps j’ay cette connoiſſance, Que nos parens enſemble ont fait quelque alliance, Que les prosperitez & l’agrandiſſement, Qui eſt dans ma Maiſon vient de vous ſeulement;	Depuis un bien longtemps j'ai cette connaissance, Que nos parents ensemble ont fait quelque alliance, Que les prospérités et l'agrandissement, Qui est dans ma Maison vient de vous seulement;
Qui ne ſçait qu’Edoüard eſt le plus puiſſant Prince, Et le plus accomply de toute la Prouince:	Qui ne sais qu'Edoüard est le plus puissant Prince, Et le plus accompli de toute la Province:
Il ne peut d’Edoüard comme d’vn autre Mars, Soruir que des Hect Ie ſerois bien ingrat, j’aurois l’esprit débile, Si j’allois indiſcret vous refuſer ma fille, Je n’euſſe oZé jamais esperer ce bon-heur:	Il ne peut d'Edoüard comme d'un autre Mars, Soruir que des Hect Je serais bien ingrat, j'aurais l'esprit débile, Si j'allais indiscret vous refuser ma fille, Je n'eusse oZé jamais espérer ce bonheur:
Mais puiſque vous voulez, me faire cét honneur De me l'a demander, & que le Ciel l’ordonne, Elle eſt pour voſtre fils, de bon cœur ie luy donne.	Mais puisque vous voulez, me faire cet honneur De me l'a demander, et que le Ciel l'ordonne, Elle est pour votre fils, de bon cœur ieblé donne.
LE PERE de Clair.	LE PERE de Clair.
Voſtre esprit obligeant & vos ciuilitez Me donnent des vertus que ie n’ay meriteZ Laiſſons les complimens pour contenter nos Ames, Il nous faut apeller nos enfans & nos femmes Pour faire le banquet, puiſque c’est nostre bien, Ce qui eſt differé en Nopces ne vaut rien.	Votre esprit obligeant et vos civilités Me donnent des vertus que ici n'ai méritez Laissons les compliments pour contenter nos Ames, Il nous faut appeler nos enfants et nos femmes Pour faire le banquet, puisque c'est assez bien, Ce qui est différé en Noces ne vaut rien.
SCENE VATRIESME.	SCÈNE VATRIESME.
LE PERE, LA MERE & CLAIR.	LE PERE, LA MERE et CLAIR.
LE PERE, LA MERE & L’AFFIDE’E, tous enſemble.	LE PERE, LA MERE et L'AFIDE, tous ensemble.
LE PERE de Clair.	LE PERE de Clair.
E ſens dedans mon cau on joje ſt parfaite, IDe iouïr à preſent de ce que ie ſouhaite Il y a ſi long-temps, mon eſprit maintenant Voit que tout luy ſuccede à ſon contentement.	E sens dedans mon cav on joje st parfaite, IDe jouir à présent de ce que jour souhaite Il y a si longtemps, mon esprit maintenant Voit que tout belle succède à son contentement.
Mon fils, voila Monſieur qui vous donne ſa fille, Modeste, ſage & belle, accorte & tres-gentille, ReçeueZ-la pour femme, et viuez bien-heureux?	Mon fils, voilà Monsieur qui vous donne sa fille, Modeste, sage et belle, accorte et très -gentille, ReçeueZ-la pour femme, et vivez bienheureux?
Paſſez vos jeunes ans en plaiſirs amoureux.	Passez vos jeunes ans en plaisirs amoureux.
LE PERE de la Fille.	LE PERE de la Fille.
Ma fille i’ay promis de prendre pour mon gendre Clair, le fils dEdoüard, vaillant comme Alexandre, Plus beau que le Soleil, c’eſt vn autre Adonis, Et le plus bel eſprit de tous ceux du Païs;	Ma fille j'ai promis de prendre pour mon gendre Clair, le fils dEdoüard, vaillant comme Alexandre, Plus beau que le Soleil, c'est un autre Adonis, Et le plus bel esprit de tous ceux du Pays;
Il n’y a ſon ſemblable en toute l’Angleterre, Voire il n’eſt ſon pareil deſſus toute la terre:	Il n'y a son semblable en toute l'Angleterre, Voire il n'est son pareil dessus toute la terre:
Prenez-le pour mary, aimez-le comme eſpoux, Ayez de ſes amours les plaiſirs les plus doux.	Prenez-le pour mari, aimez-le comme époux, Ayez de ses amours les plaisirs les plus doux.
CLAIR.	CLAIR.
Dans les conſeils ſecrets de ſes ſainctes idées, Dieu connoist les mortels, & toutes leurs pensées, Il ſçait ce que ie ſuis;	Dans les conseils secrets de ses sainte idées, Dieu connaît les mortels, et toutes leurs pensées, Il sais ce que A suis;
ſi ie ſeray demain, Toutes nos actions il les tient dans ſa main, Non pour les empeſcher:	si ici serai demain, Toutes nos actions il les tient dans sa main, Non pour les empêcher:
car ſa Toute-Puiſſance, Libres nous laiſſe agir, ſans nulle reſiſtance, A ce qu’en bien faiſant nous puißions meriter, Ou des-obeïſſans puißions demeriter.	car sa Toute-Puissance, Libres nous laisse agir, sans nulle résistance, À ce qu'en bien faisant nous puissions mériter, Ou des-obéissants passions démériter.
Jl ſçauoit de tout temps par vne preſcience Reſeruée à luy ſeul, ſi par cette alliance Je ſerois marie, ou bien Religieux.	Il sçauoit de tout temps par une prescience Réservée à lui seul, si par cette alliance Je serais marie, ou bien Religieux.
Mais l'bre il m'a laißé prendre lequel des deux Il me plaira choiſir, moy affin que mon pere Voye que mes actions tendent à luy complaire, Ie veux tout ce qu’il veut, mon plaiſir eſt le ſien;	Mais l'bre il m'a laisse prendre lequel des deux Il me plaira choisir, moi afin que mon père Voie que mes actions tendent à lui complaire, Je veux tout ce qu'il veut, mon plaisir est le sien;
Content ie ſuis contens, ſon repos eſt le mien;	Content ici suis contents, son repos est le mien;
t'atvepte tetie fille, & la prens pour ma femme, Pour faire ſon deſir, pour contenter ſon ame.	t'atvepte tetie fille, et la prends pour ma femme, Pour faire son désir, pour contenter son âme.
L’AFFIDE’E.	L'AFFIDÉT-E.
Ie n’ay point de vertus, ie n’ay point de beautez, Pour egaler en rien vos rares qualiteZ:	Je n'ai point de vertus, ie n'ai point de beautés, Pour égaler en rien vos rares qualités:
Jl vous falloit choiſir vne fille plus digne Pour eſtre voſtre Amante, en eſtant tres-indigne, L’on voit dans l’Angleterre & dedans le Pais, Tant de rares beautez, & de ſi grands partis:	Il vous fallait choisir une fille plus digne Pour être votre Amante, en étant très-indigne, L'on voit dans l'Angleterre et dedans le Pais, Tant de rares beautés, et de si grands partis:
Il s’en rencontre encore de ſi ſages & ſi belles, Qu'elles vont eſgallant la beauté des Eſtoilles;	Il s'en rencontre encore de si sages et si belles, Qu'elles vont égallant la beauté des Étoilles;
C’eſt à ces beaux ſujets qu’il faudroit s’allier, Non pas auecque moy qu’il faut vous marier:	C'est à ces beaux sujets qu'il faudrait s'allier, Non pas avec moi qu'il faut vous marier:
Ie laiſſe toutefois à vous, & à mon pere De dispoſer de moy;	Je laisse toutefois à vous, et à mon père De disposer de moi;
Ie ſuis preſte de faire Tout ce qu’il vous plaira:	Je suis prête de faire Tout ce qu'il vous plaira:
ie tiens à grand honneur De ce que vous daignez, me faire la faueur De m’accepter pour femme, & prendre en mariage:	Ce tiens à grand honneur De ce que vous daignez, me faire la faveur De m'accepter pour femme, et prendre en mariage:
Je l’accepte & conſens, & vous donne pour gage De noſtre ſaint Amour, mon cœur, ma volonté, Puiſque le deſirez, & l’auez ſouhaité.	Je l'accepte et consens, et vous donne pour gage De notre saint Amour, mon cœur, ma volonté, Puisque le désirez, et l'avez souhaité.
D ij	D ij
LA MERE de l'Affidée.	LA MERE de l'Affidée.
Ma fille beniſſons le Ciel, et la journée Que vous accomplirez voſtre ſainct Himenée:	Ma fille bénissons le Ciel, et la journée Que vous accomplirez votre saint Hyménée:
Ie prie Dieu de bon cœur que voſtre cher Eſpoux Paſſe ſa vie content touſiours aupreZ de vous;	Je prie Dieu de bon cœur que votre cher Époux Passe sa vie content toujours auprez de vous;
ue vos deux cœurs ſoient vn, & que la bleſme Enuie N'entre jamais chez-vous pour cauſer jalouſie, Soyez chaſte & prudente, ainſi que fut Rachel;	Que vos deux cœurs soient un, et que la blême Envie N'entre jamais chez-vous pour causer jalousie, Soyez chaste et prudente, ainsi que fut Rachel;
Comme Sara fœconde, & que deſſus l’Autel Soient mis vingt de vos fils;	Comme Sara fœconde, et que dessus l'Autel Soient mis vingt de vos fils;
& que voſtre lignée.	et que votre lignée.
Se voye apres mille ans malgré la deſtinée Pareſtre en Angleterre, ainſi que Uice-Rois, Touſiours bien alliez, & parens de nos Rois:	Se voie après mille ans malgré la destinée Paraître en Angleterre, ainsi que Uice-Rais, Toujours bien alliez, et parents de nos Rois:
La valeur, les vertus, les biens & la cheuance coientuum ooſre matſon touſtours en abondance.	La valeur, les vertus, les biens et la chevance coientuum oosre matson toustours en abondance.
La fin de mes ſouhaits eſt que tous ces enfans S'oient bons, & gens de bien, & que iamais meſchans Jls n'offencent leur Dieu, & qu’apres mainte année Ils nous reçoiuent tous dans le Ciel Empirée.	La fin de mes souhaits est que tous ces enfants S'aient bons, et gens de bien, et que jamais méchants Ils n'offensent leur Dieu, et qu'après mainte année Ils nous reçoivent tous dans le Ciel Empirée.
LA MERE de Clair.	LA MERE de Clair.
Puiſque tous nos deſirs nous viennent à ſouhait, A demain le feſtin, à demain le banquet.	Puisque tous nos désirs nous viennent à souhait, A demain le festin, à demain le banquet.
A I JLYXTESME.	À I ILYXTESME.
E	E
CENE PREMIERE.	CÈNE PREMIÈRE.
CEAIR, & CIRIN ſon compagnon, L’ANGE, & L’AFFIDE’E.	CEAIR, et CIRIN son compagnon, L'ANGE, et L'AFIDE.
CLAIR ſeul.	CLAIR seul.
Ourquoy ne ſuis-ie plus, Seigneur, cõme en enfance, I Lors que tu conduiſois par ta Toute-puiſſance Mes jours, mes ans, mes mois, aux chemins de la Foy, Me faiſant obſeruer tes Edits, & ta Loy:	Ourquoy ne suis-je plus, Seigneur, comme en enfance, I Lors que tu conduisais par ta Toute-puissance Mes jours, mes ans, mes mois, aux chemins de la Foi, Me faisant observer tes Édits, et ta Loi:
Lors que deſſus mon chef reluiſoit ta lumiere, Et qu’à ton ſainct flambeau, i’auançois la carriere De mon adoleſcence, enuironné de toy, Tu demeurois touſiours ſecret aupreZ de moy;	Lors que dessus mon chef reluisait ta lumière, Et qu'à ton saint flambeau, j'avançais la carrière De mon adolescence, environné de toi, Tu demeurais toujours secret auprez de moi;
Mon ame inceſſamment ſe ſentoit arrouſee De l’huile de ta Grace:	Mon âme incessamment se sentait arrouse De l'huile de ta Grâce:
Et touſiours ma penſee, Mon cœur & mon eſprit inuiolablement Faiſoient ta volonté, & ton commandement.	Et toujours ma pensée, Mon cœur et mon esprit inviolablement Faisaient ta volonté, et ton commandement.
Pourquoy depuis vn temps permets-tu que fragile, ſe quitte ton amour pour l’amour d’vne lille	Pourquoi depuis un temps permets-tu que fragile, se quitte ton amour pour l'amour d'une lille
5 Et que pour me tromper, mes amis mes parens, Vrays auteurs de mon mal, me ſeruent de tirans.	5 Et que pour me tromper, mes amis mes parents, Vrays auteurs de mon mal, me servent de tyrans.
Ne l’endure, Seigneur, ne ſouffre que cette ame (me, Qui n’a point d’autre amour, d’autres feux, d’autre flâQue de viure auec toy, que de garder tes loix:	Ne l'endure, Seigneur, ne souffre que cette âme (me, Qui n'a point d'autre amour, d'autres feux, d'autre flamnue de vivre avec toi, que de garder tes lois:
Ne l’abandonne pas, fais ce que tu fa ſois, Anime mes esprits, rehauſſe mon courage, Affin que le peche ne face aucun outrage A ce cœur que tu as ſi cherement aime, Et que ton Sainct Eſprit a touſiours animè;	Ne l'abandonne pas, fais ce que tu fa sois, Anime mes esprits, rehausse mon courage, Affin que le pèche ne face aucun outrage À ce cœur que tu as si chèrement aime, Et que ton Saint Esprit a toujours animène;
C’eſt toy que ie choiſis, & prens pour mon partage, Je ne veux que mon Dieu pour tout mon theritage, I’ay regardé la fille, & ay dit à mes yeux, Mon Dieu eſt par-deſſus, mon bien eſt dans les Cieux.	C'est toi que ie choisis, et prends pour mon partage, Je ne veux que mon Dieu pour tout mon theritage, J'ai regardé la fille, et ai dit à mes yeux, Mon Dieu est par-dessus, mon bien est dans les Cieux.
Le Mariage eſt ſainct, Dieu le dit, & l’ordonne, Il veut que le mary pour ſa femme abandonne Et delaiſſe ſon pere, & la femme le ſien, Pour ſe ioindre auec luy par ce ſacré lien:	Le Mariage est saint, Dieu le dit, et l'ordonne, Il veut que le mari pour sa femme abandonne Et délaisse son père, et la femme le sien, Pour se joindre auec lui sa ce sacré lien:
ame Que leurs deux corps ſoient vn, que leurs ames qu’vne Que ce que Dieu conjoint par cette Epithalame L’homme ne le ſepare, & qu’enſemble heureux, fhiomomt pojqute que l’vn meure des deux:	âme Que leurs deux corps soient un, que leurs âmes qu'une Que ce que Dieu conjoint par cette Épithalme L'homme ne le sépare, et qu'ensemble heureux, fhiomt pojoute que l'un meure des deux:
Voila le paſſedroits, voicy les auantages Qu’il promet a ceux-là, qui dans les mariages Paſſent leurs jeunes ans:	Voilà le passedroits, voici les avantages Qu'il promet à ceux-là, qui dans les mariages Passent leurs jeunes ans:
Mais à ſes grands Amis, Ses Diſciples treſ-chers, ſes Saincts, ſes Fauoris, Qui braues Champions, quitent pour ſon ſeruice, Le lien coniugal, & luy ſont ſacrifice De leurs pudiques corps, & de leurs chaſtes cœurs, Qui du Monde, et du Diable, et de la Chair, vainqueurs, Et des apas du ſiecle emportent la victoire, Il leur promet le Ciel, il leur donne ſa Gloire.	Mais à ses grands Amis, Ses Disciples très impers, ses Saints, ses Favoris, Qui braves Champions, quitent pour son service, Le lien conjugal, et Seigneur sont sacrifice De leurs pudiques corps, et de leurs chastes cœurs, Qui du Monde, et du Diable, et de la Chair, vainqueurs, Et des appas du siècle emportent la victoire, Il leur promet le Ciel, il leur donne sa Gloire.
Ceux-la, dis-ie, Seigneur, qui pour Toy & ton Nom, Quittent leurs facultez, leur Païs, leur maiſon, Leurs champs, & leurs parens, leurs peres & leurs meres, Leurs femmes, leurs enfans, & leurs ſœurs & leurs freres, Ils auront le centuple, & pour l’Eternité Te verront face à face en ta Diuinité, Puand pauures ils auront paßé la vie mortelle, Ils iouiront heureux de la vie immortelle.	Ceux-la, dis-je, Seigneur, qui pour Toi et ton Nom, Quittent leurs facultés, leur Pays, leur maison, Leurs champs, et leurs parents, leurs pères et leurs mères, Leurs femmes, leurs enfants, et leurs sœurs et leurs frères, Ils auront le centuple, et pour l'Éternité Te verront face à face en ta Divinité, Pand pauvres ils auront passé la vie mortelle, Ils jouiront heureux de la vie immortelle.
CIRIN.	CIRIN.
Cher & fidelle amy quel meſcontentement As-tu dedans l’esprit, quel ſuiet à preſent Te peut ainſi faſcher à la fleur de ton âge, Décele le, affin qu’au moins ie te ſoulage.	Cher et fidèle ami quel mécontentement As-tu dedans l'esprit, quel sujet à présent Te peut ainsi fâcher à la fleur de ton âge, Décele le, affin qu'au moins ie te soulage.
CLAIR.	CLAIR.
Si tu viens auec moy tu ſçauras mon deſſein Mais il nous faut partir cette nuit, ou demain:	Si tu viens avec moi tu sauras mon dessein Mais il nous faut partir cette nuit, ou demain:
Va voir deſſus le Port s’il y a compagnie, Et vn Nauire preſt pour paſſer en Neuſtrie.	Va voir dessus le Port s'il y a compagnie, Et un Navire prêt pour passer en Nustrie.
CIRIN.	CIRIN.
Ie m’en vay de ce pas ſçauoir ſi ſur le Port Il y a vn Vaiſſeau pour nous mener à bort.	Je m'en vais de ce pas savoir si sur le Port Il y a un Vaisseau pour nous mener à bort.
Par tout où tu iras j’iray, ie te veux ſuiure:	Par tout où tu iras j'irai, ie te veux suivre:
je t'accompagneray pour mourir, où pour ciure.	je t'accompagnerai pour mourir, où pour civre.
CLAIR continuë à parler ſeul.	CLAIR continue à parler seul.
C’eſt à ce coup qu’il faut que ie quitte ce lieu, Pour dedans les Deſerts, chaſte ſeruir mon Dieu:	C'est à ce coup qu'il faut que je quitte ce lieu, Pour dedans les Déserts, chaste servir mon Dieu:
Il faut preſentement laiſſer là l’Angleterre Pour aller inconnù en l’eſtrangere terre.	Il faut présentement laisser là l'Angleterre Pour aller inconnù en l'étrangère terre.
I’ay de tout temps promis à la Diuinité De garder conſtamment le vœu de chaſteté:	J'ai de tout temps promis à la Divinité De garder constamment le vœu de chasteté:
Mais ie ne le puis pas restant dans ma patrie, Il faut abſolument paſſer en Normandie Libre & quitte des ſoins, des biens & des parens, Ie veux paſſer content le reſte de mes ans.	Mais personne ne le puis pas restant dans ma patrie, Il faut absolument passer en Normandie Libre et quitte des soins, des biens et des parents, Je veux passer content le reste de mes ans.
Toy, Seigneur, qui regis les Cieux & les Eſtoilles, Sois mon Pilote Sainct, guide & conduis les voiles De ma chetiue nef:	Toi, Seigneur, qui régis les Cieux et les Étoilles, Sois mon Pilote Saint, guide et conduis les voiles De ma chétive nef:
fais que ton Sainct Esprit M’accompagne ſans ceſſe & de jour & de nuit, De peur que dans le Monde où ſe voit tant d’orage, Abandonné de toy ie ne faſſe naufrage.	fais que ton Saint Esprit M'accompagne sans cesse et de jour et de nuit, De peur que dans le Monde où se voit tant d'orage, Abandonné de toi ici ne fasse naufrage.
CIRIN.	CIRIN.
