E neldotte pocolter :	E neldotte pocolter :
uy qui vous chery tãt, luy qui vous ayme mieux, Mille fois que ſon cœur, mille fois que ſes yeux?	Oui qui vous chéri toujours, Seigneur qui vous aime mieux, Mille fois que son cœur, mille fois que ses yeux?
onfiderant en vous tant de beautez écloſes, ant de lys, tant d’œillers, & d’odorantes roſes, t recherchée auſſi de pluſieurs grãds Seigneurs, royoit vous voir bien-toſt ſauourer les douceurs;	onfidérant en vous tant de beautés écloses, ant de lys, tant d'œillers, et d'odorantes roses, t recherchée a de plusieurs grand Seigneurs, royait vous voir bientôt sauvrer les douceurs;
vn Hymen, chaſte, & St.	un Hymen, chaste, et St.
& de ſi belle couche, aiſtre des rejettons de ſa mourante ſouche, t vous voulez en fin ingratte tenailler, in cœur plein de chagrin, & tant le tenailler, onuituje langueurs, que vous aureZ la gloire e l’enuoyer bien-toſt deſſous la tombe noire:	et de si belle couche, aître des rejettons de sa mourante souche, t vous voulez en fin ingrate tenailler, in cœur plein de chagrin, et tant le tenailler, onuituje langueurs, que vous aurez la gloire eût l'envoyer bientôt dessous la tombe noire:
barbarie eſtrange!	barbarie étrange!
ô dure cruauté!	ô dure cruauté!
cœur plein de malice, & de deſloyauté!	cœur plein de malice, et de déloyauté!
REYNE.	REINE.
Madame c’eſt à tort, que me donnez ce blâme, time mon Pere autãt, que i’aime ma propre ame Il deuroit loüer Dieu, & priſer mon deſſein, Car Ieſus, comme à moy luy tend desja la main, Si quittant ſes erreurs, & ſon Idolaſtrie:	Madame c'est à tort, que me donnez ce blâme, time mon Père autãt, que j'aime ma propre âme Il devrait louer Dieu, et priser mon dessein, Car Jésus, comme à moi avoir tend déjà la main, Si quittant ses erreurs, et son Idolâtrie:
Il luy donne ſon cœur, ſon amour, & ſa vie, Dieu nous appelle tous, & meſme il nous preuien S’il ne ſe fauue pas c’eſt à luy ſeul qu’il tient, S’il meurt en cét eſtat il eſt tres manifeſte, Qu'il ne jouyra pas de la Gloire celeſte, Car perſonne ne peut heriter ut teteu Si ce n'eſt par le ſang de ce vray filt de Dieu.	Il est donne son cœur, son amour, et sa vie, Dieu nous appelle tous, et et il nous prévien S'il ne se fave pas c'est à lui seul qu'il tient, S'il meurt en cet état il est très manifeste, Qu'il ne jouira pas de la Gloire celeste, Car personne ne peut hériter ut teteu Si ce n'est par le sang de ce vrai filt de Dieu.
LEONICE.	LEONICE.
Ie ne vous parle plus ie perds icy ma peine, Vous eſtes ie voy bien temeraire, & hautaine Vous deuriez deuant nous humble vous abaiſſer Les Dieux, qui les malfaiets ne veulẽt pas laiſſe:	Je ne vous parle plus belle perds ici ma peine, Vous êtes ie cy bien téméraire, et hautaine Vous devriez devant nous humble vous abaisser Les Dieux, qui les malfaiets ne veulent pas laisse:
Impunis:	Impunis:
vengeront es noirs ſlots de cotite, Voſtre rebellion & voſtre demerite.	vengeront es noirs slots de cotite, Votre rébellion et votre démérite.
SCENE IV.	SCÈNE IV.
CLEMENT, LEONICE, SAINCT REYNE, PHILOMENE.	CLEMENT, LEONICE, SAINCT REINE, PHILOMENE.
CLEMENT.	CLEMENT.
Eonice ma fœur, que vous a elle dict, L Auez-vous arraché de ſon credule eſprit Ceſte maudite errtur qui la rend miſerable:	Eonice ma fœur, que vous a elle dit, L Évez-vous arraché de son crédule esprit Cette maudite errtur qui la rend misérable:
Dedans cette opinion eſt-elle inuiolable?	Dedans cette opinion est-elle inviolable?
LEONICE.	LEONICE.
Son cœur paroiſt plus dur que le meſme rocher, Les diſcours plus charmans ne la peuuẽt toucher, De tout ce que i’ay dit elle en fait moins de cõpte, Que le ſuperbe eſcueil, qui la vague ſurmonte.	Son cœur paraît plus dur que le Seigneur rocher, Les discours plus charmants ne la peuvent toucher, De tout ce que j'ai dit elle en fait moins de compte, Que le superbe écueil, qui la vague surmonte.
CLEMENT.	CLEMENT.
O deſaſtre cruel!	Ô désastre cruel!
ô pertinacité?	ô pertinacité?
Des filles de ce temps!	Des filles de ce temps!
qu'elle temerité?	qu'elle témérité?
Quel ſot Zele impieux?	Quel sot Zèle impieux?
c’eſt vous ô Philomene, Qui faites qu’és erreurs ſon eſprit ſe promene, C’eſt vous qui la paiſſez de ſes phantoſmes vains Que t'euſſe bien mieux fait ſi l’oſtãt de vos mains Ie l’euſſe faict nourrir du ſang d’vne Lyonne, D’une fiére tigreſſe, où d’vne Ourſe felonne, Car elles n'ont pas tant que vous de cruauté, De rage, de fureur, & de deſloyauté:	c'est vous ô Philomène, Qui faites qu'ez erreurs son esprit se promène, C'est vous qui la paissez de ses phantômes vains Que t'eusse bien mieux fait si l'ôtant de vos mains Je l'eusse fait nourrir du sang d'une Lyonne, D'une fièvre tigresse, où d'une Ourse félonne, Car elles n'ont pas tant que vous de cruauté, De rage, de fureur, et de déloyauté:
Mais puis qu’il n’y a rien cruelle qui te touche, Tu deuiẽt beaucoup plus que ces beſtes, farouche, De ton cher geniteur, commence à t’approcher, Et comme vn L’eſtrigon, repaiſt toy de ſa chair, Mon ſort ſera bien doux, ſi ta main furieuſe, Veut ainſi terminer ma vie mal-heureuſe, Car puis que tu te plais de voir couler mes pleurs, Que ie voye bien toſt la fin de mes douleurs:	Mais puis qu'il n'y a rien cruelle qui te touche, Tu dévient beaucoup plus que ces bêtes, farouche, De ton cher géniteur, commence à t'approcher, Et comme mille L'étrigon, repaît toi de sa chair, Mon sort sera bien doux, si ta main furieuse, Veut ainsi terminer ma vie malheureuse, Car puis que tu te plais de voir couler mes pleurs, Que Que voie bien tôt la fin de mes douleurs:
appelle à ton ſecours ta barbare nourrice, Affin que mieux ta rage, & fureur s’acoompliſſe:	appelle à ton secours ta barbare nourrice, Affin que mieux ta rage, et fureur s'acoomplisse:
Mais ſuis je maintenant vn lâche deuenu, Ayant le front ridé, & le poil tout chenu?	Mais suis -je maintenant un lâche devenu, Ayant le front ridé, et le poil tout chenu?
Quoy?	Quoi?
ſuis-je trãs ſormé d’Achile, en ſot Terſit?	suis-je trans sormé d'Achille, en sot Tersit?
N’ay je plus de vigueur, de force, & de merite Oüy, oüy, ie puis encor vous mettre à la raiſon, Et vous bien chaſtier quand il ſer a de ſaiſon.	N'ai je plus de vigueur, de force, et de mérite Oui, oui, ie sens encor vous mettre à la raison, Et vous bien châtier quand il ser a de saison.
PHILOMENE.	PHILOMENE.
Monſieur vous auez tort de m’appeller barbare, Apres auoir nourry, vne fille ſi rare.	Monsieur vous avez tort de m'appeler barbare, Après avoir nourri, une fille si rare.
Et eupon uie ninfruue en la loy du vray Dieu, Qui doit eſtre adoré, & ſeruy en tout lieu.	Et eupon uie ninfruve en la loi du vrai Dieu, Qui doit être adoré, et servi en tout lieu.
CLEMENT.	CLEMENT.
C’eſt le iuſte ſujet, qui me met en colere, I’aymerois mieux la voir mourir de mort amere Par les dents d’vn Lyon, où d’vn Loup affamé, Où de mille coûteaux, voir ſon cœur entamé, g de la vou fujeite dUne Loy nouuelle, Meſpriſant de nos Dieux la grãdeur immortelle Ie te commande donc de l'en diſſuader.	C'est le juste sujet, qui me met en colère, J'aimerais mieux la voir mourir de mort âme Par les dents d'un Lyon, où d'un Loup affamé, Où de mille coûteaux, voir son cœur entamé, g de la vou fujeite dUne Foi nouvelle, Mesprisant de nos Dieux la grãdeur immortelle Je te commande donc de l'en dissuader.
HILOMENE.	HILOMENE.
Vous perde Zvoſtre peine à me le commander.	Vous perde Zvotre peine à me le commander.
CLEMENT.	CLEMENT.
nadaune que ueut faſſe, & que tu m'obeiſſe.	nadaune que ueut fasse, et que tu m'obéisse.
HILOMENE.	HILOMENE.
Nous ſonffrirons plûtoſt le plus cruel ſupplicè, Qui ſe puiſſe inuentér.	Nous sonffrirons plutôt le plus cruel supplicer, Qui se puisse inventer.
SAINCTE REYNE.	SAINCTE REINE.
Mon Pere ne croyeZ, Que nous ayons ainſi les eſprits déuoyeZ, De nous penſer fléchir voſtre eſperance eſt vaine Vous perdés vôtre tẽps, vous perdez vôtre peine, Quãd vos diſcours ſeroiẽt plus coulãs q;	Mon Père ne crois, Que nous ayons ainsi les esprits déuoyeZ, De nous penser fléchir votre espérance est vaine Vous perdez votre temps, vous perdez votre peine, Quand vos discours seraient plus coulants ;
le miel, Pour vous nous ne voulons perdre les biés du Ciel.	le miel, Pour vous nous ne voulons perdre les biés du Ciel.
CLEMENT.	CLEMENT.
Tu t’en repentiras fille dénaturée, Et deuant qu’il ſoit peu tu és bien aſſeurée, Que vous reſſentirez ce que c'eſt d’offencer, Vn Pere qui ne peut cette injare effacer.	Tu t'en repentiras fille dénaturée, Et devant qu'il soit peu tu es bien assurée, Que vous ressentirez ce que c'est d'offenser, Un Père qui ne peut cette injare effacer.
CENE V.	CÈNE V.
CLEMENT, LEONICE, CLEMENT.	CLEMENT, LEONICE, CLEMENT.
Ortez des creux Enfers, fieres ſœurs eumeniD des, Pour punir les forfaicts des filles paricides, Puiſque tous les tourmẽs, qu’on peut trouuer ci bas Les geſnes, les cailloux, les ſanglants coutelas, Les cheuallets, les feux, & les autres ſupplices, Sont peu de choſe au prix de ces grands malefices Ie n’ay qu'vn ſeul enfant, & ie vois (ô pitié) Qu'elle n'a pour ſon Pere, vn ſeal trait d’amitié, Elle voudroit bien voir mõ foible corps deſcendre, Dans vn ſepulchre noir pour s’y reduire en cẽdre A ces forts ſentiments ie ne puis reſiſter, Mon mal eſt fans remede il la faut contenter, Mais auant que d’aller à la mortelle riue, Il faut que par ma main la cruelle y arriue.	Ortez des creux Enfers, fières sœurs eumeniD des, Pour punir les forfaits des filles parficides, Puisque tous les tourments, qu'on peut trouver cy bias Les gênes, les cailloux, les sanglants coutelas, Les chevallets, les feux, et les autres supplices, Sont peu de chose au prix de ces grands maléfices Je n'ai qu'un seul enfant, et Seigneur vois (ô pitié) Qu'elle n'a pour son Père, un seal trait d'amitié, Elle voudrait bien voir mo ible corps descendre, Avait misère noir pour 'y réduire en cẽdre A ces forts sentiments ie n' y rés, Mon malle en remède il la faut cent, Mais auant ne aller la mortelle riue, Il faut que par ma main la cruelle y y.
LEONICE.	LEONICE.
Mon frere gardez bien d’auoir ce penſement, Las!	Mon frère gardez bien d'avoir ce pensement, Las!
voudriez vous tremper ſi inhumainement.	voudriez -vous tremper si inhumainement,
Vos mains dans voſtre ſang?	Vos mains dans votre sang?
il ne faut pas qu'vn Pere, A l’endroit d’vn enfant, ſoit cruel & ſeuere, Le temps r'ameine tout quand ceſte jeune ardeur Qui la faict obſtiner ſera dans ſa froideur, Vous la verrez plus douce, & viendra ſans doutance, Demander à genoux pardon de ſon offence, Et lors recognoiſſant les grands Dieux immortels Offrira de l’Encens, à leurs deuots Autels.	il ne faut pas qu'un Père, À l'endroit d'un enfant, soit cruel et sévère, Le temps ramène tout quand cette jeune ardeur Qui la fait obstiner sera dans sa froideur, Vous la verrez plus douce, et viendrait sans doutance, Demander à genoux pardon de son offense, Et lors reconnaissant les grands Dieux immortels Offrira de l'Encens, à leurs dévots Autels.
CLEMENT.	CLEMENT.
Et lors que ie jeruy emmuritfet uemeure Tout ſeul & deſolé il faudra que ie meure, Helas!	Et lors que ici jervi emmuritfet emeure Tout seul et désolé il faudra que ie meure, Hélas!
ie n'auray plus de conſolation!	Elle n'aurai plus de consolation!
LEONICE.	LEONICE.
Frere prenez courage en vôtre affliction, Vous ne pouuez aller contre les deſtinées, Qui ont ſi ſagement les choſes ordonnées, Il s’y faut conformerjo tuifer faire aux Dieux, Qui font comme il leur plaiſt en terre, & dans les Cieux.	Frère prenez courage en votre affliction, Vous ne pouvez aller contre les destinées, Qui ont si sagement les choses ordonnées, Il s'y faut conformerjo tuifer faire aux Dieux, Qui font comme il leur plaît en terre, et dans les Cieux.
Fin du premier Acte.	Fin du premier Acte.
MTE II.	MTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
OLIBRE, LVCIE,	OLIBRE, LUCIE,
OLIBRE.	OLIBRE.
NSI que i'ay dompté dans le cœur de l’Aſie, Les Bactres, les Hireans, la Paripamiſie, Les Partes, le Perſan, l’Albe, & le fier Medois.	NSI que j'ai dompté dans le cœur de l'Asie, Les Bactres, les Hireans, la Paripamisie, Les Partes, le Persan, l'Albe, et le fier Médais.
Et fait du ſang humain rougir les champs Indois, Qui ay au graad Cæſar renduë aſſujettie, La Serique, la Tane, & la froide Scythie:	Et fait du sang humain rougir les champs Indais, Qui ai au graadæ César rendue assujettie, La Sérique, la Tane, et la froide Scythie:
Le Piſide, & Bitin, à leur dan n’ont-il pas, Senti la peſanteur de mon robuſte bras, L’Arabe, & Sirien, la belle Paleſtine, Se voulãs prendre à moy, ils ont trouué leur ruïne, Bref il n'y a recoing dedans tout l’Orient, Qui ne ſçache que vaut mon glaiue foudroyant, Tant de braues Soldats, & de grãds Capit aines A qui i'ay commencé ſont teſmoins de mes peines Que ie n’eſpargnois pas ny les feux, ny le fer, Pour les ſedicieux, & mutins eſtouffer, Mais principalement ceſte Chreſtienne engence Qu'on appelle Chreſtiẽs, cognoiſſent ma puiſſace, Car pour exterminer ces mal’heureux bannis;	Le Piside, et Bitin, à leur dan n'ont-il pas, Senti la pesanteur de mon robuste bras, L'Arabe, et Sirien, la belle Palestine, Se voulant prendre à moi, ils ont trouvé leur ruine, Bref il n'y a recoin dedans tout l'Orient, Qui ne sache que vaut mon glaiue foudroyant, Tant de braves Soldats, et de grands Capit aines A qui j'ai commencé sont témoins de mes peines Que ie j'épargnais pas seulement les feux, ni le ferne, Ni le ferne, et mutinsyeux, Mais et ceste Chrestienne et mon d' Chrestiẽs, cognoissent ma pale, Car pour ment ces Çh bannis;
Ie les ay chaſtieZ de tourmens infinis:	Je les ai chastieZ de tourments infinis:
moire, Les dieux, les puiſſans Dieux, aurõt toûjours meComme ie ſuis jaloux de conſeruer leur gloire, Sachans ce que i’ay fait contre ces contẽpteurs, Qui veulent mépriſer leurs ſuprémes grãdeurs, Ores que de nouneau ce monarque inuincible.	moire, Les dieux, les puissants Dieux, auront toujours meComme tu suis jaloux de conserver leur gloire, Sachants ce que j'ai fait contre ces contenteurs, Qui veulent mépriser leurs suprêmes grandeurs, Ores que de nouvneau ce monarque invincible.
M’enuoye en Occident comme vn foudre terrible, Pour eſcraſer les chefs de tous ſeditieux, Si i’en treuue quelqu’vn qui trop audatieux, Preuarique ſes Loix, où qui ma l’heureux oſe Contre moy s’oppoſer, des l’heure ie propoſe, Qu'il n'y a n’y deſtins, ny fauorable ſort, Qui les puiſſe exempter des rigueurs de la mort Tu ſçais mon cher amy comme depuis Marſeille, Ceux qui à mes deſſeins n'ont pas preſté l’oreille, Ont ja eſté traictez, & Alize ſoudain, Sçaura vn peu que vaut d’offencer le Romain.	M'envoie en Occident comme un foudre terrible, Pour écraser les chefs de tous séditieux, Si j'en trouve quelqu'un qui trop audatieux, Prevarique ses Lois, où qui ma l'heureux ose Contre moi s'opposer, des l'heure ie propose, Qu'il n'y a n'y destins, ni favorable sort, Qui les puisse exempter des rigueurs de la mort Tu parais mon cher ami comme depuis Marseille, Ceux qui à mes desseins n'ont pas prêté l'oreille, Ont a été traictez, et Alise soudain, Saurafinpeu que vaut Soffencer le Rom.
LVCIE.	LUCIE.
Il eſt vray qu'autrefois les fiers peuples des gaules Refuſoient de porter ſur leurs fortes eſpaules, Le joug Capitolin, & que lules Cæſar, Les ayants entreprins courrent bien du hazard, Et pourtant la valeur de ceſte ame Royalle, Les rendit tous ſûjets à l Aigle Impertaue, Et vous qui l’égalleZ en force, & en pouuoir, Ne les pouueZ vous pas contenir en deuoir?	Il est vrai qu'autrefois les fiers peuples des gaules Refusaient de porter sur leurs fortes épaules, Le joug Capitolin, et que lules Cæs, Les ayant entreprins courrent bien du hasard, Et pourtant la valeur de cette âme Royalle, Les rendit tous sujets à l' Aigle Impertave, Et vous qui l'égallez en force, et en pouvoir, Ne les pouvez vous pas contenir en devoir?
Et punir promptement ceſte Chreſtienne race, Qui meſpriſent nos Loix d’vne inſolẽte audace.	Et punir promptement cette Chrétienne race, Qui méprisent nos Lois d'une insolẽte audace.
OLIBRE.	OLIBRE.
Ie le puis & le veux, ſus allez de ce pas, O En mon Camp, & ſoudain dites à mes Soldats, Que ceux qu’ils treuueront, ſoit homme, femme où fille, Qu'on les ſaiſiſſe-toſt d’vne façon ſubtille, Qu'ils ſoient bien garrotez, de longs & forts liẽs Car on m'a aduerty qu’ils ſont tous Magiciens, Et quand ie les tiendray entre quatre murailles, denne pourrene morsernapper (ies canuiltesj Que s’ils ne veulent pas encenſer à nos Dieux, Ie leur feray ſouffrir des tourments furieux.	Je le puis et le veux, sus allez de ce pas, Ô En mon Camp, et soudain dites à mes Soldats, Que ceux qu'ils trouveront, soit homme, femme où fille, Qu'on les saisisse-tôt d'une façon subtille, Qu'ils soient bien arrotez, de longs et forts liẽs Car on m'a averti qu'ils sont tous Magiciens, Et quand tu les tiendrai entre quatre murailles, denne pourrene morsernapper (9ies canuiltesj Que à ils ne veulent pas encenser à nos Dieux, Je leur ferai souffrir des tourments furieux.
LVCIE.	LUCIE.
C’eſt raiſon grand Prefect, que ie vous obeïſſe, Ie m'en vay promptement accomplir mon office.	C'est raison grand Préfet, que je vous obéisse, Je m'en vais promptement accomplir mon office.
SCENE II.	SCÈNE II.
PHILOMENE, STE.	PHILOMENE, SITE.
REYNE, PHILOMENE.	REINE, PHILOMENE.
Eine voicy le temps, voicy noble pucelle, N Lagreable ſaiſon que le Ciel nous appelle, C’eſt maintenant qu’il faut les armes à la main Combattre les deſſeins d’Olibre l’inhumain, Qui tout plein de fureur, de colere, & de rage, A juré des Chrestiens, la perte, & le dommage, Meſpriſons, meſpriſons, ſes plus cruels efforts Et ne craignons celuy qui peut tuër les corps, Mais le Dieu tout- puiſſant qui ſoubZ la froide lame, Peut faire en vn moment perir le corps, & l’ame, S’il faut mourir pour luy ne fuyons les tourments, Et cherchons dans les feux des rafraichiſſemens, Que le dur cheuallet, la rouë, & les ſupplices, Soient nos ébattemens, & nos cheres delices, Car mille ans de tourmens icy bas & de pleurs, Sont moins qu’vu jour de joye és celeſtes rõdeurs.	Étine voici le temps, voici noble pucelle, N Agréable saison que le Ciel nous appelle, C'est maintenant qu'il faut les armes à la main Combattre les desseins d'Olibre l'inhumains, Qui tout plein de fureur, de colère, et de rage, A juré des Chrétiens, la perte, et le dommage, Mesprisons, méprisons, ses plus cruels efforts Et ne craignons celui qui peut tuer les corps, Mais le Dieu tout- puissant qui soulés la froide lame, Peut faire en un moment périr le corps, et lâme, 'il faut mourir pour lui ne fuyons les tourments, Et cherchons dans les feux des rafraichissemens, Que le dur cheuallet, la rouë, et les supplices, Soient nos ébattemens, et nos chères délices, Car mille ans de tourmens bas et de pleurs, Sont moins vu jour de joye célestes rõdeurs.
Ste REYNE.	Ste REINE.
Vos aduis ſont tres bons aymable Philomene, Et desja ie voudrois me voir en cette pelne, De paroiſtre deuant ce Tyran furieux, Si Dieu treuue à propos que ce ſoit pour mõ mieux Et deſtors que ie lis les Sacrées legendes, Des ſaints qui de leur ſang font à Ieſus offrande, I'admire la valeur de ces braues guerriers, Qui deſſus les Trans remportent les Lauriers, Ie penſe voir encor, cét Athelette inuincible, Ce grãd Prot homartyr, qui ſous la pluye horrible Des cailloux accablé, ſe mit à deux genoux, En priant Dieu pour ceux qui l’aſſommoient de coups :	Vos avis sont très bons aimable Philomène, Et déjà deux voudrais me voir en cette pelne, De paraître devant ce Tyran furieux, Si Dieu trouve à propos que ce soit pour mien mieux Et détors que je lis les Sacrées légendes, Des saints qui de leur sang font à Jésus offrande, J'admire la valeur de ces braves guerriers, Qui dessus les Trans remportent les Lauriers, Je pense voir encor, cet Athelette invincible, Ce gra Rt homartyr, qui sous la plue horrible Des cours accablé, deux mit à deux genoux, En priant Dieu pour ceux qui gen de coups ,
Ie vois d’autre coſté le Prince de l’Egliſe, Qui ſuyuant ſon Sauueur a vn cœur plein de franchiſe, Humble donne ſes pieds, & preſente ſes bras, Pour eſtre mis en Croix la teſte contre-bas, Le meurtrier coûtelas qui comme vne tempeſte, Du Docteur des Gentils va ſeparant la teſte, M’âprend combien d’amour il a eu pour ſon Dieu L'Alcide ſainct Laurent qui eſtoit au milieu, D’vn brazier allumé, reproche l’auarice D’vn perfide Tyran, & toute la Milice Qui erne de ſon ſang l’eſtendart de la Croix, Et laue ſon Eſtole au Sang da Roy des Rois, Nous teſmoignent vrayement qu'il faut ſuiure leur routte, Pour poſſeder les biens de la Celeſte voûte.	Je vois d'autre côté le Prince de l'Église, Qui suivant son Sauueur a un cœur plein de franchise, Humble donne ses pieds, et présente ses bras, Pour être mis en Croix la tête contre-bas, Le meurtrier coûtelas qui comme une tempête, Du Docteur des Gentils va séparant la tête, M'âprend combien d'amour il a eu pour son Dieu L'Alcide saint Laurent qui était au milieu, D'vn allier allumé, reproche D'auarice L'a perfide Tyran, et toute la Milice Qui erne de son Ca estendart de la Croix' Et laue son Estole au Sang da Roy de Rois, Nous témoignent vrayement qu'il faut suiure le routte, Pour Et les biens de a Celeste an.
PHILOMENE.	PHILOMENE.
Courage chere amie il faut de bien en mieux, Vous perfectionner au bien qui vient des Cieux,;	Courage chère amie il faut de bien en mieux, Vous perfectionner au bien qui vient des Cieux,;
La vie des Martyrs, eſt l’vnique modelle.	La vie des Martyrs, est l'opique modèle.
Où ſe doit adiuſter vn cœur vrayment fidelle, C’eſt dans ce beau miroir où brilloient les vertus, Et où les vices ſont ſouz les pieds abbatus, Suiuez donc nuict & jour, ce ſentier tant aimable Et n’apprehendez point ce Tyran execrable, Muniſſez voſtre cœur de conſtance, & de Foy D’eſpoir, & charité, contre ce deſarroy, La blanche Chaſteté, & la pure innocence, Reluyſe en voſtre eſprit, rayonnant de prudence, Mais l’ombre baiſſe fort, allons mon cœur allons, Dãs ces paquiers herbeux repaiſge nos moutons.	Où se doit ajuster un cœur vraiment fidèle, C'est dans ce beau miroir où brillaient les vertus, Et où les vices sont souz les pieds abattus, Suivez donc nuit et jour, ce sentier tant aimable Et n'appréhendez point ce Tyran exécrable, Munissez votre cœur de constance, et de Foi D'espoir, et charité, contre ce désarroi, La blanche Chasteté, et la pure innocence, Reluise en votre esprit, rayonnant de prudence, Mais l'ombre baisse fort, allons mon cœur allons, Dãs ces pays herbeux repaisge ces moutons.
STE.	SITE.
REYNE.	REINE.
N’en prenez pas la peine, ô ma chere Nourriſſe Laiſſez moy s’il vous plaiſt cét agreable office.	N'en prenez pas la peine, ô ma chère Nourrisse Laissez -moi s'il vous plaît cet agréable office.
CENE III, LVCIE, OLIBRE, LVCIE.	CÈNE III, LUCIE, OLIBRE, LUCIE.
Rand Exarque, excuſez ſi mon retour eſt prompt, Car pour vous obeyr ie ne ſuis iamais long Mais ie vous veux conter vne hyſtoire gent ille, I'ay treuué deux Soldats, qui menoient vne fille.	Rand Exarque, excusez si mon retour est prompt, Car pour vous obéir ie nejours iamais long Mais ie vous veux conter une hystoire gent ille, J'ai trouvé deux Soldats, qui menaient une fille.
Vne fille, où plûtoſt vn vray Ange des Cieux, Vn miroir de beauté, vray chef d’œuure des dieux Le Prin-temps gracieux mignon de la Nâture, Ne deſcouure à nos yeux tant de riche peinture, Tant de roſes, d’œillets, & de lys blanchiſſans, Qu'elle produit és cœurs de plaiſirs rauiſſans, Son front sẽble à l’yuoire, & ſa bouche odorante, Faict voir vn double rang (qui tout le monde enchante, Entouré de cinabre, & l’or de ſes cheueux, Merite que chacun luy conſacre des vœux, Hymette n’a pas tant en ſes ruches d’Auettes, Qu'il n'aiſt deſſous ſes pas d’amoureuſes fleuretes Ses beaux jyeux qui font honte au grand pere des jours, Laſchent à tout moment mille petits amours, Sõ beau col eſt d’albaſtre, & ſes jouës vermeilles, Rauiſſent les eſprits d’agreable merueilles, Enfin c’eſt l’abregé de tout ce qui eſt beau, C’eſt la flâme où l’amour allume ſon flambeau, Ie n’aurois iamais crû qu’vne beauté ſi rare, Se fuſſe rencontree en la Gaule Barbare, Voila donc grand Guerrier voila ſommairement, Le ſuject qui m'a faict venir ſi promptement, Ie ſçais qu’autre que vous a trop peu de merite, Pour ſon cœur poſſeder partant ie vous inuite, De joindre vos Lauriers à ſa perfection, Et vous rendre le Roy de ſon affection.	Une fille, où plutôt un vrai Ange des Cieux, Un miroir de beauté, vrai chef d'œuvre des dieux Le Printemps gracieux mignon de la Nâture, Ne découvre à nos yeux tant de riche peinture, Tant de roses, d'œillets, et de lys blanchissants, Qu'elle produit ès cœurs de plaisirs rauissans, Son front suble à l'yvoire, et sa bouche odorante, Fait voir un double rang (qui tout le monde enchante, Entouré de cinabre, et l'or de ses cheueux, Merite que chacun lui consacre des vœux, Hymette a pas tant en ses ruches Auettes, Qu'il n'aist dessous ses pas amoureuses fleuretes Ses beaux jyeux qui font honte au ra pere des jours, ç tout moment mille petits amours, beau col est albâtre, et ses jouës vermeilles, An lesesprits agréable merveilles, Enfin est abregé de tout ce qui est beau, est la flâme ô m me son flambeau, Ie aurois iamais crû beauté si rare, Se fusse rencontrée en la Gaule Barbare, Voila donc grand Guerrier voila sommairement, Le suject qui m'a faict venir si promptement, Ie sçais autre que vous a trop peu de merite, Pour son cœur posséder partant ie vous inuite, De joindre vos Lauriers sa perfection, Et vous rendre le Roy de son affection'
OLIBRE.	OLIBRE.
Lucie mon amy tes diſcours ont des charmes, Qui font dans mes penſées d’amoureuſes allarmes, Commande à ces Soldats qu’ils l’ameinent icy, Et luy dis de ma part qu’elle n’aye ſoucy, De paroiſtre deuant vn puiſſant Chef d’Armée, Qui ne veut attenter deſſus ma renommée, Ie luy veux conſeiller ſa vie & ſon honneur, Et la combler de prens dt glone, & de bon-heur.	Lucie mon ami tes discours ont des charmes, Qui font dans mes pensées d'amoureuses alarmes, Commande à ces Soldats qu'ils l'âmeinent ici, Et mille dis de ma part qu'elle n'aie souci, De paraître devant un puissant Chef d'Armée, Qui ne veut attenter dessus ma renommée, Je lui veux conseiller sa vie et son honneur, Et la combler de prends dût glone, et de bonheur.
LVCIE.	LUCIE.
Monſeigneur ie feray de bon cœur ce meſſage, Vous ſerez fort heureux d’auoir ſon pucellage?	Monseigneur ici ferai de bon cœur ce message, Vous serez fort heureux d'avoir son pucellage?
OLIBRE.	OLIBRE.
Allez dépeſchez vous, & reuenez ſoudain, Afin de contenter mon amoureux deſſein,	Allez dépêchez -vous, et revenez soudain, Afin de contenter mon amoureux dessein,
SCENE IV.	SCÈNE IV.
ETCIE, INLEL, ETIE, Ste.	ETCIE, INLEL, ETIE, Ste.
REYNE.	REINE.
LVCIE.	LUCIE.
Raue Fulce eſcoutez, & vous vaillant Etie, D'Vostre Chef vous commande, & de grace vous prie, Si vons aueZ pour luy vn peu d’affection, C’eſt qu’il aye de vous ceste obligation, De mener deuant luy cette jeune pucelle, Car il deſire fort de parler auec elle.	Rave Fulce écoutez, et vous vaillant Etie, D'Uotre Chef vous commande, et de grâce vous prie, Si vons auez pour lui un peu d'affection, C'est qu'il aie de vous cette obligation, De mener devant lui cette jeune pucelle, Car il désire fort de parler avec elle.
TVLCE.	TULCE.
Lucie, Nous voulons obeïr au vouloir, De noſtre braue Chef, & c’eſt noſtre deuoir, De complaire en tout cas au genereux Olibre, C’’eſt vn homme obligeant, recognoiſſant, & libre, Qui les hommes de cœur ſçait bien recompenſer, Et qui nous peut s’il veut és charges aduancer, Luy qui eſt jouïal, & d’vne humeur gaillarde, certrunj at coir terie riué mignardé.	Lucie, Nous voulons obéir au vouloir, De notre brave Chef, et c'est quelque devoir, De complaire en tout cas au généreux Olibre, Ç'est un homme obligeant, reconnaissant, et libre, Qui les hommes de cœur sait bien récompenser, Et qui nous peut s'il veut ès charges avancer, Luy qui est jouir, et d'une humeur gaillarde, certrunj at coir terrie rivé mignardé.
ETIE.	ETIE.
