ha ESEN ſ PRE'MIERE.	ha ESEN s PRE'MIERE.
Suplemens ingenieux qui donnent du relief aux jouës plaetes.	Suplements ingénieux qui donnent du relief aux joues plaètes.
Ouais.	Ouais.
Cornettes fuyantes pour faire ſortir les yeux en avant.	Cornettes fuyantes pour faire sortir les yeux en avant.
Ha voicy ce que vous demandez.	Ha voici ce que vous demandez.
La ſoury eſt un petit nœud de nompareille qui ſe place dans le bois;	La souri est un petit nœud de nompareille qui se place dans le bois;
nota qu’on appelle petit bois un paquet de cheveux heriſſez, qui garniſſent le pied de la futaye bouclée, mais vous lirez cela à loiſir.	nota qu'on appelle petit bois un paquet de cheveux hérissez, qui garnissent le pied de la futaie bouclée, mais vous lirez cela à loisir.
Allez viſte arranger voſtre toillette, je vous envoiray mon Maiſtre ſi-toſt qu’il aura finy une petite affaire.	Allez vite arranger votre toillette, je vous envoirai mon Maître sitôt qu'il aura fini une petite affaire.
AGATHE.	AGATHE.
Qu’il ne me faſſe pas attendre au moins Adieu Liſette.	Qu'il ne me fasse pas attendre au moins Adieu Lisette.
LISETTE.	LISETTE.
Adieu Agathe.	Adieu Agathe.
On vient à bout de tout en ce monde, quand on ſçait prendre chacun par ſon foible.	On vient à bout de tout en ce monde, quand on sait prendre chacun par son faible.
Les hommes par les femmes, les femmes par les habits;	Les hommes par les femmes, les femmes par les habits;
ça il faut à preſent nous aſſurer de ton Maiſtre.	ça il faut à présent nous assurer de ton Maître.
PASQUIN.	PASQUIN.
Il eſt chez le Notaire, il faut qu’il repaſſe par icy pour aller chez Agathe, & je l’arreſteray pendant que tu iras te déguiſer en veuve.	Il est chez le Notaire, il faut qu'il repasse par ici pour aller chez Agathe, et je l'arrêterai pendant que tu iras te déguiser en veuve.
LISETTE.	LISETTE.
Recapitulons un peu ce déguiſement.	Recapitulons un peu ce déguisement.
Tu es bien ſeur que ton Maiſtre n’a jamais veu la veuve.	Tu es bien sûr que ton Maître n'a jamais vu la veuve.
PASQUIN.	PASQUIN.
Aſſurément.	Assurément.
Sur la reputation qu’elle a dans Poitiers d’eſtre fort riche, mon fanfaron s’eſt vanté qu’elle eſtoit amoureufe de luy:	Sur la réputation qu'elle a dans Poitiers d'être fort riche, mon fanfaron s'est vanté qu'elle était amoureuse de Seigneur:
pour ſe vanger elle a pris plaiſir à ſe trouver maſquée à deux ou trois aſſemblées où il eſtoit, de faire la paſſionnée;	pour se venger elle a pris plaisir à se trouver masquée à deux ou trois assemblées où il était, de faire la passionnée;
en un mot de ſe moquer de luy, trouvant toujours des excuſes pour ne ſe point demaſquer.	en un mot de se moquer de jours, trouvant toujours des excuses pour ne se point démasquer.
C’eſt une gaillarde qui fait mille plaiſanteriés de cette nature pour égayer ſon veuvage.	C'est une gaillarde qui fait mille plaisanteriés de cette nature pour égayer son veuvage.
LISETTE.	LISETTE.
Puiſque cela eſt ainſi, je contreferay la veuve comme ſi je l’eſtois.	Puisque cela est ainsi, je contreferai la veuve comme si je l'étais.
PASQUIN.	PASQUIN.
Tant pis.	Tant pis.
Car on ne ſçauroit bien contrefaire la veuve, qu’on n’ait contrefait la femme mariée.	Car on ne saurait bien contrefaire la veuve, qu'on n'ait contrefait la femme mariée.
L’habit eſt-il preſt?	L'habit est-il prêt?
Ouy- LISETTE.	Oui- LISETTE.
PASQUIN.	PASQUIN.
Voila mon Maiſtre qui vient.	Voilà mon Maître qui vient.
LISETTE.	LISETTE.
Amuſe-le pendant que je me déguiſeray, & aprés tu iras avertir Agathe qu’elle vienne nous ſurprendre, tu la feras écouter noſtre converſation, laiſſe-moy faire.	Amuse-le pendant que je me déguiserai, et après tu iras avertir Agathe qu'elle vienne nous surprendre, tu la feras écouter notre conversation, laisse-moi faire.
PASQUIN ſeul.	PASQUIN seul.
Comment luy tourneray-je la choſe.	Comment était tournerai-je la chose.
Mais il ne faut pas tant de façon avec mon Maiſtre, un homme qui ſe croit aimé de toutes les femmes en eſt aiſément la dupe	Mais il ne faut pas tant de façon avec mon Maître, un homme qui se croit aimé de toutes les femmes en est aisément la dupe
SCENE VIII.	SCÈNE VIII.
DORANTE, PASQUIN.	DORANTE, PASQUIN.
PASQUIN.	PASQUIN.
TvX Onſieur, Monſieur.	TuX Onsieur, Monsieur.
D'ORANTE.	D'ORANTE.
Ne m’arreſte point, Agathe m’attend.	Ne m'arrête point, Agathe m'attend.
PASQUIN.	PASQUIN.
Ce n’eſt plus de mes affaires que je veux vous parler à preſent.	Ce n'est plus de mes affaires que je veux vous parler à présent.
DORANTE.	DORANTE.
2 Je meurs d’impatience de la voir;	2 Je meurs d'impatience de la voir;
l’amour Paſquin, l’amour:	l'amour Pasquin, l'amour:
Ah quand on a le cœur pris.	Ah quand on a le cœur pris.
PASQUIN.	PASQUIN.
Fait comme vous eſtes, Monſieur, je n’euſſe jamais deviné que l’amour vous feroit perdre voſtre fortune.	Fait comme vous êtes, Monsieur, je n'eusse jamais deviné que l'amour vous ferait perdre vôtre fortune.
DORANTE.	DORANTE.
Que veux-tu dire parlà.	Que veux-tu dire parlà.
PASQUIN.	PASQUIN.
Que voſtre amour pour Agathe vous fait manquer cette veuve de cinquante mille écus.	Que votre amour pour Agathe vous fait manquer cette veuve de cinquante mille écus.
DORANTE.	DORANTE.
DORANTE.	DORANTE.
Hé ne t’ay-je pas dit que la ſotte eſt devende ivilibie à Poitiers?	Hé ne t'ai-je pas dit que la sotte est devende ivilibie à Poitiers?
a Ci .	a Ci .
2	2
PASQUIN.	PASQUIN.
Aparament elle vouloit éprouver, voſtre conſtance, l’heureux moment eſt venu.	Apparament elle voulait éprouver, votre constance, l'heureux moment est venu.
Elle eſt icy Monſięur.	Elle est ici Monsięur.
DORANTE.	DORANTE.
Eſt-il poſſible.	Est-il possible.
PASQUIN.	PASQUIN.
Il n’y a rien de plus vray, & depuis que vous m’avez quitté.	Il n'y a rien de plus vrai, et depuis que vous m'avez quitté.
Mais n’en parlons plus, vous avez le cœur pris pour Agathe.	Mais n'en parlons plus, vous avez le cœur pris pour Agathe.
DORANTE.	DORANTE.
Acheve Paſquin, acheve.	Achève Pasquin, achève.
PASQUIN.	PASQUIN.
Amoureux comme vous eſtes, vous ne voudriez pas rompre un mariage d’inclinarion pour vingt mille écus, plus ou moins.	Amoureux comme vous êtes, vous ne voudriez pas rompre un mariage d'inclinarion pour vingt mille écus, plus ou moins.
DORANTE.	DORANTE.
Il faudra ſe faire violence.	Il faudra se faire violence.
Avec vingt mille éeus on achete un Regiment, on eſt utile au Prince, tu ſçais:	Avec vingt mille éeus on achète un Regiment, on est utile au Prince, tu sais:
qu’un Gentilhomme doit ſe ſacrifier pour les beſoins de l’Etat.	qu'un Gentilhomme doit se sacrifier pour les besoins de l'État.
PASQUIN.	PASQUIN.
Entre nous l’Etat n’a pas grand beſoin de vous, puiſqu’il vous a remercié de vos ſervices à la teſte de voſtre Compagnie,	Entre nous l'État n'a pas grand besoin de vous, puisqu'il vous a remercié de vos services à la tête de votre Compagnie,
DORANTE.	DORANTE.
Parlons de la veuve Paſquin.	Parlons de la veuve Pasquin.
PASQUIN.	PASQUIN.
La veuve eſt venuë ce matin de Poitiers pour vos beaux yeux, & deptis que vous m’avez quitté, on vient de m'offrir de ſa part cent piſtoles, ſi je puis livrer voſtre cœur.	La veuve est venue ce matin de Poitiers pour vos beaux yeux, et déptis que vous m'avez quitté, on vient de m'offrir de sa part cent pistoles, si je puis livrer votre cœur.
DORANTE.	DORANTE.
Je ſeray ravy de te faire gagner cent piſtoles.	Je serai ravi de te faire gagner cent pistoles.
J'aime à m’acquiter Paſquin,	J'aime à m'acquiter Pasquin,
PASQUIN.	PASQUIN.
En rabatant ſur les gages.	En rabatant sur les gages.
DORANTE.	DORANTE.
C’a que faut-il faire mon cher cœur.	C'a que faut-il faire mon cher cœur.
PASQUIN.	PASQUIN.
On eſt convenũ avec mioy que le hazard ãmeneroit la veuve ſous cet Orme dans un quart-d’heure.	On est convensez avec mioi que le hasard ãmeneroit la veuve sous cet Orme dans un quart-d'heure.
Bon.	Bon.
DORANTE.	DORANTE.
PASQUIN.	PASQUIN.
132 j’ay promis que le meſme hazard vous y conduiroit auſſi.	132 j'ai promis que le même hasard vous y conduirait aussi.
DORANTE.	DORANTE.
Fort bien.	Fort bien.
PASQUIN.	PASQUIN.
Il faut que vous vous promeniez ſans faire ſemblant de rien.	Il faut que vous vous promeniez sans faire semblant de rien.
Elle va venir ſans faire ſemblant de rien.	Elle va venir sans faire semblant de rien.
Pour lors vous l’aborderez vous, en faiſant ſemblant de rien, elle vous écoutera en faiſant ſemblant de rien.	Pour lors vous l'aborderez -vous, en faisant semblant de rien, elle vous écoutera en faisant semblant de rien.
Voila comme ſe font les mariages des Thuilleries.	Voilà comme se font les mariages des Thuilleries.
DORANTE.	DORANTE.
Parbleu tu es un homme adorable.	Parbleu tu es un homme adorable.
PASQUIN.	PASQUIN.
C’a preparez-vous à aborder la veuve en petit Maiſtre, cachez-vous un œil avec voſtre chapeau, la main dans la ceintute, le coude en avant, le corps d’un coſté, & la teſte de l’autre;	C'a préparez-vous à aborder la veuve en petit Maître, cachez-vous un œil avec votre chapeau, la main dans la ceintute, le coude en avant, le corps d'un côté, et la tête de l'autre;
ſur tout gardez-vous bien de vous promener ſiir une ligne droite, cela eſt trop bourgeois.	sur tout gardez-vous bien de vous promener siir une ligne droite, cela est trop bourgeois.
DORANTE.	DORANTE.
Ce maraut là en ſçait preſque autant que moy.	Ce maraut là en sait presque autant que moi.
.	.
PASQUIN.	PASQUIN.
Voicy l’occaſion, Monſieur, de faire profiter les talens que vous avez pour le grand art de la minauderie.	Voici l'occasion, Monsieur, de faire profiter les talents que vous avez pour le grand art de la minauderie.
Ah ſi vous pouviez vous ſouvenir de cette mine que vous fiſtes l’autre jour à la Comedie:	Ah si vous pouviez vous souvenir de cette mine que vous fîtes l'autre jour à la Comédie:
là, une certaine mine qui perdit de reputation cette femme à qui vous n’aviez jamais parlé.	là, une certaine mine qui perdit de réputation cette femme à qui vous n'aviez jamais parlé.
DORANTE.	DORANTE.
Que tu es badin?	Que tu es badin?
PASQUIN.	PASQUIN.
Voicy la veuve, Monſieur;	Voici la veuve, Monsieur;
faites ſemblent de rien.	faites semblent de rien.
Hem, ſemblant de rien.	Hem, semblant de rien.
SCENE IX.	SCÈNE IX.
DORANTE', PASQUIN, LTSETTE en veuve.	DORANTÉ, PASQUIN, LTTETTE en veuve.
PASQUIN faiſant ſigne à Liſette.	PASQUIN faisant signe à Lisette.
Y a-t’il rien de nouveau en CataNlogne?	Y a-t-il rien de nouveau en CataNlogne?
que dit-on de l’Allemagne;	que dit-on de l'Allemagne;
vous avez receu des lettres de Flandre.	vous avez reçu des lettres de Flandre.
La promenade eſt bien deſerte aujourd’huy.	La promenade est bien déserte aujourd'hui.
De quel coſté vient le vent:	De quel côté vient le vent:
Mon Dieu la belle.	Mon Dieu la belle.
journée.	journée.
DORANTE.	DORANTE.
Frontin la veuve ſoupire.	Frontin la veuve soupire.
FRONTIN.	FRONTIN.
Aparemment c’eſt pour le deffunt.	Aparemment c'est pour le défunt.
DORANTE.	DORANTE.
Il faut un peu la laiſſer ronger ſon frein.	Il faut un peu la laisser ronger son frein.
Elle eſt ſenſible aux bons airs.	Elle est sensible aux bons airs.
Je me ſers de mes avantages.	Je me sers de mes avantages.
PASQUIN.	PASQUIN.
Vous avez raiſon, voſtre geſte eſt tout plein de merlte, & vous avez encore plus d’eſprit de loin que de prés.	Vous avez raison, votre geste est tout plein de merlte, et vous avez encore plus d'esprit de loin que de près.
Si elle vous entendoit chanter, elle ſeroit charmée Monſieur, ne ſçavez-vous point par cœur quelque Impromptu de l’Opera nouveau.	Si elle vous entendait chanter, elle serait charmée Monsieur, ne savez-vous point par cœur quelque Impromptu de l'Opera nouveau.
DORANTE.	DORANTE.
Je vay chanter pour me deſennuyer un petit air que je fis à Poitiers pour cette charmante veuve.	Je vais chanter pour me désennuyer un petit air que je fis à Poitiers pour cette charmante veuve.
Hem.	Hem.
DORANTE chante.	DORANTE chante.
Palſembleu l’Amour eſt un fat, l’Amour eſt un Fat.	Palsembleu l'Amour est un fat, l'Amour est un Fat.
Sans égardpour ma naiſſance, Il me fait ſoupirer, gemir, ſentir l’abſence Comme un Amant du tiers Eſtat:	Sans égardpour ma naissance, Il me fait soupirer, gémir, sentir l'absence Comme un Amant du tiers État:
Palſembleu l’Amour, &c.	Palsembleu l'Amour, etc.
Ii n’eſt point de belle en France Que je n’aye ſoûmiſe à ce petit ingrat, Et pour toute récompenſe Il m’enchaîne comme un forçat.	Ji n'est point de belle en France Que je n'aie soumise à ce petit ingrat, Et pour toute récompense Il m'enchaîne comme un forçat.
Palſembleu l’Amour, &c.	Palsembleu l'Amour, etc.
132 TASQUIN a parlé, après que Dorante a chanté.	132 TASQUIN a parlé, que après Dorante a chanté.
Vous eſtes l’Amour, Monſieur.	Vous êtes l'Amour, Monsieur.
DORANTE, il aborde la veuve.	DORANTE, il aborde la veuve.
C’eſt aſſez la faire languir.	C'est assez la faire languir.
Ciel!	Ciel!
quelle avanture Paſquin.	quelle aventure Pasquin.
Je croy que voila mon aimable inviſible dont je te parlois.	Je crois que voilà mon aimable invisible dont je te parlais.
PASQUIN.	PASQUIN.
C’eſt elle-meſme.	C'est elle-même.
DORANTE.	DORANTE.
Par quel bon-heur, Madame, vous trouve-t’on dans ce Village?	Par quel bonheur, Madame, vous trouve-t-on dans ce Village?
LISETTE.	LISETTE.
J'y venois chercher la ſolitude, & pleurer en liberté.	J'y venais chercher la solitude, et pleurer en liberté.
PASQUIN.	PASQUIN.
Retirons-nous donc, Monſieur:	Retirons-nous donc, Monsieur:
Il eſt dangereux d’interrompre les larmes d’une veuve.	Il est dangereux d'interrompre les larmes d'une veuve.
La veuë d’un joly homme fait rentrer la douleur en dedans.	La vue d'un joli homme fait rentrer la douleur en dedans.
DORANTEJe vous l’ay dit cent fois, charmante ſpirituelle, je ſuis le Cavalier de France le plus ſpecifique pour la conſolation des Dames.	DORANTEJe vous l'ai dit cent fois, charmante spirituelle, je suis le Cavalier de France le plus spécifique pour la consolation des Dames.
LISETTE.	LISETTE.
Un Cavalier fait comme vous ne ſçauroit en conſoler une, qu’il n’en amige mille autres.	Un Cavalier fait comme vous ne saurait en consoler une, qu'il n'en amige mille autres.
DORANTE.	DORANTE.
Periſſe de jalouſie toutes les femmes du monde, pourveu que vous vouliez bien,	Périsse de jalousie toutes les femmes du monde, pourvu que vous vouliez bien,
LI SETTE.	LI STTE.
Ah!	Ah!
n’achevez pas, Monſieur, je crains que vous ne me faiſiez des propoſitions que je ne pourrois entendre ſans horreur;	n'achevez pas, Monsieur, je crains que vous ne me faisiez des propositions que je ne pourrais entendre sans horreur;
car enfin il n’y a encore que huit ans que mon mary eſt mort.	car enfin il n'y a encore que huit ans que mon mari est mort.
PASQUIN.	PASQUIN.
Ah, Monſieur, vous allez r’ouvrir une playe qui n’eſt pas encore bien refermée.	Ah, Monsieur, vous allez rouvrir une plaie qui n'est pas encore bien refermée.
DORANTE.	DORANTE.
Ah, Frontin, je ſens que mon feu ſe Tallutne.	Ah, Frontin, je sens que mon feu se Tallutaine.
LISETTE.	LISETTE.
Helas le pauvre deffunt m’aimoit tant!	Hélas le pauvre défunt m'aimait tant!
PASQUIN.	PASQUIN.
Elle parle du deffant, vos affaires vont bien,	Elle parle du défant, vos affaires vont bien,
LISETTE.	LISETTE.
Il m’a fait promettre en mourant que Et ema sax.	Il m'a fait promettre en mourant que Et ema sax.
je ne me remarierois point.	je ne me remarierais point.
PASQUIN.	PASQUIN.
Profitez du moment.	Profitez du moment.
Monſieur, elle eſt femme, & puiſque ſa parole baiſſe, il faut qu’elle ſoit bien foible.	Monsieur, elle est femme, et puisque sa parole baisse, il faut qu'elle soit bien faible.
LISETTE begayant.	LISETTE bégayant.
Je tiendray.	Je tiendrai.
ma promeſſe.	ma promesse.
ou bien.	ou bien.
ASQUIN.	ASQUIN.
Elle begaye, il eſt temps que je me retire.	Elle bégaie, il est temps que je me retire.
C iii	Ç Ciji
1 17 SCENE X.	1 17 SENE X.
DORANTE, LISETTE.	DORANTE, LISETTE.
DORANTE.	DORANTE.
y A-t’en.	y A-t-en.
Nous ſommes ſeuls, MadaV me, accordez.	Nous sommes seuls, MadaU me, accordez.
moy donc enfin ce que vous m’avez tant de fois refuſé à Poitiers, levez ce voile cruel.	moi donc enfin ce que vous m'avez tant de fois refusé à Poitiers, levez ce voile cruel.
LISETTE.	LISETTE.
Monſieur, l’affliction m’a ſi fort changée.	Monsieur, l'affliction m'a si fort changée.
DORANTE.	DORANTE.
Hé je vous conjure.	Hé je vous conjure.
LISETTE diun ton de precieuſe.	LISETTE diun ton de précieuse.
Je ne dors point, la fatigue du caroſſe, la chaleur;	Je ne dors point, la fatigue du carosse, la chaleur;
la pouſſiere, de grand jour, vous me trouverez laide à faire peur.	la poussière, de grand jour, vous me trouverez laide à faire peur.
D'ORANTE.	D'ORANTE.
Je vous trouveray charmante.	Je vous trouverai charmante.
LISETTE.	LISETTE.
Vous le voulez.	Vous le voulez.
DORANTE.	DORANTE.
Que vois-je!	Que vois-je!
E	E
LISETTE.	LISETTE.
Puiſqu’il faut vous l’avoüer, dés la ſeconde fois que je vous vis, je formay le deſſein de faire voſtre' fortune, mais je voulois vous éprouver.	Puisqu'il faut vous l'avouer, dès la seconde fois que je vous vis, je formai le dessein de faire votre fortune, mais je voulais vous éprouver.
Ah cruel falloit.	Ah cruel fallait.
il ſi-toſt vous rebuter.	il sitôt vous rebuter.
D'ORANTE.	D'ORANTE.
Hé vous avois-je veu, Madame.	Hé vous avais-je vu, Madame.
SCENE XI.	SCÈNE XI.
DORANTE, LISETTE, PASQUIN, AGATHE, Paſquin amene Agathe pour écouter.	DORANTE, LISETTE, PASQUIN, AGATHE, Pasquin amène Agathe pour écouter.
AGATHE à part.	AGATHE à part.
’Eſt donc pour cela qu’il me faiſoit Otant attendre.	’Est donc pour cela qu'il me faisait Otant attendre.
PASQUIN à part.	PASQUIN à part.
Ecoutez.	Écoutez.
DORANTE.	DORANTE.
Je l’avouë franchement, à voſtre refus 'avois baiſſé les yeux ſur une petite Fermiere, parce que je trouvois une ſomme d’argent pour netoyer de gros biens quej’ay en direction, mais d’honneur en honneur je ne l’ay jamais regardée que comme un enfant, une poupée avec quoy on ſe jouë, & depuis les charmantes converſations de Poitiers, vous n’avez point deſemparé mon cœur.	Je l'avoue franchement, à votre refus ' avois baissé les yeux sur une petite Fermière, parce que je trouvais une somme d'argent pour noyer de gros biens quej'ai en direction, mais d'honneur en honneur je ne l'ai jamais regardée que comme un enfant, une poupée avec quoi on se joue, et depuis les charmantes conversations de Poitiers, vous n'avez point désemparé mon cœur.
AGATHE à part.	AGATHE à part.
Le traitre.	Le traître.
LISETTE.	LISETTE.
Aparemment que je vous crois, puiſque je veux bien vous donner ma main;	Aparemment que je vous crois, puisque je veux bien vous donner ma main;
mais avant toute choſe, il faut que vous diſiez à Agathe, en ma preſence, que vous ne l’avez jamais aimée.	mais avant toute chose, il faut que vous disiez à Agathe, en ma présence, que vous ne l'avez jamais aimée.
DORANTE.	DORANTE.
En voſtre preſence.	En votre présence.
LISETTE.	LISETTE.
Quoy vous heſitez?	Quoi vous hésitez?
DORANTE.	DORANTE.
Nullement.	Nullement.
Mais enfin dire en face à une femme que je ne l’aime point, c’eſt I'aſſaſſiner, le coup eſt mortel, Madame, & je dois avoir des ménagemens pour une pauvre petite creature qui.	Mais enfin dire en face à une femme que je ne l'aime point, c'est J'assassiner, le coup est mortel, Madame, et je dois avoir des ménagements pour une pauvre petite créature qui.
Qui?	Qui?
LISETTE.	LISETTE.
DORANTE.	DORANTE.
Qui, puiſqu’il faut vous faire la confidence, qui a eu pour moy certaines foibleſſes.	Qui, puisqu'il faut vous faire la confidence, qui a eu pour moi certaines faiblesses.
Je ſuis galant homme.	Je suis galant homme.
AGATHE à part.	AGATHE à part.
Comme il ment t	Comme il ment t
DORANTE.	DORANTE.
Mais Madame, je quitte tout pour vous ſuivre:	Mais Madame, je quitte tout pour vous suivre:
Je me laiſſe enlever, je vous épouſe, faut-il d’autres marques de mon amour.	Je me laisse enlever, je vous épouse, faut-il d'autres marques de mon amour.
LISETTE.	LISETTE.
Au moins je vous ordonne d’aller tout preſentement rompre l’engagement que vous avez avec le pers.	Au moins je vous ordonne d'aller tout présentement rompre l'engagement que vous avez avec le pers.
DORANTE.	DORANTE.
Oh pour cela volontiers.	Oh pour cela volontiers.
LISETTE.	LISETTE.
Allez promptement, & revenez dans une demy heure m’atrendre ſous cet Orme.	Allez promptement, et revenez dans une demi heure m'atrendre sous cet Orme.
DORANTE.	DORANTE.
Je vay vous ſatisfaire.	Je vais vous satisfaire.
LISETTE.	LISETTE.
2ous Tomme au, moins.	2ous Tomme au, moins.
SCENE XII.	SCÈNE XII.
AGATHE, LISETTE.	AGATHE, LISETTE.
LISETTE.	LISETTE.
Mon Dieu la jolie mignonne!	Mon Dieu la jolie mignonne!
qu’elle eſt aimable!	qu'elle est aimable!
me voulez-vous parler?	me voulez-vous parler?
Non.	Non.
AGATHE n’oſant l’aborder.	AGATHE n'osant l'aborder.
LISETTE.	LISETTE.
Mais je crois vous avoir veu quelque part, n’eſtes-vous pas ia befle Agathe.	Mais je crois vous avoir vu quelque part, n'êtes-vous pas ja bêle Agathe.
AGAT-HE n’oſant l’aborder.	AGAT-HÉ n'osant l'aborder.
Je ne ſçay pas.	Je ne sais pas.
LISETTE.	LISETTE.
Ne craignez rien, ma bouchonne, vous m’aviez enlevé mon Amant, mais je ſuis deja vangee, puſqu’il vous a ſacrifiée à moy.	Ne craignez rien, ma bouchonne, vous m'aviez enlevé mon Amant, mais je suis déjà venge, pusqu'il vous a sacrifiée à moi.
Le traitre.	Le traître.
AGATHE.	AGATHE.
LISETTE.	LISETTE.
Vous eſtes bien fâchée, n’eſt-ce pas, de perdre un ſi joly petit homme.	Vous êtes bien fâchée, n'est-ce pas, de perdre un si joli petit homme.
AGATHE.	AGATHE.
Je ne ſuis fâchée que de ce qu’il vous vient de dire des fauſſetez de moy;	Je ne suis fâchée que de ce qu'il vous vient de dire des faussetés de moi;
il dit que j’ay eu des foibleſſes pour luy !	il dit que j'ai eu des faiblesses pour lui !
ah ne le croyez pas au moins, Madame, c’eſt un inecliante qui en eſtu couerutteuit de võus.	ah ne le croyez pas au moins, Madame, c'est un inecliante qui en est coueruteuit de võus.
Mla ha.	Mla ha.
LISETT E rit.	LISETT E rit.
AGATHE.	AGATHE.
oue lite,uii-ce que vous me ſoupconnez de ce que ce menteur là vous a dit.	oue lite,ui-ce que vous me soupçonnez de ce que ce menteur là vous a dit.
LISETTE.	LISETTE.
Dorante ne ſçauroit mentir, il eſt Gentilhomme.	Dorante ne saurait mentir, il est Gentilhomme.
AGATHE.	AGATHE.
Que je ſuis malheureuſe!	Que je suis malheureuse!
Quoy vous croyez.	Quoi vous croyez.
LISETTE ſe devoilant.	LISETTE se dévoilant.
Ouy je croy.	Oui je crois.
AGATHE.	AGATHE.
C’eſt Lilette !	C'est Lilette !
LISETTE.	LISETTE.
Je croy, comme je l’ay toujours crû, que vous eſtes fort ſage, & que Dorante eſt le plus grand ſcelerat.	Je crois, comme je l'ai toujours cru, que vous êtes fort sage, et que Dorante est le plus grand scélérat.
Mais je, ſuis contente, vous avez tout entendu.	Mais je, suis contente, vous avez tout entendu.
Ce n’eſt pas ſa faute, comme vous voyez, ſi je ne ſuis qu’une fauſſe veuve.	Ce n'est pas sa faute, comme vous voyez, si je ne suis qu'une fausse veuve.
Hé bien que vous dit le cœur preſentement?	Hé bien que vous dit le cœur présentement?
AGATHE.	AGATHE.
21 Helas j’ay trahy Colin.	21 Hélas j'ai trahi Colin.
Colin m’aimer’il encore?	Colin m'aimeril encore?
LISETTE.	LISETTE.
Il fera tout comme s’il vous aimoit, & ſi-toſt que vous luy aurez dit un mot, il ne ſongera plus qu’à ſe vanger de Dorante.	Il fera tout comme s'il vous aimait, et sitôt que vous parler aurez dit un mot, il ne songera plus qu'à se venger de Dorante.
AGATHE.	AGATHE.
Ah qu’il ne s’y jouë pas.	Ah qu'il ne s'y joue pas.
Dorante m’a dit qu’il eſtoit bien méchant.	Dorante m'a dit qu'il était bien méchant.
LISETTE.	LISETTE.
Il s’agit d’une vangeance qui ſervira de divertiſſement à toute noſtre petite ſocieté galante.	Il s'agit d'une vengeance qui servira de divertissement à toute notre petite société galante.
Il ſera berné qu’il ne manquera rien.	Il sera berné qu'il ne manquera rien.
SCENE XIII.	SCÈNE XIII.
COLIN, LISETTE, AGATHE.	COLIN, LISETTE, AGATHE.
COLIN ſans appercevoir Agathe.	COLIN sans apercevoir Agathe.
Aſquin me vient de dire que tout alloit I bien, pourveu que je patientiſſe;	Asquin me vient de dire que tout allait I bien, pourvu que je patientisse;
mais quand je devrois tout gaſter, je ne ſerois plus me tenir en place.	mais quand je devrais tout gâter, je ne serais plus me tenir en place.
Je ſis trop amoureux.	Je sis trop amoureux.
AGATHE fâchée d’avoir arahy Colin.	AGATHE fâchée d'avoir arahi Colin.
Ah Colin, Colin.	Ah Colin, Colin.
COLIN apercevant Agathe.	COLIN apercevant Agathe.
Ce n’eſt pas de vous au moins que je dis que je ſuis amoureux:	Ce n'est pas de vous au moins que je dis que je suis amoureux:
Il feroit bau var que j’aimiſſe encore eune.	Il ferait bau var que j'aimisse encore eune.
ingrate.	ingrate.
Il eſt vray.	Il est vrai.
AGATHE	AGATHE
COLIN.	COLIN.
Une.	Une.
infidelle.	infidèle.
IAGATHE.	IAGATHÉ.
Ouy Colin.	Oui Colin.
COLIN.	COLIN.
Eune changeuſe.	Eune changeuse.
AGATHE.	AGATHE.
Helas je n’aime pas trop à changer, mais c’eſt que cela me vint malgré moy tout d’un coup, parce que je n’avois jamais veu d’homme faï̃t comme Dorante.	Hélas je n'aime pas trop à changer, mais c'est que cela me vint malgré moi tout d'un coup, parce que je n'avais jamais vu d'homme faï̃t comme Dorante.
COLIN.	COLIN.
Ouy vous eſtes une traitreſſe.	Oui vous êtes une traîtresse.
AGATHE.	AGATHE.
Oh pour traitreſſe non, ne vous avoisje pas averty que je voulois aimer Dorante.	Oh pour traîtresse non, ne vous avais pas averti que je voulais aimer Dorante.
COLIN étoufant de colere.	COLIN étouffant de colère.
Eune.	Éune.
a ouf;	à ouf;
gnia pu moyen de reteni mon naturel.	gnia pu moyen de reteni mon naturel.
Baille moy ta main.	Baille moi ta main.
AGATHE.	AGATHE.
Ah Colin que je ſuis fâchée.	Ah Colin que je suis fâchée.
COLIN.	COLIN.
Ah que je ſis aiſe moy.	Ah que je sis aise moi.
LISETTE.	LISETTE.
Vous allez uſer foufe voſtré tendreſſe, gardez en un peu pour quand vous ſerez mariez, vous en aurez beſoin.	Vous allez user fouffe vostré tendresse, gardez en un peu pour quand vous serez mariez, vous en aurez besoin.
C'a Dorante va venir m’attendre ſous l’Orme, nous avons reſolu de nous moquer de luy.	C'a Dorante va venir m'attendre sous l'Orme, nous avons résolu de nous moquer de lui.
Pierrot, Nanette & Licas nous doivent aider, ils ſont là tous preſts, les voiey- Qui vous a donc avertis qu’il eſtoit temps.	Pierrot, Nanette et Licas nous doivent aider, ils sont là tous prêts, les voiei- Qui vous a donc avertis qu'il était temps.
SCENE XIV.	SCÈNE XIV.
LISETTE, COLIN, AGATHE, NANETTE, LICAS, PIERROT.	LISETTE, COLIN, AGATHE, NANETTE, LICAS, PIERROT.
d C.	d Ç.
NANETTE.	NANETTE.
Ous avons veu de loin qu’elle ſe I Vlaiſſoit baiſer la maino par Colin, nous avons juge.	Ous avons vu de loin qu'elle se I Laissait baiser la maino par Colin, nous avons juge.
liif La Mm	liif La Mm
GOLIN.	GOLIN.
