ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
A-t-elle rien obmis de touchant & de tendre, Et tout autre que luy n’euſt-il pas deu ſe rendre:	A-t-elle rien obmis de touchant et de tendre, Et tout autre que tu n'eût-il pas dev se rendre:
Mais pouvoit-elle mieux ſon ardeur exprimer, Que quand ſon foible bras a ſçû pour luy s’armer;	Mais pouvait-elle mieux son ardeur exprimer, Que quand son faible bras a su pour ton s'armer;
Qu'elle a du Sanglier affronté la furie, Et pour le preſerver abandonné ſa vie?	Qu'elle a du Sanglier affronté la furie, Et pour le préserver abandonné sa vie?
Ie n’avois pas d’abord remarqué l’action, Mais j’ay fait ſur ce point depuis reflexion, C’eſtoit au Berger ſeul , dormant ſous le feuïllage, Que la beſte vouloit faire ſentir ſa rage:	Je n'avais pas d'abord remarqué l'action, Mais j'ai fait sur ce point depuis réflexion, C'était au Berger seul , dormant sous le feullage, Que la bête voulait faire sentir sa rage:
Meliſſe par la fuite euſt pû ſe garantir, Mais ſon amour plus fort l’empeſchoit de partir.	Mélisse par la fuite eût pu se garantir, Mais son amour plus fort l'empêchait de partir.
Alexis me contant la choſe en ſa preſence, M’a luy-meſme averti de cette circonſtance;	Alexis me contant la chose en sa présence, M'a tu-même averti de cette circonstance;
Et depuis en cauſant avec luy dans le bois, Il m’en a découvert plus que je n’en voulois.	Et depuis en causant avec lui dans le bois, Il m'en a découvert plus que je n'en voulais.
Sexe diſſimulé, ſexe rempli de ruſes, Appelles-tu vertu lors que tu nous abuſes?	Sexe dissimulé, sexe rempli de ruses, Appelles-tu vertu lors que tu nous abuses?
Mais Alexis eſt-il avec elle d’accord?	Mais Alexis est-il avec elle d'accord?
Conſpirent-ils tous deux pour me donner la mort?	Conspirent-ils tous deux pour me donner la mort?
Auroit-il violé noſtre amitié ſi ſainte, Et caché ſon amour ſous vne froideur feinte?	Aurait-il violé notre amitié si sainte, Et caché son amour sous une froideur feinte?
Extremité cruelle, embarras malheureux, Et de tous les coſtez également fâcheux.	Extremité cruelle, embarras malheureux, Et de tous les côtés également fâcheux.
Amour conſeille moy, qu’eſt-ce que je dois faire, Accuſer mon ingrate, ou ſouffrir & me taire:	Amour conseille moi, qu'est-ce que je dois faire, Accuser mon ingrate, ou souffrir et me taire:
Ie l’irrite par l’vn, l’autre ronge mon ſein, Et dans les deux partis le peril eſt certain.	Je l'irrite par l'une, l'autre ronge mon sein, Et dans les deux partis le péril est certain.
Mais Meliſſe s’approche, eſſayons par adreſſD’en tirer s’il ſe peut l’adveu de ſa foibleſſe, Taſchons de la convaincre, & quand nous aurons ſçû.	Mais Mélisse s'approche, essayons par adressD'en tirer s'il se peut l'aveu de sa faiblesse, Tâchons de la convaincre, et quand nous aurons su.
SCENE II.	SCÈNE II.
PHILENE, MELISSE.	PHILENE, MÉLISSE.
MELISSE.	MÉLISSE.
E la chaſſe bien-toſt vous eſtes revenu:	E la chasse bientôt vous êtes revenu:
DMais, Philene, Alexis manque ici, ce me ſemble.	DMais, Philène, Alexis manque ici, ce me semble.
Dites, avez-vous pas eſté toûjours enſemble?	Dites, avez-vous pas été toujours ensemble?
Tout eſt-il dans la chaſſe à ſouhait arrivé, Le Sangneren Amono, ou bieus il s’eſt ſauvé?	Tout est-il dans la chasse à souhait arrivé, Le Sangneren Amono, ou bieus il s'est sauvé?
Helas!	Hélas!
PHILENE.	PHILENE.
MELISSE.	MÉLISSE.
Que cét helas m’eſt vn ſiniſtre augure, Et que j’en apprehende vne triſte aventure.	Que cet hélas m'est un sinistre augure, Et que j'en appréhende une triste aventure.
Philene, parlez donc, daignez en peu de mots M’expliquer le ſujet qui cauſe vos ſanglots.	Philène, parlez donc, daignez en peu de mots M'expliquer le sujet qui cause vos sanglots.
PHILENE.	PHILENE.
Ciel vous m’eſtes témoin, & vous ombreux boccage, Si mon bras ſecondant mon genereux courage, N’a pas fait des efforts au delà de l’humain, Pour prolonger ſes jours & garantir ſon ſein;	Ciel vous m'êtes témoin, et vous ombreux bocage, Si mon bras secondant mon généreux courage, N'a pas fait des efforts au delà de l'humain, Pour prolonger ses jours et garantir son sein;
Si je n’ay pas taſché d’attirer la tempeſte, ne cnerene de perii pour epargnentà teſte.	Si je n'ai pas tâché d'attirer la tempête, ne cnérène de péri pour épargnentà tête.
Mais lors que du deſtin il a ſubi les loix, Ie me ſuis enfoncé dans le plus creux du bois, Sans ſçavoir où j’allois, & moy-meſme j’ignore Comme quoy dans ces lieux je me retrouve encore.	Mais lors que du destin il a sujet les lois, Je me suis enfoncé dans le plus creux du bois, Sans savoir où j'allais, et moi-même j'ignore Comme quoi dans ces lieux je me retrouve encore.
MELISSE.	MÉLISSE.
Alexis n’eſt donc plus, & ce Berger divin A veû trancher ſes jours preſque dans ſon matin.	Alexis n'est donc plus, et ce Berger divin A vu trancher ses jours presque dans son matin.
Philene, voulez-vous m’accorder tant de grace, Que de ce cher ami me conter la dilgrace.	Philène, voulez-vous m'accorder tant de grâce, Que de ce cher ami me conter la dilgrace.
PHILENE.	PHILENE.
A quoy vous ſerviroit ce lugubre recit, Qu’eſt-ce qu’il vous faut plus, vous ay-je pas tout dit?	À quoi vous servirait ce lugubre récit, Qu'est-ce qu'il vous faut plus, vous ai-je pas tout dit?
Que s’il faut ajouſter encor pour vous complaire, Sçachez que des Bergers l’éclatante lumiere, E nomeur de los hameaux, des vertus le lejour, Des Bergeres l’ardeur, a fini dans cejour.	Que s'il faut ajouter encor pour vous complaire, Sachez que des Bergers l'éclatante lumière, E nomeur de los hameaux, des vertus le jour, Des Bergères l'ardeur, a fini dans céjour.
MELISSE.	MÉLISSE.
Ie ne ſuis pas encor ſatisfaite, Philene, Contez-moy plus au long cette mort inhumaine:	Je ne suis pas encor satisfaite, Philène, Comptez-moi plus au long cette mort inhumaine:
Inutile ſecours, foible ſoulagement, Et qui ſeul toutefois peut flatter mon tourment.	Inutile secours, faible soulagement, Et qui seul toutefois peut flatter mon tourment.
PHILENE.	PHILENE.
Puiſque vous ordonnez à ma triſte memoire De vous repreſenter cette tragique hiſtoire, Ie vous obeïray, quoy que pourtant mon cœur A m’en reſſouvenir reſſente de l’horreur.	Puisque vous ordonnez à ma triste mémoire De vous représenter cette tragique histoire, Je vous obéirai, quoi que pourtant mon cœur A m'en ressouvenir ressente de l'horreur.
Lors qu’Alexis & moy d’vn deſſein temeraire, Fuſmes entrez au bois malgré voſtre priere, Nous connoiſſons la voye, & d’vn courage eſgal Nous avançons tous deux dans le ſentier fatal.	Lors qu'Alexis et moi d'un dessein téméraire, Fûmes entrez au bois malgré votre prière, Nous connaissons la voie, et d'H courage égal Nous avançons tous deux dans le sentier fatal.
Quand nous avons marché quelque peu ſur la trace, Le Sanglier devant nous à l’impourveu ſe place, Etincelant des yeux bouffis d’vn rouge fier, Et ſemblant au combat meſme nous deffier.	Quand nous avons marché quelque peu sur la trace, Le Sanglier devant nous à l'impourvu se place, Etincelant des yeux bouffis d' rouge fier, Et semblant au combat rendre nous défier.
Alexis auſſi-toſt ſon eſpieu luy preſente, Luy porte mille coups, le pouſſe, l’épouvante, Rencontre le defaut & luy perçant le flanc Le fait en peu de temps nager tout en ſon ſang:	Alexis aussitôt son épieu lu y, Lui porte mille coups, le pousse, l'épouvante, Rencontre le défaut et lui perçant le flanc Le fait en peu de temps nager tout en son sang:
La beſte cependant s’irrite davantage, La douleur qu’elle ſent luy redouble ſa rage, Elle briſe l’eſpieu, le rompt en mille éclats, Sur le Berger ſe ruë, & le renverſe à bas.	La bête cependant s'irrite davantage, La douleur qu'elle sent homme redouble sa rage, Elle brise l'épieu, le rompt en mille éclats, Sur le Berger se rue, et le renverse à bas.
I’accours incontinent & du flanc de la Laye Ie ne fais qu’vne large & ſpatieuſe playe:	J'accours incontinent et du flanc de la Laye Je ne fais qu'une large et spatieuse plaie:
Mais helas je ne puis, avec tous mes efforts, Luy faire laſcher priſe, & dégager ſon corps, Iuſqu’à ce que la dent de la beſte cruelle Ait porté dans ſon cœur vne atteinte mortelle;	Mais hélas je ne puis, avec tous mes efforts, Lui faire lâcher prise, et dégager son corps, Jusqu'à ce que la dent de la bête cruelle Ait porté dans son cœur était atteinte mortelle;
Elle le laiſſe enſuitte, & meurt auprés de luy, Me laiſſant accablé de douleur & d’ennuy.	Elle le laisse ensuite, et meurt auprès de lui, Me laissant accablé de douleur et d'ennui.
Voilà de mon ami la funeſte diſgrace, Que vous avez voulu que je vous racontaſſe.	Voilà de mon ami la funeste disgrâce, Que vous avez voulu que je vous racontasse.
MÉLISSE.	MÉLISSE.
Ne vous retenez plus dans le fond de mon cœur Trop diſcret ſentiment, reſpectueuſe ardeur;	Ne vous retenez plus dans le fond de mon cœur Trop discret sentiment, respectueuse ardeur;
Eſclave de la honte ainſi que du ſilence, Tendreſſe déguiſée avecque violence;	Esclave de la honte ainsi que du silence, Tendresse déguisée avec violence;
Ne vous contraignez plus, voyez enfin le jour, Et faites éclatter tout ce que j’eus d’amour.	Ne vous contraignez plus, voyez enfin le jour, Et faites éclater tout ce que j'eus d'amour.
Puiſqu’Alexis n’eſt plus, n’ayons plus de contraintes, A quoy nous ſerviroient les ſcrupuleuſes feintes, Ne diſſimulons plus, honneur permets-le moy, Si je garday jamais ta plus ſevere loy.	Puisqu'Alexis n'est plus, n'ayons plus de contraintes, A quoi nous serviraient les scrupuleuses feintes, Ne dissimulons plus, honneur permets-le moi, Si je gardai jamais ta plus sévère loi.
I’aimay mon Alexis, ce Berger adorable Soumît à ſes appas mon orgueil indomptable, Il regna dans mon cœur, je bruſlay de ſes feux, Et ſeul de nos Bergers il merita mes vœux.	J'aimai mon Alexis, ce Berger adorable Soumît à ses appas mon orgueil indomptable, Il régna dans mon cœur, je brûlai de ses feux, Et seul de nos Bergers il mérita mes vœux.
Au milieu toutefois d’vne ſi grande flamme, Ma bouche luy cela ce que ſentoit mon ame, Il ignora mon mal, & ne ſceut point l’ardeur, Ni les ſecrets tourmens dont il eſtoit l’autheur.	Au milieu toutefois d'une si grande flamme, Ma bouche lui cela ce que sentait mon âme, Il ignora mon mal, et ne sut point l'ardeur, Ni les secrets tourments dont il était l'auteur.
A ſaoulé par ſa mort ſa noire barbarie, Que ſon ombre du moins & ſes Manes cheris,	À saoulé par sa mort sa noire barbarie, Que son ombre du moins et ses Manes chéris,
S’ils entendent ma voix, s’ils écoutent mes cris, Sçachent que le Soleil ne vit jamais Bergere, Eſpriſe d’vne ardeur plus belle & plus ſincere:	S'ils entendent ma voix, s'ils écoutent mes cris, Sachent que le Soleil ne vit jamais Bergère, Éprise d'une ardeur plus belle et plus sincère:
Mais aimable Alexis, ne t’imagine pas, Que mon amour finiſſe avecque ton treſpas, Il ſurvivra ta cendre, & pur, comme fidelle, Bruſſera dans mon cœur d’vne flamme eternelle.	Mais aimable Alexis, ne t'imagine pas, Que mon amour finisse avec ton trépas, Il survivra ta cendre, et pur, comme fidèle, Brussera dans mon cœur d'une flamme éternelle.
Mes yeux, nõ plus des yeux, mais des ſources de pleurs Ta tombe arroſeront de leurs moittes liqueurs;	Mes yeux, notre plus des yeux, mais des sources de pleurs Ta tombe arroseront de leurs moites liqueurs;
I’y reſpandray des fleurs nouvellement écloſes, Des Grenades, des Lys, des Oeillets, & des Rozes;	J'y répandrai des fleurs nouvellement écloses, Des Grenades, des Lys, des Oeillets, et des Rozes;
I’apprendray ton beau nom aux Echos de ce bois, Et feray qu’ils diront Alexis mille fois:	J'apprendrai ton beau nom aux Échos de ce bois, Et ferai qu'ils diront Alexis mille fois:
Voilà quelle ſera ma languiſſante vie, Iuſqu’à ce que la mort contentant mon envie;	Voilà quelle sera ma languissante vie, Jusqu'à ce que la mort contentant mon envie;
Mais quel eſt ce phantoſme, & qu’eſt-ce que je voy?	Mais quel est ce phantôme, et qu'est-ce que je vois?
C’eſt l’ombre d’Alexis qui s’apparoiſt à moy:	C'est l'ombre d'Alexis qui s'apparaît à moi:
De l’heureux Eliſée il a quitté les plaines, Exprés pour nous venir ſoulager dans nos peines.	De l'heureux Elisée il a quitté les plaines, Exprès pour nous venir soulager dans nos peines.
SCENE III.	SCÈNE III.
PHILENE, MELISSE, ALEXIS.	PHILENE, MÉLISSE, ALEXIS.
MELISSE.	MÉLISSE.
LEXIS eſt-ce vous?	LEXIS est-ce vous?
ALEXIS.	ALEXIS.
Ne me voyez-vous pas?	Ne me voyez-vous pas?
MELISSE.	MÉLISSE.
Il eſt vray, ceſont là vos charmes, vos appas:	Il est vrai, cesont là vos charmes, vos appas:
C’eſt voſtre meſmne eſpieu que voſtre main embraſſe, Et vous avez encor meſme ardeur pour la chaſſe:	C'est votre mémne épieu que votre main embrasse, Et vous avez encor seule ardeur pour la chasse:
C’eſt ainſi qu’au delà du rivage oublieux Chacun Chacun pratique encor ce qu’il aima le mieux.	C'est ainsi qu'au delà du rivage oublieux Chacun Chacun pratique encor ce qu'il aima le mieux.
Vous avez bien pû donc, ô Berger pitoyable, Faire tant de chemin, pour m’eſtre ſecourable:	Vous avez bien pu donc, ô Berger pitoyable, Faire tant de chemin, pour m'être secourable:
Vous avez pû quitter les Myrthes odorans, Où des Bergers conſtans les Manes ſont errans;	Vous avez pu quitter les Myrte odorants, Où des Bergers constant les Manes sont errants;
le puis revoir encor voſtre aimable viſage, Converſer avec vous, oüir voſtre langage.	le puis revoir encor vôtre aimable visage, Converser avec vous, ouïrir votre langage.
ALEXIS.	ALEXIS.
Qu’eſt-ce qu’elle veut dire, & par quelle raiſon Tient-elle ce diſcours vague, & ſans liaiſon;	Qu'est-ce qu'elle veut dire, et par quelle raison Tient-elle ce discours vague, et sans liaison;
Son eſprit a perdu ſon aſſiette ordinaire;	Son esprit a perdu son assiette ordinaire;
Philene, apprenez-moy ce qu’a cette Bergere;	Philène, apprenez-moi ce qu'a cette Bergère;
Mais j’ay tort, & retiens mon deſir indiſcret, Ce que font deux Amans leur doit eſtre ſecret;	Mais j'ai tort, et retiens mon désir indiscret, Ce que font deux Amants leur doit être secret;
Ie me retire, adieu :	Je me retire, adieu :
dans le hameau, Philene, Nous parierons tantoit de la enane prochaine.	dans le hameau, Philène, Nous parierons tantait de la enane prochaine.
SCENE v.	SCÈNE v.
MELISSE, PHILENE.	MÉLISSE, PHILENE.
MELISSE.	MÉLISSE.
V’EST-il donc devenu?	V'EST-il donc devenu?
Beau phantôme arreſtez, De grace encor vn mot, chere ombre permettezs Helas, il diſparoiſt, & la cruelle Parque L’oblige à repaſſer encor vn coup la barque.	Beau phantôme arrêtés, De grâce encor mot, chère ombre permettez Hélas, il disparaît, et la cruelle Parque L'oblige à repasser encor un coup la barque.
Mais n’accuſe-t-il point peut-eſtre noſtre oubli, Que nous l’abandonnions ſans eſtre enſeveli?	Mais n'accuse-t-il point peut-être nôtre oubli, Que nous l'abandonnions sans être enseveli?
Son ombre erre peut-eſtre au deçà du rivage, Et le vieil Nautonnier luy refuſe paſſage.	Son ombre erre peut-être au deçà du rivage, Et le vieil Nautonnier Seigneur refuse passage.
Conduiſez-moy, Philene, allons couvrir ſon corps, Et luy rendre vn devoir qui ſeul touche les morts.	Conduisez-moi, Philène, allons couvrir son corps, Et Seigneur rendre un devoir qui seul touche les morts.
PHILENE.	PHILENE.
vous ly trouveriez iien pour vous que de funeſte.	vous li trouveriez jien pour vous que de funeste.
MELISSE.	MÉLISSE.
De ce qu’on a cheri l’on aime encor le reſte.	De ce qu'on a chéri l'on aime encor le reste.
PHILENE.	PHILENE.
Peut-eſtre à ce ſpectacle on vous verroit rougir.	Peut-être à ce spectacle on vous verrait rougir.
Mi dn luo de Vne honneſte amitié ne ſçauroit mal agir.	Mi dn luo de Une honnête amitié ne saurait mal agir.
PHILENE.	PHILENE.
Vous n’entendez pas bien ce que je vous veux dire.	Vous n'entendez pas bien ce que je vous veux dire.
MELISSE.	MÉLISSE.
L’eſprit eſt abruti dans l’excés du martyre.	L'esprit est abruti dans l'excès du martyre.
PHILENE.	PHILENE.
Quoy!	Quoi!
voſtre paſſion vous aveugle ſi fort, Que vous ne voyez pas qu’Alexis n’eſt pas mort.	votre passion vous aveugle si fort, Que vous ne voyez pas qu'Alexis n'est pas mort.
MELISSE.	MÉLISSE.
N’inſultez point, Philene, à ma diſgrace extréme, Mon Alexis eſt mort, j’ay vû ſon ombre bleſme, Et ſi je m’en ſouviens, il m’a dit que dans peu Nous nous verrions vnis d’vn agreable nœud.	N'insultez point, Philène, à ma disgrâce extrême, Mon Alex est mort, j'ai vu son ombre blême, Et si je m'en souviens, il m'a dit que dans peu Nous nous verrions unis d'un agréable nœud.
PHILENE.	PHILENE.
ai delabulel-vous de cettecreul groncre, Alexis comme nous joüit de la lumiere;	ai délabule-vous de cettecreul groncre, Alexis comme nous jouit de la lumière;
Dans le hameau bien-toſt vous le rencontrerer.	Dans le hameau bientôt vous le rencontrerer.
Et par vos propres yeux vous vous éclaircirez.	Et par vos propres yeux vous vous éclaircirez.
MELISSE.	MÉLISSE.
Mais vous m’avez tantoſt vous-meſme appris, PhileQu’il avoit à vos yeux expiré ſur l’arene.	Mais vous m'avez tantôt vous-même appris, PhileQu'il avait à vos yeux expiré sur l'arène.
ne,	ne,
PHILENE.	PHILENE.
Il eſt vray, je l’ay dit, mais je l’ay fait exprés, Pour ſonder de ton cœur les ſentimens ſecrets:	Il est vrai, je l'ai dit, mais je l'ai fait exprès, Pour sonder de ton cœur les sentiments secrets:
Ie voulois penetrer juſqu’au fond de ton ame Et tirer de toy-meſme vn adveu de ta flamme.	Je voulais pénétrer jusqu'au fond de ton âme Et tirer de toi-même un advu de ta flamme.
Ali je ſçay maintenant d’où naiſſoient tes meſpris, Tabruſlois pour vn autre, & ton cœur eſtoit pris.	Ali je sais maintenant d'où naissaient té mépris, Tabruslais pour un autre, et ton cœur était pris.
Tu me diſois pourtant, que rien n’eſtoit capable D’adoucir cét orgueil, qui ſembloit indomptable;	Tu me disais pourtant, que rien n'était capable D'adoucir cet orgueil, qui semblait indomptable;
Et que l’amour plûtoſt vuideroit ſon carquois, Que jamais ta fierté fuſt ſoûmiſe à ſes loix.	Et que l'amour plutôt viderait son carquois, Que jamais ta fierté fût soumise à ses lois.
Lâche tu me trompois, & faiſois vn parjure, Pour mieux diſſimuler ton indigne impoſture.	Lâche tu me trompais, et faisais un parjure, Pour mieux dissimuler ton indigne imposture.
Dy-moy, puiſque l’Amour te pouvoit enflammer, Qu’eſt-ce qui t’empeſchoit, ingrate, de m’aimer?	Dis-moi, puisque l'Amour te pouvait enflammer, Qu'est-ce qui t'empêchait, ingrate, de m'aimer?
Aima-t-on plus que moy jamais vne Bergere, Honore-t-on les Dieux d’vn culte plus ſincere, Quels ſoins peuvent aux miens s’égaler juſtement?	Aima-t-on plus que moi jamais une Bergère, Honore-t-on les Dieux d'un culte plus sincère, Quels soins peuvent aux miens s'égaler justement?
reuy jopuo des troupeaux que je tonds frequemment?	revi jopu des troupeaux que je tonds fréquemment?
Ie ne ſuis point encor difforme, ce me ſemble, Si l’onde m’en a fait vn portrait qui reſſemble.	Je ne suis point encor difforme, ce me semble, Si l'onde m'en a fait un portrait qui ressemble.
MELISSE.	MÉLISSE.
Philene, noſtre amour ne dépend pas de nous, Nous preſtons noſtre cœur, nous recevons les coups, Mais l’aveugle deſtin, que ſon caprice inſpire, Tient ſur nos volontez vn ty rannique empire.	Philène, notre amour ne dépend pas de nous, Nous prêtons notre cœur, nous recevons les coups, Mais l'aveugle destin, que son caprice inspire, Tient sur nos volontés un ty rannique empire.
Duris le niomiene fatar que leroiment nos corps, Il y met des inſtincts, des penchans, des rapports, Et de nos Aſcendans la force ſouveraine Nous incline à l’amour, ou nous porte à la haïne.	Duris le niomène fatar que leroiment nos corps, Il y met des instincts, des penchants, des rapports, Et de nos Ascends la force souveraine Nous incline à l'amour, ou nous porte à la haine.
PHILENE.	PHILENE.
Non tu pretends en vain excuſer tes rigueurs, Par ces froides raiſons & ces foibles couleurs.	Non tu prétends en vain excuser tes rigueurs, Par ces froides raisons et ces faibles couleurs.
Les Dieux juſtes & bons, de nos noires malices Ne ſont point les autheurs, nõ plus que les complices;	Les Dieux justes et bons, de nos noires malices Ne sont point les auteurs, notre plus que les complices;
Ils ne nous forcent point aux lâches attentats, Et c’eſt à nous qu’il tient ſi nous ſommes ingrats.	Ils ne nous forcent point aux lâches attentats, Et c'est à nous qu'il tient si nous sommes ingrats.
Eſt-il rien plus aiſé que d’aimer qui nous aime?	Est-il rien plus aisé que d'aimer qui nous aime?
Chacun reſſent-il pas ce pouvoir en ſoy-meſme, Et quand on nous previent par des inſtincts puiſſans, &ui nous peut emperenend enne lecomaiſſans?	Chacun ressent-il pas ce pouvoir en soi-même, Et quand on nous prévient par des instincts puissants, étui nous peut empérenend enne lecomaissants?
MELISSE.	MÉLISSE.
Si l’on eſt de ſon cœur facilement le maiſtre, Commencez le premier à le faire paroiſtre;	Si l'on est de son cœur facilement le maître, Commencez le premier à le faire paraître;
Monſtrez que noſtre ſort ne dépend que de nous, Rompez, rompez vos fers, enfin gueriſſez-vous.	Montrez que notre sort ne dépend que de nous, Rompez, rompez vos fers, enfin guérissez-vous.
Si l’amour eſt aiſé, plus facile eſt la haine, Faites donc quelque effort, & rompez voſtre chaiſne, A mon tour j’eſſairay de recevoir vos vœux;	Si l'amour est aisé, plus facile est la haine, Faites donc quelque effort, et rompez votre chaîne, À mon tour j'essairai de recevoir vos vœux;
Mais pour nous contenter plus aiſément tous deux, Que ne choiſiſſez-vous quelque Bergere aimable, Qui puiſſe eſtre à vos feux plus que moy favorable;	Mais pour nous contenter plus aisément tous deux, Que ne choisissez-vous quelque Bergère aimable, Qui puisse être à vos feux plus que moi favorable;
Nerine a les yeux bruns, Æglé le teint de Lys, Diane eſt complaiſante, & douce Amarillis, Galatée à danſer a merveilleuſe grace, Et Cloris à chanter les Roſſignols ſurpaſſe;	Nerine a les yeux bruns, Églé le teint de Lys, Diane est complaisante, et douce Amarillis, Galatée à danser a merveilleuse grâce, Et Cloris à chanter les Rossignols surpasse;
Phillis eſt toute jeune & dans ſon beau printemps, Arethuſe a des traits encor bien éclatans, Sylvie eſt enjoüée, & la belle Caliſte Ne laiſſe pas de plaire encor qu’elle ſoit triſte;	Phillis est toute jeune et dans son beau printemps, Arethuse a des traits encor bien éclatants, Sylvie est enjouée, et la belle Caliste Ne laisse pas de plaire encor qu'elle soit triste;
Philene choiſiſſez, laiſſez Meliſſe en paix, Puiſqu’elle ne ſçauroit contenter vos ſouhaits.	Philène choisissez, laissez Melisse en paix, Puisqu'elle ne saurait contenter vos souhaits.
PHILENE.	PHILENE.
Ah!	Ah!
cœur de diamant, cœur, non d’vne Bergere, Mais bien d’vne Tigreſſe, ou de quelque Panthere;	cœur de diamant, cœur, non d'une Bergère, Mais bien d'une Tigresse, ou de quelque Panthère;
Cœur qui n’as rien d’humain qu’vn bel exterieur, Et qui n’es au dedans que glace & que rigueur:	Cœur qui n'as rien d'humain qu'un bel extérieur, Et qui n'es au dedans que glace et que rigueur:
Non, tu ne fus jamais fille de Thamyrée, Tu naſquis d’vne roche, & fus d’elle engendrée, Tu tetas vne Louve, & ce monſtre cruel Se plût à t’allaitter de ſonpoiſon mortel:	Non, tu ne fus jamais fille de Thamyrée, Tu nasquis d'une roche, et fus d'elle engendrée, Tu tétas une Louve, et ce monstre cruel Se plût à t'allaiter de sonpoison mortel:
Voyant briller en toy l’eſpoir de mille charmes, Il t’apprit le ſecret de t’en faire des armes, De ſurprendre les cœurs, les ames enflammer,	Voyant briller en toi l'espoir de mille charmes, Il t'apprit le secret de t'en faire des armes, De surprendre les cœurs, les âmes enflammer,
Et nous faire perir en te faiſant aimer.	Et nous faire périr en te faisant aimer.
Car enfin je l’avouë au fort de ma furie, Sans te vouloir toucher d’aucune fletterie;	Car enfin je l'avoue au fort de ma furie, Sans te vouloir toucher d'aucune fléterie;
Ton teint eſt en blancheur à la neige pareil, Tes levres du Coral effacent le vermeil;	Ton teint est en blancheur à la neige pareil, Tes lèvres du Coral effacent le vermeil;
Tes yeux brillent d’vn feu plus pur que la lumiere;	Tes yeux brillent d'ins feu plus pur que la lumière;
Ton air eſt engageant, tu plais ſans vouloir plaire;	Ton air est engageant, tu plais sans vouloir plaire;
Mais tous ces grands appas, ces charmes ſans eſgaux.	Mais tous ces grands appas, ces charmes sans égaux.
Sont lâchement ternis par de plus grands defauts.	Sont lâchement ternis par de plus grands défauts.
Alors que ſous tes loix vn pauvre Amant ſe range, Ta douceur affectée en cruauté ſe change, Et tels ſont tes mépris, que pour n’en plus ſouffrir, On ſouhaitte en vn jour mille fois de mourir.	Alors que sous tes lois un pauvre Amant se range, Ta douceur affectée en cruauté se change, Et tels sont tes mépris, que pour n'en plus souffrir, On souhaite en un jour mille fois de mourir.
Rien ne te peut toucher, ſoûpirs, plaintes, ſupplices, Et tu comptes pour rien les ſoins & les ſervices.	Rien ne te peut toucher, soupirs, plaintes, supplices, Et tu comptes pour rien les soins et les services.
Ie n’ay pas le deſſein d’exaggerer ici Ce que j’ay fait pour toy, mais je ne puis auſſi, Succombant ſous le faix de ta haine implacable, M’empeſcher de t’en faire vn crayon veritable.	Je n'ai pas le dessein d'exagérer ici Ce que j'ai fait pour toi, mais je ne puis aussi, Succombant sous le faix de ta haine implacable, M'empêcher de t'en faire un crayon véritable.
Sans moy tes deux Chevreaux euſſent eſté perdus, Si ma main ne les euſt promptement deffendus;	Sans moi tes deux Chevreaux eussent été perdus, Si ma main ne les eût promptement défendus;
Songe combien de nuits, & de longues journées, I’ay gardé tes brebis de Loups environnées;	Songe combien de nuits, et de longues journées, J'ai gardé tes brebis de Loups environnées;
I’ay gravé ta deviſe en mille arbres divers, I’ay fait à ton honneur des chanſons & des airs;	J'ai gravé ta devise en mille arbres divers, J'ai fait à ton honneur des chansons et des airs;
Aux feſtes de Palés j’ay ſouſtenu contre elle belleQu’elle avoit moins d’appas, & qu’elle eſtoit moins Enfin j’ay rebuté pour toy la jeune Iris, Et n’ay payé ſes vœux qu’avecque des mépris;	Aux fêtes de Palés j'ai soutenu contre elle belleQu'elle avait moins d'appas, et qu'elle était moins Enfin j'ai rebuté pour toi la jeune Iris, Et n'ai payé ses vœux qu'avec des mépris;
Quoy que de nos beautez Iris fuſt la ſeconde, Qu’Iris euſt des troupeaux, qu’Iris meſme fuſt blonde.	Quoi que de nos beautés Iris fût la seconde, Qu'Iris eût des troupeaux, qu'Iris même fût blonde.
Ie ne te diray point les mortelles douleurs, Que m’ont fait reſſentir tes injuſtes rigueurs, On compteroit plûtoſt les Libyques arenes, C iij Les ondes du Penée, & les eſpics des plaines.	Je ne te dirai point les mortelles douleurs, Que m'ont fait ressentir tes injustes rigueurs, On compterait plutôt les Libyques arènes, Ç ij à ondes du Penée, et les épics des plaines.
Nous avons vû deux fois retourner les Hyvers, Depuis le jour fatal que j’entray dans tes fers, Quel eſt enfin le fruit de ce long eſclavage?	Nous avons vu deux fois retourner les Hivers, Depuis le jour fatal que j'entrai dans tes fers, Quel est enfin le fruit de ce long esclavage?
Tu cours aprés vn autre & me quittes volage;	Tu cours après un autre et me quittes volage;
Mais ſçache que les Dieux ſont trop pleins d’equité, Pour ſouffrir ce mépris avec impunité, Et que tu connoiſtras, poſſible par toy-meſme, Qu’aimer, ſans eſtre aimée, eſt vn ſupplice extréme.	Mais sache que les Dieux sont trop pleins d'équité, Pour souffrir ce mépris avec impunité, Et que tu connaîtras, possible par toi-même, Qu'aimer, sans être aimée, est un supplice extrême.
