M BimN	M MimN
tout avantage qu’Homme & Femme ſe peuvent faire reciproquement l’un à l’autre en faveur de mariage, n’eſt qu’un avantage indirect, & qu’un don mutuel entre vifs, encore faut-il qu’il n’y ait point d’Enfans d’eux ou de l’un d’iceux avant le decez du premier mourant.	tout avantage qu'Homme et Femme se peuvent faire réciproquement l'un à l'autre en faveur de mariage, n'est qu'un avantage indirect, et qu'un don mutuel entre vifs, encore faut-il qu'il n'y ait point d'Enfants d'eux ou de l'un d'iceux avant le décès du premier mourant.
ARGAN.	ARGAN.
Voila une Couſtume bien impertinente, de dire qu’un Mary ne puiſſe rien donner à une Femme qui l’aime, & qui prend tant ſoin de luy;	Voilà une Coutume bien impertinente, de dire qu'un Mari ne puisse rien donner à une Femme qui l'aime, et qui prend tant soin de dire;
j’ay envie de conſulter mon Advocat, pour voir ce qu’il y a à faire pour cela.	j'ai envie de consulter mon Advocat, pour voir ce qu'il y a à faire pour cela.
M.	M.
BONNEFOY.	BONNEFOI.
Ce n’eſt pas aux Advocats à qui il faut s’adreſſer, ce ſont gens fort ſcrupuleux ſur cette matiere, qui ne ſçavent pas diſpoſer en fraude de la Loy, & qui ſont ignorans des tours de la conſcience, c’eſt noſtre affaire à nous autres, & je ſuis venu à bout de bien plus grandes difficultez;	Ce n'est pas aux Adocats à qui il faut s'adresser, ce sont gens fort scrupuleux sur cette matière, qui ne savent pas disposer en fraude de la Loi, et qui sont ignorants des tours de la conscience, c'est quelque affaire à nous autres, et je suis venu à bout de bien plus grandes difficultés;
il vous faut pour cela auparavant que de mourir donner à voſtre femme tout voſtre argent comptant, & des billets payables au Porteur ſi vous en avez:	il vous faut pour cela auparavant que de mourir donner à votre femme tout votre argent comptant, et des billets payables au Porteur si vous en avez:
Il vous faut outre ce, contracter quantité de bonnes Obligations ſousfaiir avee de vos intimes amis, qui apres vôtre mort les remettront entre les mains de vôtre femme ſans luy rien demander, qui prendra enſuite le ſoin de s’en faire payer.	Il vous faut outre ce, contracter quantité de bonnes Obligations sousfaiir avaie de vos intimes amis, qui après votre mort les remettront entre les mains de votre femme sans quelque rien demander, qui prendra ensuite le soin de s'en faire payer.
ARGAN.	ARGAN.
Vrayment, Monſieur, ma femme m’avoit bien dit que vous eſtiez un fort habile & fort honneſte homme.	Vraiment, Monsieur, ma femme m'avait bien dit que vous étiez un fort habile et fort honnête homme.
J’ay mon cœur vingt mille francs dans le petit coffret de mon alcove en argent comptant, dont je vous donneray la clef, & deux billets payables au Porteur, l'un de ſix mil livres, & l’autre de quatre, qui me ſont deubs pre premier par Monſieur Damon, & I’autre par Monſieur Gerante, que je vous mettray entre les mains.	J'ai mon cœur vingt mille francs dans le petit coffret de mon alcôve en argent comptant, dont je vous donnerai la clef, et deux billets payables au Porteur, l'un de six mille livres, et l'autre de quatre, qui me sont devbs pré premier par Monsieur Damon, et J'autre par Monsieur Gérante, que je vous mettrai entre les mains.
BELINE.	BÉLINE.
Ne me parlez point de cela, je vous prie, vous me me faites mourir de frayeur.	Ne me parlez point de cela, je vous prie, vous me me faites mourir de frayeur.
Combien dites- vous qu’il y a d’argent comptant dans voſtre alcove.	Combien dites- vous qu'il y a d'argent comptant dans votre alcôve.
ARGAN.	ARGAN.
Vingt mille francs, mon cœur.	Vingt mille francs, mon cœur.
BELINE.	BÉLINE.
Tous les biens de ce monde ne me ſont rien en comparaiſon de vous.	Tous les biens de ce monde ne me sont rien en comparaison de vous.
De combien ſont les deux billets.	De combien sont les deux billets.
ARGAN.	ARGAN.
L’un de ſix, & l’autre de quatre mil livres.	L'un de six, et l'autre de quatre mille livres.
BELINE.	BÉLINE.
Ah!	Ah!
mon Fils, la ſeule peniée de vous quitter me met au deſeſpoir, vous mort je ne veux plus reſter au monde:	mon Fils, la seule peniée de vous quitter me met au désespoir, vous mort je ne veux plus rester au monde:
ah, ah.	ah, ah.
M.	M.
BONNEFOY.	BONNEFOI.
Pourquoy pleurer, Madame?	Pourquoi pleurer, Madame?
les larmes ſont hors de ſaiſon, & les choſes, graces à Dieu, n’en ſont pas encore là.	les larmes sont hors de saison, et les choses, grâces à Dieu, n'en sont pas encore là.
BELINE.	BÉLINE.
Ah Monſieur Bonnefoy, vous ne ſçavez pas ce que c’eſt qu’eſtre toûjours ſeparée d’un Mary que l’on aime tendrement.	Ah Monsieur Bonnefoi, vous ne savez pas ce que c'est qu'être toujours séparée d'un Mari que l'on aime tendrement.
de a n Av Ce qui me faſche le plus, ma Mie, auparavant de mourir, c’eſt de n’avoir point eu d’enfans de vous;	de a n' Une Ce qui me fâche le plus, ma Mie, auparavant de mourir, c'est de n'avoir point eu d'enfants de vous;
Monſieur Purgon m’avoit promis qu’il m’en feroit faire un.	Monsieur Purgon m'avait promis qu'il m'en ferait faire un.
M.	M.
BONNEFOY.	BONNEFOI.
Voulez-vous que nous procedions au Teſtament.	Voulez-vous que nous procédions au Testament.
ARGAN.	ARGAN.
Oüy, mais pous ſerons mieux dans mon petit cabinet qui eſt icy prés;	Oui, mais pous serons mieux dans mon petit cabinet qui est ici près;
allons-y Monſieurs ſouſtenez-moy, ma Mour.	allons-y Monsieur soutenez-moi, ma Mour.
BELINE.	BÉLINE.
Allons, pauvie petle marj.	Allons, pauvie petle mari.
SCENE VIII.	SCÈNE VIII.
TOINETTE, ANGELIQUE.	TOINETTE, ANGELIQUE.
TOINETTE.	TOINETTE.
Ntrez, entrez, ils ne ſont plus icy, j’ay Lune inquietude prodigieuſe;	Ntrez, entrez, ils ne sont plus ici, j'ai Lune inquiétude prodigieuse;
j’ay veu un Notaire avec eux, & ay entendu parler de Teſtament;	j'ai vu un Notaire avec eux, et ai entendu parler de Testament;
voſtre belle-Mere ne s’endort point, & veut ſans doute profiter de la colere où vous avez tantoſt mis voſtre Pere;	votre belle-Mère ne s'endort point, et veut sans doute profiter de la colère où vous avez tantôt mis votre Père;
elle aura pris ce temps pour nuire à vos intereſts.	elle aura pris ce temps pour nuire à vos intérêts.
ANGELIQUE.	ANGELIQUE.
Qu’il diſpoſe de tout mon bien en faveur de qui il luy plaira, pourveu qu’il ne diſpoſe pas de mon cœur;	Qu'il dispose de tout mon bien en faveur de qui il avait plaira, pourvu qu'il ne dispose pas de mon cœur;
il ne me contraint point d’accepter pour Eſpoux celuy dont il m’a parlé, je me ſoucie fort peu du reſté, qu’il en faſſe ce qu’il voudra.	il ne me contraint point d'accepter pour Époux celui dont il m'a parlé, je me soucie fort peu du resté, qu'il en fasse ce qu'il voudra.
TOINETTE.	TOINETTE.
Voſtre belle-Mere taſche par toutes ſortes de promeſſes de m’attirer dans ſon party;	Votre belle-Mère tâche par toutes sortes de promesses de m'attirer dans son parti;
mais elle a beau faire, elle n’y reüſſira jamais, & je me ſuis toûjours trouvé de l’inclination à vous rendre ſervice;	mais elle a beau faire, elle n'y réussira jamais, et je me suis toujours trouvé de l'inclination à vous rendre service;
cependant comme il nous eſt neceſſaire dans la conjoncture preſente de ſçavoir ce qui ſe paſſe, afin de mieux prendre nos meſures, & de mieux venir à bout de noſtre deſſein, j’ay envie de luy faire croire par de feintes complaiſances que je ſuis entierement dans ſes intereſts, l’envie qu’elle a que j’y ſens ne manquera pas de la faire donner dans le panneau, c’eſt un leur mo jen poundercourir les intrigues, & cela nous ſervira de beaucoup.	cependant comme il nous est nécessaire dans la conjoncture présente de savoir ce qui se passe, afin de mieux prendre nos mesures, et de mieux venir à bout de notre dessein, j'ai envie de lui faire croire par de feintes complaises que je suis entièrement dans ses intérêts, l'envie qu'elle a que j'y sens ne manquera pas de la faire donner dans le panneau, c'est un leur mo jen poundercourir les intrigues, et cela nous servira de beaucoup.
ANGELIQUE.	ANGELIQUE.
Mais comment faire pour rompre ce coup terrible dont je ſuis menacée.	Mais comment faire pour rompre ce coup terrible dont je suis menacée.
TOINETTE.	TOINETTE.
Il faut en premier lieu advertir Cleante dù deſſein de voſtre Pere, & le charger de s’acquitter au pluton de la paroie qu'mvods a donnée;	Il faut en premier lieu advertir Cléante dù dessein de votre Père, et le charger de s'acquitter au pluton de la paroie qu'émods a donnée;
il n’y a point de temps à perdre, il faut qu’il ſe determine.	il n'y a point de temps à perdre, il faut qu'il se détermine.
ANGELIQUE.	ANGELIQUE.
As-tu quel qu’un propre à faire ce meſſage.	As-tu quel qu'un propre à faire ce message.
TOINETTE.	TOINETTE.
Il eſt aſſez difficile, & je ne trouve perſonne plus propre à s’en acquitter que le vieux Uſurier Polichinelle mon Amant il m’en coûtera pour cela quelques faveurs, & quelques baiſers que je veux bien deſpenſer pour vous;	Il est assez difficile, et je ne trouve personne plus propre à s'en acquitter que le vieux Usurier Polichinelle mon Amant il m'en coûtera pour cela quelques faveurs, et quelques baisers que je veux bien dépenser pour vous;
Allez, repoſez-vous lur moy, dorinez leufement en repos, il eſt tard, je crains qu’on ait affaire de moy;	Allez, reposez-vous lur moi, dorinez leufement en repos, il est tard, je crains qu'on ait affaire de moi;
j’entends qu’on m’appelle, retirez-vous, adie u bont ſoir je vais ſonger à vous.	j'entends qu'on m'appelle, retirez-vous, adie bont soir je vais songer vous.
Fin du premier Acte.	Fin du premier Acte.
Le Theâtre change, & repreſente une Ville.	Le Theâtre change, et représente une Ville.
PREMIER INTERMEDE.	PREMIER INTERMÈDE.
DOlichinelle dans la nuit vient pour donnez une Serenade à ſa Maiſtreſſe.	DOlichinelle dans la nuit vient pour donnez une Serenade à sa Maîtresse.
Il eſt int rrompu d’abord par des Violons, contre leſquels trit met en tolere, & enſuite par le Guet, compole de Munciens & de Dançeuis.	Il est int rompu d'abord par des Violons, contre lesquels trit met en tolère, et ensuite par le Guet, compole de Munciens et de Dançeuis.
POLICHINELLE.	POLICHINELLE.
Amour, amour, amour, amour!	Amour, amour, amour, amour!
pauvrs A JPolichinellle, quelle Diable de fentaiſie t’estu allé mettre dans la cervellle?	pauvrs A POlichinellle, quelle Diable de fentaisie t'estu allé mettre dans la cervellle?
A quoy t’amuſes-tu, miſerable inſensé que tu es.	À quoi t'amuses-tu, misérable insensé que tu es.
Tu quittes le ſoin de ton négoce, & tu laiſſes aller tes affaires à l’abandon.	Tu quittes le soin de ton négoce, et tu laisses aller tes affaires à l'abandon.
Tu ne mange plus, tu ne bois preſque plus, tu pers le repos de la nuit, & tout cela pour qui?	Tu ne mange plus, tu ne bois presque plus, tu perd le repos de la nuit, et tout cela pour qui?
Pour une Dragonne franche Dragonne;	Pour une Dragonne franche Dragonne;
une Diableſſe qui te rembarre, & ſe mocque de tout ce que tu peux luy dire.	une Diablesse qui te rembarre, et se moque de tout ce que tu peux Seigneur dire.
Mais il n’y a point à raiſonner là-deſſus:	Mais il n'y a point à raisonner là-dessus:
Tu le veux, amour;	Tu le veux, amour;
il faut eſtre fou comme beaacoup d’autres.	il faut être fou comme beaacoup d'autres.
Céla n’est pas le mieux du monde à un homme de mon âge, mais qu’y faire?	Cla n'est pas le mieux du monde à un homme de mon âge, mais qu'y faire?
On n’est pas ſage quand on veut, & les vieilles cervelles ſe démontent comme les jeunes.	On n'est pas sage quand on veut, et les vieilles cervelles se démontent comme les jeunes.
Ie viens voir ſi je ne pourray point adoutir ma tigreſſe par une Serenade.	Je viens voir si je ne pourrai point adoutir ma tigresse par une Serenade.
Il n’y a rien par fois qui ſoit ſi touchant qu’un Amant qui vient chanter ſes doleances aux gons & aux verroux de la porte de ſa Maiſtreſſe.	Il n'y a rien par fois qui soit si touchant qu'un Amant qui vient chanter ses doléances aux gons et aux verroux de la porte de sa Maîtresse.
Voicy dequoy accompagner ma voix.	Voici dequoy accompagner ma voix.
O nuit, ô chere nuit, porte mes plaintes amoureuſes juſques dans le lit de mon inflexible.	Ô nuit, ô chère nuit, porte mes plaintes amoureuses jusque dans le lit de mon inflexible.
Il chante ces paroles.	Il chante ces paroles.
Otté'e dì v’amo'e v’adoro Cerco’un ſi per mio riſtoro, Mà ſevoi dite di nò Bell’ingrata jo morirò.	Otté' dì d'amoù v'adoro Cercoun si per mio résistoro, Mà sevoi dite dix nôtre Bell'ingrata jo morir.
Fra la ſperanza S’affligge’ il cuore, In lontananza Conſum a l’hore?	Fra la spéranza S'affligge’ il cuore, In lontanza Consum a l'hore?
Si dolce’inganno Che mi figura Breve l’affanno, Ahi troppo dura, Goſi per tropp’amar languiſeo e muore Nottee div’amo’e v’adoro, Cerco’un ſi per mio riſtoro, Mà ſervoi dite di nòBell’ingrata jo morirò.	Si dolce'inganno Che mi figura Breve l'affanno, Ahi troppo dura, Gosi per tropp'amar languise eo muore Notte div'amo, Ceadoro, Cerco’un si per mio ristoro, Mà servoite dite dix n'ingrata jo morirò.
2	2
Se non dormite, Al men penſate  Alle ferite Ch’al cuor mifate;	Se non dormite, Al men pensate Alle ferite Chal cuor mifate;
Deh almen fingete Permio conforto, Se m’uccidete, D’haver il torto :	Deh almen fingète Permio conforto, Se m'uccidète, D'haver il torto :
Vostra pietà mi ſcemera' il martore Notte'e di v’amo’e vadoro, Cerco’un ſi per mio ristoro, Mà ſevoi dite di nòBell'ingrata jo mouiry.	Vostra piétà mi ècemera il martore Notte'e di v'amo, vadoro, Cerco’un si per mio ristoro, Mà sevoi dite dite nòBell'ingrata jo jouiri.
D iij	 Dijà
Une vieille ſe preſente à la feneſtre, & répond au seignor roneninenc onlomoquint de luy.	Une vieille se présente à la fenêtre, et répond au seignor roneninenc onlomoquint de Seigneur.
y trbinetti ch’on hor conſinti ſguardi, Mentiti deſiri, Fallaci ſoſpiri, Accenti buggiardi, Difede vi preggiate, Ah che non mingannate.	y trbinetti ch'on hor consinti séguardi, Mentiti désiri, Fallaci sospiri, Accenti buggiardi, Difède vi prégiate, Ah che non mingannate.
Che gia sò per prova, Ch’in voi non ſe trovaCostanza ne fede;	Che gia sér per prova, Ch'in voi non se trovaCôtanza ne fede;
Oh quanto'e pazza colei che ui crede.	Oh quanto'e paysa coly che ui crède.
Quei ſguardi languidi Non minnamorano, Quei ſoſpir fervidi Più non m’imfiammana Vel giuro' a fe.	Quei séguardi languidi Non minnamorano, Quei sospir fervidi Più non m'imfiammana Vel givro a se.
Zerbino miſero, Del voſtro piangere Il mio cor libero Vvol ſempre ridere Crede t’à me Omgrasò per proua, Chin voi non ſi troua Conſtanza ne fede;	Zerbino miséro, Del vostro piangère Il mio cor libero Vol sempre ride Créde t'à me Omgras per proua, Chin non si troua Constanza ne fede:
Oh quanto'è pazz a colei che vi crede.	Oh quanto'ils pays à coly che vi rede.
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
Quelle impertinente harmonie vient interrompre icy ma voix.	Quelle impertinente harmonie vient interrompre ici ma voix.
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
Paix-là, taiſez-vous, Violons.	Paix-là, taisez-vous, Violons.
Laiſſez-moj me plaindre à mon ayſe des cruautez de mon mexorable.	Laissez-moj me plaindre à mon aise des cruautés de mon mexorable.
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
Paiſe &υouν, oonν dιs-ie.	Paise etυouν, oon , dιs-je.
C’eſt moy qui veux chãtes.	C'est moi qui veux changtes.
Violons.	Violons.
Paix donc.	Paix donc.
FOLICHINBLLE.	FOLICHINBLLE.
Violons.	Violons.
Oüais!	Ouais!
POLICHINELLE.	POLICHINELLE.
Violons.	Violons.
Ahy.	Ahi.
PORICHANAILE.	PORICHANAILE.
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
Est-ce pour rire?	Est-ce pour rire?
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
Ah que de bruit.	Ah que de bruit.
v lolonse	v lolonse
POLICHINELLE.	POLICHINELLE.
Le Diable vous emporte.	Le Diable vous emporte.
Violons.	Violons.
Pamivaee POLICHINELLE.	Pamivae POLICHINELLE.
Violous.	Violous.
POLICHINELLE.	POLICHINELLE.
Vous ne vous tairez-pas?	Vous ne vous tairez-pas?
An Dieu foit loüé.	An Dieu soit loué.
Violons.	Violons.
Entore?	Entore?
TGLICHINELLE.	TGLICHINELLE.
POLICHINILLE.	POLICHINILLE.
Peſte des Violons.	Peste des Violons.
D iiij	 Dijà
POLICHINELLE.	POLICHINELLE.
en jute Muſique que voila!	en jute Musique que voilà!
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
Eu, ta, la, la, li, vue Violons.	Eu, ta, la, la, li, vue Violons.
PQLICHINELLE.	PQLICHINELLE.
La, la, la, la, la, la.	La, la, la, la, la, la.
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
La, la, la, la, la, la.	La, la, la, la, la, la.
Violons.	Violons.
POLICHINELLE.	POLICHINELLE.
La, la, la, la, là.	La, la, la, la, là.
Violons.	Violons.
PQLLICHINELLEC.	PQLICHINELEC.
La, la, la, la, la, la.	La, la, la, la, la, la.
Violons.	Violons.
P'OLICHINELLE' Par ma foy cela me divertit.	P'OLICHINELLE' Par ma foi cela me divertit.
Pourſuivez, Meſſieurs les Violons, vous me ferez plaiſir.	Poursuivez, Messieurs les Violons, vous me ferez plaisir.
Allons donc, continuez.	Allons donc, continuez.
Ie vous en prie.	Je vous en prie.
Voilà le moyen de les faire taire.	Voilà le moyen de les faire taire.
La Muſiquę eſt accouſtumée à ne point faire ce qu’on veut.	La Musiqu' est accoutumée à ne point faire ce qu'on veut.
Ho ſus à nous.	Ho sus à nous.
Avant que de chanter il faut que je prelude un peu, & jouë quelque piece afin de mieux prendre mon ton.	Avant que de chanter il faut que je préplude un peu, et joue quelque pièce afin de mieux prendre mon ton.
Plan, plan, plan.	Plan, plan, plan.
Plin, plin, plin.	Plin, plin, plin.
Voilà un temps faſcheux pour mettre un Luth d’accord.	Voilà un temps fâcheux pour mettre un Luth d'accord.
Plin, plin, plin.	Plin, plin, plin.
Plin, tan, plan.	Plin, tan, plan.
Plin, plin.	Plin, plin.
Les cordes ne tiennent point par ce temps-là.	Les cordes ne tiennent point par ce temps-là.
Plin, plan.	Plin, plan.
I’entens du bruit.	J'entends du bruit.
mettons mon Luth contre la porte.	mettons mon Luth contre la porte.
ARCHERS.	ARCHERS.
Qui va-là, qui va-las 1	Qui va-là, qui va-las 1
POLICHINELLE.	POLICHINELLE.
Qui diable eſt cela?	Qui diable est cela?
eſt-ce que c'eſt la mode de parler en Muſique?	est-ce que c'est la mode de parler en Musique?
ARCHERS.	ARCHERS.
Qui va-là, qui va-là, qui va-là?	Qui va-là, qui va-là, qui va-là?
POLTCAINELLE.	POLTCAINELLE.
Moy, moy, moy.	Moi, moi, moi.
ARCHERS.	ARCHERS.
Qui va-là, qui va-là, vous dy-je?	Qui va-là, qui va-là, vous dis-je?
POLICHINELLE.	POLICHINELLE.
Muy, mey y aemaſ-je.	Mui, mei y aemas-je.
CHERS.	CHERS.
Et qui toy, & qui toy.	Et qui toi, et qui toi.
POLICHINELLE.	POLICHINELLE.
Moy, moy, moy, moy, moy, moy.	, Moi, moi, moi, moi, moi,
ARCHERS.	ARCHERS.
Dy ton nom, dy ton nom, ſans davantage attendre.	Dis ton nom, dis ton nom, sans davantage attendre.
POLICHINELLE.	POLICHINELLE.
Mon nom eſt, va te faire pendre.	Mon nom est, va te faire pendre.
ARCHERS.	ARCHERS.
Icy camarade icy.	Ici camarade ici.
Saifiſſons l’inſolent qui nous répond ainſi.	Saifissons l'insolent qui nous répond ainsi.
ENTRESDE BALLET.	ENTRESDE BALLET.
Tout le Guet vient qui cherche Polichinelle dans la nuit.	Tout le Guet vient qui cherche Polichinelle dans la nuit.
Violons & Dançeurs.	Violons et Dançeurs.
Qui va-là?	Qui va-là?
POLICHINELLE.	POLICHINELLE.
Violons & Dançeurs.	Violons et Dançeurs.
POLICHINELLE.	POLICHINELLE.
Qui ſont les coquins que j'entens?	Qui sont les coquins que j'entends?
POLICHINELLE.	POLICHINELLE.
Violons & Dançeurs.	Violons et Dançeurs.
POLICHINELLE.	POLICHINELLE.
Far th inort.	Far th ort.
Violons & Dançeurs.	Violons et Dançeurs.
POLICHINELLE.	POLICHINELLE.
Par la ſang.	Par la sang.
Violons & Dançeurs.	Violons et Dançeurs.
POLICHINELLE.	POLICHINELLE.
I'en jetteray par terre.	J'en jetterai par terre.
Violons & Dançeurs.	Violons et Dançeurs.
Pouë.	Poue.
POLICHINELLE.	POLICHINELLE.
Ils tombent tous & s’enfuyent.	Ils tombent tous et s'enfuient.
POLICHINELLE.	POLICHINELLE.
Ah, ah, ah, ah, comme je leur ay donné l’épououmie.	Ah, ah, ah, ah, comme je leur ai donné l'épououmie.
Pottu ue foites gens u uvotr peur de moy qui ay peur des autres.	Potu ue foites gens u votr peur de moi qui ai peur des autres.
Ma foy il n’eſt que de joüer d’adreſſe en ce monde.	Ma foi il n'est que de jouer d'adresse en ce monde.
Si je n’avois tranché du grand Seigneur, & n’avois fait le brave, ils n’auroient pas manqué de me haper, Ah, ah, ah.	Si je n'avais tranché du grand Seigneur, et n'avais fait le brave, ils n'auraient pas manqué de me haper, Ah, ah, ah.
RCHERS.	RCHÉRS.
Nous le tenons, à nous Camarades à nous, Dépechez de la lumiere.	Nous le tenons, à nous Camarades à nous, Dépechez de la lumière.
BALLET.	BALLET.
pout le duee riene areenes fantezdca.	pout le duce rienée areénes fantezdca.
s.	s.
Ah traiſtre, ah fripon, c’eſt donc vous Faquin, maraut, pendart, impudent, temeraire, Inſolent, effronte, coquin, filou, voleur, Vous oſez nous faire peur.	Ah traître, ah fripon, c'est donc vous Faquin, maraud, pendard, impudent, téméraire, Insolent, effronté, coquin, filou, voleur, Vous avez nous faire peur.
OLICHINELLE.	OLICHINELLE.
Meſſieurs, c’eſt que j’eſtois yvre.	Messieurs, c'est que j'étais ivre.
ER S Non, uon, nois puene te iniſon Il faut vous apprendre à vivre, En priſon viſte, en priſon.	 Non, , nois puene te inison Il faut vous apprendre vivre, En prison viste, en Non,
OLICHINELLE Meſſieurs je ne ſuis point voleur.	OLICHINELLE Messieurs je ne suis point voleur.
En priſon.	En prison.
HSCHERS.	HSCHÉRS.
POLICHIRELLE.	POLICHIRELLE.
Ie ſuis un Bourgeois de la Ville.	Je suis un Bourgeois de la Ville.
En priſon.	En prison.
ARCHERS.	ARCHERS.
POLICHINEILE.	POLICHINEILE.
&17 J jhit?	et17 J érit?
RCHERS En prijon, viſte en prijon.	RCHÉRS En prijon, vite en prijon.
OLICHINELLE.	OLICHINELLE.
Meſſieurs laiſſez-moy aller.	Messieurs laissez-moi aller.
Non.	Non.
ARCHERS.	ARCHERS.
Ie vous prie.	Je vous prie.
POLICHINELLE.	POLICHINELLE.
Non.	Non.
ARCHERS,	ARCHERS,
Non.	Non.
RCHERS.	RCHÉRS.
De grace.	De grâce.
POLICHINELLE.	POLICHINELLE.
Non, non.	Non, non.
AGMERS.	AGMERS.
Meſſieurs.	Messieurs.
POLTCHINILLE.	POLTCHINILLE.
ARCHERS.	ARCHERS.
Non, non, non.	Non, non, non.
OLICHINELLE.	OLICHINELLE.
d a dom Plajs.	 a dom Plajàis.
Non, non.	Non, non.
ARCHERS.	ARCHERS.
Par charité.	Par charité.
POLICHINELLE,	POLICHINELLE,
Non, non.	Non, non.
ARCHERS.	ARCHERS.
PORFEHINELLe.	PORFEHINELLe.
Au nom du Ciel.	Au nom du Ciel.
Non, non.	Non, non.
ARCHERS.	ARCHERS.
POLICHINELLE.	POLICHINELLE.
Miſericorde.	Miséricorde.
NCHENS.	NCHENS.
Non, non, non, point de raiſon Il faut vous apprendre à vivre, En priſon viſte, en priſon.	Non, non, non, point de raison Il faut vous apprendre à vivre, En prison vite, en prison.
POLICHINELLE.	POLICHINELLE.
Eh n'eſt-il rien, Meſſieurs, qui ſoit capable d’attendrir vos ames.	Eh n'est-il rien, Messieurs, qui soit capable d'attendrir vos âmes.
ARCHERS.	ARCHERS.
Il eſt aiſé de nous toucher, Et nous sõmes humains plus qu’on ne ſçauroit croire, Donnez-nous doucement ſix piſtoles pour boire Nous allons vous lâcher.	Il est aisé de nous toucher, Et nous sommes humains plus qu'on ne saurait croire, Donnez-nous doucement six pistoles pour boire Nous allons vous lâcher.
POLICHINELLE.	POLICHINELLE.
Hétas, Maeſiemts, je ounts uſſeure que je n'ay pas un ſoû ſur moy.	Hétas, Maesiemts, je ounts ussure que je n'ai pas un sou sur moi.
ARCHERS.	ARCHERS.
Au deffaut de ſix piſioles, Choiſiſſez donc ſans façon D’avoir trente croquignoles, Ou douze coups de baſton.	Au défaut de six pisioles, Choisissez donc sans façon D'avoir trente croquignoles, Ou douze coups de bâton.
POLPETNELLE.	POLPETNELLE.
Si c’eſt une neceſſité, & qu’il faille en paſſer pas là, je choiſis les croquinoles.	Si c'est une nécessité, et qu'il faille en passer pas là, je choisis les croquinoles.
RCHERS.	RCHÉRS.
Allons preparez-vous, Et contez bien les coups.	Allons préparez-vous, Et comptez bien les coups.
BALLET.	BALLET.
Les Archers Dançeurs luy donnent des croquignoles en cadence.	Les Archers Dançeurs avait donnent des croquignoles en cadence.
POLICHINELLE.	POLICHINELLE.
Vn & deux.	Un et deux.
Trois & quatre.	Trois et quatre.
Cinq & ſix, ſept & hiti.	Cinq et six, sept et hiti.
houj e muuenu Onluze & treize, & quatorze & quinze.	houj ce muuenu Onluze et treize, et quatorze et quinze.
CHERS.	CHERS.
Ah!	Ah!
ah!	ah!
veus en voulez paſſer;	vus en voulez passer;
Allons, c’eſt à recommencer.	Allons, c'est à recommencer.
POLICHINELLE.	POLICHINELLE.
13 Ah, Meſſieurs, ma pauvre teſte n’en peut plus, & vous venez de me la rendre comme une pomme cuite.	13 Ah, Messieurs, ma pauvre tête n'en peut plus, et vous venez de me la rendre comme une pomme cuite.
I’ayme mieux encore les coups de baſtons que de recommencer.	J'aime mieux encore les coups de bâtons que de recommencer.
Seit, puiſque le baſton eſt pour vous plus charmant, Vola amur untentement.	Seit, puisque le bâton est pour vous plus charmant, Vola amur untentement.
BALLET.	BALLET.
nes hreniers Dangcais luy donnent des coup?	nés hreniers Dangcais Seigneur donnent des coup?
dle baſtons en cadence.	dle bâtons en cadence.
POLICHINELLE.	POLICHINELLE.
Vn, deux, trois, quatre, cinq, ſix, ah, ah, ah je n’y ſçaurois plus reſiſter.	Un, deux, trois, quatre, cinq, six, ah, ah, ah je n'y saurais plus résister.
Tenez, Meſſieurs, voila ſix piſtoles que je vous donne.	Tenez, Messieurs, voilà six pistoles que je vous donne.
ARCHERS.	ARCHERS.
Ah l’honneſte homme!	Ah l'honnête homme!
ah l’ame noble & belle?	ah l'âme noble et belle?
Adieu Seigneur, adieu, Seigneur Polichinelle.	Adieu Seigneur, adieu, Seigneur Polichinelle.
POLICHINELLE.	POLICHINELLE.
Meſſieurs, je vous donne le bon-ſoir.	Messieurs, je vous donne le bon-soir.
da de lra R o, Adieu Seigneur, adieu, Seigneur Polichinelle.	da de lra R ô, Adieu Seigneur, adieu, Seigneur Polichinelle.
POLICHINELLE.	POLICHINELLE.
Voſtre ſerviteur.	Votre serviteur.
ARCHERS.	ARCHERS.
Adieu Seigneur, adieu, Seigneur Polichinelle.	Adieu Seigneur, adieu, Seigneur Polichinelle.
OLICHINELLE.	OLICHINELLE.
Ciesebamole vhiere	Ciesebamole vhiere
ARCHERS.	ARCHERS.
Adieu Seigneur, adieu, Seigneur Polichinelle.	Adieu Seigneur, adieu, Seigneur Polichinelle.
POLICHINELLE.	POLICHINELLE.
Iuſqu’au revoir.	Jusqu'au revoir.
BALLET.	BALLET.
Ils dançent tous en réjoüiſſance de l’argent qu’ils ont receu.	Ils dançent tous en réjouissance de l'argent qu'ils ont reçu.
Le Theâtre change, & repreſente la Miciine Ghumbre.	Le Theâtre change, et représente la Miciine Ghumbre.
ACTE SECOND.	ACTE SECOND.
OCENE PREMIERE.	OCENE PREMIÈRE.
TOINETTE, CLEANTE.	TOINETTE, CLÉANTE.
TOINETTE.	TOINETTE.
