LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
Neuf ans tous entiers l’ont veu attaché à cette ſeruitude, qui auroit eſté abiette & indigne de luy, ſi l’affection qui luy portoit ne l’eut releuée.	Neuf ans tous entiers l'ont vu attaché à cette servitude, qui aurait été abjette et indigne de Seigneur, si l'affection qui lui portait ne l'eut relevée.
Voila l’employ des meilleures heures de noſtre exercice, voy la ce qu’il y a de plus rare & de plus digne d’y eſtre pratiqué.	Voilà l'emploi des meilleures heures de notre exercice, vois la ce qu'il y a de plus rare et de plus digne d'y être pratiqué.
VRANIE, Et bien que chacun imite les Dieux ſuiuant ſa deuo tion, tu feras comme Apollon, & ie feray comme Diane, ainſi nous obligerons le frere & la ſœur.	VRANIE, Et bien que chacun imite les Dieux suivant sa dévo tion, tu feras comme Apollon, et ie ferai comme Diane, ainsi nous obligerons le frère et la sœur.
THIRSIS, De bon cœur i’acquieſceray à ta reſolution, pourueu que l’euenement reſponde au preſage.	THIRSIS, De bon cœur j'acquiècerai à ta résolution, pourvu que l'événement réponde au présage.
Cette Deeſſe ne poſſede nulle qualité dans laquelle tous les ſentimens humains ne l’ayent poſſedée, l’vne au Ciel, elle ayme Endimion qui ioüyt de ſes faueurs ſur les montaignes de Carie.	Cette Déesse ne possède nulle qualité dans laquelle tous les sentiments humains ne l'aient possédée, l'une au Ciel, elle aime Endimion qui ioüyt de ses faveurs sur les montagnes de Carie.
Diane dans les bois elle ayme Hippolite, apres auoir aymé Alphée, dont les eaux ſont ſacrées depuis ce temps-là.	Diane dans les bois elle aime Hypolite, après avoir aimé Alphée, dont les eaux sont sacrées depuis ce temps-là.
Proſerpine dans les Enfers, elle ſe rauit de ioye de ce que Pluton l’y rauit d’amour, & les tenebres de leur ſejour ne ſont eternelles, qu’à fin de couurir leurs careſſes qui le ſont auſſi.	Proserpine dans les Enfers, elle se ravit de joie de ce que Pluton l'y ravit d'amour, et les ténèbres de leur séjour ne sont éternelles, qu'à fin de couvrir leurs caresses qui le sont aussi.
Elle preſide à la felicité des acouchemens ſoubs le nom de Lucine, & pourquoy penſes-tu qu’aux nuits qui ſont les plus ſereines, elle ſe plaiſt ſi fort à briller deſſus les eaux?	Elle preside à la félicité des acouchements soubs le nom de Lucine, et pourquoi penses-tu qu'aux nuits qui sont les plus sereines, elle se plaît si fort à briller dessus les eaux?
En voycy la raiſon que i’ay appriſe de Menalque, elle y fait des ondes d’argent pour marier ſes Nymphés qui ont trouué party.	En voici la raison que j'ai apprise de Ménalque, elle y fait des ondes d'argent pour marier ses Nymphés qui ont trouvé parti.
Tellement que i’ay ſujet de te ſouhaitter l’imitation de cette Deeſſe, meſmes encores que tu en retranches tout ce qui te ſemblera paſſer les bornes d’vne legitime amitié.	Tellement que j'ai sujet de te souhaiter l'imitation de cette Déesse, mêmes encore que tu en retranches tout ce qui te semblera passer les bornes d'une légitime amitié.
VRANIE, Sçache que ie ſuiuray mes penſées, & non pas les tiennes, & que ie ne crains point les propheties, dont l’accompliſſement dependra de moy.	VRANIE, Sçache que je suivrai mes pensées, et non pas les tiennes, et que ie ne crains point les prophéties, dont l'accomplissement dépendra de moi.
Mais puis que le paſſé ne te l’a pû perſuader, il faut que l’auenir y ſatisfaſſe.	Mais puis que le passé ne te l'a pu persuader, il faut que l'avenir y satisfasse.
THIRSIS, Hé!	THIRSIS, Hé!
que n’ay-ie point fait depuis noſtre enfance iuſques à preſent, afin de gaigner par mes ſeruices la part que ie me ſouhaitte en tes bonnes graces?	que n'ai-je point fait depuis notre enfance jusques à présent, afin de gagner par mes services la part que mille me souhaite en tes bonnes grâces?
VRANIE, Au contraire, tu n’as que trop fait:	VRANIE, Au contraire, tu n'as que trop fait:
ayant entrepris des choſes qui ne peuuent reüſſir, il eſt impoſſible que i’ayme.	ayant entrepris des choses qui ne peuvent réussir, il est impossible que j'aime.
VRANIE, Voyons qui de ces deux impoſſibles aura la victoire?	VRANIE, Voyons qui de ces deux impossibles aura la victoire?
THIRSIS, Ce ſera le plus fort.	THIRSIS, Ce sera le plus fort.
VRANIE, Ce ſera donc le plus iuſte.	VRANIE, Ce sera donc le plus juste.
Mais qui te contraint de m’aimer?	Mais qui te contraint de m'aimer?
THIRSIS, Ton merite.	THIRSIS, Ton mérite.
Maïs qui t’empeſche d’aimer?	Maïs qui t'empêche d'aimer?
VRANIE, Ton exemple.	VRANIE, Ton exemple.
Quand mon humeur n’y contrediroit pas, les tourmens que tu endures m’en dégouſteroient;	Quand mon humeur n'y contredirait pas, les tourments que tu endures m'en dégoûteraient;
tous les chaſtimens de ta folie me ſont autant de menaſſes.	tous les châtiments de ta folie me sont autant de menasses.
l bols THIRSIS, Tu as peur de mes maux,	 bols THIRSIS, Tu as peur de mes maux,
THIRSIS, Et il eſt impoſſible que ie ne t’aime pas.	THIRSIS, Et il est impossible que tu ne t'aime pas.
au lieu d’en auoir pitié;	au lieu d'en avoir pitié;
cependant tu ſçais combien, & pour qui i’endure.	cependant tu sais combien, et pour qui j'endure.
THIRSIS, Quel tyran s’eſt iamais plaint d’auoir trop de puiſſance?	THIRSIS, Quel tyran s'est jamais plaint d'avoir trop de puissance?
quel voleur ſe faſcheroit de dérober de ſi bonne grace, qu’on n’eût point de plus grand deſir que de tomber entre ſes mains?	quel voleur se fâcherait de dérober de si bonne grâce, qu'on n'eût point de plus grand désir que de tomber entre ses mains?
De plus, conſidere la nouueauté de cette iniuſtice;	De plus, considère la nouveauté de cette injustice;
ne me point regretter, parce que ie ſouffre beaucoup, & me priuer de recompenſe à cauſe que ie la merite.	ne me point regretter, parce que ici souffre beaucoup, et me priver de récompense à cause que éclat la mérite.
l’auoüe qu’il n’appartient qu’à moy d’eſtre miſerable;	l'auoüe qu'il n'appartient qu'à moi d'être misérable;
auoüe auſſi qu’il n’appartient qu’a toy d’auoir de la cruauté.	auoüe aussi qu'il n'appartient qu'a toi d'avoir de la cruauté.
VRANIE, Eſpargne l’innocence qui n’en peut mais.	VRANIE, Espargne l'innocence qui n'en peut mais.
VRANIE, C’eſt dequoy ie me plains, c’eſt ce qui me faſche.	VRANIE, C'est dequoy -je me plains, c'est ce qui me fâche.
THIRSIS, Eſpargne la foibleſſe qui n’en peut plus.	THIRSIS, Espargne la faiblesse qui n'en peut plus.
VRANIE, Thirſis, moins de reproches.	VRANIE, Tircis, moins de reproches.
THIRSIS, Vranie, moins de rigueur.	THIRSIS, Vranie, moins de rigueur.
Tu n’as pas vn charme qui ne m’enſorcele;	Tu n'as pas un charme qui ne m'ensorcelé;
tu ne donnes pas vn regard qui ne m’embraſe;	tu ne donnes pas un regard qui ne m'embrase;
tu ne dis pas vne parole qui ne m'emporte l’ame.	tu ne dis pas une parole qui ne m'emporte l'âme.
Apres tant de martyres & de prieres, ſeras-tu touſiours inſenſible & inexorable?	Après tant de martyres et de prières, seras-tu toujours insensible et inexorable?
VRANIE, Ceſſe de médire de moy, pour le moins en ma preſence.	VRANIE, Cesse de médire de moi, pour le moins en ma présence.
A ton conte, les meilleures de mes qualitez ſont les pires des crimes.	À ton conte, les meilleures de mes qualités sont les pires des crimes.
Ie t’enſorcele, ie te brule, mes loüanges ne publient que mes homicides.	Je t'ensorcelé, Seigneur te brule, mes langes ne publient que mes homicides.
Ne t’eſtonne donc pas ſi ie ne veux plus d’or-en-auant commettre tant d’énormitez.	Ne t'étonne donc pas si ici ne veux plus d'or-en-auant commettre tant d'énormités.
C’eſt pourquoy ie te le declare vne fois pour toutes, il n’y aura plus de conuerſation entre	C'est pourquoi Madame te le déclare une fois pour toutes, il n'y aura plus de conversation entre
VRANIE, O Raiſon, comme il t’abandonne!	VRANIE, Ô Raison, comme il t'abandonne!
THIRSIS, O Amour, comme elle te fuit!	THIRSIS, Ô Amour, comme elle te fuit!
me commande de la finir.	me commande de la finir.
VRANIE, Il n’eſt pas queſtion de cela, ſeulement ceſſe d’aſpirer où l’on ne ſçauroit paruenir.	VRANIE, Il n'est pas question de cela, seulement cesse d'aspirer où l'on ne saurait parvenir.
THIRSIS, Et s’il faut abſolument de deux choſes l’vne, ou que ma flamallo imle comoniio, ou que cu in en viennes tirer?	THIRSIS, Et s'il faut absolument de deux choses l'une, ou que ma flammallo imle comonio, ou que cv in en viennes tirer?
VRANIE, Ne dit-on pas que de deux maux il faut choiſir le moindre?	VRANIE, Ne dit-on pas que de deux maux il faut choisir le moindre?
par conſequent fais eſtat que tu bruleras tout ſeul.	par conséquent fais état que tu brûleras tout seul.
THIRSIS, Poſſible ton humeur s’adoucira quelque iour.	THIRSIS, Possible ton humeur s'adoucira quelque jour.
4	4
VRANIE, Pluſtoſt nos foreſts prendront racine dans les nuës, pluſtoſt nos petits vers luiſans depoſſederont les flambeaux du ciel, pluſtoſt ſon azur deuiendra de la couleur de nos prairies, & le belier & le taureau celeſte paiſtrõt l’herbe de nos moutons.	VRANIE, Plutôt nos forêts prendront racine dans les nues, plutôt nos petits vers luisans déposséderont les flambeaux du ciel, plutôt son as deviendra de la couleur de nos prairies, et le bélier et le taureau te paîtrait l'herbe de nos moutons.
En vn mot, toute la nature changera pluſtoſt que ie change.	En un mot, toute la nature changera plutôt que je change.
THIRSIS, Quoy?	THIRSIS, Quoi?
tu ne te contentes pas de differer ma felicité, me veux-tu encore rauir l’eſperance?	tu ne te contentes pas de différer ma félicité, me veux-tu encore ravir l'espérance?
VRANIE, Tant s’en faut que ie te la veüille rauir, tout expres ie ne te l’ay iamais donnée, afin qu’vn iour le lle ruile pont en penle de te l’oſter.	VRANIE, Tant s'en faut que je te la veuille ravir, tout exprès lorsqu' ai l'ai jamais donnée, afin qu'un jour le lèle ruile pont en penle de te l'ôter.
THIRSIS, O Dieux!	THIRSIS, Ô Dieux!
que deuiendray-ie?	que deviendrai-je?
VRANIE, Tu deuiendras plus ſage ſi tu m’en crois.	VRANIE, Tu deviendras plus sage si tu m'en crois.
THIRSIS, Que ne diſois-tu plus heureux?	THIRSIS, Que ne disais-tu plus heureux?
VRANIE, Quand tu me loües de la ſorte, tu te trompes, tu t’aueugles.	VRANIE, Quand tu me loües de la sorte, tu te trompes, tu t'aveugles.
THIRSIS, Donc apres Tireſias ie ſuis aueugle pour auoir bien iugé.	THIRSIS, Donc après Tiresias der suis aveugle pour avoir bien jugé.
VRANIE, Le iugement nous apprend qu’il ſe faut vaincre.	VRANIE, Le jugement nous apprend qu'il se faut vaincre.
THIRSIS, Il nous apprend auſſi qu’il faut vaincre l’humanité, la rudeſſe, le mépris, & non pas l’amitié:	THIRSIS, Il nous apprend aussi qu'il faut vaincre l'humanité, la rudesse, le mépris, et non pas l'amitié:
& puis, ſi vne partie de moy eſtoit victorieuſe, l’autre en ſeroit eſclaue;	et puis, si une partie de moi était victorieuse, l'autre en serait esclaue;
& ie ne puis eſtre eſclaue que de tes beautez.	et ici ne puis être esclave que de tes beautés.
VRANIE, Croy moy encore vn coup, défay-toy de ces inquietudes, regarde ce que les mauuais ſoucis ont fait de Clytie.	VRANIE, Crois moi encore un coup, défais-toi de ces inquiétudes, regarde ce que les mauvais soucis ont fait de Clytie.
THIRSIS, C’eſt tout vn, Iupiter ſe fit bien auſſi blanc qu’vn Cigne pour vne maiſtreſſe.	THIRSIS, C'est tout un, Jupiter se fit bien aussi blanc qu'un Cigne pour une maîtresse.
VRANIE, Sans doute, ie gaigneray dauantage à procurer ton bien, qu’à te le conſeiller, & partant ie te le repete pour la derniere fois, ie n'attends plus auoir dés cette heure nulle communication auec toy, ton repos & ma reſolution l’ordonnent de la ſorte.	VRANIE, Sans doute, on gaigneray davantage à procurer ton bien, qu'à te le conseiller, et partant Seigneur te le répète pour la dernière fois, je n'attends plus avoir dès cette heure nulle communication avec toi, ton repos et ma résolution l'ordonnent de la sorte.
THIRSIS, Eſt-ce ainſi que tu me prononces Parrelt de Mamorer Car me defendre de te voir, c’eſt me defendre de viure.	THIRSIS, Est-ce ainsi que tu me prononces Parrelt de Mamorer Car me défendre de te voir, c'est me défendre de vivre.
VRANIE, N'en parſons plus, s’en eſt fait, le deſtin reglera tes iours, & ie regleray mes actions.	VRANIE, N'en parsons plus, s'en est fait, le destin réglera tes jours, et ie réglerai mes et.
THIRSIS, Permets moy d’approcher ma main de ton cœur, & ie gage que i’y trouueray ce que ie m’imagine.	THIRSIS, Permets moi d'approcher ma main de ton cœur, et a tage que j'y trouverai ce que sans m'imagine.
VRANIE, Pour ton imagination il n’en ſera autre choſe, à quel propos permettre de me toucher?	VRANIE, Pour ton imagination il n'en sera autre chose, à quel propos permettre de me toucher?
Ie ne voudrois pas ſeulement que ſans neceſſité l’vne des mains touchaſt l’autre;	Je ne voudrais pas seulement que sans nécessité l'une des mains touchât l'autre;
des parties du viſage ie n’aime que les yeux, d’autant qu’on ne les ſçauroit toucher qu’ils ne s’en offenſent.	des parties du visage Dieux n'aime que les yeux, d'autant qu'on ne les saurait toucher qu'ils ne s'en offensent.
D’entre les Deeſſes, Iris me reuient le plus, à cauſe qu’elle eſt egalement viſible & impalpable.	D'entre les Déesses, Iris me revient le plus, à cause qu'elle est également visible et impalpable.
L’vn des plus glorieux priuileges du Ciel, c’eſt qu’il eſt hors de la portée de l’atouchement, les plus belles fleurs perdent leur odeur & leur fraiſcheur dés qu’on les a maniées, toutes les roſes s’en defendent auec leurs épines, & les diſcrets ſont d’opinion que les plus nobles d’entr’elles en rougiſſent de crainte, de maniere que leur pudicité ſe teſmoigne par leur couleur.	L'un des plus glorieux privilèges du Ciel, c'est qu'il est hors de la portée de l'atouchement, les plus belles fleurs perdent leur odeur et leur fraîcheur dès qu'on les a maniées, toutes les roses s'en défendent avec leurs épines, et les discrets sont d'opinion que les plus nobles d'entra coucheur en rougissent de crainte, de manière que leur pudicité se témoigne par leur couleur.
THIRSIS, Touche toy donc toymeſme, & particulierement du coſté du cœur.	THIRSIS, Touche toi donc toymesme, et particulièrement du côté du cœur.
VRANIE, Et pourquoy?	VRANIE, Et pourquoi?
THIRSIS, Pour voir ſi tu ne te VRANIE, Tu confonds la dureté du corps auec la fermeté de l’eſprit, tant y a que nous n’auons plus rien à demeſler enſemble.	THIRSIS, Pour voir si tu ne te VRANIE, Tu confonds la dureté du corps avec la fermeté de l'esprit, tant y a que nous n'avons plus rien à démêler ensemble.
THIRSIS, Non pas meſme à nous entreuoir, & il ne me ſeroit plus libre de te regarder?	THIRSIS, Non pas même à nous entrevoir, et il ne me serait plus libre de te regarder?
VRANIE, Point du tout.	VRANIE, Point du tout.
THIRSIS, Et qui s’auiſa jamais de mettre des chaiſſes aux yeux?	THIRSIS, Et qui s'avisa jamais de mettre des chaisses aux yeux?
VRANIE, En fin l'heure eſt venuë de nous ſeparer.	VRANIE, En fin l'heure est venue de nous séparer.
THIRSIS, Ha cruelle!	THIRSIS, Ha cruelle!
VRANIE, C’eſt mon humeur.	VRANIE, C'est mon humeur.
THIRSIS, Ha, ingrate!	THIRSIS, Ha, ingrate!
VRANIE, C’eſt mon deuoir.	VRANIE, C'est mon devoir.
THIRSIS, Ne te ſuffit il pas de in’auoir tenu par le paſſé tant de rigueurs, ſans m’oſter ce peu de vie qu'vn peu d’eſpoir me laiſſoit?	THIRSIS, Ne te suffit -il pas de intauoir tenu par le passé tant de rigueurs, sans m'ôter ce peu de vie qu'un peu d'espoir me laissait?
neãtmoins quelque grand que ſoit mon mal-heur, ie veux croire qu’il eſt iuſte, puis que tu l’ordonnes, au reſte le te contencer ay bien toſt tout a fait.	néanmoins quelque grand que soit mon malheur, je veux croire qu'il est juste, puis que tu l'ordonnes, au reste le te contencer ai bien tôt tout a fait.
Adieu donc Vranie.	Adieu donc Vranie.
VRANIE, Adieu Berg er.	VRANIE, Adieu Berg erg.
VRANIE, Adieu Thirſis.	VRANIE, Adieu Tircis.
THIRSIS, Adieu mon ame, Adieu mon ſoleil.	THIRSIS, Adieu mon âme, Adieu mon soleil.
HELENOR, Menalque ſouſtenons Thirſis, il s’éuanoüit, il ſe paſme.	HÉLENOR, Ménalque soutenons Thyris, il s'évanouit, il se pâme.
MENALQVE, Amarille raporte au moins à Vranie l’eſtat où elle l’a laiſſé.	MENALQUE, Amarille rapporte au moins à Vranie l'état où elle l'a laissé.
SCENE SECONDE.	SCÈNE SECONDE.
ARISTEE, THIRSIS, MENALQVE, DRIOPE.	ARISTE, THIRSIS, MENALUE, DRIOPE.
ſonne quis’en doute le moins.	sonne qu'en doute le moins.
Apres que les pluyes ont renuerſé lesbleds, Ceres en redreſſe les jaueles, & repaſſe la main ſur leurs eſpics.	Après que les pluies ont renversé lesbleds, Ceres en redresse les javelés, et repasse la main sur leurs épics.
Apres que les Aquilons ont abaiſſé preſque iuſques en terre l’orgueil des Sapins, à force de ſe raffermir, ils retrouuent leur droiture.	Après que les Aquilons ont abaissé presque jusqu' en terre l'orgueil des Sapins, à force de se raffermir, ils retrouvent leur droiture.
Au demeurant quiconque va à l’attaque ſans ſe preparer aux coups, ou penſe eſtre inuulnerable, ou bien ne penſe pas à ce qu’il fait.	Au demeurant quiconque va à l'attaque sans se préparer aux coups, ou pense être invulnérable, ou bien ne pense pas à ce qu'il fait.
Il eſt des Amans comme des Soldats, bien que leur courage fut touſiours égal, les armes & les auantures enſont iournalieres.	Il est des Amants comme des Soldats, bien que leur courage fut toujours égal, les armes et les aventures ensont journalières.
Que diſ-je qu’il eſt des Amans comme des Soldats?	Que dis-je qu'il est des Amants comme des Soldats?
certes la profeſſion d’aymer eſt tout autrement penible que celle de la guerre.	certes la profession d'aimer est tout autrement pénible que celle de la guerre.
Vn Amant doit combattre ce qu’il ayme, & puis vaincre ce qui l’a fait ſon captif, tous les coups qu’il reçoit luy donnent droit dans le cœur, & il n’eſt guidé que par vn enfant tout nud & aueugle:	Un Amant doit combattre ce qu'il aime, et puis vaincre ce qui l'a fait son captif, tous les coups qu'il reçoit avait donnent droit dans le cœur, et il n'est guidé que par un enfant tout nu et aueugle:
aux autres combats, ſi l’ennemy nous fuit il en reſte deſhonoré, icy c’eſt tout le contraire.	aux autres combats, si l'ennemi nous fuit il en reste déshonoré, ici c'est tout le contraire.
Daphné pour auoir fuy Apollon emporta le laurier.	Daphné pour avoir fui Apollon emporta le laurier.
Apres bien des maux eſt on vainqueur?	Après bien des maux est on vainqueur?
il faut celer ſa victoire, & ſur tout ne pas manquer de ſe mettre dans les fers de l’objet qu’on a vaincu.	il faut celer sa victoire, et sur tout ne pas manquer de se mettre dans les fers de l'objet qu'on a vaincu.
C’eſt pourquoy ie te conſeille de renoncer a cette peine, ou d’aymer en autre lieu, il n’y a rien qu’vn Berger de ta ſorte ne doiue eſperer de toute autre Bergere que d’Vranie.	C'est pourquoi ie te conseille de renoncer a cette peine, ou d'aimer en autre lieu, il n'y a rien qu' Berger de ta sorte ne doive espérer de toute autre Bergère que d'Unanie.
THIRSIS, Thirſis ſeroit inconſtant & par conſequeut peu loyal;	THIRSIS, Tiris serait inconstant et par conséqueut peu loyal;
c’eſt vn crime, c’eſt vne laſcheté qui ne peut tomber en ma penſée, ie n’ay pas entrepris d’eſtre heureux, mais d’eſtre fidele Berger, qu’on ne me tienne plus ce langage, il ſembleroit que mes amis me vouluſſent deſpoüiller de la meilleure qualité que ie poſſede, & que les rigueurs d'Vranie ne m’ont ſceu enleuer, bien loin de changer d’affection durant ma vie, apres ma mort elle paſſera auec moy le fleuue de l’oubly.	c'est un crime, c'est une lâcheté qui ne peut tomber en ma pensée, votre n'ai pas entrepris d'être heureux, mais d'être fidèle Berger, qu'on ne me tienne plus ce langage, il semblerait que mes amis me voulussent despoüiller de la meilleure qualité que sans possède, et que les rigueurs d'Unie ne m'ont su enlèver, bien loin de changer d'affection durant ma vie, après ma mort elle passera avec moi le fleuve de l'oubli.
ARISTEE, Tant mieux, ie ſuis rauy de te voir ainſi fidele, taſche donc d’eſtre auſſi conſtant.	ARISTE, Tant mieux, je suis ravi de te voir ainsi fidèle, tâche donc d'être aussi constant.
Amoür eſt inhumain depuis que pour rendre ſon Empire plus vniuerſel, non conrent de s’eſtre logé dans le ſein des hommes & des Dieux, il voulut entrer dans le cœur des beſtes, de la viẽt qu’il a quelque choſe du Loup, du Tigre, du Lyon, du Serpent, du Leopard :	Amoür est inhumain depuis que pour rendre son Empire plus universel, non conrent de s'être logé dans le sein des hommes et des Dieux, il voulut entrer dans le cœur des bêtes, de la vient qu'il a quelque chose du Loup, du Tigre, du Lyon, du Serpent, du Léopard :
l’extreme communication qu’il a euë auec ces fiers animaux, luy gliſſa plus de moitié de leur naturel, c’eſt là l’origine de l’inMENALQVE, A propos de ce que te dit Ariſtée, ie te raconteray l’hiſtoire d’vn ieune Berger, qui fut la merueille de ſon âge en fait de conſtance, ſon nom eſtoit Lyſis, ſa Maiſtreſſe s’appelloit Lydie:	l'extrême communication qu'il a eue avec ces fiers animaux, lui glissa plus de moitié de leur naturel, c'est là l'origine de l'inMENALQUE, A propos de ce que te dit Aristée, je te raconterai l'histoire d'un jeune Berger, qui fut la merveille de son âge en fait de constance, son nom était Lys, sa Maîtresse s'appelait Lydie:
leur premiere rencontre ne fut pas moins humanité qu’il exerce ſur les ſiens, notamment ſur les Bergers, à cauſe qu’ils n’ont pas les diuertiſſemens des villes, faut il s’eſbahir de ce qu’il traite ainſi les mortels, apres qu’il a ſi mal traité les Dieux, qu’ils ſouffroient plus que les beſtes dont ils prenoient la figure.	leur première rencontre ne fut pas moins humanité qu'il exerce sur les siens, notamment sur les Bergers, à cause qu'ils n'ont pas les divertissements des villes, faut il s'ébahir de ce qu'il traite ainsi les mortels, après qu'il a si mal traité les Dieux, qu'ils souffraient plus que les bêtes dont ils prenaient la figure.
Les abeilles ſe ſoulent de Thin & de fleurs, le Thin ſe raſſaſie de pluye, les fleurs ſe gorgent de roſée, mais Amour ne ſe ſoule iamais de nos larmes & iuſqu'à tant que la ioüyſſance luy ſuccede, on ne ſçait que c’eſt d’eſtre exempt de trauerſe ny de deſplaiſir.	Les abeilles se soûlent de Thin et de fleurs, le Thin se rassasie de pluie, les fleurs se gorgent de rosée, mais Amour ne se soule jamais de nos larmes et jusqu'à tant que la ioüyssance sans succède, on ne sait que c'est d'être exempt de traverse ni dé plaisir.
épineuſe, que le ſuccez en fut heureux.	épineuse, que le succès en fut heureux.
En peu de mots, ſix retours de moiſſon furent témoins de la patience qu’il eut durant les mépris de ſa rebelle.	En peu de mots, six retours de moisson furent témoins de la patience qu'il eut durant les mépris de sa rebelle.
Ceſte Bergere luy tenoit des rudeſſes & des fiertez qui le pouſſoient quelquesfois ſur le bord du deſeſpoir.	Cette Bergère était tenait des rudesses et des fierté qui le poussaient quelquefois sur le bord du désespoir.
Combien de fois le temps s’en eſt-il couuert de regret, & les vents ont-ils monſtré de luy compâtir auec leur murmure?	Combien de fois le temps s'en est-il couvert de regret, et les vents ont-ils montré de Seigneur compatir ainsi leur murmure?
Combien de fois les Cheſnes ſe ſont ils fendus de douleür, oyãs les Dryades leurs ſœurs en ſanglotter ſous leur eſcorce?	Combien de fois les Chênes se sont ils fendus de doulever, ois les Dryades leurs sœurs en sanglotter sous leur écorce?
Combien de fois les Rochers ont-ils répondu à ſes plaintes, & les vallons ont-ils meſlé leurs eaux à ſes pleurs?	Combien de fois les Rochers ont-ils répondu à ses plaintes, et les vallons ont-ils mêlé leurs eaux à ses pleurs?
cependant il ne manqua non plus de courage, que de ſujet de l’exercer.	cependant il ne manqua non plus de courage, que de sujet de l'exercer.
Apres s’eſtre mille & mille fois épuiſé de larmes, & laſſé de gemir dans ſa ſolitude, il recherchoit tous les diuertiſſemens qu’il ſe pouuoit donner.	Après s'être mille et mille fois épuisé de larmes, et lassé de gémir dans sa solitude, il recherchait tous les divertissements qu'il se pouvait donner.
Tantoſt il choiſiſſoit le plus beau de ſes moutons, & ayant laué ſa toiſon auec du laict, il en friſoit les plus groſſes touffes, y attachant par endroits des rubens de ſoye de mille couleurs.	Tantôt il choisissait le plus beau de ses moutons, et ayant laué sa toison avec du lait, il en frisait les plus grosses touffes, y attachant par endroits des rubents de soie de mille couleurs.
Ce preſent là s’adreſſoit à Lydie, qui n’enclinoit pas touſiours au refus.	Ce présent là s'adressait à Lydie, qui n'enclinait pas toujours au refus.
Tantoſt il faiſoit des guirlandes de fleurs & de fruicts, tellement entremeſlés, qu’on eut creu que la Nature les eût ainſi rangez de ſa propre main.	Tantôt il faisait des guirlandes de fleurs et de fruits, tellement entremêlés, qu'on eut cru que la Nature les eût ainsi rangez de sa propre main.
Lydie n’eſtoit pas quelquefois ſi dédaigneuſe, qu’elle ne s’en paraſt.	Lydie n'était pas quelquefois si dédaigneuse, qu'elle ne s'en parât.
Tantoſt il attachoit vn colier de ſon inuention a vn fan de biche qui auoit accouſtumé de s’aller rendre au hameau de Lydie, laquelle eſtoit le plus ſouuent d’humeur de ſe ioüer auec luy.	Tantôt il attachait ac colier de son invention a un fan de biche qui avait accoutumé de s'aller rendre au hameau de Lydie, laquelle était le plus souvent d'humeur de se jouer avec lui.
Vne fois qu’il nourriſſoit des oiſeaux, il s’auiſa de leur apprendre en ſecret à prononcer ces deux noms, Lyſis, & Lydie.	Une fois qu'il nourrissait des oiseaux, il s'avisa de leur apprendre en secret à prononcer ces deux noms, Lyds, et Lydie.
Dés qu’ils furent aſſez ſçauans, il leur ouurit la cage, & rendit la liberté.	Dès qu'ils furent assez Savants, il leur ouvrit la cage, et rendit la liberté.
Elle s’entendant nommer parmy l’air, & deſſus les arbres, auec ſon Seruiteur, luy dit vn iour en le prenant par la main:	Elle s'entendant nommer parmi l'air, et dessus les arbres, avec son Serviteur, lui ditque jour en le prenant par la main:
Lyſis, puis que ces truchemens de la Nature nous mettent enſemble, il y faut viure & mourir.	Lysis, puis que ces truchements de la Nature nous mettent ensemble, il y faut vivre et mourir.
De maniere Thirſis, que ſa perſeuerance fut recompenſée.	De manière Thyris, que sa persévérance fut récompensée.
Ce qui nous omeigne veritablement, que ſi les hommes font l’Amour, l’Amour fait les hommes.	Ce qui nous omeigne véritablement, que si les hommes font l'Amour, l'Amour fait les hommes.
THIRSIS, O le gentil Amant!	THIRSIS, Ô le gentil Amant!
ô le Berger admirable!	ô le Berger admirable!
Menalque n’eſt-il plus au monde?	Menalque n'est-il plus au monde?
& le faut-il admirer ſans le voir?	et le faut-il admirer sans le voir?
MENALQVE, Enuiron le temps que tu vins icy, il te quitt a la place, ſon tombeau n’eſt qu’a cent pas de THIRSIS, Driope, cét exemple me ſemble plein de conſolation, qu'eſtce que tu en penſes?	MENALQUE, Environ le temps que tu vins ici, il te quitt à la place, son tombeau n'est qu'a cent pas de THIRS, Driope, cet exemple me semble plein de consolation, qu'estce que tu en penses?
DRIOPE, Les raiſons de ces Bergers ſont fort bonnes:	DRIOPE, Les raisons de ces Bergers sont fort bonnes:
toutefois i’oſerois ſouſtenir que mon conſeil eſt meilleur.	toutefois j'oserais soutenir que mon conseil est meilleur.
Ils t’exhortent à ſouffrir, & moy ie t’exhorte à te deliurer.	Ils t'exhortent à souffrir, et moi -même t'exhorte à te délivrer.
Venons à bout de nos deſſeins par amour ou par force, il n’importe de quelque façon que ce ſoit.	Venons à bout de nos desseins par amour ou par force, il n'importe de quelque façon que ce soit.
Aux entrepriſes ie n’apprehende que la premiere;	Aux entreprises beau n'appréhende que la première;
aux ſoûpirs que le dernier:	aux soupirs que le dernier:
mais la crainte te tient en bride.	mais la crainte te tient en bride.
Pourquoy te faut-il vne bride, n’estu pas homme?	Pourquoi te faut-il rien bride, n'étu pas homme?
Mais ce ſeroit pecher contre la meſme pureté.	Mais ce serait pécher contre la même pureté.
Qui ne pecheroit iamais, laiſſeroit perdre la clemence.	Qui ne pécherait jamais, laisserait perdre la clémence.
