TIISCIIDVII COMEDIE.	TIISCIIDVI COMÉDIE.
Tu m’as, d’vn coup de dent, preſque emporté l’oreille.	Tu m'as, d'Hommes coup de dent, presque emporté l'oreille.
LA MONTAGNE.	LA MONTAGNE.
Vos canons.	Vos canons.
ERASTE.	ERASTE.
Laiſſe-les, tu prens trop de ſoucy.	Laisse-les, tu prends trop de souci.
LA RONTAGNE.	LA RONTAGNE.
Ils ſont tout chifonnez.	Ils sont tout chifonnés.
ERASTE.	ERASTE.
Ie veux qu’ils ſoient ainſi,	Je veux qu'ils soient ainsi,
LA MONTAGNE.	LA MONTAGNE.
Accordez-moy du moins pour grace ſinguliere De frotter ce chapeau qu’on voit plein de pouſſiere.	Accordez-moi du moins pour grâce singulière De frotter ce chapeau qu'on voit plein de poussière.
ERASTE.	ERASTE.
Frotte donc, puis qu’il faut que i’en paſſe par là.	Frotte donc, puis qu'il faut que j'en passe par là.
LA MONTAGNE.	LA MONTAGNE.
Le voulez-vous porter fait comme le voila?	Le voulez-vous porter fait comme le voilà?
ERASTE	ERASTE
ERASTE.	ERASTE.
Mon Dieu, dépeche-toy.	Mon Dieu, dépeche-toi.
LA MONTAGNE.	LA MONTAGNE.
Ce ſeroit conſcience.	Ce serait conscience.
ERASTE apres avoir attendu.	ERASTE après avoir attendu.
C’eſt aſſez	C'est assez
DI MOTTAGNE.	DI MOTTAGNE.
Donnez-vous vn peu de patience.	Donnez-vous un peu de patience.
Il me tuë ERAOIL.	Il me tue ERAOIL.
LA MONTAGNE.	LA MONTAGNE.
En quel lieu vous eſtes-vous fourré?	En quel lieu vous êtes-vous fourré?
ERASTE.	ERASTE.
T’es-tu de ce chapeau pour toûjours emparé?	T'es-tu de ce chapeau pour toujours emparé?
LA MONTAGNE.	LA MONTAGNE.
C’eſt fait.	C'est fait.
ERASTE.	ERASTE.
Donne-moy donc.	Donne-moi donc.
LA MONTAGNE ſaiſſant tomber le chapeau,	LA MONTAGNE saissant tomber le chapeau,
AAAJ.	ÀAAJ.
ERASTE.	ERASTE.
Le vona par terre, Ie ſuis fort avancé que la fiévre te ſerre.	Le vona par terre, Je suis fort avancé que la fièvre te serre.
LA MONTAGNE.	LA MONTAGNE.
Permettez qu’en deux coups i’oſte.	Permettez qu'en deux coups j'ôte.
ERASTE.	ERASTE.
Il ne me plaiſt pas.	Il ne me plaît pas.
Au diantre tout valet qui vous eſt ſur les bras;	Au diantre tout valet qui vous est sur les bras;
Qui fatigue ſon Maiſtre, & ne fait que déplaire, A force de vouloir trancher du neceſſaire.	Qui fatigue son Maître, et ne fait que déplaire, A force de vouloir trancher du nécessaire.
SCENE II.	SCÈNE II.
ORPHISE, ALCIDOR, ERASID,EIMOIONG.	ORPHISE, ALCIDOR, ERASID,EIMOIONG.
ERASTE.	ERASTE.
Ais, voy-ie pas Orphiſe?	Ais, vois-je pas Orphise?
oüy c’eſt elle M qui vient, Où va-t’elle ſi viſte, & quel homme la tient?	oui c'est elle M qui vient, Où va-t-elle si vite, et quel homme la tient?
Il la ſaluë comme ille paſſe & elle en paſſant détourne la teſte.	Il la salue comme ille passe et elle en passant détourne la tête.
Quoy, me voir en ces lieux devant elle paroiſtre, Et paſſer en feignant de ne pas me connoiſtre!	Quoi, me voir en ces lieux devant elle paraître, Et passer en feignant de ne pas me connaître!
Que croire?	Que croire?
qu’en dis-tu?	qu'en dis-tu?
parle donc ſi tu veux.	parle donc si tu veux.
LA MOMTAGNE.	LA MOMTAGNE.
Monſieur, ie ne dis rien de peur d’eſtre fâcheux.	Monsieur, Seigneur ne dis rien de peur d'être fâcheux.
ERASTE.	ERASTE.
Et c’eſt l’eſtre en effet que de ne me rien dire Dans les extremitez d’vn ſi cruel martyre.	Et c'est l'être en effet que de ne me rien dire Dans les extrémités d'Un si cruel martyre.
Fais donc quelque réponſe à mon cœur abbattu:	Fais donc quelque réponse à mon cœur abattu:
Que dois-ie preſumer?	Que dois-je présumer?
parle, qu’en peuſes-tu?	parle, qu'en puses-tu?
Dy-moy ton ſentiment,	Dis-moi ton sentiment,
LA MONTAGNE.	LA MONTAGNE.
Monſieur, ie veux me taire, Et ne defire point trancher du neceſſaire.	Monsieur, ie veux Se taire, Et ne désire point trancher du nécessaire.
ERASTE.	ERASTE.
Peſte l’impertinent!	Peste l'impertinent!
va-t’en ſuivre leurs pass.	va-t'en suivre leurs pass.
& 1e qee qu no devieuurone, & ne les quitte pas.	et 1e qée qu' ô devresurone, et ne les quitte pas.
LA MONTAGNE revenant.	LA MONTAGNE revenant.
Il faut ſuivre de loin?	Il faut suivre de loin?
ERASTE.	ERASTE.
Oüy.	Oui.
LA MONTAGNE revenant.	LA MONTAGNE revenant.
Sans que l’on me voye, Ou raire aucun lemorant qu’aples eux on m’envoye?	Sans que l'on me voie, Ou raire aucun lemorant qu'aples eux on m'envoie?
ERASTE.	ERASTE.
Non, tu feras bien mieux de leur donner avis, Que par mon ordre exprès ils ſont de toy ſuivis.	Non, tu feras bien mieux de leur donner avis, Que par mon ordre exprès ils sont de toi suivis.
LA MONTAGNE revenant.	LA MONTAGNE revenant.
Vous trouveray-ie icy?	Vous trouverai-je ici?
ERASTE.	ERASTE.
Que le Ciel te confonde, Homme, à mon ſentiment le plus faſcheux du monde.	Que le Ciel te confonde, Homme, à mon sentiment le plus fâcheux du monde.
La Montagne s’en va.	La Montagne s'en va.
Ah!	Ah!
que ie ſens de trouble, & qu’il m’euſt eſté doux, Qu’on me l’euſt fait manquer ce fatal rendezvous :	que ici sens de trouble, et qu'il m'eût été doux, Qu'on me l'eût fait manquer ce fatal rendezvous :
Ie penſois y trouver toutes choſes propices, Et mes yeux pour mon cœur y trouvent des ſupplices.	Je pensais y trouver toutes choses propices, Et mes yeux pour mon cœur y trouvent des supplices.
SCENE III.	SCÈNE III.
LISANDRE,ERMOTE	LISANDRE,ERMOTE
LYSANDRE.	LYSANDRE.
Ous ces arbres, de loin, mes yeux t’ont reconnu, Cher Marquis, & d’abord ie ſuis à toy venu:	Ous ces arbres, de loin, mes yeux t'ont reconnu, Cher Marquis, et d'abord re suis à toi venu:
Comme à de mes amis il faut que ie te chante Certain air, que i’ay fait, de petite courante, Qui de toute la Cour contente les Experts, Eu ſur qui plus de vingt ont déja fait des vers.	Comme à de mes amis il faut que ie te chante Certain air, que j'ai fait, de petite courante, Qui de toute la Cour contente les Experts, Eu sur qui plus de vingt ont déjà fait des vers.
I’ay le bien, la naiſſance, & quelque employ paſſable, Et fais figure en France aſſez conſidetable;	J'ai le bien, la naissance, et quelque emploi passable, Et fais figure en France assez considétable;
Mais ie ne voudrois pas, pour tour ce que ie ſuis, N’avoir point fait cet air, qu’icy je te produis.	Mais ici ne voudrais pas, pour tour ce que je suis, N'avoir point fait cet air, qu'ici je te produis.
La, la, hem, hem:	La, la, hem, hem:
écoute avec ſoin, je te prie.	écoute avec soin, je te prie.
N’eſt-elle pas belle?	N'est-elle pas belle?
Il chante ſa courante.	Il chante sa courante.
ERASTE.	ERASTE.
*11.	*11.
LYSANDRE.	LYSANDRE.
Cette fin eſt jolie.	Cette fin est jolie.
Il rechante la fin quatre ou einq fois de ſuitte.	Il rechante la fin quatre ou einq fois de suite.
Comment la trouves-tu?	Comment la trouves-tu?
ERASTE.	ERASTE.
Fort belle aſſeurément.	Fort belle assurément.
LYSANDRE Les pas que i’en ay faits n’ont pas moins d’agrément, Et ſur tout la figure a merveilleuſe grace.	LYSANDRE Les pas que j'en ai faits n'ont pas moins d'agrément, Et sur tout la figure a merveilleuse grâce.
Il chante, parle & danſe tout enſemble, & fait ſaire à Eraſte les figures de la femme.	Il chante, parle et danse tout ensemble, et fait zaïre à Éraste les figures de la femme.
Tien, l’homme paſſe ainſi :	Tiens, l'homme passe ainsi :
puis la femme repaſſe:	puis la femme repasse:
Enſemble:	Ensemble:
puis on quitte, & la femme vient là, Vois-tu ce petit trait de feinte que voila?	puis on quitte, et la femme vient là, Vois-tu ce petit trait de feinte que voilà?
Ce fleuret?	Ce fleuret?
ces coupez courant aprés la belle?	ces coupez courant après la belle?
Dos à dos:	Dos à dos:
face à face, en ſe preſſant ſur elle, Apres auoir achevé.	face à face, en se pressant sur elle, Apres avoir achevé.
Que t’en ſemble Marquis?	Que t'en semble Marquis?
ERASTE.	ERASTE.
Tous ces pas là ſont fins.	Tous ces pas là sont fins.
LYSANDRE.	LYSANDRE.
Ie me mocque, pour moy, des maîtres Baladins.	Je me moque, pour moi, des maîtres Baladins.
On le voit.	On le voit.
ERASTE.	ERASTE.
L ANDRE.	 ANDRÉ.
Les pas donc.	Les pas donc.
ERASIE.	ERASIE.
N’ont rien qui ne ſurprenne.	N'ont rien qui ne surprenne.
LYSANDRE.	LYSANDRE.
Veux-tu, par amitié, que je te les apprenne?	Veux-tu, par amitié, que je te les apprenne?
ERASTE.	ERASTE.
Ma foy, pour le preſent, j’ay certain embarras.	Ma foi, pour le présent, j'ai certain embarras.
LYSANDRE.	LYSANDRE.
Et bien donc, ce ſera, lors que tu le voudras.	Et bien donc, ce sera, lors que tu le voudras.
Si j’avois deſſus-moy ces paroles nouvelles, Nous les lirions enſemble, & verrions les plus belles ERASTE	Si j'avais dessus-moi ces paroles nouvelles, Nous les lirions ensemble, et verrions les plus belles ERASTE
ERASTE.	ERASTE.
Vne autre fois.	Une autre fois.
LYSANDRE.	LYSANDRE.
Adieu:	Adieu:
Baptiſte le ttes-cher N’a point veu ma courante, & je le vay chercher.	Baptiste le ttes-cher N'a point vu ma courante, et je le vay chercher.
Nous auons, pour les airs, de grandes ſimpathies, Elje teurna fller a vale dle rartico.	Nous avons, pour les airs, de grandes sympathies, Élie teurna fller a vale d' rartico.
Il s’en va chantant toûjours.	Il s'en va chant toujours.
ERASTE.	ERASTE.
Ciel!	Ciel!
faut-il que le rang, dont on veut tout couvrir, De cent ſots, tous les jours nous oblige à ſouffrir;	faut-il que le rang, dont on veut tout couvrir, De cent sots, tous les jours nous oblige à souffrir;
Et nous faſſe abaiſſer juſques aux complaiſances D'applaudir bien ſouvent a leurs impertinences?	Et nous fasse abaisser jusques aux complaisances D'applaudir bien souvent à leurs impertinences?
a a da daeve LA MONTAGNE, ERASTE.	à a da daève LA MONTAGNE, ERASTE.
LA MONTAGNE.	LA MONTAGNE.
Onſieur, Orphiſe eſt ſeule, & vient de AVX Llvere.	Onsieur, Orphise est seule, et vient de AUX Llvère.
ERASTE.	ERASTE.
An, d’vn tioubie bien grand je me lens agité!	An, d'un tioubie bien grand -je me lents agité!
I’ay de l’amour encor pour la belle inhumaine, Et ma raiſon voudroit, que j’euſſe de la haine!	J'ai de l'amour encor pour la belle inhumaine, Et ma raison voudrait, que j'eusse de la haine!
LA MONTAGNE.	LA MONTAGNE.
Monfieur, voſtre raiſon ne ſçait ce qu’elle veut,	Monfieur, votre raison ne sait ce qu'elle veut,
B iij Source gallica.	 Bij Source gallica.
bnf.	bnf.
fr ( Bibliothèque nationale de France Ny ce que ſur vn cœur vne Maîtreſſe peut.	fr ( Bibliothèque nationale de France Ni ce que sur un cœur une Maîtresse peut.
Bien que de s’emporter on ait juſtes cauſes, Vne belle, d’vn mot, rajuſte bien des choſes,	Bien que de s'emporter on ait justes causes, Ait belle, d'un mot, rajuste bien des choses,
ERASTE.	ERASTE.
merus, je te l’advouë, & déja cet aſpect A toute ma coſere imprime le reſpect.	mer, je te l'avoue, et déjà cet aspect A toute ma cosere imprime le respect.
SCENE V.	SCÈNE V.
ORPHISE, ERASTE, LA MONTAGNE.	ORPHISE, ERASTE, LA MONTAGNE.
ORPHISE.	ORPHISE.
JOſtre front à mes yeux monſtre peu d’alle greſſe Seroit-ce ma preſence, Eraſte, qui vous bleſſe?	JOtre front à mes yeux montre peu d'allé gresse Serait-ce ma présence, Eraste, qui vous blesse?
Quent-ce done:	Quent-ce donce:
nu'avez-vous:	nu'avez-vous:
de lur quels déplaiſirs, Lors que vous me voyez pouſſez-vous des ſoûpirs?	de lur quels déplaisirs, Lors que vous me voyez poussez-vous des soupirs?
ERASTE.	ERASTE.
Helas, pouvez-vous bien me demander, cruelle, Ce qui rait de mon cœur la triſtenie mortelle?	Hélas, pouvez-vous bien me demander, cruelle, Ce qui rait de mon cœur la tristénie mortelle?
Et d’vn eſprit méchant n’eſt-ce pas vn effet, Que feindre d’ignorer ce que vous m’avez fait?	Et d'autre esprit méchant n'est-ce pas un effet, Que feindre d'ignorer ce que vous m'avez fait?
Celuy dont l’entretien vous a fait, à ma veuë, Paſſer.	Celui dont l'entretien vous a fait, à ma vue, Passer.
ORPHISE.	ORPHISE.
riant.	riant.
ERASTE	ERASTE
ERASTE.	ERASTE.
Inſultez inhumaine, encore, à mon malheur.	Insultez inhumaine, encore, à mon malheur.
Allez, il vous ſied mal de railler ma douleur;	Allez, il vous sied mal de railler ma douleur;
Et d’abuſer, ingratte, à maltraitter ma flâme, Du foible, que pauumouo, vouorparen, qu’a mon ame.	Et d'abuser, ingrate, à maltraiter ma flamme, Du faible, que pauumouo, vouorparen, qu'a mon âme.
ORPHISE.	ORPHISE.
Certes, il en faut rire, & confeſſer icy, Qne vous eſtes bien fou, de vous troubler ainſi.	Certes, il en faut rire, et confesser ici, Qne vous êtes bien fou, de vous troubler ainsi.
L’homme dont vous parlez, loin qu’il puiſſe me plaire, Eſt vn homme Fâcheux dont j’ay ſçeu me defaire;	L'homme dont vous parlez, loin qu'il puisse me plaire, Est un homme Fâcheux dont j'ai su me défaire;
Vn de ces importuns, & ſots offiei ux;	Un de ces importuns, et sots offiei ux;
Qui ne ſçauroient ſoeffrir qu’on ſoit ſeule en des lieux;	Qui ne sauraient souffrir qu'on soit seule en des lieux;
Et viennent auſſi-toſt, avec vn doux langage, Vous donner vne main, contre qui l’on enrage.	Et viennent aussitôt, avec un doux langage, Vous donner une main, contre qui l'on enrage.
I’ay feint de m’en aller, pour cacher mon deſ22111 2 Et, juſqu’à mon caroſſe, il m’a preſté la main.	J'ai feint de m'en aller, pour cacher mon des211 2 Et, jusqu'à mon carosse, il m'a prêté la main.
Ie m’en ſuis promptement defaite de la ſorte, Lt j’ay pour vous trouver, rentre par l’autre porte.	Je m'en suis promptement défaite de la sorte, Lt j'ai pour vous trouver, rentre par l'autre porte.
ERASTE.	ERASTE.
A vos diſcours, Orphiſe adjoûteray-ie foy?	À vos discours, Orphise ajouterai-je foi?
Et voſtre cœur eſt-il tout ſincere pour moy?	Et votre cœur est-il tout sincère pour moi?
ORPHISE.	ORPHISE.
Ie vous trouve fort bon, de tenir ces paroles;	Je vous trouve fort bon, de tenir ces paroles;
Quand je me juſtifie à vos plaintes frivoles Ie ſuis bien ſimple encor, & ma ſotte bonté.	Quand je me justifie à vos plaintes frivoles Je suis bien simple encor, et ma sotte bonté.
ERASTE.	ERASTE.
Ah ne vous faſchez pas, trop ſevere beauté, Ie veux croire en aveugle, eſtant ſous voſtre empire, B iiii Tout ce que vous aurez la bonté de me dire.	Ah ne vous fâchez pas, trop sévère beauté, Je veux croire en aveugle, étant sous votre empire, B y Tout ce que vous aurez la bonté de me dire.
Trompez, ſi vous voulez, vn malheureux Amant;	Trompez, si vous voulez, un malheureux Amant;
I’auray pour vous reſpect juſques au monument, Maltraittez mon amour, refuſez-moy le voſtre;	J'aurai pour vous respect jusques au monument, Maltraités mon amour, refusez-moi le vôtre;
Expoſez à mes yeux le triomphe d’vn autre, Oüy je ſouffriray tout de vos divins appas, Ien moullay, mais enmn je ne in en plaindray pas.	Exposez à mes yeux le triomphe d' Hommes, Oui je souffrirai tout de vos divins appas, Jen moullai, mais enmn je ne in en plaindrai pas.
ORPHISE.	ORPHISE.
Quand de tels ſentimens regneront dans voſtre eme, Ie ſçauray de ma part.	Quand de tels sentiments régneront dans votre eme, Je saurai de ma part.
SCENE VI.	SCÈNE VI.
AECANDRE,ORTHISE, ERASTE, LA MONTAGNE.	AECANDRE,ORTHISE, ERASTE, LA MONTAGNE.
ALCANDRE.	ÀLCANDRE.
MArquis vn mot.	MArquis un mot.
Madame, De gracẽ pardonnez, ſi je ſuis indiſcret, En oſant, devant vous, luy parler en ſecret.	Madame, De gracence pardonnez, si je suis indiscret, En osant, devant vous, notre parler en secret.
Avec peine, Marquis, je te fais la priere;	Avec peine, Marquis, je te fais la prière;
Mais vn homme vient là de me rompre en viſiere, Et je ſouhaitte fort, pour ne rien reculer, Qu’à l’heure de ma part, tu l’ailles appeller.	Mais un homme vient là de me rompre en visière, Et je souhaite fort, pour ne rien reculer, Qu'à l'heure de ma part, tu l'ailles appeler.
Tu ſçais, qu’en pareil cas, ce ſeroit avec joye;	Tu sais, qu'en pareil cas, ce serait avec joie;
Que je te le rendrois en la meſme monnoye.	Que je te le rendrais en la même monnoie.
ERASTE	ERASTE
ERASTE Apres avoir vn peu demeuré ſans parler.	ERASTE Après avoir un peu demeuré sans parler.
Ie ne veux point icy faire le Capitan;	Je ne veux point ici faire le Capitan;
Mais on m’a veu ſoldat, avant que Courtiſan.	Mais on m'a vu soldat, avant que Courtisan.
I’ay ſervy quatorze ans, & je croy eſtre en paſſe, De pouvoir d’vn tel pas me tirer avec grace, Et de ne craindre point qu’à quelque laſcheté Le refus de mon bras me puiſſe eſtre imputé.	J'ai servi quatorze ans, et je crois être en passe, De pouvoir d'un tel pas me tirer avec grâce, Et de ne craindre point qu'à quelque lâcheté Le refus de mon bras me puisse chang imputé.
Vn duël met les gens en mauvaiſe poſture, Et nôtre Roy n’eſt pas vn Monarque en peinture.	Un duël met les gens en mauvaise posture, Et notre Roi n'est pas un Monarque en peinture.
Il ſçait faire obeï les plus grands de l’Eſtat, Et je trouve qu’il fait en digne Potentat.	Il sais faire obéir les plus grands de l'État, Et je trouve qu'il fait en digne Potentat.
Quand il faut le ſervir, j’ay du cœur, pour le faire:	Quand il faut le servir, j'ai du cœur, pour le faire:
Mais je ne m’en ſens point, quand il faut luy déplaire.	Mais je ne m'en sens point, quand il faut venir déplaire.
Ie me fais de ſon ordre vne ſupréme Loy.	Je me fais de son ordre une suprême Loi.
Pour luy deſobeïr, cherche vn autre que moy.	Pour ra désobéir, cherche un autre que moi.
Ie te parle Vicomte, avec franchiſe entiere, Et ſuis ton ſerviteur en toute autre matiere, nia.	Je te parle Vicomte, avec franchise entière, Et suis ton serviteur en toute autre matière, nia.
ou.	ou.
Cinquante fois au Diabe les Fâcheux.	Cinquante fois au Diabe les Fâcheux.
Où donc s’eſt retiré cét objet de mes vœux?	Où donc s'est retiré cet objet de mes vœux?
LA MONTAGNE.	LA MONTAGNE.
Ie ne ſçay.	Je ne sais.
ERASTE.	ERASTE.
Pour ſçavoir où la belle eſt allée, Va-t’en chercher par tout, j’attens dans cette allée.	Pour savoir où la belle est allée, Va-t-en chercher par tout, j'attends dans cette allée.
Fin du premier Acte.	Fin du premier Acte.
BAL	BAL
BALLET Eaprener aicle.	BALLET Éprener aicle.
PREMIERE ENTRE’E.	PREMIÈRE ENTRE'E.
Es Poüeurs de Mail, en criant, gare, l’obligent à ſe retirer:	Es Poueurs de Mail, en criant, gare, l'obligent à se retirer:
& comme il veut revenir lors qu’ils ont fait,	et comme il veut revenir lors qu'ils ont fait,
DEVXIESME ENTREE,	DEUXIÈME ENTRE,
Des Curieux viennent qui tournent autour de luy pour le connoiſtre, & font qu’il ſe retire encore pour vn moment.	Des Curieux viennent qui tournent autour de Dieux pour le connaître, et font qu'il se retire encore pour un moment.
ACTE	ACTE
ACTE II.	ACTE II.
DOBASD IICEMTENCL.	DOBASD IICEMTENCL.
ERASTE.	ERASTE.
Es Fâcheux à la fin ſe ſont-ils eſcartez?	Es Fâcheux à la fin se sont-ils écartés?
MIe penſe qu’il en pleut icy de tous coſtez.	MIe pense qu'il en pleut ici de tous côtés.
Ie les fuys, & les trouve, & pour ſecond martyre, Ie ne ſçaurois trouver celle que je defire.	Je les fuis, et les trouve, et pour second martyre, Je ne saurais trouver celle que je désire.
Le tonnerre, & la pluye ont promptement paſsé, Et n’ont point, de ces lieux, le beau monde chaſsé.	Le tonnerre, et la pluie ont promptement passé, Et n'ont point, de ces lieux, le beau monde chassé.
Pluſt au Ciel, dans les dons que ſes ſoins y prodiguent, Qt euſſent chaſsé tous les gens, qui fatiguent!	Plût au Ciel, dans les dons que ses soins y prodiguent, Qt eussent chassé tous les gens, qui fatiguent!
Le soleil baiſſe fort, & je fuis eſtonné, Que mon Valet encor ne ſoit point retourné.	Le soleil baisse fort, et je fuis étonné, Que mon Valet encor ne soit point retourné.
SCENE II.	SCÈNE II.
ACE LRASTE.	ACE LRASTE.
BOn jour.	BOn jour.
ALCIPE.	ÀLCIPE.
ERASIE.	ERASIE.
Et quoy, toûjours ma flâme divertie!	Et quoi, toujours ma flamme divertie!
ALCIPE.	ÀLCIPE.
Conſole-moy, Marquis d’vne étrange partie, Qu’au Piquet je perdis hier, contre vn S.	Console-moi, Marquis d'une étrange partie, Qu'au Piquet je perdis hier, contre un S.
Bouvain, A qui je donnerois quinze points, & la main.	Bouvain, À qui je donnerais quinze points, et la main.
C’eſt vn coup enragé, qui depuis hier m’accable, Et qui feroit donner tous les Ioüeurs au Diable;	C'est un coup enragé, qui depuis hier m'accable, Et qui ferait donner tous les Joueurs au Diable;
Vn coup aſſeurément à ſe pendre en public.	Un coup assurément à se pendre en public.
Il ne m’en faut que deux;	Il ne m'en faut que deux;
l’autre a beſoin d’vn pic.	l'autre a besoin d’ avait pic.
Ie donne:	Je donne:
il en prend ſix, & demande à refaire:	il en prend six, et demande à refaire:
Moy, me voyãt de tout, je n’en voulus rien faire.	Moi, me voyant de tout, je n'en voulus rien faire.
Ie porte l’As de trefle, admire mon malheur, L’As, le Roy, le Valet, le huict, & dix de cœur;	Je porte l'As de trèfle, admire mon malheur, L'As, le Roi, le Valet, le huit, et dix de cœur;
Et quitte, comme au point alloit la politique, Dame, & Roy de carreau;	Et quitte, comme au point allait la politique, Dame, et Roi de carreau;
dix, & Dame de pique.	dix, et Dame de pique.
Sur mes cinq cœurs portez la Dame arriue encor, Qui me fait juſtement vne quinte major:	Sur mes cinq cœurs portez la Dame arrive encor, Qui me fait justement une quinte major:
Mais mon homme, avec l’As, non ſans ſurpriſe extréme,	Mais mon homme, avec l'Âme, non sans surprise extrême,
21 Des bas carreaux, ſur table, étale vne ſixiéme.	21 Des bas carreaux, sur table, étale une sixième.
I’en avois écarté la Dame, avec le Roy;	J'en avais écarté la Dame, avec le Roi;
Mais luy fallant vn pic, ie ſortis hors d’effroy, Et croyois bien du moins faire deux points vniques.	Mais était fallant un pic, Elle sortis hors d'effroi, Et croyais bien du moins faire deux points uniques.
Avec les ſept carreaux, il avoit quatre piques;	Avec les sept carreaux, il avait quatre piques;
Et, iettant le dernier, m’a mis dans l’embarras, De ne ſçavoir lequel garder de mes deux As.	Et, jetant le dernier, m'a mis dans l'embarras, De ne savoir lequel garder de mes deux As.
I’ay ietté l’as de cœur, avec raiſon me ſemble;	J'ai jeté l'as de cœur, avec raison me semble;
Mais il avoit quitté quatre trefles enſemble, Et par vn ſix de cœur ie me ſuis veu capot, Sans pouvoir de depit proferer vn ſeul mot.	Mais il avait quitté quatre trèfles ensemble, Et par un six de cœur homme me suis vu capot, Sans pouvoir dé dépit proférer un seul mot.
Morbleu, fay-moy raiſon de ce coup ffroyable, A moins que l’avoir veu, peut-il eſtre croyable?	Morbleu, fais-moi raison de ce coup ffroyable, À moins que l'avoir vu, peut-il être croyable?
ERASIL.	ERASIL.
C’eſt dans le ieu qu’on voit les plus grands coups du ſort.	C'est dans le jeu qu'on voit les plus grands coups du sort.
ALCIPE.	ÀLCIPE.
Parbleu, tu iugeras toy-meſme ſi i’ay tort, Et ſi c’eſt ſans raiſon, que ce coup me tranſporte;	Parbleu, tu jugeras toi-même si j'ai tort, Et si c'est sans raison, que ce coup me transporte;
un colej nos deux jeux, qu’expres ſur moy ie porte.	un colèj nos deux jeux, qu'exprès sur mo ie porte;
Tien, c’eſt icy mon port, comme ie te l’ay dit;	Tiens, c'est ici mon port, comme tu te l'ai dit;
Et voicy.	Et voici.
ERASTE.	ERASTE.
I’ay compris le tout par ton recit, Et voy de la iuſtice au tranſport qui t’agite;	J'ai compris le tout par ton récit, Et vois de la justice au transport qui t'agite;
Mais pour certaine affaire il faut que ie te quite;	Mais pour certaine affaire il faut que après te quite;
Adieu, conſole-toy pourtant de ton mal-heur.	Adieu, console-toi pourtant de ton malheur.
ALCIPE.	ÀLCIPE.
i?	y?
moy?	moi?
i’auray toûjours ce coup-là ſur le cœur :	j'aurai toujours ce coup-là sur le cœur :
Et c’eſt, pour ma raiſon, pis qu’vn coup de tonnerre.	Et c'est, pour ma raison, pis qu'un coup de tonnerre.
Ie le veux faire, moy voir à toute la terre.	Je le veux faire, moi voir à toute la terre.
Il s’en va, & preſt à r’entrer, il dit par reflexion, Vn ſix de cœur!	Il s'en va, et prêt à rentrer, il dit par réflexion, Un six de cœur!
deux points !	deux points !
ERASTE.	ERASTE.
En quel lieu ſommes-nous!	En quel lieu sommes-nous!
De quelque part qu’on tourne, on ne voit que des foux.	De quelque part qu'on tourne, on ne voit que des foux.
Ah!	Ah!
que tu fais languir ma iuſte impatience.	que tu fais languir ma juste impatience.
SCENE III.	SCÈNE III.
LA MONTAGNE, ERASTE.	LA MONTAGNE, ERASTE.
LA MONTAGNE.	LA MONTAGNE.
gence.	gênée.
IV TOnſieur, ie n’ay pu faire vne autre dili	IV TOnsieur, ie n'ai pu faire une autre dili
ERASTE.	ERASTE.
Mais me raportes-tu quelque nouvelle enfin?	Mais me rapportes-tu quelque nouvelle enfin?
LA MONTAGNE.	LA MONTAGNE.
Sans doute;	Sans doute;
& de l’objet qui fait voſtre deſtin, I’ay par vn ordre exprès quelque choſe à vous dire.	et de l'objet qui fait votre destin, J'ai par un ordre exprès quelque chose à vous dire.
ERASTE.	ERASTE.
Et quoy?	Et quoi?
déja mon cœur apres ce mot ſoûpire, Puric.	déjà mon cœur après ce mot soupire, Puric.
LA MONTAGNE.	LA MONTAGNE.
Souhaitez-vououurjaroi ce que cieſt?	Souhaitez-vououurjaroi ce que ciest?
oüy, dy viſte.	oui, d iste.
ERASTE.	ERASTE.
LA MONTAGNE.	LA MONTAGNE.
Monſieur, atreudez, s’il vous plaiſt.	Monsieur, atreudez, s'il vous plaît.
Ie me ſuis, à courir, preſque mis hors d’haleine.	Je me suis, à courir, presque mis hors d'haleine.
ERASTE.	ERASTE.
Prens-tu quelque plaiſir à me tenir en peine?	Prends-tu quelque plaisir à me tenir en peine?
LA MONTAGNE.	LA MONTAGNE.
Puiſque vous deſirez de ſçavoir promptement L’ordre que i’ay receu de cét objet charmant, Ie vous diray.	Puisque vous désirez de savoir promptement L'ordre que j'ai reçu de cet objet charmant, Je vous dirai.
Ma foy, ſansvous vanter mõ zele I’ay bié fait du chemin pour trouver cete belle, Et ſi.	Ma foi, sansvous vanter mon zèle J'ai bié fait du chemin pour trouver cet belle, Et si.
ERASTE.	ERASTE.
Peſte ſoit fait de res digreſſions.	Peste soit fait de rés digressions.
EM MONRAONL.	EM MONRAONL.
Ah!	Ah!
il faut moderer vn peu ſes paſſions, Et Seneque.	il faut modérer ainsi peu ses passions, Et Sénèque.
ERASTE.	ERASTE.
Seneque eſt vn ſot dans ta bouche, Puis qu’il ne me dit rien de tout ce qui me touche.	Sénèque est un sot dans ta bouche, Puis qu'il ne me dit rien de tout ce qui me touche.
Dy-moy ton ordre, toſt.	Dis-moi ton ordre, tôt.
LA MONTAGNE.	LA MONTAGNE.
Pour contenter vos vœux, Voſtre Orphiſe.	Pour contenter vos vœux, Votre Orphise.
Vne beſte eſt la dans vos cheveux.	Une bête est la dans vos cheveux.
Laiſſe.	Laisse.
ERASTE.	ERASTE.
LA MONTAGNE.	LA MONTAGNE.
