TIMOCLEE, Y5707.	TIMOCLE, Y570.
Comment, voulãt ſçauoir les nõs de nos querrieis Et l’ayant veu toûiours plus chargè de launers Qu’aueuu de ces vaillans d’entre nos Capttaines Elle a.	Comment, voulant sçauoir les noms de nos querriedis Et l'ayant vu toujours plus chargé de launers Qu'aveu de ces vaillants d'entre nos Captaines Elle a.
Mais ie nouris des eſperances vaines, Ie me flate moy-méme, & ſuis trop informé Que ſi ie ſuis Amant, Prothite eſt ſeulaimé.	Mais ici nouris des espérances vaines, Je me flatte moi-même, et suis trop informé Que si ici suis Amant, Prothite est seulaimé.
Helas, ie perds icy dans des plaintes friuoles, Auec tout mon eſpoir, n'on temps, & mes paroles.	Hélas, Seigneur perds ici dans des plaintes frivoles, Avec tout mon espoir, n'on temps, et mes paroles.
Allons donc vers les muis, i’v ſens les cuuemis, Et leur faiſons parétre vn eſpuit plus remis;	Allons donc vers les muis, j'un sens les cuémis, Et leur faisons paraître espuit plus remis;
Auſli bien cette gueire eſt de plus d’importance, Son mauuais ſuccés ſeul m’oſte toute etperance:	Ausli bien cette guère est de plus d'importance, Son mauvais succès seul m'ôte toute etperance:
Siles pieux me vouloient deliurer de ce mal, Ie ne tarderois guerc a perdre non Riual.	Siles pieux me voulaient délivrer de ce mal, Je ne tarderais guerc à perdre non Rival.
DOVLON.	DOULON.
Allous y donc, mon Maiſtre, & les pieux vedulent faife que nous ygagnions plus qu’aux cõbats deCythere.	Allous y donc, mon Maître, et les pieux védulent faife que nous ygagnions plus qu'aux combats deCythère.
AV LECTEVR,	AU LECTEUR,
Eux qui auront leu Plutarque au Traitté des O faits vertueux des Femmes, & en la vie d’Alerandre, & qui auront encor ietté les yeux ſur Diodore Sicilien, & ſur les ſuplémens de Freimſhemius à Quinte-Curſe, verront aiſément ce que i’en ay pris des vns & des autres ſelon que ie l’ay trouué le plus a propos.	Eux qui auront lu Plutarque au Traité des Ô faits vertueux des Femmes, et en la vie d'Alerandre, et qui auront encor jeté les yeux sur Diodore Sicilien, et sur les suplémens de Freimshemius à Quinte-Curse, verront aisément ce que j'en ai pris des uns et des autres selon que je l'ai trouvé le plus à propos.
Iediray ſeulemẽt pour ioindre l’vnité du temps de cette piece auec l’Hiſtoire, que puis que Diodore dit que la Ville de Thebes ſut emportée en vn iour i’ay pû ſans forcer les cuenemens en renſemmer la priſe dans cet eſpace(encor qu’Anan y faſſe employer trois iours) ce qui ſe deuant entendre du iour artificiel, puis que ce ſut la nuit que Timoelée receut cet aſfront dont elle ſe vengea en méme temps auec tant de cœur:	Jedirai seulemẽt pour joindre l'vnité du temps de cette pièce homme l'Histoire, que puis que Diodore dit que la Ville de Thèbes sut emportée en un jour j'ai pu sans forcer les cuenements en rensemer la prise dans cet espace (encor qu'Anan y fasse employer trois jours) ce qui se devant entendre du jour artificiel, puis que ce sut la nuit que Timoelée reçut cet asfront dont elle se vengea en même temps auec tant de cœur:
I’ay pû rentermer toute l’action dans l’eſpace du iour naturel, pour cette raiſon que cetre Dame fut auſſitôt traince deuant Alexandre qui rendit en ſa faueur vn Iugement ſi iuſte & ſi loüable.	J'ai pu rentermer toute l'action dans l'espace du jour naturel, pour cette raison que cet Dame fut aussitôt traînée devant Alexandre qui rendit en sa faveur un Jugement si juste et si louable.
Ce que quelqu’vn reprendra peut-étre eſt qu’au commencement de cette iournce i’ay fait tuer les Capitames de ce Monarque ſortans de la Citadelle de Cadmée, qui dans la verité de la choſe ont été mis à mort quelques iours auparauant:	Ce que quelqu'un reprendra peut-être est qu'au commencement de cette journée j'ai fait tuer les Capitames de ce Monarque sortants de la Citadelle de Cadmée, qui dans la vérité de la chose ont été mis à mort quelques jours auparavant:
a quoy ie répondray qu’il n’importe pas que la choſe ſoit ainſi atriuée	a quoi ie répondrai qu'il n'importe pas que la chose soit ainsi atriuée
effechuement;	effechement;
que c’eſt aſſez que cela ſoit vray ſemiblable & moralement poſſible, & que ſa proba lité ſe peut ſouſtenir par cette conſideration, que ſentant approcher ce Roy de Macedeine pour le tenit en bride, ils voulurent faire paroître len forte rage contre luy plue qu’auparauant, en aſlas ſinant les Ofhieiers ménis a ſa baibe, afin de mretur en eſlet ce qu’ils auoient publié par tout qu’ils le roient les prcmiers a exteiminet ceux qui fauonte roient le Tyran des Grecs.	que c'est assez que cela soit vrai semiblable et moralement possible, et que sa proba lité se peut soutenir par cette considération, que sentant approcher ce Roi de Macèdeine pour le tenit en bride, ils voulurent faire paraître len forte rage contre quelque plue qu'auparavant, en aslas sinant les Ofhieiers ménis à sa baibe, afin de mretur en élet ce qu'ils avaient publié par tout qu'ils le raient les près à exteinet ceux qui favonte roient le Tyran des Grecs.
le n’ay plus qu’a ſoû tenit vn changement que i’ay fait d’vne ſeconde circonſtance du ſuiet qui eſt conſiderable dan l’Hliſtoire, en ce que i’ay exempté Timoclée de la violence qu’elle ſouffiit:	le n'ai plus qu'a sou tenit un changement que j'ai fait d'une seconde circonstance du sujet qui est considérable dan l'Hlistoire, en ce que j'ai exempté Timoclée de la violence qu'elle souffiit:
Mais ie n’ay conſiden que le plus a propos & ce qui pouuoit donncr meilleures penſécs Sile nom d’vne chote étoit da pable de luy aporter vn verntablle embellidlemen les faits glorieux de mon Herome peuuemétre ne gardés auec tant de laces diuerſes, qu’elles m’euſſent fourny vne infinité d’doges auantageux, qui lo ſeruans de titre, euuent exprmé les conſiderationt morales qui en peuuent é retitées.	Mais ici n'ai considène que le plus a propos et ce qui pouvait donné meilleures pensécs Sile nom d'une chote était da pable de lui apporter un verntablle embellidlemen les faits glorieux de mon Hérome peuuemétre ne gardez après tant de laces diverses, qu'elles m'eussent fourni une infinité d'doges avantageux, qui lo servants de titre, euuent exprmé aux considérationt morales qui en peuvent é retitées.
On y auroit ven ſa Vertu técompenté, & ſa iuſt Tsomperte lnſi i’aurois fait marcher deuant nion Heroine quel que beau mot commie vn foun papparent, ſi ton noni ne luy auoit tenu lieu de toutes les marque d honneur les plus ſublimes.	On y aurait ven sa Vertu técompenté, et sa just Tsomperte lnsi 'aurais fait marcher devant nion Héroine quel que beau mot commie un foun papparent, si ton noni ne lui avait tenu lieu de toutes les marque dès honneur les plus sublimes.
Ceſt adlez pour ſe gloire de fure voir que ſa gencroſité veut qu celle d’Alexandre paroiſſe coſec la ſienne pour l récompenſer a ſou tour d’auou recounu ſen merit a traueis le trouble du dommage & de la haine.	Cest adlez pour se gloire de fure voir que sa gencrosité veut qu' Alexandre pAlexandre paraisse cosec la sienne pour l récompenser a sou tour d'avou recounu sen mérit a traveis le trouble du dommage et de la haine.
A MONSIEVR MOREL Sur ſa Gencroſité d’Alexandte.	À MONSIEUR MOREL Sur sa Gencrosité d'Alexandte.
JREL, qui peut loüer ta main, Nl Quiſait vius ce Souus n Des premiers fruita de tes année ?	JREL, qui peut louer ta main, Nl Ouisait vivus ce Souus n Es premiers fruita de tes année ?
Et prend chez les Doctes le tant Qu'au pemlmeſme de ſou Sa Il auoit dedans les Armées	Et prend chez les Doctes le tant Qu'au pemlmesme de sou Sa Il avait dedans les Armées
1.	1.
1 de Gait́ e de Crenas	1 de Gait e de Crenas
Pour le meſme, à li Renommee.	Pour le même, à li Renommee.
Oyde qui les cent voix ſout par toutétlattet L pes illuſttes Autheurs les ſublunes meiu illes Fay qu’aux lieux où ton vol auta pûte porter, De l’amable Morel on cheniſle les veilles, Il n’imite perſonne, on ne peut l’imitet, Sa plume nous fait voir des graces ſans parcille Ses beaux Vers ont vn charme, on ne peut l'cuiter Et ce charme rauit le cœur par les oreilles.	Oyde qui les cent voix sout par toutétlattet L es illusttes Auteurs les sublunes meiv íllés Fais qu'aux lieux où ton vol auta pute porter, De l'amable Morel on chenidèle les veilles, Il n'imite personne, on ne peut l'imitet, Sa plume nous fait voir des grâces sans parille Ses beaux Vers ont un charme, on ne peut l'cuiter Et ce charme ravit le cœur par les oreilles.
Il commence ſi bien, que l’on doit eſperer, Puis qu’il a le ſecret de ſe faire adnurer, Que paimy les ſçauans il peut prendre vne place.	Il commence si bien, que l'on doit espérer, Puis qu'il a le secret de se faire adnurer, Que paimi les savants il peut prendre une place.
Au bel Art d’Appollon, Morel eſt ſi bieuné, Que dés le premier pas qu’il fais ſur le Parhaſſe.	Au bel Art d'Apollon, Morel est si bieuné, Que dès le premier pas qu'il fais sur le Parhasse.
De ſes plus beaux Lauriers on le voit couronné.	De ses plus beaux Lauriers on le voit couronné.
DV PELLETIER.	DU PELLETIER.
ACTEVRS.	ACTEURS.
AMINTE, l’vn des Generaux de l’Armée du Roy.	AMINTE, l'Hommes des Généraux de l'Armée du Roi.
TRASIL.	TRASIL.
E, Capitaine Trace, ſeruant dans 1 Arme, d’Al Mndie.	E, Capitaine Trace, servant dans 1 Arme, d'Al Manndie.
RASE' Etpion du Roy.	RASE' Épion du Roi.
TIMOCL'EE, Dame de Thobes, honnorée comme Souueraine, dont le Frere nommé Theagenes étoit mort commandame ren prlemmins a Oncrounée.	TIMOCL'CE, Dame de Thobes, honorée comme Souveraine, dont le Frère nommé Theagenes était mort commandame ren prlemmins a Oncrounée.
DONTI E, Iciepee de i’ieciée, & tenue pour ſuiuante.	DONTI E, Iciepe de j'ieciée, et tenue pour suivante.
TEACLE’E, Mere de Iimoëſée.	TEACLÉLA, Mère de Iimoësée.
PHANIX, Capitaine Thebain, Amant, mais haïde Timoclée.	PHANIX, Capitaine Thebain, Amant, mais haïde Timoclée.
PROTHITE, Capitaine Thebain, aimé de Timoclée.	PROTHITE, Capitaine Thebain, aimé de Timoclée.
Vn Page de Prothite,	Un Page de Prothite,
DOVLON, ſeruiteur de Phenix faiſant le bouffon.	DOULON, serviteur de Phénix faisant le bouffon.
Vn Valet de Traſile.	Un Valet de Trasile.
Gardes, Soldats.	Gardes, Soldats.
La Scene eſt à The bes.	La Scène est à The bes.
SCENE V.	SCÈNE V.
TIMOCLEE, IROTHITE.	TIMOCLE, IROTHITE.
TIMOCLEE.	TIMOCLE.
Epondez-nioy, vous dy-ie, icy lans fction, N Vous n’auez pas été, Prothite, à l’action.	Épondez-nioi, vous dis-je, ici lans fction, N Vous n'avez pas été, Prothite, à l'action.
ROTHITE.	ROTHITE.
C’eſt l’effet du malheur que i’ay pour l’ordinaire.	C'est l'effet du malheur que j'ai pour l'ordinaire.
Sinon quand ie ioüis du bonheur de vous plaire;	Sinon quand ici jouis du bonheur de vous plaire;
Si i’oſe toutefois apres votre courroux Me prometre d’auoir encor vn bien ſi doux, Oüy i’eſpere, Madame, & i’ay bien cette audace De m’aſleurer de vous que i’obtiendray ma grace, Puin que ie n’ay failly ny par faute de cœur, Ny de ſoins aſſidus, mais d’vn peu de bonheur.	Si j'ose toutefois après votre courroux Me prometre d'avoir encor un bien si doux, Oui j'espère, Madame, et j'ai bien cette audace De 'aspleurer de vous que j'obtiendrai ma grâce, Puin que sans n'ai failly apte de faute de cœur, Ny de soins assidus, mais d'un peu de bonheur.
TIMOCLEE.	TIMOCLE.
Ie vous pardonneray, ſi c’eſt la vótre crime, Le mialheur ne içautoit vous oter nion eſtiine:	Je vous pardonnerai, si c'est la votre crime, Le mialheur ne içautoit vous ôter nion étiine:
Mais ne peut-on pas dire, & ſans vous faire tort, Que Phenix a fait vour vn iugement plus foit, Et qu’il vous a paſlé du moins eu preuoyance.	Mais ne peut-on pas dire, et sans vous faire tort, Que Phénix a fait vour un jugement plus soit, Et qu'il vous a paslé du moins eu prévoyance.
OTHITE.	OTHITE.
Cette accuſation ſouffre encor ma defenſe, Madame, & nous auious tous deux également Pour vn méme deſſemn, vn parfait iugement:	Cette accusation souffre encor ma défense, Madame, et nous aujou tous deux également Pour un même desseémn, un parfait jugement:
Car des Cheſs ennemis vne etroite entreueuë luec de nos bourgeois venant d’étre apperceuë, Et ſçachans qu’ils deuoient dãs peu de temps ſortir, Pour leur rendre viſite, & s’aller diuertir, Nous auions reſolu qu’en bandes ſeparées Nous les irions chercher en diuerſes contrées:	Car des Chess ennemis une étroite entrevue luve de nos bourgeois venant d'être aperçue, Et sachants qu'ils devaient dans peu de temps sortir, Pour leur rendre visite, et s'aller divertir, Nous avions résolu qu'en bandes séparées Nous les irions chercher en diverses contrées:
M.	M.
is a pemne autous-nous chueun de lon côté T pé vers le quattier par le lort atrété, Que Phenix les tiouuant preſque lur ſon paſlage Les a fait emtermer auec tant d’auoutage.	ât a pemne autoussous chuin de on côté T Té vers le quatier par le lort atrété, Que Phénix les tiouuant presque lur son paslage Les a fait emtermer avec tant d'avoutage.
qu’il les a ſurmontez.	qu'il les a surmontés.
& ſans diffieulte, Comme luy-méme doit vous l’auoir recité;	et sans diffieute, Comme Ah-même doit vous l'avoir recité;
Ne vous feignez donc peint vn acte ſi loüable Qu’ou ne doit eſtimer que counne profitable.	Ne vous feignez donc peint un acte si louable Qu'ou ne doit estimer que counne profitable.
Ou v’il eſt quelque chole iey de genereux, C’eſt le projet hrdy que nous fiſmes tous deux.	Ou v'il est quelque cole ici de généreux, C'est le projet hrdi que nous fîmes tous deux.
IMOCLEE.	JMOCLE.
Oüy, Prothite, i’ay tort, muis i’eſtois animée ne ce rapport trompeux qu’a fantla renommée.	Oui, Prothite, j'ai tort, muis j'étais animée ne ce rapport trompeux qu'a fantla renommée.
Et de ce que Phenix oſoit me déguiſer Dont ie l’eſtime lache, & fort a mepriſer l’auois déta receu, comme tres-dangereuſe.	Et de ce que Phénix osait me déguiser Dont apprendre l'estime lache, et fort a mépriser l'avais déta reçu, comme très-dangereuse.
E:	E:
venaut d’vn flateur, cette nouuelſe heureuſe.	venaut d'être flatteur, cette nouvelse heureuse.
Ou comme vu Patieut fait vne pouon, Saus la pouuoir goûter qu’auec auerlion:	Ou comme vu Patieut fait une pouon, Saus la pouvoir goûter qu'avec averlion:
Mux ie la vois ſortir de ſa bouche ennemie Comme vn venmn miorrel pour m’arracher la vie.	Mux ici la vois sortir de sa bouche ennemie Comme un venmn miorrel pour m'arracher la vie.
IIa qu’vu bien fait de toit!	IIa qu'vu bien fait de toit!
qu’il eſt imjuneux, Quend il eſt preſenté par vu bras odieux!	qu'il est imjuneux, Quend il est présenté par vu bras odieux!
Qu'il eſt doux au contraire, & qu’il eſt delectable Lors qu’il nous vient des mains d’vne perſonne aimable O que i’euſſe eu de joye, & quel plus grand bouheur Me l’eût fuit ſentir mieux ſe couler dans mon cœur, Que celuy de iouuur par vne grace extréme Ivn bien que ie cheris a l’égal de moy-méme!	Qu'il est doux au contraire, et qu'il est délectable Lors qu'il nous vient des mains d'une personne aimable Ô que j'eusse eu de joie, et quel plus grand bouheur Me l'eût fuit sentir mieux se couler dans mon cœur, Que celui de iouuur par une grâce extrême Jun bien que je chéris a l'égal de moi-même!
Mais les Dieux enuieux de ma felicité, Nont pas ſouffert ce prix a ma fidelite.	Mais les Dieux envieux de ma félicité, Nont pas souffert ce prix à ma fidélité.
Ciel!	Ciel!
ie profane icy, ma plainte eſt crimmelle, Ils me l’ont deſtmné d'vne façon plus belle, Et me le donneront tout couuert de lauriers pans les chainps enuemis cueillis par milliers;	Les profane ici, ma plainte est crimelle, Ils me l'ont destiné d'une façon plus belle, Et me le donneront tout couvert de lauriers pans les chains envemis cueillis par milliers;
I’en ay requis les Dieux par vne humble priere:	J'en ai requis les Dieux par une humble prière:
Que ſi le ſort ſatal veut qu’ils l avent miſe arriere, Ie inl culillere a li lacas Miallaadieas;	Que si le sort satal veut qu'ils l avent mise arrière, Je inl culille à li laças Miallaadieas;
N’ayant iamais manqué, ny d’amour, ny de vœux.	N'ayant jamais manqué, Seigneur d'amour, ni de vœux.
ROTHITE.	ROTHITE.
Qu’à ces hautes bontez ie me ſens redeuable, Puis qu’elles me font voir mõ heur incomparable!	Qu'à ces hautes bontés part me sens redevable, Puis qu'elles me font voir mon heur incomparable!
Pourois ie recounaître vn bien ſi precieux, Qu’en vous ontat l’encẽs de méme qu’a nos pieux?	Pourrais ie recounaître bien si précieux, Qu'en vous ont l'enciens de même qu'a nos pieux?
Soufficz mais i’aperçois mon Page qui s’auance, Et qui vr nt Mettre ooitdele a Mnareconnorſſance;	Soufficz mais j'aperçois mon Page qui s'avance, Et qui n' att Mettre ooitèle à Mnareconnaissance;
Et ie croy que les Dieux par cela me font voir Que pour vn tel effit'ie manque de pouuoir.	Et ie au que les Dieux par cela me font voir Que pour un tel effit'ie manque de pouvoir.
TIMOCLER.	TIMOCLER.
Dis plútot qu’ils font voit leur ſacré priuilege, Et que l’on leurs peut ſeuls, ſans étre ſacrilege.	Dis plutôt qu'ils font voit leur sacré privilège, Et que l'on leurs peut seuls, sans être sacrilège.
Faire fumer l’encens & non pas aux mortels;	Faire fumer l'encens et non pas aux mortels;
Auſſi ne veux-ie point de toy d’autres Autels Que celuy de ton cœur, & pour toute l’offrand?	Aussi ne veux-je point de toi d'autres Autels Que celui de ton cœur, et pour toute l'offrand?
Les tendres ſentimens que mon amour demande.	Les tendres sentiments que mon amour demande.
Conſerue les moy purs, & tiens pour tout certain Que nul ne t’ótera ce prix là de ma main:	Conserve les moi purs, et tiens pour tout certain Que nul ne t'Hera ce prix là de ma main:
Mais ſçachons ce qu’il veut.	Mais sachons ce qu'il veut.
Hé bien quelle nouuelle?	Hé bien quelle nouvelle?
Eſt-on fort auancé deuant la Citadelle?	Est-on fort avancé devant la Citadelle?
SCENE VI.	SCÈNE VI.
TTMOCLEE, PNOTHITE.	TTMOCLE, PNOTHITE.
vn Page.	un Page.
LE PAGE.	LE PAGE.
N l’a déja.	N l'a déjà.
Madame, encloſe de foſſez O par l’ordre de Monſieur, & de mars exhauſſez:	Madame, enclose de fossés Ô par l'ordre de Monsieur, et de mars exhaussez:
Il ne nous reſte plus que d’en faire l’aproche.	Il ne nous reste plus que d'en faire l'approche.
Mais, ô malheur que ſuit vn eteruel reproche!	Mais, ô malheur que suit un étervel reproche!
Châcun veut commander, & le deſordre grand Nous produira bientot vn deſaſtre apparant.	Châcun veut commander, et le désordre grand Nous produira bientôt un désastre apparant.
Les moins ambitiaux veulent leur Capitaine, Et nos m’illeurs loldats en ſont en graude peine.	Les moins ambitiaux veulent leur Capitaine, Et nos m'illeurs loldats en sont en gravde peine.
Vous ſeul pouuez, Mõſieur, les mettre tous d’accord En leur rendant vn bien qu’on eſtime ſi fort.	Vous seul pouvez, Monsieur, les mettre tous d'accord En leur rendant un bien qu'on estime si fort.
PROTHITE.	PROTHITE.
I ycouis, ce fans delay, vous le ſoufrez, Madame, Ie vois dans vos beaux veux vne ſubite flame Qui me vient inſpirer vos genereux deſſeins.	I ycouis, ce sans délai, vous le souffrez, Madame, Je vois dans vos beaux veux une subite flamme Qui me vient inspirer vos généreux desseins.
Mais auant de pattir, que ie biſe vos mains.	Mais avant de pattir, que ici bise vos mains.
TIMOCLEE.	TIMOCLE.
Non encor pour ce coup.	Non encore pour ce coup.
PROTHITE.	PROTHITE.
Donc apres tant de grace.	Donc après tant de grâce.
TIMOCLEE.	TIMOCLE.
Ie ſors auecque toy iuſqu’auprés de la place, Et veux eſtre témoin de cette noble ardeur.	Je sors auecque toi jusqu'auprès de la place, Et veux été témoin de cette noble ardeur.
Ie te donne la main, ie te donne le cœut.	Je te donne la main, ie te donne le cœut.
Fin du premier Aêle.	Fin du premier Aêle.
ACTE II SCENE PREMIERE.	ACTE II SCÈNE PREMIÈRE.
ALEXANDRE, AMINTE.	ALEXANDRE, AMINTE.
ALEXANDRE.	ALEXANDRE.
F bien qu’en ditis vous?	F bien qu'en ditis -vous?
apres cette bataille FI l'ourons nous quuporter leut ſuperbe maApres les auoir mis eu fuute cette fois, Ganller Leur ſçaurons-nous eufin faite ſouffir nos loix ?	après cette bataille FI l'ourons nous quuporter lut superbe maAprès les avoir mis eu futé cette fois, Ganller Leur saurons-nous eufin faite souffir nos lois ?
Et puis qu’ils n’ofue plus ſur nous rien entreprẽdre, Pourons-nous étoufet ce feu deſſous ſa cendre?	Et puis qu'ils n'ofue plus sur nous rien entreprendre, Pourons-nous étoufet ce feu dessous sa cendre?
AMINTE.	AMINTE.
Auant que le Soleil ait acheué ſon cours, Vous verret renueiſet ces orgueilleuſes Tours, Vous ſeutitez.	Avant que le Soleil ait achevé son cours, Vous verret renuveiset ces orgueilleuses Tours, Vous seutitez.
Scigueur, ces eminentes porteSeruir de murche pieds à vos braues cohoites, Et malgré tant de force & d’obſtination, Eu Thenes vous vaincrez toute la Nation.	Scigueur, ces éminentes porteSeruir de murche pieds à vos braves cohaites, Et malgré tant de force et d'obstination, Eu Thène vous vaincrez toute la Nation.
I’y vois déja des miens la valeur toute prête.	J'y vois déjà des miens la valeur toute prête.
A LEXANDRE.	À LEXANDRE.
Il eſt vray qu’abattant cette punlante tête Les membtes reſteront dans laſloupiſlenient, Et ne nous feront plus aucun empe-hement.	Il est vrai qu'abattant cette punlante tête Les membtes resteront dans lâloupislenient, Et ne nous feront plus aucun empehément.
B.	B.
iii.	ji.
Il faut donc l’attaquer ſans aucune remiſe, De crainte que Cadmé étant par elle priſe, N’augmente deſormais ſa gloire & ſes mépris, Luy rendant de la force, & de nouueaux eſprits.	Il faut donc l'attaquer sans aucune remise, De crainte que Cadmé étant par elle prise, N'augmente désormais sa gloire et ses mépris, Lui rendant de la force, et de nouveaux esprits.
Ie loue en mes guerriers la nouuelle alegreſle Qui ſait icy pour moy qu’Aminte s’intereiſe;	Je loue en mes guerriers la nouvelle alègresle Qui sait ici pour moi qu'Aminte s'intereise;
Il ne e reſte plus qu’a ſçauoir de Raſé Ce que ces fiers Thébains contre nous out oſé.	Il ne e reste plus qu'a sçauoir de Rasé Ce que ces fiers Thébains contre nous out osé.
Ie l’ay pour cet effet enuoyé dans la Ville:	Je l'ai pour cet effet envoyé dans la Ville:
Mais il eſt de retour:	Mais il est de retour:
que cet homme eſt agile!	que cet homme est agile!
SCENE II.	SCÈNE II.
ALEXANDRE, AMINTE, NRSE IINSILE.	ALEXANDRE, AMINTE, NRSE IINSILE.
RASE' Tout n’eſt que trahiſon, Il ſaut, Seigneur, il faut en auoit ſa railon, Ils ont aſlafſiné tous vos Cheſs de Cadmiée, Et la tiennent encor de rempars enfermée, Au cque tant d’audace, & tant de vauité, Que l’on doit la furer pout prix dvn- Beauté, Et méme dés demain.	RASE' Tout n'est que trahison, Il saut, Seigneur, il faut en avait sa railon, Ils ont aslafsiné tous vos Chess de Cadmiée, Et la tiennent encor de rempars enfermée, Au cèque tant d'audace, et tant de vavité, Que l'on doit la furer pout prix dvn- Beauté, Et même de main.
ALEXANDRE.	ALEXANDRE.
Qu’eſt ce donc qu’on médite?	Qu'est ce donc qu'on médite?
Tu me ſurprens, Ruſé	Tu me surprends, Rusé
RASE.	RASE.
Sire, c’eſt leur Prothite, Qui s’étant joint pour lors a Phenix ſon Riual, Quad vos guerriers ſortis ne craignoiẽt rien de mal, Apres auoir ſa main dedans leur ſang mélée, Promet hurer dans peu la place a Timociée, I t veur eucor vn coup off ir a ſes beaux yeux Le reſt de ſes Chiſs, & ſes plus facrez lieux.	Sire, c'est leur Prothite, Qui s'étant joint pour lors a Phénix son Rival, Quad vos guerriers sortis ne craignaient rien de mal, Après avoir sa main dedans leur sang mêlée, Promet urer dans peu la place a Timociée, I t eur eucor un coup off ir a ses beaux yeux Le rest de ses Chiss, et ses plus facrez lieux.
le l’ay moy-même appris de la voix de Prothite, Ayant fait connaiſſance auec vn de la ſuite, Lors que chez cette beiſe il setoir irantporte, Oui’ay ſceu tout l’eſſort qu’il auoit projetté.	le l'ai moi-même appris de la voix de Prothite, Ayant fait connaissance avec un de la suite, Lors que chez cette beise il setoir irantporte, Oui'ai su tout l'essort qu'il avait projeté.
ALEXANDRE.	ALEXANDRE.
péja i’auois appuis cette tuſte auanture, Ou plâtot ie ſçauois cette cruelle injure qu’ils m’ot fait en mes Chefs cõtre ledroit des geus Mais i’ignorois encot ces projets obligens.	péjà j'avais appuis cette tuste aventure, Ou plâtot homme savais cette cruelle injure qu'ils m'ot fait en mes Chefs comme ledrait des gus Mais j'ignorais encot ces projets obligens.
C’eſt donc ainſi, Ruſé, qu’vn traitre s’étudie A moutrer ſou amour par vne perſi lie, Qu’il veut pour s’acquerir vne rare Beauté, Au lieu de ſes trauaux, offrit ſa lâcheté, Et que pur elle il croit ſe pouuoir faire rendre Vne place où ſamais il n’eut oſé pretendre, S’il ne ſe fut ſeruy de cet abjet moyen :	C'est donc ainsi, Rusé, qu'un traître s'étudie A moutrer sou amour par une persi lie, Qu'il veut pour s'acquérir une rare Beauté, Au lieu de ses travaux, offrit sa lâcheté, Et que pur elle il croit se pouvoir faire rendre Vaine place où samais il n'eut osé prétendre, S'il ne se fut servi de cet abje moyen :
Auis d’en venit à bout, ie l’emnecheray bien.	Auis d'en venit à bout, Elle l'emnecherai bien.
Oüy, i’ay ſeeu que mes gẽs auec cœur ſe defendent, Et que rien de dix jouts encor ils n’aprehendent.	Oui, j'ai sû que mes gants avec cœur se défendent, Et que rien de dix jouts encor ils n'appréhendent.
Ie ſçauray cependant auec dextenté Cuuerer ron forturt de mespemne.	Je saurai cependant avec dextenté Cuuerer ron forturt de mépemne.
Car outre que des miens la force eſt infime, On voit que la muraille eſt aſiez mal garnis, Et ces peuples hautains ſans prudence & ſaus yeux, Penſent qu’on dort icy, quand ils veillent clhiez eux.	Car outre que des miens la force est infime, On voit que la muraille est assiés mal garnis, Et ces peuples hautains sans prudence et saus yeux, Pensent qu'on dort ici, quand ils veillent clhiez eux.
AMINTE.	AMINTE.
Ie le ſçuy, Sire, & même vne fauſſe auenuë Qui paroiſt ſans deſenſe, eſt des nottes vonquë, Penlique eſt depuis peu party pour s’en ſaiſir, Er i’auois comme luy ce violent deſir:	Je le saisi, Sire, et même une fausse avenue Qui paraît sans désense, est des nottes vonquue, Penlique est depuis peu parti pour s'en saisir, Er j'avais comme lui ce violent désir:
Mais i’ay crû ne deuoir étre de la paitie, Que vôtre Mujeſté n'en ut bien auerue, Et qu’elle ne m’eût dit & le temps & les lieux D'attaquer & de vaincre vn homme audacieux.	Mais j'ai cru ne devoir être de la paitie, Que votre Mujesté n'en ut bien averve, Et qu'elle ne m'eût dit et le temps et les lieux D'attaquer et de vaincre un homme audacieux.
Oüy, Seigueur, c en eſt fut, la choſ- eſt legirime, Ce malheureux aura la pemne de ton crime:	Oui, Seigueur, ç en est fut, la chos- est légirime, Ce malheureux aura la pemne de ton crime:
Mais puis-ie aucc raiſon eſtuner malheureux Celuy qui goûte vn bien ſi loux, ſi ſauoureux, It qui ſentant d’ailleurs ſà lontune bante.	Mais puis-je aucc raison estuner malheureux Celui qui goûte un bien si loux, si savoureux, It qui sentant d'ailleurs sà lontune bante.
Sa vertu ma heureuſe, & ſa faute punie, Eſt toujouts trop heureux ( ſi c’eſt vne vertu Que de tuuire vn chemin ju Amour a ſeut batu:	Sa vertu ma heureuse, et sa faute punie, Est toujouts trop heureux ( si c'est quelque vertu Que de tuvre un chemin ju Amour a seut battu:
Et ſoit que la Fortune, ou quelque autre péeſſe, Vienne pour le choquer legere u vengereſle, Vne bien plus aimable, & dont il eſt chety, Fait que du Sort ſans elle on n’eſt paeſauory, Is pafle d’vu Thebain car grace à mon Monarque, Nous portons ſur nos flõts vne plus belle marque, Et ſa grandeur me donne vn ſi ſublime employ que ie vois la Fortune être au deflous de moy.	Et soit que la Fortune, ou quelque autre péesse, Vienne pour le choquer légère ouv vengerez, Âme bien plus aimable, et dont il est chéti, Fait que du Sort sans elle on n'est paésavori, Is pâle d'une Thebain car grâce à mon Monarque, Nous portons sur nos fleurs une plus belle marque, Et sa grandeur me donne un si sublime emploi que je vois la Fortune être au déflous de moi.
Auſſi hormi« l’houneur de ſeruir Alexandre, A ſcruit Cmoclée il me faudroit pretendre.	Aussi hormi " l'houneur de servir Alexandre, A scruit Cmoclée il me faudrait prétendre.
