Imprimé à Enuers.	Imprimé à Envers.
Dleut te gara lrciicent;	Dlut te gara lrciicent;
Le premier Preſident-	Le premier President-
Mais le diable te garde.	Mais le diable te garde.
Ie ſuistrés-bien gardé ie ne puis eſchapper, Et ny vois pas ſifort qu’on ne peuſt m’attrapcr:	Je suistrès-bien gardé ainsi ne puis échapper, Et ni vois pas sifort qu'on ne pût m'attrapcr:
Car ie ſuis enchaiſné par les pieds & par lateſte, Et par le deſaux da corps tout ainſi qu’yne beſte.	Car ie suis enchaîné par les pieds et par lateste, Et par le desaux da corps tout ainsi qu'yne bête.
Qui t’a ſi bien lié:	Qui t'a si bien lié:
Le Caramim	Le Caramim
Le premier Preſidant.	Le premier Presidant.
Miſerable c’eſt toy?	Misérable c'est toi?
Le Cardinal.	Le Cardinal.
Ie n’y ay pas ſonge, ie t’ayme trop;	Je n'y ai pas songe, ie t'aime trop;
Le premier Preſident.	Le premier President.
Pour moy:	Pour moi:
Ton amour a cauſé les tourmens quo i’endure:	Ton amour a causé les tourments qu 'endure:
Ta damnable amitié m’a mis à la torture;	Ta damnable amitié m'a mis à la torture;
Pour auoir corrompu ſuiuant ta volonté:	Pour avoir corrompu suivant ta volonté:
La Iuſtice & le droict, meſpriſé l’équité, Oublié les deuoirs d’vn homme de ma ſorte, Enuers le hien public on m’a fermé la porte.	La Justice et le droit, méprisé l'équité, Oublié les devoirs d'un homme de ma sorte, Envers le hien public on m'a fermé la porte.
Et exilé du Ciel pour venir aux enſers,  a Me voir chargé de coups & ployé ſoubs les fers;	Et exilé du Ciel pour venir aux ensers, à Me voir chargé de coups et ployé sous les fers;
43 Hâ!	43 Hâ!
que ſi l’on pouuoit reſſentant tant depeynes, Auoir quelque plaiſir que le chant des ſercynes, Que la poſſeſſion de ces riches treſors, Qui Corrompent l’eſprit ayant gaſté le corps, Ne me cauſeroient pas vne ſi grande ioye, Comme i’en receurois de te ſçauoir la proye, Des flames qui touſiours nous font viure en mourant,	que si l'on pouvait ressentant tant dépeines, Avoir quelque plaisir que le chant des sercynes, Que la possession de ces riches trésors, Qui Corrompent l'esprit ayant gâté le corps, Ne me causeraient pas une si grande joie, Comme j'en recevrais de te savoir la proie, Des flammes qui toujours nous font vivre en mourant,
Le Cardinal.	Le Cardinal.
Preſident ie m’en vais,	Président belle m'en vais,
Monſieur le premier Preſident.	Monsieur le premier President.
Pouſſe grand Ignorant,	Pousse grand Ignorant,
Et va voir i’cy prés l’Intendant des Finances, Le Cardinal, & Monſieur de Bullion.	Et va voir j'cy près l'Intendant des Finances, Le Cardinal, et Monsieur de Bullion.
Holà petit Bachus:	Holà petit Bachus:
Le Carainal.	Le Carainal.
Mouſieur & Rollian.	Mousieur et Rollian.
Cauſe de mes ſouffrances?	Cause de mes souffrances?
Qui t’amaine en ce lieu ta ſotte vanité.	Qui t'amaine en ce lieu ta sotte vanité.
.	.
Le Cardinal.	Le Cardinal.
146 Fais moyplace pourvne éternité.	146 Fais moiplace pourvne éternité.
Monſieur de Bullion.	Monsieur de Bullion.
Au diable ſoit le ſot qui voudroit te complaire, Ie ſcay ce qu’en vautlauſnę infame ſangumnaire, Pour t’auoir aſſiſté lors qu’entre les Mortels, Tu voulois les honneurs qu’on doit aux immortels, Tu me vois en ce lieu tout accablé de chaiſnes, Tu me vois mal heureux dans les fers & les geſnes, las tu veupres d'ſey ie prenner freſident.	Au diable soit le sot qui voudrait te complaire, Je sais ce qu'en vautlausnę infâme sangumnaire, Pour t'avoir assisté lors qu'entre les Mortels, Tu voulais les honneurs qu'on doit aux immortels, Tu me vois en ce lieu tout accablé de chaînes, Tu me vois mal heureux dans les fers et les gênes, las tu veupres d'sey aux prenner fresident.
Le Cardinal.	Le Cardinal.
Ony ie le viens de voir braue ſur-intendant.	Oni ici le viens de voir brave sur-intendant.
Monſieur de Bullion.	Monsieur de Bullion.
Que neta-t’il donné la moitié de ſa place.	Que neta-t-il donné la moitié de sa place.
Le Cardinal.	Le Cardinal.
ain en auolt pas trop.	ain en avolt pas trop.
Monſieur de Bulliou,	Monsieur de Bulliou,
Le Pere à la bezace.	Le Père à la bace.
C'eſt homme te deuoit faire la Charité, Eſtant participant de ton iniquité.	C'est homme te devait faire la Charité, Étant participant de ton iniquité.
Le Cardinal.	Le Cardinal.
Ie ne viens pas icy pour aller à Confeſſe.	Je ne viens pas ici pour aller à Confesse.
Manſiour ds Rullion.	Mansiour ds Rullion.
Ilfaudra neantmoins te Confeſſer ſans ceſſe, Mes Diubies te rerone acauie les raitons, Pourquoy tu detenois tanr de monde és priſon, Pourquoy enuoyois-tu tant de nonde au ſupplice, Bref tu raconreras tous tes traics de malice, Dont tu as troy vſé pour faire nettre a mort, Pluſieurs grands Sei gneurs le olus ſouuent atort.	Ilfaudra néanmoins te Confesser sans cesse, Mes Divbies te rerone accavie les raitons, Pourquoi tu détenais tanr de monde ès prison, Pourquoi envoyais-tu tant de nonde au supplice, Bref tu raconreras tous tes traics de malice, Dont tu as trois ès pour faire nettre a mort, Plusieurs grands Sei eurs le olus souvent atort.
Le Caidinal.	Le Caidinal.
re ſuis mal a Cheu il i’en aucay bien à dire, Mateir le Bulleon Tant plus ta ſoaffaras de pein& de Martyre	re suis mal à Cheu il j'en aucai bien à dire, Mateir le Bulleon Tant plus ta souffaras de peinq de Martyre
