LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Toy pere ie t’inuoque, & teprie à mains ioincles, Enuoyer ſur ce chef ton tonnerre à trois poinctes Sur ta meſchante brus, arrache la d’icy, De ton traict plus peſant, tonne & tempeſte ainſi, Que tu tonnois en Phlegre, enuoye luy ce foudre Dont l'Echydue debuoir eſtre reduite en poudre?	Toi père autre t'invoque, et teprie à mains joincles, Envoyer sur ce chef ton tonnerre à trois pointes Sur ta méchante brus, arrache la d'ici, De ton trait plus pesant, tonne et tempête ainsi, Que tu tonnais en Phlègre, envoie lui ce foudre Dont l'Échydue déboir être réduite en poudre?
Sans la force d'Hereule, ô vien vien?	Sans la force d'Hereule, ô viens vien?
luy dardant Le traict dont Phaethon tomba du Ciel ardant.	Les dardant Le trait dont Phaéthon tomba du Ciel ardant.
I’ay porté plus de mal, causé plus de dommage Que n’en porta iamais ce ieune homme volage.	J'ai porté plus de mal, causé plus de dommage Que n'en porta jamais ce jeune homme volage.
Rauirle grand Hereule appuy de l’vniuers, C’eſt pire que guider le Soleil de trauers, Tomber de ſa charrette errante & vagabonde, Et de nouuelle ſlame embraſer tout le monde:	Ravirle grand Hereule appui de l'univers, C'est pire que guider le Soleil de travers, Tomber de sa charrette errante et vagabonde, Et de nouvelle slamme embraser tout le monde:
Mtais que vays tules Dieux chetiue importunant!	Mtais que vais -tules Dieux chétive importunant!
Eſpargne ton beau pere.	Épargne ton beau père.
& ſon ſoudre tonnant, Il n’eſt pasbien ſceant à la femme d’Alode De ſouhaiter la mort, quand ſa dextre homicide Peut fouruis à ſes vœux, qu’eſt-ce que nous tardons, Prenons prenons de nous te que nous demandons:	et son soudre tonnant, Il n'est pasbien séant à la femme d'Alode De souhaiter la mort, quand sa dextre homicide Peut fourvis à ses vœux, qu'est-ce que nous tardons, Prenons prenons de nous te que nous demandons:
Il faut ſaiſir vn ſer, il faut que ie me tue, M’enſonçant daus le ſem vne lame pointue Vne lame, & pourquoy m’en iroy-je ferir?	Il faut saisir un ser, il faut que je me tue, M'ensonçant daus le sem blé la pointue Une lame, et pourquoi m'en iroi-je férir?
I'ay mille autres moyens de me faire mourir:	J'ai mille autres moyens de me faire mourir:
Ne peut pas ſans le fer ma vie eſtre acheuée Me iettant du ſommet d’vne roche eſleuee, Adous alous ſur Ete où ſon haut faiſte ſent Les premiers rais du iour au matin renaiſſant.	Ne peut pas sans le fer ma vie être achevée Me jetant du sommet d'une roche élève, Adous alous sur Éte où son haut te sent Les premiers rais du jour au matin renaissant.
I’iray grimper laſus, & à teſte aualée Precipiter mon corpi du faiſte en la valée.	J'irai grimper lasus, et à tête avalée Precipiter mon corpi du faîte en la valée.
Chaſque rochie ait ſa part de mes membres rompus, Leuri halieri eſpineux de mon ſang ſoyent repeus, Qu’ils eu rougiſſent tous, mais vne mort ſoudaine Pour vn ſi grand forfaict eſt trop legere peine, Vn treſpas ne ſuffit, & ne peux toutesfois Eu vengeant mon forfaict treſpaſſer qu’vne fois, Mais ma peine en mourant peut bien eſtre eſtendus.	Châque rochie ait sa part de mes membres rompus, Leuri halier épineux de mon sang soient repeus, Qu'ils eu rougissent tous, mais une mort soudaine Pour un si grand forfait est trop légère peine, Un trépas ne suffit, et ne peux toutefois Eu vengeant mon forfait trépasser qu'une fois, Mais ma peine en mourant peut bien même étendus.
Et quoy mon ame!	Et quoi mon âme!
& quoy n’estu pas entendue A choiſir vue mort?	et quoi n'est pas entendue À choisir vue mort?
ô que ne ſont icy Sa maſſe, ſon carquois & ſes fleſches außyc’iſt ſur tas armes là qu’il faut que ie merue	ô que ne sont ici Sa masse, son carquois et ses flèches aussyc’ist sur tas mes là qu'il faut que personne merve
C’eſt de ces armes là qu’il faut que ie metue!	C'est de ces armes là qu'il faut que sans métue!
Eſt.	Est.
ce aſſez de mounir d’vne main ſeullement, Noν, nenny, cette mort ne ſuſfit voyrement, Peuples aſſemblés vous de toutes partz du monde Eſmouuez contre moy, le Ciel la Terre & l'onde, Courés tous, armís vous, pour venger au jourdhux Celle qui vient de perdre Hercule voſtre appuy.	ce assez de mounir d'une main seullement, Noù, nenni, cette mort ne susfit voyrement, Peuples assemblez vous de toutes parts du monde Esmouuez contre moi, le Ciel la Terre et l'onde, Courez tous, armís vous, pour venger au jourdhux Celle qui vient de perdre Hercule votre appui.
Or peuuent les Tyrans exercer leur contrainte, Les monſtres maintenant peuuent naiſtre ſaus crainte, On verra deſormais on verra les mortels De leur ſang innocent empourprer les autels I’ay le monde expoſé aux meurtres aux pillages, Aux ſuperbes Tyrans & aux monſtres ſauuages.	Or peuvent les Tyrans exercer leur contrainte, Les monstres maintenant peuvent naître sa crainte, On verra désormais on verra les mortels De leur sang innocent empourprer les autels J'ai le monde exposé aux meurtres aux pillages, Aux superbes Tyrans et aux monstres sauvages.
Compaigne du tonnant pourquoy ne lances tu Les traits de ton eſpoux ſur mon chef abbatu?	Compagne du tonnant pourquoi ne lances tu Les traits de ton époux sur mon chef abattu?
Que ne viens tu Iunon d’vn grandcoup de tempeſte Me perdre, m'aſſommer m’acrauanter la teſte, Ie t’ay rauy l’honneur que tu recherchois taut, Entre mille dangors mon Hercule iettant, Dont il ſortoit vainqueur triomphant de ta honte:	Que ne viens tu Junon d'un grandcoup de tempête Me perdre, m'assommer m'acravanter la tête, Je t'ai ravi l'honneur que tu recherchais taut, Entre mille dangors mon Hercule jettant, Dont il sortait vainqueur triomphant de ta honte:
Triomphe ores d’Hercule & de moy qui le domte, Tu le peus à ce coup, ſus Royne auance toy Pour triompher de luy, ſaut triempher de moyNour Ne vous affligez point ô eſpouſe Hereulé:	Triomphe ores d'Hercule et de moi qui le domte, Tu le pus à ce coup, sus Royne avance toi Pour triompher de Seigneur, saut triempher de moyNour Ne vous affligez point ô épouse Hereulé:
Voſtre maiſon deſia n’eſt que trop deſolée, Ce deuil que vous menez coule inutillement, Le mal fait par erveur ſe pardonne aiſement.	Votre maison déjà n'est que trop désolée, Ce deuil que vous menez coule inutillement, Le mal fait par erveur se pardonne aisément.
Deia.	Déjà.
Quand la faute eſt commiſe on n'extuſe perſonne, Digne eſtoit de faillir celuy qui ſe pardonne.	Quand la faute est commise on n'extuse personne, Digne était de faillir celui qui se pardonne.
Nou.	Nov.
Il cherche ſon treſpas qui veut ſembler meſchant.	Il cherche son trépas qui veut sembler méchant.
Deia.	Déjà.
Qui peche par erveur s’excuſe en le cherchant, Nour.	Qui pèche par erveur s'excuse en le cherchant, Nour.
Fuirés vous le Soleil Dei, Qui de moy ſe recule, No.	Fuirez -vous le Soleil Di, Qui de moi se recule, No.
Vous mourrez miſerable De, en ſuiuãt mõ Hereule No.	Vous mourrez misérable De, en suivant mon Hèreule No.
Hereule vit encor De Helas il n’a veſcu Des qu’il a commencé pouuou eſtre vaintu.	Hèreule vit encor De Hélas il n'a vécu Des qu'il a commencé pou estre vaintu.
No Veus laiſſez vos enfant.	No Vus laissez vos enfant.
De- I'accõpaigne leur pere, Celle vit trop qui void ſon mary dans la biere.	De- J'accõpaigne leur père, Celle vit trop qui voit son mari dans la bête.
uant, No.	uant, No.
Suiurez vous voſtie eſpoux?	Suivrez -vous vostie époux?
De.	De.
Les chaſtes võt deNo.	Les chastes vont deNo.
Condemnant vn meffaict vous l’allez approuuant.	Condemnant un méfait vous l'allez approuvant.
Deia.	Déjà.
Iamais ne ſe punit pour la faute commiſe Quile faict de malice Nor On la ſouuent remiſe A ceux qui par erveur font mal en bien penſant.	Jamais ne se punit pour la faute commise Quile fait de malice Nor On la souvent remise A ceux qui par erveur font mal en bien pensant.
De.	De.
I’ay la dextre coupable, & le cœur innocent.	J'ai la dextre coupable, et le cœur innocent.
No.	No.
Qui pourroit iuſtement blaſmer ſes deſtinees?	Qui pourrait justement blâmer ses destinées?
Dei.	Déi.
Qui les void comme moy à ſa perte obſtinée.	Qui les voit comme moi à sa perte obstinée,
No.	No.
Luy meſme ſon eſpouſe, & ſes fils aſſena D’vne main furieuſe, & ßi ſe pardonna, Lauant aupres d’Amon ſa dextre parricids;	Lui même son épouse, et ses fils assena D'une main furieuse, et ussy se pardonna, Lavant auprès d'Amon sa dextre parricids;
Imitez ie vous prie en cela voſtre Alcide.	Imitez -je vous prie en cela -même Alcide.
He!	He!
Dieu que faictes vous, pourquoy vous blaſmez voſie Dei Pour le tort que i’ay faict cruelle à mon eſpoux.	Dieu que faites -vous, pourquoi vous blâmez vosie Di Pour le tort que j'ai fait cruelle à mon époux.
C’eſt luy qui me sondemne, il faut que i’obeiſſe, A ſa iuſte ſentence, & que ie me puniſſe, Ie l’ay trahy meſchante, en fraude;	C'est lui qui me sondemne, il faut que j'obéisse, À sa juste sentence, et que sans me punisse, Je l'ai trahi méchante, en fraude;
& c’eſt raiſon Que ie venge ſur moy ma fauſſe trahiſon.	et c'est raison Que ie venge sur moi ma fausse trahison.
No.	No.
Vous vous dejſieZ trop de ſa force indomptee, Ceſte douleur par luy peut eſtre ſurmontes, Sy ie le cognois bien il reuiendra vainqueur:	Vous vous dejsieZ trop de sa force indompté, Cette douleur par notre peut être surmontes, Sy ie le connais bien il reviendra vainqueur:
Aadame penſez vous qu’il ait faute de cœur?	Aadame pensez -vous qu'il ait faute de cœur?
Dei- L’Hydre le va rongeant de ſon venin funeſte, Ses membres ſont desja deuoreZ de la peſte, Il u’en peut eſchaper.	Dei- L'Hydre le va rongeant de son venin funeste, Ses membres sont déjà dévorés de la peste, Il en peut eschaper.
No.	No.
L’hydre ce fier ſerpent, Becond à ſon dommage en ſon palus rampant, Le couurant de poiſon tomba ſous ſa main forte, Illa vainquit viuante, il la peut vaincre morte, Neſſe pour l’offencer ne fut pas aſſez fort.	L'hydre ce fier serpent, Becond à son dommage en son palus rampant, Le couvrant de poison tomba sous sa main forte, Illa vainquit vivante, il la peut vaincre morte, Nesse pour l'offenser ne fut pas assez fort.
Quand il eſtoit viuant le peut il eſtre mort?	Quand il était vivant le peut il être mort?
Dẽ.	Dien.
Quãd de mourir vn coup, il nous prẽd quelque eullie, C’eſt en vain qu’on s’es force à nous teniren vie, Tonimportunité ne me peut ſicoarir,	Quand de mourir un coup, il nous prend quelque eullie, C'est en vain qu'on s'es force à nous tenir vie, Tonimportunité ne me peut sicoarir,
Retire toy nourrice & me laiſſe mourir.	Retire toi nourrice et me laisse mourir.
No.	No.
Madame voulez vous eſtre voſtre homicide De.	Madame voulez -vous être votre homicide De.
Il ne meurt point trop toſt qui meurt auec Alcide.	Il ne meurt point trop tôt qui meurt toujours Alcide.
No.	No.
Par ces cheueux griſons, blanihis en vous ſeruant, Ce ſein que voſtre bouche allaicta ſi ſouuant, Ne vous offenceZ point, ie vous prie madame, Et ce mortel deſir arracheZ de voſtre ame, Dei, Celuy couue en ſon cœur trop plus de cruauté Qui veut ſauuer vn autre outre ſa volonté.	Par ces cheveux grisons, blanihis en vous servant, Ce sein que votre bouche allaita si souvant, Ne vous offensez point, on vous prie madame, Et ce mortel des arrachez de votre âme, Dei, Celui couve en son cœur trop plus de cruauté Qui veut sauver un autre outre sa volonté.
L’attente eſt vn tourment, lu peine qu’on endure En attendant la mort, plus que la mort eſt dure, No.	L'attente est un tourment, lu peine qu'on endure En attendant la mort, plus que la mort est dure, No.
Pourtant c’eſt vne peine.	Pourtant c'est une peine.
De.	De.
Et ſouuent vn guerdõ, Qui ſert aux malheureux d’excuſe & de pardon, No.	Et souvent un guerdion, Qui sert aux malheureux d'excuse et de pardon, No.
Aumoingi deuant la mort monſtrez luy miſerable, Que vous fuſtes deceuë, & n’eſtes point coupable.	Aumoingi devant la mort montrez Seigneur misérable, Que vous fûtes déçue, et n'êtes point coupable.
Dei, Les manesinſeruaux la bas me deffendront, mnnufſpagui faitmamant luy m’abſoudront, Aſoy meſme contre moy prononce la ſentence, Mais leur ſeuert Roy, lauera mon offence:	Dis, Les manesinservaux la bas me défendront, mnnufspagui faitmant Seigneur m'absoudront, Asoy -même contre moi prononce la sentence, Mais leur sévert Roi, lavera mon offense:
I'y deſcendraypremiere, & l’iray cependant, Sur les bords oublieux ombre vaine attendant.	J'y descendraipremière, et l'irai cependant, Sur les bords oublieux ombre vaine attendant.
Quiconque vous ſoyez fidelles eſpouſces, Fermex moy le chemain des plaines Elyſees?	Quiconque vous soyez fidèles épousces, Fermex moi le chemain des plaines Élyses?
Deianire ne doibt en cei heureux vergers, Par les beaux eſchiquiers des iaunes orengers, Errer aupres de vous, & ſouiller vos campaignus;	Dianire ne doibt en cei heureux vergers, Par les beaux échiquiers des jaunes orengers, Errer auprès de vous, et souiller vos campagnus;
Les Belidis ſeront ſes plus dignet compaignes:	Les Bélidis seront ses plus dignet compagnes:
Et ſi quelque autre encore oubliant ſon debuoir, A faict à ſon eſpoux le treſpas recepuoir, Impiteuſe & cruelle, il faut qu’elle m’attende:	Et si quelque autre encore oubliant son débuoir, A fait à son époux le trépas recepuoir, Impiteuse et cruelle, il faut qu'elle m'attende:
Ie m’en vay la trouuer & acroiſtre leur bande.	Je m'en vais la trouver et acroître leur bande.
O toy qui te vangeas d’vn couſteau meurtriſſeur, Soistu mere mhumaine, eu inhumaine ſœur.	Ô toi qui te vengeas d'âme couteau meurtrisseur, Soistu m humaine, eu inhumaine sœur.
Reçoy moy pour compaigue, eſpouſe Phaſienne, Fille di Pandion eſpouſe Thracienne,	Reçois -moi pour compague, épouse Phasienne, Fille di Andion épouse Thracienne,
Teſio is de voſtre troupe, & toy mere en ton raug Reconuoy maintenant lecrime de ton ſang, Et me reçoy labas compaigne de tonombre, Plus meſehante que toy i’augmenteray leur nombrs, Et ce troupeau ſouillé de crimes inhumains Encore abhorrera lecrime de mes mains.	Tesio is de votre troupe, et toi mère en ton ravg Reconuoy maintenant lecrime de ton sang, Et me reçois labas compagne de tonombre, Plus mesehante que toi j'augmenterai leur nombrs, Et ce troupeau souillé de crimes inhumains Encore abhorrera lecrime de mes mains.
Quaque part que ta teſte ores ſout languiſſante, Sçache ô mon cher eſpoux que ie ſuis innocente, Le crime que i’ay fait inuincible moitié Tant enorme ſoit-il ne vient que d’amitié.	Quaque part que ta tête ores sout languissante, Sache ô mon cher époux que ie suis innocente, Le crime que j'ai fait invincible moitié Tant énorme soit-il ne vient que d'amitié.
Na main a fait le mal helas!	Na main a fait le mal hélas!
mais ma penſée Des feux d’vn amour chaſte eſt ſainctement pouſſes, O Centaure abuſeurl ô preſent menſongor!	mais ma pensée Des feux d'âme amour chaste est sainte pousses, Ô Ment abuseurl se mensongor,
O moy femme trop prompte à croire de leger!	Ô moi femme trop prompte à croire de léger!
Qui penſant r’appeller voſtre amour qui m’eſt deüs Ay voſtre chere vie & voſtre amour perdue.	Qui pensant rappeler votre amour qui m'est deus Ai votre chère vie et votre amour perdue.
Cache tou œil Phœbus & toy douce clarté A qui le grand Hertule eſt par mon crime oſté, Qui retieus par eſpoir le miſerable en vie, De vous reuoir iamais i’ay perdu toute enuie.	Cache tou œil Phœbus et toi douce clarté A qui le grand Hertule est par mon crime ôté, Qui retieus par espoir le misérable en vie, De vous revoir iamais j'ai perdu toute envie.
A dieu ſaincte lumiere, adieu bel œil des Cieux, Deſormiis vos rayons ne luyront à mes yeux, Ie vais ores couurir en la foreſt ombreuſe, Aton crime & mes ennuis d’vne nuit tenebreuſe.	À dieu sainte lumière, adieu bel œil des Cieux, Désormiis vos rayons ne luiront à mes yeux, Je vais ores couvrir en la forêt ombreuse, Aton crime et mes ennuis d'une nuit ténébreuse.
Et vous moncher oſpoux ie vous prie aprenez Que mon mal eſt ſans fraude, & me le pardonnez.	Et vous moncher ôpoux on vous prie aprenez Que mon mal est sans fraude, et me le pardonnez.
Amour en eſt l’autheur, & puis que i’en trepaſſe, Pour le moins que ie meure en voſtre bonne grace:	Amour en est l'auteur, et puis que j'en trepasse, Pour le moins que de meure en votre bonne grâce:
Ie vous verſe mon ſang, ſoyez en ſatisfait, Et ne vous ſouuenez du crime que i’ay fait.	Je vous verse mon sang, soyez en satisfait, Et ne vous souvenez du crime que j'ai fait.
Hyla.	Hyla.
Mia mere voſtre faute eſt bien digne d’exeuſe, C’eſt la vigueur du Ciel non pas vous que i’acuſe.	Mia Mère votre faute est bien digne d'exeuse, C'est la vigueur du Ciel non pas vous que j'acuse.
Deia.	Déjà.
Situ cheris ton pere, Hylle que tardes tu, Dans le ſein maternel plonge ton ſer pointu?	Situ chéris ton père, Hylle que tardes tu, Dans le sein maternel plonge ton serv pointu?
Pourquey tremble ta main?	Pourquei tremble ta main?
te manque le tourage	te manque le tourage
Ce forfait eſt pieux, tourne à moy ton riſage, Ie te rauut Hercule, il eſt mort maintenant Celuy qui te donnoit pour ayeul le tonnant:	Ce forfait est pieux, tourne à moi ton risage, Je te ravut Hercule, il est mort maintenant Celui qui te donnait pour aïeul le tonnant:
Ala main;	Ala main;
ma traiſtre main eſt ſa triſte meurtriert Ie ne te donnay tant tedonnant la lumiere Que ie te viens d’oſter par ce don malheureux, O genereux enfant d’vn pere genereux!	ma traître main est sa triste meurtriert Je ne te donnai tant tedonnant la lumière Que ie te viens d'ôter par ce don malheureux, Ô généreux enfant d'Un père généreux!
Venge, veuge ſus moy les douleurs de ton pere, Et ſi tu ne le ſçais aprens le de ta mere.	Venge, veuge sus moi les douleurs de ton père, Et si tu ne le sais apprends le de ta mère.
Veux tu cacher ton fer dans von coulpable ſang Ie te tends le goſier, l’eſtomac, ou le flanc:	Veux tu cacher ton fer dans von coulpable sang Je te tends le gosier, l'estomac, ou le flanc:
oùtu voudras fraper de ta mortelle pointe Ie receuray le coup de mon treſpas ſans crainte, Tune ſeras tout ſeul blaſmé de cruauté, Car mourant de ta main c’eſt par ma volonté Fils d’Hercule as tu peur?	oùtu voudras frapper de ta mortelle pointe Je recevrai le coup de mon trépas sans crainte, Tune seras tout seul blâme de cruauté, Car mourant de ta main c'est par ma volonté Fils d'Hercule as tu peur?
connois tonorigine mumnn poiſſe ueu fauumx de ma poiclrine.	connais tonorigine mumn ousse eu fauumx de ma poicline.
Ainſi mon cher enfant à iamais puiſſe-tu De ton grand geniteur imiter la vertu, Franc des commandemenid'vn ſuperbe Euryſtée.	Ainsi mon cher enfant à jamais puisse-tu De ton grand géniteur imiter la vertu, Franc des commandemenid'H superbe Eurystée.
Et ſi le Ciel la Terre ou la Mer iitée Enfantent quelque monſtre ou quelque meſchant Roy, Puiſſent ils abatus trebuſcher deſſous toy.	Et si le Ciel la Terre ou la Mer iitée Enfantent quelque montre ou quelque méchant Roi, Puissent ils abattus trebûcher dessous toi.
Frape ie te pardonne.	Frappe Seigneur te pardonne.
& les grands fouëts qui ſounent Aux mains des noires ſœuri auec moy te pardonnent, Elles vieunent vers mey, i’entens leur triſte bruit, Leurs couleuures ie voids, O filles de la nuict!	et les grands fouents qui sounent Aux mains des noires sœuri avec moi te pardonnent, Elles viennent vers mey, j'entends leur triste bruit, Leurs couleuvres ainsi voids, Ô filles de la nuit!
Lailque me vouleZ vous, que vouleZ vous cruelles, Pourquoy me batez vous la face de vos ailles?	Lailque me voulez -vous, que voulez -vous cruelles, Pourquoi me bâtez -vous la face de vos ailles?
A quoy ces longi ſerpents, las!	À quoi ces longi serpents, las!
à quoy noires ſaur, Ces funeſtes flambeaux & ces fouëts puniſſeurs, M’appelle mon Hercule à la mort deſeruie:	à quoi noires saur, Ces funestes flambeaux et ces soues punisseurs, M'appelle mon Hercule à la mort déservie:
Ie luy verſe mon ſang & luy paye ma vie, Que veux tu Tyſiphone as tu ia ven ſieger Les conſeillers d’enſer afn de me inger	Je te verse mon sang et lui paye ma vie, Que veux tu Tysiphone as tu ja ven siéger Les conseillers d'enser afn de me inger
Qu'endure inceſſemmant la tourbe criminelle.	Qu'endure incessemant la tourbe criminelle.
Et quel eſt ce vieillard qui à force de bras Pouſſe en haut vurocher qui tourne contre bas?	Et quel est ce vieillard qui à force de bras Pousse en haut vurocher qui tourne contre bas?
Qui celuy qu’vn vautour d’vn bec croche d’eſchire?	Qui celui qu'un vautour d'un bec croche d'échire?
Celuy qui tout autour d’vne meulle ſe vire?	Celui qui tout autour d'une meulle se vire?
Pardonne moy Megere, arreſte ces cordeaux, Ces ſeux, cus fouets ſonnants, & ces noirs couleureuux!	Pardonne moi Mégère, arrête ces cordeaux, Ces seux, cvs fouets sonnants, et ces noirs couleurevux!
Qon crime vient d’amour, que dis-je ous eſt allec Leur troupe menaçante, où eſt elle volee?	Quon crime vient d'amour, que dis-je ous est alléc Leur troupe menaçante, où est elle volée?
La terre me deffaut, i’entens vn bruit diuers, Ie voy contre mon chef leuer tout l’vniuers, Et voy de ious coſtez peuples qui me tiraçent, Et pour leur deffenſeur d’vne voix me menaģent.	La terre me défaut, j'entends un bruit divers, Je vois contre mon chef luer tout l'Hivers, Et vois de jous côtés peuples qui me tiraçent, Et pour leur défenseur d'une voix me menaģent.
Pardonnez moy Citez ie m’en fuis à la mort, C’eſt ma ſeulle deffence, & mon vnique port, Ne me preſſez plus tant, car ma fin eſt certaine.	Pardonnez -moi Citez ie m'en fuis à la mort, C'est ma seulle défense, et mon unique port, Ne me pressez plus tant, car ma fin est certaine.
Ie me vais efforcer de me ietter de peine, M'arachant de vos mains:	Je me vais efforcer de me jeter de peine, M'arachant de vos mains:
maisi’atteſte les Dieux, Le Soleil flamboyant, & ſon char radieux, Et vous peuples außsy, tous tous ie vous atteſte, Qu'Hercule ſuruiuant apres ma mort vous reſte.	maisj'atteste les Dieux, Le Soleil flamboyant, et son char radieux, Et vous peuples aussi, tous deux g vous atteste, Qu'Hercule survivant après ma mort vous reste.
Hyl Elle court forcenee & ſon mortel deſſein Luy va precipiter le couſteau danyle ſein, Que dois ie faire las!	Hyl Elle court forcenée et son mortel dessein Lui va précipiter le couteau danile sein, Que dois assez faire las!
la pieté miſerable, M’oppoſant au deſſein de ma mere mourable.	la piété misérable, M'opposant au dessein de ma mère mourable.
Mon pere eſt offencé, mais ſi je ſouſfre ainſi, Qu'elle s’aille taer mon pere l’eſt außy:	Mon père est offensé, mais si je souffre ainsi, Qu'elle s'aille taer mon père l'est aussi:
Face ou ne face rien, ie ſuis touſiours impie, ui faut il arreſter ſa montelle furie.	Face ou ne face rien, je suis toujours impie, ui faut -il arrêter sa montelle furie.
NE fls de Caliope, CQui d'vn ſon rauiſſant, Surle mont de Rhodope Sa lyre alloit pinçant.	NE fls de Caliope, CAlQui d'un son ravissant, Surle mont de Rhodope Sa lyre allait pinant.
Plein de diuinité Chantoit la verité.	Plein de divinité Chantait la vérité.
» Q'au monde miſerable, n Les affarres ſlotants » N’ont ren de perdurable, »Contre la faulx du temps, »Et que ce qui naiſſoit »A la fin periſſoit.	" Q'au monde misérable, nô Les affarres slotants " N'ont ren de perdurable, »Contre la faulx du temps, »Et que ce qui naissait »A la fin périssait.
Les torrents, les nuieres Entendanti ſa chanſon, Gros d’humeurs printanieres, S’arreſterent au ſou, Et retindrent leur cours, Au bruit de ſon diſcours.	Les torrents, les nuières Entendanti sa chanson, Gros d'humeurs printanières, S'arrêtèrent au sou, Et retindrent leur cours, Au bruit de son discours.
Le Byſtone en ſes bornes Eſtonné regardoit, Que l’Hlebre de ſes cornes Ses valons ne fendoit, Et tout rauy penſoit, Que ſon eau tanſſoit.	Le Bystone en ses bornes Étonné regardait, Que l'Hélèbre de ses cornes Ses valons ne fendait, Et tout ravi pensait, Que son eau tantssait.
Les foreſts rejouies Sa muſique ſuiuoient.	Les forêts réjouies Sa musique suivaient.
A ſes chauſons ouyes Les arbres ſe mouuoient, Qui conduiſoient en l'aſt Les oiſeaux ſans voler.	À ses chausons ouïes Les arbres se mouvaient, Qui conduisaient en l'ât Les oiseaux sans voler.
Sila foreſteſmeue Rue ſe peatauancer,	Sila forestesmeue Rue se patavancer,
A fn de la paſſer, Ilperd de ſe tenir, Tombant, le ſouueuir.	A fn de la passer, Ilperd de se tenir, Tombant, le souueuir.
Ja voix douce entendue Sur les monts orageux, Ha la charge fendue De leursfaiſtes neigeux.	Ja voix douce entendue Sur les monts orageux, Ha la charge fendue De leursnfaites neigeux.
Leur cyme s’inclinoit Aux ehanſons qu’il ſonnois, Lesplus ſauuages Feres Quittent leur cruauté, Et vont dans leurs repaire;	Leur -cime s'inclinait Aux ehansons qu'il sonnais, Lesplus sauvages Fères Quittent leur cruauté, Et vont dans leurs repaire;
Suiure le luth vouté, Qui ſant s’endommager Les ſçait toutes ranger.	Suivre le luth vouté, Qui sant s'endommager Les sais toutes ranger.
ne u Marmarique Habite aupres du Daim, Sans que la faim lepique, Et le tygre ſoudain Aux aigueaux eſt benin Le ſerpent ſans veniu.	ne X Marmarique Habite auprès du Daim, Sans que la faim lepique, Et le tigré soudain Aux aigueaux est bénin Le serpent sans veniv.
La lye douloureuſe Iuſqu’aux Manes ſuiuit, Sa maiſtreſſe amoureuſe Qu'vn ſerpent luyrauit, Leur regne ſans mercy En fut tont adoucy.	La lye douloureuse Jusqu'aux Manes suivit, Sa maîtresse amoureuse Qu'un serpent luiravit, Leur règne sans merci En fut tont adouci.
I’eau que la cour Celeſte Oſe à peine iurer, Sur ſa riue funeſte L’entendit ſouſpirer, Sans l’aide de Charon Ilpaſſa l'Acheron.	J'eau que la cour Céleste Ose à peine jurer, Sur sa rive funeste L'entendit soupirer, Sans l'aide de Charon Ilpassa l'Acheron.
Les vauiours de ritye	Les vaujours de ritye
Donnerent le loiſiA ſa rate accourſie De croiſtre a ſon plaiſir, Cependant qu’ili oyotent Les chamts qui larmoyoiens.	Donnerent le loisiA sa rate accoursie De croître à son plaisir, Cependant qu'ili oient Les champs qui larmoyoiens.
Le vieillard de Phrygie A ce coup ſe ſoula, Et le fils de Phlegie A l’heure ne roulla Ses membres à l’entour De ſon inſtable tourLes filles Danaides Adone ſe repoſoient, Etleurs cuuettes vuides Sur la nue poſoient, Siſyphe à ſon rocher Ceſſa de s'empeſcher.	Le vieillard de Phrygie À ce coup se soula, Et le fils de Phlégie A l'heure ne roulla Ses membres à l'entour De son instable tourLes filles Danaides Adone se reposaient, Éleurs cuettes vides Sur la nue posaient, Sisyphe à son rocher Cessa de s'empêcher.
L’oreille inexorable Des Parques, ceſte fois S’adoucit fauorable Aux accents de ſa voix, Sa priere entendit Et ſa ſemme rendit.	L'oreille inexorable Des Parques, cette fois S'adoucit favorable Aux accents de sa voix, Sa prière entendit Et sa semme rendit.
Maus ſon ame eſchanffee D'vne ardeur de l’auoir, Tourna les yeux d’Orphée Sur elle pour la voir, Et perdit en cherchant Le loyer de ſon chant.	Maus son âme eschanffee D'une ardeur de l'avoir, Tourna les yeux d'Orphée Sur elle pour la voir, Et perdit en cherchant Le loyer de son chant.
Eurydice renee Treſpaſſa derechef, Mais ſa lyre eſtonnée De cet autre mechef.	Eurydice renée Trépassa derechef, Mais sa lyre étonnée De cet autre mechef.
La voyant retourner	La voyant retourner
Lors de voix lamentables Le chantre conuoiteux, Sa perte regrettable Conſole en chaut piteux, „1 Que tout ce qui eſt néA mort eſt deſtiné.	Lors de voix lamentables Le chantre convoiteux, Sa perte regrettable Console en chaut piteux, „1 Que tout ce qui est néA mort est destiné.
Car la quenouille vſee De la noire Clothon, Acheue ſa fuſee Quand il plaiſt à Pluton, Toſt ou tard, foible, ou fort, Tout ſe rend à la mort.	Car la quenouille vsee De la noire Clothon, Achève sa fu Quand il plut à Pluton, Tôt ou tard, faible, ou fort, Tout se rend à la mort.
Puis que le grand Alcide Vaincu, ſouffre le coup De ſon dard homicide, Ie veux croire à ce coup, Le chant muſicien Du chantre Thracien.	Puis que le grand Alcide Vaincu, souffre le coup De son dard homicide, Je veux croire à ce coup, Le chant musicien Du chantre Thracien.
