Par J.	Par Y.
AMADOR.	AMADOR.
Vous dites bien, ſçachons ſi cette Deité Elt la Reine des bois.	Vous dites bien, sachons si cette Déité Élt la Reine des bois.
FLORRIDON.	FLORIDON.
I0 "VoqG.	I0 "VoqG.
Approchons ſa béauté.	Approchons sa béauté.
Voyez elle s’enfuit le long de cette toche.	Voyez elle s'enfuit le long de cette toche.
AMAIDOIR.	AMAIDOIR.
C’eſt qu’ole ne veut pas que perſonne l’approche.	C'est qu'ole ne veut pas que personne l'approche.
FLORIDON.	FLORIDON.
Ainſi le jour ſe cache, & nous laiſſe la nuit.	Ainsi le jour se cache, et nous laisse la nuit.
AMIDOR.	AMIDOR.
Ne connoiſſez-vous point celle-là qui s’enfuit?	Ne connaissez-vous point celle-là qui s'enfuit?
LOREN.	LOREN.
LOREN.	LOREN.
Qui cella qui s’en vat?	Qui cela qui s'en vat?
eyet noſtra veyſina, A qui je voudrin ben avey chata l’eymna.	eyet nostra veina, À qui je voudrin ben avi chata l'eymna.
AMIDOR.	AMIDOR.
Vous eſtes ſon voiſin?	Vous êtes son voisin?
quoy ce ne ſeroit pas Celle qui fit aux chiens de leur maître un repas?	quoi ce ne serait pas Celle qui fit aux chiens de leur maître un repas?
Eile pounont oner len prin dulone.	Eile pounont oner len prin dulone.
Dites en bonne foy, eſt-ce voſtre voiſine?	Dites en bonne foi, est-ce votre voisine?
LOREN.	LOREN.
Oey, Monſieu, per la fey que me faite jura, Tout u prés de chié no l’hat toujour demoura, Son pare lo meillou homme de la perrochi, La leiſſe courrata u tour de cetta rochi, Per garda ſouz agneu u prés de ceu contour, Louz meyna lon tou jour & not à rentour, Et venon per la vey de trey lieu à la ronda, Ma fey la fat bon vey car eill’et bella blonda,	Oey, Monsieur, per la fey que me faite jura, Tout u prés de chié nô l'hat toujour demoura, Son pare lo meillou homme de la perrochi, La le courrata tour de cetta rochi, Per garda souz agneu prés de contour, Louz meyna lon jour et rentour, Et venon per la de trey lieu la ronda, Ma fey la fat bon car eill’et bella blonda,
AMIDOR.	AMIDOR.
C’eſt l'ouvrage plus beau, que la nature ait fait.	C'est l'ouvrage plus beau, que la nature ait fait.
FLORIDON.	FLORIDON.
Jon vlage en les tiaits montre qu'iens pandit,	Jon vlage en les tiaits montre qu'yens pandit,
LOREN.	LOREN.
I ſariet ben inco à voſtrou eyu plu bella, Si l’eſtiet pinpona comm’una Dameiſella.	I sariét ben inco à vostrou eiu plu bella, Si l'estiet pinpona comm'una Dameisela.
AMIDOR.	AMIDOR.
Ie vous jure ma foy que jamais à la Cout Dame ne me toucha ſi vivement d’amour, I’ay eſté pris ſi-toſt que je l’ay veu ſi belle, Ell emporte mon cœur, mais pourquoy me fuit-elle?	Je vous jure ma foi que jamais à la Cout Dame ne me toucha si vivement d'amour, J'ai été pris sitôt que je l'ai vu si belle, Ell emporte mon cœur, mais pourquoi me fuit-elle?
LOREN.	LOREN.
I ne fut que de pou qu’eill’at duz eytrangié, Si voz oſſe connu l’oſſia pa veu bougié.	I ne fut que de pou qu'eill'at duz eytrangié, Si voz osse connu l'ossia p u bougié.
Mais (laſſet) de tou ten liat eyta ſi pourouza, Que quand i noz at veu porta un’arquebouza, Liat creu que noz eſtion de ſoudar affama, Et que no ne venion que per l’abaſima.	Mais (lacet) de tou ten liât eûta si pourvza, Que quand y j' os vu porta un'arquebouza, Liat cru que noz estion de soudar affama, Et que nô ne venion que per l'abasima.
AMIDOR.	AMIDOR.
Noſtre deſſein n’eſt pas tel qu’elle ſe figure, J’aimerois mieux oüir de mon tombeau l’augure;	Notre dessein n'est pas tel qu'elle se figure, J'aimerais mieux ouïrir de mon tombeau l'augure;
Que d’avoir provoqué au moindre déplaiſir Celle-là qui d’apas peut nourrir mon deſir.	Que d'avoir provoqué au moindre déplaisir Celle-là qui d'appas peut nourrir mon désir.
Mais comme pourra-t’elle apprendré que mon ame Conçoit pour ſa beauté une nouvelle flâme?	Mais comme pourra-t-elle apprendré que mon âme Conçoit pour sa beauté une nouvelle flamme?
THONO.	THONO.
Monſieu ſi vo l’ama comme voz u conta, Et ſi tan ſolamen vo volé l’accouta, Attendé à dema, qui det deſſout ceu chano Rerourna, per garda ſouz agneu, & ſon aſno.	Monsieur si vo l'ama comme volaz u conta, Et si tan solamen vo lé l'accouta, Atendé à dema, qui dét dessout ceu chano Rerourna, per garda souvaz agnu, et son âno.
Je vindrei aver vo, per tiſenna ſon cour, Et alluma ſon feu du ven de mon diſcour:	Je vindrei aver vo, per tisenna son cour, Et alluma son feu du ven de mon discour:
I farat mey per mi, que non pa per ſon pare,	I Jarat me per mi, que non pa per son pare,
AMIDOR Si par voſtre moyen, j’ay part à l’amitié, Qu’elle doit conſerver à ſa chere moitié, J’en ſeray moins ingrat qu’un amoureux prodigue.	AMIDOR Si par votre moyen, j'ai part à l'amitié, Qu'elle doit conserver à sa chère moitié, J'en serai moins ingrat qu'un amoureux prodigue.
THONO.	THONO.
J’amarin mey cen fay vey jala noſtre figue, Et vey noſtrou vergié ravagea d’un gro rut, Que d’avey prey de volo vaillen d’un perut, Per un petit ben fat que j’eſpero vo rendre.	J'amarin me cen fais vit jala notre figue, Et vue nostrou vergié ravagea d'un gro rut, Que d'ave prey de volo vaillen d'un pérut, Per un petit ben fat que j'espéro vo rendre.
LOIREN.	LOIREN.
car ce qu’u vo debt ne lhu faut pa apprendre.	car ce qu'u vo det ne lhu faut pa apprendre.
AMIDOR.	AMIDOR.
Demain nous apprendrons ce qu’elle a dans le- ſein, Pourſuivons cependant noſtre premser denein.	Demain nous apprendrons ce qu'elle a dans le- sein, Poursuivons cependant notre premser dènein.
LOREN.	LOREN.
V penſaret pluſto à l’amour qu’à la chaſſi, Et mi à voyanta ce qu’ét dedin ma biaſſi.	V pensaret plaîto à l'amour qu'à la chassy, Et mi à voyanta ce qu'est dedin ma biassi.
ramom, irno prenion quoque Ceif bien calliot;	ramom, irno prenion quoque Cif bien calitot;
Quoqu’un de mouz ami en aurat un pelliot.	Quoqu'un de mouz ami en aurat un pelliot.
CHANSON.	CHANSON.
Uitte, quitte ce païſage, Bergere qui de ton viſage, Enbellis des champs le ſéjour, Laiſſe le ſoin des fleurs à Flore, Et viens comme une belle Aurort Donner à Grenoble le jour.	Uitte, quitte ce paysage, Bergère qui de ton visage, Enbellis des champs le séjour, Laisse le soin des fleurs à Flore, Et viens comme une belle Aurort Donner à Grenoble le jour.
Grenoble bona meynageiri N’a pa beſoin d’una bergeyri Per garda ſe feye du lou.	Grenoble bona meynageiri N'a pa besoin d'un bergeyri Per garda se féie du lou.
I ſarre quand i vou ſe porte, Et pui ne faut pa qu’on y porte, Lo cordiliat prés du velou.	I sarre quand y vou se porte, Et pu ne faut pa qu'on y porte, Lo cordiliat près du vel.
7 ( Elle t’appelle dans ſon luſtre.	7 ( Elle t'appelle dans son lustre.
Pour eſtre par toy plus illuſtré, En changeant ta condition A celle d’une Damoiſelle:	Pour être par toi plus illustré, En changeant ta condition À celle d'une Damoiselle:
Belle viens donc loger chez elle, Pour goûter ſon affection.	Belle viens donc loger chez elle, Pour goûter son affection.
¶ La gloyri ne me farat prendre Si grandez ale, per comprendre La vola contra lo Soley.	Ô La gloiri ne me farat prendre Si grandez ale, per prendre La vola contra lo Soley.
.	.
le me contento de l’offranda	le me contento de l'offranda
De quoque petite garlanda, D’un bergeirot de bonna ley.	De quoque petite garlanda, D'un bergeirot de bonna lei.
I L’offrande qu’un Berger te donne N’eſt que des fleurs, qui l’Automne Ne peuvent enrichit de fruit, Qui ſont ſujettes à l’orage, Enfle donc belle ton courage, Et fuis ces bois pleins de la nuit.	I L'offrande qu'un Berger te donne N'est que des fleurs, qui l'Automne Ne peuvent enrichit de fruit, Qui sont sujettes à l'orage, Enfle donc belle ton courage, Et fuis ces bois pleins de la nuit.
Si je prenin deſſout l’eyſſela Lo ven de quoque Dameiſella, Comm’un pavon ſe miraillan, Qui ne pot pa cachié ſe tare, Ie m’irin cachié chié mon pare, Veyant mon fondamen roullian.	Si je prenin dess l'éissela Lo ven de quoque Dameisela, Comm'un pavon se miraillan, Qui ne pot pa cachié se tare, Je m'irin cachié chié mon pare, Veyant mon fondamen roullian.
Le Soleil fort joyeux de l’onde, Pour ſe montrer à tout le monde, Ainſi ta dois te faire voir:	Le Soleil fort joyeux de l'onde, Pour se montrer à tout le monde, Ainsi ta dois te faire voir:
Une beauté comme la tienne, Ne doit ſouffrir qu’un Berger tienne Le bien que la Cour doit avoir.	Une beauté comme la tienne, Ne doit souffrir qu'un Berger tienne Le bien que la Cour doit avoir.
J’ay trop pou de qhoque talochi.	J'ai trop pou de qhoque talochi.
I’amo mieu tendre ma filochi, Et demoura dedin ma pel, Que ſi per me mordre la lora, Comme celle qui cregnon l’ora, I’abandonnavo mon tropel.	J'amo mieu tendre ma filochi, Et demoura dédin ma pel, Que si per me mordre la lora, Comme celle qui crégnon l'ora, J'abandonnavo mon tropel.
ACTE SECOND.	ACTE SECOND.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LHAUDA.	LHAUDA.
I jamei fille fut en pena, j’u ſeu ore, JCar je feu eybranda comm’un boei de lez ore,	I jamey fille fut en péna, j'u ore, JCar je feu ébranda comm'un boei de lez ore,
Ie ſeu ſi attaqua per devan & derrié, Que je ne ſçavo plu de quau flan me virié.	Je seu si attaqua per devan et derrié, Que je ne savo plu de quau fla mme virié.
Sur tout pro de meina que je n’amo pa gueiro, Me rodon mieu d’entour, que lou chiet du armeiro.	Sur tout pro de meina que je n'amo pa guériro, Me rodon mieu d'entour, que lou chiet du armeiro.
Vo diria per ma fey à vey celou fachou, Qu’u me devon berfi, tant u ſont aſfichou.	Vo diria per ma fey à vei celou fachou, Qu'u me devon berfi, tant sont asfichou.
V volon per grand force avey la joüiſſanci De ce qu’on n’at jamai que per grand’amitanci.	V Volon per grand force avi la jouissanci De ce qu'on n'at jamai que per grand'amitanci.
Vna filli (laſſet) per dedin lou meina, At ore prou affare à ſe ben gouverna.	Una filli (lasset) per dédin lou meina, At ore pro affare à se ben gouverna.
Son honou jour & not tramble comme le foille.	Son honou jour et not tramble comme le faille.
Quand l'un la vou beiſié, l’autro la tiripoille, L’un luy vou maneyé lou tetet ſi ſont du, i L’autro cherche deſſout ce qu’u n’a pa perdu.	Quand l'un la vou beisié, l'autro la tiripoille, L'un lui soupeiné lou tet si sont du, y J'autro che dessout ce qu'u n'a p perdu.
Crei que ne faut pa ren qu’eilli ſeye creitura, Autramen ſa ſarrailli auriet to l’ouvertura.	Crei que ne faut pa ren qu'eilli seye créditura, Autramen sa sarrailli auriét to l'ouvertura.
Je regardo mi meſma à traver du dangié, Que j’ai toûjour pro u pena à me ben revengié, Car l’un per me trompa me promet mille choſe, L’autro tou lou matin m’enbouquette de roſe, L’un me tire decey, l’autre me vou deley, Iuſqu’à me demanda ſi je vollo celey.	Je regardo mi méma à traver du dangié, Que j'ai toujours pro u pena à me ben revengié, Car l'un péri me trompa me promet mille chose, L'autro ù lou matin m'enbouquette de rose, L'un me tire décey, l'autre me vou deley, Jusqu'à me demanda si je vollo celey.
Et tout per me beiſié m’eiguiron ma calleta, Iamei je n’ai repo que quand je ſeu ſoletta.	Et tout per me beisié m'éiguiron ma calleta, Iamei je n'ai répo que quand je s oleta.
E't un terriblo fat du meina d’eujourdeu, V ſe prometton tou ce qu’ét à veüa d’eyu.	Et un terriblo fat du mina d'éjourdeu, V se prometton tou ce qu'est à veua d'éju.
Veye-vo ceu Ianin la teſta ſen cervella?	Veinée-vo ceu Janin la testa sen cervela?
V cret de tout perci avec ſa taravella, Toujour aprés le fille u vat vey s’u pourrat Dedin quoque pertu fureta comm’un rat.	V Vert de tout percy avec sa taravela, Toujour après le fille u vat vei s'u pourrat Dédin quoque pertu fureta comm'un rat.
Mais un tau deiverga (incora que jo landro, Me trouvarat toûjour plu fraida qu’un jalandro,	Mais un tau deiverga (incora que jo landro, Me trouvarat toujours plu fraida qu'un jalandro,
Je ſçave (Dieu marci) ma liſſion de pecour, Car de tant d’aigarcy, lo mauves brut que cour, Ma fat marchié de dret;	Je sçave (Dieu marci) ma lission de pour, Car de tant d'aigarci, lo mauves brut que cour, Ma fat marchié de dret;
Dieu me farat la graci, Que perſonna per mi, de touta noſtra raci, Ne ſarat entachá du moindré deizonou, Qu’u ne venay pa donq me tenta à l’honou.	Dieu me farat la grâti, Que personna per mi, de touta nostra raci, Ne sarat entach du moindré deizonou, Qu'u ne venai pa donc me tenta à l'hou.
Ou je lo cuvriray tout aſſi-to d’outrageo, Voudrin-je devan cop perdre mon pucelageo!	Ou je lo cuvrirai tout assi-to d'outrageo, Voudrin-je devan cop perdre mon pucelageo!
Non pa quand je debvrin comm’un arma dana, I'ati en ma jeuneſſa, & quand infortuna, Ie lo debvrin avey quand j’arai à le croſſe, Ie lo gardo laſſet, per lo jour de me nopce, Mais perque noſtre gen ne me marion-t il?	Non pa quand je débvrin comme un arma dana, J'ati en ma jeunessa, et quand infortuna, Je lo debvrin avey quand j'arai à le crosse, Je lo gardo lasset, per lo jour de me nopce, Mais perque notre gen ne me marion-t -il?
Revon-ti, ou qui font ?	Revon-ty, ou qui font ?
̀ ceci ét a trop pati, Veyon ti pa toûjour que lou tetet me creiſſon?	Oci ceci est à trop pâti, Veinon ty pa toujours que lou tetet me créisson?
Qu'uttendon-ti donc plu, que lou meina me lęiſſon?	Qu'utendon-ty donc plu, que lou meina me lęisson?
Cellei ét trop forſat, que faille tant eita, Prou de moindre que mi, qui n’ont pa la meita, Du courſageo que j’ai, ont chacune lour home, Et mi n’aurai jamey pot.	Cellei est trop forsat, que faille tant eita, Prode oindre que mi, qui n'ont paya la meita, Du coursageo que j'ai, ont chacune lour home, Et mi n'aurai jami pot.
eſtre qu’un fantome.	être qu'un fantôme.
Veyqui perque lo cour de deitreſſi me bat, Veyan que gnat qui ſont neire comm’un courbat.	Veiqui perque lo cour de itressi me bat, Veinan que gagnât qui sont neire comm'un courbât.
De groſſe mauperey qui n’ont ny gout ni graci, Et qui ont de retet una plena paillaſſi Ben matiei à lour eiſe, & ben à lour gogo, Que joyon alenjan, & vendo lo bigo, V prés du fęu, tandi que je tiro me pene, Hela!	De grosse maupère qui n'ont ni gout ni grâti, Et qui ont de retet una plena paillassi Bénie matie à lour élise, et ben à lour gogo, Que joion alenjan, et vendo lo bigo, V prés du fasse, tandi que je tiro me pene, Héla!
quand ſarat-to, que faudra que le feng Me metteyſon couchié, per migié la routia, E ſarat quand playrat à ma tanta Mathia, Et principalemen à mon pare & ma mare, Qui ſe debvrion coita pur an n qunamaite	quand sarat-to, que faudra que le feng Me metteyson couchié, per migié la routia, E sarat quand plaierat à ma tanta Matia, Et principalemen à mon pare et ma re, Qui se débrion coït pur an n qunamaite
Mais je cogneuſſo prou à lour patolliemen, Qu’u ne ſe chaillon pa de mon contentameh, Car s’u l’avion envey de me vey en meinageo, V n’eirion pa diſan que je ne ſeu pa d’iageo, Non ſeu pa ( lou vieu ſac) pa ne ſeu pro agea, Y at mey de trey an que je ſarin logea, Si m’oſſion accorda ceu que m’eſtiet fidello Mais elouz entrat ben de me teni chiez ello, Per chara ley eicuelle, & coivié la meiſon, De me fare ſi joyena on-ti quoque reiſon?	Mais je connusso prou à louis patolliemen, Qu'hu ne se chaillon pa de mon contentameh, Car s 'avion envei de me vie en meinageo, V eirion pa disan que je ne seu pays d'iage, Non pu ta ( lou vieu sac) paya ne pro gea, Y at mey de treynan que je sarin logea, Si m'ossion accorda cv que m'estiét fidello Mais elouz entrât ben de me ty chiez ello, Per chara ley eicuelle, et coivié la meison, De me sare si joyena onty ô reison?
Iay quinz’an ſur le coſte, & quand je dirin ſeize, Ie ne mentirin pa, car ſeu naſſa lo treize, Du mey que l’on entend chanta lo roſſignou, I’ay donqua proù de ten de par noſtron Seignou, Que volon ti donq fare?	Iais quinz-an sur le côte, et quand je dirin seize, Je ne mentirin pa, car seu nassa lo treize, Du mey que l'on entend chanta lo rossignou, J'ai donqua proù de ten de par nostron Seignou, Que volon ty donc sare?
attendre ma trantena, Ha!	attendre ma trantena, Ha!
je ne vola pa qu’u me gardon per grana, Lo premié que vindrat, ma qu’u ſet à mon gra, Sarat ceu que m’arat, autramen per lou pra, Ie farei per deipit izela noſtre boye, I’uvriray lo jardin à toute noutre troye, Ie ne paſſerey ren lo lacet u colou, Ie laiſſirey migié noſtrou mouton u lou.	je ne vola pa qu'u me gardon per grana, Lo premié que vindrat, ma qu'u set à mon gra, Sarat ceu que m'arat, autramène per lou pra, Je farei per deipit jzela été boie, J'évrirai lo jardin à toute noutre troie, Je ne passey ren lo lacet colou, Ie laissirey migié nostrou mouton lou.
A tou noſtrou toreu j’outaray la ſonailla, Ie laiſſiray mouri de ſey noſtre polaille.	A tou nostrou toreu j'outarai la sonailla, Je laissirai mouri de sey notre polaille.
I’ouſtarey tou lo not l’aſno du ratelié, Ie farey barrula tout per louz eſchalié.	J'oustarey tou lo not l'âno du ratelié, Je farey barrula tout per louz eschalié.
I’eycaraboſſiray touta noſtra veiſſela, Ie flanidenay tout juſqu’à la moindra ſella.	J'eycarabossiray tout nostra veissela, Je flanidenay tout jusqu'à la moindra sela.
Lez ole, lou peiret, lou pot, j’eiclaperey Noſtron veiro, & tout ce que j’attsaparey.	Lez ole, lou put, lou pot, j'eiclaperey Nostron veiro, et tout ce que j'attsaparei.
I’attraſſiray lo fi, j’aiguiriray lo lingeo, Enfin je lou farai mey de ma qu’un vieu cingeo.	J'attrassirai lo fi, j'aiguirai lo lingeo, Enfin je lou sarai mey de ma qu'un vieu cingeo.
V ni gagniron ren de fure mon parti, Car dedin quoque tem je lou farey ſenti, Que je ne debvo pa, ſi je ſeu filli leyma, Racla noſtrou naveu, inco cetta careyma.	V ni gagniron ren de fure mon parti, Car dedin quaque temps je lou farey senti, Que je ne débo pa, si je seu illy leyma, Racla nostrou naveu, inco cetta carema.
ACTE DEUXIEME.	ACTE DEUXIÈME.
SCENE SECONDE.	SCÈNE SECONDE.
AMIDOR.	AMIDOR.
THONO.	THONO.
LHAUDA.	LHAUDA.
AMIBOR.	AMIBOR.
Oute la nuit amour m’a fait d’un feu nouveau.	Oute la nuit amour m'a fait d'un feu nouveau.
I Monter par des ſouſpirs la fumée au cerveau, Si bien que mon eſprit touché d’inquietude, A marqué de mes pas toute la ſolitude.	I Monter par des soupirs la fumée au cerveau, Si bien que mon esprit touché d'inquiétude, À marqué de mes pas toute la solitude.
I'ay parmy les Foreſts, eſloignées du bruit, Pour trouver mon repos couru toute la nuit, Car ni les doux efforts des charmes de Morphée, Ni les douces chanſons des heritiers d’Orphée, Ne m’ont pu arreſter, tant les peines d’amour, M’ont rendu vagabond en attendant le jour.	J'ai parmi les Forêts, éloignées du bruit, Pour trouver mon repos couru toute la nuit, Car ni les doux efforts des charmes de Morphée, Ni les douces chansons des héritiers d'Orphée, Ne m'ont pu arrêter, tant les peines d'amour, M'ont rendu vagabond en attendant le jour.
Que cette nuit m’afait languir parmy ces ombres, Que ce lieu a tardé d’éclairer ces lieux ſombres.	Que cette nuit m'afait languir parmi ces ombres, Que ce lieu a tardé d'éclairer ces lieux sombres.
L’un & l’autre contraire au bien qui m’eſt ſi cher, M’ont contraint de monter au ſommet du rocher, Pour ſçavoir quel malheur pouvoit coller encore, Les baiſers du vieillard aux lévres de l’AuroreSi-toſt que je l’ay veu de honte tougiſſant, Elle m’a témoigné que ſon cœur languiſſant, Ne pouvoit reſpirer que l’amour de Cephale, Car pour le contenter, ſa beauté ſans égale, A deployé ſes raiz avec beaucoup de pleurs, Qu'elle a à meſme tems verſé deſſus les fleurs.	L'un et l'autre contraire au bien qui m'est si cher, M'ont contraint de monter au sommet du rocher, Pour savoir quel malheur pouvait coller encore, Les baisers du vieillard aux lèvres de l'AuroreSi-tôt que je l'ai vu de honte tougissant, Elle m'a témoigné que son cœur languissant, Ne pouvait respirer que l'amour de Céphale, Car pour le contenter, sa beauté sans égale, A déployé ses raiz avec beaucoup de pleurs, Qu'elle a même tems versé dessus les fleurs.
Son viſage vermeil, & ſa petruque blonde, Figuroit l’Orian, que j’adore en ce monde, D’où j’eſtois ſi ravi, qu’il ſen bloit qu’un tranſport, Faiſoient que mes deſirs atrivoient à bon port.	Son visage vermeil, et sa petruque blonde, Figurait l'Orian, que j'adore en ce monde, D'où j'étais si ravi, qu'il sen blait qu'un transport, Faisaient que mes désirs atrivaient à bon port.
En ce contentement je prenois le menſonge, Pour le vray, mais ce bien a paſſé comm’un ſonge.	En ce contentement je prenais le mensonge, Pour le vrai, mais ce bien a passé comm'un songe.
Pourquoy ne venez-vous plaiſir avec effet, De l’ombre mon eſprit eſt trop peu ſatisfait?	Pourquoi ne venez-vous plaisir avec effet, De l'ombre mon esprit est trop peu satisfait?
Pourquoy ne venez-vous cauſe de cét image, Qui tirez de mon cœur le plus devot homage?	Pourquoi ne venez-vous cause de cet image, Qui tirez de mon cœur le plus dévot hommage?
Peut-eſtre dans les bras de quelque paiïſan, Vous laiſſez moiſſonner les biens d’un courtiſan.	Peut-être dans les bras de quelque paysan, Vous laissez moissonner les biens d'un courtisan.
Ah!	Ah!
vous ne ſçavez pas de vos yeux la puiſſance, Non non vous n’avez pas de mon mal connoiſſance, Ni moy de vos deſirs puis que tant ſeulement, Mes yeux ſur vos beautez eurent hier un moment.	vous ne savez pas de vos yeux la puissance, Non non vous n'avez pas de mon mal connaissance, Ni moi de vos désirs puis que tant seulement, Mes yeux sur vos beautés eurent hier un moment.
Helas quand ſçaurez-vous l’amour qui me poſſede, Du Berger qui pour moi lâchement intercede;	Hélas quand Saurez-vous l'amour qui me possède, Du Berger qui pour moi lâchement intercède;
na ſſible ſon eſprit travaillé des impos, Ou plutoſt dans le lict aſſommé du repos, Ne penſe plus à morn a rheure aſſignée, Mais où eſt ſa parole & ſa foy conſignée.	na ssible son esprit travaillé des impos, Ou plutôt dans le lit assommé du repos, Ne pense plus à morn a rheure assignée, Mais où est sa parole et sa foi consignée.
THONO.	THONO.
Me veicy ben, Monſieu.	Me victi ben, Monsieu.
AMIDOR.	AMIDOR.
Ha, ha!	Ha, ha!
vous eſtes-là.	vous êtes-là.
THONO.	THONO.
Et vo voz eſte iqui, tout deitartavela, Vo parla de per vo, eyto de noſtra chaſſi, Ou ſi vo-vo gruſa de la grand' eigruiſaſſi, Que lo Senglar a fat à voſtron frare anot A la coeiſſi, ſito qu’u l’eut lacha ſon cop.	Et vo vœux este iqui, tout déitartavela, Vo parla de per vo, eynto de nostra chassy, Ou si vo grusa de la grand eigruisassi, Que lo Senglar a fat à vostron frère anot A la covissi, sit qu 'eut lâcha son cop.
CV Ceney ner len, u uis de mon compare Cicienne.	CV Ceney len, de mon compare Len,
AMIBOR.	AMIBOR.
La playe de mon frere eſt moindre que la mienne Son mal eſt à la cuiſſe, & le mien eſt au cœur, S’il eſt bleſſé, du moins il demeure vainqueur.	La plaie de mon frère est moindre que la mienne Son mal est à la cuisse, et le mien est au cœur, S'il est blessé, du moins il demeure vainqueur.
THONO.	THONO.
Ah qu’u l’atteignit ben u darrié de l’iſpala, Mais d’una de ſe den largi comm’una pala, Et feita comm’un crot, ceu vilain dentaru, Si-to qu’u ſe ſentit d’una bala feru, V venit, en paſſan, lui baillié la nazarda, V n’autro viageo faut porta un alabarda.	Ah qu'un l'atteignit ben u darrié de l'ispala, Mais d'una de se den largi comm'una pála, Et féita comm'un crot, ceu vilain dentaru, Si-to qu'une se sentit d'una bal féru, V venit, en passan, lui baillié la nazarda, V n'autro vivage faut porta un alabarda.
Pamoin, u n’alit pa mouti douze pa loin, Aprés qu’u l’aguit fat ceu meichen cop de groin.	Pamoin, u n'alit pa mouti douze pa loin, Après qu'u l'aguit fat ceu meichen cop de groin.
AMID,OR.	AMID,OR.
Cela ne ſera rien, un bon maiſtre le penſe, Moins pour la gueriſon que pour la recompenſe.	Cela ne sera rien, un bon maître le pense, Moins pour la guérison que pour la récompense.
THONO.	THONO.
Lou Barbié font duta una plaïe long-tem, Per avey mey d’argen, lo ma lou ren conten, V l’amon cen fey mieu vey prou de chambe route, Et de bra eſtropia que cellou qu’ont le goute.	Lou Barbié font duta una plaie longtemps-tem, Per avi me d’argen, lo ma lou ren conten, V çen sen fey mieu vei prou de chambe route, Et de bra estropia que celou qu'ont le goute.
AMIDOR.	AMIDOR.
De meſme les beautez ſont contentes de voir, Souffrir ceux qu’elles ont rangé ſous leur pouvoir.	De même les beautés sont contentes de voir, Souffrir ceux qu'elles ont rangé sous leur pouvoir.
Ie n’en eſpere moins de la belle Bergere, A qui ma volonté, s’eſt renduë homagere.	Je n'en espère moins de la belle Bergère, À qui ma volonté, s'est rendue hommagère.
THONO.	THONO.
De la Lhauda (Monſieu) que ſçat ben ſon patel, Si je parlo per vo voz auri lo gatel.	De la Lhauda (Monsieu) que sçat ben son patel, Si je parlo per lo voz auri lo gatel.
Creyé qu’eilli n’eſt pa de cette gloriouſe De la Villa, qui ſont de prou de ma jouyouſe.	Creyé qu'eilli n'est pa de cette gloriouse De la Villa, qui sont de pro de ma jouyouse.
2 AMIDOR.	2 AMIDOR.
Croyez-vous qu’elle vienne au lieu où je pretens, Rendre dans ſes faveurs mes beaux deſits contens.	Croyez-vous qu'elle vienne au lieu où je prétends, Rendre dans ses faveurs mes beaux dess contents.
THONO.	THONO.
E on n’enten pa chanta ſito lez irondelle, Qu’eilli cey vin enchan.	E on n'enten pa chanta sito lez irondelle, Qu'eilli cei vin enchan.
AMIDoR.	AMIDoR.
Quand ſerons-nous prés d’elle.	Quand serons-nous près d'elle.
THONO.	THONO.
Noz i ſaron ben-to, ſuiye me ſolamen, Chut, chut, ne dite mot, faut alla jolamen;	Noz y jaron ben-to, suivie me solen, Chut, chut, ne dite mot, faut alla jolamen;
Veyé la den ceu bœi u prés d’una fontana, Qui guarit prou de gen de la fiévra quartana.	Véyé la den cœu bœ u prés d'una fontana, Qui garit prou de gen de la fièvra quartana.
AMIDOR.	AMIDOR.
An !	An !
je la vois, eit eit auples d’un aupebin,	je la vois, eit eit auples d'un aupebin,
THONO.	THONO.
Voz i cogneuſſé ben, egnat ren que de pin.	Voz y cogneussé ben, régnat ren que de pin.
AMIDOR.	AMIDOR.
Quoy que ce ſoit je vois confuſément la grace, La beaute de ramnour uis uundula face?	Quoi que ce soit je vois confusément la grâce, La beauté de ramnour uis undula face?
& THONO.	et THONO.
Qu’en dite-vo Monſieu n’ét-i pa en bon poin, Quittaria vo per ley le braye & Io pourpoin?	Qu'en dite-vo Monsieu n'est- jà en bon poin, Quittaria vo per le le braie et Jo pourpoin?
AMIDOR.	AMIDOR.
I our elle à mon amour qu’y a-t’il d’impoſſible?	I Jour elle à mon amour qu'y a-t-il d'impossible?
Elle ſçaüra bien-toſt ce qui m’eſt plus ſenſible.	Elle sçaüra bientôt ce qui m'est plus sensible.
THONO.	THONO.
Leiſſié m’alla premié ou eilli s’enfurat, De pot, comm’i fit hier, ſito qui vo verrat.	Lissié m'alla premié ou eilli s'enfurat, De pot, comm'y fit hier, sito qui v verrat.
AMIDOR.	AMIDOR.
C’eſt bien preyeu, allez, pour aſſurer ſa crainte, O Dieu !	C'est bien preyeu, allez, pour assurer sa crainte, Ô Dieu !
qui ne voudroit avoir l’ame contrainte, Des aymables liens d’une telle beauté, Puiſqu’amour dans les yeux eſt luy-meſme arreſté,	qui ne voudrait avoir l'âme contrainte, Des aimables liens d'une telle beauté, Puisqu'amour dans les yeux est lui-même arrêté,
THONO.	THONO.
Bonjour Lhauda, bonjour.	Bonjour Lhauda, bonjour.
LHAUDA.	LHAUDA.
Bonjour noſtron veiſin.	Bonjour nostron veisin.
Volevo deyjuna de pan & de raiſin.	Volevo deyjuna de pen et de raisin.
THONO.	THONO.
