A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
Arbres ne dõneZ plus vostre agreable ombrage, Depoüillez vos rameaux de leurs eſpais fueillage.	Arbres ne donnez plus votre agréable ombrage, Dépouillez vos rameaux de leurs épais fueillage.
Celadon ne vit plus, cét aimable berger Ne viendra plus icy ſes ardeurs alleger:	Céladon ne vit plus, cet aimable berger Ne viendra plus ici ses ardeurs alléger:
Celadon ne vit plus, & la coupable Aſtree N’a point encor quitté ceſte triſte contree:	Céladon ne vit plus, et la coupable Astrée N'a point encor quitté cette triste contrée:
Celadon ne vit plus, & ma ialouſe erreur Apres l’auoir tué me laiſſe ſans fureur:	Céladon ne vit plus, et ma jalouse erreur Apres l'avoir tué me laisse sans fureur:
Dieux!	Dieux!
qui des innocens ſouſtenez la deffence.	qui des innocents soutenez la défense.
Pourquoy retardez vous de punir mon offence?	Pourquoi retardez -vous de punir mon offense?
I'ay merité la mort, helas ce ſouuenir, Me la fait esprouuer pareſſeuſe à venir, I’ay perdu la beauté qui pouuoit ſur la terre Empeſcher que vostre ire y lançaſt le tonnerre, En ſa mort i’ay pis faict que ne font les mortels Qui reſnſem tencem à vas dinins ahtcis.	J'ai mérité la mort, hélas ce souvenir, Me la fait éprouver paresseuse à venir, J'ai perdu la beauté qui pouvait sur la terre Empêcher que votre ire y lançât le tonnerre, En sa mort j'ai pis fait que ne font les mortels Qui resnsem tencem à vas dinins ahtcis.
Et ie vis cependant, & vous auez vn foudre,	Et ici vis cependant, et vous avez un foudre,
DIANE.	DIANE.
Ie ne ſçay plus à quoy deſormais me reſoudre, I’ay cherché ma compagne à la fontaine, au bois, Et dans tous les endroits qu’elle alloit autrefois Sans la pouuoir trouuer, mais ie la voy penſiue Sa teſte dans la main aßiſe ſur la riue.	Je ne sais plus à quoi désormais me résoudre, J'ai cherché ma compagne à la fontaine, au bois, Et dans tous les endroits qu'elle allait autrefois Sans la pouvoir trouver, mais ainsi la vo pensiue Sa tête dans la main assise sur la rive.
Ie m’en vay l’aborder:	Je m'en vais l'aborder:
ma ſœur, c’eſt donc ainſi Que vous entreteneZ voſtre driſteſje ley, Quel eſt voſtre deſſein, auez vous point enuie De commencer en fin vne meilleure vie?	ma sœur, c'est donc ainsi Que vous entreteneZ votre dristesje lei, Quel est vôtre dessein, avez vous point envie De commencer en fin une meilleure vie?
ASTREE.	ASTRE.
Ma ſœur, ie ne puis pas aſſez long temps pleurer, Ie ne puis pas aſſeZ ma perte ſouspirer.	Ma sœur, Seigneur ne puis pas assez long temps pleurer, Je ne puis pas assez ma perte soupirer.
DIANE.	DIANE.
Peos pieurs, ny vos ſous pirs ne le ſot pas reuiure,	Peos pieurs, ni vos sou pirs ne le sot pas revivre,
ASTREE.	ASTRE.
Non, mais peut eſtre en fin me le ferõt ils ſuiure.	Non, mais peut -être en fin me le ferêt ils suivre.
DIANE.	DIANE.
Les deſirs de la mort ſont touſiours criminels.	Les désirs de la mort sont toujours criminels.
ASIREE.	ASIRE.
Et les iuſtes regrets doiuent eſtre eternels.	Et les justes regrets doivent être éternels.
DIANE.	DIANE.
grine, Avtais quile Z ce uiſcours et c'eſte numeur chaVnberger deuant nous à grand pas s’achemine.	grine, Avais quile Z ce uiscours et c'este sumeur chaUnerger devant nous à grand pas s'achemine.
ASTREE.	ASTRE.
C eſt Ollhandre.	Ç est Ollhandre.
SIL.	SIL.
A la fin ie tombe dans ſes pas, Elle eſt auec Aſtree en entretien là bas.	À la fin ici tombe dans ses pas, Elle est avec Astre en entretien là -bas.
DIANE.	DIANE.
Il eſt vray, c’eſt luy meſme, & ſi ie ne me trõpe Il nous vient rencontrer.	Il est vrai, c'est dis même, et si personne ne me trõpe Il nous vient rencontrer.
SIL.	SIL.
S’il faut que i’interrompe Aprochant de plus pres leur entretien ſecret, Elles me blaſmeront d’eſtre trop indiſcret:	S'il faut que j'interrompe Aprochant de plus pré leur tien secret, Elles me blâmeront d'être trop indiscret:
Mais qu’eſt-ce qui me tient le demon fauorable Qui m'a conduit icy me ſera ſecourable, Defaict ie voy deſia qu’il guide icy leurs pas:	Mais qu'est-ce qui me tient le démon favorable Qui m'a conduit ici me sera secourable, Défait ainsi vois déjà qu'il guide ici leurs pas:
Dieux!	Dieux!
que leurs mouuements ont de diuins apas, Allons leur au deuant:	que leurs mouvements ont de divins appas, Allons leur au devant:
adorable bergere Mon indiſcretion eſmeut voſtre colere Romn amtoun inomio nompu nopia entretien, Et parmi vos diſcours auoir meſlé le mien.	adorable bergère Mon indiscrétion émut votre colère Romn amtoun indio nompu nopia entretien, Et parmi vos discours avoir mêlé le mien.
DIANE.	DIANE.
V'oſtre diſcretion nous eſt aſſez cogneue Pour nous faire agreer icy voſtre venuë.	V'otre discrétion nous est assez connue Pour nous faire agréer ici votre venue.
SILVANDRE.	SILVANDRE.
N’ayant point de plaiſir eſloigné de vos yeux Dergere ce uiſcours me range ante tes Dieux	N'ayant point de plaisir éloigné de vos yeux Dergère ce uiscours me range ante tes Dieux
DIANE.	DIANE.
Ce ſont des traicts communs de voſtre courtoiſie.	Ce sont des traits communs de votre courtoisie.
SILVANDRE.	SILVANDRE.
Mais plutoſt dereiuujporinuormomm eſtſaiſie.	Mais plutôt dereiuujporinuormomm estsaisie.
ASTREE.	ASTRE.
Ce papier que ie voy ſortir de voſtre ſein Est-il pas quelque effect d’vn amoureux deſſein?	Ce papier que personne vois sortir de votre sein Est-il pas quelque effet d'un amoureux dessein?
SILVANDRE.	SILVANDRE.
Belle Aſtree eſt il vray qu'vn nouueau ſecretaire A mnn uans ce papiente que le vomois taire.	Belle Astree est il vrai qu'un nouveau secrétaire A mn uans ce papiente que le vomois taire.
ASTREE.	ASTRE.
Nous verrons donc que c’eſt.	Nous verrons donc que c'est.
DIANE.	DIANE.
Ma ſœur vous aueZ tort, Mais qu'est-ce qu’elle y voit qui la chãge ſi fort?	Ma sœur vous avez tort, Mais qu'est-ce qu'elle y voit qui la changé si fort?
SIL.	SIL.
Ie m'en vay cependant ſur vne eſcorce tendre Grauer auec ſon nom celuy là de Siluandre, Tout autour enfermés de chifres enlacés.	Je m'en vais cependant sur une écorce tendre Graver avec son nom celui là de Siluandre, Tout autour enfermés de chifres enlacés.
ASTREE.	ASTRE.
men ioins ure inom dergentone ces mots ſont tracés, I'en recognois le ſtile, & l’eſcriture enſemble.	men joins re inom dergentone ces mots sont tracés, J'en reconnais le style, et l'écriture ensemble.
DIANE.	DIANE.
On a tout fraiſchement eſcrit cela, ce ſemble, Et ſi cette eſcriture eſt de voſtre berger Celadon vit encore, ASTREE.	On a tout fraîchement écrit cela, ce semble, Et si cette écriture est de votre berger Céladon vit encore, ASTRÉE.
ô diſcours menſonger Dont vous voulez aider mon eſperance morte.	ô discours mensonger Dont vous voulez aider mon espérance morte.
DIANE.	DIANE.
Il faut ſçauoir de luy pourtant en quelle ſorte En quel lieu ceſte lettre eſt tombee en ſes mains.	Il faut sçauoir de force pourtant en quelle sorte En quel lieu cette lettre est tombe en ses mains.
ASTREE.	ASTRE.
Mais fort diſcrettement, DIANE.	Mais fort discrettement, DIANE.
tous ces diſcours ſont vains, Ie ſçauray bien cacher ce qu’il faut que ie cache, Et ne luy dire rien que ce qu’il faut qu’il ſçache.	tous ces discours sont vains, Je saurai bien cacher ce qu'il faut que ie cache, Et ne lui dire rien que ce qu'il faut qu'il sache.
Ara llear Helas que cette lettre eſtonne mes eſprits.	Ara llear Hélas que cette lettre étonne mes esprits.
SILVANDRE.	SILVANDRE.
Bergere vous m’auez, ie vous iure, ſurpris Acheuant de grauer ſur cette tendre eſcorce Que vos yeux dans mon ame ont fait ſentir leur force.	Bergère vous m'avez, je vous jure, surpris Achevant de graver sur cette tendre écorce Que vos yeux dans mon âme ont fait sentir leur force.
adorable maiſtreſſe Vous iugeZ bien que c’eſt à vous que l’on l’adreſſe.	adorable maîtresse Vous jugez bien que c'est à vous que l'on l'adresse.
Comme à la plus aimable, & plus rare beauté Qui dedans l’vniuers ait encore eſclaté,	Comme à la plus aimable, et plus rare beauté Qui dedans l'univers ait encore éclaté,
DIANE.	DIANE.
Laiſſons la ce diſcours, dites moy ſeulement De qui vient cet eſcript, pour qui c'eſt & commient, Il est entre vos mains, SIL.	Laissons la ce discours, dites -moi seulement De qui vient cet écript, pour qui c'est et commient, Il est entre vos mains, SIL.
Et qu’il vient de ma part comme du plus fidelle.	Et qu'il vient de ma part comme du plus fidèle.
Et du pius malheureux qui reuere vne belle.	Et du pius malheureux qui révère une belle.
DIANE.	DIANE.
Pourquoy donc n'eſt-il pas eſcrit de voſtre main.	Pourquoi donc n'est-il pas écrit de votre main.
SILVANDRE.	SILVANDRE.
Vn meilleur ſecretaire a conduit mon deſſein.	Un meilleur secrétaire a conduit mon dessein.
DIANE.	DIANE.
Qu'entendez vous par là SIL.	Qu'entendez -vous par là SIL.
que cette nuict derniere Lors que Thetis tenoit la clairté priſonniere Aupres d’vn petit bois ſurpris par le ſommeil Ie me ſuis endormy, trouuant à mon reſueil Sur mon ſein cette lettre, & mon ame eſtonnee, Ne peuſt iamais iuger qui me l’auoit donnee, Si ce n’eſt qu’en liſant i’y leu mes paßions, Et le ſecret entier de mes intentions.	que cette nuit dernière Lors que Thétis tenait la clairté prisonnière Auprès d'un petit bois surpris par le sommeil Ie me suis endormi, trouvant à mon réveil Sur mon sein cette lettre, et mon âme étonnée, Ne pût jamais juger qui me l'avait donne, Si ce n'est qu'en lisant j'y lu mes passions, Et le secret entier de mes intentions.
DIANE.	DIANE.
Mais ne ſçauriez vous point retourner à la place, Où vous aueZ receu cette amoureuſe grace?	Mais ne sauriez -vous point retourner à la place, Où vous avez reçu cette amoureuse grâce?
SILVANDRE.	SILVANDRE.
Ie la retrouueray ſi vous le deſirez.	Je la retrouverai si vous le désirez.
DIANE.	DIANE.
DIANE.	DIANE.
Gc.	Gc.
M Et ſt vons tagree Z vom nom y tonduire, 3	M Et st vons tagrée Z vom nom y tonduire, 3
SILVANDRE.	SILVANDRE.
Ie me croy trop heureux de vous faire feruice, Pour vous deſobeyr en ce petit office.	Je me crois trop heureux de vous faire service, Pour vous désobéir en ce petit office.
DIANE.	DIANE.
CroyeZ vous que l’on ait encore aſſeZ de iour, Pour aller dans ce bois, & pour noſtre retour?	Croyez -vous que l'on ait encore assez de jour, Pour aller dans ce bois, et pour notre retour?
SIL.	SIL.
Nous en aurons de reſte:	Nous en aurons de reste:
DIANE.	DIANE.
allons donques bergere Vous prendrez bien pour moy cette peine legere.	allons donc bergère Vous prendrez bien pour moi cette peine légère.
ASTREE.	ASTRE.
Tout ce qu’il nous plaira, ceſt ſçauoir obliger, Et cacher prudemment mon deſſein au berger.	Tout ce qu'il nous plaira, cet sçauoir obliger, Et cacher prudemment mon dessein au berger.
	
SCENE TROISIESME.	SCÈNE -TROISIÈME.
l’alis, lillas, onluandre, Drane, Aſtrec.	l'alis, lillas, onluandre, Drane, Astrec.
PARIS ſeul.	PARIS seul.
Ve l’amant eſt heureux de qui la liberté Se pert entre les mains d’vne ieune beauté Dont les charmans appas n’ont aucun artifice, De qui les actions eſclatent ſans malice, Qui parle franchement, & qui ſimple & ſans fard Ne tient point ce qu’ell’ a de la ruſe ou de l’art:	Ve l'amant est heureux de qui la liberté Se pert entre les mains d'une jeune beauté Dont les charmands appas n'ont aucun artifice, De qui les actions éclatent sans malice, Qui parle franchement, et qui simple et sans fard Ne tient point ce qu'elle a de la ruse ou de l'art:
Tell'eſt ceſte bergere apres que ie ſouſpire, Qui me fait ſupporter les loix de ſon Empire, Tant ell' a de douceur à retenir les cœurs Que l’amour a ſouſmis à ſes beaux yeux vainqueurs.	Tell'est cette bergère après que on soupire, Qui me fait supporter les lois de son Empire, Tant elle a de douceur à retenir les cœurs Que l'amour a sousmis à ses beaux yeux vainqueurs.
Mais vous qui bien ſouuent ſous voſtre bel ombrage Des rayons du ſoleil deffendez ſon viſage, Beaux arbres ſoulagez cependant mes douleurs, Me diſant ſi ces pas ont fait naiſtre ces fleurs, Et ſi l’eſclat vermeil qui paroiſt en la roſe N’a de ſa helle bouche emprunté quelque choſe Ces lis ne ſont ils pas derobeZ à ſon teint, Eſt-ce pas ſon bel œil qui ſes œillets a peint, Et qui donnant l’eſmail à toutes ces prairies Fait eſclater ſi fort leurs tendres pierreries?	Mais vous qui bien souvent sous votre bel ombrage Des rayons du soleil défendez son visage, Beaux arbres soulagez cependant mes douleurs, Me disant si ces pas ont fait naître ces fleurs, Et si l'éclat vermeil qui paraît en la rose N'a de sa helle bouche emprunté quelque chose Ces lis ne sont ils pas derobelez à son teint, Est-ce pas son bel œil qui ses œillets a peint, Et qui donnant l'émail à toutes ces prairies Fait éclater si fort leurs tendres pierreries?
Ah!	Ah!
vous ne dites mot comme ie croy fachez, Que ſon œil d’auiourd’huy ne vous ait aprochez, Vostre reſſentiment la peine renouuelle Que ie ſouffre par tout ſi ie ne ſuis pres d’elle, Adieu beaux lieux ie vay la chercher autre part Conduit pour la trouuer d’amour & du hazard, Voyci venir Hilas dont l’humeur inconſtante En l'empire d’amour ſemble vne merflotante.	vous ne dites mot comme je cro fâchez, Que son œil d'aujourd'hui ne vous ait aprochez, Votre ressentiment la peine renouvelle Que tu souffre par tout si on ne suis pres d'elle, Adieu beaux lieux ie vais la chercher autre part Conduit pour la trouver d'amour et du hasard, Voici venir Hilas dont l'humeur inconstante En l'empire d'amour semble une merflotante.
HILAS.	HILAS.
Il eſt vray que Philis eſt belle Et qu'elle merite beaucoup Mais qu’on ſçache à ce coup, Qu'ell'a troppeu d’apas pour me rendre fidelle.	Il est vrai que Philis est belle Et qu'elle mérite beaucoup Mais qu'on sache à ce coup, Qu'elle est troppeu d'appas pour me rendre fidèle.
Lors qu'elle ſurprit ma franchiſe Ce ne fut pas par ſa beauté Mais de ma volonté, Qui maintenant außi ſans congé l’a repriſe.	Lors qu'elle surprit ma franchise Ce ne fut pas par sa beauté Mais de ma volonté, Qui maintenant aussi sans congé l'a reprise.
ARIS.	ARIS.
Puis qu’il m’a deſcouuert, aduançons nous vers luy Berger pourries vous point alleger mon ennuy Me diſant quelle part eſt maintenant Diane.	Puis qu'il m'a découvert, avançons nous vers deux Berger pourries vous point alléger mon ennui Me disant quelle part est maintenant Diane.
HILAS.	HILAS.
Ie l’ay veuë au matin ſortir de ſa cabane Auec ſa chere Aſtree emmenant leurs troupeaux A ce que i’ay iugé le long de ces costaux.	Je l'ai vue au matin sortir de sa cabane A sa chère Astree emmenant leurs troupeaux À ce que j'ay jugé le long de ces costaux.
Et defaict les voyla toutes deux & Siluandre Qui coupant le chemin leur fait le ſentier prendre.	Et défait les voilà toutes deux et Silvandre Qui coupant le chemin leur fait le sentier prendre.
SILVAN DRE.	SILVAN DRE.
Par icy nous ſerons pluſtoſt où nous allons	Par ici nous serons plutôt où nous allons
HILAS.	HILAS.
Nous irons au deuant au moins ſi nous voulons.	Nous irons au devant au moins si nous voulons.
PARIS.	PARIS.
C’eſtce que ie deſire.	C'estce que cela désire.
ASTREE.	ASTRE.
impatience dure Ie crains de reculer tant le chemin me dure.	impatience dure Je crains de reculer tant le chemin me dure.
PARIS.	PARIS.
Bergeres ce iourd’huy me ſera deſormais, Au rang des plus beaux iours que ie verray iamais, Et ie fais plus d’eſtat d’auoir ceſte rencontre, Que de tous les threſors dont le luxe fait monſtre.	Bergères ce jour'hui me sera désormais, Au rang des plus beaux jours que sans verrai jamais, Et un fais plus d'état d'avoir cette rencontre, Que de tous les trésors dont le luxe fait montre.
d a ll la de Et nous nous croirons heureuſes de pouuoir, Sans aucun compliment ſatisfaire au deuoir.	d a ll la de Et nous nous croirons heureuses de pouvoir, Sans aucun compliment satisfaire au devoir.
SILVANDRE.	SILVANDRE.
Helas!	Hélas!
ce bon accueil me donne cognoiſſance, Que ie doy de Paris redouter la naiſſance.	ce bon accueil me donne connaissance, Que ici dois de Paris redouter la naissance.
PARIS.	PARIS.
Permettez moy l’honneur de vous accompagner.	Permettez -moi l'honneur de vous accompagner.
ASTREE.	ASTRE.
C’eſt trop de courtoiſie enuers nous teſmoigner, Allons, puis qu’il vous plaiſt, en voſtre compagnie Nous receurons ſans doute vne gloire infinie.	C'est trop de courtoisie envers nous témoigner, Allons, puis qu'il vous plaît, en votre compagnie Nous recevrons sans doute une gloire infinie.
SILVANDRE.	SILVANDRE.
Nous y voicy tantoſt, mais qu’eſt-ce que ie voy, Le ſentier eſt rompu.	Nous y voici tantôt, mais qu'est-ce que ie cy, Le sentier est rompu.
HILAS.	HILAS.
Tu vois comme ie croy Que tu nous conduis mal.	Tu vois comme ie croy Que tu nous conduis mal.
SILVANDRE.	SILVANDRE.
Non fay, mais ie m'eſtonne Qui peut auoir courbe tous ces arbres en tonne.	Non fais, mais Seigneur m'étonne Qui peut avoir courbe tous ces arbres en tonne.
ARIS.	ARIS.
Pour en trouuer l’entree il faut faire le tour.	Pour en trouver l'entre il faut faire le tour.
SILVANDRE.	SILVANDRE.
Quelque diuinité fait icy ſon ſejour.	Quelque divinité fait ici son séjour.
Pour les laiſſer entrer dans ſon ſacré pourpris.	Pour les laisser entrer dans son sacré pourpris.
Nempli d'eſtonnement le ne ſoay pius que dire.	Nempli d'étonnement le ne sou pius que dire.
PARIS.	PARIS.
Ne nous deutez vous pas encet endroit conduire?	Ne nous devtez vous pas encet endroit conduire?
Nullement.	Nullement.
SILVANDRE.	SILVANDRE.
PARIS.	PARIS.
Allons rendre à la diuinité, Qui preſtde ente lien ce qu'elle a merne, Apres nous reprendrons la route commencee.	Allons rendre à la divinité, Qui prêtde ente lien ce qu'elle a merne, Après nous reprendrons la route commencée.
ASTREE.	ASTRE.
Vous aueZ beau Paris donné dans ma penſee.	Vous avez beau Paris donné dans ma pensée.
HILAS.	HILAS.
Entrez ſi vous voulez, quant à moy ie ſçay bien, Quoy que vous m'en diſieZ que ie n'en feray rié;	Entrez si vous voulez, quant à moi -même sais bien, Quoi que vous m'en disiez que ie n'en ferai rié.
I’ayme, mais ie ne ſçay ſi i’ayme de la ſorte Que preſcriuent les vers eſcrits deſſus la porte.	J'aime, mais ainsi ne sais si j'aime de la sorte Que prescrivent les vers écrits dessus la porte.
PARIS dans le Temple.	PARIS dans le Temple.
Cet autel de gazon proprement eſleué Semble à le voir ſi vert qu’il vient d’eſtre acheué, Icy l’art a voulu ſurpaſſer la nature, Et ſi ie ne me trompe à voir cette peinture Elle reſſemble Aſtree,	Cet autel de gazon proprement élevé Semble à le voir si vert qu'il vient d'être achevé, Ici l'art a voulu surpasser la nature, Et si tu ne me trompe à voir cette peinture Elle ressemble Astre,
SILVANDRE.	SILVANDRE.
it est vray	it est vray
DIANE.	DIANE.
mais voicy Des rouleaux qui rendrõt ce myſtere eſclaircy LiſeZ ente prammurcareeſe pat ta ſans doute, Que nous ſçaurons que c’est.	mais voici Des rouleaux qui rendront ce mystère éclairci LiseZ ente prammurcareese pat ta sans doute, Que nous saurons que c'est.
ASTREE.	ASTRE.
Il faut que ie l’eſcoute,	Il faut que ici l'écoute,
PARIS lit le rouleau.	PARIS lit le rouleau.
Grande & puiſſante deité, Dans ce temple ſainct adoree.	Grande et puissante deité, Dans ce temple saint adorée.
Accepte belle Astrée, Ce cœur en ſacrifice, offert à ta beauté, Et ſçache que ceste victime Est exempte de crime, Et qu’elle ſouffre plus qu'elle n'a merité.	Accepte belle Astrée, Ce cœur en sacrifice, offert à ta beauté, Et sachache que cette victime Est exempte de crime, Et qu'elle souffre plus qu'elle n'a mérité.
Voy cett' ame qui nuict & iour Parmy ces tristes lieux ſouſpire Et qui deſſoubs l’empire.	Vois celt -même qui nuit et jour Parmi ces tristes lieux soupire Et qui dessoubs l'empire.
Que l’eſclat de tes yeux fait auoir à l’amour,	Que l'éclat de tes yeux fait avoir à l'amour,
N’a point eu de peine plus dure, Que celle qu'elle endure Uurant ſa longue abſence, hors d'es poir de retour.	N'a point eu de peine plus dure, Que celle qu'elle endure Uurant sa longue absence, hors d'es poir de retour.
Depuis elle erre ſans ſupport, Et toute choſe eſt inſenſible A ſa peine indicible:	Depuis elle erre sans support, Et toute chose est insensible À sa peine indicible:
Mais parmy les rigueurs dont la preſſe le ſort, Seulement elle te demande Que la pille la rende, A l’aymable repos qu’on veut apres la mort.	Mais parmi les rigueurs dont la presse le sort, Seulement elle te demande Que la pille la rende, A l'aimable repos qu'on veut après la mort.
Deeſſe accorde luy ce don, En faueur de la ſaincte flame Que garde vn berger dans ſon ame, Qui ſans auoir failly te demande pardon:	Deesse accorde amour ce don, En faveur de la sainte flamme Que garde un berger dans son âme, Qui sans avoir failly te demande pardon:
Li ſi ia peur de ie déplaire, N’empeſchoit de le faire, Elle t’en ſuppliroit au nom de Celadon.	Li si ja peur de ainsi déplaire, N'empêchait de le faire, Elle t'en supplirait au nom de Céladon.
O grands Dieux que ces vers me donnent dedans l’ame Qu'au lieu de tant d’honneur, i’aymerité de blaſme, Mon berger les a faits.	Ô grands Dieux que ces vers me donnent dedans l'âme Qu'au lieu de tant d'honneur, j'aimerité de blâme, Mon berger les a faits.
HILAS.	HILAS.
Il ſe faut depeſcher Si vous n’auez point fait le deſſein d’y coucher, Le Soieu quin a plus qu'vne foible tumiere, Se trouuera tantoſt au bout de ſa carriere.	Il se faut dépêcher Si vous n'avez point fait le dessein d'y coucher, Le Soieu quin a plus qu'une faible tumière, Se trouvera tantôt au bout de sa carrière.
DIANE hors du temple Ma ſœur ſi Celadon comme vous m’auez dit, A tout ce qu’on a leu de ſa main propre eſcrit En quelque part qu’il ſoit il vit pour ſa bergere.	DIANE hors du temple Ma sœur si Céladon comme vous m'avez dit, À tout ce qu'on a lu de sa main propre écrit En quelque part qu'il soit il vit pour sa bergère.
ASTREE.	ASTRE.
Ah ma ſœur?	Ah ma sœur?
Celadon n'eſt qu’vne ombre legere A qui meſme Charon l’auare Nautonnier Refuſe le paſſage à faute d’vn denier,	Céladon n'est qu'une ombre légère À qui même Charon l'avare Nautonnier Refuse le passage à faute d'un denier,
SILVANDRE.	SILVANDRE.
Il est vray que nos corps reſtans ſans ſepulture, Apres les droicts payez qu’ondoit à la Nature Nos ames ſont long-temps errantes à l’entour Des endroicts où les corps perdent le biendu iour, Et que le vieil Charon leur refuſe ſa barque, N’ayant point le tribut qu’on doit à ſon Monarque:	Il est vrai que nos corps restants sans sépulture, Après les droits payés qu'ondait à la Nature Nos âmes sont longtemps errantes à l'entour Des endraits où les corps perdent le biendu jour, Et que le vieil Charque leur refuse sa barque, N'ayant point le tribut qu'on doit à son Monarque:
Mais apres ce detour nous voicy toutesfois ArriueZ, grace aux Dieux à l’entree du bois, Où nous voulions aller.	Mais après ce détour nous voici toutefois Arrivez, grâce aux Dieux à l'entre du bois, Où nous voulions aller.
HILAS.	HILAS.
Derger tes reueries Nous vont faire coucher loin de nos bergeries.	Derger tes révériez Nous vont faire coucher loin de nos bergeries.
SILVANDRE.	SILVANDRE.
Profane prens bien garde à n’irriter le Dieu, Qui montre clairement d’habiter en ce lieu.	Profane prends bien garde à n'irriter le Dieu, Qui montre clairement d'habiter en ce lieu.
SILVANDRE.	SILVANDRE.
Et toy de ne te perdre aux detours du bocage, Puiſque toute la terre a changé de viſage, Et que deſia la nuict a faict mourir le iour, Dont nous deuons attendre en ce lieu le retour, Ou du moins que la lune aucunement eſclaire, Afin que nous voyons ce que nous deuons faire.	Et toi de ne te perdre aux détours du bocage, Puisque toute la terre a changé de visage, Et que déjà la nuit a fait mourir le jour, Dont nous devons attendre en ce lieu le retour, Ou du moins que la lune aucunement éclaire, Afin que nous voyons ce que nous devons faire.
PARIS.	PARIS.
Braue Hilas, vostre aduis ſera ſuiui du mien	Brave Hilas, votre avis sera suivi du mien
DIANE.	DIANE.
Et nous ſuiurons le vostre	Et nous suivrons le vôtre
PARIS.	PARIS.
Il faut pour eſtre bien, Que vous vous repoſies ſous ces belles ſauſayes, Tandis que nous irons coucher pres de ces hayes.	Il faut pour être bien, Que vous vous reposiez sous ces belles sausayes, Tandis que nous irons coucher pres de ces hayes.
MSIRLE.	MSIRLE.
Ce qui vous ſemble bon eſt noſtre volonté:	Ce qui vous semble bon est notre volonté:
A S.	À S.
Nous allons donc tous trois prendre l’autre coſté, onin qpe lu tune ait chaßé les tenehres,	Nous allons donc tous trois prendre l'autre côté, onin qpe lu tune ait chassé les tenehres,
ASTREE.	ASTRE.
Helas!	Hélas!
ie ne voy rien que des objets funebres.	Ne ne vois rien que des objets funèbres.
DIANE.	DIANE.
Ie commence pour moy d’eſperer vn peu mieux, Et croy qu’auparauãt que nous quitiõs ces lieux, Quelque bonne nouuelle apaiſera vos larmes:	Je commence pour moi d'espérer un peu mieux, Et crois qu'auparavant que nous quition ces lieux, Quelque bonne nouvelle apaisera vos larmes:
mruts atſia te ſommeit me preſſe de ſes charmęs, Repoſons nous vn peu,	mruts atsia te sommeit me presse de ses charmés, Reposons nous un peu,
ASTREE.	ASTRE.
Ie le veux bien ma ſœur.	Je le veux bien ma sœur.
CELADON.	CÉLADON.
Cependant que la nuict auecques ſa noinceur, Rẽd les plus beaux objets à nos yeux effroyables Ie vien dire à ces bois, par mes cris pitoyables, L’iniuſte coup du ciel qui finit mes plaiſirs, Et donne vne contrainte à mes iuſtes d'eſirs;	Cependant que la nuit avec sa noinceur, Reine les plus beaux objets à nos yeux effroyables Je vien dire à ces bois, par mes cris pitoyables, L'injuste coup du ciel qui finit mes plaisirs, Et donne contrainte à mes justes d'éirs;
Mais ce petit croiſſant qui commence à parétre, Fait malgré ces rameaux ſa lumiere cognoetre, Les obiets ne ſont plus à mes yeux ſi cachez, Ie voy quelques bergers deſſus l’herbe couchés, Qui pour dormir ſe ſont ſeparez des bergeres, Qui repoſent plus loin ſoubs les feuilles lergeres:	Mais ce petit croissant qui commence à paraître, Fait malgré ces rameaux sa lumière connaître, Les objets ne sont plus à mes yeux si cachés, Je vois quelques bergers dessus l'herbe couchés, Qui pour dormir se sont séparés des bergères, Qui reposent plus loin sous les feuilles lergères:
Il faut ſçauoir qui c’eſt:	Il faut sçauoir qui c'est:
voila Paris qui dort Pres d’Hilas & Siluandre, ô cruauté du ſort, Ma bergere eſt icy, deſſus l’herbe endormie.	voilà Paris qui dort Pres d'Hilas et Silvandre, ô cruauté du sort, Ma bergère est ici, dessus l'herbe endormie.
Ah!	Ah!
quell' aura raiſon d’eſtre mon ennemie, Ie n'ay pourtant, rien faict qui choque mon deuoir, Car tandis qu'elle dort, elle ne me peut voir, Et ſans contreuenir a ſa regle importune, Ie puis prendre aux cheueux cette bonne fortune;	quell' aura raison d'être mon ennemie, Je n'ai pourtant, rien fait qui choque mon devoir, Car tandis qu'elle dort, elle ne me peut voir, Et sans contrevenir à sa règle importune, Je puis prendre aux cheveux cette bonne fortune;
Receuons donc ce bien:	Recnons donc ce bien:
Ah mes ſens aueugléz Dans vn ſi grand bon-heur ſe trouuent dereglez Et ie reſſemble à ceux qui ſortis des tenebres, Qu'vne priſon enferme en ſes cachots funebres.	Ah mes sens aueugléz Dans un si grand bonheur se trouvent déréglez Et mis ressemble à ceux qui sortis des ténèbres, Qu'une prison enferme en ses cachots funèbres.
