1 ONSEIGNEUR,	1 1NSEIGNEUR,
ANGELIQUE Pour ſe faire admirer ils le font quelquefois.	ANGELIQUE Pour se faire admirer ils le font quelquefois.
LYSANDRE.	LYSANDRE.
Je n’ay pas un eſprit pour répondre à vos pointes Trop de ſubtilitez à vos diſcours ſont jointes.	Je n'ai pas un esprit pour répondre à vos pointes Trop de subtilités à vos discours sont jointes.
ANGELIQUE.	ANGELIQUE.
Quand vous dites cela, vous vous moquez de nous.	Quand vous dites cela, vous vous moquez de nous.
LYSANDRE.	LYSANDRE.
C’en eſt aſſez, Madame;	C'en est assez, Madame;
adieu, ſouvenez-vous Que dans tous vos Amans rien ne ſera ſi tendre, Que l’amour qu’à pour vous le mal’heureux Ly ſandre, D’un Philoſophe allons vite prendre l’habit;	adieu, souvenez-vous Que dans tous vos Amants rien ne sera si tendre, Que l'amour qu'à pour vous le malheureux Ly sandre, D'un Philosophe allons vite prendre l'habit;
Inſpire la ſcience, Amour en mon eſprit.	Inspire la science, Amour en mon esprit.
it ſon	it son
SCENE III.	SCÈNE III.
ANGELIQUE, PADILLE deguiſt en capitan.	ANGELIQUE, PADILLE déguist en capitan.
PAD’ILLE' à pars.	PAD'ILÉLÉ à pars.
Entrevois Angelique, ah!	Entrevois Angélique, ah!
c'eſt icy, Padille, Qu’il faut comme un Soleil que ton bel eſprit bri le	c'est ici, Padille, Qu'il faut comme un Soleil que ton bel esprit bry le
ANGELIQUE.	ANGELIQUE.
Cét homme en veut à nous, que voulez vous Monſieur.	Cet homme en veut à nous, que voulez -vous Monsieur.
ADTLLE.	ADTLE.
Madame, vous voyez le Fils de la terreur;	Madame, vous voyez le Fils de la terreur;
Ou, pour mieux m’expliquer dans ma bravoure extréme, M'étant creé tout ſeul, je ſuis la tetreur même.	Ou, pour mieux m'expliquer dans ma bravoure extrême, M'étant cré tout seul, je suis la tetreur même.
Sans me ſervir d’un bras qui tua le pieu Mars, Je ſoûmis l’Univers d’un ſeul de mes regats.	Sans me servir d'un bras qui tua le pieu Mars, Je soumis l'Univers d'un seul de mes rats.
Tel que vous me voyez, j’ay forgé le Tonnerre bes Geans qu’enfanta le Ciel contre la Terre.	Tel que vous me voyez, j'ai forgé le Tonnerre bes Géans qu'enfanta le Ciel contre la Terre.
les gages que par an je donne à mes valets Sont les Sceptes dorez des Roys que je ſoûmets.	les gages que par an je donne à mes valets Sont les Sceptes dorés des Rois que je soumets.
J’ay vaincu les Cæſars, défait les Alexandres J’ay pillé leurs Etats, mis leurs Trônes en cendre.	J'ai vaincu les Cæsars, défait les Alexandres J'ai pillé leurs États, mis leurs Trônes en cendre.
La Chimere, & Meduſe ont ſenty ma fureur, Quoy qu’à Bellerophon on en donne l’honneur.	La Chimère, et Méduse ont senti ma fureur, Quoi qu'à Bellerophon on en donne l'honneur.
ay fait plus, comme en moy le genre humain ſe fonde,	ai fait plus, comme en moi le genre humain se fonde,
ne cent monſtres affreux, j’ay delivré le monde Mais qui pourroit encor croire, aprés tout cela Que j’ay d’un ſoufle éteint les feux du mont Etna J’en ay tant fait qu’enfin les Iaſons, les Hercules Prés de moy, s’ils vivoient, paroîtroient ridicule, Aprés avoir ſur terre eſſuyé ces travaux, Non content, je noyé Neptune dans ſes eaux, Pour avoir ſans mon otdre elevé la tempête Qu’Enée a reſſenty pourſuivant ſa conquére.	ne cent monstres affreux, j'ai délivré le monde Mais qui pourrait encor croire, après tout cela Que j'ai d'un souffle éteint les feux du mont Etna J'en ai tant fait qu'enfin les Jasons, les Hercules Près de moi, s'ils vivaient, paraîtraient ridicule, Après avoir sur terre essuyé ces travaux, Non content, je noyé Neptune dans ses eaux, Pour avoir sans mon otdre élevé la tempête Qu'Enée a ressent poursuivant sa conquère.
Me voyant ainſi maître & du monde, & des Men Je fis décendre auſſi ma valeur aux Enfers.	Me voyant ainsi maître et du monde, et des Mén Je fis décendre aussi ma valeur aux Enfers.
La, malgré de Pluton l’inſolence brutale, Je fis ceſſer Siſiphe, & repoſer Tantale.	La, malgré de Pluton l'insolence brutale, Je fis cesser Sisiphe, et reposer Tantale.
Je briſé tous leurs fers, & pour parlet aux Dieur.	Je brisé tous leurs fers, et pour parlet aux Dieur.
Des Enfers, ou j’étois je monté dans les Cieur Jupiter, pour donner à mes faits recompenſe, Ordonna que ſur tout j’aurois pleine puiſſance Que je pouvois uſer des Celeſtes beautez, Les prendre, & les choiſit ſelon mes volontez, Mais rien ne m’y plaiſant, j’en ſortis algrand end Et vous voyant du Ciel briller deſſus la terte;	Des Enfers, ou j'étais je monté dans les Cieur Jupiter, pour donner à mes faits récompense, Ordonna que sur tout j'aurais pleine puissance Que je pouvais user des Célestes beautés, Les prendre, et les choisit selon mes volontés, Mais rien ne m'y plaisant, j'en sortis aland end Et vous voyant du Ciel briller dessus la terte;
Je me crois trop heureux:	Je me crois trop heureux:
Madame, ſi je vis Iour voir vôtre beauté de mes travaux le pri	Madame, si je vis Jour voir votre beauté de mes travaux le pri
ANGELIQUE.	ANGELIQUE.
Pourquoy finiſſez vous?	Pourquoi finissez -vous?
vos diſcours mont chi mée.	vos discours mont chi mée.
PADILLE.	PADILE.
La bravoure, Madame, eſt par vous eſtimée.	La bravoure, Madame, est par vous estimée.
ANGELIQUE.	ANGELIQUE.
Ce n’eſt pas ce qui fait tout mon charme po tant, Mais le ſtile joly d’un diſcours ſi plaiſant;	Ce n'est pas ce qui fait tout mon charme pô tant, Mais le style joli d'un discours si plaisant;
Et vous avz, Monſieur, le don de l’Eloque	Et vous avez, Monsieur, le don de l'Éloque
PADILLE.	PADILE.
Vous ne voulez donc rien qu’un homme de Science 1 it le pouvoir qu’en tout vous ſçavez qu’a mon Olds .	Vous ne voulez donc rien qu'un homme de Science 1 it le pouvoir qu'en tout vous savez qu'à mon Olds .
Pour prendre un autre Amant ne vous étonne rlu e Eh bien	Pour prendre un autre Amant ne vous étonne ru e Eh bien
ANGELIQUE.	ANGELIQUE.
Qui peut, Monſieur, tout à coup vous ſurprendre.	Qui peut, Monsieur, tout à coup vous surprendre.
PADILLE ſoriant.	PADILE soriant.
Je vais mettre aujourd’huy tous les ſçavans en cendre.	Je vais mettre aujourd'hui tous les Savants en cendre.
SCENE IV.	SCÈNE IV.
ANGELIQUE, LYSANDRE deguiſe en Philoſophe.	ANGELIQUE, LYSANDRE déguise en Philosophe.
LYSANDRE.	LYSANDRE.
Aiſſez le Capitan, Madame, écoutez nous L Deduire pour vous plaire un diſcours bien plus doux.	Aissez le Capitan, Madame, écoutez nous Déduire pour vous plaire un discours bien plus doux.
ANGELIQUE.	ANGELIQUE.
Si c’eſt du haut ſçavoir.	Si c'est du haut savoir.
Monſieur, j’en ſuis ravie.	Monsieur, j'en suis ravie.
LYSANDRE.	LYSANDRE.
Madame, c’eſt icy de la philoſophie.	Madame, c'est ici de la philosophie.
ANGELIQUE.	ANGELIQUE.
Mes ſens ſont de cét Art déja tous enchantez,	Mes sens sont de cet Art déjà tous enchantez,
lieux.	lieux.
LYSANDRE:	LYSANDRE:
J’en ſuis plus réjoüy puiſque vous les goûtez, pour la philoſophie apprenez par avance, Que ce n’eſt pas un Art, mais bien une Science Par elle je connois tous les quatre Elemens, Leur centre, leur ſubſtance, & tous leurs acc dens.	J'en suis plus réjoüy puisque vous les goûtez, pour la philosophie apprenez par avance, Que ce n'est pas un Art, mais bien une Science Par elle je connais tous les quatre Éléments, Leur centre, leur substance, et tous leurs acc ends.
Celuy qui ſe noya pour ne pouvoir comprendis Le reflus de la mer pouvoit de moy l’apprendit D’où precedent les vents je ne l’ignore pas, Et les ay deffiny mieux qu’Anaxagoras.	Celui qui se noya pour ne pouvoir comprendis Le reflus de la mer pouvait de moi l'apprendit D'où précédent les vents je ne l'ignore pas, Et les ai définy mieux qu'Anaxagoras.
Je ſçais, hors Dieu, que tout à ſa cauſe ſeconde Et tous les beaux effets qu’on admire en ét monde.	Je sais, hors Dieu, que tout à sa cause seconde Et tous les beaux effets qu'on admire en est monde.
J’ay prouvé quand quelqu’un d’une épèe et pevoit, Que c’étoit l’air non pas le fer qui le tuoit.	J'ai prouvé quand quelqu'un d'une épée et pevait, Que c'était l'air non pas le fer ait le tuait.
’ay fait voir que ce monde eſt pareil dans l Lune;	ais fait voir que ce monde est pareil dans l' Une;
nt que d’elle, & de luy la figure eſt commune.	naît que d'elle, et de Seigneur la figure est commune.
Je ſçay tres bien la Sphere, & je n’ignore point Qu’au milieu de la mer la terre eſt comme u point Bref, je connois les corps tant internes, qu’e ternes, Et les lieux ſouverains d’avec les ſubalternes.	Je sais très bien la Sphère, et je n'ignore point Qu'au milieu de la mer la terre est comme point Bref, je connois les corps tant internes, ternes, Et les lieux souverains avec les subalternes.
Je ſçais Cauſe, Effet, Forme, Eſpece, Mouve mens, Vuide.	Je sais Causse, Effet, Forme, Espèce, Mouve mens, Vuide.
Exiſtence, Atome, Idées, Argumens, anfin le reſultat de cette connoiſſance A le ſouverain bien pour but de ſa ſcience, 2t d’aimer les beautez approchantes des Dieur Je n’en vois point que vous, Madame, dans c Et je ſuis trop heureux, ſi ce bel œil m’ordonne Que mon Art s’incorpore avec vôtre Perſonne.	Existence, Atome, Idées, Arguments, anfin le résultat de cette connaissance A le souverain bien pour but de sa science, 2t d'aimer les beautés approchantes des Dieur Je n'en vois point que vous, Madame, dans c' Et je suis trop heureux, si ce bel œil m'ordonne Que mon Art s'incorpore avec votre Personne.
ANGELIQU E.	ANGELIQU E.
Pour vôtre haut ſçavoir ce prix ſeroit tropbas.	Pour votre haut savoir ce prix serait tropbas.
LYSANDRE.	LYSANDRE.
Mon ſçavoir tel qu’il eſt ne vous merite pas, Vous faites trop d’honneur à ma Philoſophie.	Mon savoir tel qu'il est ne vous mérite pas, Vous faites trop d'honneur à ma Philosophie.
ANGELIQUE.	ANGELIQUE.
Mais la ſcience enfin deffend qu’on ſe marie.	Mais la science enfin défend qu'on se marie.
LYSANDRE.	LYSANDRE.
Au contraite il faut joindre:	Au contraite il faut joindre:
avec les beautez Pour leur perfection les ſublimes clartez.	avec les beautés Pour leur perfection les sublimes clartés.
ANGELIQUE.	ANGELIQUE.
Ce ſont des argumens qu’a loiſit j’examine.	Ce sont des arguments qu'a loisit j'examine.
L YSANDRE.	 LYSANDRE.
madams, npour mioy intte cœur ſe deſtine, J’attens patiemment ce moment bien heureux.	madams, npour mioi intte cœur se destine, J'attends patiemment ce moment bien heureux.
ANGELIQUE.	ANGELIQUE.
On ne peut pas, Monſieur, ſe marier à deux;	On ne peut pas, Monsieur, se marier à deux;
Vos raiſons là deſſus ſont de peu d’importance, Excuſez moy, je veux épouſer laScience.	Vos raisons là dessus sont de peu d'importance, Excusez moi, je veux épouser laScience.
LYSANDR E bai.	LYSANDR E bai.
Voyons;	Voyons;
car là deſſus je l’ay bien empreſſé, Si nôtre amy fera ce que j’avois penſé Madame;	car là dessus je l'ai bien empreessé, Si notre ami fera ce que j'avais pensé Madame;
puis qu’icy ce diſcours vous ennuye, Recevez les adieux de la Philoſophie.	puis qu'ici ce discours vous ennuie, Recevez les adieux de la Philosophie.
il ſont	il sont
EN E ANGELIQUE, PHILINTE deguiſt en Aſins logue, un Sphere à la main.	EN E ANGELIQUE, PHILINTE déguist en Asins logue, un Sphère à la main.
ILINT E Oin de plaire à vos yeux ces ſçavans de Bibus L Dévroient tous, ſur mon ame, eſſuyer vos refus, Un ſçavant, comme moy, Madame, ſur la Sphere noit prétendre tout ſeul à l’honneur de vous plaire.	ILINT E In de plaire à vos yeux ces sçavans de Bibus L Dévroient tous, sur mon âme, essuyer vos refus, Un savant, comme moi, Madame, sur la Sphère noit prétendre tout seul à l'honneur de vous plaire.
eſtant un racourcy des ſublimes ſçavans.	étant un racourci des sublimes Savants.
Qui merite le mieux d’être de vos Amans.	Qui mérite le mieux d'être de vos Amants.
ANGELTQU Eà part ne ſçavoir quel il eſt je ſens brûler mon ame.	ANGELTQU Eà part ne savoir quel il est je sens brûler mon âme.
Je ſuis.	Je suis.
HILINTE,	HILINTE,
NGELIQUE.	NGELIQUE.
Hè quoy, Monſieur	Hér quoi, Monsieur
PHILINTE Aſtrologue, Madame.	PHILINTE Astrologue, Madame.
ANGELIQUE.	ANGELIQUE.
CétArt de tous les Arts approche plus des Dieux.	CetArt de tous les Arts approche plus des Dieux.
HILINTE.	HILINTE.
Mais c’eſt ſur tout pour moy qui m’y connois des mieux Si vous me demandez à quoy ſert cette Sphere.	Mais c'est sur tout pour moi qui m'y connais des mieux Si vous me demandez à quoi sert cette Sphère.
J’en conpois du Soleil, l’une & l’autre Hemiſs PhE,	J'en conpois du Soleil, l'une et l'autre Hémiss PhE,
je ſçay par la combien le Ciel a de hauteur, Et la Terre de tout, la Mer de profondeur, je connois chaque, Etoille & qu’une ame commune, Ne voit pas comme moy le Soleil, & la Lune.	je sais par la combien le Ciel a de hauteur, Et la Terre de tout, la Mer de profondeur, je connais chaque, Étoille et qu'une âme commune, Ne voit pas comme moi le Soleil, et la Lune.
Je fens l’air, & la nuë;	Je sens l'air, et la nue;
& je vais quand je veux Voir ces beaux mouvemens qui font tourner les Cieux, Mon pouvoir eſt tres-grand, par le moyen des aſtres, I'annonce les malheurs, je prévois les deſaſtres.	et je vais quand je veux Voir ces beaux mouvements qui font tourner les Cieux, Mon pouvoir est très-grand, par le moyen des astres, J'anne les urs, je prévois les désastres.
Si vous ne croyez pas mon pouvoir ſouverain, Pour l’experimenter donnez moy vôtre main.	Si vous ne croyez pas mon pouvoir souverain, Pour l'expérimenter donnez moi votre main.
ANGELIQUE.	ANGELIQUE.
Dans un plaiſit ſi grand rêvé-je, ou ſi je veille?	Dans un plaisit si grand rêvé-je, ou si je veille?
PHILINTE.	PHILINTE.
Donnez-moy yôtre main, je vais faire merveille.	Donnez-moi notre main, je vais faire merveille.
ANGELIQUE luy donnant ſa main.	ANGELIQUE était donnant sa main.
Quoy?	Quoi?
vous m’allez montrer tout ce que j’ay pensé.	vous m'allez montrer tout ce que j'ai pensé.
PHILINTE.	PHILINTE.
Oüy, je ſçais l'avenir, Madame, & le paſſé.	Oui, je sais l'avenir, Madame, et le passé.
regardant dans ſa main.	regardant dans sa main.
Cét aſpect de Venus me fait bientôr comprendre Qu’un Amant vous en veut qui ſe nemme tyſandre.	Cet aspect de Venus me fait bientôr comprendre Qu'un Amant vous en veut qui se nemme tysandre.
ANGELIQUE.	ANGELIQUE.
Autois je pû jamais;	Autais -je pu jamais;
o Ciel men défier ?	ô Ciel men défier ?
Monſieur, vous êtes diable, ou pour le moins ſorcier.	Monsieur, vous êtes diable, ou pour le moins sorcier.
PHILINTE.	PHILINTE.
Mais cét aſpect entrant dans la Lune aſcendante Vous a rendu pour luy l’ame tres inconſtante, Mercure retrogtade occupe vôtre main Qui fait qu’hors les ſçavans tout vous eſt à de.	Mais cet aspect entrant dans la Lune ascendante Vous a rendu pour lui l'âme très inconstante, Mercure retrogtade occupe votre main Qui fait qu'hors les savants tout vous est à de.
dain.	dain.
Mais je remarque icy qu’une ligne douteuſe nenote qu’en Amans vous ſerez mal’hureuſe;	Mais je remarque ici qu'une ligne douteuse nenote qu'en Amants vous serez mal'heureuse;
Mais que vous le ſerez encor plus mille fois, Si de tous vos Amans Lyſandre n’eſt le choix.	Mais que vous le serez encor plus mille fois, Si de tous vos Amants Lysandre n'est le choix.
Il faut ſans contredit qu’il ait la preference, Ie parle contre moy prédiſant la puiſſance.	Il faut sans contredit qu'il ait la préférence, Je parle contre moi prédisant la puissance.
Qu'un aſtre pour Lyſandre annonce, en bonne Ioy.	Qu'un astre pour Lysandre annonce, en bonne Ioi.
Mais pourriez vous aimer un hõmecomme moy?	Mais pourriez vous aimer un homme moi?
J'aj comme vous ſçivez la plus belle doctrine.	J'aj comme vous sivez la plus belle doctrine.
ANGELTQUE.	ANGELTQUE.
Je crains trop du deſtin la puiſſance pivine.	Je crains trop du destin la puissance pivine.
ILINTE.	ILINTE.
L’Aſtrologie icy ni’a dont point de pouvoir?	L'Astrologie ici ni'a dont point de pouvoir?
NGELIQUE.	NGELIQUE.
Je veux avec plaiſit vous entendre & vous voit.	Je veux avec plaisit vous entendre et vous voit.
TLINTE.	TLINTE.
Ouy, mais de vôtre hymen vous me croyez indigne.	Oui, mais de votre hymen vous me croyez indigne.
rour vous plaire il vous faut quelque ſçavã inſigne	rour vous plaire il vous faut quelque sçavã insigne
Le plus parfait.	Le plus parfait.
Monſieur, doit eſtre mon époux,	Monsieur, doit être mon époux,
HTLINTE Madame, apparemment que ce n’eſt dont pas nous.	HTLINTE Madame, apparemment que ce n'est dont pas nous.
ANGELIQUE Le temps peut être enfin pourta nous y reſoudre.	ANGELIQUE Le temps peut être enfin pourta nous y résoudre.
HTLINT EJe vous jure, pour moy, c’eſt un vray coup de foudre, De dépit, je m’en vais peut êtrè me noyer.	HTLINT EJe vous jure, pour moi, c'est un vrai coup de foudre, De dépit, je m'en vais peut êtrè me noyer.
il ſont.	il sont.
ANGELIQUE.	ANGELIQUE.
Enfin tous les ſçavans me vont deſennuyer.	Enfin tous les Savants me vont désennuyer.
SCENE VI.	SCÈNE VI.
ANGELIQUE, PADILLE déguiſe en Peëue,	ANGELIQUE, PADILLE déguise en Peëue,
PADILLE.	PADILE.
Aiſſez ce fou, Madame, avecque ſa Planete, L Et venez écouter un celebre poëte.	Aissez ce fou, Madame, avec sa Planète, L Et venez écouter un célèbre poète.
Par un iuſtine ſecret que jay reçû des Cieux.	Par un justine secret que jay reçu des Cieux.
ſe parle habiliement le langage des Dieux, Favory d’Apollon j’ay dans le mont Parnaſſe, Malgré mes envieux, la plus inſigne place;	se parle habiliement le langage des Dieux, Favori d'Apollon j'ai dans le mont Parnasse, Malgré mes envieux, la plus insigne place;
Et je bois à mon gré de ces ſaintes liqueurs, Qui font, comme je ſuis les illuſtres Autheurs.	Et je bois à mon gré de ces saintes liqueurs, Qui font, comme je suis les illustres Auteurs.
Seul, je vis de Lauriers, je loge au mont Caucaſe, J’ay pour valet ma Muſe, & pour cheval Pegaſe.	Seul, je vis de Lauriers, je loge au mont Caucase, J'ai pour valet ma Muse, et pour cheval Pégase.
I’oëte tres fidelle au grand Dieu que je ſers, Ma proſe a ſon congé, je ne parle qu’en vers, Je ſçais l’art de bien dire, & la philoſephie :	J'ôte très fidèle au grand Dieu que je sers, Ma prose a son congé, je ne parle qu'en vers, Je sais l'art de bien dire, et la philosephie :
Et la Mathematique, avec l’Aſtrologie Jentens bien toute langue, & l’on ne peut trouver, Rien que tres-doctement, je ne puiſſe prouves, Et de vous meriter j’ay lieu plus que perſonne, Si c’eſt au plus ſçivant que votre main ſe donne.	Et la Mathématique, avec l'Astrologie Jentends bien toute langue, et l'on ne peut trouver, Rien que très-doctement, je ne puisse prouves, Et de vous mériter j'ai lieu plus que personne, Si c'est au plus sivant que votre main se donne.
ANGELIQUE J’avoüe en verité que vous me charmez plus Qu’un tas de beaux eſprits qu’on nomme ſuperflus, 1 Et pour cela, Monſieur, vous avez l’art de plaire	ANGELIQUE J'avoue en vérité que vous me charmez plus Qu'un tas de beaux esprits qu'on nomme superflus, 1 Et pour cela, Monsieur, vous avez l'art de plaire
A DILLEbas.	À DILEbas.
Padille l’a trouvé;	Padille l'a trouvé;
ma foy, voicy l’affaire.	ma foi, voici l'affaire.
Je puis donc eſperer, Madame, le bonheur D’être choiſi par vous pour vôtre ſerviteur?	Je puis donc espérer, Madame, le bonheur D'être choisi par vous pour votre serviteur?
ANGELIQUE.	ANGELIQUE.
Qui vous a ditcela?	Qui vous a ditcela?
craignez de vous méprext dse.	craignez de vous méprext dse.
ADILLE.	ADILE.
Vous ne voulez donc pas à mon ſçavoir vous rendre	Vous ne voulez donc pas à mon savoir vous rendre
ANGELIQUE.	ANGELIQUE.
Sije veux un mary ce n’eſt pas encor vous.	Sije veux un mari ce n'est pas encor vous.
A D'I L LE bas.	À D'I L LE bas.
Voyez donc l’abregé des folles & des foux.	Voyez donc l'abrégé des folles et des foux.
Mais ſans tant de raiſons voulez vous toûjoun taire, Celuy qui pour époux pourra jamais vous plairt	Mais sans tant de raisons voulez -vous toûjoun aire, Celui qui pour époux pourra jamais vous plaît
ANGE IQUE.	ANGE IQUE.
Comme au plus écaliré de ceux que je connois.	Comme au plus écaliré de ceux que je connais.
Je veux bien vous montret celuy que j’aimerois Je prétens que l’époux que je veux reconnoîge Soit ent galante humeur, des plus ſçavans le Maître, En un mot que de tout il raiſonne ſi bien, Qu’il charme tout le monde avec ſon entretier Et que de ſon eſprit la gentille nature, Dans l’adreſſe, & dans tout ſoit ſemblable;	Je veux bien vous montret celui que j'aimerais Je prétends que l'époux que je veux reconnaître Soit ent galante humeur, des plus sçavans le Maître, En un mot que de tout il raisonne si bien, Qu'il charme tout le monde avec son entretier Et que de son esprit la gentille nature, Dans l'adresse, et dans tout soit semblable;
Mercute, Adieu, cherchez ailleurs à vous entretenir.	Mercute, Adieu, cherchez ailleurs à vous entretenir.
elle ſou	elle sou
ADILLE Bon, je vois à propos mon Maiſtre tevenir.	ADILE Bon, je vois à propos mon Maître tevenir.
SCENE VII.	SCÈNE VII.
LYSAN DRE, PADILLE.	LYSAN DRE, PADILLE.
LYSANDRE.	LYSANDRE.
E bien t'a telle fait encore quelque fraſque?	E bien t'a telle fait encore quelque frasque?
11 PADILLE Non, je ne vis jamais un amour ſi fantaſque.	11 PADILLE Non, je ne vis jamais un amour si fantasque.
LYSANDRE.	LYSANDRE.
Cette bizarre humeur me met au deſeſpoir.	Cette bizarre humeur me met au désespoir.
A D’ILLE ne vou fouereepome, je ſçauray bienl’avoir.	À D'ÎLE ne vou fouerepome, je saurai bienl'avoir.
LYSANDRE.	LYSANDRE.
Qoy?	Qoi?
tu pourrois trouver quelque ombre d’apparence.	tu pourrais trouver quelque ombre d'apparence.
A D I LLE Je la tiens dans vos tets, Monſieur, en aſſurance.	À D I LLE Je la tiens dans vos tets, Monsieur, en assurance.
LYSANDRE Dis donc vite, je cede à cét eſpoir ſi doux.	LYSANDRE Dis donc vite, je cède à cet espoir si doux.
A DILLE, Il faut avant cela que nous allions chez vous.	À DILLE, Il faut avant cela que nous allions chez vous.
LYSANDRE.	LYSANDRE.
Je brûle de ſçivoir ce que tume veux dire.	Je brûle de sçivoir ce que tume veux dire.
PADILLE.	PADILE.
Allons, chemin faiſant, je vais vous en inſtruire.	Allons, chemin faisant, je vais vous en instruire.
LYSANDRE:	LYSANDRE:
D'eù conçois tu padille un ſi charmanteſpoir.	D'eù conçois -tu padille un si charmantespoir.
PADILLE.	PADILE.
Retirons nous vous dis-je, vous l’allez ſçrvoit	Retirons -nous vous dis-je, vous l'allez sçrvoit
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ANGELIQUE, CEPHISE.	ANGELIQUE, CÉPHISE.
CEPHISE.	CÉPHISE.
Nfin j’entens par tout que ta bizarterie E pour les hommes ſçavans va juſqu’a la folie D’où vient donc que par tout on dit cela de tou Tu perdras ton renom, Couſine, en bonne foyJe t’en viens avertir comme étant ton amie.	Nfin j'entends par tout que ta bizarterie E pour les hommes sçavans va jusqu'a la folie D'où vient donc que par tout on dit cela de tou Tu perdras ton renom, Cousine, en bonne foie t'en viens avertir comme étant ton amie.
ANGELIQUE.	ANGELIQUE.
Vous prenez trop de ſoin, j’en ſuis toute aver tie, Et pouriez vous paſſer, ſans vous faire un gran tort, De me traitter de folle, & vous me fachez fort	Vous prenez trop de soin, j'en suis toute aver tye, Et pouriez -vous passer, sans vous faire un gran tort, De me traiter de folle, et vous me fâchez fort
CEPHISE.	CÉPHISE.
Si vous le prenez là, je vais bientot me :	Si vous le prenez là, je vais bientôt me :
aire Puis-je retenir, moy, la langue du Vulgaite?	aire Puis-je retenir, moi, la langue du Vulgaite?
On m’a fait ce raport, j’ay de vous avertir	On m'a fait ce rapport, j'ai de vous avertir
ANGELIQUE.	ANGELIQUE.
Mais vous croyez auſſi que c’eſt une folie D’aimer tant les ſçavans	Mais vous croyez aussi que c'est une folie D'aimer tant les savants
CEPHISE.	CÉPHISE.
en crois une partie.	en crois une partie.
ANGELIQUE.	ANGELIQUE.
Vous avez là deſſus de tres beaux ſentimens!	Vous avez là dessus de très beaux sentiments!
l’ignorance vous plaiſt comme à beaucoup de gens.	l'ignorance vous plaît comme à beaucoup de gens.
CEPHISE.	CÉPHISE.
V'oulez vous aprés tout que l’eſprit d’une femme	V'oulez -vous après tout que l'esprit d'une femme
ANGELIQUE.	ANGELIQUE.
Briſons là, s’il vous plaiſt, je vous quitte, Madame Et ne puis avec vous plus durer un moment.	Brisons là, s'il vous plaît, je vous quitte, Madame Et ne puis avec vous plus durer un moment.
CRPITSE.	CRPITSE.
On vient à nous;	On vient à nous;
adieu, voila quelque ſçavant.	adieu, voilà quelque savant.
SCENE II.	SCÈNE II.
ANGELIQUE, PADILLE tres bien mis.	ANGELIQUE, PADILE très bien mis.
PADILLE.	PADILE.
’Entens de tous cô ez que vous ſeriez bien.	’Entens de tous cô ez que vous seriez bien.
aiſe ne rencontrer, Madame, un amant qui vous plaiſe.	aise ne rencontrer, Madame, un amant qui vous plaise.
Je viens mal à propos m’offrir pour ce ſujet, Mais vous excuſerez peut-être mon projet,	Je viens mal à propos m'offrir pour ce sujet, Mais vous excuserez peut-être mon projet,
ANGELIQUE.	ANGELIQUE.
J’admire avec p’aiſic vôtre aimable genie	J'admire avec p'aisic votre aimable génie
PADILLE.	PADILE.
Je vout amene icy mauvai ſe compagnie	Je vout amène ici mauvai se compagnie
ANGELIQUE.	ANGELIQUE.
J’eois leule pourtant.	J'eais leule pourtant.
PADILLE.	PADILE.
Seule avec vôtre eſprit, Vous vallez mieux cent fois qu’un cerle de credit	Seule avec votre esprit, Vous vallez mieux cent fois qu'un cerle de crédit
ANGELIQUE.	ANGELIQUE.
La pointe à vos diſcours eſt par tout energique	La pointe à vos discours est par tout énergique
ADILLE Vos yeux ſeuls ont ſur moy la pointe qui me pi.	ADILE Vos yeux seuls ont sur moi la pointe qui me pi.
ſDi que.	sDi que.
Madame;	Madame;
& mon amour fait parler mon eſprit,	et mon amour fait parler mon esprit,
ANGELIQUE Avec peine je croy ce que vous m’avez dit.	ANGELIQUE Avec peine je crois ce que vous m'avez dit.
Quoy?	Quoi?
̀ vôtre liberté ſeroit elle aſſervie,	 Votre liberté serait -elle asservie,
ADILLE.	ADILE.
Ouy, Madame, & je croy que j’en tiens pour ma vie Mieux, Madame, que n’eſt un eſclave en Turqui?	Oui, Madame, et je crois que j'en tiens pour ma vie Mieux, Madame, que n'est un esclave en Turqui?
Et je crois me voyant brûler ſi fortement.	Et je crois me voyant brûler si fortement.
Vôtre eſprit un Soleil, vôtre œil miroir ardent De grace, moderez ce rayon qui me tuë.	Votre esprit un Soleil, votre œil miroir ardent De grâce, modérez ce rayon qui me tue.
ANGELIQUE àpart.	ANGELIQUE àpart.
Par ces charmans diſcours mon ame eſt abbatuë;	Par ces charmants discours mon âme est abattue;
Et s’ils étoit offert pour étre mon amant, Mon cœur reſiſteroit aſſez mal-aiſément.	Et s'ils était offert pour être mon amant, Mon cœur résisterait assez malaisément.
PADILLE.	PADILE.
l’adore la ſcience & je ſoûtiens.	l'adore la science et je soutiens.
Madame, Q’un homme ſans ſçavoir n’eſt rien qu’ul corps ſans ame.	Madame, Q'un homme sans savoir n'est rien qu'ul corps sans âme.
J'aime les beaux écris les Vers, & les Romans, Er ces productions que font toue les ſçavans.	J'aime les beaux écris les Vers, et les Romans, Er ces productions que font toue les sçavans.
ANGELIQUE.	ANGELIQUE.
Nous avons pour cela d’étroites ſympathies.	Nous avons pour cela d'étroites sympathies.
TADILLE.	TADILE.
