TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
Hilas.	Hilas.
l’ay veuë au matinſortir de ſa cabane uec ſa chere Aſtree emmenant leurs troupeaux ce que i’ay iugé le long de ces coſtaux.	l'ai vue au matinsortir de sa cabane ec sa chère Astre emmenant leurs troupeaux ce que j'ai jugé le long de ces costaux.
deffaict les voyla toutes deux & Siluandre ui coupant le chemin leurfait le ſentier prendre.	défait les voilà toutes deux et Silvandre ui coupant le chemin leur sent sentier prendre.
Siluandre.	Silvandre.
Par icy nous ſerons pluſtoſt ou nous allons	Par ici nous serons plutôt ou nous allons
Hilas.	Hilas.
Nous irons au deuant au moins ſi nous voulons.	Nous irons au devant au moins si nous voulons.
Paris.	Paris.
C’eſt ce que ie deſire.	C'est ce que cela désire.
Aſttee.	Astte.
impaiience aure Ie crains de reculer tant le chemin me dure.	impaiience aure Je crains de reculer tant le chemin me dure.
Paris.	Paris.
Bergeres ce iourd’huy me ſera deſormais, Au rang des plus beaux iours que ie verray iamais.	Bergères ce jour'hui me sera désormais, Au rang des plus beaux jours que sans verrai jamais.
Et ie fais plus d’eſtat d’auoir ceſte rencontre, Que de toùs les threſors dont le luxe fait monſtre	Et petit fais plus d'état d'avoir cette rencontre, Que de toùs les trésors dont le luxe fait montre
Diallc.	Diallc.
Et nous nous croirons heureuſes de pouuoir, Sans aucum compliment ſatisfaire au deuoir.	Et nous nous croirons heureuses de pouvoir, Sans aucum compliment satisfaire au devoir.
Siluandre.	Silvandre.
Fets:	Fets:
te pon accueil me donne cognoiſſance, Que ie doy de Paris redouter la naiſſance.	te pon accueil me donne connaissance, Que ie dois de Paris redouter la naissance.
Paris.	Paris.
Permettez moy l’honneur de vous accompagner.	Permettez -moi l'honneur de vous accompagner.
Aſtrée.	Astrée.
C’eſtetrop de courtoiſie enuers nous teſmoigner, Allons, puis qu’il vous plaiſt, en voſtre compagnit, Nous receurons ſans doute vne gloire infinie.	C'estettrop de courtoisie envers nous témoigner, Allons, puis qu'il vous plaît, en votre compagnit, Nous recevrons sans doute une gloire infinie.
Siluandre.	Silvandre.
Nous y voicy tantoſt, mais qu’eſt-ce que ie voy Le ſentier eſt rompu.	Nous y voici tantôt, mais qu'est-ce que je vois Le sentier est rompu.
Hilas.	Hilas.
Hilas.	Hilas.
Tu vois comme ie croy	Tu vois comme tu crois
Que tu nous conduis mal.	Que tu nous conduis mal.
Sil.	Sil.
Non fay, mais ie m'eſtonne Qui peut auoir courbé tous ces arbres en tonne	Non fais, mais Seigneur m'étonne Qui peut avoir courbé tous ces arbres en tonne
Paiae.	Paiae.
Pour en trouuer l’entree il fant faire le tour.	Pour en trouver l'entre il fant faire le tour.
Siluandre.	Silvandre.
Quelque diuinité fait icy ſon ſeiour.	Quelque divinité fait ici son séjour.
Vers deſſus la porte que Siluandre lit.	Vers dessus la porte que Syluandre lit.
Mortel qui que tu ſois regarde dés l’entree Que c’eſt le temple ſainct de la deeſſe Aſtree.	Mortel qui que tu sois regarde dés 'entre Que c'est le temple saint de la déesse Astre.
Et que les prophanes esprits, Qui ne ſont point eſpris D’vne flamme ſainte & fidelle Sont trop mal voulus d’elle, Pour les laiſſer entrer dans ſon ſacré pourpris.	Et que les prophanes esprits, Qui ne sont point épris D'une flamme sainte et fidèle Sont trop mal voulus d'elle, Pour les laisser entrer dans son sacré pourpris.
01 Rempli d’eſtonnement ie ne ſçay plus que dire.	01 Rempli d'étonnement ie ne sais plus que dire.
Paris.	Paris.
Ne vous deuiez vous pas en cet endroit conduire?	Ne vous deviez -vous pas en cet endroit conduire?
Siluandre.	Silvandre.
Nullement.	Nullement.
Paris.	Paris.
Allons rendre à la diuinité, Qui preſide en ce lieu co qu’elle a merité, Apres nous reprendrons la route commencee.	Allons rendre à la divinité, Qui preside en ce lieu co qu'elle a mérité, Après nous reprendrons la route commencée.
Aſtreé.	Astre.
Vous auez beau Paris donne daus ma penſee.	Vous avez beau Paris donne daus ma pensée.
Hilas.	Hilas.
Entrez ſi vous voulez, quant à moy ie ſçay biex Quoy que vous m’en diſiez que ie n'en feray rien:	Entrez si vous voulez, quant à moi -je sçay biex Quoi que vous m'en disiez que ie n'en ferai rien.
mejuies mab te ne feay prrayme de tu forte Que preſcriuent les vers eſcrits deſſus la porte.	méjuies mab te ne feai prraime de tu forte Que prescrivent les vers écrits dessus la porte.
Paris dans le Temple.	Paris dans le Temple.
Cet autel de gazon proprement eſleué Semble à le voir ſi vert qu’il vient d’eſtre acheué, Icy l’art a voulu ſurpaſſer la nature, Et ſi ie ne me trompe à voir cette peinture Elle reſſemble Aſtree, Silu.	Cet autel de gazon proprement élevé Semble à le voir si vert qu'il vient d'être achevé, Ici l'art a voulu surpasser la nature, Et si tu ne me trompe à voir cette peinture Elle ressemble Astre, Silu.
il eſt vray, Dia.	il est vrai, Dia.
mais voicy Des rouleaux qui rendront ce myſtere eſclaircy, Liſez en le premier, car c’eſt par là ſans doute, Que nous ſçaurons que c'eft.	mais voici Des rouleaux qui rendront ce mystère éclairci, Lisez en le premier, car c'est par là sans doute, Que nous saurons que c'est.
Aſtrée.	Astrée.
Il faut que ie l’eſcoute,	Il faut que ici l'écoute,
Paris lit le rouleau.	Paris lit le rouleau.
Grande & puiſſante deité, Dans ce Temple ſainct adoree, 4 Accepte belle Aſtree, Ce cœur en ſacrifice, offert à ta beauté, Et ſçache que ceſte victime Eſt exempte de crime, Et qu’elle ſouffre plus qu'elle n’a merité, Voy cett' ame qui nuict & iour Parmy ces tristes lieux ſouſpire, Et qui deſſoubs l’empire, Que l’eſclat detes yeux fait auoir à l’amour, N’a point eu de peine plus dure, Rvue qu'elle endure Durant ſa tongue aoſente, nors à eſpoir de retour.	Grande et puissante deité, Dans ce Temple saint adorée, 4 Accepte belle Astrée, Ce cœur en sacrifice, offert à ta beauté, Et sache que cette victime Est exempte de crime, Et qu'elle souffre plus qu'elle n'a mérité, Voyait cel ame qui nuit et jour Parmi ces tristes lieux soupire, Et qui dessoubs l'empire, Que l'éclatire yeux faitéclat de l'amour, N'a point eu de peine plus dure, Rève qu'elle endure Durant sa tongue aosente, nors à espoir de retour.
Depuis elle erre ſans ſupport, Et toute choſe eſt inſexſible A ſa peine indicible:	Depuis elle erre sans support, Et toute chose est insexsible À sa peine indicible:
Mais parmy les rigueurs dont la preſſe le ſort, Seulement elle te demande Que ra pitie la rende, A l’aymable repos qu’on veut apres la mort.	Mais parmi les rigueurs dont la presse le sort, Seulement elle te demande Que ra pitié la rende, À l'aimable repos qu'on veut après la mort.
Deeſſe accorde luy ce don, En faueur de la ſaincte flame Que garde vn berger dans ſon ame, Qui ſans auoir failly te demande pardon:	Deesse accorde amour ce don, En faveur de la sainte flamme Que garde un berger dans son âme, Qui sans avoir failly te demande pardon:
Et ſi la peur de te deblaire, N’empeſchoit de le faire, Elle t’en ſuppliroit au nom de Celadon.	Et si la peur de te déblaire, N'empêchait de le faire, Elle t'en supplirait au nom de Céladon.
O grãds Dieux, que ces vers me donnν dedãs l’ame Qu'au lieu de tant d’honneur, i'ay merite de blaſme, Mon berger les a faits.	Ô grands Dieux, que ces vers me donnν dedãs l'âme Qu'au lieu de tant d'honneur, j'ai mérite de blâme, Mon berger les a faits.
Hilas.	Hilas.
Il ſe faut depeſcher, Si vous n’auez point fait le deſſein d'y coucher Le Soleil qui n'a plus qu'vne foible lumiere, Se trouuera tantoſt au bout de ſa carrlere.	Il se faut dépêcher, Si vous n'avez point fait le dessein d'y coucher Le Soleil qui n'a plus qu'une faible lumière, Se trouvera tantôt au bout de sa carrlère.
Diane hors du temple.	Diane hors du temple.
Ma ſœur ſi Celadon, comme vous m’auez dit, A tout ce qu'on a leu de ſa main propre eſcrit, En quelque part qu’il ſoit il vit pour ſa bergere.	Ma sœur si Céladon, comme vous m'avez dit, À tout ce qu'on a lu de sa main propre écrit, En quelque part qu'il soit il vit pour sa bergère.
Aſtree.	Astreée.
Ahma ſœur?	Ahma sœur?
Celadon n’eſt qu’vne ombre legere, A qui meſme Charon l’auare Nautonnier Refuſe le paſſage à faute d’vn denicr.	Céladon n'est qu'une ombre légère, À qui même Charon l'avare Nautonnier Refuse le passage à faute d'un denicr.
Suluandre.	Suluandre.
Il eſt vray que nos corps reſtans ſans ſepulture, Apres les droicts payez qu’on doit à la Nature, Nos ames ſont long-temps errantes à l’entour Des endroicts où les corps perdent le bien du iour, Et que le vieil Charon leur refuſe ſa barque, de ujant pount ie trtout qu'on doit u jon Monarque:	Il est vrai que nos corps restants sans sépulture, Après les droits payés qu'on doit à la Nature, Nos âmes sont longtemps errantes à l'entour Des endroits où les corps perdent le bien du jour, Et que le vieil Charon leur refuse sa barque, de ujant pount jours trtout qu'on doit é jon Monarque:
Mais apres ce detour nous voicy toutesfois Arriuez, grace aux Dieux à l’entree du bois, Ou nous voulions aller.	Mais après ce détour nous voici toutefois Arrivez, grâce aux Dieux à l'entre du bois, Ou nous voulions aller.
Hilas.	Hilas.
Berger tes réueries Nous vont faire coucher loin de nos bergeries.	Berger tes révériez Nous vont faire coucher loin de nos bergeries.
Siluandre.	Silvandre.
Prophane prens bien garde à n'irriter le Dieu, Qui montre ciatrement d'habiter en ca tieu,	Prophane prends bien garde à n'irriter le Dieu, Qui montre ciatrement d'habiter en ca tieu,
Siluandre.	Silvandre.
Et toy de ne te perdre aux detours du bocage, Puiſque toute la terre a changé de viſage, Et que deſia, la nuist a faict mourir le iour, Dont nous deuons attendre en ce lieu le retour, Ou iau moins que ta tunt ancunement eſclaire, Afin que nous voyons ce que nous deuons faire,	Et toi de ne te perdre aux détours du bocage, Puisque toute la terre a changé de visage, Et que déjà, la nuist a fait mourir le jour, Dont nous devons attendre en ce lieu le retour, Ou au moins que ta unt ancunément éclaire, Afin que nous voyons ce que nous devons faire,
Paris.	Paris.
Braue Hilas, voſtre aduis ſera ſuiui du mien,	Brave Hilas, votre avis sera suivi du mien,
Diane.	Diane.
Et nous ſuiurons le voſtre Paris.	Et nous suivrons le vôtre Paris.
At faut pour eftre bien, Que vous vous repoſies toutes deux ſur leur ſayes, Iandis que nous irons coucher pres de ces hayes.	At faut pour être bien, Que vous vous reposiez toutes deux sur leur sayes, Jandis que nous irons coucher pres de ces hayes.
Aſtree.	Astreée.
Ce qui vous ſemble bon est noſtre volonté:	Ce qui vous semble bon est notre volonté:
Paris.	Paris.
Nous allons donc tous trois prenart tantre coſté, Attenàant que la lune ait chaßé les tenebres,	Nous allons donc tous trois prenart tantre côté, Attenàant que la lune ait chassé les ténèbres,
Aſtree.	Astreée.
Helas!	Hélas!
ie ne voy rien que des objets funebres,	Ne ne vois rien que des objets funèbres,
Diane.	Diane.
le commence pour moy d’esperer vn peu mieux, Et croy qu’auparauant que nous quitions ces lieux Quelque bonne nouuelle apaiſera vos larmes:	le commence pour moi d'espérer un peu mieux, Et crois qu'auparavant que nous quitions ces lieux Quelque bonne nouvelle apaisera vos larmes:
Mais deſia le ſommeil me preſſe de ſes charmes, Repoſons nous vn peu,	Mais déjà le sommeil me presse de ses charmes, Reposons nous un peu,
Aſtree.	Astreée.
Ie le veux bien ma ſœur.	Je le veux bien ma sœur.
Celadon.	Céladon.
Cependant que la nuict auecques ſa noirceur Rend les plus beaux obiects a nos yeux effroyables Ie vien dire à ces bois, par mes cris pitoyables.	Cependant que la nuit avec sa noirceur Rend les plus beaux objets à nos yeux effroyables Je vien dire à ces bois, par mes cris pitoyables.
L’iniuſte coup du ciel qui finit mes plaiſirs, Et donnę vne contrainte a mes iuſtes deſirs;	L'injuste coup du ciel qui finit mes plaisirs, Et donn ait contrainte à mes justes désirs;
Mais ce petit croiſſant qui commence à parêtre, Fait malgré ces rameaux ſa lumire cognoétre, Les obiets ne ſont plus à mes yeux ſi cachez, Ie voy quelques bergers deſſus l’herbe couchés, Qui pour dormir ſe ſont ſeparez des bergeres, Qut repoſent plus loin ſoubs les feuilles lergeres:	Mais ce petit croissant qui commence à paraître, Fait malgré ces rameaux sa lumire connaître, Les objets ne sont plus à mes yeux si cachés, Je vois quelques bergers dessus l'herbe couchés, Qui pour dormir se sont séparez des bergères, Qut reposent plus loin sous les feuilles lergères:
Il faut ſçauoir qui c’eſt:	Il faut sçauoir qui c'est:
voila Paris qui dort Pres d’Hilas & Siluandre, ô cruauté du ſort, Ma bergere eſt icy, deſſus l’herbe endormie.	voilà Paris qui dort Pres d'Hilas et Silvandre, ô cruauté du sort, Ma bergère est ici, dessus l'herbe endormie.
Ah!	Ah!
quell' aura raiſon d’eſtre mon ennemie, Ie n’ay pourtant, rien faict qui choque mon deuoir, Car tandis qu’elle dort, elle ne me peut voir, Et ſans contreuenir a ſa regle importunc, Iepuis prendre aux cheueux cette bonne fortune;	quell et -elle d'être mon ennemie, Je n'ai pourtant, rien fait qui choque mon devoir, Car tandis qu'elle dort, elle ne me peut voir, Et sans contrevenir à sa règle importunc, Jepuis prendre aux cheveux cette bonne fortune;
Receceuons donc ce bien:	Recevons donc ce bien:
Ah mes ſens aueuglez Dans vn ſi grand bon-heur ſe trouuent dereglez, Et ie reſſenble à ceux qui ſortis des tenebres, Qu'vne priſon enferme en ſes cachots funebres, Lors qu’il reſpirent l'air auecques liberté, Se trouuent esbloüis d’vne grande clarté Dans ce bon-heur preſent i’ay peine à me reſpondre, Mais quand les dieux deuroient m'eſcraſer de leur foudre, Et que tout deuroit eſtre à ma confuſion, Ie ne laiſſeray point perdre l’occaſion, Que ſes yeux toutefois à trauers leur paupieres, En depit du ſommeil me monſtrent de lumieres, Temerere, oſeray-ie aprocher ce beau ſein;	Ah mes sens aveuglés Dans un si grand bonheur se trouvent déréglez, Et grands ressenble à ceux qui sortis des ténèbres, Qu'une prison enferme en ses cachots funèbres, Lors qu'il respirent l'air avec liberté, Se trouvent éblouis d'une grande clarté Dans ce bonheur présent j'ai peine à me répondre, Mais quand les dieux devraient m'écraser de leur foudre, Et que tout devrait être à ma confusion, Je ne laisserai point perdre l'occasion, Que ses yeux toutefois à travers leur paupières, En dépit du sommeil me montrent de lumières, Temerere, oserai-ie re ce beau sein,
Oſeray ie accomplir mon amoureux deſſein?	Oserai ici accomplir mon amoureux dessein?
Il me le faut oſer, ô douceur nompareille, Il faut baiſer encor ceſte bouche vermeille, Et prendre la deſſus plus de ſucre & de miel, Quimes tranaua paſſez te n'ay trouue dt fielReçoy donc ce baiſer, ô diuine merueille, Mais il me faut fuir, la voila qui s’éueille.	Il me le faut oser, ô douceur nompareille, Il faut baiser encor cette bouche vermeille, Et prendre la dessus plus de sucre et de miel, Quimes tranava passez te n'ai trouve dût fielReçoy donc ce baiser, ô divine merveille, Mais il me faut fuir, la voilà qui s'éveille.
Aſtrec.	Astrec.
A l’aide ma Diane:	À l'aide ma Diane:
Ah!	Ah!
ma ſœur ie me meurs, Bergers estes vous ſourds à mes triſtes clameurs?	ma sœur Seigneur me meurs, Bergers êtes -vous sourds à mes tristes clameurs?
Siluandre.	Silvandre.
Bergere qu’auez-vous, quel accident vous preſſe?	Bergère qu'avez-vous, quel accident vous presse?
Aſtree.	Astreée.
De mes ſens la douleur eſt tout à faict maiſtreſſe, L’ombre de Celadon apparu à mes yeux Se plaint que ſans honneur elle erre dans ces lieux	De mes sens la douleur est tout à fait maîtresse, L'ombre de Céladon apparu à mes yeux Se plaint que sans honneur elle erre dans ces lieux
Diane.	Diane.
Il la faut contenter.	Il la faut contenter.
Aſtree.	Astreée.
Ouy deuant que l’aurore Se montre encor trois fois jur te riuage more.	Oui devant que l'aurore Se montre encor trois fois jur te rivage more.
Paris.	Paris.
Bergere i’en prendray ſur moy tout le ſoucy, Car ie ſçay ce qu’il faut en cet affaire icy.	Bergère j'en prendrai sur moi tout le souci, Car tu sais ce qu'il faut en cet affaire ici.
Diane.	Diane.
Il ſera plus ſeant qu’autre qu’elle luy rende L’hõneur du vain tombeau que ſon ombre demande,	Il sera plus séant qu'autre qu'elle avait rende L'honneur du vain tombeau que son ombre demande,
ACTE SECOND.	ACTE SECOND.
Adamas, Leonide, Paris, Varris, Siluandre, Hilas, Chœur, Aileudey Dilc.	Adamas, Léonide, Paris, Varris, Silvandre, Hilas, Chœur, Aileude , Dilc.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Adamas, Leonide, Adamas.	Adamas, Léonide, Adamas.
Ve les ſecrets des dieux ſont iuſtement cachez A nous pauures humains, accablez de pechez, Qui retenans noſtre ame en ſa priſon mortelle L'empeſchent de penſer à ſa ſource eternelle:	Ve les secrets des dieux sont justement cachés À nous pauvres humains, accablez de péchés, Qui retenants notre âme en sa prison mortelle L'empêchent de penser à sa source éternelle:
De là viennent les maux que ſouffrent les mortels, Et le peu de profit que nous font les autels, I'ay depuis vn long temps par mon experience A mes propres despens apris ceſte ſcience;	De là viennent les maux que souffrent les mortels, Et le peu de profit que nous font les autels, J'ai depuis un long temps par mon expérience À mes propres dépens après cette science;
Mais les dieux ſoient loüez qu’en mon aduerſité Ie n’ay point murmuré contre leur Maieſté,	Mais les dieux soient louez qu'en mon aduersité Je n'ai point murmuré contre leur Majesté,
Et qu’alors qu’il leur pleust de m’oſter l’eſperance.	Et qu'alors qu'il leur plût de m'ôter l'espérance.
En m’ostant mon cher fils en ſa plus tendre enfance I’ay beny leur bonté croyant que quelque iour Ils me regarderoient auec vn œil d’amour.	En m'ôtant mon cher fils en sa plus tendre enfance J'ai béni leur bonté croyant que quelque jour Ils me regarderaient atte il d'amour.
De faict ils m'ont promis auec vn peu d’attante.	De fait ils m'ont promis homme un peu d'attante.
De rendre en peu de iours ma vieilleſſe contente, Par vn Oracle expres m’ordonnant cependant D’auoir pour Celadõn vn ſoin touſiours ardant Diſant que mon bon-heur dependoit de ſa ioye, Que ſon bien & le mien eſtoit en meſme voye;	De rendre en peu de jours ma vieillesse contente, Par un Oracle exprès m'ordonnant cependant D'avoir pour Céladon un soin toujours ardant Disant que mon bonheur dépendait de sa joie, Que son bien et le mien était en même voie;
Par ce commandement, qui me fait esperer, Que mes maux quelque iour ceſſeront de durer:	Par ce commandement, qui me fait espérer, Que mes maux quelque jour cesseront de durer:
Ils veulent m’obliger à chercher du remede A l’extreme douleur qui ſon ame poſſede, L’occaſions’en offre aſſez belle auiourd’huy Que ſa bergere meſme eſt en larmes pour luy, Et que le croyant mort chacun ſe met en peine De le mettre en repos par vne tombe vaine, Il vous faut, Leonide, aller tout de ce pas Où l’on pleint du berger l’imaginé trespas, Et de geste, & de voix auec vos;	Ils veulent m'obliger à chercher du remède À l'extrême douleur qui son âme possède, L'occasionsen offre assez belle aujourd'hui Que sa bergère même est en larmes pour lui, Et que le croyant mort chacun se met en peine De le mettre en repos par une tombe vaine, Il vous faut, Léonide, aller tout de ce pas Où l'on pleint du berger l'imaginé trépas, Et de geste, et de voix avec vos;
larmes feintes, De toute cette troupe accompagner les plaintes, Tandi--ie taſcheray de gaigner le berger, Et de le diſpoſer à l’habit menſonger, Dont ie voudrois cacher & ſon ſexe & ſa race, Ee bien tost le remettre auec Aſtree en grace, Et vous ferés courir diſcrettement le bruict Que ma fille Alexis doit venir ceste nuict.	larmes feintes, De toute cette troupe accompagner les plaintes, Tandi-je tâcherai de gagner le berger, Et de le disposer à l'habit mensonger, Dont ainsi voudrais cacher et son sexe et sa race, Ee bien tôt le remettre avec Astrée en grâce, Et vous ferez courir discrettement le bruit Que ma fille Alexis doit venir cette nuit.
Leoniide.	Léonide.
Ie taſcheray touſiours par tout de vous complaire, Et principalement en ceste bonne affaire, D’où depend le repos que les dieux vos amis Ont par leur ſainct Oracle à vos vieux iours promis,	Je tâcherai toujours par tout de vous complaire, Et principalement en cette bonne affaire, D'où dépend le repos que les dieux vos amis Ont par leur saint Oracle à vos vieux jours promis,
SCENE SECONDE, Paris, Vacie, Siluandre, Hilas, Aſtree.	SCÈNE SECONDE, Paris, Vacie, Siluandre, Hilas, Astre.
Diane, Leonide.	Diane, Léonide.
JOicy l’endroit choiſi pour la ceremonie, Que demande de nous cét amoureux genie, Voila le tombeau vain, & le laict preparé, Auecques l’agneau noir dont le front eſt doré:	JOici l'endroit choisi pour la cérémonie, Que demande de nous cet amoureux génie, Voilà le tombeau vain, et le lait préparé, Avecques l'agneau noir dont le front est doré:
Le Vacie eſt tout preſt pour le ſainct ſacrifice, Et n'attend qu’apres nous à faire ſon office.	Le Vacie est tout prêt pour le saint sacrifice, Et n'attend qu'après nous à faire son office.
Vacie.	Vacie.
Vous qu'vn pieux deſſein oblige à ce debuoir, Adreſſez tous vos vœux chez le monarque noir, Tandis que de ce laict, & de cette victime I’appaiſeray les dieux de l’infernal abiſme, Grands iuges de l’enfer, Eaque, & vous Minos, Qui là bas ordonnez la peine ou le repos, Suiuant que les eſpris ſont plus ou moins coulpables, Rendez vous maintenant à nos veux fauorables Et ne permertez plus que l’auare Charon, Refuſe à cét esprit de paſſer l’Acheron:	Vous qu'un pieux dessein oblige à ce débuoir, Adressez tous vos vœux chez le monarque noir, Tandis que de ce lait, et de cette victime J'apaiserai les dieux de l'infernal abîme, Grands juges de l'enfer, Éque, et vous Minos, Qui là bas ordonnez la peine ou le repos, Suivant que les esprit sont plus ou moins coulpables, Rendez vous maintenant à nos veux favorables Et ne permertez plus que l'auare Charon, Refuse à cet esprit de passer l'Acheron:
Que ce laict que ie verſe, & ce ſang que i’eſpãche, Du tribut qu’elle doit rendent cett' ame franche:	Que ce lait que Seigneur verse, et ce sang que j'épanche, Du tribut qu'elle doit rendent cet âme franche:
Et toy pour qui l’on faict ce tombeau ſolemnel, Va iouir chez les morts du repos eternel, N'erre plus deſormais en ces ueux folttaires, Y laiſſant en repos ſes hoſtes ordinaires.	Et toi pour qui l'on fait ce tombeau solennel, Va jouir chez les morts du repos éternel, N'erre plus désormais en ces ouveux foltaires, Y laissant en repos ses hôtes ordinaires.
Paris.	Paris.
Bell' ame hoſteſſe autresfois, Du plus beau corps du monde, Eſcoute les accents de nos plaintiues voix, Deuant que paſſer t’onde, Et receuoir le ioug des infernalles loix.	Bell' âme hôtesse autrefois, Du plus beau corps du monde, Escoute les accents de nos plaintives voix, Deuant que passer t'onde, Et recevoir le joug des infernales lois.
Siluandre.	Silvandre.
Reçoy de grace ces fleurs Eaupt'amitié ſaincte, Meſte ſur ceite tombt, auce Peau de nos pleurs Et parmi noſtre plainte, Voynos ſouſpirs teſmoins de nos iuſtes douleurs.	Reçois de grâce ces fleurs Éaupt-amitié sainte, Mête sur ceite tombt, auce Peau de nos pleurs Et parmi notre plainte, Voynos soupirs témoins de nos justes douleurs.
Hilas.	Hilas.
Quand tu viuois parmi nous, La plaine eſtoit plus verte, Le ciel nous regardoit auec vn œil plus doux, Mais depuis cette perte, Dãs l’eſclair & la foudre il marque sõ courroux.	Quand tu vivais parmi nous, La plaine était plus verte, Le ciel nous regardait toujours un œil plus doux, Mais depuis cette perte, Dans l'éclair et la foudre il marque sont courroux.
Chœur des Bergers.	Chœur des Bergers.
Nos miſerables brebis, Ont de la peine à pétre Les arbres de douleur quittent leurs verds habits, Et depuis l’on voit nétre Laurore tous les iours ſans perles, ny rubis.	Nos misérables brebis, Ont de la peine à pêtre Les arbres de douleur quittent leurs verds habits, Et depuis l'on voit naître Laurore tous les jours sans perles, ni rubis.
Aſtree.	Astreée.
Ma ſœur ie n'en puis plus, Diane.	Ma sœur ici n'en puis plus, Diane.
reprenez vos eſpris, Que losjensut juient pi, de cexcotets farpris, Faites voir maintenant auec voſtre conſtance, Que les malheurs chez vous trouuent de reſiſtance.	reprenez vos épris, Que losjensut juient pi, de cexcots farpris, Faites voir maintenant avec votre constance, Que les malheurs chez vous trouvent de résistance.
Vac.	Vac.
C’eſt aſſez mes amis, c’eſt aſſez ſouſpiré, L’on a ſur ce tombeau ſuffiſamment pleuré, Les dieux ſont ſatisfaits, faiſons ce qui nous reſte, Pour conduire à ſa fin cét office funeſte, Di jait jon Epltapne.	C'est assez mes amis, c'est assez soupiré, L'on a sur ce tombeau suffisamment pleuré, Les dieux sont satisfaits, faisons ce qui nous reste, Pour conduire à sa fin cet office funeste, Di jait jon Epltapne.
Sil.	Sil.
il me faut ſeulement D'vn couteau la grauer deſſus le monument.	il me faut seulement D'un couteau la graver dessus le monument.
Aſtree.	Astreée.
Dieux que n’eslancez vous ſur moy voſtre tõnerre!	Dieux que n'élancez -vous sur moi votre tõnerre!
Pourquoy pour m'engloutir n’ouurez vous point la terre ?	Pourquoi pour m'engloutir n'ouvrez -vous point la terre ?
Ant vous fertez encor pour mon crime trop doux	Ant vous fertez encor pour mon crime trop doux
Diane.	Diane.
Contraignez ces regrets on a les yeux ſur nous.	Contraignez ces regrets on a les yeux sur nous.
Leonide.	Léonide.
Celadon, Celadon, vois-tu point à cét heure Auec quels ſentiments ta bergere té pleure?	Céladon, Céladon, vois-tu point à cet heure Avec quels sentiments ta bergère té pleure?
Nvonta ne te von pas carjun aſſuctton, Sans doute amoliroit ton obſtination.	Névonta ne te von pas carjun assucton, Sans doute amolirait ton obstination.
Siluandre lit l’Epitaphe.	Silvandre lit l'Épitaphe.
Paſſant quand tu verras ce funeſte tombeau, Et le nom du berger pour qui l’on la fait faire, Tu ſçauras que l’Amour deuenu ſolitaire A de regret eſteint dans ſes pleurs ſon flambeat Pleure donc comme luy, La perte que nous auons faite, La mort de Celadon doit eſtre ſa defaite, Et le ſubiet de ton ennuy.	Passant quand tu verras ce funeste tombeau, Et le nom du berger pour qui l'on la fait faire, Tu sçauras que l'Amour devenu solitaire A de regret éteint dans ses pleurs son flambeat Pleure donc comme lui, La perte que nous avons faite, La mort de Céladon doit être sa défaite, Et le sujet de ton ennui.
Hilas.	Hilas.
Ie l’auois touſiours creu qu’à la fin ſa folie Mettroit là quelque traict de ſa melancholie.	Je l'avais toujours cru qu'à la fin sa folie Mettrait là quelque trait de sa mélancolie.
VaC.	VaC.
Tout est faict il eſt temps d’abandonner ce lieu, Et de ſe retirer.	Tout est fait il est temps d'abandonner ce lieu, Et de se retirer.
Chœur.	Chœur.
Leonide.	Léonide.
Puis que l’on a mis fin à la ceremonie, Ie vay prendre congé de cette compagnie, Fachee toutes fois de la quiter ſi toſt, Mais ma ſœur Alexis doit arriuer bien toſt, Qui me rend ce depart maintenant neceſſere, Ie laiſſeray pourtant auecques vous mon frere, Qui vous accompagnant vous dira la raiſon, Qui luy fait delaiſſer ceſte ſaincte maiſon, Où depuis ſi long temps elle eſtoit enfermee.	Puis que l'on a mis fin à la cérémonie, Je vais prendre congé de cette compagnie, Fachée toute fois de la quit si tôt, Mais ma sœur Alexis doit arriver bien tôt, Qui me rend ce départ maintenant necessere, Je laisserai pourtant auecques vous mon frère, Qui vous accompagnant vous dira la raison, Qui lui fait délaisser ceste sainte maison, Où depuis si long temps elle était enfermée.
Dianc.	Dianc.
Noſtre ſimplicité ne ſera point blaſmee, Madame, ſi ſuiuant voſtre commandement, Nous vſons auec vous de peu de compliment, Puis que vous deſirez de, viure en la franchiſe, Que dedans nos hameaux nous nous ſommes acquiſe, e ent ce qui vons peananen jermiadeloy.	Notre simplicité ne sera point blâme, Madame, si suivant votre commandement, Nous usons avec vous de peu de compliment, Puis que vous désirez de, vivre en la franchise, Que dedans nos hameaux nous nous sommes acquise, e u ce qui vons peananen jermiadelais.
Le onide.	Le onide.
Adieu ſouuenez vous l’vne & l’autre de moy,	Adieu souvenez vous l'une et l'autre de moi,
Aſtree.	Astreée.
Adieu Madame, adieu, nous demeurons confuſes, Et cét honneur nous rend tout à fait ſans excuſes.	Adieu Madame, adieu, nous demeurons confuses, Et cet honneur nous rend tout à fait sans excuses.
SCENE TROISIESME, Adamas, Celadon, Leonide,	SCÈNE -TROISIÈME, Adamas, Céladon, Léonide,
Adamas.	Adamas.
