JULIE, Fille d’Oronte.	JULIE, Fille d'Oronte.
Il n’y a pas un Pourceaugnac à Limoges que je ne connoiſſe depuis le plus graiiu juiques au plus petit;	Il n'y a pas un Pourceaugnac à Limoges que je ne connaisse depuis le plus graiju juiques au plus petit;
je ne frequentois qu’eux dans le temps que j’y eſtois, & j’avois l’honneur de vous voir preſque tous leo jouib.	je ne fréquentais qu'eux dans le temps que j'y étais, et j'avais l'honneur de vous voir presque tous leo jouib.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Celt moy quil ay leceuy ſoneul.	Celt moi quil ai lecui soneul.
ERASTE.	ERASTE.
Vous ne vous remettez point mon viſage?	Vous ne vous remettez point mon visage?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Si-fait.	Si-fait.
à Sbrig.	à Sbrig.
Je ne le connois point.	Je ne le connais point.
ERASTE.	ERASTE.
Vous ne vous reſſouvenez pas que j’ay eu le bonheur de boire avec vous je ne ſçay combien de fois?	Vous ne vous ressouvenez pas que j'ai eu le bonheur de boire avec vous je ne sais combien de fois?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Excuſez-moy.	Excusez-moi.
à Sbrig.	à Sbrig.
Je ne ſçay ce que c’eſt.	Je ne sais ce que c'est.
ERASTE.	ERASTE.
ERASTE.	ERASTE.
Comment appellez-vous ce Traitteur de Limogès qui fait ſi bonne chere?	Comment appelez-vous ce Traiteur de Limogés qui fait si bonne chère?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Petit-Jean?	Petit-Jean?
ERASTE.	ERASTE.
Le voila.	Le voilà.
Nous allions le plus ſouvent enſemble chen luy lous léjoun.	Nous allions le plus souvent ensemble chen cy lous léjoun.
Comment eſt-ce que vous nommez à Limoges ce Lieu où l’on ſe promene?	Comment est-ce que vous nommez à Limoges ce Lieu où l'on se promène?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Le Cimetiere des Arenes?	Le Cimetière des Arène?
ERASTE.	ERASTE.
Juſtement;	Justement;
c’eſt où je paſſois de ſi douces heures à joüir de voſtre agreable Converſation.	c'est où je passais de si douces heures à jouir de votre agréable Conversation.
Vous ne vous remettez pas tout cela?	Vous ne vous remettez pas tout cela?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Excuſez-moy, je me le remets.	Excusez-moi, je me le remets.
à Sbrigani.	à Sbrigani.
Diable emporte, ſi je m’en ſouviens.	Diable emporte, si je m'en souviens.
BRIGANI.	BRIGANI.
Il y a cent choſes comme cela qui paſſent de la teſte.	Il y a cent choses comme cela qui passent de la tête.
ERASTE.	ERASTE.
Emblallez-moy donc, je vous prie, & reſſerrons les nœuds de noſtre ancienne amitié.	Emblallez-moi donc, je vous prie, et resserrons les nœuds de notre ancienne amitié.
SBRIGANI.	SBRIGANI.
Voila un Homme qui vous aime fort.	Voilà un Homme qui vous aime fort.
ERASTE.	ERASTE.
oites moy uir peu des louvelles de toute la Parenté:	oites -moi ir peu des louvelles de toute la Parenté:
Comment ſe porte Monſieur voſtre.	Comment se porte Monsieur votre.
là.	là.
qui elt n’nonneſte Homnme ?	qui ellet n'nonnête Homnme ?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mon Frere le Conſul?	Mon Frère le Consul?
oüy.	oui.
ERASTE.	ERASTE.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Il ſe porte le mieux du monde.	Il se porte le mieux du monde.
ERASTE.	ERASTE.
ERASTE.	ERASTE.
Certes j’en ſuis ravi.	Certes j'en suis ravi.
Et celuy qui eſt de ſi bonne humeur?	Et celui qui est de si bonne humeur?
la.	la.
Monſieur voſtre.	Monsieur votre.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mon Couſin l’Aſſeſſeur?	Mon Cousin l'Assesseur?
Juſtement.	Justement.
LRASTE.	LRASTE.
M.	M.
POUREBAUONAE.	POUREBAUONAE.
Toûjours gay & gaillard.	Toujours gai et gaillard.
ERASTE.	ERASTE.
Ma foy, j’en ay beaucoup de joye.	Ma foi, j'en ai beaucoup de joie.
Et Monſieur veſtre Oncle?	Et Monsieur vêtre Oncle?
Le.	Le.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
je n'ay pointdoncies	je n'ai pointdoncies
ERASTE.	ERASTE.
Vous aviez pourtant en ce temps-Ia.	Vous aviez pourtant en ce temps-Ia.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Non, rien qu’une Tante.	Non, rien qu'une Tante.
ERASTE.	ERASTE.
C’eſt ce que je voulois dire, Madame voſtre Tante;	C'est ce que je voulais dire, Madame votre Tante;
comment ſe porte-t-elle?	comment se porte-t-elle?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Elle eſt morte depuis ſix mois.	Elle est morte depuis six mois.
ERASTE.	ERASTE.
Helas la pauvre Femme!	Hélas la pauvre Femme!
elle eſtoit ſi bonne perſonne.	elle était si bonne personne.
M.	M.
FOUROHMUONAC.	FOUROHMUONAC.
Nous avons auſſi mon Neveu le Chanoine, qui a penſe mourir de la petite verole.	Nous avons aussi mon Neveu le Chanoine, qui a pense mourir de la petite vérole.
ERASTE.	ERASTE.
Quel dommage ç’auroit eſte!	Quel dommage ç'aurait este!
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Le connoiſſez-vous auſſy?	Le connaissez-vous aussi?
ERASTE.	ERASTE.
Vrayment ſi je le connois!	Vraiment si je le connais!
un grand Garçon bien fait.	un grand Garçon bien fait.
M.	M.
PouR	PouR
M.	M.
POURCEAUGNAC, ras des plus glands.	POURCEAUGNAC, ras des plus glands.
ERASTE.	ERASTE.
Non, mais de taille bien priſe.	Non, mais de taille bien prise.
Eh ouy.	Eh oui.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ea As lss Qui eſt voſtre Neveu.	Élà As luss Qui est votre Neveu.
Ouy.	Oui.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
ERASTE.	ERASTE.
ilie ue ront Frere & de voſtre Sœur.	ilie rue ront Frère et de votre Sœur.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Juſtement.	Justement.
ERASTE.	ERASTE.
Chanoine de l’Egliſe de.	Chanoine de l'Église de.
comment l’appellez.	comment l'appelez.
vous?	vous?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
De Saint Eſtienne.	De Saint Étienne.
ERASTE.	ERASTE.
Le voila, je ne connois autre.	Le voilà, je ne connais autre.
M.	M.
POURCEAUONAC.	POURCEAUONAC.
Il dit toute la Parenté.	Il dit toute la Parenté.
BRIGANI.	BRIGANI.
Il vous connoiſt plus que vous ne croyez.	Il vous connaît plus que vous ne croyez.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
A ce que je vois, vous avez demeuré long-temps dans noſtre Ville?	À ce que je vois, vous avez demeuré longtemps dans notre Ville?
ERASTE.	ERASTE.
Deux ans entiers.	Deux ans entiers.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vous eſtiez donc là quand mon Couſin l’Eleu fit tenir ſon Enfant à Monſieur noſtre Gouverneur?	Vous étiez donc là quand mon Cousin l'Elev fit tenir son Enfant à Monsieur notre Gouverneur?
ERASTE.	ERASTE.
Vrayment ouy, j’y fus convié des premiers.	Vraiment oui, j'y fus convié des premiers.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Cela fut galant.	Cela fut galant.
ERASTE.	ERASTE.
Tres-galant.	Trèségalant.
ERASTE.	ERASTE.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
C’eſtoit un Repas bien trouſſé.	C'était un Repas bien troussé.
Sans doute.	Sans doute.
ERASTE.	ERASTE.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vous viites done aufii la querelle que j’eus avec ce Gentilhomme Perigordin?	Vous viites donce aufi la querelle que j'eus avec ce Gentilhomme Périgordin?
Ouy.	Oui.
ERASTE.	ERASTE.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Tuibieuntiouva d qui parler.	Tuibieuntiouva d qui parler.
Ah, ah.	Ah, ah.
ERASTE.	ERASTE.
M.	M.
POURCEAUONAC.	POURCEAUONAC.
Il me donna un ſoufflet, mais je luy dis bien ſon fait.	Il me donna un soufflet, mais je lui dis bien son fait.
ERASTE.	ERASTE.
Illluiement:	Illluiement:
lu reſte, je ne pretens pas que vous preniez d’autre Logis que le mien.	lu reste, je ne prétends pas que vous preniez d'autre Logis que le mien.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je n’ay garde de.	Je n'ai garde de.
ERASTE.	ERASTE.
rous moquez-vous?	rous moquez-vous?
Je ne ſouffriray point du tout que mon meilleur Amy ſoit autre-part que dans ma Maiſon.	Je ne souffrirai point du tout que mon meilleur Ami soit autre-part que dans ma Maison.
M.	M.
TOURCEAdOME.	TOURCEAdOME.
Ce ſeroit vous.	Ce serait vous.
ERASTE.	ERASTE.
Non, le Diable m’emporte, vous logerez chez moy.	Non, le Diable m'emporte, vous logerez chez moi.
BRIGANI.	BRIGANI.
Puis qu’il le veut obſtinément, je vous conſeille d’accepter l’offre.	Puis qu'il le veut obstinément, je vous conseille d'accepter l'offre.
ERASTE.	ERASTE.
Où ſont vos hardes?	Où sont vos hardes?
M.	M.
POUR	POUR
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je les ay laiſſées avec mon Valet où je ſuis deſcendu.	Je les ai laissées avec mon Valet où je suis descendu.
ERASTE.	ERASTE.
Envoyons les querir par quelqu’un.	Envoyons les quérir par quelqu'un.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Non je fuj ay ueienau de bouger, à moins que j’y fuſſe moy-meſme, de peur de quelque fourberie.	Non je fuj ai ueienau de bouger, à moins que j'y fusse moi-même, de peur de quelque fourberie.
RIGANI.	RIGANI.
C’eſt prudemment aviſé.	C'est prudemment avisé.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ce Païs-cy eſt un peu ſujet à caution.	Ce Pays-cy est un peu sujet à caution.
ERASTE.	ERASTE.
On voit les Gens d’eſprit en tout.	On voit les Gens d'esprit en tout.
BRIGANI.	BRIGANI.
Je vais accompagner Monſieur, & le rameneray où vous voudrez.	Je vais accompagner Monsieur, et le ramènerai où vous voudrez.
ERASTE.	ERASTE.
Ouy, je ſeray bien aiſe de donner quelques ordres, & vous n’avez qu’à revenir à cette Maiſon-là.	Oui, je serai bien aise de donner quelques ordres, et vous n'avez qu'à revenir à cette Maison-là.
DA IANI.	DA IANI.
Nous ſommes à vous tout à l’heure.	Nous sommes à vous tout à l'heure.
ERASTE.	ERASTE.
Je vous attens avec impatience.	Je vous attends avec impatience.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Voila une connoiſſance où je ne m’attendois point.	Voilà une connaissance où je ne m'attendais point.
RIGANI.	RIGANI.
Il a la mine d’eſtre honneſte Homme.	Il a la mine d'être honnête Homme.
ERASTE ſeul.	ERASTE seul.
Ma foy, Monſieur de Pourceaugnac, nous vous en donnerons de toutes les façons;	Ma foi, Monsieur de Pourceaugnac, nous vous en donnerons de toutes les façons;
les choſes ſont preparées, & je n’ay qu’à fraper.	les choses sont préparées, et je n'ai qu'à frapper.
SCE	SCE
SCENE V.	SCÈNE V.
L’APOTIQUAIRE, ERASTE.	L'APOTIQUAIRE, ERASTE.
ERASTE.	ERASTE.
meroy y Monneur, que voudertes le medecin.	meroi y Monneur, que voudertes le médecin.
qui l’on eſt venu parler de ma part.	qui l'on est venu parler de ma part.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Non, Monſieur, ce n’eſt pas moy qui ſuis le Medecin;	Non, Monsieur, ce n'est pas moi qui suis le Médecin;
à moy n’appartient pas cet honneur, & je ne ſuis qu’Apotiquaire, Apotiquaire indigne, pour voue fervile	à moi n'appartient pas cet honneur, et je ne suis qu'Apothicaire, Apotiquaire indigne, pour voue servile
ERASTE.	ERASTE.
Et Monſieur le Medecin eſt-il à la Maiſon?	Et Monsieur le Médecin est-il à la Maison?
LAPOTIQUAIRE.	LAPOTIQUAIRE.
Oüy, il eſt là embaraſſé à expedier quelques Malades, & je vais luy dire que vous eſtes icy.	Oui, il est là embarrassé à expédier quelques Malades, et je vais lui dire que vous êtes ici.
ERASTE.	ERASTE.
Non, ne bougez, j’attendray qu’il ait fait;	Non, ne bougez, j'attendrai qu'il ait fait;
c’eſt pour luy mettie emtte ley mamscertam rarent que nous avons, dont on luy a parlé, & qui ſe trouve attaqué de quelque folie, que nous ſerions bien-aiſes qu’il pût guerir avant que de le marier.	c'est pour lui mettie emtte lei mamscertam rarent que nous avons, dont on a a parlé, et qui se trouve attaqué de quelque folie, que nous serions bien-aises qu'il pût guérir avant que de le marier.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Je ſçay ce que c’eſt, je ſçay ce que c’eſt, & j’eſtois avec luy quand on luy a parlé de cette affaire.	Je sais ce que c'est, je sais ce que c'est, et j'étais avec lui quand on lui a parlé de cette affaire.
Ma foy, ma foy, vous ne pouviez pas vous adreſſer à un Medecin plus habile;	Ma foi, ma foi, vous ne pouviez pas vous adresser à un Médecin plus habile;
c’eſt un Homme qui ſçait la Medecine à fond, comme je ſçay ma Croix-dePardieu;	c'est un Homme qui sait la Médecine à fond, comme je sais ma Croix-dePardieu;
& qui, quand on devroit crever, ne démordroit pas d’un iota des regles des Anciens.	et qui, quand on devrait crever, ne démordrait pas d'un jota des règles des Anciens.
Ouy, il ſuit toûjours le grand chemin, le grand chemin, & ne va point chercher midy à quatorze heures;	Oui, il suit toujours le grand chemin, le grand chemin, et ne va point chercher midi à quatorze heures;
& pour tout l’or du monde, il ne voudroit pas avoir gueri une Perſonne avec d’autres remedes que ceux que la Faculté permet.	et pour tout l'or du monde, il ne voudrait pas avoir guéri une Personne avec d'autres remèdes que ceux que la Faculté permet.
ERASTE.	ERASTE.
ERASTE.	ERASTE.
Il fait fort bien;	Il fait fort bien;
un Malade ne doit point vouloir guerir, que la Facuſte n’y coniente.	un Malade ne doit point vouloir guérir, que la Facuste n'y coniente.
L'APOTIQUAIRE.	L'APOTIQUAIRE.
Ce n’eſt pas parce que nous ſommes grands Amis, que j’en parle;	Ce n'est pas parce que nous sommes grands Amis, que j'en parle;
mais il y a plaiſir, il y a plaiſir d’eſtre ſon Malade;	mais il y a plaisir, il y a plaisir d'être son Malade;
& j’aimerois mieux mourir de ſes remedes, que de guerir de ceux d’un autre:	et j'aimerais mieux mourir de ses remèdes, que de guérir de ceux d'un autre:
car quoy qui puiſſe arriver, on eſt aſſuré que les choſes ſont toûjours dans l’ordre;	car quoi qui puisse arriver, on est assuré que les choses sont toujours dans l'ordre;
& quand on meurt ſous ſa conduite, vos Heritiers n’ont rien a vous reprocher.	et quand on meurt sous sa conduite, vos Héritiers n'ont rien à vous reprocher.
ERASTE.	ERASTE.
C’eſt une grande conſolation pour un Defunt.	C'est une grande consolation pour un Défunt.
L'APOTIQUAIRE.	L'APOTIQUAIRE.
Aſſurément;	Assurément;
on eſt bien-aiſe au moins d’eſtre mort methodiquement.	on est bienaise au moins d'être mort méthodiquement.
Au reſte, il n’eſt pas de ces Medecins qui marchandent les maladies;	Au reste, il n'est pas de ces Médecins qui marchandent les maladies;
c’eſt un Homme expeditif, expeditif, qui aime à dépeſcher ſes Malades;	c'est un Homme expéditif, expéditif, qui aime à dépêcher ses Malades;
& quand on a à mourir, cela ſe dair avee luy le piusvinte damondes	et quand on a à mourir, cela se dair aveie lui le piusvinte damondes
ERASTE.	ERASTE.
En effet, il n’eſt rien tel que de ſortir promptement d’affaire.	En effet, il n'est rien tel que de sortir promptement d'affaire.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Cela ent may ju quoy bon tant barguigner & tant tourner autour du pot?	Cela ent rai ju quoi bon tant barguigner et tant tourner autour du pot?
il faut ſçavoir viſtement le cours ou le long d’une maladie.	il faut sçavoir vite le cours ou le long d'une maladie.
ERASTE.	ERASTE.
Vous avez raiſon.	Vous avez raison.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
rona deja trois de mes Enſans dont il m’a fait I'honneur de conduire la maladie, qui ſont morts en moins de quatre jours, & qui, entre les mains d’un autre, auroient langui plus de trois mois.	rona déjà trois de mes Ensants dont il m'a fait J'honneur de conduire la maladie, qui sont morts en moins de quatre jours, et qui, entre les mains d'un autre, auraient langui plus de trois mois.
ERASTE.	ERASTE.
Il eſt bon d’avoir des Amis comme cela.	Il est bon d'avoir des Amis comme cela.
L’AFO	L'AFO
L’AFOTIQUAIRE.	L'AFOTIQUAIRE.
Sans doute.	Sans doute.
Il ne me reſte plus que deux Enfans dont il prend ſoin comme des ſiens;	Il ne me reste plus que deux Enfants dont il prend soin comme des siens;
il les traite & gouverne à ſa fantaiſie, ſans que je me meſle de rien;	il les traite et gouverne à sa fantaisie, sans que je me mêle de rien;
& le plus ſouvent, quand je reviens de la Ville, je ſuis tout étonné que je les trouve ſaignez ou purgez par ſon ordre.	et le plus souvent, quand je reviens de la Ville, je suis tout étonné que je les trouve saignez ou purgez par son ordre.
EEASTL.	EEASTL.
Voila des ſoins fort obligeans.	Voilà des soins fort obligeants.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Le voicy, le voicy, le voicy qui vient.	Le voici, le voici, le voici qui vient.
SCENE VI.	SCÈNE VI.
PREMIER MEDECIN, UN PAYSAN, UNE PAYSANE, ERASTE, L’APOTIQUAIRE.	PREMIER MÉDECIN, UN PAYSAN, UNE PAYSANE, ERASTE, L'APOTIQUAIRE.
LE PAYSAN.	LE PAYSAN.
Onſieur, il n’en peut plus, & il dit qu’il N ſent dans la teſte les plus grandes douleurs du monde.	Onsieur, il n'en peut plus, et il dit qu'il N sent dans la tête les plus grandes douleurs du monde.
T.	T.
MEDECIN.	MÉDECIN.
Le Malade eſt un ſot, d’autant plus que dans la maladie dont il eſt attaqué, ce n’eſt pas la teſte, ſelon Galien, mais la rate, qui luy doit faire mal.	Le Malade est un sot, d'autant plus que dans la maladie dont il est attaqué, ce n'est pas la tête, selon Galien, mais la rate, qui lui doit faire mal.
LE PAYSAN.	LE PAYSAN.
Quoy que ç’en ſoit, Monſieur, il a toûjours avec cela ſon cours de ventre depuis ſix mois.	Quoi que ç'en soit, Monsieur, il a toujours avec cela son cours de ventre depuis six mois.
1.	1.
MEDECIN.	MÉDECIN.
Bon, c’eſt ſigne que le dedans ſe dégage.	Bon, c'est signe que le dedans se dégage.
Je l’iray viſiter dans deux ou trois jours;	Je l'irai visiter dans deux ou trois jours;
mais s’il mouroit avant ce temps-là, ne manquez pas de m’en donner avis, car il n’eſt pas de la civilité, qu’un Medecin viſite un Mort.	mais s'il mourait avant ce temps-là, ne manquez pas de m'en donner avis, car il n'est pas de la civilité, qu'un Médecin visite un Mort.
LA PAYSANE.	LA PAYSANE.
Mon Pere, Monſieur eſt toüjours malade de plus en plus.	Mon Père, Monsieur est toujours malade de plus en plus.
1.	1.
MEDECIN.	MÉDECIN.
Ce n’eſt pas ma faute;	Ce n'est pas ma faute;
je luy donne des remedes, que ne guerit-il?	je lui donne des remèdes, que ne guérit-il?
Combien a-t-il eſté ſaigné de fois?	Combien a-t-il été saigné de fois?
LA PAYSANE.	LA PAYSANE.
Quinze, Monſieur, depuis vingt jours.	Quinze, Monsieur, depuis vingt jours.
I1ADDECIN.	I1ADECIN.
Quinze fois ſaigné?	Quinze fois saisgné?
Ouy.	Oui.
DA PAYSRNE.	DA PAYSRNE.
1.	1.
MEDECIN.	MÉDECIN.
mil ne guerit point?	mil ne guérit point?
LA PAYSANE.	LA PAYSANE.
Non, Monſieur.	Non, Monsieur.
1.	1.
MEDECIN.	MÉDECIN.
C’eſt ſigne que la maladie n’eſt pas dans le ſang.	C'est signe que la maladie n'est pas dans le sang.
Nous le ferons purger autant de fois, pour voir ſi elle n’eſt pas dans les humeurs;	Nous le ferons purger autant de fois, pour voir si elle n'est pas dans les humeurs;
& ſi rien ne nous reüſſit, nous l’envoyerons aux Bains.	et si rien ne nous réussit, nous l'envoyerons aux Bains.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Voila le fin cela, voila le fin de la Medecine.	Voilà le fin cela, voilà le fin de la Médecine.
ERASTE.	ERASTE.
C’eſt moy, Monſieur, qui vous ay envoyé parler ces jours paſſez pour un Parent un peu trouble d’eſprit, que je veux vous donner chez vous, afin de le guelrarce prus de commodité, & qu’il ſoit veu de moins de monde.	C'est moi, Monsieur, qui vous ai envoyé parler ces jours passés pour un Parent un peu trouble d'esprit, que je veux vous donner chez vous, afin de le guelrarce prus de commodité, et qu'il soit vu de moins de monde.
de Ml ESevxd.	de Ml ESèvevxd.
Ouy, Monſieur, j’ay déja diſpoſé tout, & promets d’en avoir tous les ſoins imaginables.	Oui, Monsieur, j'ai déjà disposé tout, et promets d'en avoir tous les soins imaginables.
Le voicy.	Le voici.
ERASTE.	ERASTE.
1.	1.
MEDECIN.	MÉDECIN.
La conjoncture eſt tout-à-fait heureuſe, & j’ay icy un Ancien de mes Amis avec lequel je ſeray bien-aiſe de conſulter ſa maladie.	La conjoncture est tout-à-fait heureuse, et j'ai ici un Ancien de mes Amis avec lequel je serai bienaise de consulter sa maladie.
SCENE VII.	SCÈNE VII.
M.	M.
DE POURCEAUGNAC, ERASTE, I.	DE POURCEAUGNAC, ERASTE, I.
MEDECIN, B'ille mle nlirco	MÉDECIN, B'ille mêle nlirco
ERASTE.	ERASTE.
Ne petite affaire m’eſt ſurvenuë, qui m’oblige à vous quitter;	Ne petite affaire m'est survenue, qui m'oblige à vous quitter;
mais voila une Perſonne entre les mains de qui je vous laiſſe, qui aura ſoin pour moy de vous traiter du mieux qu’il luy ſera poſſible.	mais voilà une Personne entre les mains de qui je vous laisse, qui aura soin pour moi de vous traiter du mieux qu'il lui sera possible.
dnin d o monRa.	dnin d ô monRa.
Le devoir de ma Profeſſion m’y oblige, & c’eſt aſſez que vous me chargiez de ce ſoin.	Le devoir de ma Profession m'y oblige, et c'est assez que vous me chargiez de ce soin.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
C’eſt ſon Maiſtre d’Hoſtel, & il faut que ce ſoit un Homme de qualité.	C'est son Maître d'Hôtel, et il faut que ce soit un Homme de qualité.
I.	I.
MEDECIN.	MÉDECIN.
Ouy, je vous aſſure que je traitteray Monſieur méthodiquement, & dans toutes les regularitez de noitie Alt.	Oui, je vous assure que je traitterai Monsieur méthodiquement, et dans toutes les régularités de noitie Alt.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mon Dieu, il ne me faut point tant de ceremonies, & je ne viens pas icy pour incommoder.	Mon Dieu, il ne me faut point tant de cérémonies, et je ne viens pas ici pour incommoder.
I.	I.
MEDECIN.	MÉDECIN.
Un tel Employ ne me donne que de la joye.	Un tel Emploi ne me donne que de la joie.
ERASTE.	ERASTE.
Voila toûjours ſix Piſtoles d’avance, en attendant ce que j’ay promis.	Voilà toujours six Pistoles d'avance, en attendant ce que j'ai promis.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Non, s’il vous plaiſt, je n’entens pas que vous faſſiez de dépenſe, & que vous entoy len fien âcheter pour moy.	Non, s'il vous plaît, je n'entends pas que vous fassiez de dépense, et que vous entais len sien âcheter pour moi.
ERASTE.	ERASTE.
Mon Dieu, laiſſez faire, ce n’eſt pas pour te que vous penſez.	Mon Dieu, laissez faire, ce n'est pas pour te que vous pensez.
B M.	 M.
POUR	POUR
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je vous uemanue de ne me tranter qu'en Amy.	Je vous emanue de ne me tranter qu'en Ami.
ERASTE.	ERASTE.
C'eſt ce que je veux faire.	C'est ce que je veux faire.
bas au Medecin.	bas au Médecin.
Je vous recommande ſur tout de ne le point laiſſer ſortir de vos mains, car par fois il veut s’échaper.	Je vous recommande sur tout de ne le point laisser sortir de vos mains, car par fois il veut s'échapper.
dv li de Me l.	dus li de Me l.
ds Ne vous mettez pas en peine.	ds Ne vous mettez pas en peine.
ERASTE à M.	ERASTE à M.
Pourc.	Pourc.
Je vous prie de m’exculer de l’inciviſte que je commets.	Je vous prie de m'exculer de l'inciviste que je commets.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vous vous moquez, & c’eſt trop de grace que vous me faites.	Vous vous moquez, et c'est trop de grâce que vous me faites.
SCENE VIII.	SCÈNE VIII.
AbMibr Mhlhorit, 2.	AbMibr Mhlorit, 2.
MEDECIN, M.	MÉDECIN, M.
POURCEAUGNAC, L’APOTIQUAIRE.	POURCEAUGNAC, L'APOTIQUAIRE.
I.	I.
MEDECIN.	MÉDECIN.
Eml'eſt neaucoup u nomeur, momeur;	Eml'est neaucoup u nom, moment;
d’eſtre choiſi pour vous rendre ſervice.	d'être choisi pour vous rendre service.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
jviuss voſtre ſerviteur.	jviuss votre serviteur.
1.	1.
MEDECIN.	MÉDECIN.
Voicy un habile Homme, mon Confrere, avec lequer je vais confunter la mamere dont nous vous traitterons.	Voici un habile Homme, mon Confrère, avec lequer je vais confunter la mamère dont nous vous traiterons.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Il ne faut point tant de façons, vous dis-je, & je ſuis Homme à me contenter de l’ordinaire.	Il ne faut point tant de façons, vous dis-je, et je suis Homme à me contenter de l'ordinaire.
I.	I.
MEDECIN.	MÉDECIN.
Allons, des ſieges.	Allons, des sièges.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Voila, pour un jeune Homme, des Domeſtiques bien lugubres!	Voilà, pour un jeune Homme, des Domestiques bien lugubres!
1.	1.
ME	ME
1.	1.
MEDECIN.	MÉDECIN.
Allons, Monſieur, prenez voſtre place, Monſieur.	Allons, Monsieur, prenez votre place, Monsieur.
Lors qu’ils ſont aſſit, les deux Medecins luy prennent chacun une main, pour luy taſter le poulx.	Lors qu'ils sont assit, les deux Médecins était prennent chacun une main, pour ton tâter le poulx.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
preſentant ſes mains.	présentant ses mains.
vonle des-fumble vareti royant qu’ils luy taſtent le poulx.	vonle des-fumble vareti royant qu'ils lui tâtent le poulx.
Que veut dire cela?	Que veut dire cela?
I.	I.
MEDECIN.	MÉDECIN.
Mangez-vous bien, Monſieur?	Mangez-vous bien, Monsieur?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ouy, & boy encore mieux.	Oui, et boy encore mieux.
1.	1.
MEDECIN.	MÉDECIN.
Tant-pis;	Tant-pis;
cette graride appetition du froid & de l’humide, eſt une indication de la chaleur & ſechereſſe qui eſt au dedans.	cette graride appétition du froid et de l'humide, est une indication de la chaleur et sécheresse qui est au dedans.
Dormez-vous fort?	Dormez-vous fort?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ouy, quand j’ay bien ſoupé.	Oui, quand j'ai bien soupé.
1.	1.
MEDECIN.	MÉDECIN.
Faites-vous des ſonges?	Faites-vous des songes?
M.	M.
POURCERUENAC.	POURCERUENAC.
Quelquefois.	Quelquefois.
1.	1.
MEDECIN.	MÉDECIN.
De quelle nature ſont-ils?	De quelle nature sont-ils?
Mt TOHRCEAUGNAC.	Mt TOHRCEAUGNAC.
De la nature des ſonges.	De la nature des songes.
Quelle diable de convetſation eſt-ce là?	Quelle diable de convetsation est-ce là?
PMEDECIN.	PMEDECIN.
Vos dejections, comment ſont-elles?	Vos déjections, comment sont-elles?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ma foy, je ne comprens rien à toutes ces queſtions, & je veux plutoſt boire un coup.	Ma foi, je ne comprends rien à toutes ces questions, et je veux plutôt boire un coup.
I.	I.
MEDECIN.	MÉDECIN.
