A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
THELAME.	THÉLAME.
Celle qui m’a bleßé me ſçaura bien guerir, Ses beaux yeux ont aſſez de quoy rendre la vie Et de quoy la rauir quand ils en ont enuie, denfan qomun pamuiquuuisjuusumeul permet Que de leurs traicts ardans ie bruſle deſormais.	Celle qui m'a blesié me saura bien guérir, Ses beaux yeux ont assez de quoi rendre la vie Et de quoi la ravir quand ils en ont envie, denfan qomun pamuiquuuisjuusumeul permet Que de leurs traits ardans ie brûle désormais.
MELIPHILE.	MELIPHILE.
Puiſque cette fureur eſt vn mal neceſſaile, Ie croy que le meilleur eſt de vous laiſſer faire, Cependant auiſeZ de conduire ſi bien Le cours devos amours, que l’on n’en ſçhche rien Vous ſçauez que les Roys ont de bonnes oreille	Puisque cette fureur est un mal nécessaile, Je crois que le meilleur est de vous laisser faire, Cependant avisez de conduire si bien Le cours devos amours, que l'on n'en sçhche rienVous sçauez que les Rois ont de bonnes oreille
THELAME.	THÉLAME.
Pourueu qu'a ia jeurte de nos plaijurs iu veilles, Et que ton amitié nous aßiſte au beſoin, Nous n’aurons en cecy ny cenſeur ny teſmoin.	Pourvu qu'a ja jeurte de nos plaijurs ju veilles, Et que ton amitié nous auste au besoin, Nous n'aurons en ceciici censeur as témoin.
MELIPHILE.	MELIPHILE.
Aſſeuré de ma foy ſans reſerue & ſans doute, Vous pouuez hardimẽt pourſuiure voſtre route, Rien ne choque ſi fort vn amoureux deſir, 3 Que de luy retarder les fruicts de ſon plaiſir, y ous d'en jaulita qnelropieytexperience,	Assuré de ma foi sans réserve et sans doute, Vous pouvez hardiment poursuivre votre route, Rien ne choque si fort un amoureux désir, 3 Que de lui retarder les fruits de son plaisir, y ous d'en jaulita qnelropieytexperience,
THELAME.	THÉLAME.
Il eſt vray que mon cœur auec impatience Sçachant que ſans faillir ma Bergere m’attend Souſpire apres le bien que ſon eſpoir luy tend.	Il est vrai que mon cœur était impatience Sachant que sans faillir ma Bergère m'attend Souspire après le bien que son espoir ton tend.
Adieu, ie ſuy l’aymãt qui m’attire auprés d’elle, Souuiens-toy de m’aimer & de m’eſtre fidelle.	Adieu, je suis l'aimant qui m'attire auprès d'elle, Souviens-toi de m'aimer et de m'être fidèle.
Non guere loing d’icy ie deſcouure le lieu Qui chaque iour m'eſleue à la gloire d’vn Dieu, Où dans vn petit fonds que le fueillage couure Ie voi des raretez qu’on ne voit point au Louure:	Non guère loin d'ici jour découvre le lieu Qui chaque jour m'élève à la gloire d'un Dieu, Où dans un petit fonds que le fueillage couvret Je voi des raretés qu'on ne voit point au Louvre:
Mais d’où vient que Syluie eſt encor à venir, Quel obſtacle la peut ſi long temps retenir?	Mais d'où vient que Syluie est encor à venir, Quel obstacle la peut si long temps retenir?
Ma défiãte humeur me voudroit faire accroire Qu'elle manque aujourd’huy d’amour ou de memoire, Ie m’en deſdis pourtant, ie fais tort à ſa foy, Si ie bruſle pour elle, elle bruſle pour moy.	Ma défiãte humeur me voudrait faire accroire Qu'elle manque aujourd'hui d'amour ou de mémoire, Je m'en dédis pourtant, ie fais tort à sa foi, Si grands brûle pour elle, elle brûle pour moi.
SYLVIE ſortant de derriere vn buiſſon.	SYLVIE sortant de derrière un buisson.
Tu le peux bien iurer ſans te rendre pariure.	Tu le peux bien jurer sans te rendre parjure.
THELAME.	THÉLAME.
dala iuon aange puruon, it t'uy jait vnc iniure.	dala yvon aange puruon, it t' hait unc injure.
YLVIE.	YLVIE.
Voyez ſi ie me plais à nourrir vos douleurs, Au lieu de vous punir ie vous donne des fleurs.	Voyez si belle me plais à nourrir vos douleurs, Au lieu de vous punir quand vous donne des fleurs.
THELAME.	THÉLAME.
Et moy qui m'en retiens les eſpines dans l’ame Ie te donne en reuenche vn baiſer tout de flame.	Et moi qui m'en retiens les épines dans l'âme Je te donne en revenche un baiser tout de flamme.
YLVIE.	YLVIE.
Si mon amant reſueur, ſolitaire & tranßsy Voyoit les priuautez que ie vous ſouffre icy, Ayant deſia ſujet comme il a de ſe plaindre, Vray ment ce ſeroit bien pour l’acheuer de peindre.	Si mon amant rêveur, solitaire et transssy Voyoit les privautés que sans vous souffre ici, Ayant déjà sujet comme il a de se plaindre, Vrai ment ce serait bien pour l'achever de peindre.
THEEAME.	THÉEAME.
Comment?	Comment?
quelqu'vn, Syluie, oſe-t’il deſirer Vn bien pour qui moy ſeul ay droit de ſouſpirer:	quelqu'un, Syluie, ose-t-il désirer Un bien pour qui moi seul ai droit de soupirer:
LVIE.	LVIE.
Tantoſt comme i'eſtois ſeule dans la prairie Laiſſant parmy les fleurs errer ma reſuerie, Philene, qui me dit l’object de ſes tourments, M’a preſque aſſaßinee auec ſes compliments.	Tantôt comme j'étais seule dans la prairie Laissant parmi les fleurs errer ma rêverie, Philène, qui me dit l'object de ses tourments, M'a presque assassinee avec ses compliments.
Hae	Hae
THELAME.	THÉLAME.
Ie croy que ce riual en ſa pourſuitte vaine V a riengaigne ſur toy.	Je crois que ce rival en sa poursuite vaine V aine riengaigne sur toi.
SYLVIE.	SYLVIE.
Ne t'en mets point en peins Tout autre que Thelame en vain propoſeroit De s’acquerir Syluie.	Ne t'en mets point en peins Tout autre que Thelme en vain proposerait De s'acquérir Syluie.
THELAME.	THÉLAME.
Vn Dieu ne l’oſeroit, I'aime trop cherement vn bien que ie poſſede, Ie perdray la lumiere auant que ie le cede, Mon ame aſſeure toy que tu verras vn iour Des merueilleux effects du fruit de mon amour.	Un Dieu ne l'oserait, J'aime trop chèrement un bien que je possède, Je perdrai la lumière avant que on le cède, Mon âme assure toi que tu verras un jour Des merveilleux effets du fruit de mon amour.
TLVIE.	TLVIE.
1lu guejuno uinnne me renue touit tonfuſe, I’ay peur qu’imprudemment en fin ie n’en abuſe, le ne merite pas.	1lu guejuno uinnne me ren vit tonfuse, J'ai peur qu'imprudemment en fin Dieux n'en abuse, le ne mérite pas.
THELAME.	THÉLAME.
Briſons là mon ſouci, Si tu veux m’obliger ne parle plus ainſi.	Brisons là mon souci, Si tu veux m'obliger ne parle plus ainsi.
YLYIE.	YLYIE.
Pleuſt aux Dieux vißiez vous mõ ame toute nuë Pour iuger de ſa flame.	Plût aux Dieux viviez -vous mon âme toute nue Pour juger de sa flamme.
THELAME.	THÉLAME.
Elle m'eſt trop cognuë, e teniuorois etuncong mniena.	Elle m'est trop connue, eu tenivorais étuncong mniena.
te poir te corps tout	te poir te corps tout
nu.	nu.
SYLVIE.	SYLVIE.
Ie vous croyois vray’ment vn peu plus retenu, Mais à ce que ie voy.	Je vous croyais vraiment un peu plus retenu, Mais à ce que je vois.
THELAME.	THÉLAME.
Ie voy bien que c’en eſt, il faut que ta rigueur Se plaiſe inceſſamment à me voir en langueur:	Je vois bien que c'en est, il faut que ta rigueur Se plaise incessamment à me voir en langueur:
Mais deſia le Soleil bien haut ſur l’Hemiſphere N’a plus que la moitié de ſa viſite à faire, Ce bocage prochain nous inuite à propos A la commodité du frais & du repos;	Mais déjà le Soleil bien haut sur l'Hémisphère N'a plus que la moitié de sa visite à faire, Ce bocage prochain nous inuite à propos À la commodité du frais et du repos;
Couchons nous ſur ces fleurs, l’herbe & la fueille verte S’offrent à nous ſeruir de lict & de couuerte:	Couchons nous sur ces fleurs, l'herbe et la fueille verte S'offrent à nous servir de lit et de couverte:
On diroit propremẽt que ces beaux mirihes verts Aux pauures amoureux tẽdent les bras ouuerts;	On dirait propremment que ces beaux mirihes verts Aux pauvres amoureux tendent les bras ouverts;
Voicy le meſme endroit d’amour & de frãchiſe Où Venus autresfols embraſſoit ſon Anchiſe, C’eſticy que le Dieu qui preſide aux combats Le harnois deſpoüillé vient prendre ſes eſbats;	Voici le même endroit d'amour et de franchise Où Venus autresfols embrassait son Anchise, C'étici que le Dieu qui preside aux combats Le harnais dépouillé vient prendre ses ébats;
Icy le moindre object au plaiſir nous conuie, Icy les ennemis des douceurs de la vie NVe viennet point troubler le repos d’vn Amant.	Ici le moindre object au plaisir nous convie, Ici les ennemis des douceurs de la vie NVe viennet point troubler le repos d'un Amant.
YLVIE.	YLVIE.
Il eſt vray que voicy le lieu le plus charmant Qui ſe puiſſe treuuer.	Il est vrai que voici le lieu le plus charmant Qui se puisse trouver.
THELAME.	THÉLAME.
Loing de la complaiſance;	Loing de la complaisance;
Ie croy que ſa douceur luy vient de ta preſence, Que tes yeux ſeulement le font gay comme il eſt, Que c’eſt par ta beauté que la ſienne me plaiſt, Que ce bois n’entretient ſon ameublemẽt ſombre Qu'à deſſein de te faire vn preſent de ſon ombre, Que le fond verdiſſant de ces taillis fleuris Ne tire ſon eſclat ſinon de tes ſouſris;	Je crois que sa douceur lui vient de ta présence, Que tes yeux seulement le font gai comme il est, Que c'est par ta beauté que la sienne me plaît, Que ce bois n'entretient son ameublema sombre Qu'à dessein de te faire un présent de son ombre, Que le fond verdissant de ces taillis fleuris Ne tire son éclat sinon de tes sousris;
Meſme que les zephirs du mont & de la plaine Afin de t’eſcouter retiennent leur haleine;	Même que les zéphyrs du mont et de la plaine Afin de t'écouter retiennent leur haleine;
Que pour te reſioüyr parmy ces aliſiers Les petits roßignols exercent leurs goſiers;	Que pour te réjouir parmi ces alisiers Les petits rognignols exercent leurs gosiers;
Bref il eſt aſſeuré que tout ce payſage N'a d’embelliſſement que de ton beau viſage.	Bref il est assuré que tout ce paysage N'a d'embellissement que de ton beau visage.
YLVIE.	YLVIE.
Dis ce que tu voudras afin de me loüer, Ie me garderay bien de te deſaduoüer, N’ayant point de vertu qui ne te ſoit commune:	Dis ce que tu voudras afin de me louer, Je me garderai bien de te désavouer, N'ayant point de vertu qui ne te soit commune:
Ou bien ſi tule veux ie ſuis comme vne Lune, Si ie luis, ce n'eſt point d’autre feu que du tien.	Ou bien si tule veux ici suis comme une Lune, Si ici luis, ce n'est point d'autre feu que du tien.
THELAME.	THÉLAME.
De grace oblige moy, laiſſons cet entretien, Et rends la gueriſon à mon eſprit malade, Donne moy ie te prie vne amoureuſe œillade, Tire moy ſeulement vn de ces chauds regards Dont tu peux embraſer les cœurs de toutes parts:	De grâce oblige moi, laissons cet entretien, Et rends la guérison à mon esprit malade, Donne moi Je te prie une amoureuse œillade, Tire moi seulement un de ces chauds regards Dont tu peux embraser les cœurs de toutes parts:
Souffre ſans murmurer que ma bouche idolatre Imprime ſes baiſers deſſus ton ſein d’albâtre.	Souffre sans murmurer que ma bouche idolâtre Imprime ses baisers dessus ton sein d'albâtre.
O tranſports!	Ô transports!
ô plaiſirs du crime ſepareZ, Où vouleZ vous rauir mes eſprits eſgareZ Mon Ame, mon Soleil, mon Ange tutelaire?	ô plaisirs du crime séparés, Où voulez -vous ravir mes esprits égarez Mon Âme, mon Soleil, mon Ange tutélaire?
Ha!	Ha!
ta douceur me tue a force de me plaire, Mes ſens eſuanoüys d’aiſe me vont quitter, Si tu ne prends le ſoin de me reſſuſciter.	ta douceur me tue a force de me plaire, Mes sens esuanoüys d'aise me vont quitter, Si tu ne prends le soin de me ressusciter.
TLVIE.	TLVIE.
Ie ſoay bien que i’ay trop d’indulgẽce amoureuſe, Ie te ſerois meilleure eſtant plus rigoureuſe;	Je souais bien que j'ai trop d'indulgience amoureuse, Je te serais meilleure étant plus rigoureuse;
Si tu mourois durant cet aimable tranſport.	Si tu mourais durant cet aimable transport.
Sans doute ie ſerois coulpable de ta mort.	Sans doute ici serais coulpable de ta mort.
3 Outre que i’ay ſi peur que quelqu'vn ne nous voye, Que i’en ſeus de moitié diminuer ma ioye.	3 Outre que j'ai si peur que quelqu'un ne nous voie, Que j'en zeus de oitié diminuer ma joie.
Ie croy que ces rochers ne ſont point aſſez ſours Pour n’auoir pas ouy nos folaſtres diſcours, Que ce petit ruiſſeau tacitement en gronde, Qu'il graue les baiſers ſur le front de ſon onde;	Je crois que ces rochers ne sont point assez sours Pour n'avoir pas oui nos folâtres discours, Que ce petit ruisseau tacitement en gronde, Qu'il grave les baisers sur le front de son onde;
Que ces fueilles en fin & ces fleurs que ie vois vont pour nous deſcouurir autant d’yeux & de	Que ces fueilles en fin et ces fleurs que on vois vont pour nous découvrir autant d'yeux et de
voix.	voix.
THELAME.	THÉLAME.
Que crains-tu?	Que crains-tu?
l’Amour meſme eſt noſtre intellil veille ſur nous deux auecque diligẽce, [gence, C'eſt luy qui tient exprés ces rameaux enlaſſeZ tour defendre au Soleil de nous voir embraſſez.	l'Amour même est notre intellil veille sur nous deux auecque diligence, [gence, C'est beau qui tient exprès ces rameaux enlassez tour défendre au Soleil de nous voir embrassez.
Mais quoyl veux-tu deſia me quitter ma Deeſſe?	Mais quoil veux-tu déjà me quitter ma Déesse?
Attens encor vn peu, mõ cœur riẽ ne nous preſſe, N’expoſe point ton teint à la chaleur du iour.	Attends encor un peu, mon cœur rion ne nous presse, N'expose point ton teint à la chaleur du jour.
YLVIE.	YLVIE.
e ne ſçaurois icy faire plus long ſejour, Amt jaat iemener mertroupeaux au village	Je ne saurais ici faire plus long séjour, Amt jaat apmener mertroupeaux au village
THELAME.	THÉLAME.
Où les as-tu laiſſe	Où les as-tu laisse
YLVIE.	YLVIE.
Au long de ce riuage Sous la protection d’vn maſtin aſſeuré, I'aygrand' peur ſeulemẽt d’auoir trop demeus Celame mertnpeint & fait que t'apprehena Qu'arriuant au logis on ne me reprimende.	Au long de ce rivage Sous la protection d'un mâtin assuré, J'aigrand peur seulemẽt auoir trop demeus Celame mertnpeint et fait que t'apprehena Qu'arriuant au logis on ne me reprimende.
THELAME.	THÉLAME.
Dans deux heures aumoins tu reuiens en ce lie	Dans deux heures aumoins tu reviens en ce lie
SYLVIE.	SYLVIE.
Ie n'y manqueraypas.	Je n'y manqueraipas.
THELAME.	THÉLAME.
Adieu doncques.	Adieu donc.
LVIE.	LVIE.
Adieu.	Adieu.
ACT	ACT
ACTE SECOND.	ACTE SECOND.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DAMUNO MACEE.	DAMUNO MACE.
DAMON.	DAMON.
L faut que ie te die icy ſans plus attẽdre e qu'à regret ie viens tout fraiſchement d’entendre, L’affaire eſt d’importance, & principalement En ce qu'elle nous touche & preſſe egalement, Qu'vn orage prochain troublant noſtre bonace, De nanſtagt aſſente dansie pont nous menace.	L faut que Seigneur te die ici sans plus attendre e qu'à regret On viens tout fraîchement d'entendre, L'affaire est d'importance, et principalement En ce qu'elle nous touche et presse également, Qu' orage prochain troublant notre bonace, De nanstagt assente dansie pont nous menace.
O fille ſans eſprit, qu’à tes pauures parens Tes deſirs deſreglez vont de ſoins preparans.	Ô fille sans esprit, qu'à tes pauvres parents Tes désirs déréglés vont de soins préparants.
MACEE.	MACE.
Dieux!	Dieux!
qu'eſt-ce qu’il a dit, ie gageray ma vie Qu'en ces termes couuerts il parle de Syluie.	qu'est-ce qu'il a dit, on gagerai ma vie Qu'en ces termes couverts il parle de Syluie.
Damon ne me tiens plus dauantage en ſuſpens, Ie ſens dedans mon ſein errermille ſerpens, Et l’apprehenſion qui m'eſtonne & me trouble De moment en moment en mon ame redouble, Mon eſprit au ſoupçon du malheur attaché Me dit que noſtre fille a ſon honneur taché, Eſt-il vray mon amy?	Damon ne me tiens plus davantage en suspens, Je sens dedans mon sein errermille serpens, Et l'appréhension qui m'étonne et me trouble De moment en moment en mon âme redouble, Mon esprit au soupçon du malheur attaché Me dit que notre fille à son honneur taché, Est-il vrai mon ami?
DAMON.	DAMON.
Ie n'en ſçay rien m'amie.	Je n'en sais rien m'amie.
MACEE.	MACE.
Il eſt trop veritable:	Il est trop véritable:
ô Dieuxl quelle infamie, Voila noſtre maiſon couuerte deſormais D'vn reproche honteux qui ne mourra iamais:	ô Dieuxl quelle infamie, Voilà nôtre maison couverte désormais D'un reproche honteux qui ne mourra jamais:
Pleuſt au Ciel que la mort nous priſt tous trois enſemble.	Plût au Ciel que la mort nous prît tous trois ensemble.
DAMON.	DAMON.
Tu t’affliges, mlutte, Cureprofeteme ſemble, Encor ne faut-il pas s’attriſter à credit, Onm'a dut ſeuſement.	Tu t'affliges, mlutte, Cureprofeteme semble, Encor ne faut-il pas s'attrister à crédit, Onm'a dut seueusement.
MACEE.	MACE.
Et que vous a-t’on dit?	Et que vous a-t-on dit?
DAMON.	DAMON.
Que le nuiſible eſclat des beauteZ de Syluie Auoit au fils du Roy la liberté rauie, Que ce Prince amoureux ſon entretien gouſtoit, ceuqu d mmmmi- Luy parloit à l’eſcart, & qu'elle l’eſcoutoil:	Que le nuisible éclat des beautés de Sylvie Avait au fils du Roi la liberté ravie, Que ce Prince amoureux son entretien goûtait, ceuqu ç mmmmi- l ait à l'écart, et qu'elle l'écoutoil:
Conſiderant le temps, le lieu, le perſonnage, Tout cela ne vaut rien à celles de ſon âge, Et crois que ce Seigneur ne daigneroit la voir 3 Que pour paſſer ſon temps & pour la deceuoir:	Considérant le temps, le lieu, le personnage, Tout cela ne vaut rien à celles de son âge, Et crois que ce Seigneur ne daignerait la voir 3 Que pour passer son temps et pour la décevoir:
De moy cela me trouble & me tient en ceruelle.	De moi cela me trouble et me tient en cervelle.
MACEE.	MACE.
Vray' mẽt vous m’auez dit vne eſtrãge nouuelle, Mais d’ailleurs que ſçait-on ſi ſon funeſte auteur N en ſeroit point außsi luy meſme linuenteur:	Vrai mẽt vous m'avez dit une étrange nouvelle, Mais d'ailleurs que sait-on si son funeste auteur N en serait point aussi lui même linuenteur:
Il dit cela peut-eſtre afin de nous déplaire.	Il dit cela peut-être afin de nous déplaire.
DAMON.	DAMON.
Il eſt homme de bien, & teſmoin oculaire, Il a dedans le parc pluſieurs fois aduisé Syluie auec Thelame en Berger déguisé.	Il est homme de bien, et témoin oculaire, Il a dedans le parc plusieurs fois avisé Syluie avec Thelâme en Berger déguisé.
MACEE.	MACE.
Au moins parmy les droits que dõne la puiſſance Il ne les a point veuz prendre trop de licence, Car i’oſe m’aſſeurer que ce ieune Seigneur Regle ſes paßions au compas de l’honneur, Et que ſon naturel, ſes mœurs, ny ſon courage Ne ſçauroient ſe porter à l’excez d’vn outrage.	Au moins parmi les droits que dõne la puissance Il ne les a point vus prendre trop de licence, Car j'ose m'assurer que ce jeune Seigneur Règle ses passions au compas de l'honneur, Et que son naturel, ses mœurs, ni son courage Ne sauraient se porter à l'excès d'un outrage.
C'eſt ce qui me conſole.	C'est ce qui me console.
DAMON.	DAMON.
Ol qu’eſt-ce que i’entens, Tu te cognois fort mal aux malices du temps, Ie t’apprens que les grands ſont au ſiecle où nou ſommes En matiere d’amour comme les autres hommes Et que ce ne ſont pus ſeulement nos Bergers Qui ſont dißimulez, ſeducteurs & legers.	Ol qu'est-ce que j'entends, Tu te connais fort mal aux malices du temps, Je t'apprends que les grands sont au siècle où nouv sommes En matière d'amour comme les autres hommes Et que ce ne sont pus seulement nos Bergers Qui sont dissimulez, séducteurs et légers.
Dy moy s’il eſt certain que cet eſprit volage Suiuant les mouuemens & les deſirs de l’âge.	Dis -moi s'il est certain que cet esprit volage Suivant les mouvements et les désirs de l'âge.
Et contre la grandeur de ſa condition, Recherche noſtre fille auecque paßion, Que pourra deuenir cette flame inſenſee?	Et contre la grandeur de sa condition, Recherche notre fille a pion, Que pourra devenir cette flamme insensée?
A quelle fin crois-tu que tende ſa penſee?	À quelle fin crois-tu que tende sa pensée?
A la ſincerité du lien coniugal, Le party ce me ſemble eſt par trop inegal, C’eſt à quoy la raiſon nous defend de pretendre, Berger ie me propoſe vnBerger pour mõ gendre	À la sincérité du lien conjugal, Le parti ce me semble est par trop inégal, C'est à quoi la raison nous défend de prétendre, Berger un me propose unBerger pour mon gendre
MACEE.	MACE.
On ſçait biẽ qu’il n’eſt pas hõme pour l’eſpouſer, Il a l’ame trop bonne außi pour l’abuſer.	On sait bien qu'il n'est pas homme pour l'épouser, Il a l'âme trop bonne aussi pour l'abuser.
DAMON.	DAMON.
En pareil accident c’eſt manquer de ſcience, ut de s'en repoſer deſſus la conſcience.	En pareil accident c'est manquer de science, ut de s'en reposer dessus la conscience.
3	3
MACEE.	MACE.
De quel autre deſſein eſt-il donc incité?	De quel autre dessein est-il donc incité?
DAMON.	DAMON.
De celuy d’attenter à ſapmnans, Et de deshonorer noſtre pauure famille.	De celui d'attenter à sapmnants, Et de déshonorer notre pauvre famille.
MACEE.	MACE.
L’aſſeurance que i’ay de l’honneur de ma fille, Et que l’eſprit d’vn Prince eſt rarement trõpeur, M’affranchira du blaſme ainſi que de la peur, Meſmes s’il eſt permis de tirer quelque augure Des ſonges que Morphee en dormãt nous figure, Ie tiens ſuiuant celuy que ie veux reciter, Que cette affection nous pourra profiter, Et qu'eſtant comme elle eſt innocemment conceue Elle finira bien ſi ie ne ſuis deceue.	L'assurance que j'ai de l'honneur de ma fille, Et que l'esprit d'un Prince est rarement trépeur, M'affranchira du blâme ainsi que de la peur, Mêmes s'il est permis de tirer quelque augure Des songes que Morphe en dormant nous figure, Je tiens suivant celui que votre veux réciter, Que cette affection nous pourra profiter, Et qu'étant comme elle est innocemment conçue Elle finira bien si je ne suis déçue.
SoyeZ donc attentif ſi vous voulez oüyr Vn diſcours dont la fin nous deuroit reſioüyr.	SoyeZ donc attentif si vous voulez ouïr Un discours dont la fin nous devrait réjouir.
DAMON.	DAMON.
Le plaiſir eſtbien vain qui procede d’vn ſonge.	Le plaisir estbien vain qui procède d'vn songe.
MACEE.	MACE.
Encore treuüe-t’on quelque appas au menſonge Et principalement alors qu’il va flattant Vn eſprit dans la peur de ſon malheur flottant.	Encore trouve-t-on quelque appas au mensonge Et principalement alors qu'il va flattant Un esprit dans la peur de son malheur flottant.
Cette nuict ſur le poinct que pour deſplaire à l'ombre Le Ciel eſtinceloit de petits feux ſans nombre, Et que les froids pauots du ſorcier de nos maux Aſſoupiſſoient les ſens de tous les animaux, Il m'a ſemblé de voir dans vne grande plaine Noſtre fille au milieu de ſes troupeaux à laine, Ce iour à mon aduis eſtoit bien le plus beau Que iamais ait formé le celeſte flambeau, Le Ciel par tout vny ſans ride & ſans nuage Sous vn eſclat d’azur monſtroit ſon beau viſage, Quand tout à coup voila qu'vn air triſte & faſDans vn nuage noir a le Soleil caché, (ché, Les bocages couuerts d’horreur & de tenebres De plaiſans qu’ils eſtoiẽt ſont deuenus funebres, Parmy l’obſcurité de cette eſpaiſſe nuit Vn ſoudain tourbillon auec vn fort grand bruit Apres m’auoir en vain deux ou trois fois heurtee	Cette nuits sur le point que pour déplaire à l'ombre Ciel Ciel estinceloit de petits feux sans nombre, Et que les froids pauls du sorcier de nos maux Assoupissaient les sens de tous les animaux, Il m'a semblé de voir dans une grande plaine Notre fille au milieu de ses troupeaux à laine, Ce jour à mon avis était bien le plus beau Que jamais ait formé le céleste flambeau, Le Ciel par tout uni sans ride et sans nuage Sous un éclat d'a monstroit son beau visage, Quand tout à coup voila m'ili triste et fasDans ute noir ale Soleil caché, (ché, Les bocages Ce horreur et de ténèbres De plaisans ils te et deuenus funèbres, a si de cette épaisse nuit on nu auec fort grand bruit Apres auoir en vain deux ou trois fois ;
SIEVIE.	SIEUIE.
D'vn violent effort a ma fille emportee:	D'un violent effort à ma fille emportée:
I’auois beau regarder, il faiſoit ſi tres-noir, Qu'à quatre pas de moy ie n’euſſe peu la voir, Au defaut du regard mon oreille attentiue Receuoit à tous coups ſa voix foible & plaintiue Qui venoit iuſqu'à moy d’vn lamentable accent, Ainſi que d’vn eſprit que la mort va preſſant:	J'avais beau regarder, il faisait si très-noir, Qu'à quatre pas de mo ie n'eusse peu la voir, Au défaut du regard mon oreille attentive Recevait à tous coups sa voix faible et plaintive Qui venait jusqu'à moi d'un able accent, Ainsi que d'un esprit que la mort va pressant:
Lors veritablement la crainte naturelle A faict place à l’amour que i'eus touſiours pour elle, Car quelque precipice où i’euſſe peu courir I’ay fait tous mes efforts pour l’aller ſecourir:	Lors véritablement la crainte naturelle A fait place à l'amour que j'eus toujours pour elle, Car quelque précipice où j'eusse peu courir J'ai fait tous mes efforts pour l'aller secourir:
Ie l’aſſeurois deſia de mon ayde preſente Quãd ie me treuue à coup ſi lourde & ſi peſante, Que pour la deliurer d’vn aſſeuré treſpas Ie n'euſſe peu vers elle auancer d’vn ſeul pas:	Je l'assurais déjà de mon aide presente Quand vert me trouve à coup si lourde et si pesante, Que pour la délivrer d' asseuré trépas Je n'eusse peu vers elle avancer d'un seul pas:
Tantoſt il me ſembloit gliſſer deſſus du verre, Et tantoſt que mes pieds ſe coloient à la terre, Meſme au lieu d’aller droit où ſa voix m’appelV'n ſouffle impetueux par fois me reculoit [loit Dans les extremitez, où ſans changer de place Mon front s’eſtoit couuert d’vne ſueur de glace, ELHEE CECI Le Ciel s'eſt allumé d’vn feu ſubit & clair, Et la foudre außi toſt a ſuiuiſon eſclair, Vn deluge de pluye & de greſle menuë Apres cela ſuiuant a fait creuer la nuë:	Tantôt il me semblait glisser dessus du verre, Et tantôt que mes pieds se colaient à la terre, Même au lieu d'aller droit où sa voix m'appelU'n souffle impétueux par fois me reculait [lait Dans les extrémités, où sans changer de place Mon front s'était couvert d'une sueur de glace, ÉLHÉE CECI Le Ciel s'est allumé d'un feu subit et clair, Et la foudre auss tôt a suivison éclair, Vn et de pluie et de grêle menue Après cela suivant a fait couver la nue:
Alors il eſt certain que tant d’objects d’erreur M’ont touché les eſprits de crainte & de terreus	Alors il est certain que tant d'objects d'erreur M'ont touché les esprits de crainte et de terreus
DAMON.	DAMON.
Eſt-ce là ce beau ſonge en qui ton eſperance A mis ſes fondements auec tant d’aſſeurance?	Est-ce là ce beau songe en qui ton espérance A mis ses fondements avec tant d'assurance?
Et quoy, ne vois-tu pas qu'en toutes ces couleur.	Et quoi, ne vois-tu pas qu'en toutes ces couleur.
Il ne nous marque rié que ſoins & que douleurs	Il ne nous marque rié que soins et que douleurs
MACEE.	MACE.
Iuſqu'icy ie l’aduoue, il eſt vn peu funeſte, Mais donnez vous loiſir d’en eſcouter le reſte:	Jusqu'ic ie l'avoue, il est un peu funeste, Mais donnez -vous loisir d'en écouter le reste:
I'eſtois dans ces frayeurs quã dvn traict de clarte Paſſant tout au trauers du broüillars eſcarté, Et meſlant parmi l’air l’argent de ſa lumiere, A remis les objects en leur forme premiere:	J'étais dans ces frayeurs qua dvn trait de clarté Passant tout au travers du brouillars écarté, Et mêlant parmi l'air l'argent de sa lumière, A remis les objects en leur forme première:
Bõs Dieux que de plaiſirs, & que de toutes part.	Bons Dieux que de plaisirs, et que de toutes part.
Toute choſe s’offroit plaiſante à mes regards, Les herbes & les fleurs n’eſtoiẽt nõ plus couchees Que ſi le tourbillon ne les euſt point touchees,	Toute chose s'offrait plaisante à mes regards, Les herbes et les fleurs n'étaient notre plus couchées Que si le tourbillon ne les eût point touchées,
L'effect prodigieux de l’orage paßé Iuſqu’à la moindre marque eſtoit tout effacé:	L'effect prodigieux de l'orage passé Jusqu'à la moindre marque était tout effacé:
Au lieu que ie craignois de rencontrer Syluie Ou morte, ou pour le moins en danger de ſa vie, Ie la vis neantmoins deſſous d’autres habits Aßiſe au pied d’vn arbre auprés de ſes brebis.	Au lieu que ie craignois de rencontrer Syluie Ou morte, ou pour le moins en danger de sa vie, Je la vis néanmoins dessous d'autres habits Aussi au pieds d'un arbre auprès de ses brebis.
I’out contre elle vn Berger qui luy faiſoit careſſe Ainſi qu’vnieune Amant feroit à ſa Maiſtreſſe, Elle qui luy paſſoit les doigts dans les cheueux Monſtroit que ſon deſir s’accordoit à ſes vœux:	J'out contre elle un Berger qui lui taît caresse Ainsi qu'une Amant ferait à sa Maîtresse, Elle qui lui passait les doigts dans les cheveux Monstrait que son désir s'accordait à ses vœux:
