A.	A.
allons atten dre l’euenement de ces trop for lan certains Augures, & eſperons re, du ciel qui nous enuoiera del le mal, leremede à iceluy, caf mes ie ne cognots pomle ta nde des pouuoit voir ſans l’aimer 3 d’ont les regards rompoient laudaçe des cœurs plus libres, la glaçe des plus froids, qui ne marchoit qu’auec toutes les graçes, qui ſembloit auoir delpouillè la nature & le ciel, pour que l’vniuers luy rendiſt le tribut de ſes volõtes:	allons atten dre l'événement de ces trop for tes certains Augures, et espérons re, du ciel qui nous envoyera del le mal, leremede à icelui, cas mes esprit ne cognots pomle ta nède des pouvait voir sans l'aimer 3 d'ont les regards rompaient laudaçe des cœurs plus libres, la glaçe des plus froids, qui ne marchait qu'avec toutes les graçes, qui semblait avoir delpouillè des nature et le ciel, que pour l'univers lui rendît le tribut de ses volõtes:
ô belle Cypre, celle qui ſeulle nous menoit plus de Pelerins, que ce qui reſte d’aimable au mode, a quité le monde, entendés moy vous Bergers, & vous Nimphes, & vous tous qui auez la marque de raiſon nables, & vous auſſi qui ne nous diferez que par la parol le, la forme, & la latiochatie - --- Ca* v' a P n C me no ce m intellectuelle, prenés part à ce dueil, qui doit meſme toucher les corps inſenſibles puis qu’il s’agiſt de la priuation d’vne choſe, qui ſembloit par ſon aſpec animer toutes choſesyous vousemeuſtes rocher auſon de la harpe d’Orphée, Pourquoy ne fendrez vous point à l’eclat penetrant de nos plaintes?	ô belle Cypre, celle qui seulle nous menait plus de Pelerins, que ce qui reste d'aimable au mode, a quité le monde, entendez moi vous Bergers, et vous Nymphes, et vous tous qui avez la marque de raison nables, et vous aussi qui ne nous disférez que par la parol le, la forme, et la fo - -- a Çme nô ce m intellectuelle, prenés et ce dueil, qui doit même toucher les corps insensibles puis il agît de la priuation chose, qui sembloit a son aspec animer toutes chosesyous vousemeustes rocher auzon de la harpe Orphée, Pourquoy ne fendrez vous point éclat pénétrant de nos plaintes?
& vous amans, que l’amour oula fortune cache ſoub ſes eſcorces, ſerés vous ſi priués de ſentiment que vousnereſſentiés pointce malheur?	et vous amants, que l'amour oula fortune cache soub ses écorces, serez -vous si privez de sentiment que vousneressentiez pointée malheur?
CH.	CH.
Quelles triſtes nouüelles nous veux tu anoncer, & quelle perte peut tellement affliger l’vniuers, que les b 5.	Quelles tristes nouvelles nous veux tu anoncer, et quelle perte peut tellement affliger l'Hivers, que les b 5.
A AO choſes inſenſibles y prenent part (Meſſager) Paſteurs & Nymphes), ceſt la mort de Phenice, de celle que l’eloquence meſme ne ſçauroit louer, approchant de ſon merite qu’vn Oc cean de laimes ne ſçauroit plorer dignement (Meſſager) ô malheur!	A ÀO choses insensibles y prennent part (Messager) Pasteurs et Nymphes), cet la mort de Phénice, de celle que l'éloquence avait ne saurait louer, approchant de son mérite qu'un Oc an de laimes ne saurait plorer dignement (Messager) ô malheur!
O douleur!	Ô douleur!
celle que nous penſions immortelle, qui n'a iamais rien eu d’humain que ceſte derniere action, par la quelle elle s’eſt reioincte à ſon principe a veu voiler ſes yeur dubandeau de la mort.	celle que nous pensions immortelle, qui n'a jamais rien eu d'humain que cette dernière action, par la quelle elle s'est rejointe à son principe a veu voiler ses y dubandeau de la mort.
Que feras tu, ô pauure amour d’e ſarmé de ton foudre, & pri ué de tes dureureenee urre fal ſoit homage par des courages dignes de la conqueſte de l’vniuersneſtant plus n’eſpere plus auoir d’ofrandes, ſy ce ne ſont de ces ames ſeruilles, qui incapables de gaigner tes faueurs par leurs merites tabiurent par ta pitié.	Que feras tu, ô pauvre amour d'e sarmé de ton foudre, et privé de tes dure dureureenee ouvre sal soit hommage par des courages dignes de la conquête de l'vniuersnestant plus n'espère plus avoir d'ofrandes, sy ce ne sont de ces âmes servilles, qui incapables de gagner tes faveurs par leurs mérites tabivrent par ta pitié.
Et toy infortuné Angeralde, qui ſembleseſtre n’ay pour pa roiſtre, monſtre de la fortune, & de l’amour comme enfant de leurs cauſes plus violentes, que diras-tu?	Et toi infortuné Angeralde, qui sembles n'ai pour pa roître, montre de la fortune, et de l'amour comme enfant de leurs causes plus violentes, que diras-tu?
ne ſeras tu point par l’exces de la douleur priué cõme Niobe de ſentiment & de vie?	ne seras tu point par l'excès de la douleur privé comme Niobe de sentiment et de vie?
ton diſcours ô Paſteur nous auoit bien preparés à quenquo mmamous extremement funeſte.	ton discours ô Pasteur nous avait bien préparés à quenquo mémamous extrêmement funeste.
Mais comme il n’y a point de perte qui ſe puiſſe egaller a cellecy, auſſi n’y a il poinct de diſcours qui la puiſſent exprimer, ny de plainctes aſſés douloureuſes pour la dignement plaindre:	Mais comme il n'y a point de perte qui se puisse égaller a cellecy, aussi n'y a il point de discours qui la puissent exprimer, ni de plaintes assez douloureuses pour la dignement plaindre:
dy nous comme elle mourut ( Meſſager comme elle auoit veſcu ſans trouble & ſans regret quede la meſcognoiſſãce qu’elle auoit eue de la fidelité d’Angeralde, de qui elle plaignoit la condition deplorable apres elle, ſur le point de ſa fin, nous viſmes en ſes yeux vn contraſte entre l’amour & la mort:	dis nous comme elle mourut ( Messager comme elle avait vécu sans trouble et sans regret que la méconnaissance qu'elle avait eue de la fidélité d'Angeralde, de qui elle plaignait la condition déplorable après elle, sur le point de sa fin, nous vîmes en ses yeux un contraste entre l'amour et la mort:
l’vne vouloit vaincre & portoit en ſes mains l’arreſt du deſtin fauoriſe par des armes ineuitables, l’autre, premier que de deſemparer la place qui luy auoit acquiſe tant de cœurs, euſt voulu perir s’il euſt eſté mortel, de ſorte que l’on voyoit ſes leures ainſi qu’vne chãdelle, rendre leur lumiere plus claire:	l'une voulait vaincre et portait en ses mains l'arrêt du destin favorise par des armes inévitables, l'autre, premier que de désemparer la place qui lui avait acquise tant de cœurs, eût voulu périr s'il eût été mortel, de sorte que l'on voyait ses lèvres ainsi qu'une chandelle, rendre leur lumière plus claire:
plus ils aprochoient du moment qui les deuoit pour iamais eſteindre, les excés de ſa douleur, l’aprehenſion de ceſte ſeparation redoutable & de la priuation de l’eſtre ne tirerent ny ſouſpirs de ſa bouchenileslarmes deſesyeux ne la forcerẽt pas meſmeà vne action deſagreable oinrrrais loit que celle qui auoit vefcũ accompaignée des graces & des atraits mouruſt auec labié ſeance.	plus ils approchaient du moment qui les devait pour jamais éteindre, les excès de sa douleur, l'appréhension de cette séparation redoutable et de la privation de l'être ne tirèrent ni souspirs de sa bouchèrileslarmes desesyeux ne la forcerêt pas été action désagréable oinrrrais loit que celle qui avait vefcũ accompagnée des grâces et des atraits mourût mourût labié séance.
Meſſager) Elle expira, ayant peu de temps auarauant perdu la parole.	Messager) Elle expira, ayant peu de temps avaravant perdu la parole.
Mais ſi doucement bien que ſes douleurs fuſſent extremement violentes qu’elle ſembla pluſtoſt paſſer de l’aſſoupiſſement au ſommeil que de la vie à la mort:	Mais si doucement bien que ses douleurs fussent extrêmement violentes qu'elle sembla plutôt passer de l'assoupissement au sommeil que de la vie à la mort:
voila la fin de celle qui ne deuoit iamais finir, ſi les beautés du corps & de l’ame auoiẽt aſſés de force, pour nous exempter de ceſte commune loy, qui ieſgale la houlette aux ſceptres.	voilà la fin de celle qui ne devait jamais finir, si les beautés du corps et de l'âme avaient assez de force, pour nous exempter de cette commune loi, qui iesgale la houlette aux sceptres.
I’ay charge d’aſſeurer Angeralde, qu’elle eſt morte, eſtimant ſes affections & auec volonté de les cherir, ſi le ciel n’euſt preüenu ſes deſſeins.	J'ai charge d'assurer Angalde, qu'elle est morte, estimant ses affections et avec volonté de les chérir, si le ciel n'eût prévenu ses desseins.
Elle le coniure aporter ceſt accident auec autant de conſtance.	Elle le conjure apporter cet accident avec autant de constance.
qu’il en a eu en la ſeruant, & de ſe repreſenter, que puis que la mort eſt naturelle & ineuitable, il n’y a point de raiſon de plaindre celuy qui s’acquite, ny de vouloir aſſuletir le deſtin & la nature meſme a nos affections, ſur leſquelles il ſemble que l’vn & l’autre ayent vne puiſſance, ſinon legitime, du moins abſo.	qu'il en a eu en la servant, et de se représenter, que puis que la mort est naturelle et inévitable, il n'y a point de raison de plaindre celui qui s'acquite, ni de vouloir assuletir le destin et la nature même à nos affections, sur lesquelles il semble que l'autre et l'autre aient une puissance, sinon légitime, du moins abso.
luë & neceſſaire:	lue et nécessaire:
du reſte elle achoiſi ſa ſepulture en ceſte iſle au lieu où elle faiſoit ſa demeure.	du reste elle achaisi sa sépulture en cette isle au lieu où elle faisait sa demeure.
HOEVR DE  Ma G S Nymphes ſe reſpondans.	HOUR DE Ma G G Nymphes se réponds.
C44 2 Onc ceſte beauté agreable Qui n'aiamais eu des ẽblable A peu eſtre priuée du iour!	C4 2 Onc cette beauté agréable Qui n'aiamais eu des emblable À peu être privée du jour!
Mort inhumaine & cruelle Vous aues tue auec elle Le ris, les graces & l’amour.	Mort inhumaine et cruelle Vous avez tue auec elle Le ris, les grâces et l'amour.
Deſpuis vne ſi grande perte Noſtre contrée ſemble deferte, Noſtre temple n’a plus d’amans.	Despuis une si grande perte Notre contrée semble déserte, Notre temple n'a plus d'amants.
Außi le pouuoir de ces charmes Pouuoit plus amour, que tes armes Et que tes charmes plus puiſſans Deſpuis que l’eſcume de l’Onde	Aussi le pouvoir de ces charmes Pouvait plus amour, que tes armes Et que tes charmes plus puissants Despuis que l'écume de l'Onde
Beſeſpere.	Besespère.
Fit voir ceſte beauté au monde, Que l’on a creu mere d’amour, Rien ne s’est veu de ſi aimable, De ſi beau, de ſi agreable Que Phenice, de l’œil du iour.	Fit voir cette beauté au monde, Que l'on a cru mère d'amour, Rien ne s'est vu de si aimable, De si beau, de si agréable Que Phénice, de l'œil du jour.
Phenice, le Phenix des belles, Auoit rauy des immortelles La majesté & les attraicts, Et le cœur eſtoit inſenſible Qui ne ſe rendoit acceſsible A la puiſſance de ſes traicts Faut il qu’vne ſi belle choſe Aye le viure d’vne Roſe!	Phénice, le Phénix des belles, Avait ravi des immortelles La majesté et les attraits, Et le cœur était insensible Qui ne se rendait accessible À la puissance de ses traits Faut il qu'une si belle chose AYe le vivre d'une Rose!
Cruel destin & ciel ialoux, Ce qui eſt de plus agreable Aux mortels est le moings durable, Amans vous le cognoiſſez tous.	Cruel destin et ciel jaloux, Ce qui est de plus agréable Aux mortels est le moings durable, Amants vous le connaissez tous.
Pour plorer la belle des belles, Il fauldroit que par nos prunelles	Pour plorer la belle des belles, Il faudrait que par nos prunelles
C iiij L’occean d’eſchargeaſt ſes eaux Et qu’il en decoulaſt des fleuues Encores ſeroient- ce des preuues eouveta euteis nes ee tros mane.	Ç Cijà Eoccean d'eschargeast ses eaux Et qu'il en découlât des fleuves Encorez seraient- ce des prévues eouveta euteis nés ce tros mane.
PHALERINE ANGERALDE ET Philandre.	PHALERINE ANGERALDE ET Philandre.
ACTE.	ACTE.
II.	II.
Il quoy Angeralde?	Il quoi Angeralde?
ivoitre laſcheté veut dõc rendre mes propheties vaines, & vous fruſtrer des biens que le cielvous prepare apres tant de peines?	joitre lascheté veut do rendre mes prophéties vaines, et vous frustrer des biens que le cielvous prépare après tant de peines?
vous vous ſouuiendrés donc tat d’vne infortune que vous perdrés le ſouuenir de vous meſme.	vous vous souviendriez donc tat d'une infortune que vous perdrez le souvenir de vous même.
Ne vous remettez vous poinct deuant les yeux que la fortune peut ſur nous, & non pas nous ſur elle, & que le plus grand deplaiſir qu’elle puiſſe receuoir, eſt de voir ſes efforts rendus inutilles par noſtre conſtance?	Ne vous remettez -vous point devant les yeux que la fortune peut sur nous, et non pas nous sur elle, et que le plus grand déplaisir qu'elle puisse recevoir, est de voir ses efforts rendus inutilles par notre constance?
La plaincte que nous faiſons des pertes irrecouurables, ſe doit pluſtoſt attribuer à manque de courage, qu’a excés d’affection, ou à bon naturelie concede pluſieurs iours à ton dueil:	La plainte que nous faisons des pertes irrecouurables, se doit plutôt attribuer à manque de courage, qu'a excès d'affection, ou à bon naturelie concède plusieurs jours à ton dueil:
Mais rores que tous me diſent que tu ne cerches que la mort, & que tu n'as plus rien del’homme que laformh, ie te viens appoprer!	Mais rores que tous me disent que tu ne cerches que la mort, et que tu n'as plus rien dél'homme que laformh, Seigneur te viens appoprer!
le remede que ma fitrerciallos 4 E DeArel ctiõ m’oblige à t’offrir, & t’admoneſte de te voir dans le miroir de la raiſon, affin que t’y eſtant recognu tout autre que tu ne dois eſtre, tu rentres en toy meſme ſubiſſat aux arres du deſtin, tu te dois contenterde grauer lamemoirede ce que tu as chery par tes eſcrits, au lieu plus voyant du Temple de l’immortalité:	le remède que ma fitrercialos 4 E DeArel tions m'oblige à t'offrir, et t'admoneste de te voir dans le miroir de la raison, afin que t'y étant reconnu tout autre que tu ne dois être, tu rentres en toi -même subissat aux arres du destin, tu te dois contenterde graver lamemoirede ce que tu as cheri par tes écrits, au lieu plus voyant du Temple de l'immortalité:
quand les euenemẽs des choſes ne s’accỗmodent pas à noſtre volonté, il nous faut accommoder à eux, ou du moins tolerer leur rigueur:	quand les événements des choses ne s'accỗmodent pas à notre volonté, il nous faut accommoder à eux, ou du moins tolérer leur rigueur:
aſſeure toy Angeralde, que ta fortune a faict ſa reuolution, qu’elle eſt preltodoteremonHeſejpere.	assure toi Angeralde, que ta fortune a fait sa révolution, qu'elle est preltodoteremonHesejpere.
terplus haut qu’elleneta abaiſlé, & de te faire gouſter plus de miel que tu n’as iamais deuoré d’aloës (Angeralde) Que peut la fortune pour celuy !	terplus haut qu'elleneta abaisé, et de te faire goûter plus de miel que tu n'as jamais dévoré d'aloès (Angerale) Que peut la fortune pour celui !
ô ſage Phalerine, qui n’a plusde deſir ny d’eſperance qu’en la mort, à qui tout eſt oſté, & à qui il ne reſte plus que cequ’il veut d’eterminément perdre, qui eſt vne vie mourante parmy les ennuis & le deſeſpoir?	ô sage Phalerine, qui n'a plusde désir ni d'espérance qu'en la mort, à qui tout est ôté, et à qui il ne reste plus que cequ'il veut d'eterminément perdre, qui est une vie mourante parmi les ennuis et le désespoir?
Phalerine) La vie nous eſt donnee du ciel, comme vn ſacré depoſt, duquel nous ne pouuons ny deuons vſer que par le conſentement de celuy de qui nous la tenons, celuy qui meurt pour toren des peſ4 E ſscarcar nes qui l’affligent, doit eſtre eſtime ſans courage puis qu’il ſelaiſſe emporter à ceſte extremité, pour la crainte d’auoir plus d’ennuy que de cõſtance:	Phalerine) La vie nous est donnée du ciel, comme un sacré dépôt, duquel nous ne pouvons homme devons user que par le consentement de celui de qui nous la tenons, celui qui meurt pour toren des pes4 E sscarcar nés qui l'affligent, doit être estime sans courage puis qu'il selaisse emporter à cette extrémité, pour la crainte d'avoir plus d'ennui que de cõstance:
tous maux ſont remediables iuſques là:	tous maux sont remédiables jusques -là:
& tant qu’vn bon courage a vie, il ne doit rien d’eſeſperer, puis que la fortune eſtextrememẽt puiſ ſante & variable, & quil n’ya point de condition ſiheureuſe, qui ne puiſſe deuenir miſerable, ny de ſi miſerable, qui ne puiſſe deuenir heureuſe.	et tant qu'un bon courage a vie, il ne doit rien d'esesperer, puis que la fortune estextrememẽt puis santé et variable, et quil n'ya point de condition siheureuse, qui ne puisse devenir misérable, ni de si misérable, qui ne puisse devenir heureuse.
Aye bonne eſperance mon fils.	Aye bonne espérance mon fils.
Angeralde) Pluſtoſt le ciel me foudroye, pluſtoſt la terre m’engloutiſſe, les fiers animaux ſe gorgent de mon triſte corps, que l’on me voye encore croire le conſeil d’vne menteuſe, & ſuiure les enſeignes d’vn perfide, l’vne & l’autre ſont mortes pour moy, à qui tout eſt indifferent que la mort (Philandre) & tes amis Angeralde?	Angeralde) Plutôt le ciel me foudroie, plutôt la terre m'engloutisse, les fiers animaux se gorgent de mon triste corps, que l'on me voie encore croire le conseil d'une menteuse, et suivre les enseignes d'un perfide, l'une et l'autre sont mortes pour moi, à qui tout est indifférent que la mort (Philandre) et tes amis Angerale?
Angeralde,) Mes amis, ô Dieux!	Angeralde,) Mes amis, ô Dieux!
n’auez vous point de peur que quelque extreme malheur ne vous auienne?	n'avez -vous point de peur que quelque extrême malheur ne vous avienne?
ſçaches que tout ce qui m’aime, ou qui eſt aymé de moy, eſt dés l’heure meſme que ſon affection ou la mienne a commẽcé à naiſtre par la rigueur du ſort deuoüé à ſeruir de butte à toute ſorte de (5-e47 Cee ) (.	saches que tout ce qui m'aime, ou qui est aimé de moi, est dès l'heure même que son affection ou la mienne a commencé à naître par la rigueur du sort deuoüé à servir de butte à toute sorte de (5-47 Cée ) (.
le e dedu Ve Pem.	le é dédu Ve Pem.
ca Pr Cre d eu Pevr accidens, l’exces de mon malheur eſt peſtilent, il ſe communique a ceux qui me pratiquent, c’eſt pourquoy ie veux ceſſer d’aymer autruy, depeur de luy cauſer du mal, & ceſſerois de m'aymer moy meſme.	ca Pré Cre d eu Pevr accidents, l'excès se mon ur est pestilent, il se communique à ceux qui me pratiquent, c'est pourquoi ie veux cesser d'aimer autrui, dépeur de lui causer du mal, et cesserais de m'aimer moi -même.
ſans que ie deſireauec paſſion d’eſtre accablé en quelque ſorte que ce ſoitſoubs la châte de mon eſpoir, & c’eſt pour quoy ie vous coiure, & pour voſtre bien, & pour le contentement de ce miſerable, de nous eſloigner de luy, & de le laiſſer ſeul lamenter ſes malheurs, ( Phalerine, Non, non, n'eſpere pas que la crainte du mar pauamenuegr - 2 S nes, nous deuoir auenir à to occaſion, nous effraye:	sans que ici désireavec passion d'être accablé en quelque sorte que ce soitsoubs la châte de mon espoir, et c'est pour quoi je vous coivre, et pour et bien, et pour le contentement de ce misérable, de nous éloigner de Seigneur, et de le laisser seul lamenter ses malheurs, ( Phalerine, Non, non, n'espère pas que la crainte du mar pauamenuegr - 2 GRânes, nous devoir avenir à to occasion, nous effraie:
que pleuſt au Ciel que la part que nous prenons en ton deſplaiſir diminuaſt le tien!	que plût au Ciel que la part que nous prenons en ton déplaisir diminuât le tien!
tu te ſẽtirois ie m’aſſeure ſoulagé, nous ne tequiterõs point & empeſcherons à noſtre pouuoir tes inhumaines deliberations, tu m’as touſiours recogneue veritable, ſache & ie te le iure, par tout ce qui m’eſt de plus ſainct & venerable, que ſi ton obſtination ne retranche le cours des aſtres qui entrent en la maiſon du Seigneur de ta naiſſance, que tu ſeras le plus heureux amãt qui viue, (Angeralde,) Amant ô miſerable!	tu te soutirais ainsi m'assure soulagé, nous ne tequitterons point et empêcherons à notre pouvoir tes inhumaines délibérations, tu m'as toujours reconnue véritable, sache et un te le jure, par tout ce qui m'est de plus saint et vénérable, que si ton obstination ne retranche le cours des astres qui entrent en la maison du Seigneur de ta naissance, que tu seras le plus heureux amours qui vive, (Angeralde,) Amant ô misérable!
qui pourrois tu aymer?	qui pourrais tu aimer?
aurois tu encor vn cœur & des affections?	aurais -tu encor un cœur et des affections?
non non grande Pheé, n'eſpere pas que quand ie reſterois au monde (ceque ie ne veux ny ne dois faire, ayant perdu ce qui m’y faiſoit aimer) que le fiſſe ceſte iniureà la memoire de Phenice, ſon tobeau enterrera mon cœur, mes deſirs & mes affections, ie n’attens plus qu’à le voir eſleuer pour l’arroſer de mon ſang, & rendre à ces Manes, auec les derniers ſouſpirs, les derniers vœux de mo amouf (Phalerine,) mais ſi tu eſtois cerſain que romieoronunile * - * du deſplaiſir de ta mort, qu’el le deſiraſt ta vie & tinct point pour violence à a fidelité, celle que tu ferois en ta perſone, viurois tu?	non non grande Phé, n'espère pas que quand on resterais au monde (ceque ie ne veux toujours ne dois faire, ayant perdu ce qui m'y faisait aimer) que le fisse ceste injureà la mémoire de Phénice, son tobeau enterrera mon cœur, mes désirs et mes affections, Seigneur n'attends plus qu'à le voir élever pour l'arroser de mon sang, et rendre à ces Manes, Seigneur les derniers soupirs, les derniers vœux de mo gnous (Phalerine,) mais si tu étais cersain que romieoronile * - * du déplaisir de ta mort, qu'elle le désirât ta vie et tinct point ta vie e a tint, celle que tu ferois en ta pô, ur tu?
Angeralde,) n’eſtime pas que l’exces de mes deſplaiſirs, m’aye encore tellement alteré l’eſprit que ie ne ſache bien que les morts ont perdu la ſouuenance des choſes terreſtres:	Angeralde,) n'estime pas que l'excès de mes déplaisirs, m'aie encore tellement altéré l'esprit que ieans sache bien que les morts ont perdu la souvenance des choses terrestres:
ayant beu dans le fleuue d’oubly, ils vont aux champs d’eliſſe, ou aux enfers ſans memoire de ce qu’ils ont laiſſe (Phalerine) il eſt auſſi impertinent decroi re qu’ils ne ſe ſouuiennent de rien, que de dire qu’ils ſe ſouuiennent de toûtes les cho aduenues à cauſe des paſſions de l’ame, & auſqueles par vn long vſage, elle a paſſé l’action reiteree en habitude, & l’habitude en nature, demeurent infalliblement empreintes en icelle, laiſſant au corps ce qui fut de luy, remportant le caractere de ce où elle aeula meilleure part auec elle:	ayant bu dans le fleuve d'oubli, ils vont aux champs d'élisse, ou aux enfers sans mémoire de ce qu'ils ont laisse (Phalerine) il est aussi impertinent décroi re qu'ils ne se souviennent de rien, que de dire qu'ils se souviennent de toujours les cho advenues à cause des passions de l'âme, et ausqueles sans vn long vsage, elle a passé l'action réitérée en habitude, et l'habitude en nature, demeurent infalliblement empreintes en icelle, laissant au corps ce qui fut de dire, remportant le caractère de ce qu' elle a meilleure tant le ca:
or tu ne douttes pas que l’amour ne ſoit du genre de ſes paſſions, que tes ſeruices n’ayent eu le pouuoir de le grauer en c’eſte, belle amein'e & ſtime poinct en conſequence qu’elle n’aye du ſouuenir & duſoing de toy, & iuges par toy meſme que ſi l’amour e ſtoit mortel & du tout attaché à nos ſens, qu’il ſeroit mort auſſi toſt que l’objet qui le faiſoit viure en ton ame, a ceſſe comme nous ceſſons de reſſentir l’effect des objets lors que la cauſe ou l'eſperance de les poſſederceſt cequi eſmouuoit nos puiſſances quand elles ne touchent que nos ſens (Angeralde) il eſt vray que iaymeroismieux cõſeruer ma vie parmy toutes ſortes de geſnes, quede mourir ſi i’eſtimois en cela contreuenir non à ce qu’elle ſouhaite àpreſent de moy, vos raiſons quoy que fortes, ne pouuans me faire croire que les morts ayent ſoing des viuans, mais a ce qu’elle a deſité en mourant, & ſerois pluſtoſt mil ans trainant mes enfers, & mes peines, que d’outrepa.	or tu ne douttes pas que l'amour ne soit du genre de ses passions, que tes services n'aient eu le pouvoir de le graver en c'elle, belle âmeinée et stime point en conséquence qu'elle n'aie du souvenir et dusoing de toi, et juges par toi -même que si l'amour é taît mortel et du tout attaché à nos sens, qu'il serait mort aussi tôt que l'objet qui le faisait vivre en ton âme, a cesse comme nous cessons de ressentir l'effect des objet lors que la cause ou l'espérance de les possedercest cequi m nos puissances quand elles ne touchent que nos sens (Angeralde) il est vrai que iaymeroismieux ç a vie parmi toutes sortes de gesnes, quede mourir si estimois en cela contreuenir non ce elle sa àpresent de moi, vos raisons quoi que fortes, ne pouuans me faire croire que les mortsaient soing des viuans, mais a et qu'elle a ne en mourant, etche plustost mil ans traînant mes enfers, et mes peines, que nô.
ſſer d’vn moment ce que ie iugerois luy auoir eſtéagreable ( Phalerine) ie vous rẽdray content ſur ce ſubjet, attendant moderés vos paſſions, & n’itritez d’auantage le Ciel, qui veut que nous prenios ce qu’il nous enuoye, ſinon auec alegreſſe, du moings auec patience, ie ſeray auſſi toſt de retour, & vous Philandre, monſtres vous touſiours tel que vous aues elte, ce nendigner vO69 ſtre amy, car il n’y a point de conſolation ſi agreable, ny ſi forte, que celle qui nous vient d’vne perſonne qui cognoiſt noſtre mal, & y ſimpatize.	senser d'un moment ce que ainsi jugerais lui avoir estéagreable ( Phalerine) ie vous rẽdray content sur ce sujet, attendant modérez vos passions, et n'itritez d'avantage le Ciel, qui veut que nous prenios ce qu'il nous envoie, sinon avec alégresse, du moins avec patience, était serai aussi tôt de retour, et vous Philandre, monstres vous toujours tel que vous aurez elte, ce nendigner vO69 tre ami, car il n'y a point de consolation si agréable, celle qui forte, que personne qui nous vient d'une personne qui nous voulez mal, et y simpatize.
Philan.	Philan.
Adieu ſage Phalerine, ne nous quitez que le moings que vous pourrés (Phalerine) le vous verray tout auſſi toſt.	Adieu sage Phalerine, ne nous quitez que le moings que vous pourrez (Phalerine) le vous verrai tout aussi tôt.
Satyre 4.	Satire 4.
Omme les feres ſortent I de leurs cauernes, preſſésde la faim, ie ſors de la miéne preſſé de l’amour, ſi ainſi ſe doit apeller vn deſir violent qui me faict ſouhaiter non affection, mais la iouiſſance l’vne femme, ie cours à l’eau meſure que le feu me gaigne ſans deſſeinautre que d’eſtain dre ma braiſe, toutes femmes me ſont eſgalement agreables pourueu qu’il ne leur manque rien de ce qui eſt neceſſaire à les faire veritable.	Omme les ferez sortent I de leurs cavernes, pressésde la faim, Seigneur sors de la miène pressé de l'amour, si ainsi se doit appeler un désir violent qui me fait souhaiter non affection, mais la jouissance l'une femme, quelque cours à l'eau mesure que le feu me gagne sans desseinautre que d'étain dre ma braise, toutes femmes me sont également agréables pourvu qu'il ne leur manque rien de ce qui est nécessaire à les faire véritable.
mẽt apeller telles, ie nay point le gouſt delicat, car pourueu que ie faceceſſer ce chatouille ment qui m’inquiete, il m'eſt indifferant de quelle ſorten auec qui:	mont apeler telles, je nay point le goût délicat, car pourvu que sans facecesser ce chatouille ment qui m'inquiète, il m'est indifférant de quelle sorten sez qui:
tant que dure l’a ction dure l’amour, apres le ne men ſouuiens iuſques à vn autre temps, & me ris de tous ces bergers, qui font les paſſionnez & recherchent auec tant de temps & de ſubmi ſſion, vn bien que ie ne de mande iamais;	tant que dure l'a ction dure l'amour, après le ne men souviens jusques à un autre temps, et me ris de tous ces bergers, qui font les passionnez et recherchent avec tant de temps et de submi sension, un bien que je ne de mande jamais;
ma force, & ma viteſſe m’acquierent en vn moment, ce qu’ils perdent tant de temps à rechercher quelques fois inutillement.	ma force, et ma vitesse m'acquièrent en un moment, ce qu'ils perdent tant de temps à rechercher quelques fois inutillement.
Il eſt vray que ie le poſſe de le plus ſouuent auec larmes des nymphes & bergeres ce qu’ils reçoiuent volontairement, mais qu’importe, ie n’en veux que pour le n’eceſſaire, & non pas pour le delectable mais ce pendant que ie m’amuſe à diſcourir, le ſoleil monte ſur noſtre orizon, & des-ja i’entens ces valons rettantir du bruict que fait l’inſtrument det paſtres, & la voix des bergeres:	Il est vrai que venir le posse de le plus souvent avec larmes des nymphes et bergères ce qu'ils reçoivent volontairement, mais qu'importe, pleins n'en veux que pour le n'écessaire, et non pas pour le délectable mais ce pendant que je çruse à discourir, le soleil monte sur notre orizon, et déjà j'entends ces valons rettantir du bruit que fait l'instrument dét pâtres, et la voix des bergères:
ie me vais embuſquer en quel2 Ebenreux que lieu, ie te ſuplie ô Pan, de fauoriſer mes deſſeins.	On me vais embusquer en quel2 Ébénreux que lieu, ie te suplie ô Pan, de favoriser mes desseins.
Nicandre, Gilon, Perrot, e Leſbin.	Nicandre, Gilon, Perrot, Lesbin.
Oicy le lieu oui’ay dõné le rendés vous ames copagnons, ſi leurs pas ont eſté auſſi inutilles que les miens nous pouuons bien tous en ſemble nous banir volontairement de noſtre cherepatrie, puis que la rigueur des noſtres ne nous y pourroit ſouffrir auec repos.	Oici le lieu oui'ai donner le rendez vous âmes copagnons, si leurs pas ont été aussi inutilles que les miens nous pouvons bien tous en semble nous banir volontairement de notre chèrepatrie, puis que la rigueur des nôtres ne nous y pourrait souffrir able repos.
O maudite aua rice ſemence de tous les maux qui nous oppreſſent!	Ô maudite aua rice semence de tous les maux qui nous oppressent!
