Voſtre tres-humble & tres.	Votre très-humble et très.
De cette chere femme il occupe la place, Y regne en conquerant, quelque effort que ie face, Et me fait voir combien vn lâche eſt animé, Des mepris du cienois, quanler n'ent femelmes Ce qui me fait trouuer ſon procedé plus rude, Seigneur, c’eſt de penſer à ſon ingratitude, Qu’il me traitte en Eſclaue apres m’auoir ſuiuy, Qu’il me doiue beaucoup, & qu’il m’ait tout rauy.	De cette chère femme il occupe la place, Y règne en conquérant, quelque effort que sans face, Et me fait voir combien un lâche est animé, Des mépris du cienois, quanler n'ent femmes Ce qui me fait trouver son procédé plus rude, Seigneur, c'est de penser à son ingratitude, Qu'il me traite en Esclave après m'avoir suivi, Qu'il me doive beaucoup, et qu'il m’ait tout ravi.
DIOCLETIAN	DIOCLETIAN
Ce monſtre, ou cette mort, que vôtre diſcours blâme, Me priua de ma fille, en prenant vôtre femme, Et ie puis aſſeurer qu’en ce commun mal-heur, Nos cœurs furent atteints d’vne égale douleur.	Ce montre, ou cette mort, que votre discours blâme, Me priva de ma fille, en prenant votre femme, Et ie puis assurer qu'en ce commun malheur, Nos cœurs furent atteints d'une égale douleur.
I’auois crû que les Dieux nous feroient cette grace, Que l’on verroit par vous reuiure nôtre race, Et qu’ils vous donneroient vn digne ſucceſſeur, Pour eſtre de l’Empire apres vous poſſeſſeur.	J'avais cru que les Dieux nous feraient cette grâce, Que l'on verrait par vous revivre notre race, Et qu'ils vous donneraient un digne successeur, Pour être de l'Empire après vous possesseur.
Puis que leur volonté (comme on a veu) fut autre, Nous deuons prudemment y conformer la nôtre, Et ne murmurer pas contre ce qu’ils ont fait;	Puis que leur volonté (comme on a vu) fut autre, Nous devons prudemment y conformer la nôtre, Et ne murmurer pas contre ce qu'ils ont fait;
L’on offenſe la cauſe, en blâmant ſon effet.	L'on offense la cause, en blâmant son effet.
Leurs ſecrets ne ſont pas de nôtre intelligence, do demidident de fodo Paueugie ebellanee.	Leurs secrets ne sont pas de notre intelligence, do demident de fodo Paveugie ebellanee.
Ce monſtre, ou cette mort, qui cauſe ce diſcours, Eſt le point où les Dieux ont limité ſes iours.	Ce montre, ou cette mort, qui cause ce discours, Est le point où les Dieux ont limité ses jours.
MAXIMIAN Souffrés pluſtoſt (Seigneur) que dans cette auenture, En reſpectant les Dieux ie blâme la nature;	MAXIMIAN Souffrés plutôt (Seigneur) que dans cette aventure, En respectant les Dieux grande blâme la nature;
Et diſons des premiers, par vn commun accord, Qu’ils ſont autheurs de l’eſtre & non point de la mort.	Et disons des premiers, par un commun accord, Qu'ils sont auteurs de l'être et non point de la mort.
Chacun ſçait bien qu’ils ont l’intendance du monde, Mais ils laiſſent agir vne cauſe ſeconde:	Chacun sais bien qu'ils ont l'intendance du monde, Mais ils laissent agir une cause seconde:
Ces fâcheus accidents qui frapent les humains, Ne partent pas toûjours de leurs puiſſantes mains:	Ces fâcheus accidents qui frappent les humains, Ne partent pas toujours de leurs puissantes mains:
La nature à ſon cours franc, libre, ſans contrainte, Et c’eſt d’elle que vient le ſuiet de ma plainte, Qui nous eſt vn teſmoin de ſon aueuglement, Parce qu’elle a détruit ſon plus riche ornement.	La nature à son cours franc, libre, sans contrainte, Et c'est d'elle que vient le sujet de ma plainte, Qui nous est un témoin de son aveuglement, Parce qu'elle a détruit son plus riche ornement.
DIOCLETIAN Vôtre eſprit, dont le deüil offuſqua la lumiere, S’illumine, & reprend ſa vigueur coûtumiere:	DIOCLETIAN Votre esprit, dont le deuil offusqua la lumière, S'illumine, et reprend sa vigueur coutumière:
vôtre ſentiment eſt raiſonnable & pieux, Oüy, blâmés la nature, & reſpectés les Dieux:	votre sentiment est raisonnable et pieux, Oui, blâmés la nature, et respectés les Dieux:
Ce n’eſt pas ſans raiſon que vous vous plaignés d’elle, Vôtre femme a fini par la mort naturelle, Et tous vos mouuemens ont depuis eſté tels Qu’on pouuoit les nommer purement naturels.	Ce n'est pas sans raison que vous vous plaignès d'elle, Votre femme a fini par la morts naturelle, Et tous vos mouvements ont depuis été tels Qu'on pouvait les nommer purement naturels.
le ſçay que ce qui rompt les noeuds du mariage.	le sais que ce qui rompt les noeuds du mariage.
Fait de puiſſans efforts ſur vn cœur qu’il partage:	Fait de puissants efforts sur un cœur qu'il partage:
Qu’on ne peut retenir ce premier mouuement, Qui nous porte tous vifs dedans vn monument:	Qu'on ne peut retenir ce premier mouvement, Qui nous porte tous vifs dedans un monument:
Mais quand ces paſſions paroiſſent ſans meſure, C’eſt que la faiſon eſt ſoumiſe à la nature;	Mais quand ces passions paraissent sans mesure, C'est que la saison est soumise à la nature;
Le mal qu’elles nous font reçoit ſa gueriſon, Lors que la nature eſt ſoûmiſe à la raiſon.	Le mal qu'elles nous font reçoit sa guérison, Lors que la nature est soumise à la raison.
La premiere eut en vous trop long-temps l’auentage, Lautre s’yretabſſt, reprenes en l’vſage, Et formant vn deſſein vtile & genereux, Montrés que vous ſçaués ſatisfaire les deux.	La première eut en vous trop longtemps l'aventage, Lautre s'yretabs, reprenez en l'usage, Et formant un dessein vintile et généreux, Montrés que vous savez satisfaire les deux.
MAXIMIAN Mon ame eſt de guerir par la raiſon preſſée;	MAXIMIAN Mon âme est de guérir par la raison pressée;
Mais ſans ceſſe la mort occupe ma penſée, Et pour luy reſiſter ie me ſens impuiſſant.	Mais sans cesse la mort occupe ma pensée, Et pour M resister ici me sens impuissant.
DIOCLETIAN Imités ſon exemple en vn poinct ſi preſſant:	DIOCLETIAN Imités son exemple en un point si pressant:
Il faut tout pratiquer quand le mal eſt extréme, Vous pouués vous ſeruir d’elle contr’elle meſme:	Il faut tout pratiquer quand le mal est extrême, Vous pouvez -vous servir d'elle contr'elle même:
E prouuéz ſa maxime, & n’eſtant aſſés fort, Recourés à l’amour pour ſurmonter la mort.	E prouuéz sa maxime, et n'étant assez fort, Recourez à l'amour pour surmonter la mort.
Ie médite vn moyen de vous rendre propice Ce Dieu, qui contre vous fut iadis ſon complice.	Je médite un moyen de vous rendre propice Ce Dieu, qui contre vous fut jadis son complice.
MAXIMIAN Cet adorable objet, où l’eſprit & les yeux, Rencontroient les appas les plus délicieux, Vôtre fille (Seigneur) me l’auoit fait connoiſtre.	MAXIMIAN Cet adorable objet, où l'esprit et les yeux, Rencontraient les appas les plus délicieux, Votre fille (Seigneur ) me l'avait fait connaître.
Mais le croy qu’auec enle ii auia cene d’eitre.	Mais le crois qu'avec enle ji a cène d'éitre.
DIOCLETIAN Non ( mon fils) l’amour eſt du rang des immortels Et toutes les beautés luy ſont autant d’Autels, Vôtre femme en fut vn, où (Si ie l’oſe dire) Il exerça longtemps les droits de ſon Empire:	DIOCLETIAN Non ( mon fils) l'amour est du rang des immortels Et toutes les beautés nous sont autant d'Autels, Votre femme en fut un, où (Si après l'ose dire) Il exerça longtemps les droits de son Empire:
Suſanne luy ſuccede, & poſſede auiourd’huy, Les plus grandes faueurs qu’on reçoiue de luy.	Susannefois succède, et possède aujourd'hui, Les plus grandes faveurs qu'on reçoive de Seigneur.
Ce Dieu peut à la mort faire quiter la place;	Ce Dieu peut à la mort faire quitter la place;
Si par vne il l’y mit, que par l’autre il l’en chaſſe:	Si par une il l'y mit, que par l'autre il l'en chasse:
Portés vers cet object vos amoureux transports, S’il entre en vôtre cœur, la mort en eſt dehors.	Portez vers cet object vos amoureux transports, S'il entre en votre cœur, la mort en est dehors.
MAXIMIAN Il eſt iuſte (Seigneur) que ie vous obéiſſe, le ne repugne pas a ce doux artifice, Et mon cœur, dont la mort s’éloigne en ce moment Va préparer la place à cet objet charmant.	MAXIMIAN Il est juste (Seigneur) que je vous obisse, le ne répugne pas à ce doux artifice, Et mon cœur, dont la mort s'éloigne en ce moment Va préparer la place à cet objet charmant.
DIOCLETIAN Suiués les mouuemens où l’amour vous engage, Et me laiſſes le ſoin de vôtre mariage.	DIOCLETIAN Suivez les mouvements où l'amour vous engage, Et me laisses le soin de votre mariage.
SECONDE PARTIE.	SECONDE PARTIE.
PREMIER ENTRETIEN.	PREMIER ENTRETIEN.
SERENE, VIRGINIE.	SERENE, VIRGINIE.
VIRGINIE.	VIRGINIE.
Adame, mon eſprit n’eſt point ſi peu diſcret, M Qu’il veüille pénétrer iuſqu’a vôtre ſecret;	Adame, mon esprit n'est point si peu discret, M Qu'il veuille pénétrer jusqu'a votre secret;
Mais voyant que parmi l’allegreſſe publique, Vous ſeule paroiſſés ſombre & melancolique, Il croiroit faire tort à ſa fidelité, S’il pouuoit vous celer qu’il eſt inquieté.	Mais voyant que parmi l'allégresse publique, Vous seule paraissez sombre et mélancolique, Il croirait faire tort à sa fidélité, S'il pouvait vous celer qu'il est inquiété.
I’en cherche le ſuiet ſans le pouuoir conoître, Votre bon-heur eſt grand, ou du moins ſemble l’eſtre, Vôtre grandeur ne peut à plus haut poinct monter, Vous n’auez rien à craindre, & rien à ſouhaitter.	J'en cherche le sujet sans le pouvoir conoître, Votre bonheur est grand, ou du moins semble l'être, Votre grandeur ne peut à plus haut poinct monter, Vous n'avez rien à craindre, et rien à souhaiter.
SERENE.	SERENE.
Ha!	Ha!
que tu fais bien voir que dans vne ame baſſe, L’aueugle ambition a la premiere place, Et que vous renfermés nôtre felicité En ces mots de grandeur, d’honneur, d’authorité.	que tu fais bien voir que dans une âme basse, L'aveugle ambition a la première place, Et que vous renfermez notre félicité En ces mots de grandeur, d'honneur, d'autorité.
Tu ſuis ton ſentiment, & crois que ie n’aſpire, Qu’à ce bien apparent d’auoir part à l’Empire, Que ſon Trône eſt le poinct où ie dois m’arreſter;	Tu suis ton sentiment, et crois que je n'aspire, Qu'à ce bien apparent d'avoir part à l'Empire, Que son Trône est le point où tu dois m'arrêter;
Peut-eſtre ce ſeroit dequoy te contenter:	Peut-être ce serait dequoy te contenter:
Cherches-tu le vray bien ſur lequel ie me fonde?	Cherches-tu le vrai bien sur lequel Rome me fonde?
Apprens que la vertu vaut plus que tout le monde.	Apprends que la vertu vaut plus que tout le monde.
Comme on ne peut regler ſa valeur & ſon prix, Elle ſeule eſt l’obiet des genereux eſprits, Ils la pourſuiuent tous par vn deſir auide, Tout autre bien pour eux, n’eſt point vn bien ſolide;	Comme on ne peut régler sa valeur et son prix, Elle seule est l'objet des généreux esprits, Ils la poursuivent tous par un désir aujde, Tout autre bien pour eux, n'est point un bien solide;
Et ſi le mien te ſemble à préſent abatu, Crois (ma fille) que c’eſt qu’il manque de vertu:	Et si le mien te semble à présent abattu, Crois (ma fille) que c'est qu'il manque de vertu:
VIRGINIE.	VIRGINIE.
Madame, on reconoît la vôtre ſans égale, Vous feriés des leçons de toute la Morale;	Madame, on reconoît la vôtre sans égale, Vous feriez des leçons de toute la Morale;
Celles qui prenent ſoin' de s’en mieux acquiter, Voudroient pour tout ſouhait vous pouuoir imiter?	Celles qui prennent soin de s'en mieux acquitter, Voudraient pour tout souhait vous pouvoir imiter?
Ainſi ie ne croys pas qu’aucun ſuiet vous reſte, Capable de cauſer ce chagrin manifeſte.	Ainsi ici ne crois pas qu'aucun sujet vous reste, Capable de causer ce chagrin manifeste.
SERENE.	SERENE.
La Morale eſt vtile, elle polit les mœurs, Retient les mouuemens des mauuaiſes humeürs;	La Morale est utile, elle polit les mœurs, Retient les mouvements des mauvaises humers;
Regle nôtre conduite, & par ſon aſſiſtance, Toutes nos actions ſe font auec prudence;	Règle notre conduite, et par son assistance, Toutes nos actions se font toujours prudence;
Mais c’eſt prudence humaine, & qui ne s’étend pas Où l’eſprit peut trouuer de ſolides appas:	Mais c'est prudence humaine, et qui ne s'étend pas Où l'esprit peut trouver de solides appas:
Il retient ſa viguenr, s’aſſoupit, ſe rauale, S’il n’aſpire plus haut qu’à la vertu Morale;	Il retient sa viguenr, s'assoupit, se ravale, S'il n'aspire plus haut qu'à la vertu Morale;
Et ſi le mien te ſemble à préſent abatu, Crois (ma fille) qu’il n’a qu’vne fauſſe vertu.	Et si le mien te semble à présent abattu, Crois (ma fille) qu'il n'a qu'une fausse vertu.
VIRGINIE.	VIRGINIE.
Si mon profond reſpect permet que ie replique, A la Morale;	Si mon profond respect permet que je réplique, À la Morale;
Enfin, ie ioins la Politique, L’on void agir les deux d’égale force en vous,	Enfin, Seigneur joins la Politique, L'on voit agir les deux d'égale force en vous,
SERENE.	SERENE.
I'entends venir quelqu’vn, tais-toy, retirons-nous Peut-eſtre vne autre fois te feray-ie comprendre Quelles ſont les vertus où nôtre eſprit doit tendre.	J'entends venir quelqu'autre, tais-toi, retirons-nous Peut-être autre fois te ferai-je comprendre Quelles sont les vertus où notre esprit doit tendre.
SECOND ENTRETIEN.	SECOND ENTRETIEN.
DIOOLE PIAN, MAMIMIE, ANTISE,	DIOLE PIAN, MAMIMIE, ANTISE,
DIOCLETIAN.	DIOCLETIAN.
Que dificilement l’eſprit peut conceuoir Les ſoins que nos grandeurs nous obligent d’auoir!	Que dificilement l'esprit peut concevoir Les soins que nos grandeurs nous obligent d'avoir!
Le Trône impérial en éleuant nos teſtes, Les approche des lieux où ſe font les tempeſtes, Et le plus fortuné que l’on y voye aſſis, Aux Pauots du repos ioint toûjours des ſoucis.	Le Trône impérial en élevant nos têtes, Les approche des lieux où se font les tempêtes, Et le plus fortuné que l'on y voie assis, Aux Pauots du repos joint toujours des soucis.
MAXIME.	MAXIME.
Vos ſemblables, Seigneur, dans l’Etat où nous ſommes, Sont bien moins que les Dieux, mais bien plus que les hommes :	Vos semblables, Seigneur, dans l'État où nous sommes, Sont bien moins que les Dieux, mais bien plus que les hommes :
S'éleuent à ceux-là, par vn culte éternel, S’abaiſſent à ceux-cy, par vn ſoin paternel;	S'éleuent à ceux-là, par un culte éternel, S'abaissent à ceux-cy, par un soin paternel;
Et comme le milieu d’entre ces deux extrémes, Les hommes vont par eux aux Déités ſuprémes?	Et comme le milieu d'entre ces deux extrêmes, Les hommes vont par eux aux Déités suprêmes?
Comſmé par eux auſif, ſes meſmes Deires, Départent aux mortels leurs liberalités.	Comsmé par eux ausif, ses mêmes Dires, Départent aux mortels leurs libéralités.
Ainſi, l’on peut iuger quels emplois ſont les voſtres, Chargés des intereſts & des vns & des autres.	Ainsi, l'on peut juger quels emplois sont les vôtres, Chargés des intérêts et des et des autres.
ARTISE.	ARTISE.
Ce ſacré Caractere, auquel les Dieux ont mis Le pouuoir de tenir tous les peuples ſoûmis;	Ce sacré Caractère, auquel les Dieux ont mis Le pouvoir de tenir tous les peuples soumis;
Ce qui dans nos eſprits ſecrettement imprime, Le reſpect que l’on doit au Seigneur legitime;	Ce qui dans nos esprits secrètement imprime, Le respect que l'on doit au Seigneur légitime;
Cette puiſſance, enfin, où cette authorité, Qui triomphe aiſément de noſtre liberté, Eſt vn preſent des Dieux, qui dans ſon exercice, Doit pour premier objet regarder leur ſeruice.	Cette puissance, enfin, où cette autorité, Qui triomphe aisément de notre liberté, Est un présent des Dieux, qui dans son exercice, Doit pour premier objet regarder leur service.
Mais ſi mon ſentiment vous ſemble vn peu hardi, Veüillés me pardonner, Seigneur, ſi ie le di.	Mais si mon sentiment vous semble un peu hardi, Veüillés me pardonner, Seigneur, si toujours le di.
Voyons où ce pouuoir peut iuſtement s’étendre;	Voyons où ce pouvoir peut justement s'étendre;
Ce que vous tenés d’eux, vous deués le leur rendre:	Ce que vous tenezez d'eux, vous devez le leur rendre:
peuuent-ils vous admettre au rang de leurs amis, Si vous laiſſés errer ceux qu’ils vous ont comis.	peuvent-ils vous admettre au rang de leurs amis, Si vous laissez errer ceux qu'ils vous ont comis.
Vous ne leur eſtes pas de vous ſeul reſponſable, Par le crime d’autruy vous vous rendés coupable, Car vous n’ignorés pas, Seigneur, que c’eſt pecher, Si l’on ſouffre le mal, le pouuant empeſcher;	Vous ne leur êtes pas de vous seul responsable, Par le crime d'autrui vous vous rendez coupable, Car vous n'ignorez pas, Seigneur, que c'est pécher, Si l'on souffre le mal, le pouvant empêcher;
Ce pouuoir abſolu leur haine vous attire, S iis ne font reueres par tous eeux de l’Empire;	Ce pouuoir absolu leur haine vous attire, S is ne font révères par tous ceux de l'Empire;
C’eſt leur intention, & c’eſt voſtre intereſt, D’en faire exactement executer l’arreſt,	C'est leur intention, et c'est votre intérêt, D'en faire exactement exécuter l'arrêt,
DIOCLETIAN Quoy!	DIOCLETIAN Quoi!
les Dieux peuuent-ils nous imputer le blâme D’vn mal qu’on ne peut voir, ſans penetrer dans l’ame Tout ce qui leur déplaiſt ne ſe peut-il celer?	les Dieux peuvent-ils nous imputer le blâme D'un mal qu'on ne peut voir, sans pénétrer dans l'âme Tout ce qui leur déplaît ne se peut-il celer?
MATME Il ſe peut;	MATME Il se peut;
mais, Seigneur, nous entendons parler, De ce crime public de la Secte Chreſtienne, Dont.	mais, Seigneur, nous entendons parler, De ce crime public de la Secte Chrétienne, Dont.
DIOCLETIAN Il n’eſt pas beſoin que l’on m’en entretienne Ce ſeul nom de Chreſtien m’eſt vn ſuiet d’horreur;	DIOCLETIAN Il n'est pas besoin que l'on m'en entretienne Ce seul nom de Chrétien m'est un sujet d'horreur;
Mon zele, à leur égard ſe transforme en fureur, Et quelque cruauté que contr’eux i’exagere, Ie ſens inçeſſamment accroiſtre ma colere.	Mon zèle, à leur égard se transforme en fureur, Et quelque cruauté que contr'eux j'exage, Je sens inçessamment accroître ma colère.
Mais comme nous voyons la plus cruelle mort, Sur leurs cœurs obſtinés ne faire aucun effort, l'ay crû par la douceur auancer dauantage, Et nous les acquerir par l’heureux mariage De mon Gendre à Suſanne, & Claude en eſt l’agent.	Mais comme nous voyons la plus cruelle mort, Sur leurs cœurs obstinés ne faire aucun effort, l'ai cru par la douceur avancer davantage, Et nous les acquérir par l'heureux mariage De mon Gendre à Sanne, et Claude en est l'agent.
ARTISE Tres-capable, Seigneur,	ARTISE Très-capable, Seigneur,
DIOCLETIAN Oüy, mais peu diligent.	DIOCLETIAN Oui, mais peu diligent.
Allés le voir Maxime, & faites que i’apprenne, En quel ſentiment eſt cette belle Chreſtienne;	Allez le voir Maxime, et faites que j'apprenne, En quel sentiment est cette belle Chrétienne;
MAXIME Peu de temps me r’améne à voſtre Majeſté.	MAXIME Peu de temps me ramène à votre Majesté.
SOLILOQVE de	SOLILOQUE de
SVSANNE Illuſtres dignités, grandeurs, mondaine pompe, De qui le faux éclat en nous charmant nous trompe;	SUSANE Illustres dignités, grandeurs, mondaine pompe, De qui le faux éclat en nous charmant nous trompe;
Delices, voluptés;	Délices, voluptés;
abondance, plaiſirs, Appas, qui nous perdés, en gaignant nos deſirs, Funeſtes rejettons d’vne fatale ſouche, Vos fruicts paroiſſent beaux;	abondance, plaisirs, Appas, qui nous perdez, en gagnant nos désirs, Funestes rejettons d'une fatale souche, Vos fruits paraissent beaux;
mais n’ont rien qui me touche.	mais n'ont rien qui me touche.
le ſçay que vous n’aués qu’vn luſtre faſtueux, Qui ne peut ébloüir les yeux des vertueux:	le sais que vous n'avez qu'un lustre fastueux, Qui ne peut ébloüir les yeux des vertueux:
Que voſtre auantage eſt dans la ſeule apparence, Et que vous ſuccombés, en trouuant réſiſtance.	Que votre avantage est dans la seule apparence, Et que vous succombez, en trouvant résistance.
Neantmoins, ſi mon cœur n’eſt par vous abatu, le ne l’impute point à ma propre vertu:	Néanmoins, si mon cœur n'est par vous abattu, le ne l'impute point à ma propre vertu:
Mépriſant voſtre force, hautement ie confeſſe, Que pour luy reſiſter i’aurois trop de foibleſſe;	Méprisant votre force, hautement ici confesse, Que pour M resister j'aurais trop de faiblesse;
Qu'à vos moindres efforts ie ſerois ſans vigueur, Et que chacun de vous ſe rendroit mon vainqueur.	Qu'à vos moindres efforts Seigneur serais sans vigueur, Et que chacun de vous se rendrait mon vainqueur.
Mais ie me fortifie en cette conoiſſance;	Mais ie me fortifie en cette conaissance;
Plus ie voy mon deffaut, moins i’ay de confiance:	Plus Seigneur vois mon défaut, moins j'ai de confiance:
Et ma timidité fait que dans le danger, I’implore auec ardeur vn ſecours étranger.	Et ma timidité fait que dans le danger, J'implore avec ardeur un secours étranger.
Mais ſecours ſi puiſſant, que ſi toute la terre, Se ioignoit à l’enfer pour me faire la guerre, Quelque ſi viue ardeur qui les pût échaufer, Parluy, l’on me verroit & vaincre, & triompher.	Mais secours si puissant, que si toute la terre, Se joignait à l'enfer pour me faire la guerre, Quelque si vive ardeur qui les pût échauffer, Parlui, l'on me verrait et vaincre, et triompher.
Adorable ſecours d’vne force infinie, Dont le chef glorieux regne ſans tirannie.	Adorable secours d'une force infinie, Dont le chef glorieux règne sans tyrannie.
Qu’il eſt doux de ſeruir ce puiſſant protecteur!	Qu'il est doux de servir ce puissant protecteur!
Il nous promet beaucoup, ſans paroiſtre menteur;	Il nous promet beaucoup, sans paraître menteur;
Et pour combler les ſiens d’vne gloire ſupréme, Sa charité l’oblige à ſe donner ſoy-meſme.	Et pour combler les siens d'une gloire suprême, Sa charité l'oblige à se donner soi-même.
Tout ce que l’Vniuers poſſede de plus beau, Eſt moins qu’vne étincelle au prix de ce flambeau;	Tout ce que l'Univers possède de plus beau, Est moins qu'une étincelle au prix de ce flambeau;
Flambeau, dont la lumiere en éclairant vne ame, L’embraſe de l’ardeur d’vne diuine flame, Et luy faiſant trouuer ce ſéjour odieux, L’illumine âu chemin qui nous conduit aux Cieux.	Flambeau, dont la lumière en éclairant une âme, L'embrase de l'ardeur d'une divine flamme, Et tu faisant trouver ce séjour odieux, L'illumine âv chemin qui nous conduit aux Cieux.
C’eſt là, que la douceur ſe goûte ſans meſlange, Que la félicité n’eſt point ſujette au change, Et qu’on a des plaiſirs, dont la ſolidité, Ne ſçauroit prendre fin, qu’auec l’Eternité.	C'est là, que la douceur se goûte sans mélange, Que la félicité n'est point sujet au change, Et qu'on a des plaisirs, dont la solidité, Ne saurait prendre fin, qu'avec l'Éternité.
C’eſt là, charmant objet, que i’ay ferme eſperance, De poſſeder bien-toſt voſtre auguſte preſence;	C'est là, charmant objet, que j'ai ferme espérance, De posséder bientôt votre auguste présence;
Et parmi les beautez de ce diuin ſéjour, Eſtre vnie auec vous, par vn lien d’amour.	Et parmi les beautés de ce divin séjour, Être unie avec vous, par un lien d'amour.
Ie ſçay bien mes pechés, qui me rendent indigne, De receuoir de vous cette faueur inſigne;	Je sais bien mes péchés, qui me rendent indigne, De recevoir de vous cette faveur insigne;
Mais ie n’ignore pas que le plus criminel, Peut rencontrer en vous vn amour paternel, Et que ſollicitant voſtre miſericorde, Pour obtenir pardon, ſoudain elle l’accorde.	Mais était n'ignore pas que le plus criminel, Peut rencontrer en vous un amour paternel, Et que sollicitant votre miséricorde, Pour obtenir pardon, soudain elle l'accorde.
C’eſt pour cela, mon Dieu, que ie ſuis deuant vous;	C'est pour cela, mon Dieu, que je suis devant vous;
Mais, ne me voyez point, ſi ce n’eſt d’vn œil doux:	Mais, ne me voyez point, si ce n'est d'un œil doux:
Voilés en ce moment ces lumieres ſublimes.	Voilés en ce moment ces lumières sublimes.
Qui vous font tout preſent, pour ne voir pas mes crimes:	Qui vous font tout présent, pour ne voir pas mes crimes:
Banniſſez-les, mon Tout, de voſtre ſouuenir, Et que mon repentir ſerue pour m’en punir.	Bannissez-les, mon Tout, de votre souvenir, Et que mon repentir serve pour m'en punir.
Rendez-le plus ſenſible, afin de ſatisfaire Plus conuenablement voſtre iuſte colere:	Rendez-le plus sensible, afin de satisfaire Plus convenablement vôtre juste colère:
Et qu’ainſi mon eſprit contrit & pénitent, rame preil-toit loun du pon-ſeu qu'i pretend.	Et qu'ainsi mon esprit contrit et pénitent, rame préil-toit loun du pon-seu qu'y prétend.
TROISIESME ENTRETIEN.	TROISIÈME ENTRETIEN.
MAXIMIAN, CVRCE,	MAXIMIAN, CURÉE,
MAXIMIAN.	MAXIMIAN.
lete l’auoüe, enfin, il eſt vray que mon ame, Dés long-temps ſent l’ardeur d’vne pudique flame;	lete l'auoüe, enfin, il est vrai que mon âme, Dès longtemps sent l'ardeur d'une pudique flamme;
Et ce feu violent, conſommant ma couleur, Faiſoit voir ſur mon front vne ſombre pâleur.	Et ce feu violent, consommant ma couleur, Faisait voir sur mon front assez sombre pâleur.
Tu ſçais bien quelle loy le deuoir nous impoſe;	Tu sais bien quelle loi le devoir nous impose;
Cét effet paroiſſant, i’en déguiſois la cauſe;	Cet effet paraissant, j'en déguisais la cause;
Et l’on m’a veu ſouuent, par vn adroit effort, Ce que faiſoit l’amour, l’imputer à la mort.	Et l'on m'a vu souvent, par un adroit effort, Ce que faisait l'amour, l'imputer à la mort.
Ainſi, ie ſoûpirois & ſans crainte & ſans blâme:	Ainsi, Seigneur soupirais et sans crainte et sans blâme:
Pour pretexte, i’auois la perte de ma femme,	Pour prétexte, j'avais la perte de ma femme,
B iij Et ce que ie feignois pouſſer vers ſon tombeau, Suiuoit les doux attraits d’vn objet tout nouueau.	 iij Est ce que ici feignais pousser vers son tombeau, Suivait les doux attraits d'un objet tout nouveau.
D’abord ma douleur fit reſiſtance à ſes charmes, Au feu de ſes beaux yeux elle oppoſa mes larmes, Et leur humidité qui ne pût l’empeſcher De penetrer au cœur, s’en ſentit déſeicher.	D'abord ma douleur fit résistance à ses charmes, Au feu de ses beaux yeux elle opposa mes larmes, Et leur humidité qui ne put l'empêcher De pénétrer au cœur, s'en sentit déseicher.
De mon premier objet le ſouuenir funeſte, Combat en ſa faueur, & fait vn coup de reſte;	De mon premier objet le souvenir funeste, Combat en sa faveur, et fait un coup de reste;
Mais enfin, ſes efforts ſont vains & ſuperflus, Le dernier eſt puiſſant, le premier ne l’eſt plus:	Mais enfin, ses efforts sont vains et superflus, Le dernier est puissant, le premier ne l'est plus:
Car cette paſſion, qui ne peut eſtre oiſiue, Dii ibirceciuite veut virobiet qui viue.	Car cette passion, qui ne peut être oisive, Di ibircecite veut virobjet qui vive.
Acquité du deuoir d’vn vif reſſentiment, L’office de mary, paſſe en celuy d’amant.	Acquité du devoir d'un vif ressentiment, L'office de mari, passe en celui d'amant.
CVRCE Cét heureux changement me comble d’allegreſſe, Rien n’affligea mon cœur, comme voſtre triſteſſe;	CURÉE Cet heureux changement me comble d'allégresse, Rien n'affligea mon cœur, comme votre tristesse;
Mais s’il faut en amour ſuiure l’égalité, Seigneur, qui peut répondre à voſtre qualité?	Mais s'il faut en amour suivre l'égalité, Seigneur, qui peut répondre à votre qualité?
MAXIMIAN Ce ſont des ſentimens que l’ignorance excite:	MAXIMIAN Ce sont des sentiments que l'ignorance excite:
Le veritable amour regarde le merite;	Le véritable amour regarde le mérite;
Il admet pour objets, les graces, les appas, Et comment les aimer, où l’on ne les void pas?	Il admet pour objets, les grâces, les appas, Et comment les aimer, où l'on ne les voit pas?
Ces belles qualitez, que la Nature donne, Sont des droits de naiſſance, acquis à la perſonne.	Ces belles qualités, que la Nature donne, Sont des droits de naissance, acquis à la personne.
Son bien eſtant ſans prix, ne peut eſtre acheté, Et quand elle en départ, c’eſt par gratuïté.	Son bien étant sans prix, ne peut être acheté, Et quand elle en départ, c'est par gratuïté.
Mais au diuin ſuiet pour lequel ie ſoûpire, Tout ſemble concourir à faire qu’on l’admire.	Mais au divin sujet pour lequel mot soupire, Tout semble concourir à faire qu'on l'admire.
Ses parents, apres nous, tiennent le premier rang, Et Rome n’en a point d’vn plus illuſtre ſang.	Ses parents, après nous, tiennent le premier rang, Et Rome n'en a point d'un plus illustre sang.
En elle, la Nature a mis ſon induſtrie, Pour rendre les humains ſuſpects d’idolâtrie;	En elle, la Nature a mis son industrie, Pour rendre les humains suspects d'idolâtrie;
Dautant que ſi l’eſprit croid le rapport des yeux, Rien n’eſt plus adorable, en la troupe des Dieux.	Dautant que si l'esprit croid le rapport des yeux, Rien n'est plus adorable, en la troupe des Dieux.
