LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
eſt-ce le grand Dieu Mars, Voltigeant ſur le camp de ſes braues ſoldars?	est-ce le grand Dieu Mars, Voltigeant sur le camp de ses braves soldars?
Quoy ne t’ennuye-tu point de le ſuyure ſans ceſſe?	Quoi ne t'ennuie-tu point de le suivre sans cesse?
Hé veux-tu point venir me deſgager d’oppreſſe?	Hé veux-tu point venir me dégager d'oppresse?
Ias!	Jas!
vien deſpeſche-toy, vien me faire mourir, Außi bien rien que toy ne me peut ſecourir.	viens dépêche-toi, viens me faire mourir, Aussi bien rien que toi ne me peut secourir.
Viens fille de la nuit depriſonner mon ame, Et ne me trompe plus par ton ſeruiteur ſpame:	Viens fille de la nuit déprisonner mon âme, Et ne me trompe plus par ton serviteur spame:
Aſſez en ces bas lieux i’ay veſcu malheureux, Il'est temps que ton dard me rende plus heureux.	Assez en ces bas lieux j'ai vécu malheureux, Il est temps que ton dard me rende plus heureux.
Caiduller, Si ie l’entens encor proſerer ſa complainte, Ie vois faire l’Echo, de grand douleur attainte.	Caiduller, Si ainsi l'entends encor prosérer sa complainte, Je vois faire l'Écho, de grand douleur attainte.
Arbas.	Arbas.
Quaytu ne viens donc-pas?	Quaytu ne viens donc-pas?
ſus, ſus, de ce couſleas Malgré toy ie me veux loger ſous le tombeau, (touQu'est-ce qui parle à moy en ce lieu ſolitaire, beau.	sus, sus, de ce couleas Malgré toi Qui me veux loger sous le tombeau, (touQuest-ce qui parle à moi en ce lieu solitaire, beau.
Quelqu'vn verroit il bien quere me veux defaire, Ou bien ſi c’eſt Echo?	Quelqu'un verrait -il bien quere me veux défaire, Ou bien si c'est Écho?
ſeroit-ce bien ſa vois, (ſa vois.	serait-ce bien sa vois, (sa vois.
Est ce doncques Echo la Nymphe de ces bois?	Est -ce donc Écho la Nymphe de ces bois?
Qui ſouuent a gemy de mapeine cruelle.	Qui souvent a gémi de mapeine cruelle.
elle.	elle.
Helas gentille Nymphe à Narcis trop fislelle, Dyſi Madame, encor est en ces lieux ou non:	Hélas gentille Nymphe à Narcis trop fîlelle, Dysi Madame, encor est en ces lieux ou non:
non.	non.
Partant elle n’a craint de tacher ſon renom, Et laiſſer ſon amant proye de quelque ſere:	Partant elle n'a craint de tacher son renom, Et laisser son amant proie de quelque sere:
Dieux quelle cruauté elle ne l’ayme guere:	Dieux quelle cruauté elle ne l'aime guère:
guere, Tu dis la verité, & pource mon treſpas Ie me vois auancer, c'y cours tout haut le pas:	guère, Tu dis la vérité, et pource mon trépas Je me vois avancer, c'y cours tout haut le pas:
pas.	pas.
Pourquoy, puis que mon dueil ne fiuit ny ma peine, Doy-ie encore eſperer qu’elle deuienne humaine:	Pourquoi, puis que mon deuil ne fiuit ni ma peine, Dois-je encore espérer qu'elle devienne humaine:
hurum'abuſes, Echo:	hurum'abuses, Écho:
ce ſeron perurerempr.	ce seron perurerempr.
main Puis ce ne m’auiendroit ie croy iamais atemps, (ãtẽs A temps, tu mens Echo, ma fin eſt trop prochaine:	main Puis ce ne m'auiendroit ici crois jamais atemps, (ãtẽs A temps, tu mens Écho, ma fin est trop prochaine:
Mais encore dis-moy, dis-tu choſe certaine:	Mais encore dis-moi, dis-tu chose certaine:
certaine.	certaine.
Hé bien i’atendray donc mais en quitant ce lieu, Prens de moy pour paymẽt vn gratieux adieu.	Hé bien j'attendrai donc mais en quitant ce lieu, Prends de moi pour paiment un gratieux adieu.
adieu.	adieu.
Celidon.	Celidon.
Aibas.	Aibas.
YDamie.	YDamie.
SCENE II.	SCÈNE II.
Celidon.	Celidon.
Eu ſouuent nous voyons arriuer vne choſe, I Au terme deſiré, où c’eſt qu’on la propoſe:	Eu souvent nous voyons arriver une chose, I Au terme désiré, où c'est qu'on la propose:
Touſiours quelque malheur s’entremet au deuant, Suãd d’vn ſoing plus prudẽt nous l’alons pour ſuyuant Etviors que nous penſons la tenir & la prendre, C’eſt lors qu’elle nous fuit & ne nous veut attendre.	Toujours quelque malheur s'entremet au devant, Sumand d'un soing plus prudent nous l'allons pour suivant Éviors que nous pensons la tenir et la prendre, C'est lors qu'elle nous fuit et ne nous veut attendre.
Telle eſt la dure loy du deſtin des humains, Ce qu’ils penſent tenir s’eſcoule de leurs mains.	Telle est la dure loi du destin des humains, Ce qu'ils pensent tenir s'écoule de leurs mains.
Ainſi on voit ſouuent tout contre le riuage, Ie nauire flottant ſaire vn triſte naufrage.	Ainsi on voit souvent tout contre le rivage, Je navire flottant zaïre un triste naufrage.
Ainſi le voyageur tout contre ſon oſtel, De la dure Atropos recoit le coup mortel:	Ainsi le voyageur tout contre son ostel, De la dure Atropos reçoit le coup mortel:
Rien, rien n’eſt aſſeuré en ce monde où nous ſommes, Ce n’est que vanité de la vie des hommes, Tout leur plaiſir, leur bien n'est qu’vn athome, vn vẽt Que plus qu’vn ſonge vain l’on voit perir ſouuent, Et tel l’on voit ce iour le mignon de Fortune, Qui demain ſentira ſa rigueur importune.	Rien, rien n'est assuré en ce monde où nous sommes, Ce n'est que vanité de la vie des hommes, Tout leur plaisir, leur bien n'est qu'un athome, un ve Que plus qu'un songe vain l'on voit périr souvent, Et tel l'on voit ce jour le mignon de Fortune, Qui demain a sa rigueur importune.
Car celuy que l’on voit qu’elle monte plus haut, C’est pour le faire choir d’vn plus dangereux ſaus, Doncques ô fols humains, ayez de cememoire,	Car celui que l'on voit qu'elle monte plus haut, C'est pour le faire choir d'un plus dangereux saus, Doncques ô fols humains, ayez de cememoire,
Et pour tous ces bien ſaies n’en ayez, plus de gloire.	Et pour tous ces bien saies n'en ayez, plus de gloire.
Tout ainſi qu’à Thetu elle a ſlus & reflus, Gouuerné par les rais du celeste phiœbus:	Tout ainsi qu'à Thétu elle a slus et reflus, Gouverné par les rais du céleste phiœbus:
Pource en tous ſet eſfets viuez en modeſtie, De peur helas!	Pource en tous set éfets vivez en modestie, De peur hélas!
qu’aprez elle ne vous chaſtie.	qu'aprez elle ne vous châtie.
Eſtiſez vn milieu, ny trop haut ny trop bas, Et ſur ce luit parfait tenez ferme vos pas:	Étisez un milieu, Seigneur trop hautrés trop bas, Et sur ce luit parfait tenez ferme vos pas:
Beaucoup pour n’auoir tins en ſes faueurs de borne, L’on a veu receuoir vne terrible eſcorne:	Beaucoup pour n'avoir tins en ses faveurs de borne, L'on a vu recevoir une terrible écorne:
Mais afin de rentrer en mon premier propos, Rien icy n’eſt certain que le coup d’Atropos:	Mais afin de rentrer en mon premier propos, Rien ici n'est certain que le coup d'Atropos:
Eſtant la verité que le mortel propoſe, Et le grand Iupiter à ſon plaiſir diſpoſe.	Étant la vérité que le mortel propose, Et le grand Jupiter à son plaisir dispose.
I’autre iour que i’eſtois prez ces bois, à reçoy, Solitaire & penſif, diſcourant à par-moy De la nouuelle ardeur qui mon eſprit enflame, Par la grande beauté d’vne gentille Dame:	J'autre jour que j'étais prez ces bois, à reçois, Solitaire et pensif, discourant à part-moi De la nouvelle ardeur qui mon esprit enflamme, Par la grande beauté d'une gentille Dame:
Et comme ie prenois la reſolution De luy porter diſcours de mon affection, Voicy tout außi-tost mon Mirtin qui arriue, Qui de mon cher deſſein la pratique me priue, Pource qu’il m’arresta pour luy donner ſecour Allencontre Terpin, qui luy ioüa d’vn tour, Vne fois qu’il chaſſoit d’vne robuste peine, Dedans cette forest, le faon d’vne Dainne.	Et comme ici prenais la résolution De lui porter discours de mon affection, Voici tout aussi-tôt mon Mirtin qui arrive, Qui de mon cher dessein la pratique me prive, Pource qu'il m'arrêta pour lui donner secour Allencontre Terpin, qui lui joua d'un tour, Votre fois qu'il chassait d'une robuste peine, Dedans cette forêt, le faon d'une Dainne.
Celà me facha bien:	Celà me fâcha bien:
mais il faut qu’vn amy, Vers l’autre, ne le ſoit ſeulement à demy, Autrement c’eſt faillir encontre la loy ſainte De la bonne amitié, & violler l’eſtrainte Dont iadis elle vnit Damon & Pityas Dont nous voulons ſuyuir iuſques à la mort les pas.	mais il faut qu'un ami, Vers l'autre, ne le soit seulement à demi, Autrement c'est faillir encontre la loi sainte De la bonne amitié, et violer l'étrainte Dont jadis elle Trit Damon et Pitias Dont nous voulons suivir jusqu' à la mort les pas.
Or cette fois encor pouſé de meſme enuye, Ie viens en ce quartier pour preſenter ma vie Et ma naiſſante amour, à la ieune beauté Qui ià tient en priſon ma chere liberté.	Or cette fois encor pousé de même envie, Je viens en ce quartier pour présenter ma vie Et ma naissante amour, à la jeune beauté Qui jà tient en prison ma chère liberté.
L’on m’a dit ce iourdhuy, que l’on la rencoutree Anet ques fon troupeau tirant cette contree.	L'on m'a dit ce iourdhuy, que l'on la rencoutre Anet es son troupeau tirant cette contrée.
Arbas.	Arbas.
Uu vas tu Celidon?	Où vas -tu Célidon?
où dreſſe tu tes pas?	où dresse tu tes pas?
Celidon.	Celidon.
Pan vous gard cher amy, ie ne vous voyois-pas, Ma veuë eu auure purrejtoit ures tournee.	Pan vous gard cher ami, ie ne vous voyais-pas, Ma vue eu auure purrejtait ures tournée.
Toymeſmes où vai-tu acheuer la iournee.	Toymesmes où vay-tu achever la journe.
Arbas.	Arbas.
Ma foy ie n’en ſçayrien:	Ma foi quelque n'en sçayrien:
où le voudra le ſort, Ie voudrois-bien aller où ſe trouue la mort:	où le voudra le sort, Je voudrais-bien aller où se trouve la mort:
Afin qu’elle mit fin à ma dolente vie.	Afin qu'elle mit fin à ma dolente vie.
Ccndone Comment celà, pourquoy, qu’est-ce qui t’y conuie?	Ccédone Comment celà, pourquoi, qu'est-ce qui t'y convie?
Yo qu’elle cau ſe as-tu d’implorer ſon ſecours?	Yo qu'elle cau se as-tu d'implorer son secours?
Arbas.	Arbas.
Si tu veux le ſoauoir, i’en feray lediſcours, Encor que ce penſer mes ſouſpirs renouuelle,	Si tu veux le savoir, j'en ferai lédiscours, Encor que ce penser mes soupirs renouvelle,
Cerruon.	Cerruon.
Est-ce pour le regret d’vne perte nouuelle?	Est-ce pour le regret d'une perte nouvelle?
Il faut patienter, celà nous eſt commun:	Il faut patienter, celà nous est commun:
nu Dreſſe jans yeux importune vn chacun.	nu Dresse jans yeux importune un chacun.
Arbas.	Arbas.
Ce n’eſt perte de biens qui fait que ie ſouſpire, Mais pour en poſſeder, vn que trop ie deſire.	Ce n'est perte de biens qui fait que jours soupire, Mais pour en posséder, un que trop ie desire.
Cel idon.	Cel idon.
Ton cum ejeut ſe tmau eu jes ufections, Qu’il ne puiſſe domter ces foles paßions?	Ton cum éjut se tremau eu jes ections, Qu'il ne puisse dompter ces soles passions?
Arbas.	Arbas.
Ouy pour ce ſeul ſuiet.	Oui pour ce seul sujet.
Mais en toute autre choſe, Ainſi qu’eſt mon vouloir ſagement i’en diſpoſe.	Mais en toute autre chose, Ainsi qu'est mon vouloir sagement j'en dispose.
Celidon.	Celidon.
Si faut-il tenir regle au vol de ſes deſirs, 4 Et ne ſouhaiter-pas de trop graues plaiſirs Ainſi qu’vn Thaeton:	Si faut-il tenir règle au vol de ses désirs, 4 Et ne souhaiter-pas de trop graves plaisirs Ainsi qu'un Thaéton:
qu’vn imprudent ſcare, Qui ſont or pour cel à au gouffre de Tenare:	qu'un imprudent scare, Qui sont or pour cel à au gouffre de Ténare:
Ceux que l’ambit:	Ceux que l'ambit:
on pouſſe a monter trop haut, Tombent communement d’vn remarquable ſaut?	on pousse à monter trop haut, Tombent communément d'elle remarquable saut?
It pait ſe recogno stre & peſer ſon merite, Et ſonder ſi la force est ou grande, ou petite.	It paît se reconn stre et peser son mérite, Et sonder si la force est ou grande, ou petite.
inead.	inéad.
Ie ne deſire plus que ne peut mon pouuoir.	Je ne désire plus que ne peut mon pouvoir.
Ceſidon.	Césidon.
Si fais, puis que ce bien tu ne ſçaurois auoir.	Si fais, puis que ce bien tu ne saurais avoir.
Arbas.	Arbas.
Mais c'est mon dur dest n qui m'en deffend l’vſag Cur peuttestre qu ip tonnin uemomure lignage, Et de moindre moyen, helas!	Mais c'est mon dur dest n qui m'en défend l'vsag Peut être qu' à tonnin emomure lignage, Et de moindre moyen, hélas!
que ie ne ſuis, Se verra poceſſeur du bien que ie pourſuu.	que ici ne suis, Se verra pocesseur du bien que Dieu poursu.
Celidon.	Celidon.
Nõme-moy quel bien c’est.	Nomme-moi quel bien c'est.
A C’eſt la belle Paſquiſe Qui pour la bien aymer me hait & me meſpriſe.	À C'est la belle Pasquise Qui pour la bien aimer me hait et me méprise.
Celidon.	Celidon.
Penſte mulantess racomete aifcoms, Et m’a dit combien ſont infaustes tes amours, Et comme en ſoi ſpirant aux pieds de ta cruelle, Tu as preſque chargé la caronne nacelle.	Penste mulantess racomète aifcoms, Et m'a dit combien sont infaustes tes amours, Et comme en soi spirant aux pieds de ta cruelle, Tu as que chargé la caronne nacelle.
Arbas.	Arbas.
C’est trop la verité:	C'est trop la vérité:
quand ie viens a penſer, Ie ne deſire rien que pouuoir treſpaſſer:	quand ici viens a penser, Je ne désire rien que pouvoir trépasser:
Mes leures aux ſouſpirs donnent libre paſſage, Et le flus de mes pleurs me noye le viſage:	Mes lèvres aux soupirs donnent libre passage, Et le flus de mes pleurs me noie le visage:
Mille traits de douleurs me trauerſent le cœur?	Mille traits de douleurs me traversent le cœur?
L’accablant ſous le faits d’vne triste langueur.	L'accablant sous le faits d'une triste langueur.
Ie maudis le moment auquel la filandiere, Sœur de cloton, me feist ſaluer la lumiere:	Je maudis le moment auquel la filandière, Sœur de cloton, me feît saluer la lumière:
Ou bien qu'elle ne feist qu’vn tenebreux tombéau, M lenant de mes iours me ſeruist de berceau.	Ou bien qu'elle ne feît qu'un ténébreux tombéau, M lenant de mes jours me servît de berceau.
Celidon.	Celidon.
C’eſt en vain de pleurer quand vn mal nous vient poindre, Car, las!	C'est en vain de pleurer quand un mal nous vient poindre, Car, las!
pour tout celà la douleur n’en eſt moindre:	pour tout cela la douleur n'en est moindre:
Il faut eſtre conſtant & d’vn cœur genereux Suporter fermement ſon destin malheureux.	Il faut être constant et d'un cœur généreux Suporter fermement son destin malheureux.
Les Dieux n’ont icy-bas l'homme mortel fait viure, Pour qu’il ſoit ainſi qu’eux de tous ennuis deliure:	Les Dieux n'ont ici-bas l'homme mortel fait vivre, Pour qu'il soit ainsi qu'eux de tous ennuis délivre:
Si nous ſentons icy les eſtocs des malheurs, Pertes, & deſplaiſirs, tristeſſes, & douleurs:	Si nous sentons ici les étocs des malheurs, Pertes, et déplaisirs, tristesses, et douleurs:
C’eſt, pour qu'vn iour là-haut dans la plaine d’Eliſe, Nostre a ne de plaiſir ſoit dauantage eſpriſe.	C'est, pour qu'Hommes jour là-haut dans la plaine d'Élise, Notre a ne de plaisir soit davantage éprise.
Conſolle donc Pasteur ton eſprit affligé, De l’eſpoir qu’il ſera quelque iour degaré De tes afflictions, dont la darde-pointue D’vn treſpas reuiuant à tout heure la tue.	Consolle donc Pasteur ton esprit affligé, De l'espoir qu'il sera quelque jour dégaré De tes afflictions, dont la darde-pointue D'un trépas revivant à tout heure la tue.
Sçache encor dauantage, ô gratieux Berger, Que tout l’eſtat mondain est ſubiet a changer:	Sache encor davantage, ô gratieux Berger, Que tout l'état mondain est sujet à changer:
Ce que tu vois ce iour, demain deuant l’aurore Sans alteration tu ne verras encore:	Ce que tu vois ce jour, demain devant l'aurore Sans altération tu ne verras encore:
Ia brigade AEol de eſparſe ſur la mer, Touſiours de ſes ſouflets ne la fait eſcumer:	Ia brigade AÉol de éparse sur la mer, Toujours de ses soufflets ne la fait écumer:
Ny toaſiours Ganimede, vne pluye ne verſe Sur le chef de Céres qui ſes cheueux renuerſe:	Ni toasjours Ganimède, une pluie ne verse Sur le chef de Crères qui ses cheveux renverse:
De ſuporter le faiz des grands Spheres Athlas, Ainſi que l’on nous dit, ne ſe voit touſiours las:	De suporter le faiz des grands Sphères Athlas, Ainsi que l'on nous dit, ne se voit toujours las:
Le grand Tirenien quelque-fois le ſeconde, Alors que dedans l’air vne tempeſte gronde.	Le grand Tirenien quelque-fois le seconde, Alors que dedans l'air une tempête gronde.
blmje ujtum il faut touſiours viure en l’eſpoir, Qu'aprez le manuais temps le beau on pourra voir.	blémje ujoutum il faut toujours vivre en l'espoir, Qu'aprez le manuais temps le beau on pourra voir.
Tu ne vis pas tout ſeul qui ſouffre du martyre, Encor autre que toy pour cupidon ſouſpire:	Tu ne vis pas tout seul qui souffre du martyre, Encor autre que toi pour cupidon soupire:
Tu as des compagnons & ne fuſſe que moy, Pour l’amour d’vn bel œil i’obeis à ſa loy:	Tu as des compagnons et ne fusse que moi, Pour l'amour d'un bel œil j'obéis à sa loi:
Conſolon-nous enſemble, & fol, plus ne reclame, Ie fonſet d’Atropos pour deuider ta trame.	Consolon-nous ensemble, et fol, plus ne réclame, Je fondset d'Atropos pour dévider ta trame.
Pour vn ſubiet ſi bas il ne faut deſirer Que le fer de ton dard ſes iours face expirer:	Pour un sujet si bas il ne faut désirer Que le fer de ton dard ses jours face expirer:
L’on remedie à tout, fors au coup qu’elle donne:	L'on remédie à tout, fors au coup qu'elle donne:
Mais des plays de ſon dard il ne guarit perſonne:	Mais des plais de son dard il ne guarit personne:
Et du depuis qu’vn coup nous deualons là-bas, Pour remonter en haut nous n’auons-pas de pas.	Et du depuis qu'un coup nous dévalons là-bas, Pour remonter en haut nous n'avons-pas de pas.
Ton mal, ô cher Arbas, n’eſt du tout incurable, L’on le peut ſecourir, il eſt remediable.	Ton mal, ô cher Arbas, n'est du tout incurable, L'on le peut secourir, il est remédiable.
Pour moy, ie te promets de bien m’y employer, Crmonpem pomoir du tout y deſployer.	Pour moi, Seigneur te promets de bien m'y employer, Crmonpém pomoir du tout y déployer.
Ie cognois la beauté qui te tient en ſeruage, Et penſe qu’elle m’ayme, estant ſon parentage.	Je connais la beauté qui te tient en servage, Et pense qu'elle m'aime, étant son parentage.
Aibas.	Aibas.
Le ciel ne puist donner plus grand felicité, Que celle d’vn amy en nostre aduerſité, Qui fidelle nous ayme, & nous eſt ſecourable En ce que le destin (mal-heureux) nous accable.	Le ciel ne puist donner plus grand félicité, Que celle d'un ami en notre aduersité, Qui fidèle nous aime, et nous est secourable En ce que le destin (min -heureux) nous accable.
noutte unement jois te renss grutes aux Dieux, De m’auoir ſait trouuer en ces terreſtres lieux Vn tel amy que toy, qui conſoles ma peine, Et me promet encor ſa fin eſtre prochaine.	nontte unement jois te renss grutes aux Dieux, De m'avoir sait trouver en ces terrestres lieux Un tel ami que toi, qui consoles ma peine, Et me promet encor sa fin être prochaine.
Celidon.	Celidon.
Hé que te ſeruiroit que ie t’euſe cent fois Iuré de l’amitié, ſi lors que ie t’en vois En auoir du beſoin, ie ne t’en faiſois preuue:	Hé que te servirait que ainsi t'euse cent fois Juré de l'amitié, si lors que ie en vois En auoir du besoin, ie ne en faisois prévue.
La parole, & l’effet touſioursen moy ſe treuue.	La parole, et l'effet toujours moi se trouve.
Aibas.	Aibas.
C’eſt comme il faut aymer, & non comme vn flateur Qui nous iure qu’il eſt noſtre humble ſeruiteur Et nostre bon amy quanu nomnunemque faite Aucunement de luy:	C'est comme il faut aimer, et non comme un flatteur Qui nous jure qu'il est notre humble serviteur Et notre bon ami quanu nomnunemque faite Aucunement de force:
mau s'il eſt neceſſaire De l’aller uequerir pour nous donner ſecour En quelque affliction, il nous ioura d’vn tour De maiſtre Charlatan, & d’vne fine ruſe, Nons payra de l’aloy de quelque maigre excuſe.	mau s'il est nécessaire De l'aller uequerir pour nous donner secour En quelque affliction, il nous joura d'un tour De maître Charlatan, et d'une fine ruse, Nons paira de l'aloi de quelque maigre excuse.
Celidon.	Celidon.
Ie hayplus tels ingrats que ie ne fais l’enſer Et i’aurois bien le cœur de leur percer ce fer uucuste gujier, justrte monpropre frère.	Je haiplus tels ingrats que je ne fais l'enser Et j'aurais bien le cœur de leur percer ce fer ucuste gujier, justruite monpropre frère.
S’il eſtoit de ces gens, ie le voudrois deffaire.	S'il était de ces gens, ie le voudrais défaire.
Arbas.	Arbas.
Or pour ne demeurer donc ingrat enuers toy, Qui promet ſecourir mon amoureux eſmoy:	Or pour ne demeurer donc ingrat envers toi, Qui promet secourir mon amoureux émoi:
Et pour ne reſſembler à cette gent ſuſdite, Que nous auons ſouuent d'horrible voix maudite:	Et pour ne ressembler à cette gent susdite, Que nous avons souvent d'horrible voix maudite:
Ie veux tout en pareil ayder à ton amour, Promettant mon pouuoir y faire dés ce iour.	Je veux tout en pareil aider à ton amour, Promettant mon pouuoir y faire dès ce jour.
Car delà cette haye, en la pree prochaine, Ta belle fait broûter ſon troupeau porte laine.	Car delà cette haie, en la prée prochaine, Ta belle fait brouter son troupeau porte laine.
Allons, vien quand & moy, ie luy vois entamer Le diſcours de l’amour qui te fait tant l’aymer, Elle m’eſcoutera, & croy que ma parole, A te vouloir du bien la pourra rendre mole.	Allons, viens quand et moi, ie luy vois entamer Le discours de l'amour qui te fait tant l'aimer, Elle m'écoutera, et crois que ma parole, À te vouloir du bien la pourra rendre môle.
Celidon.	Celidon.
Tu m'obliges par trop, & ne ſçais-pas con nent Ie pourray renoncher vntel contentement, Sinon en te ſeruant tout le temps de ma vie, Et tacher d’adoucir l’aigreur de ton amye.	Tu m'obliges par trop, et ne sçais-pas con nent Je pourrai renoncher untel contentement, Sinon en te servant tout le temps de ma vie, Et tacher d'adoucir l'aigreur de ton amie.
Arbas.	Arbas.
Ne vous amuſez-point à ces honneſtetez.	Ne vous amusez-point à ces honnêteté.
Dont les mieux diſcourants ſeroyent de vous domtez.	Dont les mieux discourants seraient de vous domptez.
Receuez ces beaux mots a dire à voſtre belle En la priant de n’eſtre à vestre amour rebelle.	Recez ces beaux mots a dire à votre belle En la priant de n'être à vêtre amour rebelle.
C’eſt elle que voila ſi ſe pres ce rocher, Allons haſtons nos pas il nous faut l’approcher.	C'est elle que voilà si se pres ce rocher, Allons hâtons nos pas il nous faut l'approcher.
Amour, ce grand vainqueur des Dieux & des Deeſſes;	Amour, ce grand vainqueur des Dieux et des Déesses;
Vous puiſſe departir ſes plus douces careſſes, O belle ainſi qu’il a tout ſon plus precieux, Pour chef-d’œuure verſé ſur ta face & tes yeux.	Vous puisse départir ses plus douces caresses, Ô belle ainsi qu'il a tout son plus précieux, Pour ched'œuvre versé sur ta face et tes yeux.
Y damie.	Y damie.
Pasiturs te vous rens grace, & le prie en la ſorte, Qu'à vos deſirs d’amour il vous ſoit bonne eſcorte.	Pasiturs te vous rends grâce, et le prie en la sorte, Qu'à vos désirs d'amour il vous soit bonne escorte.
Aibas.	Aibas.
Nous vous prenons au mot, belle, car ſon pouuoir, Seigneuriant vn cœur, nous fait vous venir voir.	Nous vous prenons au mot, belle, car son pouvoir, Seigneuriant un cœur, nous fait vous venir voir.
Voyez ce beau Paſteur, il bruſle ſon courage, Et le fait enuers vous adreſſer ſon homage.	Voyez ce beau Pasteur, il brûle son courage, Et le fait envers vous adresser son hommage.
Y damie.	Y damie.
I’ay trop peu de beauté pour croire qu’vn Pasteur Si parfait, ſe voulust vendre mon ſeruiteur, Le vol de ſon deſir en plus haut lieu ſe dreſſe, Et ſa vertu luy doit plus gentille maiſtreſſe, L’aigle de ſon amour vn plus luiſant ſoleil Souhaitte, pour ſonder les rayons de ſon œil.	J'ai trop peu de beauté pour croire qu'un Pasteur Si parfait, se voulût vendre mon serviteur, Le vol de son désir en plus haut lieu se dresse, Et sa vertu lui doit plus gentille maîtresse, L'aigle de son amour était plus luisant soleil Souhaite, pour sonder les rayons de son œil.
Celidon.	Celidon.
2 Si, Nymphe c’eſt à vous qu’il dreſſe ſa paupiere, Et veut eſtre bruſlé de ſi helle lumiere, Vn plus luiſant ſoleil il ne peut regarder, Et qui puiſſe ſes rais plus fort ſur luy darder.	2 Si, Nymphe c'est à vous qu'il dresse sa paupière, Et veut être brûlé de si helle lumière, Un plus luisant soleil il ne peut regarder, Et qui puisse ses rais plus fort sur notre darder.
L’autre tour qu’il vous vit aßister au ſeruice, Du grand Dieu des Bergers (comme le ſacrifice Se fa ſoit) vos ſoleils eſtans de luy trop pres, Lancerent dans ſes yeux la vapeur de leurs rais:	L'autre tour qu'il vous vit assister au service, Du grand Dieu des Bergers (comme le sacrifice Se fa soit) vos soleils étants de lui trop pres, Lancèrent dans ses yeux la vapeur de leurs rais:
Qui pour les reboucher leur force estant trop tendre, Au centre de mon cœur les laiſſerent deſcendre:	Qui pour les reboucher leur force étant trop tendre, Au centre de mon cœur les laissèrent descendre:
Et de la ſegliſſants par mon ſang le plus pur, Me liurerent des lorrintunua grand & dur, Tournant à vous aymer mon tebelle courage:	Et de la séglissants par mon sang le plus pur, Me livrèrent des lorrintunua grand et dur, Tournant à vous aimer mon tebelle courage:
Et grauant en mon cœur vostre parfaite image.	Et gravant en mon cœur votre parfaite image.
Or ainſi que le fer baiſé d’vn fin aimant, Se retourne vers luy comme à ſon cher amant:	Or ainsi que le fer baisé d'un fin aimant, Se retourne vers lui comme à son cher amant:
Tout demeſme voſtre œil calamite des ames, Ayant touché mon cœur de l’eſclair de ſes flames, Va touſiours vous chercher, vueilles donc receuoir Pour amant, moy qui ſuis or à voſtre pouuoir.	Tout demesme votre œil calamité des âmes, Ayant touché mon cœur de l'éclair de ses flammes, Va toujours vous chercher, veuilles donc recevoir Pour amant, moi qui suis or à votre pouvoir.
Ydamie.	Ydamie.
Pasteur, i’ay deſplaiſir qu’amour bleſſe vostre ame De moy qui ne ſçaurois plus estre voſtre femme:	Pasteur, j'ai déplaisir qu'amour blesse votre âme De moi qui ne saurais plus été vôtre femme:
D’autant que de long-temps mon pere, malgré-moy, M’apromiſe à Norcen, luy en donnant ſa foy.	D'autant que de longtemps mon père, malgré-moi, M'appromise à Norcen, lui en donnant sa foi.
Et veut que ie l’eſpouſe encor que ie ne l’ayme, Ains, ie voudrois qu’il fuſt butin de la mort bleſme:	Et veut que ici l'épouse encor que je ne l'aime, Ains, ie voudrois qu'il fût butin de la mort blême:
Parquoyie vous ſupli chaſſez de vostre cœur Puinour, puis qu'it ne peut voiu cauſer que langueur.	Parquoiie vous supli chassez de votre cœur Puinour, puis qu'it ne peut voi causer que langueur.
Ie neſuis-pas à moy, ie deſpens de mon pere, Ainſi qu’il veut de moy (ſa fille) il delibere.	Je nesuis-pas à moi, rien dépens de mon père, Ainsi qu'il veut de moi (sa fille) il délibère.
Celidon.	Celidon.
O Malheureux destin au pauure Celidon, Eſperois-ie de toy vn ſi triste guerdon?	Ô Malheureux destin au pauvre Celidon, Espérais-je de toi un si triste guerdon?
vaprt C anon es te tinq on ſix ans contraire Au but de mes deſſeins:	vaprît Ç ânon es te tinq on six ans contraire Au but de mes desseins:
te reſtoit-il a faire Pour m’accabler du tout cette derniere main:	te restait-il a faire Pour m'accabler du tout cette dernière main:
Ah laueugle, meſchant, cruel.	Ah laueugle, méchant, cruel.
& inhumain.	et inhumain.
Arbas.	Arbas.
Retien-tey Celidon, renferme cette plainte.	Retien-hi Célidon, renferme cette plainte.
Liſpetante nesi puo encon tu tomesteinte, D’acquerir l’amitié d’rdamie, s’elle veut Le tombeau des amants bien deliurer la peut De l’hymen de Norcen, & le laiſſant te prendre:	Lispétante néi puo encon tu tomesteinte, D'acquérir l'amitié d'Ardamie, s'elle veut Le tombeau des amants bien délivrer la peut De l'hymen de Norcen, et le laissant te prendre:
C’eſt la loy du pays, l’on ne l’en peut reprendre.	C'est la loi du pays, l'on ne l'en peut reprendre.
Y damie.	Y damie.
Paſteurs retirez-vous de peur que queique Argis Ne vous voye caché deſſous ces bois fueillus, Et que ſa langue aprez n’aille, de ialouſie, Du pastoureau Norcen troubler la fantaſie:	Pasteurs retirez-vous de peur que queique Argis Ne vous voie caché dessous ces bois fueillus, Et que sa langue aprez n'aille, de jalousie, Du pastoureau Norcen troubler la fantaisie:
