NLELEEION DE LA FESTE DE VERSAILLES.	NLÉLEION DE LA FÊTE DE VERSAILLES.
Tircis, ne vien point m’arreſter.	Tircis, ne viens point m'arrêter.
Tircis, & Philene.	Tircis, et Philène.
Ab.	Ab.
behe innumaine, Daigne vn moment m’écouter?	behe innumaine, Daigne un moment m'écouter?
Climene, & Cloris.	Climène, et Cloris.
Mais, que me veux-tu conter?	Mais, que me veux-tu conter?
Les deux Bergers.	Les deux Bergers.
Que d’vne flâme immortelle Mon cœur brûle ſous tes loix.	Que d'une flamme immortelle Mon cœur brûle sous tes lois.
Les deux Dergeres.	Les deux Dergères.
Ce n’eſt pas vne nouvelle, Tu me l’as dit mille fois.	Ce n'est pas une nouvelle, Tu me l'as dit mille fois.
Philene.	Philène.
Quoy?	Quoi?
veux-tu toute ma vie Qe quimc O muouumu rien?	veux-tu toute ma vie Ée quimc OU muouumu rien?
Cloris.	Cloris.
Non, ce n’est pas mon envie, N’aime plus, je le veux bien.	Non, ce n'est pas mon envie, N'aime plus, je le veux bien.
Tircis.	Tircis.
Le Ciel me force à l’hommage Dont tous ces bois ſont témoins.	Le Ciel me force à l'hommage Dont tous ces bois sont témoins.
Climene.	Climène.
C’eſt au Ciel, puis qu’il t’engage, A te payer de tes ſoins.	C'est au Ciel, puis qu'il t'engage, À te payer de tes soins.
Philene.	Philène.
C’eſt par ton merite extréme Que tu captives mes vœux.	C'est par ton mérite extrême Que tu captives mes vœux.
Cloris.	Cloris.
Si je merite qu'on m'aime Ie ne dois rien à tes feux.	Si je mérite qu'on m'aime Je ne dois rien à tes feux.
Les deux Bergers.	Les deux Bergers.
Dteiur ue tos jeux me tue.	Dteiur ue tos jeux me tue.
Les deux Bergeres.	Les deux Bergères.
Detourne de moy tes pas.	Detourne de moi tes pas.
Les deux Bergers.	Les deux Bergers.
Ie me plais dans cette veuë.	Je me plais dans cette vue.
Les deux Bergeres.	Les deux Bergères.
Berger, ne t’en plains donc pas.	Berger, ne t'en plains donc pas.
Thneno.	Thneno.
Ah!	Ah!
belle Climene.	belle Climène.
TITCIS.	TITCIS.
Ah!	Ah!
belle Cloris.	belle Cloris.
Philene.	Philène.
Ren-la pour moy plus humaine.	Ren-la pour moi plus humaine.
Tircis.	Tircis.
Dompte pour moy ſes mépris.	Dompte pour moi ses mépris.
Climene, a Cloris.	Climène, a Cloris.
Sois ſenſible à l’amour que te porte Philene.	Sois sensible à l'amour que te porte Philène.
oun fenpuie à laraeur aoni Pircu eſt épris	oun fenpuie à laraeur aoni Pircu est épris
Climene.	Climène.
Si tu veux me donner ton exemple, Bergere, Peut-eſtre je le recevray.	Si tu veux me donner ton exemple, Bergère, Peut-être je le recevrai.
Cloris.	Cloris.
Dt tu ocue re rojouure a marcher la premiere, Poßible que je te ſuivray.	Dt tu ocue re rojouure a marcher la première, Possible que je te suivrai.
Chmene, a Philene.	Chmène, à Philène.
Adieu, Berger.	Adieu, Berger.
Cloris, à Tircis.	Cloris, à Tircis.
Adieu, Berger.	Adieu, Berger.
Climene.	Climène.
Atten vn favorable ſort.	Atten un favorable sortable.
Cloris.	Cloris.
Atten vn uoux fucces du mai qui te poſſede.	Atten un uoux succès du mai qui te possède.
Tircis.	Tircis.
Ie n'aitens aucun reméde.	Je n'aitends aucun remède.
Philene.	Philène.
Et je n’attens que la mort.	Et je n'attends que la mort.
Tircis, & Philene.	Tircis, et Philène.
Puis qu’il nous faut languir en de tels déplaiſirs, Mettons fin en mourant à nos triſtes ſoûpirs.	Puis qu'il nous faut languir en de tels déplaisirs, Mettons fin en mourant à nos tristes soupirs.
Ces deux Bergers ſe retirent l’ame pleine de douleur & de deſeſpon, ce emuite de cette Muſique commence le premier Acte de la Comedie en prolc.	Ces deux Bergers se retirent l'âme pleine de douleur et de désespon, ce emuite de cette Musique commence le premier Acte de la Comédie en prolc.
Le ſujet eſt qu’vn riche Païſan s’eſtant marié à la fille d’vn Gentilhomme de campagne, ne reçoit que du mépris de ſa femme auſſi bien que de ſon beau-pere & de ſa belle-mere, qui ne Tavoient pris pour leur gendre qu’à cauſe de ſes grands biens.	Le sujet est qu'un riche Paysan s'étant marié à la fille d'un Gentilhomme de campagne, ne reçoit que du mépris de sa femme aussi bien que de son beau-père et de sa belle-mère, qui ne Tavaient pris pour leur gendre qu'à cause de ses grands biens.
Toute cette Piece eſt traitée de la meſme ſorte que le ſieur de Moliere a de coûtume de faire ſes autres Pieces de theatre;	Toute cette Pièce est traitée de la même sorte que le sieur de Molière a de coutume de faire ses autres Pièces de théâtre;
c’eſt à dire qu’il y repreſente avec des couleurs ſi naturelles le caractere des perſonnes qu’il introduit, qu’il ne ſe peut rien voir de plus reſſemblant que ce qu’il a fait pour montrer la peine & les chagrins où ſe trouvent ſouvent ceux qui s’allient au deſſus de leur condition.	c'est à dire qu'il y représente avec des couleurs si naturelles le caractère des personnes qu'il introduit, qu'il ne se peut rien voir de plus ressemblant que ce qu'il a fait pour montrer la peine et les chagrins où se trouvent souvent ceux qui s'allient au dessus de leur condition.
Et quand il dépeint l’humeur & la maniere de faire de certains Nobles campagnards, il ne forme point de traits qui n’expriment parfaitement leur veritable image.	Et quand il dépeint l'humeur et la manière de faire de certains Nobles campagnards, il ne forme point de traits qui n'expriment parfaitement leur véritable image.
Sur la fin de l’Acte le Payſan eſt interrompu par vne Bergere qui luy vient apprendre le deſeſpoir des deux Bergers:	Sur la fin de l'Acte le Paysan est interrompu par une Bergère qui luitaît apprendre le désespoir des deux Bergers:
mais comme il eſt agité d’autres inquietudes, il la quitte en colere, & Cloris entre qui vient faire vne plainte ſur la mort de ſon Amant.	mais comme il est agité d'autres inquiétudes, il la quitte en colère, et Cloris entre qui vient faire une plainte sur la mort de son Amant.
H!	H!
mortelles douleurs!	mortelles douleurs!
I AQu’ay-je plus à pretendre?	I AQu'ai-je plus à prétendre?
Coulez, couleZ mes pleurs, Ie n’en puis trop répandre.	Coulez, coulez mes pleurs, Je n'en puis trop répandre.
Pourquoy faut-il qu’vn tyrannique honneur Tienne noſtre ame en eſclave aſſervie?	Pourquoi faut-il qu'vn tyrannique honneur Tienne nôtre âme en esclave asservie?
Helas!	Hélas!
pour contenter ſa barbare rigueur I’ay reduit mon Amant à ſortir de la vie.	pour contenter sa barbare rigueur J'ai réduit mon Amant à sortir de la vie.
Ah!	Ah!
mortelles douleurs!	mortelles douleurs!
Qu’ay-je plus à pretendre?	Qu'ai-je plus à prétendre?
Coulez, coulez mes pleurs, Ie n'en puis trop répandre.	Coulez, coulez mes pleurs, Je n'en puis trop répandre.
Me puis-je pardonner dans ce funeſte ſort Les ſeveres froideurs dont je m’eſtois armée, Quoy donc, mon cher amant, je t’ay donné la mort;	Me puis-je pardonner dans ce funeste sort Les sévères froideurs dont je m'étais armée, Quoi donc, mon cher amant, je t'ai donné la mort;
Eſt-ce le prix, helas!	Est-ce le prix, hélas!
de m’avoir tant aimée?	de m'avoir tant aimée?
Ah!	Ah!
mortelles douleurs, &c.	mortelles douleurs, etc.
Aprés cette plainte commença le ſecond Acte de la Comedie en proſe.	Après cette plainte commença le second Acte de la Comédie en prose.
C’eſt vne ſuite des déplaiſirs du Païſan marié qui ſe trouve encore interrompu par la meſme Bergere, qui vient luy dire que Tircis & Philene ne ſont point morts, & luy monſtre ſix Batteliers *qui les ont ont ſauvez.	C'est assez suite des déplaisirs du Paysan marié qui se trouve encore interrompu par la même Bergère, qui vient encore dire que Tircis et Philène ne sont point morts, et Seigneur montre six Batteliers *qui les ont ont sauvez.
Le Païſan importuné de tous ces avis ſe retire & quitte la place aux Batteliers, Mayeu.	Le Paysan importuné de tous ces avis se retire et quitte la place aux Batteliers, Mayeu.
qui ravis de la recompenſe qu’ils ont receuë	qui ravis de la récompense qu'ils ont reçue
danſent avec leurs crocs & ſe joüent enſemble, aprés quoy ſe recite le troiſiéme acte de la Comedie en proſe.	dansent avec leurs crocs et se jouent ensemble, après quoi se récite le troisième acte de la Comédie en prose.
Icy la decoration du theatre ſe trouve changée en vn inſtant, & l’on ne peut comprendre comment tant de veritables jets d’eau ne paroiſſent plus, ny par quel artifice au lieu de ces cabinets & de ces allées on ne découvre ſur le theatre que de grandes roches entremeſlées d’arbres, où l’on voit pluſieurs Bergers qui chantent & qui joüent de toutes ſortes d’inſtrumens.	Ici la décoration du théâtre se trouve changée en un instant, et l'on ne peut comprendre comment tant de véritables jets d'eau ne paraissent plus, Seigneur par quel artifice au lieu de ces cabinets et de ces allées on ne découvre sur le théâtre que de grandes roches entremeslées d'arbres, où l'on voit plusieurs Bergers qui chantent et qui joüent de toutes sortes d'instruments.
Cloris commence la premiere à joindre ſa voix au ſon des flûtes & des muſettes.	Cloris commence la première à joindre sa voix au son des flûtes et des musettes.
Cloris.	Cloris.
ICy l’ombre des ormeaux Donne vn teint frais aux herbettes, Et les bords de ces ruiſſeaux Brillent de mille fleurettes Qui ſe mirent dans les eaux.	ICi l'ombre des ormeaux Donne un teint frais aux herbettes, Et les bords de ces ruisseaux Brillent de mille fleurettes Qui se mirent dans les eaux.
Dans ce dernier Acte l’on voit le Païſan dans le comble de la douleur par les mauvais traitemens de ſa femme.	Dans ce dernier Acte les mauvais voit le Paysan dans le comble de la douleur par les mauvais traitements de sa femme.
Enfin vn de ſes amis luy conſeille de noyer dans le vin toutes ſes inquietudes, & l’emmene pour joindre ſa troupe, voyant venir toute la foule des Bergers amoureux qui commence à celebrer par des chants & des danſes le pouvoir de l’amour.	Enfin un de ses amis lui conseille de noyer dans le vin toutes ses inquiétudes, et l'emmène pour joindre sa troupe, voyant venir toute la foule des Bergers amoureux qui commence à célébrer par des chants et des danses le pouvoir de l'amour.
Prenez, Bergers, vos muſettes, Ajuſtez vos chalumeaux, Et meſlons nos chanſonnettes Aux chants des petits oiſeaux.	Prenez, Bergers, vos musettes, Ajustez vos chalumeaux, Et mêlons nos chansonnettes Aux chants des petits oiseaux.
Le Zephire entre ces eaux Fait mille courſes ſecrettes, Et les Roßignols nouveaux De leurs douces amourettes Parlent aux tendres rameaux.	Le Zéphire entre ces eaux Fait mille courses secrètes, Et les Rognignols nouveaux De leurs douces amourettes Parlent aux tendres rameaux.
Prenez, Bergers, vos muſettes, &c.	Prenez, Bergers, vos musettes, etc.
Pendant que la Muſique charme les oreilles les yeux ſont agreablement occupez à voir danſer pluſieurs Bergers * & Bergeres galamneau, ment veſtuës.	Pendant que la Musique charme les oreilles les yeux sont agréablement occupés à voir danser plusieurs Bergers * et Bergères galamneau, ment vêtues.
Et Climene chante Ah!	Et Climène chante Ah!
qu’il eſt doux, belle Silvie, Ah!	qu'il est doux, belle Silvie, Ah!
qu'il eſt doux de s’enflâmer;	qu'il est doux de s'enflammer;
Il faut retrancher de la vie Ce qu’on en paſſe ſans aimer.	Il faut retrancher de la vie Ce qu'on en passe sans aimer.
Cloris.	Cloris.
Ah!	Ah!
les beaux jours qu'Amour nous donne Lors que ſa flâme unit les cœurs;	les beaux jours qu'Amour nous donne Lors que sa flamme unit les cœurs;
Eſt-il ny gloire ny Couronne Qui vaille ſes moindres douceurs?	Est-il ici gloire ni Couronne Qui vaille ses moindres douceurs?
* Bergers.	* Bergers.
ChicanS.	ChicanS.
André, La Pierre, Favier.	André, La Pierre, Favier.
Bergeres.	Bergères.
Bonard, Arnald, Noblet, Foignard.	Bonard, Arnald, Noblet, Foignard.
Tircis.	Tircis.
Qu’avec peu de raiſon on ſe plaint d’vn martyre Que ſuivent de ſi doux plaiſirs.	Qu'avec peu de raison on se plaint d'un martyre Que suivent de si doux plaisirs.
Philene.	Philène.
miinomemn uo connour uuns cumourenx Empire 1Repare dix ans de ſoûpirs.	miinomemn uo connour us cumourenx Empire 1Répare dix ans de soupirs.
Tous enſemble.	Tous ensemble.
Chantons tous de l’amour le pouvoir adorable, Chantons tous dans ces lieux Ses attraits glorieux;	Chantons tous de l'amour le pouvoir adorable, Chantons tous dans ces lieux Ses attraits glorieux;
Il eſt le plus aimable Et le plus grand des Dieux.	Il est le plus aimable Et le plus grand des Dieux.
A ces mots l’on vit s’approcher du fond du theatre vn grand rocher couvert d’arbres, ſur lequel eſtoit aſſiſe toute la troupe de Bachus compoſée de quarante Satyres, * l’vn d’eux s’avançant à la teſte chanta fierement ces paroles, Arreſtez, c’eſt trop entreprendre, Vn autre Dieu dont nous ſuivons les loix, S eppuſe à ett nonneur qu'a l'Amour oſent rendre Vos muſettes & vos voix:	À ces mots l'on vit s'approcher du fond du théâtre int grand rocher couvert d'arbres, sur lequel avait assise toute la troupe de Bachus composée de quarante Satyres, * l'Heure d'eux s'avançant à la tête chanta fièrement ces paroles, Arrêtez, c'est trop entreprendre, Un autre Dieu dont nous suivons les lois, S puse à ett nonneur qu'a l'Amour osent rendre Vos musettes et vos voix:
A des titres ſi beaux, Bachus ſeul peut pretendre, Et nous ſommes icy pour défendre ſes droits.	À des titres si beaux, Bachus seul peut prétendre, Et nous sommes ici pour défendre ses droits.
Chœur de Bachus.	Chœur de Bachus.
JAu(en Nous ſuivons de Bachus le pouvoir adorable, Nous ſuivons en tous lieux Ses attraits glorieux, Il eſt le plus aimable Et le plus grand des Dieux.	JAu (en Nous suivons de Bachus le pouvoir adorable, Nous suivons en tous lieux Ses attraits glorieux, Il est le plus aimable Et le plus grand des Dieux.
Pluſieurs du party de Bachus meſloient auſſi leurs pas à la Muſique, & l’on vit vn combat des Danſeurs & des Chantres de Bachus, contre les Danleuis & les Chantres qui ſoûtenoient le party de l’Amour.	Plusieurs du parti de Bachus mêlaient aussi leurs pas à la Musique, et l'on vit un combat des Dans et des Chantres de Bachus, contre les Danleuis et les Chantres qui soutenaient le parti de l'Amour.
Cloris.	Cloris.
C’eſt le Printemps qui rend l’ame Anueuenmmrpe ſamtio ue fleurs;	C'est le Printemps qui rend l'âme Anueuenmmrpe samtio ue fleurs;
Mais c’est l’Amour & ſa flâme Qui font revivre nos cœurs.	Mais c'est l'Amour et sa flamme Qui font revivre nos cœurs.
Vn ſuivant de Bachus.	Un suivant de Bachus.
Le Soleil chaſſe les ombres Dont le Ciel eſt obſcurci, Grtau amtous plus ſombres Bachus chaſſe le ſouci.	Le Soleil chasse les ombres Dont le Ciel est obscurci, Grtau amtous plus sombres Bachus chasse le souci.
Chdul de Daenus.	Chdul de Daenus.
Bachus eſt reveré ſur la terre & ſur l’onde.	Bachus est révéré sur la terre et sur l'onde.
Chœur de l’Amour.	Chœur de l'Amour.
Et l’Amour eſt vn Dieu qu’on adore en tous lieux.	Et l'Amour est un Dieu qu'on adore en tous lieux.
Chœur de Bachus.	Chœur de Bachus.
Bachus à ſon pouvoir a ſoûmis tout le monde.	Bachus à son pouvoir a soumis tout le monde.
Chœur de l’Amour.	Chœur de l'Amour.
Et l’Amour a domté les Hommes & les Dieux.	Et l'Amour a dompté les Hommes et les Dieux.
Rien peut-il egaler ſa douceur ſans ſeconde?	Rien peut-il égaler sa douceur sans seconde?
Chœur de l’Amour.	Chœur de l'Amour.
Rien peut-il égaler ſes charmes precieux?	Rien peut-il égaler ses charmes précieux?
Chœur de Bachus.	Chœur de Bachus.
Ey de l’amour & de ſes feux.	Ei de l'amour et de ses feux.
Le party de lAſnour.	Le parti de lÂnour.
Ah!	Ah!
quel plaiſir d’aimer.	quel plaisir d'aimer.
Le party de Bachus.	Le parti de Bachus.
Ah!	Ah!
quel plaiſir de boire.	quel plaisir de boire.
Le party de l’Amour.	Le parti de l'Amour.
A qui ou fans umour, ta vie eſt ſans appas.	À qui ou fans umour, ta vie est sans appas.
Le party de Bachus.	Le parti de Bachus.
C’eſt mourir que de vivre, & de ne boire pas.	C'est mourir que de vivre, et de ne boire pas.
Le party de l’Amour.	Le parti de l'Amour.
Aimables fers,	Aimables fers,
Eulty dn ducllada Douce victoire.	Eulti dîn ducllada Douce victoire.
Le party de l’Amour.	Le parti de l'Amour.
Ah!	Ah!
quel plaiſir d’aimer.	quel plaisir d'aimer.
Le party de Bachus.	Le parti de Bachus.
Ah!	Ah!
quel plaiſir de boire.	quel plaisir de boire.
Des moun partis.	Des moun partis.
Non, non c’eſt vn abus, Le plus grand Dieu de tous.	Non, non c'est un abus, Le plus grand Dieu de tous.
Le party de l’Amour.	Le parti de l'Amour.
C’eſt l’Amour.	C'est l'Amour.
Le party de Bachus.	Le parti de Bachus.
C’eſt Bachus.	C'est Bachus.
Vn Berger * arrive qui ſe jette au milieu des deux partis pour les ſeparer, & leur chante ces vers, debats?	Un Berger * arrive qui se jette au milieu des deux partis pour les séparer, et leur chante ces vers, débats?
C’eſt trop, c’eſt trop, Bergers, hé pourquoy ces Souffrons qu’en vn party la raiſon nous aſſemble, L'Amour a des douceurs, Bachus a des appas, n Jauuuune meme qui fom fainuun enſemble, Ne les ſeparons pas.	C'est trop, c'est trop, Bergers, hé pourquoi ces Souffrons qu'en un parti la raison nous assemble, L'Amour a des douceurs, Bachus a des appas, Jauvune même qui fom fun ensemble, Ne les séparons pas.
Les deux Chœurs enſembſe.	Les deux Chœurs ensembse.
Meſlons donc leurs douceurs aimables, Meſlons nos voix dans ces lieux agreables, Et faiſons repeter aux Echos d’alentour, Qu’il n’eſt rien de plus doux que Bachus & l'Amour.	Mêlons donc leurs douceurs aimables, Mêlons nos voix dans ces lieux agréables, Et faisons répéter aux Échos d'alentour, Qu'il n'est rien de plus doux que Bachus et l'Amour.
Tous les Danſeurs ſe meſſent enſemble, & l’on voit parmy les Bergers & les Bergeres quaDolivet, tre des ſuivans de Bachus * avec des thyrſes, & quatre Bacchantes avec des eſpeces de tambours de Baſque, qui repreſentent ces cribles qu’elles portoient anciennement aux feſtes de Bachus.	Tous les Dans se messent ensemble, et l'on voit parmi les Bergers et les Bergères quaDolivet, tre des suivants de Bachus * avec des thyrses, et quatre Bacchantes avec des espèces de tambours de Basque, qui représentent ces cribles qu'elles portaient anciennement aux fêtes de Bachus.
De ces thyrſes les ſuivans frapent ſur les cribles des Bacchantes, & font differentes poſtures pendant que les Bergers & les Bergeres danſent plus ſerieuſement.	De ces thyrses les suivants frappent sur les cribles des Bacchantes, et font différentes postures pendant que les Bergers et les Bergères dansent plus sérieusement.
On peut dire que dans cet ouvrage le ſieur de Lully a trouvé le ſecret de ſatisfaire & de charmer tout le monde;	On peut dire que dans cet ouvrage le sieur de Lully a trouvé le secret de satisfaire et de charmer tout le monde;
car jamais il n’y a rien eu de ſi beau ny de mieux inventé.	car jamais il n'y a rien eu de si beau ici de mieux inventé.
Si l’on regarde les danſes, il n’y a point de pas qui ne marque l’action que les Danſeurs doivent faire, & dont les geſtes ne ſoient autant de paroles qui ſe faſſent entendre.	Si l'on regarde les danses, il n'y a point de pas qui ne marque l'action que les Danseurs doivent faire, et dont les gestes ne soient autant de paroles qui se fassent entendre.
Si l’on regarde la Muſique, il n’y a rien qui n’exprime parfaitement toutes les paſſions & qui ne raviſſe l’eſprit des Auditeurs.	Si l'on regarde la Musique, il n'y a rien qui n'exprime parfaitement toutes les passions et qui ne ravisse l'esprit des Auditeurs.
Mais ce qui n’a jamais eſté veu, eſt cette harmonie de voix ſi agreable, cette ſymphonie d’inſtrumens, cette belle vnion de differens chœurs, ces douces chanſonnettes, ces dialogues ſi tendres & ſi amoureux, ces échos, & enfin cette conduite admirable dans toutes les parties, où depuis les premiers recits l’on a veu toûjours que la Muſique s’eſt augmentée, & qu’enfin aprés avoir commencé par vne ſeule voix, elle a finy par vn concert de plus de cent perſonnes que l’on a veuës toutes à la fois ſur vn meſme Theatre joindre enſemble leurs inſtrumens, leurs voix & leurs pas, dans vn accord & vne cadence qui finit la Piece, en laiſſant tout le monde dans vne admiration qu’on ne peut aſſez exprimer.	Mais ce qui n'a jamais été vu, est cette harmonie de voix si agréable, cette symphonie d'instruments, cette belle Amion de différents chœurs, ces douces chansonnettes, ces dialogues si tendres et si amoureux, ces échos, et enfin cette conduite admirable dans toutes les parties, où depuis les premiers récits l'on a vu toujours que la Musique s'est augmentée, et qu'enfin après avoir commencé par une seule voix, elle a fini par un concert de plus de cent personnes que l'on a vues que l' on a v même Theatre joindre ensemble leurs tes, leurs voix à leurs a, fois sur et un cadence qui finit ma Piece, en laissant tout le monde urs insadmiration on ne peut assez exprimer.
Cet agreable ſpectacle eſtant fini de la ſorte, le Roy & toute la Cour ſortirent par le Portique du coſté gauche du Salon, & qui rend dans l’allée de traverſe au bout de laquelle à l’endroit où elle coupe l’allée des prez, l’on apperceut de loin vn Edifice élevé de cinquante pieds de haut.	Cet agréable spectacle étant fini de la sorte, le Roi et toute la Cour sortirent par le Portique du côté gauche du Salon, et qui rend dans l'allée de traverse au bout de laquelle à l'endroit où elle coupe l'allée des présents, l'on aperçut de loin un Édifice élevé de cinquante pieds de haut.
Sa figure eſtoit octogone, & ſur le haut de la couverture s’élevoit vne eſpece de Dôme d’vne grandeur & d’vne hauteur ſi belle & ſi proportionnée que le tout enſemble reſſembloit beaucoup à ces beaux temples antiques dont l’on voit encore quelques reſtes;	Sa figure était octogone, et sur le haut de la couverture s'élevoit une espèce de Dôme d'une grandeur et d'une hauteur si belle et si proportionnée que le tout ensemble ressemblait beaucoup à ces beaux temples antiques dont l'on voit encore quelques restes;
Il eſtoit tout couvert de feüillages, & remply d’vne infinité de lumieres.	Il était tout couvert de feuillages, et rempli d'une infinité de lumières.
A meſure qu’on s’en approchoit on y découvroit mille differentes beautez:	À mesure qu'on s'en approchait on y découvrait mille différentes beautés:
Il eſtoit iſolé & l’on voyoit dans les huit angles autant de pilaſtres qui ſervoient comme de pieds forts ou d’arboutans élevez de quinze pieds de haut.	Il était isolé et l'on voyait dans les huit angles autant de pilastres qui servaient comme de pieds forts ou d'arboutants élevés de quinze pieds de haut.
Au deſſus de ces pilaſtres il y avoit de grands vaſe, ornez de differentes façons & remplis de lumieres.	Au dessus de ces pilastres il y avait de grands vase, ornez de différentes façons et remplis de lumières.
Du haut de ces vaſes ſortoit vne fontaine qui rerombant à l’entour les environnoit comme d’vne cloche de cryſtal.	Du haut de ces vases sortait une fontaine qui rerombant à l'entour les environnait comme d'une cloche de crystal.
Ce qui faiſoit vn effet d’autant plus admirable qu’on voyoit vn feu éclairer agreablement au milieu de l’eau.	Ce qui faisait un effet d'autant plus admirable qu'on voyait un feu éclairer agréablement au milieu de l'eau.
Cet edifice eſtoit percé de huit portes.	Cet édifice était percé de huit portes.
Au devant de celle par où l’on entroit, & ſur deux pieds d’eſtaux de verdure eſtoient deux grandes figures dorées qui repreſentoient deux Faunes joüant chacun d’vn inſtrument.	Au devant de celle par où l'on entroit, et sur deux pieds d'étaux de verdure étaient deux grandes figures dorées qui représentaient deux Faunes joüant chacun d'vn instrument.
Au deſſus de ces portes on voyoit comme vne eſpece de friſe ornée de huit grands basreliefs, repreſentant par des figures aſſiſes les quatre Saiſons de l’année & les quatre parties du Iour.	Au dessus de ces portes on voyait comme une espèce de frise ornée de huit grands basreliefs, représentant par des figures assises les quatre Saisons de l'année et les quatre parties du Jour.
A coſté des premieres il y avoit de doubles L.	À côté des premières il y avait de doubles L.
& à coſté des autres des fleurs de lys.	et à côté des autres des fleurs de lys.
Elles eſtoient toutes enchaſſées parmy le feüillage, & faites avec vn artifice de lumiere ſi beau & ſi ſurpreſant, qu’il ſembloit que toutes ces figures, ces L, & ces fleurs de lys fuſſent d’vn métal lumineux & tranſparant.	Elles étaient toutes enchassées parmi le feuillage, et faites avec un artifice de lumière si beau et si surprésant, qu'il semblait que toutes ces figures, ces L, et ces fleurs de lys fussent d'un métal lumineux et transparant.
Le tour du petit dôme eſtoit auſſi orné de huit basreliefs éclairez de la meſme ſorte;	Le tour du petit dôme était aussi orné de huit breliefs éclairez de la même sorte;
mais au lieu de figures c’eſtoit des trophées diſpoſez en differentes manieres.	mais au lieu de figures c'était des trophées disposés en différentes manières.
Sur les angles du principal edifice & du petit dôme, il y avoit de groſſes boules de verdure qui en terminoient les extremitez.	Sur les angles du principal édifice et du petit dôme, il y avait de grosses boules de verdure qui en terminaient les extrémités.
6t rin eut ſurpris en voyant par dehors la beauté de ce lieu, on le fut encore davantage en voyant le dedans.	6t rin eut surpris en voyant par dehors la beauté de ce lieu, on le fut encore davantage en voyant le dedans.
Il eſtoit preſque impoſſible de ne ſe pas perſuader que ce ne fuſt vn enchantement, tant il y paroiſſoit de choſes qu’on croiroit ne ſe pouvoir faire que par magie.	Il était presque impossible de ne se pas persuader que ce ne fût un enchantement, tant il y paraissait de choses qu'on croirait ne se pouvoir faire que par magie.
Sa grandeur eſtoit de huit toiſes de diametre.	Sa grandeur était de huit toises de diamètre.
Au milieu il y avoit vn grand Rocher & au tour du Rocher vne table de figure octogone chargée de ſoixante quatre couverts.	Au milieu il y avait un grand Rocher et au tour du Rocher une table de figure octogone chargée de soixante quatre couverts.
Ce Rocher eſtoit percé en quatre endroits, il ſembloit que la Nature euſt fait choix de tout ce qu’elle a de plus beau & de plus riche pour la compoſition de cet ouvrage, & qu’elle euſt elle-meſme pris plaiſir d’en faire ſon chefd’œuvre:	Ce Rocher était percé en quatre endroits, il semblait que la Nature eût fait choix de tout ce qu'elle a de plus beau et de plus riche pour la composition de cet ouvrage, et qu'elle eût elle-même pris plaisir d'en faire son chefd'œuvre:
tant les Ouvriers avoient bien ſceu cacher l’artifice dont ils s’eſtoient ſervis pour l'imiter.	tant les Ouvriers avaient bien su cacher l'artifice dont ils s'étaient servis pour l'imiter.
Sur la cime du Rocher eſtoit le cheval Pegaze:	Sur la cime du Rocher était le cheval Pégase:
il ſembloit en ſe cabrant faire ſortir l’eau qu’on voyoit couler doucement de deſſous ſes pieds;	il semblait en se cabrant faire sortir l'eau qu'on voyait couler doucement de dessous ses pieds;
mais qui auſſi-toſt tomboit avec abondance & formoit comme quatre fleuves.	mais qui aussitôt tombait avec abondance et formait comme quatre fleuves.
Cette eau qui ſe precipitoit avec violence & par gros boüillons parmy les pointes du Rocher, le rendoit tout blanc d’écume & ne s’y perdoit que pour paroiſtre enſuite plus belle & plus brillante:	Cette eau qui se précipitait avec violence et par gros bannons parmi les pointes du Rocher, le rendait tout blanc d'écume et ne s'y perdait que pour paraître ensuite plus belle et plus brillante:
Car reſortant avec impetuoſité par des endroits cachez, elle faiſoit des chûtes d’autant plus agreables qu’elles ſe ſeparoient en pluſieurs petits ruiſſeaux parmy les cailloux & les coquiles.	Car résortant avec impétuosité par des endroits cachés, elle faisait des chûtes d'autant plus agréables qu'elles se paraient en plusieurs petits ruisseaux parmi les cailloux et les coquiles.
Il fortoit de tous tous les endroits les plus creux du Rocher mille gouttes d’eau, qui, avec celles des caſcades venoient à inonder vne plouſe couverte de mouſſe & de divers coquillages qui en faiſoit l’entrée.	Il sortait de tous tous les endroits les plus creux du Rocher mille gouttes d'eau, qui, avec celles des cascades venaient à inonder une plouse couverte de mousse et de divers coquillages qui en faisait l'entrée.
C’eſtoit ſur ce beau vert & à l’entour de ces coquilles que ces eaux venant à ſe répandre & à couler agreablement faiſoient vne infinité de retours qui paroiſſoient autant de petites ondes d’argent, & avec vn murmure doux & agreable qui s’accordoit au bruit des caſcades, tomboient en cent differentes manieres dans huit canaux qui ſeparoient la table d’avec le Rocher & en recevoient toutes les eaux.	C'était sur ce beau vert et à l'entour de ces coquilles que ces eaux venant à se répandre et à couler agréablement faisaient une infinité de retours qui paraissaient autant de petites ondes d'argent, et avec un murmure doux et agréable qui s'accordait au bruit des cascades, tombaient en cent différentes manières dans huit canaux qui séparaient la table d'avec le Rocher et en recevaient toutes les eaux.
