LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
Ce ſtratagéme eſtrange & difficile à croire Par les ſiens, malgré luy, nous ouurit la victoire, Si grande que la Mer en vit rougir ſes ports, Qu’Ortone eut dans ſes champs tous les Samnites morts, Que Fabie eſt rauy, que Valere luy-meſme Et m’enuie & s’impute vn ſi beau ſtratagéme, l’ar qui i’ay reparé dans ce combat dernier, Auecque mon erreur, la honte du premier,	Ce stratagème étrange et difficile à croire Par les siens, malgré lui, nous ouvrit la victoire, Si grande que la Mer en vit rougir ses ports, Qu'Ortone eut dans ses champs tous les Samnites morts, Que Fabie est ravi, que Valère lui-même Et m'envie et s'impute un si beau stratagème, l'ar qui j'ai reparé dans ce combat dernier, Avec mon erreur, la honte du premier,
LVCILLE.	LUCILE.
Deſerteur d’vn Amy, dont la gloire eſt flétrie, Mais pour ne l’eſtre point plutoſt de ta pâtrie, Que ce diſcours, Comine, & ta fidelité A Fabie ont rendu ce qu’il a merité!	Deserteur d'un Ami, dont la gloire est flétrie, Mais pour ne l'être point plutôt de ta pâtrie, Que ce discours, Comine, et ta fidélité À Fabie ont rendu ce qu'il a mérité!
CAMILLE.	CAMILLE.
Qu me fureur jalouſe aueugla bien Valere!	Qu me fureur jalouse aveugla bien Valère!
Et que ſon amtie commence a me deplaire!	Et que son amtie commence à me déplaire!
COMINE.	COMINE.
Ie ne vous feindray rien, ie l’ay meſme en horreur:	Je ne vous feindrai rien, ie l'ai même en horreur:
La vertu de Fabie, & ma premiere erreur M’ont atraché depuis ſi fort à ſa fortune Que ie ne veux l’auoir qu’auecque luy commune :	La vertu de Fabie, et ma première erreur M'ont atraché depuis si fort à sa fortune Que ie ne veux l'avoir qu'avec lui commune :
Auſſi dans ſon peril i’iray iuſques au bout, Ie le ſuy iuſques à Rome, & le ſuiuray par tout.	Aussi dans son péril j'irai jusques au bout, Je le suis jusques à Rome, et le suivrai par tout.
PAPYRIE, Dittes tout:	PAPYRIE, Dittes tout:
Quel peril menaſſeroit ſa teſte?	Quel péril menacerait sa tête?
Ses lauriers craindroient-ils la foudre & la tempeſte?	Ses lauriers craindraient-ils la foudre et la tempête?
Qu’eſt-ce qui peut cauſer vn ſi ſoudain retour?	Qu'est-ce qui peut causer un si soudain retour?
LVCILLE.	LUCILE.
Quelque trait de Valere, ou peut-eſtre l’amour.	Quelque trait de Valère, ou peut-être l'amour.
COMINE.	COMINE.
C’eſt toute vne autre cauſe, & qui va vous ſurpiendte.	C'est toute autre cause, et qui va vous surpiendte.
SCENE IV.	SCÈNE IV.
FLAVIE, CAMILLE, LVCILLE, PATTXIE.	FLAVIE, CAMILLE, LUCILLE, PATXIE.
FLAVIE.	FLAVIE.
Iterjuo tout le Sena!	Iterjuo tout le Séna!
Seigneur, vient de ſe T rendre.	Seigneur, vient de se T rendre.
CAMILLE.	CAMILLE.
Le Senat?	Le Sénat?
où, Flauie?	où, Flavie?
a AſiIEa En ce meſme Palais.	a AsiIEa En ce même Palais.
PAPIRIE bas.	PAPIRIE bas.
Ma crainte euſt tout appris:	Ma crainte eût tout appris:
Dieux!	Dieux!
que ta me déplais!	que ta me déplais!
TEAVIL.	TEAVIL.
Fabie au milieu d’eux enſemble auec ſon Pere Eſt entré dans ſa ſale.	Fabie au milieu d'eux ensemble avec son Père Est entré dans sa le.
PAPYRTE bas.	PAPYRTE bas.
Ah!	Ah!
ne crains, eſpere,	ne crains, espère,
LVCILLE.	LUCILE.
Auançons nous:	Avançons nous:
ie meurs de deſir de les voir.	Elle meurs de désir de les voir.
CAMILLE.	CAMILLE.
Comine, allez deuant:	Comine, allez devant:
le leo vap leceuoir,	le leo vap lecevoir,
SCENE V.	SCÈNE V.
PAPYRIE, FLAVIE.	PAPYRIE, FLAVIE.
PAPYRIE.	PAPYRIE.
rua cu, quoy:	rua cv, quoi:
mon cœur, tu cours apres ta vie?	mon cœur, tu cours après ta vie?
Pour remettre mes ſens, arreſte vn peu, Flauie.	Pour remettre mes sens, arrête un peu, Flavie.
FLAVTE.	FLAUTE.
Quels ſens, quel triſte cœur vous empeſche a dllel.	Quels sens, quel triste cœur vous empêche a dllel.
PAPYRIE.	PAPYRIE.
Et mon cœur & mes ſens y voudroient tous voler.	Et mon cœur et mes sens y voudraient tous voler.
FLAVIE.	FLAVIE.
Si vous auiez crû voir toute Rome aſſemblée Fondre dans ce Palais, dont la Cour eſt comblét Et de cris applaudir à ce ieune Vainqueur:	Si vous aviez cru voir toute Rome assemblée Fondre dans ce Palais, dont la Cour est comblét Et de cris applaudir à ce jeune Vainqueur:
Vos yeux auroient volé deſia comme le cœur:	Vos yeux auraient volé déjà comme le cœur:
On n’entend à ces cris Echo qui ne reſponde, ruole en lamerueme ce de Reome y et du Mon de.	On n'entend à ces cris Écho qui ne réponde, ruole en lamerveme ce de Re y et du Mon de.
PAPYRIE.	PAPYRIE.
Apres ces cris de joye vn les acheue tous, Vn qui te ſurprendra:	Après ces cris de joie int les achève tous, Un qui te surprendra:
Fabie eſt mon Epoux.	Fabie est mon Époux.
IDAVIE.	JDAVIE.
Voſtre Epoux?	Votre Époux?
ce Heros?	ce Héros?
PAPYRIE.	PAPYRIE.
Ce Dieu non pas cét homme, Qui va faire mon ſort, & le deſtin de Rome.	Ce Dieu non pas cet homme, Qui va faire mon sort, et le destin de Rome.
FLAVIEIe ſçay qu’il vous aymoit.	FLAVIEIe sais qu'il vous aimait.
IIIRIE.	IIIRIE.
Ce que i’ay tant caché.	Ce que j'ai tant caché.
Et tu ſçauras iey	Et tu sauras iey
FLAVIE, Quei	FLAVIE, Quei
PAPYRIE.	PAPYRIE.
Que ie l’ayme auſſi.	Que ici l'aime aussi.
Que nos Peres d’accord attendent la journée Qu’vu prompt retour aſſigne à ce grand hymenée, Que le Senat peut-eſtre en ce pompeux accueil Qui le doit iuſtement enfler d’vn noble orgueil Vient offrir par honneur accompagnant ſon Pere, Ce vainqueur au Conſul, & ce Gendre à ma Mere:	Que nos Pères d'accord attendent la journée Qu'une prompt retour assigne à ce grand hyménée, Que le Sénat peut-être en ce pompeux accueil Qui le doit justement enfler d'un noble orgueil Vient offrir par honneur accompagnant son Père, Ce vainqueur au Consul, et ce Gendre à ma Mère:
C’eſt elle qui tantoſt m’obligeant à l’aimer Nous a tout deſcouuert, afin de m’enflamer?	C'est elle qui tantôt m'obligeant à l'aimer Nous a tout découvert, afin de m'enflammer?
Qui s’eſt en ſa faueur ouuerte & declarée:	Qui s'est en sa faveur ouverte et déclarée:
Qui m’a par ſa loüange à l’hymen preparée?	Qui m'a par sa louange à l'hymen préparée?
Qui de ma crainte a fait vn legitime eſpoir, De ma flame vn reſprect, de mes vœux vn deuoir, Et couronnant mes maux d’vne fin glorieuſe A fait de mon amour vne vertu pompeuſe:	Qui de ma crainte a fait vn legitime espoir, De ma flamme un resprect, de mes vœux un devoir, Et couronnant mes maux d'une fin glorieuse A fait de mon amour une vertu pompeuse:
Vertu, deuoir, reſpect, eſpoir, fiame, & langueur, Et dignes de Fabie, & dignes de mon cœur, C’eſt à vous maintenant que ſans crainte & ſans blâme Ie reſigne mon cœur, i’abandonne mon ame, Enfans doux & ſecrets d’vn violent tranſport, Que ma foy, que l’honneur vient de mettre d’accord, A ce bon-heur ſi grand que le deſtin m’enuoye Ouurez deſirs, ouurez tous mes ſens à la joye;	Vertu, devoir, respect, espoir, fiame, et langueur, Et dignes de Fabie, et dignes de mon cœur, C'est à vous maintenant que sans crainte et sans blâme Je résigne mon cœur, j'abandonne mon âme, Enfants doux et secrets d'un violent transport, Que ma foi, que l'honneur vient de mettre d'accord, À ce bonheur si grand que le destin m'envoie Ouvrez désirs, ouvrez tous mes sens à la joie;
Ah!	Ah!
ſi par vn excez on a veu perir, Agreable treſpas!	si par un excès on a vu périr, Agréable trépas!
qu’il eſt doux d’en mourir Qu’à l’aſpect de Fabie elle ſoit redoublée:	qu'il est doux d'en mourir Qu'à l'aspect de Fabie elle soit redoublée:
Allons mourir de ioye & de plaiſir comblée, Acheuer ſon triomphe & ma vie à ſes yeux.	Allons mourir de joie et de plaisir comblée, Achever son triomphe et ma vie à ses yeux.
Non, viuons pour ſa gloire, & pour luy plaire mieux :	Non, vivons pour sa gloire, et pour lui plaire mieux :
Moderons mes tranſports, ſuſpendons cette joye, Reſpect, couure ma flame, & fay que ie la voye Allons donc receuoir triomphant, couronné Cet Eſpoux que mon Pere & les Dieux m’ont donné.	Modérons mes transports, suspendons cette joie, Respect, couvre ma flamme, et fais que je la voie Allons donc recevoir triomphant, couronné Cet Époux que mon Père et les Dieux m'ont donné.
Fin du premier Acte,	Fin du premier Acte,
ACTE	ACTE
ACTL II.	ACTL II.
CERITE PREMIERE, LVCILLE, PAPYRIE.	CÉRITE PREMIÈRE, LUCILLE, PAPYRIE.
LVCILLE.	LUCILE.
*Oderez, Papyrie, & vos cris & vos larmes;	*Oderez, Papyrie, et vos cris et vos larmes;
«Ie ſouffre autant que vous en ces rudes allarmes, Et ce coup eſtonnant du ſort & du malheur Ne m’apporte pas moins de trouble & de douleur.	«Ie souffre autant que vous en ces rudes alarmes, Et ce coup étonnant du sort et du malheur Ne m'apporte pas moins de trouble et de douleur.
PAPYRIE.	PAPYRIE.
Ah!	Ah!
Madame, excuſez ce tranſport legitime D'vn amour qui ſans vous ne paſſoit pas l’eſtimeEt qui deſſous vos loix augmenté de moitié Sur vn ſujet de gloire en eſt vn de pitié:	Madame, excusez ce transport légitime D'un amour qui sans vous ne passait pas l'estimeEt qui dessous vos lois augmenté de moitié Sur un sujet de gloire en est un de pitié:
C’eſt peu qu’en ce reuers que le deſtin m’enuoye Vne extréme douleur ſuiue vne extréme joye;	C'est peu qu'en ce revers que le destin m'envoie Une extrême douleur suive une extrême joie;
Il eſt vray, ce paſſage eſt difficile & grand, Met vn cœur en deſordre alors qu’il le ſurprẽd Mais au lieu d’vn Mary qui flatte noſtre attente Que l’on va receuoir d’vne joye éclattante, Où l’on cherche vn Amant noble & Victorieux Treuuer vn Ennemy ſuperbe, iniurieux Vn Criminel d’Eſtat, vn mortel Aduerſaire De qui l’orgueil offenſe & les loix, & mon Pere Qui iuſqu’entre mes bras fuit deuant ſon courroux, Vn Lyon, que i’aymois deſſous le nom d’Epoux?	Il est vrai, ce passage est difficile et grand, Met un cœur en désordre alors qu'il le surprend Mais au lieu d'un Mari qui flatte notre attente Que l'on va recevoir d'une joie éclatante, Où l'on cherche un Amant noble et Victorieux Treuuer un Ennemi superbe, injurieux Un Criminel d'État, un mortel Aduersaire De qui 'orgueil offense et les lois, et mon Père Qui jusqu'entre mes bras fuit devant son courroux, Ven Nous, que j'aimais dessous le nom d'Époux?
Ah?	Ah?
c’eſt là le ſurcroiſt d’vne miſere extréme, Contre qui ma Vertu s’épuiſe dans moy-méme, Dont la force n’eſt plus qu’vn deſpit enflamé Ou de l’aymer encore, ou de l’auoir aymé.	c'est là le surcroît d'une misère extrême, Contre qui ma Vertu s'épuise dans moi-même, Dont la force n'est plus qu'un dépit enflamé Ou de l'aimer encore, ou de l'avoir aimé.
LVCILLE.	LUCILE.
Eſtouffez ce dépit, dont l’ardeur vous deuore;	Étouffez ce dépit, dont l'ardeur vous dévore;
Si vous l’auez aymé, vous l’aymerez encore :	Si vous l'avez aimé, vous l'aimerez encore :
Fabie eſt Criminel?	Fabie est Criminel?
mais on peut l’excuſer:	mais on peut l'excuser:
Papyre eſt en courroux:	Papire est en courroux:
mais on peut l’appaiſer;	mais on peut l'apaiser;
Si l’vn eſt mon Mary, l’autre eſt auſſi mon Gendre;	Si l'un est mon Mari, l'autre est aussi mon Gendre;
Ie ſçay ce que ie puis ſur tous deux entreprẽdre;	Je sais ce que ici puis sur tous deux entreprendre;
Ie veux que mon eſprit ſe trouue plus puiſſant Qu’vn courroux vertueux & qu’vn crime innocent:	Je veux que mon esprit se trouve plus puissant Qu'un courroux vertueux et qu'un crime innocent:
Voſtre ame pour faillir, eſt trop belle & trop haute;	Votre âme pour faillir, est trop belle et trop haute;
Si c’eſt faute d’aymer, i’ay part à voſtre faute, Vne fauſſe vertu vous le feroit haïr;	Si c'est faute d'aimer, j'ai part à votre faute, Une fausse vertu vous le ferait haïr;
C'eſt vertu que l’aymer, puis que c’eſt m’obeyr.	C'est vertu que l'aimer, puis que c'est m'obéir.
PAPYRIE.	PAPYRIE.
Quelle vertu contrainte, & quelle obeyſſance!	Quelle vertu contrainte, et quelle obéissance!
Puis que ne l’aymer pas n’eſt plus en ma puiſſance:	Puis que ne l'aimer pas n'est plus en ma puissance:
Pourrois-je l’auoir veu ce Mars humilié, D’vn cœur doux, ſans orgueil, de ſoy-meſme oublié, Applaudy du Senat, au milieu de ſa gloire, Demander au Conſul pardon de ſa victoire, Mettre tout ſon triomphe à fuyr le treſpas, Se monſtrer ſi loüable à ne ſe loüer pas, Enuers Rome excuſer vn mal ſi profitable?	Pourrais-je l'avoir vu ce Mars humilié, D'un cœur doux, sans orgueil, de soi-même oublié, Applaudi du Sénat, au milieu de sa gloire, Demander au Consul pardon de sa victoire, Mettre tout son triomphe à fuir le trépas, Se montrer si louable à ne se louer pas, Envers Rome excuser un mal si profitable?
Et ne luy garder pas vne amour veritable?	Et ne notre garder pas une amour véritable?
Pourrois-je d’autre part voir vn Pere offenſé a Vn Chef deſobey, dans ſon Camp delaiſſé S’armer contre ſon crime?	Pourrais-je d'autre part voir un Père offensé a Un Chef désobéi, dans son Camp délaissé S'armer contre son crime?
& de haine incapable Moy, voir ſon Ennemy?	et de haine incapable Moi, voir son Ennemi?
moy, cherir le Coupable?	moi, chérir le Coupable?
Tous mes ſens en deſordre oſent donc me trahir;	Tous mes sens en désordre osent donc me trahir;
Ie le tiens odieux, & ne le puis hayr, Ie ne le puis aymer, & ie le treuue aymable:	Je le tiens odieux, et ne le puis haïr, Je ne le puis aimer, et notre le trouve aimable:
Il me paroiſt horrible, & me ſemble agreable;	Il me paraît horrible, et me semble agréable;
Mon Pere & mon Amant combattent dans mon cœur, L’vn mon trop de tendreſſe, & l’autre ma rigueur;	Mon Père et mon Amant combattent dans mon cœur, L'un mon trop de tendresse, et l'autre ma rigueur;
Ils m’accuſent tous deux & tous deux me font craindre, Ils me bleſſent tous deux, & tous deux me ſont plaindre:	Ils m'accusent tous deux et tous deux me font craindre, Ils me blessent tous deux, et tous deux me sont plaindre:
Fabie, ah!	Fabie, ah!
c’eſt mon Pere, & tu peux l’offenſer?	c'est mon Père, et tu peux l'offenser?
Papyre, ah!	Papire, ah!
c’eſt ton Gendre, & tu peux le chaſſer?	c'est ton Gendre, et tu peux le chasser?
Arreſtez;	Arrêtez;
tous vos coups retombent ſur moymeſme, Vous ne pouuez bleſſer vn de vous que ie n’ayme ?	tous vos coups retombent sur moymesme, Vous ne pouvez blesser un de vous que ie me ?
O Papyre!	Ô Papire!
ô Fabie!	ô Fabie!
ô cœurs trop animez!	ô cœurs trop animés!
Vous monſtrez bien tous deux combien peu vous mn’aimez;	Vous montrez bien tous deux combien peu vous m'aimez;
Vn vain deſir d’honneur vous force, & me ſurmonte, Et tous ces grands combats ne ſeront qu’à ma honte:	Un vain désir d'honneur vous force, et me surmonte, Et tous ces grands combats ne seront qu'à ma honte:
Ie voy dé-ja l’orage eſleuer mille flots, Et Rome diuiſée entre ces deux Heros;	Je vois déjà l'orage élever mille flots, Et Rome divisée entre ces deux Héros;
Ie voy mon Pere armé de ſa toute-puiſſance Combattre vn digne effet d’vne indigne licence, Fabie enuironné de gloire & de faueur Oppoſer le Senat contre le Dictateur:	Je vois mon Père armé de sa toute-puissance Combattre un digne effet d'une indigne licence, Fabie environné de gloire et de faveur Opposer le Sénat contre le Dictateur:
Que de diuiſions pour vne chere vie, Et trop fort deffenduë, & trop fort pourſuiuie!	Que de divisions pour une chère vie, Et trop fort défendue, et trop fort poursuivie!
LVCILLE.	LUCILE.
Croyez qu’on n’en viendra iamais iuſqu’à ce poinct.	Croyez qu'on n'en viendra jamais jusqu'à ce point.
PAPYRIE.	PAPYRIE.
Qu’ont ils fait dans le camp:	Qu'ont ils fait dans le camp:
vous le le ſçauez point.	vous le le savez point.
LVCILLE.	LUCILE.
Ie ſçay ce que Papyre a fait dans ſa colere;	Je sais ce que Papire a fait dans sa colère;
Mais ie tiens qu’il eſtoit enflamé par Valere:	Mais ici tiens qu'il était enflammé par Valère:
Tabie a par ſa fuite éuité le trépas, Papyre eſt ſeul au Camp, qu’il ne quittera pas, Contre les ennemis employant ſon courage, Le temps & le Senat calmeront cét orage, Comme Gendre Fabie en grace retourné.	Tabie a par sa fuite évité le trépas, Papire est seul au Camp, qu'il ne quittera pas, Contre les ennemis employant son courage, Le temps et le Sénat calmeront cet orage, Comme Gendre Fabie en grâce retourné.
Mais il vient, ce Vainqueur en triomphe mené.	Mais il vient, ce Vainqueur en triomphe mené.
PAPYRIE.	PAPYRIE.
Comme Ennemy d’vn Pere, ou comme voſtre Gendre Ie ne le puis fuïr, & ie ne l’oſe attendre:	Comme Ennemi d'Hô Père, ou comme votre Gendre Je ne le puis fuir, et toujours ne l'ose attendre:
Que feray-je?	Que ferai-je?
ô fureur!	ô fureur!
que voy-je?	que vois-je?
ô doux tranſport!	ô doux transport!
SCENE II.	SCÈNE II.
FABIE, CAMILLE, LVCILLE,	FABIE, CAMILLE, LUCILLE,
PAPYRIE.	PAPYRIE.
FABIE entrant Mhee Camiue.	FABIE entrant Mhée Camive.
NEtte maiſon fera mon naufrage, ou mon port;	NEtte maison fera mon naufrage, ou mon port;
I’ay quitté le Senat qui m’a pris en ſa garde;	J'ai quitté le Sénat qui m'a pris en sa garde;
Pour Iuge, ou pour appuy, c’eſt vous que ie regarde;	Pour Juge, ou pour appui, c'est vous que cet regarde;
Ie ne veux point auoir en mon affliction Contre le Dictateur d’autre protection Que ce lieu, ſon beau Frere, & ſa femme, & ſa fille.	Je ne veux point avoir en mon affliction Contre le Dictateur d'autre protection Que ce lieu, son beau Frère, et sa femme, et sa fille.
CAMILLE.	CAMILLE.
Vous le voyez, Fabie, & toute la famille.	Vous le voyez, Fabie, et toute la famille.
LVCILLE.	LUCILE.
Qui ſur les grands effets d’vne inſigne valeur Admire vôtre gloire, & plame vontle mamtu,	Qui sur les grands effets d'une insigne valeur Admire votre gloire, et plame vontle mamtu,
FABIE.	FABIE.
Quel malheur glorieux qui me fait voir encore Tout ce que ie reſpecte, & tout ce que i’adore!	Quel malheur glorieux qui me fait voir encore Tout ce que iesecte, et tout ce que j'adore!
Tout mon mal-heur:	Tout mon malheur:
Madame, eſt dans mon action, Comme toute ma gloire en voſtre affection:	Madame, est dans mon action, Comme toute ma gloire en votre affection:
Le Pere me pourſuit;	Le Père me poursuit;
j’éuite ſa colere, Et prends pour me punir & la Fille, & la Mere, Le beau-Frere pour Iuge en ce graud intereſt, Sa Maiſon pour refuge, & ſa voix pour arreſt.	j'éuite sa colère, Et prends pour me punir et la Fille, et la Mère, Le beau-Fre pour Juge en ce graud intérêt, Sa Maison pour refuge, et sa voix pour arrêt.
Le Senat me protege, & le Peuple m’honore :	Le Sénat me protege, et le Peuple m'honore :
Mais vous eſtes le ſeul digne que ie l’implore, Camille, ie remets ma vie entre vos mains, Comme au plus genereux & plus grand des Romains, Toute cette faueur, que brigue en vain mon Pere, Ie la treuue en vous ſeul, c’eſt en vous que i’eſpere:	Mais vous êtes le seul digne que sans l'implore, Camille, je remets ma vie entre vos mains, Comme au plus généreux et plus grand des Romains, Toute cette faveur, que brigue en vain mon Père, Je la trouve en vous seul, c'est en vous que j'espère:
Et ie n’eſpererois rien de vous ny des Cieux, Si mon crime n’eſtoit & noble, & glorieux:	Et ici n'espérerais rien de vous rien de Cieux, Si mon crime n'était et noble, et glorieux:
Il peut ſans honte errer dedans voſtre memoire, Il vous eſt familier, c’eſt meſme la victoire:	Il peut sans honte errer dedans votre mémoire, Il vous est familier, c'est même la victoire:
Craindrois-je voſtre Arreſt, ny d’eſtre condamné, Pour les meſmes ſuccez qui vous ont couronné?	Craindrais-je votre Arrêt, ni d'être condamné, Pour les mêmes succès qui vous ont couronné?
Et ſi cét attentat que veut punir Papyre Fait moins ma gloire encor que celle de l’Empire?	Et si cet attentat veut que punir Papyre Fait moins ma gloire encor que celle de l'Empire?
I’ay l’honneur du combat;	J'ai l'honneur du combat;
Rome en a tout le fruit;	Rome en a tout le fruit;
Ce combat la maintient;	Ce combat la maintient;
ce combat me détruit, Et pour vn haut exploit, dont la gloire eſt complice, Au lieu d’vne Couronne, on m’appreſte vn ſupplice, Vne honteuſe mort pour vn fait vertueux:	ce combat me détruit, Et pour un haut exploit, dont la gloire est complice, Au lieu d'une Couronne, on m'apprête un supplice, Une honteuse mort pour un fait vertueux:
A peine ay-je éuité ce foudre impetueux, Qui meſme dans le Camp fumant de ſa victoire Alloit faire tomber, & ma teſte, & ma gloire:	À peine ai-je évité ce foudre impétueux, Qui même dans le Camp fumant de sa victoire Allait faire tomber, et ma tête, et ma gloire:
Maintenant ie la donne, & ne me deffens pas;	Maintenant ici la donne, et ne me défends pas;
Ie fuy l’ignominie, & non point le treſpas:	Je fuis l'ignominie, et non point le trépas:
Si vous, ſi le Senat ordonne que ie meure;	Si vous, si le Sénat ordonne que personne meure;
Prononcez, ie ſuis preſt d’expirer à cette heure;	Prononcez, Seigneur suis prêt d'expirer à cette heure;
Ce bras victorieux par vn coup noble & beau Verſera mieux mon ſang que la main d’vn Bourreau, Et ce ſang genereux offert comme en victime Euuera ma vietoire, ce ma nomte poe moi cxime;	Ce bras victorieux par un coup noble et beau Versera mieux mon sang que la main d'un Bourreau, Et ce sang généreux offert comme en victime Euéra ma viétoire, ce ma nomte poè te poète;
Il eſt pur, il eſt noble.	Il est pur, il est noble.
CAMILLE.	CAMILLE.
Il faut le conſeruer;	Il faut le conserver;
Il fait triompher Rome;	Il fait triompher Rome;
elle doit le ſauuer;	elle doit le sauver;
Elle eſt trop obligée à de ſi grands ſeruices:	Elle est trop obligée à de si grands services:
Et ſi pour la victoire il faut des ſacrifices, Elle ſeroit impie en rendant grace aux Dieux D’immoler en victime vn Vainqueur glorieux;	Et si pour la victoire il faut des sacrifices, Elle serait impie en rendant grâce aux Dieux D'immoler en victime un Vainqueur glorieux;
Rome n’eſt que ſeuere;	Rome n'est que sévère;
elle ſeroit barbare, Elle traittera mieux vne vertu ſi rare;	elle serait barbare, Elle traitera mieux une vertu si rare;
Et pour moy, ſuppliant enuers le Dictateur I’aymeray le coupable, & le perſecuteur, Et nous joignant enſemble & la Fille & la Mere Nous ſerons importuns autant qu’il eſt ſeuere:	Et pour moi, suppliant envers le Dictateur J'aimerai le coupable, et le persécuteur, Et nous joignant ensemble et la Fille et la Mère Nous serons importuns autant qu'il est sévère:
m'aura pour partie en vn ſi grand courroux, Et lamele, dlaTe, e le Senat, cnous.	m'aura pour partie en un si grand courroux, Et lamele, dlaTe, e le Sénat, cnous.
LVCILLE.	LUCILE.
Auec vn tel appuy craindrez-vous de combattre :	Avec un tel appui craindrez-vous de combattre :
Papyre ſera ſeul;	Papire sera seul;
& nous nous trouuons quae:	et nous nous trouvons quae:
Contre nous, contre Rome offerte à ce beſoin, Ses coups ſeront ſans force, il combattra de loin.	Contre nous, contre Rome offerte à ce besoin, Ses coups seront sans force, il combattra de loin.
SCENE III.	SCÈNE III.
FLAVIE, PAPYRIE, FABIE, LVCILLE, CAMILLE.	FLAVIE, PAPYRIE, FABIE, LUCILLE, CAMILLE.
FLAVIE.	FLAVIE.
V contraire, il eſt proche:	V contraire, il est proche:
ô Fabie!	ô Fabie!
ô A Camille!	 Ô Camille!
Melas!	Mélas!
le Dictateur vient d’ehtrer dans la Ville.	le Dictateur vient d'éhtrer dans la Ville.
PAPYRIE.	PAPYRIE.
Dans la vine :	Dans la vine :
mon Pele?	mon Pèle?
o Dieux:	ô Dieux:
qu’ay-je entendu?	qu'ai-je entendu?
Ie l’auois bien predit;	Je l'avais bien prédit;
ah!	ah!
Fabie eſt perdu.	Fabie est perdu.
FABIE.	FABIE.
Ce ne ſera iamais qu’en vous perdant, Madame?	Ce ne sera jamais qu'en vous perdant, Madame?
Mais voſtre peur m’aſſeure, & ſa glace m’enflame, Puis que ce cœur ſurpris montre par vos regrets Des vœux que le ſilence auoit tenus ſecrets Si la Fille en ſon cœur fait des vœux pour ma vie, Craindrois-je de la voir par le Pere rauie?	Mais votre peur m'assure, et sa glace m'enflamme, Puis que ce cœur surpris montre par vos regrets Des vœux que le silence avait tenus secrets Si la Fille en son cœur fait des vœux pour ma vie, Crois-je de la voir par le Père ravie?
Entre, Peré cruel, viens perdre ce Vainqueur;	Entre, Péré cruel, viens perdre ce Vainqueur;
Ie crains peu de mourir, ſi ie vy dans ſon cœur, Ma mort, qui me fera reuiure en ſa memoire, Quand tu crois me punir m’eſt vne autre victoire;	Je crains peu de mourir, si ici vi dans son cœur, Ma mort, qui me fera revivre en sa mémoire, Quand tu crois me punir m'est une autre victoire;
Viens rendre ton courroux & mes deſirs contens Noble & cher Ennemy, viens doncques;	Viens rendre ton courroux et mes désirs contents Noble et cher Ennemi, viens donc;
ie t’attens.	Il t'attends.
PAPYRIE.	PAPYRIE.
vous le venez tiop toit, peutreie a voſtre perte;	vous le venez tiop toit, peutreie a votre perte;
Helas!	Hélas!
FABIE.	FABIE.
A ce ſoûpir, ma mort ſur l’heure offerte, Deuiendrone d;	À ce soupir, ma mort sur l'heure offerte, Deuiendrone ;
, cabie dion cour amoureux;	, cabie dion cour amoureux;
Quoy qu’on faſſe à preſent ie ne puis qu’eſtro heureux.	Quo qu’on fasse à présent tu ne puis qu'étro heureux.
CAMILLE.	CAMILLE.
On a deſia trop fait d’attaquer voſtre vie.	On a déjà trop fait d'attaquer votre vie.
LVCILLE.	LUCILE.
Mais il faut preuenir cette mortelle enuie;	Mais il faut prévenir cette mortelle envie;
Secondez-nous, Camille;	Secondez-nous, Camille;
& deſia dans ce ſoin Ie vay treuuer Papyre.	et déjà dans ce soin Je vais trouver Papire.
FLAVIE, Il n’en eſt pas beſoin:	FLAVIE, Il n'en est pas besoin:
Madame, il vient icy:	Madame, il vient ici:
ie viens d’ouyr moymeſme Vn ſerment qu’il a fait dans ſa colere extréme, Qu’il ne reuerra point les Dieux de ſa Maiſon Que d’vn vainqueur coûpable il n’ait tiré raiſon;	Elle viens d'ouïr moymesme Un serment qu'il a fait dans sa colère extrême, Qu'il ne réverra point les Dieux de sa Maison Que d'Hon vainqueur coupable il n'ait tiré raison;
Meſme il en a iuré par ſes Dieux domeſtiques:	Même il en a juré par ses Dieux domestiques:
Le bruit de ſa fureur vole aux places publi.	Le bruit de sa fureur vole aux places publy.
ques;	ques;
Il reſonne par tout on n’entend que clameurs Rome n’eſt plus que cris, que langues, que rumeurs;	Il résonne par tout on n'entend que clameurs Rome n'est plus que cris, que langues, que rumeurs;
A ſa voix, à ſes yeux le plus aſſeuré tremble:	À sa voix, à ses yeux le plus assuré tremble:
Par ſon ordre deſia tout le Senat s’aſſemble:	Par son ordre déjà tout le Sénat s'assemble:
miauie syuenant qu'il panoit en ce neu pour vous voir.	miavie syvenant qu'il penait en ce neu pour vous voir.
Ie viens d’vn pas haſté vous le faire ſçauoir.	Je viens d'un pas hâté vous le faire sçauoir.
LVCILLE.	LUCILE.
Sans toy, belle Affranchie, il nous euſt pû ſurprendre:	Sans toi, belle Affranchie, il nous eût pu surprendre:
Preuenons-le, mon Frere, allons le voir deſcendre, Oppoſons quelque obſtacle à cét ardent courroux, Arreſtons dedans l’air la foudre auant les coups, Elle gronde ſouuent, ſans pourtant qu’elle tombe.	Prévenons-le, mon Frère, allons le voir descendre, Opposons quelque obstacle à cet ardent courroux, Arrêtons dedans l'air la foudre avant les coups, Elle gronde souvent, sans pourtant qu'elle tombe.
