ACTEVRS.	ACTEURS.
PROTINE.	PROTINE.
Pour l’appeller à nous, & pouuoir ſur ſon aage, De la reduire enfin au nœud du mariage, Ce braue Paulias, redoutable Guerrier, D'uttentris dor greneme ov epine join piionnter y Eſclaue ſous l’amour qu’il porte à ſa maiſtreſſe, Meritant d’eſtre ouys aupres de voſtre Alteſſe, Ilayme, il ayme Reine.	Pour l'appeler à nous, et pouvoir sur son âge, De la réduire enfin au nœud du mariage, Ce brave Paulias, redoutable Guerrier, D'utentris dor greneme aime ovine join pionnter y Esclave sous l'amour qu'il porte à sa maîtresse, Méritant d'être ouïs auprès de votre Altesse, Ilaime, il aime Reine.
CLEMENT.	CLEMENT.
Il l'ayme, ie le ſça Son illuſtre renom entierement me pluiſt, Et ie dray pour tuy que jenfible i’endure, Les traits que Cupidon darde à ſa geniture, Et nul autre brazier ne ſçauroit échauffer, Reine d’vn fol amour qui la pût débaucher.	Il l'aime, Seigneur le sa Son illustre renom entièrement me pluist, Et ton drai pour tui que jenfible j'endure, Les traits que Cupidon darde à sa géniture, Et nul autre brasier ne saurait échauffer, Reine d'un fol amour qui la pût débaucher.
Le charme des Chreſtiens l’endort & l’enſorcelle.	Le charme des Chrétiens l'endort et l'ensorcelle.
ASTHERE.	ASTHÉRE.
Et l’amour bien ſouuent les humeurs renouuelle, Nous deuons aſſentir d'vne dexterité, Vers ce grand Paulias qui s’en ſent agité, L’honneur d’eſtre receu deuant voſtre preſence, D'eſtre voſtre ſecond, fils de voſtre puiſſancé, Pourra conuertir Reine, & rendre jes amours, Sous les Loix de nos Dieux auſſi beaux que ſes iours,	Et l'amour bien souvent les humeurs renouvelle, Nous devons assentir d'une dextérité, Vers ce grand Paulias qui s'en sent agité, L'honneur d'être reçu devant votre présence, D'être vôtre second, fils de votre puissancé, Pourra convertir Reine, et rendre jes amours, Sous les Lois de nos Dieux aussi beaux que ses jours,
CLEMENT.	CLEMENT.
Ie ſuturuyte confeit, & te tienaray parole, Ia le courroux me quitte, & la paix me conſole.	Je suturuite conféit, et te tienarai parole, Ia le courroux me quitte, et la paix me console.
ASTHERE.	ASTHÉRE.
Traictons haſtiuement, & poſons tout en cheſ	Traitons hâtiuement, et posons tout en chez
CLE MENT.	CLÉ MENT.
Veuillez de Paulias aſſentir de rechef, Arreſter ſes deſirs à ce qu’il conſidere, S’il veut eſtremon gendre il m’aura pour bon pere, L’vn & l’autre en vn corps ſainctement attacheZ, Rendront tous les hommages à nos Dieux offenceZ:	Veuillez de Paulias assentir de rêches, Arrester ses désirs à ce qu'il considère, S'il veut êtremon gendre il m'aura pour bon père, L'un et l'autre en un corps sainte attachez, Rendront tous les hommages à nos Dieux offensés:
Ie l’entend, ie l’eſpere, & vous ma ſœur Protine, DeſtourneZ les vapeurs de cette humeur mutine, Qui trouble les clarit Eute nos bauine Borte 5 Et fait retentir l’air de meſpris trop de fois, Auſſi cher frere Aſthore aſpirez à cette heure, Au bien de Paulias, qu’il viue & s’en aſſeure,	Je l'entend, Seigneur l'espère, et vous ma sœur Protine, Détournez les vapeurs de cette humeur mutine, Qui trouble les clarit Éte nos bauine Borte 5 Et fait retentir l'air de mépris trop de fois, Aussi cher frère Asthore aspirés à cette heure, Au bien de Paulias, qu'il vive et s'en assure,
ASTHERE.	ASTHÉRE.
Par ce bon reiglement veuïllez me députer, L’impatient m’attend pour ſe voir poſſeder, Les chaiſnes dont l’amour empriſonne les hommes.	Par ce bon règlement veuillez me députer, L'impatient m'attend pour se voir posséder, Les chaînes dont l'amour emprisonne les hommes.
CLEMENT.	CLEMENT.
Aſſarez-le touſiours, & ſurqnoy nous en ſommes.	Assarez-le toujours, et surqnoi nous en sommes.
PROTINE.	PROTINE.
Sans point violenter par vn doux entretien, Reine viendra vers vous conſentir a ce bien:	Sans point violenter par un doux entretien, Reine viendra vers vous consentir à ce bien:
B 2 Allez vous repoſer, & ſçachez que l’affaire, Reuſſira de ma part auec toute gloire, Mon ſexe vous promet par nos Dieux & le iour, Qu'lle s’endormira ſur le ſein de l’amour, Et de nouueaux reſueils ſe verra reconnoiſtre, Sous la digne amitié que luy faite paroiſtre:	 2 Allez -vous reposer, et sachez que l'affaire, Reussira de ma partout avec toute gloire, Mon sexe vous promet par nos Dieux et le jour, Qu'elle s'endormira sur le sein de l'amour, Et de nouveaux réveils se verra reconnaître, Sous la digne amitié que lui Seigneur paraître:
Elle n’eſt que trop craintive au regara de vos yeux, Mais ie ſçay des attraits qui ſont moins furieux, Les careſſes aux enfans ſont ſouuant ſalutaires, Ce qui fait qu’ils ſe rendent auſſi-toſt à complaire, Et ſe voyans enfin dans vne liberte, Repreſentent des faits loings de leur puberté.	Elle n'est que trop craintive au regara de vos yeux, Mais tu sais des attraits qui sont moins furieux, Les caresses aux enfants sont souvant salutaires, Ce qui fait qu'ils se rendent aussitôt à complaire, Et se voyant enfin dans une liberté, Representent des faits loings de leur puberté.
CLEMENT.	CLEMENT.
Ma ſœur, le tout ſoit fait par voſtre bien-veillance, Contentez Paulias en ſon impatience.	Ma sœur, le tout soit fait par votre bienveillance, Contentez Paulias en son impatience.
Adieu.	Adieu.
PROTINE.	PROTINE.
Ie vas a elle aſſeZ doux l’accoſter, Et d’vn front gracieux à l’inſtant luy parler.	Je vas a elle assez doux l'accoster, Et d'une front gracieux à l'instant lui parler.
SCENE IV.	SCÈNE IV.
PROTINE, REINE, ALGERIDE.	PROTINE, REINE, ALGERIDE.
PROTINE.	PROTINE.
TIepce, il eſt donc temps de vous montrer fidele, N Pour ne vous accuſer de crime de rebelle, Et vous faire ſçauoir d’vn langage plus doux, Que l’on tient Paulias voſtre futur Eſpoux, L'vn des premiers des Gaules, & qui fait bien paroiſtre, La ſaicte affection que vos beautez font naiſtre:	TIepce, il est donc temps de vous montrer fidèle, N Our ne vous accuser de crime de rebelle, Et vous faire savoir d'un langage plus doux, Que l'on tient Paulias votre futur Époux, L'à des premiers des Gaules, et qui fait bien paraître, La saite affection que vos beauté font naître:
Ne vous effrayez point, courage mon cher cœur, Vous eſtes ſon Soleil, ſa ioye, & ſon bon-heur, Ayant fait choix en vous de ſa noble partie, C'eſt loy qui doit chaſſer voſtre melancolie:	Ne vous effrayez point, courage mon cher cœur, Vous êtes son Soleil, sa joie, et son bonheur, Ayant fait choix en vous de sa noble partie, C'est loi qui doit chasser votre mélancolie:
Et moy vous aſſeurant que ce brane Gaulois, Se vint rendre pour gendre en la maiſon d'Auxois La reſolution ſur le tapis couchée, Vous rend à ce Seigneur par nos mains attachée, Et d’vn libre vouloir de l’vn & l’autre auſſi, La meſme affection fera voſtre ſoucy.	Et moi vous assurant que ce brane Gaulois, Se vint rendre pour gendre en la maison d'Auxais La résolution sur le tapis couchée, Vous rend à ce Seigneur par nos mains attachée, Et d'un libre vouloir de l ' Heure aussi, La même affection fera votre souci.
REINE.	REINE.
Ie n’ay ſoucy qu’en Dieu, que touſiours ie medite;	Je n'ai souci qu'en Dieu, que toujours té médite;
Et que vous ignoreZ PROTINE Ainſi que vous le dite Où vos penſers touſiours ſe pourmenent en ces lieux, Sous vn obiet trompeur qui vous voile les yeux:	Et que vous ignorez PROTINE Ainsi que vous le dite Où vos pensers toujours se pourmèrent en ces lieux, Sous un objet trompeur qui vous voile les yeux:
Et ſçachez, ie vous dis, qu’auiour d’huy la puiſſance, D’vn Pere enuers l’enfant doit former l’alliance, Ce que vous ne pouuez relàſcher au refus, Dont ce Galileen ne vous retiendra plus.	Et sachez, je vous dis, qu'aujour d'hui la puissance, D'un Père envers l'enfant doit former l'alliance, Ce que vous ne pouvez relàscher au refus, Dont ce Galile ne vous retiendra plus.
Quoy de plus ſignalé qu’vn Seigneur d’haute eſtime, De pareille naiſſance, & de ſang magnanime, Dont les bras de pouuoir, & le front de vertu, S’exalte ſur tous autres en beaux faits reueſtu, Et vous eſtant le cœur de ce grand perſonage, PreneZ poſſeſſion de tout ſon aduantage, Luy n’ayant rien en luy que dépendant de vous, En poſſedant ſes biens, l’honnorant pour Eſpoux.	Quoi de plus signalé qu'autre Seigneur d'haute estime, De pareille naissance, et de sang magnanime, Dont les bras de pouvoir, et le front de vertu, S'exalte sur tous autres en beaux faits revêtu, Et vous étant le cœur de ce grand personage, PreneZ possession de tout son avantage, Lui n'ayant rien en lui que dépendant de vous, En possédant ses biens, l'honorant pour Époux.
Ma Niepce, il eſt donc tem ps de penſer en vous-meſme, D’aymer infiniment vn Seigneur qui vous ayme, Sur ce mot reſpondeZ, deſirant de le voir, Que ſur ce proposé il ne faut qu’vn vouloir, Et touſiours par reſpects n’auoir de conſequence, Qui vous puiſſe alterer és yeux de ſa preſence, Afin que vos beaux noms ſoient inſorits daus les Cieux, Et eſtans marieZ ſoyeZ benits des Dieux.	Ma Niepce, il est donc tem ps de penser en vous-même, D'aimer infiniment un Seigneur qui vous aime, Sur ce mot répondez, désirant de le voir, Que sur ce proposé il ne faut qu'un vouloir, Et toujours par respects n'avoir de conséquence, Qui vous puisse altérer és yeux de sa présence, Afin que vos beaux noms soient insorits daus les Cieux, Et estans marieZ soyez bénits des Dieux.
REINE.	REINE.
Helus paure enretien!	Hélus paure enretien!
helas folle fortine?	hélas folle fortine?
C’eſt vne paille au vent ſur les fiots de Neptune, De quoy me parlez-vous, de tout ce qui m'annuie, D’vn allechement faux qu' vous trumpe & ſeduit.	C'est une paille au vent sur les fiots de Neptune, De quoi me parlez-vous, de tout ce qui m'annuie, D'un allèchement faux qu' vous trompe et séduit.
TrancheZ d'autres entretiens à vous preſter oreilles, Paulias & ſes biens ne ſont pas des merueilles, A l’egard d’vn Eſpoux ayant ſur tout pouuoir, Qui ae ſon ſeul plain gre le Soleil fait mouuoir:	Tranchez d'autres entretiens à vous prêter oreilles, Paulias et ses biens ne sont pas des merveilles, À l'égard d'un Époux ayant sur tout pouvoir, Qui ae son seul plain gré le Soleil fait mouvoir:
C’eſt mal vſer le temps de penſer me diſtraire, Mon cœur eſt tout en luy immole a ſa gloire, L gponx de pilrete, te jeut indepenaans, Souſtenant l’Voiuers, & tout ſon dépendant.	C'est mal user le temps de penser me distraire, Mon cœur est tout en peine immole à sa gloire, L éponx de pilrete, te jeut indepenaans, Soustenant l'Voiuers, et tout son dépendant.
NE.	NE.
Frappée au meſme point que vous eſtiez à l’heure, Qand vous auez quitté la ruſtique demeure, Leüez coms dmantage au point de voſtre eſtat.	Frappée au même point que vous étiez à l'heure, Qand vous avez quitté la rustique demeure, Léunez com mantage au point de votre état.
alas ghejemte.	alas géjemte.
REINE.	REINE.
Ma Reine.	Ma Reine.
ALGERIDE.	ÀLGERIDE.
REINE.	REINE.
Un furieux combat Vit Dragun acuunt muy, on Cerbere à trois teſtés, La chair forge le moude, & l’Enfer des tempeſtes, Mllais toutesfois le Ciel en ce qui luy plaiſt mieux, Garde de belles roſes en des lieux eſpineux.	Un furieux combat Vit Dragun accuunt mui, on Cerbère à trois têtes, La chair forge le moude, et l'Enfer des tempêtes, Mllais toutefois le Ciel en ce qui lui plaît mieux, Garde de belles roses en des lieux épineux.
PROTINE.	PROTINE.
Ce délice ſouuent choque voſtre punfee.	Ce délice souvent choque votre punée.
REINE.	REINE.
Et Vous équiuoqueZ deſſus ma deſtinée.	Et Vous équivoquez dessus ma destinée.
PROTINE.	PROTINE.
Reine mon cher ſoucy, c’eſt trop perſeterer.	Reine mon cher souci, c'est trop persétrer.
REINIE, Ie ne dis rien ty qui vous puiſe afenſer.	REINIE, Je ne dis rien ty qui vous puise afenser.
Au contraire, ie veux pour payer voſtre peine Inuocquer ce grand Dieu, que vous mourieZ Chreſtienne.	Au contraire, Seigneur veux pour payer votre peine Invocquer ce grand Dieu, que vous mouriez Chrétienne.
E.	E.
Quoy ſupporter ce blaſme inégal au tourment, Ce crime ſi enorme, & tel aueuglement, Non, non Niepce, il faut que vous puiſiez à gloire, Cette preſumption?	Quoi supporter ce blâme inégal au tourment, Ce crime si énorme, et tel aveuglement, Non, non Nièce, il faut que vous puisiez à gloire, Cette présomption?
mais pluſtoſt de vous eaire, Sçachez que voſtre Pere en vn tel poinct d’honneur, Sçaura vous appeller, par force ou par douceur.	mais plutôt de vous eaire, Sachez que votre Père en un tel point d'honneur, Saura vous appeler, par force ou par douceur.
R EINE.	 EYNE.
La force ou la douceur ſoit mon indiference, Algeride.	La force ou la douceur soit mon indiférence, Algeride.
ALGERIDE.	ÀLGERIDE.
Ma Reine il ne faut de balance, A cet iniuſte prix, & non plus eſcouter, Cet emretten tegertajenant a vomtromper.	Ma Reine il ne faut de balance, À cet injuste prix, et non plus écouter, Cet emretten tegertajenant à vomtromper.
PROTINE.	PROTINE.
Ainſi les vains propos enſeignent voſtre maiſtre.	Ainsi les vains propos enseignent votre maître.
ALGERIDE.	ÀLGERIDE.
Ce ſeroit vn grnd bien ſi vous ſçauiez connoſtre, Par tels enſeignemens ſa doctrins & ſa foy, La cauſe du ſalut, la grace de ſa loy, Helas que l’entretien vous ſeroit ſalutaire, Et qu’vn tel changement vous tourneroit a guoire, Et d’vne belle mort à l’immortalité, Suiuez-nous, & croyez en vne Deité, Madame eſcoutez nous.	Ce serait un grond bien si vous sçauiez outre, Par tels enseignements sa doctrins et sa foi, La cause du salut, la grâce de sa loi, Hélas que l'entretien vous serait salutaire, Et qu'un tel changement vous tournerait a guoire, Et d'une belle mort à l'immortalité, Suivez-nous, et croyez en une Deité, Madame écoutez nous.
PROTINE.	PROTINE.
Il n’eſt pas raiſonnable	Il n'est pas raisonnable
SCENE V, ASTHERE, PROTINE, REINE.	SCÈNE V, ASTHÉRE, PROTINE, REINE.
ALGERIDE.	ÀLGERIDE.
AMELIN Page entre apres.	AMELIN Page entre après.
ASTHERE en entrant.	ASTHÉRE en entrant.
C’Eſt trop vous arreſter.	C'Est trop vous arrêter.
Aupres d’vne opiniaſtre, il faut l’abandonner, Où abbaiſſer l’orguëil de cette temeraire, L'ennemie de nos Dieux, de l’honneur, & de gloire, Le droict de la Iuſtice interdit ſa pitié, Quand on regrete trop deux offence l’amitié.	Auprès d'une opiniâtre, il faut l'abandonner, Où abaisser l'orgueil de cette téméraire, L'ennemie de nos Dieux, de l'honneur, et de gloire, Le droit de la Justice interdit sa pitié, Quand on regrete trop deux offense l'amitié.
C’eſt trop vous arreſter au dire de cette fille.	C'est trop vous arrêter au dire de cette fille.
C’eſt vn eſprit perdu, vne noble inciuile:	C'est un esprit perdu, une noble incivile:
Bref abandonnons-là, & ſoit l’impunité, Par vn Pere Clement auec ſeuerité:	Bref abandonnons-là, et soit l'impunité, Par un Père Clément sèment sévérité:
Vous auez trop tardé de ne la pouuoir vaincre, Auſſi à deſormis vous ne deuez la plaindre, Car l’inegalité de ſes farouches humeurs, Des yeux de ſes parens tirera mille pleurs, Mal en arriuera ie predis l’infortune, Où par les immortels changera ſa fortune.	Vous avez trop tardé de ne la pouvoir vaincre, Aussi à désormis vous ne devez la plaindre, Car l'inégalité de ses farouches humeurs, Des yeux de ses parents tirera mille pleurs, Mal en arrivera été prédis l'infortune, Où par les immortels changera sa fortune.
PROTINE:	PROTINE:
Ainſi le permettra ce grand Courrier des Cieux, Ordonnant la clarté aux flambeaux radieux, Et celuy qui ſur l’eau fait gronder les tempeſtes, Et ce Dieu des combats le Pere des conqueſtes, Et les autres Dieux le permettront auſſi, Pluſtoſt que de la voir au beſoin tis mertye Atte ndez donc de moy iſſuë de cette affaire, La douceur cauſera ce que n'en vouleZ croire.	Ainsi le permettra ce grand Courrier des Cieux, Ordonnant la clarté aux flambeaux radieux, Et celui qui sur l'eau fait gronder les tempêtes, Et ce Dieu des combats le Père des conquêtes, Et les autres Dieux le permettront aussi, Plutôt que de la voir au besoin tis mertye Atte nédez donc de moi issue de cette affaire, La douceur causera ce que n'en vouleZ croire.
ASTHERE.	ASTHÉRE.
Tle muy l'atélaraſou, eſt ce à tert que ie croy.	Tle muis l'atélarasou, est ce -à tert que tu crois.
Que ſa perſeuerance offence noſtre Loy, Son infidelité, auſſi ſa foy legere, Ooir droite ou deſuuen qu'ene fait ajon rere.	Que sa persévérance offense notre Loi, Son infidélité, aussi sa foi légère, Ooir droite ou desuuen qu'ène fait ajon rere.
PROTINE.	PROTINE.
Ie ne l’accuſe point, & vous dis à preſent, Que ie ſçay comme vous ſon fardeau trop peſant, Ot ronauni du party d’vn Dieu immaginaire, Mais dites-moy comment ie l’en puiſſe diſtraire.	Je ne l'accuse point, et vous dis à présent, Que tu sais comme vous son fardeau trop pesant, Ot ronauni du parti d'un Dieu imminaire, Mais dites-moi comment ainsi l'en puisse distraire.
ASTHERE.	ASTHÉRE.
Par des viues rigueurs, & en ſuiure les faits, Vous luy ſeruez de mere, elle vous doit reſpects, Autrement?	Par des vives rigueurs, et en suivre les faits, Vous lui servez de mère, elle vous doit respects, Autrement?
c’eſt ſouffrir vne trop grande iniure.	c'est souffrir une trop grande injure.
REINE.	REINE.
Et vous deſauoüant ie ne ſuis point pariure, Ie mets bas les honneurs rendus à vos faux Dieux, Puis que ie vous maintiens qu’ils ſont chaſſez aux Cieux;	Et vous desauoüant mis ne suis point parjure, Je mets bas les honneurs rendus à vos faux Dieux, Puis que je vous maintiens qu'ils sont chassés aux Cieux;
Par cette verité alterez donc voſtre ame, Iettez-moy dans ces fleuues, où me percez de lamé, Quoy que née en ce lieu m’arriue donc la mort, Deſirée des Martyrs à l’inuincible effort:	Par cette vérité altérez donc votre âme, Jettez-moi dans ces fleuves, où me percez de lamé, Quoi que née en ce lieu m'arrive donc la mort, Désirée des Martyrs à l'invincible effort:
Il ne m’inporte point?	Il ne m'inporte point?
quoy que de ma naiſſance, Ie ſois fille de Grand, i’en pers la connoïſſance, Car mon plus gnand bon-heur qui m'a fait naiſtre en l’au, Me fera viure au Ciel par la clef du tombeau, Portant deſſus le front la marque du Bapteſme, Pour peindre de mon ſang vn ſacré Diadeſme, Le dot en eſt plus ſainct que de mon Geniteur, A garder ce grand bien il ne faut de tuteur.	quoi que de ma naissance, Je sois fille de Grand, j'en pers la connaissance, Car mon plus génand bonheur qui m'a fait naître en l'au, Me fera vivre au Ciel par la clef du tombeau, Portant dessus le front la marque du Baptême, Pour peindre de mon sang enfin sacré Diadesme, Le dot en est plus saint que de mon Géniteur, A garder ce grand bien il ne faut de tuteur.
ASTHERE.	ASTHÉRE.
Ie ne puis que reſpondre à vos contes friuoles.	Je ne puis que répondre à vos contes frivoles.
REINE.	REINE.
Mes contes tiennent vn Dieu, & non pas vos Idoles, Allez, on vous entend, Amelin vient à vous.	Mes contes tiennent un Dieu, et non pas vos Idoles, Allez, on vous entend, Amelin vient à vous.
ASTHERE.	ASTHÉRE.
C'eſt bien à ce ſuiet qu’on marche deuant nous, Tâge sosiu enarge de nouneues agreable.	C'est bien à ce sujet qu'on marche devant nous, Tâge sosivre enarge de nouvneues agréable.
AMELIN.	AMELIN.
Ie viens de voir entrer l’équipage honnorable.	Je viens de voir entrer l'équipage honorable.
Du Seigneur Paulias.	Du Seigneur Paulias.
Monſieur on vous attend.	Monsieur on vous attend.
Mo minmleno Hé bien qu'en dirons-nous.	Mo minmleno Hé bien qu'en dirons-nous.
REINE, Il vient perdre ſon temps	REINE, Il vient perdre son temps
AMELIN.	AMELIN.
EEt luy-meſme entre apres reueſtu de conqueſte, Pour la ſolemmté d’vne nouuelle feſte, Par va contract paſſé és cahiers de la Our, En lettre d’or pour luy, comme pour voſtre amour, Reſte au conſentement à ſigner aux parties.	ESt quel-même entre après reuestu comme conquête, Pour la solemmté d'une nôtre fête, Par va contrat passé ès cahiers de la Our, En lettre d'or pour lui, comme pour votre amour, Re au consentement à signer aux parties.
1 REINE.	1 REINE.
S Pluſtoſt cent fois la mort, euſſe-ie autant de vie.	ST Plutôt cent fois la mort, eusse-je autant de vie.
ASTHERE, la prenant par la main.	ASTHÉRE, la prenant par la main.
Allons c’eſt trop tarder, vous direz vos raiſons, Ou la punition vous ſera de faiſon.	Allons c'est trop tarder, vous direz vos raisons, Ou la punition vous sera de saison.
REINE.	REINE.
Encore permettez que d’vn mot Algeride Ie conduiſe là bas, dans la prairie humide, C’eſt pour nous ſeparer :	Encore permettez que d'une mot Algeride Je conduise là bas, dans la prairie humide, C'est pour nous séparer :
helas!	hélas!
ô Dieu helas!	ô Dieu hélas!
Qu'vn deſtin des Martyrs nous ouure le trépas:	Qu'un destin des Martyrs nous ouvre le trépas:
Adieu mon cœur, adieu, adieu chere compagne, Ie vous dois reconduire au bas de la momagne.	Adieu mon cœur, adieu, adieu chère compagne, Je vous dois reconduire au bas de la momagne.
Vous me le permettrez, retournant auſſi-toſt Que nous aurons finy quelque petit propos.	Vous me le permettrez, retournant aussitôt Que nous aurons fini quelque petit propos.
ALGERIDE.	ÀLGERIDE.
Belas le cœur me fault, & d’effroy me pantelle, La ſeparation me transperce & bourrelle.	Bélas le cœur me sault, et d'effroi me pantelle, La séparation me transperce et bourrelle.
REINE.	REINE.
Conſolez-vous mon cœur, la fidele amitié Avous lieni eſtroitement 2	Consolez-vous mon cœur, la fidèle amitié Avous lien étroitement 2
ALGERIDE.	ÀLGERIDE.
Vn regard de pité Me cauſe mille ennuis, voyant bien que la force, Vous choque par fuzil ſur la puante amorce.	Un regard de pité Me cause mille ennuis, voyant bien que la force, Vous choque par fuzil sur la puante amorce.
REINE, Non, non, mon cœur en Dieu n’y prendra iamais feu, Faſſent ce qu’ils voudront, c’eſt de la peine à eux Et vous aureZ bien-toſt nouuelle de l’affaire, Que toutes leurs fureurs ne me peuuent diſtraire.	REINE, Non, non, mon cœur en Dieu n'y prendra jamais feu, Fassent ce qu'ils voudront, c'est de la peine à eux Et vous aurez bientôt nouvelle de l'affaire, Que toutes leurs fureurs ne me peuvent distraire.
Luy parlant à l’oreille quelques mots.	Lui parlant à l'oreille quelques mots.
Allez vous repoſer au lieu où vous ſçauez, Et vous apprendrez tout dans deux iours écouleZ,	Allez -vous reposer au lieu où vous savez, Et vous apprendrez tout dans deux jours écoulez,
a i ASTHERE, PROTINE, REINE, CLEMENT, entre apres auec ARTOCLE’S.	a y ASTHÉRE, PROTINE, REINE, CLEMENT, entre après avec ARTOCLES.
ET PAVLIAS.	ET PAULIAS.
ASTHERE.	ASTHÉRE.
Itan comme enuoyé du grand Phœbe ſon pere, A Diſſipe les broüillards en verſant ſa lumiere, Et vos yeux eſclairans chaſſent l’obſcurité, Qui formoit depuis peu vne difficulté.	Itan comme envoyé du grand Phœbe son père, A Dissipe les brouillards en versant sa lumière, Et vos yeux éclairants chassent l'obscurité, Qui formait depuis peu une difficulté.
Or donc reuiendrez-vous à la voye amiable, En ne refuſant pas vn Amant fauorable.	Or donc reviendrez-vous à la voie amiable, En ne refusant pas un Amant favorable.
Aggreez maintenant, que d’vn reſpect pareil, Deſcende deſſus vous l’ardeur de ce bel œil, Reuerberans ſes rais eſchauffera voſtre ame, Coniointe à ſon ſainêt feu par l’vne & l’autre flamme.	Agréez maintenant, que d'un respect pareil, Descende dessus vous l'ardeur de ce bel œil, Reverberants ses rais échauffera votre âme, Conjointe à son sainêt feu par l'une et l'autre flamme.
Ainſi vos cœurs en vn, entrelaſſez d’amour, Paſſeront ſuffiſans pour miracle à la Cour, Aant aſſe Cſais voir, que de certains augures, Vous empeſchoient d’ouyr nos volontez tres-pures, Vous voulant retenir de rendre aux immortels, Tous les humbles deuoirs deuant leurs ſaincts Autels.	Ainsi vos cœurs en un, entrelacés d'amour, Passeront suffisants pour miracle à la Cour, Aant asse Csais voir, que de certains augures, Vous empêchaient d'ouïr nos volontés très-pures, Vous voulant retenir de rendre aux immortels, Tous les humbles devoirs devant leurs saints Autels.
Reuenez donc à vous, & croyez voſtre pere, Voſtre Tante vous doit icy ſeruir de Mere, Et la ſoûmiſſion vous cauſera vu bien, Par ce grand Paulias qui vous herite au ſien:	Revenez donc à vous, et croyez votre père, Votre Tante vous doit ici servir de Mère, Et la soumission vous causera vu bien, Par ce grand Paulias qui vous hérite au sien:
Venez donc, approchons du donion agreable, Deſia tont occupe dequipage honorable:	Venez donc, approchons du donion agréable, Déjà tont occupe dequipage honorable:
VoyeZ qu’elle beauté.	VoyeZ qu'elle beauté.
2 12	2 12
On leue vne Tapiſſerie.	On lève quelque Tapisserie.
ARTHOCLE’S CLEMENT.	ARTHOCLÉS CLEMENT.
PAVLIAS entre.	PAULIAS entre.
PAVLIAS.	PAULIAS.
Ah!	Ah!
beau tein nompareil, Qu'elle diuinité me fait voir ce Soleil, Ces beaux yeux tant de fois deſirez de mon ame, Ce viſage parfait, qui me touche, & m’enflamme, Et les attraits puiſſans qui brillent de ſes yeux, Peuuent bien captiuer les eſprits glorieux, Mais les chaiſnes adorables en me chargeant des peines;	beau tein nompareil, Qu'elle divinité me fait voir ce Soleil, Ces beaux yeux tant de fois désirez de mon âme, Ce visage parfait, qui me touche, et m'enflamme, Et les attraits puissants qui brillent de ses yeux, Peuvent bien captiver les esprits glorieux, Mais les chaînes adorables en me chargeant des peines;
Ne ſe montrent à mes à mes yeux nullement inhumaines, Ne m’apperceuant pas que ie puiſſe ſouffrir Sous le ieug de l’amour me venant ſecourir:	Ne se montrent à mes mes yeux nullement inhumaines, Ne m'apercevant pas que sans puisse souffrir Sous le jeug de l'amour me venant secourir:
La conſtance prend temps des appas fauorables, Ne rendant d’aucun point le amans miſerables, Et en perſeuerans tenans quelques propos, Trouuent leurs Medecins preſts à guerir leurs maux, Beauté donc ie connois maintenant que les charmes, Viennent à me combattre & me donner des armes:	La constance prend temps des appas favorables, Ne rendant d'aucun point le amants misérables, Et en persévérants tenants quelques propos, Trouvent leurs Médecins prêts à guérir leurs maux, Beauté donc ie connais maintenant que les charmes, Viennent à me combattre et me donner des armes:
I'eſpereray le prix, & la pointe, & l’amour, Et la victoire en vous fera mon luſtre & iour, De conſequent nos ames en cette ſimpathie, Pouyront des deux coſtez vne belle partie, L Indiſſoluble en nous, & qu'on ne peut mier Ce que les deux égaux ne doiuent refuſer.	J'espérerai le prix, et la pointe, et l'amour, Et la victoire en vous fera mon lustre et jour, De conséquent nos âmes en cette sympathie, Pouiront des deux côtés une belle partie, L Indissoluble en nous, et qu'on ne peut mier Ce que les deux égaux ne doivent refuser.
Acceptez, ô beauté, que pour vn Dieu i’adore, Conſentant au contracl que l'aſſenvet bonore.	Acceptez, ô beauté, que pour un Dieu j'adore, Consentant au contracl que l'assenvet bonore.
REINE.	REINE.
Ie ne ſuis point Soleil, ie n’ay point de chaleur Et cette qualité ne ſied à mon honneur, Car le Soleil brillant qui éclare mon ame, Ne permettra iamis qu’autre que luy l’enffamme, Tous reſpects luy ſont deubs, adorable luy ſeul, Ayant couuert en Croix la Nature de deuil, Et deſſus les Enfers triomphant dans la gloire, Meſme deſſus la mort reueſtu de victoire, Et ce Dieu des arméés eſt le Maieur des Roys, Souſtenant en ſa main Cieux & Terre à la fois:	Je ne suis point Soleil, votre n'ai point de chaleur Et cette qualité ne sied à mon honneur, Car le Soleil brillant qui éclare mon âme, Ne permettra jamis qu'autre que lui l'enffamme, Tous respects lui sont devs, adorable homme seul, Ayant couvert en Croix la Nature de deuil, Et dessus les Enfers triomphant dans la gloire, Même dessus la mort revêtu de victoire, Et ce Dieu des arméés est le Maieur des Rois, Soutenant en sa main Cieux et Terre à la fois:
Ie ſuis ſa priſonniere, & d’vne chaiſne ſaicte, Il me tient tout à luy en viuant ſous ſa craite.	Je suis sa prisonnière, et d'une chaîne saisccte, Il me tient tout à lui en vivant sous sa craite.
