A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
Qu'vne Princeſſe m'ayme, ah quel abbaiſſement!	Qu'une Princesse m'aime, ah quel abaissement!
Que i’oſe la pretendre ahquel aueuglement!	Que j'ose la prétendre ahquel aveuglément!
Et qu'ell’a de bonté voyant cette iniuſtice De ne m'impoſor pas quelque eſtrange ſupplice.	Et qu'elle est de bonté voyant cette injustice De ne m'imposor pas quelque étrange supplice.
Madame, pardonnez a ma temerité, I ay demandé beaucoup & bien peu merite, Mais ſi vous deſirez qu’aux mains de Clarimonde Tombent parma valeur tous les ſceptres du monde.	Madame, pardonnez à ma témérité, I ai demandé beaucoup et bien peu mérite, Mais si vous désirez qu'aux mains de Clarimonde Tombent parma valeur tous les sceptres du monde.
Ie ſçauray couronner par mille exploits diuers La Reyne de mon cœur, Reyne de l’vmuers;	Je saurai couronner par mille exploits divers La Reine de mon cœur, Reine de l’ vmuers;
La terre n’aura point d’aßez puißant obſtacle Pour empeſcher monbras de faire ce miracle, D’vn monde d’ennemis ie briſeray l’effort, Ei iy renconpreraj te mompne on id mort	La terre n'aura point d'assez puissant obstacle Pour empêcher monbras de faire ce miracle, D'un monde d'ennemis un briserai l'effort, Éi jy renconpreraj mer mompne on id mort
CLARIMONDE.	CLARIMONDE.
En penſant t’abbaiſſer tu t’eſleues Alcandre, Ie ſçay ce qu'enuers moy ta vertu doibt pretendre Ie ſçay ce que ta peyne a de moy merité, Et ie voy ta grandeur dans ton humilité:	En pensant t'abaisser tu t'esleues Alcandre, Je sais ce qu'envers moi ta vertu doibt prétendre Je sais ce que ta peine a de moi mérité, Et a voy ta grandeur dans ton humilité:
Tempere ſeulement les boüillons de toname, Ta valeur m’eſt cogneuë außibien que ta flame, Songe à d’autres deſſeins, & comblat mes ſouhait, Diſpoſe ton Monarque a nous donner la paix;	Tempère seulement les bouillons de toname, Ta valeur m'est connue aussi que ta flamme, Songe à d'autres desseins, et comblât mes souhait, Dispose ton Monarque a nous donner la paix;
Solimont tout courbé ſoubs le faix des annees Benira noſtre hymen comme nos deſtinees, Et remettra l’eſclat de ſon throſne ancien Douius l'Aipue te onurtas pauntonme ujue le ſien, Donne luy de ta flame vne marque bien forte, Obtiens ſa liberté, romps les chaiſnes qu'il porte, Et par cette action d’amour & de pitié De meſme que la mienne acquiers ſon amitié.	Solimont tout courbé sous le faix des années Benira notre hymen comme nos destinées, Et remettra l'éclat de son trône ancien Douius l'Ajépue te onurtas puntonme ujue le sien, Donne enfin de ta flamme une marque bien forte, Obtiens sa liberté, romps les chaînes qu'il porte, Et par cette action d'amour et de pitié De même que la mienne acquiers son amitié.
ALCANDRE Quoy que de ſon treſpas ſenſible & deplorable Le faneſte decret ſemble eſtre irreuocable, Mon amour toute fois hardie a le ſeruir Deſtournera le coup qui vous le doibt rauir:	ÀLCANDRE Quoi que de son trépas sensible et déplorable Le faneste décret semble être irrévocable, Mon amour toute fois hardie a le servir Détournera le coup qui vous le doibt ravir:
Les Les graces & l'honneur qu’vn bien- fait doibt attendre.	Les Les grâces et l'honneur qu'un bien- fait doibt attendre.
Ie croy qu'il vient icy.	Je crois qu'il vient ici.
BTNE.	BTNE.
Pourquoy paſliſſez vous?	Pourquoi pâlissez -vous?
CLARIMONDE.	CLARIMONDE.
Ie crains que cet obiect n’excite mon courroux, I'en redoute l’abord.	Je crains que cet objet n'excite mon courroux, J'en redoute l'abord.
DYDIANE Contenez vous Madame, Il eſt temps de calmer les troubles de voſtre ame, Le voila qui paroit.	DYDIANE Contenez vous Madame, Il est temps de calmer les troubles de votre âme, Le voilà qui parait.
SCENE II ALCANDRE, ALMAZAN, CLARIMONDE, LTDIANE.	SCÈNE II ALCANDRE, ALMAN, CLARIMONDE, LTDIANE.
Elices de nos iours, Grand Roy chez qui ma peine a trouué ſonſecours Puiſque i'obtiens de vous cette rare merueille, Voyez quelle faueur à la voſtre eſt pareille, Me rendant poſſeſſeur d’vn bien ſi glorieux, Vous eſgalez ma gloire à la gloire des Dieux:	Élices de nos jours, Grand Roi chez qui ma peine a trouvé sonsecours Puisque j'obtiens de vous cette rare merveille, Voyez quelle faveur à la vôtre est pareille, Me rendant possesseur d'un bien si glorieux, Vous égalez ma gloire à la gloire des Dieux:
Et ſi les immortels n’eſtoient exempts d’enute Vous les rendriez, ialoux du bon-heur de ma vie.	Et si les immortels n'étaient exempts d'enute Vous les rendriez, jaloux du bonheur de ma vie.
ALMAZAN conſiderant Clarimonde.	ÀLMAZAN considérant Clarimonde.
Ialoux auec raiſon, ſes yeux ont des appas Qui menacent les cœurs d’vn amoureux treſpas Sa grace & ſa beauté ſont de puiſſantes armes,	Jaloux auec raison, ses yeux ont des appas Qui menacent les cœurs d'un amoureux trépas Sa grâce et sa beauté sont de puissantes armes,
ALCANDRE.	ÀLCANDRE.
Sire, quoy que ſes yeux brillent de tant de charmes Les vertus font en elle vn amas de freſors, Par qui l'ame faithonte aux richeſſes du corps.	Sire, quoi que ses yeux brillent de tant de charmes Les vertus font en elle un amas de fresors, Par qui l'âme faithonte aux richesses du corps.
ALMAZAN.	ÀLMAZAN.
Ie ne la croyois point de tant d’attraits pourueue, Elle flatte, elle bleſſe, elle plaiſt, elle tue, Et l’on peut mieux ſentir, que non pas exprime?	Je ne la croyais point de tant d'attraits pourvue, Elle flatte, elle blesse, elle plaît, elle tue, Et l'on peut mieux sentir, que non pas exprime?
Les rares qualitez qui la font eſtimer.	Les rares qualités qui la font estimer.
AICANDRE mep dounuſqumemuryuomſiiemeraire, Qu’a voſtre majeſté ma bouche n'a pû taire, Deſir dont le ſuctés produit en ce moment, Et ma reconnoiſſance & mon contentement.	ÀICANDRE mep dounusqumemuryuomsiiemeraire, Qu'a votre majesté ma bouche n'a pu taire, Désir dont le suctés produit en ce moment, Et ma reconnaissance et mon contentement.
ALMAZAN.	ÀLMAZAN.
Ne parle point ſi toſt de ta recognoiſſance, Ie ſonge a te donner vne autre recompenſe Cer vunetruom te tnarmt à dequuy me rauir.	Ne parle point si tôt de ta reconnaissance, Je songe à te donner une autre récompense Cer vunettruom te tarmt à dequuy me ravir.
Excite des ardeurs que ie veux aſſouuir, Pour elle mon amour eſtouffe ma colere, Cherche d autres beautez capables de te plaire Immole Clarimonde aux plaiſirs de ton Roy, Si tu ſus digne d'elle ell eſt digne de moy.	Excite des ardeurs que sans veux assurir, Pour elle mon amour étouffe ma colère, Cherche d autres beauté capables de te plaire Immole Clarimonde aux plaisirs de ton Roi, Si tu sus digne d'elle él est digne de moi.
ALCANDRE.	ÀLCANDRE.
Helas que dittes vous par quel proiect funeſre Voulez vous me rauir la gloire reſte?	Hélas que dites -vous par quel prois funes Voulez -vous me ravir la gloire reste?
Quelle cauſe produit vn ſi faſibeux effect, Et pour le meriter qu'ay-ie dit?	Quelle cause produit un si fasibeux effet, Et pour le mériter qu'ai-je dit?
qu'ay-ie fait?	qu'ai-je fait?
ALMAZAN.	ÀLMAZAN.
Ceſſe de Poppoſer a mon feu le gitime, Ie ne t'impute rien ton mal-heur eſt ton crime	Cesse de Popposer à mon feu le gitime, Je ne t'impute rien ton malheur est ton crime
ALCANDRE.	ÀLCANDRE.
Eſt-ce eſtre criminel eſt-ce eſtre mal’heureux, Que d’auoir acheué tant d’exploits valeureux?	Est-ce être criminel est-ce être malheureux, Que d'avoir achevé tant d'exploits valeureux?
Apres auoir rendu vos victoires certaines, Faut il qu’vn deſeſpoir ſoit le prix de mes peynes;	Après avoir rendu vos victoires certaines, Faut -il qu'un désespoir soit le prix de mes peines;
Ah Sire!	Ah Sire!
n’accuſez que le trouble où ie ſuis, Si i’oſe vous nommer l’autheur de mes ennuis, Et ſi prest de ſouffrir vn traittement ſi rude Ie puis vous ſoupconner d'vn peu d’ingratitude.	n'accusez que le trouble où je suis, Si j'ose vous nommer l'auteur de mes ennuis, Et si prêt de souffrir un traittement si rude Je puis vous soupçonner d'un peu d'ingratitude.
Ie rougis d’alleguer mes trauaux & mes ſoings, Vos yeux ſont de mes faits les illuſtres teſmoins, Voyez mon ſeinouuert, portez les ſur mes playes.	Je rougis d'alléguer mes travaux et mes soins, Vos yeux sont de mes faits les illustres témoins, Voyez mon seinouvert, portez les sur mes plaies.
ALMAZAN.	ÀLMAZAN.
Tu penſes me flechir, mais en vain tu l'eßayes;	Tu penses me fléchir, mais en vain tu l'essayes;
Le trait que dans le cœur ie viens de receuoir L’emporte ſur les coups que tu veux ſaire voir:	Le trait que dans le cœur nom viens de recevoir L'emporte sur les coups que tu veux zaïre voir:
Tableſſure à la mienne eſt duto' neſgale, Mais conſultons vn peu cette beauté fatale Nous agitons vn poinct qu'elle doit deuider, Mtis pouuant prendre vn bien pourquoy le demander?	Tablessure à la mienne est duto négale, Mais consultons un peu cette beauté fatale Nous agitons un point qu'elle doit dévider, Mtis pendant prendre un bien pourquoi le demander?
Clarimonde il me plaiſt que ta fortune change, Et que par vnprodige außiiſte qu'eſtrange, D'eſclaue que tu fus tu prennes dans les mains Le ſceptre que i’employe-regirles humains;	Clarimonde il me plaît que ta fortune change, Et que par vnprodige aussiiste D'étrange, D'esclaue que tu fus tu prennes dans les mains Le sceptre que j'emploie-règirles humains;
I'efface pour iamais ce caractere infame, Et te faiſant l’honneur de t’accepter pour femme, Ie veux que mes ſubiects puiſſent ouyrta voix Deſſus le meſme throſne ou ie donne des loix Aamine at vun-fait es nen fois pointingratte Songe aux proſperitez dont ma grandeur teflatte, Ta reſponce ſera ton naufiage ou ton port, Lt ta bouche est icy l’arluitre de tonßost.	J'efface pour jamais ce caractère infâme, Et te faisant l'honneur de t'accepter pour femme, Je veux que mes sujet puissent ouïrta voix Dessus le même throsne ou ainsi donne des lois Aamine at vun-fait es nen fois pointingrate Songe aux prospérités dont ma grandeur teflatte, Ta responce sera ton naufiage ou ton port, Lt a bouche est ici l'arluire de tonssost.
CLARIMONDE Pairmyles paßions qui cauſent mon martyre.	CLARIMONDE Pairmyles passions qui causent mon martyre.
Ne ſçachant que penſer ie ne ſçaurois que dire, Et dans le differend qui ſe vient d’agiter, Ie voy mon precipice, & ne puis leuiter;	Ne sachant que penser ici ne saurais que dire, Et dans le différend qui se vient d'agiter, Je vois mon précipice, et ne puis leviter;
Ie ſçay ce que ie dois aux bontez d’vn Monarque Qui donnant de ſa flame vne ſuperbe marque, Prend ſoing de ma fortune, & me veut eſleuer Au throſne où ma naiſſance eſt digne d’arriuer;	Je sais ce que vertu dois aux bontés d'un Monarque Qui donnant de sa flamme une superbe marque, Prend soing de ma fortune, et me veut élever Au trône où ma naissance est digne d'arriver;
Mais i'ay d'autres deſirs, d'autres ſceptres m’attendent, Et ce qu’ilveut de moy, d’autres vœux le demandent.	Mais j'ai d'autres désirs, d'autres sceptres m'attendent, Et ce qu'ilvut de moi, d'autres vœux le demandent.
Grand Prince pardonnez a ce tuſte refus, Si i’eſtois auiourd’huy ce qu’autrefois ie fus, Si mon cœur eſtoit libre, & s’il pouuoit ſans honte Effacer le pourtrait du vainqueur qui le domte, Ie ferois vanité de vous rendre auiourd’huy Les vœux & les reſpects que ie recoy de luy, Mais ie ne le puis plus, il a ma foy pour gage.	Grand Prince pardonnez a ce tuste refus, Si j'étais aujourd'hui ce qu'autrefois ie fus, Si mon cœur était libre, et s'il pouvait sans honte Effacer le pourtrait du vainqueur qui le domte, Je ferais vanité de vous rendre aujourd'hui Les vœux et les respects que ie que de lui, Notre nôtre ne le puis plus, il a ma foi pour gage.
ALMAZAN.	ÀLMAZAN.
Tu peux ce qui te plaiſt il n'eſt rien qui t’enga;	Tu peux ce qui te plaît il n'est rien qui t'enga;
e.	e.
Rien ne peut attacher les Princes ny les Rois, Nous ſommes au deſſus des ſerments & des loix.	Rien ne peut attacher les Princes ni les Rois, Nous sommes au dessus des serments et des lois.
CLARIMONDE.	CLARIMONDE.
Si de les obſeruer voſtre ame ſe diſpenſe, La mienne ne prend point de ſemblable licence, Mon cœur a mes ſerments ne peut contreuenir, I'ay fait vœu d’eſtre ſiennc & ie le veux tenir.	Si de les observer votre âme se dispense, La mienne ne prend point de semblable licence, Mon cœur a mes serments ne peut contrevenir, J'ai fait vœu d'être siennc et Seigneur le veux tenir.
ALMAZAN.	ÀLMAZAN.
Ie tiens comme ton corps ta volonté captiue, Quelques loix qu’auiourd’huy la mienne te preſcriue, Tu me dois obeyr.	Je tiens comme ton corps ta volonté captive, Quelques lois qu'aujourd'hui la mienne te prescrive, Tu me dois obéir.
CLARIMONDE.	CLARIMONDE.
Qui voudra m’y forcer, Verra ſur ſon autheur l’outrage repouſſer, Mais ſi pour obtenir la fin de mes ſupplices, Il vous faut comme aux Dieux, faire des ſacrifices, Monſtrez qu’en ce moment voſtre deſir ſoit tel, Vous verrez la victime außi toſt que l’autel, moſene vrue, Cy menvorpo feromcerre partie, L’vn donnera le coup, l’autre ſera l’hoſtie, Et i’aymeray le fer qui m’ouurira le flanc, Oite fen qui vousoruſe eſt éptemt dans mon ſang	Qui voudra m'y forcer, Verra sur son auteur l'outrage repousser, Mais si pour obtenir la fin de mes supplices, Il vous faut comme aux Dieux, faire des sacrifices, Montrez qu'en ce moment votre désir soit tel, Vous verrez la victime aussi tôt que l'autel, mosène vrue, Cy envorpo feromcerre partie, L'un donnera le coup, l'autre sera l'hostie, Et j'aimerai le fer qui mouurira le flanc, Au se qui vousoruse au éptemt lan mon ,
ALCANDRE.	ÀLCANDRE.
Grand Monarque.	Grand Monarque.
ALMAZAN.	ÀLMAZAN.
Tay toy ma colere s’allume, Qu'eſt-ce que deſormais ta vanité preſume?	Tais -toi ma colère s'allume, Qu'est-ce que désormais ta vanité présume?
Le bien que ie pretends penſes-tu l’emporter?	Le bien que je prétends penses-tu l'emporter?
Clarimonde en vn mot cede ſans diſputer, Reprends de ta raiſon la lumiere & l’vſage, Si ma flame vne fois ſe conuertit en rage, Mille nouueaux tourments vangeront tes meſpris.	Clarimonde en un mot cède sans disputer, Reprends de ta raison la lumière et l'usage, Si ma flamme fois se convertit en rage, Mille nouveaux tourments vengeront té mépris.
CLARIMONDE Aux laſches attions les Tyrans ſont appris Ils courent aueuglez, ou la ſureur les guide;	CLARIMONDE Aux lâches attions les Tyrans sont appris Ils courent aveuglez, ou la fureur les guide;
Mais aulieu d eſtre Amant ſoyez mon homicide, Voſtre hayne pour moy vaut mieux que voſtre amour, Et ſi l’on m'oſte Alcandre, il faut m’oſter le iour.	Mais aulieu d être Amant soyez mon homicide, Votre haine pour moi vaut mieux que votre amour, Et si l'on m'ôte Alcandre, il faut m'ôter le jour.
ALMAZAN.	ÀLMAZAN.
Si ma hayne te plaiſt prepare toy cruelle, A l’eſprouuer extreme außi bien qu’eternelle, Mais auant que la mort ſuccede à tes deſirs, Scaches que la veaute ſouterà mes plaiſirs, Par ta propre rigueur mon triomphe s'appreſte, Et malgré tes refus tu ſeras ma conqueſte.	Si ma haine te plaît prépare toi cruelle, À l'éprouver extrême aussi bien qu'éternelle, Mais avant que la mort succède à tes désirs, Scaches que la vite souterà mes plaisirs, Par ta propre rigueur mon triomphe s'apprête, Et malgré tes refus tu seras ma conquête.
Qu'on l'enleue.	Qu'on l'enlève.
ALCANDRE A mes yeux pluſtoſt	ÀLCANDRE À mes yeux plutôt
A'LMAZAN.	A'LMAZAN.
Ne branſle pas, Ou tu ſeras puny d’vnhorrible treſpas.	Ne branle pas, Ou tu seras puni d'Horrible trépas.
CLARIMONDE A la force, au ſecours, ab quel aſte barbare!	CLARIMONDE A la force, au secours, ab quel aste barbare!
unt nt vennuſ puis Jiitandre on nous ſepare.	unt n ennus puis Jiitandre on nous sépare.
LYDIANE.	LYDIANE.
Barbares arreſtez.	Barbares arrêtez.
ALCANDRE Arrefee Emhumams, Ou tournez, contre moy vos ſacrileges mains	ÀLCANDRE Arrefée Emhumams, Ou tournez, contre moi vos sacrilèges mains
ALMAZAN.	ÀLMAZAN.
St tu perds le reſpect, tu vas perdrela vie.	St tu perds le respect, tu vas perdrela vie.
ALCANDRE.	ÀLCANDRE.
Ah c’eſt tout mon deſir, qu’elle me ſoit rauie, mprde enterliffronmdemiippun ſadi mourir.	Ah c'est tout mon désir, qu'elle me soit ravie, mprède enterliffronmdemipun sadi mourir.
ALMAZAN.	ÀLMAZAN.
Cherche ailleurs qu’en la mort le moyen de guerir, Fay quelque autre amitié, le change eſt ton remede, u fo	Cherche ailleurs qu'en la mort le moyen de guérir, Fais quelque autre amitié, le change est ton remède, fo
ALCANDRE.	ÀLCANDRE.
Iuſtes Dieux quel remede au mal qui me poſſede Que ie change ah pluſtoſt que de manquer de foy, Le Ciel verſe ſa hayne & ſes foudree ſur moy.	Justes Dieux quel remède au mal qui me possède Que ie change a plustost que de manquer de foi, Le Ciel verse sa haine et ses foulée sur moi.
Perfide c’eſt a toy de manquer de promeſſe, C’eſt a toy de trahir, c'eſt a toy que s'addreſſe Ce coupable conſeil pniſque ta laſchete	Perfide c'est a toi de manquer de promesse, C'est à toi de trahir, c'est a toi que s'adresse Ce coupable conseil penisque ta lâcheté
E Source gal onf France	E Source gal onf France
AFoſe rauir vn bien promis & merite.	AFFose ravir un bien promis et mérite.
Reſpect dont i’ay ſenti l’iniuſie violence, Que ne m’as-tu permis de punir l’inſolence Des complices cruels de ce rapt inhumain, Ie leur euſſe porté le treſpas dans le ſein, Ou mon cœur expirant ſoubs leur vengeance prompte N'euſt pas eu le regret de ſuruiure a ma honte.	Respect dont j'ai senti l'injusie violence, Que ne m'as-tu permis de punir l'insolence Des complices cruels de ce rapt inhumain, Je leur eusse porté le trépas dans le sein, Ou mon cœur expirant soubs leur vengeance prompte N'eût pas eu le regret de suruiure à ma honte.
Recours des affligez, funeſtes mouuements Qu un deſeſpoir inſpire aux mal’heureux amants, Venez, regner en moy, diſpoſez ma penſee A chercher le ſecours d’vne ſin auancee, Et ne repreſentez a ma foible raiſon, Que fer, flames, cordeaux, precipice, & poiſon.	Recours des affligés, funestes mouvements Qu ' espoir inspire aux malheureux amants, Venez, régner en moi, disposez ma pensée A chercher le secours d'une sin avance, Et ne représentez à ma faible raison, Que fer, flammes, cordeaux, précipice, et poison.
Exploits malrecognus, ſeruices inutiles, Parolles ſans effect, promeſſes infertiles, Si vous me rempliſſez de regret & d’horreur, Meſlez y deſormais la hayne & la fureur:	Exploits malreconnus, services inutiles, Paroles sans effet, promesses infertiles, Si vous me remplissez de regret et d'horreur, Mêlez y désormais la haine et la fureur:
Va mon cœur, va chercher celle qu’on t’a volee, Fay honte a ce Tyran de ſa foy violee, Et puiſque ton bon-heur par ſa perte eſt changé, Meurs, mais n'expire point qu’apres t’eſtre vangé.	Va mon cœur, va chercher celle qu'on t'a volée, Fais honte à ce Tyran de sa foi violée, Et puisque ton bonheur par sa perte est changé, Chargeurs, mais n'expire point qu'après t'être vengé.
Labyrinthe confus.	Labyrinthe confus.
SCENE III MELIDOR, ALCANDRE.	SCÈNE III MELIDOR, ALCANDRE.
L’Occaſion eſt belle, Il faut puis qu’il eſt ſeul qu’au combat ie l’appelle, Ma ſlame a ma valeur demande cet effort, d Ehlâne clent.	L'Occasion est belle, Il faut puis qu'il est seul qu'au combat manquer l'appelle, Ma slâme à ma valeur demande cet effort, dig Ehlâne clent.
ALCANDRE.	ÀLCANDRE.
O ſenſible tranſport!	Ô sensible transport!
MELIDOR ſe cachaht.	MELIDOR se cachahaît.
Que luy veut elle dire' eſcoutons ſon meſſage	Que quelque veut elle dire' écoutons son message
SCENE IV ALCANDRE, LYDIHIE, MELIDON	SCÈNE IV ALCANDRE, LYDIHIE, MELIDON
E ij	E ij
LY DIANE.	LI DIANE.
Ie viens par lordre expres que Madame a preſerit, Pour arreſter d’Alcandre, & le bras & l’eſprit, De crainte que ſon mat plus fort que ſa conſtance Ne l’aueugle & le porte a quelque violence.	Je viens par lordre exprès que Madame a présérit, Pour arrêter d'Alcandre, et le bras et l'esprit, De crainte que son mat plus fort que sa constance Ne l'aveugle et le porte a quelque violence.
A LCANDRE.	À LCANDRE.
Pour arreſter mon bras, ah que c’eſt bien en vain, Que celle que i'adore a formé ce deſſein, Apres ce qu'vn reſpect m'a fait faire contreelle, Apres ma laſcheté ſuſpecte ou criminelle Craint elle quelque choſe?	Pour arrêter mon bras, ah que c'est bien en vain, Que celle que j'adore a formé ce dessein, Après ce qu'un respect m'a fait faire contreelle, Après ma lâcheté suspecte ou criminelle Craint -elle quelque chose?
LYDIANE.	LYDIANE.
Ellè craint iuſtement De quelque deſeſpoir le faſcheux mouuement	Elle craint justement De quelque désespoir le fâcheux mouvement
MELIDOR Approchons nous plus pres.	MELIDOR Approchons nous plus pres.
L YDIANE.	 LYDIANE.
Aureste, elle m'enuoye.	Aurête, elle m'envoie.
Pour vous faire ſçauoir qu’il faut qu'elle vous voye Ne luy refuſez pas ce moment de plaiſir.	Pour vous faire savoir qu'il faut qu'elle vous voit Ne lui refusez pas ce moment de plaisir.
A LCANDRE.	À LCANDRE.
Tu ſcais que luy complaire eſt mon plus grand deſir, I’achetterois ce bien par le prix de ma vie, mAmiu mentonon mepintatte gloirem'enuic, On la retient ſans doute en quelque appartemnent Ou ſon bel œil n'eſt veu, que du iour ſeulement.	Tu sais que Rome complaire est mon plus grand désir, J'achetterais ce bien par le prix de ma vie, mAmive menton mepintatte gloirem'enu, On la retient sans doute en quelque appartemnent Ou son bel œil n'est vu, que du jour seulement.
LYDIANE.	LYDIANE.
Le lieu qui la retient n'eſt point inacceßible, Et puis a qui bien ayme il n'eſt rien impoßible;	Le lieu qui la retient n'est point inaccesible, Et puis à qui bien aime il n'est rien impossible;
Ce fameux cabinet oul Art a ſurmonte Tout ce que la nature euſt iamas de beaute, Ou mille oyſeaux mignards gazouillent à toute heure Eſt ſa foible priſon, ou pluſtoſt ſa demeure, Ell’a pour promenoir vn lardin ſpatieux, Dont les murs vont bien haut, mais non pas iuſ qu’aux Cieux Et ſi vous conſeruez quelque ſoing de luy plaire Vous les pourrez franchir.	Ce fameux cabinet oul Art a surmonte Tout ce que la nature eût jamas de beauté, Ou mille oiseaux mignards gazouillent à toute heure Est sa faible prison, ou plutôt sa demeure, Ell'a pour promenoir un lardin spatieux, Dont les murs vont bien haut, mais non pas jus qu'aux Cieux Et si vous conservez quelque soin de lui plaire Vous les pourrez franchir.
ALCANDRE.	ÀLCANDRE.
C’efl ce que ie veux faire, Ouy ie m’acquitteray de ce iuſte deuoir, Ell'en a le deſir, i’en auray le pouuoir, Mais ſoubs vn autre habit que celuy que ie porte.	C'est ce que ie veux faire, Oui votre m'acquitterai de ce juste devoir, Ellen est le désir, j'en aurai le pouvoir, Mais sous un autre habit que celui que ainsi porte.
Le reſpect me contraint d’encſerde la ſorte, Pour n'offenſerle Roy, de qui l'eſprit ialoux Porteroit iuſqu'au bout ſa hayne contre nous, Outre qu’il faut ſauuer l’honneur de la Princeſſe	Le respect me contraint d'encserde la sorte, Pour n'offenserle Roi, de qui l'esprit jaloux Porterait jusqu'au bout sa haine contre nous, Outre qu'il faut sauver l'honneur de la Princesse
LYDIANE.	LYDIANE.
C’eſt me ſler ſagement la prudence a l’addreſſe De Prince poim te moins ne vous cognoiſbra pas Et ne troublera point vos deſirs ny vos pas, Ie vay de ce deſſein la tenir aduertie,	C'est me sler sagement la prudence a l'adresse De Prince poim te moins ne vous connaisbra pas Et ne troublera point vos désirs m vos pas, Je vais de ce dessein la tenir avertie,
ALCANDRE.	ÀLCANDRE.
Ie vous ſuiuray bien-toſt.	Je vous suivrai bientôt.
MELIDOR à patt.	MELIDOR à patt.
Il le faut aborder.	Il le faut aborder.
Pourquoy cette partie?	Pourquoi cette partie?
ALCIIADRCE.	ÀLCIIADRCE.
Ah friuole deſſein, Qui ne ſert qu'à nourrir vn vautour dãs mon ſein, Vn vautour, mais qui vient ?	Ah frivole dessein, Qui ne sert qu'à nourrir un vautour dans mon sein, V autour, mais qui vient ?
ô rencontre importune!	ô rencontre importune!
MELIDOR l’abordant.	MELIDOR l'abordant.
Tout comblé des faueurs d’Amour & de fortune.	Tout comblé des faveurs d'Amour et de fortune.
Meditez vous icy quelques exploits guerriers, Sur le point d’adiouſter le Myrthe a vos laurier.	Méditez -vous ici quelques exploits guerriers, Sur le point d'ajouter le Myrte à vos laurier.
Ie vous trauue penſif.	Je vous trave pensif.
ALCANDRE.	ÀLCANDRE.
Ceux que Mars fauoriſe Doiuent ſeuls mediter quelque grande entrepriſe, C’'eſta vous de former ces deſſeins glorieux.	Ceux que Mars favorise Doivent seuls méditer quelque grande entreprise, Ç'esta vous de former ces desseins glorieux.
MELIDOR.	MELIDOR.
Ie cede cet honneur aux plus ambitieux Et conſerue pour moy le deſir de bien ſaire	Je cède cet honneur aux plus ambitieux Et conserve pour moi le désir de bien zaïre
ALCANDRE.	ÀLCANDRE.
Ce deſir Melidor eſt aßez ordinaire, Chacun craint de faillir,	Ce désir Mélidor est assez ordinaire, Chacun craint de faillir,
ABETDN Ce noble ſentiment, Ne regne pas Alcandre en tous eſgalement, I'en ſçay de criminels dont la haute eſperance Surpaſſe le merite & dement la naiſſance	ABETDN Ce noble sentiment, Ne règne pas Alcandre en tous également, J'en sais de criminels dont la haute espérance Surpasse le mérite et dément la naissance
ALCANDRE.	ÀLCANDRE.
L'eſperance eſi permiſe aux plus infortunez.	L'espérance esi permise aux plus infortuné.
MELIDOR Oublaſme les deſirs qui ſont defordonnec.	MELIDOR Oublâme les désirs qui sont défordonnec.
ALCANDRE.	ÀLCANDRE.
L'imtrudent oſe tout & le ſage au contraire, Saus paroiſtre iamais, laſebeny temeraire, Sçait tenirvn milieu dans ces extremitez.	L'imtrudent ose tout et le sage au contraire, Saus paraître jamais, lasebéni téméraire, Sait tenirvn milieu dans ces extrémités.
MELIDOR.	MELIDOR.
Si quel ques vns l’ont fait peu les ont imigz	Si quel ques uns l'ont fait peu les ont imigés
ALCANDRE.	ÀLCANDRE.
v oma ciotsatyi.	 voma ciotsati.
MELIDOR.	MELIDOR.
Len coyt caperente;	Len coït capérente;
ALCANDRE.	ÀLCANDRE.
Ce diſcours embroüillé laſſe ma patience, Adieu quelques raiſons m’appellent autre part.	Ce discours embrouillé lasse ma patience, Adieu quelques raisons m'appellent autre part.
MELIDOR.	MELIDOR.
Ie les ſcay les raiſons, qui cauſent ton deſpart, Mais ou que ton orguenporit tes eſperantts, Icare audacieux, tu n’es pas où tu penſes, L’approche du Soleilou tu mets ton bon-heur, Te couſtera bien toſt, & la vie & l'honneur,	Je les sais les raisons, qui causent ton départ, Mais ou que ton orguenporit tes espérants, Jcare audacieux, tu n'es pas où tu penses, L'approche du Soleilou tu mets ton bonheur, Te coûtera bien tôt, et la vie et l'honneur,
ACTE III.	ACTE III.
SCENE FREMIERE.	SCÈNE FREMIÈRE.
ALMAZAN, ET ARGIRAN.	ÀLMAZAN, ET ARGIRAN.
ALMA ZAN Ay, fidelle Argican, quelque choſe a te dire, 9 Fay qu'on nous laiſſe ſeuls.	ALMA ZAN Ay, fidèle Argican, quelque chose a te dire, 9 Fais qu'on nous laisse seuls.
ARGIRAN.	ARGIRAN.
Que chacun ſe retire.	Que chacun se retire.
ALMAZAN Attaint eſgalement de colere & d’amour, Ie ne voy qu’à regret la lumiere du iour, Clarimonde eſt pour moy trop coupable & tropbelle, I'ay beau dire que i’ayme, & que te meurs pour elle, I'ay beau me faire craindre & beau la menacer, Le trait de ſa rigueur ne ſe peut effacer.	ÀLMAZAN Atttaint également de colère et d'amour, Je ne vois qu'à regret la lumière du jour, Clarimonde est pour moi trop coupable et tropbelle, J'ai beau dire que j'aime, et que te meurs pour elle, J'ai beau me faire craindre et beau la menacer, Le trait de sa rigueur ne se peut effacer.
Dans ces extremitez ie ne ſçay que reſoudre.	Dans ces extrémités teint ne sais que résoudre.
